   śrīḥ //	SrIH //
   anukūlastu tarko 'tra kāryalopo vibhūṣaṇam //3 //	anukUlaH-tu tarkaH atra kArya-lopaH viBUzaNam //3 //
   kāraka(244)vyāpāravigam.e hi kāryānutpattiprasaṅgaḥ,	kAraka-(244)vyApAra-vigam.e hi kArya-anutpatti-prasaFgaH,
   cetanācetanavyāpārayorhetuphalabhāvāvadhāraṇāt, kāraṇāntarābhāva iva	cetana-acetana-vyApArayoH-hetu-Pala-BAva-avaDAraNAt, kAraNa-antara-aBAvaH iva
   kartrabhāve kāryānutpattiprasaṅgaḥ, karturapikāraṇatvāt /	kartR-aBAve kArya-anutpatti-prasaFgaH, kartuH-apikAraNa-tvAt /
   [ku.5.616] yastvāha- pratyakṣānupalambhābhyāṃ tadutpattiniścayo	[ku.5.616] yaH-tu-A-aha pratyakza-anupalamBAByAm tad-utpatti-niScayaH-
   dṛśyayoreva, na tvadṛśyayoḥ /	dRSyayoH-eva, na tu-adRSyayoH /
   pratyakṣasyānupalambhasya ca tāvanmātravidhiniṣedhasamarthatvāt	pratyakzasya-anupalamBasya ca tAvat-mAtra-viDi-nizeDa-samarTa-tvAt
   dhūmāgnivat, kampamārutavacca /	DUma-agnivat, kampa-mAruta-vat-ca /
   nahi dhūmaḥ kāryo 'nalasyeti udaryasyāpi, na hi śākhākampo mātariśvana iti	na-hi DUmaH kAryaH analasya-iti udaryasya-api, na hi SAKA-kampaH mAtariSvanaH iti
   stimitasyāpi syāt /	stimitasya-api syAt /
   kintu bhaumaspṛśyayoreva /	kintu BOma-spRSyayoH-eva /
   tathehāpi śarīravata eva kāraṇatvamavagantumucitam, nānyasyeti- tadasat-	taTA-iha-api SarIravataH eva kAraNa-tvam-avagantum-ucitam, na-anyasya-iti tat-asat-
   pratyakṣānupalambhau hi dṛśyaviṣayāvupāyastadutpattiniścaye; na tu	pratyakza-anupalamBO hi dRSya-vizayO=-upAyaH-tad-utpatti-niScaye; na tu
   dṛśyataiva tatropeyā; kinnāma (245) dṛśyāśritaṃ sāmānyadvayam /	dRSyatA-eva tatra-upeyA; kinnAmaH (245) dRSya-ASritam sAmAnya-dvayam /
   tadālīḍhasya hi tadutpattiniścaye dṛśyamadṛśyaṃ vā sarvameva tajjātīyaṃ	tad-AlIXasya hi tad-utpatti-niScaye dRSyam-adRSyam vA sarvam-eva tad-jAtIyam
   tadutpattimattayā niścitaṃ bhavati, yathā	tad-utpattimat-tayA niScitam Bavati, yaTA
   sparśarūparasagandhānāmuttarottaranimittatāyāṃ tava;	sparSa-rUpa-rasa-ganDAnAm-uttarottara-nimitta-tAyAm tava;
   asmākañcātīndriyasamavāyādisiddhau /	asmAkaQcA-atIndriya-samavAya-Adi-sidDO /
   nacedevam, udāhṛtayoḥ (246) eva dahanapavanayoḥ;	naced-evam, udAhRtayoH (246) eva dahana-pavanayoH;
   ālokarūpavatostadutpattiniścaye, kathanālokanirastarūpayoḥ siddhiḥ? yat	Aloka-rUpavatoH-tad-utpatti-niScaye, kaTana-Aloka-nirasta-rUpayoH sidDiH? yat-
   udaryastimitasādhāraṇī siddhiḥsyāditi- tadbhavedapyevam, yadi śarīrādikaṃ	udari-a-stimita-sADAraNI sidDiHsyAditi tat-Bavet-api-evam, yadi SarIra-Adikam
   vinā kāryamiva, bhaumaṃ sparśavadvegavantañca vinā agnimātrāt	vinA kAryam-iva, BOmam sparSavat-vegavan-taQca vinA agni-mAtrAt-
   pavanamātrādvā dhūmakampau syātām /	pavana-mAtrAt-vA DUma-kampO syAtAm /
   na tvevam /	na tu-evam /
   na caivaṃ cetanavyabhicāro 'pi śakyābhidhāna ityalaṃ bālapralāpānāṃ	na ca-evam cetana-vyaBicAraH api Sakya-aBiDAnaH iti-alam bAla-pralApAnAm
   samādhānaiḥ /	samADAnEH /
   [ku.5.617] tadutpatterasiddhāvapi tattadupādhividhūnanena	[ku.5.617] tad-utpatteH-asidDO=-api tad-tad-upADi-viDUnanena
   svābhāvikatvasthitau- yadi kartāramatipatya kāryaṃ syāt,	svABAvika-tva-sTitO yadi kartAram-atipatya kAryam syAt-,
   svabhāvamevātipatediti kāryavilopaprasaṅga iti /	svaBAvam-eva-atipatet-iti kArya-vilopa-prasaFgaH iti /
   etacca sarvamātmatattvaviveke nipuṇataramupapāditamiti neha pratanyate /	etat-ca sarvam-Atma-tattva-viveke nipuNataram-upapAditam-iti na-iha pratanyate /
   evañca siddhe pratibandhe na pratibandyādeḥ pratibandyādeḥ	evaQca sidDe pratibanDe na pratibandya-AdeH pratibandya-AdeH
   kṣudropadravasyāvakāśaḥ /	kzudra-upadravasya-avakASaH /
   pratibandhasiddhāviṣṭāpādanāt, tadasiddhau tata eva tatsiddheḥ	pratibanDa-sidDa-Avizwa-ApAdanAt, tad-asidDO tatas eva tad-sidDeH
   aprasaṅgāditi /	aprasaFgAt-iti /
   nanu tasya sarvadā sarvatrāviśeṣe kāryasya sarvadotpattiprasaṅga iti	nanu tasya sarvadA sarvatra-aviSeze kAryasya sarva-dA-utpatti-prasaFgaH iti
   nirapekṣeśvarapakṣe doṣaḥ, sāpekṣe upekṣaṇīya evāstviti bālasya	nirapekza-ISvara-pakze dozaH, sa-apekze upekzaNIyaH eva-astu-iti bAlasya
   pradīpakalikākrīḍayaiva nagaradāhaḥ- tanna- sthemabhājo jagata	pradIpa-kalikA-krIxayA-eva nagara-dAhaH tat-na sTema-BAjaH jagata
   evākāraṇatvaprasaṅgāt /	eva-akAraNa-tva-prasaFgAt /
   omiti bruvataḥsaugatasya dattam (247) uttaraṃ prāk /	om-iti bruvataH-sOgatasya dattam (247) uttaram prAk /
   [ku.5.618] "ārṣaṃ dharmopadeśañca vedaśāstrāvirodhinā /	[ku.5.618] "Arzam Darma-upadeSaQca veda-SAstra-aviroDinA /
   yastarkeṇānusandhatte sa dharmaṃ veda netaraḥ //	yaH-tarkeNa-anusanDatte sa Darmam veda na-itaraH //
   (manu.12.106) tamimamarthamāgamaḥsaṃvadati, visaṃvadati tu pareṣāṃ	(manu.12.106) tam-imam-arTam-AgamaH-saMvadati, visaMvadati tu parezAm
   vicāram- "viśvataścakṣuruta viśvatomukho viśvatobāhuruta viśvataspāt /	vicAram "viSvataH-cakzuH-uta viSvatomuKaH viSvatobAhuH-uta viSvataspAd /
   saṃ bāhubhyāṃ dhamati saṃ patatrairdyāvābhūmī janayan deva ekaḥ" //	sam bAhuByAm Damati sam patatrEH-dyAvABUmI janayan devaH ekaH" //
   atr.a prathamena sarvajñatvam, cakṣuṣā dṛṣṭerupalakṣaṇāt /	atr.a praTamena sarvajQa-tvam, cakzuzA dRzweH-upalakzaNAt /
   dvitīyena sarvavaktṛtvam, mukhena vāgupalakṣaṇāt /	dvitIyena sarva-vaktR-tvam, muKena vAc-upalakzaNAt /
   tṛtīyena sarvasahakāritvam, bāhunā sahakāritvo(mattvo?)palakṣaṇāt /	tRtIyena sarva-sahakAri-tvam, bAhunA saha-kAritvaH-(mattva-u?)palakzaNAt /
   caturthena vyāpakatvam, padā vyāpterupalakṣaṇāt /	caturTena vyApaka-tvam, padA vyApteH-upalakzaNAt /
   pañcamena dharmādharmalakṣaṇapradhānakāraṇatvam; tau hi lokayātrāvahanād	paQcamena Darma-aDarma-lakzaNa-praDAna-kAraNa-tvam; tO hi lokayAtrA-vahanAt-
   bāhū /	bAhU /
   ṣaṣṭhena paramāṇurūpapradhānādhiṣṭheyatvam; te hi	zazWena paramANu-rUpa-praDAna-aDizWeya-tvam; te hi
   gatiśīlatvātpatatravyapadeśāḥ, patantīti /	gati-SIla-tvAt-patatra-vyapadeSAH, patanti-iti /
   sandhamati sañjanayanniti ca vyavahitopasargasambandhaḥ; tena saṃyojayati	sanDamati san-janayan=-iti ca vyavahita-upasarga-sambanDaH; tena saMyojayati
   samutpādayannityarthaḥ /	samutpAdayan=-iti-arTaH /
   dyāvā ityūrdhvasaptalokopalakṣaṇaṃ bhūmītyadhastāt, eka ityanāditeti /	dyAvAH iti-UrDva-sapta-loka-upalakzaNam BUmi-iti-aDas-tAt, ekaH iti-anAditA-iti /
   smṛtirapi- "ahaṃ sarvasya prabhavo mattaḥsarvaṃ pravartate" (gītā.10.8)	smRtiH-api "aham sarvasya praBavaH mattaH-sarvam pravartate" (gIta-a.10.8)
   ityādiḥ /	ityAdiH /
   etena brahmādipratipādakā āgamā boddhavyāḥ /	etena brahma-Adi-pratipAdakAH AgamAH bodDavyAH /
   [ku.5.619] āyojanāt khalvapi- svātantrye jaḍatāhānirnādṛṣṭaṃ dṛṣṭaghātakam	[ku.5.619] AyojanAt Kalu-api svAtantrye jaxa-tA-ha-aniH-na-adRzwam dRzwa-GAtakam
   hetvabhāve phalābhāvo viśeṣastu viśeṣavān //4 //	hetu-aBAve Pala-aBAvaH viSezaH-tu viSezavAn //4 //
   paramāṇvādayo (248) hi cetanā'yojitāḥ pravartante acetanatvāt vāsyādivat /	paramANu-AdayaH (248) hi cetanA-ayojitAH pravartante acetana-tvAt vA-asya-Adi-vat /
   anyathā kāraṇaṃ vinā kāryānutpattiprasaṅgaḥ;	anyaTA kAraNam vinA kArya-anutpatti-prasaFgaH;
   acetanakriyāyāścetanādhiṣṭhānakāryatvāvadhāraṇāt /	acetana-kriyAyAH-cetana-aDizWAna-kArya-tva-avaDAraNAt /
   [ku.5.620] kriyāviśeṣaviśrānto 'yamarthaḥ, na tu tanmātragocaraḥ /	[ku.5.620] kriyA-viSeza-viSrAntaH ayam-arTaH, na tu tanmAtra-gocaraH /
   ceṣṭā hi cetanādhiṣṭhānamapekṣata iti cet- atha keyaṃ ceṣṭā nāma? yadi	cezwA hi cetanA-aDizWAnam-apekzate iti cet aTa kA-iyam cezwA nAma? yadi
   prayatnavadātmasaṃyogāsamavāyikāraṇikā kriyā, prayatnamātrakāraṇiketi vā	prayatna-vat-Atma-saMyoga-asamavAyi-kAraNikA kriyA, prayatna-mAtra-kAraNikA-iti vA
   vivakṣitam- tanna- tasyaiva tatrānupādhitvāt /	vivakzitam tat-na tasya-eva tatra-anupADi-tvAt /
   atha hitāhitaprāptiparihāraphalatvaṃ tattvam- tanna-	aTa hita-ahita-prApti-parihAra-Pala-tvam tattvam tat-na-
   viṣabhakṣaṇodbandhanādyavyāpanāt /	viza-BakzaNa-udbanDana-Adya-vyApanAt /
   iṣṭāniṣṭaprāptiparihāraphalatvamiti cet- kartāraṃ prati, anyaṃ vā?	izwa-anizwa-prApti-parihAra-Pala-tvam-iti cet kartAram prati, anyam vA?
   ubhayathāpi paramāṇvādikriyāsādhāraṇyādaviśeṣaḥ /	uBayaTA-api paramANu-Adi-kriyA-sADa-araNyAt-aviSezaH /
   bhrāntasamīhāyā atathābhūtāyā api cetanavyāpārāpekṣaṇācca /	BrAnta-samIhAyAH ataTABUtAyAH api cetana-vyApAra-apekzaNAt-ca /
   śarīrasamavāyikriyātvaṃ taditi cenna- mṛtaśarīrakriyāyā api	SarIra-samavAyi-kriyA-tvam tat-iti ced-na mRta-SarIra-kriyAyAH api
   cetanapūrvakatvaprasakteḥ /	cetana-pUrvakatva-prasakteH /
   jīvata iti cenna- netraspandādeścetanādhiṣṭhānābhyupagamaprasaṅgāt /	jIvate iti ced-na netra-spanda-AdeH-cetana-aDizWAna-aByupagama-prasaFgAt /
   sparśavaddravyāntarāprayoge satīti cenna- jvalanapavanādau	sparSavat-dravya-antara-aprayoge sati-iti ca-id-na jvalana-pavana-AdO
   tathābhāvābhyupagamāpatteḥ /	taTA-aBAva-aByupagama-ApatteH /
   śarīrasya sparśavaddravyāntarāprayuktasyeti cenna- ceṣṭayaiva	SarIrasya sparSavat-dravya-antarA-prayuktasya-iti ced-na cezwayA-eva
   śarīrasyalakṣyamāṇatvāt /	SarIrasyalakzyamANa-tvAt /
   [ku.5.621] sāmānyaviśeṣaśceṣṭātvam, yata unnīyate prayatnapūrvikeyaṃ	[ku.5.621] sAmAnya-viSezaH-cezwA-tvam, yatas unnIyate prayatna-pUrvikA-iyam
   kriyeti cenna- kriyāmātreṇaiva tadunnayanāt /	kriyA-iti ced-na kriyA-mAtreNa-eva tad-unnayanAt /
   bhoktṛbuddhimatpūrvakatvaṃ yata iti cet- tarhi tadviśrāntatvameva tasya /	BoktR-budDimat-pUrvaka-tvam yatas iti cet tarhi tad-viSrAnta-tvam-eva tasya /
   nacaitāvataiva kriyāmātraṃ prayatnacetanamātrasya cetanādhiṣṭhānena	na-ca-etAvatA-eva kriyA-mAtram prayatna-cetana-mAtrasya cetanA-aDizWAnena
   vyāptirapasāryate /	vyAptiH-apasAryate /
   viśeṣasya viśeṣaṃ prati prayojakatayā sāmānyavyāptiṃ pratyavirodhakatvāt /	viSezasya viSezam prati prayojaka-tayA sAmAnya-vyAptim pratyaviroDaka-tvAt /
   anyathā sarvasāmānyavyāpterucchedādityuktam /	anyaTA sarva-sAmAnya-vyApteH-ucCedAt-iti-uktam /
   etenāśarīratvādinā satpratipakṣatvamapāstam /	etena-aSarIra-tva-AdinA sat-pratipakza-tvam-apAstam /
   [ku.5.622] atrāpyāgamasaṃvādaḥ- "yadā sa devo jāgarti tadedaṃ ceṣṭate	[ku.5.622] atra-api-Agama-saMvAdaH "yadA sa devaH jAgarti tadA-idam cezwate
   jagat /	jagat /
   yadā svapiti śāntātmā tadā sarvaṃ nimīlati" //	yadA svapiti SAnta-AtmA tadA sarvam nimIlati" //
   "ajño janturanīśo 'yamātmanaḥsukhaduḥkhayoḥ /	"ajQaH jantuH-anISaH ayam-AtmanaH-suKa-duHKayoH /
   īśvaraprerito gacchet svargaṃ vā śvabhrameva vā" //	ISvara-preritaH gacCet svargam vA SvaBram-eva vA" //
   "mayādhyakṣeṇ.a prakṛtiḥ sūyate sacarācaram /	"mayA-aDyakzeN.a prakRtiH sUyate sacarAcaram /
   (gī.9-10) tapāmyahamahaṃ varṣaṃ nigṛṇhāmyutsṛjāmi ca" //	(gI.9-10) tapAmi-aham-aham varzam nigRNhAmi-utsRjAmi ca" //
   (gī.9-19) ityādi /	(gI.9-19) ityAdi /
   atra jāgarasvāpau sahakārilābhālābhau /	atra jAgara-svApO sahakAri-lABa-alABO /
   īśvarapreraṇāyāmajñatvamaprayatamānatvañca hetū darśitau	ISvara-preraNAya-Ama-jQa-tvam-aprayata-mAna-tvaQca hetU darSitO
   paramāṇvādisādhāraṇau /	paramANu-Adi-sADAraNO /
   svargaśvabhre ca iṣṭāniṣṭopalakṣaṇe /	svarga-SvaBre ca izwa-anizwa-upa-lakzaNe /
   etadeva sarvādhiṣṭhānamuttaratra vibhāvyate, mayetyādinā /	etat-eva sarva-aDizWAnam-uttaratra viBAvyate, mayA-ityAdinA /
   na kevalaṃ preraṇāyāmahamadhiṣṭhātā, apitu pratirodhe 'pi /	na kevalam preraNAyAm-aham-aDizWAtA, apitu pratiroDe api /
   yo hi yatra prabhavati, sa tasya preraṇāvat dhāraṇe 'pi samarthaḥ,	yaH hi yatra praBavati, sa tasya preraNA-vat DAraNe api samarTaH,
   yathār'vācīraḥśarīraprāṇapreraṇadhāraṇayoriti darśitam, tapāmītyādinā /	yaTAr-avAcIraH-SarIra-prANa-preraNa-DAraNayoH-iti darSitam, tapAmi-ityAdinA /
   [ku.5.623] dhṛteḥ khalvapi /	[ku.5.623] DRteH Kalu-api /
   kṣityādi brahmāṇḍaparyantaṃ hi jagat sākṣāt paramparayā vā	kziti-Adi brahmANxa-paryantam hi jagat sAkzAt paramparayA vA
   vidhārakaprayatnādhiṣṭhitaṃ gurutve satyapatanadharmakatvāt viyati	viDAraka-prayatna-aDizWitam guru-tve satya-patana-Darmaka-tvAt viyati
   vihaṅgamaśarīravat tatsaṃyuktadravyavacca /	vihaFgama-SarIra-vat tad-saMyukta-dravya-vat-ca /
   etenendrāgniyamādilokapālapratipādakā apyāgamā vyākhyātāḥ /	etena-indra-agni-yama-Adi-lokapAla-pratipAdakAH api-AgamAH vyAKyAtAH /
   sarvāveśanibandhanaśca sarvatādātmyavyavahāraḥ, ātmaivedaṃ sarvamiti;	sarva-AveSa-nibanDanaH-ca sarva-tAdAtmya-vyavahAraH, AtmA-eva-idam sarvam-iti;
   yathaika eva māyāvī, "aśvo varāho vyāghro vānaraḥ kinnaro bhikṣustāpaso	yaTA-ekaH eva mAyAvI, "aSvaH varAhaH vyAGraH vAnaraH kinnaraH BikzuH-tApasaH-
   vipra" ityādiḥ /	vipra" ityAdiH /
   adṛṣṭādeva tadupapatteranyathāsidhdhamidamiti cet- (na?) tadbhāvepi	adRzwAt-eva tat-upapatteH-anyaTAsiDDam-idam-iti cet (na?) tad-BAvepi
   prayatnānvayavyatirekānuvidhānena tasyāpi sthitiṃ prati kāraṇatvāt /	prayatna-anvaya-vyatireka-anuviDAnena tasya-api sTitim prati kAraNa-tvAt /
   kāraṇaikadeśasya ca kāraṇāntaraṃ pratyanupādhitvāt /	kAraNa-eka-deSasya ca kAraNa-antaram pratyanupADi-tvAt /
   upādhitve vā sarveṣāmakāraṇatvaprasaṅgāt /	upADi-tve vA sarvezAm-akAraNa-tva-prasaFgAt /
   śarīrasthitirevam, na tvanyasthitiriti cenna- prāṇendriyayoḥ	SarIra-sTitiH-evam, na tu-anya-sTitiH-iti ced-na prANa-indriyayoH
   sthiteravyāpanāt /	sTiteH-avyApanAt /
   prāṅnyāyenāpāstatvācca /	prAc-nyAyena-apa-asta-tvAt-ca /
   [ku.5.624] atrāpyāgamaḥ, "etasya vā akṣarasya praśāsane gārgi	[ku.5.624] atra-api-AgamaH, "etasya vE akzarasya praSAsane gArgi
   dyāvāpṛthivyau vidhṛte tiṣṭhataḥ" /	dyAvApRTivyO viDRte tizWataH" /
   (bṛ.u.5-8-8) iti /	(bR.u.5-8-8) iti /
   praśāsanaṃ daṇḍabhūtaḥ prayatnaḥ /	praSAsanam daNxa-BUtaH prayatnaH /
   "uttamaḥ puruṣastvanyaḥ paramātmetyudāhṛtaḥ /	"uttamaH puruzaH-tu-anyaH paramAtmA-iti-udAhRtaH /
   yo lokatrayamāviśya vibhartyavyaya īśvaraḥ" /	yaH lokatrayam-AviSya viBarti-avyayaH ISvaraH" /
   (gī.15-17) iti smṛtiḥ /	(gI.15-17) iti smRtiH /
   atrottamatvamasaṃsāritvaṃ sarvajñatvādi ca /	atra-uttama-tvam-asaMsAri-tvam sarvajQa-tva-Adi ca /
   paramatvaṃ sarvopāsyatā /	parama-tvam sarva-upAsyatA /
   lokatrayamiti	lokatrayam-iti
   sarvopalakṣaṇam /	sarva-upalakzaNam /
   āveśo jñānacikīrṣāprayatnavataḥsaṃyogaḥ /	AveSaH jQAna-cikIrzA-prayatnavataH-saMyogaH /
   bharaṇaṃ dhāraṇam /	BaraNam DAraNam /
   avyayatvamāgantukaviśeṣaguṇaśūnyatvam /	avyaya-tvam-Agantuka-viSeza-guNa-SUnya-tvam /
   aiśvaryaṃ saṅkalpāpratighāta iti /	ESvaryam saFkalpa-apratiGAtaH iti /
   etena kūrmādiviṣayā apyāgamā vyākhyātāḥ /	etena kUrma-Adi-vizayAH api-AgamAH vyAKyAtAH /
   [ku.5.625] saṃharaṇāt khalvapi /	[ku.5.625] saMharaNAt Kalu-api /
   brahmāṇḍādi dvyaṇukaparyantaṃ jagat prayatnavadvināśyaṃ vināśyatvāt	brahmANxa-Adi dvi-aNuka-paryantam jagat prayatna-vat-vinASyam vinASya-tvAt-
   pāṭyamānapaṭavat /	pAwyamAna-pawa-vat /
   atrāpyāgamaḥ- "eṣa sarvāṇi bhūtāni svābhivyāpya mūrtibhiḥ /	atra-api-AgamaH "eza sarvANi BUtAni sva-aBivyApya mUrtiBiH /
   janmavṛddhikṣayairnityaṃ sambhrāmayati cakravat" //	janma-vRdDi-kzayEH-nityam samBrAmayati cakravat" //
   "sarvabhūtān.i kaunteya prakṛtiṃ yānti māmikām /	"sarva-BUtAn-.i kOnteya prakRtim yAnti mAmikAm /
   kalpakṣaye punastāni kalpādau visṛjāmyaham" //	kalpa-kzaye punar-tAni kalpa-AdO visRjAmi-aham" //
   (gī. 9-7) ityādiḥ /	(gI. 9-7) ityAdiH /
   etena raudramaṃśaṃ pratipādayantopyāgamā vyākhyātāḥ /	etena rOdram-aMSam pratipAdayanta-upya-AgamAH vyAKyAtAH /
   [ku.5.626] padāt khalvapi- kāryatvānnirūpādhitvamevaṃ dhṛtivināśayoḥ /	[ku.5.626] padAt Kalu-api kAryatvAt-nirUpa-aDi-tvam-evam DRti-vinASayoH /
   vicchedena padasyāpi pratyayādeśca pūrvavat //5 //	vicCedena padasya-api pratyaya-AdeH-ca pUrvavat //5 //
   padaśabdenātr.a padyate gamyate vyavahārāṅgamartho 'neneti vṛddhavyavahāra	pada-Sabdena-atr.a padyate gamyate vyavahAra-aFgam-arTaH anena-iti vRdDa-vyavahAra
   evocyate /	eva-ucyate /
   ato 'pīśvarasiddhiḥ /	atas api-ISvara-sidDiH /
   tathāhi - yadetat paṭādinirmāṇanaipuṇyaṃ kuvindādīnām, vāgvyavahāraśca	taTA-hi  yat-etat pawa-Adi-nirmANa-nEpuNyam kuvinda-AdInAm, vAc-vyavahAraH-ca
   vyaktavācām, lipitatkramavyavahāraśca bālānām, sa	vyakta-vAcAm, lipitat-krama-vyavahAraH-ca bAlA-nAm, sa
   sarvaḥsvatantrapuruṣaviśrāntaḥ vyavahāratvāt	sarvaH-svatantra-puruza-viSrAntaH vyavahAra-tvAt-
   nipuṇataraśilpinirmitāpūrvaghaṭaghaṭanānaipuṇyavat, caitramaitrādipadavat,	nipuNatara-Silpi-nirmitA-pUrva-Gawa-GawanA-nEpuNyavat, cEtra-mEtrAdi-padavat,
   patrākṣaravat, pāṇinīyavarṇanirdeśakramavacceti /	patra-akzaravat, pANinIya-varNa-nirdeSa-kramavat-ca-iti /
   [ku.5.627] ādimān vyavahāra evam, ayantvanīdiranyathāpi bhaviṣyatīticenna-	[ku.5.627] AdimAn vyavahAraH evam, ayantu-anIdiranyaTA-api Bavizyati-iticed-na-
   tadasiddheḥ /	tat-asidDeH /
   ādimattāmeva sādhayitumayamārambhaḥ /	AdimattAm-eva sADayitum-ayam-AramBaH /
   na caivaṃ saṃsārasyānāditvabhaṅgaprasaṅgaḥ, tathāpi tasyāvirodhāt /	na ca-evam saMsArasya-anAdi-tva-BaFga-prasaFgaH, taTA-api tasya-aviroDAt /
   na hi- caitrādivyavahāro 'yamādimāniti bhavasyāpyanāditā nāsti,	na hi cEtra-Adi-vyavahAraH ayam-AdimAn-iti Bavasya-api-anAditAH nAsti,
   tadanāditve vā na caitrādipadavyavahāropyādimāniti /	tad-anAdi-tve vA na cEtra-Adi-pada-vyavahAra-upya-AdimAn-iti /
   astvarvāgdarśī kaścidevātra mūlamiti cenna- tenāśakyatvāt /	astu-arvAgdarSI kaScid-eva-atra mUlam-iti ced-na tena-aSakya-tvAt /
   kalpādāvādarśābhāsasyāpyasiddheḥ /	kalpa-AdO=-AdarSa-ABAsasya-api-asidDeH /
   sādhitau ca sargapralayau /	sADitO ca sarga-pralayO /
   nanu vyavahārayitṛvṛddhaḥśarīrī samadhigataḥ,naceśvarastathā /	nanu vyavahArayitR-vRdDaH-SarIrI samaDigataH,-naceSvaraH-taTA /
   tatkathamevaṃ syāt- na- śarīrānvayavyatirekānuvidhāyini kārye	tat-kaTam-evam syAt na SarIra-anvaya-vyatireka-anuviDAyini kArye
   tasyāpitadvattvāt /	tasya-apita-dvat-tvAt /
   gṛṇhāti hi īśvaropi kāryavaśāccharīramantarāntarā; darśayati ca	gRNhAti hi ISvaropi kArya-vaSAt-SarIram-antarA-antarA; darSayati ca
   vibhūtimiti /	viBUtim-iti /
   atrāpyāgamaḥ- pitāhamasya jagato mātā dhātā pitāmahaḥ //	atra-api-AgamaH pitA-aham-asya jagataH mAtA DAtA pitAmahaH //
   (gī.9-17) tathā- yadi hyayaṃ na varteyaṃ (ya?) jātu karmaṇyatandritaḥ /	(gI.9-17) taTA yadi hi-ayam na varteyam (ya?) jAtu karmaNi-atandritaH /
   mama vartmānuvartante manuṣyāḥ pārtha sarvaśaḥ //	mama vartma-anuvartante manuzyAH pArTa sarvaSas //
   utsīdeyurime lokā na kuryāṃ karma cedaham /	utsIdeyuH-ime lokAH na kuryAm karma ced-aham /
   iti /	iti /
   (gī.3-23,24) etena,"namaḥ kulālebhyaḥ karmārebhya" ityādi yajūṃṣi	(gI.3-23,24) etena,"namaH kulAleByaH karmAreBya" ityAdi yajUMzi
   boddhavyāni /	bodDavyAni /
   [ku.5.628] pratyayo 'pi (yādapi?) /	[ku.5.628] pratyayaH api (yAt-api?) /
   pratyayaśabdenātra samāśvāsaviṣayaprāmāṇyamucyate /	pratyaya-Sabdena-atra samASvAsa-vizaya-prAmANyam-ucyate /
   tathāca prayogaḥ-(249) āgamasampradāyo 'yaṃ kāraṇaguṇapūrvakaḥ pramāṇatvāt	taTA-ca prayogaH-(249) Agama-sampradAyaH ayam kAraNa-guNa-pUrvakaH pramANa-tvAt-
   pratyakṣādivat /	pratyakza-Adi-vat /
   nahi prāmāṇyapratyayaṃ vinā kvacit samāśvāsaḥ /	nahi prAmANya-pratyayam vinA kvacid samASvAsaH /
   nacāsiddhasya prāmāṇyasya pratītiḥ /	naca-asidDasya prAmANyasya pratItiH /
   na ca svataḥ pramāṇyamityāveditam /	na ca svatas pramANyam-iti-Aveditam /
   na ca nedaṃ pramāṇam, mahājanaparigrahādityuktam /	na ca na-idam pramANam, mahA-jana-parigrahAt-iti-uktam /
   na cāsarvajño dharmādharmayoḥsvātantryeṇa prabhavati /	na ca-asarvajQaH Darma-aDarmayoH-svAtantryeNa praBavati /
   nacāsarvajñasya guṇavatteti niḥśaṅkametat /	nacA-sarva-jQasya guNavat-tA-iti niHSaFkam-etat /
   [ku.5.629] śruteḥ khalvapi /	[ku.5.629] SruteH Kalu-api /
   tathāhi- sarvajñapraṇītā (250) vedāḥ vedatvāt /	taTA-hi sarvajQa-praNItAH (250) vedAH veda-tvAt /
   yat punarna sarvajñapraṇītam, nāsau vedo yathetaravākyam /	yat punar-na sarvajQa-praNItam, na-asO vedaH yaTA-itara-vAkyam /
   nanu kimidaṃ vedatvaṃ nāma? vākyatvasyādṛṣṭaviṣayavākyatvasya ca	nanu kim-idam veda-tvam nAma? vAkya-tvasya-adRzwa-vizaya-vAkya-tvasya ca
   viruddhatvāt /	virudDa-tvAt /
   adṛṣṭaviṣayapramāṇavākyatvasya cāsiddheḥ,manvādi vākye gatatvena	adRzwa-vizaya-pramANa-vAkya-tvasya ca-asidDeH,m-anu-Adi vAkye gata-tvena
   virodhācceticenna- anupalabhyamānamūlāntaratve sati	viroDAt-ceticed-na anupalaByamAna-mUla-antara-tve sati
   mahājanaparigṛhītavākyatvasya tattvāt /	mahA-jana-parigRhIta-vAkya-tvasya tattvAt /
   na hyaramadādīnāṃ pratyakṣādi mūlam /	na hi-aramat-AdInAm pratyakza-Adi mUlam /
   nāpi bhramavipralipse, mahājanaparigrahādityuktam /	na-api Brama-vipralipse, mahA-jana-parigrahAt-iti-uktam /
   nāpi paramparaiva mūlam, mahāpralaye vicchedādityuktam /	na-api paramparA-eva mUlam, mahApralaye vicCedAt-iti-uktam /
   [ku.5.630] anvayato vā /	[ku.5.630] anvayataH vA /
   vedavākyāni pauruṣeyāṇi vākyatvādasmadādivākyavat /	veda-vAkyAni pOruzeyANi vAkya-tvAt-asmad-Adi-vAkya-vat /
   asmaryamāṇakartṛkatvānnaivamiti cenna- asiddheḥ /	asmaryamANa-kartRka-tvAt-na-evam-iti ca-id-na asidDeH /
   "anantarañca vaktrebhyo vedāstasya viniḥsṛtāḥ" /	"anantaraQca vaktreByaH vedAH-tasya viniHsRtAH" /
   "pratimanvantarañcaiṣā śrutiranyā vidhīyate" /	"pratimanvantaraQcA-ezA SrutiH-anyA viDIyate" /
