   prathamo vilāsaḥ	praTamaH vilAsaH
   paśvādatikrāntaprayāṇalagnapariśodhanaṃ kriyata ityapakramatvam /	paSvAt-atikrAnta-prayANa-lagna-pariSoDanam kriyate iti-apakrama-tvam /
   citrahetvādiṣu prāyo guṇatāmasya manvate // Ckc_3.15 //	citra-hetu-Adizu prAyas guNa-tAm-asya manvate // Ckd-_3.15 //
   yathā	yaTA
   paścānmuñcati te cittaṃ kṣamāṃ śrīsiṅgabhūpate /	paScAt-muQcati te cittam kzamAm SrI-siFga-BUpate /
   purastādeva muñcanti paurastyā bhūbhujaḥ kṣamāḥ // Ckc_3.*22 //	purastAt-eva muQcanti pOrastyAH BUBujaH kzamAH // Ckd-_3.*22 //
   atra pūrvabhāvino nāyakacitte titikṣāmokṣaṇasya hetoḥ, hetumataḥ	atra pUrva-BAvinaH nAyaka-citte titikzA-mokzaNasya hetoH, hetumataH
   paśvādbhāvinaḥ pratirājanijadeśamokṣaṇasya ca	paSvAt-BAvinaH pratirAja-nija-deSa-mokzaNasya ca
   paurvāparyaviparyasādapakramatve 'pi nāyakatitikṣāmokṣaṇasya	pOrvAparya-viparyasAt-apakrama-tve api nAyaka-titikzAma-ukzaNasya
   deśamokṣaṇalakṣaṇapratirājasādhvasoddīpanaprakāśanaparatvādadoṣaḥ /	deSa-mokzaNa-lakzaNa-pratirAja-sADvasa-uddIpana-prakASana-para-tvAt-adozaH /
   pratyakṣaniṣṭhurārthaṃ yatparuṣaṃ tannigadyate // Ckc_3.16 //	pratyakza-nizWura-arTam yat-paruzam tat-nigadyate // Ckd-_3.16 //
   yathā	yaTA
   gaṇaḍagrāvatale nipātayata vā gartāntare datta vā vyāghrāṇāṃ purataḥ	gaNaxa-grAva-tale nipAtayata vA garta-antare datta vA vyAGrANAm puratas-
   parikṣipata vā vyākrośato bālakān /	parikzipata vA vyAkroSataH bAlakAn /
   hantāmī parito vanaṃ mṛgayataḥ kṣmāpālacūḍāmaṇeḥ vartante bhavatībhiradya	hantA-amI paritas vanam mRgayataH kzmApAla-cUxAmaNeH vartante BavatIBiH-adya
   hivayaṃ sarve 'pi dahyāmahe // Ckc_3.*23 //	hivayam sarve api dahyAmahe // Ckd-_3.*23 //
   atra nāyakacamūdhāṭībhayena giriguhāsu līnānāṃ kulīnakuṭumbinīruddiśya	atra nAya-ka-camUDAwI-Bayena giri-guhAsu lInAnAm kulIna-kuwumbinIH-uddiSya
   bālakarodananivāraṇābhiprāyamātrāṇyapi pratyakṣe rūkṣārthānyakṣarāṇi	bAlakarodana-nivAraNa-aBiprAya-mAtrANi-api pratyakze rUkza-arTAni-akzarANi
   gaditānīti paruṣatvam /	gaditAni-iti paruza-tvam /
   hitopadeśātikrāntasmaraṇādau ca tad guṇaḥ // Ckc_3.17 //	hita-upadeSa-atikrAnta-smaraNa-AdO ca tat guNaH // Ckd-_3.17 //
   hitopadeśe yathā	hita-upadeSe yaTA
   asmadvakṣasijadvayātkimu sukhaṃ svardanti kumbhadvayaṃ pīyūṣaṃ kimu	asmad-vakzasija-dvayAt-kimu suKam svardanti kumBa-dvayam pIyUzam kim-u
   sāramasmadadharādasmādapasmāritam /	sAram-asmad-aDarAt-asmAt-apasmAritam /
   ko 'yaṃ vo janiteti sāhasarasān śrīvīrasiṅghaprabho	kaH ayam vaH janitA-iti sAhasa-rasAn SrI-vIra-siFGa-praBo
   saṃrambhādapasārayantyarinṛpān prauḍhāḥ pratītoktibhiḥ // Ckc_3.*24 //	saMramBAt-apasArayanti-ari-nRpAn prOXAH pratIta-uktiBiH // Ckd-_3.*24 //
   atra māraṇaśūcanābhiprāyeṇa paruṣatve 'pi maraṇaparyavasāyī balavatā	atra mAraNa-SUcana-aBiprAyeNa paruza-tve api maraNa-paryavasAyI balavatA
   nāyakena virodhaḥ pariharaṇīya iti hitopadeśatvād guṇatvam /	nAyakena viroDaH pariharaNIyaH iti hita-upadeSa-tvAt guNa-tvam /
   atikrāntasmaraṇe yathā	atikrAnta-smaraNe yaTA
   yanmukto 'yamajihvikā priyasakhā tvatkhaḍgadhārāmukhād yo dṛṣṭo na ca taiḥ	yat-muktaH ayam-ajihvikA priya-saKA tvad-Kaxga-DArA-muKAt yaH dRzwaH na ca tEH
   kirātahatakairdurgopahārodyataiḥ /	kirAta-hatakEH-durga-upahAra-udyatEH /
   tacvanmaṅgala sūtravaibhava miti prastauti siṅgaprabhor	tacvat-maFgala sUtra-vEBava miti prastOti siFga-praBoH-
   dhāṭīsaṃbhramanaṣṭaduṣṭapatikā ñcaikāṃ striyaṃ bandhutā // Ckc_3.*25 //	DAwI-saMBrama-nazwa-duzwa-patikA Qca-ekAm striyam banDu-tA // Ckd-_3.*25 //
   atra prathamārdhe paruṣatve 'pi saṃbhāvitātikrāntānuvādamātraparatvād	atra praTama-arDe paruza-tve api saMBAvita-atikrAnta-anuvAda-mAtra-paratvAt-
   guṇatvam /	guNa-tvam /
   virasaṃ virasārthassyādanaucityakalaṅkataḥ // Ckc_3.18 //	virasam virasa-arTa-ssyAt-anOcitya-kalaFkataH // Ckd-_3.18 //
   yathā	yaTA
   śrutvā siṅgakṣitipatiraṇārambhagambhīraghoṣān śuṣyattālu	SrutvA siFga-kzitipa-tiH-aNa-AramBa-gamBIra-GozAn Suzyat-tAlu
   pratinṛpatayasstabdhajaṅghaṃ patantaḥ /	pratinRpatayaH-stabDajaFGam patantaH /
   saṃmuhyante śrutiṣu marutāṃ śailakāntāradeśe niryāntīṣu śrutipujasukhaṃ	saMmuhyante Srutizu marutAm SEla-kAntAra-deSe niryAntIzu Sruti-puja-suKam
   vaiṇavībhyo vapābhyaḥ // Ckc_3.*26 //	vENavIByaH vapAByaH // Ckd-_3.*26 //
   atra dhāṭībhayena palāyamānānāṃ manasaḥ	atra DAwI-Bayena palAyamAnAnAm manasaH
   kīcakarandhrasamīraṇaśravaṇasukhānusandhānamanucitamiti virasatvam /	kIcaka-ranDra-samIraNa-SravaNa-suKa-anusanDAnam-anucitam-iti virasa-tvam /
   apradhānasya vijñeyo guṇībhāvo 'sya kovidaiḥ // Ckc_3.19 //	apraDAnasya vijQeyaH guNIBAvaH asya kovidEH // Ckd-_3.19 //
   yathā	yaTA
   kastūryā tatkapola dvayabhuvi makarī nirmitau prastutāyāṃ nirmitsūnāṃ	kastUryA tad-kapola dvaya-Buvi makarI nirmitO prastutAyAm nirmitsUnAm
   svavakṣasyatiparicayācvatpraśasterupāṃśu /	sva-vakzasi-ati-paricaya-acvat-praSasteH-upAMSu /
   vīra śrīsiṅgabhūpa tvadahitakubhujāṃ rājyalakṣmīsapatnī- mānavyājena	vIra SrI-siFga-BUpa tvad-ahita-kuBujAm rAjya-lakzmI-sapatnI mAna-vyAjena
   lajjāṃ sapadi vidadhate svāvarodhāḥ pragalbhāḥ // Ckc_3.*27 //	lajjAm sapadi vidaDate sva-avaroDAH pragalBAH // Ckd-_3.*27 //
   atra pratināyakagatā nāyakabirudavilekhananimittayā janitā	atra pratinAyaka-gatA nAyaka-biruda-vileKana-nimittayA janitA
   svāvarodhasānnidhyādibhiruddīpitā lajjānumitaiḥ	sva-avaroDa-sAnniDi-a-AdiBiH-uddIpitAH lajjA-anumitEH
   nirvedadainyaviṣādādibhirabhivyaktā nirvedadainyaviṣādādibhirupacitā	nirveda-dEnya-vizAda-AdiBiH-aBivyaktA nirveda-dEnya-vizAda-AdiBiH-upacitA
   tadanu tadanumitaireva mānasikakutsādibhirabhivyaktā nijajīvitajugupsā ca	tadanu tad-anumitEH-eva mAnasika-kutsa-AdiBiH-aBivyaktA nija-jIvita-jugupsA ca
   svāvarodhaviṣayā tatprāgalbhūyādibhiruddīpitā	sva-avaroDa-vizayA tad-prAgalBUyAdiBiH-uddIpitA
   makarikātapatranirmāṇadibhirabhivyaktā tadanumitaiḥ harṣādibhirupacitā	makarika-Atapatra-nirmANa-diBiH-aBivyaktA tad-anumitEH harza-AdiBiH-upacitA
   ratiśva nirbharamekatra saṃniveśita ityanaucityena virasatve 'pi	rati-Sva nirBaram-ekatra saMniveSitaH iti-anOcityena virasa-tve api
   tayornāyakabirudavileśanahetutayā nāyakakṛpākaṭākṣaprasāda sampannatayā ca	tayoH-nAyaka-biruda-vileSana-hetu-tayA nAyaka-kRpA-kawAkza-prasAda sampanna-tayA ca
   na saṃbhāvyamānayośśaraṇāgatarakṣaṇalakṣaṇanāyakagataparopakāratvenā	na saMBAvyamAnayoH-SaraNa-Agata-rakzaNa-lakzaNa-nAyaka-gata-para-upakAra-tvena-a
   prādhānyādaduṣṭatvam //	prADAnyAt-aduzwa-tvam //
   prakrāntabhaṅgyanirvāho bhinnamāhurmanīṣiṇaḥ // Ckc_3.20 //	prakrAnta-BaFgya-nirvAhaH Binnam-AhuH-manIziNaH // Ckd-_3.20 //
   yathā	yaTA
   gauḍīpānamadālasāḥ parigaladdhammillamallīsrajaḥ savyājaskhalitoktayo	gOxI-pAna-mada-alasAH parigalat-Dammilla-mallI-srajaH sa-vyAja-sKalita-uktayo
   madavatīsīmantaratnaśriyaḥ /	madavatI-sImanta-ratna-SriyaH /
   tāruṇyodadhiśīkarā smarakalāsāmrājyasiddhikriyāḥ śrīsiṅgakṣitipāla	tAruNya-udaDi-SIkarA smara-kalA-sAmra-Ajya-sidDi-kriyAH SrI-siFga-kzitipAla
   tāvakaguṇān gāyanti gauḍāṅganāḥ // Ckc_3.*28 //	tAvaka-guNAn gAyanti gOxa-aFganAH // Ckd-_3.*28 //
   atra mattajātyupakramasya madavatītyādiguṇavarṇanenānirvāhād guṇatvam /	atra matta-jAti-upakramasya madavatI-ityAdi-guNa-varNanena-anirvAhAt guNa-tvam /
   asyāpi guṇatā kvāpi yadi chāyā na hīyate // Ckc_3.21 //	asya-api guNa-tA kvApi yadi CAyA na hIyate // Ckd-_3.21 //
   yathā grīṣmo niḥśvasiteṣu locanayuge varṣāḥ śaradgaṇḍayoriti pūrvodāhṛteṣu	yaTA grIzmaH niHSvasitezu locana-yuge varzAH Sarad-gaNxayoH-iti pUrva-udAhRtezu
   ṛtuṣvekavacanaprakramasya varṣā iti bahuvacanopādānād bhinnatve 'pi	Rtuzu-eka-vacana-prakramasya varzAH iti bahuvacana-upAdAnAt Binna-tve api
   bhūmnyeva varṣā ityanuśāsanād	BUmni-eva varzAH iti-anuSAsanAt-
   bahuvacanaśruterapyarthaikyasyātyājyatvādekavacanachāyā na hīyata iti	bahuvacana-SruteH-api-arTa-Ekyasya-atyAjya-tvAt-ekavacana-CAyA na hIyate iti
   guṇatvam /	guNa-tvam /
   yadaśraddheyamatyuktamatimātraṃ taducyate // Ckc_3.22 //	yat-aSradDeyam-atyuktam-atimAtram tat-ucyate // Ckd-_3.22 //
   yathā	yaTA
   śrīsiṅgabhūpāla tavāhitānāṃ niḥśvāsavegā girikānanāni /	SrI-siFga-BUpAla tava-ahitAnAm niHSvAsa-vegAH giri-kAnanAni /
   kurvanti nirdagdhanikuñjapuñjaṃ paryastagaṇḍopalamaṇḍalāni // Ckc_3.*29 //	kurvanti nirdagDa-nikuQja-puQjam paryasta-gaNxa-upala-maNxalAni // Ckd-_3.*29 //
   atra parābhavabhārādatyuṣṇānāmatibahulānāmapi ripunṛpāla	atra parABava-BArAt-ati-uzNAnAm-ati-bahulAnAm-api ripu-nRpAla
   niḥśvāsavegānāmābhogo	niHSvAsa-vegAnAm-ABogaH-
   tathāvidhadāhakakṣepakatvayoraśraddheyatvamityatimātratvam /	taTAviDa-dAhaka-kzepaka-tvayoH-aSradDeya-tvam-iti-atimAtra-tvam /
   asyāpi guṇatāṃ kecidyathāpūrvaṃ samarthane /	asya-api guNatAm kecid-yaTApUrvam samarTane /
   vadantyanye tu sarasā lokasthityanurodhataḥ // Ckc_3.23 //	vadanti-anye tu sarasA loka-sTiti-anuroDataH // Ckd-_3.23 //
   ādyaṃ yathā	Adyam yaTA
   śrīsiṅgakṣitipāla tāvakacamūdhāṭīṣu vājichaṭā	SrI-siFga-kzitipAla tAvakacamU-DAwIzu vAji-CawA
   riṃkhoddhūtarajobhirambunidhayo viśve 'pi gādhīkṛtāḥ /	riMKa-udDUta-rajoBiH-ambuniDayaH viSve api gADIkRtAH /
   cañcatketupaṭāntavāntapavanair bhūyopyagādhīkṛtāḥ bhadre bhendramadāmbunā	caQcat-ketu-pawa-antavAnta-pavanEH BUya-upya-ga-aDIkRtAH Badre Bendra-mada-ambunA
   punaramī pūrvādhikaṃ pūritāḥ // Ckc_3.*30 //	punar-amI pUrva-aDikam pUritAH // Ckd-_3.*30 //
   atra senāvājirajasā samudrāṇāṃ śoṣaṇa sthalīkaraṇādiratimātratve 'pi	atra senA-vAji-rajasA samudrANAm SozaNa sTalIkaraNa-AdiH-atimAtra-tve api
   punarapivāripūrakalpanayā vastusthiteravirodhād gāḍhamārgānuvartināṃ	punar-api-vAri-pUra-kalpanayA vastu-sTiteH-aviroDAt gAXa-mArga-anuvartinAm
   vidagdhānāmatiguṇatvam /	vidagDAnAm-ati-guNa-tvam /
   dvitīyaṃ yathā	dvitIyam yaTA
   yātreyaṃ kuladevatāsu kimutodvāhakramo bhūbhujām ācārā nu sakhīti vā	yAtrA-iyam kula-devatAsu kim-uta-udvAha-kramaH BUBujAm AcArA nu saKI-iti vA
   pratipataṃ vadhvā vivāhotsave /	pratipatam vaDvAH vivAha-utsave /
   dhāṭīsaṃśravaṇā tpalāyanavatāṃ śrīsiṅgabhūpadviṣāṃ rājñāṃ marmanikṛntane	DAwI-saMSravaNA tpalAyanavatAm SrI-siFga-BUpadvizAm rAjQAm marma-nikRntane
   paṭutarā tanmaṇḍalāgrādapi // Ckc_3.*31 //	pawutarA tad-maNxalAgrAt-api // Ckd-_3.*31 //
   atra vācāṃ khaḍgādapi hṛdayamarmabhedakathanā datimātratve 'pi tādṛśānāṃ	atra vAcAm KaxgAt-api hRdaya-marma-Beda-kaTanAH dati-mAtra-tve api tAdRSAnAm
   tādṛśāni vacanāni vajrādapi hṛdayamarmāṇi bhindanti /	tAdRSAni vacanAni vajrAt-api hRdaya-marmANi Bindanti /
   kimuta khaḍgādiriti lokasthiteranuvartanādvidarbhamārgānusāriṇāṃ	kim-uta Kaxga-AdiH-iti loka-sTiteH-anuvartanAt-vidarBa-mArga-anusAriNAm
   dākṣiṇātyānāmatiguṇatvam /	dAkziNAtyAnAm-ati-guNa-tvam /
   nātisphuṭacamatkāramanujjvalamitīritam // Ckc_3.24 //	na-ati-sPuwa-camatkAram-anujjvalam-iti-Iritam // Ckd-_3.24 //
   yathā	yaTA
   kroḍān khananti vipine bhakṣayanti mṛgān kuśān /	kroxAn Kananti vipine Bakzayanti mRgAn kuSAn /
   nidrānti pādapachāye kalyāṇanṛpavidviṣaḥ // Ckc_3.*32 //	nidrAnti pAdapa-CAye kalyANa-nRpa-vidvizaH // Ckd-_3.*32 //
   atra vidviṣāṃ nagareṣu bhayavyākulatayā kadācidapi nidrā cakṣuḥ nopaiti	atra vidvizAm nagarezu Baya-vyAkula-tayA kadAcid-api nidrA cakzuH na-upEti
   bhraṣṭarājyāstu kāntāre vanyajantuvat visrabdhā nidrāntīti vivakṣitasyāpi	Brazwa-rAjyAH-tu kAntAre vanya-jantu-vat visrabDAH nidrAnti-iti vivakzitasya-api
   camatkārasyātikleśena pratīte rasphuṭālaṅkāratvāccānujjvalatvam /	camatkArasya-ati-kleSena pratIte rasPuwa-alaFkAra-tvAt-ca-anujjvala-tvam /
   vidagdhahṛdayāḥ vkāpi tasyāpi guṇatāṃ viduḥ // Ckc_3.25 //	vidagDa-hRdayAH vkA-api tasya-api guNatAm viduH // Ckd-_3.25 //
   yathā "sarve grahā sanakṣatrā" ityādi pūrvodāhṛtam /	yaTA "sarve grahAH sa-nakzatrA" ityAdi pUrva-udAhRtam /
   atra jātyādyarthālaṅkāraviraheṇānujjvalatve 'pi	atra jAti-Adi-arTa-alaFkAra-viraheNa-anujjvala-tve api
   śuddhaśrotriyāśīrvādānukaraṇatvād guṇatvam /	SudDa-Srotriya-ASIrvAda-anukaraNa-tvAt guNa-tvam /
   spaṣṭaṃ nīcopamānādi6yaṃ nāmnaiva lakṣitam // Ckc_3.26 //	spazwam nIca-upamAna-Adi6yam nAmnA-eva lakzitam // Ckd-_3.26 //
   nīcādhikopamāne yathā	nIca-aDika-upamAne yaTA
   śrīsiṅgabhūpa bhavadīyakṛpāṇarekhām ālokya paktimakuśāgraniśātadhārām /	SrI-siFga-BUpa BavadIya-kRpANa-reKAm Alokya paktim-akuSa-agra-niSAta-DArAm /
   līnāḥ praviśya vipinaṃ pradarāntarālaṃ nārāyaṇodaradarīmiva vairibhūpāḥ //	lInAH praviSya vipinam pradara-antarAlam nArAyaNa-udara-darIm-iva vEri-BUpAH //
   Ckc_3.*33 //	Ckd-_3.*33 //
   atra khaḍgadhārāṃ prati kuśadhārāyāmatiniśātatve nīcatvādatinīcopamānatvaṃ	atra Kaxga-DArAm prati kuSaDArAyAm-ati-niSAta-tve nIca-tvAt-ati-nIca-upamAna-tvam
   vipinapradaraṃ prati vaipulyena nārāyaṇodarasyātyādhikyādadhikopamānatvam	vipina-pradaram prati vEpulyena nArAyaNa-udarasya-ati-ADikyAt-aDika-upamAna-tvam
   asadṛkṣopamānatvaṃ yathā	asat-RkzA-upamAna-tvam yaTA
   maṇḍalīkṛtakodaṇḍo raṇe kalyāṇabhūpatiḥ /	maNxalIkRta-kodaNxaH raNe kalyANa-BUpatiH /
   karakampitakalhāro mīnāhka iva rājate // Ckc_3.*34 //	kara-kampita-kalhAraH mInAhkaH iva rAjate // Ckd-_3.*34 //
   atra kodaṇḍasaugandhikayoḥ sāmyagandhasyābāvādasadṛkṣopamānatvam /	atra kodaNxa-sOganDikayoH sAmya-ganDasya-AbAvAt-asat-RkzA-upamAna-tvam /
   ādyayostu guṇībhāvaḥ kadāpi kavikauśalāt // Ckc_3.27 //	AdyayoH-tu guNIBAvaH kadApi kavi-kOSalAt // Ckd-_3.27 //
   yathā	yaTA
   paripanthini siṅganṛpo dhanakaṇikāṃ kanakagiririvādatte /	paripanTini siFga-nRpaH Dana-kaNikAm kanakagiriH-iva-Adatte /
   pātre tiṣṭhati purataḥ tṛṇakaṇavacyajati kanakāni // Ckc_3.*35 //	pAtre tizWati puratas tRNa-kaNavacyajati kanakAni // Ckd-_3.*35 //
   atra kanakagiritṛṇakaṇayoratyadhikanīcayorupamānatve 'pi	atra kanaka-giri-tRNa-kaNayoH-atyaDika-nIcayoH-upamAna-tve api
   nāyakasyārthadharmārjanāpramādāvati śayavivakṣāyāṃ na duṣyataḥ /	nAyakasya-arTa-Darma-arjana-apramAdA=-ati Saya-vivakzAyAm na duzyataH /
   asadṛkṣopamānasya vyatirekopamādiṣu /	asat-RkzA-upamAnasya vyatireka-upama-Adizu /
   yathā	yaTA
   avivekī na surabhivat cintāmaṇiriva na yāti kāṭhinyam /	avivekI na suraBi-vat cintAmaNiH-iva na yAti kAWinyam /
   śrīsiṅgabhūpatilakaḥ śiva śiva bhūlokabhāgyasaubhāgyam // Ckc_3.*36 //	SrI-siFga-BUpa-tilakaH Siva Siva BU-loka-BAgya-sOBAgyam // Ckd-_3.*36 //
   atropamānopameyayorvaiṣamye 'pi vyatirekopamānatvād guṇatvam /	atra-upamAna-upameyayoH-vEzamye api vyatireka-upamAna-tvAt guNa-tvam /
   aprasiddhopamānaṃ tu bhavedaprathitopamam // Ckc_3.28 //	aprasidDa-upamAnam tu Bavet-apraTita-upamam // Ckd-_3.28 //
   yathā	yaTA
   hanta saugandhikakarāḥ sphuṭakokanadāṃghrayaḥ /	hanta sOganDika-karAH sPuwa-kokanada-aMGrayaH /
   śrīkiṅgabhūpadhāṭībhiḥ jarjarā ghūrjarastriyaḥ // Ckc_3.*37 //	SrI-kiFga-BUpa-DAwIBiH jarjarAH GUrjara-striyaH // Ckd-_3.*37 //
   atra saugandhikakokanadayoḥ kāntākaracaraṇopamānatvena kaviprayogeṣu na	atra sOganDika-kokanadayoH kAntA-kara-caraNa-upamAna-tvena kavi-prayogezu na
   prasiddhiriti duṣṭatvam /	prasidDiH-iti duzwa-tvam /
   asyāpi guṇatā vkāpi taraṅgitacamatkṛteḥ // Ckc_3.29 //	asya-api guNa-tA vkA-api taraFgita-camatkRteH // Ckd-_3.29 //
   yathā	yaTA
   śrīsiṅgabhūpāla bhavatprayuktanārācapaṅktyā paritaḥ patantyā /	SrI-siFga-BUpAla Bavat-prayukta-nArAca-paFktyA paritas patantyA /
   arāji vīrāhita rājakaṇṭhe surāṅganāsaṃvaraṇasrajeva // Ckc_3.*38 //	arAji vIrAhita rAja-kaNWe sura-aFganA-saMvaraNa-srajA-iva // Ckd-_3.*38 //
   atra nārājapaṅiktasvayaṃvaraṇasrajorupameyopamānabhāvāprasiddhāvapi	atra na-arAja-paFikta-svayaMvaraNa-srajoH-upameya-upamAna-BAva-aprasidDO=-api
   surāṅgānāṃ bhoga hetutvasāmyācchamatkārātisya iti guṇatvam /	sura-aFgAnAm Boga hetu-tva-sAmyAt-SamatkAra-atisyaH iti guNa-tvam /
   aślīlaṃ tadvinirdiṣṭaṃ yadaślīlapratītikṛt // Ckc_3.30 //	aSlIlam tat-vinirdizwam yat-aSlIla-pratIti-kRt // Ckd-_3.30 //
   yathā	yaTA
   uddīpitāḥ prahāreṇa bhūpāla tava śātravāḥ /	uddIpitAH prahAreNa BUpAla tava SAtravAH /
   randhre prahartumauddhatyādunnamanti namanti ca // Ckc_3.*39 //	ranDre prahartum-OdDatyAt-unnamanti namanti ca // Ckd-_3.*39 //
   atra prahāroddīpanaṃ randhraprahārāya namanonnamane ca śiśne 'pi vidyete	atra prahAra-uddIpanam ranDra-prahArAya namana-unnamane ca SiSne api vidyete
   iti tatpratīteraślīlatvam /	iti tad-pratIteH-aSlIla-tvam /
   asyāpi guṇatā jñeyā kavīndrasvīkṛtādiṣu // Ckc_3.31 //	asya-api guNa-tA jQeyA kavi-indra-svIkRta-Adizu // Ckd-_3.31 //
   yathā	yaTA
   jitvā tatpariraṃbhaṇa prakṛtikaṃ dyūte sakhīnāṃ puraḥ śāryāropaṇasūcite	jitvA tad-pariraMBaNa prakRtikam dyUte saKInAm puras SAryAropaNa-sUcite
   paṇavidhau śrīsiṅgabhūmībhujā /	paNa-viDO SrI-siFga-BUmIBujA /
   mandasmerakapolakāntilaharīsaṃkrāntavaktrekṣaṇā sāsvinnāṅguli	manda-smera-kapola-kAnti-laharI-saMkrAnta-vaktra-IkzaNA sa-asvinna-aFguli
   śārikāparikaraṃ sajjīkaroti priyā // Ckc_3.*40 //	SArikA-parikaram sajjIkaroti priyA // Ckd-_3.*40 //
   atra śārikāstryupari śārikāropaṇena pumbhāvakelirūpasyāślīlasya	atra SArikAH-trI-upari SArikA-AropaNena pumBAvakeli-rUpasya-aSlIlasya
   pratīteraślīlatve 'pi kavibhirevaṃvidhasyāslīlasyāṅgīkārād guṇatvam /	pratIteH-aSlIla-tve api kaviBiH-evaMviDasya-aslIlasya-aFgIkArAt guNa-tvam /
   kutra kavibhirevamurarīkṛtamiti cettarhi sādhu sarvato nidarśayāmaḥ /	kutra kaviBiH-evam-urarIkRtam-iti ced-tarhi sADu sarvatas nidarSayAmaH /
   tathā hi	taTA hi
   tadānanaṃ mṛtsurabhi kṣitīśvaro rahasyupāghrāya na tṛptimāyayau //	tat-Ananam mRd-suH-aBi kzitISvaraH rahasi-upAGrAya na tRptim-AyayO //
   Ckc_3.*41 //	Ckd-_3.*41 //
   --iti raghuvaṃśe	---iti raGu-vaMSe
   kliṣṭacandramadayaiḥ kacagrahairutpathāhitanakhaṃ samatsaram /	klizwa-candramadayEH kaca-grahEH-utpaTa-ahita-naKam sa-matsaram /
   tasyatacchithilamekalāguṇaṃ pārvatīratamabhūdatṛptaye // Ckc_3.*42 //	tasyatat-SiTilam-ekalA-guNam pArvatIratam-aBUt-atRptaye // Ckd-_3.*42 //
   --iti kumārasaṃbhave	--iti kumAra-saMBave
   mukhapradhānai ravilaṃbapūrvaiḥ kaṇṭhagrahaiḥ kṣipranipīḍitāṅgaiḥ /	muKa-praDAnEH ravi-laMbapUrvEH kaNWa-grahEH kzipra-nipIxita-aFgEH /
   karapracāraiḥ śithiloparodhairlabdhaiḥ priyāyā mumude mukundaḥ //	kara-pracArEH SiTila-uparoDEH-labDEH priyAyAH mumude mukundaH //
   Ckc_3.*43 //	Ckd-_3.*43 //
   --iti kandarpasaṃbhave	---iti kandarpa-saMBave
   protayā galitanīvi nirasyannuttarīyamavalambitakāñci /	protayA galita-nIvi nirasyan=-uttarIyam-avalambita-kAQci /
   maṇḍalīkṛtapṛthustanabhāraṃ sasvaje dayitayā hṛdayeśaḥ // Ckc_3.*44 //	maNxalIkRta-pRTu-stana-BAram sasvaje dayitayA hRdaya-ISaH // Ckd-_3.*44 //
   --iti bhārabikāvye	---iti BArabikAvye
   āśulaṅghitavatīṣṭakarāgre nīvimardhamukulīkṛtadṛṣṭyā /	ASu-laFGita-vati-izwakara-agre nIvim-arDa-mukulIkRta-dRzwyA /
   raktavaiṇikahatādharatantri maṇḍalakvaṇiṃtacāru cukūje // Ckc_3.*45 //	rakta-vENika-hata-aDara-tantri maNxalakvaNiMtacAru cukUje // Ckd-_3.*45 //
   --iti māghakāvye evamanyatrāpi vijñeyam /	---iti mAGa-kAvye evam-anyatra-api vijQeyam /
   deśakāle kalālokanyāyāgamavirodhi yat /	deSa-kAle kalAlokanyAya-Agama-viroDi yat /
   sāhityaprāṇasārajñaiḥ tadviruddhamitīritam // Ckc_3.32 //	sAhitya-prANa-sAra-jQEH tad-virudDam-iti-Iritam // Ckd-_3.32 //
   tatra deśo 'ndhro mahārāṣṭrādiḥkālo naktaṃdivartaṃvaḥ /	tatra deSaH anDraH mahArAzwra-AdiH-kAlaH naktaMdivartaMvaH /
   gītinītiprabhṛtayaḥ kālāḥ kāmārthasaṃśrayāḥ // Ckc_3.33 //	gItinIti-praBRtayaH kAlAH kAma-arTa-saMSrayAH // Ckd-_3.33 //
   carācarāṇāṃ bhūtānāṃ pravṛttirloka ucyate /	cara-acarANAm BUtAnAm pravRttiH-lokaH ucyate /
   nyāyastu hetuvidyār yādāgamo dharmasaṃhitā // Ckc_3.34 //	nyAyaH-tu hetu-vidyAH yAdAgamaH Darma-saMhitA // Ckd-_3.34 //
   deśādiviruddhāni yathā	deSa-Adi-virudDAni yaTA
   rādhe māsi divāniśaṃ mṛgamadavyālepino mālatī śayyāyāṃ	rADe mAsi divAniSam mRgamada-vyAlepinaH mAlatI SayyAyAm
   yamunātaraṅgapavanasparśotsukairvatsalaiḥ /	yamunA-taraFga-pavana-sparSa-utsukEH-vatsalEH /
   dhātrīnāyakasevanāya militā bhūmīśvarā mānino rājādrau	DAtrI-nAyaka-sevanAya militAH BUmISvarAH mAninaH rAjAdrO
   maṇihārasaurabhamayaiḥ krīḍhanti bandījanaiḥ // Ckc_3.*46 //	maNihAra-sOraBa-mayEH krIXanti bandI-janEH // Ckd-_3.*46 //
   atrāndhradeśe yamuneti deśanirodhaḥ /	atra-anDra-deSe yamunA-iti deSa-niroDaH /
   rādhemāsi mālatīśayyeti kālavirodhaḥ /	rADemA-asi mAlatI-SayyA-iti kAla-viroDaH /
   hārāṇāṃ saurabhamiti lokavirodhaḥ /	hArANAm sOraBam-iti loka-viroDaH /
   ete pratyakṣavirodhāḥ /	ete pratyakza-viroDAH /
   māninaḥ sovā militā iti svavacanavirodhaḥ /	mAninaH sovA militAH iti sva-vacana-viroDaH /
   bandijanā vatsalā ityaucityavirodhaḥ /	bandi-janAH vatsalAH iti-Ocitya-viroDaH /
   anyasevakānāmaharniśaṃ krīḍeti yuktivirodhaḥ /	anya-sevakAnAm-aharniSam krIxA-iti yukti-viroDaH /
