   śrī-harināma-cintāmaṇi	SrI--hari-nAma-cintAmaNi
   abhīṣṭa arpaṇa kare sāyujya nirvāṇe // HNC_3.78 //	aBIzwa arpaNa kare sAyujya nirvANe // HNS_3.78 //
   sarva-śakti nāme āche tāi nāmābhāse /	sarva-Sakti nAme ACe tAi nAma-ABAse /
   pratibimba ha-ile-o dena mukty-ābhāse // HNC_3.79 //	pratibimba ha-ile-aH dena mukti--ABAse // HNS_3.79 //
   pañca-vidha mukti madhye sāyujya ābhāsa /	paQca-viDa mukti maDye sAyujya ABAsa /
   bhava kleśa nāśe mātra phale sarva-nāśa // HNC_3.80 //	Bava kleSa nASe mA-atra Pale sarva-nASa // HNS_3.80 //
   māyāvādī nitya-sukha pāya nā	mAyA-vAdI nitya--suKa pAya nA
   māyāya mohita jana tāhe sukha māne /	mAyAya mohita jana tAhe suKa mAne /
   sukhābhāsa mātra pāya sāyujya nirvāṇe // HNC_3.81 //	suKa-ABAsa mA-atra pAya sAyujya nirvANe // HNS_3.81 //
   sac-cit-ānanda sevā parama nirvṛti /	sac-cit-a-Ananda sevA parama nirvRti /
   sāyujya nā pāya kabhu hata-kṛṣṇa-smṛti // HNC_3.82 //	sAyujya nA pAya kaBu hata-kRzNa--smRti // HNS_3.82 //
   yāṅhā nāhi bhakti prema nityatā viśvāsa /	yA-aFhAH na-ahi Bakti prema nityatA viSvAsa /
   nitya sukha kaiche tāhe ha-ibe prakāśa // HNC_3.83 //	nitya suKa kECe tAhe ha-ibe prakASa // HNS_3.83 //
   chāyā- nāmābhāsī duṣṭa-mate nā praveśa karile krame śuddha nāma pāiyā	CAyA nAma-ABAsI duzwa-mate nA praveSa karile krame SudDa nAma pAiyA
   thākena	TAkena
   chāyā nāmābhāsī nāhi jāne duṣṭa-mata /	CAyA nAma-ABAsI nAhi jAne duzwa-mata /
   matavāde citta-bale nahe tāra hata // HNC_3.84 //	mata-vAde citta-bale na-he tAra hata // HNS_3.84 //
   se kevala nāhi jāne yathārtha prabhāva /	se kevala na-ahi jAne yaTArTa praBAva /
   se prabhāva jñāna-dāna nāmera svabhāva // HNC_3.85 //	se praBAva jQAna--dAna nAmera svaBAva // HNS_3.85 //
   meghācchanne sūrya-prabhā pratīta nā haya /	meGAcCanne sUrya-praBA pratIta nA haya /
   kintu meghe nāśi sūrya karena udaya // HNC_3.86 //	kintu meGe nASi sUrya karena udaya // HNS_3.86 //
   chāyā- nāmābhāsī dhanya sad-guru prabhāve /	CAyA nAma-ABAsI Danya sat--guru praBAve /
   alpa-dine nāma prema anāyāse pābe // HNC_3.87 //	alpa-dine nAma prema anAyAse pAbe // HNS_3.87 //
   bhaktera māyāvādīra saṅga avaśya parityājya	Baktera mAyA-vAdIra saFga avaSya parityAjya
   māyāvādī saṅga teṅha satarke chāḍiyā /	mAyA-vAdI saFga teFha satarke CAxiyAH /
   śuddha nāma parāyaṇa tuṣibe seviyā // HNC_3.88 //	SudDa nAma parAyaNa tuzibe seviyAH // HNS_3.88 //
   ei ta tomāra ājñā śrī-kṛṣṇa-caitanya /	ei te tomAraH AjQA SrI--kRzNa--cEtanyaH /
   sei ājñā yei pāle sei jīva dhanya // HNC_3.89 //	sei AjQA yei pAle sei jIva DanyaH // HNS_3.89 //
   ye nā pāle tava ājñā sei jīva chāra /	ye nA pAle tava AjQA sei jIva CAraH /
   koṭī janme kichute-i nā habe uddhāra // HNC_3.90 //	kowI janme kiCute-i nA habe udDAra // HNS_3.90 //
   kusaṅga chāḍiye prabhu rākha tava pāya /	kusaFga CAxiye praBu rAKa tava pAyo /
   tava pādapadma vinā nā dekhi upāya // HNC_3.91 //	tava pAda-padma vinA nA deKi upAyaH // HNS_3.91 //
   haridāsa pada-dvandve vinoda yāhāra /	haridAsa pada--dvandve vinoda yAhAra /
   hari-nāma-cintāmaṇi sadā gāna tāra // HNC_3.92 //	hari-nAma---cintAmaNi sadA gAnaH tAraH // HNS_3.92 //
   iti śrī- hari-nāma-cintāmaṇau nāmābhāsa-varṇanaṃ nāma	iti SrI hari-nAma--cintAmaNO nAma-ABAsa-varNanam nAma
   tṛtīyaḥ paricchedaḥ /	tRtIyaH paricCedaH /
   caturtha pariccheda	caturTa paricCeda
   nāma aparādha-sādhu nindā	nAma aparADa--sADu nindA
   satāṃ nindā nāmnaḥ paramam aparādhaṃ vitanute	satAm nindA nAmnaH paramam aparADam vitanute
   yataḥ khyātiṃ yātaṃ katham u sahate tad-vigarhām /	yatas KyAtim yAtam kaTam u sahate tad--vigarhAm /
   gadādhara-prāṇa jaya jāhnavā-jīvana /	gadADara--prANa jaya jAhnavA--jIvana /
   jaya sītānātha śrīvāsādi bhakta-jana // HNC_4.1 //	jaya sItAnATa SrI-vAsa-Adi Bakta--janaH // HNS_4.1 //
   prabhu bale haridāsa ebe sa-vistāre /	praBu bale haridAsaH ebe sa--vistAre /
   nāma aparādha vyākhyā kara ataḥpara // HNC_4.2 //	nAma aparADa vyAKyA kara atas-para // HNS_4.2 //
   haridāsa bale prabhu more yā balābe /	haridAsa bale praBu more yA balAbe /
   tāhāi baliba āmi tomāra prabhāve // HNC_4.3 //	tAhAi balibaH Ami tomAra praBAve // HNS_4.3 //
   daśa-vidha nāmāparādha	daSa-viDa nAma-aparADa
   nāma aparādha daśa-vidha śāstre kaya /	nAma aparADa daSa-viDa SAstre kayaH /
   sei aparādhe mora baḍa haya bhaya // HNC_4.4 //	sei aparADe mora baxa haya BayaH // HNS_4.4 //
   eka eka kari āmi baliba sakala /	ekaH eka kari Ami baliba sakalaH /
   aparādhe vāṅci yāte deha more bala // HNC_4.5 //	aparADe vA-ac-ci yAte deha more balaH // HNS_4.5 //
   sādhu-nindā anya-deva svātantrya manana /	sADu--nindA anya-deva svAtantrya mananaH /
   nāma tattva guru āra śāstra vinindana // HNC_4.6 //	nAma tat-tva guru Ara SAstra vinindana // HNS_4.6 //
   harināme artha vāda kalpita manana /	hari-nAme arTa vAda kalpita mananaH /
   nāma-bale pāpa śraddhā-hīne nāmārpaṇa // HNC_4.7 //	nAma-bale pApa SradDA-hIne nAma-arpaNa // HNS_4.7 //
   anya śubha-karmera samāna kṛṣṇa-nāma /	anye SuBa-karmera samAna kRzNa--nAma /
   e kathā balile aparādha aviśrāma // HNC_4.8 //	e kaTA balile aparADa aviSrAma // HNS_4.8 //
   nāmete anavadhāna haya aparādha /	nAma-ite anavaDAna haya aparADa /
   tāhāke purāṇa kartā balena pramāda // HNC_4.9 //	tAhAke purANa kartA balena pramAda // HNS_4.9 //
   nāmera māhātmya jāne tabu nāhi bhaje /	nAma-ira mAhAtmya jAne tabu nA-hi Baje /
   ahaṃ mama āsaktite saṃsārete maje // HNC_4.10 //	aham mama Asaktite saMsArete maje // HNS_4.10 //
   sādhu-nindāi prathama aparādha	sADu--nindAi praTamaH aparADa
   sādhu-nindā prathamāparādha bali' jāni /	sADu--nindA praTama-aparADa bali-a jAni /
   ei aparādhe jīvera haya sarva hāni // HNC_4.11 //	ei aparADe jIvera haya sarva hAni // HNS_4.11 //
   svarūpa o taṭastha lakṣaṇa bhede sādhu lakṣaṇa dvaya vicāra	svarUpaH aH tawasTa lakzaNa Bede sADu lakzaNa dvaya vicAra
   sādhura lakṣaṇa tumi baliyācha prabho /	sADura lakzaNa tumi baliyACa praBo /
   ekādaśe uddhavere kṛṣṇa-rūpe vibho // HNC_4.12 //	ekAdaSe udDavere kRzNa--rUpe viBo // HNS_4.12 //
   dayālu sahiṣṇu sama droha-śūnya-vrata /	dayAlu sahizNu sama droha--SUnya-vrata /
   satya-sāra viśuddhātmā para-hite rata // HNC_4.13 //	satya-sAra viSudDa-AtmA para--hite rata // HNS_4.13 //
   kāme akṣubhita buddhi dānta akiñcana /	kAme akzuBita budDi dAnta akiQcana /
   mṛdu śuci parimita-bhojī śānta-mana // HNC_4.14 //	mRdu Suci parimita-BojI SAnta-manaH // HNS_4.14 //
   anīha dhṛtimān sthira kṛṣṇaika-śaraṇa /	anIha DRtimAn sTira kRzNa-eka-SaraNaH /
   apramatta sugambhīra vijita ṣaḍ-guṇa // HNC_4.15 //	apramatta sugamBIra vijita zax-guNaH // HNS_4.15 //
   amānī mānada dakṣa avañcaka jñānī /	amAnI mAnada dakza avaQcaka jQAnI /
   ei saba lakṣaṇete sādhu bali jāni // HNC_4.16 //	ei saba lakzaNete sADu bali jAni // HNS_4.16 //
   ei saba lakṣaṇa prabho haya dvi-prakāra /	ei saba lakzaNa praBo haya dvi-prakAra /
   svarūpa taṭastha bhede kariba vicāra // HNC_4.17 //	svarUpa tawasTa Bede kariba vicAra // HNS_4.17 //
   svarūpa-lakṣaṇa-i pradhāna lakṣaṇa, tad-āśraye taṭastha lakṣaṇa udaya haya	svarUpa-lakzaNa-i praDAna lakzaNa, tad--ASraye tawasTa lakzaNaH udaya haya
   kṛṣṇaika-śaraṇa haya svarūpa-lakṣaṇa /	kRzNa-eka-SaraNa haya svarUpa-lakzaNa /
   taṭastha lakṣaṇe anya guṇera gaṇana // HNC_4.18 //	tawasTa lakzaNe anyaH guNera gaNana // HNS_4.18 //
   kona bhāgye sādhu-saṅge nāme ruci haya /	kona BAgye sADu--saFge nAme ruci haya /
   kṛṣṇa-nāma gāya kare kṛṣṇa-pādāśraya // HNC_4.19 //	kRzNa--nAma gAya kare kRzNa-pAda-ASrayaH // HNS_4.19 //
   svarūpa lakṣaṇa sei ha-ita ha-ila /	svarUpa lakzaNa sei ha-ita ha-ilaH /
   gāite gāite nāma anya guṇa āila // HNC_4.20 //	gAite gAite nAma anyaH guNaH Aila // HNS_4.20 //
   anya guṇa-gaṇa tāi taṭastha gaṇana /	anyaH guNa--gaNa tAi tawasTa gaNana /
   avaśya vaiṣṇava dehe habe saṅghaṭana // HNC_4.21 //	avaSya vEzNava dehe habe saFGawanaH // HNS_4.21 //
   varṇāśrama liṅga, nānā-prakāra veṣa-dvārā sādhutva haya nā,	varNa-ASrama liFga, nAnA-prakAra veza-dvArA sADu-tva haya nA,
   kṛṣṇaika-śaraṇatāi sādhura lakṣaṇa	kRzNa-eka-SaraNa-tAi sADura lakzaNa
   varṇāśrama cihna nānā-veṣera racanā /	varNa-ASrama cihna nAnA--vezera racanA /
   sādhura lakṣaṇe kabhu nā haya gaṇanā // HNC_4.22 //	sADura lakzaNe kaBu nA haya gaNanA // HNS_4.22 //
   śrī-kṛṣṇa-śaraṇāgati sādhura lakṣaṇa /	SrI--kRzNa--SaraNa-Agati sADura lakzaNa /
   tāra mukhe haya kṛṣṇa-nāma-saṅkīrtana // HNC_4.23 //	tAra muKe haya kRzNa-nAma--saFkIrtana // HNS_4.23 //
   gṛhī brahmacārī vānaprastha nyāsi-bhede /	gRhI brahmacArI vAnaprasTa nyAsi-Bede /
   śūdra vaiśya kṣatra vipra-gaṇera prabhede // HNC_4.24 //	SUdra vESya kzatra vipra-gaNera praBede // HNS_4.24 //
   sādhutva kakhana nāhi ha-ibe nirṇīta /	sADu-tva kaKana na-ahi ha-ibe nirNIta /
   kṛṣṇaika-śaraṇa sādhu śāstrera vihita // HNC_4.25 //	kRzNa-eka-SaraNa sADu SAstrera vihita // HNS_4.25 //
   gṛhi-sādhu-lakṣaṇa	gRhi--sADu--lakzaNa
   raghunātha-dāse lakṣye kariyā sevāra /	raGunATa-dAse lakzye kariyA sevAraH /
   gṛhi-sādhu-jane śikhāyecha ei sāra // HNC_4.26 //	gRhi-sADu--jane SiKAyeCaH ei sAraH // HNS_4.26 //
   sthira haye ghare yāo nā hao bātula /	sTira haye Gare yAaH nA hao bAtula /
   krame krame pāya loka bhava-sindhu-kula // HNC_4.27 //	krame krame pAya loka Bava--sinDu---kula // HNS_4.27 //
   markaṭa vairāgya chāḍa loka dekhāiyā /	markawa vErAgya CAxa loka deKAiyAH /
   yathāyogya viṣaya bhuñja anāsakta hañā // HNC_4.28 //	yaTAyogya vizaya BuQja anAsakta haQAH // HNS_4.28 //
   antare niṣṭhā kara bāhye loka vyavahāra /	antare nizWA kara bAhye loka vyavahAra /
   acire śrī-kṛṣṇa tomāya karibe uddhāra // HNC_4.29 //	acire SrI--kRzNa tomAya karibe udDAra // HNS_4.29 //
   gṛha-tyāgī sādhu-lakṣaṇa	gRha--tyAgI sADu--lakzaNa
   punaḥ tumi tāra dekhi vairāgya grahaṇa /	punar tumi tAra deKi vErAgya grahaNa /
   ei mata śikṣā dile apūrva śravaṇa // HNC_4.30 //	ei mata SikzA dile apUrva SravaNaH // HNS_4.30 //
   grāmya-kathā nā śunibe grāmya-vārtā nā kahibe /	grAmya--kaTA nA Sunibe grAmya--vArtA nA kahibe /
   bhāla nā khāibe āra bhāla nā paribe // HNC_4.31 //	BAla nA KAibe Ara BAla nA paribe // HNS_4.31 //
   amānī mānada hañā kṛṣṇa-nāma sadā labe /	amAnI mAnada haQA kRzNa--nAma sadA labe /
   vraje rādhā-kṛṣṇa-sevā mānase karibe // HNC_4.32 //	vraje rADA--kRzNa--sevA mAnase karibe // HNS_4.32 //
   gṛhī o gṛha-tyāgī - ubhayera-i svarūpa lakṣaṇa	gRhI aH gRha-tyAgI  uBayeH-a-i svarUpa lakzaNa
   svarūpa lakṣaṇa eka sarvatra samāna /	svarUpa lakzaNaH eka sarvatra samAnaH /
   āśramādi bhede pṛthak taṭastha vidhāna // HNC_4.33 //	ASrama-Adi Bede pRTak tawasTa viDAna // HNS_4.33 //
   ananya-śaraṇe yadi dekhi durācāra /	ananya-SaraNe yadi deKi durAcAra /
   tathāpi se sādhu bali sevya sabākāra // HNC_4.34 //	taTA-api se sADu bali sevya sa-bAkAraH // HNS_4.34 //
   ei ta śrī-kṛṣṇa-vākya gītā-bhāgavate /	ei te SrI-kRzNa-vAkya gIta-a--BAgavate /
   ihāke pūjiba yatne sadā sarva mate // HNC_4.35 //	iha-Ake pUjiba yatne sadA sarva mate // HNS_4.35 //
   ihāte āche ta eka nigūḍha siddhānta /	iha-ate ACe te eka nigUXa sidDAnte /
   kṛpā kari jānāyecha tāi pāi anta // HNC_4.36 //	kRpA kari jAnAya-iCa tAi pAi antaH // HNS_4.36 //
   pūrva-pāpera gandhāvaśeṣa o pūrva-pāpa lakṣya kariyā yini kṛṣṇaika-śaraṇa	pUrva-pApera ganDa-a=-aSeza aH pUrva--pApa lakzya kariyA yini kRzNa-eka-SaraNa
   sādhura nindā karena, tini nāmāparādhī	sADura nindA karena, tini nAma-aparADI
   kṛṣṇa-nāme ruci yabe ha-ibe udaya /	kRzNa-nAme ruci yabe ha-ibe udaya /
   eka nāme pūrva pāpa ha-ibeka kṣaya // HNC_4.37 //	eka nAme pUrva pApa ha-ibeka kzayaH // HNS_4.37 //
   pūrva-pāpa gandha tabu thāke kichu dina /	pUrva-pApa ganDa tabu TAke kiCu dinaH /
   nāmera prabhāve krama hañā paḍe kṣīṇa // HNC_4.38 //	nAmera praBAve krama haQA paxe kzINaH // HNS_4.38 //
   śīghra sei pāpa-gandha vidūrita haya /	SIGra sei pApa-ganDa vidUrita haya /
   parama dharmātmā bali haya paricaya // HNC_4.39 //	parama Darma-AtmA bali haya paricaya // HNS_4.39 //
   ye kayeka dina sei gandha nāhi yāya /	ye kayeka dina sei ganDa nAhi yAyaH /
   sādhāraṇa jana cakṣe pāpa bali bhāya // HNC_4.40 //	sADAraNa jana cakze pApa bali BAya // HNS_4.40 //
   se pāpa dekhiyā yei sādhu-nindā kare /	se pApa deKiyAH yei sADu--nindA kare /
   pūrva-pāpa lakṣi punaḥ avajñā ācare // HNC_4.41 //	pUrva--pApa lakzi punar avajQAH Acare // HNS_4.41 //
   sei ta pāṣaṇḍī vaiṣṇavera nindā doṣe /	sei te pAzaNxI vEzNavera nindA doze /
   nāma aparādha maji paḍe kṛṣṇa-roṣe // HNC_4.42 //	nAma aparADa maji paxe kRzNa--roze // HNS_4.42 //
   kṛṣṇaika-śaraṇatāi sādhu lakṣaṇa āpanāke sādhu baliyā paricaya deoyā	kRzNa-eka-SaraNa-tAi sADu lakzaNaH ApanAke sADu baliyA paricaya deoyA
   dāmbhikatā	dAmBika-tA
   kṛṣṇaika-śaraṇa mātra kṛṣṇa-nāma gāya /	kRzNa-eka-SaraNa mA-atra kRzNa--nAma gAya /
   sādhu-nāme paricita kṛṣṇera kṛpāya // HNC_4.43 //	sADu--nAme paricita kRzNera kRpAya // HNS_4.43 //
   kṛṣṇa-bhakta vyatīta nāhika sādhu āra /	kRzNa-Bakta vyatIta nAhika sADu AraH /
   āmi sādhu bali haya dambha avatāra // HNC_4.44 //	Ami sADu bali haya damBa avatAraH // HNS_4.44 //
   svalpākṣare sādhu-nirṇaya	su-alpa-akzare sADu--nirNaya
   se balibe-āmi dīna kṛṣṇaika-śaraṇa /	se bali-be-Ami dIna kRzNa-eka-SaraNaH /
   kṛṣṇa-nāma yāra mukhe sādhu sei jana // HNC_4.45 //	kRzNa--nAma yAra muKe sADu sei janaH // HNS_4.45 //
   tṛṇa haite hīna bali āpanāke jāne /	tRNa ha-ete hIna bali ApanAke jAne /
   sahiṣṇu tarura nyāya āpanāke māne // HNC_4.46 //	sahizNu taruraH nyAya ApanAke mAne // HNS_4.46 //
   nije ta amānī āra sakale mānada /	nije te amAnI Ara sakale mAnada /
   tāra mukhe kṛṣṇa-nāma kṛṣṇa-rati-prada // HNC_4.47 //	tAra muKe kRzNa--nAma kRzNa--rati--prada // HNS_4.47 //
   nāmāparādha vaiṣṇava-i sādhu, tad-dehe kṛṣṇa-śakti	nAma-aparADa vEzNava-i sADu, tad--dehe kRzNa-Sakti
   hena sādhu-mukhe yabe śuni eka nāma /	hena sADu--muKe yabe Suni eka nAma /
   vaiṣṇava baliyā tāre kariba praṇāma // HNC_4.48 //	vEzNava baliyA tAre kariba praNAma // HNS_4.48 //
   vaiṣṇava se jagad-guru jagatera bandhu /	vEzNava se jagat--guru jagatera banDu /
   vaiṣṇava sakala jīve sadā kṛpā sindhu // HNC_4.49 //	vEzNava sakala jIve sadA kRpA sinDu // HNS_4.49 //
   e hena vaiṣṇava-nindā yei jana kare /	e hena vEzNava--nindA yei jana kare /
   narake paḍibe se janma-janmāntare // HNC_4.50 //	narake paxibe se janma--janma-antare // HNS_4.50 //
   bhakti labhibāre āra nāhika upāya /	Bakti laBi-bAre Ara nAhikaH upAya /
   bhakti labhe sarva-jīva vaiṣṇava kṛpāya // HNC_4.51 //	Bakti laBe sarva-jIva vEzNava kRpAya // HNS_4.51 //
   vaiṣṇava dehete thāke śrī-kṛṣṇera śakti /	vEzNava dehete TAke SrI--kRzNera Sakti /
   sei deha sparśe anye haya kṛṣṇa-bhakti // HNC_4.52 //	sei deha sparSe anye haya kRzNa-Bakti // HNS_4.52 //
   vaiṣṇava adharāmṛta āra pada jala /	vEzNava aDara-amRtaH Ara pada jalaH /
   vaiṣṇavera pada-rajaḥ tina mahā-bala // HNC_4.53 //	vEzNavera pada-rajaH tina mahA-balaH // HNS_4.53 //
   vaiṣṇavera śakti sañcāra	vEzNavera Sakti saQcAra
   vaiṣṇava-nikaṭe yadi baise kata-lakṣaṇa /	vEzNava--nikawe yadi bEse kata--lakzaNa /
   deha haite haya kṛṣṇa-śakti niḥsaraṇa // HNC_4.54 //	deha ha-ete haya kRzNa-Sakti niHsaraNa // HNS_4.54 //
   sei śakti śraddhāvān hṛdaye paśiyā /	sei Sakti SradDAvAn hRdaye paSiyA /
   bhaktira udaya kare deha kāṅpāiyā // HNC_4.55 //	BaktiraH udaya kare deha kAFpAiyAH // HNS_4.55 //
   ye basila vaiṣṇavera nikaṭe śraddhāya /	ye basila vEzNavera nikawe SradDAya /
   tāhāra hṛdaye bhakti ha-ibe udaya // HNC_4.56 //	tAhAra hRdaye Bakti ha-ibe udaya // HNS_4.56 //
   prathame āsibe tāra mukhe kṛṣṇa-nāma /	praTame Asibe tAra muKe kRzNa--nAma /
   nāmera prabhāve pābe sarva-guṇa-grāma // HNC_4.57 //	nAmera praBAve pAbe sarva--guNa--grAma // HNS_4.57 //
   vaiṣṇavera ki ki doṣa dharile vaiṣṇava-nindā haya-jāti-doṣa pūrva-doṣa	vEzNavera ki ki doza Darile vEzNava--nindA haya-jAti-doza pUrva--doza
   naṣṭa-prāya avaśiṣṭa doṣa kādācitka doṣa	nazwa--prAya avaSizwa doza kAdAcid-ka doza
   vaiṣṇavera jāti āra pūrva doṣa dhare /	vEzNavera jAti Ara pUrva doza Dare /
   kādācitka doṣa dekhi yei nindā kare // HNC_4.58 //	kAdAcid-ka doza deKi yei nindA kare // HNS_4.58 //
   naṣṭa-prāya doṣa laye kare apamāna /	nazwa--prAya doza laye kare apamAnaH /
   yama-daṇḍe kaṣṭa pāya se saba ajñāna // HNC_4.59 //	yama-daNxe kazwa pAya se sabaH ajQAnaH // HNS_4.59 //
   vaiṣṇavera mukhe nāma-māhātmya-pracāra /	vEzNavera muKe nAma--mAhAtmya--pracAra /
   se vaiṣṇava-nindā kṛṣṇa nāhi sahe āra // HNC_4.60 //	se vEzNava-nindA kRzNa nA-hi sahe AraH // HNS_4.60 //
   dharma yoga yāga jñāna-kāṇḍa parihari /	Darma yoga yAga jQAna-kANxa parihari /
   ye bhajila kṛṣṇa-nāma sei sarvopari // HNC_4.61 //	ye Bajila kRzNa--nAma sei sarva-upari // HNS_4.61 //
   anya deva śāstra nindādi-śūnya nāmāśrayī sādhu	anyaH deva SAstra nindA-Adi-SUnya nAma-ASrayI sADu
   anyadera anya-śāstra nā kari nindana /	anyat-era anya-SAstra nA kari nindana /
   nāmera āśraya laya śuddha sādhu-jana // HNC_4.62 //	nAma-iraH ASraya laya SudDa sADu--janaH // HNS_4.62 //
   se sādhu gṛhastha ha-u athavā sannyāsī /	se sADu gRhasTa ha-u aTavA sannyAsI /
   tāhāra caraṇa-reṇu pāite prayāsī // HNC_4.63 //	tAhAra caraNa--reNu pAite prayAsI // HNS_4.63 //
   yāba yata nāme rati se tata vaiṣṇava /	yAba yata nAme rati se tata vEzNava /
   vaiṣṇavera krama ei mate anubhava // HNC_4.64 //	vEzNavera kramaH ei mate anuBavaH // HNS_4.64 //
   ithe varṇāśrama dhana pāṇḍitya yauvana /	iTe varNa-ASrama Dana pANxitya yOvana /
   kona kārya nāhi kare rūpa bala jana // HNC_4.65 //	kona kArya na-ahi kare rUpa bala janaH // HNS_4.65 //
   ataeva yini karilena nāmāśraya /	ataeva yini karilena nAma-ASraya /
   sādhu-nindā chāḍibena e dharma niścaya // HNC_4.66 //	sADu--nindA CAxibena e Darma niScaya // HNS_4.66 //
   nāmāśrayā śuddhā bhakti bhakta bhakti-rūpā /	nAma-ASrayA SudDA Bakti Bakta Bakti-rUpAH /
   bhakta bhakti-vivarjitā ha-ile virūpā // HNC_4.67 //	Bakta Bakti-vivarjitA ha-ile virUpAH // HNS_4.67 //
   yāṅhā sādhu-nindā tāṅhā nāhi bhakti sthiti /	yA-aFhA sADu--nindA tAFhAH na-ahi Bakti sTiti /
   ataeva aparādhe tathā pariṇati // HNC_4.68 //	ataeva aparADe taTA pariNati // HNS_4.68 //
   sādhu-nindā chāḍi bhakta sādhu-bhakti kare /	sADu--nindA CAxi Bakta sADu-Bakti kare /
   sādhu-saṅga sādhu-sevā ei dharmācare // HNC_4.69 //	sADu-saFga sADu--sevA ei Darma-Acare // HNS_4.69 //
   asat-saṅga dui prakāra, tan-madhye strī-saṅgī	asat--saFga dui prakAra, tan--maDye strI-saFgI
   asat-saṅga-tyāge haya vaiṣṇava-ācāra /	asat--saFga--tyAge haya vEzNava-AcAra /
   asat-saṅge haya sādhu-avajñā apāra // HNC_4.70 //	asat--saFge haya sADu--ava-jQAH apAra // HNS_4.70 //
   asat ye dvi-prakāra sarva-śāstre kaya /	asat ye dvi-prakAra sarva-SAstre kayaH /
   sei duiyera madhye yoṣit-saṅgī eka haya // HNC_4.71 //	sei duiyera maDye yozit--saFgI eka haya // HNS_4.71 //
   yoṣit-saṅgi-saṅgī punaḥ tāra madhye gaṇya /	yozit--saFgi-saFgI punar tAra maDye gaNya /
   tāra saṅga-tyāge jīva ha-ibeka dhanya // HNC_4.72 //	tAra saFga-tyAge jIva ha-ibeka DanyaH // HNS_4.72 //
   yoṣit-saṅgī kāhāke bale	yozit-saFgI kAhAke bale
   kṛṣṇere saṃsāre ye dāmpatya dharma thāke /	kRzNere saMsAre ye dAmpatya DarmaH TAke /
   asat baliyā śāstra nā bale tāhāke // HNC_4.73 //	asat baliyA SAstra nA bale tAhAke // HNS_4.73 //
   adharma saṃyoge āra straiṇa bhāve rata /	aDarma saMyoge Ara strENa BAve rata /
   yoṣit-saṅgī jana duṣṭa śāstrera sammata // HNC_4.74 //	yozit--saFgI jana duzwa SAstrera sammataH // HNS_4.74 //
   dvitīya prakāra asat (kṛṣṇete abhakta) tina prakāra	dvitIya prakAra asat (kRzNete aBakta) tina prakAra
   kṛṣṇete abhakta - asat dvitīya prakāra /	kRzNete aBakta  asat dvitIya prakAra /
   māyāvādī dharma-dhvajī nirīśvara āra // HNC_4.75 //	mAyA-vAdI Darma-DvajI nirISvaraH AraH // HNS_4.75 //
   yini balena, ei saba lokera nindāke-o sādhu-nindā bale tini-o varjya	yini balena, ei sa-ba lokera nindAke-aH sADu--nindA bale tini-aH varjya
   varjile e saba saṅga sādhu-nindā naya /	varjile e sabaH saFga sADu--nindA naya /
   ihāke ye nindā bale sei varjya haya // HNC_4.76 //	iha-ake ye nindA bale sei varjya haya // HNS_4.76 //
   ei saba saṅga chāḍi ananya-śaraṇa /	ei sabaH saFga CAxi ananya-SaraNaH /
   kṛṣṇa-nāma kari pāya kṛṣṇa-prema-dhana // HNC_4.77 //	kRzNa--nAma kari pAya kRzNa--prema-DanaH // HNS_4.77 //
   vaiṣṇavābhāsa, prākṛta-vaiṣṇava, vaiṣṇava-prāya o kaniṣṭha-vaiṣṇava-ei	vEzNava-ABAsa, prAkRta-vEzNava, vEzNava--prAyaH aH kanizWa--vEzNava-ei
   sakala eka-i kathā	sakalaH eka-i kaTA
   sādhu-sevā-hīna arce laukika śraddhāya /	sADu--sevA-a-hIna arce lOkika SradDAya /
   prākṛta vaiṣṇava haya vaiṣṇavera prāya // HNC_4.78 //	prAkRta vEzNava haya vEzNavera prAyas // HNS_4.78 //
   vaiṣṇava-ābhāsa sei nahe ta' vaiṣṇava /	vEzNava--ABAsa sei na-he ta-a vEzNava /
   kemane pāibe sādhu-saṅgera vaiṣṇava // HNC_4.79 //	kemane pAibe sADu--saFgera vEzNava // HNS_4.79 //
   ataeva kaniṣṭha madhyete tāre gaṇi /	ataeva kanizWa maDyete tAre gaNi /
   tāre kṛpā karibena vaiṣṇava āpani // HNC_4.80 //	tAre kRpA karibena vEzNavaH Apani // HNS_4.80 //
   madhyama vaiṣṇava	maDyama vEzNava
   kṛṣṇa-prema kṛṣṇa-bhakte maitrī ācaraṇa /	kRzNa--prema kRzNa--Bakte mEtrI AcaraNa /
   bāliśete kṛpā āra dveṣī upekṣaṇa // HNC_4.81 //	bAli-Sete kRpA Ara dvezI upekzaNa // HNS_4.81 //
   karile madhyama bhakta śuddha bhakta hana /	karile maDyama Bakta SudDa Bakta hanaH /
   kṛṣṇa-nāmne adhikāra karena arjana // HNC_4.82 //	kRzNa-nAmne aDikAra karena arjanaH // HNS_4.82 //
   uttama vaiṣṇava	uttama vEzNava
   sarvatra yāṅhāra haya kṛṣṇa-daraśana /	sarvatra yAFhAra haya kRzNa-daraSanaH /
   kṛṣṇe sakalera sthiti kṛṣṇa prāṇa dhana // HNC_4.83 //	kRzNe sakalera sTiti kRzNa prANa DanaH // HNS_4.83 //
   vaiṣṇavāvaiṣṇava-bheda nāhi thāke tāṅra /	vEzNava-avEzNava--Beda na-ahi TAke tAFraH /
