   Pdhs_0.0 praśastapādabhāṣyam./	PDs_0.0 praSasta-pAda-BAzyam./
   ākāśakāladiśām.ekaikatvād.parajātyabhāve.{6.sājātyabhāve}.pāribhāṣikyastisraḥ.saṃjñā.bhavanti./.ākāśaḥ.{5.ākāśam}.kālo.dig.iti./.tatrākāśasya.guṇāḥ.śabdasaṃkhyāparimāṇapṛthaktvasamyogavibhāgāḥ./	AkASa-kAla-diSAm.ekEka-tvAt-.para-jAti-aBAve.{-6.sa-ajAti-aBAve}.-pAriBAzikyaH-tisraH.-saMjQA.Bavanti./.AkASaH.{5.AkASam}.kAla-u.dig.iti./.tat
   Pdhs_6.1(58)	PDs_6.1(58)
   śabdaḥ.{5.tatra.ityadhikam}.pratyakṣatve.satyakāraṇaguṇapūrvakatvād.ayāvad.dravyabhāvitvād.āśrayād.anyatropalabdheś.ca.na.sparśavad.viśeṣaguṇaḥ./.bāhyendriyapratyakṣatvād.ātmāntaragrāhyatvād.ātmany.asamavāyād.ahaṅkāreṇa.vibhaktagrahaṇāc.ca.nātmaguṇaḥ./	SabdaH.{5.tatra.iti-aDikam}.-pratyakza-tve.-satya-kAraNa-guNa-pUrvaka-tvAt-.ayAvad.-dravya-BAvi-tvAt-.a-ASrayAt-.anyatra-upalabDa-IS.ca.na.-sparSava
   Pdhs_6.1(58)	PDs_6.1(58)
   śrotragrāhyatvād.vaiśeṣikaguṇabhāvāc.ca.na.dikkālamanasām./.pariśeṣād.{6;4.pāriśeṣyāt}.guṇo.bhūtvā.ākāśasyādhigame.liṅgam./.śabdaliṅgāviśeṣād.{1.śabdaliṅgāvisṣatvā}.ekatvam.siddham./	Srotra-grAhya-tvAt-.vESezika-guNa-BAvAc.ca.na.diS-kAla-manasAm./.-pariSezAt-.{6;4.pAriSezya-at}.-guNo.BU-tvA-a.AkASasya-aDigame.-liFgam-./.-Sabdali
   Pdhs_6.1(58)	PDs_6.1(58)
   tad.anuvidhānād.ekapṛthaktvam.{5.vidhānāt.pṛthaktvam;.2.vidhānād.eva.pṛthaktvam}./.vibhavavacanāt.paramamahatparimāṇam.{1.mahatparimāṇam}./.śabdakāraṇatvavacanāt.{5.śabdakāraṇavacanāt}.samyogavibhāgāv.iti./	tad-.anuviDAnAt-.eka-pRTaktvam-.{5.viDAnAt.-pRTaktvam-;.2.-viDAnAt-.eva.-pRTaktvam-}./.viBava-vacanAt.parama-mahat-parimANam-.{1.-mahat-parimAN
   Pdhs_6.1(58)	PDs_6.1(58)
   ato.guṇavattvād.{6.guṇavacanavatvā}.anāśritatvāc.ca.dravyam./.samānāsamānajātoyakāraṇābhāvāc.ca.nityam./.sarvaprāṇinām.ca.śabdopalabdhau.nimittam.{5.śabdopalambhekanimittam;.1.śabdopalabdhinimittam}.śrotrabhāvena./	atas-.guNavat-tvAt-.{6.guNa-vacanavatvA}.ana-ASrita-tva-ac.ca.dravyam-./.-samAna-asamAna-jAtoya-kAraNa-aBAva-ac.ca.-nityam-./.-sarva-prANinAm-.ca.-Sabda-up
   Pdhs_6.1(58)	PDs_6.1(58)
   śrotram.punaḥ.śravaṇavivarasaṃjñako.nabhodeśaḥ.{6.nabhahpradeśaḥ}.śabdanimittopabhogaprāpakadharmādharmopanibaddhas.tasya.ca.nityatve.saty.upanibandhakavaikalyād.bādhiryam.iti.//	Srotra-m.punaH.SravaNa-vivara-saMjQa-ko.naBaH-deSaH-.{6.naBahpradeSaH-}.-Sabda-nimitta-upaBoga-prApaka-Darma-aDarma-upanibadDa-s.tasya.ca.-nitya-tve
   Pdhs_6.2(63.15-)	PDs_6.2(63.15-)
   kālaḥ.parāparavyatikarayaugapadyāyaugapadyacirakṣiprapratyayaliṅgam./.teṣām.viṣayeṣu.pūrvapratyayavilakṣaṇānām.{6.pratyayānām.ity.adhikam}.utpattāv.anyanimittābhāvād.yad.{6.nimittāsambhavād}.atra.nimittam.sa.kālaḥ./	kAlaH.para-apara-vyatikara-yOgapadya-ayOgapadi-acira-kzipra-pratyaya-liFgam./.tezAm-.vizaya-izu.-pUrva-pratyaya-vilakzaNAnAm-.{6.-pratyayAnAm-.iti-
   Pdhs_6.2(63)	PDs_6.2(63)
   sarvakāryāṇām.{5;6.sarvakāryāṇām.utpatti}.cotpattisthitivināśahetus.tadvyapadeśāt./.kṣaṇalavanimeṣakāṣṭhākalāmuhūrtayāmāhorātrārdhamāsamāsartvayanasaṃvatsarayugakalapamanvantarapralayamahāpralayavyavahārahetuḥ.{5.hetuś.ca}./	sarva-kAryANAm-.{5;6.-sarva-kAryANAm-.utpatti-}.ca-utpatti-sTiti-vinASa-hetu-H-.tad-vyapadeSa-at./.kzaNa-lava-nimeza-kAzWAkalA-muhUrtayAmAhorAtra-arD
   Pdhs_6.2(63)	PDs_6.2(63)
   tasya.guṇāḥ.saṃkhyāparimāṇapṛthaktvasamyogavibhāgāḥ./.kālaliṅgāviśeṣād.ekatvam.siddham./.tad.anuvidhānāt.pṛthaktvam./.kāraṇe.kāla.itivacanāt.paramamahatparimāṇam./.kāraṇaparatvādivacanāt.{5.kāraṇamahattvā}.samyogaḥ./	tasya.-guNAH.saMKyA-parimANa-pRTaktva-samyoga-viBAgAH./.kAla-liFga-aviSezAt-.eka-tvam-.sidDa-m./.tad-.anuviDAnAt.-pRTaktvam-./.kAraNe.-kAla.-iti
   Pdhs_6.2(64)	PDs_6.2(64)
   tadvināśakatvād.vibhāga.iti./.tasyākāśavad.dravyatvanityatve.siddhe.{not.seen.in.1}.kālaliṅgāviśeṣād.aṃjasaikatve[m.']pi.sarvakāryāṇām.{5.pūrvabhūtakāryāṇām}.ārambhakriyābhinirvṛttisthitinirodhopapādhibhedān.maṇivat.pācakavad.vā.nānātvopacāra.iti.//	tad-vinASaka-tvAt-.viBAga-.iti./.tasya-AkASa-vat-.dravya-tva-nitya-tve.-sidDe.{not.seen.in.1}.kAla-liFga-aviSezAt-.aMjasa-eka-tve[m.-a]pi.-sarva-kAry
   Pdhs_6.3(66.20-)	PDs_6.3(66.20-)
   dik.pūrvāparādipratyayaliṅgā./.mūrtadravyam.avadhim.kṛtvā.mūrteṣv.eva.dravyeṣv.etasmād.idam.{5.dravyeṣu.tasmād.idam}.pūrveṇa.dakṣiṇena.paścimenottareṇa.pūrvadakṣiṇena.dakṣiṇāpareṇa.aparottareṇa.{5.dakṣiṇapaścimena.paścamottareṇa}.uttarapūrveṇa.cādhastād.upariṣṭāc.ceti.{5.upariṣṭād.iti}.daśa.pratyayā.yato.bhavanti.{5.pratyayān.nā?.bhavati;.6.pratyayā.bhavanti.yataḥ}.sā.dig.iti./	dik.-pUrvA-para-Adi-pratyaya-liFga-a./.mUrta-dravyam-.avaDim-.kRtvA.-mUrtezu-.eva.-dravyezu-.etasmAt-.idam-.{5.dravya-izu.-tasmAt-.idam}.-pUrveNa.dak
   Pdhs_6.3(66) anyanimittāsambhavāt./.	PDs_6.3(66) anya-nimitta-asamBavAt./.
   Pdhs_6.3(67)	PDs_6.3(67)
   tasyās.tu.guṇāḥ.saṃkhyāyaparimāṇapṛthaktvasamyogavibhāgāḥ.kālavad.ete.siddhāḥ./.dig.liṅgāviśeṣād.aṃjasaikatve.'pi.diśaḥ.paramamaharṣibhiḥ.{6.paramarṣibhiḥ.}.śrutismṛtilokasaṃvyavahārārtham.{5.lokavyavahārārtham}.merum.pradakṣiṇam.āvartamānasya.bhagavataḥ.savitur.ye.samyogaviśeṣāḥ.lokapālaparigṛhītadikpradeśānām.{5.samyogās.teṣām.lokapāla-}.anvarthāḥ.prācyādibhedena.daśavidhāḥ.saṃjñāḥ.kṛtāḥ.ato.{5.tato}.bhaktyā.daśa.diśaḥ.siddhāḥ./	tasya-as.tu.-guNAH.saMKyAya-parimANa-pRTaktva-samyoga-viBAgAH.kAla-vat-.ete.-sidDAH-./.dig.liFgA-viSezAt-.aMjasa-eka-tve.-api.diSaH.paramam-ahaRz
   Pdhs_6.3(67)	PDs_6.3(67)
   tāsām.eva.devatāparigrahāt.{6.parigṛhītatvāt;.5.parigrahavaśāt}.punar.daśa.saṃjñā.bhavanti./.{6.tadyathā}.māhendrī.vaiśvānarī.yāmyā.{5.yāmo}.nairṛtī.vāruṇī.vāyavyā.kauverī.{5.vāyavo.cāndramasī}.aiśānī.brāhmī.nāgī.ceti./	tAsAm-.eva.-devatA-parigrahAt.{6.-parigRhIta-tvAt;.5.-parigraha-vaSAt}.-punar.daSa.-saMjQA.Bavanti./.{6.tat-yaTA}.mAha-indrI.-vESvAnarI.yAmi-
   Pdhs_6.4(69.6-)	PDs_6.4(69.6-)
   ātmatvābhisambandhād.ātmā./.tasya.saukṣmyād.apratyakṣatve.sati.{5.'pi}.karaṇaiḥ.śabdādyupalabdhyanumitaiḥ.śrotrādibhiḥ.samadhigamaḥ.kriyate./.vāsyādīnām.{6;7.vāsyādīnām.iva}.karaṇānām.kartṛprayojyatvadarśanāt.{1.prayojyatva}.śabdādiṣu.prasiddhyā.ca.prasādhako.'numīyate./	Atma-tva-aBisambanDAt-.a-AtmA./.tasya.-sOkzmyAt-.a-pratyakza-tve.sati-.{5.-api}.karaNEH.-Sabda-Adi-upalabDi-anumitEH.Srotra-AdiBiH.samaDigamaH.kri
   Pdhs_6.4(69)	PDs_6.4(69)
   na.śarīrendriyamanasām.ajñatvāt.{5.ajñānatvāt;.1.na.śarīrendriyamanasām.caitanyam.ajñatvāt}./.na.śarīrasya.caitanyam.ghaṭādivad.bhūtakāryatvāt.mṛte.cāsambhavāt./.nendriyāṇām.karaṇatvāt.upahateṣu.viṣayāsānnidhye.cānusmṛtidarśanāt.{1.cātra.smṛti}./	na.-SarIra-indriya-manasA-Am.a-jQa-tvAt.{5.a-jQAna-tvAt;.1.na.-SarIra-indriya-manasAm-.cEtanyam.ajQa-tvAt}./.na.-SarIrasya.-cEtanya-m.Gawa-Adi-vat-.BU
   Pdhs_6.4(69)	PDs_6.4(69)
   nāpi.manasaḥ.karaṇāntarānapekṣitve.yugapadālocanasmṛtiprasaṅgāt.{5.yugapadālocanānusmṛti}.svayam.karaṇabhāvāc.ca./.pariśeṣād.{5;6.pāriśeṣyād}.ātmakāryatvāt.{6.ātmakāryam.jñānam}.tenātmā.samadhigamyate.śarīrasamavāyinībhyām.ca.hitāhitaprāptiparihārayogyābhyām.pravṛttinivṛttibhyām.{1.pravṛttinivṛttibhyām.not.seen}.rathakarmaṇā.sārathivat.prayatnavān.vigrahasyādhiṣṭhātānumīyate.prāṇādibhiś.ceti./	na-api.manasaH.karaNa-antara-anapekzi-tve.-yugapad-a-Alocana-smRti-prasaFga-at.{5.-yuga-pad-a-Alocana-anusmRti}.svayam-.karaNa-BAvAt-.ca./.pariSezAt-.{5;
   Pdhs_6.4(69)	PDs_6.4(69)
   katham.śarīraparigṛhīte.{5.vigṛhīte}.vāyau.vikṛtakarmadarśanād.bhastrādhmāpayiteva.nimeṣonmeṣakarmaṇā.niyatena.dāruyantraprayokteva.dehasya.vṛddhikṣatabhagnasaṃrohaṇādinimittatvāt.{6.saṃrauhaṇābhyām}.	kaTam-.SarIra-parigRhIte.{5.-vigRhIte}.vAyO.-vikRta-karma-darSanAd.BastrADmApayitA-iva.-nimeza-unmeza-karmaNA.-niyatena.dAru-yantra-prayoktA-iva
   Pdhs_6.4(70)	PDs_6.4(70)
   gṛhapatir.iva.abhimataviṣayagrāhakakaraṇasambandhanimittena.manahkarmaṇā.gṛhakoṇeṣu.pelakapreraka.iva.{5.gṛha?koṇavyavasthitapelaka.iva.preraka.iva}.dārakaḥ.nayanaviṣayālocanānantaram.rasānusmṛtikrameṇa.rasanavikriyādarśanād.anekagavākṣāntargataprekṣakavad.{5.preraka}.ubhayadarśī.kaścid.eko.vijñāyate./	gRhapatiH-.iva-.aBimata-vizaya-grAhaka-karaNa-sambanDa-nimittena.manahkarmaNA.gRha-koNa-izu.-pelaka-preraka-.iva-.{5.-gRha?-koNa-vyavasTita-pelak
   Pdhs_6.4(70)	PDs_6.4(70)
   sukhaduhkhecchādveṣaprayatnaiś.ca.guṇair.guṇyanumīyate.te.ca.na.śarīrendriyaguṇāḥ.{5.viśeṣaguṇāḥ}.kasmād.ahaṅkāreṇaikavākyatābhāvāt.pradeśavṛttitvād.ayāvaddravyabhāvitvād.bāhyendriyāpratyakṣatvāc.{5.grāhyatvā}.ca.tathāhaṃśabdenāpi.pṛthśśdivyādiśabdavyatirekād.iti./	suKa-duhKa-icCA-dveza-prayatna-ES.ca.guNEH-.guNi-anumIyate.te.ca.na.-SarIra-indriya-guNAH.{5.viSeza-guNAH}.kasmAt-.ahaFkAreNa-eka-vAkya-tA-BAvAt.-pr
   Pdhs_6.4(70)	PDs_6.4(70)
   tasya.guṇāḥ.buddhisukhaduhkhecchādveṣaprayatnadharmādharmasaṃskārasaṃkhyāparimāṇapṛthaktvasamyogavibhāgāḥ./.ātmaliṅgādhikāre.buddhyādayaḥ.prayatnāntāḥ.siddhāḥ.{6.prayatnāntāś.ca.prasiddhāḥ}./	tasya.-guNAH.budDi-suKa-duhKa-icCA-dveza-prayatna-Darma-aDarma-saMskAra-saMKyA-parimANa-pRTaktva-samyoga-viBAgAH./.Atma-liFga-aDikAre.-budDi-AdayaH.
   Pdhs_6.4(70)	PDs_6.4(70)
   dharmādharmāv.ātmāntaraguṇānām.akāraṇatvavacanāt.saṃskāraḥ.smṛtyutpattau.kāraṇavacanāt./.vyavasthāvacanāt.{5.vacanābhisambandhāt}.saṃkhyā.pṛthaktvam.apy.ata.eva.{1.mata.eva}.tathā.cātmetivacanāt.paramamahat.parimāṇam./	Darma-aDarmOv.Atma-antara-guNAnAm.akAraNa-tva-vacana-at.saMskAraH.-smRti-utpattO.-kAraNa-vacanAt./.-vyavasTA-vacana-at.{5.vacana-aBisambanDAt}.-saM
   Pdhs_6.4(70)	PDs_6.4(70)
   .sannikarṣajatvāt.sukhādīnām.samyogaḥ./.tadvināśakatvād.vibhāga.iti.//	.sannikarza-ja-tvA-at.-suKa-AdInAm-.samyogaH-./.tad-vinASaka-tvAt-.viBAga-.iti.//
   Pdhs_6.5(89.8-)	PDs_6.5(89.8-)
   manastvayogān.manaḥ./.saty.apy.ātmendriyārthasānnidhye.jñānasukhādīnām.abhūtvotpattidarśanāt.karaṇāntaram.anumīyate./.śrotrādyavyāpāre.smṛtyutpattidarśanāt.bāhyendriyair.agṛhītasukhādigrāhyāntarabhāvāc.cāntahkaraṇam./	manaH-tu-ayogAn-.manaH./.sati-.api-.a-Atma-indriya-arTa-sAnniDye.-jQAna-suKa-AdI-nAm-.aBUtvA-utpatti-darSanAt.karaNa-antaram-.anumIyate./.Srotra-At-yavyAp
   Pdhs_6.5(89)	PDs_6.5(89)
   tasya.guṇāḥ.saṃkhyāparimāṇapṛthaktvasamyogavibhāgaparatvāparatvasaṃskārāḥ./.prayatnajñānāyaugapadyavacanāt.pratiśarīram.ekatvam.siddham./.pṛthaktvam.apy.ata.eva./.tadabhāvavacanād.aṇuparimāṇam./	tasya.-guNAH.saMKyA-parimANa-pRTaktva-samyoga-viBAga-paratva-aparatva-saMskArAH./.-prayatna-jQAna-ayOgapadi-avacanAt.pratiSarIram-.eka-tvam-.sid
   Pdhs_6.5(89)	PDs_6.5(89)
   apasarpaṇopasarpaṇavacanāt.samyogavibhāgau./.mūrtatvāt.paratvāparatve.saṃskāraś.ca./.asparśavattvād.dravyānārambhakatvam./.kriyāvattvān.mūrtatvam./.sādhāraṇavigrahavattvaprasaṅgād.ajñatvam./	apasarpaNa-upasarpaNa-vacanAt.-samyoga-viBAgO./.mUrta-tvAt.-paratva-aparatve.-saMskAra-S.ca-./.a-sparSavat-tvAt-.dravya-anAramBaka-tvam-./.-kriyAva
   Pdhs_6.5(89)	PDs_6.5(89)
   karaṇabhāvāt.parārtham./.guṇavattvād.dravyam./.prayatnādṛṣṭaparigrahavaśād.āśusañcāri.ceti.//	karaNa-BAvAt.-para-arTa-m./.guNavat-tvAt-.dravyam./.-prayatna-adRzwa-parigraha-vaSAt-.ASu-saQcAri.ca-iti.//
   Pdhs_6.0(89) iti.praśastapādabhāṣye.dravyapadārthaḥ.//	PDs_6.0(89) iti.-praSasta-pAda-BAzye.-dravya-padArTaH.//
   Pdhs_7.0(94.5) atha.guṇapadārthanirūpaṇam./	PDs_7.0(94.5) aTa.-guNa-padArTa-nirUpaNam./
   Pdhs_7.0(94.6-)	PDs_7.0(94.6-)
   rūpādīnām.guṇānām.sarveṣām.guṇatvābhisambandho.dravyāśritatvam.nirguṇatvam.niṣkriyatvam.//	rUpa-AdI-nAm.guNAnAm.sarvezAm-.guNa-tva-aBisambanDa-u.dravya-ASrita-tvam.nirguNa-tvam-.nizkriya-tvam-.//
   Pdhs_7.0(95.3-)	PDs_7.0(95.3-)
   rūparasagandhasparśaparatvāparatvagurutvadravatvasnehavegā.mūrtaguṇāḥ.//	rUpa-rasa-ganDa-sparSa-paratva-aparatva-guru-tva-drava-tva-sneha-vegA.-mUrta-guNAH.//
   Pdhs_7.0(95.9-)	PDs_7.0(95.9-)
   buddhisukhaduhkhecchādveṣaprayatnadharmādharmabhāvanāśabdā.amūrtaguṇāḥ.//	budDi-suKa-duhKa-icCA-dveza-prayatna-Darma-aDarma-BAvanA-SabdA.amUrta-guNAH.//
   Pdhs_7.0(95.13) saṃkhyāparimāṇapṛthaktvasamyogavibhāgā.ubhayaguṇāḥ.//	PDs_7.0(95.13) saMKyA-parimANa-pRTaktva-samyoga-viBAgA.u-Baya-guNAH.//
   Pdhs_7.0(95.15) samyogavibhāgadvitvadvipṛthaktvādayo.'nekāśritāḥ.//	PDs_7.0(95.15) samyoga-viBAga-dvi-tvat-vipRTak-tvAt-ayo.-aneka-ASritAH.//
   Pdhs_7.0(95.21) śeṣās.tv.ekaikadravyavṛttayaḥ.//	PDs_7.0(95.21) Seza-As.tu-.eka-eka-dravya-vRttayaH.//
   Pdhs_7.0(95.24-)	PDs_7.0(95.24-)
   rūparasagandhasparśasnehasāṃsiddhikadravatvabuddhisukhaduhkhecchādveṣaprayatnadharmādharmabhāvanāśabdā.vaiśeṣikaguṇāḥ.//	rUpa-rasa-ganDa-sparSa-sneha-sAMsidDi-ka-drava-tva-budDi-suKa-duhKa-icCA-dveza-prayatna-Darma-aDarma-BAvanA-SabdA.-vESezika-guNAH.//
   Pdhs_7.0(96.5-)	PDs_7.0(96.5-)
   saṃkhyāparimāṇapṛthaktvasamyogavibhāgaparatvāparatvagurutvanaimitikadravatvavegāḥ.sāmānyaguṇāḥ.//	saMKyA-parimANa-pRTaktva-samyoga-viBAga-paratva-aparatva-guru-tva-nEmitika-drava-tva-vegAH.sAmAnya-guNAH.//
   Pdhs_7.0(96.11-) śabdasparśarūparasagandhā.bāhyaikaikendriyagrāhyāḥ.//	PDs_7.0(96.11-) Sabda-sparSa-rUpa-rasa-ganDA.-bAhya-ekEka-indriya-grAhyAH.//
   Pdhs_7.0(96.14-)	PDs_7.0(96.14-)
   saṃkhyāparimāṇapṛthaktvasamyogavibhāgaparatvāparatvadravatvasnehavegā.dvīndriyagrāhyāḥ.//	saMKyA-parimANa-pRTaktva-samyoga-viBAga-paratva-aparatva-drava-tva-sneha-vegA.-dvi-indriya-grAhyAH.//
   Pdhs_7.0(96.19-)	PDs_7.0(96.19-)
   buddhisukhaduhkhecchādveṣaprayatnās.tv.antahkaraṇagrāhyāḥ.//	budDi-suKa-duhKa-icCA-dveza-prayatna-As.tv.antahkaraNa-grAhyAH.//
   Pdhs_7.0(98.4) gurutvadharmādharmabhāvanā.hy.atīndriyāḥ.//	PDs_7.0(98.4) guru-tva-Darma-aDarma-BAvanA.hi-.ati-indriyAH.//
   Pdhs_7.0(98.7-)	PDs_7.0(98.7-)
   apākajarūparasagandhasparśaparimāṇaikatvaikapṛthaktvagurutvadravatvasnehavegāḥ.kāraṇaguṇapūrvakāḥ.//	apAkaja-rUpa-rasa-ganDa-sparSa-parimANa-eka-tva-eka-pRTaktva-guru-tva-drava-tva-sneha-vega-aH.kAraNa-guNa-pUrvakAH.//
   Pdhs_7.0(98.20-)	PDs_7.0(98.20-)
   buddhisukhaduhkhecchādveṣaprayatnadharmādharmabhāvanāśabdā.akāraṇaguṇapūrvakāḥ.//	budDi-suKa-duhKa-icCA-dveza-prayatna-Darma-aDarma-BAvanA-SabdA.akAraNa-guNa-pUrvakAH.//
   Pdhs_7.0(98.24-)	PDs_7.0(98.24-)
   buddhisukhaduhkhecchādveṣaprayatnadharmādharmabhāvanāśabdatūlaparimāṇottarasamyoganaimittikadravatvaparatvāparatvāpākajāḥ.samyogajāḥ.//	budDi-suKa-duhKa-icCA-dveza-prayatna-Darma-aDarma-BAvanA-Sabda-tUla-parimANa-uttara-samyoga-nEmittika-drava-tva-paratva-aparatva-apAka-jAH.-samyoga-jAH.//
   Pdhs_7.0(99.6) samyogavibhāgavegāḥ.karmajāḥ.//	PDs_7.0(99.6) samyoga-viBAga-vegAH.karma-jAH.//
   Pdhs_7.0(99.8) śabdottaravibhāgau.vibhāgajau.//	PDs_7.0(99.8) Sabda-uttara-viBAgO.-viBAga-jO.//
   Pdhs_7.0(99.11) paratvāparatvadvitvadvipṛthaktvādayo.buddhyapekṣāḥ.//	PDs_7.0(99.11) paratva-aparatva-dvi-tvat-vipRTaktvAdayaH-.budDi-apekzAH.//
   Pdhs_7.0(99.14-)	PDs_7.0(99.14-)
   rūparasagandhānuṣṇasparśaśabdaparimāṇaikatvaikapṛthaktvasnehāḥ.samānajātyārambhakāḥ.//	rUpa-rasa-ganDa-anuzNa-sparSa-Sabda-parimANa-eka-tva-eka-pRTaktva-snehAH.samAna-jAti-AramBakAH.//
   Pdhs_7.0(99.22) sukhadūhkhecchādveṣaprayatnāś.cāsamānajātyārambhakāḥ.//	PDs_7.0(99.22) suKa-dUhKa-icCA-dveza-prayatna-AS.ca-asamAna-jAti-AramBakAH.//
   Pdhs_7.0(100.3-)	PDs_7.0(100.3-)
   samyogavibhāgasaṃkhyāgurutvadravatvoṣṇasparśajñānadharmādharmasaṃskārāḥ.samānāsamānajātyārambhakāḥ.//	samyoga-viBAga-saMKyA-guru-tva-drava-tva-uzNa-sparSa-jQAna-Darma-aDarma-saMskArAH.samAna-asamAna-jAti-AramBakAH.//
   Pdhs_7.0(100.11-)	PDs_7.0(100.11-)
   buddhisukhaduhkhecchādveṣabhāvanāśabdāḥ.svāśrayasamavetārambhakāḥ.//	budDi-suKa-duhKa-icCA-dveza-BAvanA-SabdAH.su-a-ASraya-samaveta-AramBakAH.//
   Pdhs_7.0(100.16)	PDs_7.0(100.16)
   rūparasagandhasparśaparimāṇasnehaprayatnāḥ.paratrārambhakāḥ.//	rUpa-rasa-ganDa-sparSa-parimANa-sneha-prayatnAH.paratra-AramBakAH.//
   Pdhs_7.0(100.20-)	PDs_7.0(100.20-)
   samyogavibhāgasaṃkhyaikapṛthaktvagurutvadravatvavegadharmādharmās.tūbhayatrārambhakāḥ.//	samyoga-viBAga-saMKyA-eka-pRTaktva-guru-tva-drava-tva-vega-Darma-aDarmA-s.tu-uBayatra-AramBakAH.//
   Pdhs_7.0(101.3-)	PDs_7.0(101.3-)
   gurutvadravatvavegaprayatnadharmādharmasamyogaviśeṣāḥ.kriyāhetavaḥ.//	guru-tva-drava-tva-vega-prayatna-Darma-aDarma-samyoga-viSezAH-.kriyA-hetavaH.//
   Pdhs_7.0(101.9-)	PDs_7.0(101.9-)
   rūparasagandhānuṣṇasparśasaṃkhyāparimāṇaikapṛthaktvasanehaśabdānām.asamavāyikāraṇatvam.//	rUpa-rasa-ganDa-anuzNa-sparSa-saMKyA-parimANa-eka-pRTaktvasaneha-SabdAnAm.asamavAyi-kAraNa-tvam-.//
   Pdhs_7.0(102.1-)	PDs_7.0(102.1-)
   buddhisukhaduhkhecchādveṣaprayatnadharmādharmabhāvanānām.nimittakāraṇatvam.//	budDi-suKa-duhKa-icCA-dveza-prayatna-Darma-aDarma-BAvanAnAm-.nimitta-kAraNa-tvam-.//
   Pdhs_7.0(102.4-)	PDs_7.0(102.4-)
   samyogavibhāgoṣṇasparśagurutvadravatvavegānām.ubhayathā.kāraṇatvam.//	samyoga-viBAga-uzNa-sparSa-guru-tva-drava-tva-vegAnAm.uBayaTA-a.kAraNa-tvam-.//
   Pdhs_7.0(102.12) paratvāparatvadvitvadvipṛthaktvādīnām.akāraṇatvam.//	PDs_7.0(102.12) paratva-aparatva-dvi-tvat-vipRTaktva-AdInAm-.akAraNa-tvam-.//
   Pdhs_7.0(102.16-) samyogavibhāgaśabdātmaviśeṣaguṇānām.pradeśavṛttitvam.//	PDs_7.0(102.16-) samyoga-viBAga-Sabda-Atma-viSeza-guNAnAm.pradeSa-vRtti-tvam.//
   Pdhs_7.0(103.8) śeṣāṇām.āśrayavyāpitvam.//	PDs_7.0(103.8) SezANAm-.ASraya-vyApi-tvam.//
   Pdhs_7.0(103.11-)	PDs_7.0(103.11-)
   apākajarūparasagandhasparśaparimāṇaikatvaikapṛthaktvasāṃsiddhikadravatvagurutvasnehānām.yāvaddravyabhāvitvam.//	apAkaja-rUpa-rasa-ganDa-sparSa-parimANa-ekatva-eka-pRTaktva-sAMsidDi-kadrava-tva-guru-tva-snehAnAm-.yAvat-dravya-BAvi-tvam.//
   Pdhs_7.0(103.15) śeṣāṇām.ayāvaddravyabhāvitvam.ceti.//	PDs_7.0(103.15) SezANAm.ayAvat-dravya-BAvi-tvam-.ca-iti.//
   Pdhs_8.1(103.18-)	PDs_8.1(103.18-)
   rūpādīnām.sarveṣām.guṇānām.pratyekam.aparasāmānyasambandhād.rūpādisaṃjñā.bhavanti.//	rUpa-AdInAm-.sarvezAm-.guNAnAm-.pratyekam.a-para-sAmAnya-sambanDAt-.rUpa-Adi-saMjQA.Bavanti.//
   Pdhs_8.1(104.1-)	PDs_8.1(104.1-)
   tatra.rūpam.cakṣurgrāhyam./.pṛthivyudakajvalanavṛtti.dravyādyupalambhakam.nayanasahakāri.śuklādyanekaprakāram.salilādiparamāṇuṣu.nityam.pārthivaparamāṇuṣv.agnisamyogavirodhi.sarvakāryadravyeṣu.kāraṇaguṇapūrvakam.āśrayavināśād.eva.vinaśyatīti.//	tatra.rUpam-.cakzuH-grAhyam./.-pRTivI-udaka-jvalana-vRtti.dravya-Adi-upalamBakam.nayana-sahakAri.-Sukla-Adi-aneka-prakAram.salila-Adi-paramANuzu.
   Pdhs_8.2(105.8-)	PDs_8.2(105.8-)
   raso.rasanagrāhyaḥ./.pṛthivyudakavṛttiḥ.jīvanapuṣṭibalārogyanimittam.rasanasahakārī.madhurāṃlalavaṇatiktakaṭukaṣāyabhedabhinnaḥ./.asyāpi.nityānityatvaniṣpattayo.rūpavat.//	raso.-rasana-grAhyaH./.pRTivI-udaka-vRttiH.jIvana-puzwi-bala-Arogya-nimittam-.rasana-sahakArI.-maDura-aMla-lavaNa-tikta-kawu-kazAya-Beda-BinnaH./.a
   Pdhs_8.3(105.23-)	PDs_8.3(105.23-)
   gandho.ghrāṇagrāhyaḥ./.pṛthivīvṛttiḥ.ghrāṇasahakārī.surabhir.asurabhiś.ca./.asyāpi.pūrvavad.utpattyādayo.vyākhyātāḥ.//	ganDo.-GrANa-grAhyaH./.pRTivI-vRttiH.GrANa-saha-kArI.-suraBiH-.asuH-aBiS.ca-./.asya-api.pUrvavat-.utpatti-Adayo.-vyAKyAtAH.//
   Pdhs_8.4(106.8-)	PDs_8.4(106.8-)
