   akāmātkāmataḥ kuryāt MrgT_3.106c	akAmAt-kAmataH kuryAt MrgT_3.106c
   punarbhavatayā matāḥ MrgT_3.28b	punarBavatayA matAH MrgT_3.28b
   punaḥ kuryātparigraham MrgT_3.115d	punar kuryAt-parigraham MrgT_3.115d
   pureṣveteṣu darśanāt MrgT_3.55d	purezu-etezu darSanAt MrgT_3.55d
   pustakaṃ guptasatsūtraṃ MrgT_3.32c	pustakam gupta-sat-sUtram MrgT_3.32c
   pūjanaṃ madhuparkādyaiḥ MrgT_3.21c	pUjanam maDuparka-AdyEH MrgT_3.21c
   pūte mahītale sthitvā MrgT_3.31a	pUte mahI-tale sTitvA MrgT_3.31a
   pūrayedvārṣikaṃ vidhim MrgT_3.130b	pUrayet-vArzikam viDim MrgT_3.130b
   pūrṇavratāvadhiḥ samyag MrgT_3.9c	pUrNa-vrata-avaDiH samyak MrgT_3.9c
   pūrvoktādardhamācaret MrgT_3.122d	pUrva-uktAt-arDam-Acaret MrgT_3.122d
   pūrvoktānuktapāpmanām MrgT_3.126d	pUrva-ukta-anukta-pApmanAm MrgT_3.126d
   pṛthakpṛthaktathaiteṣām MrgT_3.22c	pRTak-pRTak-taTA-etezAm MrgT_3.22c
   praṇavoccārasaṃśritam MrgT_3.119b	praNava-uccAra-saMSritam MrgT_3.119b
   pratipatpañcadaśyośca MrgT_3.54a	pratipad-paQcadaSyoH-ca MrgT_3.54a
   pratipraśnātimātrakam MrgT_3.48b	pratipraSna-atimAtrakam MrgT_3.48b
   pratisroto 'nuyāyīni MrgT_3.37c	pratisrotas anuyAyIni MrgT_3.37c
   pratyabdamathavaindavam MrgT_3.127b	pratyabdam-aTa-vA-Endavam MrgT_3.127b
   pratyaṃśaṃ saṃhitāṇubhiḥ MrgT_3.5d	pratyaMSam saMhitA-aNuBiH MrgT_3.5d
   pradoṣe prativāsaram MrgT_3.102d	pradoze prativAsaram MrgT_3.102d
   pramādāddhārite liṅge MrgT_3.115a	pramAdAt-hArite liFge MrgT_3.115a
   pramādādyoṣitaṃ gatvā MrgT_3.118c	pramAdAt-yozitam gatvA MrgT_3.118c
   pravṛttaye guruṃ svaṃ ca MrgT_3.34c	pravRttaye gurum svam ca MrgT_3.34c
   prākāraṃ kavacaṃ kuryāt MrgT_3.102a	prAkAram kavacam kuryAt MrgT_3.102a
   prākāraṃ bhasmanā dīptam MrgT_3.101a	prAkAram BasmanA dIptam MrgT_3.101a
   prāgvyākhyānaparāmarśa- MrgT_3.60c	prAc-vyAKyAna-parAmarSa MrgT_3.60c
   prāṇāyāmāyutaṃ bhajet MrgT_3.118d	prANAyAma-ayutam Bajet MrgT_3.118d
   prāptamadyānniveditam MrgT_3.72b	prApta-madyAt-niveditam MrgT_3.72b
   prāyaścittaṃ vidhisthitam MrgT_3.106b	prAyaScittam viDi-sTitam MrgT_3.106b
   prāyaścittaṃ hi tadguroḥ MrgT_3.26d	prAyaScittam hi tad-guroH MrgT_3.26d
   prāyaścittī bhavedyasmāt MrgT_3.24c	prAyaScittI Bavet-yasmAt MrgT_3.24c
   prārabheta gururvyākhyāṃ MrgT_3.33c	prAraBeta guruH-vyAKyAm MrgT_3.33c
   prārambhe 'pi na sampraśna- MrgT_3.48a	prAramBe api na sampraSna MrgT_3.48a
   phalamūlabhugeva vā MrgT_3.76b	Pala-mUla-Buj-eva vA MrgT_3.76b
   baddhvāsanamatandritaḥ MrgT_3.87b	badDvA-Asanam-atandritaH MrgT_3.87b
   badhnīyācchivatejasā MrgT_3.6b	baDnIyAt-Siva-tejasA MrgT_3.6b
   bandhadhyānārcanādikam MrgT_3.69d	banDa-DyAna-arcana-Adikam MrgT_3.69d
   baliṃ ca nairṛte dadyād MrgT_3.86c	balim ca nErRte dadyAt MrgT_3.86c
   bahiḥ sthito bahiḥsaṃsthāt MrgT_3.62c	bahis sTitaH bahis-saMsTAt MrgT_3.62c
   bahudaivasike yoge MrgT_3.123a	bahu-dEvasike yoge MrgT_3.123a
   bāṇe liṅge svayaṃvyakte MrgT_3.96c	bANe liFge svayaMvyakte MrgT_3.96c
   bāhyāvṛtau tadastrāṇi MrgT_3.103a	bAhyOvRtO tad-astrANi MrgT_3.103a
   biḍālavyālabhekeṣu MrgT_3.57a	bixAla-vyAla-Bekezu MrgT_3.57a
   bubhuk.oritarasya vā MrgT_3.App.1d	buBuk.oH-itarasya vA MrgT_3.App.1d
   brūte ya evaṃ yo 'dhīte MrgT_3.51c	brUte yaH evam yaH aDIte MrgT_3.51c
   brūyādaṅga paṭhasveti MrgT_3.33a	brUyAt-aFga paWasva-iti MrgT_3.33a
   bhasmanā traiphalena ca MrgT_3.7b	BasmanA trEPalena ca MrgT_3.7b
   bhikṣāmalabdhvā no kopaṃ MrgT_3.83c	BikzAm-alabDvA no kopam MrgT_3.83c
   bhīkṣāṃ tu carato bhikṣāṃ MrgT_3.81a	BIkzAm tu carataH BikzAm MrgT_3.81a
   bhūrisragbalidhūpādyair MrgT_3.99c	BUri-sraj-bali-DUpa-AdyEH MrgT_3.99c
   bhūṣitā bhūmipādayaḥ MrgT_3.3d	BUzitAH BUmipa-AdayaH MrgT_3.3d
   bhedān saṃkhyānameva ca MrgT_3.34b	BedAn saMKyAnam-eva ca MrgT_3.34b
   bhautikavratinaste syur MrgT_3.8a	BOtika-vratinaH-te syuH MrgT_3.8a
   bhautikaḥ kāmya ityuktaḥ MrgT_3.10c	BOtikaH kAmyaH iti-uktaH MrgT_3.10c
   bhraṣṭe vā sākṣasūtrake MrgT_3.115b	Brazwe vA sAkzasUtrake MrgT_3.115b
   bhraṃśe vā janite bhaṅge MrgT_3.116a	BraMSe vA janite BaFge MrgT_3.116a
   bhrātṛśiṣyādike tryaham MrgT_3.59b	BrAtR-Sizya-Adike tri-aham MrgT_3.59b
   bhrātṝṇāṃ jyāyasāmapi MrgT_3.21b	BrAtLNAm jyAyasAm-api MrgT_3.21b
   makuṭaṃ vimalākhyaṃ ca MrgT_3.46a	makuwam vimala-AKyam ca MrgT_3.46a
   maṅgalācārayogitvaṃ MrgT_3.22a	maFgala-AcAra-yogi-tvam MrgT_3.22a
   matimānnābhivādayet MrgT_3.70d	matimAn-na-aBivAdayet MrgT_3.70d
   mantrasādhanasaṃsiddheḥ MrgT_3.28c	mantra-sADana-saMsidDeH MrgT_3.28c
   mantrāstaṃ nādhitiṣṭhanti MrgT_3.80c	mantrAH-tam na-aDitizWanti MrgT_3.80c
   mantriṇaḥ sādhyamantreṇa MrgT_3.6c	mantriNaH sADya-mantreNa MrgT_3.6c
   mantrī sānucaraścaret MrgT_3.127d	mantrI sa-anucaraH-caret MrgT_3.127d
   mantryādiṣu na vāryate MrgT_3.65d	mantrI-Adizu na vAryate MrgT_3.65d
   mahājanākulaṃ dūra- MrgT_3.95c	mahA-jana-Akulam dUra MrgT_3.95c
   mahātantrārthapādapaḥ MrgT_3.49d	mahA-tantra-arTa-pAdapaH MrgT_3.49d
   mahāpātakasaṃyoge MrgT_3.119c	mahApAtaka-saMyoge MrgT_3.119c
   maheśaśaktinunnānāṃ MrgT_3.23a	maheSa-Sakti-nunnAnAm MrgT_3.23a
   mātṛlokeśakīlitam MrgT_3.94d	mAtR-loka-ISa-kIlitam MrgT_3.94d
   mātrārakṣaṇamekasya MrgT_3.18c	mAtrA-rakzaNam-ekasya MrgT_3.18c
   mādhūkarīṃ caredbhikṣāṃ MrgT_3.79a	mADUkarIm caret-BikzAm MrgT_3.79a
   mārgakṣīṇe ripugraste MrgT_3.17a	mArga-kzINe ripu-graste MrgT_3.17a
   māsavṛddhyayanādiṣu MrgT_3.16b	mAsa-vRdDi-ayana-Adizu MrgT_3.16b
   māṃsayoṣinmadhutyāgo MrgT_3.18a	mAMsa-yozit-maDu-tyAgaH MrgT_3.18a
   miṣṭānnapracurāṃ bhīkṣāṃ MrgT_3.82a	mizwa-anna-pracurAm BIkzAm MrgT_3.82a
   muktyarthamitare trayaḥ MrgT_3.128b	mukti-arTam-itare trayaH MrgT_3.128b
   mukhabimbakamudgītaṃ MrgT_3.46c	muKa-bimbakam-udgItam MrgT_3.46c
   munibhiśca tadicchayā MrgT_3.38d	muniBiH-ca tad-icCayA MrgT_3.38d
   munisiddhaniṣevite MrgT_3.96d	muni-sidDa-nizevite MrgT_3.96d
   mṛtaḥ pretatvamaśnute MrgT_3.53b	mRtaH preta-tvam-aSnute MrgT_3.53b
   yajetparvasu śaṃkaram MrgT_3.91d	yajet-parvasu SaMkaram MrgT_3.91d
   yajedantarghanacchadam MrgT_3.103b	yajet-antar-Gana=-Cadam MrgT_3.103b
   yatnenopacaredgurum MrgT_3.73d	yatnena-upacaret-gurum MrgT_3.73d
   yatra nāryastato 'pi vā MrgT_3.82d	yatra nAryaH-tatas api vA MrgT_3.82d
   yatra bīja ivārūḍho MrgT_3.49c	yatra bIjaH iva-ArUXaH MrgT_3.49c
   yatsadbhāvādbhavajalanidhau jantujātasya pātaḥ MrgT_3.0b	yat-sadBAvAt-Bava-jalaniDO jantu-jAtasya pAtaH MrgT_3.0b
   yadūcurupasaṃhṛtya MrgT_3.40a	yat-UcuH-upasaMhRtya MrgT_3.40a
   yavīyāṃsaṃ guṇādhikam MrgT_3.124b	yavIyAMsam guNa-aDikam MrgT_3.124b
   yaḥ prāptastapasā devair MrgT_3.129a	yaH prAptaH-tapasA devEH MrgT_3.129a
   yāgadhāma vidhāyādā- MrgT_3.98c	yAga-DAma viDAya-adA MrgT_3.98c
   yenatadyoginīkaulaṃ MrgT_3.41a	yena-tad-yoginI-kOlam MrgT_3.41a
   yenāṇūnāmuṣitamamalaṃ dṛkkriyākhyasvarūpaṃ MrgT_3.0a	yena-aNUnAm-uzitam-amalam dRkkriyA-AKya-svarUpam MrgT_3.0a
   yeṣāṃ sāvadhikaṃ vratam MrgT_3.8b	yezAm sO=-aDikam vratam MrgT_3.8b
   yogapīṭhavyavasthitāḥ MrgT_3.80d	yoga-pIWa-vyavasTitAH MrgT_3.80d
   yogapīṭheṣṭaśaṃkaraḥ MrgT_3.62b	yoga-pIWezwa-SaMkaraH MrgT_3.62b
   yoginīsiddhakaulaṃ ca MrgT_3.37a	yoginI-sidDa-kOlam ca MrgT_3.37a
   yoginyo lebhire jñānaṃ MrgT_3.40c	yoginyaH leBire jQAnam MrgT_3.40c
   yogodbhavamacintyakam MrgT_3.43d	yoga-udBavam-acintyakam MrgT_3.43d
   yo miśro miśra eva saḥ MrgT_3.41d	yaH miSraH miSraH eva saH MrgT_3.41d
   ratnajaṃ na paraṃ tataḥ MrgT_3.App.2b	ratna-jam na param tatas MrgT_3.App.2b
   rogārte kṣutprapīḍite MrgT_3.17b	roga-Arte kzuD-prapIxite MrgT_3.17b
   raudrāṇāṃ vijayaṃ pūrvaṃ MrgT_3.45a	rOdrANAm vijayam pUrvam MrgT_3.45a
   raudrā rudraiḥ śivāviṣṭair MrgT_3.43a	rOdrAH rudrEH Siva-AvizwEH MrgT_3.43a
   lakṣaṃ japenmaheśasya MrgT_3.115c	lakzam japet-maheSasya MrgT_3.115c
   lakṣāṇi kṛtasaṃyamaḥ MrgT_3.114d	lakzANi kRta-saMyamaH MrgT_3.114d
   labdhānujño mṛṣā jātu MrgT_3.92c	labDa-anujQaH mRzA jAtu MrgT_3.92c
   lalitaṃ siddhasaṃjñakam MrgT_3.46d	lalitam sidDa-saMjQakam MrgT_3.46d
   loke prāpya yaśo dīptaṃ MrgT_3.52a	loke prApya yaSaH dIptam MrgT_3.52a
   lohādi pāṇiṣaḍḍhāstaṃ MrgT_3.App.2c	loha-Adi pANi-zaxXAH-tam MrgT_3.A-app.2c
   vaktrasya syandane rātrau MrgT_3.108c	vaktrasya syandane rAtrO MrgT_3.108c
   vaktrādyanyatamaṃ guṇam MrgT_3.109b	vaktra-Adi-anyatamam guNam MrgT_3.109b
   vadanvighnairviruddhyate MrgT_3.49b	vadan-viGnEH-virudDyate MrgT_3.49b
   varṇalakṣajapānmantro MrgT_3.105a	varNa-lakza-japAn-mantraH MrgT_3.105a
   varmālabdhaistaduccaran MrgT_3.101d	varma-AlabDEH-tat-uccaran MrgT_3.101d
   vastraṃ māheśvaraṃ yajet MrgT_3.98d	vastram mAheSvaram yajet MrgT_3.98d
   vātaghnākṣadaleṣu ca MrgT_3.13b	vAta-Gna-akza-dalezu ca MrgT_3.13b
   vādibhedaprabhinnatvāt MrgT_3.42a	vAdi-Beda-praBinna-tvAt MrgT_3.42a
   vāmasyānnavyatikare MrgT_3.108a	vAmasya-anna-vyatikare MrgT_3.108a
   vāmādyāḥ patayaḥ śākya- MrgT_3.112a	vAma-AdyAH patayaH SAkya MrgT_3.112a
   vāsaraṃ mārutāśanaḥ MrgT_3.107d	vAsaram mArutASanaH MrgT_3.107d
   vijñāya sambhṛtaṃ svoktyā MrgT_3.39a	vijQAya samBRtam sva-uktyA MrgT_3.39a
   vidhāyaivaṃ svajātyantaṃ MrgT_3.27c	viDAya-evam sva-jAtyantam MrgT_3.27c
   vidhāyoparamedūrdhvaṃ MrgT_3.49a	viDAya-uparamet-UrDvam MrgT_3.49a
   vidhāyopari kasyacit MrgT_3.32d	viDAya-upari kasyacid MrgT_3.32d
   vidhinā śṛṇvate mṛṣā MrgT_3.52d	viDinA SRNvate mRzA MrgT_3.52d
   vidhireṣāṃ nigadyate MrgT_3.128d	viDiH-ezAm nigadyate MrgT_3.128d
   vinā kṣetraparigrahāt MrgT_3.78d	vinA kzetra-parigrahAt MrgT_3.78d
   vinā tatputrakaścaret MrgT_3.126b	vinA tad-putrakaH-caret MrgT_3.126b
   vibhajya keśānsampātya MrgT_3.5c	viBajya keSAn-sampAtya MrgT_3.5c
   vibhajyādyātkṣitau śuciḥ MrgT_3.85b	viBajya-adyAt-kzitO SuciH MrgT_3.85b
   vilāsānāmupekṣaṇam MrgT_3.19b	vilAsAnAm-upekzaNam MrgT_3.19b
   viśantamanusaṃviśet MrgT_3.71b	viSantam-anusaMviSet MrgT_3.71b
   viśiṣṭenopahāreṇa MrgT_3.91c	viSizwena-upahAreNa MrgT_3.91c
   viśetāṃ dhāma śāṃkaram MrgT_3.52b	viSetAm DAma SAMkaram MrgT_3.52b
   viśeṣasaṃyamaḥ kāryaḥ MrgT_3.16c	viSeza-saMyamaH kAryaH MrgT_3.16c
   viśeṣeṇottarāyaṇe MrgT_3.97d	viSezeNa-uttarAyaNe MrgT_3.97d
   viṣuve cāṣṭakādiṣu MrgT_3.20d	vizuve ca-azwaka-Adizu MrgT_3.20d
   vīrabhadraṃ ca rauravam MrgT_3.45d	vIraBadram ca rOravam MrgT_3.45d
   vṛthā yāyādgṛhādgṛham MrgT_3.64b	vRTA yAyAt-gRhAt-gRham MrgT_3.64b
   vṛddhoktābhiḥ prayatnavān MrgT_3.23d	vRdDa-uktABiH prayatnavAn MrgT_3.23d
   vaiṣṇave samaye tataḥ MrgT_3.85d	vEzNave samaye tatas MrgT_3.85d
   vyaktisthānaṃ śivasyaite MrgT_3.91a	vyakti-sTAnam Sivasya-ete MrgT_3.91a
   vyatīte kṣetrapālāya MrgT_3.86a	vyatIte kzetrapAlAya MrgT_3.86a
   vyatīpātadinadhvaṃsa- MrgT_3.16a	vyatIpAta-dina-DvaMsa MrgT_3.16a
   vyabhicāriṇi dīkṣite MrgT_3.25b	vyaBicAriNi dIkzite MrgT_3.25b
   vyākuryācchivabhaktebhyas MrgT_3.29a	vyAkuryAt-Siva-BakteByaH MrgT_3.29a
   vyākuryātprathame 'hani MrgT_3.47d	vyAkuryAt-praTame ahani MrgT_3.47d
   vratinaḥ kṣitiśāyitā MrgT_3.18b	vratinaH kziti-SAyitA MrgT_3.18b
   vratino jaṭilā muṇḍās MrgT_3.3a	vratinaH jawilAH muNxAH MrgT_3.3a
   vratino 'vratino 'pi vā MrgT_3.2d	vratinaH avratinaH api vA MrgT_3.2d
   vrateśāyārpitavrataḥ MrgT_3.9d	vrata-ISAya-arpita-vrataH MrgT_3.9d
   vrateśvarasya purato MrgT_3.6a	vrateSvarasya puratas MrgT_3.6a
   śaktimantreśasaṃkhyayā MrgT_3.5b	Sakti-mantreSa-saMKyayA MrgT_3.5b
   śakrādīn śaṅkuvigrahān MrgT_3.100b	Sakra-AdIn SaFku-vigrahAn MrgT_3.100b
   śataṃ vā saṃyataprāṇo MrgT_3.107c	Satam vA saMyata-prANaH MrgT_3.107c
   śambhoḥ pavitramāpādya MrgT_3.130a	SamBoH pavitram-ApAdya MrgT_3.130a
   śayānaṃ na prabodhayet MrgT_3.71d	SayAnam na praboDayet MrgT_3.71d
   śayīta supta ityādi MrgT_3.72c	SayIta suptaH ityAdi MrgT_3.72c
   śavagandhe kharānile MrgT_3.58b	Sava-ganDe Kara-anile MrgT_3.58b
   śivadhāmānyarakṣitam MrgT_3.95b	Siva-DAma-anyarakzitam MrgT_3.95b
   śivanindaiva sā yataḥ MrgT_3.91b	Siva-nindA-eva sA yatas MrgT_3.91b
   śivaṃ praṇavavigraham MrgT_3.31d	Sivam praNava-vigraham MrgT_3.31d
   śivaikādaśikāyutam MrgT_3.119d	Siva-ekAdaSika-ayutam MrgT_3.119d
   śuklapakṣe caturdaśyāṃ MrgT_3.97c	Sukla-pakze caturdaSyAm MrgT_3.97c
   śṛṇuyātsvābhiṣiktādvā MrgT_3.62a	SRNuyAt-sva-aBiziktAt-vA MrgT_3.62a
   śaivaṃ prāktantranirmāṇam MrgT_3.38a	SEvam prAc-tantra-nirmANam MrgT_3.38a
   śaivaṃ māntreśvaraṃ gāṇaṃ MrgT_3.36c	SEvam mAntreSvaram gANam MrgT_3.36c
   śaivaṃ vadannihālpāyur MrgT_3.53a	SEvam vadan=-iha-alpa-AyuH MrgT_3.53a
   śaivātsvāyambhuvādeśca MrgT_3.81c	SEvAt-svAyamBuva-AdeH-ca MrgT_3.81c
   śaivānāvasathaprāptān MrgT_3.89a	SEvAna-AvasaTa-prAptAn MrgT_3.89a
   śaivānāṃ kāmikaṃ pūrvaṃ MrgT_3.43c	SEvAnAm kAmikam pUrvam MrgT_3.43c
   śaivānāṃ ca pratarpaṇam MrgT_3.16d	SEvAnAm ca pratarpaNam MrgT_3.16d
   śaivā raudrā mahābhedā MrgT_3.42c	SEvAH rOdrAH mahA-BedAH MrgT_3.42c
   śaivāḥ syurvratavarjitāḥ MrgT_3.11d	SEvAH syuH-vrata-varjitAH MrgT_3.11d
   śaive rājani saptāhaṃ MrgT_3.59c	SEve rAjani sapta-aham MrgT_3.59c
   śrāddhaṃ parvasu sarveṣu MrgT_3.20c	SrAdDam parvasu sarvezu MrgT_3.20c
   śrāvaṇe tadupānte vā MrgT_3.129c	SrAvaNe tad-upAnte vA MrgT_3.129c
   ṣaḍahopoṣito lakṣaṃ MrgT_3.110a	zaz-aha-upozitaH lakzam MrgT_3.110a
   sakhyā jātāṃhasāhṛtam MrgT_3.122b	saKyA jAta-aMhasa-AhRtam MrgT_3.122b
   sajātyabhijanopetaṃ MrgT_3.124a	sajAti-aBijana-upetam MrgT_3.124a
   satsāntānika eva vā MrgT_3.10d	sat-sAntAnikaH eva vA MrgT_3.10d
   sadyojātāyutaṃ japet MrgT_3.107b	sadyojAta-ayutam japet MrgT_3.107b
   sadyo yogāvabhāsakam MrgT_3.40d	sadyas yoga-avaBAsakam MrgT_3.40d
   santānaṃ caiva śarvoktaṃ MrgT_3.47a	santAnam ca-eva Sarva-uktam MrgT_3.47a
   sandhāya bahirālikhet MrgT_3.100d	sanDAya bahis-AliKet MrgT_3.100d
   sandhyopāsanamarcanam MrgT_3.12b	sanDyA-upAsanam-arcanam MrgT_3.12b
   samagrasaṃhitālakṣaṃ MrgT_3.111c	samagra-saMhitA-lakzam MrgT_3.111c
   samayī ca kṛtāhnikaḥ MrgT_3.66b	samayI ca kRta-AhnikaH MrgT_3.66b
   samayī putrako vāpi MrgT_3.61a	samayI putrakaH vA-api MrgT_3.61a
   samayī prāggṛhasthaśca MrgT_3.11c	samayI prAk-gRhasTaH-ca MrgT_3.11c
   samayī prāggṛhasthaśca MrgT_3.73c	samayI prAk-gRhasTaH-ca MrgT_3.73c
   samācānto japenmantraṃ MrgT_3.85c	samAcAntaH japet-mantram MrgT_3.85c
   samādhāneṣṭikṛdbhavet MrgT_3.60d	samADAnezwi-kRt-Bavet MrgT_3.60d
   samānālāpaparyaṅga- MrgT_3.69c	samAna-AlApa-paryaFga MrgT_3.69c
   samāsenopadiśyate MrgT_3.1d	samAsena-upadiSyate MrgT_3.1d
   samitpuṣpakuśodakam MrgT_3.95d	samiD-puzpa-kuSa-udakam MrgT_3.95d
   samidādyāharettataḥ MrgT_3.88d	samiD-Adya-Aharet-tatas MrgT_3.88d
   samutthāyārdharātre tu MrgT_3.88a	samutTAya-arDarAtre tu MrgT_3.88a
   samuddhṛtya sahāyena MrgT_3.85a	samudDRtya sahAyena MrgT_3.85a
   sampannaiḥ kārakaistāṃśca MrgT_3.89c	sampannEH kArakEH-tAn=-ca MrgT_3.89c
   sambandhārthoktipūrvikām MrgT_3.33d	sambanDa-arTa-ukti-pUrvikAm MrgT_3.33d
   sammohādyuttaraṃ prācyaṃ MrgT_3.35c	sammoha-Adi-uttaram prAcyam MrgT_3.35c
   sarvacchidraharaścānyo MrgT_3.128c	sarva=-Cidra-haraH-ca-anyaH MrgT_3.128c
   sarvajñavihitaṃ yāvad MrgT_3.App.1c	sarvajQa-vihitam yAvat MrgT_3.A-app.1c
   sarvabrahmāṇi lakṣaśaḥ MrgT_3.111b	sarva-brahmANi lakzaSas MrgT_3.111b
   sarvamantramukhe puṇye MrgT_3.79c	sarva-mantra-muKe puNye MrgT_3.79c
   sarvātmanā samuddhāraḥ MrgT_3.17c	sarva-AtmanA samudDAraH MrgT_3.17c
   sarvāmarapratiṣṭhāsu MrgT_3.14a	sarva-amara-pratizWAsu MrgT_3.14a
   salliṅgādhikṛtaṃ vaset MrgT_3.94b	sat-liFga-aDikRtam vaset MrgT_3.94b
   savanaṃ sūrapūjitam MrgT_3.80b	savanam sUra-pUjitam MrgT_3.80b
   sahasraṃ sulaghīyasi MrgT_3.116d	sahasram sulaGIyasi MrgT_3.116d
   sahāyavānapramattaḥ MrgT_3.76a	sahAyavAn-apramattaH MrgT_3.76a
   sahāyaṃ sadguṇaṃ bhajet MrgT_3.123d	sahAyam sat-guNam Bajet MrgT_3.123d
   sahāyopahṛtaṃ bhajet MrgT_3.104b	sahAya-upahRtam Bajet MrgT_3.104b
   saṃkhyāsaṃjñādivācakam MrgT_3.50d	saMKyA-saMjQA-Adi-vAcakam MrgT_3.50d
   saṃkhyāsūtrasya doṣanut MrgT_3.117d	saMKyA-sUtrasya doza-nud MrgT_3.117d
   saṃjātavyutkramaḥ kuryāt MrgT_3.106a	saMjAta-vyutkramaH kuryAt MrgT_3.106a
   saṃjīvanaṃ na dagdhasya MrgT_3.26a	saMjIvanam na dagDasya MrgT_3.26a
   saṃdhyāstanitadigdāha- MrgT_3.55a	saMDyA-stanita-digdAha MrgT_3.55a
   saṃyamī phalamūlabhuk MrgT_3.120b	saMyamI Pala-mUla-Buj MrgT_3.120b
   saṃskāreṣvannavarjanam MrgT_3.14d	saMskArezu-anna-varjanam MrgT_3.14d
   sādhakāhnikavicchede MrgT_3.107a	sADaka-Ahnika-vicCede MrgT_3.107a
   sādhakoktaṃ vrataṃ kuryād MrgT_3.125a	sADaka-uktam vratam kuryAt MrgT_3.125a
   sādhako gurvanujñātaḥ MrgT_3.75a	sADakaH guru-anujQAtaH MrgT_3.75a
   sādhako lokadharmī yaḥ MrgT_3.11a	sADakaH loka-DarmI yaH MrgT_3.11a
   sādhyakoṭeralabdhatvāt MrgT_3.74a	sADya-kowera-labDa-tvAt MrgT_3.74a
   sādhyamantraṃ na kasyacit MrgT_3.90b	sADya-mantram na kasyacid MrgT_3.90b
   sādhyaveṣadharo maunī MrgT_3.75c	sADya-veza-DaraH mOnI MrgT_3.75c
   sāmānyācārasaṃgrahaḥ MrgT_3.1b	sAmAnya-AcAra-saMgrahaH MrgT_3.1b
   sāyacūrṇena vā puṣṭiṃ MrgT_3.7c	sAya-cUrNena vA puzwim MrgT_3.7c
   sāhasramaṃśumatsaṃjñaṃ MrgT_3.44c	sAhasram-aMSumat-saMjQam MrgT_3.44c
   siddhikṣetrāṇi saṃcaran MrgT_3.93d	sidDi-kzetrANi saMcaran MrgT_3.93d
   sīmantonnayanādyeṣu MrgT_3.14c	sImantonnayana-Adyezu MrgT_3.14c
   suprabhiddaśamaṃ viduḥ MrgT_3.44d	su-praBiddaSamam viduH MrgT_3.44d
   susnigdhamaparaṃ tataḥ MrgT_3.124d	su-snigDam-aparam tatas MrgT_3.124d
   sṛṣṭitaḥ saṃhitāhomād MrgT_3.25c	sRzwitaH saMhitA-homAt MrgT_3.25c
   setvādīnāṃ niveśane MrgT_3.14b	setu-AdInAm niveSane MrgT_3.14b
   sopadravaṃ ca saṃtyajya MrgT_3.96a	sa-upadravam ca saMtyajya MrgT_3.96a
   steyī syāttadakīrtanāt MrgT_3.34d	steyI syAt-tat-akIrtanAt MrgT_3.34d
   striyā raho 'vyavasthānaṃ MrgT_3.19c	striyAH rahaH avyavasTAnam MrgT_3.19c
   strīgītanartitālāpa- MrgT_3.19a	strI-gIta-nartita-AlApa MrgT_3.19a
   sthitaṃ gurusamīpe vā MrgT_3.70c	sTitam guru-samIpe vA MrgT_3.70c
   snānādīni tadaṅgāni MrgT_3.12c	snAna-AdIni tad-aFgAni MrgT_3.12c
   spṛṣṭasyānyatra taijasāt MrgT_3.118b	spRzwasya-anyatra tEjasAt MrgT_3.118b
   spṛṣṭe daśaguṇaṃ japet MrgT_3.117b	spRzwe daSaguNam japet MrgT_3.117b
   sragabhyaṅgādivarjanam MrgT_3.19d	sraj-aByaFga-Adi-varjanam MrgT_3.19d
   srotāṃsi kāmikādyūrdhvam MrgT_3.35a	srotAMsi kAmika-Adi-UrDvam MrgT_3.35a
   srotāṃsyaṣṭau vidurbudhaḥ MrgT_3.37b	srotAMsi-azwO viduH-buDaH MrgT_3.37b
   sroto brūyādanusroto MrgT_3.34a	srotaH brUyAt-anusrotaH MrgT_3.34a
   svakalpānvayasiddheṣu MrgT_3.60a	sva-kalpa-anvaya-sidDezu MrgT_3.60a
   svakalpoktena vidhinā MrgT_3.97a	sva-kalpa-uktena viDinA MrgT_3.97a
   svakāle strīniṣevaṇam MrgT_3.21d	sva-kAle strI-nizevaNam MrgT_3.21d
   svadhāmno 'pyevameva hi MrgT_3.102b	sva-DAmnaH api-evam-eva hi MrgT_3.102b
   svayaṃ vā parikalpite MrgT_3.97b	svayam vA parikalpite MrgT_3.97b
   svavaśastriguṇaṃ tryaṃśaṃ MrgT_3.126a	svavaSaH-triguNam tri-aMSam MrgT_3.126a
   svaśāstravihitāṃ vṛttim MrgT_3.105c	sva-SAstra-vihitAm vRttim MrgT_3.105c
   svāyambhuvaṃ tathāgneyaṃ MrgT_3.45c	svAyamBuvam taTA-Agneyam MrgT_3.45c
   svāhetyoṃkārapūrvakam MrgT_3.86b	svAhA-iti-oMkAra-pUrvakam MrgT_3.86b
   harātsvavidhipuṣṭaye MrgT_3.129b	harAt-sva-viDi-puzwaye MrgT_3.129b
   haviṣyacaruśākabhuk MrgT_3.75d	havizya-caru-SAka-Buj MrgT_3.75d
   haviṣyeṇāpareṇa vā MrgT_3.15b	havizyeNa-apareNa vA MrgT_3.15b
   hāritārdhaṃ guṇacchede MrgT_3.117c	hArita-arDam guNa=-Cede MrgT_3.117c
   hiṃsāyāṃ bahurūpiṇaḥ MrgT_3.108b	hiMsAyAm bahu-rUpiNaH MrgT_3.108b
   hutvā daśāṃśaṃ tadyāga- MrgT_3.77a	hutvA daSa-aMSam tat-yAga MrgT_3.77a
