   atha śrīvāmanapurāṇam	aTa SrIvAmanapurANam
   lepādullekhanāt sekād veśma saṃmārjanārjanāt // VamP_15.11 //	lepAt ulleKanAt sekAt veSma saMmArjana arjanAt // VamP_15.11 //
   keśakīṭāvapanne 'nne goghrāte makṣikānvite /	keSa kIwa avapanne anne go GrAte makzikA anvite /
   mṛdambubhasmakṣārāṇi prakṣeptavyāni śuddhaye // VamP_15.12 //	mRd ambu Basma kzArANi prakzeptavyAni SudDaye // VamP_15.12 //
   audumbarāṇāṃ cāmlena kṣāreṇa trapusīsayoḥ /	OdumbarANAm ca amlena kzAreNa trapu sIsayoH /
   bhasmāmbibhiśca kāṃsyānāṃ śuddhiḥ plāvodravasya ca // VamP_15.13 //	Basma ambiBiH ca kAMsyAnAm SudDiH plAvaH dravasya ca // VamP_15.13 //
   amedhyāktasya mṛttoyairgandhāpaharaṇena ca /	ameDya aktasya mRd toyEH ganDa apaharaNena ca /
   anyeṣāmapi dravyāṇāṃ śuddhirgandhāpahārataḥ // VamP_15.14 //	anyezAm api dravyANAm SudDiH ganDa apahArataH // VamP_15.14 //
   mātuḥ prasravaṇe vatsaḥ śakuniḥ phalapātane /	mAtuH prasravaNe vatsaH SakuniH Pala pAtane /
   gardabho bhāravāhitve śvā mṛgagrahaṇe śuciḥ // VamP_15.15 //	gardaBaH BAra vAhi tve SvA mRga grahaNe SuciH // VamP_15.15 //
   rathyākardamatoyāni nāvaḥ pathi tṛṇāni ca /	raTyA kardama toyAni nAvaH paTi tRNAni ca /
   mārutenaiva suddhyanti pakveṣṭakacitāni ca // VamP_15.16 //	mArutena eva sudDyanti pakva izwaka citAni ca // VamP_15.16 //
   śṛtaṃ droṇāḍhakasyānnamamedhyābhiplutaṃ bhavet /	SRtam droNa AXakasya annam ameDya aBiplutam Bavet /
   agramuddhṛtya saṃtyājyaṃ śeṣasya prokṣaṇaṃ smṛtam // VamP_15.17 //	agram udDRtya saMtyAjyam Sezasya prokzaNam smRtam // VamP_15.17 //
   upavāsaṃ trirātraṃ vā dūṣitānnasya bhojane /	upavAsam tri rAtram vA dUzita annasya Bojane /
   ajñāte jñātapūrve ca naiva śuddhirvidhīyate // VamP_15.18 //	ajQAte jQAta pUrve ca na eva SudDiH viDIyate // VamP_15.18 //
   udakyāśvānanagnāṃśca sūtikāntyāvasāyinaḥ /	udakyA aSvAna nagnAn= ca sUti kAntyAvasAyinaH /
   spṛṣṭvā snāyīta śaucārthaṃ tathaiva mṛtahāriṇaḥ // VamP_15.19 //	spRzwvA snAyIta SOca arTam taTA eva mRta hAriNaH // VamP_15.19 //
   sasnehamasthi saṃspṛsya savāsāḥ snānamācaret /	sa sneham asTi saMspRsya sa vAsAH snAnam Acaret /
   ācamyaiva tu niḥsnehaṃ gāmālabhyārkamīkṣya ca // VamP_15.20 //	Acamya eva tu niHsneham gAm AlaBya arkam Ikzya ca // VamP_15.20 //
   na laṅghayetpurīṣāsṛkṣṭhīvanodvarttanāni ca /	na laFGayet purIza asRkzWI vana udvarttanAni ca /
   gṛhāducchiṣṭaviṇmūtre pādāmbhāṃsi kṣiped bahiḥ // VamP_15.21 //	gRhAt ucCizwa viz mUtre pAda amBAMsi kzipet bahis // VamP_15.21 //
   pañcapiṇḍānanuddhatya na snāyāt paravāriṇi /	paQca piNxAn anudDatya na snAyAt para vAriNi /
   snāyīta devakhāteṣu sarohadasaritsu ca // VamP_15.22 //	snAyIta devaKAtezu sarohada saritsu ca // VamP_15.22 //
   nodyānādau vikāleṣu prājñastiṣṭhet kadācana /	na udyAna AdO vikAlezu prAjQaH tizWet kadAcana /
   nālaped janavidviṣṭaṃ vīrahīnāṃ tathā striyam // VamP_15.23 //	na alapet jana vidvizwam vIra hInAm taTA striyam // VamP_15.23 //
   devatāpitṛsacchāstrayajñavedādinindakaiḥ /	devatA pitR sat SAstra yajQa veda Adi nindakEH /
   kṛtvā tu sparśamālāpaṃ śuddhyater'kāvalokanāt // VamP_15.24 //	kRtvA tu sparSam AlApam SudDyater akAvalokanAt // VamP_15.24 //
   abhojyāḥ sūtikāṣaṇḍhamārjārākhuśvakukkuṭāḥ /	aBojyAH sUtikA zaNXa mArjAra AKuSva kukkuwAH /
   patitāpaviddhanagnāścāṇḍālādyadhamāśca ye // VamP_15.25 //	patita apavidDa nagnAH cANxAla Adi aDamAH ca ye // VamP_15.25 //
   sukeśiruvāca /	sukeSiH uvAca /
   bhavadbhiḥ kīrtitābhojyā ya ete sūtikādayaḥ /	BavadBiH kIrtita aBojyAH ye ete sUtika AdayaH /
   amīṣāṃ śrotumicchāmi tattvato lakṣaṇāni hi // VamP_15.26 //	amIzAm Srotum icCAmi tattvataH lakzaNAni hi // VamP_15.26 //
   ṛṣaya ūcuḥ /	RzayaH UcuH /
   brāhmaṇī brāhmaṇasyaiva yāvarodhatvamāgatā /	brAhmaNI brAhmaNasya eva yA avaroDa tvam AgatAH /
   tāvubhau sūtiketyuktau tayorannaṃ vigarhitam // VamP_15.27 //	tO= uBO sUtika iti uktO tayoH annam vigarhitam // VamP_15.27 //
   na juhotyucite kāle na snāti na dadāti ca /	na juhoti ucite kAle na snAti na dadAti ca /
   pitṛdevārcanāddhīnaḥ sa ṣaṇḍhaḥ parigīyate // VamP_15.28 //	pitR deva arcanAt hInaH sa zaNXaH parigIyate // VamP_15.28 //
   dambhārthaṃ japate yaśca tapyate yajate tathā /	damBa arTam japate yaH ca tapyate yajate taTA /
   na paratrārthamudyakto sa mārjāraḥ prakīrtitiḥ // VamP_15.29 //	na paratra arTam udyaktaH sa mArjAraH prakIrtitiH // VamP_15.29 //
   vibhave sati naivātti na dadāti juhoti ca /	viBave sati na eva atti na dadAti juhoti ca /
   tamāhurākhuṃ tasyānnaṃ bhuktvā kṛcchreṇa suddhyati // VamP_15.30 //	tam AhuH AKum tasya annam BuktvA kRcCreNa sudDyati // VamP_15.30 //
   yaḥ pareṣāṃ hi marmāṇi nikṛntanniva bhāṣate /	yaH parezAm hi marmANi nikRntan= iva BAzate /
   nityaṃ paraguṇadveṣī sa śvāna iti kathyate // VamP_15.31 //	nityam para guNa dvezI sa SvAnaH iti kaTyate // VamP_15.31 //
   sabhāgatānāṃ yaḥ sabhyaḥ pakṣapātaṃ samāśrayet /	saBA gatAnAm yaH saByaH pakzapAtam samASrayet /
   tamāhuḥ kukkuṭaṃ devāstasyāpyannaṃ vigarhitam // VamP_15.32 //	tam AhuH kukkuwam devAH tasya api annam vigarhitam // VamP_15.32 //
   svagharmaṃ yaḥ sutsṛjya paradharmaṃ samāśrayet /	sva Garmam yaH sutsRjya para Darmam samASrayet /
   anāpadi sa vidvadbhiḥ patitaḥ parikīrtyate // VamP_15.33 //	anApadi sa vidvadBiH patitaH parikIrtyate // VamP_15.33 //
   devatyāgī pitṛtyāgī gurubhaktyaratastathā /	deva tyAgI pitR tyAgI guru Bakti arataH taTA /
   gobrāhmaṇastrīvadhakṛdapaviddhaḥ sa kīrtyate // VamP_15.34 //	go brAhmaNa strI vaDa kRt apavidDaH sa kIrtyate // VamP_15.34 //
   yeṣāṃ kule na vedo 'sti na sāstraṃ naiva ca vratam /	yezAm kule na vedaH asti na sa astram na eva ca vratam /
   te nagnāḥ kīrtitāḥ sadbhis teṣāmannaṃ vigarhitam // VamP_15.35 //	te nagnAH kIrtitAH sadBiH tezAm annam vigarhitam // VamP_15.35 //
   āśārtānāmadātā ca dātuśca pratiṣedhakaḥ /	ASA ArtAn Am adAtA ca dAtuH ca pratizeDakaH /
   śaraṇāgataṃ yastyajati sa cāṇḍālo 'dhamo naraḥ // VamP_15.36 //	SaraNa Agatam yaH tyajati sa cANxAlaH aDamaH naraH // VamP_15.36 //
   yo bāndhavaiḥ parityaktaḥ sādhubhirbrāhmaṇairapi /	yaH bAnDavEH parityaktaH sADuBiH brAhmaNEH api /
   kuṇḍāśī yaśca tasyānnaṃ bhuktvā cāndrāyaṇaṃ caret // VamP_15.37 //	kuNxASI yaH ca tasya annam BuktvA cAndrAyaNam caret // VamP_15.37 //
   yo nityakarmaṇo hāniṃ kuryānnaimittikasya ca /	yaH nityakarmaNaH hAnim kuryAt nEmittikasya ca /
   bhuktvānnaṃ tasya śuddhyeta trirātropoṣito naraḥ // VamP_15.38 //	BuktvA annam tasya SudDyeta tri rAtra upozitaH naraH // VamP_15.38 //
   gaṇakasya niṣādasya gaṇikābhiṣajostathā /	gaNakasya nizAdasya gaNikA aBizajoH taTA /
   kadaryasyāpi śuddhyeta trirātropoṣito naraḥ // VamP_15.39 //	kadaryasya api SudDyeta tri rAtra upozitaH naraH // VamP_15.39 //
   nityasya karmaṇo hāniḥ kevalaṃ mṛtajanmasu /	nityasya karmaNaH hAniH kevalam mRta janmasu /
   na tu naimittikocchedaḥ karttavyo hi kathañcana // VamP_15.40 //	na tu nEmittika ucCedaH karttavyaH hi kaTaQcana // VamP_15.40 //
   jāte putre pituḥ snānaṃ sacailasya vidhīyate /	jAte putre pituH snAnam sa cElasya viDIyate /
   mṛte ca sarvabandhūnāmityāha bhagavān bhṛguḥ // VamP_15.41 //	mRte ca sarva banDUnAm iti Aha BagavAn BRguH // VamP_15.41 //
   pretāya salilaṃ deyaṃ bahirdagdhvā tu gotrajaiḥ /	pretAya salilam deyam bahis dagDvA tu gotra jEH /
   prame 'hni caturthe vā saptame vāsthisaṃcayam // VamP_15.42 //	prame ahni caturTe vA saptame vA asTi saMcayam // VamP_15.42 //
   ūrddhvaṃ saṃcayanātteṣāmaṅgasparśo vidhīyate /	UrdDvam saMcayanAt tezAm aFga sparSaH viDIyate /
   sodakaistu kriyā kāryā saṃśuddhaistu sapiṇḍajaiḥ // VamP_15.43 //	sa udakEH tu kriyA kAryA saMSudDEH tu sapiNxa jEH // VamP_15.43 //
   viṣodbandhanaśastrāmbuvahnipātamṛteṣu ca /	viza udbanDana Sastra ambu vahni pAta m Rtezu ca /
   bāle pravrāji saṃnyāse deśāntaramṛte tathā // VamP_15.44 //	bAle pravrAji saMnyAse deSa antaram Rte taTA // VamP_15.44 //
   sadyaḥ śaucaṃ bhavedvīra taccāpyuktaṃ caturvidham /	sadyas SOcam Bavet vIra tat ca api uktam caturviDam /
   garbhasrāve tadevoktaṃ pūrṇakālena cetare // VamP_15.45 //	garBasrAve tat eva uktam pUrNa kAlena ca itare // VamP_15.45 //
   brahmaṇānāmahorātraṃ kṣatriyāṇāṃ dinatrayama /	brahmaNAnAm ahorAtram kzatriyANAm dina trayamaH /
   ṣaḍrātraṃ caiva vaiśyānāṃ śūdrāṇāṃ dvādaśāhnikam // VamP_15.46 //	zaz rAtram ca eva vESyAnAm SUdrANAm dvAdaSa Ahnikam // VamP_15.46 //
   daśadvādaśamāsārddhamāsasaṃkhyairdiṃśca taiḥ /	daSa dvAdaSa mAsa ardDa mAsa saMKyEH din= ca tEH /
   svāḥ svāḥ karmakriyāḥ kuryuḥ sarve varṇā yathākrāmam // VamP_15.47 //	svAH svAH karma kriyAH kuryuH sarve varNAH yaTAkrAmam // VamP_15.47 //
   pretamuddisya karttavyamekoddiṣṭaṃ vidhānataḥ /	pretam uddisya karttavyam ekoddizwam viDAnataH /
   sapiṇḍīkaraṇaṃ kāryaṃ prete āvatsarānnaraiḥ // VamP_15.48 //	sapiNxIkaraNam kAryam prete AvatsarAt narEH // VamP_15.48 //
   tataḥ pitṛtvamāpanne darśapūrṇādibhiḥ subhaiḥ /	tatas pitR tvam Apanne darSa pUrNa AdiBiH suBEH /
   prīṇanaṃ tasya karttavyaṃ yathā śrutinidarśanāt // VamP_15.49 //	prINanam tasya karttavyam yaTA Sruti nidarSanAt // VamP_15.49 //
   piturarthaṃ samuddiśya bhūmidānādikaṃ svayam /	pituH arTam samuddiSya BUmi dAna Adikam svayam /
   kuryādyenāsya suprītāḥ pitaro yānti rākṣasa // VamP_15.50 //	kuryAt yena asya su prItAH pitaraH yAnti rAkzasa // VamP_15.50 //
   yad yadiṣṭatamaṃ kiñcid yaccāsya dayitaṃ gṛhe /	yat yat izwatamam kiQcid yat ca asya dayitam gRhe /
   tattad guṇavate deyaṃ tadevākṣayamicchatā // VamP_15.51 //	tat tat guNavate deyam tat eva akzayam icCatA // VamP_15.51 //
   adhyetavyā trayī nityaṃ bhāvyaṃ ca viduṣā sadā /	aDyetavyA trayI nityam BAvyam ca viduzA sadA /
   dharmato dhanamāhāryaṃ yaṣṭavyaṃ cāpi śaktitaḥ // VamP_15.52 //	DarmataH Danam AhAryam yazwavyam ca api Saktitas // VamP_15.52 //
   yaccāpi kurvato nātmā jugupsāmeti rākṣasa /	yat ca api kurvataH na AtmA jugupsAma iti rAkzasa /
   tat karttavyamaśaṅkena yanna gopyaṃ mahājane // VamP_15.53 //	tat karttavyam aSaFkena yat na gopyam mahA jane // VamP_15.53 //
   evamācarato loke puruṣasya gṛhe sataḥ /	evam AcarataH loke puruzasya gRhe sataH /
   dharmārthakāmasaṃprāptiḥ paratreha ca śobhanam // VamP_15.54 //	Darma arTa kAma saMprAptiH paratra iha ca SoBanam // VamP_15.54 //
   eṣa dūddeśataḥ prokto gṛsthāśrama uttamaḥ /	eza dUddeSataH proktaH gRsTa ASramaH uttamaH /
   vānaprasthāśramaṃ dharmaṃ pravakṣyāmo 'vadhāryatām // VamP_15.55 //	vAnaprasTa ASramam Darmam pravakzyAmaH avaDAryatAm // VamP_15.55 //
   apatyasaṃtatiṃ dṛṣṭvā prājño dehasya cānatim /	apatya saMtatim dRzwvA prAjQaH dehasya ca Anatim /
   vānaprasthāśramaṃ dharmaṃ pravakṣyāmo 'vadhāryatām // VamP_15.56 //	vAnaprasTa ASramam Darmam pravakzyAmaH avaDAryatAm // VamP_15.56 //
   tatrāraṇyopabhogaiśca tapobhiścātmakarṣaṇam /	tatra araNya upaBogEH ca tapoBiH ca Atma karzaNam /
   bhūmau śayyā brahmacaryaṃ pitṛdevātithikriyā // VamP_15.57 //	BUmO SayyA brahmacaryam pitR deva atiTi kriyA // VamP_15.57 //
   homastriṣavaṇaṃ snānaṃ jaṭāvalkaladhāraṇam /	homaH trizavaNam snAnam jawA valkala DAraNam /
   vanyasnehaniṣevitvaṃ vānaprasthavidhistvayam // VamP_15.58 //	vanya sneha nizevi tvam vAnaprasTa viDiH tu ayam // VamP_15.58 //
   sarvasaṅgaparityāgo brahmacaryamamānitā /	sarva saFga parityAgaH brahmacaryam amAnitAH /
   jitendriyatvamāvāse naikasmin vasatiściram // VamP_15.59 //	jita indriya tvam AvAse na ekasmin vasatiH ciram // VamP_15.59 //
   ananārambhastathāhāro bhaikṣānnaṃ nātikopitā /	ananAramBaH taTA AhAraH BEkza annam na ati kopitAH /
   ātmajñānāvabodhecchā tathā cātmāvabodhanam // VamP_15.60 //	Atma jQAna avaboDA icCA taTA ca AtmA avaboDanam // VamP_15.60 //
   caturthe tvāśrame dharmā asmābhiste prakīrtitāḥ /	caturTe tu ASrame DarmAH asmABiH te prakIrtitAH /
   varṇadharmāṇi cānyāni niśāmaya niśācara // VamP_15.61 //	varNa DarmANi ca anyAni niSAmaya niSAcara // VamP_15.61 //
   gārhasthyaṃ brahmacaryaṃ ca vānaprasthaṃ trayāśramāḥ /	gArhasTyam brahmacaryam ca vAnaprasTam traya ASramAH /
   kṣatriyasyāpi kathitā ye cācārā dvijasya hi // VamP_15.62 //	kzatriyasya api kaTitAH ye ca AcArAH dvijasya hi // VamP_15.62 //
   vaikhānasatvaṃ gārhasthyamāśramadvitayaṃ viśaḥ /	vEKAnasa tvam gArhasTyam ASrama dvitayam viSaH /
   gārhasthyayamuttamaṃ tvekaṃ śūdrasya kṣaṇadācara // VamP_15.63 //	gArhasTyayam uttamam tu ekam SUdrasya kzaNadA cara // VamP_15.63 //
   svāni varṇāśramoktāni dharmāṇīha na hāpayet /	svAni varNa ASrama uktAni DarmANi iha na hApayet /
   yo hāpayati tasyāsau parikupyati bhāskaraḥ // VamP_15.64 //	yaH hApayati tasya asO parikupyati BAskaraH // VamP_15.64 //
   kupitaḥ kulanāśāya īśvaro rogavṛddhaye /	kupitaH kula nASAya ISvaraH roga vRdDaye /
   bhānurvai yatate tasya narasya kṣaṇadācara // VamP_15.65 //	BAnuH vE yatate tasya narasya kzaNadA cara // VamP_15.65 //
   tasmāt svaradharmaṃ na hi saṃtyajeta na hāpayeccāpi hi nātmavaṃśam /	tasmAt svara Darmam na hi saMtyajeta na hApayet ca api hi na Atma vaMSam /
   yaḥ saṃtyajeccāpi nijaṃ hi dharmaṃ tasmai prakupyeta divākarastu //	yaH saMtyajet ca api nijam hi Darmam tasmE prakupyeta divAkaraH tu //
   VamP_15.66 //	VamP_15.66 //
   pulastya uvāca /	pulastyaH uvAca /
   ityevamukto munibhiḥ sukeśī praṇamya tān brahmanidhīn maharṣīn /	iti evam uktaH muniBiH sukeSI praNamya tAn brahma niDIn mahA RzIn /
   jagāma cotpatya puraṃ svakīyaṃ muhurmuhurdharmamavekṣamāṇaḥ // VamP_15.67	jagAma ca utpatya puram svakIyam muhur muhur Darmam avekzamANaH // VamP_15.67
   pulastya uvāca /	pulastyaH uvAca /
   tataḥ sukeśirdevarṣe gatvā svapuramuttamam /	tatas sukeSiH deva Rze gatvA sva puram uttamam /
   samhūyābravīt sarvān rākṣasān dhārmikaṃ vacaḥ // VamP_16.1 //	samhUyA bravIt sarvAn rAkzasAn DArmikam vacaH // VamP_16.1 //
   ahiṃsā satyamasteyaṃ śaucamindriyasaṃyamaḥ /	ahiMsA satyam asteyam SOcam indriya saMyamaH /
   dānaṃ dayā ca kṣāntiśva brahmacaryamamānitā // VamP_16.2 //	dAnam dayA ca kzAntiSva brahmacaryam amAnitAH // VamP_16.2 //
   śubhā satyā ca madhurā vāṅ nityaṃ satkriyā ratiḥ /	SuBA satyA ca maDurA vAc nityam satkriyA ratiH /
   sadācāraniṣevitvaṃ paralokapradāyakāḥ // VamP_16.3 //	sat AcAra nizevi tvam para loka pradAyakAH // VamP_16.3 //
   ityūcurmunayo mahyaṃ dharmamādyaṃ purātanam /	iti UcuH munayaH mahyam Darmam Adyam purAtanam /
   sohamājñāpaye sarvān kriyatāmavikalpataḥ // VamP_16.4 //	soham AjQApaye sarvAn kriyatAm avikalpataH // VamP_16.4 //
   pulastya uvāca /	pulastyaH uvAca /
   tataḥ sukeśivacanāt sarva eva niśācarāḥ /	tatas su keSi vacanAt sarve eva niSAcarAH /
   trayodaśāṅgaṃ te dharma cakrurmuditamānasāḥ // VamP_16.5 //	trayodaSa aFgam te Darma cakruH mudita mAnasAH // VamP_16.5 //
   tataḥ pravṛddhiṃ sutarāmagacchanta niśācarāḥ /	tatas pravRdDim sutarAm agacCanta niSAcarAH /
   putrapautrārthasaṃyuktāḥ sadāṭārasamanvitāḥ // VamP_16.6 //	putra pOtra arTa saMyuktAH sadAwAra samanvitAH // VamP_16.6 //
   tajjayotistejasteṣāṃ rākṣasānaṃ mahātmanām /	tat jayotiH tejaH tezAm rAkzasAnam mahAtmanAm /
   gantuṃ nāśaktuvan sūryo nakṣatrāṇi na candramāḥ // VamP_16.7 //	gantum na aSaktuvan sUryaH nakzatrANi na candramAH // VamP_16.7 //
   tatastribhuvane brahman niśācarapuro 'bhavat /	tatas triBuvane brahman niSAcara puras aBavat /
   divā candrasya sadṛśaḥ kṣaṇadāyāṃ ca sūryavat // VamP_16.8 //	divA candrasya sadRSaH kzaNadAyAm ca sUrya vat // VamP_16.8 //
   na jñāyate gatirvyomni bhāskarasya tato 'mbare /	na jQAyate gatiH vyomni BAskarasya tatas ambare /
   śaśaṅkamiti tejastvādamanyanta purottamam // VamP_16.9 //	SaSaFkam iti tejaH tvAt amanyanta pura uttamam // VamP_16.9 //
   svaṃ vikāsaṃ vimuñcanti niśāmiti vyacintayan /	svam vikAsam vimuQcanti niSAm iti vyacintayan /
   kamalākareṣu kamalā mitramityavagamya hi /	kamala Akarezu kamalA mitram iti avagamya hi /
   rātrau vikasitā brahman vibhūtiṃ dātumīpsavaḥ // VamP_16.10 //	rAtrO vikasitAH brahman viBUtim dAtum IpsavaH // VamP_16.10 //
   kauśikā rātrisamayaṃ buddhvā niragaman kila /	kOSikA rAtri samayam budDvA niragaman kila /
   tān vāyasāstadā jñātvā divā nighnanti kauśikān // VamP_16.11 //	tAn vAyasAH tadA jQAtvA divA niGnanti kOSikAn // VamP_16.11 //
   snātakāstvāpagāsveva snānajapyaparāyaṇāḥ /	snAtakAH tu ApagAsu eva snAna japya parAyaNAH /
   ākaṇṭhamagnāstiṣṭhanti rātrau jñātvātha vāsaram // VamP_16.12 //	AkaNWa magnAH tizWanti rAtrO jQAtvA aTa vAsaram // VamP_16.12 //
   na vyayujyanta cakraāśca tadā vai puradarśane /	na vyayujyanta cakraAH ca tadA vE pura darSane /
   manmānāstu divasamidamuccairbruvanti ca // VamP_16.13 //	mad mAnAH tu divasam idam uccErbruvanti ca // VamP_16.13 //
   nūnaṃ kāntāvihīnena kenaciccakrapattriṇā /	nUnam kAntA vihInena kenacid cakra pattriNA /
   utsṛṣṭaṃ jīvitaṃ śūnye phūtkṛtya saritastaṭe // VamP_16.14 //	utsRzwam jIvitam SUnye PUtkRtya saritaH tawe // VamP_16.14 //
   tato 'nukṛpayāviṣṭo vivasvāstīvraraśmibhiḥ /	tatas anukRpayA AvizwaH vivasvAH tIvra raSmiBiH /
   saṃtāpayañjagat sarvaṃ nāstameti kathañcana // VamP_16.15 //	saMtApayan jagat sarvam na astam eti kaTaQcana // VamP_16.15 //
   anye vadanti cakraāhvo nṛnaṃ kaścin mṛto bhavet /	anye vadanti cakraAhvaH nRnam kaScid mRtaH Bavet /
   tatkāntayā tapastaptaṃ bhartṛśokārttayā bata // VamP_16.16 //	tad kAntayA tapaH taptam BartR Soka ArttayA bata // VamP_16.16 //
   ārādhitastu bhagavāṃstapasā vai divākaraḥ /	ArADitaH tu BagavAn= tapasA vE divAkaraH /
   tenāsau śaśinirjetā nāstameti ravirdhruvam // VamP_16.17 //	tena asO SaSi nirjetA na astam eti raviH Druvam // VamP_16.17 //
   yajvino homaśālāsu saha ṛtvigbhiradhvare /	yajvinaH homa SAlAsu saha RtvigBiH aDvare /
   prāvarttayanta karmāṇi rātrāvapi mahāmune // VamP_16.18 //	prAvarttayanta karmANi rAtrO= api mahA mune // VamP_16.18 //
   mahābhāgavatāḥ pūjāṃ viṣṇoḥ kurvanti bhaktitaḥ /	mahA BAgavatAH pUjAm vizNoH kurvanti BaktitaH /
   ravau śaśini caivānye brahmaṇo 'nye harasya ca // VamP_16.19 //	ravO SaSini ca eva anye brahmaNaH anye harasya ca // VamP_16.19 //
   kāminaścāpyamanyanta sādhu candramasā kṛtam /	kAminaH ca api amanyanta sADu candramasA kRtam /
   yadiyaṃ rajanī ramyā kṛtā satatakaumudī // VamP_16.20 //	yat iyam rajanI ramyA kRtA satata kOmudI // VamP_16.20 //
   anye 'bruvaṃllokagururasmābhiścakrabhṛd vaśī /	anye abruvan= lokaguruH asmABiH cakraBRt vaSI /
   nirvyājena mahāgandhairarcitaḥ kusumaiḥ śubhaiḥ // VamP_16.21 //	nirvyAjena mahAganDEH arcitaH kusumEH SuBEH // VamP_16.21 //
   saha lakṣmyā mahāyogī nabhasyādicaturṣvapi /	saha lakzmyA mahA yogI naBasi Adi caturzu api /
   aśūnyaśayanā nāma dvitīyā sarvakāmadā // VamP_16.22 //	aSUnyaSayanA nAma dvitIyA sarva kAma dA // VamP_16.22 //
   tenāsau bhagavān prītaḥ prādācchayanamuttamam /	tena asO BagavAn prItaH prAdAt Sayanam uttamam /
   aśūnyaṃ ca mahābhogairanastamitaśekharam // VamP_16.23 //	aSUnyam ca mahA BogEH anastamita SeKaram // VamP_16.23 //
   anaye 'bruvan dhruvaṃ devyā rohiṇyāśaśinaḥ kṣayam /	anaye abruvan Druvam devyAH rohiNI A Sa SinaH kzayam /
   dṛṣṭvā taptaṃ tapo ghoraṃ rudrārādhanakāmyayā // VamP_16.24 //	dRzwvA taptam tapaH Goram rudra ArADana kAmyayA // VamP_16.24 //
   puṇyāyāmakṣayāṣṭamyāṃ vedoktavidhinā svayam /	puNyAyAm akzaya azwamyAm veda ukta viDinA svayam /
   tuṣṭena śaṃbhunā dattaṃ varaṃ cāsyai yadṛcchayā // VamP_16.25 //	tuzwena SaMBunA dattam varam ca asyE yadRcCayA // VamP_16.25 //
   anye 'bruvan candramasā dhruvamārādhito hariḥ /	anye abruvan candramasA Druvam ArADitaH hariH /
   vrateneha tvakhaṇḍena tenākhaṇḍaḥ śaśī divi // VamP_16.26 //	vratena iha tu aKaNxena tena aKaNxaH SaSI divi // VamP_16.26 //
   anye 'bravañchaśāṅkena dhruvaṃ rakṣā kṛtātmanaḥ /	anye abravan SaSAFkena Druvam rakzA kRtAtmanaH /
   padadvayaṃ samabhyarcya viṣṇoramitatejasaḥ // VamP_16.27 //	pada dvayam samaByarcya vizNoH amita tejasaH // VamP_16.27 //
   tenāsau dīptimāṃścandraḥ paribhūya divākaram /	tena asO dIptimAn= candraH pariBUya divAkaram /
   asmākamānandakaro divā tapati sūryavat // VamP_16.28 //	asmAkam Ananda karaH divA tapati sUrya vat // VamP_16.28 //
   lakṣyate kāraṇairanyairbahubhiḥ satyameva hi /	lakzyate kAraNEH anyEH bahuBiH satyam eva hi /
   śaśaṅkanirjitaḥ sūryo na vibhāti yathā purā // VamP_16.29 //	SaSaFka nirjitaH sUryaH na viBAti yaTA purA // VamP_16.29 //
   yathāmī kamalāḥ ślakṣṇā raṇadbhṛṅgaṇāvṛtāḥ /	yaTA amI kamalAH SlakzNAH raNat BRFgaNa AvRtAH /
   vikacāḥ pratibhāsante jātaḥ sūryodayo dhruvam // VamP_16.30 //	vikacAH pratiBAsante jAtaH sUrya udayaH Druvam // VamP_16.30 //
   yathā cāmī vibhāsanti vikacāḥ kumudākarāḥ /	yaTA ca amI viBAsanti vikacAH kumuda AkarAH /
   ato vijñāyate candra uditaśca pratāpavān // VamP_16.31 //	atas vijQAyate candraH uditaH ca pratApavAn // VamP_16.31 //
   evaṃ saṃbhāṣatāṃ tatra sūryo vākyānī nārada /	evam saMBAzatAm tatra sUryaH vAkyAnI nArada /
   amanyata kimetaddhi loko vakti śubhāśubham // VamP_16.32 //	amanyata kim etat hi lokaH vakti SuBa aSuBam // VamP_16.32 //
   evaṃ saṃcintya bhagavān dadhyau dhyānaṃ divākaraḥ /	evam saMcintya BagavAn daDyO DyAnam divAkaraH /
   āsamantājjagad grastaṃ trailokyaṃ rajanīcaraiḥ // VamP_16.33 //	AsamantAt jagat grastam trElokyam rajanIcarEH // VamP_16.33 //
   tatastu bhagavāñjñātvā tedajaso 'pyasahiṣṇutām /	tatas tu BagavAn jQAtvA teda jasaH api asahizNu tAm /
   niśācarasya vṛddhiṃ tāmacintayata yogavit // VamP_16.34 //	niSAcarasya vRdDim tAm acintayata yoga vid // VamP_16.34 //
   tato 'jñāsīcca tān sarvān sadācāraratāñśucīn /	tatas ajQAsIt ca tAn sarvAn sat AcAra ratAn SucIn /
   devabrāhmaṇapūjāsu saṃsaktān dharmasaṃyutān // VamP_16.35 //	deva brAhmaNa pUjAsu saMsaktAn Darma saMyutAn // VamP_16.35 //
   tatastu rakṣaḥkṣayakṛt timiradvipakesarī /	tatas tu rakzaH kzaya kRt timira dvipa kesarI /
   mahāṃśunakharaḥ sūryastadvighātamacintayat // VamP_16.36 //	mahA aMSu naKaraH sUryaH tad viGAtam acintayat // VamP_16.36 //
   jñātavāṃśca tataśchidraṃ rākṣasānāṃ divaspatiḥ /	jQAtavAn= ca tatas Cidram rAkzasAnAm divaspatiH /
   svadharmavicyutirnāma sarvadharmavighātakṛt // VamP_16.37 //	svaDarma vicyutiH nAma sarva Darma viGAta kRt // VamP_16.37 //
