   Nāṭakacandrikā	NAwaka-candrikA
   gārgyā	gArgyA
   bhaṇitam, adya mādhavī-puṣpaiḥ pūjitaḥ sūryaḥ surabhi-koṭi-prado bhavati |	BaNitam, adya mADavI--puzpEH pUjitaH sUryaH suraBi--kowi--pradaH Bavati |
   iti	iti
   mādhavī-maṇḍapaṃ lambhitā mayā rādhikā | tat prasīda prasīda |	mADavI--maNxapam lamBitA mayA rADikA | tat prasIda prasIda |
   atra ruṣṭāyā jaṭilāyā lalitayāpy anunayāt paryupāsanam |	atra ruzwAyAH jawilAyAH lalitayA-api anunayAt paryupAsanam |
   atha puṣpam -	aTa puzpam -
   pariśeṣo vidhānaṃ yat puṣpaṃ tad iti saṃjñitam // RNc_74 //	pariSezaH viDAnam yat puzpam tat iti saMjQitam // RNt-_74 //
   yathā tatraiva tṛtīye -	yaTA tatra-eva tRtIye -
   vidūre kaṃsārir mukuṭita-śikhaṇḍāvalir asau	vidUre kaMsAriH mukuwi-ta-SiKaNxa-AvaliH asO
   pure gaurāṅgībhiḥ kalita-parirambho vilasati |	pure gOra-aFgIBiH kalita-pariramBaH vilasati |
   (iti sābhyasūyaṃ punar nirūpya, sakhedam)	(iti sa-aByasUyam punar nirUpya, saKedam)
   na kānto'yaṃ śaṅke surapatidhanur dhāma-madhuras	na kAntaH-ayam SaFke surapati-DanuH DAma--maDura-s
   taḍil-lekhāhārī girim avalalambe jaladharaḥ || (3.40)	taxil-leKA-AhArI girim avalalambe jalaDaraH || (3.40)
   atra punar jaladharatayā viśeṣa-jñānāt puṣpam |	atra punar jalaDara-tayA viSeza--jQAnAt puzpam |
   atha vajram --	aTa vajram --
   vajraṃ tad iti vijñeyaṃ sākṣān niṣṭhura-bhāṣaṇam // RNc_75 //	vajram tat iti vijQeyam sAkzAt nizWura-BAzaNam // RNt-_75 //
   yathā tatraiva caturthe -	yaTA tatra-eva caturTe -
   jaṭilā (pṛṣṭhataḥ parikramya putrasya hastam ākarṣantī sākṣepam) re	jawilA (pRzWatas parikramya putrasya hastam AkarzantI sa-Akzepam) re
   goula-kisorī-laṃpaḍao, are paraghara-laṇṭhanao | kahaṃ tumaṃ bi appaṇo	goula--kisorI-laMpaxao, are para-Gara--laNWanaaH | kaham tumam bi appaNaH-
   puttaṃ	puttam
   maṇṇissadi jaḍilā ? [re gokula-kiśorī-lampaṭa, are paragṛha-luṇṭhaka |	maNNissadi jaxilA ? [re go-kula-ki-SorI-lampawa, are para-gRha--luNWakaH |
   kathaṃ	kaTam
   tvām apy ātmanaḥ putraṃ maṃsyati jaṭilā |]	tvAm api AtmanaH putram maMsyati jawilA |]
   atra jaṭilāyāḥ putraṃ prati niṣṭhura-bhāṣaṇaṃ vajram |	atra jawilAyAH putram prati nizWura-BAzaNam vajram |
   athopanyāsaḥ -	aTa-upanyAsaH -
   yuktibhiḥ sahito yo'rthaḥ upanyāsaḥ sa ucyate // RNc_76 //	yuktiBiH sahitaH yaH-arTaH upanyAsaH saH ucyate // RNt-_76 //
   yathā tatraiva tṛtīye -	yaTA tatra-eva tRtIye -
   (nepathye)	(nepaTye)
   adya prāṇa-parārdhato'pi dayite dūraṃ prayāte harau	adya prANa-para-arDataH-api dayite dUram prayAte harO
   hā dhig duḥsaha-śoka-śaṅkubhir abhūd viddhāntarā rādhikā |	hA Dik duHsaha-Soka--SaFkuBiH aBUt vidDa-antarA rADikA |
   tenāsyāḥ pratiṣedham artha-carite tvaṃ mā kṛthā mā kṛthāḥ	tena-asyAH pratizeDam arTa--carite tvam mA kRTAH mA kRTAH
   kṣīṇeyaṃ kṣaṇam atra suṣṭhu viluṭhaty ārta-svaraṃ roditum || (3.29)	kzINA-iyam kzaNam atra suzWu viluWati Arta-svaram roditum || (3.29)
   atra yukti-sahitārthatā prakaṭaiva | kecit upanyāsaḥ prasādanam iti (SāhD	atra yukti--sahita-arTa-tA prakawA-eva | kecid upanyAsaH prasAdanam iti (SAhD
   vadanti | tatrodāharaṇaṃ caturthe -	vadanti | tatra-udAharaNam caturTe -
   jaṭilā - kulaputti, sireṇa me sābidāsi | [kulaputri, śirasā me śāpitāsi |]	jawilA  kula-putti, sireNa me sA-bidA-asi | [kula-putri, SirasA me SApitA-asi |]
   atra jaṭilāyāḥ rādhā-prasādanam |	atra jawilAyAH rADA--prasAdanam |
   atha varṇa-saṃhāraḥ -	aTa varNa-saMhAraH -
   savarṇopagamanaṃ varṇa-saṃhāra iṣyate // RNc_77 //	savarNa-upagamanam varNa-saMhAraH izyate // RNt-_77 //
   yathā tatraiva, caturthe -	yaTA tatra-eva, caturTe -
   daityācāryas tad-āsye vikṛtim aruṇatāṃ malla-varyāḥ sakhāyo	dEtya-AcAryaH tad--Asye vikRtim aruNa-tAm malla-varyAH saKAyaH-
   gaṇḍaunnatyaṃ khaleśāḥ pralayam ṛṣi-gaṇā dhyāna-muñcāsram ambā |	gaNxOnnatyam KaleSAH pralayam Rzi--gaNAH DyAna-muQca-asram ambA |
   romāñcaṃ sāṃyugīnāḥ kam api nava-camatkāram antaḥ surendrāḥ	romAQcam sAMyugInAH kam api nava--camatkAram antar sura-indrAH
   lāsyaṃ dāsāḥ kaṭākṣaṃ yayur asita-dṛśāṃ prekṣya raṅge mukundam || (4.4)	lAsyam dAsAH kawAkzam yayuH asita-dRSAm prekzya raFge mukundam || (4.4)
   atra daityācārya-nāradādayaḥ brāhmaṇāḥ kṣitīśa-sāṃyugīnādayaḥ kṣatriyāḥ,	atra dEtya-AcArya--nArada-AdayaH brAhmaNAH kzitISa--sAMyugIna-AdayaH kzatriyAH,
   mallā dāsādayo vaiśyāḥ śūdrādayaś ca iti varṇa-saṃhāraḥ |	mallAH dAsa-AdayaH vESyAH SUdra-AdayaH ca iti varNa-saMhAraH |
   atha garbha-sandhiḥ -	aTa garBa-sanDiH -
   dṛṣṭādṛṣṭasya bījasya garbho hāsa-gaveṣaṇāt |	dRzwa-adRzwasya bIjasya garBaH hAsa--gavezaNAt |
   dvādaśāṅgo bhaved eṣa patākāṃśānusārataḥ // RNc_78 //	dvAdaSa-aFgaH Bavet eza patAkA-aMSa-anusArataH // RNt-_78 //
   rājendratā prasaṅgena hāso vandi-janoktitaḥ |	rAja-indra-tA prasaFgena hAsaH vandi-jana-uktitaH |
   punar anveṣaṇaṃ jātaṃ prasenānveṣaṇāt // RNc_79 //	punar anvezaNam jAtam prasena-anvezaNAt // RNt-_79 //
   hrāsodbhūḥ punar anveṣṭir lalitā-darśanād abhūt |	hrAsa-udBUH punar anvezwiH lalitA--darSanAt aBUt |
   hareḥ praṇaya-bījasya yathā lalita-mādhave // RNc_80 //	hareH praNaya-bIjasya yaTA lalita--mADave // RNt-_80 //
   abhūtāharaṇaṃ mārgo rūpodāharaṇe kramaḥ |	aBUta-AharaNam mArgaH rUpa-udAharaNe kramaH |
   saṅgrahaś cānumānaṃ ca toṭakādhibale tathā // RNc_81 //	saFgrahaH ca-anumAnam ca towaka-aDibale taTA // RNt-_81 //
   udvegaḥ sambhramāksepāveṣāṃ lakṣaṇam ucyate |	udvegaH samBramAksepO=-ezAm lakzaNam ucyate |
   tatrābhūtāharaṇam -	tatra-aBUta-AharaNam -
   abhūtāharaṇam tat syād vākyaṃ yat-kapaṭāśrayam // RNc_82 //	aBUta-AharaNam tat syAt vAkyam yat-ka-pawa-ASrayam // RNt-_82 //
   yathā tatraiva pañcame'ṅke -	yaTA tatra-eva paQcame-aFke -
   viracayan janaīm ativismitāṃ	viracayan janaIm ati-vismitAm
   bhuja-catusṭayavān ajaniṣṭa yaḥ |	Buja--catuswayavAn ajanizwa yaH |
   sa bhaginīṃ tava śūrasutātmajo	sa BaginIm tava SUra-suta-AtmajaH-
   yadu-varaḥ pariṇeṣyati rukmiṇīm || (5.9)	yadu-varaH pariNezyati rukmiNIm || (5.9)
   atha kapaṭa-vākyam idam abhūtāharaṇam |	aTa kapawa--vAkyam idam aBUta-AharaNam |
   atha mārgaḥ -	aTa mArgaH -
   mārgas tattvārtha-kathanam...	mArgaH tattva-arTa--kaTanam...
   yathā tatraiva -	yaTA tatra-eva -
   kṛṣṇaḥ (patrikāṃ vācayitvā)	kRzNaH (patrikAm vAcayitvA)
   [*v.l. for kṛṣṇaḥ: nāradaḥ]	[*v.l. foH kRzNaH: nAradaH]
   nikhilā śikhini nayann api sukhāni jātyāsitāpāṅgī |	niKilA SiKini nayan api suKAni jAtyA-asita-apAFgI |
   ramayati kṛṣṇaḥ sughano vṛndāvana-gandhinīr eva || (5.10)	ramayati kRzNaH su-GanaH vRndAvana--ganDinIH eva || (5.10)
   atra hariṇā hṛdayatva-prakaṭanān mārgaḥ |	atra hariNA hRdaya-tva--prakawanAt mArgaH |
   atha rūpam -	aTa rUpam -
   ... rūpaṃ vākyaṃ vitarkavat // RNc_83 //	... rUpam vAkyam vitarka-vat // RNt-_83 //
   yathā tatraiva -	yaTA tatra-eva -
   kṛṣṇaḥ (sānandam) - sakhe, katham anubhūta-pūrveva kāpi śiñjita-saraṇī	kRzNaH (sA-Anandam)  saKe, kaTam anuBUta--pUrvA-iva kA-api SiQjita-saraNI
   prasahya	prasahya
   mām ādrīkaroti |	mAm AdrIkaroti |
   [*NOTE: kṛṣṇaḥsāśaṅkam]	[*NOTE: kRzNaHsa-ASaFkam]
   atra candrāvalī-nūpurādi-śiṅjita-śravaṇāt kṛṣṇasya vitarko rūpam |	atra candra-AvalI--nUpura-Adi-SiFjita--SravaNAt kRzNasya vitarkaH rUpam |
   athodāharaṇam -	aTa-udAharaNam -
   sotkarṣaṃ vacanaṃ yat tu tad udāharaṇaṃ matam // RNc_84 //	sa-utkarzam vacanam yat tu tat udAharaNam matam // RNt-_84 //
   yathā tatraiva -	yaTA tatra-eva -
   suparṇāḥ (nirvarṇya savismayam) -	suparNAH (nirvarNya sa-vismayam) -
   saundaryāmbu-nidher vidhāya mathanaṃ dambhena dugdhāmbudher	sOndarya-ambu--niDeH viDAya maTanam damBena dugDa-ambuDeH-
   gīrvāṇair udahāri hāri parito yā sāra-sampan-mayī |	gIrvANEH udahAri hAri paritas yA sAra--sampan--mayI |
   sā lakṣmīr api cakṣuṣāṃ cira-camatkāra-kriyā-cāturīṃ	sA lakzmIH api cakzuzAm cira--camatkAra--kriyA--cAturIm
   dhatte hanta tathā na kāntibhir iyaṃ rājñaḥ kumārī yathā || (5.30)	Datte hanta taTA na kAntiBiH iyam rAjQaH kumArI yaTA || (5.30)
   atra candrāvalī-rūpotkarṣa-kathanam udāharaṇam |	atra candrAvalI--rUpa-utkarza--kaTanam udAharaNam |
   atha kramaḥ -	aTa kramaH -
   bhāva-jñānaṃ kramo yad vā cintyamānārtha-saṅgatiḥ // RNc_85 //	BAva--jQAnam kramaH yat vA cintyamAna-arTa--saFgatiH // RNt-_85 //
   yathā ṣaṣṭhe -	yaTA zazWe -
   navavṛndā (svagatam) -	nava-vRndA (svagatam) -
   janita-kamala-lakṣmī-vibhrame netravīthīṃ	janita--kamala--lakzmI--viBrame netravITIm
   gatavati cira-kālād aṃśuke kaṃsa-hantuḥ |	gatavati cira--kAlAt aMSuke kaMsa--hantuH |
   alaghubhir api yatnair dustarāṃ saṃvarītuṃ	alaGuBiH api yatnEH dustarAm saMvarItum
   vikṛtim atula-bādhāṃ hanta rādhā dadhāti || (6.25)	vikRtim atula--bADAm hanta rADA daDAti || (6.25)
   atra nava-vṛndāyā rādhāyā bhāva-jñānāt citnyamāna-hari-cihnasya rādhayā	atra nava-vRndAyAH rADAyAH BAva--jQAnAt citnyamAna--hari--cihnasya rADayA
   darśanād vā kramaḥ |	darSanAt vA kramaH |
   atha saṅgrahaḥ -	aTa saFgrahaH -
   saṅgrahaḥ sāmadānārtha-saṃyogaḥ parikīrtitaḥ // RNc_86 //	saFgrahaH sAma-dAna-arTa--saMyogaH parikIrtitaH // RNt-_86 //
   yathā tatraiva pañcame -	yaTA tatra-eva paQcame -
   bhīṣmaḥ (sānandam) -	BIzmaH (sA-Anandam) -
   [*NOTE: bhīṣmakaḥ (sādaram)]	[*NOTE: BIzmakaH (sAdaram)]
   aviditas tanayām anayān nayann	aviditaH tanayAm anayAt nayan=-
   upakṛtiṃ kṛtavān mama jāmbavān |	upakRtim kRtavAn mama jAmbavAn |
   muni-manaḥ-praṇidheya-padāmbujas	muni-manaH--praNiDeya--pada-ambuja-s
   tvam asi yena varo duhitur varaḥ || (5.37)	tvam asi yena varaH duhituH varaH || (5.37)
   atra sāmanimittakanyāsam arpaṇādinā saṅgrahaḥ |	atra sAma-nimittaka-nyAsam arpaNa-AdinA saFgrahaH |
   athānumānam -	aTa-anumAnam -
   liṅgād ūho'numānatā...	liFgAt UhaH-anumAna-tA...
   yathā tatraiva ṣaṣṭhe -	yaTA tatra-eva zazWe -
   candrāvalī (saṃskṛtena) -	candrAvalI (saMskRtena) -
   sādharmyaṃ madhuripu-viprayoga-bhājāṃ	sADarmyam maDuripu-viprayoga--BAjAm
   tanvaṅgī muhur iyam aṅgakais tanoti |	tanvaFgI muhur iyam aFgakEH tanoti |
   ākṛtyā śriyam api mādhavīṃ kim enāṃ	AkRtyA Sriyam api mADavIm kim enAm
   dainye'pi prathayitum ārtayaḥ kṣamante || (6.23)	dEnye-api praTayitum ArtayaH kzamante || (6.23)
   atra dainye'pi mādhurī-darśanena liṅgena	atra dEnye-api mADurI--darSanena liFgena
   kṛṣṇa-viprayoga-bhāktvasyābhyūho'numānam |	kRzNa--viprayoga--BAktvasya-aByUhaH-anumAnam |
   atha toṭakam -	aTa towakam -
   ... vacaḥ saṃrambhi toṭakam // RNc_87 //	... vacaH saMramBi towakam // RNt-_87 //
   yathā tatraiva ṣaṣṭhe -	yaTA tatra-eva zazWe -
   nāradaḥ --	nAradaH --
   maṇīndraṃ pārīndra-pravaram aharan nighna-tanayaṃ	maNi-indram pAri-indra--pravaram aharat niGna--tanayam
   vinighnante taṃ ca prabalam atha bhallūka-nṛpatiḥ |	viniGnante tam ca prabalam aTa BallUka-nRpatiH |
   parābhūya svairī tam api mura-vairī tava dhanaṃ	parABUya svErI tam api mura--vErI tava Danam
   tad-āhartā pāpa tvam asi patitas tāpa-jaladhau || (6.15)	tad--AhartA pApa tvam asi patitaH tApa--jalaDO || (6.15)
   atra saṃrambhena toṭakaṃ prakaṭam eva |	atra saMramBena towakam prakawam eva |
   athādhibalam -	aTa-aDibalam -
   budhair adhibalaṃ proktaṃ kapaṭenādhivañcanam // RNc_88 //	buDEH aDibalam proktam kapawena-aDivaQcanam // RNt-_88 //
   yathā tatraiva pañcame -	yaTA tatra-eva paQcame -
   śrī-kṛṣṇaḥ -	SrI--kRzNaH -
   paryaśīli paśubāla-ghaṭāyāṃ	paryaSIli paSu-bAla--GawAyAm
   keli-raṅga-ghaṭanāya mayā yaḥ |	keli--raFga--GawanAya mayA yaH |
   suṣṭhu so'yam akaort para-durge	suzWu saH-ayam akaort para-durge
   vaiśayan sacivatāṃ naṭa-veṣaḥ || (5.27)	vESayan sacivatAm nawa--vezaH || (5.27)
   atra naṭa-veṣa-kapaṭena para-vañcanam adhibalam |	atra nawa--veza-kapawena para-vaQcanam aDibalam |
   athodvegaḥ -	aTa-udvegaH -
   śatru-vairādi-sambhūtaṃ bhayam udvega ucyate // RNc_89 //	Satru-vEra-Adi--samBUtam Bayam udvegaH ucyate // RNt-_89 //
   yathā tatraiva ṣaṣṭhe -	yaTA tatra-eva zazWe -
   candrāvalī (janāntikam) sahi māhavi ! pekkha | eso ajja-uttassa	candrAvalI (jana-antikam) sahi mAhavi ! pekKaH | esaH ajja-uttassa
   sacca-saṃkappidā	sat-ca--saMkappidA
   seibimaddaṇo saccabhāmāe sondera-pūro dhīraṃ bi maṃ āndoledi | [sakhi	seibimaddaNaH sat-caBAmAe sA-undera-pUraH DIram bi mam Anda-uledi | [saKi
   mādhavi,	mADavi,
   paśya | eṣa āryaputrasya satya-saṅkalpitā setu-vimardanaḥ satyabhāmāyāḥ	paSya | ezaH Arya-putrasya satya--saFkalpitA setu--vimardanaH satyaBAmAyAH
   saundarya-pūro dhīrām api mām āndolayati |]	sOndarya-pUraH DIrAm api mAm Andolayati |]
   atrāvirbhūta-sapatnī-darśanāc candrāvalyā udvegaḥ |	atra-AvirBUta--sapatnI--darSanAt candrAvalyAH udvegaH |
   atha sambhramaḥ -	aTa samBramaH -
   śatru-vyāghrādi-sambhūtā śaṅkā syād iha sambhramaḥ // RNc_90 //	Satru--vyAGra-Adi-samBUtA SaFkA syAt iha samBramaH // RNt-_90 //
   yathā tatraiva pañcame -	yaTA tatra-eva paQcame -
   (nepathye)	(nepaTye)
   saptiḥ saptī ratha iha rathaḥ kuñjaro me	saptiH saptiH raTaH iha raTaH kuQjaraH me
   tūṇas tūṇo dhanur uta dhanur bhoḥ kṛpāṇī kṛpāṇī |	tUNaH tUNaH DanuH uta DanuH BoH kRpANI kRpANI |
   kā bhĪḥ kā bhīr ayam ayam ahaṃ hā tvaradhvaṃ tvaradhvaṃ	kA BĪH kA BIH ayam ayam aham hA tvaraDvam tvaraDvam
   rājñaḥ putrī bata hṛta-hṛtā kāminā vallavena ||(5.30)	rAjQaH putrI bata hRta-hRtA kAminA vallavena ||(5.30)
   atra spaṣṭa eva sambhramaḥ |	atra spazwaH eva samBramaH |
   athākṣepaḥ -	aTa-AkzepaH -
   garbha-bīja-samutkṣepam ākṣepaṃ paricakṣate // RNc_91 //	garBa--bIja--samutkzepam Akzepam paricakzate // RNt-_91 //
   yathā tatraiva ṣaṣṭhe -	yaTA tatra-eva zazWe -
   kṛṣṇaḥ (savaiklavyam) -	kRzNaH (sa-vEklavyam) -
   nikhila-suhṛdām arthārambhe vilambita-cetasā	niKila--suhRdAm arTa-AramBe vilambita---cetasA
   masṛṇita-śikho yaḥ prāptodbhūd manāg iva mārdavam |	masRNi-ta-SiKaH yaH prApta-udBUt manAk iva mArdavam |
   sa khalu lalitāsāndrasrehaprasaṅga-ghanībhavan	sa Kalu lalitA-sAndra-sreha-prasaFga--GanI-Bavan
   punar api balād indhe rādhā-viyoga-mayaḥ śikhī || (6.43)	punar api balAt inDe rADA--viyoga--mayaH SiKI || (6.43)
   asya suhṛdartha-sampādane garbhitasya punaḥ lalitā-darśanenotkṣepād	asya suhRd-arTa--sampAdane garBitasya punar lalitA-darSanena-utkzepAt-
   ākṣepaḥ |	AkzepaH |
   atha vimarśa-sandhiḥ -	aTa vimarSa--sanDiH -
   yatra pralobhana-krodhay-vyasanādyair vimṛśyate |	yatra praloBana--kroDay--vyasana-AdyEH vimRSyate |
   bījavān garbha-nirbhinnaḥ sa vimarśa itīryate // RNc_92 //	bIjavAn garBa--nirBinnaH sa vimarSaH iti-Iryate // RNt-_92 //
   prakarī-niyatāptānuguṇyād atrāṅga-kalpanam |	prakarI--niyata-Apta-anuguNyAt atra-aFga-kalpanam |
   bakulā-nava-vṛndādi-pralobhana-vaśād yathā // RNc_93 //	bakulA-nava--vRnda-Adi-praloBa-na-vaSAt yaTA // RNt-_93 //
   devī śaṅkāditaś cātra prema-bīja-vimarśanam |	devI SaFkA-AditaH ca-atra prema-bIja--vimarSanam |
   rādhā-mādhavayoḥ proktaṃ sphuṭaṃ lalita-mādhave // RNc_94 //	rADA--mADavayoH proktam sPuwam lalita--mADave // RNt-_94 //
   avavādo'yaṃ sampheṭo vidrava-drava-śaktayaḥ |	avavAdaH-ayam samPewaH vidrava--drava--SaktayaH |
   dyuti-prasaṅgaś chalanaṃ vyavasāyo virodhanam |	dyuti--prasaFgaH Calanam vyavasAyaH viroDanam |
   prarocanā vivalanam ādānaṃ syus trayodaśa // RNc_95 //	prarocanAH vivalanam AdAnam syuH trayodaSa // RNt-_95 //
   athāvavādaḥ -	aTa-avavAdaH -
   doṣa-prakhyāvavādaḥ syāt...	doza--praKyA-avavAdaH syAt-...
   yathā tatraiva saptame -	yaTA tatra-eva saptame -
   rādhikā - (savyatham)	rADikA  (sa-vyaTam)
   cirād adya svapne mama vividha-yatnād upagate	cirAt adya svapne mama viviDa-yatnAt upagate
   prapede govindaḥ sakhi nayanayor akṣaṇabhuvam |	prapede govindaH saKi nayanayoH akzaNa-Buvam |
   gṛhītvā hā hanta tvaritam atha tasminn api rathaṃ	gRhItvA hA hanta tvaritam aTa tasmin api raTam
   kathaṃ pratyāsannaḥ sa khalu puruṣo rāja-puruṣaḥ || (7.22)	kaTam pratyAsannaH sa Kalu puruzaH rAja--puruzaH || (7.22)
   atrāturasya kraurya-kīrtanād avavādaḥ |	atra-Aturasya krOrya--kIrtanAt avavAdaH |
   atha sampheṭaḥ -	aTa samPewaH -
   sampheṭo roṣa-bhāṣaṇam |	samPewaH roza-BAzaNam |
   yathā tatraiva -	yaTA tatra-eva -
   rādhikā (saṃskṛtena)	rADikA (saMskRtena)
   śāstu dvāravatī-patiṃs trijagatīṃ saundarya-paryācitaḥ	SAstu dvAravatI--patin trijagatIm sOndarya--paryAcitaH
   kiṃ nas tena viramyatāṃ katham asau śokāgnir ujjvālyate |	kim naH tena viramyatAm kaTam asO Soka-agniH ujjvAlyate |
   yuṣmābhiḥ sphuṭayukti-koṭi-garima-vyāhāriṇībhir balād	yuzmABiH sPuwa-yukti--kowi-garima--vyAhAriNIBiH balAt-
   ākarṣṭuṃ vraja-rāja-nandana-padāmbhojān na śakyā vayam || 7.2 ||	Akarzwum vraja--rAja--nandana--pada-amBojAn na SakyAH vayam || 7.2 ||
   atra bakulāṃ prati gūḍha-doṣoktyā sampheṭaḥ |	atra bakulAm prati gUXa-doza-uktyA samPewaH |
   atha vidravaḥ -	aTa vidravaH -
   vidravo vadha-bandhādiḥ...	vidravaH vaDa--banDa-AdiH...
   yathā tatraivāṣṭame -	yaTA tatra-eva-azwame -
   kṛṣṇaḥ - priye, yuṣmākam adbhutam ākarṇyatāṃ sāmpratam ahaṃ	kRzNaH  priye, yuzmAkam adButam AkarNyatAm sAmpratam aham
   sūra-saugandhikam āhariṣyan pāṇḍavena saha khāṇḍavāḍavīṃ prāviśam | tatra	sUra--sOganDikam Aharizyan pANxavena saha KANxavAxavIm prAviSam | tatra
   mṛgān āhaṇḍino gāṇḍīvinaḥ śyenābhyāṃ nigṛhītayoḥ pakṣiṇor ekaḥ prāhety ādi	mRgAn AhaNxinaH gANxIvinaH SyenAByAm nigRhItayoH pakziNoH ekaH prAha-iti Adi
   atra pakṣi-nigrahādinā vidravaḥ |	atra pakzi--nigraha-AdinA vidravaH |
   atha dravaḥ -	aTa dravaH -
   ...dravo guru-tiriskriyā // RNc_96 //	...dravaH guru--tiriskriyA // RNt-_96 //
   yathā tatraiva -	yaTA tatra-eva -
   mādhavī - bhaṭṭo-dārie kāsāre pasāridaṇi abbadaṃ vagīṃ samaria hasāmi |	mADavI  Bawwo-dArie kAsAre pasAridaNi ap-badam vagIm samaria hasAmi |
   [bhartṛ-dārike kāsāre prasārita-nija-vratāṃ bakīṃ smṛtvā hasāmi |]	[BartR-dArike kAsAre prasArita-nija-vratAm bakIm smRtvA hasAmi |]
   atra svāminyā rādhāyā upahāsena dravaḥ |	atra svAminyAH rADAyAH upahAsena dravaH |
   atha śaktiḥ -	aTa SaktiH -
   virodha-śamanaṃ śaktiḥ...	viroDa--Samanam SaktiH...
   yathā tatraiva	yaTA tatra-eva
   nava-vṛndā (latāntare sthitvā) hanta katham aṅgīkṛta-rādhā-prasādhanā	nava--vRndA (latA-antare sTitvA) hanta kaTam aFgIkRta--rADA--prasADanA
   devīyam	devI-iyam
   upalabdhā | tad eṣa mādhavo yāvad enāṃ rādhikāṃ pratītya na pramādam	upalabDAH | tat eza mADavaH yAvat enAm rADikAm pratItya na pramAdam
   ādadhāti tāvad ahaṃ padyam ekaṃ hārītena hārayāmīti |	AdaDAti tAvat aham padyam ekam hArItena hArayAmi-iti |
   atra rādhātvena candrāvalī-jñānād utpannasya virodhasya śamanāt śaktiḥ |	atra rADA-tvena candrAvalI--jQAnAt utpannasya viroDasya SamanAt SaktiH |
   atha dyutiḥ -	aTa dyutiH -
   ...tarjanodvejane dyutiḥ // RNc_97 //	...tarjana-udvejane dyutiH // RNt-_97 //
   yathā tatraiva -	yaTA tatra-eva -
   rādhā (sabhayam) hanta, caṃcala caṃcarīa ciṭṭha ciṭṭha | esā līlā-kamaleṇa	rADA (sa-Bayam) hanta, caMcala caMcarIa ciwWa ciwWaH | esA lIlA--kamaleNa
   tāḍemi tumaṃ dhiṭhṭhaṃ | [cañcala cañcarīka tiṣṭha tiṣṭha | eṣā	tAxemi tumam DiWWam | [caQcala caQcarIka tizWa tizWa | ezA
   līlā-kamalena	lIlA-kamalena
   tāḍayāmi tvāṃ dhṛṣṭam |]	tAxayAmi tvAm DRzwam |]
   ity atra bhramarādy-udvegena bhramaraṃ prati tarjanena ca dyutiḥ |	iti atra Bramara-Adi--udvegena Bramaram prati tarjanena ca dyutiH |
   atha prasaṅgaḥ -	aTa prasaFgaH -
   prastutārthasya śamanaṃ prasaṅgaḥ parikīrtitaḥ |	prastuta-arTasya Samanam prasaFgaH parikIrtitaH |
   prasaṅgaṃ kathayanty anye gurūṇāṃ parikīrtanam // RNc_98 //	prasaFgam kaTayanti anye gurUNAm parikIrtanam // RNt-_98 //
   tatrādyaṃ, yathā tatraivāṣṭame -	tatra-Adyan, yaTA tatra-eva-azwame -
   carcāṃ siñcati śoṣayaty api mitho vispardhate vāsakṛt	carcAm siQcati Sozayati api miTas visparDate vA-asakRt-
   netra-dvandvam uraś ca yad-virahato bāṣpāyamāṇaṃ mama |	netra-dvandvam uraH ca yat--virahataH bAzpAyamANam mama |
   hanta svapna-śate'pi durlabhatara-prekṣyotsavā preyasī	hanta svapna--Sate-api durlaBatara--prekzya-utsavA preyasI
   prāpyotsaṅgam atarkitaṃ mama kathaṃ sā rādhikā vartate || 8.3 ||	prApya-utsaFgam atarkitam mama kaTam sA rADikA vartate || 8.3 ||
   atra prastutasya viraha-duḥkhasya śamāt prasaṅgaḥ |	atra prastutasya viraha--duHKasya SamAt prasaFgaH |
   dvitīyaṃ yathā saptame -	dvitIyam yaTA saptame -
   rādhā (saṃskṛtena) -	rADA (saMskRtena) -
   khelan-mañjula-veṇu-maṇḍita-mukhī sāci-bhramaṃl locanā	Kelan--maQjula--veNu-maNxita-muKI sAci--Braman locanA
   mugdhe mūrdhni śikhaṇḍinī dhṛta-vapur bhaṅgī-trayāṅgī-kṛtiḥ |	mugDe mUrDni SiKaNxinI DRta-vapuH BaFgI-traya-aFgI-kRtiH |
   kaiśore kṛta-saṅgatiḥ suramuner ārādhyate śāsanād	kESore kRta-saFgatiH sura-muneH ArADyate SAsanAt-
   asmābhiḥ pitur ālaye jaladhara-śyāma-cchavir devatā || 7.24 ||	asmABiH pituH Alaye jalaDara--SyAma-=-CaviH devatAH || 7.24 ||
   atreṣṭa-deva-nāradayoḥ pituś ca kīrtanād guru-kīrtanam |	atra-izwa-deva--nAradayoH pituH ca kIrtanAt guru--kIrtanam |
   atha chalanam -	aTa Calanam -
   apamānādi-karaṇaṃ chalanaṃ parikīrtitam // RNc_99 //	apamAna-Adi--karaNam Calanam parikIrtitam // RNt-_99 //
   yathāṣṭame -	yaTA-azwame -
   kṛṣṇaḥ - hanta kali-kaṇḍūla-tuṇḍa-mātra-sarvasve tamomayi mādhavike!	kRzNaH  hanta kali--kaNxUla-tuNxa--mAtra--sarvasve tamaH-mayi mADavike!
   viramyatām | dvayoḥ paraṃ jetum aśakyeyaṃ candrāvalī |	viramyatAm | dvayoH param jetum aSakyA-iyam candrAvalI |
   atra mādhavī-bhartsanāpamānāc chalanam |	atra mADavI--Bartsana-apamAnAt Calanam |
   atha vyavasāyaḥ -	aTa vyavasAyaH -
