   keśavakṛtā kauśikapaddhatiḥ	keSava kRtA kOSika padDatiH
   rājānamāsthāpayati | 'ayā viṣṭhā janayan' iti dvābhyāmṛgbhyāṃ navaṃ	rAjAnam AsTApayati | aayAH vizWA janayana iti dvAByAmRgByAm navam
   rathamabhimantrya sasārathiṃ rājānamāsthāpayati | 'agna indraśca dāśuṣe'	raTam aBimantrya sa sAraTim rAjAnam AsTApayati | aagne indraH ca dASuze a
   iti dvābhyāmṛgbhyāṃ navaṃ rathamabhimantrya sasārathiṃ rājānamāsthāpayati	iti dvAByAmRgByAm navam raTam aBimantrya sa sAraTim rAjAnam AsTApayati
   | 'diśaścatasraḥ' iti dvābhyāmṛgbhyāṃ navaṃ rathamabhimantrya rājānaṃ	| adiSaH catasraHa iti dvAByAmRgByAm navam raTam aBimantrya rAjAnam
   sasārathimāsthāpayati | jayakāmaḥ | nave ratha ārohaṇavidhānaṃ samāptam ||	sa sAraTim AsTApayati | jaya kAmaH | nave raTaH ArohaNa viDAnam samAptam ||
        athārogyavidhānamucyate  	aTa Arogya viDAnam ucyate  
             [brahma jajñānam (5.6) iti jīvitavijñānam || KauśS_2,5{15}.12 ||	[brahma jajQAnam (5.6) iti jIvita vijQAnam || KOSH _2,5{15}.12 ||
             tisraḥ snāvarajjūraṅgāreṣvavadhāya || KauśS_2,5{15}.13 ||]	tisraH snAva rat jUraFgArezu avaDAya || KOSH _2,5{15}.13 ||]
   'brahma jajñānam' (5.6.1) 'anāptāḥ' (6.6.2) iti sūktena tisraḥ	abrahma jajQAnam a (5.6.1) aanAptAH a (6.6.2) iti sUktena tisraH
   snāvarajjūrabhimantrya tato'ṅgāreṣu nidadhāti ||	snAva rajjUH aBimantrya tatas aFgArezu nidaDAti ||
             [utkucatīṣu kalyāṇam || KauśS_2,5{15}.14 ||]	[utkucatIzu kalyANam || KOSH _2,5{15}.14 ||]
   yadi tā utkṣaranti tata ārogyatā bhavati | samāptamārogyavijñānam ||	yadi tAH utkzaranti tatas Arogya tA Bavati | samAptam Arogya vijQAnam ||
        atha sāṅgrāmikavijñānamucyate  	aTa sa aFgrAmika vijQAnam ucyate  
             [sāṅgrāmikametā vyādiśati madhye mṛtyuritare sene ||	[sA aFgrAmikam etAH vyAdiSati maDye mRtyuH itare sene ||
   KauśS_2,5{15}.15 ||]	KOSH _2,5{15}.15 ||]
   'brahma jajñānam' (5.6.1) 'anāptā ye' (5.6.2) 'sahasradhāre' (5.6.3) iti	abrahma jajQAnam a (5.6.1) aanAptA ye a (5.6.2) asahasra DAre a (5.6.3) iti
   sūktena tisraḥ snāvarajjūrabhimantrya tataḥ saṅkalpaḥ | ekā rajjurātmasenā	sUktena tisraH snAva rajjUH aBimantrya tatas saFkalpaH | ekA rajjuH Atma senA
   | madhye dvitīyā (rajjuḥ) mṛtyuḥ | tṛtīyā rajjuḥ parasenā | evaṃ saṅkalpaḥ	| maDye dvitIyAH (rajjuH) mRtyuH | tRtIyAH rajjuH para senA | evam saFkalpaH
   | tataḥ aṅgāreṣu nidhāyeṣyate ||	| tatas aFgArezu niDAya izyate ||
             [parājeṣyamāṇān mṛtyurativartate jeṣyanto mṛtyum ||	[parAjezyamANAn mRtyuH ativartate jezyantaH mRtyum ||
   KauśS_2,5{15}.16 ||]	KOSH _2,5{15}.16 ||]
   yasyā upari mṛtyurgacchati tasyāḥ senāyā jayo na bhavati | yā mṛtyorupari	yasyAH upari mRtyuH gacCati tasyAH senAyAH jayaH na Bavati | yA mRtyoH upari
   patati tasyā jayo bhavati | parasenāsammukhā yā yāti tasyā api jayo	patati tasyAH jayaH Bavati | para senA sammuKAH yA yAti tasyAH api jayaH 
   bhavati ||	Bavati ||
             [agreṣūtkucatsu mukhyā hanyante madhyeṣu madhyā anteṣvavare ||	[agrezu utkucatsu muKyAH hanyante maDyezu maDyAH antezu avare ||
   KauśS_2,5{15}.17 ||]	KOSH _2,5{15}.17 ||]
   'brahma jajñānam' (5.6) iti dvitīyena sūktena snāvarajjumekāmabhimantrya	abrahma jajQAnam a (5.6) iti dvitIyena sUktena snAva rajjum ekAm aBimantrya
   tato'ṅgāreṣu nidadhāti | tato nirīkṣate | agreṣu agreḥ	tatas aFgArezu nidaDAti | tatas nirIkzate | agrezu agreH
   paścimadigbhāgeṣūtkucatsu mukhyā hanyante | madhyeṣu madhyāḥ | anteṣu	paScima digBAgezu utkucatsu muKyAH hanyante | maDyezu maDyAH | antezu
   pūrvadiśānteṣvavarapadātivināśaḥ ||	pUrva diSAntezu avara pada ati vinASaH ||
             [evamiṣīkāḥ || KauśS_2,5{15}.18 ||]	[evam izIkAH || KOSH _2,5{15}.18 ||]
   evamiṣīkāḥ karoti | baddhvā rajjūḥ kṛtāḥ 'brahma jajñānam' iti	evam izIkAH karoti | badDvA rajjUH kRtAH abrahma jajQAnam a iti
   sūktenābhimantrya karoti | ārogyavijñānakarma | jayaparājayavijñānakarma |	sUktena aBimantrya karoti | Arogya vijQAna karma | jaya parAjaya vijQAna karma |
   snāvarajjumukhyamadhyamāvaravijñānakarma | etāni trīṇi karmāṇi bhavanti |	snAva rajju muKya maDyama avara vijQAna karma | etAni trINi karmANi Bavanti |
   abhimantrya kartavyāni | iṣīkāḥ śaramayā vā vīriṇamayā vā kartavyāḥ |	aBimantrya kartavyAni | izIkAH SaramayA vA vIriNa mayAH vA kartavyAH |
   samāptaṃ sāṅgrāmikaṃ vijñānam | ṣaṣṭhī kaṇḍikā || KKp_15 ||	samAptam sAFgrAmikam vijQAnam | zazWI kaNxikA || KKB _15 ||
   [rājakarmāṇi]	[rAja karmANi]
        atha parasenātrāsanavidveṣaṇamucyate  	aTa para senA tra Asana vidvezaNam ucyate  
             [uccairghoṣaḥ (5.20) upa śvāsaya (6.126) iti sarvavāditrāṇi	[uccEs GozaH (5.20) upa SvAsaya (6.126) iti sarva vAditrANi
   prakṣālya tagarośīreṇa sandhāvya sampātavanti trirāhatya prayacchati ||	prakzAlya tagara uSIreNa sanDAvya sampAtavanti tris Ahatya prayacCati ||
   KauśS_2,6{16}.1 ||]	KOSH _2,6{16}.1 ||]
   abhyātānāntaṃ kṛtvā 'uccairghoṣaḥ' iti sūktena bheryādivāditrāṇi prakṣālya	aByAtAna antam kRtvA auccEs GozaHa iti sUktena BeryAt ivAditrANi prakzAlya
   tagarośīreṇa lepayitvā sampātya tataḥ svayaṃ purodhā (vādayitṛbhyaḥ)	tagara uSIreNa lepayitvA sampAtya tatas svayam puroDAH (vAdayitRByaH)
   trirāhatya prayacchati | tata uttaratantram | abhyātānāntaṃ kṛtvā	tris Ahatya prayacCati | tatas uttaratantram | aByAtAna antam kRtvA
   vāditrāṇi prakṣālya tagarośīreṇa sandhāvya 'upa śvāsaya' iti sūktena	vAditrANi prakzAlya tagara uSIreNa sanDAvyaH aupa SvAsaya a iti sUktena
   vāditrāṇi sampātavanti kṛtvā trirāhatya prayacchati | tata uttaratantram	vAditrANi sampAtavanti kRtvA tris Ahatya prayacCati | tatas uttaratantram
             [vihṛdayam (5.21) ityuccaistarāṃ hutvā sruvamudvartayan ||	[vihRdayam (5.21) iti uccEstarAm hutvA sruvam udvartayan ||
   KauśS_2,6{16}.2 ||]	KOSH _2,6{16}.2 ||]
   abhyātānāntaṃ kṛtvā 'vihṛdayam' iti sūktena sarvavāditrāṇi prakṣālya	aByAtAna antam kRtvA avihRdayam a iti sUktena sarva vAditrANi prakzAlya
   tagarośīreṇa lepayitvoccaistarāṃ hutvā sampātavanti trirāhatya prayacchati	tagara uSIreNa lepayitvA uccEstarAm hutvA sampAtavanti tris Ahatya prayacCati
   | tata uttaratantram ||	| tatas uttaratantram ||
             [somāṃśuṃ hariṇacarmaṇyutsīvya kṣatriyāya badhnāti ||	[soma aMSum hariNa carmaNi utsIvya kzatriyAya baDnAti ||
   KauśS_2,6{16}.3 ||]	KOSH _2,6{16}.3 ||]
   abhyātānāntaṃ kṛtvā 'vihṛdayam' iti sūktena somāṅkuramaṇiṃ	aByAtAna antam kRtvA avihRdayam a iti sUktena soma aFkura maNim
   hariṇacarmaṇāveṣṭitaṃ kṛtvā sampātyābhimantrya badhnāti | tata	hariNa carmaNA Avezwitam kRtvA sampAtyA aBimantrya baDnAti | tata
   uttaratantram | 'vihṛdayam' iti sūktasya sarvatra uccaistareṇa svareṇa	uttaratantram | avihRdayam a iti sUktasya sarvatra uccEstareNa svareNa
   prayogaḥ | sūcanaṃ paratra | samāptaṃ dviṣo vidveṣaṇaṃ trāsanaṃ ca ||	prayogaH | sUcanam paratra | samAptam dvizaH vidvezaNam trAsanam ca ||
             [pari vartmāni (6.67) indro jayāti (6.98) iti rājā triḥ senāṃ	[pari vartmAni (6.67) indraH jayAti (6.98) iti rAjA tris senAm
   pariyāti || KauśS_2,6{16}.4 ||]	pariyAti || KOSH _2,6{16}.4 ||]
   'pari vartmāni sarvataḥ' iti sūktena rājā triḥ senāṃ paribhrāmyati |	apari vartmAni sarvataH a iti sUktena rAjA tris senAm pariBrAmyati |
   'indro jayāti' iti sūktena rājā triḥ kaṭakaṃ bhrāmyet | jayakāmaḥ | triḥ	aindraH jayAti a iti sUktena rAjA tris kawakam BrAmyet | jaya kAmaH | tris 
   sūktāvṛttiḥ ||	sUkta AvRttiH ||
             [uktaḥ pūrvasya somāṃśuḥ || KauśS_2,6{16}.5 ||]	[uktaH pUrvasya soma aMSuH || KOSH _2,6{16}.5 ||]
   abhyātānāntaṃ kṛtvā 'pari vartmāni' iti sūktena somamaṇiṃ carmaveṣṭitaṃ	aByAtAna antam kRtvA apari vartmAni a iti sUktena soma maNim carma vezwitam
   kṛtvā sampātyābhimantrya rājñe badhnāti | tata uttaratantram | jayakāmaḥ	kRtvA sampAtya aBimantrya rAjQe baDnAti | tatas uttaratantram | jaya kAmaH
             [sandānaṃ vaḥ (6.103) ādānena (6.104) iti pāśairādānasandānāni	[sandAnam vaH (6.103) AdAnena (6.104) iti pASEH AdAna sandAnAni
   || KauśS_2,6{16}.6 ||]	|| KOSH _2,6{16}.6 ||]
   abhyātānāntaṃ kṛtvā 'sandānaṃ vaḥ', 'ādānena' iti sūktābhyāṃ bhāṅgapāśān	aByAtAna antam kRtvA asandAnam vaH a, aAdAn ena a iti sUktAByAm BAFga pASAn
   sampātyābhimantrya senākrameṣu vapati | tata uttaratantram | jayakāma idaṃ	sampAtyA aBimantrya senA kramezu vapati | tatas uttaratantram | jaya kAmaH idam
   karma kuryāt | jayakarmāṇyanuvartante 'asmin vasu' iti rāṣṭrāvagamanaṃ	karma kuryAt | jaya karmANi anuvartante aasmin vasu a iti rAzwra avagamanam
   yāvat | abhyātānāntaṃ kṛtvā 'sandānaṃ vaḥ' 'ādānena' iti sūktābhyāṃ	yAvat | aByAtAna antam kRtvA asandAnam vaH a aAdAn ena a iti sUktAByAm
   mauñjān pāśāniṅgiḍālaṅkṛtān sampātavato'nūktān abhimantrya senākrameṣu	mOQjAn pASA niFgixa alaFkRtAn sampAtavataH anUktAn aBimantrya senA kramezu
   vapati | tata uttaratantram ||	vapati | tatas uttaratantram ||
        svasenāyā abhayakarma ucyate  	svasenAyAH aBaya karmaH ucyate  
             [marmāṇi te (7.118.1) iti kṣatriyaṃ sannāhayati ||	[marmANi te (7.118.1) iti kzatriyam sannAhayati ||
   KauśS_2,6{16}.7 ||]	KOSH _2,6{16}.7 ||]
   'marmāṇi te' ityṛcā sannāhamabhimantrya rājānaṃ sannāhaṃ paridhāpayati |	amarmANi te a iti RcA sat na aham aBimantrya rAjAnam sat na aham pariDApayati |
   abhayakāmaḥ ||	aBaya kAmaH ||
             [abhayānāmapyayaḥ || KauśS_2,6{16}.8 ||]	[aBayAnAm apyayaH || KOSH _2,6{16}.8 ||]
   'abhayaṃ dyāvāpṛthivī' (6.40) iti sūktena saptarṣīn yajate pratidiśaṃ	aaBayam dyAvApRTivI a (6.40) iti sUktena saptarzIn yajate pratidiSam
   senāyāḥ | 'abhayaṃ dyāvāpṛthivī' iti sūktena pratidiśaṃ senāyā upatiṣṭhate	senAyAH | aaBayam dyAvApRTivI a iti sUktena pratidiSam senAyAH upatizWate
   vā | 'śyeno'si gāyatram' (6.48) iti sūktena saptarṣīn yajata upatiṣṭhate	vA | aSyenaH asi gAyatram a (6.48) iti sUktena saptarzIn yajataH upatizWate
   vā senāyāḥ pratidiśam | caturṣu dikṣu kuryāt | saṅgrāme vartamāne |	vA senAyAH pratidiSam | caturzu dikzu kuryAt | saFgrAme vartamAne |
   'abhayaṃ dyāvāpṛthivī śyeno'sīti pratidiśaṃ saptarṣīnabhayakāmaḥ' (KauśS |	aaBayam dyAvApRTivI SyenaH asi iti pratidiSam saptarzIna Baya kAmaH a (KOSH |
   59.26) | yajate | upatiṣṭhate vā | ekasmin sthāne karmaprayogaṃ vā kuryāt	59.26) | yajate | upatizWate vA | ekasmin sTAne karma prayogam vA kuryAt 
   | diśi diśyabhimukhāni tantrāṇi kṛtvā yajate | sūktavikalpaḥ | upatiṣṭhate	| diSi diSi aBimuKAni tantrANi kRtvA yajate | sUkta vikalpaH | upatizWate
   | svasthāne urdhvasthito diśyabhimukhaścaturṣu dikṣu kuryāt | samāptaṃ	| sva sTAne urDva sTitaH diSi aBimuKaH caturzu dikzu kuryAt | samAptam
   senāyā abhayakarma ||	senAyAH aBaya karma ||
             [indro manthatu (8.8.1) iti || KauśS_2,6{16}.9 ||	[indraH manTatu (8.8.1) iti || KOSH _2,6{16}.9 ||
             pūtirajjuḥ (8.8.2) iti pūtirajjumavadhāya || KauśS_2,6{16}.10 ||	pUti rajjuH (8.8.2) iti pUti rajjum avaDAya || KOSH _2,6{16}.10 ||
             aśvatthabadhakayoragniṃ manthati || KauśS_2,6{16}.11 ||	aSvatTa baDakayoH agnim manTati || KOSH _2,6{16}.11 ||
             dhūmam (8.8.2) iti mamanumantrayate || KauśS_2,6{16}.12 ||	DUmam (8.8.2) iti mamanumantrayate || KOSH _2,6{16}.12 ||
             agnim (8.8.2) ityagnim || KauśS_2,6{16}.13 ||]	agnim (8.8.2) iti agnim || KOSH _2,6{16}.13 ||]
   uktamagnimanthanamādau 'indro manthatu' iti ||	uktam agni manTanam AdO aindraH manTatu a iti ||
        atha sapatnakṣayaṇīkarma ucyate  	aTa sapatna kzayaNIkarmaH ucyate  
             [tasminnaraṇye	[tasmin= araNye
   sapatnakṣayaṇīrādadhātyaśvatthabadhakatājadabhaṅgāhvakhadiraśarāṇām ||	sapatna kzayaNIrAda DAti aSvatTa baDaka tAja daBaFga Ahva Kadira SarANAm ||
   KauśS_2,6{16}.14 ||]	KOSH _2,6{16}.14 ||]
   araṇye sapatnakṣayaṇīkarma kuryāt | na grāmamadhye kuryāt | tantravikalpaḥ	araNye sapatna kzayaNIkarma kuryAt | na grAma maDye kuryAt | tantra vikalpaH
   hastahomatvāt | 'indro manthatu' iti sūktena aśvatthasamidha ādadhāti |	hasta homa tvAt | aindraH manTatu a iti sUktena aSvatTa samiDaH AdaDAti |
   śatrukṣayo bhavati | 'indro manthatu' iti sūktena karimālakasamidha	Satru kzayaH Bavati | aindraH manTatu a iti sUktena karimAlaka samiDa
   ādadhāti | senāgnau sarvatra | 'indro manthatu' iti sūktena eraṇḍasamidha	AdaDAti | senA agnO sarvatra | aindraH manTatu a iti sUktena eraNxa samiDa
   ādadhāti | 'indro manthatu' iti sūktena tirṇisamidha ādadhāti | 'indro	AdaDAti | aindraH manTatu a iti sUktena tirNi samiDaH AdaDAti | aindraH 
   manthatu' iti sūktena khadirasamidha ādadhāti | 'indro manthatu' iti	manTatu a iti sUktena Kadira samiDaH AdaDAti | aindraH manTatu a iti
   sūktena śarasamidha ādadhāti senāgnau | sapatnakṣayaṇī samāptā |	sUktena Sara samiDaH AdaDAti senA agnO | sapatna kzayaNI samAptA |
   śatrukṣayo bhavati | karmavikalpaḥ ||	Satru kzayaH Bavati | karma vikalpaH ||
             [uktāḥ pāśāḥ || KauśS_2,6{16}.15 ||]	[uktAH pASAH || KOSH _2,6{16}.15 ||]
   abhyātānāntaṃ kṛtvā 'indro manthatu' iti sūktena bhāṅgapāśān	aByAtAna antam kRtvA aindraH manTatu a iti sUktena BAFga pASAn
   sampātyābhimantrya senākrameṣu vapati | sarvatra kruddhenābhimantraṇaṃ	sampAtyA aBimantrya senA kramezu vapati | sarvatra krudDena aBimantraNam
   pāśādiṣu | tata uttaratantram | tantraṃ kṛtvā 'indro manthatu' iti sūktena	pASa Adizu | tatas uttaratantram | tantram kRtvA aindraH manTatu a iti sUktena
   mauñjān pāśān sampātyābhimantrya senākrameṣu vapati | tantraṃ ca ||	mOQjAn pASAn sampAtyA aBimantrya senA kramezu vapati | tantram ca ||
             [āśvatthāni kūṭāni bhāṅgāni jālāni || KauśS_2,6{16}.16 ||]	[a aSvatTAni kUwAni BAFgAni jAlAni || KOSH _2,6{16}.16 ||]
   abhyātānāntaṃ kṛtvā 'indro manthatu' iti sūktena āśvatthāni kūṭāni	aByAtAna antam kRtvA aindraH manTatu a iti sUktena ASvatTAni kUwAni
   sampātyābhimantrya senākrameṣu vapati tantraṃ ca | tantraṃ kṛtvā 'indro	sampAtyA aBimantrya senA kramezu vapati tantram ca | tantram kRtvA aindraH 
   manthatu' iti sūktena bhāṅgāni jālāni sampātyābhimantrya senākrameṣu	manTatu a iti sUktena BAFgAni jAlAni sampAtya aBimantrya senA kramezu
   vapati | tata uttaratantram ||	vapati | tatas uttaratantram ||
             [bādhakadaṇḍāni || KauśS_2,6{16}.17 ||]	[bADaka daNxAni || KOSH _2,6{16}.17 ||]
   tantraṃ kṛtvā 'indro manthatu' iti sūktena bādhakadaṇḍāni	tantram kRtvA aindraH manTatu a iti sUktena bADaka daNxAni
   sampātyābhimantrya senākrameṣu vapati | tata uttaratantram | samāptāni	sampAtyA aBimantrya senA kramezu vapati | tatas uttaratantram | samAptAni
   jayakarmāṇi ||	jaya karmANi ||
             [svāhaibhyaḥ (8.8.24) iti mitrebhyo juhoti || KauśS_2,6{16}.18	[svAha eByaH (8.8.24) iti mitreByaH juhoti || KOSH _2,6{16}.18
             durāhāmībhyaḥ (8.8.24) iti savyeneṅgiḍamamitrebhyo bādhake ||	durAhAmIByaH (8.8.24) iti savyena iFgixam amitreByaH bADake ||
   KauśS_2,6{16}.19 ||	KOSH _2,6{16}.19 ||
             uttarato'gnerlohitāśvatthasya śākhāṃ nihatya nīlalohitābhyāṃ	uttaratas agneH lohita aSvatTasya SAKAm nihatya nIla lohitAByAm
   sūtrābhyāṃ paritatya nīlalohitenāmūn (8.8.24) iti dakṣiṇā prahāpayati ||	sUtrAByAm paritatya nIla lohitena amUn (8.8.24) iti dakziNA prahApayati ||
   KauśS_2,6{16}.20 ||]	KOSH _2,6{16}.20 ||]
   'svāhaibhyaḥ' iti mitrebhya ityādi nīlalohitaśākhāntaṃ sarvakarmasu	asvAha eByaH a iti mitreByaH ityAdi nIlalohita SAKA antam sarva karmasu
   bhavati | ādau uktam ||	Bavati | AdO uktam ||
        āvaśyāni jayakarmāṇyucyante  	AvaSyAni jaya karmANi ucyante  
             [ye bāhavaḥ (11.9) uttiṣṭhata (11.10) iti yathāliṅgaṃ	[ye bAhavaH (11.9) uttizWate (11.10) iti yaTAliFgam
   sampreṣyati || KauśS_2,6{16}.21 ||]	samprezyati || KOSH _2,6{16}.21 ||]
   'ye bāhavaḥ' ityanuvākaṃ yuddhakāle japati kartā ||	aye bAhavaH a iti anuvAkam yudDa kAle japati kartA ||
             [homārthe pṛṣadājyam || KauśS_2,6{16}.22 ||]	[homa arTe pRzadAjyam || KOSH _2,6{16}.22 ||]
   ājyatantraṃ kṛtvā 'ye bāhavaḥ' ityanuvākena pṛṣadājyaṃ juhoti | tata	Ajya tantram kRtvA aye bAhavaH a iti anuvAkena pRzadAjyam juhoti | tata
   ājyenottaratantram.	Ajyena uttaratantram.
             [pradānāntāni vāpyāni || KauśS_2,6{16}.23 ||]	[pradAna antAni vApyAni || KOSH _2,6{16}.23 ||]
   abhyātānāntaṃ kṛtvā 'ye bāhavaḥ' ityanuvākena saktūñjuhoti | tataḥ	aByAtAna antam kRtvA aye bAhavaH a iti anuvAkena saktUn juhoti | tatas 
   sāṅgrāmikamuttaratantram | sāṅgrāmikaṃ tantraṃ kṛtvā 'ye bāhavaḥ'	sAFgrAmikam uttara tantram | sAFgrAmikam tantram kRtvA aye bAhavaH a
   ityanuvākena dhanuridhme'gnau pṛṣadājyenāktā dhanuḥsamidha ādadhāti | tata	iti anuvAkena DanuH iDme agnO pRzadAjyena aktA DanuH samiDaH AdaDAti | tata
   uttaratantram | pūrvatantraṃ kṛtvā 'ye bāhavaḥ' ityanuvākeneṣvidhme'gnau	uttaratantram | pUrvatantram kRtvA aye bAhavaH a iti anuvAkena izu iDme agnO
   pṛṣadājyenāktā iṣusamidha ādadhāti | tata uttaratantram | ājyena	pRzadAjyena aktAH izu samiDaH AdaDAti | tatas uttaratantram | Ajyena
   pūrvatantraṃ kṛtvā 'ye bāhavaḥ' ityanuvākena pṛṣadājyena dhanuḥ	pUrvatantram kRtvA aye bAhavaH a iti anuvAkena pRzadAjyena DanuH
   sampātyābhimantrya vimṛjya yoddhre prayacchati | tata ājyenottaratantram |	sampAtyA aBimantrya vimRjya yodDre prayacCati | tatas Ajyena uttaratantram |
   ājyena pūrvatantraṃ kṛtvā 'ye bāhavaḥ' ityanuvākena bhāṅgapāśān	Ajyena pUrvatantram kRtvA aye bAhavaH a iti anuvAkena BAFga pASAn
   pṛṣadājyena sampātya kruddho'bhimantrya senākrameṣu vapati | tata	pRzadAjyena sampAtya krudDaH aBimantrya senA kramezu vapati | tata
   ājyenottaratantram | sarvatra pāśeṣu āśvattheṣu kūṭeṣu bhāṅgeṣu jāleṣu	Ajyena uttaratantram | sarvatra pASezu ASvatTezu kUwezu BAFgezu jAlezu
   bādhakadaṇḍeṣu vajrarūpeṣu pātreṣu ca iṅgiḍālaṅkaraṇaṃ kruddhābhimantraṇaṃ	bADaka daNxezu vajra rUpezu pAtrezu ca iFgixa alaFkaraNam krudDa aBimantraNam
   kuryāt | ājyena tantraṃ kṛtvā 'ye bāhavaḥ' ityanuvākena mauñjapāśān	kuryAt | Ajyena tantram kRtvA aye bAhavaH a iti anuvAkena mOQjapa ASAn
   pṛṣadājyena sampātyābhimantrya senākrameṣu vapati | ājyena uttaratantram |	pRzadAjyena sampAtya aBimantrya senA kramezu vapati | Ajyena uttaratantram |
   ājyena tantraṃ kṛtvā 'ye bāhavaḥ' ityanuvākena āmapātrāṇi pṛṣadājyena	Ajyena tantram kRtvA aye bAhavaH a iti anuvAkena Ama pAtrANi pRzadAjyena
   sampātyābhimantrya senāyuddhasthāne vapati | ājyenottaratantram ||	sampAtyA aBimantrya senA yudDa sTAne vapati | Ajyena uttaratantram ||
             [vāpyaistriṣandhīni vajrarūpāṇyarbudirūpāṇi || KauśS_2,6{16}.24	[vApyEH trizanDIni vajra rUpANi arbudi rUpANi || KOSH _2,6{16}.24
   tantraṃ kṛtvā 'ye bāhavaḥ' ityanuvākena triṣandhīni lohamayāni	tantram kRtvA aye bAhavaH a iti anuvAkena trizanDIni loha mayAni
   sampātyābhimantrya senākrameṣu vapati | uttaratantram | tantraṃ kṛtvā 'ye	sampAtyA aBimantrya senA kramezu vapati | uttaratantram | tantram kRtvA aye
   bāhavaḥ' ityanuvākena vajrarūpāṇi sampātyābhimantrya senākrameṣu vapati |	bAhavaH a iti anuvAkena vajra rUpANi sampAtyA aBimantrya senA kramezu vapati |
   tata uttaratantram | tantraṃ kṛtvā 'ye bāhavaḥ' ityanuvākena vajrarūpāṇi	tatas uttaratantram | tantram kRtvA aye bAhavaH a iti anuvAkena vajra rUpANi
   lohamayāni arbudirūpāṇi sampātyābhimantrya senākrameṣu vapati | tata	loha mayAni arbudi rUpANi sampAtyA aBimantrya senA kramezu vapati | tata
   uttaratantram ||	uttaratantram ||
             [śitipadīṃ sampātavatīṃ darbharajjvā kṣatriyāyopāsaṅgadaṇḍe	[SitipadIm sampAtavatIm darBa rajjvA kzatriyAya upAsaFga daNxe
   badhnāti || KauśS_2,6{16}.25 ||]	baDnAti || KOSH _2,6{16}.25 ||]
   abhyātānāntaṃ kṛtvā 'ye bāhavaḥ' ityanuvākena śitipadīm ajāṃ pṛṣadājyena	aByAtAna antam kRtvA aye bAhavaH a iti anuvAkena SitipadIm ajAm pRzadAjyena
   sampātyābhimantrya rājñe darbharajjvā upāsaṅgadaṇḍe badhnāti |	sampAtyA aBimantrya rAjQe darBa rajjvA upAsaFga daNxe baDnAti |
   ājyenottaratantram ||	Ajyena uttaratantram ||
             [dvitīyāmasyati || KauśS_2,6{16}.26 ||]	[dvitIya Amasyati || KOSH _2,6{16}.26 ||]
   sāṅgrāmikaṃ tantraṃ kṛtvā 'ye bāhavaḥ' ityanuvākena dvitīyāṃ śitipadīṃ	sAFgrAmikam tantram kRtvA aye bAhavaH a iti anuvAkena dvitIyAm SitipadIm
   sampātyābhimantrya śatrusenāṃ prakṣipati | ājyena uttaratantram | tataḥ	sampAtyA aBimantrya Satru senAm prakzipati | Ajyena uttaratantram | tatas 
   senāgnyutsargaḥ | avabhṛthaśca | śatruṃ jitvā karmasamāptiṃ karoti |	senA agni utsargaH | avaBRTaH ca | Satrum jitvA karma samAptim karoti |
   sarvatra karmaṇāṃ vikalpaḥ | samāptāni sāṅgrāmikāṇi karmāṇi | śitipadyoḥ	sarvatra karmaNAm vikalpaH | samAptAni sa aFgrAmikANi karmANi | SitipadyoH
   dvayorapyekaṃ karma | anyatra vikalpaḥ | anena karmaṇā avaśyaṃ jayo	dvayoH api ekam karma | anyatra vikalpaH | anena karmaNA avaSyam jayaH 
   bhavati ||	Bavati ||
        atha rāṣṭrapraveśābhigamanakarmavidhiṃ vakṣyāmaḥ  	aTa rAzwra praveSa aBigamana karma viDim vakzyAmaH  
             [asmin vasu (1.9) iti rāṣṭrāvagamanam || KauśS_2,6{16}.27 ||]	[asmin vasu (1.9) iti rAzwra avagamanam || KOSH _2,6{16}.27 ||]
   svarāṣṭre yo niṣkrāntaḥ śatruṇā punaḥ praveśamicchati tasyedaṃ karma ||	sva rAzwre yaH nizkrAntaH SatruNA punar praveSam icCati tasya idam karma ||
             [ānuśūkānāṃ vrīhīṇāmāvraskajaiḥ kāmpīlaiḥ śṛtaṃ	[a anuSUkAnAm vrIhINAm Avraska jEH kAmpIlEH SRtam
   sārūpavatsamāśayati || KauśS_2,6{16}.28 ||]	sArUpavat samASayati || KOSH _2,6{16}.28 ||]
   ājyatantramabhyātānāntaṃ kṛtvā 'asmin vasu' iti sūktenānuśūkānāṃ	Ajya tantram aByAtAna antam kRtvA aasmin vasu a iti sUktena anuSUkAnAm
   vrīhīṇāmāvraskajaiḥ kāmpīlaiḥ śṛtaṃ sārūpavatsamodanaṃ sampātyābhimantrya	vrIhINAm Avraska jEH kAmpIlEH SRtam sArUpavat samodanam sampAtya aBimantrya
   rājānamāśayati | abhyātānādyuttaratantram | rāṣṭre ya udvāsitastasyedaṃ	rAjAnam ASayati | aByAtAnAdi uttaratantram | rAzwre yaH udvAsitaH tasya idam
   karma praveśārtham | anena karmaṇā svarāṣṭrapraveśo bhavati | sarvasyāṃ	karma praveSa arTam | anena karmaNA sva rAzwra praveSaH Bavati | sarvasyAm
   marditāyāṃ bhūmau yadā niṣkrānto rājā tadedaṃ karma karoti |	marditAyAm BUmO yadA nizkrAntaH rAjA tadA idam karma karoti |
   rāṣṭrapraveśanakāmaḥ | ānuśūkālanā vrīhayaḥ punarutthitāḥ | chinnāni yāni	rAzwra praveSana kAmaH | AnuSUkAlanAH vrIhayaH punar utTitAH | CinnAni yAni
   punarutthitānyāvraskāni ||	punar utTitAni AvraskAni ||
