   Dharmakīrti: Hetubindu	Dharma kIrti: Hetu bindu
   tadviśeṣopayogastadupayogaiḥ kāryasvabhāvaviśeṣāsaṅkarāt / yathā	tad viSeza upayogaH tad upayogEH kArya svaBAva viSeza asaFkarAt / yaTA
   mṛtpiṇḍakulālasūtrā dibhyo bhavato ghaṭasya mṛtpiṇḍādamṛtsvabhāvebhyo	mRd piNxa kulAla sUtrAH diByaH BavataH Gawasya mRd piNxAt a mRd svaBAveByaH 
   vṛkṣādibhyo bhinnaḥ svabhāvaḥ kulālāttasyaiva mṛdātmanaḥ sataḥ	vRkza AdiByaH BinnaH svaBAvaH kulAlAt tasya eva mRdA AtmanaH sataH
   saṃsthāviśeṣātmatayā tadanyebhyo bhinnaḥ sūtrāttasyaiva mṛtsaṃsthāna	saMsTA viSeza Atma tayA tad anyeByaH BinnaH sUtrAt tasya eva mRd saMsTAna
   viśeṣātmanaḥ cakrādervibhaktaḥ svabhāvo bhavati / tadevaṃ na	viSeza AtmanaH cakra AdeH viBaktaH svaBAvaH Bavati / tat evam na
   kulālānmṛtsvabhāvatāḥ, na mṛdaḥ saṃsthānaviśeṣaḥ / na ca tayoḥ	kulAlAn mRd svaBAvatAH, na mRdaH saMsTAna viSezaH / na ca tayoH
   śāktiviśeṣaviṣayabhede 'pi tajjanitaviśeṣabhedasya kāryasya svabhāvena	SAkti viSeza vizaya Bede api tad janita viSeza Bedasya kAryasya svaBAvena
   bhedaḥ mṛtsaṃsthānayoraparasparātmatayā saṃsthānamṛdrūpābhyāṃ	BedaH mRd saMsTAnayoH aparaspara Atma tayA saMsTAna mRdrUpAByAm
   tayorapratibhāsanaprasaṅgāt /	tayoH apratiBAsana prasaFgAt /
   (2.12) anyadeva saṃsthānaṃ guṇo mṛddravyāt tena bhinnasvabhāvaḥ	(2.12) anyat eva saMsTAnam guNaH mRd dravyAt tena Binna svaBAvaH
   kulālamṛtpiṇḍayorupayogaviśeṣa iti cet / uktamatra / api ca yadi	kulAla mRd piNxayoH upayoga viSezaH iti ced / uktam atra / api ca yadi
   saṃsthānaṃ bhinnaṃ mṛdaḥ kulālaḥ kiṃ na pṛthakkaroti? guṇasya	saMsTAnam Binnam mRdaH kulAlaH kim na pRTakkaroti? guNasya
   dravyaparatantratvāt sa kathaṃ pṛthak kriyeta? tatsaṃsthānādhārātmakaṃ	dravya paratantra tvAt sa kaTam pRTak kriyeta? tad saMsTAna ADAra Atmakam
   yadi svabhāvenaiva tad dravyam, tatsaṃsthānaṃ vā tadādheyātmakaṃ, tadā	yadi svaBAvena eva tat dravyam, tad saMsTAnam vA tad ADeya AtmakaM, tadA
   kimiti kulālavyāpāramapekṣate iti cet / na / tataḥ	kim iti kulAla vyApAram apekzate iti ced / na / tatas 
   parasparasambandhayogyatāpratilambhāt / anyathā mṛtpiṇḍasya svabhāvata eva	paraspara sambanDa yogya tA pratilamBAt / anyaTA mRd piNxasya svaBAvataH eva
   tathāvidhasaṃsthānasambandhayogyatve vastuna eva prāgapi yogyatālakṣaṇā	taTAviDa saMsTAna sambanDa yogya tve vastunaH eva prAk api yogyatA lakzaNA
   dharmatāstīti saṃsthānaviśeṣeṇa sambandhaḥ syāditi / evaṃ tarthi sā	DarmatA asti iti saMsTAna viSezeNa sambanDaH syAt iti / evam tarTi sA
   yogyatā mṛddravyasya kulālād bhavatīti nānayoḥ svabhāvabhedaḥ / bhedehi	yogya tA mRd dravyasya kulAlAt Bavati iti na anayoH svaBAva BedaH / Bedehi
   prāgvat prasajyeta / asti tāvadekasvabhāvatve 'pi	prAgvat prasajyeta / asti tAvat eka svaBAva tve api
   ekasyānekapratyayopādheyaviśeṣateti kiṃ mṛtsaṃsthānayoḥ	ekasya aneka pratyaya upADeya viSeza tA iti kim mRd saMsTAnayoH
   ekasvabhāvatvasādhanāya atinirbandhena /	eka svaBAva tva sADanAya ati nirbanDena /
   (2.13) tena sahakāriṇaḥ pratyayā naikopayogaviṣayāḥ kāryasyaikasvabhāvatve	(2.13) tena sahakAriNaH pratyayAH na eka upayoga vizayAH kAryasya eka svaBAva tve
   'pi vastuta iti yatheha kāraṇabhedo bhinnaviśeṣopayogāt naikakāryaḥ, tathā	api vastutas iti yaTA iha kAraNa BedaH Binna viSeza upayogAt na eka kAryaH, taTA
   cakṣurādibhyo vijñānotpattau utreyaḥ / tathā hi  	cakzuH AdiByaH vijQAna utpattO utreyaH / taTA hi  
   samanantarapratyayādvijñānāccakṣurvijñānasya upalambhātmatā	samanantara pratyayAt vijQAnAt cakzuH vijQAnasya upalamBa Atma tA
   tasyaivopalambhātmanaḥ sataścakṣurindriyādrūpagrahaṇayogyatāpratiniyamaḥ	tasya eva upalamBa AtmanaH sataH cakzuH indriyAt rUpa grahaNa yogya tA pratiniyamaH
   viṣayāttattulyarūpateti abhinnatve 'pi vastutaḥ kāryasya kāraṇānāṃ	vizayAt tad tulya rUpa tA iti aBinna tve api vastutas kAryasya kAraNAnAm
   bhinnebhyaḥ svabhāvebhyo bhinnā eva viśeṣā bhvantīti na kāraṇabhede 'pi	BinneByaH svaBAveByaH BinnAH eva viSezAH Bvanti iti na kAraNa Bede api
   abhedastatkāryaviśeṣasya / ta evaite kāraṇaśaktibhedā yathāsvaṃ	aBedaH tad kArya viSezasya / te eva ete kAraNa Sakti BedAH yaTAsvam
   prativiśiṣṭakāryajanane 'vyavadheyaśaktitayā pratyupasthitāḥ	prativiSizwa kArya janane avyavaDeya Sakti tayA pratyupasTitAH
   kṣaṇikatvātsāmagrīkāryasya svabhāvasthityāśrayaityucyante / tathāhi	kzaNika tvAt sAmagrI kAryasya svaBAva sTiti ASrayA eti ucyante / taTA hi
   tattebhyaḥ samastebhyaḥ upalambhātmakaṃ rūpagrahaṇaṃ pratiniyataṃ	tat teByaH samasteByaH upalamBa Atmakam rUpa grahaNam pratiniyatam
   viṣayarūpaṃ ceti prativiśiṣṭasvabhāvamekameva jātam /	vizaya rUpam ca iti prativiSizwa svaBAvam ekam eva jAtam /
   (2.14) apratirodhaśaktikeṣu anantarakāryeṣu anādheyaviśeṣeṇu kṣaṇikeṣu	(2.14) apratiroDa Saktikezu anantara kAryezu anADeya viSezeNu kzaNikezu
   pratyayeṣu parasparaṃ kaḥ sahakārārthaḥ? na vai sarvatrātiśayotpādanaṃ	pratyayezu parasparam kaH sahakAra arTaH? na vE sarvatra atiSaya utpAdanam
   sahakriyā kā tarhi? ekārthakaraṇaṃ yad bahūnāmapi / yathāntyasya	sahakriyA kA tarhi? eka arTa karaNam yat bahUnAm api / yaTA antyasya
   kāraṇakalāpasya / tadeva mukhyaṃ sahakāritvaṃ sahakāriṇāṃ, tasyaivāntyasya	kAraNa kalApasya / tat eva muKyam sahakAri tvam sahakAriNAM, tasya eva antyasya
   kāraṇatvāt / tatra ca kṣaṇe ekasya svabhāvasyāvivekād viśeṣasya	kAraNa tvAt / tatra ca kzaNe ekasya svaBAvasya avivekAt viSezasya
   kartumaśakyatvāt, svabhāvāntarotpattilakṣaṇatvād viśeṣotpatteḥ /	kartum aSakyatvAt, svaBAva antara utpatti lakzaNa tvAt viSeza utpatteH /
   bhāvāntarajanane 'ntyatvameva hīyeta / tataśca na sākṣātkāraṇaṃ syāt /	BAva antara janane antya tvam eva hIyeta / tatas ca na sAkzAt kAraNam syAt /
   tasmānna kāraṇasya sahakāribhyo viśeṣasyotpattiḥ / te samarthā eva	tasmAt na kAraNasya saha kAriByaH viSezasya utpattiH / te samarTAH eva
   svabhāvato 'ntyāḥ pratyayāḥ saha jāyante kṣaṇikā yeṣāṃ	svaBAvataH antyAH pratyayAH saha jAyante kzaNikAH yezAm
   prākpaścātpṛthagbhāvo nāsti, yebhyaścānantarameva kāryamutpadyate / tatra	prAk paScAt pRTak BAvaH nAsti, yeByaH ca anantaram eva kAryam utpadyate / tatra
   ekārthakriyaiva sahakāritvam /	eka arTa kriyA eva sahakAri tvam /
   (2.15) samarthaḥ kuto jāyata iti cet / svakāraṇebhyaḥ / tāni	(2.15) samarTaH kutas jAyate iti ced / sva kAraNeByaH / tAni
   enamaparasannidhāna evaṃ kiṃ janayanti? kadācidanyathāpi syuḥ tataścaiko	enam apara sanniDAnaH evam kim janayanti? kadAcid anyaTA api syuH tatas ca eko
   'pi kvacit janayed iti cet / aparāpara pratyayayogena pratikṣaṇaṃ	api kvacid janayet iti ced / aparApara pratyaya yogena pratikzaNam
   bhinnaśaktayaḥ saṃskārāḥ santanvanto yadyapi kutaścitsāmyātsarūpāḥ	Binna SaktayaH saMskArAH santanvantaH yadi api kutaScid sAmyAt sa rUpAH
   pratīyante tathāpi bhitra evaiṣāṃ svabhāvaḥ / tena kiñcideva kasyacit	pratIyante taTA api Bitre eva ezAm svaBAvaH / tena kiQcid eva kasyacid 
   kāraṇam /	kAraNam /
   tatra yo 'vyavadhanādideśo rūpendriyādikalāpaḥ sa vijñānajanane samartho	tatra yaH avyavaDana Adi deSaH rUpa indriya Adi kalApaH sa vijQAna janane samarTaH 
   hetuḥ / yasteṣāṃ parasparopasarpaṇādyāśrayaḥ pratyayaviśeṣaḥ sa	hetuH / yaH tezAm paraspara upasarpaNa Adi ASrayaH pratyaya viSezaH sa
   taddhetujanane samarthaḥ teṣāṃ ca na pūrvaṃ na paścātra pṛthagbhāva iti	tad hetu janane samarTaH tezAm ca na pUrvam na paSca atra pRTak BAvaH iti
   samarthānapi pūrvāparapṛthagbhāvbhāvino doṣā nopalīyante / tena yasteṣāṃ	samarTAn api pUrva apara pRTak BAvBAvinaH dozAH na upalIyante / tena yaH tezAm
   parasparopasarpaṇādihetuḥ sa samarthasya heturiti tatra na	paraspara upasarpaNa Adi hetuH sa samarTasya hetuH iti tatra na
   kadācidanyathābhāvaḥ /	kadAcid anyaTA BAvaH /
   (2.16) anena nyāyena sarvatra hetuphalabhāvapratiniyamo draṣṭavyaḥ	(2.16) anena nyAyena sarvatra hetu Pala BAva pratiniyamaH drazwavyaH
   pratikṣaṇamanyānyasvabhāvabhedānvayinīṣu śaktiṣu, na tu	pratikzaNam anyAnya svaBAva Beda anvayinIzu Saktizu, na tu
   sthiraikasvabhāveṣu bhāveṣu svabhāvasyānyathātvāsaṃbhavāt /	sTira eka svaBAvezu BAvezu svaBAvasya anyaTAtva asaMBavAt /
   samarthāsamarthasvabhāvayoḥ kriyākriyānupapatteḥ / anyasahitaḥ karoti na	samarTa asamarTa svaBAvayoH kriyA kriyA anupapatteH / anya sahitaH karoti na
   kevala iti cet / kiṃ kevalasya kāryajanane 'samarthaḥ svabhāvaḥ? samartha	kevalaH iti ced / kim kevalasya kArya janane asamarTaH svaBAvaH? samarTa
   iti cet / kiṃ na karoti? akurvan kathaṃ samarthaḥ? kuvindādayaḥ	iti ced / kim na karoti? akurvan kaTam samarTaH? kuvinda AdayaH
   paṭādikriyāyāṃ samarthā api na sarvatra kurvantīti cet / krīḍanaśīlo	pawa Adi kriyAyAm samarTAH api na sarvatra kurvanti iti ced / krIxana SIlaH 
   devānāṃ priyaḥ sukhaidhitaḥ kṛtamapi punaḥ punaḥ kārayati, tathāhi	devAnAm priyaH suKa eDitaH kRtam api punar punar kArayati, taTA hi
   bījādivad ityanena nirloṭhitameva / tasmātsvabhāvasyānyathātvāsambhavāt	bIja Adi vat iti anena nirloWitam eva / tasmAt svaBAvasya anyaTAtvA asamBavAt 
   taddharmaṇaḥ tathābhāvaḥ antyāvasthāvadanivāryaḥ /	tad DarmaNaH taTA aBAvaH antya avasTA vat anivAryaH /
   antyāvasthāyāṃ prāgasamarthasya sāmarthyotpattau tasya sāmarthyasya	antya avasTAyAm prAc asamarTasya sAmarTya utpattO tasya sAmarTyasya
   tatsvabhāvatve 'pūrvotpattirevasā / atatsvabhāvatve saḥ akāraka eva	tad svaBAva tve apUrva utpattiH evasA / atad svaBAva tve saH akArakaH eva
   sāmarthyākhyātpadārthāntarāt kāryotpattyabhyupagamāt /	sAmarTya AKyAt padArTa antarAt kArya utpatti aByupagamAt /
   (2.17) api ca yo 'sau sakaleṣu sahakāriṣu karoti sa tadaiva kasmāt karoti	(2.17) api ca yaH asO sakalezu sahakArizu karoti sa tadA eva kasmAt karoti
   / ? kurvan dṛṣṭastena karotīti brūmaḥ / aho mahāsāmarthyaṃ mahāprabhāvasya	/ ? kurvan dRzwaH tena karoti iti brUmaH / aho mahA sAmarTyam mahA praBAvasya
   darśanaṃ yasmādatatsvabhāvān api bhāvān svabhāvamātreṇa nānāprakāreṣu	darSanam yasmAt atad svaBAvAn api BAvAn svaBAva mAtreNa nAnA prakArezu
   vyāpāreṣu niyuṅkte / yadi nāma kiñcit kathañcidatrabhavato	vyApArezu niyuFkte / yadi nAma kiQcid kaTaQcid atra BavataH 
   darśanaviṣayatām atikrāmet, hanta aprasavadharmakamapetasantānaṃ	darSana vizaya tAm atikrAmet, hanta aprasava Darma kamapeta santAnam
   syaditīyaṃ cintā cittaṃ dunoti /	syaditIyam cintA cittam dunoti /
   na vai vayam atatsvabhāvānāṃ bhāvānām asmaddarśanavaśāt kāryakriyāṃ brūmaḥ	na vE vayam atad svaBAvAnAm BAvAnAm asmad darSana vaSAt kArya kriyAm brUmaH
   kintu svabhāvenaiva te kāryakāraṇadharmāḥ, tān paśyantaḥ kevalaṃ jānīmahe	kintu svaBAvena eva te kArya kAraNa DarmAH, tAn paSyantaH kevalam jAnImahe
   te ete kārakasvabhāvā iti /	te ete kAraka svaBAvAH iti /
   (2.18) satyam idamapyasti, svabhāvasteṣāṃ kāryakriyādharmā tena	(2.18) satyam idam api asti, svaBAvaH tezAm kArya kriyA DarmA tena
   samastapratyayānāmakṛtvā kāryaṃ nopekṣāpattiriti / so 'kṣepakriyādharmā	samasta pratyayAnAm akRtvA kAryam na upekzApattiH iti / saH akzepa kriyA DarmA
   svabhāvaḥ kiṃ teṣāṃ tadaivāntyāvasthāyāmutpanna āhosvit prāgapyāsīt? āsīt,	svaBAvaH kim tezAm tadA eva antya avasTAyAm utpannaH Ahosvit prAk api AsIt? AsIt ,
   apracyutā nutpatrasthiraikasvabhāvānā kadācit	apracyutA nutpatra sTira eka svaBAvAnA kadAcid 
   kasyacitsvabhāvasyābhāvavirodhāt / tatkimidānīṃ mātā ca vandhyā ca asti?	kasyacid svaBAvasya aBAva viroDAt / tat kim idAnIm mAtA ca vanDyA ca asti?
   ko vāsya bhāṣitasyārthaḥ  akṣepakriyāsvabhāvaḥ kāryaṃ ca na karotīti /	kaH vA asya BAzitasya arTaH akzepa kriyA svaBAvaH kAryam ca na karoti iti /
   (2.19) sahitaḥ svakāryajananasvabhāvaḥ na kevala iti cet / anyastarhi	(2.19) sahitaH sva kArya janana svaBAvaH na kevalaH iti ced / anyaH tarhi
   kevalo 'nyaśca sahitaḥ svabhāvabhedāt / svabhāvabheda eva hi bhāvabhedasya	kevalaH anyaH ca sahitaH svaBAva BedAt / svaBAva BedaH eva hi BAva Bedasya
   lakṣaṇam / na hi sa sāhitye 'pi pararūpeṇa kartā syāt / svarūpaṃ ca tasya	lakzaNam / na hi sa sAhitye api para rUpeNa kartA syAt / svarUpam ca tasya
   prāgapi tadeveti kathaṃ kadacit kriyāvirāmaḥ /	prAk api tat eva iti kaTam kadacid kriyA virAmaH /
   yasyāpi bhāvah kṣaṇikaḥ tasyāpi kasmāt kevalo na karoti? yadi bhavet	yasya api BAvah kzaNikaH tasya api kasmAt kevalaH na karoti? yadi Bavet 
   kuryādeva / kathaṃ na bhavati? kṣaṇikatvāt / uktaṃ yādṛśasya kriyā / sa	kuryAt eva / kaTam na Bavati? kzaNika tvAt / uktam yAdRSasya kriyA / sa
   kathamekakṣaṇabhāvī anyathā bhavet? yaśca bhavati sa eva na bhavatīti	kaTam eka kzaNa BAvI anyaTA Bavet? yaH ca Bavati saH eva na Bavati iti
   nāyaṃ prasaṅgaḥ kārakākārakayoḥ svabhāvataddhetvorvirodhāt /	na ayam prasaFgaH kAraka AkArakayoH svaBAvatad hetvoH viroDAt /
   (2.20) yo 'pi manyate  akṣepakriyādharmaiva sa tasya svabhāvaḥ, na sa	(2.20) yaH api manyate akzepa kriyA DarmA eva sa tasya svaBAvaH, na sa
   sāhityamapekṣate, kāryaṃ tu pratyayāntarāpekṣamiti sahitebhya eva jāyate	sAhityam apekzate, kAryam tu pratyaya antara apekzam iti sahiteByaH eva jAyate
   na kevalebhya iti, tasyāpi kathaṃ  sa bhāvaḥ kevalo 'pi karotyeva? kāryaṃ	na kevaleByaH iti, tasya api kaTaM sa BAvaH kevalaH api karoti eva? kAryam
   ca tasmātrotpadyate iti tadavastho virodhaḥ / na kevalaḥ karotyeveti cet /	ca tasmAtra utpadyate iti tad avasTaH viroDaH / na kevalaH karoti eva iti ced /
   kathamidānīmakṣepakriyāsvabhāvaḥ / nanu etadeva paridīpitaṃ bhavati,	kaTam idAnIm akzepa kriyA svaBAvaH / nanu etat eva paridIpitam Bavati,
   karotyeveti / kāryaṃ cāyaṃ kevalo 'pi samarthaḥ san paramapekṣamāṇaṃ	karoti eva iti / kAryam ca ayam kevalaH api samarTaH san param apekzamANam
   kathamupekṣeta? paramanādṛtyaitat prasahya kuryāt / evaṃ hi anenātmanaḥ	kaTam upekzeta? param anAdRtya etat prasahya kuryAt / evam hi anena AtmanaH
   sāmarthyaṃ darśitaṃ bhavati / kāryaṃ paramapekṣata iti tataḥ kevalād	sAmarTyam darSitam Bavati / kAryam param apekzate iti tatas kevalAt 
   anutpattimasya kathayasi sa kevalo 'pi samarthasvabhāva iti tataḥ utpattiṃ	anutpattim asya kaTayasi sa kevalaH api samarTa svaBAvaH iti tatas utpattim
   brūṣe, ete ca kathamevatraṃ syātām? tadayamīrṣyāśalyavitudyamānamarmā	brUze, ete ca kaTam evatram syAtAm? tad ayam IrzyA Salya vitudyamAna marmA
   viklavaṃ vikrośatītyupekṣāmevārhati / tasmādidamekārthakriyālakṣaṇaṃ	viklavam vikroSati iti upekzAm eva arhati / tasmAt idam eka arTa kriyA lakzaNam
   sahakāritvaṃ kṣaṇikānāmeva bhāvānām / na tu akṣaṇikānāṃ yeṣāṃ pṛthagapi	sahakAri tvam kzaNikAnAm eva BAvAnAm / na tu akzaNikAnAm yezAm pRTak api
   bhāvaḥ sambhavati pṛthak kāryakaraṇasambhavena sahakāritvaniyamāyogāt /	BAvaH samBavati pRTak kArya karaNa samBavena sahakAri tva niyama ayogAt /
   (2.21) yatra tu santānopakāreṇa bhāvāḥ hetutāṃ pratipadyante, yathā	(2.21) yatra tu santAna upakAreNa BAvAH hetu tAm pratipadyante, yaTA
   taṇḍulabījādibhya odanāṅkurādijanmani dahanodakapṛthivyādayaḥ, tatra	taNxula bIja AdiByaH odana aFkura Adi janmani dahana udaka pRTivI AdayaH, tatra
   santānāśrayeṇa viśeṣotpādanaṃ pratyayānāṃ sahakriyocyate na dravyāśrayeṇa,	santAna ASrayeNa viSeza utpAdanam pratyayAnAm sahakriyA ucyate na dravya ASrayeNa,
   kṣaṇike dravye viśeṣasyānutpatteḥ / nahi taṇḍulādīnāṃ viśeṣānutpattau	kzaNike dravye viSezasya anutpatteH / na hi taNxula AdInAm viSeza anutpattO
   dahanādibhāve 'pi odanajanma syāt / tathā prabhāsvarādapavarakaṃ	dahana Adi BAve api odana janma syAt / taTA praBAsvarAda pavarakam
   praviṣṭasya yadīndriyaṃ svopakāribhyo 'tiśayaṃ krameṇa na pratipadyeta	pravizwasya yadi indriyam sva upakAriByaH atiSayam krameNa na pratipadyeta
   tadā prāgivārthapratilpattiṃ naiva janayet /	tadA prAk iva arTa pratilpattim na eva janayet /
   akṣepakāriṣu indriyādiṣu na viśeṣotpattiḥ parasparataḥ sambhavati / tatra	akzepa kArizu indriya Adizu na viSeza utpattiH parasparataH samBavati / tatra
   yathāsvaṃ pratyayaiḥ parasparopasarpaṇādyāśrayairye yogyadeśādyavasthā	yaTAsvam pratyayEH paraspara upasarpaNa Adi ASrayEH ye yogya deSa Adi avasTA
   jātāste saha svabhāvaniṣpattyā jñānahetutāṃ pratipadyante	jAtAH te saha svaBAva nizpattyA jQAna hetu tAm pratipadyante
   ityekārthakriyaiva sahakāritvam /	iti eka arTa kriyA eva sahakAri tvam /
   (2.22) yatra tu viśeṣamutpādayantaḥ sahakāriṇaḥ pratyayāḥ tatra	(2.22) yatra tu viSezam utpAdayantaH sahakAriNaH pratyayAH tatra
   hetusantānaḥ pratyayāntarāṇyapekṣata iti tataḥ svabhāvāntarasya	hetu santAnaH pratyaya antarANi apekzate iti tatas svaBAva antarasya
   pratilambhaḥ / tatra svarasataḥ hetupratyayānāṃ pūrvopanipātakṣaṇānāṃ	pratilamBaH / tatra svarasataH hetu pratyayAnAm pUrva upanipAta kzaNAnAm
   nivṛttau tebhya eva viśiṣṭakṣaṇotpattirevaṃ krameṇa yāvadatyantātiśayavato	nivRttO teByaH eva viSizwa kzaNa utpattiH evam krameNa yAvat atyanta atiSayavataH 
   'ntyakāraṇakalāpāt kāryotpattiḥ /	antya kAraNa kalApAt kArya utpattiH /
   (2.23) sahakāriṇaḥ samutpatraviśeṣātkāraṇātkāryotpattau tasyaiva	(2.23) sahakAriNaH samutpatra viSezAt kAraNAt kAryA utpattO tasya eva
   viśeṣasyotpattirna syāt / aviśiṣṭādviśeṣotpattau kāryasyāpi syāt / tataśca	viSezasya utpattiH na syAt / aviSizwAt viSeza utpattO kAryasya api syAt / tatas ca
   parasparaviśeṣotpādānapekṣiṇa eva sahakāriṇaḥ kāryaṃ kurvīran /	paraspara viSeza utpAda anapekziNaH eva sahakAriNaH kAryam kurvIran /
   tenākṣaṇikānāmapi sahakārisāpekṣāṇāṃ kāraṇatā syāt / apekṣaṇīyebhyaḥ	tena akzaNikAnAm api sahakAri sApekzANAm kAraNa tA syAt / apekzaNIyeByaH
   svabhāvātiśayotpattiśca na syāt /	svaBAva atiSaya utpattiH ca na syAt /
   atha sahakāriṇā kāryotpādānuguṇaviśeṣajananāya kṛtaviśeṣa evopattiṣṭheta /	aTa sahakAriNA kArya utpAda anuguNa viSeza jananAya kRta viSezaH eva upattizWeta /
   evaṃ satyanavasthā syāt / na ca sahakāriṇaḥ	evam sati anavasTA syAt / na ca sahakAriNaH
   parasparakāryotpādānuguṇaviśeṣotpādane nityaṃ yogyāvasthāḥ, yena	paraspara kArya utpAda anuguNa viSeza utpAdane nityam yogyA avasTAH, yena
   nityānuṣakta eṣāṃ viśeṣaḥ syāt / tadupāyāpāyayoḥ	nitya anuzaktaH ezAm viSezaH syAt / tad upAya apAyayoH
   kāryasyotpattyanutpattidarśanāt / tenādyo viśeṣaḥ sahakāribhyo	kAryasya utpatti anutpatti darSanAt / tena AdyaH viSezaH saha kAriByaH 
   nirupakārasya notpadyata iti cet / nāsmākaṃ punaḥ punarabhidhāne 'pi	nirupakArasya na utpadyate iti ced / na asmAkam punar punar aBiDAne api
   kaścidudvego bhavati yadyevamapi lokasya nyāyapratītirbhavati / hanta	kaScid udvegaH Bavati yadi evam api lokasya nyAya pratItiH Bavati / hanta
   tarhi ucyatām / na viśeṣotpādanāt sahakāriṇāṃ sahakāritvaṃ paramārthataḥ	tarhi ucyatAm / na viSeza utpAdanAt sahakAriNAm sahakAri tvam paramArTataH
   sambhavati / yataḥ tadabhāvādviśeṣe kartavye sahakāritāvirahaḥ syāt /	samBavati / yatas tad aBAvAt viSeze kartavye saha kAritA virahaH syAt /
   (2.24) atha kathamekārthakriyāpi bhavet sāpi na bhavet parasparato	(2.24) aTa kaTam ekArTa kriyA api Bavet sA api na Bavet parasparataH 
   viśeṣarahitānām / atha bhavet, pṛthagapi sā bhavet / tathāca, tasmād	viSeza rahitAnAm / aTa Bavet, pRTak api sA Bavet / taTA ca, tasmAt 
   viśeṣād bhavanaśīlaṃ kāryamapi kevalāt syāditi cet / atroktamuttaraṃ	viSezAt Bavana SIlam kAryam api kevalAt syAt iti ced / atra uktam uttaram
   pratikṣaṇamaparāparaiḥ pratyayaiḥ yathā bhāvasantāne viśeṣasyotpattiḥ,	pratikzaNam apara aparEH pratyayEH yaTA BAva santAne viSezasya utpattiH,
   yogyadeśatādyavasthāviśeṣāḥ kāryakaraṇaśīlāḥ, teṣāṃ ca yata utpattiḥ,	yogya deSa tA Adi avasTA viSezAH kArya karaNa SIlAH, tezAm ca yatas utpattiH,
   pratyekaṃ ca sāmarthye 'pi kevalānāmakriyā, kartṛviśeṣasya pṛthagekaikasya	pratyekam ca sAmarTye api kevalAnAm akriyA, kartR viSezasya pRTak ekEkasya
   bhāvasyābhāvāt / kāryadvaividhyaṃ ca sahakāribhiḥ	BAvasya aBAvAt / kArya dvEviDyam ca saha kAriBiH
   akṣepakārindriyavijñānavacca kāryakāraṇayoḥ svabhāvabhedāditi sarvamuktam	akzepakArindriya vijQAna vat ca kArya kAraNayoH svaBAva BedAt iti sarva m uktam
   (2.25) tatra sahakāribhyaḥ santānopakārāpekṣakāraṇakāryajanmani	(2.25) tatra sahakAriByaH santAna upakAra apekza kAraNa kArya janmani
   sahakāriṇāmādyo viśeṣaḥ sahakārikṛtaviśeṣajanmā na bhavati,	saha kAriNAm AdyaH viSezaH sahakAri kRta viSeza janmA na Bavati,
   anantarakāryavat, tataḥ ye viśeṣā jāyante te tajjanmānaḥ tatprakṛtitvāditi	anantara kAryavat, tatas ye viSezAH jAyante te tad janmAnaH tad prakRti tvAt iti
   nānavasthā / tathā yadyakṣaṇiko 'pi bhāvaḥ kārya karoti, karotu nāma, sa	na anavasTA / taTA yat yakzaNikaH api BAvaH kArya karoti, karotu nAma, sa
   yadi akṣepakartṛdharmā, tadā pṛthagbhāvasya sambhavātkevalo 'pi tathā syād	yadi akzepa kartR DarmA, tadA pRTak BAvasya samBavAt kevalaH api taTA syAt 
   ityuktam / atatsvabhāvastu tadāpyakāraka eva /	iti uktam / atatsvaBAvaH tu tadA api akArakaH eva /
   tasmādakṣaṇikānāṃ kāraṇānām ekārthakriyayā na kaścit sahakāritvaniyamaḥ /	tasmAt akzaNikAnAm kAraNAnAm eka arTa kriyayA na kaScid sahakAri tva niyamaH /
   nāpi santatyopakāreṇeti na tasya kaścitsahakārīti kevalo 'pi kuryāt /	na api santatya upakAreNa iti na tasya kaScid sahakArI iti kevalaH api kuryAt /
   prāyastu saṃghātasthāyī bhāvasantānaḥ sahakāripratyayairupajanitaviśeṣaḥ	prAyas tu saMGAta sTAyI BAva santAnaH sahakAri pratyayEH upajanita viSezaH
   svakāryaṃ kurvan dṛṣṭo bījādivat / tatsthirahetuvādino hetoḥ	sva kAryam kurvan dRzwaH bIja Adi vat / tad sTira hetuvAdinaH hetoH
   pratyayāntarāpekṣakārakasya vyaktaṃ svabhāvāntarasyotpattiḥ /	pratyaya antara apekza kArakasya vyaktam svaBAva antarasya utpattiH /
   kārakasvabhāvasya prāgapi sattve 'kriyā na yujyate /	kAraka svaBAvasya prAk api sattve akriyA na yujyate /
   (2.26) tasmādyo yadātmā sa svasattāmātreṇa tādṛśo bhavati na bhūtvā	(2.26) tasmAt yaH yadAtmA sa sva sattA mAtreNa tAdRSaH Bavati na BUtvA
   tadbhāve parābhisaṃskāramapekṣata iti svabhāvato 'sthitidharmaṇo bhāvasya	tad BAve para aBisaMskAram apekzate iti svaBAvataH asTiti DarmaNaH BAvasya
   na kiñcitrāśakāraṇaiḥ / sthitidharmaṇo 'pi bhāvasya na nāśakāraṇaiḥ kiñcit	na kiQcitra ASa kAraNEH / sTiti DarmaNaH api BAvasya na nASa kAraNEH kiQcid 
   svabhāvānyathātvasya kenacit kartumaśakyatvāt / tadanyathātvapratipattau	svaBAvAnyaTAtvasya kenacid kartum aSakyatvAt / tad anyaTAtva pratipattO
   sa tatsvabhāva eva na syāditi pūrva eva vikalpaḥ syāt / tatra ca	sa tad svaBAvaH eva na syAt iti pUrvaH eva vikalpaH syAt / tatra ca
