   akāmataḥ kāmacāre Yj_2.162c	akAmatas kAmacAre Yt-_2.162c
   kālakarmātmabījānāṃ Yj_3.163a	kAla-karma-Atma-bIjAnAm Yt-_3.163a
   kālaṃ balam athāpi vā Yj_1.368b	kAlam balam aTa-api vA Yt-_1.368b
   kālāt puruṣakārataḥ Yj_1.350b	kAlAt puruzakArataH Yt-_1.350b
   kālād gokramaṇāt tathā Yj_1.188b	kAlAt go-kramaNAt taTA Yt-_1.188b
   kāle kālakṛto naśyet Yj_2.58c	kAle kAla-kRtaH naSyet Yt-_2.58c
   kālenānena śudhyati Yj_3.262d	kAlena-anena SuDyati Yt-_3.262d
   kālo 'gniḥ karma mṛd vāyur Yj_3.31a	kAlaH agniH karma mRd vAyuH Yt-_3.31a
   kālo 'nyatrecchayā smṛtaḥ Yj_2.12d	kAlaH anyatra-icCayA smRtaH Yt-_2.12d
   kālaupanāyanikaḥ paraḥ Yj_1.37d	kAla-OpanAyanikaH paraH Yt-_1.37d
   kāṣāyavāsasaś caiva Yj_1.273a	kAzAya-vAsasaH ca-eva Yt-_1.273a
   kāṣṭhaloṣṭeṣupāṣāṇa- Yj_2.298c	kAzWa-lozwa-izu-pAzANa Yt-_2.298c
   kāṣṭhavalkalavāsasām Yj_2.246b	kAzWa-valkala-vAsasAm Yt-_2.246b
   kāṃsyāt kāryā grahāḥ kramāt Yj_1.297d	kAMsyAt kAryAH grahAH kramAt Yt-_1.297d
   kilbiṣaṃ yasya tasya tat Yj_2.36d	kilbizam yasya tasya tat Yt-_2.36d
   kiṃcit sāsthivadhe deyaṃ Yj_3.275c	kiMcid sa-asTi-vaDe deyam Yt-_3.275c
   kiṃcid dattvā pṛthak kriyā Yj_2.116b	kiMcid dattvA pRTak kriyA Yt-_2.116b
   kīrtilokavināśanam Yj_1.357b	kIrti-loka-vinASanam Yt-_1.357b
   kuñjarāṇāṃ ca hāriṇaḥ Yj_2.273b	kuQjarANAm ca hAriNaH Yt-_2.273b
   kuṇḍāśī vṛṣalātmajaḥ Yj_1.224b	kuNxASI vRzala-AtmajaH Yt-_1.224b
   kunakhī śyāvadantakaḥ Yj_1.222d	kunaKI SyAva-dantakaH Yt-_1.222d
   kupyaṃ gā apy ajāvikam Yj_1.267b	kupyam gAH api ajAvikam Yt-_1.267b
   kubandhena pravāsayet Yj_2.294b	kubanDena pravAsayet Yt-_2.294b
   kumārī ca na bhartāram Yj_1.275c	kumArI ca na BartAram Yt-_1.275c
   kumbhakāro yathā ghaṭam Yj_3.146b	kumBakAraH yaTA Gawam Yt-_3.146b
   kumbhīpākaṃ tathaiva ca Yj_3.224b	kumBIpAkam taTA-eva ca Yt-_3.224b
   kuraraṃ rajjudālakam Yj_1.174b	kuraram rajjudAlakam Yt-_1.174b
   kuruṣvety abhyanujñāto Yj_1.236c	kuruzva-iti aByanujQAtaH Yt-_1.236c
   kuryāc chvaśurayoḥ pāda- Yj_1.83c	kuryAt SvaSurayoH pAda Yt-_1.83c
   kuryāt triṣavaṇasnāyī Yj_3.325a	kuryAt trizavaNa-snAyI Yt-_3.325a
   kuryāt pātracatuṣṭayam Yj_1.253b	kuryAt pAtra-catuzwayam Yt-_1.253b
   kuryāt pratyabhiyogaṃ ca Yj_2.10a	kuryAt pratyaBiyogam ca Yt-_2.10a
   kuryāt pradakṣiṇaṃ deva- Yj_1.133c	kuryAt pradakziNam deva Yt-_1.133c
   kuryāt saṃvatsarād api Yj_1.308Ab	kuryAt saMvatsarAt api Yt-_1.308a-ab
   kuryād arghyādi pūrvavat Yj_1.234d	kuryAt arGya-Adi pUrvavat Yt-_1.234d
   kuryād yathāsya na viduḥ Yj_1.344c	kuryAt yaTA-asya na viduH Yt-_1.344c
   kuryān mūtrapurīṣe ca Yj_1.16c	kuryAt mUtra-purIze ca Yt-_1.16c
   kurvan kāṣṭhādibhir naraḥ Yj_2.218b	kurvan kAzWa-AdiBiH naraH Yt-_2.218b
   kurvan ṣaḍbhāgadaṇḍabhāk Yj_2.258d	kurvan zaz-BAga-daNxa-BAj Yt-_2.258d
   kurvan siddhim avāpnuyāt Yj_1.294d	kurvan sidDim avApnuyAt Yt-_1.294d
   kurvīta pratyahaṃ gṛhī Yj_1.97b	kurvIta pratyaham gRhI Yt-_1.97b
   kulamitrārdhasīriṇaḥ Yj_1.166b	kula-mitra-arDa-sIriNaH Yt-_1.166b
   kulāni jātīḥ śreṇīś ca Yj_1.361a	kulAni jAtIH SreNIH ca Yt-_1.361a
   kulīnaḥ satyavāk śuciḥ Yj_1.309d	kulInaH satya-vAc SuciH Yt-_1.309d
   kulīnāḥ satyavādinaḥ Yj_2.68b	kulInAH satya-vAdinaH Yt-_2.68b
   kule nyasyādhim āpnuyāt Yj_2.62d	kule nyasya-ADim ApnuyAt Yt-_2.62d
   kule mahati bhoginaḥ Yj_3.218b	kule mahati BoginaH Yt-_3.218b
   kuśān āstīrya sarvataḥ Yj_1.286d	kuSAn AstIrya sarvatas Yt-_1.286d
   kuśāś ca samidhaḥ kramāt Yj_1.302d	kuSAH ca samiDaH kramAt Yt-_1.302d
   kuśāḥ śākaṃ payo matsyā Yj_1.214a	kuSAH SAkam payaH matsyAH Yt-_1.214a
   kuśūlakumbhīdhānyo vā Yj_1.128a	kuSUla-kumBIDAnyaH vE Yt-_1.128a
   kusīdakṛṣivāṇijya- Yj_1.119c	kusIda-kRzi-vANijya Yt-_1.119c
   kusīdaṃ śakaṭaṃ giriḥ Yj_3.42b	kusIdam Sakawam giriH Yt-_3.42b
   kūṭakṛt sākṣiṇas tathā Yj_2.81b	kUwa-kRt sAkziNaH taTA Yt-_2.81b
   kūṭakṛdvikalendriyāḥ Yj_2.70d	kUwa-kRt-vikala-indriyAH Yt-_2.70d
   kūṭakṛnnāṇakasya ca Yj_2.240b	kUwa-kRt-nANakasya ca Yt-_2.240b
   kūṭacihnakṛto bhayāt Yj_2.212d	kUwa-cihna-kRtaH BayAt Yt-_2.212d
   kūṭasvarṇavyavahārī Yj_2.297a	kUwa-svarNa-vyavahArI Yt-_2.297a
   kūṭaṃ yaś cāpy akūṭakam Yj_2.241b	kUwam yaH ca-api akUwakam Yt-_2.241b
   kūṭākṣopadhidevinaḥ Yj_2.202d	kUwa-akza-upaDi-devinaH Yt-_2.202d
   kūṭāḥ syuḥ pūrvasākṣiṇaḥ Yj_2.80d	kUwAH syuH pUrva-sAkziNaH Yt-_2.80d
   kūśmāṇḍo rājaputraś cety Yj_1.285c	kUSmANxaH rAja-putraH ca-iti Yt-_1.285c
   kūṣmāṇḍībhir ghṛtaṃ śuciḥ Yj_3.303b	kUzmANxIBiH GRtam SuciH Yt-_3.303b
   kṛcchrakṛd dharmakāmas tu Yj_3.327a	kRcCra-kRt Darma-kAmaH tu Yt-_3.327a
   kṛcchratrayaṃ guruḥ kuryān Yj_3.283c	kRcCra-trayam guruH kuryAn Yd-_3.283c
   kṛcchraṃ cāndrāyaṇaṃ tathā Yj_3.325b	kRcCram cAndrAyaNam taTA Yt-_3.325b
   kṛcchraṃ caivātikṛcchraṃ ca Yj_3.264a	kRcCram ca-eva-atikRcCram ca Yt-_3.264a
   kṛcchraṃ vā pādikaṃ caret Yj_3.270d	kRcCram vA pAdikam caret Yt-_3.270d
   kṛcchraṃ sāntapanaṃ caret Yj_3.314d	kRcCram sAntapanam caret Yt-_3.314d
   kṛcchraḥ śeṣavratāni ca Yj_3.282d	kRcCraH Seza-vratAni ca Yt-_3.282d
   kṛcchraḥ saumyo 'yam ucyate Yj_3.321d	kRcCraH sOmyaH ayam ucyate Yt-_3.321d
   kṛcchrātikṛcchraḥ payasā Yj_3.320a	kRcCrAtikRcCraH payasA Yt-_3.320a
   kṛcchrātikṛcchro 'sṛkpāte Yj_3.292c	kRcCrAtikRcCraH asRk-pAte Yt-_3.292c
   kṛcchrair vā vartayet sadā Yj_3.50b	kRcCrEH vA vartayet sadA Yt-_3.50b
   kṛcchro 'bhyantaraśoṇite Yj_3.292d	kRcCraH aByantara-SoNite Yt-_3.292d
   kṛtakāryān visarjayet Yj_2.189b	kRta-kAryAn visarjayet Yt-_2.189b
   kṛtakālaṃ guror gṛhe Yj_2.184b	kRta-kAlam guroH gRhe Yt-_2.184b
   kṛtaghnavadhajīvinām Yj_1.164b	kRtaGna-vaDa-jIvinAm Yt-_1.164b
   kṛtaghnasahitān imān Yj_3.298d	kRtaGna-sahitAn imAn Yt-_3.298d
   kṛtajñādrohimedhāvi- Yj_1.28a	kRtajQA-drohi-meDAvi Yt-_1.28a
   kṛtajño vṛddhasevakaḥ Yj_1.309b	kRtajQaH vRdDa-sevakaH Yt-_1.309b
   kṛtam āśvayuje tyajet Yj_3.47d	kRtam ASvayuje tyajet Yt-_3.47d
   kṛtarakṣaḥ samutthāya Yj_1.327a	kRta-rakzaH samutTAya Yt-_1.327a
   kṛtaśilpo 'pi nivaset Yj_2.184a	kRta-SilpaH api nivaset Yd-_2.184a
   kṛtaśaucavidhir dvijaḥ Yj_1.98b	kRta-SOca-viDiH dvijaH Yt-_1.98b
   kṛtākṛtāṃs taṇḍulāṃś ca Yj_1.287a	kRta-akRtAn taNxulAn ca Yt-_1.287a
   kṛtāgnikāryo bhuñjīta Yj_1.31a	kRta-agni-kAryaH BuQjIta Yt-_1.31a
   kṛte 'nantare tv ahorātraṃ Yj_1.147c	kRte anantare tu ahorAtram Yt-_1.147c
   kṛtodakān samuttīrṇān Yj_3.7a	kRta-udakAn samuttIrNAn Yd-_3.7a
   kṛttikādibharaṇyantaṃ Yj_1.268a	kRttikA-Adi-BaraNI-antam Yt-_1.268a
   kṛtrimaḥ syāt svayaṃkṛtaḥ Yj_2.131b	kRtrimaH syAt svayaMkRtaH Yt-_2.131b
   kṛtvā gobhiḥ pramāpayet Yj_2.279d	kRtvA goBiH pramApayet Yt-_2.279d
   kṛtvā tu brahmahā śuciḥ Yj_3.245d	kRtvA tu brahma-hA SuciH Yt-_3.245d
   kṛtvā lekhyaṃ tu kārayet Yj_1.318b	kRtvA leKyam tu kArayet Yt-_1.318b
   kṛtvā viprān visarjayet Yj_1.248d	kRtvA viprAn visarjayet Yt-_1.248d
   kṛtvāśmani padaṃ śanaiḥ Yj_3.13d	kRtvA-aSmani padam SanEs Yt-_3.13d
   kṛtvā hi retoviṇmūtra- Yj_3.306c	kRtvA hi retaH-viz-mUtra Yt-_3.306c
   kṛtvedaṃ viṣṇur ity anne Yj_1.238c	kRtvA-idam vizNuH iti anne Yt-_1.238c
   kṛmikīṭapataṅgatvaṃ Yj_3.208a	kRmi-kIwa-pataFga-tvam Yt-_3.208a
   kṛṣiṃ cāpi kṛṣīvalaḥ Yj_1.276d	kRzim ca-api kRzIvalaH Yt-_1.276d
   kṛṣiḥ śilpaṃ bhṛtir vidyā Yj_3.42a	kRziH Silpam BRtiH vidyA Yt-_3.42a
   kṛṣṇapakṣo 'yanadvayam Yj_1.217b	kRzNa-pakzaH ayana-dvayam Yt-_1.217b
   kṛṣṇalaḥ pañca te māṣas Yj_1.363c	kRzNalaH paQca te mAzaH Yt-_1.363c
   kṛṣṇā gaur āyasaṃ chāga Yj_1.306c	kRzNA gOH Ayasam CAga Yt-_1.306c
   kecid daivāt svabhāvād vā Yj_1.350a	kecid dEvAt svaBAvAt vE Yt-_1.350a
   ketuś ceti grahāḥ smṛtāḥ Yj_1.296d	ketuH ca-iti grahAH smRtAH Yt-_1.296d
   ketuṃ kṛṇvann imāṃs tathā Yj_1.301d	ketum kRNvan imAn taTA Yt-_1.301d
   kena vāyaṃ gataḥ saha Yj_2.281b	kena vA-ayam gataH saha Yt-_2.281b
   keśakīṭasamanvitam Yj_1.167b	keSa-kIwa-samanvitam Yt-_1.167b
   keśatakraviṣakṣitiḥ Yj_3.37d	keSa-takra-viza-kzitiH Yt-_3.37d
   keśabhasmatuṣāṅgāra- Yj_1.139c	keSa-Basma-tuza-aFgAra Yt-_1.139c
   keśaśmaśrunakhaḥ śuciḥ Yj_1.131b	keSa-SmaSru-naKaH SuciH Yt-_1.131b
   keśākeśi parastriyā Yj_2.283b	keSAkeSi para-striyA Yt-_2.283b
   keśāntaś caiva ṣoḍaśe Yj_1.36d	keSAntaH ca-eva zoxaSe Yt-_1.36d
   keṣāṃcid iha jāyate Yj_3.133b	kezAMcid iha jAyate Yt-_3.133b
   ko 'nyathaikena netreṇa Yj_3.149c	kaH anyaTA-ekena netreNa Yt-_3.149c
   koyaṣṭiplavacakrāhva- Yj_1.173a	koyazwi-plava-cakrAhva Yt-_1.173a
   kole ghṛtaghaṭo deya Yj_3.273c	kole GRta-GawaH deyaH Yt-_3.273c
   ko vā svapnasya kārakaḥ Yj_3.150d	kaH vA svapnasya kArakaH Yt-_3.150d
   kośaṃ vā kośakārakaḥ Yj_3.147d	koSam vA koSa-kArakaH Yt-_3.147d
   kośo daṇḍas tathaiva ca Yj_1.353b	koSaH daNxaH taTA-eva ca Yt-_1.353b
   kauṭilyaṃ vratalopanam Yj_3.238d	kOwilyam vrata-lopanam Yt-_3.238d
   kauśeyanīlalavaṇa- Yj_3.38a	kOSeya-nIla-lavaNa Yt-_3.38a
   kauśeye vālkaleṣu ca Yj_2.180d	kOSeye vAlkalezu ca Yt-_2.180d
   kratutulyaphalaṃ pṛthak Yj_1.360b	kratu-tulya-Palam pRTak Yt-_1.360b
   kramaśo gurutalpagaḥ Yj_3.208d	kramaSas guru-talpa-gaH Yt-_3.208d
   kramaśo maṇḍalaṃ cintyaṃ Yj_1.345c	kramaSas maNxalam cintyam Yt-_1.345c
   kramāt te saṃbhavantīha Yj_3.196c	kramAt te saMBavanti-iha Yt-_3.196c
   kramāt te saṃbhavanty arcir Yj_3.193a	kramAt te saMBavanti arciH Yt-_3.193a
   kramād abhyāgataṃ dravyaṃ Yj_2.119a	kramAt aByAgatam dravyam Yt-_2.119a
   kramād dadyād viśuddhaye Yj_3.268d	kramAt dadyAt viSudDaye Yj_3.268d
   krameṇācāryasacchiṣya- Yj_2.137c	krameNa-AcArya-sat-Sizya Yt-_2.137c
   krayo vā niḥsravas tasmād Yj_2.251c	krayaH vA niHsravaH tasmAt Yt-_2.251c
   kravyādapakṣidātyūha- Yj_1.172a	kravyAda-pakzi-dAtyUha Yt-_1.172a
   kravyādādinipātitam Yj_1.192d	kravyAda-Adi-nipAtitam Yt-_1.192d
   kravyādāṃś cādhirohati Yj_1.273b	kravyAdAn ca-aDirohati Yt-_1.273b
   kriyamāṇopakāre tu Yj_3.283Aa	kriyamANa-upakAre tu Yt-_3.283Aa
   kriyamāṇo bhaved hi saḥ Yj_3.65b	kriyamANaH Bavet hi saH Yt-_3.65b
   kriyāś ca śruticodanāt Yj_3.17d	kriyAH ca Sruti-codanAt Yt-_3.17d
   kriyāḥ kāryāḥ svaśaktitaḥ Yj_3.11d	kriyAH kAryAH sva-SaktitaH Yt-_3.11d
   krīḍāṃ śarīrasaṃskāraṃ Yj_1.84a	krIxAm SarIra-saMskAram Yt-_1.84a
   krītalabdhāśanā bhūmau Yj_3.16a	krIta-labDa-aSanAH BUmO Yt-_3.16a
   krītaś ca tābhyāṃ vikrītaḥ Yj_2.131a	krItaH ca tAByAm vikrItaH Yt-_2.131a
   krītvā nānuśayaḥ kāryaḥ Yj_2.258c	krItvA na-anuSayaH kAryaH Yt-_2.258c
   krūrograpatitavrātya- Yj_1.162c	krUra-ugra-patita-vrAtya Yt-_1.162c
   kretā mūlyam avāpnoti Yj_2.170c	kretA mUlyam avApnoti Yt-_2.170c
   kretur eva hi sā bhavet Yj_2.255d	kretuH eva hi sA Bavet Yt-_2.255d
   kretur doṣo 'prakāśite Yj_2.168b	kretuH dozaH aprakASite Yt-_2.168b
   kretur naiva prayacchati Yj_2.254b	kretuH na-eva prayacCati Yt-_2.254b
   kretur vikretur eva ca Yj_2.253d	kretuH vikretuH eva ca Yt-_2.253d
   krodhalobhavivarjitaḥ Yj_2.1d	kroDa-loBa-vivarjitaH Yt-_2.1d
   klībaraṅgāvatāriṇām Yj_1.161b	klIba-raFga-avatAriNAm Yt-_1.161b
   klībo 'tha patitas tajjaḥ Yj_2.140a	klIbaH aTa patitaH tad-jaH Yt-_2.140a
   kṣaṇaṃ dhyātvābravīn munīn Yj_1.2b	kzaNam DyAtvA-abravIt munIn Yt-_1.2b
   kṣatrajās tridvyekabhāgā Yj_2.125c	kzatra-jAH tri-dvi-eka-BAgAH Yt-_2.125c
   kṣatrasya dvādaśāhāni Yj_3.22a	kzatrasya dvAdaSa-ahAni Yj_3.22a
   kṣatriyā māgadhaṃ vaiśyāc Yj_1.94a	kzatriyA mAgaDam vESyAt Yd-_1.94a
   kṣatriyāyāṃ viśaḥ striyām Yj_1.91b	kzatriyAyAm viSaH striyAm Yt-_1.91b
   kṣatriyo vijayī bhavet Yj_3.332b	kzatriyaH vijayI Bavet Yt-_3.332b
   kṣayaṃ vṛddhiṃ ca vaṇijā Yj_2.258a	kzayam vRdDim ca vaNijA Yt-_2.258a
   kṣātreṇa karmaṇā jīved Yj_3.35a	kzAtreNa karmaNA jIvet Yt-_3.35a
   kṣārāmlodakavāribhiḥ Yj_1.190b	kzAra-amla-udaka-vAriBiH Yt-_1.190b
   kṣipan prāṇaharaṃ tathā Yj_2.224b	kzipan prANa-haram taTA Yt-_2.224b
   kṣīrāśī go'nugo dinam Yj_3.276d	kzIra-ASI go-anugaH dinam Yt-_3.276d
   kṣīriṇī gauḥ sadakṣiṇā Yj_1.204d	kzIriNI gOH sa-dakziNA Yt-_1.204d
   kṣudramadhyamahādravya- Yj_2.275a	kzudra-maDya-mahA-dravya Yt-_2.275a
   kṣudrāntraṃ vṛkkakau bastiḥ Yj_3.94c	kzudrAntram vRkkakO bastiH Yt-_3.94c
   kṣetrajaḥ kṣetrajātas tu Yj_2.128c	kzetrajaH kzetra-jAtaH tu Yt-_2.128c
   kṣetrajo 'sya bhavet sutaḥ Yj_1.69d	kzetrajaH asya Bavet sutaH Yt-_1.69d
   kṣetrajñasyeśvarajñānād Yj_3.34c	kzetrajQasya-ISvara-jQAnAt Yt-_3.34c
   kṣetram anyena kārayet Yj_2.158d	kzetram anyena kArayet Yt-_2.158d
   kṣetraveśmavanagrāma- Yj_2.282a	kzetra-veSma-vana-grAma Yt-_2.282a
   kṣetrasya haraṇe daṇḍā Yj_2.155c	kzetrasya haraNe daNxAH Yt-_2.155c
   kṣetrasyāsya nigadyate Yj_3.178b	kzetrasya-asya nigadyate Yt-_3.178b
   kṣetre doṣo na vidyate Yj_2.162b	kzetre dozaH na vidyate Yt-_2.162b
   kṣetre setuṃ pravartayet Yj_2.157b	kzetre setum pravartayet Yt-_2.157b
   kṣepa uttamasāhasaḥ Yj_2.211b	kzepaH uttama-sAhasaH Yt-_2.211b
   kṣepaṃ karoti ced daṇḍyaḥ Yj_2.204c	kzepam karoti ced daNxyaH Yt-_2.204c
   khaḍdāmiṣaṃ mahāśalkaṃ Yj_1.260a	KaxdAmizam mahA-Salkam Yt-_1.260a
   khamaṇḍalād asau sūryaḥ Yj_3.123a	Ka-maNxalAt asO sUryaH Yt-_3.123a
   kharapulkasavenānāṃ Yj_3.207c	Kara-pulkasa-venAnAm Yt-_3.207c
   kharayānoṣṭrayānagaḥ Yj_3.290b	Kara-yAna-uzwra-yAna-gaH Yt-_3.290b
   kharājameṣeṣu vṛṣo Yj_3.271c	Kara-aja-mezezu vRzaH Yt-_3.271c
   kharoṣṭrayānahastyaśva- Yj_1.151a	Kara-uzwra-yAna-hasti-aSva Yt-_1.151a
   kharoṣṭraṃ mahiṣīsamam Yj_2.160d	Kara-uzwram mahizI-samam Yt-_2.160d
   khādan māṃsaṃ na doṣabhāk Yj_1.179d	KAdan mAMsam na doza-BAj Yt-_1.179d
   khāny adbhiḥ samupaspṛśet Yj_1.20b	KAni adBiH samupaspRSet Yt-_1.20b
   gacchaṃś cāndrāyaṇaṃ caret Yj_3.287b	gacCan cAndrAyaNam caret Yt-_3.287b
   gacchaṃs tu gurutalpagaḥ Yj_3.233b	gacCan tu guru-talpa-gaH Yt-_3.233b
   gacched vāvarṣmasaṃkṣayāt Yj_3.55d	gacCet vA-avarzma-saMkzayAt Yt-_3.55d
   gajādīnām aśaknuvan Yj_3.274b	gaja-AdInAm aSaknuvan Yt-_3.274b
   gaje nīlavṛṣāḥ pañca Yj_3.271a	gaje nIla-vRzAH paQca Yt-_3.271a
   gaṇadravyaṃ hared yas tu Yj_2.187a	gaNa-dravyam haret yaH tu Yt-_2.187a
   gaṇānām apy ayaṃ vidhiḥ Yj_2.192b	gaNAnAm api ayam viDiH Yt-_2.192b
   gaṇānām ādhipatye ca Yj_1.271c	gaNAnAm ADipatye ca Yt-_1.271c
   gaṇān jānapadān api Yj_1.361b	gaNAn jAnapadAn api Yt-_1.361b
   gaṇikāgaṇadīkṣiṇām Yj_1.161d	gaNikA-gaNa-dIkziNAm Yt-_1.161d
   gaṇḍe nāsā ghanāsthikā Yj_3.89b	gaNxe nAsA Gana-asTikA Yt-_3.89b
   gate tasmin nimagnāṅgaṃ Yj_2.109c	gate tasmin nimagna-aFgam Yt-_2.109c
   gatyā karmaphalena ca Yj_3.164b	gatyA karma-Palena ca Yt-_3.164b
   gatvā caiva divā striyam Yj_3.290d	gatvA ca-eva divA striyam Yt-_3.290d
   gatvodakyāṃ viśudhyati Yj_3.287d	gatvA-udakyAm viSuDyati Yt-_3.287d
   gantrī vasumatī nāśam Yj_3.10a	gantrI vasumatI nASam Yd-_3.10a
   gandhadhānyaguḍādiṣu Yj_2.245b	ganDa-DAnya-guxa-Adizu Yt-_2.245b
   gandharūparasasparśa- Yj_3.91a	ganDa-rUpa-rasa-sparSa Yt-_3.91a
   gandharvaś ca śubhāṃ giram Yj_1.71b	ganDarvaH ca SuBAm giram Yt-_1.71b
   gandhalepakṣayakaraṃ Yj_1.17c	ganDa-lepa-kzaya-karam Yt-_1.17c
   gandhān chucchundarī śubhān Yj_3.213d	ganDAn CucCundarI SuBAn Yt-_3.213d
   gandhāś ca balayaś caiva Yj_1.299a	ganDAH ca balayaH ca-eva Yt-_1.299a
   gandhāḥ puṣpaṃ dadhi kṣitiḥ Yj_1.214b	ganDAH puzpam daDi kzitiH Yt-_1.214b
   gandhair maṇḍalakeṣu vā Yj_1.298b	ganDEH maNxalakezu vE Yt-_1.298b
   gandhodakatilair yuktaṃ Yj_1.253a	ganDa-udaka-tilEH yuktam Yt-_1.253a
   gamyaṃ tv abhāve dātṝṇāṃ Yj_1.64c	gamyam tu aBAve dAtLNAm Yt-_1.64c
   gamyāsv api pumān dāpyaḥ Yj_2.290c	gamyAsu api pumAn dApyaH Yj_2.290c
   gardabhaṃ paśum ālabhya Yj_3.280c	gardaBam paSum AlaBya Yt-_3.280c
   garbhabhartṛvadhādau ca Yj_1.72c	garBa-BartR-vaDa-AdO ca Yt-_1.72c
   garbhasya vaikṛtaṃ dṛṣṭam Yj_3.163c	garBasya vEkRtam dRzwam Yt-_3.163c
   garbhasrāve māsatulyā Yj_3.20c	garBasrAve mAsa-tulyAH Yt-_3.20c
   garbhahā ca yathāvarṇaṃ Yj_3.251c	garBa-hA ca yaTAvarNam Yt-_3.251c
   garbhādhānam ṛtau puṃsaḥ Yj_1.11a	garBADAnam RtO puMsaH Yt-_1.11a
   garbhāṣṭame 'ṣṭame vābde Yj_1.14a	garBa-azwame azwame vA-abde Yt-_1.14a
   garbhiṇyāturakanyakāḥ Yj_1.105b	garBiNI-Atura-kanyakAH Yt-_1.105b
   garbhe tyāgo vidhīyate Yj_1.72b	garBe tyAgaH viDIyate Yt-_1.72b
   garbhe vinnaḥ sahoḍhajaḥ Yj_2.131d	garBe vinnaH sahoXa-jaH Yt-_2.131d
   garbho doṣam avāpnuyāt Yj_3.79b	garBaH dozam avApnuyAt Yt-_3.79b
   garhaṇīyānyathā bhavet Yj_1.86d	garhaNIyA-anyaTA Bavet Yt-_1.86d
   gavāṃ dvādaśakasya ca Yj_3.244b	gavAm dvAdaSakasya ca Yt-_3.244b
   gāndharvaḥ samayān mithaḥ Yj_1.61b	gAnDarvaH samayAt miTas Yt-_1.61b
   gāyatrījapyanirataḥ Yj_3.289c	gAyatrI-japya-nirataH Yj_3.289c
   gāyatrīṃ manasā sakṛt Yj_3.30d	gAyatrIm manasA sakRt Yt-_3.30d
   gāyatrīṃ śirasā sārdhaṃ Yj_1.23a	gAyatrIm SirasA sArDam Yt-_1.23a
   gāyatryā cābhimantrayet Yj_3.325d	gAyatryA ca-aBimantrayet Yt-_3.325d
   gāyatryā vācanaṃ tathā Yj_3.309d	gAyatryA vAcanam taTA Yt-_3.309d
   gāyatryāś ca viśeṣataḥ Yj_3.308b	gAyatryAH ca viSezataH Yt-_3.308b
   gāyatryāḥ pratyahaṃ japaḥ Yj_1.22d	gAyatryAH pratyaham japaH Yt-_1.22d
   gāṃ godhāgniṃ bakas tathā Yj_3.215b	gAm goDA-agnim bakaH taTA Yt-_3.215b
   gītajño yadi yogena Yj_3.116a	gIta-jQaH yadi yogena Yt-_3.116a
   gītanṛtyaiś ca bhuñjīta Yj_1.330c	gIta-nRtyEH ca BuQjIta Yt-_1.330c
   gugguluṃ cāpsu nikṣipet Yj_1.279d	guggulum ca-apsu nikzipet Yt-_1.279d
   guḍapiṣṭaṃ samodakam Yj_1.289b	guxa-pizwam samodakam Yt-_1.289b
   guḍaudanaṃ pāyasaṃ ca Yj_1.304a	guxa-odanam pAyasam ca Yt-_1.304a
   guṇās tasyaiva kīrtitāḥ Yj_3.182b	guNAH tasya-eva kIrtitAH Yt-_3.182b
   guṇidvaidhe tu vacanaṃ Yj_2.78c	guNi-dvEDe tu vacanam Yt-_2.78c
   gurave tu varaṃ dattvā Yj_1.51a	gurave tu varam dattvA Yt-_1.51a
   gurutalpasamaṃ smṛtam Yj_3.231d	guru-talpa-samam smRtam Yt-_3.231d
   gurubhṛtyārtham eva vā Yj_1.216b	guru-BRtya-arTam eva vA Yt-_1.216b
   guruṃ caivāpy upāsīta Yj_1.26c	gurum ca-eva-api upAsIta Yt-_1.26c
   guruṃ huṃkṛtya tvaṃkṛtya Yj_3.291a	gurum huMkRtya tvaMkRtya Yt-_3.291a
   gurūṇām adhyadhikṣepo Yj_3.228a	gurUNAm aDyaDikzepaH Yt-_3.228a
   guros tāḍayitus tathā Yj_2.303b	guroH tAxayituH taTA Yt-_2.303b
   gurvantevāsyanūcānam Yj_3.24c	guru-antevAsi-anUcAnam Yt-_3.24c
   gulpheṣu ca catuṣṭayam Yj_3.86b	gulPezu ca catuzwayam Yt-_3.86b
   gulmagucchakṣupalatā- Yj_2.229a	gulma-gucCa-kzupa-latA Yt-_2.229a
   gūḍhajas tu sutaḥ smṛtaḥ Yj_2.129b	gUXa-jaH tu sutaH smRtaH Yt-_2.129b
   gṛhakārī hy upaskaram Yj_3.214d	gRhakArI hi upaskaram Yt-_3.214d
   gṛhakṣetraiś ca yautakaiḥ Yj_2.149d	gRha-kzetrEH ca yOtakEH Yt-_2.149d
   gṛhadhānyābhayopānac- Yj_1.211a	gRha-DAnya-aBaya-upAnac Yt-_1.211a
   gṛhayānāni varjayet Yj_1.160b	gRha-yAnAni varjayet Yt-_1.160b
   gṛhastho 'pi hi mucyate Yj_3.205d	gRhasTaH api hi mucyate Yt-_3.205d
   gṛhaṃ bālapuraḥsarāḥ Yj_3.12b	gRham bAla-puraHsarAH Yt-_3.12b
   gṛhaṃ mārjanalepanāt Yj_1.188d	gRham mArjana-lepanAt Yt-_1.188d
   gṛhaṃ vā gṛhakārakaḥ Yj_3.146d	gRham vA gRhakArakaH Yt-_3.146d
   gṛhītamūlyaṃ yaḥ paṇyaṃ Yj_2.254a	gRhIta-mUlyam yaH paNyam Yt-_2.254a
