   Bhss_1.1:	BhsH-_1.1:
   kācit prasūnāmbu-darārdra-vāsasā	kAcid prasUna-ambu-dara-Ardra-vAsasA
   vyatyasta-rāgāñjana-yāvakādikam	vyatyasta-rAga-aQjana--yAvaka-Adikam
   mṛṣṭvā pratisvekṣaṇa-siddhaye tayor	mRzwvA pratisvekzaNa--sidDaye tayoH-
   mukha-dvayaṃ darpaṇatāṃ nināya kim	muKa--dvayam darpaNa-tAm ninAya kim
   (Kṛṣṇa-bhāvanāmṛtam 2.16)	(KRzNa--BAvanA-amRtam 2.16)
   Bhss_1.121:	BhsH-_1.121:
   tāmbūla-vī īr nidadhe parāsminn	tAmbUla-vI IH nidaDe parA-asmin=-
   ekā pa imnā maṇi-dīpa-pālyā	ekA paH imnA maNi-dIpa--pAlyA
   tan-maṅgalārātrikam āśu cakre	tan--maFgala-ArAtrikam ASu cakre
   nīrājayanty eva nijāsu-lakṣaiḥ	nIrAjayanti eva nija-asu-lakzEH
   (Kṛṣṇa-bhāvanāmṛtam 2.17)	(KRzNa--BAvanA-amRtam 2.17)
   Bhss_1.122:	BhsH-_1.122:
   madhye'cyutāṅga-ghana-kuṅkuma-paṅka-digdhaṃ	maDye-acyuta-aFga-Gana--kuFkuma--paFka--digDam
   rādhāṅghri-yāvaka-vicitrita-pārśva-yugmam	rADA-aFGri--yAvaka--vicitrita--pArSva--yugmam
   sindūra-candana-kaṇāñjana-bindu-citraṃ	sindUra-candana--kaNA-aQjana--bindu--citram
   talpaṃ tayor diśati keli-viśeṣam ābhyaḥ	talpam tayoH diSati keli--viSezam AByaH
   (Govinda-līlāmṛtam 1.64)	(Govinda--lIlA-amRtam 1.64)
   Bhss_1.123:	BhsH-_1.123:
   pramliṣṭa-puṣpoccaya-sanniveśāṃ	pramlizwa--puzpa-ucca-ya--sanniveSAm
   tāmbūla-rāgāñjana-citritāṅgīm	tAmbUla-rAga-aQjana--citrita-aFgIm
   vyaktībhavat-kānta-vilāsa-cihnāṃ	vyaktI-Bavat--kAnta--vilAsa--cihnAm
   śayyām apaśyan svasakhīm ivālyaḥ	SayyAm apaSyan sva-saKIm iva-AlyaH
   (Govinda-līlāmṛtam 1.65)	(Govinda--lIlA-amRtam 1.65)
   Bhss_1.124:	BhsH-_1.124:
   kvacana ghusṛṇa-paṅkaḥ kvāpi sindūrajo 'ṅkaḥ	kvacana GusRNa-paFkaH kvApi sindUra-jaH aFkaH
   kṣata-viraha-vipakṣa-prasnutāsṛk-sapakṣaḥ	kzata--viraha--vipakza--prasnutAsRk--sapakzaH
   kvacana kusuma-dāma-cchinna-kodaṇḍa-dhāma	kvacana kusuma-dAma--cCinna--kodaNxa--DAma
   kva ca vilulita-hāraś chinna-maurvī-prakāraḥ	kva ca vilulita-hAraH Cinna--mOrvI--prakAraH
   (Kṛṣṇāhnika-kaumudī 1.38)	(KRzNA-Ahnika-kOmudI 1.38)
   Bhss_1.125:	BhsH-_1.125:
   kvacana mṛgamadāṅkāḥ kutracit kajjalāṅkāḥ	kvacana mRga-mada-aFkAH kutracid kajjala-aFkAH
   smara-narapati-danti-ccheda-kalpāḥ sphuranti	smara--narapati--danti-=-Ceda--kalpAH sPuranti
   sa hi ratiraṇa-raṅgaḥ kautukodyat-taraṅgaḥ	sa hi rati-raNa-raFgaH kOtuka-udyat--taraFgaH
   samajani sumukhīnām āgatānāṃ sakhīnām	samajani su-muKInAm AgatAnAm saKInAm
   (Kṛṣṇāhnika-kaumudī 1.39)	(KRzNA-Ahnika-kOmudI 1.39)
   Bhss_1.126-127:	BhsH-_1.126-127:
   vakṣaḥ svaṃ darśayaṃs tābhyo	vakzaH svam darSayan tAByaH-
   dṛg bhaṅgyovāca tā hariḥ	dRS BaFgyA-uvAca tAH hariH
   didṛkṣuḥ svapriyā-vaktra-	didRkzuH sva-priyA-vaktra-
   bhāva-śābalya-mādhurīm	BAva-SAbalya--mADurIm
   vidhuṃ prayāsyantam avekṣya kāntaṃ	viDum prayAsyantam avekzya kAntam
   viśleṣa-bhītoṣasi paśyatālyaḥ	viSleza--BIta-uzasi paSyatAlyaH
   didṛkṣayevāmbara-citra-pa yāṃ	didRkzayA-iva-ambara-citra-pa yAm
   rādhendulekhā-śatam ālilekha	rADa-indu-leKA--Satam AlileKa
   (Govinda-līlāmṛtam 1.67-68)	(Govinda--lIlA-amRtam 1.67-68)
   iti nigadati kṛṣṇe vīkṣya sāgre vayasyāḥ	iti nigadati kRzNe vIkzya sAgre vayasyAH
   prahasita-vadanās tāḥ saṅkucal lola-netrā	prahasita--vadanAH tAH saFkucat lola--netrA
   vikasad amala-gaṇḍaṃ dolitārecita-bhrūḥ	vikasat amala-gaNxam dolita-arecita--BrUH
   priyam anṛju-kaṭākṣaiḥ paśyati sma ghnatīva	priyam anRju--kawAkzEH paSyati sma Gnati-iva
   (Govinda-līlāmṛtam 1.69)	(Govinda--lIlA-amRtam 1.69)
   Bhss_1.129:	BhsH-_1.129:
   helollāsādara-mukulitā vāspa-sāndrāruṇāntā	helA-ullAsa-Adara--mukulitA vAspa-sAndra-aruNa-antA
   lajjā-śaṅkā-capala-cakitā bhaṅgurerṣyābhareṇa	lajjA--SaFkA--capala--cakitA BaFgurerzyA-BareNa
   smera-smerā dayita-vadanālokanotphulla-tārā	smera-smerA dayita--vadana-Alokana-utPulla-tArA
   rādhā-dṛṣṭir dayita-nayanānandam uccair vyatānīt	rADA-dRzwiH dayita-nayana-Anandam uccEs vyatAnIt-
   (Govinda-līlāmṛtam 1.70)	(Govinda--lIlA-amRtam 1.70)
   Bhss_1.130:	BhsH-_1.130:
   itthaṃ mithaḥ prema-sukhābdhi-magnayoḥ	itTam miTas prema--suKa-abDi--magnayoH
   pragetanīṃ vibhrama-mādhurīṃ tayoḥ	pragetanIm viBrama--mADurIm tayoH
   nipīya sakhyaḥ pramadonmadās tadā	nipIya saKyaH pramadA-unmadAH tadA
   tadātva-yogyācaraṇaṃ visasmaruḥ	tadAtva--yogya-AcaraNam visasmaruH
   (Govinda-līlāmṛtam 1.71)	(Govinda--lIlA-amRtam 1.71)
   Bhss_1.131:	BhsH-_1.131:
   vilokya līlāmṛta-sindhu-magnau	vilokya lIlA-amRta--sinDu-m-agnO
   tau tāḥ sakhīś ca praṇayonmadāndhāḥ	tO tAH saKIH ca praNaya-unmada-anDAH
   vṛndā prabhātodaya-jāta-śaṅkā	vRndA praBAta-udaya--jAta--SaFkA
   nijeṅgita-jñāṃ nidideśa sārīm	nija-iFgita-jQAm nidideSa sArIm
   (Govinda-līlāmṛtam 1.72)	(Govinda--lIlA-amRtam 1.72)
   Bhss_1.132:	BhsH-_1.132:
   guru-lajjā-bhartṛ-bhīti-	guru--lajjA--BartR-BIti-
   loka-hāsa-nivārikā	loka-hAsa-nivArikA
   śubhākhyā sārikā prāha	SuBa-AKyA sArikA prAha
   rādhikā-bodha-sādhikā	rADikA--boDa--sADikA
   (Govinda-līlāmṛtam 1.73)	(Govinda--lIlA-amRtam 1.73)
   Bhss_1.133:	BhsH-_1.133:
   āgantā grāhayitvā tava patir adhunā goṣṭhataḥ kṣīra-bhārān	AgantA grAhayitvA tava patiH aDunA gozWataH kzIra--BArAn
   uttiṣṭhottiṣṭha rādhe tad iha kuru gṛhe maṅgalāṃ vāstu-pūjāma	uttizWa-uttizWa rADe tat iha kuru gRhe maFgalAm vAstu-pUjA-m-a
   itthaṃ yāvad dhavāmbā tava nahi śayanād utthitā vāvadīti	itTam yAvat Dava-ambA tava na-hi SayanAt utTitA vA-avadi-iti
   tāvac chayyā-niketaṃ vraja sakhi nibhṛtaṃ kuñjataḥ kañja-netre!!	tAvat SayyA-niketam vraja saKi niBRtam kuQjataH kaQja-netre!!
   (Govinda-līlāmṛtam 1.74)	(Govinda--lIlA-amRtam 1.74)
   Bhss_1.134:	BhsH-_1.134:
   śaṅkā-paṅkā-kalita-hṛdayā śaṅkate'syā dhavāmbā	SaFkA--paFkA--kalita--hRdayA SaFkate-asyAH DavAmbA
   chidrānveṣī patir atika uḥ sārthanāmābhimanyuḥ	Cidra-anvezI patiH atike uH sArTa-nAmA-aBimanyuH
   ruṣṭābhīkṣṇaṃ parivadati sā hā nanandāpi mandā	ruzwa-aBIkzNam parivadati sA hA nanandA-api mandA
   prātar-jātaṃ tad api saralāṃ kṛṣṇa naināṃ jahāsi	prAtar-jAtam tat api saralAm kRzNa na-enAm jahAsi
   (Govinda-līlāmṛtam 1.77)	(Govinda--lIlA-amRtam 1.77)
   Bhss_1.135:	BhsH-_1.135:
   sārī-vaco-mandara-śaila-pāta-	sArI-vaco-mandara--SEla-pAta-
   saṃkṣubdha-hṛd-dugdha-payodhir eṣā	saMkzubDa--hRd--dugDa-payoDiH ezA
   athodbhraman netra-navīna-mīnā	aTa-udBramat netra-navIna-mInA
   viyoga-dīnā śayanād udasthāt	viyoga-dInA SayanAt udasTAt-
   (Govinda-līlāmṛtam 1.78)	(Govinda--lIlA-amRtam 1.78)
   Bhss_1.136:	BhsH-_1.136:
   kṛṣṇo 'pi kāntaṃ vṛṣabhānu-jāyāḥ	kRzNaH api kAntam vRzaBa-anu-jAyAH
   paśyan mukhaṃ bhīti-vilola-netram	paSyan muKam BIti-vilola--netram
   nīlaṃ sucīnaṃ dayitā-nicolaṃ	nIlam su-cInam dayitA--nicolam
   gṛhṇan svatalpāt tvarayodatiṣṭhat	gRhNan sva-talpAt tvarayA-ut-atizWat
   (Govinda-līlāmṛtam 1.79)	(Govinda--lIlA-amRtam 1.79)
   Bhss_1.137:	BhsH-_1.137:
   parivartita-saṃvyānau	parivartita--saMvyAnO
   mithas tāv atha śaṅkitau	miTas tO aTa SaFkitO
   paraspara-karālambau	paraspara-kara-AlambO
   niragātāṃ nikuñjataḥ	niragAtAm nikuQjataH
   (Govinda-līlāmṛtam 1.80)	(Govinda--lIlA-amRtam 1.80)
   Bhss_1.138:	BhsH-_1.138:
   rādhā-pāṇiṃ savye'savye	rADA--pANim savye-asavye
   pāṇau bibhrad veṇuṃ kṛṣṇaḥ	pANO biBrat veNum kRzNaH
   reje kuñjān niryan yadvad	reje kuQjAt niryan yadvat-
   vidyun-mālāśliṣṭāmbhodaḥ	vidyun--mAlA-Slizwa-amBodaH
   (Govinda-līlāmṛtam 1.81)	(Govinda--lIlA-amRtam 1.81)
   Bhss_1.139:	BhsH-_1.139:
   haimaṃ bhṛṅgāram ekā vyajanam atha parā svarṇa-daṇḍaṃ dadhānā	hEmam BRFgAram ekA vyajanam aTa parA svarNa--daNxam daDAnA
   kāpy ādarśaṃ sudarśaṃ ghusṛṇa-malayajā'matram anyā vicitram	kA-api AdarSam sudarSam GusRNa--malayajA-amatram anyA vicitram
   kācit tāmbūla-pātraṃ maṇi-citam aparā sārikāṃ pañjarasthām	kAcid tAmbUla--pAtram maNi--citam aparA sArikAm paQjara-sTAm
   itthaṃ sakhyaḥ kiyat yāḥ pramudita-hṛdayā niryayuḥ kuñja-gehāt	itTam saKyaH kiyat yAH pramudita-hRdayAH niryayuH kuQja--gehAt-
   (Govinda-līlāmṛtam 1.82)	(Govinda--lIlA-amRtam 1.82)
   Bhss_1.140:	BhsH-_1.140:
   māhendra-kānta-cchadanaṃ sakāñcanaṃ	mAhendra-kAnta-=-Cadanam sa-kAQcanam
   dāntaṃ sasindūra-samudgakaṃ parā	dAntam sa-sindUra--samudgakam parA
   āpanna-satvā-kuca-ku malopamaṃ	Apanna--satvA--kuca-ku mala-upamam
   kuñjād gṛhītvā niragān mṛdu-smitā	kuQjAt gRhItvA niragAt mRdu-smitA
   (Govinda-līlāmṛtam 1.83)	(Govinda--lIlA-amRtam 1.83)
   Bhss_1.141:	BhsH-_1.141:
   āśleṣa-sañchinna-guṇāt paricyutaṃ	ASleza--saQCinna-guNAt paricyutam
   hārāl lasan-mauktika-sañcayaṃ mudā	hArAt lasan--mOktika--saQcayam mudA
   vicitya kācit svapa āñcale dṛḍhaṃ	vicitya kAcid svapaH AQcale dRXam
   nibadhnatī kuñja-gṛhād viniryayau	nibaDnatI kuQja--gRhAt viniryayO
   (Govinda-līlāmṛtam 1.84)	(Govinda--lIlA-amRtam 1.84)
   Bhss_1.142:	BhsH-_1.142:
   tā aṅkaṃ keli-vibhraṣṭaṃ	tAH aFkam keli--viBrazwam
   talpād ādāya satvarā	talpAt AdAya sa-tvarA
   nirgatya sveśvarī-karṇe	nirgatya sva-ISvarI-karNe
   yuyoja rati-mañjarī	yuyoja rati-maQjarI
   (Govinda-līlāmṛtam 1.85)	(Govinda--lIlA-amRtam 1.85)
   Bhss_1.143:	BhsH-_1.143:
   talpa-prāntād upādāya	talpa--prAntAt upAdAya
   kañculīṃ rūpa-mañjarī	kaQculIm rUpa-maQjarI
   priyanarma-sakhī sakhyai	priya-narma--saKI saKyE
   nirgatya nibhṛtaṃ dadau	nirgatya niBRtam dadO
   (Govinda-līlāmṛtam 1.86)	(Govinda--lIlA-amRtam 1.86)
   Bhss_1.144:	BhsH-_1.144:
   patadgrāham upādāya	patat-grAham upAdAya
   dāsikā guṇa-mañjarī	dAsikA guNa-maQjarI
   tāmbūlaṃ carvitaṃ tābhyo	tAmbUlam carvitam tAByaH-
   vibhajantī bahir yayau	viBajantI bahis yayO
   (Govinda-līlāmṛtam 1.87)	(Govinda--lIlA-amRtam 1.87)
   Bhss_1.145:	BhsH-_1.145:
   mañjulālī tayor aṅgāc	maQjula-AlI tayoH aFgAt-
   cyuta-mālyānulepanam	cyuta--mAlya-anulepanam
   talpād ādāya sarvābhyaḥ	talpAt AdAya sarvAByaH
   prayacchantī vinirgatā	prayacCantI vinirgatA
   (Govinda-līlāmṛtam 1.88)	(Govinda--lIlA-amRtam 1.88)
   Bhss_1.146:	BhsH-_1.146:
   vilokyāgre meghāmbara-vṛta-śarīraṃ priyatamaṃ	vilokya-agre meGa-ambara-vRta--SarIram priyatamam
   vayasyāṃ tāṃ pītāmbara-parivṛtāṅgīṃ pramuditām	vayasyAm tAm pIta-ambara--parivRta-aFgIm pramuditAm
   hasantyas tāḥ sakhyaḥ kara-pihita-mukhyaḥ pratidiśaṃ	hasantyaH tAH saKyaH kara--pihita-muKyaH pratidiSam
   diśantyaś cānyonyaṃ ku ila-cala-dṛgbhir mumudire	diSantyaH ca-anyonyam ku ila-cala--dRgBiH mumudire
   (Govinda-līlāmṛtam 1.89)	(Govinda--lIlA-amRtam 1.89)
   Bhss_1.147:	BhsH-_1.147:
   samīkṣya tāsāṃ parihāsa-bhaṅgīm	samIkzya tAsAm parihAsa--BaFgIm
   anyonya-vaktrārpita-phulla-netrau	anyonya--vaktra-arpita--Pulla--netrO
   samucchalat-prema-sukhābdhi-magnau	samucCalat--prema--suKa-abDi-m-agnO
   citrārpitāṅgāv iva tāv abhūtām	citra-arpita-aFgO iva tO aBUtAm
   (Govinda-līlāmṛtam 1.90)	(Govinda--lIlA-amRtam 1.90)
   Bhss_1.148:	BhsH-_1.148:
   ghanaśyāmaṃ cīnaṃ vasanam abhilīnaṃ priya-tanau	Gana-SyAmam cInam vasanam aBilInam priya-tanO
   kṣamā nāsīt kāntā svam api paricetuṃ ghana-rucau	kzamA na-AsIt kAntA svam api paricetum Gana-rucO
   svam ajñāsīt sphītaṃ harir api na pītaṃ priyatamā-	svam ajQAsIt sPItam hariH api na pItam priyatamA-
   tanau līnaṃ cīnaṃ kanaka-ruci kambāv iva payaḥ	tanO lInam cInam kanaka-ruci kambO iva payaH
   (Govinda-līlāmṛtam 1.91)	(Govinda--lIlA-amRtam 1.91)
   Bhss_1.149:	BhsH-_1.149:
   tayor līlā-sudhā-pāna-	tayoH lIlA--suDA--pAna-
   pratyūhāmarṣa-saṅkulā	pratyUha-amarza--saFkulA
   nindanty aruṇam udyantam	nindanti aruNam udyantam
   athāha lalitā sakhīm	aTa-Aha lalitA saKIm
   (Govinda-līlāmṛtam 1.92)	(Govinda--lIlA-amRtam 1.92)
   Bhss_1.150:	BhsH-_1.150:
   ūṣasi vara-vadhūnāṃ paśya rādhe'ruṇo 'yaṃ	Uzasi vara-vaDUnAm paSya rADe-aruNaH ayam
   ramaṇa-sahita-līlā-bhaṅgataḥ pāpa-rugbhiḥ	ramaNa--sahita--lIlA--BaFgataH pApa-rugBiH
   galita-pada-yugo 'py adyāpi tan no jahāti	galita--pada--yugaH api adya-api tat naH jahAti
   dhruvam iti vacanaṃ yad-dustyajaḥ sva-svabhāvaḥ	Druvam iti vacanam yat--dustyajaH sva--svaBAvaH
   (Govinda-līlāmṛtam 1.93)	(Govinda--lIlA-amRtam 1.93)
   Bhss_1.151-152:	BhsH-_1.151-152:
   aruṇāruṇe nidadhatī tato 'mbare	aruNa-aruNe nidaDatI tatas ambare
   rati-keli-bhaṅgaja-ruṣā'ruṇāṃ dṛśam	rati--keli-BaFga-ja-ruzA-aruNAm dRSam
   lalitopahāsa-janita-smitānanā	lalita-upahAsa--jani-ta-smita-AnanA
   vṛṣabhānujāha mṛdu-mañjubhāṣiṇī	vRzaBAn-ujA-Aha mRdu-maQju-BAziNI
   anūrur apy astamayan kṣaṇārddhān	anUruH api astamayan kzaNa-ardDAn
   nabho vilaṅghyodayam eti so 'yam	naBaH vilaFGya-udayam eti saH ayam
   cet sorum enaṃ sa vidhir vyadhāsyad	ced sa-Urum enam sa viDiH vyaDAsya-t-
   vārttāpi rātrer na tadābhaviṣyat	vArttA-api rAtreH na tadA-aBavizyat
   (Govinda-līlāmṛtam 1.94-95)	(Govinda--lIlA-amRtam 1.94-95)
   Bhss_1.153-154:	BhsH-_1.153-154:
   manoramāṃ vīkṣya vibhāta-lakṣmīṃ	manoramAm vIkzya viBAta--lakzmIm
   nipīya tasyā vacanāsavaṃ ca	nipIya tasyAH vacana-Asavam ca
   mudonmanā vismṛta-goṣṭha-yānaḥ	mudA-unmanAH vismRta-gozWa-yAnaH
   prāṇeśvarīṃ tām avadan mukundaḥ	prANeSvarIm tAm avadat mukundaH
   inaṃ prabhātopagataṃ samīkṣya	inam praBAta-upagatam samIkzya
   kānteva kāntāntara-bhukta-kāntam	kAntA-iva kAnta-antara--Bukta--kAntam
   paśyānya-dik-saṅga-kaṣāyitāṅgaṃ	paSya-ani-a-dik--saFga-kazAyita-aFgam
   prācīyam īrṣyāruṇiteva jātā	prAcIyam IrzyA-aruNitA-iva jAtA
   (Govinda-līlāmṛtam 1.96-97)	(Govinda--lIlA-amRtam 1.96-97)
   Bhss_1.155:	BhsH-_1.155:
   paśyonmatte dvijeśo 'py akhila-jana-tama-stoma-hantāpi śāntaḥ	paSya-unmatte dvija-ISaH api aKila-jana-tama--stoma-hantA-api SAntaH
   kānto 'yaṃ te samantāt sapadi nipatito vāruṇīṃ saṃniṣevya	kAntaH ayam te samantAt sapadi nipatitaH vAruNIm saMnizevya
   itthaṃ svīyena-saṅga-pramudita-nalinī-hāsa-sañjāta-lajjā	itTam svIyena-saFga--pramudita-nalinI--hAsa--saQjAta-lajjA
   śaṅke vaktraṃ pidhatte hy uṣasi kumudinī saṅkucadbhir dalaiḥ svaiḥ	SaFke vaktram piDatte hi uzasi kumudinI saFkucadBiH dalEH svEH
   (Govinda-līlāmṛtam 1.98)	(Govinda--lIlA-amRtam 1.98)
   Bhss_1.156:	BhsH-_1.156:
   dṛṣṭvā tamaḥ-kṣayam amī vidhunānyapuṣṭā	dRzwvA tamaH-kzayam amI viDunA-anyapuzwA
   naktaṃ tamaś-caya-nibhāś cakitāḥ prabhāte	naktam tam-aS-caya--niBAH cakitAH praBAte
   mitraṃ tad-āśrayatayā tamasā carantīṃ	mitram tad--ASraya-tayA tamasA carantIm
   grastaṃ kuhūr iti kuhūṃ svagirāhvayanti	grastam kuhUH iti kuhUm svagirA-Ahvayanti
   (Govinda-līlāmṛtam 1.99)	(Govinda--lIlA-amRtam 1.99)
   Bhss_1.157:	BhsH-_1.157:
   vasanta-kānta-saṃsarga-	vasanta-kAnta--saMsarga-
   jātānanda-bharā avī	jAta-Ananda-BarA avI
   kapotī-ghūtkṛti-miṣāt	kapotI--Gu-utkRti-mizAt-
   śītkarotīva sonmadā	SItkaroti-iva sa-unmadA
   (Govinda-līlāmṛtam 1.100)	(Govinda--lIlA-amRtam 1.100)
   Bhss_1.158:	BhsH-_1.158:
   paśyānusarati cañcala-bhṛṅgaḥ	paSya-anusarati caQcala--BRFgaH
   kairaviṇī-kula-keli-piśaṅgaḥ	kEraviNI--kula--keli--piSaFgaH
   nalinī-koṣe niśi kṛta-saṅgāṃ	nalinI--koze niSi kRta-saFgAm
   bhṛṅgīṃ śaśimukhi! kṛta-natibhaṅgām	BRFgIm SaSi-muKi! kRta-nati-BaFgAm
   (Govinda-līlāmṛtam 1.101)	(Govinda--lIlA-amRtam 1.101)
   Bhss_1.159:	BhsH-_1.159:
   kāntam āyāntam āśaṅkyā-	kAntam AyAntam ASaFkyA-
   ruṇāṃśu-dviguṇāruṇam	ruNa-aMSu--dviguNa-aruNam
   kokī koka-nadaṃ cañcvā	kokI koka-nadam caQcvA
   cumbaty ānanda-vihvalā	cumbati Ananda-vihvalA
   (Govinda-līlāmṛtam 1.102)	(Govinda--lIlA-amRtam 1.102)
   Bhss_1.160:	BhsH-_1.160:
   kalasvanākhyaḥ kalakaṇṭhi! haṃsaḥ	kalasvana-AKyaH kala-kaNWi! haMsaH
   samīkṣya nau sammada-phulla-pakṣaḥ	samIkzya nO sammada--Pulla-pakzaH
   riraṃsum apy eṣa visṛjya haṃsīṃ	riraMsum api eza visRjya haMsIm
   ta aṃ ta inyāḥ purataḥ sameti	te am te inyAH puratas sameti
   (Govinda-līlāmṛtam 1.103)	(Govinda--lIlA-amRtam 1.103)
   Bhss_1.161:	BhsH-_1.161:
   svasahacara-visṛṣṭaṃ svāmibhuktaṃ mṛṇālaṃ	sva-sahacara--visRzwam svAmi-Buktam mRNAlam
   madakala-kalakaṇṭhī vibhratī paśya cañcvā	mada-kala-kalakaNWI viBratI paSya caQcvA
   ramaṇam anu sameti tvan mukhābjārpitākṣī	ramaNam anu sameti tvat muKa-abja-arpita-akzI
   sarasija-mukhi nāmnā tuṇḍiketī marālī	sarasija-muKi nAmnA tuNxiketI marAlI
   (Govinda-līlāmṛtam 1.104)	(Govinda--lIlA-amRtam 1.104)
   Bhss_1.162:	BhsH-_1.162:
   malaya-śikhara-cārī paṅkajāmoda-dhārī	malaya--SiKara--cArI paFkaja-Amoda--DArI
   vratati-na a-kumārī-lāsya-śikṣādhikārī	vratati-na a-kumArI-la-Asya--SikzA-aDikArI
   vahati jala-vihārī vāyur āyāsa-dārī	vahati jala-vihArI vAyuH AyAsa--dArI
   sa ramaṇa-vara-nārī-sveda-jālāpahārī	sa ramaNa-vara--nArI--sveda--jAlA-apahArI
   (Govinda-līlāmṛtam 1.105)	(Govinda--lIlA-amRtam 1.105)
   Bhss_1.163:	BhsH-_1.163:
   itīśayoḥ sumadhura-vāg vilāsayoḥ	iti-ISayoH su-maDura-vAc vilAsayoH
   samīkṣya tāṃ svabhavana-yāna-vismṛtam	samIkzya tAm sva-Bavana-yAna--vismRtam
   sakhīś ca tāḥ smita-rucirā mudonmadā	saKIH ca tAH smita-rucirA mudA-unmadA
   vaneśvarī divasa-bhiyāsa sonmanāḥ	vaneSvarI divasa-BiyAsa sa-unmanAH
   (Govinda-līlāmṛtam 1.106)	(Govinda--lIlA-amRtam 1.106)
   Bhss_1.164:	BhsH-_1.164:
   kāntā udīyur vikasan mukhendavo	kAntAH udIyuH vikasat muKa-indavaH-
   rātrir gatā cāstam apāsta-candrikā	rAtriH gatA ca-astam apAsta-candrikA
   vilāsa-bhaṅgaḥ katham astu nāstu vā	vilAsa-BaFgaH kaTam astu na-astu vA
   kṣaṇaṃ hṛdaiveti parāmamarśa sā	kzaNam hRdA-eva-iti parAmamarSa sA
   (Kṛṣṇa-bhāvanāmṛtam 2.56)	(KRzNa--BAvanA-amRtam 2.56)
   Bhss_1.165:	BhsH-_1.165:
   tamāṃsya naśyann abhito yathā yathā	tamAMsya naSyan aBitas yaTA yaTA
   tadā prakāśaś ca yathā yathaidhata	tadA prakASaH ca yaTA yaTA-eData
   tathā tathā hṛd-rujam eva sānvabhūd	taTA taTA hRd-rujam eva sA-anvaBUt-
   vrajasya rītiṃ śrutayo 'pi no viduḥ	vrajasya rItim SrutayaH api naH viduH
   (Kṛṣṇa-bhāvanāmṛtam 2.57)	(KRzNa--BAvanA-amRtam 2.57)
   Bhss_1.166:	BhsH-_1.166:
   atha vṛndeṅgitābhijñā	aTa vRnda-iFgita-aBijQA
   samaya-jñā taru-sthitā	samaya-jQA taru-sTitA
   padyam udyotayāmāsa	padyam udyotayAmAsa
   kakkha ī vṛddha-marka ī	kakKaH I vRdDa-m-arkaH I
   (Govinda-līlāmṛtam 1.107)	(Govinda--lIlA-amRtam 1.107)
   Bhss_1.167:	BhsH-_1.167:
   raktāmbarā satāṃ vandyā	rakta-ambarA satAm vandyA
   prātaḥ-sandhyā tapasvinī	prAtar--sanDyA tapasvinI
   ūrdhva-prasarpad arkāṃśur	UrDva--prasarpat arkAMSuH-
   jaṭileyam upasthitā	jawilA-iyam upasTitA
   (Govinda-līlāmṛtam 1.108)	(Govinda--lIlA-amRtam 1.108)
   Bhss_1.168:	BhsH-_1.168:
   ākarṇya tābhir jaṭileti varṇa-	AkarNya tABiH jawilA-iti varNa-
   trayīṃ vivarṇatvam adhāri sadyaḥ	trayIm vivarNa-tvam aDAri sadyas-
   vilāsa-ratnākaram udbhavantī	vilAsa--ratna-Akaram udBavantI
   śaṅkaiva tāsāṃ culukī-cakāra	SaFkA-eva tAsAm culukI-cakAra
   (Kṛṣṇa-bhāvanāmṛtam 2.60)	(KRzNa--BAvanA-amRtam 2.60)
   Bhss_1.169:	BhsH-_1.169:
   pathi piśuna-matibhyaḥ śaṅkamānau gurubhyaḥ	paTi piSuna-matiByaH SaFkamAnO guruByaH
   cala-cakita-taraṅgau nikṣipantāv apāṅgau	cala--cakita-taraFgO nikzipantO apAFgO
   parama-guṇa-gabhīrau kāma-saṃgrāma-dhīrau	parama-guNa-gaBIrO kAma--saMgrAma--DIrO
   yayatū rati-vitandrau rādhikā-kṛṣṇacandrau	yayatuH rati--vitandrO rADikA--kRzNa-candrO
   (Kṛṣṇāhnika-kaumudī 1.42)	(KRzNA-Ahnika-kOmudI 1.42)
   Bhss_1.170:	BhsH-_1.170:
   na pathi na bhavane vā lakṣitau tau vane vā	na paTi na Bavane vA lakzitO tO vane vA
   sahaja-sad-anuraktyā svīyayānanda-śaktyā	sahaja---sat--anuraktyA svIyayA-Ananda--SaktyA
   parijana-nayanānām utsavānādadhānāv	parijana--nayanAnAm utsavAnAt-aDAnO=-
   atha pathi viharantau rejatur loka-kāntau	aTa paTi viharantO rejatuH loka--kAntO
   (Kṛṣṇāhnika-kaumudī 1.43)	(KRzNA-Ahnika-kOmudI 1.43)
   Bhss_1.171:	BhsH-_1.171:
   bhraśyad dukūla-cikura-srajam unnayantau	BraSyat dukUla-cikura--srajam unnayantO
   bhītau pṛthag gahana-vartmani cāpayāntau	BItO pRTak gahana-vartmani ca-apayAntO
   tau vīkṣya bhīti-taralau jaṭileti nāmnā	tO vIkzya BIti-taralO jawilA-iti nAmnA
   sakhyas tatas tata itaś cakitā nirīyuḥ	saKyaH tatas tatas itas cakitAH nirIyuH
   (Govinda-līlāmṛtam 1.110)	(Govinda--lIlA-amRtam 1.110)
   Bhss_1.172:	BhsH-_1.172:
   vāme candrāvali-parijanān ghoṣa-vṛddhān purastāt	vAme candra-Avali--parijanAn Goza--vRdDAn purastAt-
   kṛṣṇaḥ paścāt ku ila-jaṭilām āgatāṃ manyamānaḥ	kRzNaH paScAt ku ila--jawilAm AgatAm manyamAnaH
