   Cittaviśuddhiprakaraṇa (Cvp)	Citta viSudDi prakaraNa (Cvp)
   yathā latā samudbhūtā phalapuṣpasamanvitā /	yaTA latA samudBUtA Pala puzpa samanvitA /
   tathaikakṣaṇasambodhiḥ sambhāradvayasaṃyutā // Cvp_98 //	taTA ekakzaNa samboDiH samBAra dvaya saMyutAH // Cvu _98 //
   [vaśadveṣagatistambha] varṣaṇākarṣaṇādikam /	[vaSa dveza gati stamBa] varzaNa AkarzaNa Adikam /
   madyamāṃsarato yogī kurvannāpyupalipyate // Cvp_99 //	madya mAMsa rataH yogI kurvanna api upalipyate // Cvu _99 //
   [hastakaṅkaṇabimbāya ki]mādarśaḥ samīkṣyate /	[hasta kaFkaNa bimbAya ki]m AdarSaH samIkzyate /
   mahāyāne yato 'dyāpi mantrasāmarthyadarśanam // Cvp_100 //	mahAyAne yatas adya api mantra sAmarTya darSanam // Cvu _100 //
   mātṛduhitṛsambandha[stattvato 'tra na kalpyate /	mAtR duhitR sambanDa[H tattvataH atra na kalpyate /
   bhagnāyodhūpavarttīva] jagadāha tathāgataḥ // Cvp_101 //	Bagna AyoDu upa varttI iva] jagadAha taTAgataH // Cvu _101 //
   pañcabhūtātmakaṃ śukraṃ śoṇitañcāpi tādṛśam /	paQcaBUta Atmakam Sukram SoNitaQcA api tAdRSam /
   tanmayaḥ khalu piṇḍo 'yaṃ ko vipraḥ kaśca vāntyajaḥ // Cvp_102 //	tad mayaH Kalu piNxaH ayam kaH vipraH kaH ca vAntyajaH // Cvu _102 //
   [pañcaskandhātmakaṃ sarvaṃ]śarīraṃ khalu bhikṣavaḥ /	[paQca skanDa Atmakam sarvan]SarIram Kalu BikzavaH /
   anityaṃ duḥkhaśūnyañca na jātirna ca jātimān // Cvp_103 //	anityam duHKa SUnyaQca na jAtiH na ca jAtimAn // Cvu _103 //
   kaivarttīgarbhambhūtaḥ kaściñcā[ṇḍālajātimān /	kEvarttI garBamBUtaH kaSciQcA a[NxAla jAtimAn /
   tapasā brāhmaṇo jātastasmājjātirakāraṇam // Cvp_104 //	tapasA brAhmaNaH jAtaH tasmAt jAtiH akAraNam // Cvu _104 //
   svasāraṃ mātaraṃ śvaśrūṃ svaputrīṃ bhāgineyikām /	svasAram mAtaram SvaSrUm sva putrIm BAgineyikAm /
   brāhmaṇīṃ kṣatriyāṃ vaiśyāṃ vidhijñānena śūdrikām] // Cvp_105 //	brAhmaNIm kzatriyAm vESyAm viDi jQAnena SUdri kAm] // Cvu _105 //
   ekāṅgavikalāṃ hīnāṃ garhītāmantyajāmapi /	eka aFga vikalAm hInAm garhI tAm antyajAm api /
   yoṣitaṃ pūjayennityaṃ jñānavajraprabhāvanaiḥ // Cvp_106 //	yozitam pUjayet nityam jQAna vajra praBAvanEH // Cvu _106 //
   [sarvadā smitavakreṇa mantravistṛtacakṣuṣā /	[sarvadA smita vakreNa mantra vistRta cakzuzA /
   sambodhau cittamutpādyasvādhidaivatabhāvataḥ // Cvp_107 //	samboDO cittam utpAdya sva aDidEvata BAvataH // Cvu _107 //
   paśyeddṛśyaṃ kṣaṇaṃkiñcicchotavyaṃ śṛṇuyāttathā /	paSyet dRSyam kzaNaMkiQcid Sotavyam SRNuyAt taTA /
   satyāsatyaviyuktaṃ tuvadedvākyamatandritaḥ] // Cvp_108 //	satya asatya viyuktam tuvadet vAkyam atandritaH] // Cvu _108 //
   snānābhyañjanavastrādikhānapānādiyantataḥ /	snAna aByaQjana vastra Adi KAna pAna AdiyantataH /
   svādhidaivatayogenacintayetpūjanāvidhim // Cvp_109 //	svADi dEvata yogena cintayet pUjanA viDim // Cvu _109 //
   [gītaṃvādyaṃ tathā nṛtyaṃ sopāyena vratī bhajet /	[gItaMvAdyam taTA nRtyam sa upAyena vratI Bajet /
   akurvanniha bhāveṣusarveṣvabhiniveśanam // Cvp_110 //	akurvan= iha BAva izu sarvezu aBiniveSanam // Cvu _110 //
   svātmabhāvaprahāṇenatāpayenna tapasyayā] /	sva Atma BAva prahANena tApayet na tapasyayA] /
   sukhādyathā sukhaṃdhyāyetsambuddho 'yamanāgataḥ // Cvp_111 //	suKAt yaTA suKaMDyAyet sambudDaH ayam anAgataH // Cvu _111 //
   sarvakāmopabhogaistu ramathamuktito 'bhayāt /	sarva kAma upaBogEH tu ramaTa muktitaH aBayAt /
   mā bhaiṣṭa nāsti vaḥ pāpaṃsamayo duratikramaḥ // Cvp_112 //	mA BEzwa na asti vaH pApaMsamayaH duratikramaH // Cvu _112 //
   mantrasaṃskṛtakāṣṭhādidevatvamadhigacchati /	mantra saMskRta kAzWa Adi deva tvam aDigacCati /
   kiṃ punaḥ jñānavān kāyaḥkaṣṭaṃ mohaviceṣṭitam // Cvp_113 //	kim punar jQAnavAn kAyaH kazwam moha vicezwitam // Cvu _113 //
   prākṛtatvamahaṅkāraṃparityajya samāhitaḥ /	prAkRta tvam ahaFka araMparityajya samAhitaH /
   prajñopāyavidhānenakriyāmimāṃ samācaret // Cvp_114 //	prajQA upAya viDAnena kriyAm imAm samAcaret // Cvu _114 //
   paṅkajātaṃ yathā padmaṃpaṅkadoṣairna lipyate /	paFka jAtam yaTA padmaMpaFka dozEH na lipyate /
   vikalpavāsanādoṣaistathāyogī na lipyate // Cvp_115 //	vikalpa vAsanA dozEH taTA ayogI na lipyate // Cvu _115 //
   [vikalpovimbasaṅkāśo dṛṣṭidoṣairna lipyate /	[vikalpaH vimba saFkASaH dRzwi dozEH na lipyate /
   anbhasā lipyate naivayadvadudakacandramāḥ] // Cvp_116 //	anBasA lipyate nEvayat vat udaka candramAH] // Cvu _116 //
   anādivāsanāpaṅkairviliptaṃcittaratnakam /	anAdi vAsanA paFkEH viliptaMcitta ratnakam /
   prajñopāyajalenaiva[kṣālitaṃsamprakāśate] // Cvp_117 //	prajQA upAya jalena eva [kzAlitaMsamprakASate] // Cvu _117 //
   svādhidevatayogasyasthiracittasya dhīmataḥ /	svADidevata yogasya sTira cittasya DImataH /
   muktaḥ kudṛṣṭimeghaiścabhāsate cittabhāskaraḥ // Cvp_118 //	muktaH kudRzwi meGEH caBAsate citta BAskaraH // Cvu _118 //
   [prajñālakṣmaparicchedebhūtārthasya viniścayāt /	[prajQA lakzma paricCedeBUta arTasya viniScayAt /
   dharmadhāturupādeyo 'vidyāvyatyayavarjanāt // Cvp_119 //	DarmaDAtuH upAdeyaH avidyA vyatyaya varjanAt // Cvu _119 //
   prajñāmudgaravidhvaste]sahasā kalpanāghaṭe /	prajQA mudgara viDvaste] sahasA kalpanA Gawe /
   prakṛtyā nirmalaḥ svacchojñānadīpaḥ prakāśate // Cvp_120 //	prakRtyA nirmalaH svacCaH jQAna dIpaH prakASate // Cvu _120 //
   suprasiddhāni bhūtānikṣityagnijalavāyavaḥ /	su prasidDAni BUtAni kziti agni jala vAyavaH /
   kriyante hyanyathāvijñairmantrasāmarthyayogataḥ // Cvp_121 //	kriyante hi anyaTA avijQEH mantra sAmarTya yogataH // Cvu _121 //
   sarvavādaṃ parityajyamantravādaṃ samācaret /	sarva vAdam parityajya mantra vAdam samAcaret /
   yasya mantrasyasāmarthyātsaukhyabhāvo 'pi sidhyati // Cvp_122 //	yasya mantrasya sAmarTyAt sOKya BAvaH api siDyati // Cvu _122 //
   triratnaṃ na parityājyaṃbodhicittaṃ tathā guruḥ /	tri ratnam na parityAjyaMboDi cittam taTA guruH /
   na vadhyāḥ prāṇinaḥ ke 'pisamayānyapyadhiṣṭhayet // Cvp_123 //	na vaDyAH prANinaH ke api samayAni api aDizWayet // Cvu _123 //
   madhu raktaṃ sakarpūraṃraktacandanayojitam /	maDu raktam sa karpUraMrakta candana yojitam /
   munivajrodakaṃ caivapañcaitānyapyadhiṣṭhayet // Cvp_124 //	muni vajra udakam ca eva paQca etAni api aDizWayet // Cvu _124 //
   anyaiścasamayairdivyaiścittasyotkarṣakārakaiḥ /	anyEH ca sa mayEH divyEH cittasya utkarza kArakEH /
   mārutakṣobhaśāntyarthaṃprīṇayeccittavajrakam // Cvp_125 //	mAruta kzoBa SAnti arTaMprINayet citta vajrakam // Cvu _125 //
   [nāśucibhāvaāśaṅkyo 'vikalpyayogalīlayā /	[na aSuci BAvaa ASaFkyaH avikalpya yoga lIlayA /
   samāyuktena cittena mantrīsarvaṃ samācaret] // Cvp_126 //	samAyuktena cittena mantrI sarvam samAcaret] // Cvu _126 //
   makṣikāpadamātreṇaviṣeṇāpyabhibhūyate /	makzikA pada mAtreNa vizeNa api aBiBUyate /
   aṇumātrā ghṛṇā śaṅkāmṛtyukaṣṭena saṃyutā // Cvp_127 //	aNu mAtrA GRNA SaFkA mRtyu kazwena saMyutAH // Cvu _127 //
   suyuddhaṃ vācaredvijñaḥsupalāyanameva vā /	su yudDam vAcaret vijQaH supalAyanam eva vA /
   āntarālikabhāvastu vyarthovai patanaṃ bhavet // Cvp_128 //	AntarAlika BAvaH tu vyarTaH vE patanam Bavet // Cvu _128 //
   gurorājñāñca mudrāñcachāyāmapi na laṅghayet /	guroH AjQAQca mudrAQca CAyAm api na laFGayet /
   guṇāstasya paraṃ grāhyā doṣānaiva kadācana // Cvp_129 //	guNAH tasya param grAhyAH dozAn A eva kadAcana // Cvu _129 //
   ācāryaḥ paramo devaḥpūjanīyaḥ prayatnataḥ /	AcAryaH paramaH devaH pUjanIyaH prayatnataH /
   svayaṃ vajradharo rājāsākṣādrūpeṇa saṃsthitaḥ // Cvp_130 //	svayam vajraDaraH rAjA sAkzAt rUpeNa saMsTitaH // Cvu _130 //
   yathodakamaṇiḥ śuddhaḥkaluṣodakaśodhakaḥ /	yaTA udaka maNiH SudDaH kaluza udaka SoDakaH /
   śraddhāmaṇistathāproktaścittaratnaviśodhakaḥ // Cvp_131 //	SradDAmaNiH taTA aproktaH citta ratna viSoDakaH // Cvu _131 //
   śraddhāvānmuhyate ko 'piprajñācakṣurvivarjitaḥ /	SradDAvAn muhyate kaH api prajQA cakzuH vivarjitaH /
   utpādayedataḥprajñāmāgamādhigamātmikām // Cvp_132 //	utpAdayet atas prajQAm Agama aDigama AtmikAm // Cvu _132 //
   śrāddho bahuśrutaḥ prājñaḥprakṛtyā karuṇātmakaḥ /	SrAdDaH bahu SrutaH prAjQaH prakRtyA karuNA AtmakaH /
   jagadduḥkhavināśāyasukhopāyaṃ sa vindati // Cvp_133 //	jagat duHKa vinASAya suKa upAyam sa vindati // Cvu _133 //
   cittaviśuddhimādhāyayanmayopārjitaṃ sukham /	citta viSudDim ADAyayan mayA upArjitam suKam /
   cittaviśuddhimādhāya tenāstusukhito janaḥ // Cvp_134 //	citta viSudDim ADAya tena astu suKitaH janaH // Cvu _134 //
   // kṛtiriyamāryadevapādānāmiti //	// kRtiH iyam Arya deva pAdAnAm iti //
