   Tarkabhāṣā	Tarka BAzA
   asadviṣayatvācca bhrāntirucyate / taduktam   svarūpe sarvamabhrāntaṃ	asat vizaya tvAt ca BrAntiH ucyate / tat uktam  svarUpe sarvam aBra antam
   pararūpe viparyayaḥ / iti //	para rUpe viparyayaH / iti //
   tasmādanyathā prakāśāsiddheḥ yadyamī prakāśante, tadā svahetoreva	tasmAt anyaTA prakASa asidDeH yadi amI prakASante, tadA sva hetoH eva
   prakāśasvabhāvādutpannāḥ santaḥ prakāśanta iti svīkartavyam //	prakASa svaBAvAt utpannAH santaH prakASante iti svIkartavyam //
   yogipratyakṣanirūpaṇam	yogi pratyakza nirUpaNam
   bhūtārthabhāvanāprakarṣaparyantajaṃ yogijñānaṃ ceti / yogaḥ samādhiḥ,	BUta arTa BAvanA prakarza paryanta jam yogi jQAnam ca iti / yogaH samADiH,
   cittaikāgratālakṣaṇaḥ / niśśeṣavastutatvavivecikā prajñā / yogo 'syāstīti	citta ekAgra tA lakzaNaH / niSSeza vastutatva vivecikA prajQA / yogaH asya asti iti
   yogī / yogino yat jñānaṃ tatpratyakṣam / kīdṛśaṃ taditi cet?	yogI / yoginaH yat jQAnam tat pratyakzam / kIdRSam tat iti ced ?
   bhūtārthabhāvanāprakarṣaparyantajam / bhūtārthaḥ pramāṇopapannārthaḥ /	BUta arTa BAvanA prakarza paryanta jam / BUta arTaH pramANa upapanna arTaH /
   bhāvanā punaḥ punaścetasi samāropaḥ /	BAvanA punar punar cetasi samAropaH /
   bhūtārthabhāvanāprakarṣaparyantājjātaṃ yadvijñānaṃ tat	BUta arTa BAvanA prakarza paryantAt jAtam yat vijQAnam tat 
   kalpanāpoḍhabhrāntam / bhūtārthaścaturāryasatya	kalpanA apoXa BrAntam / BUta arTaH catur Arya satya
   duḥkhasamudayanirodhamārgasaṃjñakam, pañcaskandhasvabhāvaṃ	duHKa samudaya niroDa mArga saMjQakam, paQca skanDa svaBAvam
   kṣaṇikaśūnyanirātmakaduḥkhādirūpatayā pratipattavyam / yatsat tat	kzaNika SUnya nirAtmaka duHKa Adi rUpa tayA pratipattavyam / yat sat tat 
   kṣaṇikamityādyanumānena pramāṇopapannamupagantavyamiti //	kzaNikam iti Adi anumAnena pramANa upapannam upagantavyam iti //
   nanu bhāvanā vikalpaḥ, vikalpaścāvastuviṣayaḥ, tatkathaṃ vastunaḥ	nanu BAvanA vikalpaH, vikalpaH ca avastu vizayaH, tat kaTam vastunaH
   sphuṭībhāvo bhavatu /kathaṃ vā vikalpo nirvikalpatāṃ vrajet? kṣaṇikaṃ ca	sPuwIBAvaH Bavatu /kaTam vA vikalpaH nirvikalpa tAm vrajet? kzaNikam ca
   citaṃ kathamekāgrībhavati? viśeṣaśca kasya kena vā kriyatām? śarīrī ca	citam kaTam ekAgrIBavati? viSezaH ca kasya kena vA kriyatAm? SarIrI ca
   rāgādivirahānmuktaśceti sarvamasaṃgatam / atrocyate   avastuviṣayo 'pi	rAga Adi virahAt muktaH ca iti sarvam asaMgatam / atra ucyate  avastu vizayaH api
   vikalpo vastvadhyavasyatīti bhāvanāto vastuna evātra sphuṭībhāvaḥ / na ca	vikalpaH vastu aDyavasyati iti BAvanAtaH vastunaH eva atra sPuwIBAvaH / na ca
   vikalpa eva nirvikalpakaḥ, kiṃ tu vikalpānnirvikalpakasyodayaḥ /	vikalpaH eva nirvikalpakaH, kim tu vikalpAt nirvikalpakasya udayaH /
   anubhavasiddhaṃ caitat bhāvayatāṃ nirvikalpakapratibhāsanaṃ, kāmaśokādivat	anuBava sidDam ca etat BAvayatAm nirvikalpaka pratiBAsanaM, kAma Soka Adi vat 
   / na hi dṛṣṭe kiñcidanupapannaṃ nāma / kṣaṇikamapi cittaṃ sajātīyakṣaṇeṣu	/ na hi dRzwe kiQcid anupapannam nAma / kzaNikam api cittam sajAtI yakzaNezu
   grahaṇapravīṇatvāt ekāgramucyate / kṣaṇikatvanaiva viśeṣotpattiḥ, na tu	grahaNa pravINa tvAt ekAgram ucyate / kzaNika tvana eva viSeza utpattiH, na tu
   nityatvena, nityasyānādheyātiśayatvāt yaduktam  	nitya tvena, nityasya anADeya atiSaya tvAt yat uktam  
   nityaṃ tamāhurvidvāṃso yaḥ svabhāvo na naśyati /	nityam tam AhuH vidvAMsaH yaH svaBAvaH na naSyati /
   tasya śaktiraśaktirvā yā svabhāvena saṃsthitā /	tasya SaktiH aSaktiH vA yA svaBAvena saMsTitA /
   nityavādapi kiṃ tasya kastāṃ kṣapayituṃ kṣamaḥ // iti //	nityavAt api kim tasya kaH tAm kzapayitum kzamaH // iti //
   yattu śarīritve sukhaduḥkhayorbhāvādanugrahanigrahāt śarīrī	yat tu SarIri tve suKa duHKayoH BAvAt anugraha nigrahAt SarIrI
   rāgādivirahānmukta śceti vighaṭanamuktaṃ, tadayuktam / na hi śarīraṃ	rAga Adi virahAt mukta Sca iti viGawana m uktaM, tat ayuktam / na hi SarIram
   rāgādihetuḥ, kiṃ tu avidyā / anitye nityamiti, anātmanyātmeti, duḥkhe	rAga Adi hetuH, kim tu avidyA / anitye nityam iti, anAtmani AtmA iti, duHKe
   sukhamiti, aśucau śuciteti, caturvipayāsasvabhāvā mithyopalabdhiḥ / ata	suKam iti, aSucO Suci tA iti, catur vipayAsa svaBAvAH miTyA upalabDiH / ata
   eva viṣayasukhatṛṣṇā syāt / ātmānaṃ nityaṃ paśyata eva	eva vizaya suKa tRzNA syAt / AtmAnam nityam paSyate eva
   sukhābhikāṅkṣaṇādisukhaheturātmīyaḥ syāt / eṣu cā 'saṅgo rāgaḥ /	suKa aBikAFkzaNa Adi suKa hetuH AtmIyaH syAt / ezu cA asaFgaH rAgaH /
   etatpratibandhāśca dveṣādayaḥ / tasmādavidyaiva mūlaṃ rāgāderna tu śarīram	etad pratibanDAH ca dveza AdayaH / tasmAt avidyA eva mUlam rAga AdeH na tu SarIram
   / satyapi śarīre yadyavidyā na syāt, kuta eva rāgādiyogāḥ?	/ sati api SarIre yadi avidyAH na syAt, kutas eva rAga Adi yogAH?
   tasmājjīvaccharīre satyapi avidyāvirahāt sarvasaṅgavirahalakṣaṇā	tasmAt jIvat SarIre sati api avidyA virahAt sarva saFga viraha lakzaNA
   muktirvītarāgāṇāṃ bhavatīti sarvaṃ susthitam /	muktiH vIta rAgANAm Bavati iti sarvam susTitam /
   pratyakṣasya svalakṣaṇāviṣayatvasamarthanam	pratyakzasya sva lakzaNa avizaya tva samarTanam
   tasya viṣayaḥ svalakṣaṇam / tasya caturvidhasya pratyakṣasya svalakṣaṇaṃ	tasya vizayaH sva lakzaNam / tasya caturviDasya pratyakzasya sva lakzaNam
   viṣayo boddhavyaḥ / svalakṣaṇamityasādhāraṇaṃ vastusvarūpaṃ	vizayaH bodDavyaH / sva lakzaNam iti asADAraNam vastu svarUpam
   deśakālākāraniyatam / etenaitaduktaṃ bhavati 	deSa kAla AkAra niyatam / etena etat uktam Bavati 
   ghaṭādirudakādyāharaṇasamartho deśakālākāraniyataḥ puraḥ prakāśamāno	Gawa AdiH udaka Adi AharaNa samarTaH deSa kAla AkAra niyataH puras prakASamAnaH 
   'nityatvādyanekadharmāntarodāsīnaḥ pravṛttiviṣayaḥ	anitya tva Adi aneka Darma antara udAsInaH pravRtti vizayaH
   sajātīyavijātīyavyāvṛttaḥ svalakṣaṇamityarthaḥ /	sajAtIya vijAtIya vyAvRttaH sva lakzaNam iti arTaH /
   ayogānyogavyavacchedayoḥ bhedaḥ	ayogAn yoga vyavacCedayoH BedaH
   nanu yadi svalakṣaṇameva pratyakṣasya viṣayo na sāmānyaṃ tadānīṃ	nanu yadi sva lakzaNam eva pratyakzasya vizayaH na sAmAnyam tadAnIm
   dhūmadahanasāmānyayorvyāptiḥ kathaṃ pratyakṣeṇa gṛhyatām? nāyaṃ doṣaḥ /	DUma dahana sAmAnyayoH vyAptiH kaTam pratyakzeNa gRhyatAm? na ayam dozaH /
   yato 'yogavyavacchedena svalakṣaṇaṃ tasya viṣaya eva, na	yatas ayoga vyavacCedena sva lakzaNam tasya vizayaH eva, na
   tvanyayogavyavacchedena svalakṣaṇameva tasya viṣaya iti / kiṃ tarhi,	tu anya yoga vyavacCedena sva lakzaNam eva tasya vizayaH iti / kim tarhi,
   sāmānyamapyasya viṣayaḥ /	sAmAnyam api asya vizayaH /
   pramāṇa phala vyavasthā	pramANa Pala vyavasTA
   dvividho hi pramāṇasya viṣayaḥ grāhyo 'dhyavaseyaśca / tatra pratyakṣasya	dviviDaH hi pramANasya vizayaH grAhyaH aDyavaseyaH ca / tatra pratyakzasya
   pratibhāsamānaṃ svalakṣaṇam eko grāhyaḥ / adhyavaseyastu	pratiBAsamAnam sva lakzaNam ekaH grAhyaH / aDyavaseyaH tu
   pratyakṣapṛṣṭhabhāvino vikalpasya pratibhāsamānaṃ sāmānyameva / tacca	pratyakza pRzWa BAvinaH vikalpasya pratiBAsamAnam sAmAnyam eva / tat ca
   sāmānyaṃ dvividham, ūrdhvatālakṣaṇaṃ tiryaglakṣaṇaṃ ceti / tatraikasyāmeva	sAmAnyam dviviDam, UrDva tA lakzaNam tiryak lakzaNam ca iti / tatra ekasyAm eva
   ghaṭādivyaktau sajātīyavyāvṛttāyāmanekakṣaṇasamudāyaḥ sāmānyaṃ	Gawa Adi vyaktO sajAtIya vyAvRtta AyAm aneka kzaNa samudAyaH sAmAnyam
   ūrdhvatālakṣaṇaṃ sādhanapratyakṣasya viṣayaḥ /	UrDva tA lakzaNam sADana pratyakzasya vizayaH /
   vijātīyavyāvṛttāstvanekavyaktayaḥ tiryaksāmānyaṃ vyāptigrāhakapratyakṣasya	vijAtIya vyAvRttAH tu aneka vyaktayaH tiryak sAmAnyam vyApti grAhaka pratyakzasya
   viṣayaḥ / anumānasya tu sāmānyaṃ grāhyaṃ, adhyavaseyastu svalakṣaṇameva /	vizayaH / anumAnasya tu sAmAnyam grAhyan, aDyavaseyaH tu sva lakzaNam eva /
   pratyakṣasya svalakṣaṇaviṣayapratipādane paroktāḥ ṣaṭ padārthā na viṣayā	pratyakzasya sva lakzaNa vizaya pratipAdane para uktAH zaw padArTA na vizayA
   ityuktam yathā   avayavidravyaṃ, guṇaḥ, karma, sāmānyaṃ, viśeṣaḥ,	iti uktam yaTA  avayavi dravyan, guNaH, karma, sAmAnyaM, viSezaH,
   samavāyaśceti / na caiṣāṃ pratyakṣe jñāne pratibhāso 'sti / na	samavAyaH ca iti / na ca ezAm pratyakze jQAne pratiBAsaH asti / na
   cāpratibhāsamāno viṣayo yujyate, atiprasaṅgāt / tathā hi   ghaṭādau	ca apratiBAsamAnaH vizayaH yujyate, atiprasaFgAt / taTA hi  Gawa AdO
   paridṛśyamāne pūrvāparādibhāgaṃ vihāya	paridRSyamAne pUrva apara Adi BAgam vihAya
   nānyatkiñcidekamavayavidravyamupalabhāmahe / yadāha nyāyaparameśvaraḥ  	na anyat kiQcid ekam avayavi dravyam upalaBAmahe / yat Aha nyAya parameSvaraH  
   bhāgā eva hi bhāsante sanniviṣṭāstathā tathā /	BAgAH eva hi BAsante sannivizwAH taTA taTA /
   tadvānnaiva punaḥ kaścidvibhāgaḥ sampratīyate // iti //	tadvAn na eva punar kaScid viBAgaH sampratIyate // iti //
   evaṃ guṇakarmādīnāṃ ca duṣaṇaṃ pratyetabyam //	evam guNa karma AdInAm ca duzaNam pratyetabyam //
   pramāṇaphalāvabodhaḥ	pramANa Pala avaboDaH
   nanu pramitirūpāṃ kriyāṃ phalabhūtāṃ niṣpādayajjñānaṃ pramāṇamiti	nanu pramiti rUpAm kriyAm Pala BUtAm nizpAdayat jQAnam pramANam iti
   prasiddham / tatra kāsau pramitiḥ, yāṃ janajjñānaṃ pramāṇamiti cet? ucyate	prasidDam / tatra kAsO pramitiH, yAm janat jQAnam pramANam iti cet? ucyate
     iha nīlāderarthāt jñānaṃ dvirūpamutpadyate nīlākāraṃ, nīlabodhasvabhāvaṃ	 iha nIla AdeH arTAt jQAnam dvi rUpam utpadyate nIla AkAraM, nIla boDa svaBAvam
   ca / tatrānīlākāravyāvṛtyā nīlākāraṃ jñānaṃ pramāṇam / anīlabodhavyāvṛtyā	ca / tatra anIla AkAra vyAvRtyA nIla AkAram jQAnam pramANam / anIla boDa vyAvRtyA
   nīlabodharūpaṃ pramitiḥ / saiva phalam / yathoktam  	nIla boDa rUpam pramitiH / sA eva Palam / yaToktam  
   arthasārūpyamasya pramāṇam, arthādhigatiḥ pramāṇaphalam / iti //	arTa sArUpyam asya pramANam, arTa aDigatiH pramANa Palam / iti //
   etacca vikalpapratyayena bhinnaṃ vyavasthāpyate paramārthatastu nāstyeva	etat ca vikalpa pratyayena Binnam vyavasTApyate paramArTataH tu na asti eva
   bhedaḥ /	BedaH /
   yathoktam  	yaTA uktam  
   tadeva pratyakṣaṃ jñānaṃ pramāṇaphalam / iti //	tat eva pratyakzam jQAnam pramANa Palam / iti //
   pramāṇatatphalayorabhedaḥ	pramANa tad PalayoH aBedaH
   sākāraṃ cedaṃ jñānameṣṭavyam / yadi punaḥ sākāraṃ jñānaṃ neṣyate,	sa AkAram ca idam jQAnam ezwavyam / yadi punar sa AkAram jQAnam na izyate,
   tadānākāratvena sarvatra viṣaye tulyatvāt vibhāgena viṣayavyavasthā na	tadA anAkAra tvena sarvatra vizaye tulya tvAt viBAgena vizaya vyavasTA na
   sidhyati / yatpunaḥ kecidāhuḥ   pūrvaṃ jñānaṃ pramāṇaṃ uttaraṃ jñānaṃ	siDyati / yat punar kecid AhuH  pUrvam jQAnam pramANam uttaram jQAnam
   pramāṇaphalamiti, tanna yuktam /	pramANa Palam iti, tat na yuktam /
   tathā hi prathamakṣaṇabhāvi tāvajjñānaṃ pramāṇaphalabhūtasya	taTA hi praTama kzaNa BAvi tAvat jQAnam pramANa Pala BUtasya
   dvitīyajñānasyānutpatteḥ,phalabhūtajñānotpattau ca pūrvasya kṣaṇikatvena	dvitIya jQAnasya anutpatteH, Pala BUta jQAna utpattO ca pUrvasya kzaNika tvena
   vināśāt kathaṃ ghaṭādiviṣayaṃ jñānaṃ pramāṇaṃ bhavati? nāpi	vinASAt kaTam Gawa Adi vizayam jQAnam pramANam Bavati? na api
   samānakālabhāvi jñānaṃ phalamucitam, upakāryopakārakatvābhāvāt,	samAna kAla BAvi jQAnam Palam ucitam, upakArya upakAraka tva aBAvAt,
   savyetaragoviṣāṇayoriva / [tasmāt paramārthataḥ pramāṇaphalayornāsti	savya itara go vizANayoH iva / [tasmAt paramArTataH pramANa PalayoH na asti
   bhedaḥ / kālpanikastu vyāvṛttikṛto bhedaḥ vikalpabuddhau vyavasthāpyate]	BedaH / kAlpanikaH tu vyAvRtti kRtaH BedaH vikalpa budDO vyavasTApyate]
   iti tarkabhāṣāyāṃ pratyakṣaparicchedaḥ prathamaḥ samāptaḥ //	iti tarka BAzAyAm pratyakza paricCedaH praTamaH samAptaH //
   svārthānumānam	sva arTa anumAnam
   anumānasya dvaividhyam svārthānumānalakṣaṇam	anumAnasya dvEviDyam sva arTa anumAna lakzaNam
   anumānaṃ dvividham   svārthaṃ parārthaṃ ca / svasmai yattat	anumAnam dviviDam  sva arTam para arTam ca / svasmE yat tat
   svārthamanumānaṃ jñānātmakam / parvatādau dharmiṇi dhūmādikaṃ dṛṣṭvā yasya	sva arTam anumAnam jQAna Atmakam / parvata AdO DarmiNi DUma Adikam dRzwvA yasya
   pratipattuḥ vahnijñānamutpadyate, sa eva tena jñānena parokṣamarthaṃ	pratipattuH vahni jQAnam utpadyate, saH eva tena jQAnena parokzam arTam
   pratipadyate nānya iti svārthānumānamucyate / parasmai yattat parārtham /	pratipadyate na anyaH iti sva arTa anumAnam ucyate / parasmE yat tat para arTam /
   parārthānumānaṃ vacanātmakam / trirūpaliṅgapratipādakaṃ vacanaṃ paraṃ	para arTa anumAnam vacana Atmakam / trirUpa liFga pratipAdakam vacanam param
   pratipādayati jñāpayatīti kṛtvā vacanamapyanumānaśabdenocyate, upacārāt,	pratipAdayati jQApayati iti kRtvA vacanam api anumAna Sabdena ucyate, upacArAt ,
   yathā āyurghṛtamiti /	yaTA AyuH GRtam iti /
   anumānasya kāryam	anumAnasya kAryam
   tatra svārtha trirūpaliṅgādyadanumeye jñānam /	tatra sva arTa trirUpa liFgAt yat anumeye jQAnam /
   rūpatrayayuktālliṅgādanumeye parokṣaviṣaye yad jñānaṃ	rUpa traya yuktAt liFgAt anumeye parokza vizaye yat jQAnam
   rpatipatturutpadyate, tat svārthānumānam / tacca dharmaviśeṣa	rpatipattuH utpadyate, tat sva arTa anumAnam / tat ca Darma viSeza
   sambandhitayā sādhyāvinābhāvitvaniścaya ityeke /	sambanDi tayA sADya avinA aBAvi tva niScayaH iti eke /
   agnyadhyavasāya ityanye /	agni aDyavasAyaH iti anye /
   liṅgasya trirūpatvam	liFgasya tri rUpa tvam
   samprati liṅgasya trirūpatvamucyate   anumeye satvameva niścitam / anumeye	samprati liFgasya tri rUpa tvam ucyate  anumeye satvam eva niScitam / anumeye
   parvatādau dharmiṇi liṅgasyāstitvameva niścitaṃ, tadekaṃ rūpaṃ	parvata AdO DarmiNi liFgasya astitvam eva niScitaM, tat ekam rUpam
   pakṣadharmatāsaṃjñakam / atra sattvagrahaṇenāsiddhasya nirāsaḥ, yathā  	pakza DarmatA saMjQakam / atra sattva grahaNena asidDasya nirAsaH, yaTA  
   anityaśśabdaścākṣuṣatvāt, cākṣuṣatvaṃ cakṣurvijñānagrāhyatvamucyate, tacca	anityaH SabdaH cAkzuza tvAt, cAkzuza tvam cakzuH vijQAna grAhya tvam ucyate, tat ca
   śabde dharmiṇi nāsti / evakāreṇa pakṣaikadeśāsiddhasya nirāsaḥ, yathā	Sabde DarmiNi na asti / eva kAreNa pakza eka deSa asidDasya nirAsaH, yaTA
   digambaraprayogaḥ   cetanāstaravaḥ svāpāt / patrasaṅkocalakṣaṇo hi svāpaḥ,	digambara prayogaH  cetanAH taravaH svApAt / patra saFkoca lakzaNaH hi svApaH,
   sa ca sarveṣu taruṣvasiddhaḥ / niścitagrahaṇena sandigdhāsiddhasya	sa ca sarvezu taruzu asidDaH / niScita grahaNena sandigDa asidDasya
   nirāsaḥ, yathā   agniratra vāṣpāditvena sandihyamānād bhūtasaṃghātāt /	nirAsaH, yaTA  agniH atra vA azpa Adi tvena sandihyamAnAt BUta saMGAtAt /
   satvaśabdātpaścādevakāreṇa asādhāraṇasya nirāsaḥ, yathā  anityaśśabdaḥ	satva SabdAt paScAt evakAreNa asADAraNasya nirAsaH, yaTA anityaH SabdaH
   śrāvaṇatvāt ghaṭavat //	SrAvaNa tvAt Gawa vat //
   sapakṣanirūpaṇam	sa pakza nirUpaNam
   sapakṣa eva sattvaṃ niścitamiti vartate / samānaḥ pakṣaḥ sapakṣaḥ /	sa pakzaH eva sattvam niScitam iti vartate / samAnaH pakzaH sa pakzaH /
   pakṣeṇa saha sadṛśo dṛṣṭāntadharmītyarthaḥ / sapakṣa eva satvaṃ	pakzeNa saha sadRSaH dRzwAnta DarmI iti arTaH / sa pakzaH eva satvam
   niścitamityanvayasaṃjñakaṃ dvitīyaṃ rūpam / atra sattvagrahaṇena	niScitam iti anvaya saMjQakam dvitIyam rUpam / atra sattva grahaNena
   viruddhasya nirāsaḥ, yathā   śabdo nityaḥ kṛtakatvāt ghaṭavat / kṛtakatva	virudDasya nirAsaH, yaTA  SabdaH nityaH kRtaka tvAt Gawa vat / kRtaka tva
   hi nityatvavipakṣeṇānityatvena vyāptamiti viruddhamucyate / evakāreṇa	hi nitya tva vipakzeNa anitya tvena vyAptam iti virudDam ucyate / eva kAreNa
   sādhāraṇasya nirāsaḥ, yathā   nityaśśabdaḥ prameyatvāt ghaṭavat /	sADAraNasya nirAsaH, yaTA  nityaH SabdaH prameya tvAt Gawa vat /
   prameyatvaṃ hi vikalpaviṣayīkṛtatvam, tacca sapakṣe ākāśādau vipakṣe ca	prameya tvam hi vikalpa vizayIkRta tvam, tat ca sa pakze AkASa AdO vipakze ca
   ghaṭādau sarvatrāstīti sādhāraṇamucyate / sattvaśabdāt pūrvasminnevakāreṇa	Gawa AdO sarvatra asti iti sADAraNam ucyate / sattva SabdAt pUrvasmin= evakAreNa
   sarvasapakṣāvyāpino 'pi prayatnānantarīyakasya hetutvaṃ kathitam / yathā  	sarva sapakza avyApinaH api prayatna AnantarIyakasya hetu tvam kaTitam / yaTA  
   anityaśśabdaḥ prayatnānantarīyakatvādghaṭavadvidyudvat / niścitagrahaṇena	anityaH SabdaH prayatna anantarIyaka tvAt Gawa vat vidyut vat / niScita grahaNena
   sandigdhānvayasya nirāsaḥ, yathā   asarvajño 'yaṃ kaścit vaktṛtvādiṣṭapuru	sandigDa anvayasya nirAsaH, yaTA  asarva jQaH ayam kaScid vaktR tva Adizwa puru
   ṣavat / iṣṭapuruṣe sapakṣe ca vaktṛtvamasarvajñatvena vyāptamavyāptaṃ vā	zavat / izwa puruze sa pakze ca vaktR tvam asarvajQa tvena vyAptam avyAptam vA
   na jñāyate //	na jQAyate //
   vipakṣanirūpaṇam	vipakza nirUpaNam
   asapakṣe cāsattvameva niścitam / na sapakṣo 'sapakṣaḥ / tatrāsattvameva	asapakze ca asattvam eva niScitam / na sa pakzaH asapakzaH / tatra asattvam eva
   niścitaṃ vyatirekasaṃjñakaṃ tṛtīyaṃ rūpam / atrāpyasattvagrahaṇena	niScitam vyatireka saMjQakam tRtIyam rUpam / atra api asattva grahaNena
   viruddhasya nirāsaḥ / yathā nityaśśabdaḥ kṛtakatvādghaṭavat / viruddho hi	virudDasya nirAsaH / yaTA nityaH SabdaH kRtaka tvAt Gawa vat / virudDaH hi
   vipakṣe 'sti / evakāreṇa sādhāraṇasya vipakṣaikadeśavṛtternirāsaḥ /	vipakze asti / eva kAreNa sADAraNasya vipakza eka deSa vRtteH nirAsaH /
   prayatnānantarīyakatve sādhye anityatvaṃ vipakṣaikadeśe vidhudādāvasti /	prayatna anantarIyaka tve sADye anitya tvam vipakza eka deSe viDuda AdO= asti /
   ākāśādau nāsti / tato niyamenāsya nirāsaḥ /	AkASa AdO na asti / tatas niyamena asya nirAsaH /
   asattvavacanātpūrvasminnavadhāraṇe ayamarthaḥ syāt / vipakṣa eva yo nāsti	asattva vacanAt pUrvasmin= avaDAraNe ayam arTaH syAt / vipakzaH eva yaH na asti
   sa hetuḥ / tathā ca prayatnānantarīyakatvaṃ sapakṣe 'pi nāsti, tato na	sa hetuH / taTA ca prayatna AnantarIyaka tvam sa pakze api nAsti, tatas na
   hetuḥ syāt, tataḥ pūrva na kṛtamiti / niścitagrahaṇena	hetuH syAt, tatas pUrva na kRtam iti / niScita grahaNena
   sandigdhavipakṣavyāvṛttikasya nirāsaḥ / yathāvītarāgo 'yaṃ puruṣo	sandigDa vipakza vyAvRttikasya nirAsaH / yaTA vIta rAgaH ayam puruzaH 
   vaktṛtvāt, rathyāpuruṣavat / yatrāvītarāgatvaṃ nāsti tatra vaktṛtvamapi	vaktR tva at, raTyA puruza vat / yatra avIta rAga tvam na asti tatra vaktR tvam api
   nāsti, yathopalakhaṇḍe / yadi nāma pāṣaṇakhaṇḍādubhayaṃ vyāvṛttaṃ tathāpi	nAsti, yaTA upala KaNxe / yadi nAma pAzaNa KaNxAt uBayam vyAvRttam taTA api
   na jñāyate kimavītarāgatvanivṛttyā pāṣaṇakhaṇḍādbaktṛtvaṃ nivṛttaṃ,	na jQAyate kim avIta rAga tva nivRttyA pAzaNa KaNxAt baktR tvam nivRttaM,
   ahosvit svata eveti / tataḥ sandigdhavyatireko 'yamanaikāntikaḥ /	ahosvit svatas eva iti / tatas sandigDa vyatirekaH ayam anEkAntikaH /
   asattvaśabdātpaścādevakāreṇa vipakṣaikadeśavṛtternirāsaḥ / yathā  	asattva SabdAt paScAt evakAreNa vipakza eka deSa vRtteH nirAsaH / yaTA  
   prayatnānantarīyakaśśabdo 'nityatvāt / anityatvaṃ vipakṣādākāśānnivṛttaṃ,	prayatna anantarIyakaH SabdaH anitya tvAt / anitya tvam vipakzAt AkASAt nivRttaM,
   na vidyutaḥ / tato vipakṣaikadeśavṛttitvamasya //	na vidyutaH / tatas vipakza eka deSa vRtti tvam asya //
   trirūpaprayogasya prayojanam	trirUpa prayogasya prayojanam
   nanu sapakṣa eva sattyamityukte sāmārthyādevāsapakṣe cāsattvamiti gamyate	nanu sa pakzaH eva sattyam iti ukte sAma arTyAt eva Asapakze ca asattvam iti gamyate
   / tatkimarthamubhayorupādanamiti cet? vipakṣaniyamārthamiti pūrvavṛddhāḥ /	/ tat kim arTam uBaya UH upAdanam iti cet? vipakza niyama arTam iti pUrva vRdDAH /
   te ca trividha eva vipakṣo bhavatīti manyante / sādhyābhāvamātraṃ,	te ca triviDaH eva vipakzaH Bavati iti manyante / sADya aBAva mAtraM,
   sādhyādanyaḥ, sādhyena saha viruddhaśca prayoganiyamārthamiti kecit /	sADyAt anyaH, sADyena saha virudDaH ca prayoga niyama arTam iti kecid /
   anvayaprayogo vyatirekaprayogo vā niyamavānekaḥ prayoktavyo na dvāvapīti /	anvaya prayogaH vyatireka prayogaH vA niyamavAn ekaH prayoktavyaH na dvO= api iti /
   sādharmyavaidharmyaprayogasūcanārthamiti kecit /	sADarmya vEDarmya prayoga sUcana arTam iti kecid /
   triliṅgabhedanirūpaṇam	tri liFga Beda nirUpaNam
   trirūpāṇi ca trīṇyeva liṅgāni / trīṇi rūpāṇi yeṣāṃ tāni trirūpāṇi trīṇyeva	trirUpANi ca trINi eva liFgAni / trINi rUpANi yezAm tAni trirUpANi trINi eva
   liṅgāni / kāryaṃ trirūpaṃ liṅgam / svābhāvastrirūpaṃ liṅgam /	liFgAni / kAryam trirUpam liFgam / svABAvaH trirUpam liFgam /
   anupalabdhistrirūpaṃ liṅgam / sādhanaṃ jñāpakaṃ heturvyāpyaṃ ceti	anupalabDiH trirUpam liFgam / sADanam jQApakam hetuH vyApyam ca iti
   liṅgāparanāmāni /	liFga apara nAmAni /
   kāryahetunirūpaṇam	kArya hetu nirUpaNam
   tatra kāryaṃ yathā   yatra dhūmastatrāgniryathā mahānase, dhūmaścātreti /	tatra kAryam yaTA  yatra DUmaH tatra agniH yaTA mahAnase, DUmaH ca atra iti /
   vyāptipakṣadharmatāsaṃjñakaṃ dvayavayavameva sādhanavākyaṃ saugatānām /	vyApti pakza DarmatA saMjQakam dvayavayavam eva sADana vAkyam sOgatAnAm /
   anye tu pratijñāhetudṛṣṭāntopanayanigamanaṃ ceti pañcāvayavaṃ	anye tu pratijQA hetu dRzwAnta upanaya nigamanam ca iti paQca avayavam
   sādhanavākyamāhuḥ / upanyāsaścedṛśaḥ   agniratra, dhūmāt, yatra	sADana vAkyam AhuH / upanyAsaH ca IdRSaH  agniH atra, DUmAt, yatra
   dhūmastatrāgniryathā mahānase, tathā cāyaṃ, tasmādagniriti / etaccāyuktam	DUmaH tatra agniH yaTA mahAnase, taTA ca ayan, tasmAt agniH iti / etat ca ayuktam
   / pratijñāvacanamātrātsambandharahitāt sādhyapratipatterayogāt /	/ pratijQA vacana mAtrAt sambanDa rahitAt sADya pratipatteH ayogAt /
   sambandhābhāvastu śabdārthayoḥ sambandhadūṣaṇe pratipāditatvānna	sambanDa aBAvaH tu Sabda arTayoH sambanDa dUzaNe pratipAdita tvAt na
   punarucyate / pratijñāmantareṇa pañcapyantahetuprayogo 'pyayuktaḥ / hetuṃ	punar ucyate / pratijQAm antareNa paQcapi anta hetu prayogaH api ayuktaH / hetum
   vinopanayadṛṣṭāntāvapyayuktau / yatra pratijñaiva nāsti tatra pratijñāyāḥ	vinA upanaya dRzwAntO= api ayuktO / yatra pratijQA eva na asti tatra pratijQAyAH
