   ācāryanāgārjunaviracitaḥ	AcArya nAgArjuna viracitaH
   dahyante 'gnikuṇḍeṣu tena tadānanāni ca bhavanti vivṛtāni /	dahyante agnikuNxezu tena tad AnanAni ca Bavanti vivRtAni /
   pacyante ca kaṭāhe taṇḍulavallauhamaye 'dhaḥśirasaste // Sl_82 //	pacyante ca kawAhe taNxula vat lOha maye aDaHSirasaH te // Sl_82 //
   śvāsāvarodhasamaye pāpaḥ kālaṃkṛte ca narakaṃ prayāti /	SvAsa avaroDa samaye pApaH kAlaMkRte ca narakam prayAti /
   śrutvāpi narakaduḥkhaṃ sahasraśo vajrasvabhāvātra bibheti // Sl_83 //	SrutvA api naraka duHKam sahasraSas vajra svaBAva atra biBeti // Sl_83 //
   śrutvā dṛṣṭvā smṛtvā paṭhitvā cāpi citrāṅkanaṃ narakasya /	SrutvA dRzwvA smRtvA paWitvA ca api citra aFkanam narakasya /
   ākṛtirapi bhayajanikā kā kathā tadasahyavipākānubhavasya // Sl_84 //	AkRtiH api Baya janikA kA kaTA tad asahya vipAka anuBavasya // Sl_84 //
   yathā samastasukhānāṃ tṛṣṇākṣaya eva sarvottamaṃ sukhamiti /	yaTA samasta suKAnAm tRzNA kzayaH eva sarva uttamam suKam iti /
   tadvat sarvaduḥkheṣvavīcinarakaduḥkhamatyasahanīyaṃ tat // Sl_85 //	tadvat sarva duHKezu avIci naraka duHKam atya sahanIyam tat // Sl_85 //
   ihaikasmiṃśca divase, triśataśūlaghātād bhavati ca yad duḥkham /	iha ekasmin= ca divase, tri Sata SUla GAtAt Bavati ca yat duHKam /
   nārakīyaduḥkhasya hi tatrāpnoti samatāṃ na laghukalāṃ cāpi // Sl_86 //	nArakIya duHKasya hi tatra Apnoti sama tAm na laGu kalAm ca api // Sl_86 //
   koṭivarṣaparyantaṃ dāruṇātiduḥkheṣvanubhavatsu satsvapi /	kowi varza paryantam dAruNa ati duHKezu anuBavatsu satsu api /
   yāvattānyakuśalāni na kṣīṇāni tāvatra jīvanānmuktiḥ // Sl_87 //	yAvat tAni akuSalAni na kzINAni tO= atra jIvanAt muktiH // Sl_87 //
   aniṣṭaphalabījāni tu kāyavākcittānāṃ hi durācaraṇāni /	anizwa Pala bIjAni tu kAya vAc cittAnAm hi durAcaraNAni /
   bhavataivaṃ yatanīyaṃ śaktyā yena tadaṇumātraṃ na śiṣyeta // Sl_88 //	BavatA evam yatanIyam SaktyA yena tat aNu mAtram na Sizyeta // Sl_88 //
   tiryagyoniṣu nānā duḥkhāni bhavanti ca badhabandhanādīni /	tiryagyonizu nAnA duHKAni Bavanti ca baDa banDana AdIni /
   parasparaṃ bhakṣayanti śamamūlaśubhakarmaparihartāraste // Sl_89 //	parasparam Bakzayanti Sama mUla SuBa karma parihartAraH te // Sl_89 //
   kecid vai hanyante muktorṇāsthimāṃsacarmārthaṃ jīvāḥ /	kecid vE hanyante mukta UrNa asTi mAMsa carma arTam jIvAH /
   yojyante khalu vivaśā anye padamuṣṭikaśāṅkuśaiḥ paśavaśca // Sl_90 //	yojyante Kalu vivaSAH anye pada muzwika SAFkuSEH paSavaH ca // Sl_90 //
   pretayonau na kṣayaṃ yātīṣṭālābhajanitā duḥkhadhārā ca /	preta yonO na kzayam yAti iH wAla ABa janitA duHKa DArA ca /
   duḥkhamasahyaṃ labhate śītoṣṇakṣuttṛṣāśramabhayajanitaṃ hi // Sl_91 //	duHKam asahyam laBate SIta uzNa kzuD tRzA Srama Baya janitam hi // Sl_91 //
   sūcīchidravadāsyaṃ keṣāñcidudaramativiśālaṃ nagavacca /	sUcI Cidra vat Asyam kezAQcid udaram ati viSAlam naga vat ca /
   tacca pīḍitaṃ kṣudhayā kṣiptamaśuci vastu na pratikārakṣamam // Sl_92 //	tat ca pIxitam kzuDayA kziptam aSuci vastu na pratikAra kzamam // Sl_92 //
   kecit pretā nagnāḥ śuṣkatālaśikharavadasthicarmāṇaḥ /	kecid pretAH nagnAH Suzka tAla SiKara vat asTi carmANaH /
   naktamagnimudgiratāṃ mukhe patattaptasikatāśanaṃ teṣām // Sl_93 //	naktam agnim udgira tAm muKe patat tapta sikata aSanam tezAm // Sl_93 //
   nimnakoṭikaiḥ kaiścit pūyaraktādyaśucīni na ca labhyante /	nimna kowikEH kEScid pUya rakta Adi aSucIni na ca laByante /
   ākramyānyamukhopari galanirgatalasikādīni ca khādyante // Sl_94 //	Akramya anya muKa upari gala nirgata lasikA AdIni ca KAdyante // Sl_94 //
   candro grīṣme taptaḥ śaitye śīto bhānuśca hyetebhyaḥ /	candraH grIzme taptaH SEtye SItaH BAnuH ca hi eteByaH /
   teṣāṃ dṛṣṭi pātācca niṣphalāstaravo nadyaśca śuṣyante // Sl_95 //	tezAm dRzwi pAtAt ca nizPalAH taravaH nadyaH ca Suzyante // Sl_95 //
   satataṃ duḥkhabhājaste duścaritakarmapāśasudṛḍhabaddhā vai /	satatam duHKa BAjaH te duScarita karma pASa su dRXa badDAH vE /
   na ca mriyante kecit pañca vā daśa sahasravarṣāṇi sattvāḥ // Sl_96 //	na ca mriyante kecid paQca vA daSa sahasra varzANi sattvAH // Sl_96 //
   yacca labhante pretā nānāduḥkhāsvādamekavidhamittham /	yat ca laBante pretAH nAnA duHKa AsvAdam ekaviDam itTam /
   prītiratra kārpaṇye mātsaryamanāryamuktamato buddhena // Sl_97 //	prItiH atra kArpaNye mAtsaryam anAryam uktam atas budDena // Sl_97 //
   svarge cātisukhaṃ yat tato 'pyadhikaduḥkhaṃ tataścyuternūnam /	svarge ca ati suKam yat tatas api aDika duHKam tatas cyuteH nUnam /
   evaṃ vicintya tajjñaiḥ kṣaratsukhāya na tṛṣṇā kāryā svarge // Sl_98 //	evam vicintya tajjQEH kzarat suKAya na tRzNA kAryA svarge // Sl_98 //
   vaivarṇyaṃ dehasya svāsane na ratirmlāyate 'pi mālā ca /	vEvarNyam dehasya svAsane na ratiH mlAyate api mAlA ca /
   vasaneṣvapi daurgandhyaṃ svedaścāpūrvo niryāti dehāttu // Sl_99 //	vasanezu api dOrganDyam svedaH ca apUrvaH niryAti dehAt tu // Sl_99 //
   lakṣaṇāni hi pañcaiva mṛtyorbhavanti svargasthadeveṣu /	lakzaNAni hi paQca eva mRtyoH Bavanti svarga sTadevezu /
   bhūlokīyanarāṇāṃ sadṛśānyapi tāni mṛtyulakṣaṇaiśca // Sl_100 //	BU lokIya narANAm sadRSAni api tAni mRtyu lakzaNEH ca // Sl_100 //
   devebhyaścyutasya yadi nāvaśiṣyet kuśalamaṇumātramapi /	deveByaH cyutasya yadi na avaSizyet kuSala maNu mAtram api /
   vivaśatayoṣitavyaṃ hi tatastiryakpretanarakeṣvekasmin // Sl_101 //	vivaSatayA uzitavyam hi tatas tiryak preta narakezu ekasmin // Sl_101 //
   duḥkhaṃ syānmānasikaṃ devaiśvaryaṃ pratīrṣyayāsūreṣvapi /	duHKam syAt mAnasikam deva ESvaryam pratIrzyayA asUrezu api /
   na kurvanti dhīmanto janmāvaraṇācca te satyadarśanāni // Sl_102 //	na kurvanti DImantaH janma AvaraNAt ca te satya darSanAni // Sl_102 //
   saṃsāre 'sminnevaṃ devanarakapretatiryagyoniṣu /	saMsAre asmin= evam deva naraka preta tiryagyonizu /
   janmagrahaṇamayuktaṃ bahubādhaṃ janma tatreti vijñeyam // Sl_103 //	janma grahaNam ayuktam bahu bADam janma tatra iti vijQeyam // Sl_103 //
   jvalite śirasi ca vasane tannivṛttyupāyamupekṣya tvaritameva /	jvalite Sirasi ca vasane tad nivRtti upAyam upekzya tvaritam eva /
   apunarbhavāya yateta yatastasmānmahatprayojanaṃ nānyat // Sl_104 //	apunarBavAya yateta yatas tasmAt mahat prayojanam na anyat // Sl_104 //
   śīlasamādhijñānairbhūjalatejovāyuravividhurahitaṃ ca /	SIla samADi jQAnEH BU jala tejaH vAyuH aviviDu rahitam ca /
   ajarāmaraṇamakṣayaṃ prāpyaṃ śāntadāntavimalaṃ nirvāṇam // Sl_105 //	ajara amaraNam akzayam prApyam SAnta dAnta vimalam nirvANam // Sl_105 //
   prasrabdhivīryaprītidharmavicayasmṛtisamādhyupekṣāḥ sapta /	prasrabDi vIrya prIti Darma vicaya smRti samADi upekzAH sapta /
   bodhyaṅgānīmāni prāptyai nirvāṇasya kuśalasambhāraḥ // Sl_106 //	boDi aFgAni imAni prAptyE nirvANasya kuSala samBAraH // Sl_106 //
   prajñābhāve dhyānaṃ dhyānābhāve 'pi na jāyate sā prajñā /	prajQA aBAve DyAnam DyAna aBAve api na jAyate sA prajQA /
   yatrobhe vidyete jñeyastasya bhavasāgaro goṣpadavat // Sl_107 //	yatra uBe vidyete jQeyaH tasya Bava sAgaraH gozpada vat // Sl_107 //
   ye 'vyākṛtadharmāścādityabandhunā caturdaśopadiṣṭāśca /	ye avyAkRta DarmAH ca Aditya banDunA caturdaSa upadizwAH ca /
   loke na cintanīyā yato tairnāpnoti cittameva śāntim // Sl_108 //	loke na cintanIyAH yatas tEH na Apnoti cittam eva SAntim // Sl_108 //
   evaṃ proktaṃ munināvidyayā karma karmaṇā ca vijñānam /	evam proktam muninA avidyayA karma karmaNA ca vijQAnam /
   tasmācca nāmarūpaṃ tataḥ ṣaḍāyatanāni tataḥ sparśā vai // Sl_109 //	tasmAt ca nAma rUpam tatas zaz AyatanAni tatas sparSAH vE // Sl_109 //
   tata utpannā vittirvedanāśrayeṇa jāyate khalu tṛṣṇā /	tatas utpannA vittiH vedanA ASrayeNa jAyate Kalu tRzNA /
   tasyāścopādānaṃ tato bhavo 'pi bhavācca jāyate jātiḥ // Sl_110 //	tasyAH ca upAdAnam tatas BavaH api BavAt ca jAyate jAtiH // Sl_110 //
   satyāṃ jātau duḥkhavyādhijareṣṭa vastvalābhabhayamaraṇāni /	satyAm jAtO duHKa vyADi jarA izwa vastu alABa Baya maraNAni /
   duḥkhaskandho vipulaḥ sati jātiniṣedhe niṣiddhānīmāni // Sl_111 //	duHKa skanDaH vipulaH sati jAti nizeDe nizidDAni imAni // Sl_111 //
   gambhīro 'narghakośaḥ priyaḥ pratītyotpādo jinavacanānām /	gamBIraH anarGa koSaH priyaH pratItya utpAdaH jina vacanAnAm /
   samyagimaṃ yaḥ paśyati sa ca paśyati tattvadarśinaṃ buddhameva // Sl_112	samyak imam yaH paSyati sa ca paSyati tattva darSinam budDam eva // Sl_112
   śamāya bhāvyāḥ samyagdṛṣṭisaṃkalpavākkarmājīvasmṛti /	SamAya BAvyAH samyak dRzwi saMkalpa vAc karma ajIva smRti /
   samādhivyāyāmetyāryāṣṭāṅgikamārgāścaite cārutayā // Sl_113 //	samADi vyAyAma iti Arya azwa AFgika mArgAH ca ete cAru tayA // Sl_113 //
   jātiriyaṃ duḥkhameva tṛṣṇā ca tasya samudayo mahān jñeyaḥ /	jAtiH iyam duHKam eva tRzNA ca tasya samudayaH mahAn jQeyaH /
   nirvṛtistannirodhastadadhigamāya cāṣṭāṅgiko 'yaṃ mārgaḥ // Sl_114 //	nirvRtiH tad niroDaH tad aDigamAya ca azwAFgikaH ayam mArgaH // Sl_114 //
   yatnaḥ sadā vidheyaścaturāryasatyaprativedhāyaivam /	yatnaH sadA viDeyaH catur Arya satya prativeDAya evam /
   kroḍe śriyaśca yeṣāṃ gṛhasthāstaranti kleśanadīṃ jñānāt // Sl_115 //	kroxe SriyaH ca yezAm gRhasTAH taranti kleSa nadIm jQAnAt // Sl_115 //
   ye dṛṣṭāryasatyāśca nāvirbhavanti te 'ṅkuravat pṛthivītaḥ /	ye dRzwa Arya satyAH ca na AvirBavanti te aFkura vat pRTivItaH /
   nāvataranti ca gaganāt te 'pi pṛthagjanāḥ kleśavaśā hi pūrvam // Sl_116 //	na avataranti ca gaganAt te api pRTagjanAH kleSa vaSAH hi pUrvam // Sl_116 //
   cittaṃ hi dharmamūlaṃ bhagavatoktamatastadapi sādhu damayecca /	cittam hi Darma mUlam BagavatA uktam atas tat api sADu damayet ca /
   bho nirbhaya, kiṃ bahunā kathanena yato 'yameva hitopadeśaḥ // Sl_117 //	Bo nirBaya, kim bahunA kaTanena yatas ayam eva hita upadeSaH // Sl_117 //
   yanmayopadiṣṭaṃ tatsaprayāsairapi bhikṣubhirduḥsādhyam /	yat mayA upadizwam tat sa prayAsEH api BikzuBiH duHsADyam /
   caryāguṇān sevasva śikṣāmācara jīvanaṃ ca kuru sārtham // Sl_118 //	caryA guNAn sevasva SikzAm Acara jIvanam ca kuru sArTam // Sl_118 //
   sarveṣāṃ kuśalāni tu sarvārthamanumodya svacaryātrayīṃ ca /	sarvezAm kuSalAni tu sarva arTam anumodya sva caryA trayIm ca /
   buddhatvāya pariṇāmya tatastadanena puṇyarāśinā bhavatā // Sl_119 //	budDa tvAya pariNAmya tatas tat anena puNya rASinA BavatA // Sl_119 //
   janmasvaprameyeṣu devanaralokayoginaśca vaśīkṛtya /	janmasu aprameyezu deva nara loka yoginaH ca vaSIkRtya /
   duḥkhino 'nugrāhyāstvasahāyā avalokiteśvaracaryābhiḥ // Sl_120 //	duHKinaH anugrAhyAH tu asahAyAH avalokita ISvara caryABiH // Sl_120 //
   caramaṃ bhavaṃ gṛhītvā vyādhijarārāgadveṣāṃśca prahāya /	caramam Bavam gRhItvA vyADi jarA rAga dvezAn= ca prahAya /
   buddhakṣetre bhagavānamitābha iva lokeśo 'mitāyurbhava // Sl_121 //	budDa kzetre BagavAn amita ABaH iva lokeSaH amita AyuH BavaH // Sl_121 //
   prajñāśīlatyāgodbhūtavimalakhyātiṃ bhuvi khe svarge ca /	prajQA SIla tyAga udBUta vimala KyAtim Buvi Ke svarge ca /
   loke prasārya śamayan narān yuvatisukharatadevāṃśca bhūmau // Sl_122 //	loke prasArya Samayan narAn yuvati suKa rata devAn= ca BUmO // Sl_122 //
   kleśopahatasattvasya jātibhayamaraṇanāśakaṃ jinendrākhyam /	kleSa upahata sattvasya jAti Baya maraNa nASakam jinendra AKyam /
   lokottaramakliṣṭaṃ śāntābhayākṣayanāmaiva padamāpnuhi // Sl_123 //	loka uttaram aklizwam SAnta aBayA kzaya nAmA eva padam Apnuhi // Sl_123 //
   iti suhṛllekha samāptā //	iti suhRd leKa samAptAH //
