   tṛtīyaḥ paricchedaḥ	tRtIyaH paricCedaH
        vibhāvādijñānakāraṇako vibhāvādisamūhāmbanajñānakāraṇakaḥ	viBAva Adi jQAna kAraNakaH viBAva Adi samUha ambana jQAna kAraNakaH
   syādityarthaḥ /	syAt iti arTaH /
        pratyekaṃ vibhāvādijñānakāraṇakatve tviṣṭāpattireva /	pratyekam viBAva Adi jQAna kAraNaka tve tu izwApattiH eva /
        "pratīyamānaḥ prathamaṃ pratyekaṃ heturucyate"ityanena pratyekasya	"pratIyamAnaH praTamam pratyekam hetuH ucyate" iti anena pratyekasya
   hetutvoktyā tatkāryatve vipratipattyabhāvāt /	hetutva uktyA tad kArya tve vipratipatti aBAvAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tataśca rasapratītikāle vibhāvādayo na pratīyeran,	tatas ca rasa pratIti kAle viBAva AdayaH na pratIyeran,
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ta) nanu tādṛśsamūhātambanakāraṇatve ko doṣaḥ ityāha  tataśceti	(vi, ta) nanu tAdRS samUha Atambana kAraNa tve kaH dozaH iti Aha   tatas ca iti
        rasapratītikāle,	rasa pratIti kAle,
   svādanākhyavyāpārajanyavibhāvādisamūhālambanātmakarasapratītyutpattikāle	svAdana AKya vyApAra janya viBAva Adi samUha Alambana Atmaka rasa pratIti utpatti kAle
   vibhāvādayo na pratīyeran; tatkālotpannapratītiviṣayāḥ syurityarthaḥ /	viBAva AdayaH na pratIyeran; tad kAla utpanna pratIti vizayAH syuH iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   kāraṇajñānatakāryyajñānayoryugapadadarśanāt /	kAraNa jQAnata kAryyajQAnayoH yugapad a darSanAt /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, tha) kāraṇajñānasya sthitiḥ kāryajñānasyotpattiriti tu na	(vi, Ta) kAraNa jQAnasya sTitiH kArya jQAnasya utpattiH iti tu na
   sambhavatyeva /	samBavati eva /
        kāryakāraṇayorutpattiyogapadsyaivābhāvāt /	kArya kAraNayoH utpatti yogapad syA eva aBAvAt /
        tadāha  jñānatatkāryajñānayoriti /	tadA aha   jQAna tad kArya jQAnayoH iti /
        atra jñāneti prakṛtābhiprayeṇaiva /	atra jQAna iti prakRta aBiprayeNa eva /
        kāraṇakāryamātrayoreva yugapadutpattyabhāvāt /	kAraNa kArya mAtrayoH eva yugapad utpatti aBAvAt /
        na ca pūrvotpannameva vyañjanādhīnasamūhālambanamastviti vācyam /	na ca pUrva utpannam eva vyaQjana aDIna samUha Alambanam astu iti vAcyam /
        svādanākhyavyāpārādhīnarasātmakasamūhālambanātiriktasamūhālambanasyānubhāvāt,	svAdana AKya vyApAra aDIna rasa Atmaka samUha Alambana atirikta samUha Alambanasya anuBAvAt,
   tatsvīkāravaiphalyācca /	tad svIkAra vEPalyAt ca /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   nahi candanasparśajñānaṃ tajjanyasukhajñānañcaikadā sambhavati /	na hi candana sparSa jQAnam tad janya suKa jQAnaQca ekadA samBavati /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, da) kāraṇakāryajñānayoryugapadutpattyasaṃbhavaṃ darśayati  nahi	(vi, da) kAraNa kArya jQAnayoH yugapad utpatti asaMBavam darSayati  nahi
   candaneti /	candana iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   rasasya ca vibhāvādisamūhālambanātmakatayaiva pratīterna	rasasya ca viBAva Adi samUha Alambana Atmaka tayA eva pratIteH na
   vibhāvādijñānakāraṇatvamityabhiprāyaḥ /	viBAva Adi jQAna kAraNa tvam iti aBiprAyaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, dha) tasmāt rasasya samūhālambanātmakatvameva; natu	(vi, Da) tasmAt rasasya samUha Alambana Atmaka tvam eva; na tu
   samūhālambanajanyatvamityupasaṃharati  rasasyeti /	samUha Alambana janya tvam iti upasaMharati   rasasya iti /
        samūhālambanātmakatayaiva ityevakārāt	samUha Alambana Atmaka tayA eva iti evakArAt
   samūhālambanajanyatvavyavacchedaḥ /	samUha Alambana janya tva vyavacCedaH /
        tadevāha  na vibhāvādīti /	tat eva aha  na viBAva Adi iti /
        jñānamatrāpi samūhālambanam /	jQAnam atra api samUha Alambanam /
        evaṃ rasasya samūhālambanakāryatvameva khaṇḍitaṃ natu kāryatvam /	evam rasasya samUha Alambana kArya tvam eva KaNxitam na tu kAryatvam /
        etāvataiva kāryatvasāmānyābhāvamagre kātukād vakṣyati /	etAvatA eva kAryatva sAmAnya aBAvam agre kAtukAt vakzyati /
        Locanā:	LocanA:
        (lo, ā) no nitya iti  nityatvābhāve hetumāha   	(lo, A) naH nityaH iti  nitya tva aBAve hetum Aha   
        pūrvasaṃvedanojjhita iti /	pUrva saMvedana ujJitaH iti /
        pūrvasamvedanābhāvādityarthaḥ /	pUrva samvedana aBAvAt iti arTaH /
        nanu pūrvasaṃvedanābhāvānnityatvābhāve itaraṣāmapi	nanu pUrva saMvedanA BAvAt nitya tva aBAve itarazAm api
   nityavastūnāmabhāvaprasaṅga ityata āha asamvetaneti /	nitya vastUnAm aBAva prasaFgaH iti atas Aha asam vetanA iti /
        asya rasasya /	asya rasasya /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
      no nityaḥ pūrvasaṃvedanojjhitaḥ /	  naH nityaH pUrva saMvedana ujJitaH /
   asaṃvedanakāle hi na bhāvo 'ṣyasya vidyate (ka) // VisSd_3.21 //	asaMvedana kAle hi na BAvaH azyasya vidyate (ka) // VisSd _3.21 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Locanā:	LocanA:
        (vi, na) nityatvābhāvaḥ spaṣṭa eva, tamāha  no nitya iti /	(vi, na) nitya tva aBAvaH spazwaH eva, tam Aha  naH nityaH iti /
        pūrvasaṃvedanaṃ, saṃvedanāt pūrvamujjhito 'sannityarthaḥ /	pUrva saMvedanan, saMvedanAt pUrvam ujJitaH asan= iti arTaH /
        tadeva darśayati  asaṃvedanakāla iti /	tat eva darSayati  a saMvedana kAlaH iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   na khalu nityasya vastuno 'saṃvedanakāle 'sambhavaḥ /	na Kalu nityasya vastunaH asaMvedana kAle asamBavaH /
   nāpi bhaviṣyan sākṣādānandamayasvaprakāśarūpatvāt /	na api Bavizyan sAkzAt Ananda maya sva prakASa rUpa tvAt /
   (lo, i) nāpi bhaviṣyannityāha  sākṣādanubhūyamānasya hi kathaṃ bhaviṣyattm	(lo, i) na api Bavizyat niti Aha   sAkzAt anuBUyamAnasya hi kaTam Bavizyattm
   yasya khalu vastuno bhaviṣyattvaṃ sahajo dharmastat sadā bhaviṣyadeveti	yasya Kalu vastunaH Bavizyat tvam sahajaH DarmaH tat sadA Bavizyat eva iti
   bhāvaḥ /	BAvaH /
   kāryajñāpyavilakṣaṇabhāvāt samanantaroktanyāyasiddhāvityarthaḥ /	kArya jQApyavilakzaNa BAvAt samanantara ukta nyAya sidDO= iti arTaH /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   kāryakṣāpyavilakṣaṇabhāvānno varttamāno 'pi // VisSd_3.22 //	kArya kzApya vilakzaNa BAvAt naH varttamAnaH api // VisSd _3.22 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, pa) nāpi bhaviṣyanniti yadyapi saṃvedanāt pūrvam asattvenaiva	(vi, pa) na api Bavizyan= iti yadi api saMvedanAt pUrvam asattvena eva
   bhaviṣyatvaṃ durapahnavam /	Bavizya tvam durapahnavam /
        tathāpi bhaviṣyatpadārthāntarasya	taTA api Bavizyat padArTa antarasya
   sākṣādānandamayaprakāśatvasvarūpābhāvāt tadvailakṣaṇyameva	sAkzAt Ananda maya prakASa tva svarUpa aBAvAt tad vElakzaNyam eva
   bhaviṣyatvābhāvaḥ kautukāduktaḥ /	Bavizyatva aBAvaH kOtukAt uktaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   vibhāvādiparāmarśaviṣayatvāt sacetasām /	viBAva Adi parAmarSa vizaya tvAt sa cetasAm /
   parānandamayatvena saṃvedyatvādapi sphuṭam // VisSd_3.23 //	para Ananda maya tvena saMvedya tvAt api sPuwam // VisSd _3.23 //
   na nirvikalpakaṃ jñānaṃ tasya grāhakamiṣyate /	na nirvikalpakam jQAnam tasya grAhakam izyate /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, pha) vartamānatvābhāvamapi kautukādāha  kāryajñāpyeti /	(vi, Pa) vartamAna tva aBAvam api kOtukA t Aha  kArya jQApya iti /
        yadyapi ghaṭādisādhāraṇajñāpyatvasyaiva samūhālambanakāryatvasyaiva	yadi api Gawa Adi sADAraNa jQApya tvasya eva samUha Alambana kArya tvasya eva
   cābhāvaḥ prag darśitaḥ, tathāpi tāvataiva kāryatvajñāpyatvābhāvaṃ	ca aBAvaH prak darSitaH, taTA api tAvatA eva kAryatva jQApya tva aBAvam
   kautukādāropyaivamuktam /	kOtukAt Aropya evam uktam /
        tathā ca kāryajñāpyabhinnasyālīkatvānna vartamāna ityarthaḥ /	taTA ca kArya jQApyaBinnasya alIka tvAt na vartamAnaH iti arTaH /
        svaprakāśarūpasya svameva grāhakaṃ, tattu na	sva prakASa rUpasya svam eva grAhakaM, tat tu na
   nirvikalpakamityāha  vibhāvādīti /	nirvikalpakam iti Aha   viBAva Adi iti /
        tatparāmarśastatsamūhālambanaṃ; tadviṣayatvāt svenaiva svasya	tad parAmarSaH tad samUha AlambanaM; tad vizaya tvAt svena eva svasya
   viṣayīkaraṇāt /	vizayIkaraNAt /
        tat pradhānatvāditi kvacit pāṭhe tatparāmarśaḥ pratyekaṃ taj jñānaṃ,	tat praDAna tvAt iti kvacid pAWe tad parAmarSaH pratyekam tat jQAnaM,
   tat pradhānatvāt tajjanyatvādityarthaḥ /	tat praDAna tvAt tad janya tvAt iti arTaH /
        ubhayathāpi nirvikalpakatvābhāva eva /	uBayaTA api nirvikalpaka tva aBAvaH eva /
        adye vibhāvādisamūhālambanasya savikalpakatvāt /	adye viBAva Adi samUha Alambanasya sa vikalpaka tvAt /
        antye tu jñānajanyatvena nirvikalpakatvābhāvāt, jñānajanyajñānasyaiva	antye tu jQAna janya tvena nirvikalpaka tva aBAvAt, jQAna janya jQAnasya eva
   nirvikalpakatvāt /	nirvikalpaka tvAt /
        hetvantaramāha   parānandeti /	hetu antaram Aha   para Ananda iti /
        prakārapradarśanāt saprakāratvaṃ pradarśitam /	prakAra pradarSanAt sa prakAra tvam pradarSitam /
        tathā ca na nirvikalpakaṃ niṣprakārakajñānasyaiva tathātvāt /	taTA ca na nirvikalpakam nizprakAraka jQAnasya eva taTAtvAt /
        Locanā:	LocanA:
        (lo, ī) nirvikalpakaṃ jñānam  asti hmālocanamātraprathamaṃ	(lo, I) nirvikalpakam jQAnam   asti hma Alocana mAtra praTamam
   nirvikalpakaṃ jñānam, amukāsadṛśaṃ jñānaṃ śuddhavastujamityuktaprakāraṃ,	nirvikalpakam jQAnam, amukA sadRSam jQAnam SudDa vastu jam iti ukta prakAraM,
   tasya grāhakamityupacāraprayogaḥ /	tasya grAhakam iti upacAra prayogaH /
        sa eva raso nirvikalpakajñānatvena gṛhyamāṇo na bhavatītyarthaḥ /	saH eva rasaH nirvikalpaka jQAna tvena gRhyamANaH na Bavati iti arTaH /
        tathā nirvikalpakasya jñānaviṣayopīti /	taTA nirvikalpakasya jQAna vizaya upIti /
        tatra pakṣe yasya grāhakatvamiṣyate ityatra nopacāraḥ /	tatra pakze yasya grAhaka tvam izyate iti atra na upacAraH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tathābhilāpasaṃsargayogyatvavirahānna ca // VisSd_3.24 //	taTA aBilApa saMsarga yogya tva virahAt na ca // VisSd _3.24 //
   savikalpakaṃsaṃvedyaḥ  	sa vikalpa kaMsaMvedyaH  
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ba) savikalpakasaṃvedyatvābhāvamapi tasya	(vi, ba) sa vikalpaka saMvedya tva aBAvam api tasya
   kautukādāha  tathābhilāpeti /	kOtukA dAha   taTA aBilApa iti /
        yadyapi tadgrāhakasya nirvikalpakatvābhāvayuktipradarśanenaiva	yadi api tad grAhakasya nirvikalpaka tva aBAva yukti pradarSanena eva
   savikalpakasaṃvedyatvaṃ siddhaṃ tathāpi savikalpakasaṃvedyāntarato	sa vikalpaka saMvedya tvam sidDam taTA api sa vikalpaka saMvedya antarataH 
   vailakṣaṇyena tadavedyatvaṃ kautukāduktam /	vElakzaNyena tat avedya tvam kOtukAt uktam /
        vailakṣaṇyamevāha   tathābhilāpeti /	vElakzaNyam eva aha    taTA aBilApa iti /
        tatkāvyasthaśabdena tasyābhilapyamānatvābhāvādityarthaḥ /	tad kAvya sTa Sabdena tasya aBilapyamAna tva aBAvAt iti arTaH /
        tasya vibhāvādyabhidhānadvāreṇaiva tasya jñeyatvam, natu	tasya viBAva Adi aBiDAna dvAreNa eva tasya jQeya tvam, na tu
   kāvyasthaśabdena /	kAvya sTa Sabdena /
        pratyuta tasya tatkāvyasya śabdavācyatve svaśabdavācyatvaṃ doṣa eva	pratyuta tasya tad kAvyasya Sabda vAcya tve sva Sabda vAcya tvam dozaH eva
   vakṣyate /	vakzyate /
        atra eva kāvyaprakāśakṛtāpyuktaṃ,"rasādilakṣaṇastvarthaḥ svapreti na	atra eva kAvya prakASa kRta api uktaM," rasa Adi lakzaNaH tu arTaH sva preti na
   vācya'; iti /	vAcya a; iti /
        ayaṃ rasavānityāditatkāvyasthena aśabdena tu vācyaṃ,	ayam rasavAn iti Adi tad kAvya sTena aSabdena tu vAcyaM,
   savikalpakavedyaṃ padārthāntaraṃ tatkāvyasthaśabdenaiva vācyamiti tato	sa vikalpaka vedyam padArTa antaram tad kAvya sTa Sabdena eva vAcyam iti tatas 
   vailakṣaṇyamiti vacanam /	vElakzaNyam iti vacanam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   savikalpakajñānasaṃvedyānāṃ hi vacanaprayogayogyatā, na tu rasasya tathā /	sa vikalpaka jQAna saMvedyAnAm hi vacana prayoga yogya tA, na tu rasasya taTA /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, bha) prayogayogyatā tatkāvyasthaśabdeneti śeṣaḥ /	(vi, Ba) prayoga yogya tA tad kAvya sTa Sabdena iti SezaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
     sākṣātkāratayā na ca /	  sAkzAtkAratayA na ca /
   parokṣastatprakāśo nāparokṣaḥ śabdasaṃbhavāta // VisSd_3.25 //	parokzaH tad prakASaH na aparokzaH Sabda saMBavAtaH // VisSd _3.25 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ma) tatprakāśasya parokṣatvaṃ nāstītyāha   sākṣātkārateyeti /	(vi, ma) tad prakASasya parokza tvam na asti iti Aha    sAkzAt kArateyA iti /
        spaṣṭamidam /	spazwam idam /
        sākṣātkārānantaravailakṣaṇyapratipādanāya sākṣātkārarūpasyāpi	sAkzAtkAra anantara vElakzaNya pratipAdanAya sAkzAtkAra rUpasya api
   tatprakāśasya sākṣātkāratvābhāvamapi kautukādāha  nāparokṣa iti /	tad prakASasya sAkzAtkAra tva aBAvam api kOtukA dAha  na aparokzaH iti /
        na sākṣātkāra ityarthaḥ /	na sAkzAtkAraH iti arTaH /
        tatra hetumāha   śabdasaṃbhavāditi /	tatra hetum Aha    Sabda saMBavAt iti /
        śabdasaṃbhavāt  śābdatvādityarthaḥ /	Sabda saMBavAt  Sa abda tvAt iti arTaH /
        Locanā:	LocanA:
        (lo, ṛ) tathābhilāpeti  atrāpi pūrvavat raso na savikalpakarūpa iti /	(lo, R) taTA aBilApa iti  atra api pUrvavat rasaH na sa vikalpaka rUpaH iti /
        naca tadviṣayopītivyākhyeyam /	na ca tad vizaya upIti vyAKyeyam /
        savikalpakasvarūpaṃ ca   "ataḥ paraṃ	sa vikalpaka svarUpam ca   "ataH param
   punarvastudharmairjātyādibhiryayā /	punar vastu DarmEH jAti AdiBiH yayA /
        buddhyāvasayite sāpi pratyakṣatvena sammatā /	budDyA avasayite sA api pratyakza tvena sammatAH /
        "pratyakṣamatra prakaraṇāta savikalpakam /	"pratyakzam atra prakaraNAta sa vikalpakam /
        sāvikalpakatvena sammatetyuktaprakāram /	sa avikalpaka tvena sammata iti ukta prakAram /
        ataḥ paramityatra idamānupūrvoktanirvikalpakaparāmarśaḥ	atas param iti atra idam AnupUrva ukta nirvikalpaka parAmarSaH
   śabdasaṃbhāvta śābdajñānam parokṣamiti bhāvaḥ /	Sabda saMBAvta SAbda jQAnam parokzam iti BAvaH /
        tat kathayatitattvaṃ svarūpaṃ, pūrvaṃ na śruto na dṛṣṭaścoktasvarūpo	tat kaTayati tattvam svarUpaM, pUrvam na SrutaH na dRzwaH ca ukta svarUpaH 
   nirūpaṇaprakāro yasya rasasyetyarthaḥ /	nirUpaNa prakAraH yasya rasasya iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatkathaya kīdṛgasya tattvamaśrutādṛṣṭapūrvanirupaṇaprakārasyetyāha  	tat kaTaya kIdRS asya tattvam aSrutA adRzwa pUrva nirupaNa prakArasya iti Aha  
   tasmādalaukikaḥ satyaṃ vedyaḥ sahṛdayairayam /	tasmAt alOkikaH satyam vedyaH sahRdayEH ayam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ya) itthaṃ kiñcit vastutaḥ kiñcicca kautukād vailakṣaṇyamuktvā	(vi, ya) itTam kiQcid vastutas kiQcid ca kOtukAt vElakzaNyam uktvA
   kīdṛśaṃ tādṛśavilakṣaṇaṃ vastu tat iti pṛcchati; tat kathayati /	kIdRSam tAdRSa vilakzaNam vastu tat iti pRcCati; tat kaTayati /
        tasyādṛṣṭacaratvāt tannirūpamasāyapi adṛṣṭacaratvaṃ	tasya adRzwa cara tvAt tad nirUpamasAyapi adRzwa cara tvam
   bhavatītyāha   adṛṣṭanirūpaṇeti /	Bavati iti Aha   a dRzwa nirUpaNa iti /
        vilakṣaṇaṃ darśayati   tasmādalaukika iti /	vilakzaNam darSayati   tasmAt alOkikaH iti /
        lokadṛṣṭasukhādipadārthavilakṣaṇa ityarthaḥ /	loka dRzwa suKa Adi padArTa vilakzaNaH iti arTaH /
        sa cānyalokairajñeyaḥ /	sa ca anya lokEH ajQeyaH /
        Locanā:	LocanA:
        (lo, ṝ) alokiko laukikavastuvilakṣaṇaḥ /	(lo, L) alokikaH lOkika vastu vilakzaNaH /
        yadāha etannirūpaṇaprastāva eva	yat Aha etat nirUpaNa prastAvaH eva
   kāvyaprakāśakāraḥ   alaukikasiddherbhūṣaṇaṃ natu dūṣaṇam /	kAvya prakASa kAraH    alOkika sidDeH BUzaNam na tu dUzaNam /
        na khalvadarśanamātreṇānubhūyamānavastusvarūpāpahnivaḥ śakyakiya	na Kalva darSana mAtreNa anuBUyamAna vastu svarUpa apahnivaH Sakyakiya
   eveti bhāvaḥ /	eva iti BAvaH /
        kathamīdṛśo 'sāvasmābhiranubhūyata ityāha  vedya iti /	kaTam IdRSaH asO= asmABiH anuBUyate iti Aha   vedyaH iti /
        prācīnavāsanāsamvalitā vidyānipuṇatopaskṛtā buddhiratra hṛdayam /	prAcIna vAsanA samvalitA vidyA nipuNa tA upaskRtA budDiH atra hRdayam /
        tadvadbhiḥ sahṛdayaiḥ; natuṃ	tadvadBiH sahRdayEH; natum
   vaiyākaraṇamīmāṃsakadardurakairyuṣmābhiriti bhāvaḥ /	vEyAkaraNamImAMsaka dardurakEH yuzmABiH iti BAvaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatkiṃ punaḥ pramāṇaṃ tasya sadbhāva ityāha  	tat kim punar pramANam tasya sadBAvaH iti Aha  
   pramāṇaṃ carvaṇaivātra svābhinne viduṣāṃ matam // VisSd_3.26 //	pramANam carvaNA eva atra sva aBinne viduzAm matam // VisSd _3.26 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ra) tatsaṃvedyatve eva kiṃ pramāṇamityatrāha   pramāṇamiti /	(vi, ra) tad saMvedya tve eva kim pramANam iti atra Aha    pramANam iti /
        tadīyasākṣātkāra eva pramāṇamityarthaḥ /	tadIya sA akzAtkAraH eva pramANam iti arTaH /
        svaprakāśatvena sākṣātkāryasākṣātkārayorabhedādidaṃ viduṣāṃ	sva prakASa tvena sAkzAtkArya sAkzAtkArayoH aBedAt idam viduzAm
   matamityarthaḥ /	matam iti arTaH /
        Locanā:	LocanA:
        (lo, ḷ) atraivamuktarūpe rase svasyāścarvaṇāyā evābhinne /	(lo, ?) atra evam ukta rUpe rase svasyAH carvaNAyAH eva aBinne /
        evaṃ ca sahṛdayānubhava evātra pramāṇamiti paryavasyati /	evam ca sahRdaya anuBavaH eva atra pramANam iti paryavasyati /
        tathāca nātmāśrayadoṣaḥ /	taTA ca na Atma ASraya dozaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   carvaṇā āsvādanam /	carvaNA AsvAdanam /
   tacca "svādaḥ kāvyārthasaṃbhedādātmānandasamudbhavaḥ" ityuktaprakāram /	tat ca "svAdaH kAvya arTa saMBedAt Atma Ananda samudBavaH" iti ukta prakAram /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, la) svādaḥ kāvyārtheti  svādaḥ  sākṣātkāraḥ /	(vi, la) svAdaH kAvya arTa iti  svAdaH   sAkzAtkAraH /
        kāvyārthasambhadāt kāvyasya vācya ityarthaḥ /	kAvya arTa samBadAt kAvyasya vAcyaH iti arTaH /
        lakṣyavyaṅgyavastūnāṃ sambhedāt jñānāt ātmano rasasyānandarūpeṇa	lakzya vyaFgya vastUnAm samBedAt jQAnAt AtmanaH rasasya Ananda rUpeNa
   samudbhavaḥ /	samudBavaH /
        kṛdabhihitabhāvatvāt samudbhūta ānanda ityarthaḥ /	kRt aBihita BAva tvAt samudBUtaH AnandaH iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   nanu yadi raso na kāryastatkathaṃ mahaṣiṇā(ka)	nanu yadi rasaH na kAryaH tat kaTam mahaziNA(ka)
   vibhāvānubhāvavyabhicārisaṃyogādrasaniṣpattiḥ" iti lakṣaṇaṃ	viBAva anuBAva vyaBicAri saMyogAt rasa nizpattiH" iti lakzaNam
   kṛtamityucyate  	kRtam iti ucyate  
   niṣpattyā carvaṇasyāsya niṣpattirupacārataḥ /	nizpattyA carvaNasya asya nizpattiH upacArataH /
   yadyapi rasābhinnatayā carvaṇasyāpi na kāryatvaṃ	yadi api rasa aBinna tayA carvaNasya api na kArya tvam
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, va) rāmādiratyādeḥ sāmājikaratyādervo	(vi, va) rAma AdiH ati AdeH sAmAjikarati AdeH vaH 
   uddīpanavibhāvānubhāvavyabhicārijanyatvaṃ nāstyeva, tatastadātmakasya	uddIpana viBAva anuBAva vyaBicAri janya tvam na asti eva, tatas tad Atmakasya
   rasasya tatsākṣātkārāṃśamātrajanyatvaṃ siddhāntayituṃ kautukoktamapi	rasasya tad sAkzAtkAra aMSa mAtra janya tvam sidDAntayitum kOtuka uktam api
   tasyākāryatvamuktvā āśaṅkate  nanu yadi raso na kārya iti /	tasya akArya tvam uktvA ASaFkate  nanu yadi rasaH na kAryaH iti /
        vastutastu samūhālambanākāryasyaiva uktatvāt niṣpatrirupacārata iti /	vastutas tu samUha AlambanA kAryasya eva ukta tvAt nizpatriH upacArate iti /
        vibhāvādito niṣpattirityarthaḥ /	viBAvAt itas nizpattiH iti arTaH /
        svakāraṇādhīnaniṣpattikasya ratyāderniṣpattervāstavatvena	sva kAraNa aDIna nizpattikasya rati AdeH nizpatteH vAstava tvena
   niṣpatterupacārābhāvāt /	nizpatteH upacAra aBAvAt /
        itthaṃ vibhāvāditaścarvaṇāyā niṣpattireva vāstavikaratyādyaṃśasya	itTam viBAvAt itas carvaNAyAH nizpattiH eva vAstavikarati Adi aMSasya
   tato niṣpattirupacaritetyuktyā carvaṇāṃśasyāpi niṣpattirupacaritaiveti	tatas nizpattiH upacarita iti uktyA carvaNa aMSasya api nizpattiH upacaritA eva iti
   vaktumāha   yadyapīti /	vaktum Aha   yat i api iti /
        ayamarthaḥ  ratyādayastāvaduddīpanavibhāvānubhāvavyabhicāriṇāmakāryamityuktameva	ayam arTaH  rati AdayaH tAvat uddIpana viBAva anuBAva vyaBicAriNAm akAryam iti uktam eva
        ata eva ratyādayaścarvaṇātmakasākṣātkārarūpatayā pariṇamantīti	atas eva rati AdayaH carvaNA Atmaka sAkzAtkAra rUpa tayA pariNamanti iti
   siddhāntitam /	sidDAntitam /
        tataśca ratyādirūparasābhinna eva carvaṇātmakaḥ sākṣātkārastathā	tatas ca rati Adi rUpa rasa aBinnaH eva carvaNa AtmakaH sAkzAtkAraH taTA
   ratyādeḥ vibhāvādyakāryatayaiva carvaṇasyāpi	rati AdeH viBAva Adi akArya tayA eva carvaNasya api
   vibhāvādyakāryatvamarthasiddhamiti yadyapi ratyāderarthaḥ /	viBAva Adi akArya tvam arTa sidDam iti yadi api rati AdeH arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tathāpi tasya kādācitkatayā upacaritena kāryatvena kāryatvamupacaryate /	taTA api tasya kAdAcid ka tayA upacaritena kAryatvena kAryatvam upacaryate /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, śa) samādhāne tathāpīti /	(vi, Sa) samADAne taTA api iti /
        pariṇāmarasāsvādacarvaṇādibhāvādyabhinnatayā niṣpannā /	pariNAma rasa AsvAda carvaNa Adi BAva Adya Binna tayA nizpannA /
        sā vibhāvādijñānāt pūrvaṃ nāstīti /	sA viBAva Adi jQAnAt pUrvam na asti iti /
        kintu vibhāvādijñānettarameva niṣpannetyevaṃ kādācitkatayā	kintu viBAva Adi jQAnettaram eva nizpannA iti evam kAdAcid ka tayA
   upacaritena kāryatvena kāryatvamupacaryate ityartha /	upacaritena kAryatvena kAryatvam upacaryate iti arTa /
        nacaivamanyathāsiddhavibhāvādijñānottarabhāvitvena tatkāryatvaṃ	na ca evam anyaTA sidDa viBAva Adi jQAna uttara BAvi tvena tad kArya tvam
   carvaṇāyām avāstavameva tat kathamupacāra iti vācyam /	carvaNAyAm avAstavam eva tat kaTam upacAraH iti vAcyam /
        ratyādyabhinnatayā kāryatvasyaiva vāstavatvāt, śuddhāyāstasyā	rati Adi aBinna tayA kAryatvasya eva vAstava tva at, SudDAyAH tasyAH 
   avāstavatvamityabhiprāyāt /	avAstava tvam iti aBiprAyAt /
        Locanā:	LocanA:
        (lo, e) yadyapītyādi   ayamarthaḥ samanantaroktaprakāreṇa rasābhinne	(lo, e) yadi api ityAdi    ayam arTaH samanantara ukta prakAreNa rasa aBinne
