   Bhaiṣajyavastu	BhEzajya vastu
   / eṣo 'haṃ bhagavantaṃ śaraṇaṃ gacchāmi dharmaṃ ca bhikṣusaṃghaṃ ca /	/ ezaH aham Bagavantam SaraNam gacCAmi Darmam ca Bikzu saMGam ca /
   upāsakaṃ ca māṃ dhāraya adyāgreṇa yāvajjīvaṃ prāṇopetaṃ śaraṇagatam	upAsakam ca mAm DAraya adya agreNa yAvajjIvam prANa upetam SaraNa gatam
   abhiprasannam* / athāsau brāhmaṇo vaṇig iva labdhalābhaḥ śasyasaṃpanna iva	aBiprasannam* / aTa asO brAhmaNaH vaNij iva labDa lABaH Sasya saMpannaH iva
   kārṣikaḥ śūra iva vijitasaṃgrāmaḥ sarvarogaparimukta ivāturo bhagavato	kArzikaH SUraH iva vijita saMgrAmaH sarva roga parimuktaH iva AturaH BagavataH 
   bhāṣitam abhinandyānumodya bhagavataḥ pādau śirasā vanditvā bhagavato	BAzitam aBinandya anumodya BagavataH pAdO SirasA vanditvA BagavataH 
   'ntikāt prakrānto yāvat kṣetraṃ gataḥ / paśyati tasmin kṣetre sauvarṇān	antikAt prakrAntaH yAvat kzetram gataH / paSyati tasmin kzetre sOvarNAn
   yavān saṃpannān* / dṛṣṭvā ca punar vismayotphullalocano gāthāṃ bhāṣate /	yavAn saMpannAn* / dRzwvA ca punar vismaya utPulla locanaH gATAm BAzate /
   aho guṇamayaṃ kṣetraṃ sarvadoṣavivarjitam* /	aho guNa mayam kzetram sarva doza vivarjitam* /
   adyaivoptaṃ mayā bījam adyaiva phaladāyikam* // iti /	adya eva uptam mayA bIjam adya eva Pala dAyikam* // iti /
   tato 'sau brāhmaṇas tvaritaṃ rājñaḥ sakāśam upasaṃkrāntaḥ / upasaṃkramya	tatas asO brAhmaNaH tvaritam rAjQaH sakASam upasaMkrAntaH / upasaMkramya
   jayenāyuṣā ca vardhayitvā rājānam uvāca / deva mayā yavāḥ prakīrṇās te	jayena AyuzA ca varDayitvA rAjAnam uvAca / deva mayA yavAH prakIrNAH te
   sauvarṇāḥ saṃvṛttāḥ / tatrādhiṣṭhāyikena prasādaḥ kriyatām iti / rājñā	sOvarNAH saMvRttAH / tatra aDizWAyikena prasAdaH kriyatAm iti / rAjQA
   adhiṣṭhāyiko 'nupreṣitaḥ / brāhmaṇena rāśīkṛtvā bhājitāḥ / rājabhāgaḥ	aDizWAyikaH anuprezitaH / brAhmaNena rASIkRtvA BAjitAH / rAja BAgaH
   svābhāvikā yavāḥ saṃvṛttāḥ / adhiṣṭhāyikena rājñe niveditam* / rājñā	svABAvikAH yavAH saMvRttAH / aDizWAyikena rAjQe niveditam* / rAjQA
   samādiṣṭam* / punar bhājayata iti / punar bhājitam* / tathaiva rājabhāgaḥ	samAdizwam* / punar BAjayate iti / punar BAjitam* / taTA eva rAja BAgaH
   svābhāvikā yavāḥ saṃvṛttāḥ / evaṃ yāvat saptakṛtvo bhājitam* / tathaiva	svABAvikAH yavAH saMvRttAH / evam yAvat sapta kRtvas BAjitam* / taTA eva
   rājā kutūhalajātaḥ svayam eva gataḥ paśyati / tathaiva tenāsau brāhmaṇo	rAjA kutUhala jAtaH svayam eva gataH paSyati / taTA eva tena asO brAhmaNaH 
   'bhihitaḥ / brāhmaṇa tavaitat puṇyanirjātam* / alaṃ rājabhāgena / yat	aBihitaH / brAhmaNa tava etat puNya nirjAtam* / alam rAja BAgena / yat 
   tavābhipretaṃ tan mamānuprayaccheti (MSV I 71) / tatas tena brāhmaṇena	tava aBipretam tat mama anuprayacCa iti (MSV I 71) / tatas tena brAhmaNena
   parituṣṭena yad dattaṃ te sauvarṇayavāḥ saṃvṛttāḥ /	parituzwena yat dattam te sOvarNa yavAH saMvRttAH /
   tato bhagavān saṃprasthito yāvad anyatamasmin pradeśe paṃca kārṣikaśatāny	tatas BagavAn saMprasTitaH yAvat anyatamasmin pradeSe paMca kArzika SatAni 
   utpāṇḍotpāṇḍukāni sphuṭitapāṇipādāni śaṇaśāṭīnivāsitāni lāṅgalāni	utpANxa utpANxukAni sPuwita pANi pAdAni SaNa SAwI nivAsitAni lAFgalAni
   vāhayanti / te 'pi balīvardā vraṇapūyotkīrṇaiḥ pratodayaṣṭibhiḥ	vAhayanti / te api balIvardAH vraNa pUya utkIrNEH pratoda yazwiBiH
   kṣatavikṣatagātrā muhurmurhur viśvasanto vahanti / dadṛśus te kārṣikā	kzata vikzata gAtrAH muhur murhuH viSvasantaH vahanti / dadRSuH te kArzikA
   buddhaṃ bhagavantaṃ dvātriṃśatā mahāpuruṣalakṣaṇaiḥ pūrvavad yāvad	budDam Bagavantam dvAtriMSatA mahApuruza lakzaNEH pUrvavat yAvat 
   upacitakuśalamūlaya satvasya tatprathamato buddhadarśanam* / tato yena	upacita kuSala mUlaya satvasya tat praTamatas budDa darSanam* / tatas yena
   bhagavāṃs tenopasaṃkrāntāḥ / adrākṣīd bhagavāṃs tān kārṣikān* / dūrād eva	BagavAn tena upasaMkrAntAH / adrAkzIt BagavAn tAn kArzikAn* / dUrAt eva
   dṛṣṭvā ca punar vinayāpekṣayā mārgād apakramya purastād bhikṣusaṃghasya	dRzwvA ca punar vinaya apekzayA mArgAt apakramya purastAt Bikzu saMGasya
   prajñapta evāsane niṣaṇṇaḥ / atha te kārṣikā bhagavataḥ pādau śirasā	prajQapte eva Asane nizaNNaH / aTa te kArzikA BagavataH pAdO SirasA
   vanditvaikānte niṣaṇṇāḥ / tato bhagavatā teṣāṃ kārṣikāṇām āśayānuśayaṃ	vanditvA ekAnte nizaNNAH / tatas BagavatA tezAm kArzikANAm ASaya anuSayam
   dhātuṃ prakṛtiṃ ca jñātvā tādṛśī cāturāryāsatyasaṃprativedhikī	DAtum prakRtim ca jQAtvA tAdRSI cAturArya asatya saMprativeDikI
   dharmadeśanā kṛtā pūrvavad yāvad anādyakālopacitaṃ satkāyadṛṣṭiśailaṃ	Darma deSanA kRtA pUrvavat yAvat anAdya kAla upacitam sat kAya dRzwi SElam
   jñānavajreṇa bhitvā srotāpattiphalaṃ sākṣātkṛtam* / te dṛṣṭisatyā yena	jQAna vajreNa BitvA srotApatti Palam sAkzAtkRtam* / te dRzwi satyAH yena
   bhagavāṃs tenāñjaliṃ (fol. 160v1 = GBM 6.989) praṇamya bhagavantam idam	BagavAn tena aQjalim (fol. 160v1  GBm 6.989) praNamya Bagavantam idam
   avocat* / labhema vayaṃ bhadanta svākhyāte dharmavinaye pravrajyām	avocat* / laBema vayam Badanta su AKyAte Darma vinaye pravrajyAm
   upasaṃpadaṃ bhikṣubhāvaṃ carema vayaṃ bhagavato 'ntike brahmacaryam iti /	upasaMpadam Bikzu BAvam carema vayam BagavataH antike brahmacaryam iti /
   te bhagavatā ehibhikṣukayā pravrājitāḥ pūrvavad yāvan naiva sthitā {MS:	te BagavatA ehiBikzukayA pravrAjitAH pUrvavat yAvat na eva sTitAH {MS:
   yāvan nepachitā; cf. nepacchitā  > Pravr v III, fol. 47r6}	yAvat na Ipa CitA; cf. nepacCitA  > Pravr u III, fol. 47r6}
   buddhamanorathena / teṣāṃ bhagavatā avavādo dattaḥ / te vyāyacchamānaiḥ	budDa manoraTena / tezAm BagavatA avavAdaH dattaH / te vyAyacCamAnEH
   pūrvavad yāvad abhivādyāś ca saṃvṛttāḥ /	pUrvavat yAvat aBivAdyAH ca saMvRttAH /
   (MSV I 72)	(MSV I 72)
   te balīvardā yoktrāṇi varatrāṇi cchitvā yena bhagavāṃs tenopasaṃkrāntāḥ /	te balIvardAH yoktrANi varatrANi cCitvA yena BagavAn tena upasaMkrAntAH /
   upasaṃkramya bhagavataḥ pādau śirasā vanditvā samantakena	upasaMkramya BagavataH pAdO SirasA vanditvA samantakena
   parivāryāvasthitāḥ / teṣāṃ bhagavatā tribhiḥ padair dharmo deśitaḥ /	parivArya avasTitAH / tezAm BagavatA triBiH padEH DarmaH deSitaH /
   pūrvavad yāvad yathā gaṃgāvatāre haṃsamatsyakūrmāṇāṃ yāvad dṛṣṭasatyāḥ	pUrvavat yAvat yaTA gaMgA avatAre haMsa matsya kUrmANAm yAvat dRzwa satyAH
   svabhavanaṃ gatāḥ /	sva Bavanam gatAH /
   bhikṣavaḥ saṃśayajātāḥ sarvasaṃśayacchettāraṃ buddhaṃ bhagavantaṃ	BikzavaH saMSaya jAtAH sarva saMSaya= CettAram budDam Bagavantam
   papracchuḥ / kiṃ bhadanta ebhiḥ kārṣikapūrvakaiḥ bhikṣubhiḥ karma kṛtaṃ	papracCuH / kim Badanta eBiH kArzika pUrvakEH BikzuBiH karma kRtam
   yena kārṣikāḥ saṃvṛttā bhagavataś ca śāsane pravrajya sarvakleśaprahāṇād	yena kArzikAH saMvRttAH BagavataH ca SAsane pravrajya sarva kleSa prahANAt 
   arhatvaṃ sākṣātkṛtam* / tair balīvardapūrvakair devaputraiḥ kiṃ karma	arha tvam sAkzAtkRtam* / tEH balIvarda pUrvakEH deva putrEH kim karma
   kṛtaṃ yena balīvardeṣūpapannāḥ satyadarśanaṃ ca kṛtam iti / bhagavān āha /	kRtam yena balIvardezu upapannAH satya darSanam ca kRtam iti / BagavAn Aha /
   ebhir eva bhikṣavaḥ karmāṇi kṛtāny upacitāni labdhasaṃbhārāṇi pūrvavad	eBiH eva BikzavaH karmANi kRtAni upacitAni labDa saMBArANi pUrvavat 
   yāvat phalanti dehināṃ* /	yAvat Palanti dehinAM* /
   bhūtapūrvaṃ bhikṣavo 'sminn eva bhadrake kalpe viṃśativarṣasahasrāyuṣi	BUta pUrvam BikzavaH asmin eva Badrake kalpe viMSati varza sahasra Ayuzi
   prajāyāṃ kaśyapo nāma śāstā loke udapādi / pūrvavad yāvat sa vārāṇasīṃ	prajAyAm kaSyapaH nAma SAstA loke udapAdi / pUrvavat yAvat sa vArANasIm
   nagarīm upaniśṛtya viharati ṛṣivadane mṛgadāve / tasya śāsane etāni paṃca	nagarIm upaniSRtya viharati Rzi vadane mRga dAve / tasya SAsane etAni paMca
   kārṣikaśatāni pravrajitāny abhūvan* / tatra ebhir na paṭhitaṃ na	kArzika SatAni pravrajitAni aBUvan* / tatra eBiH na paWitam na
   svādhyāyitaṃ na manasikāro vāhitaḥ kin tu śraddhādeyaṃ bhuktvā bhuktvā	svADyAyitam na manasikAraH vAhitaH kin tu SradDA deyam BuktvA BuktvA
   saṃgaṇikābhirataiḥ kausīdyenātināmitam* /	saMgaNikA aBiratEH kOsIdyena atinAmitam* /
   kiṃ manyadhve bhikṣavo yāni tāni paṃca bhikṣuśatāni etāni paṃca	kim manyaDve BikzavaH yAni tAni paMca Bikzu SatAni etAni paMca
   kārṣikaśatāni / yo 'sau vihārasvāmī sa evāsau (MSV I 73) gṛhapatiḥ / yad	kArzika SatAni / yaH asO vihAra svAmI saH eva asO (MSV I 73) gRhapatiH / yat 
   ete kārṣikā yad ebhir vihārasvāmisantakaṃ śraddhādeyaṃ paribhujya na	ete kArzikA yat eBiH vihArasvAmi santakam SradDA deyam pariBujya na
   paṭhitaṃ na svādhyāyitaṃ nāpi manasikāro vāhitaḥ kin tu saṃgaṇikābhirataiḥ	paWitam na svADyAyitam na api manasikAraH vAhitaH kin tu saMgaNikA aBiratEH
   kausīdyenātināmitaṃ tena karmaṇā paṃca janmaśatāni tasya vihārasvāminaḥ	kOsIdyena ati nAmitam tena karmaNA paMca janma SatAni tasya vihAra svAminaH
   kārṣikāḥ saṃvṛttāḥ / yāvad etarhy api tasyaiva kārṣikā jātāḥ / yad ebhiḥ	kArzikAH saMvRttAH / yAvat etarhi api tasya eva kArzikAH jAtAH / yat eBiH
   kāśyapasya samyaksaṃbuddhasya śāsane pravrajya brahmacaryaṃ caritaṃ	kASyapasya samyaksaMbudDasya SAsane pravrajya brahmacaryam caritam
   tenaitarhi mama śāsane pravrajya sarvakleśaprahāṇād arhatvaṃ sākṣātkṛtam*	tena etarhi mama SAsane pravrajya sarva kleSa prahANAt arhatvam sAkzAtkRtam*
   te 'pi balīvardapūrviṇo devaputrāḥ kāśyapasyaiva samyaksaṃbuddhasya śāsane	te api balIvarda pUrviNaH deva putrAH kASyapasya eva samyaksaMbudDasya SAsane
   pravrajitā āsaṃs tatraiva kṣudrānukṣudrāṇi śikṣāpadāni khaṇḍitāni / tena	pravrajitAH Asan tatra eva kzudra anukzudrANi SikzA padAni KaNxitAni / tena
   karmaṇo vipākena balīvardeṣūpapannāḥ / yan mamāntike cittam abhiprasāditaṃ	karmaNaH vipAkena balIvardezu upapannAH / yat mama antike cittam aBiprasAditam
   tena deveṣūpapannāḥ / yat kāsyape samyaksaṃbudde brahmacaryaṃ cīrṇaṃ	tena devezu upapannAH / yat kAsyape samyaksaMbudde brahmacaryam cIrNam
   pratipālitaṃ tenedānīṃ devaputrabhūtaiḥ (fol. 161r1 = GBM 6.990)	pratipAlitam tena idAnIm deva putra BUtEH (fol. 161r1  GBm 6.990)
   satyadarśanaṃ kṛtam* / iti hi bhikṣavaḥ ekāntakṛṣṇānāṃ karmaṇām	satya darSanam kRtam* / iti hi BikzavaH ekAnta kRzNAnAm karmaNAm
   ekāntakṛṣṇo vipākaḥ pūrvavad yāvad ābhogaḥ karaṇīyaḥ / ity evaṃ vo	ekAnta kRzNaH vipAkaH pUrvavat yAvat ABogaH karaNIyaH / iti evam vaH 
   bhikṣavaḥ śikṣitavyam idam avocat* /	BikzavaH Sikzitavyam idam avocat* /
   tatra bhagavān āyuṣmantam ānandam āmaṃtrayate / āgamayānanda yena toyikā /	tatra BagavAn Ayuzmantam Anandam AmaMtrayate / Agamaya Ananda yena toyikA /
   evaṃ bhadantety āyuṣmān ānando bhagavataḥ pratyaśrauṣīt* / atha bhagavāṃs	evam Badanta iti AyuzmAn AnandaH BagavataH pratyaSrOzIt* / aTa BagavAn= 
   toyikām anuprāptaḥ / tasmiṃś ca pradeśe brāhmaṇo lāṅgalaṃ vāhayati /	toyikAm anuprAptaH / tasmin ca pradeSe brAhmaNaH lAFgalam vAhayati /
   athāsau dadarśa buddhaṃ bhagavantaṃ dvātriṃśatā puruṣalakṣaṇaiḥ	aTa asO dadarSa budDam Bagavantam dvAtriMSatA puruza lakzaNEH
   samalaṃkṛtam aśītyā cānuvyaṃjanair virājitagātraṃ vyāmaprabhālaṃkṛtaṃ (MSV	samalaMkRtam aSItyA ca anuvyaMjanEH virAjita gAtram vyAma praBA alaMkRtam (MSV
   I 74) sūryasahasrātirekaprabhaṃ jaṃgamam iva ratnaparvataṃ samantato	I 74) sUrya sahasra atireka praBam jaMgamam iva ratna parvatam samantataH 
   bhadrakam* / sa saṃlakṣayati / yadi bhagavantaṃ gautamam	Badrakam* / sa saMlakzayati / yadi Bagavantam gOtamam
   upetyābhivādayiṣyāmi karmaparihānir me bhaviṣyati / atha	upetya aBivAdayizyAmi karma parihAniH me Bavizyati / aTa
   nopetyābhivādayiṣyāmi puṇyaparihānir me bhaviṣyati / ko 'sāv upāyaḥ syād	na upetya aBivAdayizyAmi puNya parihAniH me Bavizyati / kaH asO upAyaH syAt 
   yena me na karmaparihāniḥ syān nāpi puṇyaparihānir iti / tasya buddhir	yena me na karma parihAniH syAt na api puNya parihAniH iti / tasya budDiH 
   utpannā / atrastha evābhivādanaṃ karomi / evaṃ na karmaparihānir	utpannA / atrasTaH eva aBivAdanam karomi / evam na karma parihAniH 
   bhaviṣyati nāpi puṇyaparihānir iti / tena yathāgṛhītayaiva pratodayaṣṭyā	Bavizyati na api puNya parihAniH iti / tena yaTAgRhItayA eva pratoda yazwyA
   tatrasthenaivābhivādanaṃ kṛtam* / abhivādaye buddhaṃ bhagavantam iti /	tatrasTena eva aBivAdanam kRtam* / aBivAdaye budDam Bagavantam iti /
   tatra bhagavān āyuṣmantam ānandam āmantrayate / kṣūṇa ānanda eṣa brāhmaṇaḥ	tatra BagavAn Ayuzmantam Anandam Amantrayate / kzUNaH AnandaH eza brAhmaNaH
   / anenopakramyāsmin pradeśe abhivādane kṛte sati pratyātmaṃ jñānadarśanaṃ	/ anena upakramya asmin pradeSe aBivAdane kRte sati pratyAtmam jQAna darSanam
   pravartate / etasmiṇ pradeśe kāśyapasya samyaksaṃbuddhasyāvikopito	pravartate / etasmiN pradeSe kASyapasya samyaksaMbudDasya avikopitaH 
   'sthisaṃghātas tiṣṭhatīti / aham anenopakramya vandito bhaveyam* / evam	asTi saMGAtaH tizWati iti / aham anena upakramya vanditaH Baveyam* / evam
   anena dvābhyāṃ samyaksaṃbuddhābhyāṃ vandanā kṛtā bhavet* / tat kasya hetoḥ	anena dvAByAm samyaksaMbudDAByAm vandanA kRtA Bavet* / tat kasya hetoH
   / asminn ānanda pradeśe kāśyapasya samyaksaṃbuddhasyāvikopito	/ asmin Ananda pradeSe kASyapasya samyaksaMbudDasya avikopitaH 
   'sthisaṃghātas tiṣṭhati / athāyuṣmān ānando laghu laghv eva caturguṇam	asTi saMGAtaH tizWati / aTa AyuzmAn AnandaH laGu laGu eva caturguNam
   uttarāsaṃgaṃ prajñapya bhagavantam idam avocat* / niṣīdatu bhagavān	uttarAsaMgam prajQapya Bagavantam idam avocat* / nizIdatu BagavAn
   prajñapta evāsane / evam ayaṃ pṛthivīpradeśo dvābhyāṃ samyaksaṃbuddhābhyāṃ	prajQapte eva Asane / evam ayam pRTivI pradeSaH dvAByAm samyaksaMbudDAByAm
   paribhukto bhaviṣyati yac ca kāśyapena samyaksaṃbuddhena yac caitarhi	pariBuktaH Bavizyati yat ca kASyapena samyaksaMbudDena yat ca etarhi
   bhagavateti / niṣaṇṇo bhagavān prajñapta evāsane (MSV I 75) / niṣadya	BagavatA iti / nizaNNaH BagavAn prajQapte eva Asane (MSV I 75) / nizadya
   bhagavān bhikṣūn āmantrayate sma / icchatha yūyaṃ bhikṣavaḥ kāśyapasya	BagavAn BikzUn Amantrayate sma / icCaTa yUyam BikzavaH kASyapasya
   samyaksaṃbuddhasya śarīrasaṃghātam avikopitaṃ draṣṭum* / etasya bhagavan	samyaksaMbudDasya SarIra saMGAtam avikopitam drazwum* / etasya Bagavan
   kāla etasya sugata samayo yad bhagavān bhikṣūṇāṃ kāśyapasya	kAle etasya sugata samayaH yat BagavAn BikzUNAm kASyapasya
   samyaksaṃbuddhasyāvikopitaṃ śarīrasaṃghātam upadarśayet* / dṛṣṭvā	samyaksaMbudDasya avikopitam SarIra saMGAtam upadarSayet* / dRzwvA
   bhikṣavaś cittam abhiprasādayiṣyanti / bhagavatā laukikaṃ cittam utpāditam	BikzavaH cittam aBiprasAdayizyanti / BagavatA lOkikam cittam utpAditam
   iti / paśyanti bhagavataḥ kāśyapasya samyaksaṃbuddhasya śarīrasaṃghātam	iti / paSyanti BagavataH kASyapasya samyaksaMbudDasya SarIra saMGAtam
   avikopitaṃ draṣṭukāmāḥ {Tib. adds dharmatā khalu etc., cf. Divy 63.11.} /	avikopitam drazwu kAmAH {Ti b. addH DarmatA Kalu et c., cf. DivI 63.11.} /
   tatas tena kāśyapasya samyaksaṃbuddhasyāvikopitaḥ śarīrasaṃghāta	tatas tena kASyapasya samyaksaMbudDasya avikopitaH SarIra saMGAta
   ucchrāpitaḥ / tatra bhagavān bhikṣūn āmantrayate sma / udgṛhṇīta bhikṣavo	ucCrApitaH / tatra BagavAn BikzUn Amantrayate sma / udgRhNIta BikzavaH 
   nimittam* / antardhāsyatīty antarhitam* /	nimittam* / antarDAsyati iti antarhitam* /
   rājñā prasenajitā śrutam* / bhagavatā śrāvakāṇāṃ darśanāyāvikopitaḥ	rAjQA prasenajitA Srutam* / BagavatA SrAvakANAm darSanAya avikopitaH
   kāśyapasya samyaksaṃbuddhasya (fol. 161v1 = GBM 6.991) śarīrasaṃghāta	kASyapasya samyaksaMbudDasya (fol. 161v1  GBm 6.991) SarIra saMGAta
   ucchrāpita iti / śrutvā ca punaḥ kutūhalajātaḥ sārdham antaḥpurakumārair	ucCrApitaH iti / SrutvA ca punar kutUhala jAtaH sArDam antaHpura kumArEH 
   amātyair bhaṭabalāgreṇa naigamajānapadaiś ca saṃprasthitaḥ / evaṃ	amAtyEH Bawa bala agreNa nEgama jAnapadEH ca saMprasTitaH / evam
   virūḍhako 'nāthapiṇḍado gṛhapatiḥ uṣidattaḥ purāṇasthapatir viśākhā	virUXakaH anATapiNxadaH gRhapatiH uzidattaH purANa sTa patiH viSAKA
   mṛgāramātā anekāni prāṇiśatasahasrāṇi kutūhalajātāni saṃprasthitāni	mRgAra mAtA anekAni prANi Sata sahasrANi kutUhala jAtAni saMprasTitAni
   kaiścit pūrvakaiḥ kuśalamūlaiḥ saṃcodyamānāni / yāvad asāv antarhitaḥ /	kEScid pUrvakEH kuSala mUlEH saMcodyamAnAni / yAvat asO antarhitaH /
   taiḥ śrutam antarhito 'sau bhagavataḥ kāśyapasya samyaksaṃbuddhasya	tEH Srutam antarhitaH asO BagavataH kASyapasya samyaksaMbudDasya
   śarīrasaṃghāta iti / śrutvā ca punas teṣāṃ duḥkhadaurmanasyam utpannaṃ	SarIra saMGAtaH iti / SrutvA ca punar tezAm duHKa dOrmanasyam utpannam
   vṛthāsmākam āgamanam iti /	vRTA asmAkam Agamanam iti /
   anyatamena copāsakena sa pradeśaḥ pradakṣiṇīkṛtaḥ / evaṃ ca cetasā cittam	anyatamena ca upAsakena sa pradeSaH pradakziNIkRtaH / evam ca cetasA cittam
   abhisaṃskṛtam* / asmān me padāvihārāt kiyat puṇyaṃ (MSV I 76) bhaviṣyatīti	aBisaMskRtam* / asmAt me padA vihArAt kiyat puNyam (MSV I 76) Bavizyati iti
   / atha bhagavāṃs tasya mahājanakāyasyāvipratisārasaṃjananārthaṃ tasya	/ aTa BagavAn tasya mahA jana kAyasya avipratisAra saMjanana arTam tasya
   copāsakasya cetasā cittam ājñāya gāthāṃ bhāṣate /	ca upAsakasya cetasA cittam AjQAya gATAm BAzate /
   śataṃ sahasrāṇi suvarṇaniṣkā jāmbūnadā nāsya samā bhavanti /	Satam sahasrANi suvarNa nizkAH jAmbUnadAH na asya samAH Bavanti /
   yo buddhacaityeṣu prasannacittaḥ padāvihāraṃ prakaroti vidvān // iti /	yaH budDa cEtyezu prasanna cittaH padA vihAram prakaroti vidvAn // iti /
   anyatamenāpy upāsakena tasmin pradeśe mṛttikāpiṇḍo dattaḥ / evaṃ cittam	anyatamena api upAsakena tasmin pradeSe mRttikA piNxaH dattaH / evam cittam
   abhisaṃskṛtam* / padāvihārasya tāvad iyat puṇyam ākhyātaṃ bhagavatā / asya	aBisaMskRtam* / padA vihArasya tAvat iyat puNyam AKyAtam BagavatA / asya
   tu mṛttikāpiṇḍasya kiyat puṇyaṃ bhaviṣyatīti / atha bhagavāṃs tasya cetasā	tu mRttikA piNxasya kiyat puNyam Bavizyati iti / aTa BagavAn tasya cetasA
   cittam ājñāya gāthāṃ bhāṣate /	cittam AjQAya gATAm BAzate /
   śataṃ sahasrāṇi suvarṇapiṇḍā jāmbūnadā nāsya samā bhavanti /	Satam sahasrANi suvarNa piNxAH jAmbUnadAH na asya samAH Bavanti /
   yo buddhacaityeṣu prasannacittaḥ āropayen mṛttikāpiṇḍam ekam* // iti /	yaH budDa cEtyezu prasanna cittaH Aropayet mRttikA piNxam ekam* // iti /
   tac chrutvānekaiḥ prāṇiśatasahasrair mṛttikāpiṇḍasamāropaṇaṃ kṛtam* /	tat SrutvA anekEH prANi Sata sahasrEH mRttikA piNxa samAropaNam kRtam* /
   aparais tatra muktapuṣpāṇy abhikṣiptāni / evaṃ ca cittam abhisaṃskṛtam* /	aparEH tatra mukta puzpANi aBikziptAni / evam ca cittam aBisaMskRtam* /
   padāvihārasya ca mṛttikāpiṇḍasya ca iyat puṇyam uktaṃ bhagavatā / asmākaṃ	padA vihArasya ca mRttikA piNxasya ca iyat puNyam uktam BagavatA / asmAkam
   tu muktapuṣpāṇāṃ kiyat puṇyaṃ bhaviṣyatīti / atha bhagavāṃs teṣām api	tu mukta puzpANAm kiyat puNyam Bavizyati iti / aTa BagavAn tezAm api
   cetasā cittam ājñāya gāthāṃ bhāṣate /	cetasA cittam AjQAya gATAm BAzate /
   śataṃ sahasrāṇi suvarṇapeṭā jāmbūnadā nāsya samā bhavanti /	Satam sahasrANi suvarNa pewAH jAmbUnadAH na asya samAH Bavanti /
   yo buddhacaityeṣu prasannacitta āropayen muktapuṣpasya rāśim* // iti /	yaH budDa cEtyezu prasanna cittaH Aropayet mukta puzpasya rASim* // iti /
   aparais tatra mālāvihāraḥ kṛtaḥ / cittaṃ cābhisaṃskṛtam* / muktapuṣpāṇāṃ	aparEH tatra mAlA vihAraH kRtaH / cittam ca aBisaMskRtam* / mukta puzpANAm
   bhagavatā iyat puṇyam uktam* / asmākaṃ mālāvihārasya (MSV I 77) kiyat	BagavatA iyat puNyam uktam* / asmAkam mAlA vihArasya (MSV I 77) kiyat 
   puṇyaṃ bhaviṣyatīti / atha bhagavāṃs teṣām api cetasā cittam ājñāya gāthāṃ	puNyam Bavizyati iti / aTa BagavAn tezAm api cetasA cittam AjQAya gATAm
   bhāṣate /	BAzate /
   śataṃ sahasrāṇi suvarṇavāhā jāmbūnadā nāsya samā bhavanti /	Satam sahasrANi suvarNa vAhAH jAmbUnadAH na asya samAH Bavanti /
   yo buddhacaityeṣu prasannacitto mālāvihāraṃ prakaroti vidvān* // iti /	yaH budDa cEtyezu prasanna cittaH mAlA vihAram prakaroti vidvAn* // iti /
   aparais tatra dīpamālā dattā / cittaṃ cābhisaṃskṛtam* / mālāvihārasya	aparEH tatra dIpa mAlA dattA / cittam ca aBisaMskRtam* / mAlA vihArasya
   bhagavatā iyat puṇyam uktam* / asmākaṃ dīpadānasya kiyat puṇyaṃ	BagavatA iyat puNyam uktam* / asmAkam dIpa dAnasya kiyat puNyam
   bhaviṣyatīti / atha bhagavāṃs teṣām api cetasā cittam ājñāya gāthāṃ	Bavizyati iti / aTa BagavAn tezAm api cetasA cittam AjQAya gATAm
   bhāṣate /	BAzate /
   śataṃ sahasrāṇi suvarṇavāhā jāmbūnadā nāsya samā bhavanti /	Satam sahasrANi suvarNa vAhAH jAmbUnadAH na asya samAH Bavanti /
   yo buddhacaityeṣu prasannacittaḥ pradīpadānaṃ prakaroti vidvān* // iti /	yaH budDa cEtyezu prasanna cittaH pradIpa dAnam prakaroti vidvAn* // iti /
   aparais tatra gandhābhiṣeko dattaḥ / cittaṃ cābhisaṃskṛtam* (fol. 162r1 =	aparEH tatra ganDa aBizekaH dattaH / cittam ca aBisaMskRtam* (fol. 162r1 =
   GBM 6.992) / pradīpadānasya bhagavatā iyat puṇyam uktam* / asmākaṃ	GBm 6.992) / pradIpa dAnasya BagavatA iyat puNyam uktam* / asmAkam
   gandhābhiṣekasya kiyat puṇyaṃ bhaviṣyatīti / atha bhagavāṃs teṣām api	ganDa aBizekasya kiyat puNyam Bavizyati iti / aTa BagavAn tezAm api
   cetasā cittam ājñāya gāthāṃ bhāṣate /	cetasA cittam AjQAya gATAm BAzate /
   śataṃ sahasrāṇi suvarṇarāśayo jāmbūnadā nāsya samā bhavanti /	Satam sahasrANi suvarNa rASayaH jAmbUnadAH na asya samAH Bavanti /
   yo buddhacaityeṣu prasannacitto gandhābhiṣekaṃ prakaroti vidvān* // iti /	yaH budDa cEtyezu prasanna cittaH ganDa aBizekam prakaroti vidvAn* // iti /
   aparais tatra cchatradhvajapatākāropaṇaṃ dattaḥ / cittaṃ cābhisaṃskṛtam* /	aparEH tatra cCatra Dvaja patAkA AropaNam dattaH / cittam ca aBisaMskRtam* /
   padāvihārasya mṛtpiṇḍadānasya muktapuṣpāṇāṃ mālāvihārasya pradīpadānasya	padA vihArasya mRd piNxa dAnasya mukta puzpANAm mAlA vihArasya pradIpa dAnasya
