   acidaṃśavyapohena YSsi_64a	acit-aMSa-vyapohena YSsi_64a
   tenādvitīyaṃ brahmeti YSsi_17a	tena-advitIyam brahma-iti YSsi_17a
   tenāpi sādhitaṃ kiñcit YSsi_195a	tena-api sADitam kiQcid YSsi_195a
   teṣāṃ muktir abhūd iti YSsi_126b	tezAm muktiH aBUt iti YSsi_126b
   trayaṃ sākṣāc cakāstīti YSsi_202c	trayam sAkzAt cakAsti-iti YSsi_202c
   tripādasyāmṛtaṃ divi YSsi_26b	tripAdasya-amRtam divi YSsi_26b
   triṣv apy anyan na bādhate YSsi_4b	trizu api anyat na bADate YSsi_4b
   tvadabhyupetā bādheran YSsi_158c	tvad-aByupetAH bADeran YSsi_158c
   tvad avidyānimittatve YSsi_128a	tvat avidyA-nimitta-tve YSsi_128a
   tvamarthasthe taṭasthe vā YSsi_53a	tvam-arTa-sTe tawa-sTe vA YSsi_53a
   tvayā kvedaṃ nirīkṣitam YSsi_116d	tvayA kva-idam nirIkzitam YSsi_116d
   tvayaivaivaṃ samarthitaḥ YSsi_190d	tvayA-eva-evam samarTitaH YSsi_190d
   duḥkhitvasukhitādike YSsi_54b	duHKi-tva-suKita-Adike YSsi_54b
   dṛśyatvān māmakasvapna- YSsi_125c	dRSya-tvAt mAmaka-svapna YSsi_125c
   dṛśyabhedaprapañcavat YSsi_125d	dRSya-Beda-prapaQca-vat YSsi_125d
   dṛṣṭabhedās tu saṃvidaḥ YSsi_196b	dRzwa-BedAH tu saMvidaH YSsi_196b
   dṛṣṭāntavacanāni te YSsi_132d	dRzwAnta-vacanAni te YSsi_132d
   devadatto na hiṃsitaḥ YSsi_63d	devadattaH na hiMsitaH YSsi_63d
   deśakāladaśādike YSsi_57d	deSa-kAla-daSA-Adike YSsi_57d
   deśakāladaśābhedād YSsi_45c	deSa-kAla-daSA-BedAt YSsi_45c
   deśakāladaśābhedād YSsi_56a	deSa-kAla-daSA-BedAt YSsi_56a
   deśakālādibhetataḥ YSsi_42b	deSa-kAla-Adi-BetataH YSsi_42b
   dehino 'śakyanihnavāḥ YSsi_149f	dehinaH aSakya-nihnavAH YSsi_149f
   doṣo 'nyonyasamāśrayaḥ YSsi_117b	dozaH anyonya-samASrayaH YSsi_117b
   dravyatvād anumīyate YSsi_203d	dravya-tvAt anumIyate YSsi_203d
   dvitīyagaṇanāyogyo YSsi_17c	dvitIya-gaNanA-yogyaH YSsi_17c
   dvitīyagrahaṇaṃ yasmāt YSsi_7c	dvitIya-grahaNam yasmAt YSsi_7c
   dvitīyavastunāstitvaṃ YSsi_15a	dvitIya-vastu-nA-astitvam YSsi_15a
   dvitīyavāgāspadatāṃ YSsi_19a	dvitIya-vAc-Aspada-tAm YSsi_19a
   dvitīyaśūnyatā tatra YSsi_11a	dvitIya-SUnyatA tatra YSsi_11a
   dvitīyasyāvagamyate YSsi_8b	dvitIyasya-avagamyate YSsi_8b
   dvitīyaṃ yasya naivāsti YSsi_9a	dvitIyam yasya na-eva-asti YSsi_9a
   dvitīyaṃ sidhyati dhruvam YSsi_4d	dvitIyam siDyati Druvam YSsi_4d
   dvitīyena tathā spṛṣṭvā YSsi_6c	dvitIyena taTA spRzwvA YSsi_6c
   dvitīyena virudhyate YSsi_5d	dvitIyena viruDyate YSsi_5d
   dvitīye saṃvido 'dvaitaṃ YSsi_97a	dvitIye saMvidaH advEtam YSsi_97a
   dvitīye saiva tair eva YSsi_164c	dvitIye sA-eva tEH eva YSsi_164c
   dvaitānarthabhramābhāvāc YSsi_58c	dvEta-anarTa-Brama-aBAvAt YSsi_58c
   dharmo mithyātvalakṣaṇaḥ YSsi_184b	DarmaH miTyAtva-lakzaNaH YSsi_184b
   dhībhedāvagrahodayaḥ YSsi_82b	DI-Beda-avagraha-udayaH YSsi_82b
   na kiñcid avabhāsate YSsi_96d	na kiQcid avaBAsate YSsi_96d
   na khalv ekaikasaṃvidā YSsi_197b	na Kalu ekEka-saMvidA YSsi_197b
   na ca jīvas tayā vinā YSsi_108b	na ca jIvaH tayA vinA YSsi_108b
   na ca te bhrāntisiddhās te YSsi_160a	na ca te BrAnti-sidDAH te YSsi_160a
   na ca nānāvidhākāra- YSsi_194a	na ca nAnAviDa-AkAra YSsi_194a
   na ca prātisvikāvidyā- YSsi_156a	na ca prAtisvika-avidyA YSsi_156a
   na ca svarūpanānātvāt, YSsi_92c	na ca svarUpa-nAnA-tvAt, YSsi_92c
   na cātmārthāvabhāsanam YSsi_200b	na ca-Atma-arTa-avaBAsanam YSsi_200b
   na cāvidyāvilāsatvād YSsi_98a	na ca-avidyA-vilAsa-tvAt YSsi_98a
   (na cāsadvyoma)puṣpādi- YSsi_118c	(na ca-asat-vyoma)-puzpa-Adi YSsi_118c
   na ciddharmatvasambhavaḥ YSsi_85b	na cit-Darma-tva-samBavaH YSsi_85b
   na cec ceṣṭāviśeṣeṇa YSsi_151a	na ced cezwA-viSezeNa YSsi_151a
   na cet te viphalaḥ śramaḥ YSsi_195d	na ced te viPalaH SramaH YSsi_195d
   na ced asti sasāmānyaṃ YSsi_197c	na ced asti sa-sAmAnyam YSsi_197c
   na caupādhikabhedena YSsi_152a	na ca-OpADika-Bedena YSsi_152a
   nañā vastv iti cen (matam) YSsi_119d	naQAH vastu iti ced (matam) YSsi_119d
   na tasyām asti bhedadhīḥ YSsi_77b	na tasyAm asti Beda-DIH YSsi_77b
   na tasyāḥ kvāpi sambhavaḥ YSsi_105b	na tasyAH kvApi samBavaH YSsi_105b
   na tāvad ghaṭadhīs tasyām YSsi_75c	na tAvat Gawa-DIH tasyAm YSsi_75c
   na tu jīvād avidyā syāt, YSsi_108a	na tu jIvAt avidyA syAt, YSsi_108a
   na tu tadbhṛtyatatputra- YSsi_20c	na tu tad-BRtya-tad-putra YSsi_20c
   na tu sā cit prakāśanāt YSsi_77d	na tu sA cit prakASanAt YSsi_77d
   na deśakālasambandhād YSsi_47c	na deSa-kAla-sambanDAt YSsi_47c
   na dvitīyo nabhaḥsthale YSsi_24b	na dvitIyaH naBaH-sTale YSsi_24b
   na nivarteta kenacit YSsi_112d	na nivarteta kenacid YSsi_112d
   nanu tat pratiṣedhati YSsi_1d	nanu tat pratizeDati YSsi_1d
   nanu te brahmavidyā sā YSsi_140c	nanu te brahma-vidyA sA YSsi_140c
   nanu deśādisambandhaḥ YSsi_47a	nanu deSa-Adi-sambanDaH YSsi_47a
   nanu nañ brahmaṇo 'nyasya YSsi_7a	nanu nan brahmaNaH anyasya YSsi_7a
   nanu naḥ saṃvido bhinnaṃ YSsi_94a	nanu naH saMvidaH Binnam YSsi_94a
   nanu nedam aniṣṭaṃ me YSsi_133a	nanu na-idam anizwam me YSsi_133a
   nanu bhavād asambhavaḥ YSsi_104f	nanu BavAt asamBavaH YSsi_104f
   nanu sattve prapañcasya YSsi_37a	nanu sattve prapaQcasya YSsi_37a
   nanu saṃvidabhinnaikā YSsi_77a	nanu saMvid-aBinnA-ekA YSsi_77a
   nanu sāpi tadāyattety YSsi_115e	nanu sA-api tat-AyattA-iti YSsi_115e
   nanv astīti yad uktaṃ kiṃ YSsi_188a	nanu asti-iti yat uktam kim YSsi_188a
   nanv īdṛśānumānena YSsi_127a	nanu IdRSa-anumAnena YSsi_127a
   nanv evam asamādhānam YSsi_107c	nanu evam asamADAnam YSsi_107c
   na padārthāntarānvayaḥ YSsi_14b	na padArTa-antara-anvayaH YSsi_14b
   na punaḥ pratibaddhatvād YSsi_145c	na punar pratibadDa-tvAt YSsi_145c
   na pratyakṣo na laukikaḥ YSsi_81b	na pratyakzaH na lOkikaH YSsi_81b
   na bādhyate vibhūtitvād YSsi_36c	na bADyate viBUti-tvAt YSsi_36c
   na brahma na viśeṣaṇam YSsi_15b	na brahma na viSezaNam YSsi_15b
   na brahmāsmīti dhīr api YSsi_144b	na brahma-asmi-iti DIH api YSsi_144b
   na brūhas tasya bhāsanam YSsi_79f	na brUhaH tasya BAsanam YSsi_79f
   na muktir nityasiddhatvāt, YSsi_144a	na muktiH nitya-sidDa-tva-at, YSsi_144a
   na vastutvād avastutvād YSsi_117c	na vastu-tvAt avastu-tvAt YSsi_117c
   na vastu vastudharmo vā YSsi_81a	na vastu vastu-DarmaH vA YSsi_81a
   na vā kiñcit kadācana YSsi_90d	na vA kiQcid kadAcana YSsi_90d
   na vāyuś calituṃ śaktaḥ YSsi_31c	na vAyuH calitum SaktaH YSsi_31c
   na vījāṅkuratulyatvaṃ YSsi_108c	na vIja-aFkura-tulya-tvam YSsi_108c
   na vedyaṃ vittidharmaḥ syād YSsi_194c	na vedyam vitti-DarmaH syAt YSsi_194c
   na vyavasthāpakaṃ kiñcid YSsi_57c	na vyavasTApakam kiQcid YSsi_57c
   naṣṭāyāṃ vākhilaṃ jagat YSsi_76b	nazwAyAm vA-aKilam jagat YSsi_76b
   na satas sadvitīyatā YSsi_167d	na sataH sa-dvitIya-tA YSsi_167d
   na sad ity api yan na tat YSsi_183b	na sat iti api yat na tat YSsi_183b
   na sadvacyaṃ na cāpy asat) YSsi_121b	na sat-vacyam na ca-api asat) YSsi_121b
   na syād brahmapadānvayaḥ YSsi_10d	na syAt brahma-pada-anvayaH YSsi_10d
   na svāc chabdāntarādivat YSsi_110d	na svAt Sabda-antara-Adi-vat YSsi_110d
   na hi jñānād ṛte 'jñānam YSsi_104c	na hi jQAnAt Rte ajQAnam YSsi_104c
   na hi tasyām ajātāyāṃ YSsi_76a	na hi tasyAm ajAtAyAm YSsi_76a
   na hi daṇḍiśiraśchedād YSsi_63c	na hi daNxiSiraH-CedAt YSsi_63c
   na hi brahmāham asmīti YSsi_144c	na hi brahmA-aham asmi-iti YSsi_144c
   na hi bhedaḥ svato nāsti YSsi_89c	na hi BedaH svatas na-asti YSsi_89c
   na hi vahner anuṣṇatvaṃ YSsi_203c	na hi vahneH anuzNa-tvam YSsi_203c
   nādyaḥ kalpo 'yam añjasā YSsi_184d	na-AdyaH kalpaH ayam aQjasA YSsi_184d
   nādyāvidyeti codyate YSsi_124d	na-adya-avidyA-iti codyate YSsi_124d
   nādvaitaśrutibādhitaḥ YSsi_16b	na-advEta-Sruti-bADitaH YSsi_16b
   nānātvāvagrahabhramaḥ YSsi_80d	nAnA-tva-avagraha-BramaH YSsi_80d
   nānādṛṣṭāntavistaraiḥ YSsi_30d	nAnA-dRzwAnta-vistarEH YSsi_30d
   nānumānaṃ pravartate YSsi_203b	na-anumAnam pravartate YSsi_203b
   nānumānānuvartinaḥ YSsi_201d	na-anumAna-anuvartinaH YSsi_201d
   nānyo 'rthaḥ saṃvido bhavet YSsi_198b	na-anyaH arTaH saMvidaH Bavet YSsi_198b
   nāpi kāraṇabhedena. YSsi_92a	na-api kAraNa-Bedena. YSsi_92a
   nāpy anyasaṃvit tannāśe YSsi_76e	na-api anya-saMvid tad-nASe YSsi_76e
   nāpy avastv iti co(ktau tu YSsi_119a	na-api avastu iti ca-u(ktO tu YSsi_119a
   nāpratyakṣaś ca saṃataḥ YSsi_89d	na-apratyakzaH ca saMataH YSsi_89d
   nāśakad dagdham analas YSsi_31a	na-aSakat dagDam analaH YSsi_31a
   nāsat pratīteḥ, bādhāc ca YSsi_183a	na-asat pratIteH, bADAt ca YSsi_183a
   nāsāv arthāntaras tasmān YSsi_199c	na-asO arTa-antaraH tasmAt YSsi_199c
   nāsīd asti bhaviṣyati YSsi_17d	na-AsIt asti Bavizyati YSsi_17d
   nāstitāmātragocare YSsi_10b	na-astitA-mAtra-gocare YSsi_10b
   nāsti madhye 'pi tat tathā YSsi_49d	na-asti maDye api tat taTA YSsi_49d
   nāstivyāhārasādhanī YSsi_180b	nAstivyAhAra-sADanI YSsi_180b
   nāstīti pratyayaḥ katham YSsi_37b	na-asti-iti pratyayaH kaTam YSsi_37b
   nāstīti pratyayodayāt YSsi_40b	na-asti-iti pratyaya-udayAt YSsi_40b
   nāstīti śakyate vaktum YSsi_76c	na-asti-iti Sakyate vaktum YSsi_76c
   nāstītyevaṃvidhā yataḥ YSsi_45b	na-asti-iti-evaMviDA yatas YSsi_45b
   nāsyās tābhyāṃ nivartanam YSsi_104b	na-asyAH tAByAm nivartanam YSsi_104b
   nityatvamahimādy atha YSsi_161b	nitya-tva-mahimA-Adi aTa YSsi_161b
   nityasiddhaiva sā yataḥ YSsi_133d	nitya-sidDA-eva sA yatas YSsi_133d
   nityāyās tadabhāvataḥ YSsi_92b	nityAyAH tad-aBAvataH YSsi_92b
   nityaiveti na tatpjhalam YSsi_139d	nityA-eva-iti na tat-pJalam YSsi_139d
   niyāmakaṃ na paśyāmo YSsi_113e	niyAmakam na paSyAmaH YSsi_113e
   nirupākhyasvabhāvatvāt YSsi_99c	nirupAKya-svaBAva-tvAt YSsi_99c
   nirṇayaḥ kriyate tatra YSsi_43c	nirNayaH kriyate tatra YSsi_43c
   nirdeśair eva vaidikaiḥ YSsi_190b	nirdeSEH eva vEdikEH YSsi_190b
   nirdoṣāpauruṣeyī ca YSsi_73a	nirdozA-pOruzeyI ca YSsi_73a
   nirdhūtanikhiladvandva- YSsi_58a	nirDUta-niKila-dvandva YSsi_58a
   nirnimittaḥ prasajyate YSsi_93d	nirnimittaH prasajyate YSsi_93d
   nirbandhāt tāvakād ṛte YSsi_113f	nirbanDAt tAvakAt Rte YSsi_113f
   nivāraṇaparaṃ vacaḥ YSsi_20b	nivAraNa-param vacaH YSsi_20b
   nivāho lokavedayoḥ YSsi_96b	nivAhaH loka-vedayoH YSsi_96b
   niścayābhāvahetutaḥ YSsi_39b	niScaya-aBAva-hetutaH YSsi_39b
   (niṣidhyate) samastena YSsi_119c	(niziDyate) samastena YSsi_119c
   niṣidhyante 'tra raśmayaḥ YSsi_24d	niziDyante atra raSmayaH YSsi_24d
   nissīmasukhasāgaraḥ YSsi_52d	nissIma-suKa-sAgaraH YSsi_52d
   nīrūpāyā na hi svataḥ YSsi_80b	nIrUpAyAH na hi svatas YSsi_80b
   nīlam utpalam evedam YSsi_70c	nIlam utpalam eva-idam YSsi_70c
   nīlādir na prakāśate YSsi_95b	nIla-AdiH na prakASate YSsi_95b
   nīlādyupaplavāpeta- YSsi_205a	nIla-Adi-upaplava-apeta YSsi_205a
   nīlimānyakathā na, dhīḥ YSsi_174b	nIlimAnya-kaTA na, DIH YSsi_174b
   nīle nīlamatir yādṛg- YSsi_70a	nIle nIla-matiH yAdRg YSsi_70a
   ...(nedaṃ tadrūpaṇaṃ yadi) YSsi_116b	...(nedam tad-rUpaNam yadi) YSsi_116b
   naikā vā tad idaṃ vada YSsi_122d	na-ekA vA tat idam vada YSsi_122d
   naikyaṃ yānti ghaṭādibhiḥ YSsi_196d	na-Ekyam yAnti Gawa-AdiBiH YSsi_196d
   naiva tattadapohyate YSsi_170c	na-eva tat-tat-apohyate YSsi_170c
   naiva nimbakaṣāyadhīḥ YSsi_175b	na-eva nimba-kazAya-DIH YSsi_175b
   naivaṃ, ghaṭo hi nābhāti YSsi_78c	na-evaM, GawaH hi na-ABAti YSsi_78c
   naivaṃ niṣedho na hy asmād YSsi_8a	na-evam nizeDaH na hi asmAt YSsi_8a
   paṭatvaṃ vānumanyate YSsi_187d	pawa-tvam vA-anumanyate YSsi_187d
   paṭād iva ghaṭaḥ svayam YSsi_207d	pawAt iva GawaH svayam YSsi_207d
   padayor ity apeśalam YSsi_55d	padayoH iti apeSalam YSsi_55d
   padārthatvān na bodhakaḥ YSsi_182d	padArTa-tvAt na boDakaH YSsi_182d
   padārthas tatra tad brahma YSsi_3c	padArTaH tatra tat brahma YSsi_3c
   padārthānāṃ tu yā sthitiḥ YSsi_193d	padArTAnAm tu yA sTitiH YSsi_193d
   parajīvāvibhāgataḥ YSsi_61d	para-jIva-aviBAgataH YSsi_61d
   paratādātmyagocaram YSsi_65d	para-tAdAtmya-gocaram YSsi_65d
   paramārthatvasambandhaḥ YSsi_82d	paramArTa-tva-sambanDaH YSsi_82d
   paravartānabhijñās te YSsi_157a	para-varta-anaBijQAH te YSsi_157a
   parastād ātmavidyayā YSsi_131d	parastAt Atma-vidyayA YSsi_131d
   parasparavirodhinī YSsi_114b	paraspara-viroDinI YSsi_114b
   parasparavilakṣaṇāḥ YSsi_88b	paraspara-vilakzaNAH YSsi_88b
   paro boddhānumīyate YSsi_151b	paraH bodDA-anumIyate YSsi_151b
   pādādau vedanodaye YSsi_153b	pAda-AdO vedanA-udaye YSsi_153b
   pādo 'sya viśvā bhūtāni YSsi_26a	pAdaH asya viSvA BUtAni YSsi_26a
   pāramārthyāvabodhinī YSsi_192d	pAramArTya-avaboDinI YSsi_192d
   pāramārthye 'pi tenaiva YSsi_185c	pAramArTye api tena-eva YSsi_185c
   pāvakād visphuliṅgavat YSsi_30b	pAvakAt visPuliFga-vat YSsi_30b
   punas tad iti vastutā YSsi_120d	punar tat iti vastu-tA YSsi_120d
   purastād ātmavudyayā YSsi_131b	purastAt Atma-vudyayA YSsi_131b
   pūrvam eva nirasteti YSsi_123c	pUrvam eva nirastA-iti YSsi_123c
   pūrvam eva parākṛtā YSsi_169b	pUrvam eva parAkRtA YSsi_169b
   pūrvasminn uttaras tāvat YSsi_3a	pUrvasmin uttaraH tAvat YSsi_3a
   pūrvasmin sarvasāaṅkaryaṃ YSsi_61c	pUrvasmin sarva-sAaFkaryam YSsi_61c
   pūrvoktanītyā bhedaś ca, YSsi_163c	pUrva-ukta-nItyA BedaH ca, YSsi_163c
   'py anyeṣām upalambhanāt YSsi_76f	api anyezAm upalamBanAt YSsi_76f
   prakarṣaś ca prakāśaś ca YSsi_166a	prakarzaH ca prakASaH ca YSsi_166a
   prakārākāravattayā YSsi_181b	prakAra-AkAravat-tayA YSsi_181b
   prakāśamāno nīlādiḥ YSsi_95c	prakASamAnaH nIla-AdiH YSsi_95c
   pratijñāṃ dūratas tyaja YSsi_106d	pratijQAm dUratas tyaja YSsi_106d
   pratipadyeta tatkatham YSsi_19b	pratipadyeta tat-kaTam YSsi_19b
   pratipramātṛviṣayaṃ YSsi_88a	pratipramAtR-vizayam YSsi_88a
   pratiprasūtaṃ vyastena YSsi_120c	pratiprasUtam vyastena YSsi_120c
   pratibhāsaparāhatam YSsi_147b	pratiBAsa-parAhatam YSsi_147b
   pratiyogini dṛśye tu YSsi_171a	pratiyogini dRSye tu YSsi_171a
   pratiyogivyapekṣayā YSsi_179d	pratiyogi-vyapekzayA YSsi_179d
   pratītiḥ śakyanihnavā YSsi_194b	pratItiH Sakya-nihnavA YSsi_194b
   pratīter eva sat kiṃ na YSsi_183c	pratIteH eva sat kim na YSsi_183c
   pratyak cit pariśiṣyate YSsi_65b	pratyak cit pariSizyate YSsi_65b
   pratyaktvenāśrayo brahma- YSsi_115a	pratyaktvena-ASrayaH brahma YSsi_115a
   pratyakṣa iti yo bhramaḥ YSsi_178b	pratyakzaH iti yaH BramaH YSsi_178b
   pratyakṣapratipakṣaṃ ca YSsi_203a	pratyakza-pratipakzam ca YSsi_203a
   pratyakṣasya prapañcasya YSsi_181c	pratyakzasya prapaQcasya YSsi_181c
   pratyakṣaṃ te (kṣyante) tathānyebhyo YSsi_150c	pratyakzam te (kzyante) taTA-anyeByaH YSsi_150c
   pratyakṣādīni mānāni YSsi_173a	pratyakza-AdIni mAnAni YSsi_173a
   pratyakṣāder iti mataṃ YSsi_35c	pratyakza-AdeH iti matam YSsi_35c
   pratyakṣāder utāgamāt YSsi_172d	pratyakza-AdeH uta-AgamAt YSsi_172d
   pratyakṣānubhavāpārataṃ YSsi_69c	pratyakza-anuBava-apAratam YSsi_69c
   pratyakṣeṇa pariśurat YSsi_179b	pratyakzeNa pariSurat YSsi_179b
   pratyakṣeṇa balīyasā YSsi_201b	pratyakzeNa balIyasA YSsi_201b
   pratyayādhīnatā na te YSsi_109d	pratyaya-aDIna-tA na te YSsi_109d
   prathamaṃ yanniṣidhyate YSsi_120b	praTamam yat-niziDyate YSsi_120b
   pradhānyena vivakṣyate YSsi_3b	praDAnyena vivakzyate YSsi_3b
   prapañcaś cidacinmayaḥ YSsi_33b	prapaQcaH cit-acit-mayaH YSsi_33b
   prapañcasya ca hīyate YSsi_191b	prapaQcasya ca hIyate YSsi_191b
   prapañcaṃ kecid ūcire YSsi_41f	prapaQcam kecid Ucire YSsi_41f
   prapañcaṃ sādhayaty anyaḥ YSsi_127c	prapaQcam sADayati anyaH YSsi_127c
   prapañcaḥ saṃvidātmakaḥ YSsi_97d	prapaQcaH saMvid-AtmakaH YSsi_97d
   prapañcaḥ sphuṭam añcati YSsi_200d	prapaQcaH sPuwam aQcati YSsi_200d
   pralapann iva lakṣyase YSsi_129d	pralapan iva lakzyase YSsi_129d
   pravṛttibhedānumitā YSsi_149c	pravRtti-Beda-anumitA YSsi_149c
   prasaktaṃ pūrvavat sarvaṃ YSsi_12a	prasaktam pUrvavat sarvam YSsi_12a
   prasūtivyasanād api YSsi_154b	prasUti-vyasanAt api YSsi_154b
   prāgatyantāsator iha YSsi_50d	prAk-atyanta-asatoH iha YSsi_50d
   prāgabhāvādisiddhiḥ syāt, YSsi_83c	prAc-aBAva-Adi-sidDiH syAt, YSsi_83c
   prāg eva samadūduṣam YSsi_35d	prAk eva sama-dUduzam YSsi_35d
   prātibhāsikam ekatvaṃ YSsi_147a	prAtiBAsikam eka-tvam YSsi_147a
   prāmāṇyaṃ vyāvahārikam YSsi_113b	prAmANyam vyAvahArikam YSsi_113b
   prāmāṇye 'py anvayāyogya- YSsi_182c	prAmANye api anvayA-yogya YSsi_182c
   prāyaṇām narakakleśāt YSsi_154a	prAyaNAm naraka-kleSAt YSsi_154a
   phale ca phalino 'bhāvān YSsi_74c	Pale ca PalinaH aBAvAn YSsi_74c
   phenabudbudavipruṣaḥ YSsi_23d	Pena-budbuda-vipruzaH YSsi_23d
   bandhe sati nirarthakaḥ YSsi_66d	banDe sati nirarTakaH YSsi_66d
   bahuvrīhir athocyatām YSsi_2d	bahuvrIhiH aTa-ucyatAm YSsi_2d
   bahuvrīhau samasyati YSsi_12b	bahuvrIhO samasyati YSsi_12b
   (bādhanaṃ) tena vāgabādhā YSsi_68c	(bADanan) tena vAc-abADA YSsi_68c
   bādhān nāsat kuto jagat ? YSsi_183d	bADAn na-asat kutas jagat ? YSsi_183d
   brahmaṇaś cetyavasthitam YSsi_36d	brahmaNaH ca-iti-avasTitam YSsi_36d
   brahmaṇaś cen na sarvajñaṃ YSsi_109a	brahmaNaH ced na sarvajQam YSsi_109a
   brahmaṇaḥ prathamā ye ca YSsi_12c	brahmaNaH praTamA ye ca YSsi_12c
   brahmaṇaḥ sadvitīyatā YSsi_164d	brahmaNaH sa-dvitIya-tA YSsi_164d
   brahmaṇo na viśeṣaṇam YSsi_11b	brahmaNaH na viSezaNam YSsi_11b
   brahmaṇo 'nyasya sadbhāvaṃ YSsi_1c	brahmaNaH anyasya sadBAvam YSsi_1c
   brahmaṇo 'py atathābhāvas YSsi_190c	brahmaNaH api ataTA-BAvaH YSsi_190c
   brahma praty advitīyatvāt YSsi_13a	brahma prati advitIya-tvAt YSsi_13a
   brahma prāpnoti yasmāt tad YSsi_5c	brahma prApnoti yasmAt tat YSsi_5c
   brahmabrahmāṇḍakoṭayaḥ YSsi_21b	brahma-brahmANxa-kowayaH YSsi_21b
   brahmavidyārjanaśramaḥ YSsi_134d	brahma-vidyA-arjana-SramaH YSsi_134d
   brahmasarvajñabhāvasya, YSsi_109e	brahma-sarvajQa-BAvasya, YSsi_109e
   brahmasvarūpam eveṣṭaṃ, YSsi_161c	brahma-svarUpam eva-izwaM, YSsi_161c
   brahmāṇḍam akhilaṃ jagat YSsi_28b	brahmANxam aKilam jagat YSsi_28b
   brahmātmanātmalābho 'yaṃ YSsi_33a	brahma-AtmanA-Atma-lABaH ayam YSsi_33a
   brahmādvaitadhiyā jagat YSsi_36b	brahmA-dvEta-DiyA jagat YSsi_36b
   brahmānandahradāntaḥsthoḥ YSsi_74a	brahma-Ananda-hrada-antar-sToH YSsi_74a
   brahmāpi na viśiṣyate YSsi_169d	brahmA-api na viSizyate YSsi_169d
   brahmāstītīti kīdṛśī YSsi_139b	brahmAsti-iti-iti kIdRSI YSsi_139b
   brahmeti yāvan nirdiṣṭaṃ YSsi_162a	brahma-iti yAvat nirdizwam YSsi_162a
   brahmety upaniṣadvacaḥ YSsi_1b	brahma-iti upanizad-vacaH YSsi_1b
   brahmaupaniṣadaṃ matam YSsi_189b	brahma-Opanizadam matam YSsi_189b
   bhavet sarajñasiddhivat YSsi_128d	Bavet sa-rajQa-sidDi-vat YSsi_128d
   bhaven nāpi viśeṣaṇam YSsi_15d	Bavet na-api viSezaNam YSsi_15d
   bhāti (ta)smād ṛte 'pi tat YSsi_207b	BAti (ta)smAt Rte api tat YSsi_207b
   bhāvānām evam etayoḥ YSsi_67d	BAvAnAm evam etayoH YSsi_67d
   bhāvinīty apadiśyatām YSsi_132b	BAvinI-iti apadiSyatAm YSsi_132b
   bhinnābhinnatvasambandha- YSsi_69a	Binna-aBinna-tva-sambanDa YSsi_69a
   bhinnāv evārkavartinau YSsi_166b	BinnO eva-arka-vartinO YSsi_166b
   bhūtabhautikabhedānāṃ YSsi_172a	BUta-BOtika-BedAnAm YSsi_172a
   bhedavyāhārahetuḥ syāt YSsi_179c	Beda-vyAhAra-hetuH syAt YSsi_179c
   bhedaḥ parasparānātmyaṃ YSsi_67c	BedaH paraspara-anAtmyam YSsi_67c
   bhedaḥ syāt tvaṃtadarthayoḥ YSsi_54f	BedaH syAt tvaMtad-arTayoH YSsi_54f
   bhedābhedavikalpayoḥ YSsi_68b	Beda-aBeda-vikalpayoH YSsi_68b
   bhedābhedavikalpas tu YSsi_66a	Beda-aBeda-vikalpaH tu YSsi_66a
   bhedābhedādidustarka- YSsi_71c	Beda-aBeda-Adi-duH-tarka YSsi_71c
   bhedābhedānirūpaṇā YSsi_98b	Beda-aBedA-nirUpaNA YSsi_98b
   bhedāvabhāsagabhatvād YSsi_110a	Beda-avaBAsa-gaBa-tvAt YSsi_110a
   bhedāvabhāsagarbhāś ca YSsi_111c	Beda-avaBAsa-garBAH ca YSsi_111c
   bhedetaretarābhāva- YSsi_178c	Beda-itaretara-aBAva YSsi_178c
   (bhedo) na kaś cakāstīti YSsi_121c	(BedaH-) na kaH cakAsti-iti YSsi_121c
   bhogā na smṛtigocarāḥ YSsi_154d	BogAH na smRti-gocarAH YSsi_154d
   mataṃ prāg eva dūṣitam YSsi_60d	matam prAk eva dUzitam YSsi_60d
   māyāvidyādyupādhayaḥ YSsi_61b	mAyA-vidyA-Adi-upADayaH YSsi_61b
   māyāvidyādyupādhibhiḥ YSsi_62d	mAyA-vidyA-Adi-upADiBiH YSsi_62d
   mā(yopādhau pare) 'dhyastāḥ YSsi_59c	mA(ya-upADO pare) aDyastAH YSsi_59c
   mithyātvāl lokavedayoḥ YSsi_34b	miTyAtvAt loka-vedayoH YSsi_34b
   mithyā vā paramārtho vā YSsi_184c	miTyA vA parama-arTaH vA YSsi_184c
   mithyendur iva candrataḥ YSsi_199d	miTyA-induH iva candrataH YSsi_199d
   mīmaṃsakamatena tu YSsi_43d	mImaMsaka-matena tu YSsi_43d
   muktasyāpi bhayaṃ bhavet YSsi_141d	muktasya-api Bayam Bavet YSsi_141d
   muktātmā sukham edhate YSsi_74b	mukta-AtmA suKam eDate YSsi_74b
   muktāmuktādibhedo hi YSsi_125a	muktA-muktA-Adi-BedaH hi YSsi_125a
   muktir bhūtocyate tadvat YSsi_131c	muktiH BUtA-ucyate tadvat YSsi_131c
   mukham astīti yat kiñcit YSsi_129c	muKam asti-iti yat kiQcid YSsi_129c
   mūlakāraṇam eva sat YSsi_29d	mUla-kAraNam eva sat YSsi_29d
   mūlaṃ nāstīti cen na tat YSsi_176b	mUlam na-asti-iti ced na tat YSsi_176b
