   BhP_02.01.001/0 śrīśuka uvāca	BhP_02.01.001/0 SrI-SukaH uvAca
   BhP_02.02.025/3 namaskṛtaṃ brahmavidām upaiti kalpāyuṣo yadvibudhā ramante	Bhu-_02.02.025/3 namaskRtam brahma-vidAm upEti kalpa-AyuzaH yat-vibuDAH ramante
   BhP_02.02.026/1 atho anantasya mukhānalena dandahyamānaṃ sa nirīkṣya	Bhu-_02.02.026/1 aTo anantasya muKa-analena dandahyamAnam sa nirIkzya
   viśvam	viSvam
   BhP_02.02.026/3 niryāti siddheśvarayuṣṭadhiṣṇyaṃ yaddvaiparārdhyaṃ tadu	Bhu-_02.02.026/3 niryAti sidDeSvara-yuzwa-DizNyam yat-dvEparArDyam tat-u
   pārameṣṭhyam	pAramezWyam
   BhP_02.02.027/1 na yatra śoko na jarā na mṛtyur nārtirna codvega ṛte	Bhu-_02.02.027/1 na yatra SokaH na jarA na mRtyuH na-ArtiH-na ca-udvegaH Rte
   kutaścit	kutaScid-
   BhP_02.02.027/3 yac cit tato 'daḥ kṛpayānidaṃvidāṃ	Bhu-_02.02.027/3 yat cit tatas adaH kRpayA-nidaMvidAm
   durantaduḥkhaprabhavānudarśanāt	duranta-duHKa-praBava-anudarSanAt
   BhP_02.02.028/1 tato viśeṣaṃ pratipadya nirbhayas tenātmanāpo	Bhu-_02.02.028/1 tatas viSezam pratipadya nirBayaH tena-AtmanA-apaH-
   'nalamūrtiratvaran	anala-mUrtiH-atvaran
   BhP_02.02.028/3 jyotirmayo vāyum upetya kāle vāyvātmanā khaṃ	BhP_02.02.028/3 jyotiH-mayaH vAyum upetya kAle vAyu-AtmanA Kam
   bṛhadātmaliṅgam	bRhadAtma-liFgam
   BhP_02.02.029/1 ghrāṇena gandhaṃ rasanena vai rasaṃ rūpaṃ ca dṛṣṭyā	Bhu-_02.02.029/1 GrANena ganDam rasanena vE rasam rUpam ca dRzwyA
   śvasanaṃ tvacaiva	Svasanam tvacA-eva
   BhP_02.02.029/3 śrotreṇa copetya nabhoguṇatvaṃ prāṇena cākūtim upaiti yogī	Bhu-_02.02.029/3 SrotreNa ca-upetya naBaH-guNa-tvam prANena ca-AkUtim upEti yogI
   BhP_02.02.030/1 sa bhūtasūkṣmendriyasannikarṣaṃ manomayaṃ devamayaṃ	Bhu-_02.02.030/1 sa BUta-sUkzma-indriya-sannikarzam manaH-mayam deva-mayam
   vikāryam	vikAryam
   BhP_02.02.030/3 saṃsādya gatyā saha tena yāti vijñānatattvaṃ	Bhu-_02.02.030/3 saMsAdya gatyA saha tena yAti vijQAna-tattvam
   guṇasannirodham	guNa-sanniroDam
   BhP_02.02.031/1 tenātmanātmānam upaiti śāntam ānandam ānandamayo 'vasāne	Bhu-_02.02.031/1 tena-AtmanA-AtmAnam upEti SAntam Anandam Ananda-mayaH avasAne
   BhP_02.02.031/3 etāṃ gatiṃ bhāgavatīṃ gato yaḥ sa vai punarneha viṣajjate	Bhu-_02.02.031/3 etAm gatim BAgavatIm gataH yaH sa vE punar-na-iha vizajjate
   'ṅga	aFga
   BhP_02.02.032/1 ete sṛtī te nṛpa vedagīte tvayābhipṛṣṭe ca sanātane ca	Bhu-_02.02.032/1 ete sRtI te nRpa veda-gIte tvayA-aBipRzwe ca sanAtane ca
   BhP_02.02.032/3 ye vai purā brahmaṇa āha tuṣṭa ārādhito bhagavān vāsudevaḥ	Bhu-_02.02.032/3 ye vE purA brahmaNaH Aha tuzwaH ArADitaH BagavAn vAsudevaH
   BhP_02.02.033/1 na hyato 'nyaḥ śivaḥ panthā viśataḥ saṃsṛtāviha	Bhu-_02.02.033/1 na hi-atas anyaH SivaH panTAH viSataH saMsRtO=-iha
   BhP_02.02.033/3 vāsudeve bhagavati bhaktiyogo yato bhavet	Bhu-_02.02.033/3 vAsudeve Bagavati Bakti-yogaH yatas Bavet-
   BhP_02.02.034/1 bhagavān brahma kārtsnyena triranvīkṣya manīṣayā	Bhu-_02.02.034/1 BagavAn brahma kArtsnyena tris-anvIkzya manIzayA
   BhP_02.02.034/3 tadadhyavasyat kūṭastho ratirātman yato bhavet	Bhu-_02.02.034/3 tat-aDyavasyat kUwasTaH ratiH-Atman yatas Bavet-
   BhP_02.02.035/1 bhagavān sarvabhūteṣu lakṣitaḥ svātmanā hariḥ	Bhu-_02.02.035/1 BagavAn sarva-BUtezu lakzitaH sva-AtmanA hariH
   BhP_02.02.035/3 dṛśyairbuddhyādibhirdraṣṭā lakṣaṇairanumāpakaiḥ	Bhu-_02.02.035/3 dRSyEH-budDi-AdiBiH-drazwA lakzaNEH-anumApakEH
   BhP_02.02.036/1 tasmāt sarvātmanā rājan hariḥ sarvatra sarvadā	Bhu-_02.02.036/1 tasmAt sarva-AtmanA rAjan hariH sarvatra sarvadA
   BhP_02.02.036/3 śrotavyaḥ kīrtitavyaśca smartavyo bhagavān nṛṇām	Bhu-_02.02.036/3 SrotavyaH kIrtitavyaH-ca smartavyaH BagavAn nRNAm
   BhP_02.02.037/1 pibanti ye bhagavata ātmanaḥ satāṃ kathāmṛtaṃ	Bhu-_02.02.037/1 pibanti ye BagavataH AtmanaH satAm kaTA-amRtam
   śravaṇapuṭeṣu sambhṛtam	SravaNa-puwezu samBRtam
   BhP_02.02.037/3 punanti te viṣayavidūṣitāśayaṃ vrajanti	Bhu-_02.02.037/3 punanti te vizaya-vidUzita-ASayam vrajanti
   taccaraṇasaroruhāntikam	tad-caraNa-saroruha-antikam
   BhP_02.03.001/0 śrīśuka uvāca	BhP_02.03.001/0 SrI-SukaH uvAca
   BhP_02.03.001/1 evam etan nigaditaṃ pṛṣṭavān yadbhavān mama	Bhu-_02.03.001/1 evam etat nigaditam pRzwavAn yat-BavAn mama
   BhP_02.03.001/3 nṛṇāṃ yan mriyamāṇānāṃ manuṣyeṣu manīṣiṇām	Bhu-_02.03.001/3 nRNAm yat mriyamANAnAm manuzyezu manIziNAm
   BhP_02.03.002/1 brahmavarcasakāmastu yajeta brahmaṇaḥ patim	Bhu-_02.03.002/1 brahmavarcasa-kAmaH-tu yajeta brahmaNaH patim
   BhP_02.03.002/3 indram indriyakāmastu prajākāmaḥ prajāpatīn	Bhu-_02.03.002/3 indram indriya-kAmaH-tu prajA-kAmaH prajApatIn
   BhP_02.03.003/1 devīṃ māyāṃ tu śrīkāmastejaskāmo vibhāvasum	Bhu-_02.03.003/1 devIm mAyAm tu SrI-kAmaH-tejaskAmaH viBAvasum
   BhP_02.03.003/3 vasukāmo vasūn rudrān vīryakāmo 'tha vīryavān	Bhu-_02.03.003/3 vasu-kAmaH vasUn rudrAn vIrya-kAmaH aTa vIryavAn
   BhP_02.03.004/1 annādyakāmastvaditiṃ svargakāmo 'diteḥ sutān	Bhu-_02.03.004/1 annAdya-kAmaH-tu-aditim svarga-kAmaH aditeH sutAn
   BhP_02.03.004/3 viśvān devān rājyakāmaḥ sādhyān saṃsādhako viśām	Bhu-_02.03.004/3 viSvAn devAn rAjya-kAmaH sADyAn saMsADakaH viSAm
   BhP_02.03.005/1 āyuṣkāmo 'śvinau devau puṣṭikāma ilāṃ yajet	Bhu-_02.03.005/1 AyuzkAmaH aSvinO devO puzwi-kAmaH ilAm yajet-
   BhP_02.03.005/3 pratiṣṭhākāmaḥ puruṣo rodasī lokamātarau	Bhu-_02.03.005/3 pratizWA-kAmaH puruzaH rodasI loka-mAtarO
   BhP_02.03.006/1 rūpābhikāmo gandharvān strīkāmo 'psara urvaśīm	BhP_02.03.006/1 rUpa-aBikAmaH ganDarvAn strI-kAmaH apsaraH urvaSIm
   BhP_02.03.006/3 ādhipatyakāmaḥ sarveṣāṃ yajeta parameṣṭhinam	Bhu-_02.03.006/3 ADipatya-kAmaH sarvezAm yajeta paramezWinam
   BhP_02.03.007/1 yajñaṃ yajedyaśaskāmaḥ kośakāmaḥ pracetasam	Bhu-_02.03.007/1 yajQam yajet-yaSaskAmaH koSa-kAmaH pracetasam
   BhP_02.03.007/3 vidyākāmastu giriśaṃ dāmpatyārtha umāṃ satīm	Bhu-_02.03.007/3 vidyA-kAmaH-tu giriSam dAmpatya-arTaH umAm satIm
   BhP_02.03.008/1 dharmārtha uttamaślokaṃ tantuḥ tanvan pitn yajet	Bhu-_02.03.008/1 Darma-arTaH uttamaSlokam tantuH tanvan pitn yajet-
   BhP_02.03.008/3 rakṣākāmaḥ puṇyajanān ojaskāmo marudgaṇān	Bhu-_02.03.008/3 rakzA-kAmaH puNya-janAn ojaskAmaH marut-gaNAn
   BhP_02.03.009/1 rājyakāmo manūn devān nirṛtiṃ tvabhicaran yajet	Bhu-_02.03.009/1 rAjya-kAmaH manUn devAn nirRtim tu-aBicaran yajet-
   BhP_02.03.009/3 kāmakāmo yajet somam akāmaḥ puruṣaṃ param	Bhu-_02.03.009/3 kAma-kAmaH yajet somam akAmaH puruzam param
   BhP_02.03.010/1 akāmaḥ sarvakāmo vā mokṣakāma udāradhīḥ	Bhu-_02.03.010/1 akAmaH sarva-kAmaH vA mokza-kAmaH udAra-DIH
   BhP_02.03.010/3 tīvreṇa bhaktiyogena yajeta puruṣaṃ param	Bhu-_02.03.010/3 tIvreNa Bakti-yogena yajeta puruzam param
   BhP_02.03.011/1 etāvān eva yajatām iha niḥśreyasodayaḥ	Bhu-_02.03.011/1 etAvAn eva yajatAm iha niHSreyasa-udayaH
   BhP_02.03.011/3 bhagavatyacalo bhāvo yadbhāgavatasaṅgataḥ	Bhu-_02.03.011/3 Bagavati-acalaH BAvaH yat-BAgavata-saFgataH
   BhP_02.03.012/1 jñānaṃ yadāpratinivṛttaguṇormicakram	Bhu-_02.03.012/1 jQAnam yadA-apratinivRtta-guNa-Urmi-cakram
   BhP_02.03.012/2 ātmaprasāda uta yatra guṇeṣvasaṅgaḥ	Bhu-_02.03.012/2 Atma-prasAdaH uta yatra guNezu-asaFgaH
   BhP_02.03.012/3 kaivalyasammatapathastvatha bhaktiyogaḥ	Bhu-_02.03.012/3 kEvalya-sammata-paTaH-tu-aTa Bakti-yogaH
   BhP_02.03.012/4 ko nirvṛto harikathāsu ratiṃ na kuryāt	Bhu-_02.03.012/4 kaH nirvRtaH hari-kaTAsu ratim na kuryAt-
   BhP_02.03.013/0 śaunaka uvāca	BhP_02.03.013/0 SOnakaH uvAca
   BhP_02.03.013/1 ityabhivyāhṛtaṃ rājā niśamya bharatarṣabhaḥ	Bhu-_02.03.013/1 iti-aBivyAhRtam rAjA niSamya Barata-RzaBaH
   BhP_02.03.013/3 kim anyat pṛṣṭavān bhūyo vaiyāsakim ṛṣiṃ kavim	Bhu-_02.03.013/3 kim anyat pRzwavAn BUyas vEyAsakim Rzim kavim
   BhP_02.03.014/1 etac chuśrūṣatāṃ vidvan sūta no 'rhasi bhāṣitum	Bhu-_02.03.014/1 etat SuSrUzatAm vidvan sUta naH arhasi BAzitum
   BhP_02.03.014/3 kathā harikathodarkāḥ satāṃ syuḥ sadasi dhruvam	Bhu-_02.03.014/3 kaTAH hari-kaTA-udarkAH satAm syuH sadasi Druvam
   BhP_02.03.015/1 sa vai bhāgavato rājā pāṇḍaveyo mahārathaḥ	Bhu-_02.03.015/1 sa vE BAgavataH rAjA pANxaveyaH mahA-raTaH
   BhP_02.03.015/3 bālakrīḍanakaiḥ krīḍan kṛṣṇakrīḍāṃ ya ādade	Bhu-_02.03.015/3 bAla-krIxanakEH krIxan kRzNa-krIxAm yaH Adade
   BhP_02.03.016/1 vaiyāsakiśca bhagavān vāsudevaparāyaṇaḥ	Bhu-_02.03.016/1 vEyAsakiH-ca BagavAn vAsudeva-parAyaNaH
   BhP_02.03.016/3 urugāyaguṇodārāḥ satāṃ syurhi samāgame	Bhu-_02.03.016/3 uru-gAya-guNa-udArAH satAm syuH-hi samAgame
   BhP_02.03.017/1 āyurharati vai puṃsām udyann astaṃ ca yann asau	Bhu-_02.03.017/1 AyuH-harati vE puMsAm udyan astam ca yan asO
   BhP_02.03.017/3 tasyarte yatkṣaṇo nīta uttamaślokavārtayā	Bhu-_02.03.017/3 tasya-Rte yat-kzaNaH nItaH uttama-Sloka-vArtayA
   BhP_02.03.018/1 taravaḥ kiṃ na jīvanti bhastrāḥ kiṃ na śvasantyuta	Bhu-_02.03.018/1 taravaH kim na jIvanti BastrAH kim na Svasanti-uta
   BhP_02.03.018/3 na khādanti na mehanti kiṃ grāme paśavo 'pare	Bhu-_02.03.018/3 na KAdanti na mehanti kim grAme paSavaH apare
   BhP_02.03.019/1 śvaviḍvarāhoṣṭrakharaiḥ saṃstutaḥ puruṣaḥ paśuḥ	Bhu-_02.03.019/1 Sva-vixvarAha-uzwra-KarEH saMstutaH puruzaH paSuH
   BhP_02.03.019/3 na yatkarṇapathopeto jātu nāma gadāgrajaḥ	Bhu-_02.03.019/3 na yat-karNa-paTa-upetaH jAtu nAma gadAgrajaH
   BhP_02.03.020/1 bile batorukramavikramān ye na śṛṇvataḥ karṇapuṭe narasya	Bhu-_02.03.020/1 bile bata-urukrama-vikramAn ye na SRNvataH karNa-puwe narasya
   BhP_02.03.020/3 jihvāsatī dārdurikeva sūta na copagāyatyurugāyagāthāḥ	Bhu-_02.03.020/3 jihvA-asatI dArdurikA-iva sUta na ca-upagAyati-urugAya-gATAH
   BhP_02.03.021/1 bhāraḥ paraṃ paṭṭakirīṭajuṣṭam apyuttamāṅgaṃ na namen	Bhu-_02.03.021/1 BAraH param pawwa-kirIwa-juzwam api-uttamAFgam na namen
   mukundam	mukundam
   BhP_02.03.021/3 śāvau karau no kurute saparyāṃ harerlasatkāñcanakaṅkaṇau	Bhu-_02.03.021/3 SAvO karO no kurute saparyAm hareH-lasat-kAQcana-kaFkaNO
   vā	vA
   BhP_02.03.022/1 barhāyite te nayane narāṇāṃ liṅgāni viṣṇorna nirīkṣato ye	Bhu-_02.03.022/1 barhAyite te nayane narANAm liFgAni vizNoH-na nirIkzataH ye
   BhP_02.03.022/3 pādau nṛṇāṃ tau drumajanmabhājau kṣetrāṇi nānuvrajato	Bhu-_02.03.022/3 pAdO nRNAm tO druma-janma-BAjO kzetrANi na-anuvrajataH-
   hareryau	hareH-yO
   BhP_02.03.023/1 jīvañ chavo bhāgavatāṅghrireṇuṃ na jātu martyo 'bhilabheta	Bhu-_02.03.023/1 jIvan CavaH BAgavata-aFGri-reNum na jAtu martyaH aBilaBeta
   yastu	yaH-tu
   BhP_02.03.023/3 śrīviṣṇupadyā manujastulasyāḥ śvasañ chavo yastu na veda	Bhu-_02.03.023/3 SrI-vizNupadyAH manujaH-tulasyAH Svasan CavaH yaH-tu na veda
   gandham	ganDam
   BhP_02.03.024/1 tadaśmasāraṃ hṛdayaṃ batedaṃ yadgṛhyamāṇairharināmadheyaiḥ	Bhu-_02.03.024/1 tat-aSmasAram hRdayam bata-idam yat-gRhyamANEH-hari-nAmaDeyEH
   BhP_02.03.024/3 na vikriyetātha yadā vikāro netre jalaṃ gātraruheṣu harṣaḥ	Bhu-_02.03.024/3 na vikriyeta-aTa yadA vikAraH netre jalam gAtra-ruhezu harzaH
   BhP_02.03.025/1 athābhidhehyaṅga mano'nukūlaṃ prabhāṣase	Bhu-_02.03.025/1 aTa-aBiDehi-aFga manaH-anukUlam praBAzase
   bhāgavatapradhānaḥ	BAgavata-praDAnaH
   BhP_02.03.025/3 yadāha vaiyāsakirātmavidyā viśārado nṛpatiṃ sādhu pṛṣṭaḥ	Bhu-_02.03.025/3 yat-Aha vEyAsakiH-Atma-vidyA viSAradaH nRpatim sADu pRzwaH
   BhP_02.04.001/0 sūta uvāca	BhP_02.04.001/0 sUtaH uvAca
   BhP_02.04.001/1 vaiyāsakeriti vacastattvaniścayam ātmanaḥ	Bhu-_02.04.001/1 vEyAsakeH-iti vacaH-tattva-niScayam AtmanaH
   BhP_02.04.001/3 upadhārya matiṃ kṛṣṇe auttareyaḥ satīṃ vyadhāt	Bhu-_02.04.001/3 upaDArya matim kRzNe OttareyaH satIm vyaDAt-
   BhP_02.04.002/1 ātmajāyāsutāgāra paśudraviṇabandhuṣu	Bhu-_02.04.002/1 Atma-jAyA-suta-AgAra paSu-draviNa-banDuzu
   BhP_02.04.002/3 rājye cāvikale nityaṃ virūḍhāṃ mamatāṃ jahau	Bhu-_02.04.002/3 rAjye ca-avikale nityam virUXAm mamatAm jahO
   BhP_02.04.003/1 papraccha cemam evārthaṃ yan māṃ pṛcchatha sattamāḥ	Bhu-_02.04.003/1 papracCa ca-imam eva-arTam yat mAm pRcCaTa sattamAH
   BhP_02.04.003/3 kṛṣṇānubhāvaśravaṇe śraddadhāno mahāmanāḥ	Bhu-_02.04.003/3 kRzNa-anuBAva-SravaNe SraddaDAnaH mahAmanAH
   BhP_02.04.004/1 saṃsthāṃ vijñāya sannyasya karma traivargikaṃ ca yat	Bhu-_02.04.004/1 saMsTAm vijQAya sannyasya karma trEvargikam ca yat-
   BhP_02.04.004/3 vāsudeve bhagavati ātmabhāvaṃ dṛḍhaṃ gataḥ	Bhu-_02.04.004/3 vAsudeve Bagavati Atma-BAvam dRXam gataH
   BhP_02.04.005/0 rājovāca	BhP_02.04.005/0 rAjA-uvAca
   BhP_02.04.005/1 samīcīnaṃ vaco brahman sarvajñasya tavānagha	Bhu-_02.04.005/1 samIcInam vacaH brahman sarvajQasya tava-anaGa
   BhP_02.04.005/3 tamo viśīryate mahyaṃ hareḥ kathayataḥ kathām	Bhu-_02.04.005/3 tamaH viSIryate mahyam hareH kaTayataH kaTAm
   BhP_02.04.006/1 bhūya eva vivitsāmi bhagavān ātmamāyayā	Bhu-_02.04.006/1 BUyas eva vivitsAmi BagavAn Atma-mAyayA
   BhP_02.04.006/3 yathedaṃ sṛjate viśvaṃ durvibhāvyam adhīśvaraiḥ	Bhu-_02.04.006/3 yaTA-idam sRjate viSvam durviBAvyam aDISvarEH
   BhP_02.04.007/1 yathā gopāyati vibhuryathā saṃyacchate punaḥ	Bhu-_02.04.007/1 yaTA gopAyati viBuH-yaTA saMyacCate punar-
   BhP_02.04.007/3 yāṃ yāṃ śaktim upāśritya puruśaktiḥ paraḥ pumān	Bhu-_02.04.007/3 yAm yAm Saktim upASritya puru-SaktiH paraH pumAn
   BhP_02.04.007/5 ātmānaṃ krīḍayan krīḍan karoti vikaroti ca	Bhu-_02.04.007/5 AtmAnam krIxayan krIxan karoti vikaroti ca
   BhP_02.04.008/1 nūnaṃ bhagavato brahman hareradbhutakarmaṇaḥ	Bhu-_02.04.008/1 nUnam BagavataH brahman hareH-adButa-karmaNaH
   BhP_02.04.008/3 durvibhāvyam ivābhāti kavibhiścāpi ceṣṭitam	Bhu-_02.04.008/3 durviBAvyam iva-ABAti kaviBiH-ca-api cezwitam
   BhP_02.04.009/1 yathā guṇāṃstu prakṛteryugapat kramaśo 'pi vā	Bhu-_02.04.009/1 yaTA guNAn=-tu prakRteH-yugapad kramaSas api vA
   BhP_02.04.009/3 bibharti bhūriśastvekaḥ kurvan karmāṇi janmabhiḥ	Bhu-_02.04.009/3 biBarti BUriSas-tu-ekaH kurvan karmANi janmaBiH
   BhP_02.04.010/1 vicikitsitam etan me bravītu bhagavān yathā	Bhu-_02.04.010/1 vicikitsitam etat me bravItu BagavAn yaTA
   BhP_02.04.010/3 śābde brahmaṇi niṣṇātaḥ parasmiṃśca bhavān khalu	Bhu-_02.04.010/3 SAbde brahmaNi nizNAtaH parasmin=-ca BavAn Kalu
   BhP_02.04.011/0 sūta uvāca	BhP_02.04.011/0 sUtaH uvAca
   BhP_02.04.011/1 ityupāmantrito rājñā guṇānukathane hareḥ	Bhu-_02.04.011/1 iti-upAmantritaH rAjQA guNa-anukaTane hareH
   BhP_02.04.011/3 hṛṣīkeśam anusmṛtya prativaktuṃ pracakrame	Bhu-_02.04.011/3 hRzIkeSam anusmRtya prativaktum pracakrame
   BhP_02.04.012/0 śrīśuka uvāca	BhP_02.04.012/0 SrI-SukaH uvAca
   BhP_02.04.012/1 namaḥ parasmai puruṣāya bhūyase	Bhu-_02.04.012/1 namaH parasmE puruzAya BUyase
   sadudbhavasthānanirodhalīlayā	sat-udBava-sTAna-niroDa-lIlayA
   BhP_02.04.012/3 gṛhītaśaktitritayāya dehinām	Bhu-_02.04.012/3 gRhIta-Sakti-tritayAya dehinAm
   antarbhavāyānupalakṣyavartmane	antarBavAya-anupalakzya-vartmane
   BhP_02.04.013/1 bhūyo namaḥ sadvṛjinacchide 'satām	Bhu-_02.04.013/1 BUyas namaH sat-vRjina=-Cide asatAm
   asambhavāyākhilasattvamūrtaye	asamBavAya-aKila-sattva-mUrtaye
   BhP_02.04.013/3 puṃsāṃ punaḥ pāramahaṃsya āśrame vyavasthitānām	Bhu-_02.04.013/3 puMsAm punar pAramahaMsyaH ASrame vyavasTitAnAm
   anumṛgyadāśuṣe	anumRgyadA-Suze
   BhP_02.04.014/1 namo namaste 'stvṛṣabhāya sātvatāṃ vidūrakāṣṭhāya muhuḥ	Bhu-_02.04.014/1 namaH namaH-te astu-RzaBAya sAtvatAm vidUra-kAzWAya muhur-
   kuyoginām	ku-yoginAm
   BhP_02.04.014/3 nirastasāmyātiśayena rādhasā svadhāmani brahmaṇi raṃsyate	Bhu-_02.04.014/3 nirasta-sAmya-atiSayena rADasA sva-DAmani brahmaNi raMsyate
   namaḥ	namaH
   BhP_02.04.015/1 yatkīrtanaṃ yatsmaraṇaṃ yadīkṣaṇaṃ yadvandanaṃ	Bhu-_02.04.015/1 yat-kIrtanam yat-smaraNam yadIkzaNam yat-vandanam
   yacchravaṇaṃ yadarhaṇam	yat-SravaNam yat-arhaNam
   BhP_02.04.015/3 lokasya sadyo vidhunoti kalmaṣaṃ tasmai subhadraśravase	Bhu-_02.04.015/3 lokasya sadyas viDunoti kalmazam tasmE suBadra-Sravase
   namo namaḥ	namaH namaH
   BhP_02.04.016/1 vicakṣaṇā yaccaraṇopasādanāt saṅgaṃ vyudasyobhayato	Bhu-_02.04.016/1 vicakzaNAH yat-caraNa-upasAdanAt saFgam vyudasya-uBayatas-
   'ntarātmanaḥ	antarAtmanaH
   BhP_02.04.016/3 vindanti hi brahmagatiṃ gataklamāstasmai subhadraśravase	Bhu-_02.04.016/3 vindanti hi brahma-gatim gata-klamAH-tasmE suBadra-Sravase
   namo namaḥ	namaH namaH
   BhP_02.04.017/1 tapasvino dānaparā yaśasvino manasvino mantravidaḥ	Bhu-_02.04.017/1 tapasvinaH dAna-parAH yaSasvinaH manasvinaH mantra-vidaH
   sumaṅgalāḥ	su-maFgalAH
   BhP_02.04.017/3 kṣemaṃ na vindanti vinā yadarpaṇaṃ tasmai subhadraśravase	Bhu-_02.04.017/3 kzemam na vindanti vinA yat-arpaNam tasmE suBadra-Sravase
   namo namaḥ	namaH namaH
   BhP_02.04.018/1 kirātahūṇāndhrapulindapulkaśā ābhīraśumbhā yavanāḥ	Bhu-_02.04.018/1 kirAta-hUNa-AnDra-pulinda-pulkaSAH ABIra-SumBAH yavanAH
   khasādayaḥ	Kasa-AdayaH
   BhP_02.04.018/3 ye 'nye ca pāpā yadapāśrayāśrayāḥ śudhyanti tasmai	Bhu-_02.04.018/3 ye anye ca pApAH yat-apASraya-ASrayAH SuDyanti tasmE
   prabhaviṣṇave namaḥ	praBavizNave namaH
   BhP_02.04.019/1 sa eṣa ātmātmavatām adhīśvarastrayīmayo	Bhu-_02.04.019/1 saH ezaH Atma-AtmavatAm aDISvaraH-trayImayaH-
   dharmamayastapomayaḥ	Darma-mayaH-tapaH-mayaH
   BhP_02.04.019/3 gatavyalīkairajaśaṅkarādibhirvitarkyaliṅgo bhagavān	Bhu-_02.04.019/3 gata-vyalIkEH-aja-SaFkara-AdiBiH-vitarkya-liFgaH BagavAn
   prasīdatām	prasIdatAm
   BhP_02.04.020/1 śriyaḥ patiryajñapatiḥ prajāpatirdhiyāṃ	Bhu-_02.04.020/1 SriyaH patiH-yajQapatiH prajApatiH-DiyAm
   patirlokapatirdharāpatiḥ	patiH-loka-patiH-DarApatiH
   BhP_02.04.020/3 patirgatiścāndhakavṛṣṇisātvatāṃ prasīdatāṃ me bhagavān	Bhu-_02.04.020/3 patiH-gatiH-ca-anDaka-vRzNi-sAtvatAm prasIdatAm me BagavAn
   satāṃ patiḥ	satAm patiH
   BhP_02.04.021/1 yadaṅghryabhidhyānasamādhidhautayā dhiyānupaśyanti hi	Bhu-_02.04.021/1 yat-aFGri-aBiDyAna-samADi-DOtayA DiyA-anupaSyanti hi
   tattvam ātmanaḥ	tattvam AtmanaH
   BhP_02.04.021/3 vadanti caitat kavayo yathārucaṃ sa me mukundo bhagavān	Bhu-_02.04.021/3 vadanti ca-etat kavayaH yaTArucam sa me mukundaH BagavAn
   prasīdatām	prasIdatAm
   BhP_02.04.022/1 pracoditā yena purā sarasvatī vitanvatājasya satīṃ smṛtiṃ	Bhu-_02.04.022/1 pracoditA yena purA sarasvatI vitanvatA-ajasya satIm smRtim
   hṛdi	hRdi
   BhP_02.04.022/3 svalakṣaṇā prādurabhūt kilāsyataḥ sa me ṛṣīṇām ṛṣabhaḥ	BhP_02.04.022/3 sva-lakzaNA prAduraBUt kila-AsyataH sa me RzINAm RzaBaH
   prasīdatām	prasIdatAm
   BhP_02.04.023/1 bhūtairmahadbhirya imāḥ puro vibhurnirmāya śete yadamūṣu	Bhu-_02.04.023/1 BUtEH-mahadBiH-yaH imAH puras viBuH-nirmAya Sete yat-amUzu
   pūruṣaḥ	pUruzaH
   BhP_02.04.023/3 bhuṅkte guṇān ṣoḍaśa ṣoḍaśātmakaḥ so 'laṅkṛṣīṣṭa bhagavān	Bhu-_02.04.023/3 BuFkte guNAn zoxaSa zoxaSa-AtmakaH saH alaFkRzIzwa BagavAn
   vacāṃsi me	vacAMsi me
   BhP_02.04.024/1 namastasmai bhagavate vāsudevāya vedhase	Bhu-_02.04.024/1 namaH-tasmE Bagavate vAsudevAya veDase
   BhP_02.04.024/3 papurjñānam ayaṃ saumyā yanmukhāmburuhāsavam	Bhu-_02.04.024/3 papuH-jQAnam ayam sOmyAH yat-muKa-amburuha-Asavam
   BhP_02.04.025/1 etadevātmabhū rājan nāradāya vipṛcchate	Bhu-_02.04.025/1 etat-eva-AtmaBuH rAjan nAradAya vipRcCate
   BhP_02.04.025/3 vedagarbho 'bhyadhāt sākṣādyadāha harirātmanaḥ	Bhu-_02.04.025/3 vedagarBaH aByaDAt sAkzAt-yat-Aha hariH-AtmanaH
   BhP_02.05.001/0 nārada uvāca	Bhu-_02.05.001/0 nAradaH uvAca
   BhP_02.05.001/1 devadeva namaste 'stu bhūtabhāvana pūrvaja	Bhu-_02.05.001/1 devadeva namaH-te astu BUtaBAvana pUrvaja
   BhP_02.05.001/3 tadvijānīhi yaj jñānam ātmatattvanidarśanam	Bhu-_02.05.001/3 tad-vijAnIhi yat jQAnam Atma-tattva-nidarSanam
   BhP_02.05.002/1 yadrūpaṃ yadadhiṣṭhānaṃ yataḥ sṛṣṭam idaṃ prabho	Bhu-_02.05.002/1 yat-rUpam yat-aDizWAnam yatas sRzwam idam praBo
   BhP_02.05.002/3 yat saṃsthaṃ yat paraṃ yac ca tat tattvaṃ vada tattvataḥ	BhP_02.05.002/3 yat saMsTam yat param yat ca tat tattvam vada tattvataH
   BhP_02.05.003/1 sarvaṃ hyetadbhavān veda bhūtabhavyabhavatprabhuḥ	Bhu-_02.05.003/1 sarvam hi-etat-BavAn veda BUta-Bavya-Bavat-praBuH
   BhP_02.05.003/3 karāmalakavadviśvaṃ vijñānāvasitaṃ tava	Bhu-_02.05.003/3 kara-Amalaka-vat-viSvam vijQAna-avasitam tava
   BhP_02.05.004/1 yadvijñāno yadādhāro yatparastvaṃ yadātmakaḥ	Bhu-_02.05.004/1 yat-vijQAnaH yad-ADAraH yat-paraH-tvam yad-AtmakaH
