   akathyamapi deveśi Ras_1.13c	akaTyam-api deveSi RaH-_1.13c
   kulatthakodravakvāthe Ras_6.132c	kulatTa-kodrava-kvATe RaH-_6.132c
   kulatthakodravakvāthaiḥ Ras_7.6c	kulatTa-kodrava-kvATEH RaH-_7.6c
   kulatthaṃ kodravaṃ cāpi Ras_6.83a	kulatTam kodravam ca-api RaH-_6.83a
   kulatthaṃ cāmlavetasam Ras_6.79d	kulatTam ca-amlavetasam RaH-_6.79d
   kulatthān kṣīrapo bhavet Ras_12.275b	kulatTAn kzIrapaH Bavet RaH-_12.275b
   kulatthāmbhasi kāsīsa- Ras_6.97a	kulatTa-amBasi kAsIsa RaH-_6.97a
   kulatthāṣṭaguṇaṃ vāri Ras_12.296a	kulatTa-azwaguNam vAri RaH-_12.296a
   kulapūjārataḥ sadā Ras_2.8d	kula-pUjA-rataH sadA RaH-_2.8d
   kulamadhye vyavasthitā Ras_12.73b	kula-maDye vyavasTitA RaH-_12.73b
   kulamārgarato nityaṃ Ras_2.2c	kula-mArga-rataH nityam RaH-_2.2c
   kulaśāsanahīnānāṃ Ras_1.25a	kula-SAsana-hInAnAm RaH-_1.25a
   kuliśaṃ jārayet punaḥ Ras_11.131d	kuliSam jArayet punar RaH-_11.131d
   kuliśena puṭe dagdhe Ras_11.131a	kuliSena puwe dagDe RaH-_11.131a
   kulīnaṃ tamahaṃ manye Ras_1.26c	kulInam tam-aham manye RaH-_1.26c
   kulauṣadhivivarjitāḥ Ras_12.71b	kulOzaDi-vivarjitAH RaH-_12.71b
   kuṣṭhapradaṃ pinākābhraṃ Ras_6.7a	kuzWa-pradam pinAka-aBram RaH-_6.7a
   kuṣṭhānaṣṭādaśa priye Ras_12.12d	kuzWAn-azwAdaSa priye RaH-_12.12d
   kuṣṭhāni sahasā jayet Ras_12.300b	kuzWAni sahasA jayet RaH-_12.300b
   kuṣmāṇḍe tu śataṃ vārān Ras_7.74c	kuzmANxe tu Satam vArAn RaH-_7.74c
   kusumbhakaṅguṇīnaktā- Ras_5.34e	kusumBa-kaFguNI-naktA RaH-_5.34e
   kusumbhaṃ kiṃśukaṃ rātrī Ras_5.39e	kusumBam kiMSukam rAtrI RaH-_5.39e
   kūrmapṛṣṭhaṃ śilājatu Ras_6.81b	kUrma-pRzWam SilAjatu RaH-_6.81b
   kūrmayantreṇa jārayet Ras_11.111b	kUrmayantreNa jArayet RaH-_11.111b
   kūṣmāṇḍakusumaprabham Ras_12.51d	kUzmANxa-kusuma-praBam RaH-_12.51d
   kūṣmāṇḍaṃ māritaṃ kṛtvā Ras_12.311a	kUzmANxam mAritam kRtvA RaH-_12.311a
   kṛtarakṣaṃ samāhitaḥ Ras_12.244b	kRta-rakzam samAhitaH RaH-_12.244b
   kṛtaikā guṭikā śubhā Ras_12.351d	kRtA-ekA guwikA SuBA RaH-_12.351d
   kṛtvā kaṇṭakavedhyāni Ras_11.167a	kRtvA kaNwaka-veDyAni RaH-_11.167a
   kṛtvā garbhadrutiṃ rase Ras_11.60b	kRtvA garBadrutim rase RaH-_11.60b
   kṛtvā gostanamūṣāyāṃ Ras_11.172a	kRtvA gostana-mUzAyAm RaH-_11.172a
   kṛtvāṅgulihṛdādiṣu Ras_2.51d	kRtvA-aFguli-hRd-Adizu RaH-_2.51d
   kṛtvā tasyopari nyaset Ras_4.28b	kRtvA tasya-upari nyaset RaH-_4.28b
   kṛtvā vajraṃ virandhritam Ras_6.117b	kRtvA vajram viranDritam RaH-_6.117b
   kṛmiko lakṣajanmāni Ras_1.51a	kRmikaH lakza-janmAni RaH-_1.51a
   kṛṣṇacitrakamutpāṭya Ras_12.135a	kRzNa-citrakam-utpAwya RaH-_12.135a
   kṛṣṇapakṣe ṛtumatī Ras_2.17c	kRzNa-pakze RtumatI RaH-_2.17c
   kṛṣṇapakṣe caturdaśyām Ras_12.184a	kRzNa-pakze caturdaSyAm RaH-_12.184a
   kṛṣṇapakṣe tu pañcamyāṃ Ras_12.137c	kRzNa-pakze tu paQcamyAm RaH-_12.137c
   kṛṣṇaparṇī ca tulasī Ras_5.7a	kRzNaparNI ca tulasI RaH-_5.7a
   kṛṣṇaraktavilocanāḥ Ras_2.10b	kRzNa-rakta-vilocanAH RaH-_2.10b
   kṛṣṇarājisamanvitam Ras_12.153b	kRzNa-rAji-samanvitam RaH-_12.153b
   kṛṣṇavarṇaṃ bhavet kṣaṇāt Ras_12.135d	kRzNa-varNam Bavet kzaNAt RaH-_12.135d
   kṛṣṇavarṇā sureśvari Ras_4.49d	kRzNa-varNA sureSvari RaH-_4.49d
   kṛṣṇastu bhārataṃ śrutvā Ras_7.3a	kRzNaH-tu BAratam SrutvA RaH-_7.3a
   kṛṣṇaṃ pītamiti priye Ras_7.81b	kRzNam pItam-iti priye RaH-_7.81b
   kṛṣṇaṃ pītaṃ raktamabhraṃ Ras_11.91a	kRzNam pItam raktam-aBram RaH-_11.91a
   kṛṣṇaṃ raktaṃ sitaṃ vāpi Ras_12.134a	kRzNam raktam sitam vA-api RaH-_12.134a
   kṛṣṇaṃ śreṣṭhaṃ rasāyane Ras_6.43b	kRzNam SrezWam rasAyane RaH-_6.43b
   kṛṣṇaṃ śvetaṃ tathā pītaṃ Ras_11.205a	kRzNam Svetam taTA pItam RaH-_11.205a
   kṛṣṇaṃ hemaśarīrayoḥ Ras_6.9b	kRzNam hema-SarIrayoH RaH-_6.9b
   kṛṣṇā pītā rasāyane Ras_12.179d	kRzNA pItA rasAyane RaH-_12.179d
   kṛṣṇābhrakasya cūrṇaṃ ca Ras_8.46c	kRzNa-aBrakasya cUrNam ca RaH-_8.46c
   kṛṣṇābhrapatraṃ saṃgṛhya Ras_6.33a	kRzNa-aBra-patram saMgRhya RaH-_6.33a
   kṛṣṇā raktā ca pītā ca Ras_4.30a	kRzNA raktA ca pItA ca RaH-_4.30a
   kṛṣṇāścaiva caturvidhāḥ Ras_6.68b	kRzNAH-ca-eva caturviDAH RaH-_6.68b
   kṛṣṇonmattaṃ ca mārakam Ras_12.223:1d	kRzNa-unmattam ca mArakam RaH-_12.223:1d
   ketakīsvarasaḥ kāṅkṣī Ras_6.137a	ketakI-svarasaH kAFkzI RaH-_6.137a
   ketakyāstu rasaistīkṣṇam Ras_7.123c	ketakyAH-tu rasEH-tIkzNam RaH-_7.123c
   kedārādīni liṅgāni Ras_1.38a	kedAra-AdIni liFgAni RaH-_1.38a
   kena vā khoṭabandhanam Ras_12.1d	kena vA Kowa-banDanam RaH-_12.1d
   kena vā bhasmasūtaḥ syāt Ras_12.1c	kena vA Basma-sUtaH syAt RaH-_12.1c
   kevalaṃ tu yadā vajraṃ Ras_11.148a	kevalam tu yadA vajram RaH-_11.148a
   kevalaṃ vimalaṃ tāmraṃ Ras_8.45a	kevalam vimalam tAmram RaH-_8.45a
   kevalaṃ śikhipittaṃ ca Ras_11.133c	kevalam SiKi-pittam ca RaH-_11.133c
   keśāḥ kṣiptāḥ sphuṭantyasmin Ras_12.214c	keSAH kziptAH sPuwanti-asmin RaH-_12.214c
   kailāsaśikhare ramye Ras_1.2a	kElAsa-SiKare ramye RaH-_1.2a
   kailāso 'pi ca cūrṇitaḥ Ras_11.159d	kElAsaH api ca cUrNitaH RaH-_11.159d
   kokilākṣo ghanadhvaniḥ Ras_5.5d	kokilAkzaH GanaDvaniH RaH-_5.5d
   koṭarākṣī ca nirdayā Ras_2.15d	kowara-akzI ca nirdayAH RaH-_2.15d
   koṭivedhi samena ca Ras_12.26d	kowi-veDi samena ca RaH-_12.26d
   koṭivedhī ca jāyate Ras_11.154d	kowi-veDI ca jAyate RaH-_11.154d
   koṭivedhī bhavedrasaḥ Ras_11.72d	kowi-veDI Bavet-rasaH RaH-_11.72d
   koṭivedhī bhavedrasaḥ Ras_11.97d	kowi-veDI Bavet-rasaH RaH-_11.97d
   koṭivedhī bhavedrasaḥ Ras_11.147d	kowi-veDI Bavet-rasaH RaH-_11.147d
   koṭivedhī bhavedrasaḥ Ras_11.157d	kowi-veDI Bavet-rasaH RaH-_11.157d
   koṭivedhī bhavedrasaḥ Ras_12.40d	kowi-veDI Bavet-rasaH RaH-_12.40d
   koṭivedhī mahārasaḥ Ras_12.31d	kowi-veDI mahArasaH RaH-_12.31d
   koṭivedhī raso devi Ras_12.57c	kowi-veDI rasaH devi RaH-_12.57c
   koṭivedho na saṃśayaḥ Ras_12.334b	kowi-veDaH na saMSayaH RaH-_12.334b
   koṭyāyurjīvitaṃ tasya Ras_12.334c	kowi-AyuH-jIvitam tasya RaH-_12.334c
   koraṇḍakasya puṣpeṇa Ras_8.76c	koraNxakasya puzpeNa RaH-_8.76c
   ko vāpi kathayenmṛtam Ras_12.82b	kaH vA-api kaTayet-mRtam RaH-_12.82b
   koṣātakīdalarasaiḥ Ras_9.16a	kozAtakI-dala-rasEH RaH-_9.16a
   koṣṭhakaṃ varavarṇini Ras_4.56d	kozWakam varavarNini RaH-_4.56d
   koṣṭhabhūmigataṃ māsaṃ Ras_6.22c	kozWa-BUmi-gatam mAsam RaH-_6.22c
   koṣṭhikā vakranālaṃ ca Ras_4.3a	kozWikA vakranAlam ca RaH-_4.3a
   koṣṭhe kharāgninā dhmātāḥ Ras_7.95a	kozWe Kara-agninA DmAtAH RaH-_7.95a
   koṣṇena kāñjikenādau Ras_11.63a	kozNena kAQjikena-AdO RaH-_11.63a
   kauverīmūlameva ca Ras_11.25b	kOverI-mUlam-eva ca RaH-_11.25b
   kramate vyādhisaṃghāte Ras_11.216c	kramate vyADi-saMGAte RaH-_11.216c
   kramavṛddham idaṃ tutthaṃ Ras_11.192c	krama-vRdDam idam tutTam RaH-_11.192c
   kramājjīrṇasya lakṣaṇam Ras_11.54d	kramAt-jIrNasya lakzaNam RaH-_11.54d
   kramāt sitaṃ ca raktaṃ ca Ras_7.84c	kramAt sitam ca raktam ca RaH-_7.84c
   kramādūrdhvaṃ tuṣāgninā Ras_12.146b	kramAt-UrDvam tuza-agninA RaH-_12.146b
   kramān niṣkapramāṇataḥ Ras_12.361b	kramAt nizka-pramANataH RaH-_12.361b
   krameṇa kṛtvā uragena rañjitaṃ Ras_7.31c	krameNa kRtvA uragena raQjitam RaH-_7.31c
   krameṇa devatāstatra Ras_6.42a	krameNa devatAH-tatra RaH-_6.42a
   krameṇānena tu tryaham Ras_6.113d	krameNa-anena tu tri-aham RaH-_6.113d
   krameṇānena deveśi Ras_11.62a	krameNa-anena deveSi RaH-_11.62a
   krameṇānena deveśi Ras_12.272c	krameNa-anena deveSi RaH-_12.272c
   krameṇānena dolāyāṃ Ras_11.69a	krameNa-anena dolAyAm RaH-_11.69a
   krameṇānena vardhayet Ras_11.156b	krameNa-anena varDayet RaH-_11.156b
   krameṇaiva tu melayet Ras_11.92d	krameNa-eva tu melayet RaH-_11.92d
   krāmaṇaṃ ca tato deyaṃ Ras_11.212c	krAmaNam ca tatas deyam RaH-_11.212c
   krāmaṇaṃ cātiguhyakam Ras_7.80d	krAmaNam ca-ati-guhyakam RaH-_7.80d
   krāmaṇaṃ rasarājasya Ras_11.215c	krAmaNam rasarAjasya RaH-_11.215c
   krāmaṇāntaṃ varānane Ras_2.109d	krAmaNa-antam varAnane RaH-_2.109d
   krāmaṇāntaṃ sureśvara Ras_5.1b	krAmaNa-antam sureSvaraH RaH-_5.1b
   krāmaṇena vinā sūto Ras_11.217c	krAmaNena vinA sUtaH RaH-_11.217c
   krāmaṇena samāyuktaṃ Ras_10.29c	krAmaNena samAyuktam RaH-_10.29c
   krāmikāḥ suravandite Ras_5.25f	krAmikAH suravandite RaH-_5.25f
   krāmitvaṃ krāmaṇāttathā Ras_10.13d	krAmi-tvam krAmaNAt-taTA RaH-_10.13d
   kriyākaraṇavighnāśca Ras_2.120a	kriyA-karaNa-viGnAH-ca RaH-_2.120a
   kriyānaṣṭe kuto yogaḥ Ras_1.16a	kriyA-nazwe kutas yogaH RaH-_1.16a
   kriyāyāṃ hematārayoḥ Ras_8.55b	kriyAyAm hema-tArayoH RaH-_8.55b
   kriyāṃ kurvanti tadyogāt Ras_5.44c	kriyAm kurvanti tad-yogAt RaH-_5.44c
   krīḍate khecarair bhogaiḥ Ras_12.337e	krIxate KecarEH BogEH RaH-_12.337e
   krīḍitābhiḥ purā priye Ras_7.59b	krIxitABiH purA priye RaH-_7.59b
   kroḍadeśe tu vāsaram Ras_12.291b	kroxa-deSe tu vAsaram RaH-_12.291b
   krodhāviṣṭena cetasā Ras_12.202b	kroDa-Avizwena cetasA RaH-_12.202b
   krauñcapādodare dattvā Ras_12.107c	krOQcapAda-udare dattvA RaH-_12.107c
   klībe klīvāḥ striyaḥ strīṇāṃ Ras_6.77a	klIbe klIvAH striyaH strINAm RaH-_6.77a
   kvathitajalaśatāṣṭau bhāgamaṣṭāvaśeṣam Ras_12.364b	kvaTita-jala-Sata-azwO BAgam-azwa-avaSezam RaH-_12.364b
   kvathitenājavāriṇā Ras_8.77d	kvaTitena-aja-vAriNA RaH-_8.77d
   kvāthayitvābhrakaṃ tattu Ras_11.29c	kvATayitvA-aBrakam tat-tu RaH-_11.29c
   kvāthayet kodravakvāthe Ras_6.113c	kvATayet kodrava-kvATe RaH-_6.113c
   kvāthayenmṛdutāpena Ras_7.143a	kvATayet-mRdu-tApena RaH-_7.143a
   kvāthe caturguṇe kṣīre Ras_8.82c	kvATe caturguNe kzIre RaH-_8.82c
   kṣaṇavedhi śilodakam Ras_12.285b	kzaNa-veDi Silodakam RaH-_12.285b
   kṣaṇādgarbhadrutirbhavet Ras_11.177d	kzaNAt-garBadrutiH-Bavet RaH-_11.177d
   kṣaṇādbadhnāti sūtakam Ras_12.89d	kzaNAt-baDnAti sUtakam RaH-_12.89d
   kṣaṇād badhyeta sūtakaḥ Ras_7.146d	kzaNAt baDyeta sUtakaH RaH-_7.146d
   kṣaṇād badhyeta sūtakaḥ Ras_12.3d	kzaNAt baDyeta sUtakaH RaH-_12.3d
   kṣaṇād badhyeta sūtakaḥ Ras_12.36d	kzaNAt baDyeta sUtakaH RaH-_12.36d
   kṣaṇena gaganaṃ rasaḥ Ras_11.16d	kzaNena gaganam rasaH RaH-_11.16d
   kṣatādrudhirabindavaḥ Ras_7.4b	kzatAt-ruDira-bindavaH RaH-_7.4b
   kṣatriyāḥ sarvakāryyeṣu Ras_6.73a	kzatriyAH sarva-kAryyezu RaH-_6.73a
   kṣatriyo mṛtyunāśārtho Ras_6.75c	kzatriyaH mRtyu-nASa-arTaH RaH-_6.75c
   kṣamo dehasya rakṣaṇe Ras_11.79d	kzamaH dehasya rakzaNe RaH-_11.79d
   kṣayo yantrasya vijñeyaḥ Ras_4.25c	kzayaH yantrasya vijQeyaH RaH-_4.25c
   kṣāragomūtrabhāvitam Ras_6.134b	kzAra-go-mUtra-BAvitam RaH-_6.134b
   kṣāratrayakaṭutrayam Ras_9.13d	kzAratraya-kawutrayam RaH-_9.13d
   kṣāratrayaṃ pañcapaṭu Ras_11.19a	kzAratrayam paQca-pawu RaH-_11.19a
   kṣāratrayaṃ rāmaṭhaṃ ca Ras_6.118a	kzAratrayam rAmaWam ca RaH-_6.118a
   kṣārameṣāṃ tu sādhayet Ras_7.133d	kzAram-ezAm tu sADayet RaH-_7.133d
   kṣāravargañca lepayet Ras_6.35d	kzAravargaQca lepayet RaH-_6.35d
   kṣārasnukkṣīrayogataḥ Ras_7.114b	kzAra-snuh-kzIra-yogataH RaH-_7.114b
   kṣārāmlagojalairdhmātaṃ Ras_7.21a	kzAra-amla-go-jalEH-DmAtam RaH-_7.21a
   kṣārāmlaparilepitam Ras_7.106b	kzAra-amla-parilepitam RaH-_7.106b
   kṣārāmlalavaṇairaṇḍa- Ras_7.7a	kzAra-amla-lavaNEH-aNxa RaH-_7.7a
   kṣārāmlasnehasaindhavaiḥ Ras_7.90d	kzAra-amla-sneha-sEnDavEH RaH-_7.90d
   kṣārāmle bhāvitaṃ vyoma Ras_11.22c	kzAra-amle BAvitam vyomaH RaH-_11.22c
   kṣārāranālataileṣu Ras_11.61e	kzAra-AranAla-tElezu RaH-_11.61e
   kṣārikā rañjikā tathā Ras_2.57b	kzArikA raQjikA taTA RaH-_2.57b
   kṣārair gomūtragālitaiḥ Ras_9.17b	kzArEH go-mUtra-gAlitEH RaH-_9.17b
   kṣārairmūtraiśca vipaced Ras_9.8c	kzArEH-mUtrEH-ca vipacet RaH-_9.8c
   kṣārairvā niculodbhavaiḥ Ras_9.16b	kzArEH-vA nicula-udBavEH RaH-_9.16b
   kṣāraiḥ snehaistathā cāmlaiḥ Ras_7.35a	kzArEH snehEH-taTA ca-amlEH RaH-_7.35a
   kṣālayeduṣṇakāñjikaiḥ Ras_11.164d	kzAlayet-uzNa-kAQjikEH RaH-_11.164d
   kṣālitaṃ vastragālitam Ras_11.63b	kzAlitam vastra-gAlitam RaH-_11.63b
   kṣālito gandhako hitaḥ Ras_7.71b	kzAlitaH ganDakaH hitaH RaH-_7.71b
   kṣitikiṭṭo rasodbhavaḥ Ras_7.37b	kzitikiwwaH rasodBavaH RaH-_7.37b
   kṣipecchailāmbumadhyasthaṃ Ras_12.330e	kzipet-SElAmbu-maDya-sTam RaH-_12.330e
   kṣipettoyasya madhyataḥ Ras_12.240b	kzipet-toyasya maDyatas RaH-_12.240b
   kṣiptam āmalakakāṣṭhakoṭare Ras_12.370c	kziptam Amalaka-kAzWa-koware RaH-_12.370c
   kṣiptaṃ bahirmṛdā liptaṃ Ras_6.100c	kziptam bahis-mRdA liptam RaH-_6.100c
   kṣiptaṃ yadā bhavet kāṣṭhaṃ Ras_12.279a	kziptam yadA Bavet kAzWam RaH-_12.279a
   kṣiptvā jvālāmukhīkṣīraṃ Ras_6.118c	kziptvA jvAlAmuKI-kzIram RaH-_6.118c
   kṣiptvā tatra puṭaṃ dadet Ras_11.118b	kziptvA tatra puwam dadet RaH-_11.118b
   kṣipraṃ badhnāti sūtakam Ras_7.54d	kzipram baDnAti sUtakam RaH-_7.54d
   kṣipraṃ bhṛṅgasya niryāse Ras_7.71a	kzipram BRFgasya niryAse RaH-_7.71a
   kṣīyate nāpi vahnisthaḥ Ras_7.32a	kzIyate na-api vahni-sTaH RaH-_7.32a
   kṣīyate pañcamī gatiḥ Ras_10.17b	kzIyate paQcamI gatiH RaH-_10.17b
   kṣīyeran tatkṣayeṇa tu Ras_12.191f	kzIyeran tad-kzayeNa tu RaH-_12.191f
   kṣīrakandarasaṃ caiva Ras_6.35a	kzIrakanda-rasam ca-eva RaH-_6.35a
   kṣīrakandavidhiṃ vakṣye Ras_12.166a	kzIrakanda-viDim vakzye RaH-_12.166a
   kṣīrakṣetrasya saṃnidhau Ras_12.287b	kzIrakzetrasya saMniDO RaH-_12.287b
   kṣīratailena sudhmātaṃ Ras_8.25e	kzIra-tElena su-DmAtam RaH-_8.25e
   kṣīrabhāṇḍaṃ vinaśyati Ras_10.8:2b	kzIra-BANxam vinaSyati RaH-_10.8:2b
   kṣīramadhyasthitaṃ kṣīraṃ Ras_12.135c	kzIra-maDya-sTitam kzIram RaH-_12.135c
   kṣīramuṣṇodakaṃ kvāthaṃ Ras_12.276a	kzIram-uzNa-udakam kvATam RaH-_12.276a
   kṣīrayuktā bahuphalā Ras_12.97a	kzIra-yuktA bahu-PalA RaH-_12.97a
   kṣīraṃ tasya tu dāpayet Ras_12.195d	kzIram tasya tu dApayet RaH-_12.195d
   kṣīraṃ raktaṃ bhavet priye Ras_12.109f	kzIram raktam Bavet priye RaH-_12.109f
   kṣīraṃ sindūrasaṃnibham Ras_12.113f	kzIram sindUra-saMniBam RaH-_12.113f
   kṣīrābdhimathane caitad Ras_7.63c	kzIrAbDi-maTane ca-etat RaH-_7.63c
   kṣīrārdhaṃ pāyasaṃ pacet Ras_12.307b	kzIra-arDam pAyasam pacet RaH-_12.307b
   kṣīrāvaśeṣaṃ saṃkvāthya Ras_12.294a	kzIra-avaSezam saMkvATya RaH-_12.294a
   kṣīrāvaśeṣaṃ seveta Ras_12.295c	kzIra-avaSezam seveta RaH-_12.295c
   kṣīrāhārapriyā sadā Ras_2.20d	kzIra-AhAra-priyA sadA RaH-_2.20d
   kṣīrāhāraśca jīrṇānte Ras_12.311e	kzIra-AhAraH-ca jIrNa-ante RaH-_12.311e
   kṣīrāhāro 'tha yatnataḥ Ras_12.246b	kzIra-AhAraH aTa yatnatas RaH-_12.246b
   kṣīrāhāro bhavettataḥ Ras_12.253b	kzIra-AhAraH Bavet-tatas RaH-_12.253b
   kṣīriṇīrasapeṣitam Ras_12.359d	kzIriNI-rasa-pezitam RaH-_12.359d
   kṣīreṇa tāpayedbhūyaḥ Ras_12.118a	kzIreNa tApayet-BUyas RaH-_12.118a
   kṣīreṇa meṣyā bahuśo 'mlavargaiḥ Ras_7.52b	kzIreNa mezyAH bahuSas amlavargEH RaH-_7.52b
   kṣīreṇottaravāruṇyāḥ Ras_6.94c	kzIreNa-uttaravAruNyAH RaH-_6.94c
   kṣīreṇottaravāruṇyāḥ Ras_6.104c	kzIreNa-uttaravAruNyAH RaH-_6.104c
   kṣīrode mandarādriṇā Ras_6.65b	kzIrode mandara-adriNA RaH-_6.65b
   kṣudramatsyapaladvayam Ras_6.14d	kzudra-matsya-pala-dvayam RaH-_6.14d
   kṣudrāmlalavaṇakṣāra- Ras_10.60a	kzudra-amla-lavaNa-kzAra RaH-_10.60a
   kṣetradoṣaṃ tyajeddevi Ras_10.51a	kzetra-dozam tyajet-devi RaH-_10.51a
   kṣetrapālamaghorāstraṃ Ras_3.27a	kzetrapAlam-aGora-astram RaH-_3.27a
   kṣetrabandhaṃ purā kṛtvā Ras_12.193a	kzetra-banDam purA kRtvA RaH-_12.193a
   kṣetraṃ khātvā grahītavyaṃ Ras_6.49c	kzetram KAtvA grahItavyam RaH-_6.49c
   kṣetraṃ taduttamaṃ sthānaṃ Ras_3.8c	kzetram tat-uttamam sTAnam RaH-_3.8c
   kṣetrādhipaṃ gaṇeśaṃca Ras_12.241c	kzetra-aDipam gaNeSaMca RaH-_12.241c
   kṣaudragandharvatailābhyāṃ Ras_7.10a	kzOdra-ganDarva-tElAByAm RaH-_7.10a
   kṣmāpālena ca badhyate Ras_12.90b	kzmApAlena ca baDyate RaH-_12.90b
   kṣmāpālena hataṃ vajram Ras_12.85a	kzmApAlena hatam vajram RaH-_12.85a
   khaḍgārī gajakarṇikā Ras_5.8b	KaxgArI gajakarNikA RaH-_5.8b
   khaṇḍajñānena deveśi Ras_1.30c	KaNxa-jQAnena deveSi RaH-_1.30c
   khaṇḍāścaiva tu yoṣitaḥ Ras_6.70b	KaNxAH-ca-eva tu yozitaH RaH-_6.70b
   khadiraścāsanaṃ tathā Ras_5.39b	KadiraH-ca-Asanam taTA RaH-_5.39b
   khadiraṃ raktacandanam Ras_8.80b	Kadiram raktacandanam RaH-_8.80b
   khamākāśaṃ ca kevalam Ras_2.115b	Kam-AkASam ca kevalam RaH-_2.115b
   kharparaṃ sikatāpūrṇaṃ Ras_4.28a	Karparam sikatA-pUrNam RaH-_4.28a
   kharpare drāvitaṃ nāgaṃ Ras_12.131a	Karpare drAvitam nAgam RaH-_12.131a
   kharpare dhārayitvā tu Ras_12.130c	Karpare DArayitvA tu RaH-_12.130c
   kharparo netrarogāriḥ Ras_7.37c	KarparaH netra-rogAriH RaH-_7.37c
   khallapāṣāṇato nyaset Ras_3.16b	Kalla-pAzANataH nyaset RaH-_3.16b
   khallapāṣāṇamardakam Ras_4.2d	Kalla-pAzANa-mardakam RaH-_4.2d
   khallastu pīṭhikā devi Ras_11.4a	KallaH-tu pIWikA devi RaH-_11.4a
   khallaṃ tenaiva śodhayet Ras_4.62d	Kallam tena-eva SoDayet RaH-_4.62d
   khallāntaścārayettacca Ras_11.55c	Kalla-antar-cArayet-tat-ca RaH-_11.55c
   khalle tatra rasaṃ nyaset Ras_11.56b	Kalle tatra rasam nyaset RaH-_11.56b
   khalle tu parimardayet Ras_6.61d	Kalle tu parimardayet RaH-_6.61d
   khalle saṃmardayettataḥ Ras_11.116d	Kalle saMmardayet-tatas RaH-_11.116d
   khallopari nyasitvā ca Ras_4.63c	Kalla-upari nyasitvA ca RaH-_4.63c
   khasattvaṃ cāpi vāhayet Ras_8.72b	Ka-sattvam ca-api vAhayet RaH-_8.72b
   khasattvaṃ raviṇā yojyaṃ Ras_8.55c	Ka-sattvam raviNA yojyam RaH-_8.55c
   khasattvaṃ sūkṣmacūrṇaṃ tu Ras_8.38a	Ka-sattvam sUkzma-cUrNam tu RaH-_8.38a
   khasattvaṃ syānnibaddhaṃ ca Ras_8.39c	Ka-sattvam syAt-nibadDam ca RaH-_8.39c
   khasattve pāṇḍuraprabhā Ras_4.51d	Ka-sattve pANxura-praBA RaH-_4.51d
   khecaratvaṃ ca labhyate Ras_12.334d	Kecara-tvam ca laByate RaH-_12.334d
   khecarīti guṭikā nigadyate Ras_12.371d	KecarI-iti guwikA nigadyate RaH-_12.371d
   khecarī nāma vikhyātā Ras_12.336c	KecarI nAma viKyAtA RaH-_12.336c
   khecarīṃ jāraṇāṃ śṛṇu Ras_11.98b	KecarIm jAraNAm SRNu RaH-_11.98b
   khecarīṃ bhūcarīṃ caiva Ras_2.6c	KecarIm BUcarIm ca-eva RaH-_2.6c
   khoṭakasya ca lakṣaṇam Ras_11.206d	Kowakasya ca lakzaNam RaH-_11.206d
   khoṭakaṃ ca śilātale Ras_6.63d	Kowakam ca SilA-tale RaH-_6.63d
   khoṭabandhasya lakṣaṇam Ras_11.207d	Kowa-banDasya lakzaNam RaH-_11.207d
   khoṭādayastu ye pañca Ras_11.208a	Kowa-AdayaH-tu ye paQca RaH-_11.208a
   khoṭo bhavati tatkṣaṇāt Ras_12.91d	KowaH Bavati tad-kzaNAt RaH-_12.91d
   khoṭo bhavati tatkṣaṇāt Ras_12.136d	KowaH Bavati tad-kzaNAt RaH-_12.136d
   gaganasya drutiṃ tathā Ras_7.137b	gaganasya drutim taTA RaH-_7.137b
   gaganaṃ ca tadūrdhvagam Ras_11.39d	gaganam ca tad-UrDva-gam RaH-_11.39d
   gaganaṃ jārayedādau Ras_11.8a	gaganam jArayet-AdO RaH-_11.8a
   gaganaṃ tatra jārayet Ras_12.5d	gaganam tatra jArayet RaH-_12.5d
   gaganaṃ tatra jārayet Ras_12.6f	gaganam tatra jArayet RaH-_12.6f
   gaganaṃ tena jārayet Ras_12.62b	gaganam tena jArayet RaH-_12.62b
   gaganaṃ dravati kṣipraṃ Ras_6.19c	gaganam dravati kzipram RaH-_6.19c
   gaganaṃ drāvayet tathā Ras_12.67d	gaganam drAvayet taTA RaH-_12.67d
   gaganaṃ bhāvayet priye Ras_11.41b	gaganam BAvayet priye RaH-_11.41b
   gaganaṃ medinītale Ras_12.61b	gaganam medinI-tale RaH-_12.61b
   gaganena tu sā jñeyā Ras_3.4c	gaganena tu sA jQeyAH RaH-_3.4c
   gaṅgāyamunayormadhye Ras_12.3a	gaFgA-yamunayoH-maDye RaH-_12.3a
   gaṅgāyām arbude girau Ras_12.152b	gaFgAyAm arbude girO RaH-_12.152b
   gajavārisamutpannaṃ Ras_8.10c	gaja-vAri-samutpannam RaH-_8.10c
   gajāridivyakauṣadhī Ras_12.86d	gajAri-divyaka-ozaDI RaH-_12.86d
   gajārisparśanāddevi Ras_12.90a	gajAri-sparSanAt-devi RaH-_12.90a
   gaje trīṇi sahasrāṇi Ras_8.11a	gaje trINi sahasrANi RaH-_8.11a
   gajendrapuṭanaṃ dadyāt Ras_12.106c	gaja-indra-puwanam dadyAt RaH-_12.106c
   gajendrākhyaṃ puṭaṃ dattvā Ras_12.101c	gaja-indra-AKyam puwam dattvA RaH-_12.101c
   gaṇaiḥ snehairniṣecitam Ras_8.54b	gaNEH snehEH-nizecitam RaH-_8.54b
