   Kṣemendra: Narmamālā	Kzema-indra: Narma-mAlA
   bhujyate nikhilaṃ devadravyaṃ bhuktiśca pārṣadī // KNarm_1.90 //	Bujyate niKilam deva-dravyam BuktiH-ca pArzadI // KNarm_1.90 //
   vikrītaśeṣaṃ yatkiñcidvidyate suramaṇḍale /	vikrIta-Sezam yat-kiQcid-vidyate sura-maNxale /
   tanmatenaiva tatsarvaṃ bhujyate nijavattvayā // KNarm_1.91 //	tad-matena-eva tat-sarvam Bujyate nija-vat-tvayA // KNarm_1.91 //
   tathā hi tāmrajaḥ pūrvaṃ mahān nīto ghaṭo mayā /	taTA hi tAmra-jaH pUrvam mahAn nItaH GawaH mayA /
   bhaktitastacchatāṃśena kṛtā ghaṇṭā surālaye // KNarm_1.92 //	BaktitaH-tat-Sata-aMSena kRtA GaNwA surAlaye // KNarm_1.92 //
   kālena ghaṇṭāṃ vikrīya tadaṃśena kṛtā ghaṭī /	kAlena GaNwAm vikrIya tad-aMSena kRtA GawI /
   krameṇa bhakṣitā sāpi kṛtā śeṣeṇa ghaṇṭikā // KNarm_1.93 //	krameNa BakzitA sA-api kRtA SezeNa GaNwikA // KNarm_1.93 //
   ciraṃ sañcūrṇitā sāpi kṛtā sūkṣmajhilīmalī /	ciram saQcUrNitA sA-api kRtA sUkzma-JilImalI /
   iti kṛtvā tataḥ stokaghaṇṭāṃśaḥ paripālitaḥ // KNarm_1.94 //	iti kRtvA tatas stoka-GaNwA-aMSaH paripAlitaH // KNarm_1.94 //
   evaṃ caturbhujā luṇṭhiḥ kriyate śivapūjayā /	evam caturBujA luNWiH kriyate Siva-pUjayA /
   santi dhānyasahasrāṇi kriyatāṃ bhavatātra tu /	santi DAnya-sahasrANi kriyatAm BavatA-atra tu /
   krayavikrayikā nāma tato vijñapyase mayā // KNarm_1.95 //	kraya-vikrayikA nAma tatas vijQapyase mayA // KNarm_1.95 //
   ityupāyaśataistaistaistaduktaiḥ paripālakaḥ /	iti-upAya-SatEH-tEH-tEH-tad-uktEH paripAlakaH /
   *jaraṭhākhurivākṣoṭaṃ śūnyaṃ cakre surālayam // KNarm_1.96 //	*jaraWa-AKuH-iva-akzowam SUnyam cakre surAlayam // KNarm_1.96 //
   %% iti gañjadiviraḥ /	%% iti gaQja-diviraH /
   athānyarāśipravaṇaḥ pravīṇaḥ sādhuluṇṭhane /	aTa-anya-rASi-pravaNaH pravINaH sADu-luNWane /
   āpatpraśamanaṃ prāpa grāmaṃ tasmānniyogavit // KNarm_1.97 //	Apad-praSamanam prApa grAmam tasmAt-niyoga-vid // KNarm_1.97 //
   tasyāvaskarasaṃchannamahārauravasodare /	tasya-avaskara-saMCanna-mahArOrava-sodare /
   khaṇḍasphuṭitanāsāgravāridhānīmahādhane // KNarm_1.98 //	KaNxa-sPuwita-nAsA-agra-vAri-DAnI-mahADane // KNarm_1.98 //
   dāmaprotajaraddvāraskhalatkhaḍakhaḍārave /	dAma-prota-jarat-dvAra-sKalat-Kaxa-Kaxa-Arave /
   yasya sthitirabhūdgehe kukuṭṭīkoṭarodare // KNarm_1.99 //	yasya sTitiH-aBUt-gehe kukuwwI-kowara-udare // KNarm_1.99 //
   dagdhakambalikākhaṇḍakṛtamuṇḍāvaguṇṭhanaḥ /	dagDa-kambalikA-KaNxa-kRta-muNxa-avaguNWanaH /
   śvajagdhajīrṇaśīrṇāgropānatkhañjaḥ śanairvrajan // KNarm_1.100 //	Sva-jagDa-jIrNa-SIrNa-agra-upAnat-KaQjaH SanEs-vrajan // KNarm_1.100 //
   karpaṭītilamṛddarbhapavitrārghasamudgakaiḥ /	karpawI-tila-mRd-darBa-pavitra-arGa-samudgakEH /
   dārupāttrīṃ vahanpūrṇāṃ bhagnāmākhuvikhaṇḍitām // KNarm_1.101 //	dAru-pAttrIm vahan-pUrNAm BagnAm-AKu-viKaNxitAm // KNarm_1.101 //
   snāyī japoccalatkūrcaḥ sadācārapade sthitaḥ /	snAyI japa-uccalat-kUrcaH sat-AcAra-pade sTitaH /
   dinārdhamapaṭhatstotraṃ gatvā yaḥ suramandiram // KNarm_1.102 //	dina-arDam-apaWat-stotram gatvA yaH sura-mandiram // KNarm_1.102 //
   gopradakṣiṇakṛdviprapraṇato dvādaśīvrataḥ /	go-pradakziNa-kRt-vipra-praNataH dvAdaSI-vrataH /
   dadau dīnajane mārge yatnenaikakapardikām // KNarm_1.103 //	dadO dIna-jane mArge yatnena-ekakapardikAm // KNarm_1.103 //
   tasyaiva daivādāyātakāryasyāśu niyoginaḥ /	tasya-eva dEvAt-AyAta-kAryasya-ASu niyoginaH /
   upaskaraṇabhāṇḍādiparipūrṇamabhūdgṛham // KNarm_1.104 //	upaskaraNa-BANxa-Adi-paripUrNam-aBUt-gRham // KNarm_1.104 //
   śiśire yasya nāṅgāraṃ pradaduḥ prātiveśminaḥ /	SiSire yasya na-aFgAram pradaduH prAtiveSminaH /
   ayācitaṃ dadustasya vastrālaṅkaraṇepsitam // KNarm_1.105 //	ayAcitam daduH-tasya vastra-alaFkaraNa-Ipsitam // KNarm_1.105 //
   tataḥ sudhādhavalitaṃ tasya sammārjitāṅganam /	tatas suDA-Davalitam tasya sammArjita-aFganam /
   bahudāsamabhūdgehaṃ sindūrodaramandiram // KNarm_1.106 //	bahu-dAsam-aBUt-geham sindUra-udara-mandiram // KNarm_1.106 //
   miṣṭabhojanasañjātanavalāvaṇyasacchaviḥ /	mizwa-Bojana-saQjAta-nava-lAvaNya-sa=-CaviH /
   tasyābhūttaruṇī bhāryā di[nai]rapsarasaḥ samā // KNarm_1.107 //	tasya-aBUt-taruNI BAryA di[nE]rapsarasaH samAH // KNarm_1.107 //
   tato 'pi vrajato grāmaṃ karaṇḍaśayanādikam /	tatas api vrajataH grAmam karaNxa-Sayana-Adikam /
   niryayau purataśchattraṃ kalaśaṃ tāmrakuṇḍakam // KNarm_1.108 //	niryayO puratas-Cattram kalaSam tAmra-kuNxakam // KNarm_1.108 //
   śaktiḥ patadgraho ghaṇṭā tāmrapātramupānahau /	SaktiH patadgrahaH GaNwA tAmra-pAtram-upAnahO /
   karikā bhagavatpādā bhūrjabhastrātha sruksruvau // KNarm_1.109 //	karikA Bagavat-pAdAH BUrja-BastrA-aTa sruc-sruvO // KNarm_1.109 //
   akṣasūtraṃ maṣībhāṇḍaṃ darpaṇaḥ snānaśāṭikā /	akza-sUtram mazI-BANxam darpaNaH snAna-SAwikA /
   sampuṭīṭuppikākhaḍgāḥ pāduke mantrapustikā // KNarm_1.110 //	sampuwI-wuppikA-KaxgAH pAduke mantra-pustikA // KNarm_1.110 //
   nakṣatrapattrikā khaḍgapatraṃ lohitakambalaḥ /	nakzatrapattrikA Kaxga-patram lohita-kambalaH /
   pavitrasūtrakaṃ tantrī sūcī kalamakartarī // KNarm_1.111 //	pavitra-sUtrakam tantrI sUcI kalama-kartarI // KNarm_1.111 //
   vacā jatumayī rakṣā kṣurikā yogapaṭṭakaḥ /	vacA jatu-mayI rakzA kzurikA yogapawwakaH /
   stotramantrāṇi gaṅgāmṛdbilvamucchiṣṭaphālakam // KNarm_1.112 //	stotra-mantrANi gaFgA-mRd-bilvam-ucCizwa-PAlakam // KNarm_1.112 //
   ityekīkṛtya tasyāgre bhāṇḍopaskaraṇaṃ yayau /	iti-ekIkRtya tasya-agre BANxa-upaskaraNam yayO /
   itastataḥ samānītamapunardānacetasā // KNarm_1.113 //	itas-tatas samAnItamapunar-dAna-cetasA // KNarm_1.113 //
   uccaiḥkṛtalatāpāṇirbhāṭakānītaghoṭakaḥ /	uccEs-kRta-latA-pANiH-BAwaka-AnIta-GowakaH /
   jhāṅkārapārṣṇiprahatirvadanenāñcatā muhuḥ // KNarm_1.114 //	JAFkAra-pArzNi-prahatiH-vadanena-aQcatA muhur // KNarm_1.114 //
   santarjayanniva janaṃ jyo..rtamiva kurvatā /	santarjayan=-iva janam jyo..rtam-iva kurvatA /
   śithilasthūlavasanaḥ sa yayau puramutphalan // KNarm_1.115 //	SiTila-sTUla-vasanaH sa yayO puram-utPalan // KNarm_1.115 //
   praviveśa tato grāmaṃ sudhautasitakarpaṭaḥ /	praviveSa tatas grAmam su-DOta-sita-karpawaH /
   kṣayāya grāmyamatsyānāṃ vṛddho baka ivāgataḥ // KNarm_1.116 //	kzayAya grAmya-matsyAnAm vRdDaH bakaH iva-AgataH // KNarm_1.116 //
   atha bhojanacaryādivyapadeśaiḥ sahasraśaḥ /	aTa Bojana-caryA-Adi-vyapadeSEH sahasraSas /
   tasya yakṣeśvarasyeva nidhānānyāyayuḥ puraḥ // KNarm_1.117 //	tasya yakza-ISvarasya-iva niDAnAni-AyayuH puras // KNarm_1.117 //
   yogī haraṇacintāsu prayogī bhūrjayojane /	yogI haraNa-cintAsu prayogI BUrja-yojane /
   viyogī nijadārāṇāṃ bhogī narakasampadām // KNarm_1.118 //	viyogI nija-dArANAm BogI naraka-sampadAm // KNarm_1.118 //
   nopayogī phalotpattau doṣodyogī tu kevalam /	na-upayogI Pala-utpattO doza-udyogI tu kevalam /
   aśo[kaḥ] satataṃ rogī niyogī jayati prabhuḥ // KNarm_1.119 //	aSo[kaH] satatam rogI niyogI jayati praBuH // KNarm_1.119 //
   vṛkṣārohasahasreṣu prāyaḥklāntaśateṣu ca /	vRkza-Aroha-sahasrezu prAyas-klAnta-Satezu ca /
   grāme tasya vipanneṣu narakapratimābhavat // KNarm_1.120 //	grAme tasya vipannezu naraka-pratimA-aBavat // KNarm_1.120 //
   gavāṃ daṇḍāya yaścakre nidhanāvadhibandhanam /	gavAm daNxAya yaH-cakre niDana-avaDi-banDanam /
   kā nāma gaṇanā tasya nṛṣu sarvāparādhiṣu // KNarm_1.121 //	kA nAma gaNanA tasya nRzu sarva-aparADizu // KNarm_1.121 //
   sarvasvaharaṇaṃ bandho nigraho gṛhabhañjanam /	sarva-sva-haraNam banDaH nigrahaH gRha-BaQjanam /
   iti tasya mukhādghoraṃ na cacāla vacaḥ sadā // KNarm_1.122 //	iti tasya muKAt-Goram na cacAla vacaH sadA // KNarm_1.122 //
   pañcaṣāḥ satataṃ tasya karabhā iva bhārikāḥ /	paQcazAH satatam tasya karaBAH iva BArikAH /
   ghṛtamākṣikadīnāramaricārdrakasaindhavam // KNarm_1.123 //	GRta-mAkzika-dInAra-marica-Ardraka-sEnDavam // KNarm_1.123 //
   mudgakambalamāyūropānanmeṣavihaṅgamam /	mudga-kambala-mAyUra-upAnat-meza-vihaFgamam /
   bisadrākṣāmadhughaṭākṣoṭaparyaṅkapīṭhikam // KNarm_1.124 //	bisa-drAkzA-maDu-Gawa-akzowa-paryaFka-pIWikam // KNarm_1.124 //
   kāṃsyatāmrāyasānekagṛhopaskaraṇādikam /	kAMsya-tAmra-Ayasa-aneka-gRha-upaskaraNa-Adikam /
   ninyustattadaviśrāntā gṛhaṃ yaccāvadadvacaḥ // KNarm_1.125 //	ninyuH-tad-tat-aviSrAntAH gRham yat-ca-avadat-vacaH // KNarm_1.125 //
   daṇḍatyājanalekhāṃśca sa prāptānsvāmino 'ntikāt /	daNxa-tyAjana-leKAn=-ca sa prAptAn-svAminaH antikAt /
   sādhikṣepaṃ sathūtkāraṃ cakāra tilaśo nakhaiḥ // KNarm_1.126 //	sa-aDikzepam sa-Tu-utkAram cakAra tilaSas naKEH // KNarm_1.126 //
   nityaṃ māṃsaghṛtāhāraḥ sa rājapuruṣe sthite /	nityam mAMsa-GRta-AhAraH sa rAja-puruze sTite /
   bhuṅkte vilavaṇaṃ dambhādeko mudgapaladvayam // KNarm_1.127 //	BuFkte vilavaNam damBAt-ekaH mudga-pala-dvayam // KNarm_1.127 //
   %% iti mārgapatirvyāpāriko vā /	%% iti mArgapatiH-vyApArikaH vA /
   nirasya mūladiviraṃ cauryāṇāmacikitsakam /	nirasya mUla-diviram cOryANAm-acikitsakam /
   cakāra vārikaṃ so 'tha cikitsācaturaṃ param // KNarm_1.128 //	cakAra vArikam saH aTa cikitsA-caturam param // KNarm_1.128 //
   sa mukto bandhanāttena kṣipraṃ dvādaśavārṣikāt /	sa muktaH banDanAt-tena kzipram dvAdaSa-vArzikAt /
   lilekha kūṭakapaṭaṃ prakaṭākṣarakovidaḥ // KNarm_1.129 //	lileKa kUwa-kapawam prakawa-akzara-kovidaH // KNarm_1.129 //
   kṛttāṅguṣṭhaḥ sa vāmena pāṇinā diviro rahaḥ /	kRtta-aFguzWaH sa vAmena pANinA diviraH rahaH /
   khala..sya gṛhaṃ gatvā vidadhe bhūrjayojanam // KNarm_1.130 //	Kala..sya gRham gatvA vidaDe BUrja-yojanam // KNarm_1.130 //
   gṛhītvā madyakalaśaṃ sa jānuyugalāntare /	gRhItvA madya-kalaSam sa jAnu-yugala-antare /
   muhurmuhuḥ parimitaṃ pibanbahutaraṃ śanaiḥ // KNarm_1.131 //	muhur-muhur parimitam piban-bahutaram SanEs // KNarm_1.131 //
   lilekha cīrīcītkāratāraṃ kalamarekhayā /	lileKa cIrI-cItkAra-tAram kalama-reKayA /
   antyāṅgulyā sanirghoṣaṃ lālayotpuṃsitākṣaraḥ // KNarm_1.132 //	antya-aFgulyA sa-nirGozam lAlayA-utpuMsita-akzaraH // KNarm_1.132 //
   vilumpanvipragodevanityanaimittikavyayam /	vilumpan-vipra-go-deva-nitya-nEmittika-vyayam /
   śrīcarmakāraguruṇā rugṇanāthena bhāṣitam // KNarm_1.133 //	SrI-carmakAra-guruNA rugNanATena BAzitam // KNarm_1.133 //
   śivabhaktibharākrandaṃ muhurgāyankharasvaraḥ /	Siva-Bakti-Bara-Akrandam muhur-gAyan-Kara-svaraH /
   yūkāḥ piṣannakhāgreṇa muhuruccitya kambalāt // KNarm_1.134 //	yUkAH pizannaKa-agreNa muhur-uccitya kambalAt // KNarm_1.134 //
   muhurniḥśvasya niḥśvasya nindansaṃsāraceṣṭitam /	muhur-niHSvasya niHSvasya nindan-saMsAra-cezwitam /
   vyayena sa samīkurvanpraveśaṃ harṣanirbharaḥ // KNarm_1.135 //	vyayena sa samIkurvan-praveSam harza-nirBaraH // KNarm_1.135 //
   āviṣṭa iva vetālaścakampe madyaghūrṇitaḥ /	AvizwaH iva vetAlaH-cakampe madya-GUrNitaH /
   utsaratpaṭalīmiśrakaṅkāvalayamālitaḥ // KNarm_1.136 //	utsarat-pawalI-miSra-kaFkA-valaya-mAlitaH // KNarm_1.136 //
   sthūlabhūrjaphaḍatkārasphāravādyarasākulaḥ /	sTUla-BUrja-PaxatkAra-sPAra-vAdya-rasa-AkulaH /
   karparīcchidraniryātavyāvalgivṛṣaṇadvayaḥ // KNarm_1.137 //	karparIcCidra-niryAta-vyAvalgi-vRzaNa-dvayaH // KNarm_1.137 //
   luṭhatpūrṇamaṣībhāṇḍacchaṭācchuritavigrahaḥ /	luWat-pUrNa-mazI-BANxa=-CawA-AcCurita-vigrahaH /
   nanarta diviraḥ kṣībo nagno bhagnabṛsīghaṭaḥ // KNarm_1.138 //	nanarta diviraH kzIbaH nagnaH Bagna-bRsI-GawaH // KNarm_1.138 //
   dhūsaro maladigdhāṅgaḥ sa piśāca ivotthitaḥ /	DUsaraH mala-digDa-aFgaH sa piSAcaH iva-utTitaH /
   janajīvāpahāreṇa nananda madanirbharaḥ // KNarm_1.139 //	jana-jIva-apahAreNa nananda mada-nirBaraH // KNarm_1.139 //
   kakṣākuṭṭanasaṅghaṭṭaṭāṃkārā..jakāriṇaḥ /	kakzA-kuwwana-saFGawwawAMkAra-a..ja-kAriNaH /
   skandhavādyarasaḥ ko 'pi tasyābhūnnirjane ciram // KNarm_1.140 //	skanDa-vAdya-rasaH kaH api tasya-aBUt-nirjane ciram // KNarm_1.140 //
   %% iti grāmadiviraḥ /	%% iti grAma-diviraH /
   vyāpṛto 'pyaniśaṃ tena divireṇāpahāriṇā /	vyApRtaH api-aniSam tena divireNa-apahAriNA /
   vātenevānalaḥ sārdhaṃ jajvāla janakānanam // KNarm_1.141 //	vAtena-iva-analaH sArDam jajvAla jana-kAnanam // KNarm_1.141 //
   acirādatha saṃvṛtte gṛhe tasya mahādhane /	acirAt-aTa saMvRtte gRhe tasya mahADane /
   alaṅkṛtā mālyavatī tāmbūladalanavratā // KNarm_1.142 //	alaFkRtA mAlyavatI tAmbUla-dalana-vratA // KNarm_1.142 //
   gṛhiṇī darpaṇaparā rājamārgāvalokinī /	gRhiNI darpaNa-parA rAjamArga-avalokinI /
   babhāra tadvirahitā bhūpālalalanāmadam // KNarm_1.143 //	baBAra tad-virahitAH BUpAla-lala-nA-madam // KNarm_1.143 //
   hāro bhārāyate hematāṭaṅkaṃ me na vallabham /	hAraH BArAyate hema-tAwaFkam me na vallaBam /
   dhigvaṇigvanitāyogyāṃ gurvīṃ kanakasūtrikām // KNarm_1.144 //	Dik-vaNij-vanitA-yogyAm gurvIm kanaka-sUtrikAm // KNarm_1.144 //
   ekaivaikāvalī kāntā laliteyaṃ priyā mama /	ekA-eva-eka-AvalI kAntA lalitA-iyam priyA mama /
   iti darpagirā tasyā nābhavat kasya vismayaḥ // KNarm_1.145 //	iti darpa-girA tasyAH na-aBavat kasya vismayaH // KNarm_1.145 //
   aho bhagavatī kāryasarvasiddhipradā maṣī /	aho BagavatI kArya-sarva-sidDi-pradA mazI /
   aho prabalavānko 'pi kalamaḥ kamalāśrayaḥ // KNarm_1.146 //	aho prabalavAn-kaH api kalamaH kamala-ASrayaH // KNarm_1.146 //
   yā papau yācitaṃ cāmaṃ bhagnasyūtāśmabhājane /	yA papO yAcitam ca-Amam Bagna-syUta-aSma-BAjane /
   tayaiva pīyate raupyapātre kastūrikāmadhu // KNarm_1.147 //	tayA-eva pIyate rOpya-pAtre kastUrikA-maDu // KNarm_1.147 //
   ityadhastāṃ samālokya harmye kāyasthasundarīm /	iti-aDas-tAm samAlokya harmye kAyasTa-sundarIm /
   tatprātiveśmikasutāḥ kulīnā jaguraṅganāḥ // KNarm_1.148 //	tad-prAtiveSmika-sutAH kulInAH jaguH-aFganAH // KNarm_1.148 //
   [iti] narmamālāyāṃ prathamaḥ parihāsaḥ //	[iti] narma-mAlAyAm praTamaH parihAsaH //
   dvitīyaḥ parihāsaḥ	dvitIyaH parihAsaH
   sāpi bālakuraṅgākṣī yauvanena pramāthinā /	sA-api bAla-kuraFga-akzI yOvanena pramATinA /
   bhidyamāneva darpeṇa na dadarśa vasundharām // KNarm_2.1 //	BidyamAnA-iva darpeNa na dadarSa vasunDarAm // KNarm_2.1 //
   śvaśrūjanaviruddhā sā taruṇaprātiveśmikā /	SvaSrU-jana-virudDA sA taruNa-prAtiveSmikAH /
   parihāsakathāśīlā gītavādyānurāgiṇī // KNarm_2.2 //	parihAsa-kaTA-SIlA gIta-vAdya-anurAgiNI // KNarm_2.2 //
   cārusaurabhaliptāṅgī na sā jagrāha kañcukam /	cAru-sOraBa-lipta-aFgI na sA jagrAha kaQcukam /
   darśayantī stanābhogamardhasrastaśiroṃśukā // KNarm_2.3 //	darSayantI stana-ABogam-arDa-srasta-SiroMSukAH // KNarm_2.3 //
   jṛmbhamāṇā parāvṛttya sācīkṛtavilocanā /	jRmBamANA parAvRttya sAcIkRta-vilocanA /
   janamaikṣata lolākṣī valitatrivalīlatā // KNarm_2.4 //	janam-Ekzata lola-akzI valita-trivalI-latA // KNarm_2.4 //
   ayatnasādhyāṃ tāṃ vīkṣya viṭā lalitalocanām /	ayatna-sADyAm tAm vIkzya viwAH lalita-locanAm /
   babhramustadgṛhopānte nirvyāpāragatāgatāḥ // KNarm_2.5 //	baBramuH-tad-gRha-upAnte nirvyApAra-gata-AgatAH // KNarm_2.5 //
   ciraṃ tadarthinaścitravastra*veṣavibhūṣitāḥ /	ciram tad-arTinaH-citra-vastra*veza-viBUzitAH /
   sugandhitailatāmbūladhūpādivyayakāriṇaḥ // KNarm_2.6 //	suganDi-tEla-tAmbUla-DUpa-Adi-vyaya-kAriNaH // KNarm_2.6 //
   niyogidhanabaddhāśāḥ strīratnaprāptisotsukāḥ /	niyogi-Dana-badDa-ASAH strI-ratna-prApti-sa-utsukAH /
   sasmitākṣinikocādivikāraśatakāriṇaḥ // KNarm_2.7 //	sa-smita-akzi-nikoca-Adi-vikAra-Sata-kAriNaH // KNarm_2.7 //
   tajjñairapyaparijñātapadāśchidrapratīkṣiṇaḥ /	tad-jQEH-api-aparijQAta-padAH-Cidra-pratIkziNaH /
   daṃśakāmā bhujaṅgāste līlākuṭilagāminaḥ // KNarm_2.8 //	daMSa-kAmAH BujaFgAH-te lIlA-kuwila-gAminaH // KNarm_2.8 //
   śūnyāṃ devakuṭīṃ gatvā prasiddhāḥ pāradārikāḥ /	SUnyAm devakuwIm gatvA prasidDAH pAradArikAH /
   dvitrāstatsaṅgamopāyaṃ prātiveśmyā vyacintayan // KNarm_2.9 //	dvitrAH-tad-saFgama-upAyam prAtiveSmyA vyacintayan // KNarm_2.9 //
   eko 'vadattatra viṭaḥ sulabhaiṣā na saṃśayaḥ /	ekaH avadat-tatra viwaH sulaBA-ezA na saMSayaH /
   khalvāṭaṃ tundilaṃ vṛddhaṃ svapatiṃ sahate katham // KNarm_2.10 //	KalvAwam tundilam vRdDam sva-patim sahate kaTam // KNarm_2.10 //
   nityapravāsinaṃ lubdhamīrṣyāluṃ suratāsaham /	nitya-pravAsinam lubDam-IrzyAlum surata-asaham /
   mattacchāgamadāmodaṃ bahalaṣṭhīvinaṃ śaṭham // KNarm_2.11 //	mad-ta=-CAgamada-Amodam baha-lazWIvinam SaWam // KNarm_2.11 //
   sutoparodhovandhyāyā nāsyā na ca vayaḥkṣayaḥ /	suta-uparoDaH-vanDyAyAH na-asyAH na ca vayaH-kzayaH /
   na ca duḥkhābhibhūtāsau rāgadagdhā na lakṣyate // KNarm_2.12 //	na ca duHKa-aBiBUtA-asO rAga-dagDA na lakzyate // KNarm_2.12 //
   etairhi doṣairnāyānti duḥśīlā api yoṣitaḥ /	etEH-hi dozEH-na-AyAnti duHSIlAH api yozitaH /
   aparaḥ prāha bhavatā sābhiprāyaṃ vicintitam /	aparaH prAha BavatA sa-aBiprAyam vicintitam /
   pratyāsattyā paricaye kintu yatno vidhīyatām // KNarm_2.13 //	pratyAsattyA paricaye kintu yatnaH viDIyatAm // KNarm_2.13 //
   vivāhayajñatīrthādidevayātrotsavairvinā /	vivAha-yajQa-tIrTa-Adi-deva-yAtrA-utsavEH-vinA /
   na labhyate paricayaḥ paradāropasarpaṇe // KNarm_2.14 //	na laByate paricayaH para-dAra-upasarpaNe // KNarm_2.14 //
   suciraṃ prekṣaṇaṃ lolakuntalottālanaṃ muhuḥ /	su-ciram prekzaNam lola-kuntala-uttAlanam muhur /
   tatsambaddhāḥ sāpadeśāḥ kathāstyāgaprakāśanam // KNarm_2.15 //	tad-sambadDAH sa-apadeSAH kaTAH-tyAga-prakASanam // KNarm_2.15 //
   bhogasaubhāgyayaśasāṃ prasiddhipratipādanam /	Boga-sOBAgya-yaSasAm prasidDi-pratipAdanam /
   mandamandaṃ vacaḥ svairaṃ tadvākyaśravaṇādaraḥ // KNarm_2.16 //	manda-mandam vacaH svEram tad-vAkya-SravaNa-AdaraH // KNarm_2.16 //
   tanmukhanyastanayanaṃ cumbanāliṅganaṃ śiśoḥ /	tad-muKa-nyasta-nayanam cumbana-AliFganam SiSoH /
   śilpasampādanaṃ cāsyā vastrālaṅkara*ṇekṣitam // KNarm_2.17 //	Silpa-sampAdanam ca-asyAH vastra-alaFkara-*NA-Ikzitam // KNarm_2.17 //
   jāte paricaye mālyatāmbūlādisamarpaṇam /	jAte paricaye mAlya-tAmbUla-Adi-samarpaNam /
   bhittau nipīḍanaṃ gāḍhaṃ vijane paricumbanam // KNarm_2.18 //	BittO nipIxanam gAXam vijane paricumbanam // KNarm_2.18 //
   guhyasparśo ratiśceti śīlavidhvaṃsayuktayaḥ /	guhya-sparSaH ratiH-ca-iti SIla-viDvaMsa-yuktayaH /
   itthaṃ kā nāma na mayā kṛtā śīlaparāṅmukhī // KNarm_2.19 //	itTam kA nAma na mayA kRtA SIla-parAFmuKI // KNarm_2.19 //
   niyogibhāryā labhyaiva sarvadā gamanonmukhī /	niyogi-BAryA laByA-eva sarvadA gamana-unmuKI /
   %% iti pāradārikaḥ /	%% iti pAradArikaH /
   athāvadattṛtīyo 'pi svādhīnaṃ sarvameva naḥ /	aTa-avadat-tRtIyaH api svADInam sarvam-eva naH /
   kintvatra vidhivaimukhyād vighnaḥ samupalakṣyate // KNarm_2.20 //	kintu-atra viDi-vEmuKyAt viGnaH samupalakzyate // KNarm_2.20 //
   yo 'yaṃ tīkṣṇākṣapaṭale citraguptaviceṣṭitaḥ /	yaH ayam tIkzNa-akza-pawale citragupta-vicezwitaH /
   niḥśeṣajīvanātaṅkavidhāyī nirguṭāntakaḥ // KNarm_2.21 //	niHSeza-jIvana-AtaFka-viDAyI nirguwa-antakaH // KNarm_2.21 //
   bhārakocchṛṅkhalāyāsakhaṇḍalekhyādiyuktibhiḥ /	BAraka-ucCRFKala-AyAsa-KaNxa-leKya-Adi-yuktiBiH /
   nirguṭāḥ prāpitā yena gopālapaśupālatām // KNarm_2.22 //	nirguwAH prApitAH yena gopAla-paSupAla-tAm // KNarm_2.22 //
   na kālo yadi nāmāsau tat kiṃ jīvanahṛnnṛṇām /	na kAlaH yadi nAma-asO tat kim jIvana-hRt-nRNAm /
   pakṣā .. .. .. .. .. ścettatkimekāṅganāśanaḥ // KNarm_2.23 //	pakzAH .. .. .. .. .. Scet-tat-kim-eka-aFga-nASanaH // KNarm_2.23 //
   kiyanto 'dya mṛtāḥ kutra pṛcchanniti muhurmuhuḥ /	kiyantaH adya mRtAH kutra pRcCan=-iti muhur-muhur /
   mṛtajīvī śvatulyo 'sau bhuṅkte kāpālikavratam // KNarm_2.24 //	mRta-jIvI Sva-tulyaH asO BuFkte kApAlika-vratam // KNarm_2.24 //
   haraṇodyatahasto 'sau sādhūnāmapi vartane /	haraNa-udyata-hastaH asO sADUnAm-api vartane /
   sadoṣairdīyate 'smābhirna[ra]kāya tilāñjaliḥ // KNarm_2.25 //	sa-dozEH-dIyate asmABiH-na[ra]kAya tila-aQjaliH // KNarm_2.25 //
   yadyapyasau snuṣākāmī kalyapālakulojjvalaḥ /	yadi-api-asO snuzA-kAmI kalyapAla-kula-ujjvalaH /
   tathāpi sarvaḥ sarvajñaḥ paradoṣānudarśane // KNarm_2.26 //	taTA-api sarvaH sarvajQaH para-doza-anudarSane // KNarm_2.26 //
   athavāstyeva me mitraṃ śaktimānrājavallabhaḥ /	aTavA-asti-eva me mitram SaktimAn-rAja-vallaBaH /
   vāṅmātreṇaiva naḥ sarvaṃ saṃrakṣiṣyati jīvanam // KNarm_2.27 //	vAc-mAtreNa-eva naH sarvam saMrakzizyati jIvanam // KNarm_2.27 //
   agāradāhino dhenustrīśiśubrāhmaṇāntakāḥ /	agAra-dAhinaH Denu-strI-SiSu-brAhmaNa-antakAH /
   bahavo rakṣitāstena digvārtāmātrasevakāḥ // KNarm_2.28 //	bahavaH rakzitAH-tena diS-vArtA-mAtra-sevakAH // KNarm_2.28 //
   %% iti jīvanadiviraḥ /	%% iti jIvana-diviraH /
   gṛhaṃ niyogikāntāyāḥ praviśatyatinirbharam /	gRham niyogi-kAntAyAH praviSati-ati-nirBaram /
   eṣā śramaṇikā nityaṃ kuṭṭanī vajrayoginī // KNarm_2.29 //	ezA SramaNikA nityam kuwwanI vajra-yoginI // KNarm_2.29 //
   yā mātā vaśyayogānāṃ jārāṇāṃ siddhadūtikā /	yA mAtA vaSya-yogAnAm jArANAm sidDa-dUtikAH /
   naropapattidīkṣāsu strīṇāṃ samayadevatā // KNarm_2.30 //	nara-upapatti-dIkzAsu strINAm samaya-devatAH // KNarm_2.30 //
