   aitareyopaniṣad	Etareya-upanizad-
   ṛṇapratibandhasyāviduṣa eva manuṣyapitṛdevalokaprāptiṃ prati, na viduṣaḥ /	RNa-pratibanDasya-aviduzaH eva manuzya-pitR-deva-loka-prAptim prati, na viduzaH /
   "so 'yaṃ manuṣyalokaḥ putreṇaiva"(bṛ.u.1 / 5 / 16)	"saH ayam manuzya-lokaH putreNa-eva-"(bR.u.1 / 5 / 16)
   ityādilokatrayasādhananiyamaśruteḥ /	iti-Adi-loka-traya-sADana-niyama-SruteH /
   viduṣaśca ṛṇapratibandhābhāvo darśita ātmalokārthinaḥ"kiṃ prajayā	viduzaH-ca RNa-pratibanDa-aBAvaH darSitaH Atma-loka-arTinaH"kim prajayA
   kariṣyāmaḥ"(bṛ.u.4 / 4 / 22) ityādinā /	karizyAmaH"(bR.u.4 / 4 / 22) ityAdinA /
   tathā"etadva sma vai tadvidvāṃsa āhurṛṣaḥ kāvaṣeyāḥ"ityādi /	taTA-a"etat-va sma vE tad-vidvAMsaH AhuH-RzaH kAvazeyAH"ityAdi /
   "etaddha sma vai tatpūrve vidvāṃso 'gnihotraṃ na juhavāñcakruḥ"(kauṣī. 2 /	"etat-ha sma vE tat-pUrve vidvAMsaH agnihotram na juhavAQcakruH-"(kOzI. 2 /
   5) iti ca kauṣītakinām /	5) iti ca kOzItakinAm /
   aviduṣastarhi ṛṇānapākaraṇe pārivrājyānupapattiriti cet?	aviduzaH-tarhi RNAna-pAkaraNe pArivrAjya-anupapattiH-iti ced-?
   na; prāggārhasthyapratipatterṛṇitvāsaṃbhavāt /	na; prAc-gArhasTya-pratipatteH-RNitva-asaMBavAt /
   adhikārānārūḍho 'pyṛṇī ca syāt sarvasya ṛṇitvamityaniṣṭaṃ	aDikArAn-ArUXaH api-RNI ca syAt sarvasya RNi-tvam-iti-anizwam
   prasajyetāpratipannagārhasthyasyāpi"gṛhādvanībhūtvā pravrajedyadi	prasajyeta-apratipannaga-arhasTyasya-api"gRhAt-vanIBUtvA pravrajet-yadi
   vetarathā brahmacaryādeva pravrajed gṛhādvā vanādvā"(jā.u.4)	vetaraTAH brahmacaryAt-eva pravrajet gRhAt-vA vanAt-vA"(jA.u.4)
   ityātmadarśanopāyasādhanatveneṣyata eva pārivrājyam /	iti-Atma-darSana-upAya-sADana-tvena-izyate eva pArivrAjyam /
   yāvajjīvādiśrutīnāmavidvadamumukṣuviṣaye kṛtārthatā /	yAvat-jIva-Adi-SrutInAmavidvada-mumukzu-vizaye kRtArTa-tA /
   chāndogye ca keṣāñcid dvādaśarātramagnihotraṃ hutvā tata ūrdhva parityāgaḥ	CAndogye ca kezAQcid dvAdaSa-rAtram-agnihotram hutvA tatas UrDva parityAgaH
   śrūyate /	SrUyate /
   yattvanadhikṛtānāṃ pārivrājyamiti, tanna, teṣāṃ	yat-tu-anaDi-kRtAnAm pArivrAjyam-iti, tat-na, tezAm
   pṛthageva,"utsannāgniranagniko vā"ityādiśravaṇāt /	pRTak-eva,"utsanna-agniH-anagnikaH vA"iti-Adi-SravaNAt /
   sarvasmṛtiṣu cāviśeṣeṇāśramavikalpaḥ prasiddhaḥ samuccayaśca /	sarva-smRtizu ca-aviSezeNa-ASrama-vikalpaH prasidDaH samuccayaH-ca /
   yattu viduṣor'thaprāptaṃ vyutthānamityaśāstrārthatve, gṛhe vane vā	yat-tu viduzoH-aTa-prAptam vyutTAnam-iti-aSAstra-arTa-tve, gRhe vane vA
   tiṣṭhato na viśeṣa iti, tadasat	tizWataH na viSezaH iti, tat-asat
   vyutthānasyaivārthaprāptatvānnānyatrāvasthānaṃ syāt /	vyutTAnasya-eva-arTa-prApta-tvAt-na-anyatra-avasTAnam syAt /
   anyatrāvasthānasya kāmakarmaprayuktatvaṃ hyavocāma, tadabhāvamātraṃ	anyatra-avasTAnasya kAma-karma-prayukta-tvam hi-avocAma, tad-aBAva-mAtram
   vyutthānamiti ca /	vyutTAnam-iti ca /
   yathākāmitvaṃ tu viduṣo 'tyantamaprāptaṃ atyantamūḍhaviṣayatvenāvagamāt /	yaTAkAmi-tvam tu viduzaH atyantam-aprAptam atyanta-mUXa-vizaya-tvena-avagamAt /
   tathā śāstracoditamapi karma ātmavido 'prāptaṃ gurubhāratayāvagamyate /	taTA SAstra-coditam-api karma Atma-vidaH aprAptam guru-BAra-tayA-avagamyate /
   kimutātyantāvivekanimittaṃ yathākarmitvam /	kim-uta-atyanta-aviveka-nimittam yaTAkarmi-tvam /
   na hi unmādatimiradṛṣṭyupalabdhaṃ vastu tadapagame 'pi tathaiva syāt /	na hi unmAda-timira-dRzwi-upalabDam vastu tad-apagame api taTA-eva syAt /
   unmādatimiradṛṣṭinimittatvādeva tasya /	unmAda-timira-dRzwi-nimitta-tvAt-eva tasya /
   tasmādātmavido vyutthānavyatirekeṃ na yathākāmitvaṃ na	tasmAt-Atma-vidaH vyutTAna-vyatirekem na yaTAkAmi-tvam na
   cānyatkartavyamityetatsiddham /	ca-anyat-kartavyam-iti-etat-sidDam /
   yattu"vidyāṃ cāvidyāṃ ca yasyadvedobhayaṃ saha"(ī.u.11) iti na vidyāvato	yat-tu"vidyAm ca-avidyAm ca yasyadveda-uBayam saha"(I.u.11) iti na vidyAvataH-
   vidyayā sahāvidyāpi vartate ityayamarthaḥ kastarhi ekasminpuruṣe ete	vidyayA saha-avidyA-api vartate iti-ayam-arTaH kaH-tarhi ekasmin-puruze ete
   ekadaiva na saha saṃbadhyeyātāmityarthaḥ /	ekadA-eva na saha saMbaDyeyAtAm-iti-arTaH /
   yathā śuktikāyāṃ rajataśuktikājñāne ekasya puruṣasya /	yaTA SuktikAyAm rajata-SuktikA-jQAne ekasya puruzasya /
   "dūramete viparīte viṣūcī avidyā yā ca vidyeti jñātā"(ka.u.1 / 2 / 4) iti	"dUram-ete viparIte vizUcI avidyA yA ca vidyA-iti jQAta-a"(ka.u.1 / 2 / 4) iti
   hi kāṭhake /	hi kAWake /
   tasmānna vidyāyāṃ satyāmavidyāsaṃbhavo 'sti /	tasmAt-na vidyAyAm satyAm-avidyA-saMBavaH asti /
   "tapasā brahma vijijñāsasva"(tai.u.3 / 2) ityādiśruteḥ tapa ādi	"tapasA brahma vijijQAsa-sva-"(tE.u.3 / 2) ityAdi-SruteH tapaH Adi
   vidyotpattisādhanaṃ gurūpāsanādi ca karma avidyātmakatvādavidyocyate tena	vidyA-utpatti-sADanam guru-upAsana-Adi ca karma avidyA-Atmaka-tvAt-avidyA-ucyate tena
   vidyāmutpādya mṛtyuṃ kāmamatitarati /	vidyAm-utpAdya mRtyum kAmam-atitarati /
   tato niṣkāmastyaktaiṣaṇobrahmavidyayā amṛtatvamaśnuta itye 'tamartha	tatas nizkAmaH-tyakta-ezaNaH-brahma-vidyayA amRta-tvam-aSnutaH itye atam-arTa
   darśayannāha -"avidyayā mṛtyuṃ tīrtvā vidyayāmṛtamaśnute"(ī.u.11) iti /	darSayan=-Aha -"avidyayA mRtyum tIrtvA vidyayA-amRtam-aSnute"(I.u.11) iti /
   yattu puruṣāyuḥ sarvaṃ karmaṇaiva vyāptaṃ"kuvenneveha karmāṇi	yat-tu puruza-AyuH sarvam karmaNA-eva vyAptaM"kuvet-na-iva-iha karmANi
   jijīviṣecchataṃ samāḥ"(ī.u.2) iti tadavidvadviṣayatvena	jijIvizet-Satam samAH"(I.u.2) iti tad-avidvat-vizaya-tvena
   parihṛtamitarathāsaṃbhavāt /	parihRta-mita-raTa-asaMBavAt /
   yattu vakṣyamāṇamapi pūrvoktatulyatvātkarmaṇāviruddhamātmajñānamiti,	yat-tu vakzyamANam-api pUrva-ukta-tulya-tvAt-karmaNA-avirudDam-Atma-jQAnam-iti,
   tatsaviśeṣanirviśeṣātmatayā pratyuktam, uttaratra vyākhyāne ca	tat-sa-viSeza-nirviSeza-AtmatayA pratyuktam, uttaratra vyAKyAne ca
   darśayiṣyāmaḥ /	darSayizyAmaH /
   ataḥ kevalaniṣkriyabrahmātmakatvavidyādarśanārthamuttaro grantha ārabhyate	atas kevala-nizkriya-brahma-Atmaka-tva-vidyA-darSana-arTam-uttaraH granTaH AraByate
   START 1,1.1	START 1,1.1
   ātmā vā idam eka evāgra āsīt |	AtmA vA idam ekaH eva-agre AsIt |
   nānyat kiñcana miṣat |	na-anyat kiQcana mizat |
   sa īkṣata lokān nu sṛjā iti || AitUp_1,1.1 ||	saH Ikzata lokAn nu sRjE iti || AitUB-_1,1.1 ||
   AitUpBh_1,1.1	Aitu-upBh_1,1.1
   ātmā āpnoteratteratatervā paraḥ sarvajñaḥ	AtmA ApnoteH-atteH-atateH-vA paraH sarvajQaH
   sarvaśaktiraśanāyādisarvasaṃsāradharmavarjito	sarva-SaktiH-aSanAya-Adi-sarva-saMsAra-Darma-varjitaH-
   nityaśuddhabuddhamuktasvabhāvo 'jo 'jaro 'maromṛto 'bhayo 'dvayo vai idaṃ	nitya-SudDa-budDa-mukta-svaBAvaH ajaH ajaraH amaraH-mRtaH aBayaH advayaH vE idam
   yaduktaṃ nāmarūpakarmabhedabhinnañjagadātmaivaiko 'gre jagataḥ sṛṣṭeḥ	yat-uktam nAma-rUpa-karma-Beda-BinnaQjagat-AtmA-eva-ekaH agre jagataH sRzweH
   prāgāsīt /	prAk-AsIt /
   kiṃ nedānīṃ sa evaikaḥ	kim na-idAnIm saH eva-ekaH
   na /	na /
   kathaṃ tarhyāsīdityucyate yadyapīdānīṃ sa evaikastathāpyasti viśeṣaḥ /	kaTam tarhi-AsIt-iti-ucyate yadi-api-idAnIm saH eva-ekaH-taTA-api-asti viSezaH /
   prāgutpatteravyākṛtanāmarūpabhedamātmabhūtamātmaikaśabdapratyayagocaraṃ	prAk-utpatteH-avyAkRta-nAma-rUpa-Bedam-Atma-BUtam-Atma-eka-Sabda-pratyaya-gocaram
   jagadidānīṃ	jagat-idAnIm
   vyākṛtanāmarūpabhedatvādanekaśabdapratyayagocaramātmaikaśabdapratyayagocara	vyAkRta-nAma-rUpa-Beda-tvAt-aneka-Sabda-pratyaya-gocaram-Atma-eka-Sabda-pratyaya-gocara
   ceti viśeṣaḥ /	ca-iti viSezaH /
   yathā	yaTA
   salilātpṛthakphenanāmarūpavyākaraṇātprāksalilaikaśabdapratyayagocarameva	salilAt-pRTak-Pena-nAma-rUpa-vyAkaraNAt-prAc-salila-eka-Sabda-pratyaya-gocaram-eva
   phenam, yadā salilātpṛthaṅnāmarūpabhedena vyākṛtaṃ bhavati tadā salilaṃ	Penam, yadA salilAt-pRTak-nAma-rUpa-Bedena vyAkRtam Bavati tadA salilam
   phenaṃ cetyanekaśabdapratyayabhāksalilameveti caikaśabdapratyayabhākca	Penam ca-iti-aneka-Sabda-pratyaya-BAj-salilam-eva-iti ca-eka-Sabda-pratyaya-BAj-ca
   phenaṃ bhavati tadvat /	Penam Bavati tadvat /
   nānyatkiñcana na kiñcidapi miṣannimiṣadvyāpāravaditaradvā /	na-anyat-kiQcana na kiQcid-api mizat-nimizadvyApAra-vat-itaradvA /
   yathā sāṃkhyānāmanātmapakṣapāti svatantraṃ pradhānaṃ yathā ca	yaTA sAMKyAnAm-anAtma-pakzapAti svatantram praDAnam yaTA ca
   kāṇādānāmaṇavo na tadvadihānyadātmanaḥ kiñcidapi vastu vidyate kiṃ tarhi !	kANa-AdAnAm-aNavaH na tadvat-iha-anyat-AtmanaH kiQcid-api vastu vidyate kim tarhi !
   ātmaivaika āsīdityabhiprāyaḥ /	AtmA-eva-ekaH AsIt-iti-aBiprAyaH /
   sa sarvajñasvābhāvyād ātmā eka eva sannīkṣata /	sa sarvajQa-svABAvyAt AtmA ekaH eva sannIkzata /
   nanu prāgutpatterakāryakaraṇatvātkathamīkṣitavān /	nanu prAk-utpatteH-akArya-karaNa-tvAt-kaTam-IkzitavAn /
   nāyaṃ doṣaḥ sarvajñasvābhāvyāt tathā ca mantravarṇaḥ-"apāṇipādo javano	na-ayam dozaH sarvajQa-svABAvyAt taTA ca mantra-varNaH-"a-pANi-pAdaH javanaH-
   grahītā"(śve.u.3 / 19) ityādiḥ /	grahIta-a"(Sve.u.3 / 19) ityAdiH /
   kenābhiprāyeṇetyāha - lokān ambhaḥprabhṛtīn	kena-aBiprAyeNa-iti-Aha  lokAn amBaH-praBRtIn
   prāṇikarmaphalopabhogasthānabhūtānnu sṛjai sṛje 'hamiti //1//	prANi-karma-Pala-upaBoga-sTAna-BUtAn-nu sRjE sRje aham-iti //1//
   START 1,1.2	START 1,1.2
   evamīkṣitvā ālocya -	evam-IkzitvA Alocya -
   sa imāṃl lokān asṛjatāmbho marīcīr maram āpaḥ |	saH imAn lokAn asRjata-amBaH marIcIH maram ApaH |
   ado 'mbhaḥ pareṇa divam |	adaH amBaH pareNa divam |
   dyauḥ pratiṣṭhā |	dyOH pratizWA |
   antarikṣaṃ marīcayaḥ |	antarikzam marIcayaH |
   pṛthivī maraḥ |	pRTivI maraH |
   yā adhastāt tā āpaḥ || AitUp_1,1.2 ||	yAH aDastAt tAH ApaH || AitUB-_1,1.2 ||
   AitUpBh_1,1.2	Aitu-upBh_1,1.2
   sa ātmemāṃllokānasṛjata sṛṣṭavān /	saH Atma-imAn=-lokAn-asRjata sRzwavAn /
   yatheha buddhimāṃstakṣādirevaṃprakārānprāsādādīnsṛja iti īkṣitvekṣānantara	yaTA-iha budDimAn=-takza-AdiH-evaMprakArAn-prAsAda-AdIn-sRjaH iti IkzitvA-Ikza-anantara
   prāsādādīnsṛjati tadvat /	prAsAda-AdIn-sRjati tadvat /
   nanu sopādānastakṣādiḥ prāsādādīnsṛjatīti yuktaṃ nirupādānastvātmā kathaṃ	nanu sa-upAdAnaH-takza-AdiH prAsAda-AdIn-sRjati-iti yuktam nirupAdAnaH-tu-AtmA kaTam
   lokān sṛjati ?	lokAn sRjati ?
   naiṣa doṣaḥ, salilaphenasthānīye ātmabhūte nāmarūpe avyākṛte	na-eza dozaH, salila-Pena-sTAnIye Atma-BUte nAma-rUpe avyAkRte
   ātmaikaśabdavācye vyākṛtaphenasthānīyasya /	Atma-eka-Sabda-vAcye vyAkRta-Pena-sTAnIyasya /
   jagataḥ upādānabhūte saṃbhavataḥ /	jagataH upAdAna-BUte saMBavataH /
   tasmād ātmabhūtanāmarupopādānabhūtaḥ sansarvajño jagannirmimīta	tasmAt Atma-BUta-nAmarupa-upAdAna-BUtaH san-sarvajQaH jagat-nirmimIta
   ityaviruddham /	iti-avirudDam /
   athavā, yathā vijñānavānmāyāvī nirupādāna ātmānameva ātmāntaratvenākāśena	aTavA, yaTA vijQAnavAn-mAyAvI nirupAdAnaH AtmAnam-eva Atma-antara-tvena-AkASena
   gacchantamiva nirmimīte, tathā sarvajño devaḥ sarvaśaktirmahāmāya	gacCantam-iva nirmimIte, taTA sarvajQaH devaH sarva-SaktiH-mahAmAya
   ātmānamevātmāntaratvena jagadrūpeṇa nirmimīta iti yuktataram /	AtmAnam-eva-Atma-antara-tvena jagat-rUpeNa nirmimItaH iti yuktataram /
   evaṃ ca sati kāryakāraṇobhayāsadvādyādipakṣāśca na prasajjante	evam ca sati kArya-kAraNa-uBaya-asadvAdya-Adi-pakzAH-ca na prasajjante
   sunirākṛtāśca bhavanti /	su-nirAkRtAH-ca Bavanti /
   kāṃllokānasṛjatetyāha - ambho marīcirmaramāpa iti /	kAn=-lokAn-asRjata-iti-Aha  amBaH marIciH-maram-ApaH iti /
   ākāśādikrameṇa aṇḍamutpādyāmbhaḥprabhṛtīn lokānasṛjata /	AkASa-Adi-krameNa aNxam-utpAdya-amBaH-praBRtIn lokAn-asRjata /
   tatrāmbhaḥprabhṛtīn svayameva vyācaṣṭe śrutiḥ /	tatra-amBaH-praBRtIn svayam-eva vyAcazwe SrutiH /
   adastadambhaḥ śabdavācyo lokaḥ pareṇa divaṃ dyulokātpareṇa parastāt ; so	adaH-tad-amBaH Sabda-vAcyaH lokaH pareNa divam dyulokAt-pareNa parastAt ; saH-
   'mbhaḥśabdavācya ambho bharaṇāt /	amBaH-Sabda-vAcya amBaH BaraNAt /
   dyauḥpratiṣṭhāśrayastasyāmbhaso lokasya /	dyOH-pratizWA-ASrayaH-tasya-amBasaH lokasya /
   dyulokādadhastādantarikṣaṃ yattanmarīcayaḥ /	dyu-lokAt-aDastAt-antarikzam yat-tat-marIcayaH /
   eko 'pyanekasthānabhedatvādbahuvacanabhāk - marīcaya iti ; marīcibhirvā	ekaH api-aneka-sTAna-Beda-tvAt-bahuvacana-BAj  marIcayaH iti ; marIciBiH-vA
   raśmibhiḥsambandhāt /	raSmiBiH-sambanDAt /
   pṛthivī maro mriyante 'smin bhūtānīti /	pRTivI maraH mriyante asmin BUtAni-iti /
   yā adhastāt pṛthivyāstā āpa ucyante ; āpnoteḥ, lokāḥ /	yAH aDastAt pRTivyAH-tAH ApaH ucyante ; ApnoteH, lokAH /
   yadyapi pañcabhūtātmakatvaṃ lokānāṃ tathāpyabbāhulyādabnāmabhirevāmbho	yadi-api paQcaBUta-Atmaka-tvam lokAnAm taTA-api-abbAhulyAt-abnAmaBiH-eva-amBaH-
   marīcirmaramāpa ityucyante //2//	marIciH-maram-ApaH iti-ucyante //2//
   START 1,1.3	START 1,1.3
   sarvaprāṇikarmaphalopādānādhiṣṭhānabhūtāṃścaturo lokān sṛṣṭvā -	sarva-prANi-karma-Pala-upAdAna-aDizWAna-BUtAn=-caturaH lokAn sRzwvA -
   sa īkṣateme nu lokāḥ |	saH Ikzata-ime nu lokAH |
   lokapālān nu sṛjā iti |	lokapAlAn nu sRjE iti |
   so 'dbhya eva puruṣaṃ samuddhṛtyāmūrcchayat || AitUp_1,1.3 ||	saH adByaH eva puruzam samudDRtya-amUrcCayat || AitUB-_1,1.3 ||
   AitUpBh_1,1.3	Aitu-upBh_1,1.3
   sa īśvaraḥ punarevekṣata /	saH ISvaraH punar-eva-Ikzata /
   ime nu ambhaḥprabhṛtayo mayā sṛṣṭā lokāḥ paripālayitṛvarjitā vinaśyeyuḥ	ime nu amBaH-praBRtayaH mayA sRzwAH lokAH paripAlayitR-varjitAH vinaSyeyuH
   tasmādeṣāṃ rakṣaṇārthaṃ lokapālāṃllokānāṃ pālayitṛ sṛjai sṛje 'hamiti /	tasmAt-ezAm rakzaNa-arTam lokapAlAn=-lokAnAm pAlayitR sRjE sRje aham-iti /
   evamīkṣitvā so 'dbhya evaṃ appradhānebhya eva pañcabhūtebhyo yebhyo	evam-IkzitvA saH adByaH evam ap-praDAneByaH eva paQcaBUteByaH yeByaH-
   'mbhaḥprabhṛtīnsṛṣṭavāṃstebhya evetyarthaḥ /	amBaH-praBRtIn-sRzwavAn=-teByaH eva-iti-arTaH /
   puruṣaṃ puruṣākāraṃ śiraḥpāṇyādimantaṃ samuddhṛtya adbhyaḥ samupādāya	puruzam puruza-AkAram SiraH-pANi-Adi-mantam samudDRtya adByaH samupAdAya
   mṛtpiṇḍamiva kulālāḥ pṛthivyāḥ, amūrchayat mūrchitavān saṃpiṇḍitavān	mRd-piNxam-iva kulAlAH pRTivyAH, amUrCayat mUrCitavAn saMpiNxitavAn
   svāvayavasaṃyojanenetyarthaḥ //3//	sva-avayava-saMyojanena-iti-arTaH //3//
   START 1,1.4	START 1,1.4
   tam abhyatapat |	tam aByatapat |
   tasyābhitaptasya mukhaṃ nirabhidyata yathāṇḍam |	tasya-aBitaptasya muKam niraBidyata yaTA-aNxam |
   mukhād vāk |	muKAt vAc |
   vāco 'gniḥ |	vAcaH agniH |
   nāsike nirabhidyetām |	nAsike niraBidyetAm |
   nāsikābhyāṃ prāṇaḥ |	nAsikAByAm prANaH |
   prāṇād vāyuḥ |	prANAt vAyuH |
   akṣiṇī nirabhidyetām |	akziNI niraBidyetAm |
   akṣībhyāṃ cakṣuḥ |	akzIByAm cakzuH |
   cakṣuṣa ādityaḥ |	cakzuzaH AdityaH |
   karṇau nirabhidyetām |	karNO niraBidyetAm |
   karṇābhyāṃ śrotram |	karNAByAm Srotram |
   śrotrād diśaḥ |	SrotrAt diSaH |
   tvaṅ nirabhidyata |	tvac niraBidyate |
   tvaco lomāni |	tvacaH lomAni |
   lomabhya oṣadhivanaspatayaḥ |	lomaByaH ozaDi-vanaspatayaH |
   hṛdayaṃ nirabhidyata |	hRdayam niraBidyate |
   hṛdayān manaḥ |	hRdayAt manaH |
   manasaś candramāḥ |	manasaH candramAH |
   nābhir nirabhidyata |	nABiH niraBidyate |
   nābhyā apānaḥ |	nAByAH apAnaH |
   apānān mṛtyuḥ |	apAnAt mRtyuH |
   śiśnaṃ nirabhidyata |	SiSnam niraBidyate |
   śiśnād retaḥ |	SiSnAt retaH |
   retasa āpaḥ || AitUp_1,1.4 ||	retasaH ApaH || AitUB-_1,1.4 ||
   AitUpBh_1,1.4	Aitu-upBh_1,1.4
   taṃ piṇḍaṃ puruṣavidhamuddiśyābhyatapat /	tam piNxam puruzaviDam-uddiSya-aByatapat /
   tadabhidhyānaṃ saṃkalpaṃ kṛtavānityarthaḥ,"yasya jñānamayaṃ tapaḥ"(mu.u.1	tat-aBiDyAnam saMkalpam kRtavAn-iti-arTaH,"yasya jQAna-mayam tapaH-"(mu.u.1
   / 1 / 9) ityādiśruteḥ /	/ 1 / 9) iti-Adi-SruteH /
   tasyābhitaptasyeśvarasaṃkalpena tapasābhitaptasya piṇḍasya mukhaṃ	tasya-aBitaptasya-ISvara-saMkalpena tapasA-aBitaptasya piNxasya muKam
   nirabhidyata mukhākāraṃ suṣiramajāyata yathā pakṣiṇo 'ṇḍaṃ nirbhidyata	niraBidyata muKa-AkAram suziram-ajAyata yaTA pakziNaH aNxam nirBidyata
   evam /	evam /
   tasmānnirbhinnātmukhādvākkaraṇamindriyaṃ niravartata;	tasmAt-nirBinnAt-muKAt-vAk-karaNam-indriyam niravartata;
   tadadhiṣṭhātāgnistato vāco lokapālaḥ /	tad-aDizWAta-agniH-tatas vAcaH lokapAlaH /
   tathā nāsike nirabhidyetām /	taTA nAsike niraBidyetAm /
   nāsikābhyāṃ prāṇaḥ; prāṇadvāyuḥ; iti sarvatrādhiṣṭhānaṃ karaṇaṃ devatā ca	nAsikAByAm prANaH; prANadvAyuH; iti sarvatra-aDizWAnam karaNam devatA ca
   trayaṃ krameṇa nirbhinnamiti /	trayam krameNa nirBinnam-iti /
   akṣiṇī karṇau tvag hṛdayamantaḥkaraṇādhiṣṭhānam, mano 'ntaḥkaraṇam :	akziNI karNO tvac hRdayam-antaHkaraNa-aDizWAnam, manaH antaHkaraNam :
   nābhiḥ sarvaprāṇabandhanasthānam /	nABiH sarva-prANa-banDana-sTAnam /
   apānasaṃyuktatvādapāna iti pāyvindriyamucyate /	apAna-saMyukta-tvAt-apAnaH iti pAyu-indriyam-ucyate /
   tasmāt tasyādhiṣṭhātrī devatā mṛtyuḥ /	tasmAt tasya-aDizWAtrI devatAH mRtyuH /
   yathānyatra, tathā śiśnaṃ nirabhidyata prajananendriyasthānam /	yaTA-anyatra, taTA SiSnam niraBidyata prajanana-indriya-sTAnam /
   indriyaṃ reto retovisargārthatvātsaha retasocyate /	indriyam retaH retaH-visarga-arTa-tvAt-saha retasA-ucyate /
   retasa āpa iti //4//	retasaH ApaH iti //4//
   iti prathamādhyāye prathamaḥ khaṇḍaḥ samāptaḥ //1//	iti praTama-aDyAye praTamaH KaNxaH samAptaH //1//
   START 1,2.1	START 1,2.1
   tā etā devatāḥ sṛṣṭā asmin mahaty arṇave prāpatan |	tAH etAH devatAH sRzwAH asmin mahati arNave prApatan |
   tam aśanāpipāsābhyām anvavārjat |	tam aSanA-pipAsAByAm anvavArjat |
   tā enam abruvann āyatanaṃ naḥ prajānīhi |	tAH enam abruvan Ayatanam naH prajAnIhi |
   yasmin pratiṣṭhitā annam adāmeti || AitUp_1,2.1 ||	yasmin pratizWitAH annam adAma-iti || AitUB-_1,2.1 ||
   AitUpBh_1,2.1	Aitu-upBh_1,2.1
   tā etā agnyādayo devatā lokapālatvena saṃkalpya sṛṣṭā	tAH etAH agni-AdayaH devatA lokapAla-tvena saMkalpya sRzwA
   īśvareṇāsminsaṃsārarṇave saṃsārasamudre mahatyavidyākāmakarmaprabhava	ISvareNa-asmin-saMsAra-RNave saMsAra-samudre mahati-avidyA-kAma-karma-praBava
   duḥkhodake tīvrarogajarāmṛtyumahāgrāhe 'nādāvanante 'pāre nirālambe	duHKa-udake tIvra-roga-jarA-mRtyu-mahA-grAhe anAdO=-anante apAre nirAlambe
   viṣayendriyajanitasukhalavakṣaṇaviśrāme	vizaya-indriya-janita-suKala-vakzaNa-viSrAme
   pañcendriyārthatṛṇmārutavikṣobhotthitānarthaśatamahormau	paQca-indriya-arTa-tRz-mAruta-vikzoBa-utTita-anarTa-Sata-mahormO
   mahārauravādyanekanirayagatahāhetyādikūjitākrośanodbhūtamahārave	mahArOrava-Adi-aneka-niraya-gata-hAha-ityAdi-kUjita-AkroSana-udBUta-mahA-rave
   satyārjavadānadayāhiṃsāśamadamadhṛtyādyātmaguṇapātheyapūrṇajñānoḍupe	satya-Arjava-dAna-daya-ahiMsA-Sama-dama-DRti-Adi-Atma-guNa-pATeya-pUrNa-jQAna-uxupe
   satsaṅgasarvatyāgamārge mokṣatīre etasminmahatyarṇave	sat-saFga-sarva-tyAga-mArge mokza-tIre etasmin-mahati-arNave
   prāpatanpatitatavatyaḥ /	prApatan-patita-tavatyaH /
   tasmādagnyādidevatāpyayalakṣaṇāpi yā gatirvyākhyātā	tasmAt-agni-Adi-devatA-apyaya-lakzaNA-api yA gatiH-vyAKyAtA
   jñānakarmasamuccayānuṣṭhānaphalabhūtā sāpi nālaṃ saṃsāraduḥkhopaśamāya,	jQAna-karma-samuccaya-anuzWAna-Pala-BUtA sA-api na-alam saMsAra-duHKa-upaSamAya,
   ityayaṃ vivakṣitor'the 'tra /	iti-ayam vivakzitor-aTe atra /
   yata evaṃ tasmādevaṃ viditvā paraṃ brahma ātmātmanaḥ sarvabhūtānāṃ ca yo	yatas evam tasmAt-evam viditvA param brahma Atma-AtmanaH sarva-BUtAnAm ca yaH-
   vakṣyamāṇaviśeṣaṇaḥ prakṛtaśca jagadutpattisthitisaṃhārahetutvena sa	vakzyamANa-viSezaNaH prakRtaH-ca jagat-utpatti-sTiti-saMhAra-hetu-tvena sa
   sarvasaṃsāraduḥkhopaśamanāya veditavyaḥ /	sarva-saMsAra-duHKa-upaSamanAya veditavyaH /
   tasmāt"eṣa panthā etatkamaitad brahmaitat satyam"(ai.u.2 / 1 / 1)	tasmAt-"eza panTAH etat-kam-a-etat brahma-etat satyam-"(E.u.2 / 1 / 1)
   yadetatparabrahmātmajñānam"nānyaḥ panthā vidyate 'yanāya"(śve.u.3 / 8.6 /	yat-etat-para-brahma-Atma-jQAna-m"nA-anyaH panTAH vidyate ayanAya"(Sve.u.3 / 8.6 /
   15) iti mantravarṇāt /	15) iti mantra-varNAt /
   taṃ sthānakaraṇadevatotpattibījabhūtaṃ puruṣaṃ prathamotpāditaṃ	tam sTAna-karaNa-devatA-utpatti-bIja-BUtam puruzam praTama-utpAditam
   piṇḍamātmānamaśanāyāpipāsābhyāmanvavārjadanugamitavānsaṃyojitavānityatheḥ	piNxam-AtmAnam-aSanAya-apipAsAByAm-anvavArjat-anugamitavAn-saMyojitavAn-iti-aTeH
   tasya kāraṇabhūtasyāśanāyādidoṣavattvāttatkāryabhūtānāmapi	tasya kAraNa-BUtasya-aSanAya-Adi-dozavat-tvAt-tad-kArya-BUtAnAm-api
   devatānāmaśanāyādimattvam /	devatAnAm-aSanAya-Adimattvam /
   tāstato 'śanāyāpipāsābhyāṃ pīḍyamānā enaṃ pitāmahaṃ	tAH-tatas aSanAyA-pipAsAByAm pIxyamAnAH enam pitAmaham
