   akārādilakārāntā ToT_9.17a	akAra-Adi-lakAra-antAH ToT_9.17a
   kūrcayuktena haṃsena ToT_4.7c	kUrca-yuktena haMsena ToT_4.7c
   kūrcavidyā tathaiva ca ToT_6.49b	kUrca-vidyA taTA-eva ca ToT_6.49b
   kṛte phalaṃ maheśāni ToT_3.7c	kRte Palam maheSAni ToT_3.7c
   kṛṣṇamūrtiḥ samudbhavā ToT_10.11d	kRzNa-mUrtiH samudBavAH ToT_10.11d
   kṛṣṇavarṇaṃ tadudakaṃ ToT_3.48c	kRzNa-varNam tat-udakam ToT_3.48c
   kṛṣṇaśāpaṃ sureśvari ToT_4.27b	kRzNa-SApam sureSvari ToT_4.27b
   keśaṃ ca parameśvari ToT_6.5b	keSam ca parameSvari ToT_6.5b
   kesarasya tu madhye ca ToT_8.18a	kesarasya tu maDye ca ToT_8.18a
   koṭayaścaiva sundari ToT_8.2b	kowayaH-ca-eva sundari ToT_8.2b
   krameṇa yogapadmasya ToT_8.10c	krameNa yoga-padmasya ToT_8.10c
   krameṇa yojayet sudhīḥ ToT_3.4b	krameNa yojayet suDIH ToT_3.4b
   krameṇa śṛṇu sādaram ToT_2.6b	krameNa SRNu sa-Adaram ToT_2.6b
   krameṇa śrotum icchāmi ToT_8.1c	krameNa Srotum icCAmi ToT_8.1c
   kriyate mūrtikalpanā ToT_6.50d	kriyate mUrti-kalpanA ToT_6.50d
   kruddhā bhavati tāriṇī ToT_4.45d	krudDA Bavati tAriNI ToT_4.45d
   kṣakāraṃ vaktrasaṃyutam ToT_9.17b	kzakAram vaktra-saMyutam ToT_9.17b
   kṣamasveti visarjayet ToT_4.41d	kzamasva-iti visarjayet ToT_4.41d
   kṣamasveti visarjayet ToT_5.30b	kzamasva-iti visarjayet ToT_5.30b
   kṣālayeccaraṇadvayam ToT_3.39d	kzAlayet-caraNa-dvayam ToT_3.39d
   kṣālayed dehamadhyagam ToT_3.47d	kzAlayet deha-maDya-gam ToT_3.47d
   kṣitiṃ jalaṃ tathā cāgniṃ ToT_5.24c	kzitim jalam taTA ca-agnim ToT_5.24c
   kṣudrabrahmāṇḍamadhyataḥ ToT_7.2b	kzudra-brahmANxa-maDyatas ToT_7.2b
   kṣudrarūpā janāḥ sarve ToT_7.4a	kzudra-rUpAH janAH sarve ToT_7.4a
   kṣobhādirahitaṃ yasmāt ToT_1.6a	kzoBa-Adi-rahitam yasmAt ToT_1.6a
   khaḍgādīn gurupaṅktiṃ ca ToT_3.67a	Kaxga-AdIn guru-paFktim ca ToT_3.67a
   khaḍgādīn pūjayitvā tu ToT_3.76c	Kaxga-AdIn pUjayitvA tu ToT_3.76c
   kharparaṃ dakṣiṇe kare ToT_9.40d	Karparam dakziNe kare ToT_9.40d
   khecarī paramā kalā ToT_7.1b	KecarI paramA kalA ToT_7.1b
   khecarīṃ daśadhā japet ToT_4.26b	KecarIm daSaDA japet ToT_4.26b
   khecaro jāyate'cirāt ToT_7.22b	KecaraH jAyate-acirAt ToT_7.22b
   gaganaś ca śivaṃ śive ToT_6.52b	gaganaH ca Sivam Sive ToT_6.52b
   gaganaṃ bindubhūṣitam ToT_3.11b	gaganam bindu-BUzitam ToT_3.11b
   gaganaṃ vāyubījaṃ ca ToT_3.44c	gaganam vAyubIjam ca ToT_3.44c
   gaganādyā mahāvidyā ToT_3.30c	gagana-AdyAH mahAvidyA ToT_3.30c
   gaṅgātoyaṃ bhaved yadi ToT_5.40b	gaFgA-toyam Bavet yadi ToT_5.40b
   gaṅge ceti samuccaret ToT_3.35d	gaFge ca-iti samuccaret ToT_3.35d
   gaṅge cetyādinā devi ToT_3.42c	gaFge ca-ityAdinA devi ToT_3.42c
   gajāntakasahasrakam ToT_9.44d	gajAntaka-sahasrakam ToT_9.44d
   gajāntakasahasrakam ToT_9.45d	gajAntaka-sahasrakam ToT_9.45d
   gandhadhūpair alaṃkṛtam ToT_4.19d	ganDa-DUpEH alaMkRtam ToT_4.19d
   gāṇapatyaindradīkṣitaḥ ToT_5.42d	gANapatya-Endra-dIkzitaH ToT_5.42d
   gāndhārī hastijihvikā ToT_8.6b	gAnDArI hastijihvikA ToT_8.6b
   gāyatrīṃ paramākṣarīm ToT_3.50d	gAyatrIm paramAkzarIm ToT_3.50d
   gāyatrīṃ paramākṣarīm ToT_3.53d	gAyatrIm paramAkzarIm ToT_3.53d
   gāyatrīṃ prapaṭhed dhīmān ToT_3.53a	gAyatrIm prapaWet DImAn ToT_3.53a
   gāṃ caiva bhūmisaṃsthaṃ ca ToT_6.38a	gAm ca-eva BUmi-saMsTam ca ToT_6.38a
   gudacchidre maheśāni ToT_3.3a	guda=-Cidre maheSAni ToT_3.3a
   gudachidre dakṣagulphaṃ ToT_10.4c	guda-Cidre dakza-gulPam ToT_10.4c
   gudaṃ pādadvayaṃ tathā ToT_6.32b	gudam pAda-dvayam taTA ToT_6.32b
   gurudevaṃ namettataḥ ToT_4.2d	guru-devam namet-tatas ToT_4.2d
   gurudevaṃ namet sudhīḥ ToT_3.59b	guru-devam namet suDIH ToT_3.59b
   gurudevaṃ namet sudhīḥ ToT_5.14b	guru-devam namet suDIH ToT_5.14b
   gurupaṅktiṃ pūjayitvā ToT_4.35c	guru-paFktim pUjayitvA ToT_4.35c
   gurupaṅktiṃ yajettataḥ ToT_3.76b	guru-paFktim yajet-tatas ToT_3.76b
   gurusthāne likhed yantraṃ ToT_4.44a	guru-sTAne liKet yantram ToT_4.44a
   gulphādijānusaṃdhiṣu ToT_7.12d	gulPa-Adi-jAnu-saMDizu ToT_7.12d
   guhyātiguhyagoptā tvaṃ ToT_5.28a	guhya-ati-guhya-goptA tvam ToT_5.28a
   gṛhamadhye dinatrayam ToT_9.44b	gRha-maDye dina-trayam ToT_9.44b
   gṛhāṇāsmatkṛtaṃ japam ToT_5.28b	gRhANa-asmat-kRtam japam ToT_5.28b
   godāvari sarasvati ToT_3.36b	godAvari sarasvati ToT_3.36b
   gauravarṇāṃ muktakeśīṃ ToT_9.39c	gOra-varNAm muktakeSIm ToT_9.39c
   'gnilakṣanāḍayaḥ sthitāḥ ToT_8.2d	agni-lakzanAxayaH sTitAH ToT_8.2d
   grahasaṃkhyasahasrakam ToT_7.14d	graha-saMKya-sahasrakam ToT_7.14d
   grīvāyāṃ hārabhūṣitām ToT_9.41b	grIvAyAm hAra-BUzitAm ToT_9.41b
   ghaṭaṃ saṃsthāpya yatnataḥ ToT_3.57b	Gawam saMsTApya yatnatas ToT_3.57b
   ṅeyuktaṃ ca namaścaret ToT_5.21b	Feyuktam ca namaH-caret ToT_5.21b
   ṅeyutaṃ kuru yatnataḥ ToT_5.24b	Feyutam kuru yatnatas ToT_5.24b
   caṇḍeśvaryai namo namaḥ ToT_4.43b	caNxeSvaryE namaH namaH ToT_4.43b
   caturdaśaṃ tu tanmadhye ToT_2.4a	caturdaSam tu tad-maDye ToT_2.4a
   caturdaśākṣarī vidyā ToT_3.18a	caturdaSa-akzarI vidyA ToT_3.18a
   caturdvārasamāyuktaṃ ToT_4.18c	catur-dvAra-samAyuktam ToT_4.18c
   caturbāhuṃ tathā dehaṃ ToT_6.6c	catur-bAhum taTA deham ToT_6.6c
   caturvargaphalapradam ToT_9.4d	caturvarga-Pala-pradam ToT_9.4d
   caturvarṣasahasrakam ToT_7.13d	catur-varza-sahasrakam ToT_7.13d
   caturvāraṃ śruvo'ṣṭakam ToT_9.11d	catur-vAram SruvaH-azwakam ToT_9.11d
   caturviṃśatibījakam ToT_4.8b	caturviMSati-bIjakam ToT_4.8b
   caturvedasuvistaram ToT_6.37d	catur-veda-su-vistaram ToT_6.37d
   catuṣpattre cāṣṭavāraṃ ToT_9.10c	catuzpattre ca-azwa-vAram ToT_9.10c
   catuḥpattre sureśvari ToT_8.18b	catur-pattre sureSvari ToT_8.18b
   candanaṃ ca lalāṭake ToT_4.43d	candanam ca lalAwake ToT_4.43d
   candanaṃ tu lalāṭake ToT_3.71b	candanam tu lalAwake ToT_3.71b
   candrabījajapādeva ToT_9.3c	candra-bIja-japAt-eva ToT_9.3c
   candrabījaṃ samuccārya ToT_3.23c	candrabIjam samuccArya ToT_3.23c
   candrasūryāgnirūpaṃ ca ToT_6.8c	candra-sUrya-agni-rUpam ca ToT_6.8c
   candrasūryātmakaṃ rephaṃ ToT_6.33a	candra-sUrya-Atmakam rePam ToT_6.33a
   candrādikaṃ yathā devi ToT_10.7a	candra-Adikam yaTA devi ToT_10.7a
   caraṇānniḥsṛte toye ToT_3.40a	caraNAt-niHsRte toye ToT_3.40a
   caramārṇaṃ sarandhraṃ ca ToT_9.17c	carama-arNam sa-ranDram ca ToT_9.17c
   cājñācakre sureśvari ToT_7.29d	ca-AjQAcakre sureSvari ToT_7.29d
   cāṇḍālyucchiṣṭapūrvikām ToT_3.70d	cANxAli-ucCizwa-pUrvikAm ToT_3.70d
   cāṇḍālyucchiṣṭapūrvikām ToT_3.79d	cANxAli-ucCizwa-pUrvikAm ToT_3.79d
   cātmānaṃ ca samarpayet ToT_3.69b	ca-AtmAnam ca samarpayet ToT_3.69b
   cānyat sarvaṃ samāpayet ToT_10.5d	ca-anyat sarvam samApayet ToT_10.5d
   cāmuṇḍākālikā parā ToT_3.19b	cAmuNxAkAlikA parA ToT_3.19b
   cāmuṇḍā kālikā smṛtā ToT_3.15d	cAmuNxA kAlikA smRtAH ToT_3.15d
   cāmṛtaṃ saptadhā japet ToT_4.29b	ca-amRtam saptaDA japet ToT_4.29b
   cārdhaṃ caiva dvisaptatiḥ ToT_7.25d	ca-arDam ca-eva dvisaptatiH ToT_7.25d
   cāṣṭamūrtiṃ prapūjayet ToT_5.23b	ca-azwamUrtim prapUjayet ToT_5.23b
   cāṣṭāṅgaṃ praṇamet sudhīḥ ToT_3.69d	ca-azwAFgam praNamet suDIH ToT_3.69d
   cāṣṭāṅgaṃ praṇamet sudhīḥ ToT_3.78b	ca-azwAFgam praNamet suDIH ToT_3.78b
   cāṣṭāṅgaṃ praṇamet sudhīḥ ToT_4.40b	ca-azwAFgam praNamet suDIH ToT_4.40b
   cāṣṭāṅgaṃ praṇamet sudhīḥ ToT_5.29d	ca-azwAFgam praNamet suDIH ToT_5.29d
   cāṣṭottaraśataṃ japet ToT_3.33d	ca-azwottaraSatam japet ToT_3.33d
   cāṣṭottaraśataṃ japet ToT_3.56b	ca-azwottaraSatam japet ToT_3.56b
   cintayecchattram uttamam ToT_4.20d	cintayet-Cattram uttamam ToT_4.20d
   cintayet parameśāni ToT_4.11a	cintayet parameSAni ToT_4.11a
   cirajīvī tathā bhavet ToT_10.7b	cirajIvI taTA Bavet ToT_10.7b
   cirajīvī yathā bhavet ToT_9.35d	cirajIvI yaTA Bavet ToT_9.35d
   caitanyaṃ jāyate priye ToT_6.28d	cEtanyam jAyate priye ToT_6.28d
   chinnamastādakṣiṇāṃśe ToT_1.12c	Cinnam-astA-dakziNa-aMSe ToT_1.12c
   chinnamastā nṛsiṃhikā ToT_10.9d	Cinnam-astAH nRsiMhikA ToT_10.9d
   chinne sūtre bhavenmṛtyuḥ ToT_9.21a	Cinne sUtre Bavet-mRtyuH ToT_9.21a
   chivarūpo na cānyathā ToT_6.12d	Siva-rUpaH na ca-anyaTA ToT_6.12d
   chivaḥ sākṣānna saṃśayaḥ ToT_6.46b	CivaH sAkzAt-na saMSayaH ToT_6.46b
   churikāṃ cāmṛtaṃ caiva ToT_4.28a	CurikAm ca-amRtam ca-eva ToT_4.28a
   jagatsaṃhārakārakam ToT_1.14d	jagat-saMhAra-kArakam ToT_1.14d
   jagatsaṃhārakārakaḥ ToT_1.22b	jagat-saMhAra-kArakaH ToT_1.22b
   jagadānandarūpakam ToT_1.15d	jagat-Ananda-rUpakam ToT_1.15d
   jagadānandarūpakam ToT_6.9b	jagadAnanda-rUpakam ToT_6.9b
   janalokaṃ tapaścaiva ToT_2.7a	janalokam tapaH-ca-eva ToT_2.7a
   janmakoṭisahasreṇa ToT_6.43a	janma-kowi-sahasreNa ToT_6.43a
   janmāntarasahasreṇa ToT_6.17c	janma-antara-sahasreNa ToT_6.17c
   japaṃ kṛtvā maheśāni ToT_4.37c	japam kRtvA maheSAni ToT_4.37c
   japaṃ caiva samarpayet ToT_5.29b	japam ca-eva samarpayet ToT_5.29b
   japaṃ samarpayeddhīmān ToT_3.68a	japam samarpayet-DImAn ToT_3.68a
   japād brahmapuraṃ vrajet ToT_9.30d	japAt brahma-puram vrajet ToT_9.30d
   japānmṛtyumavāpnuyāt ToT_9.20b	japAn-mRtyum-avApnuyAt ToT_9.20b
   jambudvīpaṃ madhyadeśe ToT_7.6a	jambudvIpam maDyadeSe ToT_7.6a
   jalaṃ saṃśodhya hastau ca ToT_4.3a	jalam saMSoDya hastO ca ToT_4.3a
   jalādutthāya deveśi ToT_3.41a	jalAt-utTAya deveSi ToT_3.41a
   jānudvayaṃ karābhyāṃ ca ToT_2.18c	jAnu-dvayam karAByAm ca ToT_2.18c
   jānvādigudaparyantaṃ ToT_7.13a	jAnu-Adi-guda-paryantam ToT_7.13a
   jāyate parameśvari ToT_6.27b	jAyate parameSvari ToT_6.27b
   jitvā mṛtyuṃ jarāṃ rogaṃ ToT_9.24a	jitvA mRtyum jarAm rogam ToT_9.24a
   jitvā mṛtyuṃ maheśāni ToT_7.20a	jitvA mRtyum maheSAni ToT_7.20a
   jitvā mṛtyuṃ maheśāni ToT_7.22a	jitvA mRtyum maheSAni ToT_7.22a
   jihvākoṭisahasreṇa ToT_6.17a	jihvA-kowi-sahasreNa ToT_6.17a
   jihvāṃ paramayatnataḥ ToT_10.2b	jihvAm parama-yatnataH ToT_10.2b
   jīvanmukto bhavennaraḥ ToT_3.9d	jIvanmuktaH Bavet-naraH ToT_3.9d
   jīvanyāsaṃ tataḥ kṛtvā ToT_3.75a	jIva-nyAsam tatas kRtvA ToT_3.75a
   jīvanyāsaṃ tataḥ kṛtvā ToT_4.34c	jIva-nyAsam tatas kRtvA ToT_4.34c
   jīvanyāsādikaṃ kṛtvā ToT_9.43a	jIva-nyAsa-Adikam kRtvA ToT_9.43a
   jīvanyāso vidhīyate ToT_5.16b	jIva-nyAsaH viDIyate ToT_5.16b
   jyotirmaṇḍalamuttamam ToT_4.18b	jyotiH-maNxalam-uttamam ToT_4.18b
   jvalantī locanatraye ToT_7.33b	jvalantI locana-traye ToT_7.33b
   ḍākinīsahito brahmā ToT_7.27a	xAkinI-sahitaH brahmA ToT_7.27a
   ḍākinīsahito brahmā ToT_8.13c	xAkinI-sahitaH brahmA ToT_8.13c
   ḍāmarākhye mayoditam ToT_9.47d	xAmara-AKye mayA-uditam ToT_9.47d
   ḍāmaroktavidhānataḥ ToT_9.25b	xAmara-ukta-viDAnataH ToT_9.25b
   takāraśca prajāpatiḥ ToT_6.45d	takAraH-ca prajApatiH ToT_6.45d
   takāreṇa yonideśaṃ ToT_6.32a	takAreNa yoni-deSam ToT_6.32a
   tajjalaṃ cābhimantritam ToT_3.45d	tat-jalam ca-aBimantritam ToT_3.45d
   tajjalena saptavāram ToT_3.43c	tad-jalena sapta-vAram ToT_3.43c
   tajjalair dvāram abhyukṣya ToT_3.58a	tad-jalEH dvAram aByukzya ToT_3.58a
   tataśca pūjayed devīṃ ToT_9.45a	tatas-ca pUjayet devIm ToT_9.45a
   tataśca prajapenmantraṃ ToT_9.46c	tatas-ca prajapet-mantram ToT_9.46c
   tataścānyaṃ prapūjayet ToT_5.38d	tatas-ca-anyam prapUjayet ToT_5.38d
   tataścāvāhanaṃ kṛtvā ToT_4.33c	tatas-ca-AvAhanam kRtvA ToT_4.33c
   tataścāvāhanaṃ caret ToT_3.74d	tatas-ca-AvAhanam caret ToT_3.74d
   tataścaivaṃ karomyaham ToT_5.20d	tatas-ca-evam karomi-aham ToT_5.20d
   tatastu cintayed dhīmān ToT_4.12a	tatas-tu cintayet DImAn ToT_4.12a
   tatastu parameśāni ToT_9.9c	tatas-tu parameSAni ToT_9.9c
   tatastu prāṇamantreṇa ToT_2.13c	tatas-tu prANa-mantreNa ToT_2.13c
   tatastoyaṃ samādāya ToT_5.29a	tatas-toyam samAdAya ToT_5.29a
   tataḥ piṅgalayā devi ToT_3.48a	tatas piFgalayA devi ToT_3.48a
   tataḥ pīṭhamanuṃ japet ToT_4.6d	tatas pIWa-manum japet ToT_4.6d
   tataḥ pīṭhaṃ vicintayet ToT_4.3d	tatas pIWam vicintayet ToT_4.3d
   tataḥ puṣpaviśodhanam ToT_4.5b	tatas puzpa-viSoDanam ToT_4.5b
   tataḥ praṇamya vidhivat ToT_3.34a	tatas praNamya viDivat ToT_3.34a
   tataḥ siddhirbhaved devi ToT_9.47a	tatas sidDiH-Bavet devi ToT_9.47a
   tato japenmahāmantraṃ ToT_3.53c	tatas japet-mahAmantram ToT_3.53c
   tato japenmahāmantraṃ ToT_9.44c	tatas japet-mahAmantram ToT_9.44c
   tato japenmaheśāni ToT_5.34c	tatas japet-maheSAni ToT_5.34c
   tato devi pracodayāt ToT_3.55d	tatas devi pracodayAt ToT_3.55d
   tato brahmamayaṃ dhyātvā ToT_4.32c	tatas brahma-mayam DyAtvA ToT_4.32c
   tato mantratrayaṃ japet ToT_4.27d	tatas mantra-trayam japet ToT_4.27d
   tato vahnivadhūṃ nyaset ToT_3.20d	tatas vahni-vaDUm nyaset ToT_3.20d
   tato vāyuṃ pibet śanaiḥ ToT_10.2d	tatas vAyum pibet SanEs ToT_10.2d
   tatkṣaṇāc cañcalāpāṅgi ToT_1.23c	tad-kzaNAt caQcala-apAFgi ToT_1.23c
   tattoyaṃ tu virecayet ToT_3.48b	tat-toyam tu virecayet ToT_3.48b
   tattvajñānaṃ ca mānaṃ ca ToT_4.46a	tattva-jQAnam ca mAnam ca ToT_4.46a
   tattvanyāsaṃ samācaret ToT_3.63b	tattva-nyAsam samAcaret ToT_3.63b
   tattvasvīkāramācaret ToT_4.38b	tattva-svIkAram-Acaret ToT_4.38b
   tatphalaṃ koṭiguṇitaṃ ToT_5.43c	tat-Palam kowi-guNitam ToT_5.43c
   tatphalāt koṭibhāgaikaṃ ToT_9.34a	tad-PalAt kowi-BAga-ekam ToT_9.34a
   tatra devīṃ cintayecca ToT_4.21c	tatra devIm cintayet-ca ToT_4.21c
   tatra līnāni deveśi ToT_4.8c	tatra lInAni deveSi ToT_4.8c
   tatrādau parameśāni ToT_5.14a	tatra-AdO parameSAni ToT_5.14a
   tatsarvaṃ śrotumicchāmi ToT_7.24c	tat-sarvam Srotum-icCAmi ToT_7.24c
   tathā ca guṇasūcakam ToT_6.47d	taTA ca guNa-sUcakam ToT_6.47d
   tathā ca tryakṣaraṃ mantraṃ ToT_6.24a	taTA ca tri-akzaram mantram ToT_6.24a
   tathā cānandagāyatrīm ToT_4.26c	taTA ca-Ananda-gAyatrIm ToT_4.26c
   tathā cāṣṭādaśākṣarīm ToT_9.23b	taTA ca-azwAdaSa-akzarIm ToT_9.23b
   tathā navākṣarī parā ToT_6.56b	taTA nava-akzarI parA ToT_6.56b
   tathā nirīkṣaṇaṃ kāryaṃ ToT_4.16a	taTA nirIkzaNam kAryam ToT_4.16a
   tathā pañcākṣaraṃ paśya ToT_6.54a	taTA paQcAkzaram paSya ToT_6.54a
   tathā pañcākṣareṇa tu ToT_6.54d	taTA paQcAkzareNa tu ToT_6.54d
   tathā vidyā ca tryakṣarī ToT_3.16d	taTA vidyA ca tri-akzarI ToT_3.16d
   tathā vidyā ca vyakṣarī ToT_6.55d	taTA vidyA ca vyakzarI ToT_6.55d
   tathā vidyā ṣaḍakṣarī ToT_6.55b	taTA vidyA zaz-akzarI ToT_6.55b
   tathā sarvāṅguliḥ śive ToT_6.7b	taTA sarva-aFguliH Sive ToT_6.7b
   tathaiva nivaset sadā ToT_8.13d	taTA-eva nivaset sadA ToT_8.13d
   tathaiva yonimudrayā ToT_7.21b	taTA-eva yonimudrayA ToT_7.21b
   tathaiva ṣoḍaśī vidyā ToT_6.55c	taTA-eva zoxaSI vidyA ToT_6.55c
   tathaiva sarvasaṃdhiṣu ToT_8.4b	taTA-eva sarva-saMDizu ToT_8.4b
   tathaivābhyāsayogena ToT_7.21c	taTA-eva-aByAsa-yogena ToT_7.21c
   tathaivāṣṭākṣarī vidyā ToT_6.56a	taTA-eva-azwa-akzarI vidyA ToT_6.56a
   tadadhaścintayenmantrī ToT_4.21a	tad-aDas-cintayet-mantrI ToT_4.21a
   tadadhaḥ śaktiyogataḥ ToT_9.6b	tad-aDas Sakti-yogataH ToT_9.6b
   tadā pañcasahasrābdaṃ ToT_9.26a	tadA paQca-sahasra-abdam ToT_9.26a
   tadā mantraṃ ṣaḍakṣaram ToT_5.5d	tadA mantram zaz-akzaram ToT_5.5d
   tadā muktipradaṃ mahat ToT_6.14b	tadA mukti-pradam mahat ToT_6.14b
   tadā vaktuṃ na śakyate ToT_2.24d	tadA vaktum na Sakyate ToT_2.24d
   tadaiva parameśāni ToT_8.17c	tadA-eva parameSAni ToT_8.17c
   tadaiva prajapenmantram ToT_9.19a	tadA-eva prajapet-mantram ToT_9.19a
   tadaiva prajapenmantraṃ ToT_6.29a	tadA-eva prajapet-mantram ToT_6.29a
   tadaiva mantracaitanyaṃ ToT_6.27c	tadA-eva mantra-cEtanyam ToT_6.27c
   tadaiva śivarūpakaḥ ToT_1.25d	tadA-eva Siva-rUpakaH ToT_1.25d
   tadaiva sahasā devi ToT_1.23a	tadA-eva sahasA devi ToT_1.23a
   tadaiva sahasā devi ToT_5.8c	tadA-eva sahasA devi ToT_5.8c
   tadgarbhasthā ca yā śaktiḥ ToT_9.13e	tad-garBa-sTA ca yA SaktiH ToT_9.13e
   tadbāhye tu jalāntakaḥ ToT_7.7d	tad-bAhye tu jala-antakaH ToT_7.7d
   tadbāhye dadhisāgaraḥ ToT_7.6d	tad-bAhye daDi-sAgaraH ToT_7.6d
   tadbāhye pāṭalādvīpaṃ ToT_7.7c	tad-bAhye pAwalA-dvIpam ToT_7.7c
   tadbāhye lavaṇāmbudhiḥ ToT_7.6b	tad-bAhye lavaNa-ambuDiH ToT_7.6b
   tadbāhye lavaṇāmbudhiḥ ToT_7.26b	tad-bAhye lavaNa-ambuDiH ToT_7.26b
   tadbāhye śālmalīdvīpaṃ ToT_7.7a	tad-bAhye SAlmalI-dvIpam ToT_7.7a
   tadrūpaṃ kṣudrarūpakam ToT_2.2d	tad-rUpam kzudra-rUpakam ToT_2.2d
   tadrūpaṃ pakṣirūpaṃ hi ToT_6.51c	tad-rUpam pakzi-rUpam hi ToT_6.51c
   tad vadasva mayi prabho ToT_8.1d	tat vadasva mayi praBo ToT_8.1d
   tadvākyaṃ prārthanāvākyaṃ ToT_9.47c	tat-vAkyam prArTanA-vAkyam ToT_9.47c
   tantrāṇāṃ sāramuttamam ToT_5.45b	tantrANAm sAram-uttamam ToT_5.45b
   tanno ghore maheśāni ToT_3.52c	tat-naH Gore maheSAni ToT_3.52c
   tanmadhye tritayaṃ śubham ToT_2.4b	tad-maDye tritayam SuBam ToT_2.4b
   tanmadhye parameśāni ToT_2.4c	tad-maDye parameSAni ToT_2.4c
   tanmadhye vedikāṃ dhyāyen ToT_4.20a	tad-maDye vedikAm DyAyet ToT_4.20a
   tanmadhye sāgarāḥ sarve ToT_8.11c	tad-maDye sAgarAH sarve ToT_8.11c
   tanmantraṃ vada īśāna ToT_3.23a	tad-mantram vada ISAnaH ToT_3.23a
   tameva dakṣiṇāmūrtiṃ ToT_1.15c	tam-eva dakziNAmUrtim ToT_1.15c
   tayormadhye ca pātālās ToT_7.37c	tayoH-maDye ca pAtAlAH ToT_7.37c
   tarpayet kuladevaṃ ca ToT_3.50a	tarpayet kuladevam ca ToT_3.50a
   tarpayediṣṭadevatām ToT_4.31d	tarpayet-izwadevatAm ToT_4.31d
   talātalaśataṃ priye ToT_7.35d	talAtala-Satam priye ToT_7.35d
   tasmād vahnirna cānyathā ToT_6.10d	tasmAt vahniH-na ca-anyaTA ToT_6.10d
   tasmānmāyā prakīrtitā ToT_6.11d	tasmAt-mAyA prakIrtitAH ToT_6.11d
   tasmai dattvā svayaṃ nītvā ToT_4.38c	tasmE dattvA svayam nItvA ToT_4.38c
   tasya kiṃcinnivedayet ToT_5.39d	tasya kiMcid-nivedayet ToT_5.39d
   tasya dhyānaṃ pravakṣyāmi ToT_5.17a	tasya DyAnam pravakzyAmi ToT_5.17a
   tasya pūjāphalaṃ caiva ToT_5.44c	tasya pUjA-Palam ca-eva ToT_5.44c
   tasya mṛtyurna cānyathā ToT_5.13b	tasya mRtyuH-na ca-anyaTA ToT_5.13b
   tasya saṃdarśanārthāya ToT_2.10c	tasya saMdarSana-arTAya ToT_2.10c
   tasya siddhirna jāyate ToT_6.45b	tasya sidDiH-na jAyate ToT_6.45b
   tasyopari paraṃ binduṃ ToT_4.13c	tasya-upari param bindum ToT_4.13c
   tasyopari punardhyāyet ToT_4.12c	tasya-upari punar-DyAyet ToT_4.12c
   tasyopari punar dhyāyed ToT_4.13a	tasya-upari punar DyAyet ToT_4.13a
   tāni santi kalevare ToT_2.2b	tAni santi kalevare ToT_2.2b
   tārā devī nīlarūpā ToT_10.9a	tArA devI nIla-rUpA ToT_10.9a
   tārāyā dakṣiṇe bhāge ToT_1.4c	tArAyAH dakziNe BAge ToT_1.4c
   tārāyā mantrarājaṃ tu ToT_3.22a	tArAyAH mantrarAjam tu ToT_3.22a
   tārāyā vada sāmpratam ToT_4.1b	tArAyAH vada sAmpratam ToT_4.1b
   tārāyāḥ pūjanaṃ mahat ToT_4.2b	tArAyAH pUjanam mahat ToT_4.2b
   tārāstrarahitā tryarṇā ToT_3.28a	tAra-astra-rahitA tri-arNA ToT_3.28a
   tāriṇī kāmarūpiṇī ToT_6.53d	tAriNI kAmarUpiNI ToT_6.53d
   tāriṇī bhavavāridhau ToT_6.29f	tAriNI Bava-vAriDO ToT_6.29f
   tāriṇī mūrtimat svayam ToT_6.51b	tAriNI mUrtimat svayam ToT_6.51b
   tāriṇī ramate sadā ToT_1.7b	tAriNI ramate sadA ToT_1.7b
   tāriṇīṃ vātha sundarīm ToT_9.8b	tAriNIm vA-aTa sundarIm ToT_9.8b
   tālatrayaṃ ca digbandhaḥ ToT_3.73c	tAla-trayam ca digbanDaH ToT_3.73c
   tālatrayaṃ choṭikābhir ToT_4.23c	tAla-trayam CowikABiH ToT_4.23c
   tālumūle nyaset paścāt ToT_10.2c	tAlu-mUle nyaset paScAt ToT_10.2c
   tilakaṃ kulavartmataḥ ToT_3.41b	tilakam kula-vartmataH ToT_3.41b
   tiṣṭhanti parameśvari ToT_7.37d	tizWanti parameSvari ToT_7.37d
   tīrthamāvāhanaṃ caret ToT_3.42d	tIrTam-AvAhanam caret ToT_3.42d
   tena rūpeṇa deveśi ToT_7.8c	tena rUpeNa deveSi ToT_7.8c
   tena sārdhaṃ mahādevī ToT_1.8c	tena sArDam mahAdevI ToT_1.8c
   tena sārdhaṃ mahāmāyā ToT_1.7a	tena sArDam mahAmAyA ToT_1.7a
   tenaiva pārthive liṅge ToT_8.22a	tena-eva pArTive liFge ToT_8.22a
   tenaiva vartate vāyur ToT_8.16a	tena-eva vartate vAyuH ToT_8.16a
   teṣāṃ mānena deveśi ToT_7.25c	tezAm mAnena deveSi ToT_7.25c
   trayaṃ digbandhanaṃ tataḥ ToT_3.59d	trayam digbanDanam tatas ToT_3.59d
   trāsayuktā kuṇḍalinī ToT_2.14c	trAsa-yuktA kuNxalinI ToT_2.14c
   trikoṇe triḥ prapūjayet ToT_4.25d	trikoNe tris prapUjayet ToT_4.25d
   triguṇo bhojanādbahiḥ ToT_7.17d	triguNaH BojanAt-bahis ToT_7.17d
   tripuraścaraṇaṃ śṛṇu ToT_6.21d	tripuraH-caraNam SRNu ToT_6.21d
