   ṣaṭ sandarbha nāmaka 	zaw sandarBa nAmaka 
   satyabhāmā saṃvādīya kārttika māhātmye deva gaṇa kṛta māyā stutau  	satyaBAmA  saMvAdIya kArttika mAhAtmye deva  gaNa kRta  mAyA  stutO  
   iti stutavantas te devās tejo maṇḍala saṃsthitam |	iti stutavantaH te devAH tejo  maNxala  saMsTitam |
   dadṛśur gagane tatra tejo vyāpta dig antaram ||	dadRSuH gagane tatra tejaH  vyApta diS  antaram ||
   tan madhyād bhāratīṃ sarve śuśruvur vyoma cāriṇīm |	tan  maDyAt BAratIm sarve SuSruvuH vyoma cAriNIm |
   aham eva tridhā bhinnā tiṣṭhāmi trividhair guṇaiḥ || ity ādi ||	aham eva triDA BinnA tizWAmi triviDEH guNEH || iti Adi ||
   uttarasyāḥ pādmottara khaṇḍe asaṅkhyaṃ prakṛti sthānaṃ niviḍa dhvāntam	uttarasyAH pAdma uttara   KaNxe asaFKyam prakRti sTAnam nivixa  DvAntam
   avayayam iti || śrī bhagavān brahmāṇam ||16||	avayayam iti || SrI  BagavAn brahmANam ||16||
   atha svarūpa bhūtākhyām antaraṅgāṃ śaktiṃ sarvasyāpi pravṛtty 	aTa svarUpa BUta AKyAm antaraFgAm Saktim sarvasya api pravRtti  
   anyathānupapattyā tāvad āha dvābhyām  	anyaTA anupapattyA tAvat Aha dvAByAm  
   yan na spṛśanti na vidur mano buddhīndriyāsavaḥ |	yat na spRSanti na viduH mano budDi indriya AsavaH |
   antar bahiś ca vitataṃ vyomavat tan nato'smy aham || [BhP 6.16.23]	antar bahis ca vitatam vyoma vat tat nataH asmi aham || [Bhj 6.16.23]
   dehendriya prāṇa mano dhiyo'mī	deha indriya  prANa mano  DiyaH amI
   yad aṃśa biddhāḥ pracaranti karmasu |	yat  aMSa  bidDAH pracaranti karmasu |
   naivānyadā loham ivāprataptaṃ	na eva anyadA loham iva aprataptam
   sthāneṣu tad draṣṭr upadeśam eti || [BhP 6.16.24]	sTAnezu tat  drazwr upadeSam eti || [Bhj 6.16.24]
   ṭīkā ca   yad brahma vyomavad vitatam api asavaḥ prāṇāḥ kriyāśaktya na	wIkA ca  yat brahma vyoma vat vitatam api asavaH prANAH kriyA Saktya na
   spṛśanti, mana ādīni ca jñāna śaktyā na viduḥ, tad brahma nato'smi | teṣaṃ	spRSanti, mana a AdIni ca jQAna  SaktyA na viduH, tat brahma nataH asmi | tezam
   taj jñāne hetum āha | dehendriyādayo'mī yad aṃśa biddhā yac 	taj  jQAne hetum Aha | deha indriya AdayaH amI yat  aMSa  bidDAH yac 
   caitanyāṃśenāviṣṭāḥ santaḥ karmasu svasvaviṣayeṣu pracaranti | yathā	cEtanya aMSena AvizwAH santaH karmasu sva sva vizayezu pracaranti | yaTA
   aprāptaṃ lohaṃ na dahati | ato yathā loham agni śaktyaiva dāhakaṃ sat	aprAptam loham na dahati | atas yaTA loham agni SaktyA eva dAhakam sat 
   agniṃ	agnim
   na dahati, evaṃ brahma gata jñāna kriyā śaktibhyāṃ pravartamānā dehādayas	na dahati, evam brahma gata  jQAna  kriyA  SaktiByAm pravartamAnAH deha AdayaH 
   tan na spṛśanti na viduś ceti bhāvaḥ | ity eṣā |	tat na spRSanti na viduH ca iti BAvaH | iti ezA |
   atrādvaita śārīrake'pi sāṅkhyam ākṣipyoktam, yathā   atha punaḥ sākṣi 	atra advEta  SArIrake api sAFKyam Akzipya uktam, yaTA  aTa punar sAkzi 
   nimittam īkṣitṛtvaṃ pradhānasya kalpyeta yathāgni nimittam ayaḥ piṇḍāder	nimittam IkzitR tvam praDAnasya kalpyeta yaTA agni nimittam ayaH piNxa AdeH 
   dagdhṛtvaṃ, tathā sati yan nimittam īkṣitatṛtvaṃ pradhānasya, tad eva	dagDR tvaM, taTA sati yat nimittam Ikzita tR tvam praDAnasya, tat eva
   sarvajñaṃ mukhyaṃ jagataḥ kāraṇam iti [Śaṅkara bhāṣya, 1.1.5] |	sarvajQam muKyam jagataH kAraNam iti [ŚaFkara  BAzya, 1.1.5] |
   śrutiś cātra  	SrutiH ca atra  
   tam eva bhāntam anubhāti [KaṭhaU 2.2.15]	tam eva BAntam anuBAti [KaWaU 2.2.15]
   ko hy evānyāt kaḥ prāṇyāt yad eṣa ākāśa ānando na syāt, cakṣuṣaś	kaH hi eva anyAt kaH prANyAt yat ezaH AkASaH AnandaH na syAt, cakzuzaH 
   cakṣurūta śrotrasya śrotram ity ādyā | [TaittU 2.7]	cakzurUta Srotrasya Srotram iti AdyA | [TEttU 2.7]
   atha prakṛtasyāvaśiṣṭatā ṭīkā  jīvas tarhi daṣṭṛtvāj jānātu, nety āha	aTa prakRtasya avaSizwa tA wIkAH  jIvaH tarhi dazwR tvAt jAnAtu, na iti Aha
   sthāneṣu jāgrad ādiṣu draṣṭr apadeśaṃ draṣṭṛ saṃjñāṃ tad evaiti prāpnoti	sTAnezu jAgrat  Adizu drazwR  apadeSam drazwR  saMjQAm tat eva eti prApnoti
   | nānyo jīvo nāmāsti nānyo'to'sti draṣṭetyādi śruteḥ [BAU 3.17.23] | yad	| na anyaH jIvaH nAma asti na anyaH atas asti drazwA ityAdi SruteH [BAU 3.17.23] | yat 
   vā	vA
   draṣṭr apadeśaṃ draṣṭṛ saṃjñaṃ jīvam api tadaiveti jānāti, na tu jīvas	drazwR  apadeSam drazwR  saMjQam jIvam api tadA eva iti jAnAti, na tu jIvas
   taj 	taj 
   jānātīty arthaḥ ity eṣā |	jAnAti iti arTaH iti ezA |
   tad uktam  	tat uktam  
   tritayaṃ tatra yo veda sa ātmā svāśrayāśraya iti | [BhP 2.10.9]	tritayam tatra yaH veda saH AtmA su a ASraya ASrayaH iti | [Bhj 2.10.9]
   śrutau ca   jīvo nāmāto'nyaḥ svayaṃ siddho nāsti parantu tadātmaka evety	SrutO ca  jIvaH nAma atas anyaH svayam sidDaH na asti parantu tad AtmakaH eva iti 
   arthaḥ | tathāto'nyo draṣṭā nāsti, sarva draṣṭus tasyāparo draṣṭā nāstīty	arTaH | taTA atas anyaH drazwA nAsti, sarva drazwuH tasya aparaH drazwA na asti iti 
   arthaḥ iti vyākhyeyam ||	arTaH iti vyAKyeyam ||
   śrī nāradaś citraketum ||17||	SrI nAradaH citraketum ||17||
   kiṃ ca  	kim ca  
   deho'savo'kṣā manavo bhūtamātrā	dehaH asavaH akzAH manavaH BUtamAtrA
   nātmanam anyaṃ ca viduḥ paraṃ yat |	na Atmanam anyam ca viduH param yat |
   sarvaṃ pumān veda guṇāṃś ca taj jño	sarvam pumAn veda guNAn ca taj jQaH 
   na veda sarvajñam anantam īḍe || [BhP 6.4.25]	na veda sarvajQam anantam Ixe || [Bhj 6.4.25]
   dehaś cāsavaś ca prāṇā akṣāṇīndriyāṇi ca, manavo'ntaḥkaraṇāni, bhūtāni	dehaH ca AsavaH ca prANAH akzANi indriyANi ca, manavaH antaHkaraNAni, BUtAni
   ca, mātrāś ca tan mātrāṇi, ātmānaṃ sva svarūpam, anyaṃ svasvaviṣaya 	ca, mAtrAH ca tan  mAtrANi, AtmAnam sva  svarUpam, anyam sva sva vizaya 
   vargaṃ, tayoḥ paraṃ devatā vargaṃ ca na viduḥ | pumān jīvas tu sarvam	vargaM, tayoH param devatA  vargam ca na viduH | pumAn jIvaH tu sarvam
   ātmānaṃ sva svarūpaṃ, tad anyaṃ pramātāraṃ, tayoḥ padaṃ dehādy artha 	AtmAnam sva  svarUpaM, tat anyam pramAtAraM, tayoH padam deha Adi  arTa 
   jātaṃ tad adhiṣṭhātṛ devatā vargaṃ ca veda, tathā dehādi mūla bhūtān	jAtam tad  aDizWAtR  devatA  vargam ca veda, taTA deha Adi mUla BUtAn
   guṇāṃś ca sattvādīn veda |	guNAn ca sattva AdIn veda |
   tat taj jño'py asau yaṃ sarvajñaṃ dehādijīvāntāśeṣa jñātāraṃ na veda tam	tat taj  jQaH api asO yam sarvajQam deha Adi jIva anta aSeza  jQAtAram na veda tam
   anantaṃ mahad guṇatvād yam anantam āhur [BhP 1.18.19] iti | ataeva hi	anantam mahat  guNa tvAt yam anantam AhuH [Bhu 1.18.19] iti | ataeva hi
   yatra	yatra
   hi dvaitam iva bhavati tad itara itaraṃ paśyatīty ārabhya [BAU 4.5.15]	hi dvEtam iva Bavati tat itaraH itaram paSyati iti AraBya [BAU 4.5.15]
   jīvasyetara dṛṣṭatvam uktvā, yatra svasya sarvam ātmaivābhūt tat kena kaḥ	jIvasya itara  dRzwa tvam uktvA, yatra svasya sarvam AtmA eva aBUt tat kena kaH
   paśyed ity ādinā tasya paramātma draṣṭṛtvaṃ niṣidhya paramātmanas tu tat	paSyet iti AdinA tasya paramAtma  drazwR tvam niziDya paramAtmanaH tu tat 
   tat sarva draṣṭṛtvaṃ sva draṣṭṛtvam apy astīti, vijñātāram are kena	tat sarva  drazwR tvam sva drazwR tvam api asti iti, vijQAtAram are kena
   vijānīyād ity [BAU 2.4.14] anenāha |	vijAnIyAt iti [BAU 2.4.14] anena Aha |
   ayam arthaḥ | yatra māyā vaibhave dvaitam iva bhavati, tan mūlakatvāt tad	ayam arTaH | yatra mAyA a  vEBave dvEtam iva Bavati, tat mUlaka tvAt tat 
   ananyad api māyākhyācintya śakti hetukatayā jaḍa malina naśvaratvena tad 	ananyat api mAyA AKya acintya  Sakti  hetuka tayA jaxa  malina naSvara tvena tat  
   vilakṣaṇatayā samāditaṃ tataḥ svatantra sattākam iva muhur jāyate, tat	vilakzaNa tayA samAditam tatas svatantra  sattAkam iva muhur jAyate, tat 
   tatra	tatra
   itaro jīva itaraṃ padārthaṃ paśyati, tasya karaṇa dṛśyayor mitho yogyatvād	itaraH jIvaH itaram padArTam paSyati, tasya karaNa dRSyayoH miTas yogya tvAt 
   iti	iti
   bhāvaḥ | yatra tu svarūpa vaibhave tasya jīvasya raśmi sthānīyasya	BAvaH | yatra tu sva rUpa  vEBave tasya jIvasya raSmi  sTAnIyasya
   maṇḍala 	maNxala 
   sthānīyo ya ātmā paramātmā, sa eva svarūpa śaktyā sarvam abhūt,	sTAnIyaH yaH AtmA paramAtmA, saH eva svarUpa  SaktyA sarvam aBUt ,
   anāditaeva bhavann āste, na tu tat praveśena, tat tatra itaraḥ sa jīvaḥ	anAditaA iva Bavan Aste, na tu tat  praveSena, tat tatra itaraH sa jIvaH
   kenetareṇa karaṇa bhūtena kaṃ padārthaṃ paśyet, na kenāpi kam api paśyed	kena itareNa karaNa BUtena kam padArTam paSyet, na kena api kam api paSyet 
   ity arthaḥ | na hi raśmayaḥ sva śaktyā sūrya maṇḍalāntargata vaibhavaṃ	iti arTaH | na hi raSmayaH sva SaktyA sUrya  maNxala antargata  vEBavam
   prakāśayeyur na cārciṣo vahniṃ nirdaheyur iti bhāvaḥ | tad evaṃ sati yasya	prakASayeyuH na ca arcizaH vahnim nirdaheyuH iti BAvaH | tat evam sati yasya
   khalv evam anantaṃ svarūpa vaibhavaṃ taṃ vijñātāraṃ sarvajñaṃ	Kalu evam anantam sva rUpa  vEBavam tam vijQAtAram sarvajQam
   paramātmānaṃ kenetareṇa karaṇena vijānīyāt na kenāpīty arthaḥ | tad evaṃ	paramAtmAnam kena itareNa karaNena vijAnIyAt na kena api iti arTaH | tat evam
   jñāna śaktau tatra siddhāyāṃ kriyecchā śaktī ca lakṣyete || dakṣaḥ śrī 	jQAna  SaktO tatra sidDAyAm kriyA icCA SaktI ca lakzyete || dakzaH SrI 
   puruṣottamam ||18||	puruzottamam ||18||
   vaśīkṛta māyatvenāpi tām āha  	vaSIkRta  mAya tvena api tAm Aha  
   sa tvaṃ hi nitya vijitātma guṇaḥ sva dhāmnā	sa tvam hi nitya  vijita Atma  guNaH sva  DAmnA
   kālo vaśī kṛta visṛjya visarga śaktiḥ | iti [BhP 7.9.22]	kAlaH vaSI kRta visRjya  visarga  SaktiH | iti [Bhj 7.9.22]
   sva dhāmnā cic chaktyā | yataḥ kālo māyā prerakaḥ iti ṭīkā ca | ātmā tv	sva  DAmnA cic  SaktyA | yatas kAlaH mAyA prerakaH iti wIkA ca | AtmA tu 
   atra jīvaḥ, tasya guṇāḥ sattvādayaḥ, sattvaṃ rajas tama iti guṇā jīvasya	atra jIvaH, tasya guNAH sattva AdayaH, sattvam rajaH tamaH iti guNAH jIvasya
   naiva	na eva
   me	me
   ity [BhP 11.25.12] uktatvāt || prahlādaḥ śrī narasiṃham ||19||	iti [Bhu 11.25.12] ukta tvAt || prahlAdaH SrI narasiMham ||19||
   tathā ca  	taTA ca  
   karoti viśva sthiti saṃyamodayaṃ	karoti viSva  sTiti  saMyama udayam
   yasyepsitaṃ nepsitam īkṣitur guṇaiḥ |	yasya Ipsitam na Ipsitam IkzituH guNEH |
   māyā yathāyo bhramate tad āśrayaṃ	mAyA yaTA ayaH Bramate tad  ASrayam
   grāvṇo namas te guṇa karma sākṣiṇe || [BhP 5.18.38]	grAvNaH namaH te guNa  karma  sAkziNe || [Bhj 5.18.38]
   ṭīkā ca   yasyekṣitur jīvārtham īpsitam | atyantānicchāyām īkṣaṇāyogāt	wIkA ca  yasya IkzituH jIva arTam Ipsitam | atyantAn icCAyAm IkzaNa ayogAt
   | svārthaṃ tu nepsitam | viśva sthity ādi sva guṇair māyā karoti | tasyā	| sva arTam tu na Ipsitam | viSva  sTiti  Adi sva guNEH mAyA karoti | tasyAH 
   jaḍatve'pīśvara sannidhānāt pravṛtti dṛṣṭāntenāha, yathāyo lohaṃ	jaxa tve api ISvara  sanniDAnAt pravRtti dRzwAntena aha, yaTA ayaH loham
   grāvṇo'yaskāntān nimittād bhramati | tad āśrayaṃ tad abhimukhaṃ sat |	grAvNaH ayaskAntAn nimittAt Bramati | tad  ASrayam tad  aBimuKam sat |
   guṇānāṃ karmaṇāṃ ca jīvādṛṣṭānāṃ sākṣiṇaṃ tasmai namaḥ ity eṣā || bhūḥ	guNAnAm karmaNAm ca jIva adRzwAnAm sAkziNam tasmE namaH iti ezA || BUH
   śrī varāha devam ||20||	SrI varAha devam ||20||
   atha māyā śakti śāvalye kaivalyānupapatteḥ kaivalye'py anubhavābhāve tad 	aTa mAyA  Sakti SAvalye kEvalya anupapatteH kEvalye api anuBava aBAve tat  
   ānandasyārthatānupapatteś cānyathānupapatti pramāṇatas tām evāha  	Anandasya arTa tAnupapatteH ca anyaTA anupapatti pramANataH tAm eva Aha  
   tvam ādyaḥ puruṣaḥ sākṣād	tvam AdyaH puruzaH sAkzAt 
   īśvaraḥ prakṛteḥ paraḥ |	ISvaraH prakRteH paraH |
   māyāṃ vyudasya cic chaktyā	mAyAm vyudasya cic  SaktyA
   kaivalye sthita ātmani || [BhP 1.7.23]	kEvalye sTitaH Atmani || [Bhj 1.7.23]
   tvaṃ sākṣāt svayam evādyaḥ puruṣo bhagavān | tathā ya īśvaraḥ antaryāmy 	tvam sAkzAt svayam eva AdyaH puruzaH BagavAn | taTA yaH ISvaraH antaryAmy 
   ākhyaḥ puruṣaḥ so'pi tvam eva | tad evam ubhayasminn api prakāśe prakṛteḥ	AKyaH puruzaH saH api tvam eva | tat evam uBayasmin api prakASe prakRteH
   parastad asaṅgī |	paraH tad  asaFgI |
   nanu kathaṃ kevalānubhavānandasyāpi tad anubhavitvaṃ yato bhagavatvam	nanu kaTam kevala anuBava Anandasya api tad  anuBavi tvam yatas Bagava tvam
   api lakṣyate, kathaṃ ceśvaratvāt prakṛty adhiṣṭhātṛtve'pi tad asaṅgitvam |	api lakzyate, kaTam ca ISvara tvAt prakRti  aDizWAtR tve api tad  asaFgi tvam |
   tatrāha, māyāṃ vyudasyeti | avyabhicāriṇyā svarūpa śaktyā tām ābhāsa 	tatra aha, mAyAm vyudasya iti | avyaBicAriNyA svarUpa  SaktyA tAm ABAsa 
   śaktiṃ dūre vidhāya tathaiva svarūpa śaktyā kaivalye    	Saktim dUre viDAya taTA eva svarUpa  SaktyA kEvalye    
   parāvarāṇāṃ parama āste kaivalya saṃjñitaḥ |	parAvarANAm paramaH Aste kEvalya  saMjQitaH |
   kevalānubhavānanda sandoho nirupādhikaḥ || [BhP 11.9.18]	kevala anuBava Ananda sandohaH nirupADikaH || [Bhj 11.9.18]
   ity ekādaśokta rītyā kaivalyākhye kevalānubhavānande ātmani sva svarūpe	iti ekAdaSA ukta  rItyA kEvalya AKye kevala anuBava Anande Atmani sva  svarUpe
   sthitaḥ anubhūta svarūpa sukha ity arthaḥ | tad uktaṃ ṣaṣṭhe devair api   	sTitaH anuBUta  svarUpa  suKaH iti arTaH | tat uktam zazWe devEH api   
   svayam upalabdha nija sukhānubhavo bhavān iti [BhP 6.9.33] |	svayam upalabDa  nija  suKa anuBavaH BavAn iti [Bhj 6.9.33] |
   sandoha śabdena caikādaśe vaicitrī darśitā, sā ca śakti vaicitryād eva	sandoha  Sabdena ca ekAdaSe vEcitrI darSitA, sA ca Sakti vEcitryAt eva
   bhavatīti | ataevam asty eva svarūpa śaktiḥ | prakṛtir nāmātra māyāyās	Bavati iti | ataevam asti eva svarUpa SaktiH | prakRtiH nAma atra mAyAyAH 
   traiguṇyam | evam eva śakti traya vivṛtiḥ svāmibhir eva darśitā | tathā hi	trEguNyam | evam eva Sakti  traya  vivRtiH svAmiBiH eva darSitAH | taTA hi
   śrī 	SrI 
   devahūti vākye   	deva hUti  vAkye   
   paraṃ pradhānaṃ puruṣaṃ mahāntaṃ	param praDAnam puruzam mahAntam
   kālaṃ kaviṃ tri vṛtaṃ loka pālam |	kAlam kavim tri vRtam loka pAlam |
   ātmānubhūtyānugata prapañcaṃ	Atma anuBUtyA anugata  prapaQcam
   svacchanda śaktiṃ kapilaṃ prapadye || [BhP 3.24.33] ity atra |	svacCanda  Saktim kapilam prapadye || [Bhj 3.24.33] iti atra |
   paraṃ parameśvaram | tatra hetuḥ svacchandāḥ śaktayo yasya | tā evāha,	param parameSvaram | tatra hetuH svacCandAH SaktayaH yasya | tAH eva Aha,
   pradhānaṃ prakṛti rūpaṃ, puruṣaṃ tad adhiṣṭhātāraṃ, mahāntaṃ mahat 	praDAnam prakRti rUpaM, puruzam tad  aDizWAtAran, mahAntam mahat 
   tattva svarūpaṃ, kālaṃ teṣāṃ kṣobhakaṃ, trivṛtm ahaṅkāra bhūtaṃ,	tattva  svarUpaM, kAlam tezAm kzoBakaM, trivRtm ahaFkAra  BUtaM,
   lokātmakaṃ tat pālātmakaṃ ca | tad evaṃ māyayā pradhānādi rūpatām uktvā	loka Atmakam tat pAla Atmakam ca | tat evam mAyayA praDAna Adi  rUpa tAm uktvA
   cic chaktyā niṣprapañcatām āha | ātmānubhūtyā cic chaktyānugataḥ svasmin	cic  SaktyA nizprapaQca tAm Aha | Atma anuBUtyA cic  SaktyA anugataH svasmin
   līnaḥ prapañco yasya taṃ, kaviṃ sarvajñaṃ pradhānādyāvirbhāva sākṣiṇam	lInaH prapaQcaH yasya taM, kavim sarvajQam praDAna Adi AvirBAva  sAkziNam
   ity arthaḥ iti |	iti arTaH iti |
   atra puruṣasyāpi māyāntaḥpātitvaṃ tad adhiṣṭhātṛtayopacaryata eva |	atra puruzasya api mAyA antar pAti tvam tat  aDizWAtR tayA upacaryataH eva |
   vastutas	vastu tas 
   tasya tu tasyāḥ paratvam | tathā śrī kapila deva vākye   	tasya tu tasyAH paratvam | taTA SrI  kapila  deva  vAkye   
   anādir ātmā puruṣo nirguṇaḥ prakṛteḥ paraḥ |	anAdiH AtmA puruzaH nirguNaH prakRteH paraH |
   pratyag dhāmā svayaṃ jyotir viśvaṃ yena samanvitam || [BhP 3.26.3] iti	pratyag DAmA svayaM jyotiH viSvam yena samanvitam || [Bhj 3.26.3] iti
   nāma svarūpayor nirūpaṇena mahā saṃhitāyām api viviktaṃ tat tri śakti  	nAma  svarUpayoH nirUpaNena mahA  saMhitAyAm api viviktam tat tri Sakti  
   śrīr bhūr durgeti yā bhinnā jīva māyā mahātmanaḥ |	SrIH BUH durgA iti yA BinnAH jIva mAyA mahAtmanaH |
   ātma māyā tad icchā syāt guṇa māyā jaḍātmikā || iti [?]	Atma  mAyA tad  icCA syAt guNa mAyA jaxa AtmikAH || iti [?]
   asyārthaḥ | śrīr atra jagat pālana śaktiḥ, bhūs tat sṛṣṭi śaktiḥ, durgā	asya arTaH | SrIH atra jagat  pAlana  SaktiH, BUH tat sRzwi SaktiH, durgA
   tat 	tat 
   pralaya śaktiḥ | tat tad rūpena yā bhedaṃ prāptā, sā jīva viṣayā	pralaya  SaktiH | tat  tad  rUpena yA Bedam prAptA, sA jIva  vizayA
   tac chaktir	tac SaktiH 
   jīva māyety ucyate | pādme śrī kṛṣṇa satyabhāmā saṃvāde  	jIva mAyA iti ucyate | pAdme SrI  kRzNa  satyaBAmA  saMvAde  
   aham eva tridhā bhinnā tiṣṭhāmi trividhair guṇair ity etad vākyānantaraṃ	aham eva triDA BinnA tizWAmi triviDEH guNEH iti etat  vAkya anantaram
   tataḥ sarve'pi te devāḥ śrutvā tad vākya coditāḥ |	tatas sarve api te devAH SrutvA tad  vAkya  coditAH |
   gaurīṃ lakṣmīṃ dharāṃ caiva praṇemur bhakti tat parāḥ || iti ||	gOrIm lakzmIm DarAm ca eva praNemuH Bakti tat  parAH || iti ||
   ekādaśe ca  	ekAdaSe ca  
   eṣā māyā bhagavataḥ sṛṣṭi sthity antakāriṇī |	ezA mAyA BagavataH sRzwi  sTiti  anta kAriNI |
   trivarṇā varṇitāsmābhiḥ kiṃ bhūyaḥ śrotum icchasi || iti || [BhP 11.3.16]	tri varNA varNitA asmABiH kim BUyas Srotum icCasi || iti || [Bhj 11.3.16]
   ātma māyā svarūpa śaktiḥ | mīyate'nayeti māyā śabdena śakti mātram api	Atma  mAyA svarUpa  SaktiH | mIyate anayA iti mAyA  Sabdena Sakti  mAtram api
   bhaṇyate  	BaNyate  
   tasyāṃ tamovan naihāraṃ khadyotārcir ivāhani |	tasyAm tamaH vat nEhAram Kadyota arciH iva ahani |
   mahatītaramāyaiśyaṃ nihanty ātmani yuñjata || iti [BhP 10.13.45]	mahatI itara m AyA ESyam nihanti Atmani yuQjata || iti [Bhj 10.13.45]
   brahma vākyaṃ tathaiva saṅgacchate | śakti mātrasya tāratamyaṃ hi tatra	brahma vAkyam taTA eva saFgacCate | Sakti  mAtrasya tAratamyam hi tatra
   vivakṣitam | svalpā śaktiḥ khalv anṛtasya satyasya vā vyañjikā bhavatu	vivakzitam | su alpA SaktiH Kalu anRtasya satyasya vA vyaQjikA Bavatu
   nāma	nAma
   | parābhavāya kalpata eveti hi tatra gamyate | dṛṣṭāntābhyāṃ ca tathaiva	| parABavAya kalpataH eva iti hi tatra gamyate | dRzwAntAByAm ca taTA eva
   prakaṭitaṃ tasyāṃ tamovad ityādibhyām | tathā yuddheṣa māyāmaya 	prakawitam tasyAm tamaH vat ityAdiByAm | taTA yudDeza mAyA maya 
   śastrādinā bahavaś chinna bhinnā jātā iti purāṇādiṣu śrūyate |	Sastra AdinA bahavaH Cinna  BinnAH jAtAH iti purANa Adizu SrUyate |
   tataḥ sā ca māyā mithyākalpikā ca bhavatīti gamyate | na hi maru marīcikā 	tatas sA ca mAyA miTyAkalpikA ca Bavati iti gamyate | na hi maru marIcikA 
   jalena kecid ārdrā bhavantīti |	jalena kecid ArdrAH Bavanti iti |
   svarūpa bhūtayā nitya śaktyā māyākhyayā yutaḥ |	svarUpa BUtayA nitya  SaktyA mAyA AKyayA yutaH |
   ato māyāmayaṃ viṣṇuṃ pravadanti sanātanam || iti caturveda śikhādyā śrutiś	atas mAyA mayam vizNum pravadanti sanAtanam || iti catur veda  SiKA AdyA SrutiH 
   ca |	ca |
   tataś ca   ātma māyā tad icchā syāt ity atra jñāna kriye api lakṣyete |	tatas ca  Atma  mAyA tad  icCA syAt iti atra jQAna kriye api lakzyete |
   māyā	mAyA
   vayunaṃ jñanam iti nighaṇṭau ca paryāya śabdāḥ |	vayunam jQanam iti niGaNwO ca paryAya  SabdAH |
   triguṇātmikātha jñānaṃ ca viṣṇu śaktis tathaiva ca |	triguNa AtmikA aTa jQAnam ca vizNu  SaktiH taTA eva ca |
   māyā śabdena bhaṇyate śabda tattvārtha vedibhiḥ || iti trikāṇḍa śeṣe |	mAyA  Sabdena BaNyate Sabda  tattva arTa  vediBiH || iti tri kANxa  Seze |
   māyā dambhe kṛpāyāṃ ceti viśva prakāśe | vyākhyātaṃ ca ṭīkā kṛdbhir	mAyA damBe kRpAyAm ca iti viSva  prakASe | vyAKyAtam ca wIkA kRdBiH 
   ekādaśe kālo māyā maye jīve ity atra [BhP 11.24.27] māyā pravartake jñāna 	ekAdaSe kAlaH mAyA maye jIve iti atra [Bhu 11.24.27] mAyA  pravartake jQAna 
   maye vā iti | tṛtīye'pi āpuḥ parāṃ mudam ity ādau [BhP 3.15.26] yoga māya 	maye vA iti | tRtIye api ApuH parAm mudam iti AdO [Bhj 3.15.26] yoga  mAya 
   śabdena sanakādāv aṣṭāṅga yoga prabhāvaṃ vyākhyāya parameśvare tu cic 	Sabdena sanaka AdO azwa aFga yoga  praBAvam vyAKyAya parameSvare tu cic 
   chakti vilāso vyākhyātaḥ |	Cakti vilAsaH vyAKyAtaH |
   tatas tribhedaivātma māyeti siddham | yathā vā   tvam ādyaḥ puruṣaḥ [BhP	tatas tri Beda eva Atma  mAyA iti sidDam | yaTA vA  tvam AdyaH puruzaH [BhP
   1.7.23] ity ādi mūla padām evam avatāryam | śrī vaikuṇṭhe māyaṃ	1.7.23] iti Adi mUla padAm evam avatAryam | SrI vEkuNWe mAyam
   niṣedhann api sākṣāt tām evāha tvam ādya iti | kaivalye mokṣākhye śrī 	nizeDan api sAkzAt tAm eva Aha tvam AdyaH iti | kEvalye mokza AKye SrI 
   vaikuṇṭha lakṣaṇe ātmani svāṃśa eva sthitaḥ | kiṃ kṛtvā ? tatrāti 	vEkuNWa  lakzaNe Atmani sva aMSaH eva sTitaH | kim kRtvA ? tatra ati 
   virājamānayā cic chaktyā māyāṃ dūre sthitām api tiraskṛtyaiva | mataṃ	virAjamAnayA cic  SaktyA mAyAm dUre sTitAm api tiraskRtya eva | matam
   caitammāyādikaṃ niṣedhatā śrī śukadevena |	ca etam mAyA Adikam nizeDa tA SrI  Sukadevena |
   pravartate yatra rajas tamas tayoḥ	pravartate yatra rajaH tamaH tayoH
   sattvaṃ ca miśraṃ na ca kāla vikramaḥ |	sattvam ca miSram na ca kAla vikramaH |
   na yatra māyā kim utāpare harer	na yatra mAyA kim uta apare hareH 
   anuvratā yatra surāsurārcitāḥ || [BhP 2.9.10] iti |	anuvratAH yatra sura asura arcitAH || [Bhj 2.9.10] iti |
   moksaṃ paraṃ padaṃ liṅgam amṛtaṃ viṣṇu mandiram | iti pādmottara khaṇḍe	moksam param padam liFgam amRtam vizNu  mandiram | iti pAdma uttara   KaNxe
   viakuṇṭha paryāya śabdāḥ || arjunaḥ śrī bhagavantam ||21||	viakuNWa paryAya  SabdAH || arjunaH SrI  Bagavantam ||21||
   ata ūrdhvaṃ guṇādīnāṃ svarūpātmatā nigamanāt svarūpa śaktir eva punar	atas UrDvam guNa AdInAm svarUpa Atma tA  nigamanAt svarUpa  SaktiH eva punar 
   api vivriyate yāvat sandarbha samāptiḥ |[*ENDNOTE #3] tatra guṇānāṃ	api vivriyate yAvat sandarBa  samAptiH |[*ENDNOTEH #3] tatra guNAnAm
   svarūpātmatām āhuḥ |	svarUpa Atma tAm AhuH |
   sa yad ajayā tv ajām anuśayīta guṇāṃś ca juṣan	sa yat ajayA tu ajAm anuSayIta guNAn ca juzan
   bhajati sarūpatāṃ tad anu mṛtyum apeta bhagaḥ |	Bajati sarUpa tAm tat anu mRtyum apeta BagaH |
   tvam uta jahāsi tām ahir iva tvacam ātta bhago	tvam uta jahAsi tAm ahiH iva tvacam Atta BagaH 
