   atha prathamo 'dhyāyaḥ	aTa praTamaH aDyAyaH
   tābhyāṃ svārūpikajñānabhaktirvyaktirbhaviṣyati /	tAByAm svArUpika-jQAna-BaktiH-vyaktiH-Bavizyati /
   svārūpikaṃ mano nityaṃ tataḥ svārūpikī matiḥ // PS_1,4.20 //	svArUpikam manaH nityam tatas svArUpikI matiH // PS_1,4.20 //
   vyaktā bhavati nityā sā bhaktiḥ svārūpikī tathā /	vyaktA Bavati nityA sA BaktiH svArUpikI taTA /
   saivānandasvarūpeṇa nityā mukteṣu tiṣṭhati // PS_1,4.21 //	sA-eva-Ananda-svarUpeNa nityAH muktezu tizWati // PS_1,4.21 //
   indriyāṇāṃ golakāni dṛśyānyāhuḥ samagraśaḥ /	indriyANAm golakAni dRSyAni-AhuH samagraSas /
   atīndriyāṇīndriyāṇi jñānakarmamayāni ca // PS_1,4.22 //	atIndriyANi-indriyANi jQAna-karma-mayAni ca // PS_1,4.22 //
   śrotratvaṅnetrarasanaghrāṇādyā jñānaśaktayaḥ /	Srotra-tvac-netra-rasana-GrANa-AdyAH jQAna-SaktayaH /
   vākpāṇipādapāyūpasthāḥ sarve karmaśaktayaḥ // PS_1,4.23 //	vAc-pANi-pAda-pAyu-upasTAH sarve karma-SaktayaH // PS_1,4.23 //
   śrotraṃ śabdagrāhiśabdo dvividhaḥ parikīrtitaḥ /	Srotram Sabda-grAhi-SabdaH dviviDaH parikIrtitaH /
   śabdo dhvanyātmako varṇātmakaśceti tadādimaḥ // PS_1,4.24 //	SabdaH Dvani-AtmakaH varNa-AtmakaH-ca-iti tad-AdimaH // PS_1,4.24 //
   ahaṅkārātsamudbhūtaḥ ākāśotpattikāraṇaḥ /	ahaFkArAt-samudBUtaH AkASa-utpatti-kAraNaH /
   dhvanyātmakastu śabdastu prathamaḥ parikīrtitaḥ // PS_1,4.25 //	Dvani-AtmakaH-tu SabdaH-tu praTamaH parikIrtitaH // PS_1,4.25 //
   jñānakarmendriyamanomātrāḥ sūkṣmāhyanādayaḥ /	jQAna-karmendriya-manaH-mAtrAH sUkzmAhi-ana-AdayaH /
   nityāśca pralaye sṛṣṭāvanityāste prakīrtitāḥ // PS_1,4.26 //	nityAH-ca pralaye sRzwa-a=-anityAH-te prakIrtitAH // PS_1,4.26 //
   varṇātmakastu yaḥśabdo nityaḥ sarvagato vibhuḥ /	varNa-AtmakaH-tu yaH-SabdaH nityaH sarva-gataH viBuH /
   dravyamityeva sarveṣāṃ na guṇaḥ kasyacinmate // PS_1,4.27 //	dravyam-iti-eva sarvezAm na guNaH kasyacid-mate // PS_1,4.27 //
   vedāḥ padādvarṇataśca śabdataḥ svaratastathā /	vedAH padAt-varNataH-ca SabdataH svarataH-taTA /
   anādinityāste sarvepyapauruṣeyaguṇotkarāḥ // PS_1,4.28 //	anAdi-nityAH-te sarva-ipyapOruzeya-guNa-utkarAH // PS_1,4.28 //
   viṣṇormāhātmyavijñaptau satprameye ca sādhakāḥ /	vizNoH-mAhAtmya-vijQaptO sat-prameye ca sADakAH /
   śāstrāṇica purāṇāni pauruṣeyāṇi kṛtsnaśaḥ // PS_1,4.29 //	SAstrANica purANAni pOruzeyANi kRtsnaSas // PS_1,4.29 //
   yathārthāni praṇītāni hariṇātha surarṣibhiḥ /	yaTArTAni praNItAni hariNA-aTa sura-RziBiH /
   nityānyevārthato varṇakramayogādanityakāḥ // PS_1,4.30 //	nityAni-eva-arTataH varNa-krama-yogAt-anityakAH // PS_1,4.30 //
   sātvikāni purāṇāni manvādi smṛtayastathā /	sAtvikAni purANAni manu-Adi smRtayaH-taTA /
   yathārtha eva tatroktaṃ grāhyaṃ śrīharitatparaiḥ // PS_1,4.31 //	yaTArTaH eva tatra-uktam grAhyam SrI-hari-tatparEH // PS_1,4.31 //
   vārāhaṃ vaiṣṇavaṃ pādmaṃ vāyuproktaṃ ca gāruḍam /	vArAham vEzNavam pAdmam vAyu-proktam ca gAruxam /
   śrīmadbhāgavataṃ caiva sātvikānīti hi śrutiḥ // PS_1,4.32 //	SrImat-BAgavatam ca-eva sAtvikAni-iti hi SrutiH // PS_1,4.32 //
   brahmāṇḍaṃ brahmavaivartaṃ mārkaṇḍeyaṃ ca vāmanam /	brahmANxam brahmavEvartam mArkaNxeyam ca vAmanam /
   bhaviṣyaṃ nārasiṃhaṃ ca rājasāni ṣaḍaiva hi // PS_1,4.33 //	Bavizyam nArasiMham ca rAjasAni zaxA-eva hi // PS_1,4.33 //
   mātsyaṃ kaurmyaṃ tathā laiṅgyaṃ śaivaṃ skāndaṃ tathaiva ca /	mAtsyam kOrmyam taTA lEFgyam SEvam skAndam taTA-eva ca /
   pāśupatasaṃjñikaṃ ceti tāmasāni vido viduḥ // PS_1,4.34 //	pASupata-saMjQikam ca-iti tAmasAni vidaH viduH // PS_1,4.34 //
   grāhyaṃ sarvaṃ sātvikoktaṃ yojanā bhedatothavā /	grAhyam sarvam sAtvika-uktam yojanA Beda-toTavA /
   vedavedānusāreṣu virodhe 'nyārthakalpanā // PS_1,4.35 //	veda-veda-anusArezu viroDe anya-arTa-kalpanA // PS_1,4.35 //
   itarāṇi viruddhāni pralambhabhramajānyapi /	itarANi virudDAni pralamBa-Brama-jAni-api /
   vyāsoktāni purāṇāni sātvikānyapi kṛtsnaśaḥ // PS_1,4.36 //	vyAsa-uktAni purANAni sAtvikAni-api kRtsnaSas // PS_1,4.36 //
   kvacit kvacit purāṇāni prāyojñānakarāṇyapi /	kvacid kvacid purANAni prAyojQAna-karANi-api /
   āsurāveśavaśataḥ tadanyoktānyanantaśaḥ // PS_1,4.37 //	Asura-AveSa-vaSataH tad-anya-uktAni-anantaSas // PS_1,4.37 //
   śrotrāgrāhyāṇi santyeva apramāṇāni tānyalam /	Srotra-AgrAhyANi santi-eva apramANAni tAni-alam /
   paraśuklatrayoktāni nityaṃ viṣṇvājñayaiva tu // PS_1,4.38 //	para-Sukla-traya-uktAni nityam vizNu-AjQayA-eva tu // PS_1,4.38 //
   atipramāṇāni daityāveśājñānādi varjanāt /	ati-pramANAni dEtya-AveSa-ajQAna-Adi varjanAt /
   badhiratvādayaḥ śrotrṛdoṣāstadvarjitendriyaiḥ(yāḥ) // PS_1,4.39 //	baDira-tva-AdayaH SrotrR-dozAH-tad-varjita-indriyEH(yAH) // PS_1,4.39 //
   etāni viṣayāṇyāhuḥ śrotavyāni sahasraśaḥ /	etAni vizayANi-AhuH SrotavyAni sahasraSas /
   śabdadoṣavihīnāni grāhyāṇi manasā saha // PS_1,4.40 //	Sabda-doza-vihInAni grAhyANi manasA saha // PS_1,4.40 //
   tatroktānantasuguṇaṃ nirdeṣaṃ jñeyamīśvaram /	tatra-ukta-ananta-su-guNam nirdezam jQeyam-ISvaram /
   gamyaṃ satyaṃ ca sukhacinmayaṃ viṣṇuṃ sanātanam // PS_1,4.41 //	gamyam satyam ca suKa-cit-mayam vizNum sanAtanam // PS_1,4.41 //
   ātmeśvaraṃ hariṃ bhaktyopā(styā)syamuktā bhavanti hi /	Atma-ISvaram harim BaktyA-upA(styA)sya-muktAH Bavanti hi /
   kuśāstreṣūktadurmārge heyatā buddhisaṃyutam // PS_1,4.42 //	kuSAstrezu-ukta-durmArge heya-tA budDi-saMyutam // PS_1,4.42 //
   iti śrī prakāśasaṃhitāyāṃ prathamaparicchede caturtho 'dhyāyaḥ	iti SrI prakASa-saMhitAyAm praTama-paricCede caturTaH aDyAyaH
   śrīhaṃsa uvāca	SrI-haMsaH uvAca
   jñānendriyāṇi pañcāni pañcakarmendriyāṇi ca /	jQAna-indriyANi paQcAni paQcakarmendriyANi ca /
   rajobhāgagatānyeṣu śrotramā(traṃ)dyaṃ viśiṣyate // PS_1,5.1 //	rajaH-BAga-gata-anyezu Srotram-A(traM)dyam viSizyate // PS_1,5.1 //
   śrāvaṇāsyādyabhaktestu sādhakatvādguṇādhikam /	SrAvaNAsya-Adya-BakteH-tu sADaka-tvAt-guNa-aDikam /
   tvakcarmagolake sarvadehage samu(pāśritā)pasthitā // PS_1,5.2 //	tvac-carma-golake sarva-deha-ge samu(pa-ASrita-a)pasTitAH // PS_1,5.2 //
   kuṣṭhabhaṅurapāmādyāḥ tvakdoṣāḥ parikīrtitāḥ /	kuzWa-BaFura-pAma-AdyAH tvac-dozAH parikIrtitAH /
   avyaktādi sparśadoṣaśūnyāḥ śītoṣṇapūrvakāḥ // PS_1,5.3 //	avyakta-Adi sparSa-doza-SUnyAH SIta-uzNa-pUrvakAH // PS_1,5.3 //
   sparśāstadviṣayāḥ proktāḥ vāyutejombubhūmayaḥ /	sparSAH-tad-vizayAH proktAH vAyu-tejombu-BUmayaH /
   padārthāḥ kecanaguṇāḥ satvagindriyagocarāḥ // PS_1,5.4 //	padArTAH kecana-guNAH satvac-indriya-gocarAH // PS_1,5.4 //
   tvaksparśau prakṛtisthau dvau nityau sthūlāvanityakau /	tvac-sparSO prakRti-sTO dvO nityO sTUla-avanityakO /
   tajjanyau prākṛtau vāyusaṃśrayau naśvarau matau // PS_1,5.5 //	tad-janyO prAkRtO vAyu-saMSrayO naSvarO matO // PS_1,5.5 //
   indriyāṇāntu viṣayāḥ guṇāmātrāḥ prakīrtitāḥ /	indriyANa-antu vizayAH guNa-amAtrAH prakIrtitAH /
   jñānātmakānāṃ te sarve dvividhāḥ parikīrtitāḥ // PS_1,5.6 //	jQAna-AtmakAnAm te sarve dviviDAH parikIrtitAH // PS_1,5.6 //
   viṣṇuvaiṣṇavasevāyai anukūlāḥśubhā matāḥ /	vizNu-vEzNava-sevAyE anukUlAH-SuBAH matAH /
   aśubhāḥ pratikūlāśca punaste trividhā matāḥ // PS_1,5.7 //	aSuBAH pratikUlAH-ca punar-te triviDAH matAH // PS_1,5.7 //
   muktiyogyāśritā nityāḥ nityasṛtiṣu madhyamāḥ /	mukti-yogi-ASritAH nityAH nitya-sRtizu maDyamAH /
   tamoyogyāśritā nīcāstattadyogyasusādhanaiḥ // PS_1,5.8 //	tamaH-yogya-ASritAH nIcAH-tad-tad-yogya-su-sADanEH // PS_1,5.8 //
   nīcamadhyottamasthānaprāpakāḥ kramayogataḥ /	nIca-maDya-uttama-sTAna-prApakAH krama-yogataH /
   jīvasvarūpabhūtāni manomātrendriyāṇi ca // PS_1,5.9 //	jIva-svarUpa-BUtAni manaH-mAtra-indriyANi ca // PS_1,5.9 //
   tatsvarūpāṇi nityāni uttameṣu śubhānyapi /	tad-svarUpANi nityAni uttamezu SuBAni-api /
   uttamā muktiyogyāstu nityabaddhāstu madhyamāḥ // PS_1,5.10 //	uttamAH mukti-yogyAH-tu nitya-badDAH-tu maDyamAH // PS_1,5.10 //
   adhamāstu tamoyogyāḥ manomātrādayastathā /	aDamAH-tu tamaH-yogyAH manaH-mAtra-AdayaH-taTA /
   svārūpikāścaliṅgasthāḥ anityāḥ sthūladehagāḥ // PS_1,5.11 //	svArUpikAH-caliFga-sTAH anityAH sTUla-deha-gAH // PS_1,5.11 //
   viṣṇoramāyābrahmādi muktānāṃ kramayogataḥ /	vizNoH-amAyA-brahma-Adi muktAnAm krama-yogataH /
   manomātrendriyajñānasukhadhairyabalādayaḥ // PS_1,5.12 //	manaH-mAtra-indriya-jQAna-suKa-DErya-bala-AdayaH // PS_1,5.12 //
   svarūpāṇyevaviṣṇostu nityavyāptāni kṛtsnaśaḥ /	svarUpANi-eva-vizNoH-tu nitya-vyAptAni kRtsnaSas /
   svatantrāṇi svatantrasya (karmāṇi tu)puruṣasya mahātmanaḥ // PS_1,5.13 //	svatantrANi svatantrasya (karmANi tu)puruzasya mahAtmanaH // PS_1,5.13 //
   svasvarūpasthitau yasya jñānekarmaṇyapi sphuṭam /	sva-svarUpa-sTitO yasya jQAnekarmaNi-api sPuwam /
   sarvasvarūpaceṣṭāsu parāpekṣā na yasya hi // PS_1,5.14 //	sarva-svarUpa-cezwAsu para-apekzA na yasya hi // PS_1,5.14 //
   sa svantantra iti proktaḥ sa viṣṇurnetaraḥ kvacit /	sa su-antantraH iti proktaH sa vizNuH-na-itaraH kvacid /
   avyaktatatkāryamaya dehaśūnyāramāpi hi // PS_1,5.15 //	avyakta-tad-kArya-maya deha-SUnya-Aram-Api hi // PS_1,5.15 //
   taccittendriyamātrāstu nityā vyāptā svarūpakā(kāḥ) /	tad-citta-indriya-mAtrAH-tu nityAH vyAptA svarUpa-kA(kAH) /
   viṣṇvaikavaśagāstasyāḥ haryapekṣāsadasti hi // PS_1,5.16 //	vizNu-a-eka-vaSa-gAH-tasyAH hari-apekzA-sat-asti hi // PS_1,5.16 //
   parāpekṣayutatvātsā asvatantrā prakīrtitā /	para-apekza-yuta-tvAt-sA asvatantrA prakIrtitA /
   brahmādimuktāmuktānām asvatantryamanāditaḥ // PS_1,5.17 //	brahma-Adi-muktA-muktAnAm asvatantryam-anAditaH // PS_1,5.17 //
   siddhameva svarūpe ca jñāne karmaṇyapi sphuṭam /	sidDam-eva svarUpe ca jQAne karmaNi-api sPuwam /
   nīcānīcasvarūpāṇām uttamottamacetasām // PS_1,5.18 //	nIcA-nIca-svarUpANAm uttama-uttama-cetasAm // PS_1,5.18 //
   prasādataḥ pravṛttirhi jñānabhaktyādi cākhilam /	prasAdataH pravRttiH-hi jQAna-Bakti-Adi ca-aKilam /
   jñānājñānatamomokṣāḥ nityānityajaḍasya ca // PS_1,5.19 //	jQAna-ajQAna-tamaH-mokzAH nitya-anitya-jaxasya ca // PS_1,5.19 //
   notpattināśau jīvānāṃ trividhānāṃ samastaśaḥ /	na-utpatti-nASO jIvAnAm triviDAnAm samastaSas /
   svarūpaduḥkhadveṣerṣyā cintāsantāpapūrvakāḥ // PS_1,5.20 //	sva-rUpa-duHKa-dveza-IrzyA cintA-santApa-pUrvakAH // PS_1,5.20 //
   na muktānāṃ dehayogo yāvatteṣāṃ bhayādikam /	na muktAnAm deha-yogaH yAvat-tezAm Baya-Adikam /
   bhayādīni ca yogyebhyaḥ uttameṣvalpameva ca // PS_1,5.21 //	Baya-AdIni ca yogyeByaH uttamezu-alpam-eva ca // PS_1,5.21 //
   jñānaṃ muktirayogyasya na ca svapnepi dṛśyate /	jQAnam muktiH-ayogyasya na ca svapnepi dRSyate /
   svarūpājñānatamasī yogyānāṃ na kadācana // PS_1,5.22 //	svarUpa-ajQAna-tamasI yogyAnAm na kadAcana // PS_1,5.22 //
   sṛṣṭiṃ sthitiṃ saṃhṛtiṃ ca niyatiṃ jagatosya tu /	sRzwim sTitim saMhRtim ca niyatim jagatosya tu /
   jñānājñāne tamomokṣau viṣṇunaiva vido viduḥ // PS_1,5.23 //	jQAna-ajQAne tamaH-mokzO vizNunA-eva vidaH viduH // PS_1,5.23 //
   brahmādīnāṃ svarūpantu atyantāṇutamaṃ matam /	brahma-AdInAm svarUpantu atyanta-aNutamam matam /
   tadindriyāṇi sūkṣmāṇi sūkṣmāṇyeva sthirāṇi tu // PS_1,5.24 //	tad-indriyANi sUkzmANi sUkzmANi-eva sTirANi tu // PS_1,5.24 //
   cakṣurgolakagaṃ netraṃ rūpagrāhyamatīndriyam /	cakzuH-golaka-gam netram rUpa-grAhyam-atIndriyam /
   nityamavyaktagaṃ sthūlamanityaṃ janyamakṣi ca // PS_1,5.25 //	nityam-avyakta-gam sTUlam-anityam janyam-akzi ca // PS_1,5.25 //
   svarūpanetrakalitaṃ nityānitye akṣiṇī ubhe /	sva-rUpa-netra-kalitam nitya-anitye akziNI uBe /
   jñānaprade sākṣisaṃjñe sarvasvārūpakendriyam // PS_1,5.26 //	jQAna-prade sAkzi-saMjQe sarva-svArUpaka-indriyam // PS_1,5.26 //
   uktānāṃ vakṣyamāṇānām indriyāṇāṃ samagraśaḥ /	uktAnAm vakzyamANAnAm indriyANAm samagraSas /
   svārūpendriyasāhāyyaṃ vinā śaktirnavidyate // PS_1,5.27 //	svArUpa-indriya-sAhAyyam vinA SaktiH-navidyate // PS_1,5.27 //
   vṛddhiṃ hāniṃ ca labhate guṇairdeṣaiḥ svarūpataḥ /	vRdDim hAnim ca laBate guNEH-dezEH svarUpataH /
   sākṣīndriyantu yogyānāṃ svottamadrohatāṃ vinā // PS_1,5.28 //	sAkzi-indriyantu yogyAnAm sva-uttama-drohatAm vinA // PS_1,5.28 //
   tatrāpīṣatkutaścittu tatsarvaṃ kuṇṭhitaṃ bhavet /	tatra-api-Izat-kutaScid-tu tat-sarvam kuNWitam Bavet /
   paṭalaṃ kāmilā kācaḥ pratidīdhiti saṅgatiḥ // PS_1,5.29 //	pawalam kAmilA kAcaH pratidIDiti saFgatiH // PS_1,5.29 //
   netrarogaṃ vraṇādyāśca paityapratihatāstathā /	netra-rogam vraNa-AdyAH-ca pEtya-pratihatAH-taTA /
   akṣibhramaṇaśaityādyāḥ netradoṣāḥ prakīrtitāḥ // PS_1,5.30 //	akzi-BramaNa-SEtya-AdyAH netra-dozAH prakIrtitAH // PS_1,5.30 //
   ārasthatvaṃ dūragatvaṃ saukṣmaṃ ca vyavadhānataḥ /	Ara-sTa-tvam dUra-ga-tvam sOkzmam ca vyavaDAnataH /
   sthitiḥ samānābhighātaḥ arthadoṣāḥ prakīrtitāḥ // PS_1,5.31 //	sTitiH samAna-aBiGAtaH arTa-dozAH prakIrtitAH // PS_1,5.31 //
   nirdeṣaviṣayā ye ca nirdeṣekṣaṇagocarāḥ /	nirdeza-vizayAH ye ca nirdeza-IkzaNa-gocarAH /
   śuklaṃ raktaṃ śvetapītaharitādīni kṛtsnaśaḥ // PS_1,5.32 //	Suklam raktam Sveta-pIta-harita-AdIni kRtsnaSas // PS_1,5.32 //
   citrādīni svarūpāṇi cakṣuṣo viṣayāṇi ca /	citra-AdIni svarUpANi cakzuzaH vizayANi ca /
   udbhūtarūpasaṃyuktāḥ tejovārbhūmayātmakā // PS_1,5.33 //	udBUta-rUpa-saMyuktAH tejaH-vArBU-mayA-AtmakAH // PS_1,5.33 //
   cakṣuṣo viṣayāḥ proktāḥ kecitsūryodayo 'marāḥ /	cakzuzaH vizayAH proktAH kecid-sUrya-udayaH amarAH /
   jihvā golakagaṃ prāhuḥ rasanendriyamuttamam // PS_1,5.34 //	jihvA golaka-gam prAhuH rasanA-indriyam-uttamam // PS_1,5.34 //
   atīndriyamarucyādyāstaddhoṣāsphoṭakādayaḥ /	atIndriyam-aruci-AdyAH-tad-hoza-AsPowaka-AdayaH /
   kaṣāyaśca kaṭustiktaḥ lavaṇo madhurāmlakau // PS_1,5.35 //	kazAyaH-ca kawuH-tiktaH lavaNaH maDura-amlakO // PS_1,5.35 //
   tathā citrarasaśceti rasanendriyagocarāḥ /	taTA citra-rasaH-ca-iti rasanA-indriya-gocarAH /
   doṣahīnasya ca rasajñānaṃ janayati sphuṭam // PS_1,5.36 //	doza-hInasya ca rasa-jQAnam janayati sPuwam // PS_1,5.36 //
   jñānaṃ janayati kṣipraṃ prākṛtaṃprakṛtisthitam /	jQAnam janayati kzipram prAkRtaMprakRti-sTitam /
   duṣṭā paryuṣitā yāmahīnā pūtiyutā rasāḥ // PS_1,5.37 //	duzwA paryuzitAH yAma-hInA pUti-yutAH rasAH // PS_1,5.37 //
   sadoṣā rasasambandhe rasanā jñānadā na hi /	sa-dozAH rasa-sambanDe rasanA jQAna-dA na hi /
   bhūmayāṃmayā arthāḥ rasanendriyagocarāḥ // PS_1,5.38 //	BUmayAMmayAH arTAH rasanA-indriya-gocarAH // PS_1,5.38 //
   ghrāṇagolakagaṃ proktaṃ nāsikendriyamūrjitam /	GrANa-golaka-gam proktam nAsikA-indriyam-Urjitam /
   pīnasādyāḥ ghrāṇadoṣāḥ gandhagrāhendriyaṃ matam // PS_1,5.39 //	pInasa-AdyAH GrANa-dozAH ganDa-grAha-indriyam matam // PS_1,5.39 //
   vyāmiśrādyāḥ doṣabhāgāḥ gandhadoṣāḥ prakīrtitāḥ /	vyAmiSra-AdyAH doza-BAgAH ganDa-dozAH prakIrtitAH /
   vaktragolakagaṃ proktaṃ vāgindriyamatīndriyam // PS_1,5.40 //	vaktra-golaka-gam proktam vAc-indriyam-atIndriyam // PS_1,5.40 //
   nityānityavacāṃstasya satyāsatyavacāṃsi ca /	nitya-aniti-avacAn=-tasya satya-asatya-vacAMsi ca /
   vacāṃsi yuktāyuktāni gīrvāṇaprākṛtāni ca // PS_1,5.41 //	vacAMsi yuktA-yuktAni gIrvANa-prAkRtAni ca // PS_1,5.41 //
   mūkatvādi mahādoṣahīnavāggocarāṇi ca /	mUka-tva-Adi mahA-doza-hIna-vAc-gocarANi ca /
   gadgadatvāspaṣṭatādyāḥ vāgdoṣāḥ parikīrtitāḥ // PS_1,5.42 //	gadgada-tva-aspazwatA-AdyAH vAc-dozAH parikIrtitAH // PS_1,5.42 //
   hastagolakagaṃ prāhuḥ pāṇīndriyamatīndriyam /	hasta-golaka-gam prAhuH pANi-indriyam-atIndriyam /
   vyaṅgulatvādayastasya doṣāḥ nirdeṣāmindriyam // PS_1,5.43 //	vyaFgula-tva-AdayaH-tasya dozAH nirdezAm-indriyam // PS_1,5.43 //
   gṛhṇātī(va)ha paratrāpi yaddhitaḥ svātmanaḥ sadā /	gRhNAtI(va)ha paratra-api yat-hitaH sva-AtmanaH sadA /
   bhūmayāratnahemādyā bahvarthā viṣayāmatāḥ // PS_1,5.44 //	BUmayA-ratna-hema-AdyAH bahu-arTAH vizayAmatAH // PS_1,5.44 //
   aśmayāśca tathābhāvāḥ hastayorviṣayāmatāḥ /	aSmayAH-ca taTA-aBAvAH hastayoH-viza-yAma-tAH /
   kaṇṭakocchiṣṭapāṣāṇavṛścikādyā aniṣṭadāḥ // PS_1,5.45 //	kaNwaka-ucCizwa-pAzANa-vRScika-AdyAH anizwa-dAH // PS_1,5.45 //
   heyā arthāśca hastābhyāṃ parityājyāḥ sadā matāḥ /	heyAH arTAH-ca hastAByAm parityAjyAH sadA matAH /
   sāniṣṭadaṃ hitakaraṃ hastayorhitadaṃ matam // PS_1,5.46 //	sa-anizwa-dam hita-karam hastayoH-hita-dam matam // PS_1,5.46 //
   aṅghrigolakagaṃ prāhuḥ pādendriyamalaṃ budhāḥ /	aFGri-golaka-gam prAhuH pAda-indriya-malam buDAH /
   paṅgutvādyāḥ aṅghridoṣāḥ nirdeṣagatisādhanam // PS_1,5.47 //	paFgu-tva-AdyAH aFGri-dozAH nirdeza-gati-sADanam // PS_1,5.47 //
   svārūpigaṃ prakṛtigaṃ prākṛtaṃ trividhaṃ matam /	svArUpi-gam prakRti-gam prAkRtam triviDam matam /
   yenendriyeṇa yatkarmakriyate sādhubhiḥsadā // PS_1,5.48 //	yena-indriyeNa yat-karma-kriyate sADuBiH-sadA // PS_1,5.48 //
   tattasya viṣayaḥ proktaḥ tannāmendriya gocaram /	tat-tasya vizayaH proktaH tad-nAma-indriya gocaram /
   pakvāpakvaṃ ca bhuktaṃ ca vātaṃ jīrṇaṃ ca kukṣigam // PS_1,5.49 //	pakva-apakvam ca Buktam ca vAtam jIrNam ca kukzi-gam // PS_1,5.49 //
   kālena viparītantu śakṛdityucyate budhaiḥ /	kAlena viparItantu SakRt-iti-ucyate buDEH /
   tādṛgarthotsargasaṃjño pāyorviṣayamīritam // PS_1,5.50 //	tAdRS-arTa-utsarga-saMjQaH pAyoH-vizayam-Iritam // PS_1,5.50 //
   bhagandharādayo mūlavraṇādyāḥ pāyusaṃsthitāḥ /	BaganDara-AdayaH mUlavraNa-AdyAH pAyu-saMsTitAH /
   doṣāḥ nirodhātisārāḥ pāyorna yadi kāryakṛt // PS_1,5.51 //	dozAH niroDa-atisArAH pAyoH-na yadi kArya-kRt // PS_1,5.51 //
   strīpuṃsorbhagameḍhrādi golakasthaṃ hyatīndriyam /	strI-puMsoH-Baga-meXra-Adi golaka-sTam hi-atIndriyam /
   upasthaśiśnasaṃjñe dve indriye doṣavarjite // PS_1,5.52 //	upasTa-SiSna-saMjQe dve indriye doza-varjite // PS_1,5.52 //
   ratyutsṛtau prabhavataḥ asṛkśuklāśrayau matau /	rati-utsRtO praBavataH asRk-Sukla-ASrayO matO /
   mehavraṇādyāḥ taddhoṣāḥ nirdeṣaṃ svārthasādhakam // PS_1,5.53 //	meha-vraNa-AdyAH tad-hozAH nirdezam sva-arTa-sADakam // PS_1,5.53 //
   prakṛtaṃ prākṛtaṃ caiva svarūpendriya saṃyutam /	prakRtam prAkRtam ca-eva svarUpa-indriya saMyutam /
   arthakriyākāri taddhi nānyathā bhavati dhruvam // PS_1,5.54 //	arTa-kriyA-kAri tat-hi na-anyaTA Bavati Druvam // PS_1,5.54 //
   jñānendriyāṇi pañcāpi pañcakarmendriyāṇi ca /	jQAna-indriyANi paQca-api paQcakarmendriyANi ca /
   rajaḥ paricchedagāni bhinnaśaktiyutāni ca // PS_1,5.55 //	rajaH paricCeda-gAni Binna-Sakti-yutAni ca // PS_1,5.55 //
   jñānendriyāṇāṃ viṣayāḥ kramācchabdādayomatāḥ /	jQAna-indriyANAm vizayAH kramAt-SabdAt-ayomatAH /
   śabdasparśārūparasagandhāste ca guṇāmatāḥ // PS_1,5.56 //	Sabda-sparSA-rUpa-rasa-ganDAH-te ca guNAmatAH // PS_1,5.56 //
   mātrātamaḥ pariccheda pañcabhūtāntarāmatāḥ /	mAtrAtamaH paricCeda paQcaBUta-antarAmatAH /
   bhūtāni mātrā garbheṣu līnāhurmanīṣiṇaḥ // PS_1,5.57 //	BUtAni mAtrA garBezu lIna-AhuH-manIziNaH // PS_1,5.57 //
   bhāvarūpājñānagataṃ pañcakaṃ guṇagarbhakam /	BAva-rUpa-ajQAna-gatam paQcakam guNa-garBakam /
   mātrāsu līnabhūteṣu saṃsthitaṃ bhāvapañcakam // PS_1,5.58 //	mAtrAsu lIna-BUtezu saMsTitam BAva-paQcakam // PS_1,5.58 //
   tamomohamahāmohatāmiśrāndhatāmisrakāḥ /	tamaH-moha-mahA-moha-tA-miSra-anDatAmisrakAH /
   tamaḥ śabdagataṃ prāhuḥ mohaḥ sparśagato mataḥ // PS_1,5.59 //	tamaH Sabda-gatam prAhuH mohaH sparSa-gataH mataH // PS_1,5.59 //
   mahāmoho rūpagataḥ tāmiśro rasagomataḥ /	mahAmohaH rUpa-gataH tAmiSraH rasa-gomataH /
   gandhe andhatāmisrākhyasta ete bhāvarūpakāḥ // PS_1,5.60 //	ganDe anDatAmisra-AKyaH-te ete BAva-rUpakAH // PS_1,5.60 //
   etāni prakṛtisthāni nityāṇyaṇutarāṇi ca /	etAni prakRti-sTAni nityANi-aNutarANi ca /
   sthūlāni bhūtavyaktāni anityānyāmananti hi // PS_1,5.61 //	sTUlAni BUta-vyaktAni anityAn-yAmananti hi // PS_1,5.61 //
   jīvasvarūpaṃ naivate tadvibhinnaṃ liṅgadehagam /	jIva-svarUpam nEvate tad-viBinnam liFga-deha-gam /
   jīvasvarūpavijñānācchādakaṃ parikīrtitam // PS_1,5.62 //	jIva-svarUpa-vijQAna-AcCAdakam parikIrtitam // PS_1,5.62 //
   tatsādhanādvyañjamānasvarūpajñānabādhakam /	tad-sADanAt-vyaQjamAna-svarUpa-jQAna-bADakam /
   tamaḥ svarūpajñānasya viparītapravartakam // PS_1,5.63 //	tamaH svarUpa-jQAnasya viparIta-pravartakam // PS_1,5.63 //
   yo mohaḥ sa upadeśepi mahāmoho 'nivartayet /	yaH mohaH saH upadeSepi mahA-mohaH anivartayet /
   vidveṣakāraṇaṃ prāhuḥ tāmiśramupadeṣṭṛṣu // PS_1,5.64 //	vidveza-kAraNam prAhuH tAmiSram-upadezwRzu // PS_1,5.64 //
   kuyuktibhiḥ kvāgamyaiśca gāḍhājñānaikasādhanam /	kuyuktiBiH kva-agamyEH-ca gAXa-ajQAna-eka-sADanam /
