   [II,1 Hiranyas Erlebnisse]	[II,1 HiranyaH EH-lebnisse]
   mriyamāṇasya cihnāni yāni tāny eva yācataḥ || 65 || ]	mriyamANasya cihnAni yAni tAni eva yAcataH || 65 || ]
   tad arthitvam api jaghanyam |	tat arTi-tvam api jaGanyam |
   [ vairāgyāharaṇaṃ dhiyo 'paharaṇaṃ mithyāvikalpāspadaṃ	[ vErAgya-AharaNam DiyaH apaharaNam miTyA-vikalpa-Aspadam
   paryāyo maraṇasya dainyavasatiś śaṅkānidhānaṃ param |	paryAyaH maraNasya dEnya-vasatiH SaFkA-niDAnam param |
   mūrtaṃ lāghavam āspadaṃ ca vipadāṃ tejoharaṃ māninām	mUrtam lAGavam Aspadam ca vipadAm tejaH-haram mAninAm
   arthitvaṃ hi manasvināṃ na narakāt paśyāmi vastvantaram || 66 || ]	arTi-tvam hi manasvinAm na narakAt paSyAmi vastu-antaram || 66 || ]
   api ca |	api ca |
   [ nirdravyo hriyam eti hrīparigataḥ prabhraśyate tejaso	[ nirdravyaH hriyam eti hrI-parigataH praBraSyate tejasaH-
   nistejāḥ paribhūyate paribhavān nirvedam āgacchati |	nistejAH pariBUyate pariBavAt nirvedam AgacCati |
   nirviṇṇaś śucam eti śokamanaso buddhiḥ paribhraśyati	nirviNNaH Sucam eti Soka-manasaH budDiH pariBraSyati
   nirdhīkaḥ kṣayam ety aho nidhanatā sarvāpadām āspadam || 67 || ]	nirDIkaH kzayam eti aho niDana-tA sarva-ApadAm Aspadam || 67 || ]
   api ca |	api ca |
   [ varam ahimukhe krodhāviṣṭhe karau viniveśitau	[ varam ahi-muKe kroDa-avizWe karO viniveSitO
   viṣam api varaṃ pītvā suptaṃ yamasya niveśane |	vizam api varam pItvA suptam yamasya niveSane |
   girivarataṭād ātmā mukto varaṃ śatadhā gato	giri-vara-tawAt AtmA muktaH varam SataDA gataH-
   na tu khalajanāvāptair arthaiḥ priyaṃ kṛtam ātmanaḥ || 68 ||	na tu Kala-jana-avAptEH arTEH priyam kRtam AtmanaH || 68 ||
   varaṃ vibhavahīnena prāṇais santarpitoanalaḥ	varam viBava-hInena prANEH santarpitaH-analaH
   nopacāraparibhraṣṭaḥ kṛpaṇo 'bhyarthitojanaḥ || 69 || ]	na-upacAra-pariBrazwaH kRpaNaH aByarTitojanaH || 69 || ]
   athaivaṃ gate kenopāyena jīvitaṃ syāt |	aTa-evam gate kena-upAyena jIvitam syAt |
   kiṃ cauryeṇa |	kim cOryeNa |
   tad api parasvādānaṃ kaṣṭataram |	tat api para-sva-AdAnam kazwataram |
   yatkāraṇam !	yad-kAraNam !
   [ varaṃ yuktaṃ maunaṃ na ca vacanam uktaṃ yad anṛtaṃ	[ varam yuktam mOnam na ca vacanam uktam yat anRtam
   varaṃ mṛtyuś ślāghyo na ca parakalatrābhigamanam |	varam mRtyuH SlAGyaH na ca para-kalatra-aBigamanam |
   varaṃ prāṇatyāgo na ca piśunavakyeṣv abhiratir	varam prANatyAgaH na ca piSuna-vakyezu aBiratiH-
   varaṃ bhikṣārthitvaṃ na ca paradhanāsvādam asakṛt || 70 || ]	varam BikzA-arTi-tvam na ca para-Dana-AsvAdam asakRt || 70 || ]
   tad arthitve 'pi hi puruṣasya dhruvo 'vamānaḥ |	tat arTi-tve api hi puruzasya DruvaH avamAnaH |
   katham |	kaTam |
   [ ākāraparivṛttis tu buddheḥ paribhavaḥ punaḥ |	[ AkAra-parivRttiH tu budDeH pariBavaH punar |
   āśāhānir ivārthitvaṃ parāsutvam ivāparam || 71 || ]	ASA-hAniH iva-arTi-tvam parAsu-tvam iva-aparam || 71 || ]
   atha kiṃ parapiṇḍenātmānaṃ yāpayāmi |	aTa kim para-piNxena-AtmAnam yApayAmi |
   kaṣṭaṃ bhoḥ |	kazwam BoH |
   tad api dvitīyaṃ mṛtyudvāram |	tat api dvitIyam mRtyu-dvAram |
   [ rogī cirapravāsī parānnabhojī parāvasathaśāyī |	[ rogI cira-pravAsI para-anna-BojI para-AvasaTa-SAyI |
   yaj jīvati tan maraṇaṃ so 'sya viśrāmaḥ || 72 || ]	yat jIvati tat maraNam saH asya viSrAmaH || 72 || ]
   api ca |	api ca |
   [ jātaḥ kule mahati mānadhanāvaliptas	[ jAtaH kule mahati mAna-Dana-avalipta-s
   sammānanābhyudayakāla iva praharṣī |	sammAnana-aByudaya-kAlaH iva praharzI |
   tac cheṣapiṇḍam api nāma nṛpasya bhuṅkte	tat Seza-piNxam api nAma nRpasya BuFkte
   yas sārameya iva kaṣṭataraṃ kim anyat || 73 || ]	yaH sArameyaH iva kazwataram kim anyat || 73 || ]
   [ āśāviplutacetaso 'bhilaṣitāl lābhād alābho varas	[ ASA-vipluta-cetasaH aBilazitAt lABAt alABaH varas
   tasyālābhanirākṛtā hi tanutām āpadyate prārthanā |	tasya-alABa-nirAkRtA hi tanu-tAm Apadyate prArTanA |
   iṣṭāvāptisamudbhavas tu sutarāṃ harṣaḥ pramāthī dhṛtes	izwa-avApti-samudBavaH tu sutarAm harzaH pramATI DRteH-
   setor bhaṅga ivāmbhasāṃ vivaśatāṃ vegena vistāryate || 74 || ]	setoH BaFgaH iva-amBasAm vivaSatAm vegena vistAryate || 74 || ]
   api ca |	api ca |
   [ tiryakpātitacakṣuṣāṃ smayavatām ucchaiḥ kṛtaikabhruvām	[ tiryak-pAtita-cakzuzAm smayavatAm ucCEH kRta-eka-BruvAm
   āḍhyānām avalepatuṅgaśirasāṃ śrutvā giro dāruṇāḥ |	AXyAnAm avalepa-tuFga-SirasAm SrutvA giraH dAruNAH |
   kiṃ sadyas sphuṭanaṃ prayuktam urasas sevākṛtām arthinām	kim sadyas sPuwanam prayuktam urasas sevA-kRtAm arTinAm
   antas tad yadi varjasāradṛḍhayā nālipyate tṛṣṇayā || 75 ||	antar tat yadi varjasAra-dRXayA na-Alipyate tRzNayA || 75 ||
   dīnā dīnamukhair yadi svaśiśukair ākṛṣṭacīrāmbarā	dInA dIna-muKEH yadi sva-SiSukEH AkRzwa-cIra-ambarA
   krośadbhiḥ kṣudhitair nirannapiṭhirā dṛśyate no gehinī |	kroSadBiH kzuDitEH niranna-piWirA dRSyate naH gehinI |
   yācñabhaṅgabhayena gadgadagalaproccāritārdhākṣaraṃ	yAcQa-BaFga-Bayena gadgada-gala-proccArita-arDa-akzaram
   ko dehīti vadet svadagdhajaṭharasyārthe manasvī pumān || 76 || ]	kaH dehi-iti vadet sva-dagDa-jaWarasya-arTe manasvI pumAn || 76 || ]
   tan nissvateyam anekaprakāraṃ maraṇam |	tat nissvatA-iyam aneka-prakAram maraNam |
   atha cet tad eva dhanam ātmīkaromi |	aTa ced tat eva Danam AtmIkaromi |
   mayā tu tayor durātmanor upadhānīkṛtā dṛṣṭapūrvās te dīnārās	mayA tu tayoH durAtmanoH upaDAnIkRtAH dRzwa-pUrvAH te dInArAH-
   sthagitāḥ |	sTagitAH |
   evaṃ ca sampradhārya gato 'haṃ tam uddeśam |	evam ca sampraDArya gataH aham tam uddeSam |
   atha tāv anyamanaskau matvā sañjighṛkṣur aham upaśliṣṭaḥ |	aTa tO anya-manaskO matvA saQjiGRkzuH aham upaSlizwaH |
   dṣṭvā ca māṃ bṛhatsphig laguḍenātāḍayat |	dzwvA ca mAm bRhat-sPij laguxena-atAxayat |
   aham api mumūrṣuḥ kathamapi nivṛttaḥ |	aham api mumUrzuH kaTam-api nivRttaH |
   punar api cirād baddhāśas samāśvasya dīnārāntikam upaśliṣṭas	punar api cirAt badDa-ASas samASvasya dInAra-antikam upaSlizwa-s
   tena nirdayenaivaṃ śirasy abhihataḥ ! yenādyāpi svapnagatānām api	tena nirdayena-evam Sirasi aBihataH ! yena-adya-api svapna-gatAnAm api
   tādṛśānām udvije |	tAdRSAnAm udvije |
   paśya cemaṃ tatkālakṛtaṃ śirasi me vraṇam |	paSya ca-imam tad-kAla-kRtam Sirasi me vraNam |
   sādhu cedam ucyate |	sADu ca-idam ucyate |
   [ sarvaprāṇavināśasaṃśayakarīṃ prāpyāpadaṃ dustarāṃ	[ sarva-prANa-vinASa-saMSaya-karIm prApya-Apadam dustarAm
   pratyāsannabhayo na vetti vidhuraṃ svaṃ jīvitaṃ kāṅkṣati |	pratyAsanna-BayaH na vetti viDuram svam jIvitam kAFkzati |
   uttīrṇas tu tato dhanārtham aparāṃ bhūyo viśaty āpadaṃ	uttIrNaH tu tatas Dana-arTam aparAm BUyas viSati Apadam
   prāṇānāṃ ca dhanasya sādhanadhiyām anyonyahetuḥ paṇaḥ || 77 || ]	prANAnAm ca Danasya sADana-DiyAm anyonya-hetuH paNaH || 77 || ]
   so 'haṃ bahu vicintyāstāṃ dhanam etan mameti nivṛttas	saH aham bahu vicintya-AstAm Danam etat mama-iti nivRtta-s
   tṛṣṇātaḥ |	tRzNAtaH |
   suṣṭu cedam ucyate |	suzwu ca-idam ucyate |
   [ jñānaṃ cakṣur nedaṃ śīlaṃ kulaputratā na kulajanma |	[ jQAnam cakzuH na-idam SIlam kula-putra-tA na kula-janma |
   santoṣaś ca samṛddhiḥ pāṇḍityam avāryavinivṛttiḥ || 78 ||	santozaH ca samRdDiH pANxityam avArya-vinivRttiH || 78 ||
   sarvās sampattayas tasya santuṣṭaṃ yasya mānasam |	sarvAH sampattayaH tasya santuzwam yasya mAnasam |
   upānadgūḍhapādasya sarvā carmāvṛtaiva bhūḥ || 79 ||	upAnat-gUXa-pAdasya sarvA carma-AvRtA-eva BUH || 79 ||
   na yojanaśataṃ dūraṃ vāhyamānasya tṛṣṇayā |	na yojana-Satam dUram vAhyamAnasya tRzNayA |
   sant.uṣṭasya karaprāpte 'py arthe bhavati nādaraḥ || 80 ||	sant.uzwasya kara-prApte api arTe Bavati na-AdaraH || 80 ||
   sarpāḥ pibanti pavanaṃ na ca durbalās te	sarpAH pibanti pavanam na ca durbalAH te
   parṇais tṛṇair vanagajā balino bhavanti |	parNEH tRNEH vana-gajAH balinaH Bavanti |
   mūlaiḥ phalair munivarāḥ kṣapayanti kālaṃ	mUlEH PalEH muni-varAH kzapayanti kAlam
   santoṣa eva mahatāṃ paramā vibhūtiḥ || 81 || ]	santozaH eva mahatAm paramA viBUtiH || 81 || ]
   tat sarvathāsādhye 'rthe pariccheda eva śreyān |	tat sarvaTA-asADye arTe paricCedaH eva SreyAn |
   [ dāridryasya parā mūrtir yācñā na draviṇālpatā |	[ dAridryasya parA mUrtiH yAcQA na draviNa-alpa-tA |
   jaradgavadhanaś śambhus tathāpi parameśvaraḥ || 82 || ]	jarat-gava-DanaH SamBuH taTA-api parameSvaraH || 82 || ]
   tathā ca |	taTA ca |
   [ ko dharmo bhūtadayā kiṃ saukhyam arogatā jantoḥ |	[ kaH DarmaH BUta-dayA kim sOKyam aroga-tA jantoH |
   kas snehas sadbhāvaḥ kiṃ pāṇḍityaṃ paricchedaḥ || 83 ||	kaH snehaH sadBAvaH kim pANxityam paricCedaH || 83 ||
   santi śākāny araṇyeṣu nadyaś ca vimalodakāḥ |	santi SAkAni araNyezu nadyaH ca vimala-udakAH |
   candras sāmānyadīpo 'yaṃ vibhavaiḥ kiṃ prayojanam || 84 || ]	candraH sAmAnya-dIpaH ayam viBavEH kim prayojanam || 84 || ]
   iti |	iti |
   evam avadhāryāhaṃ svabhavanam āgato 'paśyaṃ citragrīvaṃ	evam avaDArya-aham sva-Bavanam AgataH apaSyam citragrIvam
   pāśabaddham |	pASa-badDam |
   iti ca taṃ mokṣayitvānena laghupatanakenāhaṃ bhavadantikaṃ	iti ca tam mokzayitvA-anena laGupatanakena-aham Bavat-antikam
   prāpitaḥ |	prApitaH |
   [II,4 Der arme Somilaka]	[II,4 DeH arme Somilaka]
   asti ! kasmiṃścid adhiṣṭhāne somilako nāma kaulikaḥ prativasati sma |	asti ! kasmiMScid aDizWAne somilakaH nAma kOlikaH prativasati sma |
   sa yad upārjayati ! tat tasya divasavyayād ṛte 'dhikatāṃ nopayāti |	sa yat upArjayati ! tat tasya divasa-vyayAt Rte aDika-tAm na-upayAti |
   jātanivedaś cāsau deśāntaram agamat |	jAta-nivedaH ca-asO deSa-antaram agamat |
   tatra mahatā kleśena varṣatrayābhyantare dīnāraśatam arjitam !	tatra mahatA kleSena varza-traya-aByantare dInAra-Satam arjitam !
   svadeśaṃ ca prāyāt |	sva-deSam ca prAyAt |
   ardhapathe sandhyāsamaye prāpte nyagrodhapādam araṇyamadhye	arDa-paTe sanDyA-samaye prApte nyagroDa-pAdam araNya-maDye
   samāsāditavān ! acintayac ca |	samAsAditavAn ! acintayat ca |
   kva sāmprataṃ gamiṣyāmi viprakṛṣṭataraṃ grāmasyeti |	kva sAmpratam gamizyAmi viprakRzwataram grAmasya-iti |
   tad asminn eva nyagrodhapādapae ārūḍho yāminīṃ yāpayāmi |	tat asmin eva nyagroDa-pAdapae ArUXaH yAminIm yApayAmi |
   ity avadhārya tathā kṛtavān |	iti avaDArya taTA kRtavAn |
   ardharātre ca katañcit svapnae iva paśyati sma dvau puruṣau	arDarAtre ca ka-taQcid svapnae iva paSyati sma dvO puruzO
   mahāpramāṇau divyākṛtī krodhasaṃraktanayanau tasyābhyāśam	mahA-pramANO divya-AkRtI kroDa-saMrakta-nayanO tasya-aByASam
   āyātau |	AyAtO |
   tayor ekenābhihitam |	tayoH ekena-aBihitam |
   bho vaṅkālaka ! evaṃ bhavān |	Bo vaFkAlakaH ! evam BavAn |
   bahuśas tvaṃ mayā nivāritapūrvaḥ ! yathāsya somilakasya	bahuSas tvam mayA nivArita-pUrvaH ! yaTA-asya somilakasya
   pānabhojanād ṛte 'paraṃ na kiñcid dātavyam |	pAna-BojanAt Rte aparam na kiQcid dAtavyam |
   asyādya dīnāraśataṃ vartate |	asya-adya dInAra-Satam vartate |
   śīghram apaharasveti |	SIGram apaharasva-iti |
   athāsāv āha |	aTa-asO Aha |
   yathājñāpayasi ! deva |	yaTA-AjQApayasi ! deva |
   evaṃ karomi |	evam karomi |
   ity ākarṇya pratibuddho 'sau yāvat ! dīnāraśataṃ nāpaśyat !	iti AkarNya pratibudDaH asO yAvat ! dInAra-Satam na-apaSyat !
   viṣaṇṇahṛdayaś cācintayat |	vizaNNa-hRdayaH ca-acintayat |
   kaṣṭaṃ bhoḥ |	kazwam BoH |
   kim etat |	kim etat |
   katham iha kenāpi bhūtena vañcitaḥ |	kaTam iha kena-api BUtena vaQcitaH |
   tat kim adhunā gṛhaṃ gatvā kariṣye |	tat kim aDunA gRham gatvA karizye |
   itaḥ pratinivṛtya punar vittam āsādya yāvad gacchāmi |	itas pratinivRtya punar vittam AsAdya yAvat gacCAmi |
   evaṃ cintayan prabhātāyāṃ rātryāṃ bhūyo 'pi nagaram āsādya	evam cintayan praBAtAyAm rAtryAm BUyas api nagaram AsAdya
   vittopārjanāya cittam āsthāya katipayakālena pañcāśad dīnārān	vitta-upArjanAya cittam AsTAya katipaya-kAlena paQcASat dInArAn
   upārjya punas svadeśagamanāya tenaiva mārgeṇa pravartitaḥ |	upArjya punar sva-deSa-gamanAya tena-eva mArgeNa pravartitaH |
   daivacoditassan nādhikaṃ labhate ! nānyamārgagamanaṃ vā |	dEva-coditaH-san na-aDikam laBate ! na-anya-mArga-gamanam vA |
   tatraiva nīyate ! yāvad astaṃ gacchati bhānau tam eva nyagrodham	tatra-eva nIyate ! yAvat astam gacCati BAnO tam eva nyagroDam
   āsāditavān ! acintayac ca |	AsAditavAn ! acintayat ca |
   kaṣṭhaṃ bhoḥ |	kazWam BoH |
   kim idam ārabdhaṃ daivahatakena |	kim idam ArabDam dEva-hatakena |
   punas sa eva nyagrodharūpī rākṣasa āpatita iti |	punar saH eva nyagroDa-rUpI rAkzasaH ApatitaH iti |
   evaṃ cintayan svapnāyamānaḥ paśyati sma dvāvetau puruṣau |	evam cintayan svapnAyamAnaH paSyati sma dvO=-etO puruzO |
   tayor eko 'bravīt |	tayoH ekaH abravIt |
   bho vaṅkāla ! somilakasya pañcāśad dīnārā vartante |	Bo vaFkAla ! somilakasya paQcASat dInArAH vartante |
   tan na yuktam |	tat na yuktam |
   tato 'sāv āha |	tatas asO Aha |
   hṛtān avadhārayasveti |	hRtAn avaDArayasva-iti |
   somilakas tu pratibuddho nādrākṣīd dhṛtān iti |	somilakaH tu pratibudDaH na-adrAkzIt DRtAn iti |
   atha jātanirvedo 'bravīt |	aTa jAta-nirvedaH abravIt |
   kiṃ mama j-vitena prayojanam |	kim mama j-vitena prayojanam |
   ko 'yaṃ vṛttāntaḥ ! kena vā kāraṇena mama kleśārjitavittam	kaH ayam vRttAntaH ! kena vA kAraNena mama kleSa-arjita-vittam
   apaharatīti na vijānāmi |	apaharati-iti na vijAnAmi |
   atha prāṇāṃs tyakṣyāmīti |	aTa prANAn tyakzyAmi-iti |
   evaṃ cintayan nirāhāras tatra eva tasthau ! yāvat katipayair evāhobhir	evam cintayan nirAhAraH tatra eva tasTO ! yAvat katipayEH eva-ahoBiH-
   divyākāraṃ puruṣaṃ dṛṣṭavān |	divya-AkAram puruzam dRzwavAn |
   tenoktaḥ |	tena-uktaH |
   bhos somilaka ! dhanado 'smi |	BoH somilakaH ! DanadaH asmi |
   nābhāvyaṃ kasmaicit prayacchāmi dhanam |	na-aBAvyam kasmEcid prayacCAmi Danam |
   tathā ca |	taTA ca |
   [ yad abhāvi na tad bhāvi bhāvi yat tad ananyathā |	[ yat aBAvi na tat BAvi BAvi yat tat ananyaTA |
   iti cintāviṣaghno 'yam agadaḥ kiṃ na pīyate || 113 ||	iti cintA-viza-GnaH ayam agadaH kim na pIyate || 113 ||
   śayāna ākasmikam aśnute phalaṃ	SayAnaH Akasmikam aSnute Palam
   kṛtaprayatno 'py aparo 'vasīdati |	kRta-prayatnaH api aparaH avasIdati |
   asaṃyamān nṛtyati kevalaṃ jano	asaMyamAt nRtyati kevalam jano
   vidhis tu yatrecchati tatra sampadaḥ || 114 ||	viDiH tu yatra-icCati tatra sampadaH || 114 ||
   naivākṛtiḥ phalati naiva guṇā na śauryaṃ	na-eva-AkRtiH Palati na-eva guNAH na SOryam
   vidyā na caiva na ca yatnakṛto viśeṣaḥ |	vidyA na ca-eva na ca yatna-kRtaH viSezaH |
   bhāgyāni karmaphalasañcayasañcitāni	BAgyAni karma-Pala-saQcaya-saQcitAni
   kāle phalanti puruṣasya yathaiva vṛkṣāḥ || 115 ||	kAle Palanti puruzasya yaTA-eva vRkzAH || 115 ||
   kruddho 'pi kaḥ kasya karoti duḥkhaṃ	krudDaH api kaH kasya karoti duHKam
   sukhaṃ ca kaḥ kasya karoti hṛṣṭaḥ |	suKam ca kaH kasya karoti hRzwaH |
   svakarmagranthigrathitohi lokaḥ	sva-karma-granTi-graTita-Uhi lokaH
   kartā karotīti vṛthābhimānaḥ || 116 ||	kartA karoti-iti vRTA-aBimAnaH || 116 ||
   buddhimanto mahotsāhāḥ prājñāś śūrāḥ kulodgatāḥ |	budDimantaH mahA-utsAhAH prAjQAH SUrAH kula-udgatAH |
   pāṇipādair upetāś ca pareṣāṃ bhṛtyatāṃ gatāḥ || 117 || ]	pANi-pAdEH upetAH ca parezAm BRtya-tAm gatAH || 117 || ]
   kim atra paridevitena ! somilaka |	kim atra paridevitena ! somilakaH |
   pānabhojanād ṛte tava vittopārjanaṃ na kiñcid asti |	pAna-BojanAt Rte tava vitta-upArjanam na kiQcid asti |
   [ vahanti śivikām anye santy anye śivikāṃ gatāḥ |	[ vahanti SivikAm anye santi anye SivikAm gatAH |
   akāraṇaṃ hi vaktṛtvaṃ vyutthānaṃ kevalaṃ jarā || 118 ||	akAraNam hi vaktR-tvam vyutTAnam kevalam jarA || 118 ||
   na mantrabalavīryeṇa prajñayā pauruṣeṇa vā |	na mantra-bala-vIryeNa prajQayA pOruzeNa vA |
   avaśyaṃ labhate jantur atra kā paridevanā || 119 ||	avaSyam laBate jantuH atra kA paridevanAH || 119 ||
   labdhavyāny eva labhate gantavyāny eva gacchati |	labDavyAni eva laBate gantavyAni eva gacCati |
   prāptavyāny eva cāpnoti duḥkhāni ca sukhāni ca || 120 ||	prAptavyAni eva ca-Apnoti duHKAni ca suKAni ca || 120 ||
   aprārthitāni duḥkhāni yathaivāyānti dehinām |	aprArTitAni duHKAni yaTA-eva-AyAnti dehinAm |
   sukhāny api tathā manye daivam atrātiricyate || 121 ||	suKAni api taTA manye dEvam atra-atiricyate || 121 ||
   tat ko viśeṣayati kena kṛto viśiṣṭaḥ	tat kaH viSezayati kena kRtaH viSizwaH
   ko vā dhanais saha vijāyati ko daridraḥ |	kaH vA DanEH saha vijAyati kaH daridraH |
   bhāgyāni ṣaṭpada iva sthiracañcalāni	BAgyAni zawpadaH iva sTira-caQcalAni
   nityaṃ manuṣyakusumeṣu paribhramanti || 122 || ]	nityam manuzya-kusumezu pariBramanti || 122 || ]
   tathāpi daivapuruṣayogād arthotpattiḥ ! puruṣaś carati ! daivaṃ	taTA-api dEva-puruza-yogAt arTa-utpattiH ! puruzaH carati ! dEvam
   phalatīti |	Palati-iti |
   atrodyogapareṇāhaṃ bhavatā dṛṣṭaḥ |	atra-udyoga-pareNa-aham BavatA dRzwaH |
   amoghadarśano 'smi |	amoGa-darSanaH asmi |
   kiṃ nu te karavai |	kim nu te karavE |
   asau vijñāpitavān |	asO vijQApitavAn |
   dhanaṃ me dehīti |	Danam me dehi-iti |
   dhanado vihasyābravīt |	DanadaH vihasya-abravIt |
   mūḍha ! kiṃ nv anena kriyate |	mUXaH ! kim nu anena kriyate |
   upabhogo 'tra kāraṇam |	upaBogaH atra kAraNam |
   gaccha ! asminn evādhiṣṭhāne dvau vaṇijakau paśya |	gacCa ! asmin eva-aDizWAne dvO vaNijakO paSya |
   eko dhanī ! aparo bhogavān |	ekaH DanI ! aparaH BogavAn |
   tau dṛṣṭvā yādṛk tayor abhivāñchasīti ! tādṛg bhaviṣyasi |	tO dRzwvA yAdRS tayoH aBivAQCasi-iti ! tAdRS Bavizyasi |
   ity uktvāntarhitaḥ |	iti uktvA-antarhitaH |
   somilako 'pi prabhāte tan nagaraṃ upaviśya sārthavāhaṃ	somilakaH api praBAte tat nagaram upaviSya sArTavAham
   dhanaguptam āsasāda |	Danaguptam AsasAda |
   tatrāsau nirbhartsyamāno 'pi kathamapi gṛhe praviśyālindake	tatra-asO nirBartsyamAnaH api kaTam-api gRhe praviSya-alindake
   nipatyāvasthitaḥ |	nipatya-avasTitaH |
   so 'pi vaṇik sandhyām ativāhya niśāmukhe kiñcitmātram aśanam	saH api vaNij sanDyAm ativAhya niSA-muKe kiQcit-mAtram aSanam
   akarot |	akarot |
   somilake 'pi kiñcitmātram aśanam adāpayat |	somilake api kiQcit-mAtram aSanam adApayat |
   athāsau kaulikaḥ kuśān āstīrya bhūmau nipatya supto 'paśyat tāv eva	aTa-asO kOlikaH kuSAn AstIrya BUmO nipatya suptaH apaSyat tO eva
   dvau puruṣau |	dvO puruzO |
   tayor eko 'bravīt |	tayoH ekaH abravIt |
   bho vaṅkāla ! dhanaguptenādya kaulikasyāśanaṃ dāpayatā	Bo vaFkAla ! Danaguptena-adya kOlikasya-aSanam dApayatA
   dviguṇavyayenātmā niyojita iti |	dviguNa-vyayena-AtmA niyojitaH iti |
   sarvasya nipuṇaṃ gaṇayāmi |	sarvasya nipuNam gaNayAmi |
   nāsya sthāpanād ṛte dāne bhojane vā kiñcid vihitam |	na-asya sTApanAt Rte dAne Bojane vA kiQcid vihitam |
   tad ahaṃ prātas samīkaromīti |	tat aham prAtar samIkaromi-iti |
   evaṃ śrutvā pratibuddhaḥ |	evam SrutvA pratibudDaH |
   dhanagupto 'pi prātar viṣūcikayā mahānatyayaṃ gataḥ |	DanaguptaH api prAtar vizUcikayA mahAn-atyayam gataH |
   svedoṣṇavāripānādinā ca parikliṣyopoṣitaḥ |	sveda-uzNa-vAri-pAna-AdinA ca pariklizya-upozitaH |
   tatas sa kaulikaḥ prabhāte daivacoditoacintayat |	tatas sa kOlikaH praBAte dEva-codita-ua-cintayat |
   īdṛśena dhanena kiṃ kāraṇam |	IdRSena Danena kim kAraNam |
   prakṛtir dustyajeti |	prakRtiH dustyajA-iti |
   tato dvitīyaṃ taṃ vyayaśīlaṃ bhogavarmāṇam uddiśya somilako	tatas dvitIyam tam vyaya-SIlam Boga-varmANam uddiSya somilakaH-
   gataḥ |	gataH |
   tenāsau mahatā bhojanapānādinā satkṛtas somilakas tathaiva mahati	tena-asO mahatA Bojana-pAna-AdinA satkRtaH somilakaH taTA-eva mahati
   śayane sopacāre svāstīrṇe niśāyāṃ supto 'paśyat tāv eva	Sayane sa-upacAre su-AstIrNe niSAyAm suptaH apaSyat tO eva
   puruṣau |	puruzO |
   tayor eko 'bravīt |	tayoH ekaH abravIt |
   bhadra vaṅkāla ! śobhanam anuṣṭhitaṃ bhogavarmaṇā prāhuṇakaṃ	Badra vaFkAla ! SoBanam anuzWitam BogavarmaNA prAhuNakam
   somilakaṃ sammānayatā |	somilakam sammAnayatA |
   tadbhūyo 'pi pravardhamānam arthaṃ vyayopabhoge 'sya dātavyam |	tat-BUyas api pravarDamAnam arTam vyaya-upaBoge asya dAtavyam |
   sa cāha |	sa ca-Aha |
   evaṃ kriyate |	evam kriyate |
   pratibuddhas somilako 'cintayat |	pratibudDaH somilakaH acintayat |
   bhogā īdṛśo me bhavantu |	BogAH IdRSaH me Bavantu |
   kiṃ dhanena nāmamātreṇa kriyataeiti |	kim Danena nAma-mAtreNa kriyatae-iti |
   tathā ca samarthitavān |	taTA ca samarTitavAn |
   II.5 [Citrāṅgas Erzählung]	II.5 [Citra-aFgaH Erzählung]
   asti ! ahaṃ kadācid yamunākacche śāligrāmamadhye	asti ! aham kadAcid yamunA-kacCe SAli-grAma-maDye
   priyakamṛgyām utpannaḥ |	priyaka-mRgyAm utpannaH |
   vayaṃ ṣaḍjātayaḥ |	vayam zaz-jAtayaH |
   tathā ca |	taTA ca |
   camūraḥ kadalī kandalī priyaka eṇaka ete mṛgayonayas stutāḥ pañca	camUraH kadalI kandalI priyakaH eNakaH ete mRga-yonayaH stutAH paQca
   eva |	eva |
   mātṛdugdhaprasādena dve gatī jānanti |	mAtR-dugDa-prasAdena dve gatI jAnanti |
   ūrdhvā ! āñjasī ceti |	UrDvA ! AQjasI ca-iti |
   ete na lubdhakaiḥ prāpyante |	ete na lubDakEH prApyante |
   priyakajātīyo 'haṃ manuṣyapriyaś cireṇākṣiṇī nimīlayāmi |	priyaka-jAtIyaH aham manuzya-priyaH cireNa-akziNI nimIlayAmi |
   tathā sati me mātā yadā gatā ! tadāhaṃ lubdhakaiḥ potaka eva gṛhitaḥ	taTA sati me mAtA yadA gatA ! tadA-aham lubDakEH potakaH eva gRhitaH
   strīkṣīreṇa vivardhitoyāvat tadgṛhe nivasāmi ! tāvan me mātā	strI-kzIreNa vivarDi-toyAvat tad-gRhe nivasAmi ! tAvat me mAtA
   svayūthyaiś carati |	sva-yUTyEH carati |
   tayābhihitam |	tayA-aBihitam |
   aho daivam |	aho dEvam |
   aham aputravatī kva me putra iti |	aham aputravatI kva me putraH iti |
   evaṃ mayākarṇyāvadhāritam |	evam mayA-AkarNya-avaDAritam |
   kiṃ me lubdhakaiḥ |	kim me lubDakEH |
   nijakṛtrimayos sahāyayor nijas sahāyo garīyān iti |	nija-kRtrimayoH sahAyayoH nijaH sahAyaH garIyAn iti |
   tato lubdhakagṛhāt svairaṃ gata āsam |	tatas lubDaka-gRhAt svEram gataH Asam |
   atha lubdhakasakāśād āgata iti bhayacakitadṛśaṃ mātaraṃ	aTa lubDaka-sakASAt AgataH iti Baya-cakita-dRSam mAtaram
   prāptaḥ |	prAptaH |
   tayāham ānanditaḥ |	tayA-aham AnanditaH |
   kim etad āścaryam iti pṛṣṭaḥ |	kim etat AScaryam iti pRzwaH |
