   <B1> dvitīyaḥ pādaḥ /	<B1> dvitIyaH pAdaH /
   haviṣkṛdehītyanenāvaghātaprakāśanopapattiriti kaustubhe	havizkRt-ehi-iti-anena-avaGAta-prakASana-upapattiH-iti kOstuBe
   draṣṭavyamityarthaḥ /	drazwavyam-iti-arTaH /
   mantrasyāhvānānaṅgatve āhvayatyanvayāyogaśaṅkāparihārāyāha --------	mantrasya-AhvAnA-anaFga-tve Ahvayati-anvayA-yoga-SaFkA-parihArAya-Aha --------
   āhvayatiśceti //	AhvayatiH-ca-iti //
   haviṣkṛdehīti mantreṇaihītiśabdoccāraṇādadhvaryurāhvānamācaṣṭa ityarthe	havizkRt-ehi-iti mantreNa-ehIti-Sabda-uccAraNAt-aDvaryuH-AhvAnam-AcazwaH iti-arTe
   "tatkaroti tadācaṣṭe" iti smṛtyā ṇicaṃ vyutpādyāhvayatiprayogopapatteḥ	"tat-karoti tadAcazwe" iti smRtyA Nicam vyutpAdya-Ahvayati-prayoga-upapatteH
   śakyārthabodhakālīnāhvānaprakāśanānuvādādāhvayatyanvayopapattirityarthaḥ	Sakya-arTa-boDa-kAlIn-AhvAnaprakASana-anuvAdAt-Ahvayati-anvaya-upapattiH-iti-arTaH
   vacanasya mukhyāhvānasaṃbandhenāpyupapatteḥ	vacanasya muKya-AhvAn-asaMbanDena-api-upapatteH
   mukhyaviśeṣyabhūtāhvānabhāvanāsaṃbandhasyābhyarhitatvāt trirityasyāvaghāte	muKya-viSezya-BUtAhvAna-BAvanA-saMbanDasya-aByarhita-tvAt tris-iti-asya-avaGAte
   'nvayānupapattyā aśrutamantrapāṭhakriyāviṣayatvāpatteḥ dhātoḥ	anvaya-anupapattyA aSruta-mantra-pAWa-kriyA-vizaya-tva-ApatteH DAtoH
   sādhutvapārārthyaviśiṣṭavidhigauravādyāpatteḥ vinā kāraṇamākhyātasyācaṣṭa	sADu-tva-pAra-arTya-viSizwa-viDi-gOrava-Adya-ApatteH vinA kAraNam-AKyAtasya-Acazwa
   ityarthalakṣaṇāpatternāvaghāte gauṇe viniyoga; kintu āhvāna	iti-arTa-lakzaNa-ApatteH-na-avaGAte gONe viniyoga; kintu AhvAna
   evetyabhipretya siddhāntamāha ------- mukhya eveti //	eva-iti-aBipretya sidDAntam-Aha ------ muKyaH eva-iti //
   āhvānasyāvihitatvānna tadaṅgatvena mantravidhiḥ	AhvAnasya-avihita-tvAt-na tad-aFga-tvena mantra-viDiH
   saṃbhavatītyāśaṅkāmapākaroti ------- māntravarṇiketi //	saMBavati-iti-ASaFkAm-apAkaroti ------ mAntra-varNikA-iti //
   yathā somapātramagṛhītvāpi somabhakṣaṇaprāpte "raśvinostvā bāhubhyāṃ	yaTA soma-pAtram-agRhItvA-api soma-BakzaNa-prApte "raSvinoH-tvA bAhuByAm
   sadhyāsa" miti mantravarṇaprakāśyatvānupapattyā grahaṇaniyamavidhiṃ	saDyAsa" miti mantra-varNa-prakASya-tva-anupapattyA grahaNa-niyama-viDim
   prakalpya tatra mantraviniyogaḥ kalpyate, evamihāpi	prakalpya tatra mantra-viniyogaH kalpyate, evam-iha-api
   tatprakāśyatvānupapattyā āhvānaniyamavidhikalpanayā āhvānasya	tad-prakASya-tva-anupapattyA AhvAna-niyama-viDi-kalpanayA AhvAnasya
   vidheyatvāvagamāttadaṅgatvena mantravidhānopapattirityarthaḥ /	viDeya-tva-avagamAt-tad-aFga-tvena mantra-viDAna-upapattiH-iti-arTaH /
   etena ------ nityaprāptatve 'pi	etena ----- nitya-prApta-tve api
   prathanādivadadhvaryukartṛkatvasiddhyarthamāhvānasyāpyatra vidhiriti	praTana-Adi-vat-aDvaryu-kartRka-tva-sidDi-arTam-AhvAnasya-api-atra viDiH-iti
   nyāyasudhākāroktaṃ -------- apāstam; vidheyāntarasattve	nyAya-suDA-AkAra-uktam ------- apAstam; viDeya-antara-sattve
   saṃbhavatprāptikāyāḥ kriyāyā vidhau gauravāt,	saMBavat-prApti-kAyAH kriyAyAH viDO gOravAt,
   mantrapāṭhasyādhvaryukartṛkatve pṛthakprayatnānāpādye āhvāne	mantra-pAWasya-aDvaryu-kartRka-tve pRTak-prayatnAn-ApAdye AhvAne
   'dhvaryukartṛkatvasyāpyarthataḥ prāpteśca /	aDvaryu-kartRka-tvasya-api-arTataH prApteH-ca /
   prathanasyatu prakāśarūpamantravyāpārato 'tyantabhinnatvātkriyāntara-	praTanasyatu prakASa-rUpa-mantra-vyApArataH atyanta-Binna-tvAt-kriyA-antara-
   rūpatvenamantrasyādhvaryavasamākhyayādhvaryukartṛtvaniyame 'pi na	rUpa-tvena-mantrasya-aDvaryava-sam-AKyayA-aDvaryu-kartR-tva-niyame api na
   tatkaraṇatvenādhvaryavaniyamaḥ sidhyati /	tad-karaNa-tvena-aDvaryavaniyamaH siDyati /
   āhvānasyatu parāgamanānukūlasvābhiprāyaprakāśanarūpatvāt tasya ceha	AhvAnasyatu para-Agamana-anukUla-sva-aBiprAya-prakASana-rUpa-tvAt tasya ca-iha
   mantravyāpārarūpatvena mantroccārayitṛ-	mantra-vyApAra-rUpa-tvena mantra-uccArayitR-
   vyatiriktenānuṣṭhātumevāśakyatvānmantrasyādhvaryukartṛkatvenaiva āhvānasya	vyatiriktena-anuzWAtum-eva-aSakya-tvAt-mantrasya-aDvaryu-kartRka-tvena-eva AhvAnasya
   tatkartṛkatvasiddhiriti vaiṣamyānna tatsidhdyarthamapi vidhirāvaśyaka	tad-kartRka-tva-sidDiH-iti vEzamyAt-na tad-siDdi-arTam-api viDiH-AvaSyaka
   ityarthaḥ //	iti-arTaH //
   patnyevetyevakāreṇāhvānaniyamanivṛttipratītyāśaṅkāṃ nirasyati --------	patnI-eva-iti-evakAreNa-AhvAn-a-niyama-nivRtti-pratIti-ASaFkAm nirasyati --------
   patnyeveti //	patnI-eva-iti //
   nānyeti //	na-anyA-iti //
   etena -------- patnyā vākyāntareṇa kartṛtvena	etena ------- patnyA vAkya-antareNa kartR-tvena
   vidhānātsamākhyāprāptādhvaryukartṛkatvasya	viDAnAt-samAKyA-prApta-aDvaryu-kartRkatvasya
   bādhāvagateradhvaryorulūkhalakṛṣṇājinānutsargavidhānāttaddvārānvārambhakatrṛtve	bADa-avagateH-aDvaryoH-ulUKala-kRzNa-ajina-anutsarga-viDAnAt-tad-dvAra-anvAramBaka-trR-tve
   'pi kartṛtvopacāreṇa tatkartṛkatvaṃ -------- sūcitam /	api kartR-tva-upacAreNa tad-kartRka-tvam ------- sUcitam /
   sahāyārthatveneti //	sahAya-arTa-tvena-iti //
   patnyā bahupadārthānuṣṭhānena śrāntasyādhvaryoravasaradānena	patnyA bahu-padArTa-anuzWAnena SrAntasya-aDvaryoH-avasara-dAnena
   sahāyatvādanyapadārthakāle 'pi tatprāpnoti, tathāpi haviṣkṛttvena	sahAya-tvAt-anya-padArTa-kAle api tad-prApnoti, taTA-api havizkRt-tvena
   tadāhvānasya haviṣkaraṇārthatvapratītestasya cāvaghātamārabhya	tad-AhvAnasya havizkaraNa-arTa-tva-pratIteH-tasya ca-avaGAtam-AraBya
   pravṛtteravaghātakāla eva prāptatvādanuvāda ityarthaḥ /	pravRtteH-avaGAta-kAle eva prApta-tvAt-anuvAdaH iti-arTaH /
   yadyapyavaghnannityatra kālalakṣaṇā'patati, tathāpi "lakṣaṇahetvoḥ	yadi-api-avaGnan=-iti-atra kAla-lakzaNA-apatati, taTA-api "lakzaNa-hetvoH
   kriyāyāḥ" iti sūtreṇa śatuḥ 'śayānā bhuñjate yavanāḥ' ityatreva	kriyAyAH" iti sUtreNa SatuH aSayAnAH BuQjate yavanAH-a iti-atra-iva
   lakṣaṇārthatvapratīteḥ	lakzaNa-arTa-tva-pratIteH
   avaghātakartṛtvāvasthāpannasyāhvānakartṛtvāvagateranvārambhadvārā	avaGAta-kartR-tva-avasTA-Apannasya-AhvAnakartR-tva-avagateH-anvAramBa-dvArA
   adhvaryukartṛkavartamānāvaghātasya	aDvaryu-kartRka-vartamAna-avaGAtasya
   kālikasaṃbandhenāhvānacihnatvapratīteravaghātakāle	kAlika-saMbanDena-AhvAn-a-cihna-tva-pratIteH-avaGAta-kAle
   āhvayatītyarthātkālalakṣaṇā śatṛpratyayopāttalakṣaṇatva-	Ahvayati-iti-arTAt-kAla-lakzaNA SatR-pratyaya-upAtta-lakzaNa-tva-
   ghaṭakatayānuśāsanaśiṣṭatvānna doṣāvahā //	Gawaka-tayA-anuSAsana-Sizwa-tvAt-na doza-AvahAH //
   vastutastu ---------	vastutas-tu ---------
   anutsargamātreṇāvaghātakartṛtvāsaṃbhavādanvārambhadvārā tadāśrayaṇe	anutsarga-mAtreNa-avaGAta-kartR-tva-asaMBavAt-anvAramBa-dvArA tad-ASrayaNe
   'vahantau lakṣaṇāpatternāyaṃ lakṣaṇe śatṛpratyayaḥ, kintu hetāveva /	avahantO lakzaNa-ApatteH-na-ayam lakzaNe SatR-pratyayaH, kintu hetO=-eva /
   tataścāvaghātārthamāhvayatītyarthādāhvānakartṛtvasamānādhikaraṇāvaghātakartṛtvaṃ	tatas-ca-avaGAta-arTam-Ahvayati-iti-arTAt-AhvAna-kartR-tva-samAna-aDikaraNa-avaGAta-kartR-tvam
   prayojakatvarūpamevāśrayituṃ yuktamityavaghātaphalāhvānasyāvaghātakāla eva	prayojaka-tva-rUpam-eva-ASrayitum yuktam-iti-avaGAta-Pala-AhvAnasya-avaGAta-kAle eva
   prāptervinaiva lakṣaṇāmavaghātaṃ kārayannāhvayatītyarthe na kaściddoṣa iti	prApteH-vinA-eva lakzaNAm-avaGAtam kArayan=-Ahvayati-iti-arTe na kaScid-dozaH iti
   bhāvaḥ //	BAvaH //
   yattu ---------- prakāśakārāṇāmanvārambhavidhānenāvaghāte	yat-tu --------- prakASa-kArANAm-anvAramBa-viDAnena-avaGAte
   'dhvaryukartṛtvopapādanaṃ --------- tat, kasmiṃścidapi sūtre	aDvaryu-kartR-tva-upapAdanam -------- tat, kasmiMScid-api sUtre
   patnyānvārambhavidhyadarśanādayuktamityupekṣitaṃ pūjyapādaiḥ //	patnyA-anvAramBa-viDi-adarSanAt-ayuktam-iti-upekzitam pUjya-pAdEH //
   mama tu pratibhāti ---------- triravaghnanniti siddhānuvādenāvaghāte	mama tu pratiBAti --------- tris-avaGnan=-iti sidDa-anuvAdena-avaGAte
   adhvaryoḥ kartṛtvābhyanujñānādavaghātaṃ kurvataivāhūtayā patnyā	aDvaryoH kartR-tva-aByanujQAnAt-avaGAtam kurvatA-eva-AhUtayA patnyA
   dvitīyāvaghātānuṣṭhānopapatterevakārasya	dvitIya-avaGAta-anuzWAna-upapatteH-evakArasya
   sahāyamātraniṣedhakatvenobhayakartṛtvāvirodha eva kātyāyanasūtrasaṃvādī	sahAya-mAtra-nizeDaka-tvena-uBaya-kartR-tva-aviroDaH eva kAtyAyana-sUtra-saMvAdI
   yuktaḥ /	yuktaH /
   tāvatāpi gauṇe 'vaghāte namantraviniyoga iti mīmāṃsakasiddhāntasyākṣatiḥ /	tAvatA-api gONe avaGAte na-mantra-viniyogaH iti mImAMsaka-sidDAntasya-akzatiH /
   ataeva kātīyānāṃ pūrvamadhvaryukartṛkamavahananamaparaṃ cāhvānottaraṃ	ataeva kAtIyAnAm pUrvam-aDvaryu-kartRkam-avahananama-param ca-AhvAna-uttaram
   patnīkartṛkaṃ cetyanuṣṭhānaṃ dṛśyate /	patnIkartRkam ca-iti-anuzWAnam dRSyate /
   evañca śatṛpratyayasya lakṣaṇatvārthādikalpanamapi nāśritaṃ bhavatīti /	evaQca SatR-pratyayasya lakzaNatva-arTa-Adi-kalpanam-api na-ASritam Bavati-iti /
   āvituṣībhāvamavaghātānuṣṭhāne madhye sahāyārthamāhvānaṃ dṛṣṭārthamapi	AvituzIBAvam-avaGAta-anuzWAne maDye sahAya-arTam-AhvAnam dRzwa-arTam-api
   bhavatīti //	Bavati-iti //
   trirabhyāsamātramiti //	tris-aByAsa-mAtram-iti //
   so 'pica kriyābhyāvṛttigaṇanārthakakṛtvasucpratyayāntatriśabdabalādāhvāna-	saH api-ca kriyA-aByAvRtti-gaNanA-arTaka-kRtvasucpratyaya-antatri-Sabda-balAt-AhvAna-
   kriyāyāmeva vidhīyate /	kriyAyAm-eva viDIyate /
   tatraca mantrasya vediprokṣaṇamantranyāyena sahakṛtpāṭhe prāpte 'pi	tatra-ca mantrasya vedi-prokzaNa-mantra-nyAyena sahakRt-pAWe prApte api
   prokṣaṇavadāhvānasya	prokzaNa-vat-AhvAnasya
   mantrapāṭhātiriktaprayatnānāpādyatvenārthānmantrasyaiva trirāvṛttiḥ	mantra-pAWA-atirikta-prayatna-an-ApAdya-tvena-arTAn-mantrasya-eva tris-AvRttiH
   phalati /	Palati /
   etena ------- yat nyāyasudhākṛtā vyavahitasaṃbandhamādāya mantrasyaiva	etena ------ yat nyAya-suDA-kRtA vyavahita-saMbanDam-AdAya mantrasya-eva
   trirāvṛttividhānamuktaṃ tat -------- apāstam; trirabhyāsasya śabdato	tris-AvRtti-viDAnam-uktam tat ------- apAstam; tris-aByAsasya Sabdato
   vyavahitasyāpi sucpratyayaśrutyaiva	vyavahitasya-api sucpratyaya-SrutyA-eva
   kārakavibhaktiśrutyevāhvānakriyāsaṃbandhalābhādavyavahitenāpi mantreṇa	kAraka-viBakti-SrutyA-iva-AhvAna-kriyA-saMbanDa-lABAt-avyavahitena-api mantreNa
   saṃbandhānupapatteḥ /	saMbanDa-anupapatteH /
   ata āhvānasya dṛṣṭārthatvāllokavadeva dviḥ triścaturvāpi prāptau	atas AhvAnasya dRzwa-arTa-tvAt-loka-vat-eva dvis tris-catuH-vA-api prAptO
   trirabhyāsāṃśe 'pi niyamavidhitvalābhāntrirabhyāsa āhvāne vidhīyata	tris-aByAsa-aMSe api niyama-viDi-tva-lABa-antriH-aByAse AhvAne viDIyata
   ityarthaḥ //	iti-arTaH //
   siddhāntamupasaṃharati ------- itīti //	sidDAntam-upasaMharati ------ iti-iti //
   evañca gauṇārthaviniyogasya vākyakṛtasya liṅgena bādhānmukhya evārthe	evaQca gONa-arTa-viniyogasya vAkya-kRtasya liFgena bADAn-muKyaH eva-arTe
   viniyogaḥ /	viniyogaH /
   aindyāṃ tu śrutyā liṅgabādhādgauṇārthe viniyoga iti siddhamityarthaḥ /	EndyAm tu SrutyA liFga-bADAt-gONa-arTe viniyogaH iti sidDam-iti-arTaH /
   prayojanaṃ pūrvapakṣe patnīkartṛkasyādhvaryukartṛkāvaghātasyaca vikalpe	prayojanam pUrva-pakze patnIkartRkasya-aDvaryu-kartRkA-avaGAtasya-ca vikalpe
   sati haviṣkṛnmantro 'dhvaryukartṛkāvaghāte "ava rakṣo diva" iti	sati havizkRt-mantraH aDvaryu-kartRkA-avaGAte "ava rakzaH diva" iti
   patnīkartṛka iti vyavasthā, siddhānte tvekasminneva patnīkartṛkāvaghāte	patnIkartRkaH iti vyavasTA, sidDAnte tu-ekasmin=-eva patnIkartRkA-avaGAte
   "ava rakṣo diva" iti mantraḥ, haviṣkṛnmantrastvāhvāne iti spaṣṭatvānnoktam	"ava rakzaH diva" iti mantraH, havizkRt-mantraH-tu-AhvAne iti spazwa-tvAt-na-uktam
   iti tṛtīyaṃ haviṣkṛdadhikaraṇam //	iti tRtIyam havizkRt-aDikaraNam //
   <B1> (4 adhikaraṇam / ) (a.3 pā.2 adhi.4) tathotthāna //	<B1> (4 aDikaraNam / ) (a.3 pA.2 aDi.4) taTA-utTAnaH //
   som.e, "uttiṣṭhannanvāhāgnīdagnīnvihare"ti /	som.e, "uttizWan=-anvAha-agnIt-agnIn-vihare"ti /
   tathā "vrataṃ kṛṇuteti vācaṃ visṛjati /	taTA "vratam kRNutA-iti vAcam visRjati /
   " darśapūrṇamāsayoḥ, "praṇītāḥ praṇeṣyanvācaṃ yacchati tāṃ sa ------	" darSa-pUrNamAsayoH, "praNItAH praNezyan-vAcam yacCati tAm saH ------
   haviṣkṛtāvisṛjatī"ti śrutam /	havizkRta-AvisRjati-i"ti Srutam /
   tatrāpi pūrvavadeva mantrāṇāṃ mukhyer'the viniyogo natu	tatra-api pUrvavat-eva mantrANAm muKyer-aTe viniyogaH na-tu
   gauṇayorutthānavāgvisargayoḥ /	gONayoH-utTAna-vAc-visargayoH /
   prabalasyāpi brāhmaṇavākyasya kālavidhāyitvenāpyupapattau	prabalasya-api brAhmaNa-vAkyasya kAla-viDAyi-tvena-api-upapattO
   gauṇatvatātparyagrāhakatvābhāvāt /	gONa-tva-tAtparya-grAhaka-tva-aBAvAt /
   naca lakṣaṇā; śatṛpratyayasya kālikasaṃbandhena lakṣaṇārthatvamaṅgīkṛtya	na-ca lakzaNA; SatR-pratyayasya kAlika-saMbanDena lakzaNa-arTa-tvam-aFgIkRtya
   śrutyaivānvayopapatteḥ /	SrutyA-eva-anvaya-upapatteH /
   ataścotthānakāle viharaṇamantraḥ paṭhanīya iti kālavidhirevāyam /	atas-ca-utTAna-kAle viharaNa-mantraH paWanIyaH iti kAla-viDiH-eva-ayam /
   vrataṃ vṛṇutetyatretikaraṇasyāpi	vratam vRNutA-iti-atra-itikaraNasya-api
   mantrasvarūpamātraparatvātkālikasaṃbandhasyaiva saṃsargavidhayā	mantra-sva-rUpa-mAtra-paratvAt-kAlika-saMbanDasya-eva saMsarga-viDayA
   bhānopapatterna lakṣaṇā /	BAna-upapatteH-na lakzaNA /
   haviṣkṛdvākye tṛtīyāyāstu vāgyamāpekṣitāvadhisamarpakatvena	havizkRt-vAkye tRtIyAyAH-tu vAgyam-a-apekzita-avaDi-samarpaka-tvena
   tadekavākyatopapattau vākyabhede	tad-eka-vAkyatA-upapattO vAkya-Bede
   pramāṇābhāvāditthaṃbhūtalakṣaṇārthatāvāṅgīkṛtya kālavidhiparatvam /	pramANa-aBAvAt-itTaMBUta-lakzaNa-arTa-tAva-aFgIkRtya kAla-viDi-paratvam /
   ataśca tadvākyayoḥ pāṭhakramāvagatatattanmantrapāṭhakāle vāgvisargaḥ	atas-ca tad-vAkyayoH pAWa-krama-avagata-tad-tad-mantra-pAWa-kAle vAc-visargaH
   kartavya iti so 'pi tatra kālavidhireva // 4 // 19 // iti	kartavyaH iti saH api tatra kAla-viDiH-eva // 4 // 19 // iti
   caturthamutthānādhikaraṇam //	caturTam-utTAna-aDikaraNam //
   <B2> uttiṣṭhanniti //	<B2> uttizWan=-iti //
   bahiṣpavamānadeśāduttiṣṭhannityarthaḥ /	bahizpavamAna-deSAt-uttizWan=-iti-arTaH /
   sāmānyasaṃbandhakāripramāṇasattvasūcanāya soma ityuktam /	sAmAnya-saMbanDa-kAri-pramANa-sattva-sUcanAya somaH iti-uktam /
   vihareti //	vihara-iti //
   itikaraṇena prabhṛtyarthakena "barhiḥ stṛṇāhi, puroḍāśānalaṅkuru, paśuṃ no	iti-karaNena praBRti-arTakena "barhiH stRNa-ahi, puroxASAnalaFkuru, paSum no
   dehī" tyantasya saṃgrahaḥ /	dehI" tyantasya saMgrahaH /
   "vrataṃ kṛṇutetī" tiśabdo mantrasvarūpaparaḥ /	"vratam kRNutA-itI" tiSabdaH mantra-svarUpa-paraH /
   sautravisargaśabdena "vācaṃ visṛjatī"tivadanyasyāpi	sOtra-visarga-Sabdena "vAcam visRjatI"ti-vat-anyasya-api
   visargasyopādānasaṃbhavādekādaśe bhāṣye "vāgvisargo haviṣkṛtā bījabhede	visargasya-upAdAna-saMBavAt-ekAdaSe BAzye "vAc-visargaH havizkRtA bIja-Bede
   tathā syā" dityadhikaraṇe haviṣkṛdgrahaṇaṃ ca kālalakṣaṇārthamityuktam /	taTA syA" diti-aDikaraNe havizkRt-grahaNam ca kAla-lakzaNa-arTam-iti-uktam /
   tathā "āhvānamapīti cet na kālavidhiścoditatvādi" tyuktvā	taTA "a-AhvAnam-api-iti ced na kAla-viDiH-codita-tva-Adi" tyuktvA
   sūcitatvāccātrabhāṣye 'nudāhṛtamapyanyadudāharati -------	sUcita-tvAt-ca-atraBAzye anudAhRtam-api-anyat-udAharati -------
   darśapūrṇamāsayoriti //	darSa-pUrNamAsayoH-iti //
   tāṃ niyamitāṃ vācaṃ haviṣkṛdehīti mantrapāṭhakāle visṛjatītyarthaḥ /	tAm niyamitAm vAcam havizkRt-ehi-iti mantra-pAWa-kAle visRjati-iti-arTaH /
   tatra kimanayorvacanayoruttiṣṭhanniti vācaṃ visṛjatīti	tatra kim-anayoH-vacanayoH-uttizWan=-iti vAcam visRjati-iti
   coddiśyānayormantrayorvidhānādanayormantrayorgauṇotthānavāgvisargayorvini	ca-uddiSya-anayoH-mantrayoH-viDAnAt-anayoH-mantrayoH-gONa-utTAna-vAc-visargayoH-vini
   yogaḥ, uta mantrayorliṅgādagniviharaṇavratakaraṇarūpamukhyārthe viniyogaḥ	yogaH, uta mantrayoH-liFgAt-agni-viharaNa-vrata-karaNa-rUpa-muKya-arTe viniyogaH
   utthānavratamantrayoḥ kālārthatvenopādānamiti saṃśayaṃ	utTAna-vrata-mantrayoH kAla-arTa-tvena-upAdAnam-iti saMSayam
   vakṣyamāṇatvenātideśikīṃ saṅgatiṃ	vakzyamANa-tvena-atideSikIm saFgatim
   pūrvādhikaraṇapūrvapakṣatvātpūrvapakṣañca	pUrva-aDikaraNa-pUrva-pakza-tvAt-pUrva-pakzaQca
   spaṣṭatvādanullikhyā'tideśikasūtrānurodhātsiddhāntamevāha --------	spazwa-tvAt-anulliKyA-atideSika-sUtra-anuroDAt-sidDAntam-eva-Aha --------
   tatrāpīti //	tatra-api-iti //
   pūrvavadevetyanena sautratathāśabdasūcitā ātideśikī saṅgatirdarśitā /	pUrvavat-eva-iti-anena sOtra-taTA-Sabda-sUcitA AtideSikI saFgatiH-darSitA /
   tatra pūrvatra mukhyakriyāntarasattvāttasyāśca sādhutvamātrārthatve	tatra pUrvatra muKya-kriyA-antara-sattvAt-tasyAH-ca sADu-tva-mAtra-arTa-tve
   pramāṇābhāvādavaghnannityasya lakṣaṇāṃ vināpi	pramANa-aBAvAt-avaGnat-nityasya lakzaNAm vinA-api
   hetutvādyarthatayopapattestrirabhyāsasyaca vidheyāntarasattvena	hetu-tva-Adi-arTa-tayA-upapatteH-tris-aByAsasya-ca viDeya-antara-sattvena
   prabalasyāpi brāhmaṇavākyasyānyathopapattisaṃbhavādyukto laiṅgiko	prabalasya-api brAhmaNa-vAkyasya-anyaTA-upapatti-saMBavAdyuktaH lEFgikaH-
   viniyogaḥ, prakṛtetu vidheyāntarābhāve uttiṣṭhannitiśatṛpratyayasya	viniyogaH, prakRtetu viDeya-antara-aBAve uttizWat-nitiSatR-pratyayasya
   lakṣaṇārthatvamaṅgīkṛtya kālasyaiva tava mate vidheyatvādvidhau	lakzaNa-arTa-tvam-aFgIkRtya kAlasya-eva tava mate viDeya-tvAt-viDO
   lakṣaṇāpatterutthānasyaca	lakzaNa-ApatteH-utTAnasya-ca
   sāmarthyātkariṣyamāṇadeśāntaravihitakāryārthatvena kṛtārthasya	sAmarTyAt-karizyamANa-deSa-antara-vihita-kArya-arTa-tvena kRtArTasya
   mantrapāṭhārthatvāyogena śatṛpratyayasya	mantra-pAWA-arTa-tva-ayogena SatR-pratyayasya
   kāraṇatvarūpahetutvārthakatvāsaṃbhavādagatyā	kAraNa-tva-rUpa-hetutva-arTaka-tva-asaMBavAt-agatyA
   phalatvarūpahetutvārthakatvamaṅgīkṛtya mantrapāṭhasyaiva	Pala-tva-rUpa-hetutva-arTaka-tvam-aFgIkRtya mantra-pAWasya-eva
   gauṇasāmarthyenotthānāṅgatvaṃ yuktam /	gONa-sAmarTyena-utTAna-aFga-tvam yuktam /
   saṃbhavaticānutthitenāgnīnāmedhituṃ vihartuṃ vā	saMBavati-ca-anutTitena-agnInAm-eDitum vihartum vA
   śakyatvādutthānasyāgnīndhanaviharaṇādihetoḥ svātantryavivakṣayā	Sakya-tvAt-utTAnasya-agni-inDana-viharaNa-Adi-hetoH svAtantrya-vivakzayA
   mukhyatatkartṛtvopapatteragnīcchabdenābhidhānam //	muKya-tad-kartR-tva-upapatteH-agnIt-Sabdena-aBiDAnam //
   nacādhvaryūtthānasyāgnīdhrakartṛkāgnīndhanādisādhanatvāyogāttannimitta	naca-aDvaryu-utTAnasya-agnIDra-kartR-kAgni-inDana-Adi-sADana-tva-ayogAt-tad-nimitta
   kartṛtvavivakṣānupapattiḥ; viharetyasya praiṣatve sati "praiṣeṣu	kartR-tva-vivakzA-anupapattiH; vihara-iti-asya prEza-tve sati "prEzezu
   parādhikārā" diti nyāyenādhvaryukartṛkatāyā bādhe 'pīha pūrvapakṣa	para-aDikArA" diti nyAyena-aDvaryu-kartRka-tAyAH bADe api-iha pUrva-pakza
   itikaraṇarūpavākyāvagatotthānāṅgatvena praiṣatvābhāvena	iti-karaNa-rUpa-vAkya-avagata-utTAna-aFga-tvena prEzatva-aBAvena
   āgnīdhrakartṛtvāprāptyā samākhyāprāptādhvaryukartṛkatvasyaiva	AgnIDra-kartR-tva-aprAptyA samAKyA-prApta-aDvaryu-kartRka-tvasya-eva
   prāpterbādhakābhāvāt /	prApteH-bADaka-aBAvAt /
   ataeva --------- agniviharaṇādisādhyābhāvālloṭaḥ	ataeva -------- agni-viharaNa-Adi-sADya-aBAvAt-lowaH
   prāptakālatārthatāmaṅgīkṛtyāgniviharaṇasya prāptaḥ kāla ityarthakatayā	prApta-kAla-tA-arTa-tAm-aFgIkRtya-agni-viharaNasya prAptaH kAlaH iti-arTaka-tayA
   "agnīnvihare" tyasyāpyupapattiḥ //	"agnIn-vihare" tyasya-api-upapattiH //
   vratavākyetu śatṛpratyayasyāpyabhāvāditikaraṇasya vākyatvena liṅgāpekṣayā	vrata-vAkyetu SatR-pratyayasya-api-aBAvAt-iti-karaNasya vAkya-tvena liFga-apekzayA
   durbalasyāpi brāhmaṇavākyatvena prābalyādyuktameva vāgvisargāṅgatvam /	durbalasya-api brAhmaNa-vAkya-tvena prAbalyAdi-uktam-eva vAc-visarga-aFga-tvam /
   tatrāpi yathā bhakṣānuvāke "vāgjuṣāṇā somasya tṛpyatvi"ti bhakṣayitṛgataṃ	tatra-api yaTA Bakza-anuvAke "vAc-juzANA somasya tRpyatvi"ti BakzayitR-gatam
   tṛptikartṛtvaṃ tṛptihetvāsyagatāyāṃ vācyupacaritaṃ tathā "kṛvi hiṃsāyāṃ"	tRpti-kartR-tvam tRpti-hetu-Asya-gatAyAm vAci-upacaritam taTA "kRvi hiMsAyAM"
   iti kṛvidhātorvācyahiṃsāgatanāśakatvasāmyādgauṇyā bhakṣaṇāvagateḥ	iti kRviDAtoH-vAci-ahiMsA-gatana-aSaka-tva-sAmyAt-gONyAH BakzaNa-avagateH
   yajamānapuruṣagataṃ	yajamAna-puruza-gatam
   vrataśabdavācyakaṣṭavṛttyarthapayoyavāgvādibhakṣaṇakartṛtvaṃ	vrata-Sabda-vAcya-kazwa-vRtti-arTa-payoya-vAgu-Adi-BakzaNa-kartR-tvam
   bhakṣaṇahetvāsyagatāyāṃ vāci śakyamupacaritum /	BakzaNa-hetu-Asya-gatAyAm vAci Sakyam-upacaritum /
   bahuvacanañca vācaḥ śabdātmakatvācchabdasyaca	bahuvacanaQca vAcaH Sabda-Atmaka-tvAt-Sabdasya-ca
   tālvādipṛṣṭhasthāneṣvabhivyaktestālvādyadhiṣṭhānabhedābhiprāyeṇāpi śakyaṃ	tAlu-Adi-pRzWa-sTAnezu-aBivyakteH-tAlu-Adi-aDizWAna-Beda-aBiprAyeNa-api Sakyam
   yojayitum /	yojayitum /
   loṭaśca vāco 'preṣyatvena praiṣārthatvāsaṃbhave 'pi pūrvavadeva	lowaH-ca vAcaH aprezya-tvena prEza-arTa-tva-asaMBave api pUrvavat-eva
