   akāmakṛtapāpasya Par_8.1c	akAma-kRta-pApasya Par_8.1c
   ekāham aśucir bhūtvā Par_3.43c	eka-aham aSuciH BUtvA Par_3.43c
   ekāham ekabhaktāśī Par_8.37a	eka-aham eka-Bakta-ASI Par_8.37a
   ekāhaṃ naktabhojanaḥ Par_8.37b	eka-aham naktaBojanaH Par_8.37b
   ekāhaṃ mārutāśanaḥ Par_8.37d	eka-aham mArutASanaH Par_8.37d
   ekāhāc chudhyate vipro Par_3.5a	eka-ahAt SuDyate vipraH Par_3.5a
   ekāhena tu vaiśyas tu Par_11.45a	eka-ahena tu vESyaH tu Par_11.45a
   ekaikaṃ grāsam aśnīyād Par_6.33a	ekEkam grAsam aSnIyAt Par_6.33a
   ekaikaṃ hrāsayed grāsaṃ Par_10.2a	ekEkam hrAsayet grAsam Par_10.2a
   ekaikena dinatrayam Par_6.37d	ekEkena dina-trayam Par_6.37d
   eko 'pi pariṣad bhavet Par_8.13d	ekaH api parizad Bavet Par_8.13d
   eko hato yair bahubhiḥ sametair Par_9.48a	ekaH hataH yEH bahuBiH sametEH Par_9.48a
   etat pārāśaraṃ śāstraṃ Par_12.[81(80)]c	etat pArASaram SAstram Par_12.[81(80)]c
   etad gocarmadānena Par_12.50(49)c	etat go-carma-dAnena Par_12.50(49)c
   etān prakṣālayej jalaiḥ Par_7.26d	etAn prakzAlayet jalEH Par_7.26d
   etābhiś caiva hotavyaṃ Par_11.36a	etABiH ca-eva hotavyam Par_11.36a
   etās tu mohito gatvā Par_10.9c	etAH tu mohitaH gatvA Par_10.9c
   etāṃs tu brāhmaṇaḥ spṛṣṭvā Par_12.28(27)c	etAn tu brAhmaNaH spRzwvA Par_12.28(27)c
   ete śūdreṣu bhojyānnā Par_11.21c	ete SUdrezu Bojya-annA Par_11.21c
   eteṣu khyāpayann enaḥ Par_12.69(68)c	etezu KyApayan enaH Par_12.69(68)c
   etair uddhṛtya hotavyaṃ Par_11.35a	etEH udDRtya hotavyam Par_11.35a
   etais tu gāvo na nibandhanīyā Par_9.33c	etEH tu gAvaH na nibanDanIyA Par_9.33c
   evam anveṣaṇaṃ bhavet Par_9.50d	evam anvezaNam Bavet Par_9.50d
   evam āha prajāpatiḥ Par_4.4b	evam Aha prajApatiH Par_4.4b
   evaṃ catuṣpadānāṃ ca Par_6.15a	evam catuzpadAnAm ca Par_6.15a
   evaṃ ca vedavid vipraḥ Par_8.22c	evam ca veda-vid vipraH Par_8.22c
   evaṃ nārīkumārīṇāṃ Par_9.55a	evam nArI-kumArINAm Par_9.55a
   evaṃ pariṣadādeśān Par_8.9c	evam parizad-AdeSAn Par_8.9c
   evaṃ śuddhas tataḥ paścāt Par_6.41a	evam SudDaH tatas paScAt Par_6.41a
   evaṃ strī patim uddhṛtya Par_4.33c	evam strI patim udDRtya Par_4.33c
   eṣa cāndrāyaṇo vidhiḥ Par_10.2d	eza cAndrAyaNaH viDiH Par_10.2d
   eṣa dharmaḥ sanātanaḥ Par_2.15d	eza DarmaH sanAtanaH Par_2.15d
   eṣa dharmaḥ sanātanaḥ Par_3.47d	eza DarmaH sanAtanaH Par_3.47d
   eṣa me maṇḍalaṃ bhittvā Par_3.32c	eza me maNxalam BittvA Par_3.32c
   aindraṃ sthānam upāsīta Par_1.54c	Endram sTAnam upAsIta Par_1.54c
   oghavātāhṛtaṃ bījaṃ Par_4.22a	oGa-vAta-AhRtam bIjam Par_4.22a
   aurasaḥ kṣetrajaś caiva Par_4.24a	OrasaH kzetrajaH ca-eva Par_4.24a
   aurṇanetrapaṭānāṃ ca Par_7.28c	OrNa-netra-pawAnAm ca Par_7.28c
   kaṭibhaṅge tathaiva ca Par_9.19b	kawi-BaFge taTA-eva ca Par_9.19b
   kaṇṭhābharaṇabhūṣaṇaiḥ Par_9.6b	kaNWa-ABaraNa-BUzaNEH Par_9.6b
   kaṇṭhe baddhvāpi vāsasā Par_11.52d	kaNWe badDvA-api vAsasA Par_11.52d
   kathaṃ dharmaṃ vadāmy ahaṃ Par_1.4b	kaTam Darmam vadAmi aham Par_1.4b
   kathaṃ śuddhir vidhīyate Par_7.10b	kaTam SudDiH viDIyate Par_7.10b
   kathaṃ śuddhir vidhīyate Par_12.5d	kaTam SudDiH viDIyate Par_12.5d
   kanyāyāḥ kṛcchra eva ca Par_4.26b	kanyAyAH kRcCraH eva ca Par_4.26b
   kapilākṣīrapānena Par_1.67a	kapilA-kzIra-pAnena Par_1.67a
   kapilāyā ghṛtaṃ grāhyaṃ Par_11.30a	kapilAyAH GRtam grAhyam Par_11.30a
   karṇe colūkhalaṃ dadyāt Par_5.20a	karNe ca-ulUKalam dadyAt Par_5.20a
   karṇe netre mukhe ghrāṇe Par_5.21c	karNe netre muKe GrANe Par_5.21c
   kartavyaṃ dharmakovidaiḥ Par_1.17d	kartavyam Darma-kovidEH Par_1.17d
   kartavyaṃ hy ātmarakṣaṇam Par_12.46(45)b	kartavyam hi Atma-rakzaNam Par_12.46(45)b
   kartavyā svalpaniṣkṛtiḥ Par_8.28d	kartavyA su-alpa-nizkRtiH Par_8.28d
   kartavyo rāhudarśane Par_12.23(22)b	kartavyaH rAhu-darSane Par_12.23(22)b
   kartāraṃ tu kalau yuge Par_1.25d	kartAram tu kalO yuge Par_1.25d
   karmācāraṃ kalau yuge Par_2.1b	karma-AcAram kalO yuge Par_2.1b
   karṣakaḥ khalayajñena Par_2.11a	karzakaH Kala-yajQena Par_2.11a
   kalau tv annādiṣu sthitāḥ Par_1.32d	kalO tu anna-Adizu sTitAH Par_1.32d
   kalau patati karmaṇā Par_1.26d	kalO patati karmaNA Par_1.26d
   kalau pārāśarāḥ smṛtāḥ Par_1.24d	kalO pArASarAH smRtAH Par_1.24d
   kalau saṃvatsareṇa tu Par_1.27d	kalO saMvatsareNa tu Par_1.27d
   kalpe kalpe kṣayotpattyā Par_1.20a	kalpe kalpe kzaya-utpattyA Par_1.20a
   kaḥ parityajya gāṃ duṣṭāṃ Par_8.25c	kaH parityajya gAm duzwAm Par_8.25c
   kākayoniṃ vrajanti ca Par_1.57d	kAka-yonim vrajanti ca Par_1.57d
   kākaśvānāvalīḍhaṃ tu Par_6.69c	kAka-SvAna-avalIXam tu Par_6.69c
   kākaśvānāvalīḍhaṃ tu Par_6.71c	kAka-SvAna-avalIXam tu Par_6.71c
   kākaśvānopaghātitam Par_6.68d	kAka-SvAna-upaGAtitam Par_6.68d
   kā cintā maraṇe raṇe Par_3.37d	kA cintA maraNe raNe Par_3.37d
   kātyāyanakṛtāś caiva Par_1.15a	kAtyAyana-kRtAH ca-eva Par_1.15a
   kāmatas tu kṛtaṃ yat syān Par_12.79(78)a	kAmatas tu kRtam yat syAt Par_12.79(78)a
   kāmākāmakṛtakrodho Par_9.9a	kAma-akAma-kRta-kroDaH Par_9.9a
   kāmākāmakṛtaṃ ca yat Par_9.7b	kAma-akAma-kRtam ca yat Par_9.7b
   kāmākāmakṛtaṃ tathā Par_9.1d	kAma-akAm-a-kRtam taTA Par_9.1d
   kāmān mohāt tu yā gacchet Par_10.30c	kAmAt mohAt tu yA gacCet Par_10.30c
   kāraṇḍavacakorāṇāṃ Par_6.7a	kAraNxava-cakorANAm Par_6.7a
   kālasūtram asaṃśayam Par_9.59d	kAlasUtram asaMSayam Par_9.59d
   kāṣṭhabhārasahasreṇa Par_1.46a	kAzWa-BAra-sahasreNa Par_1.46a
   kāṣṭhaloṣṭakapāṣāṇaiḥ Par_9.23a	kAzWa-lozwaka-pAzANEH Par_9.23a
   kāṃ kāṃ yoniṃ gamiṣyati Par_12.37(36)d	kAm kAm yonim gamizyati Par_12.37(36)d
   kāṃsyāni daśa bhasmabhiḥ Par_10.38b	kAMsyAni daSa BasmaBiH Par_10.38b
   kilbiṣaṃ parṣadi vrajet Par_8.6d	kilbizam parzadi vrajet Par_8.6d
   kiṃcit sādhāraṇaṃ vada Par_1.17b	kiMcid sADAraNam vada Par_1.17b
   kīrtitāni manīṣibhiḥ Par_12.9b	kIrtitAni manIziBiH Par_12.9b
   kukkuṭāṇḍapramāṇaṃ tu Par_10.3a	kukkuwa-aNxa-pramANam tu Par_10.3a
   kuñjarāroham ṛddhimat Par_1.54b	kuQjara-Aroham RdDimat Par_1.54b
   kuṭumbine daridrāya Par_12.51(50)a	kuwumbine daridrAya Par_12.51(50)a
   kubjavāmanaṣaṇḍheṣu Par_4.27a	kubja-vAmana-zaNXezu Par_4.27a
   kumāryaś ca prasūyante Par_1.31c	kumAryaH ca prasUyante Par_1.31c
   kuraṅgaṃ vānaraṃ siṃhaṃ Par_6.13a	kuraFgam vAnaram siMham Par_6.13a
   kuryāc cāndrāyaṇadvayam Par_10.11b	kuryAt cAndrAyaNa-dvayam Par_10.11b
   kuryāc cāndrāyaṇaṃ ṣaṣṭhe Par_4.12c	kuryAt cAndrAyaNam zazWe Par_4.12c
   kuryāt sarveṣu vikrayam Par_1.65d	kuryAt sarvezu vikrayam Par_1.65d
   kuryād brahmaṇabhojanam Par_10.4b	kuryAt brahmaNa-Bojanam Par_10.4b
   kuryād brāhmaṇatarpaṇam Par_6.41b	kuryAt brAhmaNa-tarpaNam Par_6.41b
   kuryād brāhmaṇabhojanam Par_8.41b	kuryAt brAhmaNa-Bojanam Par_8.41b
   kuryād brāhmaṇabhojanam Par_10.22b	kuryAt brAhmaNa-Bojanam Par_10.22b
   kuryād brāhmaṇabhojanam Par_12.73(72)b	kuryAt brAhmaNa-Bojanam Par_12.73(72)b
   kuryād brāhmaṇabhojanam Par_12.75(74)d	kuryAt brAhmaNa-Bojanam Par_12.75(74)d
   kuryād rajo nivṛttau tu Par_7.16a	kuryAt rajaH nivRttO tu Par_7.16a
   kuryād vākyaṃ dvijānāṃ tu Par_6.61a	kuryAt vAkyam dvijAnAm tu Par_6.61a
   kuryur brāhmaṇabhojanam Par_4.6b	kuryuH brAhmaNa-Bojanam Par_4.6b
   kurvanty anugrahaṃ ye tu Par_6.57a	kurvanti anugraham ye tu Par_6.57a
   kurvann agamyā gamanaṃ Par_1.66c	kurvan agamyA gamanam Par_1.66c
   kulamitrārdhasīliṇaḥ Par_11.21b	kula-mitra-arDa-sIliNaH Par_11.21b
   kuśalaṃ samyag ity uktvā Par_1.11a	kuSalam samyak iti uktvA Par_1.11a
   kuśena coddhṛtaṃ toyaṃ Par_12.31(30)c	kuSena ca-udDRtam toyam Par_12.31(30)c
   kuśenopaspṛśed dvijaḥ Par_12.31(30)b	kuSena-upaspRSet dvijaH Par_12.31(30)b
   kuśais tu puruṣākṛtim Par_5.15b	kuSEH tu puruza-AkRtim Par_5.15b
   kuśaiḥ kāśaiś ca badhnīyād Par_9.34a	kuSEH kASEH ca baDnIyAt Par_9.34a
   kuśaiḥ pūtaṃ tu yat snānaṃ Par_12.31(30)a	kuSEH pUtam tu yat snAnam Par_12.31(30)a
   kusumbhaguḍakārpāsa- Par_6.40a	kusumBa-guxa-kArpAsa Par_6.40a
   kūpakhāṭe taṭābandhe Par_9.39a	kUpa-KAwe tawa-AbanDe Par_9.39a
   kūpakhāte taṭākhāte Par_9.40a	kUpa-KAte tawa-aKAte Par_9.40a
   kūpād utkramaṇe caiva Par_9.38a	kUpAt utkramaNe ca-eva Par_9.38a
   kūpe ca patitaṃ dṛṣṭvā Par_11.41a	kUpe ca patitam dRzwvA Par_11.41a
   kūpe yadi nimajjati Par_11.43b	kUpe yadi nimajjati Par_11.43b
   kṛcchārdhaṃ caiva bāndhavāḥ Par_10.33d	kRcCA-arDam ca-eva bAnDavAH Par_10.33d
   kṛcchracāndrāyaṇādikam Par_9.58b	kRcCra-cAndrAyaNa-Adikam Par_9.58b
   kṛcchratrayaṃ prakurvīta Par_12.62(61)c	kRcCra-trayam prakurvIta Par_12.62(61)c
   kṛcchram ekaṃ prakalpitam Par_12.64(63)b	kRcCram ekam prakalpitam Par_12.64(63)b
   kṛcchraṃ cāndrāyaṇaṃ caret Par_11.1d	kRcCram cAndrAyaNam caret Par_11.1d
   kṛcchraṃ cāndrāyaṇaṃ vratam Par_10.23b	kRcCram cAndrAyaNam vratam Par_10.23b
   kṛcchraṃ devy ayutaṃ caiva Par_12.63(62)a	kRcCram devI ayutam ca-eva Par_12.63(62)a
   kṛcchraṃ sāṃtapanaṃ caret Par_4.11d	kRcCram sAMtapanam caret Par_4.11d
   kṛcchraṃ sāṃtapanaṃ caret Par_6.28d	kRcCram sAMtapanam caret Par_6.28d
   kṛcchraṃ sāṃtapanaṃ caret Par_10.27b	kRcCram sAMtapanam caret Par_10.27b
   kṛcchraṃ sāṃtapanaṃ tathā Par_11.8d	kRcCram sAMtapanam taTA Par_11.8d
   kṛcchraṃ sāṃtapanaṃ smṛtam Par_10.28b	kRcCram sAMtapanam smRtam Par_10.28b
   kṛcchrātikṛcchrau dātus tu Par_4.26c	kRcCra-atikRcCrO dAtuH tu Par_4.26c
   kṛcchrārdhena viśudhyati Par_6.20d	kRcCra-arDena viSuDyati Par_6.20d
   kṛcchreṇa śudhyate pūrvā Par_7.15a	kRcCreNa SuDyate pUrvA Par_7.15a
   kṛcchro 'bhyantaraśoṇite Par_11.54b	kRcCraH aByantara-SoNite Par_11.54b
   kṛtacūḍe ca saṃsthite Par_3.16/1b	kRta-cUxe ca saMsTite Par_3.16/1b
   kṛtatretādike yuge Par_1.16b	kRta-tretA-Adike yuge Par_1.16b
   kṛtāñjalipuṭo bhūtvā Par_1.9a	kRta-aQjali-puwaH BUtvA Par_1.9a
   kṛte tātkālikaḥ śāpas Par_1.27a	kRte tAtkAlikaH SApaH Par_1.27a
   kṛte tu mānavā dharmās Par_1.24a	kRte tu mAnavAH DarmAH Par_1.24a
   kṛte tv asthigatāḥ prāṇās Par_1.32a	kRte tu asTi-gatAH prANAH Par_1.32a
   kṛte saṃbhāṣaṇād eva Par_1.26a	kRte saMBAzaNAt eva Par_1.26a
   kṛtvā vai kāṃsyabhājane Par_7.24d	kRtvA vE kAMsya-BAjane Par_7.24d
   kṛtvāśaucaṃ dvirātraṃ ca Par_3.44c	kRtvA-ASOcam dvi-rAtram ca Par_3.44c
   kṛtvā sāṃtapanaṃ kṛcchraṃ Par_10.24c	kRtvA sAMtapanam kRcCram Par_10.24c
   kṛmiduṣṭaḥ śucir bhavet Par_6.49d	kRmi-duzwaH SuciH Bavet Par_6.49d
   kṛmir utpadyate yasya Par_6.48c	kRmiH utpadyate yasya Par_6.48c
   kṛṣikarma ca kārayet Par_2.2d	kRzi-karma ca kArayet Par_2.2d
   kṛṣikarma ca vāṇijyaṃ Par_1.63c	kRzi-karma ca vANijyam Par_1.63c
   kṛṣivāṇijyaśilpakam Par_2.14b	kRzi-vANijya-Silpakam Par_2.14b
   kṛṣṇapakṣe yadā somo Par_5.8a	kRzNa-pakze yadA somaH Par_5.8a
   kṛṣṇā caikādaśī ca yā Par_3.13b	kRzNA ca-ekAdaSI ca yA Par_3.13b
   kṛṣṇājinaṃ samāstīrya Par_5.15a	kRzNAjinam samAstIrya Par_5.15a
   kṛṣṇāṣṭamī tv amāvāsyā Par_3.13a	kRzNa-azwamI tu amAvAsyA Par_3.13a
   kṛṣṇe śukle ca vardhayet Par_10.2b	kRzNe Sukle ca varDayet Par_10.2b
   kṛsaraṃ bhojayed viprān Par_6.9c	kRsaram Bojayet viprAn Par_6.9c
   kenedaṃ śudhyate ceti Par_6.69a	kena-idam SuDyate ca-iti Par_6.69a
   kevalaṃ nāmadhārakāḥ Par_8.15b	kevalam nAmaDArakAH Par_8.15b
   keśānāṃ rakṣaṇārthāya Par_9.52c	keSAnAm rakzaNa-arTAya Par_9.52c
   kokilākhañjarīṭake Par_6.6b	kokilA-KaQjarIwake Par_6.6b
   kratudīkṣāṃ ca kārayet Par_2.6d	kratu-dIkzAm ca kArayet Par_2.6d
   krameṇaitena sarvaśaḥ Par_11.44b	krameNa-etena sarvaSas Par_11.44b
   kriyāvantau śucivratau Par_11.12b	kriyAvantO Suci-vratO Par_11.12b
   krīḍārtham api yad brūyuḥ Par_8.26c	krIxA-arTam api yat brUyuH Par_8.26c
   krodhād daṇḍāditāḍitā Par_10.31d	kroDAt daNxa-Adi-tAxitA Par_10.31d
   krauñcasārasahaṃsāṃś ca Par_6.2a	krOQca-sArasa-haMsAn ca Par_6.2a
   klībe ca patite patau Par_4.30b	klIbe ca patite patO Par_4.30b
   klībo duḥkhī ca kuṣṭhī ca Par_9.60c	klIbaH duHKI ca kuzWI ca Par_9.60c
   kvāthayitvā pibej jalam Par_10.20d	kvATayitvA pibet jalam Par_10.20d
   kṣaṇadhvaṃsini kāye 'smin Par_3.37c	kzaNa-DvaMsini kAye asmin Par_3.37c
   kṣaṇena yānty eva hi tatra vīrāḥ Par_3.36c	kzaNena yAnti eva hi tatra vIrAH Par_3.36c
   kṣatriyaś cāpi vaiśyaś ca Par_11.12a	kzatriyaH ca-api vESyaH ca Par_11.12a
   kṣatriyas tu dinadvayāt Par_11.44d	kzatriyaH tu dina-dvayAt Par_11.44d
   kṣatriyaṃ mṛtam ajñānād Par_3.43a	kzatriyam mRtam ajQAnAt Par_3.43a
   kṣatriyāc chūdrakanyāyāṃ Par_11.23a	kzatriyAt SUdra-kanyAyAm Par_11.23a
   kṣatriyeṇāpi vaiśyena Par_6.20a	kzatriyeNa-api vESyena Par_6.20a
   kṣatriyo dvādaśāhena Par_3.2a	kzatriyaH dvAdaSa-ahena Par_3.2a
   kṣatriyo 'pi kṛṣiṃ kṛtvā Par_2.13c	kzatriyaH api kRzim kRtvA Par_2.13c
   kṣatriyo 'pi suvarṇasya Par_6.50a	kzatriyaH api suvarNasya Par_6.50a
   kṣatriyo vātha vaiśyo vā Par_10.7a	kzatriyaH vA-aTa vESyaH vA Par_10.7a
   kṣatriyo hi prajā rakṣañ Par_1.61a	kzatriyaH hi prajAH rakzan Par_1.61a
   kṣitiṃ dharmeṇa pālayet Par_1.61d	kzitim DarmeNa pAlayet Par_1.61d
   kṣīragomūtrayāvakam Par_6.36b	kzIra-go-mUtra-yAvakam Par_6.36b
   kṣīraṃ saptapalaṃ dadyād Par_11.31a	kzIram sapta-palam dadyAt Par_11.31a
   kṣīraiḥ prakṣālayed dvijaḥ Par_5.12d	kzIrEH prakzAlayet dvijaH Par_5.12d
   kṣute niṣṭhīvane caiva Par_12.19a	kzute nizWIvane ca-eva Par_12.19a
   kṣutpipāsābhayārditaḥ Par_12.58(57)b	kzuD-pipAsA-Baya-arditaH Par_12.58(57)b
   kṣudhitaṃ tṛṣitaṃ śrāntaṃ Par_2.3a	kzuDitam tRzitam SrAntam Par_2.3a
   kṣaumakārpāsavāsasām Par_7.28b	kzOma-kArpAsa-vAsasAm Par_7.28b
   kharīṃ ca sūkarīṃ gatvā Par_10.14c	KarIm ca sUkarIm gatvA Par_10.14c
   khalayajñe vivāhe ca Par_12.25(24)a	Kala-yajQe vivAhe ca Par_12.25(24)a
   gaṅgādyāḥ saritas tathā Par_12.20b	gaFgA-AdyAH saritaH taTA Par_12.20b
   gacchantaṃ cānuyānena Par_1.44c	gacCantam ca-anuyAnena Par_1.44c
   gacchen musalam ādāya Par_12.78(77)a	gacCet musalam AdAya Par_12.78(77)a
   gajasya ca turaṅgasya Par_6.12a	gajasya ca turaFgasya Par_6.12a
   gaṇḍūṣaṃ pādaśaucaṃ ca Par_7.24c	gaNxUzam pAda-SOcam ca Par_7.24c
   gatā badarikāśramam Par_1.5d	gatAH badarikASramam Par_1.5d
   gatir ūrdhvā na vidyate Par_12.34(33)d	gatiH UrDvA na vidyate Par_12.34(33)d
   gatir eṣā vidhīyate Par_4.1d	gatiH ezA viDIyate Par_4.1d
   gatvā nadītaṭe vipro Par_11.13c	gatvA nadI-tawe vipraH Par_11.13c
   gatvā puṃsāṃ śataṃ yāti Par_10.35a	gatvA puMsAm Satam yAti Par_10.35a
   gadgadeṣu jaḍeṣu ca Par_4.27b	gadgadezu jaxezu ca Par_4.27b
   gandhadvāreti gomayam Par_11.32b	ganDa-dvAra-iti gomayam Par_11.32b
   gargeyā gautamīyāś ca Par_1.13a	gargeyAH gOtamIyAH ca Par_1.13a
   garbhapātaṃ ca yā kuryān Par_4.19c	garBa-pAtam ca yA kuryAt Par_4.19c
   gavāghrātaṃ khareṇa vā Par_6.71d	gavA-AGrAtam KareNa vA Par_6.71d
   gavāghrātāni kāṃsyāni Par_7.23c	gavA-AGrAtAni kAMsyAni Par_7.23c
   gavāśaneṣu vikrīṇaṃs Par_9.36c	gavASanezu vikrINan Par_9.36c
   gavāṃ koṭipradānena Par_12.52(51)c	gavAm kowi-pradAnena Par_12.52(51)c
   gavāṃ ca paripālanam Par_1.63b	gavAm ca paripAlanam Par_1.63b
   gavāṃ caivānugamanaṃ Par_12.[81(80)]a	gavAm ca-eva-anugamanam Par_12.[81(80)]a
   gavāṃ bandhanayoktreṣu Par_8.1a	gavAm banDana-yoktrezu Par_8.1a
   gavāṃ madhye vased rātrau Par_8.31c	gavAm maDye vaset rAtrO Par_8.31c
   gavāṃ mūtrapurīṣeṇa Par_6.49a	gavAm mUtra-purIzeNa Par_6.49a
   gavāṃ śataṃ saikavṛṣaṃ Par_12.49(48)a	gavAm Satam sa-eka-vRzam Par_12.49(48)a
   gavāṃ śṛṅgodakaiḥ snānaṃ Par_5.2a	gavAm SRFga-udakEH snAnam Par_5.2a
   gavāṃ saṃrakṣaṇārthāya Par_9.1a	gavAm saMrakzaNa-arTAya Par_9.1a
   gām ekāṃ brāhmaṇe dadan Par_10.15b	gAm ekAm brAhmaNe dadan Par_10.15b
   gāyatrībrahmatattvajñāḥ Par_8.24c	gAyatrI-brahma-tattva-jQAH Par_8.24c
   gāyatrīrahito vipraḥ Par_8.24a	gAyatrI-rahitaH vipraH Par_8.24a
   gāyatrī śodhanaṃ paraṃ Par_11.56b	gAyatrI SoDanam param Par_11.56b
   gāyatrīsmaraṇāc chuciḥ Par_6.23d	gAyatrI-smaraNAt SuciH Par_6.23d
   gāyatrīṃ japamānas tu Par_10.27a	gAyatrIm japamAnaH tu Par_10.27a
   gāyatryaṣṭasahasreṇa Par_11.17a	gAyatrI-azwa-sahasreNa Par_11.17a
   gāyatryādāya gomūtraṃ Par_11.32a	gAyatrI-AdAya go-mUtram Par_11.32a
   gāyanto vedapāragāḥ Par_6.35b	gAyantaH vedapAragAH Par_6.35b
   gāvayaṃ saupratīkaṃ ca Par_11.42c	gAvayam sOpratIkam ca Par_11.42c
   gāvo yenābhighātitāḥ Par_9.17b	gAvaH yena-aBiGAtitAH Par_9.17b
   gāś caivaikaśataṃ dadyāc Par_12.73(72)c	gAH ca-eva-eka-Satam dadyAt Par_12.73(72)c
   gurupātnīṃ snuṣāṃ caiva Par_10.12c	guru-pAtnIm snuzAm ca-eva Par_10.12c
   gurupūjā praṇaśyati Par_1.31b	guru-pUjA praNaSyati Par_1.31b
   gṛdhraśyenaśaśādānām Par_6.5a	gRDra-Syena-SaSa-AdAnAm Par_6.5a
   gṛdhro dvādaśajanmāni Par_12.38(37)a	gRDraH dvAdaSa-janmAni Par_12.38(37)a
   gṛhakarmaṇi caiva hi Par_7.18b	gRha-karmaNi ca-eva hi Par_7.18b
   gṛhadāhaṃ na kurvīta Par_6.45c	gRha-dAham na kurvIta Par_6.45c
   gṛhadvāreṣu tiṣṭhāmi Par_12.68(67)a	gRha-dvArezu tizWAmi Par_12.68(67)a
   gṛhasthadharmā yo vipro Par_11.49c	gRhasTa-DarmAH yaH vipraH Par_11.49c
   gṛhasthas tu dayāyukto Par_12.45(44)a	gRhasTaH tu dayA-yuktaH Par_12.45(44)a
   gṛhasthaḥ kāmataḥ kuryād Par_12.64(63)c	gRhasTaH kAmataH kuryAt Par_12.64(63)c
   gṛhasyābhyantaraṃ gacchec Par_6.46a	gRhasya-aByantaram gacCet Par_6.46a
   gṛhāt pratinivartate Par_1.45b	gRhAt pratinivartate Par_1.45b
   gṛhītvāgniṃ samāropya Par_11.47c	gRhItvA-agnim samAropya Par_11.47c
   gṛhe kṣetre khale 'tha vā Par_8.33b	gRhe kzetre Kale aTa vA Par_8.33b
   gṛhe caitāni rakṣayet Par_12.48(47)d	gRhe ca-etAni rakzayet Par_12.48(47)d
   gṛhe vāpi vane vāpi Par_9.6c	gRhe vA-api vane vA-api Par_9.6c
   gṛheṣu satataṃ tiṣṭhec Par_9.58c	gRhezu satatam tizWet Par_9.58c
   gokuleṣu vasec caiva Par_12.68(67)c	go-kulezu vaset ca-eva Par_12.68(67)c
   gogāmī ca trirātreṇa Par_10.15a	go-gAmI ca tri-rAtreNa Par_10.15a
   goghātakasya tasyārthaṃ Par_9.22c	go-GAtakasya tasya-arTam Par_9.22c
   goghnaś cāndrāyaṇaṃ caret Par_9.52b	go-GnaH cAndrAyaNam caret Par_9.52b
   goghnaḥ śuddho na saṃśayaḥ Par_8.41/1b	go-GnaH SudDaH na saMSayaH Par_8.41/1b
   gocarmaparikīrtitam Par_12.49(48)d	gocarma-parikIrtitam Par_12.49(48)d
   godakṣiṇāṃ tu vaiśyasyāpy Par_6.50c	go-dakziNAm tu vESyasya-api Par_6.50c
   godvayaṃ dakṣiṇāṃ dadat Par_6.19d	go-dvayam dakziNAm dadat Par_6.19d
   godvayaṃ dakṣiṇāṃ dadyac Par_10.22c	go-dvayam dakziNAm dadyat Par_10.22c
   godvayaṃ dakṣiṇāṃ dadyāc Par_10.6c	go-dvayam dakziNAm dadyAt Par_10.6c
   godvayaṃ dakṣiṇāṃ dadyāc Par_10.13c	go-dvayam dakziNAm dadyAt Par_10.13c
   godvayaṃ dakṣiṇāṃ dadyāc Par_12.8a	go-dvayam dakziNAm dadyAt Par_12.8a
   godvayaṃ dakṣiṇāṃ dadyāt Par_10.39a	go-dvayam dakziNAm dadyAt Par_10.39a
   godvayaṃ vastrayugmaṃ ca Par_10.4c	go-dvayam vastra-yugmam ca Par_10.4c
   gopatir mṛtyum āpnoti Par_9.8a	gopatiH mRtyum Apnoti Par_9.8a
   gopaśuṃ dakṣiṇāmukham Par_9.34b	gopaSum dakziNAmuKam Par_9.34b
   goptā gor brāhmaṇasya ca Par_8.35d	goptA goH brAhmaNasya ca Par_8.35d
   gobālaiś ca phalodbhavān Par_10.37d	go-bAlEH ca Pala-udBavAn Par_10.37d
   gobhir viprair hato yadi Par_5.10b	goBiH viprEH hataH yadi Par_5.10b
   gobhir hataṃ tathodbaddhaṃ Par_4.4c	goBiH hatam taTA-udbadDam Par_4.4c
   gomayena tu saṃmiśrair Par_6.47c	gomayena tu saMmiSrEH Par_6.47c
   gomaye havyavāhanaḥ Par_11.39b	gomaye havyavAhanaH Par_11.39b
   gomayodakakardame Par_10.18b	gomaya-udaka-kardame Par_10.18b
   gomūtrayāvakasya ca Par_6.33b	go-mUtra-yAvakasya ca Par_6.33b
   gomūtrayāvakāhāras Par_6.26c	go-mUtra-yAvaka-AhAraH Par_6.26c
   gomūtrayāvakāhāro Par_6.32c	go-mUtra-yAvaka-AhAraH Par_6.32c
   gomūtrayāvakāhāro Par_6.43c	go-mUtra-yAvaka-AhAraH Par_6.43c
   gomūtraṃ kṛṣṇavarṇāyāḥ Par_11.29a	go-mUtram kRzNa-varNAyAH Par_11.29a
   gomūtraṃ gomayaṃ kṣīraṃ Par_10.27c	go-mUtram gomayam kzIram Par_10.27c
   gomūtraṃ gomayaṃ kṣīraṃ Par_11.28a	go-mUtram gomayam kzIram Par_11.28a
   gor akṛtvā tu śaktitaḥ Par_8.32d	goH akRtvA tu SaktitaH Par_8.32d
   gorasasya vidhīyate Par_6.75d	gorasasya viDIyate Par_6.75d
   gorūpaṃ brāhmaṇasyāgre Par_9.21c	go-rUpam brAhmaNasya-agre Par_9.21c
   govadhasyānurūpeṇa Par_8.36a	go-vaDasya-anurUpeNa Par_8.36a
