   [I. dānapāramitā]	[I. dAna pAramitA]
   patrābhūtāṃś ca praharitavantaḥ | kecid vadanti | vayaṃ cīvarān hṛtavantaḥ	patrABUtAn ca praharitavantaH | kecid vadanti | vayam cIvarAn hRtavantaH
   | kecid vadanti | vayaṃ bhagavataḥ śrāvakāṇām upabhogaparibhogān	| kecid vadanti | vayam BagavataH SrAvakANAm upaBoga pariBogAn
   ācchinnavantaḥ | kecid vadanti | vayaṃ bhagavantam uddiśya pravrajitān	AcCinnavantaH | kecid vadanti | vayam Bagavantam uddiSya pravrajitAn
   gṛhasthān kāritavantaḥ tata asthānaṃ sāditāḥ | kecid vadanti | asmābhir	gRhasTAn kAritavantaH tatas asTAnam sAditAH | kecid vadanti | asmABiH 
   bhagavan buddhānāṃ bhagavatāṃ śrāvakā apatrabhūtāḥ pātrabhūtāś ca	Bagavan budDAnAm BagavatAm SrAvakAH apatra BUtAH pAtra BUtAH ca
   sāparādhikāś cārake prakṣiptās tena vayaṃ karmāvaraṇena bahūn kalpāṃs tṛṣv	sa apara aDikAH cArake prakziptAH tena vayam karma AvaraNena bahUn kalpAn tRzu 
   apāyeṣu vividhāṃ tīvrāṃ pracaṇḍāṃ duṣkhāṃ vedanāṃ pratyanubhūtavantaḥ ||	apAyezu viviDAm tIvrAm pracaNxAm duzKAm vedanAm pratyanuBUtavantaH ||
   pe ||	pe ||
   tad vayam etarhi karmāvaraṇaśeṣāṃ bhagavato 'ntike pratideśayāmaḥ |	tat vayam etarhi karma AvaraNa SezAm BagavataH antike pratideSayAmaH |
   āyatyāṃ saṃvaram āpadyema | pratigahṇātu bhagavān asmākam anukampām	AyatyAm saMvaram Apadyema | pratigahNAtu BagavAn asmAkam anukampAm
   upādāya | uddharatu bhagavān asmān annantapāpebhya iti vistaraḥ ||	upAdAya | udDaratu BagavAn asmAn annanta pApeByaH iti vistaraH ||
   pravrajyāntarāyasūtre 'py annartha uktaḥ | caturbhir mahānāman dharmaiḥ	pravrajyA antarAya sUtre api annarTaH uktaH | caturBiH mahAnAman DarmEH
   samanvāgato gṛhī akṣaṇaprāpto bhavati | jātyandhaś ca jaḍaś cājihvakaś ca	samanvAgataH gRhI akzaNa prAptaH Bavati | jAti anDaH ca jaxaH ca ajihvakaH ca
   caṇḍālaś ca jātu sukhito bhavaty abhyākhyānabahulaś ca ṣaṇḍakaś ca	caNxAlaH ca jAtu suKitaH Bavati aByAKyAna bahulaH ca zaNxakaH ca
   paṇḍakaś ca nityadāsaś ca | strī ca bhavati śvā ca śūkaraś ca gardabhaś	paNxakaH ca nityadAsaH ca | strI ca Bavati SvA ca SUkaraH ca gardaBaH 
   coṣṭraś ca āśīviṣaś ca bhavati tatra tatra jātau ||	ca uzwraH ca ASIvizaH ca Bavati tatra tatra jAtO ||
   katamaiś caturbhiḥ | iha mahānāman gṛhī pūrvajinakrṭādhikārāṇāṃ satvānāṃ	katamEH caturBiH | iha mahAnAman gRhI pUrva jina krwa aDikArANAm satvAnAm
   naiṣkramyacittasya pravrajyācittasyāryamārgacittasyāntarāyaṃ karoti |	nEzkramya cittasya pravrajyA cittasya Arya mArga cittasya antarAyam karoti |
   anena prathamena ||	anena praTamena ||
   punar aparaṃ gṛhī dhanalaulyena putralaulyena karmavipākam aśraddadhat	punar aparam gRhI Dana lOlyena putra lOlyena karma vipAkam aSraddaDat 
   putrasya vā duhitur vā bhāryāyā vā jñātisaṃghasyaiśvaryasthāne vartamāne	putrasya vA duhituH vA BAryAyAH vA jQAti saMGasya ESvarya sTAne vartamAne
   pravrajyāntarāyaṃ karoti | anena dvitīyeneti ||	pravrajyA antarAyam karoti | anena dvitIyena iti ||
   anyadvayaṃ | saddharmapratikṣepaḥ śramaṇabrāhmaṇeṣu ca pratighaḥ ||	anya dvayam | sat Darma pratikzepaH SramaNa brAhmaNezu ca pratiGaH ||
   daśa cākuśalāḥ karmapathāḥ annarthāḥ | saddharmasmṛtyupasthānād	daSa ca akuSalAH karma paTAH annarTAH | sadDarma smRti upasTAnAt 
   vipākakaṭukā draṣṭavyāḥ | tataḥ kiñcinmātraṃ sūtraṃ sūcyate |	vipAka kawukAH drazwavyAH | tatas kiQcit mAtram sUtram sUcyate |
   prāṇātipātavipākalavas tāvad | yathāha | tad yathāgniśikhācarā nāma	prANa atipAta vipAka lavaH tAvat | yaTA Aha | tat yaTA agniSiKA carAH nAma
   pakṣiṇo ye 'gniśikṣāmadhyagatā na dahyante saṃhṛṣṭatarāś ca nārakeyāṇāṃ	pakziNaH ye agni SikzA maDya gatAH na dahyante saMhRzwatarAH ca nArakeyANAm
   kapālaṃ bhittvā rudhiraṃ pibanti | kapālāntaracarā nāma pakṣiṇo ye	kapAlam BittvA ruDiram pibanti | kapAla antara carAH nAma pakziNaH ye
   mastakaṃ bhittvā jvalitamastakaluṅgān pibanti | jihvāmiṣabhujo nāma	mastakam BittvA jvalita mastaka luFgAn pibanti | jihvAmizaBujaH nAma
   pakṣiṇo ye jihvāṃ vidāryābhito 'bhitaḥ prabhakṣayanti | sāpi jihvā bhuktā	pakziNaH ye jihvAm vidArya aBitas aBitas praBakzayanti | sA api jihvA BuktA
   punar api saṃjāyate padmadalakomalatarā | evam arthānurūpasaṃjñā	punar api saMjAyate padma dala komalatarA | evam arTa anurUpa saMjQA
   dantotpāṭakā nāma kaṇṭhanāḍyapakarṣakā nāma | klomakāśinaḥ | āmāśayādāḥ |	dantotpAwakAH nAma kaNWa nAxI apakarzakAH nAma | klomakASinaH | AmASaya AdAH |
   plīhasaṃvartakā | antravivarakhādinaḥ | pṛṣṭhavaṃśacarā nāma |	plIha saMvartakAH | antra vivara KAdinaH | pRzWavaMSacarAH nAma |
   marmaguhyakā nāma pakṣiṇo ye sarvāṇi marmavivarāṇi bhittvā marmāṇi	marma guhyakAH nAma pakziNaH ye sarvANi marma vivarANi BittvA marmANi
   kṛntayitvā vivarāṇi praviśya majjāmaṇḍaṃ pibanti krandamānānāṃ |	kRntayitvA vivarANi praviSya majjA maNxam pibanti krandamAnAnAm |
   sūcīchidrā nāma pakṣiṇo ye sūcīsadṛśatuṇḍā raktaṃ pibanti | evam	sUcICidrAH nAma pakziNaH ye sUcI sadRSa tuNxAH raktam pibanti | evam
   asthivivarāśinaḥ ṣaṭtvagbhakṣiṇaḥ | nakhanikṛntakā medodāḥ snāyuviśeṣakāḥ	asTi vivara ASinaH zaz tvac BakziNaH | naKa nikRntakAH medA udAH snAyu viSezakAH
   | keśoṇḍukā nāma pakṣiṇo ye keśamūlāny utpāṭayanti ||	| keSoNxukAH nAma pakziNaH ye keSa mUlAni utpAwayanti ||
   sa evam avīcipradeśas trīṇi yojanaśatasahasrāṇi pakṣibhairavapakṣo nāma |	saH evam avIci pradeSaH trINi yojana Sata sahasrANi pakziBEravapakzaH nAma |
   tatra tair anyair nārakeyaiḥ sahānnekāni varṣaśatasahasrāṇi bhakṣyate	tatra tEH anyEH nArakeyEH sahAn= ekAni varza Sata sahasrANi Bakzyate
   saṃbhavati ca | sa kathañcid api tasmān muktaḥ sarvasmād	saMBavati ca | sa kaTaQcid api tasmAt muktaH sarvasmAt 
   duṣkhajālaparivṛtaḥ | śvabhraprapāto nāma dvitīyaḥ pradeśas tatra gacchati	duzKa jAla parivRtaH | SvaBraprapAtaH nAma dvitIyaH pradeSaH tatra gacCati
   | trāṇānveṣī śaraṇānveṣī paritrāṇānveṣī samantata ekādaśabhir	| trANa anvezI SaraNa anvezI paritrANa anvezI samantataH ekAdaSaBiH 
   arciskandhair āvṛto niḥsahāyaḥ karmapāśabandhanabaddhaḥ samantataḥ	arci skanDEH AvRtaH niHsahAyaH karma pASa banDana badDaH samantataH
   śatrubhir āvṛtaḥ kāntāram anuprapannaḥ sarvasmān narakapuñjād adhikataraṃ	SatruBiH AvRtaH kAntAram anuprapannaH sarvasmAt naraka puQjAt aDikataram
   vyasanam abhiprapannas taṃ śvabhraprapātaṃ nāma pradeśam anudhāvati |	vyasanam aBiprapannaH tam SvaBraprapAtam nAma pradeSam anuDAvati |
   patite 'tīva pādaḥ pravilīyate | utkṣiptaḥ punar api saṃbhavati |	patite atIva pAdaH pravilIyate | utkziptaH punar api saMBavati |
   sukumārataraḥ ślakṣṇataraḥ kharābhis tīvrābhir vedanābhir abhibhūtaḥ |	sukumArataraH SlakzNataraH KarABiH tIvrABiH vedanABiH aBiBUtaH |
   tasyaivaṃ bhayaviklavavadanasya	tasya evam Baya viklava vadanasya
   karacaraṇasarvāṅgapratyaṅgapravilīyamānasya sa pradeśaḥ śvabhraprapāto	kara caraNa sarva aFga pratyaFga pravilIyamAnasya sa pradeSaH SvaBra prapAtaH 
   nāma prādurbhavati | sa tasmin deśe nipatati patitaḥ śvabhre prapatati	nAma prAdurBavati | sa tasmin deSe nipatati patitaH SvaBre prapatati
   trīṇi yojanasahasrāṇi | punar api karmakṛtena vāyunotkṣipyate | sa	trINi yojana sahasrANi | punar api karma kRtena vAyunA utkzipyate | sa
   prapatamānaḥ kaṃkavāyasagrdhrolūkair bhakṣyate | yāvat tasyaivam	prapatamAnaH kaMka vAyasa grDra ulUkEH Bakzyate | yAvat tasya evam
   utkṣipyamānasya ca prapatataś cānnekāni varṣaśatasahasrāṇi gacchanti |	utkzipyamAnasya ca prapatataH ca annekAni varza Sata sahasrANi gacCanti |
   kathañcid api tasmān muktaḥ paribhrāmitaś cakrāṅkaṃ vivaraṃ nāma pradeśam	kaTaQcid api tasmAt muktaH pariBrAmitaH cakra aFkam vivaram nAma pradeSam
   anudhāvati | tasmiṃś ca pradeśe sahasrārāṇi cakrāṇi prādurbhavanti	anuDAvati | tasmin ca pradeSe sahasrArANi cakrANi prAdurBavanti
   vajranābhīni tīkṣṇajvālāni śīghrabhramāṇi tasya sahagamanād eva tāni	vajra nABIni tIkzNa jvAlAni SIGra BramANi tasya saha gamanAt eva tAni
   cakrāṇi śarīraṃ prāpya bhramanti | pe ||	cakrANi SarIram prApya Bramanti | pe ||
   pratyekaṃ sarvāṅgāni pramathnanto dahanti pādatale cāsya śaṅkubhir	pratyekam sarva aFgAni pramaTnantaH dahanti pAda tale ca asya SaFkuBiH 
   bhidyete | evaṃ makkoṭakaparvate | mākkoṭakaiḥ prāṇijātibhiḥ	Bidyete | evam makkowaka parvate | mAkkowakEH prANi jAtiBiH
   sāntarvahiḥparamāṇuśaḥ prabhakṣyate | bhukto bhuktaḥ punar api saṃjāyate	sa antar vahiH paramANuSaH praBakzyate | BuktaH BuktaH punar api saMjAyate
   sukumārataraḥ | sukumāratayā bhūyo 'py ādhikatarāṃ vedanām anubhavati |	sukumArataraH | sukumAra tayA BUyas api ADikatarAm vedanAm anuBavati |
   bhuktabhuktasya prabhūtataram evāsya tvaṅmāṃsaṃ prādurbhavati | tasya	Bukta Buktasya praBUtataram eva asya tvac mAMsam prAdurBavati | tasya
   prāṇātipātakṛtopacitasya tatphalaṃ bhavati ||	prANa atipAta kRta upacitasya tad Palam Bavati ||
   adattādānavipākam āha | sa eṣa duṣkṛtakarmāntacārī	adatta AdAna vipAkam Aha | saH eza duzkRta karmAnta cArI
   ālātacakranirmāṇagandharvanagaramṛgatṛṣṇikāsadṛśaṃ mahad arthajātaṃ	AlAta cakra nirmANa ganDarvanagara mRgatRzNikA sadRSam mahat arTa jAtam
   paśyati ratnavastradhanadhānyanikarabhūtaṃ | tasyaivaṃ lobhābhibhūtasya	paSyati ratna vastra Dana DAnya nikara BUtam | tasya evam loBa aBiBUtasya
   karmaṇā mohitasyaivaṃ bhavati | mamedam iti | sa evaṃ mohitaḥ pāpakārī	karmaNA mohitasya evam Bavati | mama idam iti | saH evam mohitaH pApa kArI
   prajvalitāṅgārakarṣūr laṅghayitvā taddraviṇam anudhāvati | sa karmakṛtair	prajvalita aFgAra karzUH laFGayitvA tad draviNam anuDAvati | sa karma kRtEH 
   yamapuruṣair gṛhyate śastrajālamadhyagataḥ sarvāṅgapratyaṅgaśaḥ pāṭyate	yama puruzEH gRhyate Sastra jAla maDya gataH sarva aFga pratyaFgaSaH pAwyate
   viśasyate dahyate 'sthyavaśeṣaḥ kriyate | na cāsyānnādikālapravṛttaḥ sa	viSasyate dahyate asTi avaSezaH kriyate | na ca asya anna Adi kAla pravRttaH sa
   lobhas tām apy avasthāṃ gatasya parihīyatae iti ||	loBaH tAm api avasTAm gatasya parihIyatae iti ||
   kāmamithyācāram adhikṛtyāha | eṣa sa pāpakartā tasmāc chastrasaṅkaṭān	kAma miTyA AcAram aDikRtya Aha | eza sa pApa kartA tasmAt Sastra saFkawAn
   muktaḥ kathamapy aṅgārakarṣūr laṅghayitvā karmaṇā bhrāmitaḥ pradeśam anyaṃ	muktaH kaTam api aFgAra karzUH laFGayitvA karmaNA BrAmitaH pradeSam anyam
   prapadyate | vitathadarśanaṃ nāma tatra karmakṛtāṃ striyaṃ paśyati yā tena	prapadyate | vitaTa darSanam nAma tatra karma kRtAm striyam paSyati yA tena
   pūrvaṃ naṣṭasmṛtinā dṛṣṭā | dṛṣṭvā cānnādikālābhyasto rāgāgnir utpadyate |	pUrvam nazwa smRtinA dRzwA | dRzwvA ca anna Adi kAla aByastaH rAga agniH utpadyate |
   sa tena dhāvati yena tā striyaḥ | tāś cāyomayyo nāryaḥ karmakṛtāḥ | tābhir	sa tena DAvati yena tAH striyaH | tAH ca ayaH mayyaH nAryaH karma kRtAH | tABiH 
   asau gṛhyate | gṛhītvā cauṣṭhāt prabhṛti tathā bhujyate yathāsya	asO gRhyate | gRhItvA ca ozWAt praBRti taTA Bujyate yaTA asya
   sarṣapaphalamātrapramāṇam api nāvaśiṣṭaṃ | tasmiñ śarīre bhavati | punar	sarzapa Pala mAtra pramANam api na avaSizwam | tasmin SarIre Bavati | punar 
   api saṃbhavati | punar api bhujyate | sa kaṭukāṃ kharāṃ vedanām anubhavaṃs	api saMBavati | punar api Bujyate | sa kawukAm KarAm vedanAm anuBavan= 
   tasmād rāgāgner na nivartate | yena tā striyas tena bhūyaḥ saḥ saṃdhāvati	tasmAt rAga agneH na nivartate | yena tA striyaH tena BUyas saH saMDAvati
   | na cāsya tatpīḍā tathā bādhate yathā rāgāgniḥ | atha tā striyo bhūyo	| na ca asya tad pIxA taTA bADate yaTA rAga agniH | aTa tA striyaH BUyo
   vajramayāyomayaprajvalitagātrās taṃ manuṣyam ādāya	vajra maya ayaH maya prajvalita gAtrAH tam manuzyam AdAya
   jvālāmālākulasarvaśarīrās taṃ nārakeyaṃ siktāmuṣṭivad bhindanti | punar	jvAlA mAlA Akula sarva SarIrAH tam nArakA iyam sikta amuzwi vat Bindanti | punar 
   api saṃbhavatīti pūrvavat || pe ||	api saMBavati iti pUrvavat || pe ||
   striyo mūlam apāyasya dhananāśasya sarvathā | strīvidheyā narā ye tu kutas	striyaH mUlam apAyasya Dana nASasya sarvaTA | strI viDeyAH narAH ye tu kutas 
   teṣāṃ bhavet sukham || pe ||	tezAm Bavet suKam || pe ||
   yāvat | strī vināśo vināśānām iha loke paratra ca | tasmāt striyo	yAvat | strI vinASaH vinASAnAm iha loke paratra ca | tasmAt striyaH 
   vivarjyāḥ syur yadīcchet sukham ātmana iti ||	vivarjyAH syuH yadi icCet suKam AtmanaH iti ||
   mṛṣāvādam adhikatyāha | sa tair yamapuruṣair gṛhyate gṛhītvā ca tanmukhaṃ	mRzAvAdam aDikatyAha | sa tEH yama puruzEH gRhyate gRhItvA ca tad muKam
   vidārayanti tasmāj jihvām apakarṣayanti | sā ca jihvā karmavaśāt	vidArayanti tasmAt jihvAm apakarzayanti | sA ca jihvA karma vaSAt 
   pañcayojanaśatapramāṇā bhavati | tasya mṛṣāvādasya balena tasyāś ca	paQca yojana Sata pramANA Bavati | tasya mRzAvAdasya balena tasyAH ca
   sahanirgamanakāle te yamapuruṣā bhūmāv ānāhayanti pradīptāyomayyāṃ |	saha nirgamana kAle te yama puruzAH BUmO AnAhayanti pradIpta ayaH mayyAm |
   karmakṛtaṃ ca halasahasraṃ prādurbhavati pradīptāgrasaṃyuktaṃ balavadbhir	karma kRtam ca hala sahasram prAdurBavati pradIpta agra saMyuktam balavadBiH 
   balīvardais tad asyāntargataṃ jihvāyāṃ vahati | tatra	balIvardEH tat asya antargatam jihvAyAm vahati | tatra
   pūyarudhirakṛmiśrāviṇyo nadyaḥ pravahanti || pe ||	pUya ruDira kRmi SrAviNyaH nadyaH pravahanti || pe ||
   sā ca jihvā tathā sukumārā yathā devānām akṣi ||	sA ca jihvA taTA sukumArAH yaTA devAnAm akzi ||
   yāvat sa vedanātas tanati krandati vikrośati na cāsya tadduḥkhaṃ kaścid	yAvat sa vedanAtas tanati krandati vikroSati na ca asya tad duHKam kaScid 
   apanayatīti vistaraḥ | tasyaivaṃ pracaṇḍām vedanām anubhavato 'nnekāni	apanayati iti vistaraH | tasya evam pracaNxAm vedanAm anuBavataH annekAni
   varṣaśatasahasrāṇi sā ca jihvā kṛṣyate | sā kathañcit tasya nārakasya	varza Sata sahasrANi sA ca jihvA kRzyate | sA kaTaQcid tasya nArakasya
   mukhe praviśati | sa bhayavihvalavadano yena vā tena vā niḥpalāyate	muKe praviSati | sa Baya vihvala vadanaH yena vA tena vA niHpalAyate
   'ṅgārakarṣūṣu dahyamāno nimajjan | tasyaivaṃ	aFgAra karzUzu dahyamAnaH nimajjan | tasya evam
   duḥkhārttasyāśaraṇasyāparāyaṇasya punar api yamapuruṣāḥ prādurbhavanti	duHKa Arttasya ASaraNasya aparAyaNasya punar api yama puruzAH prAdurBavanti
   mudgarāsipāṇayaḥ | te taṃ puruṣaṃ mastakāt prabhṛti yāvat pādau	mudga ra asi pANayaH | te tam puruzam mastakAt praBRti yAvat pAdO
   cūrṇayantīty ādi ||	cUrNayanti iti Adi ||
   paiśunyavipākas tu yathaiva mṛṣāvādasya trīṇi yojanaśatāni jihveti viśeṣas	pESunya vipAkaH tu yaTA eva mRzAvAdasya trINi yojana SatAni jihvA iti viSezas
   tu | tāṃ yamapuruṣā nistriṃśān ādāya pradīptadhārān jihvāṃ nikṛntanti |	tu | tAm yama puruzAH nistriMSAn AdAya pradIpta DArAn jihvAm nikRntanti |
   jambukaiś cānysamin pradeśe bhakṣyate | paramakaṭukāṃ vedanāṃ	jambukEH ca anysamin pradeSe Bakzyate | parama kawukAm vedanAm
   prativedayate sa krandati vikrośaty avyaktākṣaraṃ jihvāvirahita ity ādi ||	prativedayate sa krandati vikroSati avyakta akzaram jihvA virahitaH iti Adi ||
   pāruṣyavipākam āha | te tāṃ jihvām āsyaṃ vidārya gṛhṇanti | gṛhītvā	pAruzya vipAkam Aha | te tAm jihvAm Asyam vidArya gRhNanti | gRhItvA
   niśitadhāraiḥ śastraiś chittvā tasya bhūya eva khādanīyārthena mukhe	niSita DArEH SastrEH CittvA tasya BUyas eva KAdanIya arTena muKe
   prakṣipanti | sa ca jighansārditaḥ kṣutkṣāmavadanaḥ	prakzipanti | sa ca jiGansA arditaH kzuD kzAma vadanaH
   svarudhiralālāparisrutāṃ tām eva svajihvāṃ bhakṣayati | sā ca jihvā chinnā	sva ruDira lAlA parisrutAm tAm eva sva jihvAm Bakzayati | sA ca jihvA CinnA
   punar api saṃjāyate karmavaśāt | atha sa bhūmau vedanārttaḥ parivartate	punar api saMjAyate karma vaSAt | aTa sa BUmO vedanA ArttaH parivartate
   viceṣṭate krandate | tasyaivaṃ vedanārttasya parivṛttanayanatārakasya	vicezwate krandate | tasya evam vedanA Arttasya parivRtta nayana tArakasya
   duṣkhārttasya dīnasyāsahāyasyaikākinaḥ svakṛtam upabhuñjānasya yamapuruṣā	duzKa Arttasya dInasya asahAyasya ekAkinaH sva kRtam upaBuQjAnasya yama puruzA
   anuśāsanīgāthāṃ bhāṣante ||	anuSAsanI gATAm BAzante ||
   jihvādhanor vinirmuktas tīkṣṇo vāg viśikhas tvayā | pāruṣyam iti yad	jihvA DanoH vinirmuktaH tIkzNaH vAc viSiKaH tvayA | pAruzyam iti yat 
   dṛṣṭaṃ tasyaitat phalam āgatam ||	dRzwam tasya etat Palam Agatam ||
   iti vistaraḥ ||	iti vistaraH ||
   saṃbhinnapralāpavipākam āha ||	saMBinna pralApa vipAkam Aha ||
   tasya tat prajvalitaṃ tāmradravalohitaṃ jihvāṃ dahati | jihvāṃ dagdhvā	tasya tat prajvalitam tAmra drava lohitam jihvAm dahati | jihvAm dagDvA
   kaṇṭhaṃ dahati | kaṇṭhaṃ dagdhvā hṛdayaṃ dahati hṛdayaṃ dagdhvāntrāṇi	kaNWam dahati | kaNWam dagDvA hRdayam dahati hRdayam dagDvA antrANi
   dahati | tāny api dagdhvā pakvāśayaṃ dahati | pakvāśayam api	dahati | tAni api dagDvA pakvASayam dahati | pakvASayam api
   dagdhvādhobhāgena nirgacchati ||	dagDvA aDoBAgena nirgacCati ||
   yamapuruṣā gāthām āhuḥ | pūrvottarābaddhapadaṃ nirarthakam asaṃgatam |	yama puruzAH gATAm AhuH | pUrva uttara AbadDa padam nirarTakam asaMgatam |
   abaddhaṃ yat tvayā proktaṃ tasyaitat phalam āgataṃ ||	abadDam yat tvayA proktam tasya etat Palam Agatam ||
   yā na [doubtful] satyavatī nityaṃ na cādhyayanatatparā | na sā jihvā	yA na [doubtful] satyavatI nityam na ca aDyayana tatparA | na sA jihvA
   budhair dṛṣṭā kevalaṃ māṃsakhaṇḍikā | iti vistaraḥ ||	buDEH dRzwA kevalam mAMsa KaNxikA | iti vistaraH ||
   abhidhyāvipākam āha | atha paśyati riktaṃ tuccham asārakaṃ karmakṛtaṃ	aBiDyA vipAkam Aha | aTa paSyati riktam tucCam asArakam karma kRtam
   bahudraviṇaṃ paraparigṛhītaṃ tasya karmacoditavyāmohitasyaivaṃ bhavati |	bahu draviNam para parigRhItam tasya karma codita vyAmohitasya evam Bavati |
   mamedaṃ syād iti | tataḥ sa nārakas tenaiva dhāvati yena tad dravyaṃ |	mama idam syAt iti | tatas sa nArakaH tena eva DAvati yena tat dravyam |
   tasyābhidhyākhyamānasasyākuśalasyāsevitabhāvitabahulīkṛtasya tatphalaṃ yad	tasya aBiDya AKya mAna sasya akuSalasya Asevita BAvita bahulIkRtasya tad Palam yat 
   asau narake viparītaṃ paśyati | tasyaivaṃ paśyato 'bhidhyābahulasya haste	asO narake viparItam paSyati | tasya evam paSyataH aBiDyA bahulasya haste
   śastraṃ prādurbhavati sa tena dhāvati | teṣām apy anyeṣāṃ nārakāṇāṃ haste	Sastram prAdurBavati sa tena DAvati | tezAm api anyezAm nArakANAm haste
   śastrāṇi prādurbhavanti | sa taiḥ saha śastreṇa yudhyate yāvat tathā	SastrANi prAdurBavanti | sa tEH saha SastreNa yuDyate yAvat taTA
   kartyate yathā sarṣapaphalamātram api na bhavati māṃsam asya śarīre	kartyate yaTA sarzapa Pala mAtram api na Bavati mAMsam asya SarIre
   tathāsthikaṅkālāvaśeṣaḥ kriyate || pe ||	taTA asTi kaFkAla avaSezaH kriyate || pe ||
   pareṣāṃ sampa ... mama syād iti cintitaṃ | tasyābhidhyāsamutthasya viṣasya	parezAm sampa ... mama syAt iti cintitam | tasya aBiDyA samutTasya vizasya
   phalam āgatam iti ||	Palam Agatam iti ||
   vyāpādaphalam āha | karmamayāḥ siṃhavyāghrasarpāḥ krodhābhibhūtāḥ puratas	vyApAda Palam Aha | karma mayAH siMha vyAGra sarpAH kroDa aBiBUtAH puratas 
   tiṣṭhante | etebhyo bhayabhīto yena vā tena vā niḥpalāyate | sa kathaṃ	tizWante | eteByaH Baya BItaH yena vA tena vA niHpalAyate | sa kaTam
   śaknoti palāyitum aśubhasya karmaṇaḥ | sa tair gṛhyate | gṛhītvā ca pūrvaṃ	Saknoti palAyitum aSuBasya karmaNaH | sa tEH gRhyate | gRhItvA ca pUrvam
   tāvan mastakād bhujyate yāvat pārśvataḥ sarpair viṣadaṃṣṭraiḥ saṃdaśya	tAvat mastakAt Bujyate yAvat pArSvatas sarpEH viza daMzwrEH saMdaSya
   saṃdaśya bhakṣyate | vyāghrair api pṛṣṭhato bhakṣyate | pādāv api vahninā	saMdaSya Bakzyate | vyAGrEH api pRzWatas Bakzyate | pAdO api vahninA
   dāhyete sa yamapuruṣair dūrād iṣubhir vidhyatae iti vistaraḥ ||	dAhyete sa yama puruzEH dUrAt izuBiH viDyatae iti vistaraH ||
   mithyādṛṣṭiphalaṃ punar aparimitaṃ | pāṭhas tu saṃkṣipyate |	miTyA dRzwi Palam punar aparimitam | pAWaH tu saMkzipyate |
   śastravarṣatomaravajravarṣāśanipāṣāṇavarṣe hanyate | ekādaśabhir	Sastra varza tomara vajra varza aSani pAzANa varze hanyate | ekAdaSaBiH 
   arcciskandhaiḥ kṣutpipāsāgninā ca sukhanirgatena nirantaraṃ dahyatae iti	arcci skanDEH kzuD pipAsA agninA ca suKa nirgatena nirantaram dahyatae iti
   kāmamūlāś ca sarvānarthā iti tebhya evodvejitavyaṃ | yathātraivāha | asty	kAma mUlAH ca sarvAn arTAH iti teByaH eva udvejitavyam | yaTA atra eva Aha | asti 
   agnikuṇḍo nāma narakaḥ | tatra katareṇa karmaṇā satvā upapadyante | yena	agnikuNxaH nAma narakaH | tatra katareNa karmaNA satvAH upapadyante | yena
   aśramaṇena śramaṇapratijñena mātṛgrāmasya nṛttagītasyābharaṇānāṃ vā śabdaṃ	aSramaNena SramaNa pratijQena mAtR grAmasya nRtta gItasya ABaraNAnAm vA Sabdam
   śrutvāyoniśena manaḥkāreṇākṣiptabuddhinā tac chrutvā hasitalaḍitakrīḍitāny	SrutvA ayoniSena manaH kAreNa Akzipta budDinA tat SrutvA hasita laxita krIxitAni 
   aśucim uktaṃ || pe ||	aSucim uktam || pe ||
   tatra te nārakā ayovarṣeṇa sarvāṅgapratyaṅgaśaś cūrṇyante 'ṅgāravarṣeṇa ca	tatra te nArakAH ayaH varzeNa sarva aFga pratyaFgaSas cUrNyante aFgAra varzeNa ca
   pacyante dahyantae ity ādi | evaṃ paurāṇakāmāsvādanasmaraṇāt padumo nāma	pacyante dahyantae iti Adi | evam pOrANa kAma AsvAdana smaraNAt padumaH nAma
   narakaḥ paṭhyate svapnāntabhūtasmaraṇāc ca | tatra te nārakāḥ kumbhiṣu	narakaH paWyate svapna anta BUta smaraNAt ca | tatra te nArakAH kumBizu
   pacyante | te droṇiṣv ayomayair muṣalair hanyantae iti vistaraḥ ||	pacyante | te droNizu ayaH mayEH muzalEH hanyantae iti vistaraH ||
   evam apsarasaḥ prārthanayā brahmacaryapariṇāmanān mahāpadumo nāma naraka	evam apsarasaH prArTanayA brahmacarya pariNAmanAt mahApadumaH nAma naraka
   uktaḥ | tatra kṣāranadītaraṅginī nāma pravahati | tasyāṃ nadyāṃ yāny	uktaH | tatra kzAranadItaraFginI nAma pravahati | tasyAm nadyAm yAni 
   asthīni te pāṣāṇāḥ | yac chevālaṃ te keśāḥ | yaḥ paṅkas tan māṃsaṃ | yā	asTIni te pAzANAH | yat SevAlam te keSAH | yaH paFkaH tat mAMsam | yA
   āpaḥ tat kathitaṃ tāmraṃ | ye matsyās te nārakā ity ādi ||	ApaH tat kaTitam tAmram | ye matsyAH te nArakAH iti Adi ||
   evaṃ puruṣasya puruṣeṇa saha maithunavipratipatteḥ aprameyā akāraṇā	evam puruzasya puruzeNa saha mETuna vipratipatteH aprameyA akAraNA
   viśeṣāḥ paṭhyante | evaṃ śiśubhiḥ saha vipratipatteḥ kṣāranadyām uhyamānān	viSezAH paWyante | evam SiSuBiH saha vipratipatteH kzAra nadyAm uhyamAnAn
   dārakān paśyati | te taṃ vilapanti | sa tāṃ nadīm avagāhate | teṣu	dArakAn paSyati | te tam vilapanti | sa tAm nadIm avagAhate | tezu
