   aktāṃśaṃ sūtaśodhakaḥ Rsdhy_166*[65]b	akta-aMSam sUta-SoDakaH RsDi-_166*[65]b
   ghāṭanaṃ jāyate dhruvam Rsdhy_224*[123]d	GAwanam jAyate Druvam RsDi-_224*[123]d
   ghṛtatailādinā digdhaṃ Rsdhy_256*[155]c	GRta-tEla-AdinA digDam RsDi-_256*[155]c
   caṇakakṣāranāśe ca Rsdhy_87a	caNaka-kzAra-nASe ca RsDi-_87a
   caturtho darpasaṃjñakaḥ Rsdhy_17d	caturTaH darpa-saMjQakaH RsDi-_17d
   catuṣpāda ubhāv api Rsdhy_172*[71]b	catuzpAdaH uBO api RsDi-_172*[71]b
   catuḥṣaṣṭitamaṃ cāṃśaṃ Rsdhy_149c	catuHzazwitamam ca-aMSam RsDi-_149c
   catuḥṣaṣṭipalāni ca Rsdhy_32d	catuHzazwi-palAni ca RsDi-_32d
   catuḥṣaṣṭipalāni ca Rsdhy_50d	catuHzazwi-palAni ca RsDi-_50d
   catuḥṣaṣṭipuṭāni ca Rsdhy_295*[194]b	catuHzazwi-puwAni ca RsDi-_295*[194]b
   catuḥṣaṣṭyaṃśakaṃ pūrvaṃ Rsdhy_183*[82]c	catuHzazwi-aMSakam pUrvam RsDi-_183*[82]c
   catuḥṣaṣṭyaṃśacūrṇakam Rsdhy_151d	catuHzazwi-aMSa-cUrNakam RsDi-_151d
   catuḥṣaṣṭyaṃśacūrṇakam Rsdhy_154*[53]d	catuHzazwi-aMSa-cUrNakam RsDi-_154*[53]d
   catuḥṣaṣṭyaṃśacūrṇakam Rsdhy_168*[67]d	catuHzazwi-aMSa-cUrNakam RsDi-_168*[67]d
   catuḥṣaṣṭyaṃśadānena Rsdhy_231*[130]c	catuHzazwi-aMSa-dAnena RsDi-_231*[130]c
   catuḥṣaṣṭyaṃśabhāgena Rsdhy_146c	catuHzazwi-aMSa-BAgena RsDi-_146c
   candanaṃ rasavedibhiḥ Rsdhy_147d	candanam rasa-vediBiH RsDi-_147d
   capalatvaṃ nivartayet Rsdhy_111d	capala-tvam nivartayet RsDi-_111d
   cāṅgerī kāñjikaṃ nimbu- Rsdhy_82a	cAFgerI kAQjikam nimbu RsDi-_82a
   ciñcāphalapunarnavā Rsdhy_141b	ciQcA-Pala-punarnavA RsDi-_141b
   citrakakvāthasampiṣṭāt Rsdhy_36a	citraka-kvATa-sampizwAt RsDi-_36a
   citrakakvāthasampiṣṭād Rsdhy_39a	citraka-kvATa-sampizwAt RsDi-_39a
   citrakūṭasya ṣaḍbhāgaṃ Rsdhy_227*[126]a	citrakUwasya zaz-BAgam RsDi-_227*[126]a
   citrako grīṣmasaṃdaraḥ Rsdhy_99d	citrakaH grIzma-saMdaraH RsDi-_99d
   culhāgnau svedyate svedyaṃ Rsdhy_78c	culha-agnO svedyate svedyam RsDi-_78c
   cūrṇaṃ kāntāyasaṃ rasāt Rsdhy_146d	cUrNam kAntAyasam rasAt RsDi-_146d
   cūrṇaṃ kāryaṃ sadā budhaiḥ Rsdhy_243*[142]b	cUrNam kAryam sadA buDEH RsDi-_243*[142]b
   cūrṇaṃ tīkṣṇasya saṃkṣipet Rsdhy_149b	cUrNam tIkzNasya saMkzipet RsDi-_149b
   cūrṇaṃ ṣoḍaśavedhakam Rsdhy_262*[161]b	cUrNam zoxaSa-veDakam RsDi-_262*[161]b
   cūrṇaṃ sampiṣya kartavyaṃ Rsdhy_221*[120]c	cUrNam sampizya kartavyam RsDi-_221*[120]c
   cūrṇaṃ syān navasārajam Rsdhy_87b	cUrNam syAt navasAra-jam RsDi-_87b
   cūrṇena saguḍena vā Rsdhy_157*[56]b	cUrNena sa-guxena vE RsDi-_157*[56]b
   cetthaṃ saṃsārayettataḥ Rsdhy_211*[110]f	ca-itTam saMsArayet-tatas RsDi-_211*[110]f
   cordhvasthālyāṃ parivrajet Rsdhy_61b	ca-UrDva-sTAlyAm parivrajet RsDi-_61b
   channaṃ koḍīyakena ca Rsdhy_89f	Cannam koxIyakena ca RsDi-_89f
   charāvopari ḍhaṅkaṇīm Rsdhy_229*[128]b	CarAva-upari XaFkaNIm RsDi-_229*[128]b
   chāṇakāni kaṭāhātte Rsdhy_54a	CANakAni kawAhAt-te RsDi-_54a
   chāṇakāni kaṭāhītat Rsdhy_276*[175]a	CANakAni kawAhItat RsDi-_276*[175]a
   chāṇakaiḥ sthāpitaiḥ punaḥ Rsdhy_282*[181]b	CANakEH sTApitEH punar RsDi-_282*[181]b
   chāṇakaiḥ sthāpitaiḥ pūrṇe Rsdhy_279*[178]a	CANakEH sTApitEH pUrNe RsDi-_279*[178]a
   jaḍapattrasya pakṣayoḥ Rsdhy_226*[125]d	jaxa-pattrasya pakzayoH RsDi-_226*[125]d
   jambīrabījapūrakaiḥ Rsdhy_82b	jambIra-bIjapUrakEH RsDi-_82b
   jambīrāṇāṃ dravairdṛḍham Rsdhy_184*[83]d	jambIrANAm dravEH-dRXam RsDi-_184*[83]d
   jambīrotthadravairdinam Rsdhy_183*[82]b	jambIra-utTa-dravEH-dinam RsDi-_183*[82]b
   jambīrotthadravair bhāvyaṃ Rsdhy_189*[88]c	jambIra-utTa-dravEH BAvyam RsDi-_189*[88]c
   jalaklinnāṃś ca vartayet Rsdhy_35b	jala-klinnAn ca vartayet RsDi-_35b
   jalamadhye raso yāti Rsdhy_54c	jala-maDye rasaH yAti RsDi-_54c
   jalenāloḍayettataḥ Rsdhy_221*[120]d	jalena-Aloxayet-tatas RsDi-_221*[120]d
   jale bruḍati naivāyaṃ Rsdhy_296*[195]c	jale bruxati na-eva-ayam RsDi-_296*[195]c
   jalaukādaṇḍadhāriṇaḥ Rsdhy_128b	jalOkA-daNxa-DAriNaH RsDi-_128b
   jātaṃ taddravarūpitam Rsdhy_260*[159]b	jAtam tad-drava-rUpitam RsDi-_260*[159]b
   jāto rāgaśca jīryati Rsdhy_150d	jAtaH rAgaH-ca jIryati RsDi-_150d
   jātyahīrān kṣipetteṣu Rsdhy_299*[198]a	jAtya-hIrAn kzipet-tezu RsDi-_299*[198]a
   jātyān saṃveṣṭayet sudhīḥ Rsdhy_289*[188]d	jAtyAn saMvezwayet suDIH RsDi-_289*[188]d
   jāmbulāḥ syur dvitīyake Rsdhy_302*[201]d	jAmbulAH syuH dvitIyake RsDi-_302*[201]d
   jāyate ca śarīriṇām Rsdhy_18d	jAyate ca SarIriNAm RsDi-_18d
   jāyate'timṛduḥ piṇḍaḥ Rsdhy_70c	jAyate-ati-mRduH piNxaH RsDi-_70c
   jāyate dīpanaṃ śubham Rsdhy_115d	jAyate dIpanam SuBam RsDi-_115d
   jāyate śvetakuṣṭhaṃ ca Rsdhy_21a	jAyate SvetakuzWam ca RsDi-_21a
   jāyate ṣaṭsu loheṣu Rsdhy_270*[169]c	jAyate zawsu lohezu RsDi-_270*[169]c
   jāraṇastrividho vidhiḥ Rsdhy_193*[92]d	jAraNaH-triviDaH viDiH RsDi-_193*[92]d
   jāraṇīyam aharniśam Rsdhy_119d	jAraNIyam aharniSam RsDi-_119d
   jāraṇīyaṃ sadā budhaiḥ Rsdhy_148d	jAraNIyam sadA buDEH RsDi-_148d
   jārayet taṃ vicakṣaṇaḥ Rsdhy_132d	jArayet tam vicakzaNaH RsDi-_132d
   jāritaṃ mārayedrasam Rsdhy_178*[77]b	jAritam mArayet-rasam RsDi-_178*[77]b
   jāritānīva bundhake Rsdhy_52f	jAritAni-iva bunDake RsDi-_52f
   jārī hemapādī naṭī Rsdhy_144b	jArI hemapAdI nawI RsDi-_144b
   jāryam aṣṭaguṇaṃ rasāt Rsdhy_169*[68]d	jAryam azwaguNam rasAt RsDi-_169*[68]d
   jāryamāṇaśca yaḥ sūtaḥ Rsdhy_203*[102]a	jAryamANaH-ca yaH sUtaH RsDi-_203*[102]a
   jāryaścāṣṭaguṇo rasāt Rsdhy_231*[130]d	jAryaH-ca-azwaguNaH rasAt RsDi-_231*[130]d
   jāryaḥ śuddho hi gandhakaḥ Rsdhy_156*[55]d	jAryaH SudDaH hi ganDakaH RsDi-_156*[55]d
   jāryā cāṣṭaguṇā rasāt Rsdhy_243*[142]d	jAryA ca-azwaguNAH rasAt RsDi-_243*[142]d
   jārye tu jārite sūte Rsdhy_194*[93]a	jArye tu jArite sUte RsDi-_194*[93]a
   jāryo gadyāṇakaḥ sadā Rsdhy_268*[167]b	jAryaH gadyANakaH sadA RsDi-_268*[167]b
   jālaṃ kārayatā sute Rsdhy_196*[95]a	jAlam kArayatA sute RsDi-_196*[95]a
   jīrṇajāryas tṛtīyakaḥ Rsdhy_196*[95]d	jIrNa-jAryaH tRtIyakaH RsDi-_196*[95]d
   jīrṇalohaṃ rasaṃ kṣipet Rsdhy_151b	jIrNa-loham rasam kzipet RsDi-_151b
   jīrṇasya lakṣaṇaṃ jñeyaṃ Rsdhy_128a	jIrNasya lakzaNam jQeyam RsDi-_128a
   jīrṇahemākhyarājiśca Rsdhy_158*[57]a	jIrNa-hema-AKya-rAjiH-ca RsDi-_158*[57]a
   jīrṇaṃ tailaṃ ca gandhakam Rsdhy_181*[80]b	jIrNam tElam ca ganDakam RsDi-_181*[80]b
   jīrṇāyāṃ pītatā bhavet Rsdhy_153b	jIrNAyAm pIta-tA Bavet RsDi-_153b
   jīrṇāyāṃ hemarājau ca Rsdhy_156*[55]a	jIrNAyAm hema-rAjO ca RsDi-_156*[55]a
   jīrṇe caturguṇe tasmin Rsdhy_134a	jIrNe caturguNe tasmin RsDi-_134a
   jīrṇe ca ṣaḍguṇe sūtaṃ Rsdhy_135a	jIrNe ca zaxguNe sUtam RsDi-_135a
   jīrṇe jīrṇe muhurdadyād Rsdhy_166*[65]a	jIrNe jIrNe muhur-dadyAt RsDi-_166*[65]a
   jīrṇe jīrṇe muhuḥ kṣiptvā Rsdhy_169*[68]c	jIrNe jIrNe muhur kziptvA RsDi-_169*[68]c
   jīrṇe puṣpākṣasattve ca Rsdhy_170*[69]a	jIrNe puzpa-akza-sattve ca RsDi-_170*[69]a
   jīrṇe manaḥśilāsattve Rsdhy_167*[66]a	jIrNe manaHSilA-sattve RsDi-_167*[66]a
   jīrṇe sūtena gandhake Rsdhy_161*[60]b	jIrNe sUtena ganDake RsDi-_161*[60]b
   jīrṇo jīrṇe kṣipen muhuḥ Rsdhy_149d	jIrNaH jIrNe kzipet muhur RsDi-_149d
   jīryate 'nnapathaṃ vaktraṃ Rsdhy_170*[69]c	jIryate anna-paTam vaktram RsDi-_170*[69]c
   jīryate śuddhagandhakaḥ Rsdhy_160*[59]d	jIryate SudDa-ganDakaH RsDi-_160*[59]d
   jīryate sa ca hīrakaḥ Rsdhy_173*[72]b	jIryate sa ca hIrakaH RsDi-_173*[72]b
   jīryante cātivegataḥ Rsdhy_176*[75]b	jIryante ca-ati-vegataH RsDi-_176*[75]b
   jīvaśulvasya bhāgaikaṃ Rsdhy_225*[124]a	jIva-Sulvasya BAga-ekam RsDi-_225*[124]a
   jepālabījaṃ tvagghīnaṃ Rsdhy_190*[89]a	jepAla-bIjam tvac-hInam RsDi-_190*[89]a
   jvalite śītalībhūte Rsdhy_276*[175]c	jvalite SItalIBUte RsDi-_276*[175]c
   jvalitvā śītalībhūte Rsdhy_280*[179]a	jvalitvA SItalIBUte RsDi-_280*[179]a
   jvālayetkarpare śvetaṃ Rsdhy_269*[168]a	jvAlayet-karpare Svetam RsDi-_269*[168]a
   jvālayed dinasaptakam Rsdhy_90d	jvAlayet dina-saptakam RsDi-_90d
   jvālyo 'gnistāvatā yāvaj Rsdhy_173*[72]a	jvAlyaH agniH-tAvatA yAvat RsDi-_173*[72]a
   ṭaṅkaṇakṣāraturyāṃśo Rsdhy_245*[144]c	waFkaNa-kzAra-turya-aMSaH RsDi-_245*[144]c
   ḍamaruṃ yantramuttamam Rsdhy_59d	xamarum yantram-uttamam RsDi-_59d
   ḍhaṅkaṇīchidramadhyataḥ Rsdhy_200*[99]b	XaFkaNI-Cidra-maDyatas RsDi-_200*[99]b
   ḍhālayeddhemarājiṃ tāṃ Rsdhy_209*[108]a	XAlayet-hema-rAjim tAm RsDi-_209*[108]a
   taccūrṇamadhye kṣeptavyo Rsdhy_220*[119]c	tad-cUrNa-maDye kzeptavyaH RsDi-_220*[119]c
   tajjaiśca rājirekaikā Rsdhy_243*[142]c	tad-jEH-ca rAjiH-ekEkAH RsDi-_243*[142]c
   tajjñair udghāṭano mataḥ Rsdhy_30d	tad-jQEH udGAwanaH mataH RsDi-_30d
   tajjñairniṣpāditā kila Rsdhy_260*[159]d	tad-jQEH-nizpAditA kila RsDi-_260*[159]d
   tajjñaiḥ saṃsṛjya kiṃcana Rsdhy_2b	tad-jQEH saMsRjya kiMcana RsDi-_2b
   tataśca caṇakakṣāraṃ Rsdhy_84a	tatas-ca caNaka-kzAram RsDi-_84a
   tatastu mṛtajīvibhiḥ Rsdhy_299*[198]b	tatas-tu mRta-jIviBiH RsDi-_299*[198]b
   tataḥ koṭiguṇe jīrṇe Rsdhy_176*[75]c	tatas kowi-guNe jIrNe RsDi-_176*[75]c
   tataḥ ṣaṭsvapi loheṣu Rsdhy_270*[169]a	tatas zawsu-api lohezu RsDi-_270*[169]a
   tataḥ suvarṇamākṣīkaṃ Rsdhy_235*[134]a	tatas suvarNamAkzIkam RsDi-_235*[134]a
   tataḥ sūtaṃ vimārayet Rsdhy_185*[84]f	tatas sUtam vimArayet RsDi-_185*[84]f
   tato'tra vyaktam ukte'pi Rsdhy_6a	tatas-atra vyaktam ukte-api RsDi-_6a
   tato yatrāpi tatrāpi Rsdhy_7c	tatas yatra-api tatra-api RsDi-_7c
   tato rājabadaryāśca Rsdhy_283*[182]c	tatas rAja-badaryAH-ca RsDi-_283*[182]c
   tato lohakapālasthaṃ Rsdhy_131a	tatas loha-kapAla-sTam RsDi-_131a
   tato hy adhomukhīṃ dadyāc Rsdhy_229*[128]a	tatas hi aDomuKIm dadyAt RsDi-_229*[128]a
   tatkṣaṇād amaratvaṃ ca Rsdhy_177*[76]a	tad-kzaNAt amara-tvam ca RsDi-_177*[76]a
   tat kṣiped andhamūṣāyāṃ Rsdhy_201*[100]c	tat kzipet anDamUzAyAm RsDi-_201*[100]c
   tat kṣiptvā lipya mṛtsnayā Rsdhy_275*[174]b	tat kziptvA lipya mRtsnayA RsDi-_275*[174]b
   tat kṣiptvā vastramṛtsnayā Rsdhy_290*[189]b	tat kziptvA vastramRtsnayA RsDi-_290*[189]b
   tattathā vai viḍaṃ proktaṃ Rsdhy_147c	tat-taTA vE vixam proktam RsDi-_147c
   tattulyaṃ ca dināvadhi Rsdhy_61d	tad-tulyam ca dina-avaDi RsDi-_61d
   tatpalaikaṃ ca sūtasya Rsdhy_32c	tad-pala-ekam ca sUtasya RsDi-_32c
   tatpiṇḍāntaḥ kṣipedvarjaṃ Rsdhy_281*[180]c	tad-piNxa-antar kzipet-varjam RsDi-_281*[180]c
   tatpiṇḍyāntar vinikṣipya Rsdhy_293*[192]c	tad-piNxyA-antar vinikzipya RsDi-_293*[192]c
   tatpṛṣṭhaṃ vastramṛlliptaṃ Rsdhy_282*[181]c	tad-pRzWam vastramRd-liptam RsDi-_282*[181]c
   tatpṛṣṭhe śrāvakaṃ dattvā Rsdhy_180*[79]c	tad-pRzWe SrAvakam dattvA RsDi-_180*[79]c
   tatrādyaḥ pāṭasāraṇaḥ Rsdhy_26b	tatra-AdyaH pAwa-sAraNaH RsDi-_26b
   tatsamānaṃ yadā bhavet Rsdhy_236*[135]b	tad-samAnam yadA Bavet RsDi-_236*[135]b
   tatsarvaṃ grasate vegāt Rsdhy_175*[74]a	tat-sarvam grasate vegAt RsDi-_175*[74]a
   tatsūtaṃ mardayet khalve Rsdhy_183*[82]a	tat-sUtam mardayet Kalve RsDi-_183*[82]a
   tathārdrāyā rasena ca Rsdhy_43d	taTA-ArdrAyAH rasena ca RsDi-_43d
   tathā vidyādharābhidhaḥ Rsdhy_67b	taTA vidyADara-aBiDaH RsDi-_67b
   tathairaṇḍaphailāni ca Rsdhy_88b	taTA-eraNxa-PElAni ca RsDi-_88b
   tadataṃttāmitaram(?) Rsdhy_218*[117]b	tat-ataMttAm-itaram(?) RsDi-_218*[117]b
   tadadho jvālayedagniṃ Rsdhy_60c	tad-aDas jvAlayet-agnim RsDi-_60c
   tadgatiḥ khe na hanyate Rsdhy_205*[104]d	tad-gatiH Ke na hanyate RsDi-_205*[104]d
   tadgarte bījapūrakam Rsdhy_279*[178]b	tad-garte bIjapUrakam RsDi-_279*[178]b
   tadgarbhe kūpikāṃ kṣiptvā Rsdhy_215*[114]a	tad-garBe kUpikAm kziptvA RsDi-_215*[114]a
   tadgarbhe randhrakaṃ kṛtvā Rsdhy_83c	tad-garBe ranDrakam kRtvA RsDi-_83c
   tadgolaṃ rakṣayedyatnāt Rsdhy_191*[90]c	tad-golam rakzayet-yatnAt RsDi-_191*[90]c
   tadgrāsaṃrasarājo'sau Rsdhy_142a	tad-grAsaMrasarAjaH-asO RsDi-_142a
   taddagdhasūtasammiśraṃ Rsdhy_201*[100]a	tad-dagDa-sUta-sammiSram RsDi-_201*[100]a
   taddrāvair mardayet sūtaṃ Rsdhy_106a	tad-drAvEH mardayet sUtam RsDi-_106a
   taddhānyābhrakam ucyate Rsdhy_133d	tat-DAnyABrakam ucyate RsDi-_133d
   tadrasena ca saptāhaṃ Rsdhy_35c	tad-rasena ca sapta-aham RsDi-_35c
   tadrasenaiva dātavyā Rsdhy_266*[165]c	tad-rasena-eva dAtavyAH RsDi-_266*[165]c
   tadrūpe dve kapālike Rsdhy_15d	tad-rUpe dve kapAlike RsDi-_15d
   tadvajjambīrajair dravair Rsdhy_187*[86]c	tadvat-jambIra-jEH dravEH RsDi-_187*[86]c
   tannāmnaiva drutirbhavet Rsdhy_263*[162]d	tad-nAmnA-eva drutiH-Bavet RsDi-_263*[162]d
   tanmadhye kaṭutumbyotthaṃ Rsdhy_179*[78]a	tad-maDye kawutumbyA-utTam RsDi-_179*[78]a
   tanmadhye bhekacūrṇasya Rsdhy_259*[158]c	tad-maDye Beka-cUrNasya RsDi-_259*[158]c
   tanmadhye hīrakaṃ jātyaṃ Rsdhy_277*[176]c	tad-maDye hIrakam jAtyam RsDi-_277*[176]c
   tanmukhe patitaṃ tu yat Rsdhy_175*[74]d	tad-muKe patitam tu yat RsDi-_175*[74]d
   taponaṣṭe phalanti na Rsdhy_11d	tapaH-nazwe Palanti na RsDi-_11d
   taptakharparavinyastaṃ Rsdhy_121c	taptaKarpara-vinyastam RsDi-_121c
   taptena lohacūrṇena Rsdhy_145c	taptena loha-cUrNena RsDi-_145c
   tallohaṃ dravarūpaṃ syāt Rsdhy_263*[162]c	tat-loham drava-rUpam syAt RsDi-_263*[162]c
   tasmātsarvaprayatnena Rsdhy_178*[77]a	tasmAt-sarva-prayatnena RsDi-_178*[77]a
   tasminnaṣṭaguṇe jīrṇe Rsdhy_136a	tasmin=-azwaguNe jIrNe RsDi-_136a
   tasya khoṭā tu sūkṣmakā Rsdhy_255*[154]d	tasya KowA tu sUkzmakAH RsDi-_255*[154]d
   tasya pūpāddvayasyāntaḥ Rsdhy_274*[173]c	tasya pUpAt-dvayasya-antar RsDi-_274*[173]c
   taṃ śarāvapuṭe kṣiptvā Rsdhy_294*[193]a	tam SarAva-puwe kziptvA RsDi-_294*[193]a
   tādṛk saindhavakhoṭakaḥ Rsdhy_84d	tAdRS sEnDava-KowakaH RsDi-_84d
   tādṛśāḥ prathame dhmāne Rsdhy_302*[201]c	tAdRSAH praTame DmAne RsDi-_302*[201]c
   tāneva dhmāpayet kṣiptvā Rsdhy_301*[200]c	tAn-eva DmApayet kziptvA RsDi-_301*[200]c
   tābhyāṃ vidhyāpayed dhmātaṃ Rsdhy_300*[199]c	tAByAm viDyApayet DmAtam RsDi-_300*[199]c
   tāmraśeṣaṃ bhavedyāvad Rsdhy_240*[139]c	tAmra-Sezam Bavet-yAvat RsDi-_240*[139]c
   tāmraṃ grāhyaṃ mṛtaṃ budhaiḥ Rsdhy_276*[175]d	tAmram grAhyam mRtam buDEH RsDi-_276*[175]d
   tāmraṃ ca śuddhagandhakam Rsdhy_271*[170]d	tAmram ca SudDa-ganDakam RsDi-_271*[170]d
   tāmraṃ tatraiva tiṣṭhati Rsdhy_68d	tAmram tatra-eva tizWati RsDi-_68d
   tāmraṃ tiṣṭhati bundhake Rsdhy_54d	tAmram tizWati bunDake RsDi-_54d
   tāmraṃ tyaktvotthitaṃ sūtaṃ Rsdhy_71a	tAmram tyaktvA-utTitam sUtam RsDi-_71a
   tāmrācca dviguṇīkṛtam Rsdhy_273*[172]d	tAmrAt-ca dvi-guNIkRtam RsDi-_273*[172]d
   tāmrāt sūtaṃ rasāttāmraṃ Rsdhy_65a	tAmrAt sUtam rasAt-tAmram RsDi-_65a
   tāmre ṣaṭsvapi loheṣu Rsdhy_262*[161]a	tAmre zawsu-api lohezu RsDi-_262*[161]a
   tāramadhyagataṃ kṛtvā Rsdhy_210*[109]a	tAra-maDya-gatam kRtvA RsDi-_210*[109]a
   tāre tāramukhaṃ kṛtam Rsdhy_126d	tAre tAra-muKam kRtam RsDi-_126d
   tāvat saṃmardayed yāvat Rsdhy_52a	tAvat saMmardayet yAvat RsDi-_52a
   tāṃ kṣiptvā kācakumpake Rsdhy_251*[150]d	tAm kziptvA kAca-kumpake RsDi-_251*[150]d
   tāṃ gṛhītvātha tadgarbhe Rsdhy_284*[183]a	tAm gRhItvA-aTa tad-garBe RsDi-_284*[183]a
   tāṃ tāmrasūtayoḥ pīṭhīṃ Rsdhy_66a	tAm tAmra-sUtayoH pIWIm RsDi-_66a
   tithivarṇaṃ bhavaty evaṃ Rsdhy_162*[61]c	tiTi-varNam Bavati evam RsDi-_162*[61]c
   tithivarṇe ca hemaje Rsdhy_267*[166]b	tiTi-varNe ca hema-je RsDi-_267*[166]b
   tithisaṃkhyāpalāni ca Rsdhy_234*[133]b	tiTi-saMKyA-palAni ca RsDi-_234*[133]b
   tithyaṅkaḥ pratisāraṇaḥ Rsdhy_29d	tiTi-aFkaH pratisAraNaH RsDi-_29d
   tintiṇīkaṃ śilājatu Rsdhy_189*[88]b	tintiNIkam SilAjatu RsDi-_189*[88]b
   tīkṣṇalohasya cūrṇena Rsdhy_237*[136]a	tIkzNalohasya cUrNena RsDi-_237*[136]a
   'tīvaniścalatāṃ gataḥ Rsdhy_202*[101]d	atIva-niScala-tAm gataH RsDi-_202*[101]d
   tulyamekatra miśritam Rsdhy_300*[199]b	tulyam-ekatra miSritam RsDi-_300*[199]b
   tṛtīyaḥ śodhano mataḥ Rsdhy_26d	tRtIyaH SoDanaH mataH RsDi-_26d
   tṛtīye tailako bhavet Rsdhy_128d	tRtIye tElakaH Bavet RsDi-_128d
   tṛtīyo jalajātaśca Rsdhy_14c	tRtIyaH jala-jAtaH-ca RsDi-_14c
   te kṣepyāḥ sūkṣmakhoṭakāḥ Rsdhy_256*[155]b	te kzepyAH sUkzma-KowakAH RsDi-_256*[155]b
   tejasvī jāyate 'vaśyaṃ Rsdhy_46c	tejasvI jAyate avaSyam RsDi-_46c
   te jātyā hīrakāḥ smṛtāḥ Rsdhy_298*[197]b	te jAtyAH hIrakAH smRtAH RsDi-_298*[197]b
   tena lepaḥ pradātavyo Rsdhy_226*[125]c	tena lepaH pradAtavyaH RsDi-_226*[125]c
   tena svaśiṣyaśikṣārthaṃ Rsdhy_8c	tena sva-Sizya-SikzA-arTam RsDi-_8c
   tenaiva madhyagaṃ kṛtvā Rsdhy_115a	tena-eva maDya-gam kRtvA RsDi-_115a
   tailatulyastataḥ punaḥ Rsdhy_179*[78]d	tEla-tulyaH-tatas punar RsDi-_179*[78]d
   tailaṃ dattvā rasaṃ kṣipet Rsdhy_179*[78]b	tElam dattvA rasam kzipet RsDi-_179*[78]b
   taiśca sampattido hīrān Rsdhy_289*[188]c	tEH-ca sampatti-daH hIrAn RsDi-_289*[188]c
   trayamekatra mardayet Rsdhy_62b	trayam-ekatra mardayet RsDi-_62b
   trayodaśe 'hṇi samprāpte Rsdhy_115c	trayodaSe ahNi samprApte RsDi-_115c
   trāyantī candanāmṛtā Rsdhy_94b	trAyantI candana-amRtA RsDi-_94b
   tridhānnapathavakrāṇāṃ Rsdhy_171*[70]a	triDA-anna-paTa-vakrANAm RsDi-_171*[70]a
   triphalākvāthasampiṣṭād Rsdhy_38c	triPalA-kvATa-sampizwAt RsDi-_38c
   triphalā citramūlaṃ ca Rsdhy_114a	triPalA citra-mUlam ca RsDi-_114a
   triphalārājikāvahni- Rsdhy_58c	triPalA-rAjikA-vahni RsDi-_58c
   triṃśatpalāni mūṣāyāḥ Rsdhy_234*[133]c	triMSat-palAni mUzAyAH RsDi-_234*[133]c
   tv imāḥ syuḥ pañca mṛttikāḥ Rsdhy_163*[62]d	tu imAH syuH paQca mRttikAH RsDi-_163*[62]d
   thūthāpalāni catvāri Rsdhy_239*[138]c	TUTA-palAni catvAri RsDi-_239*[138]c
   thūthābhāgacatuṣṭayam Rsdhy_241*[140]d	TUTA-BAga-catuzwayam RsDi-_241*[140]d
   thūthāviḍena sampiṣṇan Rsdhy_148a	TUTA-vixena sampizNan RsDi-_148a
   thūthāviḍena sampiṣya Rsdhy_152a	TUTA-vixena sampizye RsDi-_152a
   thūthāviḍena sampiṣya Rsdhy_155*[54]a	TUTA-vixena sampizye RsDi-_155*[54]a
   thūthāviḍena sampiṣya Rsdhy_169*[68]a	TUTA-vixena sampizye RsDi-_169*[68]a
   thūthāviḍena sampiṣya Rsdhy_288*[187]c	TUTA-vixena sampizye RsDi-_288*[187]c
   thūthāviḍena saṃpiṣyan Rsdhy_172*[71]c	TUTA-vixena saMpizyan RsDi-_172*[71]c
   dattvā cādho'tha pāvakam Rsdhy_182*[81]b	dattvA ca-aDas-aTa pAvakam RsDi-_182*[81]b
   dattvā copari naimbukam Rsdhy_84b	dattvA ca-upari nEmbukam RsDi-_84b
   dattvā copari vālukām Rsdhy_90b	dattvA ca-upari vAlukAm RsDi-_90b
   dattvā taṃ hīrakaṃ kṣipet Rsdhy_284*[183]d	dattvA tam hIrakam kzipet RsDi-_284*[183]d
   dattvā dattvā tu jārayet Rsdhy_181*[80]d	dattvA dattvA tu jArayet RsDi-_181*[80]d
   dadyātsalavaṇaṃ dagdhā- Rsdhy_252*[151]a	dadyAt-sa-lavaNam dagDA RsDi-_252*[151]a
   dadyādyaḥ pāradeśvaram Rsdhy_24b	dadyAt-yaH pAradeSvaram RsDi-_24b
   darpadoṣo vinaśyati Rsdhy_40b	darpa-dozaH vinaSyati RsDi-_40b
   darpādaṅgaṃ sphuṭatyevon(?) Rsdhy_22c	darpAt-aFgam sPuwati-eva-un(?) RsDi-_22c
   darśayetkarma sadguruḥ Rsdhy_5b	darSayet-karma sat-guruH RsDi-_5b
   daśamo mukhakārī syāt Rsdhy_28c	daSamaH muKa-kArI syAt RsDi-_28c
   daśavarṇaṃ bhaveddhema Rsdhy_137c	daSa-varNam Bavet-hemaH RsDi-_137c
   dahyate naiva vahninā Rsdhy_206*[105]b	dahyate na-eva vahninA RsDi-_206*[105]b
   dātavyaṃ gomayaṃ tataḥ Rsdhy_67d	dAtavyam gomayam tatas RsDi-_67d
   dātavyāni puṭāni ca Rsdhy_291*[190]d	dAtavyAni puwAni ca RsDi-_291*[190]d
   dātavyā phullatūrikā Rsdhy_61f	dAtavyA Pulla-tUrikA RsDi-_61f
   dādhīcheda 2 kaṣā 3 vartta 4 Rsdhy_167*[66]c	dADICeda 2 kazAH 3 varttaH 4 RsDi-_167*[66]c
   dinaṃ caṇḍāgninā pacet Rsdhy_63b	dinam caNxa-agninA pacet RsDi-_63b
