   akārādikṣakārāntam VT_252c	akAra-Adi-kzakAra-antam VT_252c
   kevalaṃ smaraṇād eva VT_120a	kevalam smaraNAt eva VT_120a
   kailāsaśikhare ramye VT_1a	kElAsa-SiKare ramye VT_1a
   koṣṭhakān tu samān śubhān VT_53d	kozWakAn tu samAn SuBAn VT_53d
   koṣṭhaikādaśabījena VT_59c	kozWa-ekAdaSa-bIjena VT_59c
   kramaśaś ca nivartate VT_261b	kramaSas ca nivartate VT_261b
   kramaśo yojayen mantri VT_347a	kramaSas yojayet mantri VT_347a
   kramād vyastasamastakam VT_59b	kramAt vyasta-samastakam VT_59b
   kriyākālaṃ ca vai śūnyaṃ VT_236a	kriyA-kAlam ca vE SUnyam VT_236a
   krīḍate umayā saha VT_b	krIxate umayA saha VT_b
   kruddhas tu jāpayen mantrī VT_390a	krudDaH tu jApayet mantrI VT_390a
   kruddhaḥ saṃraktalocanaḥ VT_158b	krudDaH saMrakta-locanaH VT_158b
   krodhena mahatā dīptaḥ VT_216a	kroDena mahatA dIptaH VT_216a
   kṣālayet sakalaṃ kramāt VT_22d	kzAlayet sakalam kramAt VT_22d
   kṣipram arthas tathā karma VT_383a	kzipram arTaH taTA karma VT_383a
   kṣipram arthaṃ prasādhayet VT_385d	kzipram arTam prasADayet VT_385d
   kṣipram āvāhane siddhir VT_392a	kzipram AvAhane sidDiH VT_392a
   kṣipraṃ prāyeṣu vastuṣu VT_295b	kzipram prAyezu vastuzu VT_295b
   kṣīravṛkṣaṃ bhage likhya VT_277c	kzIravRkzam Bage liKyaH VT_277c
   kṣīrāktena tu deveśi VT_184c	kzIra-aktena tu deveSi VT_184c
   kṣīrodaphalasaṃkāśāṃ VT_100a	kzIroda-Pala-saMkASAm VT_100a
   kṣemanābhigarīyasī VT_298d	kzemanABi-garIyasI VT_298d
   khadirai raktasamidhair VT_267c	KadirEH rakta-samiDEH VT_267c
   khanyaṃ vā rājyam eva ca VT_192d	Kanyam vA rAjyam eva ca VT_192d
   gatis tasya tu kīdṛśī VT_139b	gatiH tasya tu kIdRSI VT_139b
   gatiṃ devaṃ tu vijñāya VT_138e	gatim devam tu vijQAya VT_138e
   gadākheṭakadhāriṇīm VT_100d	gadA-Kewaka-DAriNIm VT_100d
   gadākheṭakadhāriṇīm VT_107d	gadA-Kewaka-DAriNIm VT_107d
   gandhatoyena deśikaḥ VT_40b	ganDa-toyena deSikaH VT_40b
   gandhapuṣpādibhiḥ kramāt VT_111d	ganDa-puzpa-AdiBiH kramAt VT_111d
   gandhapuṣpādi yojayet VT_117b	ganDa-puzpa-Adi yojayet VT_117b
   gandhamaṇḍalake vāpi VT_114c	ganDa-maNxalake vA-api VT_114c
   gavāṃ rocanayā caiva VT_181a	gavAm rocanayA ca-eva VT_181a
   gavāṃ rocanayā punaḥ VT_153b	gavAm rocanayA punar VT_153b
   gavāṃ rocanayā likhya VT_293a	gavAm rocanayA liKyaH VT_293a
   gāyatrīṃ vā japantīṃ ca VT_108c	gAyatrIm vA japantIm ca VT_108c
   gāyantīṃ vā tathaiva ca VT_109b	gAyantIm vA taTA-eva ca VT_109b
   guḍikāñjanapādukaṃ VT_192c	guxikA-aQjana-pAdukam VT_192c
   gurudevāgnipūjakam VT_318b	guru-deva-agni-pUjakam VT_318b
   gurūṇāṃ viheṭhanaparās VT_320c	gurUNAm viheWana-parAH VT_320c
   guhyam etat samuddiṣṭaṃ VT_127c	guhyam etat samuddizwam VT_127c
   guhyaśaktipradīpanam VT_370d	guhya-Sakti-pradIpanam VT_370d
   gṛṇan mantraṃ tu sarvadā VT_276b	gRNan mantram tu sarvadA VT_276b
   gṛhayāgam idaṃ devi VT_13a	gRha-yAgam idam devi VT_13a
   gṛhītvā tu mahāmāṃsaṃ VT_162a	gRhItvA tu mahAmAMsam VT_162a
   gopitavyaṃ prayatnena VT_312a	gopitavyam prayatnena VT_312a
   gopitaṃ tu tvayā deva VT_325a	gopitam tu tvayA deva VT_325a
   gopitaṃ vai guhasya ca VT_8d	gopitam vE guhasya ca VT_8d
   gośakṛdbhasmaliptas tu VT_52a	go-SakRt-Basma-liptaH tu VT_52a
   granthaśāstram akāraṇam VT_137b	granTa-SAstram akAraNam VT_137b
   grahaṇe vāpi kartavyā VT_15c	grahaNe vA-api kartavyA VT_15c
   grahanakṣatramaṇḍalam VT_248d	graha-nakzatra-maNxalam VT_248d
   ghaṇṭākhaṭvāṅgadharīṃ devīm VT_105a	GaNwA-KawvAFga-DarIm devIm VT_105a
   ghorapāpaṃ tu kalmaṣam VT_76d	Gora-pApam tu kalmazam VT_76d
   cakravat parivartate VT_248b	cakra-vat parivartate VT_248b
   cakraśuddhyartham eva ca VT_77d	cakra-SudDi-arTam eva ca VT_77d
   caṇḍālāgniṃ samāhṛtya VT_167a	caNxAla-agnim samAhRtya VT_167a
   caturasram ataḥ kṛtvā VT_53a	catur-asram atas kRtvA VT_53a
   caturthaṃ jānutaḥ kaṭim VT_90d	caturTam jAnutaH kawim VT_90d
   caturthe pañcaviṃśakam VT_57b	caturTe paQcaviMSakam VT_57b
   caturthyām atha pañcamyāṃ VT_15a	caturTyAm aTa paQcamyAm VT_15a
   caturthyāṃ yajanaṃ śreṣṭhaṃ VT_16a	caturTyAm yajanam SrezWam VT_16a
   caturthyāḥ śṛṇu sāmpratam VT_126d	caturTyAH SRNu sAmpratam VT_126d
   caturmūrtiṃ caturvarṇaṃ VT_29c	catur-mUrtim catur-varNam VT_29c
   caturvaktramaṣṭabhujaṃ VT_97a	catur-vaktram-azwa-Bujam VT_97a
   caturvarṇam īśvaraṃ dhyāyen VT_30a	catur-varNam ISvaram DyAyet VT_30a
   caturviṃśatikoṣṭhasthaṃ VT_64a	caturviMSati-kozWa-sTam VT_64a
   caturviṃśatikoṣthe tu VT_337c	caturviMSati-kozTe tu VT_337c
   caturviṃśatisaṃkrāntyā VT_239c	caturviMSati-saMkrAntyA VT_239c
   caturhastaṃ caturdvāram VT_26c	catur-hastam catur-dvAram VT_26c
   catuṣkāyaṃ trilocanam VT_97b	catuzkAyam trilocanam VT_97b
   catustriṃśatikoṣasthaṃ VT_135a	catustriMSati-koza-sTam VT_135a
   catustriṃśaṃ tato 'dhastād VT_124c	catustriMSam tatas aDastAt VT_124c
   catuḥpattraṃ tu tatrābjaṃ VT_95a	catur-pattram tu tatra-abjam VT_95a
   catuḥpattraṃ sakarṇikam VT_27d	catuHpattram sa-karNikam VT_27d
   catuḥṣaṣṭiḥ samākhyātāḥ VT_9a	catuHzazwiH samAKyAtAH VT_9a
   candrasūryasamanvitam VT_373b	candra-sUrya-samanvitam VT_373b
   candreṇāpyāyanaṃ smṛtam VT_372b	candreNa-ApyAyanam smRtam VT_372b
   carukaṃ sādhane paścāt VT_20a	carukam sADane paScAt VT_20a
   cāpodyatakarāṃ ghorāṃ VT_103a	cApa-udyata-karAm GorAm VT_103a
   citikāṣṭhaṃ samindhayet VT_167b	citi-kAzWam saminDayet VT_167b
   cityaṅgārais tadudbhavaiḥ VT_178d	citi-aFgArEH tad-udBavEH VT_178d
   cintayed aparājitām VT_108b	cintayet aparAjitAm VT_108b
   cintāratnam idaṃ guhyaṃ VT_314a	cintA-ratnam idam guhyam VT_314a
   cintāratnam ivāparam VT_10b	cintA-ratnam iva-aparam VT_10b
   cintāratnam ivāparam VT_358d	cintA-ratnam iva-aparam VT_358d
   cūtapallavasaṃvītaiḥ VT_36a	cUta-pallava-saMvItEH VT_36a
   coradaṃṣṭrībhayāvaham VT_92b	cora-daMzwrI-Baya-Avaham VT_92b
   chatrūṇāṃ baladarpitām VT_165b	CatrUNAm bala-darpitAm VT_165b
   chāgasya piśitena vā VT_189d	CAgasya piSitena vA VT_189d
   jakārajatharesthitā VT_299d	jakAra-jaTaresTitAH VT_299d
   japakarma sadākuryād VT_226a	japa-karma sadA-akuryAt VT_226a
   japan tu bodhayen mantrī VT_389a	japan tu boDayet mantrI VT_389a
   japamānā tu kīrtanāt VT_294d	japamAnA tu kIrtanAt VT_294d
   japasya vidhim uttamam VT_224d	japasya viDim uttamam VT_224d
   japaṃ kṛtvā tu medhāvī VT_380a	japam kRtvA tu meDAvI VT_380a
   japet piṇḍākṣaraṃ mantrī VT_391a	japet piNxa-akzaram mantrI VT_391a
   japet hūṃkārasahitaṃ VT_368c	japet hUMkAra-sahitam VT_368c
   japed aṣṭaśataṃ tataḥ VT_205b	japet azwaSatam tatas VT_205b
   japed aṣṭasahasraṃ tu VT_213c	japet azwa-sahasram tu VT_213c
   japed yas tu vidhānataḥ VT_305d	japet yaH tu viDAnataH VT_305d
   japena yajane tataḥ VT_280d	japena yajane tatas VT_280d
   japen mantrī samāhitaḥ VT_373d	japet mantrI samAhitaH VT_373d
   japel lakṣatrayaṃ budhaḥ VT_340b	japet lakza-trayam buDaH VT_340b
   jayantīṃ dhyāyati kṣipraṃ VT_106a	jayantIm DyAyati kzipram VT_106a
   jayāt praveśayen māyāṃ VT_38a	jayAt praveSayet mAyAm VT_38a
   jayādyaṃ vinyasen mantrī VT_96a	jaya-Adyam vinyaset mantrI VT_96a
   jayā saptadaśaṃ bījaṃ VT_125a	jayA saptadaSam bIjam VT_125a
   jayāṃ prāgdale vinyaset VT_30d	jayAm prAk-dale vinyaset VT_30d
   javāpuṣpasamaprakhyau VT_174c	javApuzpa-sama-praKyO VT_174c
   jātavedasi saṃsthitam VT_335b	jAtavedasi saMsTitam VT_335b
   jātavedasi saṃsthitam VT_339d	jAtavedasi saMsTitam VT_339d
   jātīhiṅgulakapakṣau VT_175a	jAtI-hiFgulaka-pakzO VT_175a
   jīvamārgānusāriṇī VT_147d	jIva-mArga-anusAriNI VT_147d
   juhuyāt tāvatandritaḥ VT_191b	juhuyAt tO=-atandritaH VT_191b
   juhuyāt saptarātraṃ tu VT_198c	juhuyAt sapta-rAtram tu VT_198c
   juhoti yas tu satataṃ VT_185a	juhoti yaH tu satatam VT_185a
   jñātvā kālaṃ ca tattvaṃ tu VT_263c	jQAtvA kAlam ca tattvam tu VT_263c
   jñātvā siddhim avāpnuyāt VT_357d	jQAtvA sidDim avApnuyAt VT_357d
   jñātvaivaṃ hi vidhānataḥ VT_308b	jQAtvA-evam hi viDAnataH VT_308b
   jñānāṅkuśagatā pūjā VT_295a	jQAna-aFkuSa-gatA pUjA VT_295a
   jyotirūpā ca sā jñeyā VT_252a	jyoti-rUpA ca sA jQeyAH VT_252a
   jyotīrūpaṃ parāparam VT_257b	jyotIrUpam para-aparam VT_257b
   jvarakuṣṭhakṣayādibhiḥ VT_93b	jvara-kuzWa-kzaya-AdiBiH VT_93b
   jvalitānalavarcasā VT_210b	jvalita-anala-varcasA VT_210b
   jvālāmālākulaṃ mahat VT_71d	jvAlA-mAlA-Akulam mahat VT_71d
   jvālāmālābhir āvṛtam VT_213d	jvAlA-mAlABiH AvRtam VT_213d
   tagaraṃ caiva sūkṣmelam VT_279c	tagaram ca-eva sUkzmelam VT_279c
   tataś ca sarpiṣo homaṃ VT_43a	tatas ca sarpizaH homam VT_43a
   tataś cāmṛtadhārābhir VT_73a	tatas ca-amRta-DArABiH VT_73a
   tatas tattvatrayaṃ nyasya VT_41a	tatas tattva-trayam nyasya VT_41a
   tatas tu karmaṇānena VT_214a	tatas tu karmaNA-anena VT_214a
   tatas tvadhomukhaṃ sthāpya VT_211c	tatas tu-aDomuKam sTApya VT_211c
   tataḥ karma samārabhet VT_79b	tatas karma samAraBet VT_79b
   tataḥ karma samārabhet VT_138f	tatas karma samAraBet VT_138f
   tataḥ karma samārabhet VT_263d	tatas karma samAraBet VT_263d
   tataḥ karma samārabhet VT_308d	tatas karma samAraBet VT_308d
   tataḥ karmāṇi kārayet VT_148d	tatas karmANi kArayet VT_148d
   tataḥ karmāṇi kārayet VT_217d	tatas karmANi kArayet VT_217d
   tataḥ pūjā pravartate VT_111b	tatas pUjA pravartate VT_111b
   tataḥ prabhāte vimale VT_24a	tatas praBAte vimale VT_24a
   tataḥ sabhrātṛkā devyaḥ VT_306a	tatas sa-BrAtRkAH devyaH VT_306a
   tataḥ sitāṃ svabījena VT_30c	tatas sitAm sva-bIjena VT_30c
   tataḥ siddhim avāpnoti VT_223c	tatas sidDim avApnoti VT_223c
   tataḥ siddhir na saṃśayaḥ VT_304d	tatas sidDiH na saMSayaH VT_304d
   tataḥ svakālaṃ kurvīta VT_201a	tatas sva-kAlam kurvIta VT_201a
   tataḥ svavidyānaivedyaṃ VT_49a	tatas sva-vidyA-nEvedyam VT_49a
   tataḥ svātmīkam ānīya VT_203c	tatas sva-AtmIkam AnIya VT_203c
   tato guhyaṃ pralepayet VT_282d	tatas guhyam pralepayet VT_282d
   tato 'gnikāryaṃ kurvīta VT_39a	tatas agni-kAryam kurvIta VT_39a
   tato lakṣatrayaṃ japet VT_223b	tatas lakza-trayam japet VT_223b
   tato vā mucyate sadā VT_183b	tatas vA mucyate sadA VT_183b
   tato vidyāvrataślāghī VT_180a	tatas vidyA-vrata-SlAGI VT_180a
   tatkṣaṇād ānayec chīghraṃ VT_154a	tad-kzaNAt Anayet SIGram VT_154a
   tattvajaptaṃ yathoditam VT_21d	tattva-japtam yaTA-uditam VT_21d
   tattvatritayam etad dhi VT_61a	tattva-tritayam etat Di VT_61a
   tattvarāja iti khyāta VT_338a	tattva-rAjaH iti KyAtaH VT_338a
   tattvarājaṃ tu kīrtitam VT_337b	tattva-rAjam tu kIrtitam VT_337b
   tattvarājena śobhane VT_341d	tattva-rAjena SoBane VT_341d
   tattvahīnā na sidhyanti VT_235a	tattva-hInAH na siDyanti VT_235a
   tattvātsiddhiḥ pravartate VT_234d	tattvAt-sidDiH pravartate VT_234d
   tattvānāṃ pañcaviṃśatiḥ VT_246d	tattvAnAm paQcaviMSatiH VT_246d
   tattvo 'yaṃ kavacaḥ smṛtaḥ VT_343b	tattvaH ayam kavacaH smRtaH VT_343b
   tatpārśve bahir aṣṭasu VT_55b	tad-pArSve bahis azwasu VT_55b
   tatpuruṣam ādhārādheyaṃ VT_246a	tatpuruzam ADAra-ADeyam VT_246a
   tatprabuddhāsane sthitam VT_205d	tad-prabudDa-Asane sTitam VT_205d
   tatprayogam idaṃ śṛṇu VT_207d	tad-prayogam idam SRNu VT_207d
   tatra devaḥ suraśreṣṭhaḥ VT_a	tatra devaH suraSrezWaH VT_a
   tatra padmaṃ vyavasthitam VT_141b	tatra padmam vyavasTitam VT_141b
   tatra madhye gataṃ paśyed VT_355c	tatra maDye gatam paSyet VT_355c
   tatra madhye likhet padmaṃ VT_27c	tatra maDye liKet padmam VT_27c
   tatra madhye vidhānataḥ VT_112b	tatra maDye viDAnataH VT_112b
   tatra yo mūrdhni tenaiva VT_210a	tatra yaH mUrDni tena-eva VT_210a
   tatra sabhrātṛkā devyaḥ VT_221c	tatra sa-BrAtRkAH devyaH VT_221c
   tatra sādhyaṃ vyavasthitam VT_141d	tatra sADyam vyavasTitam VT_141d
   tatraiva pralayaṃ bhavet VT_253b	tatra-eva pralayam Bavet VT_253b
   tathā kūṭākṣarāṇi tu VT_83b	taTA kUwa-akzarANi tu VT_83b
   tathā tantravidūṣakāḥ VT_320b	taTA tantra-vidUzakAH VT_320b
   tathā tvaṃ vaktum arhasi VT_120b	taTA tvam vaktum arhasi VT_120b
   tathā nayottaraṃ mahat VT_4b	taTA naya-uttaram mahat VT_4b
   tathā sindūram eva ca VT_266d	taTA sindUram eva ca VT_266d
   tathā haṃsaṃ pravakṣyāmi VT_240c	taTA haMsam pravakzyAmi VT_240c
   tad atra japamātreṇa VT_150c	tat atra japa-mAtreNa VT_150c
   tad anena prayogeṇa VT_349a	tat anena prayogeNa VT_349a
   tad ahaṃ sampravakṣyāmi VT_10a	tat aham sampravakzyAmi VT_10a
   tad ahaṃ sampravakṣyāmi VT_260a	tat aham sampravakzyAmi VT_260a
   tadā karmāṇi kārayet VT_149d	tadA karmANi kArayet VT_149d
   tadā tu sarvakāryāṇāṃ VT_219a	tadA tu sarva-kAryANAm VT_219a
   tadā prabhṛtim āpnuyāt VT_224b	tadA praBRtim ApnuyAt VT_224b
   tad eva paramākṣaram VT_133d	tat eva parama-akzaram VT_133d
   tad eva vijayākhyātā VT_125c	tat eva vijaya-AKyAtAH VT_125c
   tad gṛhāṇa subhāṣitam VT_330d	tat gRhANa su-BAzitam VT_330d
   tad bhasma viṣaraktāktaṃ VT_172a	tat Basma viza-rakta-aktam VT_172a
   tadvac charīraṃ devasya VT_249c	tadvat SarIram devasya VT_249c
   tantudevaṃ vijānīyān VT_336c	tantudevam vijAnIyAn VT_336c
   tantrasāravilopakāḥ VT_320d	tantra-sAra-vilopakAH VT_320d
   tantrasāraṃ sudurlabham VT_12b	tantra-sAram su-durlaBam VT_12b
   tantrasāraṃ sudurlabham VT_312b	tantra-sAram su-durlaBam VT_312b
   tantraṃ te kathitaṃ mayā VT_122b	tantram te kaTitam mayA VT_122b
   tantraṃ naivādhigacchanti VT_328c	tantram na-eva-aDigacCanti VT_328c
   tantraṃ vīṇāśikhaṃ nāma VT_10c	tantram vINASiKam nAma VT_10c
   tantraṃ vīṇāśikhaṃ nāma VT_323c	tantram vINASiKam nAma VT_323c
   tantre siddhim avāpnuyāt VT_250b	tantre sidDim avApnuyAt VT_250b
   tanmantraṃ hṛdi saṃsthitam VT_377b	tad-mantram hRdi saMsTitam VT_377b
   tapasā durdharāllabdhaṃ VT_325c	tapasA durDarAt-labDam VT_325c
   tarjanī madhyamā caiva VT_88a	tarjanI maDyamA ca-eva VT_88a
   tarjanīṃ vāmahaste tu VT_86c	tarjanIm vAma-haste tu VT_86c
   tarjanyaṭguṣṭhayor madhye VT_89c	tarjan-I-awguzWayoH maDye VT_89c
   tava devi prakīrtitam VT_85d	tava devi prakIrtitam VT_85d
   tava snehād vicakṣaṇi VT_362b	tava snehAt vicakzaNi VT_362b
   tasmāt kriyāṃ ca kālaṃ ca VT_236c	tasmAt kriyAm ca kAlam ca VT_236c
   tasmāt sarvaprayatnena VT_235c	tasmAt sarva-prayatnena VT_235c
   tasmāt sarvaprayatnena VT_266a	tasmAt sarva-prayatnena VT_266a
   tasya tatsthaṃ mahānaye VT_322b	tasya tad-sTam mahAnaye VT_322b
   tasya dadyān mahātmanā VT_48d	tasya dadyAt mahAtmanA VT_48d
   tasya deyam idaṃ tantraṃ VT_318c	tasya deyam idam tantram VT_318c
   tasya nāsāṃ pracālayet VT_290d	tasya nAsAm pracAlayet VT_290d
   tasya nāsāṃ pravedhayet VT_287b	tasya nAsAm praveDayet VT_287b
   tasyā gṛhyaṃ tu karpaṭam VT_178b	tasyAH gRhyam tu karpawam VT_178b
   tasyā gṛhyāṅgulīyakam VT_194b	tasyAH gRhya-aFgulIyakam VT_194b
   tasyāṅgāni samālabhet VT_22b	tasya-aFgAni samAlaBet VT_22b
   tasyānte tu punaḥ śivaḥ VT_252b	tasya-ante tu punar SivaH VT_252b
   tasyā madhye sthito devaḥ VT_142c	tasyAH maDye sTitaH devaH VT_142c
   tasyāḥ pāṃśulikāṃ gṛhya VT_151c	tasyAH pAMSulikAm gRhya VT_151c
   tasyopari niyojayet VT_132b	tasya-upari niyojayet VT_132b
   tasyordhve tu śikhā sūkṣmā VT_354a	tasya-UrDve tu SiKA sUkzmAH VT_354a
   taṃ taṃ prāpnoti sādhakaḥ VT_291b	tam tam prApnoti sADakaH VT_291b
   tāny ātmavatakarmāṇi VT_261c	tAni Atmavata-karmANi VT_261c
   tāvan mantrī japen mantraṃ VT_379a	tAvat mantrI japet mantram VT_379a
   tilaṃ juhyād vicakṣaṇi VT_393d	tilam juhyAt vicakzaNi VT_393d
   tumburuṃ karṇikopari VT_96b	tumburum karNikA-upari VT_96b
   tumburuṃ mūrdhni vinyaset VT_209b	tumburum mUrDni vinyaset VT_209b
   tūpaniṣadgāyane ratām VT_109d	tu-upanizad-gAyane ratAm VT_109d
   tṛtīyapaṭktikoṣṭheṣu VT_57a	tRtIya-pawkti-kozWezu VT_57a
   tṛtīyam aṣṭakoṣṭhasthaṃ VT_63c	tRtIyam azwakozWa-sTam VT_63c
   tṛtīyā caiva māhendrī VT_381c	tRtIyA ca-eva mAhendrI VT_381c
   tṛtvedaya ? samanvitaḥ VT_262d	tRtvedayaH ? samanvitaH VT_262d
   tejasvī balasampanno VT_186c	tejasvI bala-sampannaH VT_186c
   tena jñātaḥ sadāśivaḥ VT_233d	tena jQAtaH sadASivaH VT_233d
   tena vīṇāśikhā smṛtā VT_11d	tena vINA-SiKA smRtAH VT_11d
   tenāloḍya tu homayet VT_166d	tena-Aloxya tu homayet VT_166d
   tenaiva kaṇtakair viddhvā VT_275a	tena-eva kaNtakEH vidDvA VT_275a
   tenaiva tu vidhānataḥ VT_214b	tena-eva tu viDAnataH VT_214b
   tenaiva varadā devyo VT_12c	tena-eva vara-dAH devyaH VT_12c
   teṣām api na cākhyātaṃ VT_9c	tezAm api na ca-AKyAtam VT_9c
   teṣāṃ madhye samutthāya VT_3c	tezAm maDye samutTAya VT_3c
   tair eva pañcabhis tattvaṃ VT_46a	tEH eva paQcaBiH tattvam VT_46a
   tailābhyaktaṃ citāhutam VT_171d	tEla-aByaktam citA-hutam VT_171d
   tyaktabandhusuhṛjjanān VT_167d	tyakta-banDu-suhRd-janAn VT_167d
   tyaktena tu kusumbhena VT_159a	tyaktena tu kusumBena VT_159a
   tyaktena naramāṃsena VT_189c	tyaktena nara-mAMsena VT_189c
   trayātītaṃ padaṃ hi yat VT_306d	traya-atItam padam hi yat VT_306d
   trikubjikutilākārā VT_250c	tri-kubji-kutila-AkArAH VT_250c
   triśūlena vinirbhinnaṃ VT_157c	triSUlena vinirBinnam VT_157c
   triṣu lokeṣu vidyate VT_311d	trizu lokezu vidyate VT_311d
   trisandhyaṃ dhārayed rātrau VT_159c	trisanDyam DArayet rAtrO VT_159c
   trisandhyām ekacittas tu VT_269c	tri-sanDyAm ekacittaH tu VT_269c
   trisandhyām eva saptāhāt VT_274a	tri-sanDyAm eva sapta-ahAt VT_274a
   trisaṃsthe tu samāsena VT_259a	tri-saMsTe tu samAsena VT_259a
   triṃśakoṣṭheṣu saṃyutam VT_60d	triMSa-kozWezu saMyutam VT_60d
   triṃśamas tu śikhā bhavet VT_342d	triMSamaH tu SiKA Bavet VT_342d
   trailokyaṃ vaśam ānayet VT_164d	trElokyam vaSam Anayet VT_164d
   trailokyaṃ vaśam ānayet VT_274b	trElokyam vaSam Anayet VT_274b
   tryūṣaṇena tu lepayet VT_270b	tryUzaNena tu lepayet VT_270b
   tvatprasādāt sudurlabham VT_4d	tvad-prasAdAt su-durlaBam VT_4d
   tvatpriyārthaṃ varānane VT_339b	tvad-priya-arTam varAnane VT_339b
   tvayāpi caivam evaṃ hi VT_313c	tvayA-api ca-evam evam hi VT_313c
   dakṣiṇāṅge tu kārayet VT_154d	dakziNa-aFge tu kArayet VT_154d
   dakṣiṇā tu kaniṣṭhikā VT_89b	dakziNA tu kanizWikA VT_89b
   dakṣiṇe piṅgalā smṛtā VT_146b	dakziNe piFgalA smRtA VT_146b
   dakṣiṇe 'py eva vai haste VT_170a	dakziNe api eva vE haste VT_170a
   dagdhvā tu prākṛtaṃdehaṃ VT_72c	dagDvA tu prAkRtaMdeham VT_72c
   daṇḍaṃ cātmani guhyataḥ VT_176b	daNxam ca-Atmani guhyataH VT_176b
   daṇḍena tāḍitaṃ śiraḥ VT_157d	daNxena tAxitam SiraH VT_157d
   dattvāgacchati nānyathā VT_193d	dattvA-AgacCati na-anyaTA VT_193d
   dadhimadhvājyasaṃyutam VT_162b	daDi-maDu-Ajya-saMyutam VT_162b
   dadhimadhvājyasaṃyutam VT_267b	daDi-maDu-Ajya-saMyutam VT_267b
   dadhno ghṛtam ivoddhṛtam VT_317d	daDnaH GRtam iva-udDRtam VT_317d
   darśanād vaśam āyānti VT_169a	darSanAt vaSam AyAnti VT_169a
   darśayed yonimudrāṃ tu VT_117c	darSayet yonimudrAm tu VT_117c
   daśadikṣu vyavasthitaiḥ VT_35d	daSa-dikzu vyavasTitEH VT_35d
   daśavāyusamāyuktaṃ VT_247a	daSa-vAyu-samAyuktam VT_247a
   dahanaṃ cāgninā kāryaṃ VT_371a	dahanam ca-agninA kAryam VT_371a
   dāḍimīkusumaprakhyāṃ VT_102c	dAximI-kusuma-praKyAm VT_102c
   dāsatvam upagacchati VT_169d	dAsa-tvam upagacCati VT_169d
   digbandhabhūmiṃ saṃśodhya VT_77c	digbanDa-BUmim saMSoDya VT_77c
   digbandhaśodhyam eva hi VT_68d	digbanDa-SoDyam eva hi VT_68d
   divyasragbandhalepanam VT_99b	divya-sraj-banDa-lepanam VT_99b
   divyaṃ vimānam ārūḍhāṃ VT_107c	divyam vimAnam ArUXAm VT_107c
   divyāmbarātapatreṇa VT_99a	divya-ambara-AtapatreNa VT_99a
   divyāmbarātapatreṇa VT_101a	divya-ambara-AtapatreNa VT_101a
   dīkṣayitvā tataḥ śiṣyān VT_47a	dIkzayitvA tatas SizyAn VT_47a
   dīkṣāṃ śiṣyasya kārayet VT_43d	dIkzAm Sizyasya kArayet VT_43d
   dīpanaṃ tu śikhāmadhye VT_371c	dIpanam tu SiKA-maDye VT_371c
   dīpanaṃ śaktinā nityaṃ VT_373c	dIpanam SaktinA nityam VT_373c
   dīpyamānāṃ svatejasā VT_101d	dIpyamAnAm sva-tejasA VT_101d
   durlabhaṃ tridaśeṣv api VT_323d	durlaBam tridaSezu api VT_323d
   dūreṇāpi samarpitam VT_196d	dUreNa-api samarpitam VT_196d
   dṛṣtvā taṃ manasā bhūyo VT_210c	dRztvA tam manasA BUyas VT_210c
   devatārpitamānasaḥ VT_376d	devatA-arpita-mAnasaH VT_376d
   devadevaṃ prakalpayet VT_124d	devadevam prakalpayet VT_124d
   devadevaṃ sadā dhyāyet VT_99c	devadevam sadA DyAyet VT_99c
   devadevīṃ jayāṃ dhyāyed VT_101c	devadevIm jayAm DyAyet VT_101c
   devasyābhimukho mantrī VT_102a	devasya-aBimuKaH mantrI VT_102a
   devītumburusaṃyuktaṃ VT_11a	devI-tumburu-saMyuktam VT_11a
   devīnām agrataḥ sthāpya VT_290c	devInAm agratas sTApya VT_290c
   devīnām agrasaṃsthaṃ kṛtabhṛkuṭimukhaṃ cintayed aṅkuśākhyaṃ VT_110a	devInAm agra-saMsTam kRta-BRkuwi-muKam cintayet aFkuSa-AKyam VT_110a
   devīnām kūṭasaṃsthitam VT_152b	devInAm kUwa-saMsTitam VT_152b
   devīnāṃ ca tatas tena VT_209c	devInAm ca tatas tena VT_209c
   devīnāṃ saṃnirodhane VT_132d	devInAm saMniroDane VT_132d
   devī vacanam abravīt VT_3d	devI vacanam abravIt VT_3d
   devyaḥ prītā bhavanty eva VT_49c	devyaH prItAH Bavanti eva VT_49c
   devyā guhyottarambhavā VT_355d	devyAH guhya-uttaramBavAH VT_355d
   deśikaḥ sādhakasya tu VT_25b	deSikaH sADakasya tu VT_25b
   dehanyāsaṃ punar vakṣye VT_301a	deha-nyAsam punar vakzye VT_301a
   dehastham kathitaṃ devi VT_263a	deha-sTam kaTitam devi VT_263a
   dehasthaṃ tu kathaṃ vidyād VT_139c	deha-sTam tu kaTam vidyAt VT_139c
   dehasthā sakalātmakā VT_251b	deha-sTA sakala-AtmakAH VT_251b
   dehaṃ saṃśodhayen mantrī VT_76c	deham saMSoDayet mantrI VT_76c
   dehe tattvatrayaṃ nyasya VT_302a	dehe tattva-trayam nyasya VT_302a
   daityabhūtagrahāṃs tathā VT_384d	dEtya-BUta-grahAn taTA VT_384d
   dravyaṃ tasya gṛhe tu yat VT_185b	dravyam tasya gRhe tu yat VT_185b
   drutaṃ kālasya sidhyati VT_379d	drutam kAlasya siDyati VT_379d
