   akalādhipabhṛtyadarśitaṃ BhKir_3.59a	akala-aDipa-BRtya-darSitam BhKiH-_3.59a
   gaṇapatibhir āttavigrahaiḥ BhKir_12.43b	gaNapatiBiH Atta-vigrahEH BhKiH-_12.43b
   gaṇam āśiśriyad ākulaṃ tiraścām BhKir_13.10d	gaNam ASiSriyat Akulam tiraScAm BhKiH-_13.10d
   gaṇādhipānām avidhāya nirgataiḥ BhKir_14.54a	gaNa-aDipAnAm aviDAya nirgatEH BhKiH-_14.54a
   gaṇādhipānāṃ paritaḥ prasāriṇī BhKir_14.34c	gaNa-aDipAnAm paritas prasAriNI BhKiH-_14.34c
   gaṇāḥ samāsedur anīlavājinaṃ BhKir_14.42c	gaNAH samAseduH anIla-vAjinam BhKiH-_14.42c
   gaṇair avicchedaniruddham ābabhau BhKir_14.32c	gaNEH avicCeda-nirudDam AbaBO BhKiH-_14.32c
   gataghṛṇa gamitāni satsakhīnāṃ BhKir_10.48c	gata-GRNa gamitAni sat-saKInAm BhKiH-_10.48c
   gatadhṛtir ākulitaś ca jīvalokaḥ BhKir_10.21d	gata-DRtiH AkulitaH ca jIva-lokaH BhKiH-_10.21d
   gatam alasaṃ paripāṇḍutā viṣādaḥ BhKir_10.59b	gatam alasam paripANxu-tA vizAdaH BhKiH-_10.59b
   gatam ūrmibhiḥ sahacaraṃ pṛthubhiḥ BhKir_6.8b	gatam UrmiBiH sahacaram pRTuBiH BhKiH-_6.8b
   gatavati nakhalekhālakṣyatām aṅgarāge BhKir_9.78a	gatavati naKa-leKA-lakzya-tAm aFga-rAge BhKiH-_9.78a
   gataḥ kriyāṃ mantra ivābhicārikīm BhKir_3.56d	gataH kriyAm mantraH iva-ABicArikIm BhKiH-_3.56d
   gatān paśūnāṃ sahajanmabandhutāṃ BhKir_4.13a	gatAn paSUnAm saha-janma-banDu-tAm BhKiH-_4.13a
   gatā vipākena phalasya śālayaḥ BhKir_4.26b	gatAH vipAkena Palasya SAlayaH BhKiH-_4.26b
   gatāsus tṛṇam eva vā BhKir_11.70b	gatAsuH tRNam eva vA BhKiH-_11.70b
   gatikuṭileṣu payaḥsu paṅkajāni BhKir_5.32d	gati-kuwilezu payaHsu paFkajAni BhKiH-_5.32d
   gatir bhavān eva durātmanāpi BhKir_18.42d	gatiH BavAn eva durAtmanA-api BhKiH-_18.42d
   gatiṃ na niścetum alaṃ śilīmukhāḥ BhKir_4.35d	gatim na niScetum alam SilImuKAH BhKiH-_4.35d
   gatiṃ pratāpasya jagatpramāthinaḥ BhKir_14.42b	gatim pratApasya jagat-pramATinaH BhKiH-_14.42b
   gate 'tha patyau vanasaṃnivāsinām BhKir_1.26b	gate aTa patyO vana-saMnivAsinAm BhKiH-_1.26b
   gataiḥ pareṣām avibhāvanīyatāṃ BhKir_14.52a	gatEH parezAm aviBAvanIya-tAm BhKiH-_14.52a
   gataiḥ sahāvaiḥ kalahaṃsavikramaṃ BhKir_8.29a	gatEH sahAvEH kalahaMsa-vikramam BhKiH-_8.29a
   gatvaryo yauvanaśriyaḥ BhKir_11.12b	gatvaryaH yOvana-SriyaH BhKiH-_11.12b
   gadita iti śivena ślāghito devasaṃghaiḥ BhKir_18.48b	gaditaH iti Sivena SlAGitaH deva-saMGEH BhKiH-_18.48b
   gandham uddhatarajaḥkaṇavāhī BhKir_9.31a	ganDam udData-rajaH-kaNa-vAhI BhKiH-_9.31a
   gandharvair adhigatavismayaiḥ pratīye BhKir_7.7c	ganDarvEH aDigata-vismayEH pratIye BhKiH-_7.7c
   gandhena jetuḥ pramukhāgatasya BhKir_17.17c	ganDena jetuH pramuKa-Agatasya BhKiH-_17.17c
   gabhīratāṃ dhairyaguṇena bhūyasā BhKir_14.39b	gaBIra-tAm DErya-guNena BUyasA BhKiH-_14.39b
   gabhīrarandhreṣu bhṛśaṃ mahībhṛtaḥ BhKir_14.46a	gaBIra-ranDrezu BRSam mahIBRtaH BhKiH-_14.46a
   gamanaparikramalāghavena tāsām BhKir_10.2b	gamana-parikrama-lAGavena tAsAm BhKiH-_10.2b
   gambhīram arthaṃ katicit prakāśatām BhKir_14.4d	gamBIram arTam katicid prakASa-tAm BhKiH-_14.4d
   gamyatām upagate nayanānāṃ BhKir_9.4a	gamyatAm upagate nayanAnAm BhKiH-_9.4a
   gamyas tuṅgo 'pi bhūdharaḥ BhKir_11.63b	gamyaH tuFgaH api BUDaraH BhKiH-_11.63b
   garīyo lāghavānvitam BhKir_11.38b	garIyaH lAGava-anvitam BhKiH-_11.38b
   garutmatā saṃhatibhir vihāyaḥ BhKir_16.43c	garutmatA saMhatiBiH vihAyaH BhKiH-_16.43c
   galadaśrubindur iva śuktivadhūḥ BhKir_6.12d	galat-aSru-binduH iva Sukti-vaDUH BhKiH-_6.12d
   galaddukūlastanaśālinorasā BhKir_8.17b	galat-dukUla-stana-SAlinA-urasA BhKiH-_8.17b
   galaddukūlair jaghanair ivādadhe BhKir_4.12d	galat-dukUlEH jaGanEH iva-adaDe BhKiH-_4.12d
   gavāṃ gaṇāḥ prasnutapīvaraudharasaḥ BhKir_4.10d	gavAm gaNAH prasnutapIva-rODa-rasaH BhKiH-_4.10d
   gavāṃ himānīviśadaiḥ kadambakaiḥ BhKir_4.12b	gavAm himAnI-viSadEH kadambakEH BhKiH-_4.12b
   gahane kṛtyavidhau vivekinām BhKir_2.33b	gahane kRtya-viDO vivekinAm BhKiH-_2.33b
   gāṇḍīvadhanvanaḥ khebhyo BhKir_15.46c	gANxIvaDanvanaH KeByaH BhKiH-_15.46c
   gāṇḍīvamuktā hi yathā purā me BhKir_16.18c	gANxIva-muktA hi yaTA purA me BhKiH-_16.18c
   gāṇḍīvī kanakaśilānibhaṃ bhujābhyām BhKir_17.63c	gANxIvI kanaka-SilA-niBam BujAByAm BhKiH-_17.63c
   gātreṣu bāhiryam upāgateṣu BhKir_17.49b	gAtrezu bAhiryam upAgatezu BhKiH-_17.49b
   guṇagṛhyā vacane vipaścitaḥ BhKir_2.5d	guNa-gRhyAH vacane vipaScitaH BhKiH-_2.5d
   guṇam asamayajaṃ cirāya lebhe BhKir_10.28c	guNam asamaya-jam cirAya leBe BhKiH-_10.28c
   guṇamahatāṃ mahate guṇāya yogaḥ BhKir_10.25d	guNa-mahatAm mahate guNAya yogaH BhKiH-_10.25d
   guṇalubdhāḥ svayam eva sampadaḥ BhKir_2.30d	guNa-lubDAH svayam eva sampadaH BhKiH-_2.30d
   guṇavan mitram ivānatiṃ prapede BhKir_13.15d	guNavat mitram iva-Anatim prapede BhKiH-_13.15d
   guṇasampadam ākṛtiḥ BhKir_11.11b	guNa-sampadam AkRtiH BhKiH-_11.11b
   guṇasampadānuguṇatāṃ gamitaḥ BhKir_6.33c	guNa-sampadA-anuguNa-tAm gamitaH BhKiH-_6.33c
   guṇasampadā samadhigamya paraṃ BhKir_5.24a	guNa-sampadA samaDigamya param BhKiH-_5.24a
   guṇasaṃhateḥ samatiriktam aho BhKir_18.14c	guNa-saMhateH samatiriktam aho BhKiH-_18.14c
   guṇānuraktām anuraktasādhanaḥ BhKir_1.31a	guNa-anuraktAm anurakta-sADanaH BhKiH-_1.31a
   guṇānurāgād iva sakhyam īyivān BhKir_1.11c	guNa-anurAgAt iva saKyam IyivAn BhKiH-_1.11c
   guṇānurāgeṇa śirobhir uhyate BhKir_1.21c	guNa-anurAgeNa SiroBiH uhyate BhKiH-_1.21c
   guṇānurodhena vinā na satkriyā BhKir_1.12d	guNa-anuroDena vinA na satkriyA BhKiH-_1.12d
   guṇāpavādena tadanyaropaṇād BhKir_14.12a	guNa-apavAdena tad-anya-ropaNAt BhKiH-_14.12a
   guṇābhyasūyeva vipakṣapāte BhKir_17.11b	guNa-aByasUyA-iva vipakzapAte BhKiH-_17.11b
   guṇārjanocchrāyaviruddhabuddhayaḥ BhKir_14.21c	guNa-arjana-ucCrAya-virudDa-budDayaH BhKiH-_14.21c
   guṇāḥ priyatve 'dhikṛtā na saṃstavaḥ BhKir_4.25d	guNAH priya-tve aDikRtAH na saMstavaH BhKiH-_4.25d
   guptānām atha sacivais trilokabhartuḥ BhKir_7.1b	guptAnAm aTa sacivEH triloka-BartuH BhKiH-_7.1b
   gurukriyārambhaphalair alaṃkṛtaṃ BhKir_14.42a	guru-kriyA-AramBa-PalEH alaMkRtam BhKiH-_14.42a
   gurutāṃ nayanti hi guṇā na saṃhatiḥ BhKir_12.10d	guru-tAm nayanti hi guNAH na saMhatiH BhKiH-_12.10d
   gurubhujāyudhagarvitayos tayoḥ BhKir_18.8d	guru-Buja-AyuDa-garvitayoH tayoH BhKiH-_18.8d
   gurur asvantataraḥ sumarṣaṇaḥ BhKir_2.8b	guruH asvantataraH sumarzaNaH BhKiH-_2.8b
   gurusthirāṇy uttamavaṃśajatvād BhKir_16.28a	guru-sTirANi uttama-vaMSa-ja-tvAt BhKiH-_16.28a
   gurūn kurvanti te vaṃśyān BhKir_11.64a	gurUn kurvanti te vaMSyAn BhKiH-_11.64a
   gurūpadiṣṭāṃ gatim āsthitānām BhKir_17.29b	guru-upadizwAm gatim AsTitAnAm BhKiH-_17.29b
   gurūpadiṣṭena ripau sute 'pi vā BhKir_1.13c	guru-upadizwena ripO sute api vA BhKiH-_1.13c
   gurvīṃ kām āpadaṃ hantuṃ BhKir_15.11c	gurvIm kAm Apadam hantum BhKiH-_15.11c
   gūḍho 'pi vapuṣā rājan BhKir_11.6a	gUXaH api vapuzA rAjan BhKiH-_11.6a
   gṛhāśrayaṃ prema vaneṣu bibhrataḥ BhKir_4.13b	gRha-ASrayam prema vanezu biBrataH BhKiH-_4.13b
   gopāyakānāṃ bhuvanatrayasya BhKir_18.18b	gopAyakAnAm Buvanatrayasya BhKiH-_18.18b
   gopituṃ bhuvam imāṃ marutvatā BhKir_13.67c	gopitum Buvam imAm marutvatA BhKiH-_13.67c
   gauraveṇa laghayan mahībhṛtaḥ BhKir_13.38b	gOraveNa laGayan mahIBRtaH BhKiH-_13.38b
   gaur ivaitei vidheyatām BhKir_11.33d	gOH iva-etei viDeya-tAm BhKiH-_11.33d
   grasamānam ivaujāṃsi BhKir_11.73a	grasamAnam iva-ojAMsi BhKiH-_11.73a
   grahatārakāgaṇayutaṃ nabhastalam BhKir_12.28d	graha-tArakA-gaNa-yutam naBastalam BhKiH-_12.28d
   grahavimānagaṇān abhito divaṃ BhKir_5.14a	graha-vimAna-gaNAn aBitas divam BhKiH-_5.14a
   grahitamālatamālavanākulam BhKir_5.9b	grahita-mAla-tamAla-vana-Akulam BhKiH-_5.9b
   glānidoṣacchidaḥ svacchāḥ BhKir_11.19c	glAni-doza=-CidaH su-acCAH BhKiH-_11.19c
   ghanatvam īye śithilena varmaṇā BhKir_14.48d	Gana-tvam Iye SiTilena varmaNA BhKiH-_14.48d
   ghananīhāra ivāviṣaktavegaḥ BhKir_13.24b	Gana-nIhAraH iva-avizakta-vegaH BhKiH-_13.24b
   ghanapotravidīrṇaśālamūlo BhKir_13.3a	Gana-potra-vidIrNa-SAlamUlaH BhKiH-_13.3a
   ghanamarutā jaghanāṃśukaikadeśe BhKir_10.45b	Gana-marutA jaGana-aMSuka-eka-deSe BhKiH-_10.45b
   ghanavartma sahasradheva kurvan BhKir_5.17c	Ganavartma sahasraDA-iva kurvan BhKiH-_5.17c
   ghanasamayena vadhūr ivālalambe BhKir_10.24d	Gana-samayena vaDUH iva-Alalambe BhKiH-_10.24d
   ghanasya vaprād iva vaidyuto 'gniḥ BhKir_17.58d	Ganasya vaprAt iva vEdyutaH agniH BhKiH-_17.58d
   ghanaṃ vidāryārjunabāṇapūgaṃ BhKir_15.50a	Ganam vidArya-arjuna-bANa-pUgam BhKiH-_15.50a
   ghanaṃ vidāryārjunabāṇapūgaṃ BhKir_15.50c	Ganam vidArya-arjuna-bANa-pUgam BhKiH-_15.50c
   ghanāni kāmaṃ kusumāni bibhrataḥ BhKir_8.4a	GanAni kAmam kusumAni biBrataH BhKiH-_8.4a
   ghanena kaścij jaghanena kāntayā BhKir_8.16d	Ganena kaScid jaGanena kAntayA BhKiH-_8.16d
   ghanoparuddhaḥ prabhavāya vṛṣṭer BhKir_17.9c	Gana-uparudDaH praBavAya vRzweH BhKiH-_17.9c
   gharmajanitapulakena lasad- BhKir_12.40c	Garma-janita-pulakena lasad BhKiH-_12.40c
   gharmadyuter iha muhuḥ paṭalāni dhāmnām BhKir_5.41c	Garma-dyuteH iha muhur pawalAni DAmnAm BhKiH-_5.41c
   gharmavāri navasaṃgamajanma BhKir_9.41b	Garma-vAri nava-saMgama-janma BhKiH-_9.41b
   gharmāntakṣubhitajaleva jahnukanyā BhKir_7.25d	Garma-anta-kzuBita-jalA-iva jahnukanyA BhKiH-_7.25d
   ghṛṇayā munir eṣa vaḥ BhKir_15.13b	GRNayA muniH eza vaH BhKiH-_15.13b
   ghorā nāthamaho nu na BhKir_15.20b	GorA nATam-aho nu na BhKiH-_15.20b
   ghnanti sahajam api bhūribhiyaḥ BhKir_12.46c	Gnanti sahajam api BUriBiyaH BhKiH-_12.46c
   cakārākrāntalakṣmīkaḥ BhKir_11.7c	cakAra-AkrAnta-lakzmIkaH BhKiH-_11.7c
   cakāsayantīm aravindajaṃ rajaḥ BhKir_4.8c	cakAsayantIm aravinda-jam rajaH BhKiH-_4.8c
   cakitam avasanoru satrapāyāḥ BhKir_10.45c	cakitam avasana-Uru satrapAyAH BhKiH-_10.45c
   cakitodbhrāntamṛgāṇi kānanāni BhKir_13.9d	cakita-udBrAnta-mRgANi kAnanAni BhKiH-_13.9d
   cakravākahṛdayāny abhitāpaḥ BhKir_9.4d	cakravAka-hRdayAni aBitApaH BhKiH-_9.4d
   cakruḥ prayatnena vikīryamāṇair BhKir_18.19c	cakruH prayatnena vikIryamANEH BhKiH-_18.19c
   cacāra citraṃ pravicāramārgaiḥ BhKir_17.56b	cacAra citram pravicAra-mArgEH BhKiH-_17.56b
   cacāra ruciraś cāru BhKir_15.38c	cacAra ruciraH cAru BhKiH-_15.38c
   cacāla nirhrādavatī mahācamūḥ BhKir_14.27b	cacAla nirhrAdavatI mahA-camUH BhKiH-_14.27b
   cañcaccīrarucā rucaḥ BhKir_15.38b	caQcat-cIra-rucA rucaH BhKiH-_15.38b
   cañcalaṃ vasu nitāntam unnatā BhKir_13.53a	caQcalam vasu nitAntam unnatA BhKiH-_13.53a
   caṇḍaḥ pataṅgān marudekanīlaṃ BhKir_17.44c	caNxaH pataFgAn marut-eka-nIlam BhKiH-_17.44c
   catasṛṣv api te vivekinī BhKir_2.6a	catasRzu api te vivekinI BhKiH-_2.6a
   caturas toyanidhīn ivāyataḥ BhKir_2.23b	caturaH toya-niDIn iva-AyataH BhKiH-_2.23b
   candanāni virahe madirā vā BhKir_9.35b	candanAni virahe madirA vA BhKiH-_9.35b
   camarīgaṇair gaṇabalasya BhKir_12.47a	camarI-gaNEH gaNa-balasya BhKiH-_12.47a
   camūṃ paścād avasthitām BhKir_15.33b	camUm paScAt avasTitAm BhKiH-_15.33b
   cayam āskandati bhasmanāṃ janaḥ BhKir_2.20b	cayam Askandati BasmanAm janaH BhKiH-_2.20b
   cayān ivādrīn iva tuṅgaśṛṅgān BhKir_16.52a	cayAn iva-adrIn iva tuFga-SRFgAn BhKiH-_16.52a
   cayair vibhinnāḥ payasāṃ prapedire BhKir_16.60b	cayEH viBinnAH payasAm prapedire BhKiH-_16.60b
   caraṇatalaiḥ kṛtapaddhatir vadhūnām BhKir_10.3b	caraNa-talEH kRta-padDatiH vaDUnAm BhKiH-_10.3b
   caraṇapātanipātitarodharasaḥ BhKir_18.11c	caraNa-pAta-nipAtita-roDa-rasaH BhKiH-_18.11c
   caraṇam abhipapāta ṣaṭpadālī BhKir_10.42c	caraNam aBipapAta zawpadAlI BhKiH-_10.42c
   caraṇayoś caraṇānamitakṣitir BhKir_18.12c	caraNayoH caraNAnamita-kzitiH BhKiH-_18.12c
   caraṇāskandananāmitācalendraḥ BhKir_13.18b	caraNa-Askandana-nAmita-acala-indraH BhKiH-_13.18b
   caratas tapas tava vaneṣu sadā BhKir_6.36c	carataH tapaH tava vanezu sadA BhKiH-_6.36c
   caritena cātiśayitā munayaḥ BhKir_6.32d	caritena ca-atiSayitAH munayaH BhKiH-_6.32d
   carite vartmani yacchatāṃ manaḥ BhKir_2.34b	carite vartmani yacCatAm manaH BhKiH-_2.34b
   caritair munīn adharayañ śucibhiḥ BhKir_6.24b	caritEH munIn aDarayan SuciBiH BhKiH-_6.24b
   calati nayān na jigīṣatāṃ hi cetaḥ BhKir_10.29d	calati nayAt na jigIzatAm hi cetaH BhKiH-_10.29d
   calane 'vaniś calati tasya BhKir_12.28a	calane avaniH calati tasya BhKiH-_12.28a
   calavīcirāgaracanāpaṭavaḥ BhKir_6.9b	cala-vIci-rAga-racanA-pawavaH BhKiH-_6.9b
   calācalo 'neka iva kriyāvaśān BhKir_15.51c	cala-acalaH anekaH iva kriyA-vaSAn BhKiH-_15.51c
   cāpalena sujanetaramaitrī BhKir_9.10d	cApalena su-janetara-mEtrI BhKiH-_9.10d
   cāracuñcuś cirārecī BhKir_15.38a	cAracuQcuH cira-ArecI BhKiH-_15.38a
   cāruṇā ramate janye BhKir_15.23c	cAruNAH ramate janye BhKiH-_15.23c
   cārutābhimatatām upaninye BhKir_9.64b	cAru-tA-aBimata-tAm upaninye BhKiH-_9.64b
   cārair ācāracañcuraḥ BhKir_15.38d	cArEH AcAra-caQcuraH BhKiH-_15.38d
   cikṣepa kṣitiruhajālam indrasūnuḥ BhKir_17.61d	cikzepa kzitiruha-jAlam indrasUnuH BhKiH-_17.61d
   cicīṣatāṃ janmavatām alaghvīṃ BhKir_3.11a	cicIzatAm janmavatAm alaGvIm BhKiH-_3.11a
   citāni gharmāmbukaṇaiḥ samantato BhKir_8.25c	citAni Garma-ambu-kaNEH samantataH BhKiH-_8.25c
   cittanirvṛtividhāyi viviktaṃ BhKir_9.71a	citta-nirvRti-viDAyi viviktam BhKiH-_9.71a
   cittavān asi kalyāṇī BhKir_11.14a	cittavAn asi kalyANI BhKiH-_11.14a
   citrasaṃsthā ivācalāḥ BhKir_15.35b	citra-saMsTAH iva-acalAH BhKiH-_15.35b
   citrasaṃsthā ivācalāḥ BhKir_15.35d	citra-saMsTAH iva-acalAH BhKiH-_15.35d
   citrīyamāṇān atilāghavena BhKir_17.31a	citrIyamANAn ati-lAGavena BhKiH-_17.31a
   ciraniyamakṛśo 'pi śailasāraḥ BhKir_10.14a	cira-niyama-kRSaH api SElasAraH BhKiH-_10.14a
   ciram api kalitāny apārayantyā BhKir_10.48a	ciram api kalitAni apArayantyA BhKiH-_10.48a
   ciram āsvādya narendrasampadaḥ BhKir_2.16d	ciram AsvAdya narendra-sampadaH BhKiH-_2.16d
   ciraṃ dhṛtā bhūpatibhiḥ svavaṃśajaiḥ BhKir_1.29b	ciram DRtA BUpatiBiH sva-vaMSa-jEH BhKiH-_1.29b
   ciraṃ vicinvann iti kāraṇāni BhKir_16.1d	ciram vicinvan iti kAraNAni BhKiH-_16.1d
   ciraṃ viṣehe 'bhibhavas tadānīṃ BhKir_17.14c	ciram vizehe aBiBavaH tadAnIm BhKiH-_17.14c
   ciraṃ suninadair nadair vṛtam amum BhKir_5.27b	ciram su-ninadEH nadEH vRtam amum BhKiH-_5.27b
   cirāya khinnān navapallavaśriyaḥ BhKir_8.22b	cirAya KinnAt nava-pallava-SriyaH BhKiH-_8.22b
   cirāya tasmin kuravaś cakāsati BhKir_1.17d	cirAya tasmin kuravaH cakAsati BhKiH-_1.17d
   cirāya paryeṣi sukhasya sādhanam BhKir_1.44b	cirAya paryezi suKasya sADanam BhKiH-_1.44b
   cukopa kācin na tutoṣa sāntvanaiḥ BhKir_8.54b	cukopa kAcid na tutoza sAntvanEH BhKiH-_8.54b
   cumbati priyatame rabhasena BhKir_9.47b	cumbati priyatame raBasena BhKiH-_9.47b
   cumbitāni ghanadantanipātaiḥ BhKir_9.49b	cumbitAni Gana-danta-nipAtEH BhKiH-_9.49b
   cūrṇamuṣṭir iva lambhitakāntir BhKir_9.17c	cUrNa-muzwiH iva lamBita-kAntiH BhKiH-_9.17c
   cetāṃsi cintābhir ivāśarīraḥ BhKir_17.10d	cetAMsi cintABiH iva-aSarIraH BhKiH-_17.10d
   cetobhuvo harisakhāpsarasāṃ nideśam BhKir_9.74b	cetaH-BuvaH hari-saKa-apsarasAm nideSam BhKiH-_9.74b
   ceṣṭitasya gamite nu vikāsam BhKir_9.69b	cezwitasya gamite nu vikAsam BhKiH-_9.69b
   cyāyāmayaś cāpsu sahasraraśmiḥ BhKir_17.57b	cyAyAH-mayaH ca-apsu sahasraraSmiH BhKiH-_17.57b
   cyutaraśanāguṇasaṃditāvatasthe BhKir_10.54d	cyuta-raSanA-guNa-saMdita-avatasTe BhKiH-_10.54d
   cyutācirābhāguṇahemadāmabhiḥ BhKir_4.24b	cyuta-acirABA-guNa-hema-dAmaBiH BhKiH-_4.24b
   cyutādhikārāḥ sacivā ivāyayuḥ BhKir_8.39d	cyuta-aDikArAH sacivAH iva-AyayuH BhKiH-_8.39d
   cyutāḥ pravāhād abhitaḥ prasāriṇaḥ BhKir_8.10b	cyutAH pravAhAt aBitas prasAriNaH BhKiH-_8.10b
   cyute sa tasminn iṣudhau śarārthād BhKir_17.37a	cyute sa tasmin izuDO Sara-arTAt BhKiH-_17.37a
   channeṣv antaḥsānu vaprāntareṣu BhKir_5.36b	Cannezu antar-sAnu vapra-antarezu BhKiH-_5.36b
   chāyayā viṭapināṃ pratipede BhKir_9.29b	CAyayA viwapinAm pratipede BhKiH-_9.29b
   chāyā tatāneśabalāni kālī BhKir_16.26d	CAyA tatAneSa-balAni kAlI BhKiH-_16.26d
   chāyāmayasyeva dinasya kartuḥ BhKir_17.22d	CAyA-mayasya-iva dinasya kartuH BhKiH-_17.22d
   chāyām iva mahātaruḥ BhKir_15.33d	CAyAm iva mahA-taruH BhKiH-_15.33d
   chāyām iva mahātaroḥ BhKir_11.51d	CAyAm iva mahA-taroH BhKiH-_11.51d
   chāyāṃ vinirdhūya tamomayīṃ tāṃ BhKir_16.32a	CAyAm vinirDUya tamaH-mayIm tAm BhKiH-_16.32a
   chāyāḥ samācikṣipire vanānām BhKir_16.47d	CAyAH samAcikzipire vanAnAm BhKiH-_16.47d
   chinnair api trāsitavāhinīkaiḥ BhKir_17.28c	CinnEH api trAsita-vAhinIkEH BhKiH-_17.28c
   chinnottamāsiḥ sa mṛdhe 'vadhūtaḥ BhKir_17.59b	Cinna-uttamA-asiH sa mRDe avaDUtaH BhKiH-_17.59b
   jagaj jighatsantam ivāntavahnim BhKir_3.20d	jagat jiGatsantam iva-anta-vahnim BhKiH-_3.20d
   jagatām aśarma bhṛśam ācacakṣire BhKir_12.25d	jagatAm aSarma BRSam Acacakzire BhKiH-_12.25d
   jagatīruho 'vacakaruḥ kusumaiḥ BhKir_6.2d	jagatIruhaH avacakaruH kusumEH BhKiH-_6.2d
   jagatīśaraṇe yukto BhKir_15.45a	jagatI-SaraNe yuktaH BhKiH-_15.45a
   jagatīṃ grāha ivāpagāṃ jagāhe BhKir_13.24d	jagatIm grAhaH iva-ApagAm jagAhe BhKiH-_13.24d
   jagatprasūtir jagadekapāvanī BhKir_4.32a	jagat-prasUtiH jagat-eka-pAvanI BhKiH-_4.32a
   jagṛhe nijān munidivaukasāṃ pathaḥ BhKir_12.11d	jagRhe nijAn muni-divOkasAm paTaH BhKiH-_12.11d
   jagrāha pātheyam ivendrasūnuḥ BhKir_3.37d	jagrAha pATeyam iva-indrasUnuH BhKiH-_3.37d
   jaghaneṣu paśūn iva BhKir_15.13d	jaGanezu paSUn iva BhKiH-_15.13d
   jajñire bahumatāḥ pramadānām BhKir_9.59c	jajQire bahu-matAH pramadAnAm BhKiH-_9.59c
   jajñe tadānīm upakāriṇīva BhKir_17.42b	jajQe tadAnIm upakAriNI-iva BhKiH-_17.42b
   jajñe niveśanavibhāgapariṣkṛtānāṃ BhKir_7.40c	jajQe niveSana-viBAga-parizkRtAnAm BhKiH-_7.40c
   jajvāla viṣvag visṛtasphuliṅgaḥ BhKir_16.51b	jajvAla vizvak visRta-sPuliFgaH BhKiH-_16.51b
   jaṭādharaḥ sañ juhudhīha pāvakam BhKir_1.44d	jawA-DaraH san juhuDi-iha pAvakam BhKiH-_1.44d
   jaṭānāṃ kīrṇayā keśaiḥ BhKir_11.3a	jawAnAm kIrNayA keSEH BhKiH-_11.3a
   jaṭās taḍitvantam ivāmbuvāham BhKir_3.1d	jawAH taxitvantam iva-ambuvAham BhKiH-_3.1d
   jaṭharaśapharīkulākulāḥ BhKir_12.49b	jaWara-SaParI-kula-AkulAH BhKiH-_12.49b
   jana iva na dhṛteś cacāla jiṣṇur BhKir_10.23c	janaH iva na DRteH cacAla jizNuH BhKiH-_10.23c
   janaka iva śiśutve supriyasyaikasūnor BhKir_17.64c	janakaH iva SiSu-tve su-priyasya-eka-sUnoH BhKiH-_17.64c
   jananātha tavānujanmanāṃ BhKir_2.17c	jananATa tava-anujanmanAm BhKiH-_2.17c
   jananirvādabhayād iva śriyaḥ BhKir_2.10d	jana-nirvAda-BayAt iva SriyaH BhKiH-_2.10d
   jananī dūragā ca me BhKir_11.77b	jananI dUra-gA ca me BhKiH-_11.77b
   janayati lodhrasamīraṇe ca harṣam BhKir_10.29b	janayati loDra-samIraNe ca harzam BhKiH-_10.29b
   janayanty acirāya sampadām BhKir_2.41c	janayanti acirAya sampadAm BhKiH-_2.41c
   janavan na bhavantam akṣamā BhKir_2.42c	jana-vat na Bavantam akzamA BhKiH-_2.42c
   janasya rūḍhapraṇayasya cetasaḥ BhKir_8.54c	janasya rUXa-praNayasya cetasaH BhKiH-_8.54c
   janitavrīḍa ivātmapauruṣeṇa BhKir_13.33d	janita-vrIxaH iva-Atma-pOruzeNa BhKiH-_13.33d
   janair upagrāmam anindyakarmabhir BhKir_4.19a	janEH upagrAmam anindya-karmaBiH BhKiH-_4.19a
   janmaveṣatapasāṃ virodhinīṃ BhKir_13.64a	janma-veza-tapasAm viroDinIm BhKiH-_13.64a
   janminaḥ saṃtatāpadaḥ BhKir_11.13b	janminaH saMtata-ApadaH BhKiH-_11.13b
   janmino mānahinasya BhKir_11.59c	janminaH mAna-hinasya BhKiH-_11.59c
   janmino 'sya sthitiṃ vidvāṃl BhKir_11.30a	janminaH asya sTitim vidvAn BhKiH-_11.30a
   japataḥ sadā japam upāṃśu BhKir_12.8a	japataH sadA japam upAMSu BhKiH-_12.8a
   japopavāsābhiṣavair munīnām BhKir_3.28d	japa-upavAsa-aBizavEH munInAm BhKiH-_3.28d
   japopavāsair iva saṃyatātmā BhKir_17.54c	japa-upavAsEH iva saMyata-AtmA BhKiH-_17.54c
   jayam atrabhavān nūnam BhKir_11.18a	jayam atraBavAn nUnam BhKiH-_11.18a
   jayam icchati tasya jātaśaṅke BhKir_13.2c	jayam icCati tasya jAta-SaFke BhKiH-_13.2c
   jayaśriyaṃ pārtha pṛthūkarotu te BhKir_4.21c	jaya-Sriyam pArTa pRTUkarotu te BhKiH-_4.21c
   jayahetuḥ pratikāyam eṣaṇīyam BhKir_13.28b	jaya-hetuH pratikAyam ezaNIyam BhKiH-_13.28b
   jayaṃ yathārtheṣu śareṣu pārthaḥ BhKir_17.6c	jayam yaTArTezu Sarezu pArTaH BhKiH-_17.6c
   jayāya dūtaḥ pratitarjya tejasā BhKir_14.26b	jayAya dUtaH pratitarjya tejasA BhKiH-_14.26b
   jayāravakṣveḍitanādamūrchitaḥ BhKir_14.29a	jayArava-kzvexita-nAda-mUrCitaH BhKiH-_14.29a
   jayini brahmamaye niṣeduṣām BhKir_18.38b	jayini brahma-maye nizeduzAm BhKiH-_18.38b
