   Rudrabhaṭṭaḥ: Śṛṅgāratilakaḥ	Rudra-BawwaH: ŚRFgAratilakaH
   sukha-mīlitākṣi-yugalā svidyat kapola-sthalī &	suKa--mIlita-akzi-yugalA svidyat kapola--sTalI &
   supteyaṃ kila sundarīti subhagaḥ svairaṃ tathaivāsvaja- %	suptA-iyam kila sundarI-iti suBagaH svEram taTA-eva-asvaja %
   dgāḍhānaṅga-vimarda-niḥsaha-vapur-nidrāṃ sahaivāgataḥ // ST_1.40a //	dgAXA-anaFga--vimarda--niHsaha--vapuH--nidrAm saha-eva-AgataH // ST_1.40aH //
   sā dhīrā vakti vakroktyā $ priyaṃ kopāt kṛtāgasam &	sA DIrAH vakti vakra-uktyA $ priyam kopAt kRta-Agasam &
   madhyā rodity upālambhair % adhīrā paruṣaṃ yathā // ST_1.41 //	maDyAH roditi upAlamBEH % aDIrA paruzam yaTA // ST_1.41 //
   upetya tāṃ dṛḍha-parirambha-lālasa- $ ścirād abhūḥ pramupita-cāru-candanaḥ	upetya tAm dRXa--pariramBa--lAlasa $ ScirAt aBUH pramupita-cAru-candanaH
   dhṛtāñjanaḥ sapadi tad-akṣi-cumbanā- % dihaiva te priya viditā kṛtārthatā	DRtAQjanaH sapadi tat--akzi--cumbanA % diha-eva te priya viditA kRtArTa-tA
   // ST_1.41a //	// ST_1.41aH //
   yatrārkāyitam indunā sarasijair aṅgāra-puñjāyitaṃ $ kruddhāyāṃ mayi nātha	yatra-arkAyitam indunA sarasijEH aFgAra--puQjAyitam $ krudDAyAm mayi nATa
   te kadalikākāṇḍair alātāyitam &	te kadalikA-kANxEH alAtAyitam &
   kālo'nyaḥ khalu ko'pi so'mṛtamayo jāto viṣātmādhunā % dhik tvāṃ dhūrta	kAlaH-anyaH Kalu kaH-api saH-amRta-mayaH jAtaH viza-Atma-aDunA % Dik tvAm DUrta
   viniryad-aśrur abalā mohaṃ rudantī gatā // ST_1.41b //	viniryat--aSruH abalA moham rudantI gatAH // ST_1.41B //
   sārdhaṃ manoratha-śatais tava dhūrta kāntā $ saiva sthitā manasi	sArDam manoraTa--SatEH tava DUrta kAntA $ sA-eva sTitA manasi
   kṛtrima-bhāva-ramyā &	kRtrima--BAva--ramyA &
   asmākam asti na hi kaścid ihāvakāśas % tasmāt kṛtaṃ	asmAkam asti na hi kaScid iha-avakASaH % tasmAt kRtam
   caraṇa-pāta-viḍambanābhiḥ // ST_1.41c // (Skm 587, Pv 218)	caraNa-pAta--vixambanABiH // ST_1.41t // (Skm 587, Pu 218)
   labdhāyatiḥ pragalbhā syāt $ samasta-rati-kovidā &	labDAyatiH pragalBA syAt $ samasta--rati-kovidA &
   ākrānta-nāyikā bāḍhaṃ % virājad-vibhramā yathā // ST_1.42 //	AkrAnta--nAyikA bAXam % virAjat--viBramAH yaTA // ST_1.42 //
   seyaṃ paraṅginī mṛṇāla-latikām ādāya yasyāḥ priyo $ hāraṃ me kurute	sA-iyam paraFginI mRNAla--latikAm AdAya yasyAH priyaH $ hAram me kurute
   payodhara-taṭe pratyagra-tārā-rucam &	payoDara--tawe pratyagra--tArA--rucam &
   bandhūkaṃ ca tad etad āli vidalad yat tena sīmantitaṃ %	banDUkam ca tat etat Ali vidalat yat tena sImantitam %
   sarvāśā-vijigīṣu-puṣpa-dhanuṣo bāṇa-śriyaṃ dhāsyati // ST_1.42a //	sarva-ASA--vijigIzu--puzpa--DanuzaH bANa--Sriyam DAsyati // ST_1.42aH //
   yatra sveda-lavair alaṃ vlulitair vyālupyate candanaṃ $ svacchandair	yatra sveda-lavEH alam vlulitEH vyAlupyate candanam $ svacCandEH-
   maṇitaiś ca yatra raṇitaṃ nihnūyate nūpuram &	maNitEH ca yatra raNitam nihnUyate nUpuram &
   yatrāyānty acireṇa sarva-viṣayāḥ kāmaṃ tad-ekāgratāṃ % sakhyas tat-surataṃ	yatra-AyAnti acireNa sarva-vizayAH kAmam tat--ekAgra-tAm % saKyaH tat-suratam
   bhaṇāmi rataye śeṣā tu loka-sthitiḥ // ST_1.42b //	BaNAmi rataye SezA tu loka--sTitiH // ST_1.42B //
   svāmin bhaṅgurayālakaṃ sa-tilakaṃ bhālaṃ vilāsin kuru $ prāṇeśa truṭitaṃ	svAmin BaFgurayAlakam sa-tilakam BAlam vilAsin kuru $ prANeSa truwitam
   payodhara-taṭe hāraṃ punar yojaya &	payoDara--tawe hAram punar yojaya &
   ity uktvā suratāvasāna-sukhitā sampūrṇa-cadnrānanā % spṛṣṭā tena tatheti	iti uktvA surata-avasAna--suKitA sampUrNa--cadnrA-AnanA % spRzwA tena taTA-iti
   jāta-pulakā prāptā punar mohanam // ST_1.42c // (Skm 662)	jAta--pulakA prAptA punar mohanam // ST_1.42t // (Skm 662)
   madhura-vacanaiḥ sa-bhrū-bhaṅgaiḥ kṛtāṅguli-tarjanai $ ralasa-valitair	maDura-vacanEH sa-BrU--BaFgEH kRta-aFguli--tarjanEH $ rala-sa-valitEH-
   aṅga-nyāsair mahotsava-bandhubhiḥ &	aFga-nyAsEH mahA-utsava--banDuBiH &
   asakṛd asakṛt sphāra-sphārair apāṅga-vilokitai- % stribhuvana-jaye sā	asakRt asakRt sPAra---sPArEH apAFga--vilokitE % striBuvana--jaye sA
   pañceṣoḥ karoti sahāyatām // ST_1.42d // (Skm 509)	paQca-izoH karoti sahAya-tAm // ST_1.42d // (Skm 509)
   nirākulā ratāv eṣā $ dravatīva priyāṅgake &	nirAkulAH ratO ezA $ dravati-iva priya-aFgake &
   ko'yaṃ kāsmi rataṃ kiṃ vā % na vetti ca rasād yathā // ST_1.43 //	kaH-ayam kA-asmi ratam kim vA % na vetti ca rasAt yaTA // ST_1.43 //
   dhanyās tāḥ sakhi yoṣitaḥ priyatame sarvāṅga-lagne'pi yāḥ $ prāgalbhyaṃ	DanyAH tAH saKi yozitaH priyatame sarva-aFga--lagne-api yAH $ prAgalByam
   prathayanti mohana-vidhāv ālambya dhairyaṃ mahat &	praTayanti mohana--viDO Alambya DEryam mahat &
   asmākaṃ tu tadīya-pāṇi-kamale'py unmocayaty aṃśukaṃ % ko'yaṃ kā vayam atra	asmAkam tu tadIya--pANi-kamale-api unmocayati aMSukam % kaH-ayam kA vayam atra
   kiṃ nu surataṃ naiva smṛtir jāyate // ST_1.43a //	kim nu suratam na-eva smRtiH jAyate // ST_1.43aH //
   kṛta-doṣe'pi sādhīrā $ tasmin nādriyate ruṣā &	kRta-doze-api sADIrA $ tasmin na-Adriyate ruzA &
   ākāra-saṃvṛtiṃ cāpi % kṛtvodāste ratau yathā // ST_1.44 //	AkAra--saMvRtim ca-api % kRtvA-udAH-te ratO yaTA // ST_1.44 //
   yad vācaḥ pracuropacāra-caturā yat sādaraṃ dūrataḥ $ pratyutthānam idaṃ	yat vAcaH pracura-upacAra--caturA yat sa-Adaram dUratas $ pratyutTAnam idam
   svahasta-nihitaṃ yad-bhinnam apy āsanam &	sva-hasta--nihitam yat--Binnam api Asanam &
   utpaśyāmi yad evam eva ca muhur dṛṣṭiṃ sakhī-saṃmukhīṃ % tac chaṅke tava	utpaSyAmi yat evam eva ca muhur dRzwim saKI--saMmuKIm % tat SaFke tava
   paṅkajākṣi balavān ko'py aprasādo mayi // ST_1.44a //	paFkaja-akzi balavAn kaH-api aprasAdaH mayi // ST_1.44aH //
   yat pāṇir na nivārito nivasana-granthiṃ saumudgranthaya- $ nbhrū-bhedo na	yat pANiH na nivAritaH nivasana-granTim sOmudgranTaya $ nBrU--BedaH na
   kṛto manāg api muhur yat-khaṇḍyamāne'dhare &	kRtaH manAk api muhur yat--KaNxyamAne-aDare &
   yan niḥśaṅkam ivārpitaṃ vapur aho patyuḥ samāliṅgane % māninyā	yat niHSaFkam iva-arpitam vapuH aho patyuH samAliFgane % mAninyA
   kathito'nukūla-vidhinā tenaiva manyur mahān // ST_1.44b //	kaTitaH-anukUla--viDinA tena-eva manyuH mahAn // ST_1.44B //
   madhyā pratibhinatty enaṃ $ solluṇṭhaṃ sādhu-bhāṣitaiḥ &	maDyA pratiBinatti enam $ sa-ulluNWam sADu--BAzitEH &
   adhīrā puruṣair hanti % santarjya dayitaṃ yathā // ST_1.45 //	aDIrA puruzEH hanti % santarjya dayitam yaTA // ST_1.45 //
   kṛtaṃ mithyā-jalpair virama viditaṃ kāmuka cirāt $ priyāṃ tām evoccair	kRtam miTyA-jalpEH virama viditam kAmuka cirAt $ priyAm tAm eva-uccEs-
   abhisara yadīyair nakha-padaiḥ &	aBisara yadIyEH naKa-padEH &
   vilāsaiś ca prāptaṃ tava hṛdi padaṃ raga-bahulair % mayā kiṃ te kṛtyaṃ	vilAsEH ca prAptam tava hRdi padam raga--bahulEH % mayA kim te kRtyam
   dhruvam akuṭilācāra-parayā // ST_1.45a //	Druvam akuwila-AcAra--parayA // ST_1.45aH //
   sā bāḍhaṃ bhavatekṣiteti niviḍaṃ saṃyamya bāhvoḥ srajā $ bhūyo drakṣyasi	sA bAXam BavatA-IkzitA-iti nivixam saMyamya bAhvoH srajA $ BUyas drakzyasi
   tāṃ śaṭheti dayitaṃ saṃtarjya saṃtarjya ca &	tAm SaWa-iti dayitam saMtarjya saMtarjya ca &
   ālīnāṃ pura eva nihnuti-paraḥ kopād raṇan-nūpuraṃ % māninyā	AlInAm puras eva nihnuti-paraH kopAt raNan-nUpuram % mAninyA
   caraṇa-prahāra-vidhinā preyān aśokīkṛtaḥ // ST_1.45b //	caraNa--prahAra--viDinA preyAn aSokIkRtaH // ST_1.45B //
   ekākārā matā mugdhā $ punarbhūś ca yato'nayoḥ &	eka-AkArA matA mugDA $ punarBUH ca yatas-anayoH &
   atisūkṣmatayā bhedaḥ % kavibhir na pradarśitaḥ // ST_1.46 //	ati-sUkzma-tayA BedaH % kaviBiH na pradarSitaH // ST_1.46 //
   madhyā punaḥ pragalbhā ca $ dvidhā sā paribhidyate &	maDyA punar pragalBA ca $ dviDA sA pariBidyate &
   ekā jyeṣṭhā kaniṣṭhānyā % nāyaka-praṇayaṃ prati // ST_1.47 //	ekA jyezWA kanizWA-anyA % nAyaka--praNayam prati // ST_1.47 //
   uparodhāt tathā snehāt $ sānurāgo'pi nāyakaḥ &	uparoDAt taTA snehAt $ sa-anurAgaH-api nAyakaH &
   ceṣṭate tāṃ prati prāyaḥ % kalāsu kuśalo yathā // ST_1.48 //	cezwate tAm prati prAyas % kalAsu kuSalaH yaTA // ST_1.48 //
   tvad-akṣiṇī kuvalaya-buddhir atyalī $ ruṇadhmy ahaṃ tad iti nimīya locane	tvad--akziNI kuvalaya--budDiH atyalI $ ruNaDmI aham tat iti nimIya locane
   tato bhṛśaṃ pulakita-gaṇḍa-maṇḍalāṃ % yuvā parāṃ nibhṛtam acumbad aṅganām	tatas BRSam pulakita--gaNxa--maNxalAm % yuvA parAm niBRtam acumbat aFganAm
   // ST_1.48a //	// ST_1.48aH //
   sampattau ca vipattau ca $ maraṇe'pi na muñcati &	sampattO ca vipattO ca $ maraNe-api na muQcati &
   yā svīyā tāṃ prati prema % jāyate puṇya-kāriṇaḥ // ST_1.49 //	yA svIyA tAm prati prema % jAyate puNya--kAriNaH // ST_1.49 //
   anyadīyā dvidhā proktā $ kanyoḍhā ceti te priye &	anyadIyA dviDA proktA $ kanyA-UXA ca-iti te priye &
   darśanāc chravaṇād vāpi % kāmārte bhavato yathā // ST_1.50 //	darSanAt SravaNAt vA-api % kAma-Arte BavataH yaTA // ST_1.50 //
   kim api lalitaiḥ snigdhaiḥ kiñcit kim apy atikuñcitaiḥ $ kim api valitaiḥ	kim api lalitEH snigDEH kiQcid kim api ati-kuQcitEH $ kim api valitEH
   kandarpeṣūn hasadbhir ivekṣaṇaiḥ &	kandarpa-izUn hasadBiH iva-IkzaNEH &
   abhimata-mukhaṃ vīkṣāṃ cakre navāṅganayā tathā % lalita-kuśalo'py ālīloko	aBimata-muKam vIkzAm cakre nava-aFganayA taTA % lalita-kuSalaH-api AlIlokaH-
   yathātivisismaye // ST_1.50a //	yaTA-ati-visismaye // ST_1.50aH //
   niśamayya bahir manoharaṃ svaram aikṣiṣṭa tathāparā yā &	niSamayya bahis manoharam svaram Ekzizwa taTA-aparA yA &
   tila-mātrakam apy abhūn nahi śraveṇendīvara-locanānantaram // ST_1.50b //@	tila--mAtrakam api aBUt na-hi SraveNa-indIvara--locana-anantaram // ST_1.50B //@
   kasyāścit subhaga iti śrutaś ciraṃ yas taṃ $ dṛṣṭvādhigata-rater	kasyAScid suBagaH iti SrutaH ciram yaH tam $ dRzwvA-aDigata--rateH-
   nirmīlitākṣyāḥ &	nirmIlita-akzyAH &
   nispandaṃ vapur avalokya sauvidallāḥ % santepur vidhuradhiyo	nispandam vapuH avalokya sOvidallAH % santepuH viDura-Diyo
   niśānta-vadhvāḥ // ST_1.50c //	niSAnta--vaDvAH // ST_1.50t //
   kārśya-jāgara-tāpānyaḥ $ karoti śruto'py alam &	kArSya--jAgara--tApa-anyaH $ karoti SrutaH-api alam &
   tam eva durlabhaṃ kāntaṃ % cetaḥ kasmād didṛkṣase // ST_1.50d //	tam eva durlaBam kAntam % cetaH kasmAt didRkzase // ST_1.50d //
   sākṣāc citre tathā svapne $ tasya syād darśanaṃ tridhā &	sAkzAt citre taTA svapne $ tasya syAt darSanam triDA &
   deśe kāle ca bhaṅgyā ca % śravaṇaṃ cāsya tad yathā // ST_1.51 //	deSe kAle ca BaFgyA ca % SravaNam ca-asya tat yaTA // ST_1.51 //
   satyaṃ santi gṛhe gṛhe priyatamā yeṣāṃ bhujāliṅgana- $	satyam santi gRhe gRhe priyatamAH yezAm Buja-AliFgana $
   vyāpārocchalad-accha-mohana-jalā jāyanta eṇīdṛśaḥ &	vyApAra-ucCalat--acCa--mohana--jalAH jAyante eNi-IdRSaH &
   preyān ko'py aparo'yam atra sukṛtī dṛṣṭe'pi yasmin vapuḥ %	preyAn kaH-api aparaH-ayam atra sukRtI dRzwe-api yasmin vapuH %
   svedojjṛmbhaṇa-kampa-sādhvasa-mukhaiḥ prāpnoti kāñcid dṛśām // ST_1.51a //	sveda-ujjRmBaNa--kampa--sADvasa-muKEH prApnoti kAQcid dRSAm // ST_1.51aH //
   citraṃ citra-gato'py eṣa $ mamāli madanopamaḥ &	citram citra--gataH-api ezaH $ mama-ali madana-upamaH &
   samunmūlya balāl lajjām % utkaṇṭhayati mānasam // ST_1.51b // (Skm 944)	samunmUlya balAt lajjAm % utkaNWayati mAnasam // ST_1.51B // (Skm 944)
   mugdhā svapna-samāgate priyatame tat-pāṇi-saṃsparśanā- $ dromāñcārcitayā	mugDA svapna--samAgate priyatame tat-pANi--saMsparSanA $ dromAQca-arcitayA
   śarīra-latayā saṃsūcya kopāt kila &	SarIra--latayA saMsUcya kopAt kila &
   mā māṃ vallabha saṃspṛśeti sahasā śūnyaṃ vadantī muhuḥ % sakhyā no hasitā	mA mAm vallaBa saMspRSa-iti sahasA SUnyam vadantI muhur % saKyA naH hasitA
   sacintam asakṛt saṃśocitā pratyuta // ST_1.51c //	sa-cintam asakRt saMSocitA pratyuta // ST_1.51t //
   sphāra-sphurat-pradīpaṃ saudhaṃ $ madhu sotpalaṃ kalaṃ gītam &	sPAra--sPurat--pradIpam sODam $ maDu sa-utpalam kalam gItam &
   priya-sakhi sakalam idaṃ tava % saphalaṃ khalu yadi bhavet so'tra //	priya--saKi sakalam idam tava % saPalam Kalu yadi Bavet saH-atra //
   ST_1.51d //	ST_1.51d //
   vikasati kairava-nikare sarati ca sarasī-samīraṇo sutanu &	vikasati kEH-ava--nikare sarati ca sarasI--samIraNaH su-tanu &
   cambaty ambaram indau tava tena vinā ratiḥ kīdṛk // ST_1.51e //@	cambati ambaram indO tava tena vinA ratiH kIdRS // ST_1.51e //@
   ajananir astu dṛśos tava kucayor abhava-niralaṃ bhavatu &	ajananiH astu dRSoH tava kucayoH aBava--niralam Bavatu &
   yadi dṛśyate na sa yuvā nirbharam āliṅgyate no vā // ST_1.51f //@	yadi dRSyate na sa yuvA nirBaram AliFgyate naH vA // ST_1.51f //@
   draṣṭuṃ vaktuṃ ca no kanyā $ raktā śaknoty amuṃ sphuṭam &	drazwum vaktum ca no kanyA $ raktA Saknoti amum sPuwam &
   paśyantam abhijalpantaṃ % vivikte'pi hriyā yathā // ST_1.52 //	paSyantam aBijalpantam % vivikte-api hriyAH yaTA // ST_1.52 //
   kāmaṃ na paśyati didṛkṣata eva bhūmnā $ noktāpi jalpati vivakṣati cādareṇa	kAmam na paSyati didRkzate eva BUmnA $ na-uktA-api jalpati vivakzati ca-AdareNa
   lajjā-smara-vyatikareṇa mano'dhināthe % bālā rasāntaram idaṃ lalitaṃ	lajjA--smara--vyatikareNa manaH-aDinATe % bAlA rasa-antaram idam lalitam
   bibharti // ST_1.52a //	biBarti // ST_1.52aH //
   vijñāta-nāyikā-cittā $ sakhī vadati nāyakam &	vijQAta-nAyikA--cittA $ saKI vadati nAyakam &
   nāyako vā sakhīṃ tasyāḥ % premābhivyaktaye yathā // ST_1.53 //	nAyakaH vA saKIm tasyAH % prema-aBivyaktaye yaTA // ST_1.53 //
   kaṇṭakita-tanu-śarīrā lajjā-mukulāyamāna-nayaneyam &	kaNwakita-tanu--SarIrAH lajjA--mukulAyamAna-nayanA-iyam &
   tava kumudinīva vāñchati nṛ-candra bālā kara-spṛśam // ST_1.53a //@	tava kumudinI-iva vAQCati nR-candra bAlA kara--spRSam // ST_1.53aH //@
   santāpayanti śiśirāṃśu-ruco yad ete $ saṃmohayanti ca vinidra-saroja-vātāḥ	santApayanti SiSirAMSu-rucaH yat ete $ saMmohayanti ca vinidra--saroja--vAtAH
   yat khidyate tanur iyaṃ ca tad eṣa doṣaḥ % sakhyās tavaiva sutanu	yat Kidyate tanuH iyam ca tat eza dozaH % saKyAH tava-eva su-tanu
   pracura-trapāyāḥ // ST_1.53b //	pracura-trapAyAH // ST_1.53B //
   apaśyantaṃ ca sā kāntaṃ $ sphāritākṣī nirīkṣyate &	apaSyantam ca sA kAntam $ sPArita-akzI nirIkzyate &
   dūrād ālokayaty eva % sakhīṃ svajani nirbharam // ST_1.54 //	dUrAt Alokayati eva % saKIm sva-jani nirBaram // ST_1.54 //
   nirnimittaṃ hasantī ca $ sakhīṃ vadati kiṃcana &	nirnimittam hasantI ca $ saKIm vadati kiMcana &
   savyājaṃ sundaraṃ kiñcid % gātram āviṣkaroti ca // ST_1.55 //	sa-vyAjam sundaram kiQcid % gAtram Avizkaroti ca // ST_1.55 //
   sakhyādi sthāpitāṃ mālāṃ $ kāñcyādi racayet punaḥ &	saKi-Adi sTApitAm mAlAm $ kAQcI-Adi racayet punar &
   ceṣṭāṃ ca kurute ramyām % aṅga-bhaṅgaiḥ śubhair yathā // ST_1.56 //	cezwAm ca kurute ramyAm % aFga-BaFgEH SuBEH yaTA // ST_1.56 //
   abhimukha-gate yasminn eva priye bahuśo vada- $ tyavanata-mukhaṃ tūṣṇīm	aBimuKa--gate yasmin eva priye bahuSas vada $ tyavanata-muKam tUzNIm
   eva sthitaṃ mṛga-netrayā &	eva sTitam mRga-netrayA &
   atha kila valal-līlālokaṃ sa eṣa tathekṣitaḥ % katham api yathā dṛṣṭā	aTa kila valal--lIlA-lokam saH eza taTA-IkzitaH % kaTam api yaTA dRzwA
   manye kṛtaṃ śruti-laṅghanam // ST_1.56a // (Skm 957)	manye kRtam Sruti-laFGanam // ST_1.56aH // (Skm 957)
   tiryag-vartita-gātra-yaṣṭi-viṣamodvṛtta-stanāsphālana- $	tiryak--varti-ta--gAtra-yazwi-vizama-udvRtta--stana-AsPAlana $
   truṭyan-mauktika-mālayā sa-pulaka-svedollasad-gaṇḍayā &	truwi-an-mOkti-ka-mAlayA sa-pulaka-sveda-ullasat--gaNxayA &
   dūrād eva vilokayety abhimate tad vaktra-dattekṣaṇaṃ % durvāra-smarayā	dUrAt eva vilokaya-iti aBimate tat vaktra-datta-IkzaNam % durvAra-smarayA
   tayā sahacarī gāḍhaṃ samāliṅgitā // ST_1.56b // (Skm 956)	tayA sahacarI gAXam samAliFgitAH // ST_1.56B // (Skm 956)
   animittaṃ yad vihasati niṣkāraṇam eva yat sakhīṃ vadati &	animittam yat vihasati nizkAraNam eva yat saKIm vadati &
   dayitaṃ vilokya tad iyaṃ śaṃsati tad adhīnam ātmānam // ST_1.56c //@	dayitam vilokya tat iyam SaMsati tat aDInam AtmAnam // ST_1.56t //@
   prāduṣyad-ruja-mūla-kānti-lalitām udyamya dor-vallarīṃ $	prAduzya-d-ru-ja--mUla--kAnti--lalitAm udyamya dor-vallarIm $
   valgat-pīna-payodhara-sthala-lulan-muktāvalī-sundaram &	valgat--pIna--payoDara--sTala-lulan-muktA-AvalI--sundaram &
   aṅgulyā pracalat-karāgra-valaya-svānopahūta-smaraṃ % tanvyāḥ	aFgulyA pracalat--kara-agra--valaya--svAna-upahUta-smaram % tanvyAH
   kuñcita-locanaṃ vijayate tat-karṇa-kaṇḍūyanam // ST_1.56d //	kuQcita--locanam vijayate tat-karNa--kaNxUyanam // ST_1.56d //
   sraho'vataṃsaṃ raśanāṃ ca kiñci $ priyaṃ samālokya samāsajantī &	srahaH-avataMsam raSanAm ca kiQci $ priyam samAlokya samAsajantI &
   punastarāṃ sā suhṛdo dadāti % pratyaṅgam āvāsam iva smarasya // ST_1.57 //	punastarAm sA suhRdaH dadAti % pratyaFgam AvAsam iva smarasya // ST_1.57 //
   vyājṛmbhaṇonnamita-danta-mayūkha-jāla- $ vyālambi-mauktika-guṇaṃ ramaṇe	vyAjRmBaNa-unnam-ita-danta--mayUKa--jAla $ vyAlambi-mOktika-guNam ramaNe
   mudeva &	mudA-iva &
   ūrdhvaṃ milad-bhuja-latā-valaya-prapañca- % sat-toraṇaṃ hṛdi viśaty aparā	UrDvam milat--Buja--latA-a-valaya--prapaQca % sat--toraNam hRdi viSati aparA
   vyudāse // ST_1.57a // (Skm 958)	vyudAse // ST_1.57aH // (Skm 958)
   anyoḍhāpi karoty eva $ sarvam uddhata-manmathā &	anyoXA-api karoti eva $ sarvam udData--manmaTAH &
   duravasthā punaḥ kāntam % abhiyuṅkte svayaṃ yathā // ST_1.58 //	duravasTA punar kAntam % aBiyuFkte svayam yaTA // ST_1.58 //
   ullaṅghyāḸ sakhī-vacaḥ samucitām utsṛjya lajjām alaṃ $ hitvā bhītibharaṃ	ullaFGyAḸ saKI--vacaH samucitAm utsRjya lajjAm alam $ hitvA BIti-Baram
   nirasya ca nijaṃ saubhāgya-garvaṃ manāk &	nirasya ca nijam sOBAgya--garvam manAk &
   ājñāṃ kevalam eva manmatha-guror ādāya nūnaṃ mayā % tvaṃ	AjQAm kevalam eva manmaTa-guroH AdAya nUnam mayA % tvam
   niḥśeṣa-vilāsi-varga-gaṇanā-cūḍāmaṇe saṃśritaḥ // ST_1.a //	niHSeza--vilAsi--varga--gaNanA--cUxAmaNe saMSritaH // ST_1.aH //
   cakṣur mīlati sānandaṃ $ nitambaḥ prasravaty api &	cakzuH mIlati sa-Anandam $ nitambaH prasravati api &
   vepate ca tanus tanvī % tasyās tad-darśane yathā // ST_1.59 //	vepate ca tanuH tanvI % tasyAH tad--darSane yaTA // ST_1.59 //
   mīlan manthara-cakṣuṣā paripatat kāñcī-graha-vyagrayā $	mIlan manTara-cakzuzA paripatat kAQcI--graha--vyagrayA $
   gāḍānanṅga-bhara-sravatravanayā kampoparuddhāṅgayā &	gAxa-an-anFga-Bara--sravatravanayA kampa-uparudDa-aFgayA &
   sarvāṅgaṃ caṭukārako'py abalayā saṅketake kautukā- % dāstāṃ rantum aho	sarva-aFgam cawu-kArakaH-api abalayA saFketake kOtukA % dAstAm rantum aho
   nirīkṣitum api preyān na sambhāvitaḥ // ST_1.59a //	nirIkzitum api preyAt na samBAvitaH // ST_1.59aH //
   nābhiyuṅkte svayaṃ kantyā $ mugdhatvād duḥsthitāpi tam &	na-aBiyuFkte svayam kantyA $ mugDa-tvAt duHsTitA-api tam &
   tad-avasthāṃ tu kāntāya % tat-sakhī kathayed yathā // ST_1.60 //	tad--avasTAm tu kAntAya % tat-saKI kaTayet yaTA // ST_1.60 //
   niḥśvāseṣu skhalati kadalī-bījanaṃ tāpa-sampa- $ nnetrāmbhobhiś cham iti	niHSvAsezu sKalati kadalI--bIjanam tApa--sampa $ nnetra-amBoBiH Cam iti
   patitaiḥ sicyate ca stanāntaḥ &	patitEH sicyate ca stanAntaH &
   tasyāḥ kiñcit subhaga tad abhūt tānavaṃ tvad-viyoge % yenākasmād	tasyAH kiQcid suBaga tat aBUt tAnavam tvad--viyoge % yena-akasmAt-
   valaya-padavīm aṅgulīyaṃ prayāti // ST_1.60a //	valaya--padavIm aFgulIyam prayAti // ST_1.60aH //
   ananya-śaraṇā svīyā $ dhanāhāryā parāṅganā &	ananya-SaraNA svIyA $ Dana-AhAryA para-aFganAH &
   asyās tu kevalaṃ prema % tenaiṣā rāgiṇāṃ matā // ST_1.61 //	asyAH tu kevalam prema % tena-ezA rAgiNAm matA // ST_1.61 //
   sāmānyā vanitā veśyā $ sā dravyaṃ param icchati &	sAmAnyA vanitA veSyA $ sA dravyam param icCati &
   nirguṇe'pi na vidveṣo % na rāgo'syā guṇiny api // ST_1.62 //	nirguNe-api na vidvezaH % na rAgaH-asyAH guNini api // ST_1.62 //
   tat-svarūpam idaṃ proktaṃ $ kaiścid brūmo vayaṃ punaḥ &	tat--svarUpam idam proktam $ kEScid brUmaH vayam punar &
   varṇayanty anayā yuktyā % tāsām apy anurāgitām // ST_1.63 //	varNayantI anayA yuktyA % tAsAm api anurAgitAm // ST_1.63 //
   śṛṅgārābhāsa etāsu $ na śṛṅgāraḥ kadācana &	SRFgAra-ABAsaH etAsu $ na SRFgAraH kadAcana &
   tad-vyāpāro'thavā tāsāṃ % smaraḥ kiṃ bhakṣito bakaiḥ // ST_1.64 //	tat--vyApAraH-aTavA tAsAm % smaraH kim BakzitaH bakEH // ST_1.64 //
   tasmāt tāsām api kvāpi $ rāgaḥ syāt kiṃ nu sarvathā &	tasmAt tAsAm api kvApi $ rAgaH syAt kim nu sarvaTA &
   dhanārthaṃ kṛtrimair bhāvair % grāmyaṃ vyāmohayanti tāḥ // ST_1.65 //	Dana-arTam kRtrimEH BAvEH % grAmyam vyAmohayanti tAH // ST_1.65 //
   liṅgī pracchanna-kāmaś ca $ naraṃmanyaś ca ṣaṇḍakaḥ &	liFgI pracCanna--kAmaH ca $ naraMmanyaH ca zaNxakaH &
   sukha-prāpta-dhano mūrkhaḥ % pitṛ-vittena garvitaḥ // ST_1.66 //	suKa--prApta-DanaH mUrKaH % pitR-vittena garvitaH // ST_1.66 //
   ity ādīn prathamaṃ grāmyān $ jñātvākṛṣya ca tad-dhanam &	iti AdIn praTamam grAmyAn $ jQAtvA-AkRzya ca tad--Danam &
   apūrvā iva muñcanti % tān etās tāpayanti ca // ST_1.67 //	apUrvAH iva muQcanti % tAn etAH tApayanti ca // ST_1.67 //
   kintu tāsāṃ kalākeli- $ kuśalānāṃ manoramam &	kintu tAsAm kalA-keli $ kuSalAnAm manoramam &
   vismāritāpara-strīkaṃ % surataṃ jāyate yathā // ST_1.68 //	vismArita-apara--strIkam % suratam jAyate yaTA // ST_1.68 //
   gāḍhāliṅgana-pīḍita-stana-taṭaṃ svidyat-kapola-sthalaṃ $	gAXa-AliFgana--pIxita--stana--tawam svid-yat--kapola--sTalam $
   sandaṣṭādhara-mukta-sītkṛtam atibhrāmyad-bhru-nṛtyat-karam &	sandazwADara--mukta-sItkRtam ati-BrAmyat--Bru--nRtyat--karam &
   cāṭu-prāya-vaco-vicitra-bhaṇitair yātai rutaiś cāṅkitaṃ % veśyānāṃ	cAwu--prAya--vaco-vicitra--BaNitEH yAtEH rutEH ca-aFkitam % veSyAnAm
