   Bhikṣukarmavākya	Bhikzu karma vAkya
   pāñcadaśikaṃ vā naityikaṃ vā nimantraṇakaṃ vā otpātikaṃ vā iti utpiṇḍaṃ vā	pAQcadaSikam vA nEtyikam vA nimantraNakam vA otpAtikam vA iti utpiNxam vA
   iti yadvā punaranyadapi kalpikaṃ piṇḍapātaṃ saṃghādvā utpadyate pudgalato	iti yat vA punar anyat api kalpikam piNxapAtam saMGAt vA utpadyate pudgalato
   vā tatrāpi te pratigrahe mātrā karaṇīyā / kaścidevaṃrūpaṃ sthānaṃ	vA tatra api te pratigrahe mAtrA karaNIyA / kaScid evaMrUpam sTAnam
   abhisaṃbhotsye / abhisaṃbhotsye /	aBisaMBotsye / aBisaMBotsye /
   śṛṇu tvamevaṃnāman vṛkṣamūlaṃ śayanāsanānāṃ kalpikaṃ vā sulabhaṃ ca	SRNu tvam evaMnAman vRkza mUlam Sayana AsanAnAm kalpikam vA sulaBam ca
   yanniḥśritya bhikṣoḥ svākhyāte dharmavinaye pravrajyopasaṃpadbhikṣubhāvaḥ	yat niHSritya BikzoH su AKyAte Darma vinaye pravrajya upasaMpad Bikzu BAvaH
   / utsahase tvamevaṃnāman yāvajjīvaṃ vṛkṣamūlena śayanāsanena yāpayitum /	/ utsahase tvam evaMnAman yAvajjIvam vRkza mUlena Sayana Asanena yApayitum /
   utsahe / atirekalāmaḥ layanāni vā māṭā vā kūṭāgārāṇi vā harmyakā vā	utsahe / atireka lAmaH layanAni vA mAwA vA kUwAgArANi vA harmyakAH vA
   harmantikā vā āmalakapṛṣṭikā vā daṇḍañchadanāni vā phalakañchadanāni vā	harmantikA vA Amalaka pRzwikAH vA daNxan CadanAni vA Pala kaQCadanAni vA
   giriguhā vā prāgmāraguhā vā tṛṇakuṭikā vā parṇakuṭikā vā kṛtacaṃkramā vā	giri guhA vA prAc mAra guhA vA tRNa kuwikA vA parNa kuwikA vA kRta caMkramA vA
   akṛtacaṃkramā vā iti yadvā punaranyadapi kalpikaṃ śayanāsanaṃ saṃghādvā	akRta caMkramAH vA iti yat vA punar anyat api kalpikam Sayana Asanam saMGAt vA
   utpadyeta pudgalato vā tatrāpi te pratigrahe mātrā karaṇīyā /	utpadyeta pudgalataH vA tatra api te pratigrahe mAtrA karaNIyAH /
   kaṃcidevaṃrūpaṃ sthānaṃ abhisaṃbhotsyase / abhisaṃbhotsye / śṛṇu	kaMcid evaMrUpam sTAnam aBisaMBotsyase / aBisaMBotsye / SRNu
   tvamevaṃnāman pūtimutrabhaiṣajyānāṃ kalpikaṃ ca sulabhaṃ ca yanniḥśritya	tvam evaMnAman pUtimutra BEzajyAnAm kalpikam ca sulaBam ca yat niHSritya
   bhikṣoḥ svākhyāte dharmavinaye pravrajyopasaṃpadbhikṣubhāvaḥ / utsahase	BikzoH su AKyAte Darma vinaye pravrajya upasaMpad Bikzu BAvaH / utsahase
   tvamevaṃnāmā yāvajjīvaṃ pūtimutrena bhaiṣyajyena yāpayitum / utsahe /	tvam evaMnAmA yAvajjIvam pUtimutrena BEzyajyena yApayitum / utsahe /
   atirekalābhaḥ sarpistailaṃ madhu phāṇitaṃ kālikaṃ yāmikaṃ sāptāhikaṃ	atireka lABaH sarpiH tElam maDu PANitam kAlikam yAmikam sAptAhikam
   yāvajjīvikaṃ mūlabhaiṣyajyaṃ gaṇḍabhaiṣajyaṃ patrabhaiṣajyaṃ	yAvat jIvikam mUlaBEzya jyam gaNxa BEzajyam patra BEzajyam
   puṣpabhaiṣajyaṃ phalabhaiṣyajyamiti yadvā punaranyadapi kalpikaṃ	puzpaBEzajyam Pala BEzya jyam iti yat vA punar anyat api kalpikam
   bhaiṣajyaṃ saṃghādvā utpadyeta pudgalato vā tatrāpi te pratigrahe mātrā	BEzajyam saMGAt vA utpadyeta pudgalataH vA tatra api te pratigrahe mAtrA
   karaṇīyā / kaścidevaṃrūṣaṃ sthānamabhisaṃbhotsyase / abhisaṃbhotsye /	karaNIyA / kaScid evaMrUzam sTAnam aBisaMBotsyase / aBisaMBotsye /
   śṛṇu tvamevaṃnāmaṃścatāra ime tena bhagavatā jānatā paśyatā	SRNu tvam evaMnAman= catAraH ime tena BagavatA jAnatA paSyatA
   tathāgatenārhatā samyak saṃbuddhena evaṃ pravrajitopasaṃpannasya bhikṣoḥ	taTAgatena arhatA samyak saMbudDena evam pravrajita upasaMpannasya BikzoH
   patanīyā dharmā ākhyātāḥ yānadhyāpadyamāno bhikṣuḥ sahādhyāpattyā	patanIyAH DarmAH AKyAtAH yAn aDyApadyamAnaH BikzuH saha aDyApattyA
   abhikṣurbhavatyaśramaṇaḥ aśākyaputrīyaḥ dhvasyate bhikṣubhāvāt	aBikzuH Bavati aSramaNaH aSAkya putrIyaH Dvasyate Bikzu BAvAt
   hataśrāmaṇyam dhvastaṃ mathitaṃ patitaṃ parājitapratyudvāryamasya bhavati	hata SrAmaNyam Dvastam maTitam patitam parAjita pratyudvAryam asya Bavati
   śrāmaṇyam / [tadyathā tālo mastakāchinnaḥ abhavyo haritatvāya abhavyo	SrAmaNyam / [tat yaTA tAlaH mastakA CinnaH aBavyaH harita tvAya aBavyaH 
   virūṭiṃ buiddhiṃ viphalatāmāpattum /] katame catvāraḥ / anekaparyāyeṇa	virUwim buidDim viPala tAm Apattum /] katame catvAraH / aneka paryAyeNa
   kāmā vigarhitāḥ kāmātmayāḥ kāmaniyantikāḥ sādhyavaśakāmānāṃ prahāṇaṃ	kAmAH vigarhitAH kAma AtmayAH kAma niyantikAH sADya vaSa kAmAnAm prahANam
   varṇitaṃ pratinisargāntībhāvaḥ kṣayo virāgo nirodhaḥ vyupaśamo āsamantataḥ	varNitam pratinisarga antIBAvaH kzayaH virAgaH niroDaH vyupaSamaH AsamantataH
   stomito varṇitaḥ praśastaḥ / adyāgreṇa te āyuṣman saraktacittena	stomitaH varNitaH praSastaH / adya agreNa te Ayuzman sa rakta cittena
   mātṛgrāmaścakṣurupanidhāya na vyavalokayitavyaḥ / kaḥ punarvādī	mAtR grAmaH cakzuH upaniDAya na vyavalokayitavyaH / kaH punarvAdI
   dvayadvayasamāpattyā abrahmacaryaṃ maithunaṃ dharmaṃ pratisevitum / uktaṃ	dvaya dvaya samApattyA abrahmacaryam mETunam Darmam pratisevitum / uktam
   caitadāyuṣman tena bhāgavatā jānatā paśyatā tathāgatenārhatā samyak	ca etat Ayuzman tena BAgavatA jAnatA paSyatA taTAgatena arhatA samyak 
   saṃbuddhena / yaḥ punarbhikṣubhiḥ sārdhaṃ śikṣāsāmīcīṃ samāpannaḥ	saMbudDena / yaH punar BikzuBiH sArDam SikzA sAmIcIm samApannaH
   śikṣāmapratyākhyāya śikṣādaurvalyamanāviṣkṛtyābrahmacaryaṃ maithunaṃ	SikzAm apratyAKyAya SikzA dOrvalyamanAvizkRtya abrahmacaryam mETunam
   dharmaṃ pratisevate antatastiryagyonigatayāpi sārdhaṃ evaṃrūpaṃ	Darmam pratisevate antatas tiryagyoni gatayA api sArDam evaMrUpam
   sthānamadhyāpadya sahādhyāpattyā abhikṣurbhavatyaśramaṇaḥ aśākyaputrīyaḥ	sTAnam aDyApadya saha aDyApattyA aBikzurBavati aSramaNaH aSAkya putrIyaH
   dhvasyate bhikṣubhāvāt hataśrāmaṇyaṃ dhvastaṃ mathitaṃ patitaṃ	Dvasyate Bikzu BAvAt hata SrAmaNyam Dvastam maTitam patitam
   parājitamapratyudvāryamasya bhavati śrāmaṇyam / tadyathā tālo	parAjitam apratyudvAryam asya Bavati SrAmaNyam / tat yaTA tAlaH 
   mastakāchinnaḥ abhavyo viruḍhiṃ vṛddhiṃ vipulatāmapattum / atra te	mastakA CinnaH aBavyaH viruXim vRdDim vipula tAm apattum / atra te
   adyāgreṇa avadyācāreṇa adhyāpattyāvadyācāravairamaṇyā tīvracatesā	adya agreNa avadya AcAreNa aDyApattyA avadya AcAra vEramaNyA tIvra catesA
   ārakṣasmṛtyā pramāde yogaḥ karaṇīyaḥ / kaścidevaṃrūpasthānaṃ	ArakzasmRtyA pramAde yogaH karaNIyaH / kaScid evaMrUpa sTAnam
   nādhyāpastyase / nādhyāpatsye /	na aDyApastyase / na aDyApatsye /
   śṛṇu tvamāyuṣman anekaparyāyeṇa bhagavatā adattādānaṃ pratiṣiddhaṃ	SRNu tvam Ayuzman aneka paryAyeNa BagavatA adatta AdAnam pratizidDam
   vigarhitaṃ adattādānavirati stutā stomitā varṇitā praśastā / adyāgreṇa te	vigarhitam adatta AdAna virati stutA stomitAH varNitA praSastA / adya agreNa te
   āyuṣman steyacittena tilatuṣamapi parakyamadattamādātavyaṃ kaḥ punarvādaḥ	Ayuzman steya cittena tila tuzam api parakyam adattam AdAtavyam kaH punar vAdaH
   pañcamāṣikaṃ vā uttarapañcamāṣikaṃ vā / uktametadāyuṣmaṃstena bhagavatā	paQcamAzikam vA uttarapaQcamAzikam vA / uktam etat Ayuzman= tena BagavatA
   jānatā paśyatā tathāgatenārhatā samyaksaṃbuddhena / yaḥ	jAnatA paSyatA taTAgatena arhatA samyaksaMbudDena / yaH
   punarbhikṣurgrāmagatamaraṇyagataṃ vā pareṣāṃ adattaṃ	punar BikzuH grAma gatam araNya gatam vA parezAm adattam
   steyasaṃkhyātamādadīta yadrūpeṇādattādānena rājā vainaṃ gṛhītvā rājamātro	steya saMKyAtam AdadIta yat rUpeNa Adatta AdAnena rAjA vA enam gRhItvA rAjamAtraH 
   vā hanyādvā saṃvadhrīyādvā pravāsayedvā evaṃ cainaṃ vadet  tvaṃ bhoḥ	vA hanyAt vA saMvaDrIyAt vA pravAsayet vA evam ca enam vadet tvam BoH
   puiruṣa cauro 'si bālo 'si muḍho 'si steno 'sī tyevaṃrūpaṃ	puiruza cOraH asi bAlaH asi muXaH asi stenaH asI ti evaMrUpam
   sthānamadhyāpadya sahādhyāpattyā abhikṣurbhavati [aśramaṇaḥ aśākyaputrīyaḥ	sTAnam aDyApadya saha aDyApattyA aBikzuH Bavati [a SramaNaH aSAkya putrIyaH
   dhvasyate bhikṣubhāvāt itaśrāmaṇyaṃ dhvastaṃ mathitaṃ patitaṃ	Dvasyate Bikzu BAvAt ita SrAmaNyam Dvastam maTitam patitam
   parājitamapramyudvāryamasya bhavati śrāmaṇyaṃ /] tadyathā tālo	parAjitam apramyudvAryam asya Bavati SrAmaNyam /] tat yaTA tAlaH 
   mastakāchinnaḥ [abhavyo haritatvāya abhavyo viruḍhiṃ vṛddhiṃ	mastakA CinnaH [aBavyaH harita tvAya aBavyaH viruXim vRdDim
   vipulatāmāpattum / atra te adhyāgreṇa avadyācāreṇa	vipula tAm Apattum / atra te aDya agreNa avadya AcAreNa
   adhyāpattyāvadyācāravairamaṇyāṃ tīvracetasā ārakṣāsmṛtyā pramāde yogaḥ	aDyApattyA avadya AcAra vEramaNyAm tIvra cetasA ArakzAsmRtyA pramAde yogaH
   karaṇīyaḥ / kiñcidevarūvaṃ sthānaṃ nādhyāpatsyase /] nādhyāpatsye / śṛṇu	karaNIyaH / kiQcid eva rUvam sTAnam na aDyApatsyase /] na aDyApatsye / SRNu
   tvamevaṃnāman anekaparyayeṇa bhagavatā prāṇātipāto vigarhitaḥ	tvam evaMnAman aneka paryayeNa BagavatA prANa atipAtaH vigarhitaH
   prāṇātipātaviratiḥ stutā stomitā vanditā praśasta / adyāgreṇa te āyuṣman	prANa atipAta viratiH stutA stomitAH vanditA praSastaH / adya agreNa te Ayuzman
   [saṃci]ntya kuntapipilako 'pi prāṇeṣu jīvitāt na vyaparopayitavyaḥ kaḥ	[saMci]ntya kunta pipilakaH api prANezu jIvitAt na vyaparopayitavyaH kaH
   punarvādo manuṣyavigrahaṃ vā /	punar vAdaH manuzya vigraham vA /
   uktaṃ caitadāyuṣmaṃstena bhagavatā jānatā paśyatā tathāgatenārhatā samyak	uktam ca etat Ayuzman= tena BagavatA jAnatA paSyatA taTAgatena arhatA samyak 
   saṃbuddhena / yaḥ punarbhikṣumanuṣyaṃ vā manuṣmavigrahaṃ vā svahastena	saMbudDena / yaH punar Bikzu manuzyam vA manuzma vigraham vA sva hastena
   saṃcintya jīvitād vyaparopayet śasraṃ vaināmāghārayet śastradhārakaṃ vāsya	saMcintya jIvitAt vyaparopayet Sasram vA enAm a AGArayet Sastra DArakam vA asya
   paryeṣet maraṇāya vainaṃ samādāpayeta maraṇavarṇaṃ vāsyānusaṃvarṇayet /	paryezet maraNAya vA enam samAdApayeta maraNa varNam vA asya anusaMvarNayet /
   evaṃ cainaṃ vadet  haṃbhoḥ puruṣa kiṃ tvayā pāpakenāśucinā durjīvitena	evam ca enam vadet haMBoH puruza kim tvayA pApakena aSucinA durjIvitena
   mṛtaṃ te bhoḥ puruṣa	mRtam te BoH puruza
   jīvitādvaramiticintānumataiścittasaṃkalpairanakeparyāyeṇa maraṇāya vainaṃ	jIvitAt vara miti cintA anumatEH citta saMkalpa EH anakeparyAyeNa maraNAya vA enam
   samādāpayet maraṇavarṇaṃ vāsya anusaṃvarṇayet sa ca tena kālaṃ	samAdApayet maraNa varNam vA asya anusaMvarNayet sa ca tena kAlam
   kuryādityevaṃrūpo bhikṣuḥ sthānamadhyāpadya sahādhyāpattyā abhikṣurbhavati	kuryAt iti evaMrUpaH BikzuH sTAnam aDyApadya saha aDyApattyA aBikzuH Bavati
   aśramaṇaḥ aśākyaputrīyaḥ [dhvasyate bhikṣumāvāt hataśrāmaṇyaṃ dhvastaṃ	aSramaNaH aSAkya putrIyaH [Dvasyate BikzumAvAt hata SrAmaNyam Dvastam
   mathitaṃ patitaṃ parājitamapratyudvāryamasya bhavati śrāmaṇyam / tadyathā	maTitam patitam parAjitam apratyudvAryam asya Bavati SrAmaNyam / tat yaTA
   tālo mastakāchinnaḥ abhavyo haritvāya abhavyo viruḍhiṃ vṛddhiṃ	tAlaH mastakA CinnaH aBavyaH hari tvAya aBavyaH viruXim vRdDim
   vipulatāmapattum / adya te adyāgreṇa avadyācāreṇa	vipula tAm apattum / adya te adya agreNa avadya AcAreNa
   adhyāpattyāvadyācāravairamaṇyāṃ tīvracetasā ārākṣasmṛtyā pramāde yogaḥ	aDyApattyA avadya AcAra vEramaNyAm tIvra cetasA ArAkza smRtyA pramAde yogaH
   karaṇīyaḥ kiñcidevarūpaṃ sthānaṃ nādhyāpatsyase / nādhyāpatsye /] śṛṇu	karaNIyaH kiQcid eva rUpam sTAnam na aDyApatsyase / na aDyApatsye /] SRNu
   tvamāyuṣman anekaparyāyeṇa bhagavatā mṛṣāvādo vigarhitaḥ mṛṣāvādaviratiḥ	tvam Ayuzman aneka paryAyeNa BagavatA mRzAvAdaH vigarhitaH mRzA vAda viratiH
   stutā stomitā vanditā praśastā /	stutA stomitA vanditA praSastA /
   adyāgreṇa te āyuṣman hāsyaprekṣaṇo 'pi saṃprajānamṛṣāvāk na bhāṣitavyā kaḥ	adya agreNa te Ayuzman hAsya prekzaNaH api saMprajAnam RzA vAc na BAzitavyA kaH
   punarvādo 'santamasaṃvidyamānamuttarasanuṣyadharmaṃ pralapitum / uktaṃ	punarvAdaH asantam asaMvidyamAnam uttara sanuzya Darmam pralapitum / uktam
   caitat āyuṣman tena bhagavatā jānatā paśyatā tathāgatenārhatā samyak	ca etat Ayuzman tena BagavatA jAnatA paSyatA taTAgatena arhatA samyak 
   saṃbuddhena / yaḥ punarbhikṣu[ranabhijānannaparijānanna]	saMbudDena / yaH punar Bikzu[ranaBijAn anna parijAnat na]
   santamasaṃvidyamānamuttaramanuṣyadharmamalamāryaviśeṣādhigamaṃ jñānaṃ vā	santam asaMvidyamAnam uttara manuzya Darma malam Arya viSeza aDigamam jQAnam vA
   darśanaṃ vā sparśavihāratāṃ vā pratijānīyādidaṃ jānāmīdaṃ paśyāmīti sa	darSanam vA sparSa vihAra tAm vA pratijAnIyAt idam jAnAmi idam paSyAmi iti sa
   pareṇa samayena samanuyujyamāno vā asamanuyujyamāno vā āpanno viśurddhiṃ	pareNa samayena samanuyujyamAnaH vA asamanuyujyamAnaH vA ApannaH viSurdDim
   prekṣyaivaṃ vadedajānannevāhamāyuṣmanato 'vīcaṃ jānāmīti paśyāmiti[riktam	prekzya evam vadet ajAnan= eva aham AyuzmanataH avIcam jAnAmi iti paSyAm iti[riktam
   tucchaṃ mṛṣāvyapalapanamanyatrābhimānāt ayamapi bhikṣuḥ pārājiko	tucCam mRzAvya palapanam anyatra aBimAnAt ayam api BikzuH pArAjikaH 
   bhavatyasaṃvāsyaḥ /] ki jānāsi / duḥkhaṃ jānāmi / samudayaṃ nirodhaṃ	Bavati asaMvAsyaH /] ki jAnAsi / duHKam jAnAmi / samudayam niroDam
   mārgaṃ jānāmi / kiṃ paśyasi / devān paśyāmi / nāgān yakṣān gandharvān	mArgam jAnAmi / kim paSyasi / devAn paSyAmi / nAgAn yakzAn ganDarvAn
   kinnarān mahoragān pretān piśācān kumbhāṇḍān kaṭaputanān [paśyāmi / devāḥ	kinnarAn mahA uragAn pretAn piSAcAn kumBANxAn kawa putanAn [paSyAmi / devAH
   api māṃ paśyanti / nāgāḥ yakṣāḥ gandharvāḥ kinnarāḥ mahoragāḥ pretāḥ	api mAm paSyanti / nAgAH yakzAH ganDarvAH kinnarAH mahA uragAH pretAH
   piśācāḥ kunbhāṇḍāḥ kaṭapūtanāḥ api māṃ paśyanti / devānāṃ śabdaṃ śṛṇomi /	piSAcAH kunBANxAH kawa pUtanAH api mAm paSyanti / devAnAm Sabdam SRNomi /
   nāgānāṃ yāvatkaṭapūtānāṃ śabdaṃ śṛṇomi / devāḥ api mama śabdam śṛṇvanti /	nAgAnAm yAvat kawa pUtAnAm Sabdam SRNomi / devAH api mama Sabdam SRNvanti /
   nāgāḥ yāvatkaṭapūtanāḥ api mama śabdaṃ śṛṇvanti / devānāṃ darśanāya	nAgAH yAvat kawa pUtanAH api mama Sabdam SRNvanti / devAnAm darSanAya
   ḍapasaṃkramāmi / nāgānāṃ yāvatkaṭapūtānāṃ darśanāya upasaṃkramāmi / devāḥ	xapa saMkramAmi / nAgAnAm yAvat kawa pUtAnAm darSanAya upasaMkramAmi / devAH
   api māṃ darśanāya upasaṃkrāmanti nāgāḥ yāvatkaṭapūtanāḥ api māṃ darśanāya	api mAm darSanAya upasaMkrAmanti nAgAH yAvat kawa pUtanAH api mAm darSanAya
   upasaṃkrāmanti / devaiḥ sārdhamālapāmi saṃlapāmi pratisaṃmode sātatyaṃ	upasaMkrAmanti / devEH sArDam AlapAmi saMlapAmi pratisaMmode sAtatyam
   samāpadye / nāgaiḥ yāvatkaṭapūtanaiḥ sārdhamālapāmi saṃlapāmi pratisaṃmode	samApadye / nAgEH yAvat kawa pUtanEH sArDam AlapAmi saMlapAmi pratisaMmode
   sātatyaṃ samāpadyae / devāḥ api mayā sārdhamālapanti saṃlapanti	sAtatyam samApadyae / devAH api mayA sArDam Alapanti saMlapanti
   pratisaṃbhodante sātatyaṃ samāpadyante / nāgā yāvatkaṭapūtanāḥ api mayā	pratisaMBA udante sAtatyam samApadyante / nAgAH yAvat kawa pUtanAH api mayA
   sārdhamālapanti saṃlapanti pratisaṃmodante sātatyaṃ samāpadyante / alabhye	sArDam Alapanti saMlapanti pratisaMmodante sAtatyam samApadyante / alaBye
   vasan anityasaṃjñayā labhyohamasmi ityātmānaṃ pratijānīte / anitye	vasan anitya saMjQayA laByoham asmi iti AtmAnam pratijAnIte / anitye
   duḥkhasaṃjñayā duḥkhe anātmasaṃjñayā āhāre pratikūlasaṃjñayā sarvaloke	duHKa saMjQayA duHKe anAtma saMjQayA AhAre pratikUla saMjQayA sarva loke
   anabhiratisaṃjñayā ālokasaṃjñayā praharaṇasaṃjñayā virāgasaṃjñayā	anaBirati saMjQayA Aloka saMjQayA praharaNa saMjQayA virAga saMjQayA
   nirodhasaṃjñayā maraṇasaṃjñayā / alamye vasan aśubhasaṃjñayā na	niroDa saMjQayA maraNa saMjQayA / alamye vasan aSuBa saMjQayA na
   śubhasaṃjñayā alammohamasmi ityātmānaṃ pratijānīte / vinīlakasaṃjñayā	SuBa saMjQayA alam moham asmi iti AtmAnam pratijAnIte / vinIlaka saMjQayA
   vipūyakasaṃjñayā vyātmākakasaṃjñayā vipadmakasaṃjñayā vikhāditasaṃjñayā	vipUyaka saMjQayA vyAtmAkaka saMjQayA vipadmaka saMjQayA viKAdita saMjQayA
   vilohitakasaṃjñayā vikṣiptakasaṃjñayā / asthisaṃjñayā	vilohitaka saMjQayA vikziptaka saMjQayA / asTi saMjQayA
   śūnyatāpratyavīkṣaṇasaṃjñayā laśyo 'hamasmi iti pratijānīte /	SUnyatA pratyavIkzaNa saMjQayA laSyaH aham asmi iti pratijAnIte /
   alamye vasan prayamasya dhyānasya dvitīvasya tṛtīyasya caturthasya	alamye vasan prayamasya DyAnasya dvitIvasya tRtIyasya caturTasya
   dhānayya maitryāḥ karuṇāyāḥ muditāyāḥ upekṣāyāḥ ākāśāntyāyatanasya	DAnayya mEtryAH karuNAyAH muditAyAH upekzAyAH AkASAntyAyatanasya
   vijñānānantyāyatanasya akiñcinyāyatanasya naivasaṃjñānāsaṃjñāyatanasya	vijQAna Ananti Ayatanasya akiQcinI Ayatanasya na eva saMjQAna asaMjQA Ayatanasya
   srotāpattiphalasya sakṛdāgāmiphalasya anāgāmiphalasya [arhattvaphalasya]	srotApatti Palasya sakRdAgAmi Palasya anAgAmi Palasya [arhat tva Palasya]
   ṛddhiviṣayasya divassa śrotasya cetaḥparyāyasya pūrvanivāsasya	RdDi vizayasya divassa Srotasya cetaH paryAyasya pUrva nivAsasya
   cayutyupahānasya anarhanneva samāno 'hamasmi aṣṭavimokṣadhyāyī ityātmānaṃ	cayuti upahAnasya anarhan= eva samAnaH aham asmi azwa vimokza DyAyI iti AtmAnam
   pratijānīte / anyatra pratimānāt ityevaṃrūpaṃ bhikṣuḥ sthānamavapadya	pratijAnIte / anyatra pratimAnAt iti evaMrUpam BikzuH sTAnam avapadya
   sahādhyāpattyā abhikṣurbhavati / aśramaṇaḥ aśākyaputrīyaḥ dhvasyate	saha aDyApattyA aBikzuH Bavati / aSramaNaH aSAkya putrIyaH Dvasyate
   bhikṣubhāvāt hatamasya bhavati śrāmaṇyaṃ dhvastaṃ mathitaṃ patitaṃ	Bikzu BAvAt hatam asya Bavati SrAmaNyam Dvastam maTitam patitam
   parājitaṃ apratyudvāryamasya bhavati śrāmaṇyam / tadyathā tālo	parAjitam apratyudvAryam asya Bavati SrAmaNyam / tat yaTA tAlaH 
   mastakācchinnaḥ abhavyo haritatvāya abhavyo virūḍhiṃ vṛddhiṃ vipulatāṃ	mastaka AcCinnaH aBavyaH harita tvAya aBavyaH virUXim vRdDim vipula tAm
   āpattum / atra me adyāgreṇa anadhyācāre anadhyāpattyā	Apattum / atra me adya agreNa anaDyAcAre anaDyApattyA
   anadhyācāravairamaṇyāṃ tīvracetasā ārakṣasmṛtyā pramāde yogaḥ karaṇīyaḥ /	anaDyAcAra vEramaNyAm tIvra cetasA ArakzasmRtyA pramAde yogaH karaNIyaH /
   kiñcidevaṃ sthānamadhyāpatsye / nādhyāpatsye / [ime khalu patanīyā dharmā	kiQcid evam sTAnam aDyApatsye / na aDyApatsye / [ime Kalu patanIyA DarmA
   ākhyātāḥ / ataḥ śramaṇakārakāḥ dharmā ākhyātavyāḥ /] śṛṇu tvamāyuṣman	AKyAtAH / atas SramaNa kArakAH DarmAH AKyAtavyAH /] SRNu tvam Ayuzman
   catvāraḥ ime tena bhagavatā jānatā paśyatā tathāgatenārhatā samyak	catvAraH ime tena BagavatA jAnatA paSyatA taTAgatena arhatA samyak 
   saṃbuddhena śramaṇakārakāḥ dharmāḥ ākhyātāḥ katame catvāraḥ / adyāgreṇa te	saMbudDena SramaNa kArakAH DarmAH AKyAtAH katame catvAraH / adya agreNa te
   āyuṣmatā 	AyuzmatA 
   ākruṣṭena na pratyākroṣṭavyam roṣitena na pratiroṣitavyam /	Akruzwena na pratyAkrozwavyam rozitena na pratirozitavyam /
   tāḍitena na pratitāḍitavyam bhaṇḍitena na pratibhaṇḍitavyam //	tAxitena na pratitAxitavyam BaNxitena na pratiBaNxitavyam //
   kiñcidevaṃrūpaṃ sthānaṃ adhyāpatsyase / na adhyāpatsye / śṛṇu tvamāyutman	kiQcid evaMrUpam sTAnam aDyApatsyase / na aDyApatsye / SRNu tvam Ayutman
   yaste abhūt pūīrvamāśākaḥ kaścidahaṃ labheyaṃ svākhyāte dharmavinaye	yaH te aBUt pUIH vamASAkaH kaScid aham laBeyam su AKyAte Darma vinaye
   pravrajyāmupasaṃpadaṃ bhikṣubhāvaṃ ca / satvametarhi pravrajitaṃ	pravrajyAm upasaMpadam Bikzu BAvam ca / satvam etarhi pravrajitam
   upasaṃpamnam pratirūpeṇa upādhyāyeṇa pratirūpābhyāmācāryābhyāṃ samagreṇa	upasaMpamnam pratirUpeNa upADyAyeNa pratirUpAByAm AcAryAByAm samagreNa
   saṃghena [jña]pticaturthena karmaṇā akopyena anāsthāpanarheṇa yatra	saMGena [jQa]pti caturTena karmaNA akopyena anAsTApanarheNa yatra
   varṣaśatopasaṃpannena bhikṣuṇā śikṣāyāṃ śikṣitavyaṃ tatra	varza Sata upasaMpannena BikzuNA SikzAyAm Sikzitavyam tatra
   tadahopasaṃpannena iti yatra samānaśīlatā samānaśikṣatā	tat ahA upasaMpannena iti yatra samAna SIla tA samAna Sikza tA
   samānaprātimokṣasūtroddeśatā sā adyāgreṇa ārāgayitavyā na virāgayitavyā /	samAna prAtimokza sUtra uddeSa tA sA adya agreNa ArAgayitavyA na virAgayitavyA /
   adyāgreṇa te upādhyāsyāntike pitṛsaṃjñā sthāpayitavyā upādhyāyenāpi	adya agreNa te upADyAsya antike pitR saMjQA sTApayitavyAH upADyAyena api
   tavānnike putrasaṃjñā upasthāpayitavyā adyāgreṇa te upādhyāyo yāvajjīvaṃ	tava annike putra saMjQA upasTApayitavyAH adya agreNa te upADyAyaH yAvat jIvam
   upasthāpayitavyaḥ / upādhyāyenāpi tvaṃ glānaḥ upasthāpayitavyaḥ āmaraṇāya	upasTApayitavyaH / upADyAyena api tvam glAnaH upasTApayitavyaH AmaraNAya
   vā vyutthānāya vā / adyāgreṇa te sagauraveṇa vihartavyam sapratiśeṇa	vA vyutTAnAya vA / adya agreNa te sa gOraveNa vihartavyam sa pratiSeNa
   sabhayavaśavarttinā sabrahmacāriṣu sthavireṣu madhyeṣu navakeṣu /	sa Baya vaSa varttinA sabrahmacArizu sTavirezu maDyezu navakezu /
   adyāgreṇa te uddeṣṭavyam paṭhitavyaṃ svādhyāyitavyaṃ skandhakauśalyaṃ	adya agreNa te uddezwavyam paWitavyam svADyAyitavyam skanDa kOSalyam
   dhātukauśalyaṃ karaṇīyaṃ āyatanakauśalyaṃ pratītyasamutpādakauśalaṃ	DAtu kOSalyam karaNIyam Ayatana kOSalyam pratItyasamutpAda kOSalam
   sthānāsthānakauśalaṃ dhūḥca tena nikṣeptavyā aprāptasya prāptaye	sTAna AsTAna kOSalam DUHca tena nikzeptavyAH aprAptasya prAptaye
   anadhigatasyādhigamāya asākṣātkṛtasya sākṣātkriyāyai imāni ca te mayā	anaDigatasya aDigamAya asAkzAtkRtasya sAkzAtkriyAyE imAni ca te mayA
   audārikaudārikāni śikṣāpadāni ākhyātāni anyāni vā tāni anvardhamāsaṃ	OdArika OdArikAni SikzA padAni AKyAtAni anyAni vA tAni anvarDamAsam
   prātimokṣasūtroddeśe uddiśyamāne śroṣyasi anyāni ca te ācāryopādhyāyābhyāṃ	prAtimokza sUtra uddeSe uddiSyamAne Srozyasi anyAni ca te AcArya upADyAyAByAm
