   agnir yatrābhimathyate SvetUp_2.6a	agniH yatra-aBimaTyate Svetu-up_2.6a
   pañcāvartāṃ pañcaduḥkhaughavegāṃ SvetUp_1.5c	paQca-AvartAm paQca-duHKa-oGa-vegAm Svetu-up_1.5c
   pañcāśadbhedāṃ pañcaparvām adhīmaḥ SvetUp_1.5d	paQcASat-BedAm paQca-parvAm aDImaH Svetu-up_1.5d
   patiṃ patīnāṃ paramaṃ parastād SvetUp_6.7c	patim patInAm paramam parastAt Svetu-up_6.7c
   paras trikālād akalo 'pi dṛṣṭaḥ SvetUp_6.5b	paraH tri-kAlAt akalaH api dRzwaH Svetu-up_6.5b
   parāsya śaktir vividhaiva śrūyate SvetUp_6.8c	parA-asya SaktiH viviDA-eva SrUyate SvetUp_6.8c
   paśyaty acakṣuḥ sa śṛṇoty akarṇaḥ SvetUp_3.19b	paSyati acakzuH sa SRNoti akarNaH Svetu-up_3.19b
   pācyāṃś ca sarvān pariṇāmayed yaḥ SvetUp_5.5b	pAcyAn ca sarvAn pariNAmayet yaH Svetu-up_5.5b
   purākalpe pracoditam SvetUp_6.22b	purAkalpe pracoditam Svetu-up_6.22b
   puruṣa evedaṃ sarvaṃ SvetUp_3.15a	puruzaH eva-idam sarvam SvetUp_3.15a
   pūrvo ha jātaḥ sa u garbhe antaḥ SvetUp_2.16b	pUrvaH ha jAtaH saH u garBe antar Svetu-up_2.16b
   pṛthag ātmānaṃ preritāraṃ ca matvā SvetUp_1.6c	pRTak AtmAnam preritAram ca matvA SvetUp_1.6c
   pṛthivyā adhy ābharat SvetUp_2.1d	pRTivyAH aDi ABarat SvetUp_2.1d
   pṛthivyāptejo'nilakhāni cintyam SvetUp_6.2d	pRTivI-Ap-tejaH-anila-KAni cintyam SvetUp_6.2d
   pṛthvyaptejo'nilakhe samutthite SvetUp_2.12a	pRTvI-ap-tejaH-anila-Ke samutTite SvetUp_2.12a
   prakāśante mahātmanaḥ prakāśante mahātmanaḥ SvetUp_6.23d	prakASante mahAtmanaH prakASante mahAtmanaH Svetu-up_6.23d
   prakāśayan bhrājate yad vānaḍvān SvetUp_5.4b	prakASayan BrAjate yat vA-anaxvAn Svetu-up_5.4b
   prajñā ca tasmāt prasṛtā purāṇī SvetUp_4.18d	prajQA ca tasmAt prasRtA purANI Svetu-up_4.18d
   praṇavaṃ cottarāraṇiṃ SvetUp_1.14b	praNavam ca-uttarAraNim Svetu-up_1.14b
   pratyaṅ janās tiṣṭhati sarvatomukhaḥ SvetUp_2.16d	pratyaF janAH tizWati sarvatomuKaH SvetUp_2.16d
   pratyaṅ janās tiṣṭhati saṃcukocāntakāle SvetUp_3.2c	pratyaF janAH tizWati saMcukoca-anta-kAle Svetu-up_3.2c
   pradhānakṣetrajñapatir guṇeśaḥ SvetUp_6.16c	praDAna-kzetrajQa-patiH guNeSaH Svetu-up_6.16c
   pradhānajaiḥ svabhāvataḥ SvetUp_6.10b	praDAna-jEH svaBAvataH Svetu-up_6.10b
   prāṇādhipaḥ saṃcarati svakarmabhiḥ SvetUp_5.7d	prANa-aDipaH saMcarati sva-karmaBiH SvetUp_5.7d
   prāṇān prapīḍyeha sa yuktaceṣṭaḥ SvetUp_2.9a	prANAn prapIxya-iha sa yukta-cezwaH SvetUp_2.9a
   prāptasya yogāgnimayaṃ śarīram SvetUp_2.12d	prAptasya yoga-agni-mayam SarIram SvetUp_2.12d
   provāca samyag ṛṣisaṅghajuṣṭam SvetUp_6.21d	provAca samyak Rzi-saFGa-juzwam Svetu-up_6.21d
   bahvīḥ prajāḥ sṛjamānāṃ sarūpāḥ SvetUp_4.5b	bahvIH prajAH sRjamAnAm sarUpAH Svetu-up_4.5b
   buddher guṇenātmaguṇena caiva SvetUp_5.8c	budDeH guNena-Atma-guNena ca-eva Svetu-up_5.8c
   bṛhaj jyotiḥ kariṣyataḥ SvetUp_2.3c	bRhat jyotiH karizyataH Svetu-up_2.3c
   brahmaṇy abhivyaktikarāṇi yoge SvetUp_2.11d	brahmaNi aBivyakti-karANi yoge Svetu-up_2.11d
   brahmavādino hi pravadanti nityam SvetUp_3.21d	brahma-vAdinaH hi pravadanti nityam SvetUp_3.21d
   brahma ha śvetāśvataro 'tha vidvān SvetUp_6.21b	brahma ha SvetASvataraH aTa vidvAn Svetu-up_6.21b
   brahmoḍupena pratareta vidvān SvetUp_2.8c	brahma-uxupena pratareta vidvAn Svetu-up_2.8c
   bhāgo jīvaḥ sa vijñeyaḥ SvetUp_5.9c	BAgaH jIvaH sa vijQeyaH Svetu-up_5.9c
   bhāvagrāhyam anīḍākhyaṃ SvetUp_5.14a	BAva-grAhyam anIxa-AKyam SvetUp_5.14a
   bhāvābhāvakaraṃ śivaṃ SvetUp_5.14b	BAva-aBAva-karam Sivam Svetu-up_5.14b
   bhāvāṃś ca sarvān viniyojayed yaḥ SvetUp_6.4b	BAvAn ca sarvAn viniyojayet yaH Svetu-up_6.4b
   bhīruḥ prapadyate SvetUp_4.21b	BIruH prapadyate Svetu-up_4.21b
   bhūtaṃ bhavyaṃ yac ca vedā vadanti SvetUp_4.9b	BUtam Bavyam yat ca vedAH vadanti Svetu-up_4.9b
   bhūtāni yoniḥ puruṣeti cintyam SvetUp_1.2b	BUtAni yoniH puruza-iti cintyam Svetu-up_1.2b
   bhūyaś cānte viśvamāyānivṛttiḥ SvetUp_1.10d	BUyas ca-ante viSva-mAyA-nivRttiH Svetu-up_1.10d
   bhūyaḥ sṛṣṭvā patayas tatheśaḥ SvetUp_5.3c	BUyas sRzwvA patayaH taTA-ISaH Svetu-up_5.3c
   bhoktā bhogyaṃ preritāraṃ ca matvā SvetUp_1.12c	BoktA Bogyam preritAram ca matvA SvetUp_1.12c
   mano'nukūle na tu cakṣupīḍane SvetUp_2.10c	manaH-anukUle na tu cakzu-pIxane Svetu-up_2.10c
   mahān prabhur vai puruṣaḥ SvetUp_3.12a	mahAn praBuH vE puruzaH SvetUp_3.12a
   mahī devasya savituḥ pariṣṭutiḥ SvetUp_2.4d	mahI devasya savituH parizwutiH Svetu-up_2.4d
   mā nas toke tanaye mā na āyuṣi SvetUp_4.22a	mA naH toke tanaye mA naH Ayuzi SvetUp_4.22a
   mā no goṣu mā no aśveṣu rīriṣaḥ SvetUp_4.22b	mA naH gozu mA naH aSvezu rIrizaH Svetu-up_4.22b
   māyāṃ tu prakṛtiṃ vidyān SvetUp_4.10a	mAyAm tu prakRtim vidyAn SvetUp_4.10a
   māyinaṃ tu maheśvaraṃ SvetUp_4.10b	mAyinam tu maheSvaram Svetu-up_4.10b
   mā hiṃsīḥ puruṣaṃ jagat SvetUp_3.6d	mA hiMsIH puruzam jagat SvetUp_3.6d
   mumukṣur vai śaraṇam ahaṃ prapadye SvetUp_6.18d	mumukzuH vE SaraNam aham prapadye Svetu-up_6.18d
   ya it tad vidus ta ime samāsate SvetUp_4.8d	yaH id tat viduH te ime samAsate Svetu-up_4.8d
   ya imāṃl lokān īśata īśanībhiḥ SvetUp_3.2b	yaH imAn lokAn ISate ISanIBiH SvetUp_3.2b
   ya īśe asya dvipadaś catuṣpadaḥ SvetUp_4.13c	yaH ISe asya dvipadaH catuzpadaH Svetu-up_4.13c
   ya eko jālavān īśata īśanībhiḥ SvetUp_3.1a	yaH ekaH jAlavAn ISate ISanIBiH SvetUp_3.1a
   ya eko 'varṇo bahudhā śaktiyogād SvetUp_4.1a	yaH ekaH avarNaH bahuDA Sakti-yogAt SvetUp_4.1a
   ya etad vidur amṛtās te bhavanti SvetUp_3.1d	yaH etat viduH amRtAH te Bavanti SvetUp_3.1d
   ya etad vidur amṛtās te bhavanti SvetUp_3.10c	yaH etat viduH amRtAH te Bavanti SvetUp_3.10c
   ya etad vidur amṛtās te bhavanti SvetUp_3.13d	yaH etat viduH amRtAH te Bavanti SvetUp_3.13d
   ya etad vidur amṛtās te bhavanti SvetUp_4.17d	yaH etat viduH amRtAH te Bavanti SvetUp_4.17d
   ya evaika udbhave saṃbhave ca SvetUp_3.1c	yaH eva-ekaH udBave saMBave ca Svetu-up_3.1c
   ya oṣadhīṣu yo vanaspatīṣu SvetUp_2.17c	yaH ozaDIzu yaH vanaspatIzu SvetUp_2.17c
   yac ca svabhāvaṃ pacati viśvayoniḥ SvetUp_5.5a	yat ca svaBAvam pacati viSvayoniH SvetUp_5.5a
   yato jātāni bhuvanāni viśvā SvetUp_4.4d	yatas jAtAni BuvanAni viSvA SvetUp_4.4d
   yathā deve tathā gurau SvetUp_6.23b	yaTA deve taTA gurO Svetu-up_6.23b
   yathānikāyaṃ sarvabhūteṣu gūḍhaṃ SvetUp_3.7b	yaTAnikAyam sarva-BUtezu gUXam SvetUp_3.7b
   yathaiva bimbaṃ mṛdayopaliptaṃ SvetUp_2.14a	yaTA-eva bimbam mRdayA-upaliptam SvetUp_2.14a
   yad annenātirohati SvetUp_3.15d	yat annena-atirohati SvetUp_3.15d
   yad arūpam anāmayam SvetUp_3.10b	yat arUpam anAmayam Svetu-up_3.10b
   yadā carmavad ākāśaṃ SvetUp_6.20a	yadA carma-vat AkASam SvetUp_6.20a
   yadātamas tan na divā na rātrir SvetUp_4.18a	yadA-atamaH tat na divA na rAtriH SvetUp_4.18a
   yad ātmatattvena tu brahmatattvaṃ SvetUp_2.15a	yat Atma-tattvena tu brahma-tattvam SvetUp_2.15a
   yad bhūtaṃ yac ca bhavyam SvetUp_3.15b	yat BUtam yat ca Bavyam Svetu-up_3.15b
   yad yac charīram ādatte SvetUp_5.10c	yat yat SarIram Adatte Svetu-up_5.10c
   yas tantunābha iva tantubhiḥ SvetUp_6.10a	yaH tantunABaH iva tantuBiH SvetUp_6.10a
   yas tan na veda kim ṛcā kariṣyati SvetUp_4.8c	yaH tat na veda kim RcA karizyati SvetUp_4.8c
   yasmāt paraṃ nāparam asti kiṃcid SvetUp_3.9a	yasmAt param na-aparam asti kiMcid SvetUp_3.9a
   yasmāt prapañcaḥ parivartate 'yaṃ SvetUp_6.6b	yasmAt prapaQcaH parivartate ayam Svetu-up_6.6b
   yasmān nāṇīyo na jyāyo 'sti kiṃcit SvetUp_3.9b	yasmAt na-aNIyaH na jyAyaH asti kiMcid Svetu-up_3.9b
   yasmin devā adhi viśve niṣedhuḥ SvetUp_4.8b	yasmin devAH aDi viSve nizeDuH Svetu-up_4.8b
   yasminn idaṃ saṃ ca vi caiti sarvam SvetUp_4.11b	yasmin idam sam ca vi ca-eti sarvam Svetu-up_4.11b
   yasmin yuktā brahmarṣayo devatāś ca SvetUp_4.15c	yasmin yuktAH brahmarzayaH devatAH ca Svetu-up_4.15c
   yasmiṃl lokā adhiśritāḥ SvetUp_4.13b	yasmin lokAH aDiSritAH Svetu-up_4.13b
   yasya deve parā bhaktir SvetUp_6.23a	yasya deve parA BaktiH SvetUp_6.23a
   yasya nāma mahad yaśaḥ SvetUp_4.19d	yasya nAma mahat yaSaH Svetu-up_4.19d
   yaḥ kāraṇāni nikhilāni tāni SvetUp_1.3c	yaH kAraNAni niKilAni tAni SvetUp_1.3c
   yā te rudra śivā tanūr SvetUp_3.5a	yA te rudra SivA tanUH SvetUp_3.5a
   yām iṣuṃ giriśanta SvetUp_3.6a	yAm izum giriSanta Svetu-up_3.6a
   yuktena manasā vayaṃ SvetUp_2.2a	yuktena manasA vayam SvetUp_2.2a
   yuktvāya manasā devān SvetUp_2.3a	yuktvAya manasA devAn SvetUp_2.3a
   yuje vāṃ brahma pūrvyaṃ namobhir SvetUp_2.5a	yuje vAm brahma pUrvyam namoBiH SvetUp_2.5a
   yuñjate mana uta yuñjate dhiyo SvetUp_2.4a	yuQjate manaH uta yuQjate DiyaH SvetUp_2.4a
   yuñjānaḥ prathamaṃ manas SvetUp_2.1a	yuQjAnaH praTamam manaH Svetu-up_2.1a
   yenāvṛtaṃ nityam idaṃ hi sarvaṃ SvetUp_6.2a	yena-AvRtam nityam idam hi sarvam SvetUp_6.2a
   yenedaṃ bhrāmyate brahmacakram SvetUp_6.1d	yena-idam BrAmyate brahma-cakram Svetu-up_6.1d
   ye pūrvaṃ devā ṛṣayaś ca tad vidus SvetUp_5.6c	ye pUrvam devAH RzayaH ca tat viduH Svetu-up_5.6c
   ye vidus te jahus tanum SvetUp_5.14d	ye viduH te jahuH tanum SvetUp_5.14d
   yogapravṛttiṃ prathamāṃ vadanti SvetUp_2.13d	yoga-pravRttim praTamAm vadanti SvetUp_2.13d
   yo devānām adhipo SvetUp_4.13a	yaH devAnAm aDipaH SvetUp_4.13a
   yo devānāṃ prabhavaś codbhavaś ca SvetUp_3.4a	yaH devAnAm praBavaH ca-udBavaH ca SvetUp_3.4a
   yo devānāṃ prabhavaś codbhavaś ca SvetUp_4.12a	yaH devAnAm praBavaH ca-udBavaH ca SvetUp_4.12a
   yo devo agnau yo apsu SvetUp_2.17a	yaH devaH agnO yaH apsu SvetUp_2.17a
   yonisvabhāvān adhitiṣṭhaty ekaḥ SvetUp_5.4d	yoni-svaBAvAn aDitizWati ekaH Svetu-up_5.4d
   yo brahmāṇaṃ vidadhāti pūrvaṃ SvetUp_6.18a	yaH brahmANam vidaDAti pUrvam SvetUp_6.18a
   yo yoniṃ-yonim adhitiṣṭhaty eko SvetUp_4.11a	yaH yonim-yonim aDitizWati ekaH SvetUp_4.11a
   yo yoniṃ yonim adhitiṣṭhaty eko SvetUp_5.2a	yaH yonim yonim aDitizWati ekaH SvetUp_5.2a
   yo viśvaṃ bhuvanam āviveśa SvetUp_2.17b	yaH viSvam Buvanam AviveSa Svetu-up_2.17b
   yo vai vedāṃś ca prahiṇoti tasmai SvetUp_6.18b	yaH vE vedAn ca prahiNoti tasmE Svetu-up_6.18b
   rudra yat dakṣiṇaṃ mukham SvetUp_4.21c	rudra yat dakziNam muKam Svetu-up_4.21c
   rūpāṇi dehī svaguṇair vṛṇoti SvetUp_5.12b	rUpANi dehI sva-guNEH vRNoti Svetu-up_5.12b
   laghutvam ārogyam alolupatvaṃ SvetUp_2.13a	laGu-tvam Arogyam alolupa-tvam SvetUp_2.13a
   līnā brahmaṇi tatparā yonimuktāḥ SvetUp_1.7d	lInAH brahmaNi tad-parAH yoni-muktAH Svetu-up_1.7d
   varṇaprasādaḥ svarasauṣṭhavaṃ ca SvetUp_2.13b	varNa-prasAdaH svara-sOzWavam ca Svetu-up_2.13b
   varṇān anekān nihitārtho dadhāti SvetUp_4.1b	varNAn anekAn nihita-arTaH daDAti Svetu-up_4.1b
   vartāmahe brahmavido vyavasthām SvetUp_1.1d	vartAmahe brahma-vidaH vyavasTAm Svetu-up_1.1d
   vaśī sarvasya lokasya SvetUp_3.18c	vaSI sarvasya lokasya Svetu-up_3.18c
   vahner yathā yonigatasya mūrtir SvetUp_1.13a	vahneH yaTA yoni-gatasya mUrtiH SvetUp_1.13a
   vāyur yatrādhirudhyate SvetUp_2.6b	vAyuH yatra-aDiruDyate Svetu-up_2.6b
   vālāgraśatabhāgasya SvetUp_5.9a	vAla-agra-Sata-BAgasya Svetu-up_5.9a
   vi caiti cānte viśvam ādau sa devaḥ SvetUp_4.1c	vi ca-eti ca-ante viSvam AdO sa devaH Svetu-up_4.1c
   vidāma devaṃ bhuvaneśam īḍyam SvetUp_6.7d	vidAma devam BuvaneSam Ixyam SvetUp_6.7d
   vidyāvidye īśate yas tu so 'nyaḥ SvetUp_5.1d	vidyA-vidye ISate yaH tu saH anyaH Svetu-up_5.1d
   vidyāvidye nihite yatra gūḍhe SvetUp_5.1b	vidyA-avidye nihite yatra gUXe Svetu-up_5.1b
   vidvān mano dhārayetāpramattaḥ SvetUp_2.9d	vidvAn manaH DArayeta-apramattaH Svetu-up_2.9d
   viprā viprasya bṛhato vipaścitaḥ SvetUp_2.4b	viprAH viprasya bRhataH vipaScitaH Svetu-up_2.4b
   vivarjite śabdajalāśrayādibhiḥ SvetUp_2.10b	vivarjite Sabda-jala-ASraya-AdiBiH Svetu-up_2.10b
   vi śloka etu pathyeva sūreḥ SvetUp_2.5b	vi SlokaH etu paTyA-iva sUreH Svetu-up_2.5b
   viśvataścakṣur uta viśvatomukho SvetUp_3.3a	viSvatas-cakzuH uta viSvatomuKaH SvetUp_3.3a
   viśvatobāhur uta viśvataspāt SvetUp_3.3b	viSvatobAhuH uta viSvataspAd Svetu-up_3.3b
   viśvasya sraṣṭāram anekarūpaṃ SvetUp_4.14b	viSvasya srazwAram aneka-rUpam Svetu-up_4.14b
   viśvasya sraṣṭāram anekarūpaṃ SvetUp_5.13b	viSvasya srazwAram aneka-rUpam Svetu-up_5.13b
   viśvasyaikaṃ pariveṣṭitāram SvetUp_3.7c	viSvasya-ekam parivezwitAram Svetu-up_3.7c
   viśvasyaikaṃ pariveṣṭitāraṃ SvetUp_4.14c	viSvasya-ekam parivezwitAram SvetUp_4.14c
   viśvasyaikaṃ pariveṣṭitāraṃ SvetUp_4.16c	viSvasya-ekam parivezwitAram SvetUp_4.16c
   viśvasyaikaṃ pariveṣṭitāraṃ SvetUp_5.13c	viSvasya-ekam parivezwitAram SvetUp_5.13c
   viśvādhiko rudro maharṣiḥ SvetUp_4.12b	viSva-aDikaH rudraH mahA-RziH Svetu-up_4.12b
   viśvādhipaḥ sarvabhūteṣu gūḍhaḥ SvetUp_4.15b	viSva-aDipaH sarva-BUtezu gUXaH Svetu-up_4.15b
   viśvādhipo rudro maharṣiḥ SvetUp_3.4b	viSva-aDipaH rudraH mahA-RziH Svetu-up_3.4b
   viśvāni rūpāṇi yonīś ca sarvāḥ SvetUp_5.2b	viSvAni rUpANi yonIH ca sarvAH Svetu-up_5.2b
   viśvaiśvaryaṃ kevala āptakāmaḥ SvetUp_1.11d	viSva-ESvaryam kevalaH Apta-kAmaH Svetu-up_1.11d
   vi hotrā dadhe vayunāvid eka in SvetUp_2.4c	vi hotrA daDe vayunA-vid ekaH id SvetUp_2.4c
   vīrān mā no rudra bhāmito vadhīr SvetUp_4.22c	vIrAn mA naH rudra BAmitaH vaDIH SvetUp_4.22c
   vṛkṣa iva stabdho divi tiṣṭhaty ekas SvetUp_3.9c	vRkzaH iva stabDaH divi tizWati ekaH SvetUp_3.9c
   vedānte paramaṃ guhyaṃ SvetUp_6.22a	vedAnte paramam guhyam SvetUp_6.22a
   vedāham etam ajaraṃ purāṇaṃ SvetUp_3.21a	veda-aham etam ajaram purANam SvetUp_3.21a
   vedāham etaṃ puruṣaṃ mahāntam SvetUp_3.8a	veda-aham etam puruzam mahAntam SvetUp_3.8a
   veṣṭayiṣyanti mānavāḥ SvetUp_6.20b	vezwayizyanti mAnavAH Svetu-up_6.20b
   vyaktāvyaktaṃ bharate viśvam īśaḥ SvetUp_1.8b	vyakta-avyaktam Barate viSvam ISaH Svetu-up_1.8b
   vyāptaṃ sarvaṃ idaṃ jagat SvetUp_4.10d	vyAptam sarvam idam jagat SvetUp_4.10d
   śatadhā kalpitasya ca SvetUp_5.9b	SataDA kalpitasya ca Svetu-up_5.9b
   śatārdhāraṃ viṃśatipratyarābhiḥ SvetUp_1.4b	SatArDAram viMSati-pratyarABiH Svetu-up_1.4b
   śivāṃ giritra tāṃ kuru SvetUp_3.6c	SivAm giritra tAm kuru SvetUp_3.6c
   śṛṇvanti viśve amṛtasya putrā SvetUp_2.5c	SRNvanti viSve amRtasya putrAH Svetu-up_2.5c
   sa īśe asya jagato nityam eva SvetUp_6.17c	saH ISe asya jagataH nityam eva Svetu-up_6.17c
   sa eva kāle bhuvanasya goptā SvetUp_4.15a	saH eva kAle Buvanasya goptA SvetUp_4.15a
   sa eva jātaḥ sa janiṣyamānaḥ SvetUp_2.16c	saH eva jAtaH sa janizyamAnaH Svetu-up_2.16c
   sa evāgniḥ salile saṃniviṣṭaḥ SvetUp_6.15b	saH eva-agniH salile saMnivizwaH Svetu-up_6.15b
   sa kāraṇaṃ karaṇādhipādhipo SvetUp_6.9c	sa kAraNam karaNa-aDipa-aDipaH Svetu-up_6.9c
   sa cānantyāya kalpate SvetUp_5.9d	sa ca-AnantyAya kalpate Svetu-up_5.9d
   sa tanmayo hy amṛta īśasaṃstho SvetUp_6.17a	sa tad-mayaH hi amRtaH ISa-saMsTaH SvetUp_6.17a
   sattvasyaiṣa pravartakaḥ SvetUp_3.12b	sattvasya-eza pravartakaH Svetu-up_3.12b
   satyenainaṃ tapasā yo 'nupaśyati SvetUp_1.15d	satyena-enam tapasA yaH anupaSyati SvetUp_1.15d
   sadā janānāṃ hṛdaye saṃniviṣṭaḥ SvetUp_3.13b	sadA janAnAm hRdaye saMnivizwaH Svetu-up_3.13b
   sadā janānāṃ hṛdaye saṃniviṣṭaḥ SvetUp_4.17b	sadA janAnAm hRdaye saMnivizwaH Svetu-up_4.17b
   sa no dadhād brahmāpyayam SvetUp_6.10d	sa naH daDAt brahma-api-ayam SvetUp_6.10d
   sa no buddhyā śubhayā saṃyunaktu SvetUp_3.4d	sa naH budDyA SuBayA saMyunaktu SvetUp_3.4d
   sa no buddhyā śubhayā saṃyunaktu SvetUp_4.1d	sa naH budDyA SuBayA saMyunaktu SvetUp_4.1d
   sa no buddhyā śubhayā saṃyunaktu SvetUp_4.12d	sa naH budDyA SuBayA saMyunaktu SvetUp_4.12d
   sa bhūmiṃ viśvato vṛtvā SvetUp_3.14c	sa BUmim viSvatas vRtvA SvetUp_3.14c
   sa bhūya evendhanayonigṛhyas SvetUp_1.13c	sa BUyas eva-inDana-yoni-gRhyaH Svetu-up_1.13c
   samānaṃ vṛkṣaṃ pariṣasvajāte SvetUp_4.6b	samAnam vRkzam parizasvajAte Svetu-up_4.6b
   samāne vṛkṣe puruṣo nimagno SvetUp_4.7a	samAne vRkze puruzaH nimagnaH SvetUp_4.7a
   same śucau śarkarāvahnivālukā- SvetUp_2.10a	same SucO SarkarA-vahni-vAlukA Svetu-up_2.10a
   sarvataḥpāṇipādaṃ tat SvetUp_3.16a	sarvatas-pANi-pAdam tat SvetUp_3.16a
   sarvataḥśrutimal loke SvetUp_3.16c	sarvatas-Srutimat loke Svetu-up_3.16c
   sarvato'kṣiśiromukhaṃ SvetUp_3.16b	sarvatas-akzi-SiraH-muKam Svetu-up_3.16b
   sarvabhūtaguhāśayaḥ SvetUp_3.11b	sarva-BUta-guhA-ASayaH Svetu-up_3.11b
   sarvam āvṛtya tiṣṭhati SvetUp_3.16d	sarvam AvRtya tizWati SvetUp_3.16d
   sarvam etad viśvam adhitiṣṭhaty eko SvetUp_5.5c	sarvam etat viSvam aDitizWati ekaH SvetUp_5.5c
   sarvavyāpinam ātmānaṃ SvetUp_1.16a	sarva-vyApinam AtmAnam SvetUp_1.16a
   sarvavyāpī sa bhagavāṃs SvetUp_3.11c	sarva-vyApI sa BagavAn Svetu-up_3.11c
   sarvavyāpī sarvabhūtāntarātmā SvetUp_6.11b	sarva-vyApI sarva-BUta-antarAtmA Svetu-up_6.11b
   sarvasya prabhum īśānaṃ SvetUp_3.17c	sarvasya praBum ISAnam SvetUp_3.17c
   sarvasya śaraṇaṃ suhṛt SvetUp_3.17d	sarvasya SaraNam suhRd SvetUp_3.17d
   sarvaṃ proktaṃ trividhaṃ brahmam etat SvetUp_1.12d	sarvam proktam triviDam brahmam etat Svetu-up_1.12d
   sarvājīve sarvasaṃsthe bṛhante SvetUp_1.6a	sarva-AjIve sarva-saMsTe bRhante SvetUp_1.6a
   sarvātmānaṃ sarvagataṃ vibhutvāt SvetUp_3.21b	sarva-AtmAnam sarva-gatam viBu-tvAt Svetu-up_3.21b
   sarvā diśa ūrdhvam adhaś ca tiryak SvetUp_5.4a	sarvAH diSaH UrDvam aDas ca tiryak SvetUp_5.4a
   sarvādhipatyaṃ kurute mahātmā SvetUp_5.3d	sarva-ADipatyam kurute mahAtmA Svetu-up_5.3d
   sarvānanaśirogrīvaḥ SvetUp_3.11a	sarva-Anana-SiraH-grIvaH Svetu-up_3.11a
   sarvāṃl lokān īśata īśanībhiḥ SvetUp_3.1b	sarvAn lokAn ISate ISanIBiH SvetUp_3.1b
   sarvendriyaguṇābhāsaṃ SvetUp_3.17a	sarva-indriya-guNa-ABAsam SvetUp_3.17a
   sarvendriyavivarjitaṃ SvetUp_3.17b	sarva-indriya-vivarjitam Svetu-up_3.17b
   savitā prasuvāti tān SvetUp_2.3d	savitA prasuvAti tAn Svetu-up_2.3d
   savitrā prasavena SvetUp_2.7a	savitrA prasavena SvetUp_2.7a
   sa viśvakṛd viśvavid ātmayonir SvetUp_6.16a	sa viSva-kRt viSva-vid AtmayoniH SvetUp_6.16a
   sa viśvarūpas triguṇas trivartmā SvetUp_5.7c	sa viSva-rUpaH triguNaH tri-vartmA Svetu-up_5.7c
   sa vṛkṣakālākṛtibhiḥ paro 'nyo SvetUp_6.6a	sa vRkza-kAla-AkRtiBiH paraH anyaH SvetUp_6.6a
   sa vetti vedyaṃ na ca tasyāsti vettā SvetUp_3.19c	sa vetti vedyam na ca tasya-asti vettA Svetu-up_3.19c
   sahasraśīrṣā puruṣaḥ SvetUp_3.14a	sahasra-SIrzA puruzaH SvetUp_3.14a
   sahasrākṣaḥ sahasrapāt SvetUp_3.14b	sahasrAkzaH sahasrapAd Svetu-up_3.14b
   saṃkalpanasparśanadṛṣṭimohair SvetUp_5.11a	saMkalpana-sparSana-dRzwi-mohEH SvetUp_5.11a
   saṃkalpāhaṃkārasamanvito yaḥ SvetUp_5.8b	saMkalpa-ahaMkAra-samanvitaH yaH Svetu-up_5.8b
   saṃ bāhubhyāṃ dhamati saṃ patatrair SvetUp_3.3c	sam bAhuByAm Damati sam patatrEH SvetUp_3.3c
   saṃyuktam etat kṣaram akṣaraṃ ca SvetUp_1.8a	saMyuktam etat kzaram akzaram ca SvetUp_1.8a
   saṃyoga eṣāṃ na tv ātmabhāvād SvetUp_1.2c	saMyogaH ezAm na tu Atma-BAvAt Svetu-up_1.2c
   saṃyogahetur aparo 'pi dṛṣṭaḥ SvetUp_5.12d	saMyoga-hetuH aparaH api dRzwaH Svetu-up_5.12d
   saṃsāramokṣasthitibandhahetuḥ SvetUp_6.16d	saMsAra-mokza-sTiti-banDa-hetuH Svetu-up_6.16d
   saṃsṛjya viśvā bhuvanāni gopāḥ SvetUp_3.2d	saMsRjya viSvA BuvanAni gopAH Svetu-up_3.2d
   sākṣī cetā kevalo nirguṇaś ca SvetUp_6.11d	sAkzI cetA kevalaH nirguNaH ca Svetu-up_6.11d
   sunirmalām imāṃ prāptim SvetUp_3.12c	su-nirmalAm imAm prAptim SvetUp_3.12c
   suvargeyāya śaktyā SvetUp_2.2c	suvargeyAya SaktyA SvetUp_2.2c
   suvar yato dhiyā divaṃ SvetUp_2.3b	suvar yatas DiyA divam Svetu-up_2.3b
   sūkṣmātisūkṣmaṃ kalilasya madhye SvetUp_4.14a	sUkzma-ati-sUkzmam kalilasya maDye SvetUp_4.14a
   somo yatrātiricyate SvetUp_2.6c	somaH yatra-atiricyate Svetu-up_2.6c
   sthāneṣu rūpāṇy abhisaṃprapadyate SvetUp_5.11d	sTAnezu rUpANi aBisaMprapadyate SvetUp_5.11d
   sthāvarasya carasya ca SvetUp_3.18d	sTAvarasya carasya ca Svetu-up_3.18d
   sthūlāni sūkṣmāṇi bahūni caiva SvetUp_5.12a	sTUlAni sUkzmANi bahUni ca-eva SvetUp_5.12a
   srotāṃsi sarvāṇi bhayāvahāni SvetUp_2.8d	srotAMsi sarvANi Baya-AvahAni Svetu-up_2.8d
   svadeham araṇiṃ kṛtvā SvetUp_1.14a	sva-deham araNim kRtvA SvetUp_1.14a
   svabhāvam eke kavayo vadanti SvetUp_6.1a	svaBAvam eke kavayaH vadanti SvetUp_6.1a
   svābhāvikī jñānabalakriyā ca SvetUp_6.8d	svABAvikI jQAna-bala-kriyA ca SvetUp_6.8d
