   Ārya Saṃghāṭa Sūtra	Ārya SaMGAwa SUtra
   buddhānāṃ bhagavatāmṛddhiṃ paśyāmi / dvānavatiṣu	budDAnAm BagavatAm-RdDim paSyAmi / dvAnavatizu
   buddhakṣetrakoṭīnayutaśatasahasreṣu tathāgatā dharman deśayanti / aśītiṣu	budDa-kzetra-kowIn-ayuta-Sata-sahasrezu taTAgatAH Darman deSayanti / aSItizu
   koṭīśatasahasreṣu buddhakṣetreṣu tatraiva divase aśīti koṭīśatasahasrāṇi	kowI-Sata-sahasrezu budDa-kzetrezu tatra-eva divase aSIti kowI-Sata-sahasrANi
   tathāgatānāmarhatāṃ samyaksaṃbuddhānāṃ loka utpannāni / sarvāṃśca tānahaṃ	taTAgatAnAm-arhatAm samyaksaMbudDAnAm loke utpannAni / sarvAn=-ca tAn-aham
   tathāgatān vanditvā punareva prakrāntaḥ	taTAgatAn vanditvA punar-eva prakrAntaH
   [SaSū 62] tatraiva divase bhagavannekonacatvāriṃśatsu	[SaSU 62] tatra-eva divase Bagavan=-ekonacatvAriMSatsu
   buddhakṣetrakoṭīsahasrāṇyatikramya sarveṣu ca teṣvekūnacatvāriṃśatsu	budDa-kzetra-kowI-sahasrANi-atikramya sarvezu ca tezu-ekUnacatvAriMSatsu
   buddhakṣetrakoṭīsahasreṣvekūnacatvāriṃśat koṭīsahasrāṇi bodhisattvānāṃ	budDa-kzetra-kowI-sahasrezu-ekUnacatvAriMSat kowI-sahasrANi boDisattvAnAm
   niṣkramya tatraiva divase 'nuttarāṃ samyaksaṃbodhimabhisaṃbuddhāḥ	nizkramya tatra-eva divase anuttarAm samyaksaMboDim-aBisaMbudDAH
   vanditāśca me bhagavan te tathāgatā arhantaḥ samyaksaṃbuddhāstṛguptaṃ	vanditAH-ca me Bagavan te taTAgatAH arhantaH samyaksaMbudDAH-tRguptam
   pradakṣiṇīkṛtya ṛddhyā cāntardhitaḥ	pradakziNIkRtya RdDyA ca-antarDitaH
   [SaSū 63] ṣaṣṭikoṭiṣu bhagavan buddhakṣetreṣu buddhān bhagavataḥ paśyāmi /	[SaSU 63] zazwi-kowizu Bagavan budDa-kzetrezu budDAn BagavataH paSyAmi /
   vanditāni ca me bhagavan tāni buddhakṣetrāṇi te ca buddhā	vanditAni ca me Bagavan tAni budDa-kzetrANi te ca budDA
   bhagavantastataścāhaṃ prakrāntaṃ /	BagavantaH-tatas-ca-aham prakrAntam /
   [SaSū 64] anyeṣu ca bhagavan koṭīśateṣu buddhakṣetreṣu tathāgatāḥ	[SaSU 64] anyezu ca Bagavan kowI-Satezu budDa-kzetrezu taTAgatAH
   parinirvāyamāṇān paśyāmi / vanditāśca me te tathāgatāstataścāhaṃ	parinirvAyamANAn paSyAmi / vanditAH-ca me te taTAgatAH-tatas-ca-aham
   prakrāntaḥ /	prakrAntaH /
   [SaSū 65] dṛṣṭaṃ ca me bhagavannapareṣu paṃcanavatikoṭiṣu buddhakṣetreṣu	[SaSU 65] dRzwam ca me Bagavan=-aparezu paMcana-vati-kowizu budDa-kzetrezu
   saddharmamantardhāyantaṃ / cittāyāso me bhagavaṃstatra jātaḥ asrūṇi ca	sadDarmam-antarDAyantam / citta-AyAsaH me Bagavan=-tatra jAtaH asrUNi ca
   pramuṃcāmi / anyāṃśca rodamānān bahūn devanāgayakṣarākṣasān kāmarūpinaśca	pramuMcAmi / anyAn=-ca rodamAnAn bahUn deva-nAga-yakza-rAkzasAn kAmarUpinaH-ca
   mahatā śokaśalyasamarpitān paśyāmi / evamaparaṃ buddhakṣetraṃ niravaśeṣaṃ	mahatA Soka-Salya-samarpitAn paSyAmi / evam-aparam budDa-kzetram niravaSezam
   dagdhaṃ sasamudraṃ sasumeruṃ sapṛthivīpradeśaṃ tamapi bhagavan vanditvā	dagDam sa-samudram sa-sumerum sa-pRTivI-pradeSam tam-api Bagavan vanditvA
   nirāśībhūtaḥ	nirASIBUtaH
   [SaSū 66] prakrānto 'smi yāvadahaṃ bhagavan tāṃ padmottarāṃ	[SaSU 66] prakrAntaH asmi yAvat-aham Bagavan tAm padma-uttarAm
   lokadhātumanuprāptaḥ tasyāṃ ca bhagavan padmottarāyāṃ lokadhātau paṃca	lokaDAtum-anuprAptaH tasyAm ca Bagavan padma-uttarAyAm lokaDAtO paMca
   koṭīśatasahasrāṇyāsanānāṃ prajñaptān paśyāmi / dakṣiṇasyān diśi	kowI-Sata-sahasrANi-AsanAnAm prajQaptAn paSyAmi / dakziNasyAn diSi
   koṭīśatasahasrāṇyāsanānāṃ prajñaptān paśyāmi / vāmena pārśvena	kowI-Sata-sahasrANi-AsanAnAm prajQaptAn paSyAmi / vAmena pArSvena
   koṭīśatasahasramāsanānāṃ prajñaptān paśyāmi / pūrvasyān diśi	kowI-Sata-sahasram-AsanAnAm prajQaptAn paSyAmi / pUrvasyAn diSi
   koṭīśatasahasramāsanānāṃ prajñaptān paśyāmi / paścimāyān diśi	kowI-Sata-sahasram-AsanAnAm prajQaptAn paSyAmi / paScimAyAn diSi
   koṭīśatasahasramāsanānāṃ prajñaptān paśyāmi / ūrdhvāyāṃ diśi	kowI-Sata-sahasram-AsanAnAm prajQaptAn paSyAmi / UrDvAyAm diSi
   koṭīśatasahasramāsanānāṃ prajñaptān paśyāmi /	kowI-Sata-sahasram-AsanAnAm prajQaptAn paSyAmi /
   [SaSū 67] sarvāṇi ca bhagavan tānyāsanāni saptaratnamayāni / sarveṣu ca	[SaSU 67] sarvANi ca Bagavan tAni-AsanAni sapta-ratna-mayAni / sarvezu ca
   teṣvāsaneṣu tathāgatā arhantaḥ samyaksaṃbuddhā niṣaṇṇā dharman deśayanti /	tezu-Asanezu taTAgatAH arhantaH samyaksaMbudDAH nizaNNAH Darman deSayanti /
   tatrāhaṃ bhagavannāścaryaprāptastāṃstathāgatān abhivandya paripṛcchāmi /	tatra-aham Bagavan=-AScarya-prAptaH-tAn=-taTAgatAn aBivandya paripRcCAmi /
   kinnāmeyaṃ bhagavan lokadhātuḥ / te tathāgatā āhuḥ padmottarā nāmeyaṃ	kinnAmeyam Bagavan lokaDAtuH / te taTAgatAH AhuH padma-uttarA nAma-iyam
   kulaputra lokadhātuḥ	kula-putra lokaDAtuH
   [SaSū 68] tato 'haṃ bhagavaṃstān pradakṣiṇīkṛtya punarapi tāṃstathāgatān	[SaSU 68] tatas aham Bagavan=-tAn pradakziNIkRtya punar-api tAn=-taTAgatAn
   paripṛcchāmi - kinnāma iha buddhakṣetre tathāgataḥ te tathāgatā āhuḥ	paripRcCAmi  kinnAmaH iha budDa-kzetre taTAgataH te taTAgatAH AhuH
   padmagarbho nāma kulaputra tathāgato 'rhan samyaksaṃbuddho ya iha	padmagarBaH nAma kula-putra taTAgataH arhan samyaksaMbudDaH yaH iha
   buddhakṣetre buddhakṛtyaṃ karoti / tatastān ahametadavocat - bahūni	budDa-kzetre budDa-kRtyam karoti / tatas-tAn aham-etat-avocat  bahUni
   tathāgatakoṭīniyutaśatasahasrāṇi dṛśyante / tanna jānāmi katama sa	taTAgata-kowI-niyuta-Sata-sahasrANi dRSyante / tat-na jAnAmi katama sa
   padmagarbho nāma tathāgato 'rhan samyaksaṃbuddha iti / te tathāgatā āhuḥ	padmagarBaH nAma taTAgataH arhan samyaksaMbudDaH iti / te taTAgatAH AhuH
   vayan te kulaputra taṃ padmagarbhaṃ tathāgataṃ darśayiṣyāma / yaḥ sa	vayan te kula-putra tam padma-garBam taTAgatam darSayizyAmaH / yaH sa
   padmagarbho nāma tathāgato 'rhan samyaksaṃbuddhaḥ	padmagarBaH nAma taTAgataH arhan samyaksaMbudDaH
   [SaSū 69] atha tatkṣaṇādeva te sarve tathāgatakāyā antardhitāḥ sarve ca	[SaSU 69] aTa tad-kzaNAt-eva te sarve taTAgata-kAyAH antarDitAH sarve ca
   bodhisattvarūpāṇi sandṛśyante / ekameva tathāgataṃ paśyāmi / yathāhaṃ	boDisattva-rUpANi sandRSyante / ekam-eva taTAgatam paSyAmi / yaTA-aham
   tasya tathāgatasya pādau śirasābhivandya purataḥ sthitaḥ āsanaṃ ca	tasya taTAgatasya pAdO SirasA-aBivandya puratas sTitaH Asanam ca
   prādurbhūtaṃ / sa ca māṃ tathāgata evamāha / niṣīda kulaputrātra āsane /	prAdurBUtam / sa ca mAm taTAgataH evam-Aha / nizIda kula-putra-atra Asane /
   [SaSū 70] athāhaṃ tasminnāsane niṣaṇṇaḥ tadā ca bhagavannanekānyāsanāni	[SaSU 70] aTa-aham tasmin=-Asane nizaNNaH tadA ca Bagavan=-anekAni-AsanAni
   prādurbhūtāni / na ca kaścit teṣvāsaneṣu niṣaṇṇaṃ paśyāmi / (tadahaṃ	prAdurBUtAni / na ca kaScid tezu-Asanezu nizaNNam paSyAmi / (tad-aham
   tathāgataṃ paripṛcchāmi / na bhagava eṣvāsaneṣu ekaṃ api sattvaṃ niṣaṇṇaṃ	taTAgatam paripRcCAmi / na BagavaH ezu-Asanezu ekam api sattvam nizaNNam
   paśyāmi /) sa bhagavān māmevamāha / nākṛtakuśalamūlāḥ kulaputra sattvā	paSyAmi /) sa BagavAn mAm-evam-Aha / na-akRta-kuSala-mUlAH kula-putra sattvA
   eṣvāsaneṣu śaknuvanti niṣattum tamahaṃ taṃ tathāgatamidamavocat - kīdṛśaṃ	ezu-Asanezu Saknuvanti nizattum tam-aham tam taTAgatam-idam-avocat  kIdRSam
   bhagavan sattvāḥ kuśalamūlaṃ kṛtvā / eṣvāsaneṣu niṣīdanti / sa maṃ	Bagavan sattvAH kuSala-mUlam kRtvA / ezu-Asanezu nizIdanti / sa mam
   bhagavannevamāha / śṛṇu kulaputra ye sattvāḥ saṃghāṭaṃ sūtraṃ	Bagavan=-evam-Aha / SRNu kula-putra ye sattvAH saMGAwam sUtram
   dharmaparyāyaṃ śroṣyanti / te tena kuśalamūlena eṣvāsaneṣu niṣatsyante /	Darma-paryAyam Srozyanti / te tena kuSala-mUlena ezu-Asanezu nizatsyante /
   kaḥ punarvādo ye likhiṣyanti vācayiṣyanti / tvayā sarvaśūra saṃghāṭaṃ	kaH punar-vAdaH ye liKizyanti vAcayizyanti / tvayA sarva-SUra saMGAwam
   dharmaparyāyaṃ śrutaṃ yastvamatrāsane niṣīdita / anyatra kastaveha	Darma-paryAyam Srutam yaH-tvam-atra-Asane nizIdita / anyatra kaH-tava-iha
   buddhakṣetre 'bhyaṃntarapraveśaṃ dadyāt	budDa-kzetre aByaMntara-praveSam dadyAt-
   [SaSū 71] evamukte tena bhagavatā ahaṃ taṃ bhagavantametadavocat -	[SaSU 71] evam-ukte tena BagavatA aham tam Bagavantam-etat-avocat -
   kiyantaṃ bhagavan sa sattvaḥ puṇyaskandhaṃ prasaviṣyati ya imaṃ saṃghāṭaṃ	kiyantam Bagavan sa sattvaH puNya-skanDam prasavizyati yaH imam saMGAwam
   dharmaparyāyaṃ śroṣyati / atha sa bhagavāṃ padmagarbhastathāgato 'rhan	Darma-paryAyam Srozyati / aTa sa BagavAm padmagarBaH-taTAgataH arhan
   samyaksaṃbuddhastasyāṃ velāyāṃ smitaṃ praduṣkārṣīt tadahaṃ bhagavan	samyaksaMbudDaH-tasyAm velAyAm smitam praduzka-ArzIt tat-aham Bagavan
   smitakāraṇaṃ taṃ bhagavantaṃ paripṛṣṭavān ko bhagavan hetuḥ kiṃ kāraṇaṃ	smita-kAraNam tam Bagavantam paripRzwavAn kaH Bagavan hetuH kim kAraNam
   yat tathāgataḥ smitaṃ prāduṣkaroti /	yat taTAgataH smitam prAduzkaroti /
   [SaSū 72] sa bhagavānāha / śṛṇu kulaputra sarvaśūraḥ (bodhisattvo	[SaSU 72] sa BagavAn-Aha / SRNu kula-putra sarva-SUraH (boDisattvaH-
   mahāsattvo mahāsthāmaprāptaḥ) tadyathāpi nāma kulaputra kaścideva rājā	mahAsattvaH mahA-sTAma-prAptaH) tat-yaTA-api nAma kula-putra kaScid-eva rAjA
   bhaveccakravarttī caturdvīpeśvaraḥ sa caturṣu dvīpakṣetreṣu tile vāpayet	Bavet-cakravarttI catur-dvIpa-ISvaraH sa caturzu dvIpa-kzetrezu tile vApayet-
   tatkiṃ manyase sarvaśūra bahūni tasya bījānyutpadyeran sarvaśūra āha /	tat-kim manyase sarva-SUra bahUni tasya bIjAni-utpadyeran sarva-SUraH Aha /
   bahūni bhagavan bahūni sugata /	bahUni Bagavan bahUni sugataH /
   [SaSū 73] sa bhagavānāha / tataḥ sarvaśūra kaścit sattvo bhaved yastāni	[SaSU 73] sa BagavAn-Aha / tatas sarva-SUra kaScid sattvaH Bavet yaH-tAni
   tilaphalakānyekarāśiṃ kuryādanyatarāḥ puruṣastatastilaphalarāśercaikaṃ	tila-PalakAni-eka-rASim kuryAt-anyatarAH puruzaH-tatas-tila-Pala-rASeH-ca-ekam
   tilaphalakaṃ gṛhya dvitīye pārśve sthāpayet tatkiṃ manyase sarvaśūra	tila-Palakam gRhya dvitIye pArSve sTApayet tat-kim manyase sarva-SUra
   śaknuyāt sa sattvastāni tilaphalakāni gaṇayituṃ vopamāṃ kartum sarvaśūro	SaknuyAt sa sattvaH-tAni tila-PalakAni gaNayitum vA-upamAm kartum sarva-SUraH-
   bodhisattva āha / no hīdaṃ bhagavan no hīdaṃ sugata; na śakyaṃ tāni	boDisattvaH Aha / no hi-idam Bagavat no hi-idam sugata; na Sakyam tAni
   tilaphalakāni gaṇayituṃ	tila-PalakAni gaNayitum
   [SaSū 74] bhagavān āha - evameva sarvaśūrāsya saṃghāṭasya dharmaparyāyasya	[SaSU 74] BagavAn Aha  evam-eva sarva-SUra-asya saMGAwasya Darma-paryAyasya
   yatpuṇyaskandhaṃ tanna śakyamanupamyaṃ kartumanyatra tathāgatena /	yat-puNya-skanDam tat-na Sakyam-anupamyam kartum-anyatra taTAgatena /
   tadyathā sarvaśūra yāvantaste tilaphalakāstāvāntastathāgatā bhaveyuḥ te	tat-yaTA sarva-SUra yAvantaH-te tila-PalakAH-tAvAntaH-taTAgatAH BaveyuH te
   sarve 'sya saṃghāṭasya dharmaparyāyasya śravaṇakuśalamūlapuṇyaṃ	sarve asya saMGAwasya Darma-paryAyasya SravaNa-kuSala-mUla-puNyam
   parikīrtayeyurna copamayāpi puṇyasya kṣayo bhavet kaḥ punarvādo yo	parikIrtayeyuH-na ca-upamayA-api puNyasya kzayaH Bavet kaH punar-vAdaH yaH-
   likhiṣyati / vācayiṣyati /	liKizyati / vAcayizyati /
   [SaSū 75] sarvaśūro bodhisattva āha / kiyantaṃ bhagavan likhataḥ puṇyaṃ	[SaSU 75] sarva-SUraH boDisattvaH Aha / kiyantam Bagavan liKataH puNyam
   bhavati ya iman dharmaparyāyaṃ likhayati / bhagavān āha / śṛṇu kulaputra /	Bavati yaH iman Darma-paryAyam liKayati / BagavAn Aha / SRNu kula-putra /
   tadyathāpi nāma kulaputra kaścideva puruṣo bhaved	tat-yaTA-api nAma kula-putra kaScid-eva puruzaH Bavet-
   yastrisāhasramahāsāhasryāṃ lokadhātau tṛṇaṃ vā kāṣṭhaṃ vā taṃ	yaH-tri-sAhasra-mahA-sAhasryAm lokaDAtO tRNam vA kAzWam vA tam
   sarvamaṃgulimātraṃcchindyāt	sarvam-aMguli-mAtraMcCindyAt
   [SaSū 76] dvitīyāmupamāṃ śṛṇu sarvaśūra; tadyathāpi nāma	[SaSU 76] dvitIyAm-upamAm SRNu sarva-SUra; tat-yaTA-api nAma
   yāvantastrisāhasramahāsāhasryāṃ lokadhātau śilān vā prapātān vā mṛttikān	yAvantaH-tri-sAhasra-mahA-sAhasryAm lokaDAtO SilAn vA prapAtAn vA mRttikAn
   vā paramāṇurajo vā te sarve rājānaścakravartino bhaveyuścaturdvīpeśvarāḥ	vA paramANu-rajaH vA te sarve rAjAnaH-cakravartinaH BaveyuH-catur-dvIpa-ISvarAH
   saptaratnasamanvāgatāḥ tatkiṃ manyase sarvaśūra yasteṣāṃ tāvatāṃ rājñāṃ	sapta-ratna-samanvAgatAH tat-kim manyase sarva-SUra yaH-tezAm tAvatAm rAjQAm
   cakravartināṃ puṇyaskandhaṃ na śakyaṃ tasyopamāṃ kartuṃ sarvasattvairapi /	cakravartinAm puNya-skanDam na Sakyam tasya-upamAm kartum sarva-sattvEH-api /
   sarvaśūro bodhisattva āha / na śakyaṃ bhagavannanyatra tathāgatāt	sarva-SUraH boDisattvaH Aha / na Sakyam Bagavan=-anyatra taTAgatAt-
   [SaSū 77] bhagavān āhaivameva sarvaśūra na śakyaṃ saṃghāṭasūtrasya	[SaSU 77] BagavAn Aha-evam-eva sarva-SUra na Sakyam saMGAwa-sUtrasya
   dharmaparyāyasya likhyamānasya puṇyaskandhopamāṃ kartumyāvantasteṣāṃ	Darma-paryAyasya liKyamAnasya puNya-skanDa-upamAm kartum-yAvantaH-tezAm
   rājñāṃ cakravartināṃ puṇyamato bahutaraṃ puṇyaṃ prasavati ya ito	rAjQAm cakravartinAm puNyam-atas bahutaram puNyam prasavati yaH itas-
   dharmaparyāyādekākṣaramapi likhitvā sthāpayedbahutaraṃ tasya puṇyaṃ vadāmi	Darma-paryAyAt-eka-akzaram-api liKitvA sTApayet-bahutaram tasya puNyam vadAmi
   na tveva teṣāṃ rājñāṃ cakravartināṃ /	na tu-eva tezAm rAjQAm cakravartinAm /
   [SaSū 78] evameva sarvaśūra bodhisattvasya mahāsattvasya	[SaSU 78] evam-eva sarva-SUra boDisattvasya mahAsattvasya
   mahāyānasaddharmadhārakasya pratipattisthitasya yatpuṇyaṃ tanna śakyaṃ	mahAyAna-sat-Darma-DArakasya pratipatti-sTitasya yat-puNyam tat-na Sakyam
   rājabhiścakravartibhirabhibhavituṃ evamevāsya saṃghāṭasya dharmaparyāyasya	rAjaBiH-cakravartiBiH-aBiBavitum evam-eva-asya saMGAwasya Darma-paryAyasya
   lekhanādyatpuṇyaṃ tanna śakyamupamāṃ kartuṃ / imaṃ sarvaśūra saṃghāṭaṃ	leKanAt-yat-puNyam tat-na Sakyam-upamAm kartum / imam sarva-SUra saMGAwam
   sūtraṃ puṇyanidhānāni darśayati / sarvakleśānupaśamayati / sarvadharmolkāṃ	sUtram puNya-niDAnAni darSayati / sarva-kleSAn-upaSamayati / sarva-Darma-ulkAm
   jvālayati / sarvamārān pāpīmataḥ parājayati /	jvAlayati / sarvamArAn pApIm-atas parAjayati /
   sarvabodhisattvabhavanānyujvālayati / sarvadharmanirhārānabhinirharati /	sarva-boDisattva-BavanAni-ujvAlayati / sarva-Darma-nirhAra-an-aBinirharati /
   [SaSū 79] evamukte sarvaśūro bodhisattvo mahāsattvo bhagavantametadavocat	[SaSU 79] evam-ukte sarva-SUraH boDisattvaH mahAsattvaH Bagavantam-etat-avocat-
   - iha bhagavan brahmacaryaṃ paramaduṣkaracaryāḥ tatkasya hetoḥ durlabhā	 iha Bagavan brahmacaryam parama-duzkara-caryAH tat-kasya hetoH durlaBA
   bhagavaṃstathāgatacaryāḥ evameva durlabhā brahmacaryāḥ yadā ca	Bagavan=-taTAgata-caryAH evam-eva durlaBAH brahmacaryAH yadA ca
   brahmacaryaṃ cariṣyati / tadā tathāgataṃ saṃmukhaṃ drakṣyati / rātṛndivaṃ	brahmacaryam carizyati / tadA taTAgatam saMmuKam drakzyati / rAtRndivam
   ca tathāgatadarśanaṃ bhaviṣyati / yadā ca tathāgataṃ paśyati tadā	ca taTAgata-darSanam Bavizyati / yadA ca taTAgatam paSyati tadA
   pariśuddhaṃ buddhakṣetraṃ paśyati / yadā pariśuddhaṃ buddhakṣetraṃ paśyati	pariSudDam budDa-kzetram paSyati / yadA pariSudDam budDa-kzetram paSyati
   / tadā sarvadharmanidhānāni paśyati / yadā sarvadharmanidhānāni paśyati /	/ tadA sarva-Darma-niDAnAni paSyati / yadA sarva-Darma-niDAnAni paSyati /
   tadāsya maraṇakālasamaye trāsaṃ notpadyate na sa jātu mātuḥ	tadA-asya maraNa-kAla-samaye trAsam na-utpadyate na sa jAtu mAtuH
   kukṣāvupapatsyate / na tasya jātu śoko bhaviṣyati / na ca tṛṣṇāpāśena	kukzO=-upapatsyate / na tasya jAtu SokaH Bavizyati / na ca tRzNA-pASena
   baddho bhaviṣyati /	badDaH Bavizyati /
   [SaSū 80] evamukte bhagavān sarvaśūraṃ bodhisattvaṃ mahāsattvametadavocat	[SaSU 80] evam-ukte BagavAn sarva-SUram boDisattvam mahAsattvam-etat-avocat-
   - tatkiṃ manyase sarvaśūra nanu durlabhastathāgatānamutpādaḥ āha /	 tat-kim manyase sarva-SUra nanu durlaBaH-taTAgatAnam-utpAdaH Aha /
   durlabho bhagavan durlabhaḥ sugata; bhagavān āha / evameva sarvaśūra	durlaBaH Bagavan durlaBaH sugata; BagavAn Aha / evam-eva sarva-SUra
   durlabho yaṃ saṃghāto dharmaparyāyaḥ yeṣāṃ khalu punaḥ sarvaśūrāyaṃ	durlaBaH yam saMGAtaH Darma-paryAyaH yezAm Kalu punar sarva-SUra-ayam
   saṃghāṭo dharmaparyāyaḥ śrotrāvabhāsamāgamiṣyati / so 'śītiḥ kalpāṃ jātyā	saMGAwaH Darma-paryAyaH Srotra-avaBAsam-Agamizyati / saH aSItiH kalpAm jAtyA
   jātismaro bhaviṣyati / ṣaṣṭi kalpasahasrāṇi cakravartirājyaṃ pratilapsyate	jAtismaraH Bavizyati / zazwi kalpa-sahasrANi cakravarti-rAjyam pratilapsyate
   / aṣṭau kalpasahasrāṇi śakratvaṃ pratilapsyate / paṃcaviṃśatiḥ	/ azwO kalpa-sahasrANi Sakra-tvam pratilapsyate / paMcaviMSatiH
   kalpasahasrāṇi śuddhāvāsakāyikānān devānāṃ sahabhāvyatāyāṃ upapatsyate /	kalpa-sahasrANi SudDAvAsa-kAyikAnAn devAnAm sahaBAvyatAyAm upapatsyate /
   aṣṭātṛṃśat kalpasahasrāṇi mahābrahmā bhaviṣyati /	azwAtRMSat kalpa-sahasrANi mahA-brahmA Bavizyati /
   [SaSū 81] navānavatiḥ kalpasahasrāṇi vinipātaṃ na gamiṣyati /	[SaSU 81] navAnavatiH kalpa-sahasrANi vinipAtam na gamizyati /
   kalpaśatasahasraṃ preteṣu nopapatsyate / aṣṭāviṃśati kalpasahasrāṇi	kalpa-Sata-sahasram pretezu na-upapatsyate / azwAviMSati kalpa-sahasrANi
   tiryakṣurnopapatsyate / trayodaśa kalpasahasrāṇyasurakāyikeṣu nopapatsyate	tiryakzuH-na-upapatsyate / trayodaSa kalpa-sahasrANi-asurakAyikezu na-upapatsyate
   / na śastreṇa kālaṃ kariṣyati (na viṣeṇa nāgninā na cāsya	/ na SastreNa kAlam karizyati (na vizeNa na-agninA na ca-asya
   paropakramabhayaṃ bhaviṣyati) /	para-upakrama-Bayam Bavizyati) /
   [SaSū 82] paṃcaviṃśatiḥ kalpasahasrāṇi na duṣprajño bhaviṣyati / sapta	[SaSU 82] paMcaviMSatiH kalpa-sahasrANi na duzprajQaH Bavizyati / sapta
   kalpasahasrāṇi prajñācarito bhaviṣyati / nava kalpasahasrāṇi prāsādiko	kalpa-sahasrANi prajQAcaritaH Bavizyati / nava kalpa-sahasrANi prAsAdikaH-
   bhaviṣyati / darśanīyaḥ yathā tathāgatasyārhataḥ samyaksaṃbuddhasya	Bavizyati / darSanIyaH yaTA taTAgatasya-arhataH samyaksaMbudDasya
   rūpakāyapariniṣpattistathā tasya bhaviṣyati / paṃcadaśa kalpasahasrāṇi na	rUpa-kAya-parinizpattiH-taTA tasya Bavizyati / paMcadaSa kalpa-sahasrANi na
   strībhāveṣūpapatsyate / ṣoḍaśa kalpasahasrāṇi vyādhiḥ kāye nākramiṣyati /	strI-BAvezu-upapatsyate / zoxaSa kalpa-sahasrANi vyADiH kAye na-Akramizyati /
   paṃcatṛṃśatkalpasahasrāṇi divyacakṣurbhaviṣyati /	paMcatRMSat-kalpa-sahasrANi divya-cakzuH-Bavizyati /
   [SaSū 83] ekonaviṃśat kalpasahasrāṇi nāgayoniṣu nopapatsyate / ṣaṭ	[SaSU 83] ekonaviMSat kalpa-sahasrANi nAga-yonizu na-upapatsyate / zax-
   kalpasahasrāṇi na krodhābhibhūto bhaviṣyati / sapta kalpasahasrāṇi	kalpa-sahasrANi na kroDa-aBiBUtaH Bavizyati / sapta kalpa-sahasrANi
   daridrakuleṣu nopapatsyate / aśītiḥ kalpasahasrāṇi dvau dvīpau paribhuṃkte	daridra-kulezu na-upapatsyate / aSItiH kalpa-sahasrANi dvO dvIpO pariBuMkte
   / yadā daridro bhavati tadā īdṛśaṃ sukhaṃ pratilapsyate / dvādaśa	/ yadA daridraH Bavati tadA IdRSam suKam pratilapsyate / dvAdaSa
   kalpasahasrāṇi andhayoniṣu nopapatsyate / trayodaśa kalpasahasrāṇi apāyeṣu	kalpa-sahasrANi anDa-yonizu na-upapatsyate / trayodaSa kalpa-sahasrANi apAyezu
   nopapatsyate / ekādaśa kalpasahasrāṇi kṣāntivādī bhaviṣyati /	na-upapatsyate / ekAdaSa kalpa-sahasrANi kzAnti-vAdI Bavizyati /
   maraṇakālasamaye carimavijñānanirodhe vartamāne na viparītasaṃjñī	maraNa-kAla-samaye carima-vijQAna-niroDe vartamAne na viparIta-saMjQI
   bhaviṣyati / na ca krodhābhibhūto bhaviṣyati /	Bavizyati / na ca kroDa-aBiBUtaH Bavizyati /
   [SaSū 84] sa pūrvasyān diśi dvādaśa gaṃgānadībālikāsamān buddhān	[SaSU 84] sa pUrvasyAn diSi dvAdaSa gaMgA-nadI-bAlikA-samAn budDAn
   bhagavataḥ saṃmukhan drakṣyati / dakṣiṇasyāṃ diśi viṃśatirbuddhakoṭī	BagavataH saMmuKan drakzyati / dakziNasyAm diSi viMSatiH-budDa-kowI
   saṃmukhan drakṣyati / paścimasyān diśi paṃcaviṃśatirgaṃgānadībālikāsamān	saMmuKan drakzyati / paScimasyAn diSi paMcaviMSatiH-gaMgA-nadI-bAlikA-samAn
   buddhān bhagavataḥ saṃmukhaṃ drakṣyati / uttarasyān diśi	budDAn BagavataH saMmuKam drakzyati / uttarasyAn diSi
   viṃśatirgaṃgānadībālukāsamān buddhāṃ bhagavataḥ saṃmukhaṃ drakṣyati /	viMSatiH-gaMgA-nadI-bAlukA-samAn budDAm BagavataH saMmuKam drakzyati /
   urdhvāyāṃ diśi navati koṭīsahasrāṇi buddhānāṃ bhagavatāṃ saṃmukhaṃ	urDvAyAm diSi navati kowI-sahasrANi budDAnAm BagavatAm saMmuKam
   drakṣyati / adhastāddiśi koṭīśataṃ gaṃgānadībālukāsamān buddhān bhagavataḥ	drakzyati / aDastAt-diSi kowI-Satam gaMgA-nadI-bAlukA-samAn budDAn BagavataH
   saṃmukhan drakṣyati /	saMmuKan drakzyati /
   [SaSū 85] te ca sarve tathāgatāstaṃ kulaputramāśvāsayanti / mā bhaiḥ	[SaSU 85] te ca sarve taTAgatAH-tam kula-putram-ASvAsayanti / mA BEH
   kulaputra tvayā saṃghāṭaṃ (sūtran) dharmaparyāyaṃ śrutvā iyantaḥ	kula-putra tvayA saMGAwam (sUtran) Darma-paryAyam SrutvA iyantaH
   sāṃparāyikāni guṇānuśaṃsamukhāni ca bhaviṣyanti / paśyasi tvaṃ bhoḥ	sAMparAyikAni guNa-anuSaMsa-muKAni ca Bavizyanti / paSyasi tvam BoH
   kulaputremānyanekāni gaṃgānadībālikāsamāni	kula-putra-imAni-anekAni gaMgA-nadI-bAlikA-samAni
   tathāgatakoṭīniyutaśatasahasrāṇi / āha / paśyāmi bhagavan paśyāmi sugata /	taTAgata-kowI-niyuta-Sata-sahasrANi / Aha / paSyAmi Bagavan paSyAmi sugataH /
   (bhagavān) āha / ete bhoḥ kulaputra tathāgatāstava sakāśamupasaṃkrāntā	(BagavAn) Aha / ete BoH kula-putra taTAgatAH-tava sakASam-upasaMkrAntA
