   atha śrīvātūlanāthasūtrāṇi	aTa SrI-vAtUla-nATa-sUtrANi
   dvayaprathāpādikā grāhyagrāhakaparigrahagrathitā sthitirūpā / mananā ca	dvaya-praTApAdikA grAhya-grAhaka-parigraha-graTitA sTiti-rUpA / mananA ca
   saṃkalpavikalpollāsarūpā sṛṣṭiḥ / etadrūpasya devīcatuṣṭayasya ca	saMkalpa-vikalpa-ullAsa-rUpA sRzwiH / etat-rUpasya devI-catuzwayasya ca
   "*ullāsena*" ghasmarasaṃvitpravāhapravṛttyā prathanena "*sadaiva*"	"*ullAsena*" Gasmara-saMvid-pravAha-pravRttyA praTanena "*sadA-eva*"
   sarvakālaṃ pratyekaṃ cāturātmyenodyogābhāsacarvaṇālaṃgrāsavapuṣā	sarvakAlam pratyekam cAturAtmya-ina-udyoga-ABAsa-carvaNa-alaMgrAsa-vapuzA
   svasvarūpāvasthitir pañcamapadātiśāyinī niravakāśasaṃvinniṣṭhā sthitety	sva-svarUpa-avasTitiH paQcama-padAti-SAyinI niravakASa-saMvid-nizWA sTitA-iti-
   arthaḥ / /9	arTaH / /9
   ity anena sūtreṇa devīcatuṣṭayakathākramaṃ prakāśya, idānīṃ	iti anena sUtreNa devI-catuzwaya-kaTA-kramam prakASya, idAnIm
   dvādaśavāhacakrarahasyaṃ nirūpyate	dvAdaSa-vAha-cakra-rahasyam nirUpyate
   VaSu: dvādaśavāhodayena mahāmarīcivikāsaḥ //	VaSu: dvAdaSa-vAha-udayena mahA-marIci-vikAsaH //
   manaḥsaṃhitaṃ śrotrādibuddhīndriyapañcakaṃ, tathā buddhisaṃhitaṃ	manaH-saMhitam Srotra-Adi-budDIndriya-paQcakaM, taTA budDi-saMhitam
   vāgādikarmendriyapañcakaṃ, etadubhayasamūhaḥ "*dvādaśavāhaḥ*" / tasyollāso	vAc-Adi-karmendriya-paQcakaM, etat-uBaya-samUhaH "*dvAdaSa-vAhaH*" / tasya-ullAsaH-
   'hetukena kenāpy	ahetukena kena-api-
   ativiśṛṅkhalataradhāmaniruttaranistaraṅgaparasvātantryavṛttyā	ati-viSRFKalatara-DAma-niruttara-nistaraFga-para-svAtantrya-vRttyA
   ghasmarasaṃvitpravāhaḥ / tena "*mahāmarīcīnām*" nirāvaraṇakrameṇa	Gasmara-saMvid-pravAhaH / tena "*mahA-marIcI-nAm*" nirAvaraNa-krameNa
   pratyekasmin pravāhodyogāvabhāsacarvaṇālaṃgrāsaviśrāntirūpāṇāṃ	pratyekasmin pravAha-udyoga-avaBAsa-carvaNa-alaMgrAsa-viSrAnti-rUpANAm
   mahāsaṃvidraśmīnāṃ "*vikāsaḥ*" niyatāniyatacidacitprathāvigalanena	mahA-saMvid-raSmInAm "*vikAsaH*" niyata-aniyatacida-cit-praTA-vigalanena
   nityavikasvarasvabhāvo mahāprabodhaḥ satatam avinaśvaratayā sarvatra	nitya-vikasvara-svaBAvaH mahA-praboDaH satatam avinaSvara-tayA sarvatra
   sarvataḥ sarvadaiva sthiteti mahāvākyārthaḥ //	sarvatas sarvadA-eva sTitA-iti mahA-vAkya-arTaH //
   ity akaraṇasiddhaṃ sadaiva nirāvaraṇapadasamāveśaṃ dvādaśavāhodayadṛśā	iti akaraNa-sidDam sadA-eva nirAvaraNa-pada-samAveSam dvAdaSa-vAha-udaya-dRSA
   prakāśya, idānīṃ caryāpañcakasaṃpradāyaṃ nirūpyanti	prakASya, idAnIm caryA-paQcaka-saMpradAyam nirUpyanti
   VaSu1: caryāpañcakodaye nistaraṅgasamāveśaḥ //	VaSu1: caryA-paQcaka-udaye nistaraFga-samAveSaH //
   "*caryāpañcakaṃ*" tv anāśritāvadhūtonmattasarvabhakṣyamahāvyāpakasvarūpaṃ	"*caryA-paQcakaM*" tu anASrita-avaDUta-unmatta-sarva-Bakzya-mahA-vyApaka-svarUpam
   / tasyodayo niyatāniyataśaktisamūhāntarodito vikāsasvabhāvollāsaḥ / tasmin	/ tasya-udayaH niyata-aniyata-Sakti-samUha-antara-uditaH vikAsa-svaBAva-ullAsaH / tasmin
   sati "*nistaraṅgasamāveśaḥ*"	sati "*nistaraFga-samAveSaH*"
   āṇavaśāktaśāmbhavodayarūpasamastataraṅgaparivarjitasamāveśalakṣaṇaniruttarasamāveśadharmaiva	ANava-SAkta-SAmBava-udaya-rUpa-samasta-taraFga-parivarjita-samAveSa-lakzaNa-niruttara-samAveSa-DarmA-eva
   prathatetyarthaḥ / caryāpañcakakramaṃ ca vitatya nirūpayāmi / tatrānāśritā	praTatA-iti-arTaH / caryA-paQcaka-kramam ca vitatya nirUpayAmi / tatra-anASritA
   nirādhāratvāt paramākāśarūpā śrotrasuṣirapradeśagamanena	nirADAra-tvAt parama-AkASa-rUpA Srotra-suzira-pradeSa-gamanena
   svagrāhyavastūpasaṃharaṇāyodgatā / avadhūtā cāniyatatayā	sva-grAhya-vastu-upasaMharaNAya-udgatA / avaDUtA ca-aniyata-tayA
   sarvatraviharaṇadṛkśaktimārgeṇa svasaṃhāryasvīkaraṇāyonmiṣitā / unmattā ca	sarvatra-viharaNa-dRS-Sakti-mArgeNa sva-saMhArya-svIkaraNAya-unmizitA / unmattA ca
   vicittavatsvatantratayā grāhyāgrāhyasaṃbandhāvivakṣayā svaviṣayagrahaṇāya	vicitta-vat-svatantra-tayA grAhyA-grAhya-saMbanDa-avivakzayA sva-vizaya-grahaNAya
   prathitā / sarvabhakṣyā bhakṣyasaṃskāranikhilakavalanaśīlā	praTitA / sarva-BakzyA Bakzya-saMskAra-niKila-kavalana-SIlA
   svasaṃhāryapadārthagrasanāyoditā / sarvavyāpikā ca	sva-saMhArya-padArTa-grasanAya-uditA / sarva-vyApikA ca
   tvagvṛttigamanikayā nikhilavyāpakatvād aśeṣasparśasvīkaraṇāyonmiṣitā; iti	tvac-vRtti-gamanikayA niKila-vyApaka-tvAt aSeza-sparSa-svIkaraNAya-unmizitA; iti
   caryāpañcakodayaḥ //	caryA-paQcaka-udayaH //
   satatasiddhacaryākramaṃ nirūpya, idānīṃ	satata-sidDa-caryA-kramam nirUpya, idAnIm
   nirniketaparajñānaprakāśāvalambanena puṇyapāpanivṛttikathāṃ nirūpayanti	nirniketa-para-jQAna-prakASa-avalambanena puNya-pApa-nivRtti-kaTAm nirUpayanti
   VaSu: mahābodhasamāveśāt puṇyapāpasaṃbandhaḥ //	VaSu: mahA-boDa-samAveSAt puNya-pApa-saMbanDaH //
   "*mahābodhaḥ*" ca jñātṛjñānajñeyavikalpasaṃkalpakāluṣyanirmukto	"*-mahA-boDaH*" ca jQAtR-jQAna-jQeya-vikalpa-saMkalpa-kAluzya-nirmuktaH-
   niḥśamaśamāniketanirdhāmadhāmaprathātmakaḥ paratarajñānasvabhāvaḥ	niHSama-Sama-aniketa-nirDAma-DAma-praTA-AtmakaH paratara-jQAna-svaBAvaH
   kramākramottīrṇatvān mahāgurubhir sākṣātkṛtaḥ / tasya "*samāveśaḥ*"	krama-Akrama-uttIrNa-tvAt mahA-guruBiH sAkzAtkRtaH / tasya "*-samAveSaH*"
   akaraṇakrameṇa yathāsthitasaṃniveśena tyāgasvīkāraparihārataḥ satatam	akaraNa-krameNa yaTA-sTita-saMniveSena tyAga-svIkAra-parihArataH satatam
   acyutavṛttyā tadrūpeṇa sphuraṇam / tasmāt "*mahābodhasamāveśat*"	acyuta-vRttyA tad-rUpeNa sPuraNam / tasmAt "*-mahA-boDa-samAveSat*"
   puṇyapāpayor śubhāśubhalakṣaṇakarmaṇor dvayor svaphaladvayavitaraṇaśīlayor	puNya-pApayoH SuBa-aSuBa-lakzaNa-karmaNoH dvayoH sva-Pala-dvaya-vitaraNa-SIlayoH-
   "*asaṃbandhaḥ*" asaṃśleṣo 'saṃyogaś cānavarataṃ jīvata eva	"*a-saMbanDaH*" asaMSlezaH asaMyogaH ca-anavaratam jIvate eva
   vīravarasyāpaścimajanmanaḥ kasya cit sarvakālam	vIravarasya-apaScima-janmanaH kasya cit sarvakAlam
   akṛtakānubhavarasacarvaṇasaṃtṛptasya bhavabhūmāv eva	akRtaka-anuBava-rasa-carvaNa-saMtRptasya Bava-BUmO eva
   bandhamokṣobhayottīrṇamahāmuktir karatalāmalakavat sthitety arthaḥ //	banDa-mokza-uBaya-uttIrNa-mahAmuktiH kara-tala-Amalaka-vat sTitA-iti arTaH //
   svasvarūpaprāptipūrvakaṃ puṇyapāpatiraskāracarcākramam uktvā, idānīṃ	sva-svarUpa-prApti-pUrvakam puNya-pApa-tiraskAra-carcA-kramam uktvA, idAnIm
   svarasiddhamaunakathām udghāṭayanti	svara-sidDa-mOna-kaTAm udGAwayanti
   VaSu: akathanakathābalena mahāvismayamudrāprāptyā khasvaratā //	VaSu: akaTana-kaTA-balena mahA-vismaya-mudrA-prAptyA Ka-svaratA //
   "*akathanakathābalaṃ*" gurumukhopadiṣṭasaṃpradāyakrameṇa manāg iha	"*akaTana-kaTA-balaM*" guru-muKa-upadizwa-saMpradAya-krameNa manAk iha
   carcyate / asya akārasya	carcyate / asya akArasya
   (1)hata(2)anāhata(3)anāhatahata(4)anāhatahatottīrṇatayā	(1)hata-(2)anAhata(3)anAhata-hata-(4)ana-Ahata-hata-uttIrNa-tayA
   caturdhoditarūpasya kathanaṃ vaktrāmnāyacarcāsaṃniveśanam ity akathanaṃ /	caturDA-udita-rUpasya kaTanam vaktra-AmnAya-carcA-saMniveSanam iti akaTanam /
   tatra hatas tāvat kathyate hṛtkaṇṭhatālvādisthānakaraṇasaṃniveśair hato	tatra hataH tAvat kaTyate hRd-kaNWa-tAlu-Adi-sTAna-karaNa-saMniveSEH hataH-
   'kārādihakāraparyantanānāpadārthāvabhāsakaḥ / anāhataś	akArAt-ihakAra-paryanta-nAnA-padArTa-avaBAsakaH / anAhataH-
   cāsvaramūlollasitaparanādavisphāras tantrīmadhyamāsvarasaṃketako	ca-asvara-mUla-ullasita-para-nAda-visPAraH tantrI-maDyamAsvara-saMketakaH-
   'akaṇṭhakūpāntād upacārataḥ kṛtapratiṣṭhaḥ / anāhatahataś	aakaNWa-kUpa-antAt upacArataH kRta-pratizWaH / anAhata-hata-H-
   cobhayāśritonmiṣito 'hato viśrāntaśaṣkulīśravaṇagopanodbhinnaprathaḥ	ca-uBaya-ASrita-unmizitaH ahataH viSrAnta-SazkulI-SravaNa-gopana-udBinna-praTaH
   śravaṇayugmamadhyavartyākāśāt tattvapratibimbatattvadehato 'pi hato	SravaNa-yugma-maDya-varti-AkASAt tattva-pratibimba-tattva-dehataH api hataH-
   'nāhatahataḥ / anāhatahatottīrṇaś ca mahānirāvaraṇadhāmasamullasito	anAhata-hataH / anAhata-hata-uttIrNaH ca mahAnirAvaraNa-DAma-samullasitaH-
   'vikalpaḥ	avikalpaH
   īṣaccalattātmakamahāspandaprathamakoṭirūpaḥ svaraḥ saṃkocavikāsavirahāt	Izat-calattA-Atmaka-mahA-spanda-praTama-kowi-rUpaH svaraH saMkoca-vikAsa-virahAt-
   paramavikāsarūpo 'sparśadharmānuccāryamahāmantraprathātmakaḥ / tathā	parama-vikAsa-rUpaH asparSa-DarmAnuccArya-mahA-mantra-praTA-AtmakaH / taTA
   cānāhatahatottīrṇo yaḥ sa śṛṅgāṭakākāro raudrīsvabhāvas turyaḥ /	ca-anAhata-hata-uttIrNaH yaH sa SRFgAwaka-AkAraH rOdrI-svaBAvaH turyaH /
   anāhatahataś cānackakalātmakavaktrasaṃsthāno vāmarūpaḥ suṣuptaḥ / anāhataś	anAhata-hataH ca-anacka-kalA-Atmaka-vaktra-saMsTAnaH vAma-rUpaH suzuptaH / anAhataH-
   ca bāhurūpāmbikāśaktir yāgame nirūpitā tatsvarūpaḥ svapnaḥ / hataś	ca bAhu-rUpa-ambikA-SaktiH yAgame nirUpitA tad-svarUpaH svapnaH / hata-S
   cāyudhākāro jyeṣṭhāsvabhāvo jāgrat / ity	ca-AyuDa-AkAraH jyezWA-svaBAvaH jAgrat / iti-
   etaccatuṣṭayasvabhāvasyādyavarṇasya kathanaṃ pāramparyamukhayuktiviśeṣaḥ /	etat-catuzwaya-svaBAvasya-adya-varNasya kaTanam pAramparya-muKa-yukti-viSezaH /
   tasya balaṃ hatādirūpatrayollasitānāhatahatottīrṇarāvasphurattārūpaṃ	tasya balam hata-Adi-rUpa-traya-ullasita-anAhata-hata-uttIrNa-rAva-sPurat-tA-rUpam
   vīryaṃ tena "*akathanakathābalena*" / tatraivam akathanaṃ	vIryam tena "*akaTana-kaTA-balena*" / tatra-evam akaTanam
   vākprapañcottīrṇam akathanam eva kathanaṃ saṃkramaṇakrameṇa	vAc-prapaQca-uttIrNam akaTanam eva kaTanam saMkramaNa-krameNa
   nirniketasvarūpāvadhānaṃ tad eva balaṃ	nirniketa-svarUpa-avaDAnam tat eva balam
   akṛtakasphārasāraṃ / tena saṃkramaṇaṃ ca manāg iha vitanyate /	akRtaka-sPAra-sAram / tena saMkramaNam ca manAk iha vitanyate /
   prāṇapuryaṣṭakaśūnyapramātṛniviniṣṭābhimānavigalanena	prANa-puryazwaka-SUnya-pramAtR-nivinizwa-aBimAna-vigalanena
   nistaraṅgapravikacacciddhāmabaddhāspado daiśikavaro	nistaraFga-pravikacat-cit-DAma-badDa-AspadaH dESika-varaH-
   niḥspandānandasundaraparamaśūnyadṛgbalena kāryakaraṇakarmanirapekṣatayā	niHspanda-Ananda-sundara-parama-SUnya-dRS-balena kArya-karaNa-karma-nirapekza-tayA
   yad yat kiṃ cit sarvagatātmasvarūpapratipattāv avalokayati tat tat	yat yat kim cit sarva-gata-Atma-svarUpa-pratipattO avalokayati tat tat-
   parataracinmayam eva satataṃ bhavati, iti nāsty atra sandehaḥ / tathā	paratara-cit-mayam eva satatam Bavati, iti na-asti atra sandehaH / taTA
   cānyad vyākhyāntaram āha kathanaṃ tāvat	ca-anyat vyAKyA-antaram Aha kaTanam tAvat-
   ṣaḍdarśanacaturāmnāyamelāpakramasamūheṣu	zaz-darSana-catur-AmnAya-melApa-krama-samUhezu
   pūjanakramoditaniyatāniyatadevatācakrāvalambanena sphurati / iha punaḥ	pUjana-krama-udita-niyatA-niyata-devatA-cakra-avalambanena sPurati / iha punar-
   pūjyapūjakapūjanasaṃbandhaparihāreṇa	pUjya-pUjaka-pUjana-saMbanDa-parihAreNa
   śrīmadvātūlanāthādisiddhapravaravaktrāmnāyadṛśā	SrImat-vAtUlanATa-Adi-sidDa-pravara-vaktra-AmnAya-dRSA
   satatasiddhamahāmarīcivikāsaiva sarvottīrṇasvarūpāvibhinnaḥ sarvadaiva	satata-sidDa-mahA-marIci-vikAsA-eva sarva-uttIrNa-svarUpA-viBinnaH sarva-dEva
   sarvatra virājate, ity akathanakathābalaṃ tena	sarvatra virAjate, iti akaTana-kaTA-balam tena
   mahāvismayaprāptir bhavatīti saṃbandhaḥ / "*mahāvismayaḥ*" ca vigato	mahA-vismaya-prAptiH Bavati-iti saMbanDaH / "*-mahA-vismayaH*" ca vigataH-
   vinaṣṭaḥ smayo mitāmitāhaṅkāradarpaḥ sarvollaṅghanavṛttyā	vinazwaH smayaH mita-amita-ahaFkAra-darpaH sarva-ullaFGana-vRttyA
   svarūpānupraveśaḥ / atha ca mahāvismayaḥ svaparabhedavismaraṇāj jhaṭiti	svarUpa-anupraveSaH / aTa ca mahAvismayaH sva-para-Beda-vismaraNAt Jawiti
   nirantaranirargalakhecaravṛttisamāveśaḥ / saiva sarvamudrāṇāṃ kroḍīkaraṇāt	nirantara-nirargala-Kecara-vRtti-samAveSaH / sA-eva sarva-mudrANAm kroxIkaraNAt-
   "*mudrā*" tasyā maunapadasamāveśamayatā / tayā hetubhūtayā "*khasvaratā*"	"*mudrA*" tasyAH mOna-pada-samAveSa-maya-tA / tayA hetu-BUtayA "*Ka-svaratA*"
   trayodaśakathākathanasāmarasyātmakaḥ khasvaras tasya bhāvaḥ	trayodaSa-kaTA-kaTana-sAmarasya-AtmakaH Ka-svaraH tasya BAvaH
   sāmarasyaprathanaṃ bhavatīty arthaḥ / khasvaras tu kham api bhāvaśūnyam	sAmarasya-praTanam Bavati-iti arTaH / Ka-svaraH tu Kam api BAva-SUnyam
   api svena rāti vyāpnoti svīkarotīty ādatte, iti khasvaraḥ //	api svena rAti vyApnoti svIkaroti-iti Adatte, iti Ka-svaraH //
   ṣaḍdarśanacāturāmnāyikasarvamelāpakathātrayodaśakathāsākṣātkāropadeśabhaṅgyānuttarapadādvayatayā	zaz-darSana-cAturAmnAyika-sarvam-elApa-kaTA-trayodaSa-kaTA-sAkzAtkAra-upadeSa-BaFgyA-anuttara-padA-dvaya-tayA
   kasyacidavadhūtasya pīṭheśvarībhir mahāmelāpasamaye sūtropanibaddho	kasyacid-avaDUtasya pIWeSvarIBiH mahAmelApa-samaye sUtra-upanibadDaH-
   vaktrāmnāyaḥ prakāśitaḥ / tasyaiveha manāk satām avabodhārtham asmābhir	vaktra-AmnAyaH prakASitaH / tasya-eva-iha manAk satAm avaboDa-arTam asmABiH-
   vṛttir iyaṃ kṛteti śivaṃ /	vRttiH iyam kRtA-iti Sivam /
   iti paramarahasyaṃ vāgvikalpaugham uktaṃ /	iti parama-rahasyam vAc-vikalpa-oGam uktam /
   bhavavibhavavibhāgabhrāntimuktena samyak /	Bava-viBava-viBAga-BrAnti-muktena samyak /
   kṛtam anupamam uccair kena cic cidvikāsāt /	kRtam anupamam uccEs kena cit cit-vikAsAt /
   akalitaparasattāsāhasollāsavṛttyā //	akalita-para-sattA-sAhasa-ullAsa-vRttyA //
   samāpto 'yaṃ śrīmadvātūlanāthasūtravṛttiḥ /	samAptaH ayam SrImat-vAtUla-nATa-sUtra-vRttiH /
   kṛtir śrīmadanantaśaktipādānām //	kRtiH SrImat-ananta-Sakti-pAdAnAm //
   śrīmatpratāpabhūbhartur ājñayā prītaye satāṃ /	SrImat-pratApa-BUBartuH AjQayA prItaye satAm /
   Madhusūdanakaulena saṃpadyeyaṃ prakāśitā //	MaDusUdana-kOlena saMpadyeyam prakASitAH //
