   Spandakārikā, prathamo niḥṣyandaḥ	Spanda-kArikA, praTamaH niHzyandaH
   tu cinmayaḥ || VSpkC_1.4:9	tu cit-mayaH || VSpkC_1.4:9
   * yadā tu nijāśuddhayā vakṣyamāṇayāyaṃ svasvarūpaṃ gūhayitvā tiṣṭhati tadā	* yadA tu nija-aSudDayA vakzyamANayA-ayam sva-svarUpam gUhayitvA tizWati tadA
   puryaṣṭakādyavasthāyāṃ sukhitvādirūpatāsya tatrāpi na nirodhas taiḥ	puryazwaka-Adi-avasTAyAm suKitva-Adi-rUpa-tA-asya tatra-api na niroDaH tEH
   sukhādibhir asyety uktam eveti na tattiraskṛto 'yaṃ kadācidapi ||	suKa-AdiBiH asya-iti uktam eva-iti na tat-tiraskRtaH ayam kadAcid-api ||
   VSpkC_1.4:10	VSpkC_1.4:10
   * ahaṃ kṛśo 'haṃ sthūla ityādipratītiparihāreṇa ahaṃ sukhī duḥkhītyādi	* aham kRSaH aham sTUlaH iti-Adi-pratIti-parihAreNa aham suKI duHKI-ityAdi
   vadato 'yamāśayaḥ sukhitvādipratītisaṃbhinnāṃ puryaṣṭakabhūmim antarmukhe	vadataH ayam-ASayaH suKitva-Adi-pratIti-saMBinnAm puryazwaka-BUmim antarmuKe
   pade nimajjayaṃs tadanuṣaṅgeṇa bāhyasyāpi dehaghaṭāder galanāt	pade nimajjayan tad-anuzaFgeNa bAhyasya-api deha-Gawa-AdeH galanAt-
   pratyabhijānāty eva svaṃ śivasvabhāvatvam iti sarvathā	pratyaBijAnAti eva svam Siva-svaBAva-tvam iti sarvaTA
   puryaṣṭakaśamanāyaiva yatna āstheya iti || VSpkC_1.4:11	puryazwaka-SamanAya-eva yatnaH AsTeyaH iti || VSpkC_1.4:11
   * uktopapattisiddhāṃ samastavādānām anupapannatām anuvadann	* ukta-upapatti-sidDAm samasta-vAdAnAm anupapannatAm anuvadan=-
   upapattisiddhaṃ spandatattvam evāstīti pratijānāti yuktyanubhavāgamajño	upapatti-sidDam spanda-tattvam eva-asti-iti pratijAnAti yukti-anuBava-Agama-jQaH-
   rahasyagurupravaraḥ || VSpkC_1.4:12]	rahasi-a-guru-pravaraH || VSpkC_1.4:12]
   na duḥkhaṃ na sukhaṃ yatra na grāhyaṃ grāhakaṃ na ca /	na duHKam na suKam yatra na grAhyam grAhakam na ca /
   na cāsti mūḍhabhāvo'pi tadasti paramārthataḥ // VSpk_1.5 //	na ca-asti mUXa-BAvaH-api tat-asti paramArTataH // VSpc-_1.5 //
   * iha yatkiṃcidduḥkhasukhādyāntaraṃ nīlapītādikaṃ bāhyaṃ grāhyaṃ yac	* iha yat-kiMcid-duHKa-suKa-Adya-antaram nIla-pIta-Adikam bAhyam grAhyam yat-
   caitad grāhakaṃ puryaṣṭakaśarīrendriyādi tattāvatsauṣuptavad	ca-etat grAhakam puryazwaka-SarIra-indriya-Adi tad-tAvat-sOzupta-vat-
   asaṃcetyamānaṃ sphuṭameva nāstīti vaktuṃ śakyam || VSpkC_1.5:1	asaMcetyamAnam sPuwam-eva na-asti-iti vaktum Sakyam || VSpkC_1.5:1
   * yadāpi tu saṃcetyate tadā saṃcetyamānasyāpy asya caitanyamayatvāc	* yadA-api tu saMcetyate tadA saMcetyamAnasya-api asya cEtanya-maya-tvAt-
   caitanyam evāstīty āyātam || VSpkC_1.5:2	cEtanyam eva-asti-iti AyAtam || VSpkC_1.5:2
   * yadāhuḥ /	* yat-AhuH /
   * prakāśātmā prakāśyo 'rthe nāprakāśaś ca sidhyati || VSpkC_1.5:3	* prakASa-AtmA prakASyaH arTe na-aprakASaH ca siDyati || VSpkC_1.5:3
   * iti rahasyatattvavido'smatparameṣṭhinaḥ śrīmadutpaladevapādāḥ	* iti rahasya-tattva-vidaH-asmad-paramezWinaH SrImat-utpala-deva-pAdAH
   śrīmadīśvarapratyabhijñāyām || VSpkC_1.5:4	SrImat-ISvara-pratyaBijQAyAm || VSpkC_1.5:4
   * ihāpi vakṣyate /	* iha-api vakzyate /
   * tatsaṃvedanarūpeṇa tādātmyapratipattitaḥ || VSpkC_1.5:5	* tad-saMvedana-rUpeNa tAdAtmya-pratipattitaH || VSpkC_1.5:5
   * ityato duḥkhasukhādi nīlādi tadgrāhakaṃ ca yatra nāsti	* iti-atas duHKa-suKa-Adi nIla-Adi tad-grAhakam ca yatra na-asti
   tatprakāśaikaghanaṃ tattvamasti || VSpkC_1.5:6	tad-prakASa-eka-Ganam tattvam-asti || VSpkC_1.5:6
   * nanvevaṃ sarvagrāhyagrāhakocchede śūnyātmaiva tattvamityāyātaṃ netyāha	* nanu-evam sarva-grAhya-grAhaka-ucCede SUnya-AtmA-eva tattvam-iti-AyAtam na-iti-Aha
   na cāsti mūḍhabhāvo 'pi iti || VSpkC_1.5:7	na ca-asti mUXa-BAvaH api iti || VSpkC_1.5:7
   * mūḍhabhāvo mūḍhatvaṃ śūnyarūpatāpi yatra nāsti so 'pi hi na prathate	* mUXa-BAvaH mUXa-tvam SUnya-rUpa-tA-api yatra na-asti saH api hi na praTate
   kathamasti prathate cet tarhi prathātmakatvān nāsau kaścit prathaivāsti na	kaTam-asti praTate ced tarhi praTA-Atmaka-tvAt na-asO kaScid praTA-eva-asti na
   ca prathāyāḥ kadācidbhāvo bhavati tadabhāve prathābhāvasyāpyasiddheḥ ||	ca praTAyAH kadAcid-BAvaH Bavati tad-aBAve praTABAvasya-api-asidDeH ||
   VSpkC_1.5:8	VSpkC_1.5:8
   * bhaviṣyati caitat /	* Bavizyati ca-etat /
   * na tu yo 'ntarmukho bhāvaḥ || VSpkC_1.5:9	* na tu yaH antarmuKaH BAvaH || VSpkC_1.5:9
   * ityatra || VSpkC_1.5:10	* iti-atra || VSpkC_1.5:10
   * api ca mūḍhabhāva aiśvaryātmakavimarśaśūnyaprakāśamātratattvo brahmarūpo	* api ca mUXa-BAva ESvarya-Atmaka-vimarSa-SUnya-prakASa-mAtra-tattvaH brahma-rUpaH-
   'pi yatra nāsti yac chrutyantavidaḥ pratipannāḥ vijñānaṃ brahma iti	api yatra na-asti yat Sruti-anta-vidaH pratipannAH vijQAnam brahma iti
   tasyāpi svātantryātmakaspandaśaktiṃ vinā jaḍatvāt || VSpkC_1.5:11	tasya-api svAtantrya-Atmaka-spanda-Saktim vinA jaxa-tvAt || VSpkC_1.5:11
   * yathoktaṃ pratyabhijñāyām /	* yaToktam pratyaBijQAyAm /
   * svabhāvamavabhāsasya vimarśaṃ vidur anyathā /	* svaBAvam-avaBAsasya vimarSam viduH anyaTA /
   * prakāśo 'rthoparakto'pi sphaṭikādijaḍopamaḥ || VSpkC_1.5:12	* prakASaH arTa-uparaktaH-api sPawika-Adi-jaxa-upamaH || VSpkC_1.5:12
   * iti || VSpkC_1.5:13	* iti || VSpkC_1.5:13
   * bhaṭṭanāyakastotre 'pi /	* Bawwa-nAyaka-stotre api /
   * napuṃsakamidaṃ nātha paraṃ brahma phalet kiyat /	* napuMsakam-idam nATa param brahma Palet kiyat /
   * tvatpauruṣī niyoktrī cen na syāttvadbhaktisundarī || VSpkC_1.5:14	* tvad-pOruzI niyoktrI ced na syAt-tvad-Bakti-sundarI || VSpkC_1.5:14
   * iti || VSpkC_1.5:15	* iti || VSpkC_1.5:15
   * evaṃ ca yatra sthitam ityataḥ prabhṛti yattattvaṃ vicāritaṃ tadevāsti	* evam ca yatra sTitam iti-atas praBRti yat-tattvam vicAritam tat-eva-asti
   tac cāstyeva paramārthato yuktyanubhavāgamasiddhena rūpeṇa paramārthata	tat ca-asti-eva paramArTataH yukti-anuBava-Agama-sidDena rUpeNa paramArTa-ta
   eva cākalpitena pūrṇena rūpeṇāsti na tu nīlādivat kalpitena /	eva ca-akalpitena pUrNena rUpeNa-asti na tu nIla-Adi-vat kalpitena /
   * yathoktaṃ mahāgurubhiḥ /	* yaToktam mahA-guruBiH /
   * evamātmanyasatkalpāḥ prakāśasyaiva santy amī /	* evam-Atmani-asat-kalpAH prakASasya-eva santi amI /
   * jaḍāḥ prakāśa evāsti svātmanaḥ svaparātmabhiḥ || VSpkC_1.5:16	* jaxAH prakASaH eva-asti sva-AtmanaH sva-para-AtmaBiH || VSpkC_1.5:16
   * iti || VSpkC_1.5:17	* iti || VSpkC_1.5:17
   * tatrabhavadbhartṛhariṇāpi /	* tatraBavat-BartR-hariNA-api /
   * yadādau ca yadante ca yanmadhye tasya satyatā /	* yat-AdO ca yat-ante ca yad-maDye tasya satya-tA /
   * na yad ābhāsate tasya satyatvaṃ tāvadeva hi || VSpkC_1.5:18	* na yat ABAsate tasya satya-tvam tAvat-eva hi || VSpkC_1.5:18
   * iti || VSpkC_1.5:19	* iti || VSpkC_1.5:19
   * sāvadhāraṇatvāt sarvavākyānām evakāro 'tra trir yojyaḥ /	* sa-avaDAraNa-tvAt sarva-vAkyAnAm eva-kAraH atra tris yojyaH /
   * evamanena sūtreṇa sukhādyākārasaṃvitsaṃtānavādināṃ	* evam-anena sUtreNa suKa-Adi-AkAra-saMvid-saMtAna-vAdinAm
   sukhādikaluṣitapramātṛtattvavādināṃ grāhyagrāhakanānātvavādināṃ sarveṣām	suKa-Adi-kaluzita-pramAtR-tattva-vAdinAm grAhya-grAhaka-nAnAtva-vAdinAm sarvezAm
   abhāvavādināṃ niṣparāmarśaprakāśabrahmavādināṃ ca matam anupapannatvād	aBAva-vAdinAm nizparAmarSa-prakASa-brahma-vAdinAm ca matam anupapanna-tvAt-
   asattvenānūdya pāramārthikaṃ spandaśaktirūpameva tattvam astīti	asattvena-AnUdya pAramArTikam spanda-Sakti-rUpam-eva tattvam asti-iti
   pratijñātam || VSpkC_1.5:20	pratijQAtam || VSpkC_1.5:20
   * atha ca yasminn asmin sopadeśasāvadhānamahānubhāvapariśīlye	* aTa ca yasmin asmin sa-upadeSa-sAvaDAna-mahA-anuBAva-pariSIlye
   sphurattāsāre spandatattve sphurati duḥkhasukhagrāhyagrāhakatadabhāvādikam	sPurat-tAsAre spanda-tattve sPurati duHKa-suKa-grAhya-grAhaka-tadaBAva-Adikam
   idaṃ sad api na kiṃcid eva sarvasyaitac camatkāraikasāratvāt tad evaitad	idam sat api na kiMcid eva sarvasya-etat camatkAra-eka-sAra-tvAt tat eva-etat-
   astīty upadiṣṭam /	asti-iti upadizwam /
   * yanmahāguravaḥ /	* yat-mahA-guravaH /
   * duḥkhānyapi sukhāyante viṣam apy amṛtāyate /	* duHKAni-api suKAyante vizam api amRtAyate /
   * mokṣāyate ca saṃsāro yatra mārgaḥ sa śāṃkaraḥ || VSpkC_1.5:21	* mokzAyate ca saMsAraH yatra mArgaH sa SAMkaraH || VSpkC_1.5:21
   * iti || VSpkC_1.5:22	* iti || VSpkC_1.5:22
   * śāṃkaro mārgaḥ śaṃkarātmasvabhāvaprāptihetuḥ parāśaktirūpaḥ prasaraḥ ||	* SAMkaraH mArgaH SaMkara-Atma-svaBAva-prApti-hetuH parASakti-rUpaH prasaraH ||
   VSpkC_1.5:23	VSpkC_1.5:23
   * evam upapattiparighaṭitatattvapratyabhijñānāya sābhijñānam upāyaṃ	* evam upapatti-pariGawita-tattva-pratyaBijQAnAya sa-aBijQAnam upAyam
   nirūpayati || VSpkC_1.5:24]	nirUpayati || VSpkC_1.5:24]
   yataḥ karaṇavargo 'yaṃ vimūḍho 'mūḍhavat svayam /	yatas karaNa-vargaH ayam vimUXaH amUXa-vat svayam /
   sahāntareṇa cakreṇa pravṛttisthitisaṃhṛtīḥ // VSpk_1.6 //	saha-antareNa cakreNa pravRtti-sTiti-saMhRtIH // VSpc-_1.6 //
   labhate tatprayatnena parīkṣyaṃ tattvamādarāt /	laBate tat-prayatnena parIkzyam tattvam-AdarAt /
   yataḥ svatantratā tasya sarvatreyam akṛtrimā // VSpk_1.7 //	yatas svatantra-tA tasya sarvatra-iyam akRtrimAH // VSpc-_1.7 //
   * tannirṇītaṃ tattvam ādarāt śraddhayā prayatnena ca /	* tat-nirNItam tattvam AdarAt SradDayA prayatnena ca /
   * udyamo bhairavaḥ /	* udyamaH BEravaH /
   * iti śivasūtrapratipāditena sarvabhedopasaṃhārātmanā	* iti SivasUtra-pratipAditena sarva-Beda-upasaMhAra-AtmanA
   nijaujovṛttisphāraṇarūpeṇa paripūrṇāntarmukhasvarūpasevanātmanā	nija-ojaH-vRtti-sPAraNa-rUpeNa paripUrNa-antarmuKa-svarUpa-sevana-AtmanA
   bhairavarūpeṇodyamena parīkṣyam || VSpkC_1.6-7:1	BErava-rUpeNa-udyamena parIkzyam || VSpkC_1.6-7:1
   * yata iyamiti sarvasya svasaṃviditā tasya śaṃkarātmanaḥ	* yatas iyam-iti sarvasya sva-saMviditA tasya SaMkara-AtmanaH
   svasvabhāvasyākṛtrimā sahajā spandatattvarūpā svatantratā sarvatra	sva-svaBAvasya-akRtrimA sahajA spanda-tattva-rUpA svatantra-tA sarvatra
   jaḍājaḍaviṣaye sphurantī sthiteti śeṣaḥ /	jaxa-ajaxa-vizaye sPurantI sTitA-iti SezaH /
   * kiṃ tat tattvam ityāha yata ityādi labhata ityantam || VSpkC_1.6-7:2	* kim tat tattvam iti-Aha yatas ityAdi laBate iti-antam || VSpkC_1.6-7:2
   * ayamiti lokaprasiddho golakādirūpo na tu śāstritastasya	* ayam-iti loka-prasidDaH golaka-Adi-rUpaH na tu SAstritaH-tasya
   nityaparokṣatvenāyamiti nirdeśābhāvāt karaṇavargas trayodaśendriyāṇi	nitya-parokza-tvena-ayam-iti nirdeSa-aBAvAt karaNa-vargaH trayodaSa-indriyANi
   viśeṣeṇa mūḍho māyāvaśāj jaḍābhāsībhūto 'ṇor mūḍhād apyadhikaṃ mūḍhatvaṃ	viSezeNa mUXaH mAyA-vaSAt jaxa-ABAsIBUtaH aNoH mUXAt api-aDikam mUXa-tvam
   prāpto 'mūḍhavac cetanavat svayaṃ pravṛttisthitisaṃhṛtīr labhate	prAptaH amUXa-vat cetana-vat svayam pravRtti-sTiti-saMhRtIH laBate
   viṣayonmukhībhavati tatra rajyate tataśca nivartata ityarthaḥ ||	vizaya-unmuKIBavati tatra rajyate tatas-ca nivartate iti-arTaH ||
   VSpkC_1.6-7:3	VSpkC_1.6-7:3
   * kathaṃ sahāntareṇa cakreṇa ihāntaraṃ cakraṃ karaṇeśvaryo nāntaḥkaraṇāni	* kaTam saha-antareNa cakreNa iha-antaram cakram karaNa-ISvaryaH na-antaHkaraNAni
   teṣāṃ vargaśabdena svīkārāt na vakṣyamāṇaṃ puryaṣṭakaṃ	tezAm varga-Sabdena svIkArAt na vakzyamANam puryazwakam
   tatsthasyāntaḥkaraṇatrayasya vargaśabdenaiva gṛhītatvāt tanmātrāṇāṃ ca	tad-sTasya-antaHkaraNa-trayasya varga-Sabdena-eva gRhIta-tvAt tanmAtrANAm ca
   vāsanāmātrarūpāṇām upadeśyam ayoginaṃ prati sākṣāt	vAsanA-mAtra-rUpANAm upadeSyam ayoginam prati sAkzAt-
   pravṛttyādikartṛtvenāsiddheḥ yoginastu sākṣāt kṛtatanmātrasya svayameva	pravRtti-Adi-kartR-tvena-asidDeH yoginaH-tu sAkzAt kRta-tanmAtrasya svayam-eva
   paratattvapariśīlanāvahitasyopadeśyatvābhāvāt tasmād etadekīyamatam asat	para-tattva-pariSIlana-avahitasya-upadeSya-tva-aBAvAt tasmAt etat-ekIya-matam asat-
   || VSpkC_1.6-7:4	|| VSpkC_1.6-7:4
   * vimūḍho 'mūḍhavad ityanena karaṇavarga eva saṃbandhyo natvantaramapi	* vimUXaH amUXa-vat iti-anena karaNa-vargaH eva saMbanDyaH na-tu-antaram-api
   karaṇeśvarīcakraṃ tasya ciccamatkārarūpatvāt || VSpkC_1.6-7:5	karaNa-ISvarI-cakram tasya cit-camatkAra-rUpa-tvAt || VSpkC_1.6-7:5
   * evam abhidadhānasyāyam āśayaḥ yadayaṃ śaṃkarātmā svasvabhāvo	* evam aBidaDAnasya-ayam ASayaH yat-ayam SaMkara-AtmA sva-svaBAvaH-
   'tidurghaṭakariṇaḥ svātantryād yugapadeva saṃvittisāraṃ ca	ati-durGawa-kariNaH svAtantryAt yugapad-eva saMvitti-sAram ca
   karaṇeśvarīcakraṃ jaḍābhāsarūpaṃ ca karaṇavargam ekatayaiva nirbhāsayan	karaNa-ISvarI-cakram jaxa-ABAsa-rUpam ca karaNa-vargam eka-tayA-eva nirBAsayan
   pravṛttisthitisaṃhṛtīḥ kārayati yena bhagavatyaḥ karaṇeśvaryo yathā	pravRtti-sTiti-saMhRtIH kArayati yena BagavatyaH karaNa-ISvaryaH yaTA
   tattadbhāvasṛṣṭyādi vidadhati tathā karaṇavargo jaḍo 'pi tatkārīva	tad-tad-BAva-sRzwi-Adi vidaDati taTA karaNa-vargaH jaxaH api tad-kArI-iva
   lakṣyate || VSpkC_1.6-7:6	lakzyate || VSpkS_1.6-7:6
   * yadyapi rahasyadṛṣṭau na kaścij jaḍaḥ karaṇavargo 'sti apitu	* yadi-api rahasya-dRzwO na kaScid jaxaH karaNa-vargaH asti apitu
   vijñānadehāḥ karaṇeśvarya eva vijṛmbhante tathāpīha	vijQAna-dehAH karaNa-ISvaryaH eva vijRmBante taTA-api-iha
   suprasiddhapratītyanusāreṇopadeśyaḥ krameṇa rahasyārthopadeśe 'nupraveśya	su-prasidDa-pratIti-anusAreNa-upadeSyaH krameNa rahasya-arTa-upadeSe anupraveSya
   ityevam uktam || VSpkC_1.6-7:7	iti-evam uktam || VSpkC_1.6-7:7
   * evaṃ ca golakādirūpakaraṇavargāpravṛttyādikrameṇa tadadhiṣṭhātṛrūpaṃ	* evam ca golaka-Adi-rUpa-karaNa-varga-apravRtti-Adi-krameNa tad-aDizWAtR-rUpam
   nijamarīcicakraṃ cinvānenaiva tadubhayapracodakaṃ śrīmacchaṃkarātmakaṃ	nija-marIci-cakram cinvA-anena-eva tad-uBaya-pracodakam SrImat-SaMkara-Atmakam
   svasvarūpaṃ parīkṣaṇīyaṃ yatas tatprāptau tadīyākṛtrimā svatantratāsya	sva-svarUpam parIkzaNIyam yatas tad-prAptO tadIyA-kRtrimA svatantra-tA-asya
   yoginaḥ syād ity apy anenaivoktaṃ bhavati || VSpkC_1.6-7:8	yoginaH syAt iti api anena-eva-uktam Bavati || VSpkC_1.6-7:8
   * tadetadeva parīkṣaṇārhaṃ paramopādeyatvād etadeva ca parīkṣituṃ	* tat-etat-eva parIkzaNa-arham parama-upAdeya-tvAt etat-eva ca parIkzitum
   śakyamuktayuktyā sukhopāyatvāt ata	Sakyam-ukta-yuktyA suKa-upAya-tvAt atas-
   evādareṇābhilaṣitaviṣayopabhogānirodhātmanā bahumānena || VSpkC_1.6-7:9	eva-AdareNa-aBilazita-vizaya-upaBoga-aniroDa-AtmanA bahu-mAnena || VSpkC_1.6-7:9
   * atra parīkṣaṇasyehatyopadeśānusāreṇa prāptakālatā || VSpkC_1.6-7:10	* atra parIkzaNasya-ihatya-upadeSa-anusAreNa prApta-kAla-tA || VSpkC_1.6-7:10
   * yathoktaṃ rahasyagurubhiḥ /	* yaToktam rahasya-guruBiH /
   * nijanijeṣu padeṣu patantv imāḥ karaṇavṛttaya ullasitā mama /	* nija-nijezu padezu patantu imAH karaNa-vRttayaH ullasitAH mama /
   * kṣaṇam apīśa manāgapi maiva bhūt tvadvibhedarasakṣatisāhasam ||	* kzaNam api-ISa manAk-api mA-eva BUt tvad-viBeda-rasa-kzati-sAhasam ||
   VSpkC_1.6-7:11	VSpkC_1.6-7:11
   * iti || VSpkC_1.6-7:12	* iti || VSpkC_1.6-7:12
   * parīkṣyam ity arhe śakye prāptakālatāyāṃ praiṣādau ca kṛtyaḥ ||	* parIkzyam iti arhe Sakye prApta-kAla-tAyAm prEzAdO ca kRtyaH ||
   VSpkC_1.6-7:13	VSpkC_1.6-7:13
   * atha ca jaḍaḥ karaṇavargo yad balād amūḍhavat pravṛttyādi labhate iti	* aTa ca jaxaH karaNa-vargaH yat balAt amUXa-vat pravRtti-Adi laBate iti
   sarvasyānubhavasākṣikam abhidadhadindriyādicaitanyavādicārvākamatam	sarvasya-anuBava-sAkzikam aBidaDat-indriya-Adi-cEtanya-vAdi-cArvAka-matam
   apyanena vyudastavān || VSpkC_1.6-7:14	api-anena vyudastavAn || VSpkC_1.6-7:14
   * atha kathamuktaṃ tatas tattvāc cetanatām ivāsādyendriyāṇi svayaṃ	* aTa kaTam-uktam tatas tattvAt cetanatAm iva-AsAdya-indriyANi svayam
   pravṛttyādi labhanta iti yāvatāyam eva grāhaka icchayā dātrādīnīva	pravRtti-Adi laBante iti yAvatA-ayam eva grAhakaH icCayA dAtR-AdIni-iva
   karaṇāni prerayati || VSpkC_1.6-7:15	karaNAni prerayati || VSpkC_1.6-7:15
   * yad apyuktaṃ tat tattvaṃ prayatnena parīkṣyam iti tadapi kathaṃ yato	* yat api-uktam tat tattvam prayatnena parIkzyam iti tat-api kaTam yatas-
   'smākam icchā bahir evānudhāvati na tu tattvaparīkṣāyāṃ pravartitum	asmAkam icCA bahis eva-anuDAvati na tu tattva-parIkzAyAm pravartitum
   utsahata ity āśaṅkyāha || VSpkC_1.6-7:16]	utsahate iti ASaFkya-Aha || VSpkC_1.6-7:16]
   na hīcchānodanasyāyaṃ prerakatvena vartate /	na hi-icCAnodanasya-ayam preraka-tvena vartate /
   api tv ātmabalasparśāt puruṣas tatsamo bhavet // VSpk_1.8 //	api tu Atma-bala-sparSAt puruzaH tad-samaH Bavet // VSpc-_1.8 //
   * ayaṃ laukikaḥ puruṣa icchaiva nodanaṃ pratodastasya prerakatvena	* ayam lOkikaH puruzaH icCA-eva nodanam pratodaH-tasya preraka-tvena
   karaṇapravartanārthavyāpāraṇāya yasmān na pravartate api tu ātmanaś	karaNa-pravartana-arTa-vyApAraNAya yasmAt na pravartate api tu AtmanaH-
   cidrūpasya yad balaṃ spandatattvātmakaṃ tatsparśāt tatkṛtāt kiyanmātrād	cit-rUpasya yat balam spanda-tattva-Atmakam tat-sparSAt tad-kRtAt kiyat-mAtrAt-
   āveśāt tatsamo bhavet ahaṃtārasavipruḍabhiṣekādacetano 'pi cetanatām	AveSAt tad-samaH Bavet ahaMtA-rasa-vipruxaBizekAt-acetanaH api cetanatAm
   āsādayatyeva || VSpkC_1.8:1	AsAdayati-eva || VSpkC_1.8:1
   * tatas tat tattvaṃ na kevalaṃ karaṇāni yāvat tatprerakatvena śaṅkitaṃ	* tatas tat tattvam na kevalam karaNAni yAvat tad-preraka-tvena SaFkitam
   kalpitamapi pramātāraṃ cetanīkṛtya svayaṃ pravṛttyādipātraṃ karoti	kalpitam-api pramAtAram cetanIkRtya svayam pravRtti-Adi-pAtram karoti
   yenāsyāyam abhimāno 'haṃ karaṇāni prerayāmīti || VSpkC_1.8:2	yena-asya-ayam aBimAnaH aham karaNAni prerayAmi-iti || VSpkC_1.8:2
   * spandatattvānuvedhaṃ vināpi tu sa eva na kiṃciditi karaṇānāṃ grāhakasya	* spanda-tattva-anuveDam vinA-api tu saH eva na kiMcid-iti karaNAnAm grAhakasya
   ca svaraśmicakraprasarānuvedhena cetanībhāvāpādakaṃ tattvaṃ parīkṣyamiti	ca sva-raSmi-cakra-prasara-anuveDena cetanIBAva-ApAdakam tattvam parIkzyam-iti
   yuktameva || VSpkC_1.8:3	yuktam-eva || VSpkC_1.8:3
   * yadi punar icchākhyena pratodarūpeṇa karaṇāntareṇa karaṇāni prerayet tad	* yadi punar icCA-AKyena pratoda-rUpeNa karaNa-antareNa karaNAni prerayet tat-
   apīcchākhyaṃ karaṇaṃ preryatvāt karaṇāntaraṃ svapreraṇāyāpekṣeta tadapy	api-icCA-AKyam karaNam prerya-tvAt karaNa-antaram sva-preraNAya-apekzeta tat-api-
   anyad ity anavasthā syāt || VSpkC_1.8:4	anyat iti anavasTA syAt || VSpkC_1.8:4
   * yat tūktam asmākamicchā na tatra pravartitum utsahate iti tatrāpyādyaṃ	* yat tu-uktam asmAkam-icCA na tatra pravartitum utsahate iti tatra-api-Adyam
   ślokārdham abhyupagamena paraṃ tūttaratayā yojyam || VSpkC_1.8:5	Sloka-arDam aByupagamena param tu-uttara-tayA yojyam || VSpkC_1.8:5
   * satyaṃ nāyaṃ puruṣastattvaparīkṣārtham icchāṃ pravartayituṃ śaknoti	* satyam na-ayam puruzaH-tattva-parIkzA-arTam icCAm pravartayitum Saknoti
   necchayā tattvaṃ viṣayīkartuṃ kṣamas tasyāvikalpyatvād api tu viṣayān	na-icCayA tattvam vizayIkartum kzamaH tasya-avikalpya-tvAt api tu vizayAn
   anudhāvantīm icchāṃ tadupabhogapuraḥsaraṃ praśamayya yadā tv	anuDAvantIm icCAm tad-upaBoga-puraHsaram praSamayya yadA tu-
   antarmukhamātmabalaṃ spandatattvaṃ svakaraṇānāṃ ca cetanāvahaṃ spṛśati	antarmuKam-Atma-balam spanda-tattvam sva-karaNAnAm ca cetana-Avaham spRSati
   tadā tatsamo bhavet tatsamāveśāt tadvat sarvatra svatantratām āsādayatyeva	tadA tad-samaH Bavet tad-samAveSAt tadvat sarvatra svatantra-tAm AsAdayati-eva
   yasmād evaṃ tasmāt tattvaṃ parīkṣyam ityarthaḥ || VSpkC_1.8:6	yasmAt evam tasmAt tattvam parIkzyam iti-arTaH || VSpkS_1.8:6
   * śaktibhūmeḥ sparśāpradhānatvād ātmabalasparśādity uktam || VSpkC_1.8:7	* Sakti-BUmeH sparSa-apraDAna-tvAt Atma-bala-sparSAt-iti uktam || VSpkC_1.8:7
   * nanu cāyaṃ kṣetrī parameśvaramayo 'pi kiṃ na sadā pāripūrṇyena sphurati	* nanu ca-ayam kzetrI parameSvara-mayaH api kim na sadA pAripUrNyena sPurati
   kasmād antarmukhātmabalasparśam apekṣata ity āśaṅkyāha || VSpkC_1.8:8]	kasmAt antarmuKa-Atma-bala-sparSam apekzate iti ASaFkya-Aha || VSpkC_1.8:8]
   nijāśuddhyāsamarthasya kartavyeṣvabhilāṣiṇaḥ /	nija-aSudDyA-samarTasya kartavyezu-aBilAziNaH /
   yadā kṣobhaḥ pralīyeta tadā syātparamaṃ padam // VSpk_1.9 //	yadA kzoBaH pralIyeta tadA syAt-paramam padam // VSpc-_1.9 //
   * nijā svātmīyā svasvātantryollāsitā yeyaṃ svarūpāvimarśasvabhāvā	* nijA svAtmIyA sva-svAtantrya-ullAsitA yA-iyam svarUpa-avimarSa-svaBAvA
   icchāśaktiḥ saṃkucitā satyapūrṇaṃmanyatārūpā aśuddhir āṇavaṃ malaṃ	icCA-SaktiH saMkucitA satya-pUrNaMmanyatA-rUpA aSudDiH ANavam malam
   tanmalotthitakañcukapañcakāvilatvāt jñānaśaktiḥ krameṇa	tad-mala-utTita-kaQcuka-paQcaka-Avila-tvAt jQAnaSaktiH krameNa
   bhedasarvajñatvakiṃcijjñatvāntaḥkaraṇabuddhīndriyatāpattipūrvam atyantaṃ	Beda-sarvajQa-tva-kiMcid-jQatva-antaHkaraNa-budDIndriya-tA-patti-pUrvam atyantam
   saṃkocagrahaṇena bhinnavedyaprathārūpaṃ māyīyaṃ malamaśuddhir eva	saMkoca-grahaNena Binna-vedya-praTA-rUpam mAyIyam malam-aSudDiH eva
   kriyāśaktiḥ krameṇa	kriyASaktiH krameNa
   bhedasarvakartṛtvakiṃcitkartṛtvakarmendriyarūpasaṃkocagrahaṇapūrvam	Beda-sarva-kartR-tva-kiMcitkartR-tva-karmendriya-rUpa-saMkoca-grahaNa-pUrvam
   atyantaṃ parimitatāṃ prāptā śubhāśubhānuṣṭhānamayaṃ kārmaṃ malam	atyantam parimita-tAm prAptA SuBa-aSuBa-anuzWAna-mayam kArmam malam
   apyaśuddhiḥ tayāsamarthasya pūryajñatvakartṛtvavikalpasya tata eva	api-aSudDiH tayA-asamarTasya pUryajQa-tva-kartR-tva-vikalpasya tatas eva
