   Padmagupta (alias Parimala):	Padmagupta (aliaH Parimala):
   aviralamauktikadāmaraśmijālaiḥ Pnc_3.14b	avirala mOktika dAma raSmi jAlEH Pnc_3.14b
   aviśan naranātha nāma pūrvaṃ Pnc_5.32a	aviSat naranATa nAma pUrvam Pn= _5.32a
   aviśan mārutapītapadmagandhām Pnc_5.36b	aviSat mAruta pIta padma ganDAm Pnd _5.36b
   aviśaṃ tava anupadam eva sudnari Pnc_10.54d	aviSam tava anupadam eva sudnari Pn= _10.54d
   avekṣituṃ hāram iheyam āgatā Pnc_4.24c	avekzitum hAram iha iyam AgatA Pn= _4.24c
   avetya paryutsukalocanām iva Pnc_7.65b	avetya paryutsuka locanAm iva Pnd _7.65b
   avepata samunmīlat  Pnc_6.15a	avepata samunmIlat Pn= _6.15a
   avaimi gītena hṛte kuraṅge Pnc_1.42a	avEmi gItena hRte kuraFge Pn= _1.42a
   avaimi citte nihitaṃ tad asyāḥ Pnc_14.30c	avEmi citte nihitam tat asyAH Pn= _14.30c
   avaimi dikpālapurīr vijitya Pnc_1.34c	avEmi dikpAla purIH vijitya Pn= _1.34c
   avaimi pātālam avāptasandhinā Pnc_7.49c	avEmi pAtAlam avApta sanDinA Pn= _7.49c
   avaimi lokatrayakaṇṭakasya Pnc_9.58c	avEmi lokatraya kaNwakasya Pn= _9.58c
   avaimi saiveyam amogham āyudhaṃ Pnc_7.4a	avEmi sA eva iyam amoGam AyuDam Pn= _7.4a
   avyaktam īśa kila tad dadhate namas te Pnc_18.23d	avyaktam ISa kila tat daDate namaH te Pn= _18.23d
   avyāt sa vo yasya nisargavakraḥ Pnc_1.1a	avyAt sa vaH yasya nisarga vakraH Pnd _1.1a
   aśiśiramahaso visāriṇā khe Pnc_3.48c	aSiSira mahasaH visAriNA Ke Pn= _3.48c
   aśūnyāḥ suragandharva  Pnc_2.54a	aSUnyAH sura ganDarva Pn= _2.54a
   aśeṣabhuvanakhyāta  Pnc_2.27a	aSeza Buvana KyAta Pn= _2.27a
   aśokapuṣpagrathitāṃ dadhānā Pnc_9.20a	aSoka puzpa graTitAm daDAnA Pn= _9.20a
   aśokayaṣṭistabake Pnc_6.2c	aSoka yazwi stabake Pn= _6.2c
   aśokaskandhalagneyaṃ Pnc_6.79a	aSoka skanDa lagneyam Pn= _6.79a
   aśmabhāvam upayānty asūrayaḥ Pnc_8.58d	aSma BAvam upayAnti asUrayaH Pn= _8.58d
   aśrūyata smitamukhena ramāṅgadena Pnc_12.79d	aSrUyata smita muKena rama aFgadena Pn= _12.79d
   asaṅgatāyā api dīrghacakṣuṣaḥ Pnc_4.4c	asaFga tAyAH api dIrGacakzuzaH Pn= _4.4c
   asatām asuhṛn na lajjate 'yaṃ Pnc_5.50a	asatAm asuhRd na lajjate ayam Pnd _5.50a
   asatkaver vāg iva vītasauṣṭhavaṃ Pnc_4.13a	asat kaveH vAc iva vIta sOzWavam Pnd _4.13a
   asatyam etāsu rucā vitanvatī Pnc_4.29c	asatyam etAsu rucA vitanvatI Pn= _4.29c
   asantam apy amba mayi prasannā Pnc_9.31a	asantam api amba mayi prasannA Pn= _9.31a
   asamagranakhāṅgamaṇḍita  Pnc_12.74c	asamagra naKa aFga maNxita Pn= _12.74c
   asamapremahṛtaḥ kileśvaraḥ Pnc_12.72b	asama prema hRtaH kila ISvaraH Pnc_12.72b
   asamāptakutūhalaḥ Pnc_2.44b	asamApta kutUhalaH Pnc_2.44b
   asamāpteṣuvilokanotsavo 'pi Pnc_5.37b	asamApta izu vilokana utsavaH api Pnd _5.37b
   Asameṣor adhidevatām iva Pnc_12.14d	AsamezoH aDidevatAm iva Pn= _12.14d
   asaṃśayaṃ prāg asṛjad vidhātā Pnc_1.82a	asaMSayam prAk asRjat viDAtA Pn= _1.82a
   asāmānyam ivādadhe Pnc_2.21b	asAmAnyam iva adaDe Pn= _2.21b
   asāv anekaskhalitaiḥ samākulā Pnc_4.13c	asO aneka sKalitEH samAkulA Pn= _4.13c
   asāv aśokaiḥ kṣaṇam āśritaiḥ śramāt Pnc_4.17c	asO aSokEH kzaNam ASritEH SramAt Pn= _4.17c
   asāv itaḥ pārthiva dantapatram Pnc_14.47a	asO itas pArTiva dantapatram Pnd _14.47a
   asikāntijālajaṭilāgrabāhunā Pnc_10.15a	asi kAnti jAla jawilA agra bAhunA Pnc_10.15a
   asitanalināvataṃsakām Pnc_15.64b	asita nalina avataMsakAm Pnd _15.64b
   asitāñjanāṅkam abhijāta  Pnc_15.22a	asita aQjana aFkam aBijAta Pn= _15.22a
   asipatrapātrapatitaṃ tvayā yaśaḥ Pnc_10.20d	asipatra pAtra patitam tvayA yaSaH Pn= _10.20d
   asīmasaundaryasudhāvilāsabhūr Pnc_7.73c	asImasA Ondarya suDA vilAsa BUH Pn= _7.73c
   asurapativināśakālarātrim  Pnc_16.120c	asura pati vinASa kAla rAtrim Pn= _16.120c
   asurasya tasya kathitā narendra te Pnc_10.25c	asurasya tasya kaTitAH narendra te Pn= _10.25c
   asuraṃ nihatya sahasaiva tatkṣaṇād Pnc_10.39c	asuram nihatya sahasA eva tad kzaNAt Pn= _10.39c
   asurādhipatiṃ sāmnā Pnc_16.65a	asura aDipatim sAmnA Pn= _16.65a
   asurendra na śakyase Pnc_16.110b	asura indra na Sakyase Pnc_16.110b
   asurendras tam abravīt Pnc_16.78d	asura indraH tam abravIt Pn= _16.78d
   asurendrasya doḥkaṇḍu  Pnc_16.71a	asura indrasya doHkaNxu Pnd _16.71a
   asureṣu kaiva gaṇanā tapasviṣu Pnc_10.33d	asurezu kA eva gaNanA tapasvizu Pn= _10.33d
   asūcayat prasaṅgena Pnc_11.108a	asUcayat prasaFgena Pn= _11.108a
   asūcyatāgrataś caitat  Pnc_11.110c	asu ucyata agratas ca etat Pn= _11.110c
   asūta līlāgṛhadīrghikeha Pnc_9.43c	asUta lIlA gRha dIrGikA iha Pn= _9.43c
   asūyayevātha vimuñcatī dṛśaṃ Pnc_7.44a	asUyayA iva aTa vimuQcatI dRSam Pn= _7.44a
   asṛkpravāheṣu bhṛśaṃ vahatsu Pnc_17.21b	asRk pravAhezu BRSam vahatsu Pnd _17.21b
   asevanta samīrās tam Pnc_2.33a	asevanta samIrAH tam Pnc_2.33a
   asairibham asāraṅgam Pnc_2.31a	asEH iBam asAraFgam Pnd _2.31a
   asau parādhīnatayāspadīkṛtā Pnc_4.23a	asO para aDIna tayA AspadIkRtA Pn= _4.23a
   asau vihārahariṇaḥ Pnc_2.47c	asO vihAra hariNaH Pn= _2.47c
   astācalavyāyatavaprapāti  Pnc_17.24c	astAcala vyAyatava prapAti Pn= _17.24c
   asti kṣitaūjjayinīti nāmnā Pnc_1.17a	asti kzitaUjjayinI iti nAmnA Pn= _1.17a
   asty eva bhakteṣv ativatsalatvāt Pnc_9.31c	asti eva Baktezu ati vatsala tvAt Pn= _9.31c
   astraṃ vilāsāḥ kusumāyudhasya Pnc_1.22d	astram vilAsAH kusumAyuDasya Pn= _1.22d
   asyantīṃ tilakaḥ krudhā Pnc_6.73b	asyantIm tilakaH kruDA Pnd _6.73b
   asya pārśvād anīyata Pnc_11.104b	asya pArSvAt anIyata Pnc_11.104b
   asyākhaṇḍalakodaṇḍa  Pnc_2.50a	asya AKaNxala kodaNxa Pn= _2.50a
   asyā latākṣepavisūtritasya Pnc_14.45a	asyAH latA kzepa visUtritasya Pn= _14.45a
   asyāḥ karotīva saḥ karṇikāraḥ Pnc_14.60d	asyAH karoti iva saH karNikAraH Pn= _14.60d
   asyāḥ kusumakomale Pnc_16.33b	asyAH kusuma komale Pnc_16.33b
   asyāḥ kṣamāpāla vanāntarājer Pnc_14.32a	asyAH kzamA pAla vana anta rAjeH Pn= _14.32a
   asyāḥ pitreti devena Pnc_16.88c	asyAH pitrA iti devena Pn= _16.88c
   asyāḥ śrutau campakam ādadhatyāḥ Pnc_14.65a	asyAH SrutO campakam AdaDatyAH Pn= _14.65a
   asyāḥ sakālāgarupatralekhe Pnc_14.61c	asyAH sa kAla agaru patra leKe Pn= _14.61c
   asyāḥ samagraṃ sukumāratāyāḥ Pnc_14.64b	asyAH samagram sukumAra tAyAH Pnc_14.64b
   asyāḥ saratnatviṣi karṇapāśe Pnc_14.44c	asyAH sa ratna tvizi karNa pASe Pn= _14.44c
   asyāḥ stanataṭe bhāraḥ Pnc_16.42c	asyAH stana tawe BAraH Pn= _16.42c
   asyāḥ stanābhyām adhunā dhṛteyam Pnc_14.54c	asyAH stanAByAm aDunA DRtA iyam Pn= _14.54c
   asyāḥ smarāgnisantaptaṃ Pnc_16.32a	asyAH smara agni santaptam Pn= _16.32a
   asrāruṇasyākṛtim aṅkuśasya Pnc_14.54b	asra aruNasya AkRtim aFkuSasya Pnd _14.54b
   ahaṅkārasya jīvitam Pnc_16.76b	ahaFkArasya jIvitam Pnc_16.76b
   ahamahamikayā kṛtapraveśaṃ Pnc_3.54c	aham ahamikayA kRta praveSam Pn= _3.54c
   aham āgato na mṛgadīrghalocane Pnc_10.55b	aham AgataH na mRga dIrGa locane Pn= _10.55b
   aham ānayāmi tapanīyapaṅkajam Pnc_10.39d	aham AnayAmi tapanIya paFkajam Pn= _10.39d
   aharniśaṃ cūtavaneṣu yasyām Pnc_1.33c	aharniSam cUta vanezu yasyAm Pn= _1.33c
   aharmukhākṛṣṭapataṅgamaṇḍalaḥ Pnc_13.19c	ahar muKa AkRzwa pataFga maNxalaH Pn= _13.19c
   ahaṃ tad asyā makarāṅkite balād Pnc_13.50c	aham tat asyAH makara aFkite balAt Pn= _13.50c
   ahāri lolaṃ nṛpates tayā balāt Pnc_7.2c	ahAri lolam nRpateH tayA balAt Pn= _7.2c
   ahiparivṛḍhakanyālokanāya pratasthe Pnc_5.82d	ahi parivRXa kanyA lokanAya pratasTe Pn= _5.82d
   ahimarucaḥ kiraṇān ivotkṣipantam Pnc_3.12d	ahima rucaH kiraNAn iva utkzipantam Pn= _3.12d
   ahimāṃśor iva bhāsuro mayūkhaḥ Pnc_5.30d	ahimAMSoH iva BAsuraH mayUKaH Pn= _5.30d
   ahirājasutānideśato 'smin Pnc_5.37a	ahi rAja sutA nideSataH asmin Pn= _5.37a
   ahirājasute vilokyatām Pnc_12.49a	ahi rAja sute vilokyatAm Pnd _12.49a
   ahirājendrasutopasarpaṇaṃ te Pnc_5.77b	ahi rAja indra suta upasarpaNam te Pnc_5.77b
   ahetukas tanvi ka eṣa matsaraḥ Pnc_7.53d	ahetukaH tanvi kaH eza matsaraH Pn= _7.53d
   aho kim api kalyāṇam Pnc_16.79a	aho kim api kalyANam Pnc_16.79a
   aho kim api dṛpyase Pnc_16.105d	aho kim api dRpyase Pn= _16.105d
   aho guṇena rājendra Pnc_16.13a	aho guNena rAja indra Pn= _16.13a
   aho dūrasthitenāpi Pnc_6.64a	aho dUra sTitena api Pn= _6.64a
   aho na kasya bhindanti Pnc_6.77a	aho na kasya Bindanti Pnd _6.77a
   aho purāṇarājārṣi  Pnc_11.114a	aho purANa rAja Arzi Pn= _11.114a
   aho bata tvam etasminn Pnc_6.62c	aho bata tvam etasmin Pn= _6.62c
   aho bata vidagdho 'pi Pnc_16.93a	aho bata vidagDaH api Pn= _16.93a
   aho mahatsāhasam etad eva Pnc_1.10a	aho mahat sAhasam etat eva Pn= _1.10a
   aho yaśaḥ pūrvamahīpatīnām Pnc_1.63c	aho yaSaH pUrva mahIpatInAm Pn= _1.63c
   aṃśaḥ purāṇapuruṣasya sa nirjagāma Pnc_18.56b	aMSaH purANapuruzasya sa nirjagAma Pnd _18.56b
   aṃśukena śaradindubandhunā Pnc_8.68a	aMSukena Sarad indu banDunA Pn= _8.68a
   aṃśulekhātaraṅgibhiḥ Pnc_11.79b	aMSu leKA taraFgiBiH Pnd _11.79b
   aṃsavinihitamṛṇālalatā  Pnc_15.26c	aMsa vinihita mRNAla latA Pn= _15.26c
   aṃsaḥ savalkalagranthiḥ Pnc_11.97a	aMsaH sa valkala granTiH Pn= _11.97a
   aṃsāvakīrṇāṃ kabarīṃ vahantī Pnc_9.15b	aMsa avakIrNAm kabarIm vahantI Pnd _9.15b
   aṃsāvalambinīr bibhrat Pnc_11.32a	aMsa avalambinIH biBrat Pn= _11.32a
   aṃsāsaktadhanurlataḥ Pnc_2.94b	aMsa Asakta DanuH lataH Pnc_2.94b
   aṃse bibhartīva tamālanīlaṃ Pnc_14.52c	aMse biBarti iva tamAla nIlam Pn= _14.52c
   ākampitānāṃ maruteva yasya Pnc_1.75a	AkampitAnAm marutA iva yasya Pn= _1.75a
   ākampi ratnāṅkitaketum ete Pnc_14.7b	Akampi ratna aFkita ketum ete Pnd _14.7b
   ākarṇakṛṣṭakodaṇḍas  Pnc_16.35a	AkarNa kRzwa kodaNxas Pn= _16.35a
   ākarṇakṛṣtād dhanuṣaḥ patadbhir Pnc_17.28a	AkarNa kRztAt DanuzaH patadBiH Pnd _17.28a
   ākarṇayann iti saḥ paurajanasya vācaḥ Pnc_18.14b	AkarNayan iti saH pOra janasya vAcaH Pnd _18.14b
   ākarṇavistāritamugdhanetrāḥ Pnc_14.3c	AkarNa vistArita mugDa netrAH Pn= _14.3c
   ākarṇito dikkaribhiḥ sakaṃpaiḥ Pnc_14.2b	AkarNitaH dikkariBiH sa kaMpEH Pnd _14.2b
   ākarṇya bāhvor vijayaprapañcam Pnc_1.65b	AkarNya bAhvoH vijaya prapaQcam Pnd _1.65b
   ākalpakam idaṃ tava Pnc_6.68b	Akalpakam idam tava Pnc_6.68b
   ākalpapallavīphalavac carantu Pnc_9.62d	Akalpa pallavI Pala vat carantu Pn= _9.62d
   ākāram ardhavanitāvapuṣaḥ purārer Pnc_18.51c	AkAram arDa vanitA vapuzaH purAreH Pn= _18.51c
   ākārayitum etayā Pnc_2.69b	AkArayitum etayA Pnc_2.69b
   ākāśagaṅgājalaveṇikeva Pnc_1.23d	AkASa gaFgA jala veNikA iva Pn= _1.23d
   ākāśataḥ kiñcidadhaḥ pravṛttā Pnc_14.30b	AkASataH kiQcid aDas pravRttA Pnd _14.30b
   ākṛtis tasya sā mude Pnc_11.37d	AkRtiH tasya sA mude Pn= _11.37d
   ākṛṣṭakarṇotpalavibhramāṇi Pnc_14.5b	AkRzwa karNa utpala viBramANi Pnd _14.5b
   ākṛṣṭanānāvidhapuṣpagandhaḥ Pnc_14.27b	AkRzwa nAnAviDa puzpa ganDaH Pnc_14.27b
   ākṛṣya bhartum ānītam Pnc_6.109c	AkRzya Bartum AnItam Pn= _6.109c
   ākṛṣyamāṇasya śarāsanasya Pnc_17.55b	AkRzyamANasya SarAsanasya Pn= _17.55b
   ākrāntadiṅmaṇḍalakuntalendra  Pnc_1.74a	AkrAnta diS maNxala kuntala indra Pn= _1.74a
   ākṣipya muktāḥ kapayaḥ kṣipanti Pnc_14.45d	Akzipya muktAH kapayaH kzipanti Pn= _14.45d
   ākṣipya hārān nijavikramāgni  Pnc_1.70a	Akzipya hArAn nija vikrama agni Pn= _1.70a
   ākhyātavān smitasudhāsnapitauṣṭhabimbas Pnc_13.65c	AKyAtavAn smita suDA sna pitA ozWa bimbaH Pn= _13.65c
   āgrataḥ kautukena sa Pnc_2.20d	Agratas kOtukena sa Pn= _2.20d
   āghrātarāmāmukhapadmagandhaḥ Pnc_14.41b	AGrAtarAmA muKa padma ganDaH Pnc_14.41b
   ācumbatī pāṇḍukapolalekhaṃ Pnc_9.21c	AcumbatI pANxu kapola leKam Pn= _9.21c
   ājānubāhum avalokya narendracandram Pnc_18.7b	AjAnu bAhum avalokya narendra candram Pnc_18.7b
   ājñām ivodghoṣayati smarasya Pnc_1.29d	AjQAm iva udGozayati smarasya Pn= _1.29d
   ājñā vilaṅghyate tāta Pnc_11.119c	AjQA vilaFGyate tAta Pn= _11.119c
   ājñaiva hetur iha te śayanīkṛtogra  Pnc_gp.4c	AjQA eva hetuH iha te SayanIkRta ugra Pnd _gp.4c
   ātapatraṃ ca bhūtale Pnc_11.71d	Atapatram ca BU tale Pn= _11.71d
   ātapatraṃ vyarājata Pnc_2.5b	Atapatram vyarAjata Pnd _2.5b
   ātapatrībhavaty adaḥ Pnc_2.65d	AtapatrIBavati adaH Pn= _2.65d
   ātithyam akṣṇoḥ katham anyathaivam Pnc_9.4c	AtiTyam akzNoH kaTam anyaTA evam Pn= _9.4c
   ātithyam attithipriyaḥ Pnc_11.38d	AtiTyam attiTi priyaH Pn= _11.38d
   ātithyam eṣa kurute param aṅgalekhā  Pnc_4.62c	AtiTyam eza kurute param aFga leKA Pn= _4.62c
   āttacāpaś cakāra sa Pnc_2.31d	Atta cApaH cakAra sa Pn= _2.31d
   āttacāpo vane vane Pnc_2.38b	Atta cApaH vane vane Pnc_2.38b
   āttadaṇḍas tapasyati Pnc_11.30d	Atta daNxaH tapasyati Pn= _11.30d
   āttaprasādhanam anaṅgavilāsaveśma Pnc_18.36a	Atta prasADanam anaFga vilAsa veSma Pn= _18.36a
   ātmanaḥ phalitām iva Pnc_11.34d	AtmanaH PalitAm iva Pn= _11.34d
   ātmānam iva vāraṇam Pnc_16.62d	AtmAnam iva vAraNam Pn= _16.62d
   ātmānaṃ yūyam udyatāḥ Pnc_16.99d	AtmAnam yUyam udyatAH Pn= _16.99d
   ādade munir apy udyat  Pnc_11.113c	Adade muniH api udyat Pn= _11.113c
   ādātum avataṃsāya Pnc_11.51a	AdAtum avataMsAya Pn= _11.51a
   ādātum īpsitamahīndrasuteti ratnam Pnc_17.75c	AdAtum Ipsita mahIndra sutA iti ratnam Pn= _17.75c
   ādāya tat kanakakokanadaṃ narendraḥ Pnc_17.75b	AdAya tat kanaka kokanadam narendraH Pnc_17.75b
   ādāya niṣpratimapauruṣavaijayantīm Pnc_18.55b	AdAya nizpratima pOruza vEjayantIm Pnc_18.55b
   ādāya sādaraphaṇīśvaradattam arghyam Pnc_18.2a	AdAya sa Adara PaNi ISvara dattam arGyam Pnc_18.2a
   ādāyaiva vinirmitām Pnc_16.66b	AdAya eva vinirmitAm Pnc_16.66b
   ādāsyate nṛpatir adya śaśiprabhāyāḥ Pnc_18.13d	AdAsyate nRpatiH adya SaSi praBAyAH Pn= _18.13d
   ādirājān manor iva Pnc_11.75b	AdirAjAt manoH iva Pnc_11.75b
   ādhūtakārtasvaraketuyaṣtir Pnc_14.15a	ADUtakArta svara ketuyaztiH Pnd _14.15a
   ādhmātaśaṅkhasvanamāṃsalo 'gre Pnc_14.2c	ADmAta SaFKa svana mAMsalaH agre Pn= _14.2c
   ānanena lalitākṣipakṣmaṇā Pnc_8.71a	Ananena lalita akzi pakzmaNA Pn= _8.71a
   ānandakandalīcittam Pnc_16.6c	Ananda kandalI cittam Pn= _16.6c
   ānandabāṣpasalilārdradṛśo 'rdhamārge Pnc_18.60a	Ananda bAzpa salila Ardra dRSaH arDa mArge Pn= _18.60a
   ānandāśrulavā iva Pnc_11.7d	Ananda aSru lavAH iva Pn= _11.7d
   ānandāśrulavāṅkitaḥ Pnc_11.70b	Ananda aSru lava aFkitaH Pnc_11.70b
   ānayāmy adhunaiva tam Pnc_6.70b	AnayAmi aDunA eva tam Pnc_6.70b
   ānarca kalpaviṭapiprabhavaiḥ prasūnaiḥ Pnc_18.15b	Anarca kalpa viwapi praBavEH prasUnEH Pn= _18.15b
   ānartayaty eṣa patākinīnāṃ Pnc_14.15c	Anartayati eza patAkinInAm Pn= _14.15c
   ānītayā jhaṭiti rūpam adṛṣṭapūrvam Pnc_18.48a	AnItayA Jawiti rUpam adRzwa pUrvam Pnc_18.48a
   ānīya, bhūśakra, śaśiprabhāyāḥ Pnc_9.60d	AnIya, BU Sakra, SaSipraBAyAH Pn= _9.60d
   ānīya tad yo duhitur mamāsyāḥ Pnc_9.44a	AnIya tat yaH duhituH mama asyAH Pnc_9.44a
   ānīyatākulatvaṃ sā Pnc_6.35a	AnIyata Akula tvam sA Pnd _6.35a
   ānīyamānā natim ānatāṅgyā Pnc_14.42b	AnIyamAnA natim Anata aFgyA Pnc_14.42b
   ānīya svayam arpyatām Pnc_16.89d	AnIya svayam arpyatAm Pn= _16.89d
   ānetukāmena bhavantam atra Pnc_9.48a	Anetu kAmena Bavantam atra Pnd _9.48a
   ānetuṃ prayatāmahe Pnc_16.49d	Anetum prayatAmahe Pn= _16.49d
   āpapāta saramāṅgadaḥ kṣaṇāt Pnc_8.46a	ApapAta sarama aFgadaH kzaNAt Pnd _8.46a
   āpāṭalasyādharapallavasya Pnc_9.16d	ApAwalasya aDara pallavasya Pn= _9.16d
   ā pāṭalānām atirodanena Pnc_1.87b	A pAwalAnAm ati rodanena Pnd _1.87b
   āpāṇḍurakṣāmakapolabhitti Pnc_10.65d	ApANxura kzAma kapola Bitti Pn= _10.65d
   āpānabhūr avasitāsavarāgadīrgha  Pnc_15.69a	ApAnaBUH avasita Asava rAga dIrGa Pn= _15.69a
   āpāsya haṃsachadapāṇḍu bālā Pnc_14.47b	ApAsya haMsa Cada pANxu bAlA Pn= _14.47b
   āpīyamānavapur uktim avantinātham Pnc_18.42d	ApIyamAna vapuH uktim avantinATam Pn= _18.42d
   āpūrayanty ardham arālakeśyaḥ Pnc_1.31d	ApUrayanti arDam arAlakeSyaH Pn= _1.31d
   āpūritaṃ puṇyatamābhir adbhiḥ Pnc_1.48b	ApUritam puNyatamABiH adBiH Pnc_1.48b
   āpūrya tadbhūmibhṛtāṃ yaśāṃsi Pnc_1.20d	ApUrya tat BUmiBRtAm yaSAMsi Pn= _1.20d
   āptaprayatnena tathā sa manye Pnc_9.48c	Apta prayatnena taTA sa manye Pn= _9.48c
   āptenālekhyaveśmani Pnc_2.1b	Aptena AleKya veSmani Pnd _2.1b
   ābibhratī lavalipāṇḍutale kapole Pnc_18.35d	AbiBratI lavali pANxu tale kapole Pn= _18.35d
   ābhāti kandarpadhanurlateva Pnc_14.42d	ABAti kandarpa DanuH latA iva Pn= _14.42d
   ābhāti yasyāḥ parikhā nitambe Pnc_1.18c	ABAti yasyAH pariKA nitambe Pn= _1.18c
   ābhānti līnabhramarodarāṇi Pnc_14.35b	ABAnti lIna Bramara udarANi Pnd _14.35b
   āmañjuguñjatkalahaṃsapaṅkti  Pnc_1.18a	AmaQju guQjat kalahaMsa paFkti Pn= _1.18a
   āmañjunā nūpurasiñjitena Pnc_9.13d	AmaQjunAH nUpura siQjitena Pn= _9.13d
   āmandraśaṅkhapaṭahasvanasūcitaṃ prāk  Pnc_13.68a	Amandra SaFKa pawaha svana sUcitam prAk Pn= _13.68a
   ā mumoca nijakaṇkaṇaṃ bhuje Pnc_9.66c	A mumoca nija kaNkaNam Buje Pn= _9.66c
   āyato 'bhimukham īrṣyayā javāt Pnc_8.52c	AyataH aBimuKam IrzyayA javAt Pn= _8.52c
   āyāti yo 'naṅgajayadvipasya Pnc_1.25c	AyAti yaH anaFga jaya dvipasya Pn= _1.25c
   āyātu svayam ādātum Pnc_16.102c	AyAtu svayam AdAtum Pn= _16.102c
   āyānti ratnāni bhavadvidhāni Pnc_9.4d	AyAnti ratnAni BavadviDAni Pn= _9.4d
   āyāmimālāmaṇikāntidaṇḍair Pnc_14.11a	AyAmi mAlA maNi kAnti daNxEH Pn= _14.11a
   āyāsyanti pataṅgatām Pnc_16.113d	AyAsyanti pataFga tAm Pn= _16.113d
   āruhya candraḥ kham ivābhirāmaṃ Pnc_17.43a	Aruhya candraH Kam iva aBirAmam Pnd _17.43a
   āropayati puṣpeṣu Pnc_16.33c	Aropayati puzpezu Pn= _16.33c
   āropitajyeva jagajjayāya Pnc_9.20c	Aropita jyA iva jagat jayAya Pn= _9.20c
   āropitatryambakakārmukasya Pnc_9.61d	Aropita tryambaka kArmukasya Pn= _9.61d
   āropyate satsu kulācaleṣu Pnc_1.9d	Aropyate satsu kula acalezu Pn= _1.9d
   ārohati parāṃ koṭim Pnc_6.57c	Arohati parAm kowim Pn= _6.57c
   ārdratām avagāhase Pnc_6.64d	Ardra tAm avagAhase Pn= _6.64d
   ārdravraṇāṅkasya kṛpārdracittā Pnc_9.21a	Ardra vraNa aFkasya kRpA Ardra cittA Pn= _9.21a
   ārdrāgaseyaṃ gamitā prasādaṃ Pnc_14.56a	ArdrAgasA iyam gamitA prasAdam Pn= _14.56a
   ālakṣyate te bata mānase 'pi Pnc_9.27d	Alakzyate te bata mAnase api Pn= _9.27d
   ālakṣyate paśya nilīnam etat Pnc_14.10b	Alakzyate paSya nilInam etat Pnc_14.10b
   ālakṣya stanasakhyalakṣmaṇi tatas tasmin kuraṅgīdṛśo Pnc_3.74a	Alakzya stana saKya lakzmaNi tatas tasmin kuraFgI dRSaH Pnc_3.74a
   ālambate ratnakirīṭalakṣmīṃ Pnc_14.32c	Alambate ratna kirIwa lakzmIm Pn= _14.32c
   ālambya saudheṣv asamagrakāntim Pnc_1.31b	Alambya sODezu asamagra kAntim Pnd _1.31b
   āliṅgitaṃ kiṃśukaśoṇabhāsā Pnc_1.36c	AliFgitam kiMSuka SoNa BAsA Pn= _1.36c
   ālokya darpaṇatale pratimāgataṃ tam Pnc_18.8a	Alokya darpaNa tale pratimA Agatam tam Pnc_18.8a
   āvartatām ūrmilatāyamāna  Pnc_17.14a	AvartatAm UrmilatAyamAna Pn= _17.14a
   āvartya līlāśayanaṃ murāreḥ Pnc_1.19b	Avartya lIlA Sayanam murAreH Pnc_1.19b
   āvavau śabararājayoṣitāṃ Pnc_8.15c	AvavO Sabara rAja yozitAm Pn= _8.15c
   āvṛttidattasandeśā  Pnc_16.51a	AvRtti datta sandeSA Pn= _16.51a
   āvṛttivihitapreyaḥ  Pnc_11.12c	AvRtti vihita preyaH Pn= _11.12c
   āśālatānāṃ valayeṣu bhartur Pnc_1.83c	ASA latAnAm valayezu BartuH Pn= _1.83c
   āśrayaty avanimeghavāhane Pnc_8.44a	ASrayati avani meGa vAhane Pn= _8.44a
   āśvāsayitum arhasi Pnc_16.49b	ASvAsayitum arhasi Pnd _16.49b
   āsannapadmasarasā Pnc_11.3a	Asanna padma sarasA Pn= _11.3a
   āsannaphalam adya naḥ Pnc_16.79b	Asanna Palam adya naH Pnc_16.79b
   āsannānucaradhṛtena paṅkajinyāḥ Pnc_6.119a	Asanna anucara DRtena paFkajinyAH Pnc_6.119a
   āsan mukhāni kakubhām abhito 'tha citra  Pnc_17.70a	Asan muKAni kakuBAm aBitas aTa citra Pn= _17.70a
   āsasāda sa vilāsam iśvaraḥ Pnc_8.39b	AsasAda sa vilAsam iSvaraH Pnc_8.39b
   āsām itaḥ preṅkhitamadhyaratna  Pnc_14.21c	AsAm itas preFKita maDya ratna Pn= _14.21c
   āsām itaḥ satvaragāminīnāṃ Pnc_14.20a	AsAm itas sa tvara gAminInAm Pn= _14.20a
   āsām indīvarākṣīṇām Pnc_11.29c	AsAm indIvara akzINAm Pn= _11.29c
   āsāṃ pṛthusvedakaṇāṅkitāni Pnc_14.72a	AsAm pRTu sveda kaNA aFkitAni Pnd _14.72a
   āsāṃ latāgrastabakotthitāni Pnc_14.40a	AsAm latA agra stabaka utTitAni Pnd _14.40a
   āsāṃ sudhārasārdrāṇāṃ Pnc_16.85a	AsAm su DArasa ArdrANAm Pn= _16.85a
   āsīt purastāt tripurāvabhaṅge Pnc_9.64a	AsIt purastAt tripura avaBaFge Pn= _9.64a
   āsīnam añjanaśyāmam Pnc_16.72a	AsInam aQjana SyAmam Pnd _16.72a
   āsūtritaṃ narapate navasāhasāṅka Pnc_gp.4b	AsUtritam narapate nava sAhasa aFka Pnd _gp.4b
   āsta tarukusumasaṃvalite Pnc_3.73c	Asta taru kusuma saMvalite Pn= _3.73c
   āsta mauktikaśilātale tataś Pnc_8.79c	Asta mOktika SilA tale tatas Pn= _8.79c
