   agre māhiṣikaṃ dṛṣṭvā YS78v_35a	agre mAhizikam dRzwvA YS78u-_35a
   snātvā kālena śudhyati YS78v_61d	snAtvA kAlena SuDyati YS78u-_61d
   snātvā snātvā spṛśet tan tu YS78v_53c	snAtvA snAtvA spRSet tat tu YS78u-_53c
   snānamātraṃ vidhīyate YS78v_42b	snAna-mAtram viDIyate YS78u-_42b
   snānena lepopahatasya śuddhiḥ YS78v_44d	snAnena lepa-upahatasya SudDiH YS78u-_44d
   snāpayec cāgnisannidhau YS78v_63d	snApayet ca-agni-sanniDO YS78u-_63d
   spṛṣṭā rajasvalā caiva YS78v_61a	spRzwA rajasvalA ca-eva YS78u-_61a
   spṛṣṭāspṛṣṭi yadā bhavet YS78v_56b	spRzwA-spRzwi yadA Bavet YS78u-_56b
   spṛṣṭvā rajasvalā kaiścit YS78v_62a	spRzwvA rajasvalA kEScid YS78u-_62a
   spṛṣṭvā rajasvalānyonyaṃ YS78v_58a	spRzwvA rajasvalA-anyonyam YS78u-_58a
   spṛṣṭvā rajasvalānyonyaṃ YS78v_59a	spRzwvA rajasvalA-anyonyam YS78u-_59a
   spṛṣṭvā rajasvalānyonyaṃ YS78v_60a	spRzwvA rajasvalA-anyonyam YS78u-_60a
   spṛṣṭvā rajasvalāṃ yāntu YS78v_57a	spRzwvA rajasvalAm yAntu YS78u-_57a
   svavṛṣaṃ yā parityajyāny YS78v_27a	sva-vRzam yA parityajyAni YS78u-_27a
   svāta vāpyos tathā kūpe YS78v_66a	svAta vApyoH taTA kUpe YS78u-_66a
   svādhyāyañ ca caturthakam YS78v_76d	svADyAyan ca caturTakam YS78u-_76d
   svādhyāye maraṇaṃ dhruvam YS78v_77d	svADyAye maraNam Druvam YS78u-_77d
   havirguṇā na vaktavyāḥ YS78v_39a	haviH-guNAH na vaktavyAH YS78u-_39a
   havyakavyeṣu mantravit YS78v_40b	havya-kavyezu mantra-vid YS78u-_40b
   havye kavye ca karmaṇi YS78v_34b	havye kavye ca karmaNi YS78u-_34b
   haitukaḥ śūdrayājī ca YS78v_30c	hEtukaH SUdra-yAjI ca YS78u-_30c
   homena sa viśuddhyati YS78v_7d	homena sa viSudDi-ati YS78u-_7d
