   akaros tvaṃ pratāpena RmUD_*6.34c	akaroH tvam pratApena RmUD_*6.34c
   tato lakṣmaṇaśatrughnau RmUD_27*1.27a	tatas lakzmaNa-SatruGnO RmUD_27*1.27a
   tato vavṛdhire 'nyonyaṃ RmUD_28*1.28a	tatas vavRDire anyonyam RmUD_28*1.28a
   tato vānarasaṃghānāṃ RmUD_21*1.21a	tatas vAnara-saMGAnAm RmUD_21*1.21a
   tato vānarasaṃghāṃś ca RmUD_*6.9a	tatas vAnara-saMGAn ca RmUD_*6.9a
   tato hanumataḥ pāṇau RmUD_104*4.16a	tatas hanumataH pANO RmUD_104*4.16a
   tato hanūmatpramukhā RmUD_105*4.17a	tatas hanUmat-pramuKAH RmUD_105*4.17a
   tat kṣaṇaṃ dundubheḥ kāyaṃ RmUD_93*4.5a	tat kzaNam dunduBeH kAyam RmUD_93*4.5a
   tat kṣaṇaṃ lakṣmaṇe sītāṃ RmUD_71*3.11a	tat kzaNam lakzmaNe sItAm RmUD_71*3.11a
   tatpatnī tu tadā sītāṃ RmUD_59*2.19c	tad-patnI tu tadA sItAm RmUD_59*2.19c
   tatpalāśaiḥ susaṃvṛtaḥ RmUD_113*5.5b	tad-palASEH su-saMvRtaH RmUD_113*5.5b
   tatra tena nivāritaḥ RmUD_*6.54d	tatra tena nivAritaH RmUD_*6.54d
   tatra tena munīndreṇa RmUD_*6.56a	tatra tena muni-indreNa RmUD_*6.56a
   tatra te na vilambanam RmUD_*6.36d	tatra te na vilambanam RmUD_*6.36d
   tatra lakṣmaṇanirmitām RmUD_66*3.6b	tatra lakzmaNa-nirmitAm RmUD_66*3.6b
   tatra setuṃ nalena saḥ RmUD_125*6.3b	tatra setum nalena saH RmUD_125*6.3b
   tatrābhyetyaikadā rāmaṃ RmUD_67*3.7a	tatra-aByetya-ekadA rAmam RmUD_67*3.7a
   tatraivāntardadhe prabhuḥ RmUD_5*1.5d	tatra-eva-antardaDe praBuH RmUD_5*1.5d
   tatraivāntardadhe prabhuḥ RmUD_18*1.18b	tatra-eva-antardaDe praBuH RmUD_18*1.18b
   tatraivāvāsayat sukham RmUD_146*7.2d	tatra-eva-avAsayat suKam RmUD_146*7.2d
   tat samādāya vaidehī RmUD_117*5.9a	tat samAdAya vEdehI RmUD_117*5.9a
   tatsthāne 'sthāpayac ca tam RmUD_133d	tad-sTAne asTApayat ca tam RmUD_133d
   tathā prāpur janā bhuvi RmUD_*6.59d	taTA prApuH janAH Buvi RmUD_*6.59d
   tathā rāghavalakṣmaṇau RmUD_128*6.6b	taTA rAGava-lakzmaNO RmUD_128*6.6b
   tathā rejuḥ svapattane RmUD_*6.68d	taTA rejuH sva-pattane RmUD_*6.68d
   tad antare samāsādya RmUD_78*3.18a	tat antare samAsAdya RmUD_78*3.18a
   tad ākarṇya kharaḥ kruddho RmUD_70*3.10a	tat AkarNya KaraH krudDaH RmUD_70*3.10a
   tad ākarṇya dhanurbhaṅgam RmUD_39*1.39a	tat AkarNya DanuH-BaFgam RmUD_39*1.39a
   tad ākarṇya sumantroktaṃ RmUD_52*2.12a	tat AkarNya sumantra-uktam RmUD_52*2.12a
   tad ākarṇya suraiḥ sākaṃ RmUD_13*1.13a	tat AkarNya surEH sAkam RmUD_13*1.13a
   tadā jāmbavaduktibhiḥ RmUD_108*4.20b	tadA jAmbavat-uktiBiH RmUD_108*4.20b
   tadā vibhīṣaṇo bhrātrā RmUD_124*6.2a	tadA viBIzaNaH BrAtrA RmUD_124*6.2a
   tadā śakrādayo devā RmUD_137a	tadA Sakra-AdayaH devAH RmUD_137a
   tadīyataruratnāni RmUD_11*1.11a	tadIyataru-ratnAni RmUD_11*1.11a
   tadaiva gatvā hanumān RmUD_133a	tadA-eva gatvA hanumAn RmUD_133a
   tad gṛhītvā tadaivāsau RmUD_25*1.25a	tat gRhItvA tadA-eva-asO RmUD_25*1.25a
   tad gṛhītvā sa niryayau RmUD_104*4.16d	tat gRhItvA sa niryayO RmUD_104*4.16d
   taddehaṃ dehatuś ca tau RmUD_86*3.26d	tat-deham dehatuH ca tO RmUD_86*3.26d
   tadrakṣāṃ devatāḥ prārthya RmUD_77*3.17c	tad-rakzAm devatAH prArTya RmUD_77*3.17c
   tad viditvātha vālmīkir RmUD_146*7.2a	tat viditvA-aTa vAlmIkiH RmUD_146*7.2a
   tad vaidehyāḥ kṛte rāma RmUD_*6.49c	tat vEdehyAH kRte rAmaH RmUD_*6.49c
   tannirastā lakṣmaṇaṃ ca RmUD_67*3.7c	tad-nirastA lakzmaNam ca RmUD_67*3.7c
   tapasyantaṃ tataḥ śūdraṃ RmUD_148a	tapasyantam tatas SUdram RmUD_148a
   tayābhipūjitaḥ paścāt RmUD_88*3.28c	tayA-aBipUjitaH paScAt RmUD_88*3.28c
   tayoḥ pāvakasaṃnidhau RmUD_90*4.2d	tayoH pAvaka-saMniDO RmUD_90*4.2d
   tavaiva yuktaṃ karmaitat RmUD_*6.49a	tava-eva yuktam karma-etat RmUD_*6.49a
   tasthau rāmas tirohitaḥ RmUD_97*4.9d	tasTO rAmaH tirohitaH RmUD_97*4.9d
   tasmād gatvā sutīkṣṇaṃ ca RmUD_63*3.3a	tasmAt gatvA su-tIkzNam ca RmUD_63*3.3a
   tasmai prācetaso dadau RmUD_149*7.4d	tasmE prAcetasaH dadO RmUD_149*7.4d
   tasyām utpādayām āsa RmUD_8*1.8c	tasyAm utpAdayAm AsaH RmUD_8*1.8c
   tasyā varadvayaṃ kṛcchram RmUD_44*2.4c	tasyAH vara-dvayam kRcCram RmUD_44*2.4c
   taṃ natvā tena satkṛtaḥ RmUD_50*2.10b	tam natvA tena satkRtaH RmUD_50*2.10b
   taṃ nanāma raghūttamaḥ RmUD_63*3.3d	tam nanAma raGUttamaH RmUD_63*3.3d
   taṃ rāmaḥ pratyayāpayat RmUD_57*2.17d	tam rAmaH pratyayApayat RmUD_57*2.17d
   taṃ vilaṅghayituṃ teṣāṃ RmUD_107*4.19c	tam vilaFGayitum tezAm RmUD_107*4.19c
   tāṭakām avadhīd dhīmāṃl RmUD_32*1.32c	tAwakAm avaDIt DImAn RmUD_32*1.32c
   tādṛk tvaṃ kutra māṃ tyaktvā RmUD_*6.35c	tAdRS tvam kutra mAm tyaktvA RmUD_*6.35c
   tādṛśasya pitāsmy aham RmUD_*6.37b	tAdRSasya pitA-asmi aham RmUD_*6.37b
   tān gurūn sarvadā naumi RmUD_155c	tAn gurUn sarvadA nOmi RmUD_155c
   tān sarvān bodhayitvāśu RmUD_133c	tAn sarvAn boDayitvA-ASu RmUD_133c
   tābhyām upadideśa saḥ RmUD_31*1.31d	tAByAm upadideSa saH RmUD_31*1.31d
   tām adhyuvāsa kākutsthaḥ RmUD_40*1.40c	tAm aDyuvAsa kAkutsTaH RmUD_40*1.40c
   tārayābhihitaṃ hitam RmUD_98*4.10b	tArayA-aBihitam hitam RmUD_98*4.10b
   tāś ca tatprāśanād eva RmUD_25*1.25c	tAH ca tad-prASanAt eva RmUD_25*1.25c
   tāsāṃ gandhena vai sarvān RmUD_*6.14c	tAsAm ganDena vE sarvAn RmUD_*6.14c
   tāsu lebhe na saṃtatim RmUD_22*1.22d	tAsu leBe na saMtatim RmUD_22*1.22d
   tāṃ praviśyānilātmajaḥ RmUD_111*5.3b	tAm praviSya-anilAtmajaH RmUD_111*5.3b
   tīraṃ prāpa mahodadheḥ RmUD_123*6.1d	tIram prApa mahA-udaDeH RmUD_123*6.1d
   tuṇḍapakṣanakhair bhṛśam RmUD_79*3.19d	tuNxa-pakza-naKEH BRSam RmUD_79*3.19d
   tuṣṭāva ca hṛṣīkeśaṃ RmUD_13*1.13c	tuzwAva ca hRzIkeSam RmUD_13*1.13c
   te tu tīvreṇa tapasā RmUD_3*1.3a	te tu tIvreNa tapasA RmUD_3*1.3a
   te 'tra sampātinā proktāṃ RmUD_106*4.18c	te atra sampAtinA proktAm RmUD_106*4.18c
   tena tau samayojayat RmUD_89*4.1d	tena tO samayojayat RmUD_89*4.1d
   tenoktāṃ jānakīvārttāṃ RmUD_84*3.24a	tena-uktAm jAnakI-vArttAm RmUD_84*3.24a
   tebhya etān varān dattvā RmUD_5*1.5c	teByaH etAn varAn dattvA RmUD_5*1.5c
   tau gṛhītvā tato gacchan RmUD_31*1.31a	tO gRhItvA tatas gacCan RmUD_31*1.31a
   tyakto rāmam upāgamat RmUD_124*6.2b	tyaktaH rAmam upAgamat RmUD_124*6.2b
   tyaktvā dehaṃ divaṃ yayau RmUD_99*4.11d	tyaktvA deham divam yayO RmUD_99*4.11d
   tyaktvā dhāmāviśat svakam RmUD_153*7.7d	tyaktvA DAma-aviSat svakam RmUD_153*7.7d
   tyaktvā māṃ putra jīvitam RmUD_*6.33d	tyaktvA mAm putra jIvitam RmUD_*6.33d
   dagdhvā sahānujo rāmaś RmUD_84*3.24c	dagDvA sahAnujaH rAmaH RmUD_84*3.24c
   dagdhvā sāgaram uttīrya RmUD_121*5.13c	dagDvA sAgaram uttIryaH RmUD_121*5.13c
   dattamārgaḥ samudreṇa RmUD_125*6.3a	datta-mArgaH samudreNa RmUD_125*6.3a
   dadau cūḍāmaṇiṃ ca tam RmUD_122*5.14d	dadO cUxAmaNim ca tam RmUD_122*5.14d
   dadau rāmo 'ṅgulīyakam RmUD_104*4.16b	dadO rAmaH aFgulIyakam RmUD_104*4.16b
   darśayiṣyāmi vaidehīm RmUD_91*4.3c	darSayizyAmi vEdehIm RmUD_91*4.3c
   daśānanasutasya hi RmUD_*6.30d	daSAnana-sutasya hi RmUD_*6.30d
   daśānanaṃ samāśritya RmUD_7*1.7c	daSAnanam samASritya RmUD_7*1.7c
   durātmanā kṛtā māyā RmUD_*6.25a	durAtmanA kRtA mAyA RmUD_*6.25a
   duḥkhito hanumāṃs tatra RmUD_*6.21c	duHKitaH hanumAn tatra RmUD_*6.21c
   dūtair ānāyayan kṣipraṃ RmUD_53*2.13c	dUtEH AnAyayan kzipram RmUD_53*2.13c
   dūṣaṇatriśiromukhyair RmUD_70*3.10c	dUzaNa-triSiraH-muKyEH RmUD_70*3.10c
   dūṣayan vaidikaṃ karma RmUD_10*1.10a	dUzayan vEdikam karma RmUD_10*1.10a
   dṛṣṭvā kopaṃ cakāra saḥ RmUD_*6.13d	dRzwvA kopam cakAra saH RmUD_*6.13d
   dṛṣṭvā taṃ nirgataṃ sītā RmUD_46*2.6a	dRzwvA tam nirgatam sItA RmUD_46*2.6a
   dṛṣṭvā rāmaṃ ca mūrchitam RmUD_*6.23b	dRzwvA rAmam ca mUrCitam RmUD_*6.23b
   devavṛnde ca paśyati RmUD_*6.44b	deva-vRnde ca paSyati RmUD_*6.44b
   devāntakanarāntakau RmUD_*6.10b	devAntaka-narAntakO RmUD_*6.10b
   dehaṃ tyaktvā divaṃ yayuḥ RmUD_152*7.6d	deham tyaktvA divam yayuH RmUD_152*7.6d
   dehaṃ tyaktvā divaṃ yayau RmUD_52*2.12d	deham tyaktvA divam yayO RmUD_52*2.12d
   dehaṃ saṃrakṣya bhūpateḥ RmUD_53*2.13b	deham saMrakzya BUpateH RmUD_53*2.13b
   dravantaṃ kānanāntare RmUD_75*3.15d	dravantam kAnana-antare RmUD_75*3.15d
   dvijān ardayati sma saḥ RmUD_10*1.10b	dvijAn ardayati sma saH RmUD_10*1.10b
   dhanyā vayam iti drutam RmUD_*6.58d	DanyAH vayam iti drutam RmUD_*6.58d
   dharmātmā sa vibhīṣaṇaḥ RmUD_*6.29b	Darma-AtmA sa viBIzaNaH RmUD_*6.29b
   dhūmrākṣo vajradaṃṣṭraś ca RmUD_*6.38a	DUmrAkzaH vajradaMzwraH ca RmUD_*6.38a
   na kaś cid abhavat kṣamaḥ RmUD_107*4.19d	na kaH cit aBavat kzamaH RmUD_107*4.19d
   nagarān niryayau tūrṇam RmUD_*6.19a	nagarAt niryayO tUrNam RmUD_*6.19a
   nanāha nāgapāśena RmUD_129*6.7c	nanAha nAga-pASena RmUD_129*6.7c
   nandigrāmam upāgamat RmUD_141d	nandigrAmam upAgamat RmUD_141d
   nandigrāme sthitas tābhyāṃ RmUD_58*2.18c	nandigrAme sTitaH tAByAm RmUD_58*2.18c
   naya māṃ yatra gantāsi RmUD_*6.36c	naya mAm yatra gantAsi RmUD_*6.36c
   naṣṭadhairyo vihvalāṅgo RmUD_*6.31c	nazwa-DEryaH vihvala-aFgaH RmUD_*6.31c
   nāgāris tau vyamocayat RmUD_129*6.7d	nAgAriH tO vyamocayat RmUD_129*6.7d
   nārāyaṇaparāyaṇān RmUD_155d	nArAyaNa-parAyaNAn RmUD_155d
   nikumbhaṃ cātmajo raveḥ RmUD_*6.16d	nikumBam ca-AtmajaH raveH RmUD_*6.16d
   nikumbhilāyāṃ homaṃ tu RmUD_*6.25c	nikumBilAyAm homam tu RmUD_*6.25c
   nikumbhilāṃ prāpa tūrṇam RmUD_*6.28c	nikumBilAm prApa tUrNam RmUD_*6.28c
   nijaghāna raṇe bhṛśam RmUD_*6.9d	nijaGAna raNe BRSam RmUD_*6.9d
   nijaṃ rūpam avāpatuḥ RmUD_153*7.7b	nijam rUpam avApatuH RmUD_153*7.7b
   nidrāṇaṃ niśi rāvaṇaṃ RmUD_111*5.3d	nidrANam niSi rAvaNam RmUD_111*5.3d
   nidrāṇān niśi rāghavaḥ RmUD_47*2.7b	nidrANAt niSi rAGavaH RmUD_47*2.7b
   nidhāya raghunandanaḥ RmUD_71*3.11b	niDAya raGunandanaH RmUD_71*3.11b
   nimajjya sarayūtīrthe RmUD_152*7.6c	nimajjya sarayUtIrTe RmUD_152*7.6c
   niyujya lakṣmaṇaṃ sītāṃ RmUD_75*3.15a	niyujya lakzmaNam sItAm RmUD_75*3.15a
   niyuyoja niśācarīḥ RmUD_81*3.21d	niyuyoja niSAcarIH RmUD_81*3.21d
   nirarthakaṃ tu majjanma RmUD_*6.32a	nirarTakam tu mad-janmaH RmUD_*6.32a
   nirasya kupito bhrātrā RmUD_98*4.10c	nirasya kupitaH BrAtrA RmUD_98*4.10c
   nirgatān yudhi rākṣasān RmUD_127*6.5b	nirgatAn yuDi rAkzasAn RmUD_127*6.5b
   nirgate rāvaṇe sītāṃ RmUD_116*5.8a	nirgate rAvaNe sItAm RmUD_116*5.8a
   nirgamiṣyāmy ahaṃ gṛhāt RmUD_*6.41d	nirgamizyAmi aham gRhAt RmUD_*6.41d
   nirdiṣṭo rāmalakṣmaṇau RmUD_89*4.1b	nirdizwaH rAma-lakzmaNO RmUD_89*4.1b
   nirdevatvecchayā nidrāṃ RmUD_4*1.4c	nirdeva-tva-icCayA nidrAm RmUD_4*1.4c
   niryayau ca vanāya saḥ RmUD_45*2.5d	niryayO ca vanAya saH RmUD_45*2.5d
   niryayau rāghavas tūrṇaṃ RmUD_123*6.1c	niryayO rAGavaH tUrNam RmUD_123*6.1c
   niryayau vānaraiḥ sākaṃ RmUD_140c	niryayO vAnarEH sAkam RmUD_140c
   niryāya śaravṛṣṭibhiḥ RmUD_135b	niryAya Sara-vRzwiBiH RmUD_135b
   nivedayitvā sakalaṃ RmUD_122*5.14c	nivedayitvA sakalam RmUD_122*5.14c
   niveditam aśeṣaṃ ca RmUD_92*4.4c	niveditam aSezam ca RmUD_92*4.4c
   niśām ekām uvāsa ca RmUD_48*2.8d	niSAm ekAm uvAsa ca RmUD_48*2.8d
   niṣiddhyendrajito homaṃ RmUD_134c	nizidDyA-indrajitaH homam RmUD_134c
   nihatau raṇamūrdhani RmUD_*6.10d	nihatO raNa-mUrDani RmUD_*6.10d
   nihatya siṃhikāṃ nītyā RmUD_110*5.2c	nihatya siMhikAm nItyA RmUD_110*5.2c
   nihatyainān apālayat RmUD_147*7.3d	nihatya-enAn apAlayat RmUD_147*7.3d
   nītimān so 'pi saṃcintya RmUD_119*5.11a	nItimAn saH api saMcintya RmUD_119*5.11a
   nīyamānaḥ sahānujaḥ RmUD_35*1.35b	nIyamAnaH saha-anujaH RmUD_35*1.35b
   nīyamānāṃ tu jānakīm RmUD_79*3.19b	nIyamAnAm tu jAnakIm RmUD_79*3.19b
   nīlamukhyāḥ plavaṅgamāḥ RmUD_126*6.4b	nIla-muKyAH plavaFgamAH RmUD_126*6.4b
   nṛpād garbham adhārayan RmUD_25*1.25d	nRpAt garBam aDArayan RmUD_25*1.25d
   nedus te siṃhavikramāḥ RmUD_127*6.5d	neduH te siMha-vikramAH RmUD_127*6.5d
   naipuṇyam abhilebhire RmUD_28*1.28d	nEpuNyam aBileBire RmUD_28*1.28d
   nyayuṅkta kumbhakarṇasya RmUD_*6.15c	nyayuFkta kumBakarNasya RmUD_*6.15c
   nyayuṅkta sītām anveṣṭum RmUD_103*4.15c	nyayuFkta sItAm anvezwum RmUD_103*4.15c
   nyavedayad rāvaṇāya RmUD_72*3.12c	nyavedayat rAvaNAya RmUD_72*3.12c
   patnīḥ prāśayad utsukaḥ RmUD_25*1.25b	patnIH prASayat utsukaH RmUD_25*1.25b
   padmayonis tu gīrvāṇaiḥ RmUD_18*1.18c	padmayoniH tu gIrvANEH RmUD_18*1.18c
   papraccha ca pitāmaham RmUD_14*1.14b	papracCa ca pitAmaham RmUD_14*1.14b
   pampāṃ prāpa salakṣmaṇaḥ RmUD_88*3.28d	pampAm prApa sa-lakzmaNaH RmUD_88*3.28d
   parijagrāha maithilīm RmUD_138d	parijagrAha mETilIm RmUD_138d
   pariṇīya daśānanaḥ RmUD_8*1.8b	pariNIya daSAnanaH RmUD_8*1.8b
   parṇaśālām adhyuvāsa RmUD_66*3.6c	parNa-SAlAm aDyuvAse RmUD_66*3.6c
   parṇaśālām upāgamat RmUD_82*3.22d	parNa-SAlAm upAgamat RmUD_82*3.22d
   parvataṃ vindhyam āpnuvan RmUD_105*4.17d	parvatam vinDyam Apnuvan RmUD_105*4.17d
   paścāt tapantaṃ sugrīvaṃ RmUD_100*4.12a	paScAt tapantam sugrIvam RmUD_100*4.12a
   pātayitvā ca bhūtale RmUD_80*3.20b	pAtayitvA ca BU-tale RmUD_80*3.20b
   pādapaṃ kaṃ cid āruhya RmUD_113*5.5a	pAdapam kam cit Aruhya RmUD_113*5.5a
   pādāṅguṣṭhena rāghavaḥ RmUD_93*4.5d	pAdAFguzWena rAGavaH RmUD_93*4.5d
   pāraṃ prāpa mahodadheḥ RmUD_110*5.2d	pAram prApa mahA-udaDeH RmUD_110*5.2d
   pitaraṃ kaikayīgirā RmUD_54*2.14b	pitaram kEkayI-girA RmUD_54*2.14b
   pituḥ siṃhāsanaṃ prāpya RmUD_*6.66a	pituH siMhAsanam prApya RmUD_*6.66a
   pīḍayantaṃ kapīn bāṇair RmUD_*6.17c	pIxayantam kapIn bANEH RmUD_*6.17c
   putrau hantuṃ ca rāghavau RmUD_*6.15d	putrO hantum ca rAGavO RmUD_*6.15d
   punar ānāyya kiṅkaraiḥ RmUD_11*1.11b	punar AnAyya kiFkarEH RmUD_11*1.11b
   punar eva sa vālinam RmUD_97*4.9b	punar eva sa vAlinam RmUD_97*4.9b
   punar aiṣyāmy ahaṃ purīm RmUD_57*2.17b	punar EzyAmi aham purIm RmUD_57*2.17b
   punaś ca darśitāṃs tena RmUD_94*4.6a	punar ca darSitAn tena RmUD_94*4.6a
   punaś ca dhikkṛtā tena RmUD_68*3.8c	punar ca DikkRtA tena RmUD_68*3.8c
   pupluve ca gires tasmād RmUD_109*5.1c	pupluve ca gireH tasmAt RmUD_109*5.1c
   purandaravareṇāśu RmUD_139a	purandara-vareNa-ASu RmUD_139a
   purā viśravasaḥ putro RmUD_2*1.2a	purA viSravasaH putraH RmUD_2*1.2a
   purīṃ vīkṣya ruṣānvitaḥ RmUD_*6.15b	purIm vIkzya ruzA-anvitaH RmUD_*6.15b
   puraiva janayām āsa RmUD_20*1.20a	purA-eva janayAm AsaH RmUD_20*1.20a
   puṣpavṛṣṭim akurvata RmUD_137d	puzpa-vRzwim akurvate RmUD_137d
   pūjitaś ca tathā lebhe RmUD_*6.62c	pUjitaH ca taTA leBe RmUD_*6.62c
   pūrṇe kāle 'tha kausalyā RmUD_26*1.26a	pUrNe kAle aTa kOsalyA RmUD_26*1.26a
   paurāś cānuyayur drutam RmUD_46*2.6d	pOrAH ca-anuyayuH drutam RmUD_46*2.6d
   pauraiḥ saha vanaukasaḥ RmUD_152*7.6b	pOrEH saha vanOkasaH RmUD_152*7.6b
   paurṇamāsyāṃ śaśī yathā RmUD_144b	pOrNamAsyAm SaSI yaTA RmUD_144b
   pracodayām āsa sutam RmUD_*6.18c	pracodayAm Asa sutam RmUD_*6.18c
   praṇamyānena pūjitaḥ RmUD_63*3.3b	praNamya-anena pUjitaH RmUD_63*3.3b
   pratāpaṃ raghunāthasya RmUD_120*5.12c	pratApam raGunATasya RmUD_120*5.12c
   pratijajñe tadā rāmo RmUD_91*4.3a	pratijajQe tadA rAmaH RmUD_91*4.3a
   pratijajñe rākṣasānāṃ RmUD_62*3.2c	pratijajQe rAkzasAnAm RmUD_62*3.2c
   pratyakṣīkṛtya vedhasam RmUD_3*1.3b	pratyakzIkRtya veDasam RmUD_3*1.3b
   pradadau kumbhasaṃbhavaḥ RmUD_64*3.4d	pradadO kumBasaMBavaH RmUD_64*3.4d
   pradadau cāṅgulīyakam RmUD_116*5.8d	pradadO ca-aFgulIyakam RmUD_116*5.8d
   prayayau bharataḥ prītaḥ RmUD_41*2.1c	prayayO BarataH prItaH RmUD_41*2.1c
   prayayau rāghavāntikam RmUD_77*3.17d	prayayO rAGava-antikam RmUD_77*3.17d
   pralapantīṃ sa mārutiḥ RmUD_116*5.8b	pralapantIm sa mArutiH RmUD_116*5.8b
   praveśaṃ kāṅkṣato bhṛśaṃ RmUD_*6.55d	praveSam kAFkzataH BRSam RmUD_*6.55d
   prahastapramukhā api RmUD_*6.38d	prahasta-pramuKAH api RmUD_*6.38d
   prahastapramukhān hatvā RmUD_127*6.5c	prahasta-pramuKAn hatvA RmUD_127*6.5c
   prāṇāt priyatarāya saḥ RmUD_*6.67d	prANAt priyatarAya saH RmUD_*6.67d
   prādravad rāghavāntikam RmUD_96*4.8d	prAdravat rAGava-antikam RmUD_96*4.8d
   prāpya jñātvā tu vṛttāntaṃ RmUD_89*4.1c	prApya jQAtvA tu vRttAntam RmUD_89*4.1c
   prāpya dugdhodadhes taṭam RmUD_13*1.13b	prApya dugDa-udaDeH tawam RmUD_13*1.13b
   prāviśan nijamandiram RmUD_80*3.20d	prAviSat nija-mandiram RmUD_80*3.20d
   prāharad rāvaṇaṃ prāpya RmUD_79*3.19c	prAharat rAvaNam prApya RmUD_79*3.19c
   prītair bandhujanaiḥ saha RmUD_142d	prItEH banDu-janEH saha RmUD_142d
   preṣayām āsa mārutim RmUD_*6.55b	prezayAm Asa mArutim RmUD_*6.55b
   preṣayitvānilātmajam RmUD_141b	prezayitvA-anilAtmajam RmUD_141b
   plavaṅgamān pīḍayitvā RmUD_135c	plavaFgamAn pIxayitvA RmUD_135c
   baddhaḥ pavananandanaḥ RmUD_120*5.12b	badDaH pavana-nandanaH RmUD_120*5.12b
   babhañja dhanur aiśvaram RmUD_36*1.36d	baBaQja DanuH ESvaram RmUD_36*1.36d
   babhañjopavanaṃ ca tat RmUD_119*5.11b	baBaQja-upavanam ca tat RmUD_119*5.11b
   balādhikyaṃ ca tasya tat RmUD_92*4.4d	bala-ADikyam ca tasya tat RmUD_92*4.4d
   balām atibalāṃ tathā RmUD_31*1.31b	balAm atibalAm taTA RmUD_31*1.31b
   bahudhā samayācata RmUD_114*5.6d	bahuDA samayAcata RmUD_114*5.6d
   bahūni samare 'vadhīt RmUD_119*5.11d	bahUni samare avaDIt RmUD_119*5.11d
   bāṇena vālinaṃ rāmo RmUD_99*4.11a	bANena vAlinam rAmaH RmUD_99*4.11a
   bāṇenaikena ciccheda RmUD_94*4.6c	bANena-ekena cicCedaH RmUD_94*4.6c
   brahmadattavaraṃ ripum RmUD_136d	brahma-datta-varam ripum RmUD_136d
   brahmāstreṇa ca tau baddhvā RmUD_*6.12c	brahmAstreNa ca tO badDvA RmUD_*6.12c
   brahmāstreṇa jaghānainaṃ RmUD_136c	brahmAstreNa jaGAna-enam RmUD_136c
   brahmāstreṇāstrakovidaḥ RmUD_132d	brahmAstreNa-astra-kovidaH RmUD_132d
   brāhmaṃ cāstraṃ ca khaḍgaṃ ca RmUD_64*3.4c	brAhmam ca-astram ca Kaxgam ca RmUD_64*3.4c
   brāhmeṇāstreṇa taṃ raṇe RmUD_*6.45d	brAhmeNa-astreNa tam raNe RmUD_*6.45d
   bhakṣayantaṃ niśācaram RmUD_*6.9b	Bakzayantam niSAcaram RmUD_*6.9b
   bhakṣayantaṃ plavaṅgamān RmUD_131b	Bakzayantam plavaFgamAn RmUD_131b
   bharatas tu mṛtaṃ śrutvā RmUD_54*2.14a	BarataH tu mRtam SrutvA RmUD_54*2.14a
   bharatasya mataṃ jñātvā RmUD_141c	Baratasya matam jQAtvA RmUD_141c
   bharatasyāntikaṃ rāmaḥ RmUD_*6.55a	Baratasya-antikam rAmaH RmUD_*6.55a
   bharataṃ draṣṭum icchayā RmUD_*6.54b	Baratam drazwum icCayA RmUD_*6.54b
   bharataṃ mātulālayāt RmUD_53*2.13d	Baratam mAtula-AlayAt RmUD_53*2.13d
   bharatāyāprameyāya RmUD_*6.67c	BaratAya-aprameyAya RmUD_*6.67c
   bharatenārighātinā RmUD_*6.57b	Baratena-ari-GAtinA RmUD_*6.57b
   bharato dīnamānasaḥ RmUD_58*2.18b	BarataH dIna-mAnasaH RmUD_58*2.18b
   bharadvājamuniṃ prāpya RmUD_50*2.10a	BaradvAja-munim prApya RmUD_50*2.10a
   bharadvājāśramaṃ prāptas RmUD_*6.54c	BaradvAja-ASramam prAptaH RmUD_*6.54c
   bhartāraṃ samayācata RmUD_74*3.14d	BartAram samayAcataH RmUD_74*3.14d
   bhartuḥ priyatarasya sā RmUD_*6.46b	BartuH priyatarasya sA RmUD_*6.46b
   bhāryānujābhyāṃ sahitaḥ RmUD_*6.52c	BAryA-anujAByAm sahitaH RmUD_*6.52c
   bhāryā bhava mamety evaṃ RmUD_114*5.6c	BAryA Bava mama-iti evam RmUD_114*5.6c
   bhāryās tisro 'pi labdhvāsau RmUD_22*1.22c	BAryAH tisraH api labDvA-asO RmUD_22*1.22c
   bhāryāṃ rāvaṇadūṣitām RmUD_145*7.1b	BAryAm rAvaNa-dUzitAm RmUD_145*7.1b
   bhujau tasya nyakṛntatām RmUD_86*3.26b	BujO tasya nyakRntatAm RmUD_86*3.26b
   bhūdharaṃ taṃ samutpaṭya RmUD_*6.14a	BUDaram tam samutpawya RmUD_*6.14a
   bhūmau vānararūpiṇaḥ RmUD_17*1.17b	BUmO vAnara-rUpiNaH RmUD_17*1.17b
   bhūmyā prārthitayā dattaṃ RmUD_150*7.5c	BUmyA prArTitayA dattam RmUD_150*7.5c
   bhūṣaṇair bhūṣayām āsa RmUD_*6.63c	BUzaNEH BUzayAm AsaH RmUD_*6.63c
   bhūṣaṇaiḥ svair abhūṣayat RmUD_59*2.19d	BUzaNEH svEH aBUzayat RmUD_59*2.19d
   bhrātṛbhiḥ saha saṃgamya RmUD_142a	BrAtRBiH saha saMgamya RmUD_142a
   bhrātṛbhiḥ sahito 'naghaḥ RmUD_*6.66b	BrAtRBiH sahitaH anaGaH RmUD_*6.66b
   bhrātṛvairasya kāraṇam RmUD_92*4.4b	BrAtR-vEH-asya kAraNam RmUD_92*4.4b
   mantrayitvā sa bhūpatiḥ RmUD_42*2.2b	mantrayitvA sa BUpatiH RmUD_42*2.2b
   mantriṇas tu vasiṣṭhoktyā RmUD_53*2.13a	mantriNaH tu vasizWa-uktyE RmUD_53*2.13a
   mantrisāmantasaṃnidhau RmUD_143b	mantri-sAmanta-saMniDO RmUD_143b
