   Rājanighaṇṭu, Maṅgalācaraṇa	RAjani GaNwu, MaFgala AcaraNa
   sitacilly upacillī ca jvaraghnī kṣudravāstukī // Rajni_7.128	sitacillI upacillI ca jvaraGnI kzudravAstukI // Rajni_7.128
   śvetacillī sumadhurā kṣārā ca śiśirā ca sā /	SvetacillI sumaDurA kzArA ca SiSirA ca sA /
   tridoṣaśamanī pathyā jvaradoṣavināśanī // Rajni_7.129	tridoza SamanI paTyA jvara doza vinASanI // Rajni_7.129
   anyā śunakacillī syāt sucillī śvānacillikā /	anyA SunakacillI syAt sucillI SvAnacillikA /
   śvacillī kaṭutīkṣṇā ca kaṇḍūtivraṇahāriṇī // Rajni_7.130	SvacillI kawu tIkzNA ca kaNxUti vraNa hAriNI // Rajni_7.130
   śigrupattrabhavaṃ śākaṃ rucyaṃ vātakaphāpaham /	Sigru pattra Bavam SAkam rucyam vAta kaPa apaham /
   kaṭūṣṇaṃ dīpanaṃ pathyaṃ krimighnaṃ pācanaṃ param // Rajni_7.131	kawu uzNam dIpanam paTyam krimi Gnam pAcanam param // Rajni_7.131
   pālakyaṃ tu palakyāyāṃ madhurā kṣurapattrikā /	pAlakyam tu palakyAyAm maDurA kzurapattrikA /
   supattrā snigdhapattrā ca grāmīṇā grāmyavallabhā // Rajni_7.132	supattrA snigDa pattrA ca grAmINAH grAmya vallaBA // Rajni_7.132
   pālakyam īṣat kaṭukaṃ madhuraṃ pathyaśītalam /	pAlakyam Izat kawukam maDuram paTya SItalam /
   raktapittaharaṃ grāhi jñeyaṃ saṃtarpaṇaṃ param // Rajni_7.133	raktapitta haram grAhi jQeyam saMtarpaNam param // Rajni_7.133
   rājābhidhānapūrvā tu nagāhvā cāpareṇa vā /	rAja aBiDAna pUrvA tu nagAhvA ca apareNa vA /
   rājādriḥ syād rājagirir jñātavyā rājaśākinī // Rajni_7.134	rAjAdriH syAt rAjagiriH jQAtavyA rAja SAkinI // Rajni_7.134
   rājaśākinikā rucyā pittaghnī śītalā ca sā /	rAjaSAkinikA rucyA pitta GnI SItalA ca sA /
   saivātiśītalā rucyā vijñeyā sthūlaśākinī // Rajni_7.135	sA eva ati SItalA rucyA vijQeyA sTUla SAkinI // Rajni_7.135
   upodakī kalambī ca picchilā picchilacchadā /	upodakI kalambI ca picCilA picCila= CadAH /
   mohinī madaśākaś ca viśālādyā hy upodakī // Rajni_7.136	mohinI madaSAkaH ca viSAla AdyAH hi upodakI // Rajni_7.136
   upodakī kaṣāyoṣṇā kaṭukā madhurā ca sā /	upodakI kazAyA uzNA kawukA maDurA ca sA /
   nidrālasyakarī rucyā viṣṭambhaśleṣmakāriṇī // Rajni_7.137	nidrA Alasya karI rucyA vizwamBa Slezma kAriNI // Rajni_7.137
   upodaky aparā kṣudrā sūkṣmapattrā tu maṇḍapī /	upodakI aparA kzudrA sUkzmapattrA tu maNxapI /
   rasavīryavipākeṣu sadṛśī pūrvayā svayam // Rajni_7.138	rasa vIrya vipAkezu sadRSI pUrvayA svayam // Rajni_7.138
   upodakī tṛtīyā ca vanyajā vanajāhvayā /	upodakI tRtIyA ca vanya jA vanaja AhvayA /
   vanajopodakī tiktā kaṭūṣṇā rocanī ca sā // Rajni_7.139	vanajopodakI tiktA kawu uzNA rocanI ca sA // Rajni_7.139
   mūlapotī kṣudravallī potikā kṣudrapotikā /	mUlapotI kzudravallI potikA kzudrapotikAH /
   kṣupopodakanāmnī ca valliḥ śākaṭapotikā // Rajni_7.140	kzupopodaka nAmnI ca valliH SAkawapotikAH // Rajni_7.140
   mūlapotī tridoṣaghnī vṛṣyā balyā laghuś ca sā /	mUlapotI tridoza GnI vRzyA balyA laGuH ca sA /
   balapuṣṭikarī rucyā jaṭharānaladīpanī // Rajni_7.141	bala puzwi karI rucyA jaWara anala dIpanI // Rajni_7.141
   kuṇañjaras tridoṣaghno madhuro rucyadīpakaḥ /	kuNaQjaraH tridoza GnaH maDuraH rucya dIpakaH /
   īṣat kaṣāyaḥ saṃgrāhī pittaśleṣmakaro laghuḥ // Rajni_7.142	Izat kazAyaH saMgrAhI pitta Slezma karaH laGuH // Rajni_7.142
   kausumbhaśākaṃ madhuraṃ kaṭūṣṇaṃ viṇmūtradoṣāpaharaṃ madaghnam /	kOsumBa SAkam maDuram kawu uzNam viz mUtra doza apaharam mada Gnam /
   dṛṣṭiprasādaṃ kurute viśeṣād rucipradaṃ dīptikaraṃ ca vahneḥ //	dRzwi prasAdam kurute viSezAt ruci pradam dIpti karam ca vahneH //
   Rajni_7.143	Rajni_7.143
   śatapuṣpādalaṃ soṣṇaṃ madhuraṃ gulmaśūlajit /	SatapuzpA dalam sa uzNam maDuram gulma SUla jit /
   vātaghnaṃ dīpanaṃ pathyaṃ pittahṛd rucidāyakam // Rajni_7.144	vAta Gnam dIpanam paTyam pitta hRt ruci dAyakam // Rajni_7.144
   taṇḍulīyakadalaṃ himam arśaḥpittaraktaviṣakāsavināśi /	taNxulIyaka dalam himam arSaH pitta rakta viza kAsa vinASi /
   grāhakaṃ ca madhuraṃ ca vipāke dāhaśoṣaśamanaṃ rucidāyi // Rajni_7.145	grAhakam ca maDuram ca vipAke dAha Soza Samanam ruci dAyi // Rajni_7.145
   kaṭūṣṇaṃ rājikāpattraṃ krimivātakaphāpaham /	kawu uzNam rAjikA pattram krimi vAta kaPa apaham /
   kaṇṭhāmayaharaṃ svādu vahnidīpanakārakam // Rajni_7.146	kaNWa Amaya haram svAdu vahni dIpana kArakam // Rajni_7.146
   sārṣapaṃ pattram atyuṣṇaṃ raktapittaprakopanut /	sArzapam pattram ati uzNam rakta pitta prakopa nud /
   vidāhi kaṭukaṃ svādu śukrahṛd rucidāyakam // Rajni_7.147	vidAhi kawukam svAdu Sukra hRt ruci dAyakam // Rajni_7.147
   cāṅgerīśākam atyuṣṇaṃ kaṭu rocanapācanam /	cAFgerISAkam ati uzNam kawu rocana pAcanam /
   dīpanaṃ kaphavātārśaḥsaṃgrahaṇyatisārajit // Rajni_7.148	dIpanam kaPa vAta arSaH saMgrahaNI atisAra jit // Rajni_7.148
   gholā ca gholikā gholī kalanduḥ kavalālukam // Rajni_7.149	GolA ca GolikA GolI kalanduH kavalAlukam // Rajni_7.149
   kṣetrajaṃ lavaṇaṃ rucyam amlaṃ vātakaphāpaham // Rajni_7.150	kzetrajam lavaNam rucyam amlam vAta kaPa apaham // Rajni_7.150
   ārāmagholikā cāmlā rūkṣā rucyānilāpahā /	ArAmaGolikA ca amlA rUkzA rucyA anila apahAH /
   pittaśleṣmakarī cānyā sūkṣmā jīrṇajvarāpahā // Rajni_7.151	pitta Slezma karI ca anyA sUkzmA jIrNajvara apahAH // Rajni_7.151
   jīvanto raktanālaś ca tāmrapattraḥ sanālakaḥ /	jIvantaH raktanAlaH ca tAmrapattraH sa nAlakaH /
   śākavīras tu madhuro jīvaśākaś ca meṣakaḥ // Rajni_7.152	SAkavIraH tu maDuraH jIvaSAkaH ca mezakaH // Rajni_7.152
   jīvaśākaḥ sumadhuro bṛṃhaṇo vastiśodhanaḥ /	jIvaSAkaH su maDuraH bRMhaNaH vasti SoDanaH /
   dīpanaḥ pācano balyo vṛṣyaḥ pittāpahārakaḥ // Rajni_7.153	dIpanaH pAcanaH balyaH vRzyaH pitta apahArakaH // Rajni_7.153
   gaurasuvarṇaṃ svarṇaṃ sugandhikaṃ bhūmijaṃ ca vārijaṃ ca /	gOra suvarNam svarNam suganDikam BUmijam ca vArijam ca /
   hrasvaṃ ca gandhaśākaṃ kaṭuśṛṅgāṭaṃ ca varṇaśākāṅkaḥ // Rajni_7.154	hrasvam ca ganDaSAkam kawuSRFgAwam ca varNa SAka aFkaH // Rajni_7.154
   gaurasuvarṇaṃ śiśiraṃ kaphapittajvarāpaham /	gOra suvarNam SiSiram kaPa pitta jvara apaham /
   pathyaṃ dāharucibhrāntiraktaśramaharaṃ param // Rajni_7.155	paTyam dAha ruci BrAnti rakta Srama haram param // Rajni_7.155
   varṣābhūvasukau śleṣmavahnimāndyānilāpahau /	varzABU vasukO Slezma vahni mAndya anila apahO /
   pāke rūkṣatarau gulmaplīhaśūlāpahārakau // Rajni_7.156	pAke rUkzatarO gulma plIha SUla apahArakO // Rajni_7.156
   phañjikā jīvanī padmā tarkārī cucukaḥ pṛthak /	PaQjikA jIvanI padmA tarkArI cucukaH pRTak /
   vātāmayaharaṃ grāhi dīpanaṃ rucidāyakam // Rajni_7.157	vAta Amaya haram grAhi dIpanam ruci dAyakam // Rajni_7.157
   phañjyādipañcakaṃ bheṇḍā kuṇañjas tripuṭas tathā /	PaQjya Adi paQcakam BeNxA kuNaQjaH tri puwaH taTA /
   ityādi vanapattrāṇāṃ śākam ekatra yojitam // Rajni_7.158	ityAdi vana pattrANAm SAkam ekatra yojitam // Rajni_7.158
   dīpanaṃ pācanaṃ rucyaṃ balavarṇavidhāyakam /	dIpanam pAcanam rucyam bala varNa viDAyakam /
   tridoṣaśamanaṃ pathyaṃ grāhi vṛṣyaṃ sukhāvaham // Rajni_7.159	tridoza Samanam paTyam grAhi vRzyam suKa Avaham // Rajni_7.159
   karkoṭikā ca kuṣmāṇḍī kumbhāṇḍī tu bṛhatphalā /	karkowikA ca kuzmANxI kumBANxI tu bRhat PalAH /
   suphalā syāt kumbhaphalā nāgapuṣpaphalā muniḥ // Rajni_7.160	suPalA syAt kumBaPalA nAgapuzpa PalA muniH // Rajni_7.160
   mūtrāghātaharaṃ pramehaśamanaṃ kṛcchrāśmarīcchedanaṃ viṇmūtraglapanaṃ	mUtrAGAta haram prameha Samanam kRcCra aSmarI= Cedanam viz mUtra glapanam
   tṛṣārtiśamanaṃ jīrṇāṅgapuṣṭipradam /	tRzA Arti Samanam jIrNa aFga puzwi pradam /
   vṛṣyaṃ svādutaraṃ tv arocakaharaṃ balyaṃ ca pittāpahaṃ kuṣmāṇḍaṃ pravaraṃ	vRzyam svAdutaram tu arocaka haram balyam ca pitta apaham kuzmANxam pravaram
   vadanti bhiṣajo vallīphalānāṃ punaḥ // Rajni_7.161	vadanti BizajaH vallI PalAnAm punar // Rajni_7.161
   gorakṣatumbī gorakṣī navālāmbur ghaṭābhidhā /	gorakzatumbI gorakzI navAlAmbuH Gawa aBiDA /
   kumbhālāmbur ghaṭālāmbuḥ kumbhatumbī ca saptadhā // Rajni_7.162	kumBAlAmbuH GawAlAmbuH kumBatumbI ca saptaDA // Rajni_7.162
   kumbhatumbī sumadhurā śiśirā pittahāriṇī /	kumBatumbI su maDurA SiSirA pitta hAriNI /
   guruḥ saṃtarpaṇī rucyā vīryapuṣṭibalapradā // Rajni_7.163	guruH saMtarpaNI rucyA vIrya puzwi bala pradA // Rajni_7.163
   kṣīratumbī dugdhatumbī dīrghavṛttaphalābhidhā /	kzIratumbI dugDatumbI dIrGa vRtta Pala aBiDA /
   ikṣvākuḥ kṣatriyavarā dīrghabījā mahāphalā // Rajni_7.164	ikzvAkuH kzatriya varA dIrGabIjA mahA PalA // Rajni_7.164
   kṣīriṇī dugdhabījā ca dantabījā payasvinī /	kzIriNI dugDabIjA ca dantabIjA payasvinI /
   mahāvallī hy alāmbuś ca śramaghnī śarabhūmitā // Rajni_7.165	mahAvallI hi alAmbuH ca Srama GnI Sara BU mitAH // Rajni_7.165
   tumbī sumadhurā snigdhā pittaghnī garbhapoṣakṛt /	tumbI su maDurA snigDA pitta GnI garBa poza kRt /
   vṛṣyā vātapradā caiva balapuṣṭivivardhanī // Rajni_7.166	vRzyA vAta pradA ca eva bala puzwi vivarDanI // Rajni_7.166
   bhūtumbī nāgatumbī ca śakracāpasamudbhavā /	BUtumbI nAgatumbI ca Sakra cApa samudBavA /
   valmīkasambhavā devī divyatumbī ṣaḍāhvayā // Rajni_7.167	valmIka samBavA devI divyatumbI zaz AhvayA // Rajni_7.167
   bhūtumbī kaṭukoṣṇā ca saṃnipātāpahāriṇī /	BUtumbI kawukA uzNA ca saMnipAta apahAriNI /
   dantārgalaṃ dantarodhaṃ dhanurvātādidoṣanut // Rajni_7.168	danta argalam danta roDam DanurvAta Adi doza nud // Rajni_7.168
   māṃsalaphalaḥ kaliṅgaś citraphalaś citravallikaś citraḥ /	mAMsalaPalaH kaliFgaH citraPalaH citravallikaH citraH /
   madhuraphalo vṛttaphalo ghṛṇāphalo māṃsalo navadhā // Rajni_7.169	maDuraPalaH vRttaPalaH GRNAPalaH mAMsalaH navaDA // Rajni_7.169
   kaliṅgo madhuraḥ śītaḥ pittadāhaśramāpahaḥ /	kaliFgaH maDuraH SItaH pitta dAha Srama apahaH /
   vṛṣyaḥ saṃtarpaṇo balyo vīryapuṣṭivivardhanaḥ // Rajni_7.170	vRzyaH saMtarpaNaH balyaH vIrya puzwi vivarDanaH // Rajni_7.170
   kośātakī svāduphalā supuṣpā karkoṭakī syād api pītapuṣpā /	koSAtakI svAduPalA supuzpA karkowakI syAt api pIta puzpA /
   dhārāphalā dīrghaphalā sukośā dhāmārgavaḥ syān navasaṃjñako 'yam //	DArAPalA dIrGaPalA sukoSAH DAmArgavaH syAt nava saMjQakaH ayam //
   Rajni_7.171	Rajni_7.171
   dhārākośātakī snigdhā madhurā kaphapittanut /	DArAkoSAtakI snigDA maDurA kaPa pitta nud /
   īṣad vātakarī pathyā rucikṛd balavīryadā // Rajni_7.172	Izat vAta karI paTyA ruci kRt bala vIrya dA // Rajni_7.172
   hastikośātakī tv anyā bṛhatkośātakī tathā /	hastikoSAtakI tu anyA bRhatkoSAtakI taTA /
   mahākośātakī vṛttā grāmyakośātakī śarāḥ // Rajni_7.173	mahAkoSAtakI vRttA grAmyakoSAtakI SarAH // Rajni_7.173
   hastikośātakī snigdhā madhurādhmānavātakṛt /	hastikoSAtakI snigDA maDura ADmAna vAta kRt /
   vṛṣyā krimikarī caiva vraṇasaṃropaṇī ca sā // Rajni_7.174	vRzyA krimi karI ca eva vraNa saMropaNI ca sA // Rajni_7.174
   jñeyā svādupaṭolī ca paṭolī maṇḍalī ca sā /	jQeyA svAdupawolI ca pawolI maNxalI ca sA /
   paṭolī madhurādiḥ syāt proktā dīrghapaṭolikā /	pawolI maDura AdiH syAt proktA dIrGapawolikA /
   snigdhaparṇī svādupūrvaiḥ paryāyaiś ca paṭolikā // Rajni_7.175	snigDaparNI svAdu pUrvEH paryAyEH ca pawolikA // Rajni_7.175
   paṭolī svāduḥ pittaghnī rucikṛt jvaranāśanī /	pawolI svAduH pitta GnI ruci kRt jvara nASanI /
   balapuṣṭikarī pathyā jñeyā dīpanapācanī // Rajni_7.176	bala puzwi karI paTyA jQeyA dIpana pAcanI // Rajni_7.176
   paṭolapattraṃ pittaghnaṃ nālaṃ tasya kaphāpaham /	pawola pattram pitta Gnam nAlam tasya kaPa apaham /
   phalaṃ tridoṣaśamanaṃ mūlaṃ cāsya virecanam // Rajni_7.177	Palam tridoza Samanam mUlam ca asya virecanam // Rajni_7.177
   mṛgākṣī śatapuṣpā ca mṛgervārur mṛgādanī /	mRgAkzI SatapuzpA ca mRgervAruH mRgAdanI /
   citravallī bahuphalā kapilākṣī mṛgekṣaṇā // Rajni_7.178	citravallI bahuPalA kapila akzI mRga IkzaNAH // Rajni_7.178
   citrā citraphalā pathyā vicitrā mṛgacirbhiṭā /	citrA citraPalA paTyA vicitrA mRgacirBiwA /
   marujā kumbhasī devī kaṭphalā laghucirbhiṭā /	marujA kumBasI devI kawPalA laGucirBiwA /
   sendinī ca mahādevī budhaiḥ sā viṃśatir matāḥ // Rajni_7.179	sa indinI ca mahAdevI buDEH sA viMSatiH matAH // Rajni_7.179
   mṛgākṣī kaṭukā tiktā pāke 'mlā vātanāśanī /	mRgAkzI kawukA tiktA pAke amlA vAta nASanI /
   pittakṛt pīnasaharā dīpanī rucikṛt parā // Rajni_7.180	pitta kRt pInasa harA dIpanI ruci kRt parA // Rajni_7.180
   dadhipuṣpī khaṭvāṅgī khaṭvā paryaṅkapādikā kūpā /	daDipuzpI KawvAFgI KawvA paryaFkapAdikA kUpAH /
   khaṭvāpādī vaṃśyā kākolī kolapālikā navadhā // Rajni_7.181	KawvApAdI vaMSyA kAkolI kolapAlikA navaDA // Rajni_7.181
   dadhipuṣpī kaṭumadhurā śiśirā saṃtāpapittadoṣaghnī /	daDipuzpI kawu maDurA SiSirA saMtApa pitta doza GnI /
   vātāmayadoṣakarī gurus tathārocakaghnī ca // Rajni_7.182	vAta Amaya doza karI guruH taTA arocaka GnI ca // Rajni_7.182
   asiśimbī khaḍgaśimbī śimbī nistriṃśaśimbikā /	asiSimbI KaxgaSimbI SimbI nistriMSa SimbikA /
   sthūlaśimbī mahāśimbī bṛhacchimbī suśimbikā // Rajni_7.183	sTUlaSimbI mahASimbI bRhacCimbI su SimbikA // Rajni_7.183
   asiśimbī tu madhurā kaṣāyā śleṣmapittajit /	asiSimbI tu maDurA kazAyA Slezma pitta jit /
   vraṇadoṣāpahantrī ca śītalā rucidīpanī // Rajni_7.184	vraNa doza apahantrI ca SItalA ruci dIpanI // Rajni_7.184
   karakā kāravallī ca cīripattraḥ karillakā /	karakA kAravallI ca cIripattraH karillakAH /
   sūkṣmavallī kaṇṭaphalā pītapuṣpāmbuvallikā // Rajni_7.185	sUkzmavallI kaNwaPalA pIta puzpa ambuvallikA // Rajni_7.185
   kāravallī sutiktoṣṇā dīpanī kaphavātajit /	kAravallI su tikta uzNA dIpanI kaPa vAta jit /
   arocakaharā caiva raktadoṣaharī ca sā // Rajni_7.186	arocaka harA ca eva rakta doza harI ca sA // Rajni_7.186
   karkoṭakī svāduphalā manojñā ca manasvinī /	karkowakI svAduPalA manojQA ca manasvinI /
   bodhanā vandhyakarkoṭī devī kaṇṭaphalāpi ca // Rajni_7.187	boDanA vanDyakarkowI devI kaNwaPalA api ca // Rajni_7.187
   karkoṭakī kaṭūṣṇā ca tiktā viṣavināśanī /	karkowakI kawu uzNA ca tiktA viza vinASanI /
   vātaghnī pittahṛt caiva dīpanī rucikāriṇī // Rajni_7.188	vAta GnI pitta hRt ca eva dIpanI ruci kAriNI // Rajni_7.188
   atha bhavati madhurabimbī madhubimbī svādutumbikā tuṇḍī /	aTa Bavati maDurabimbI maDubimbI svAdutumbikA tuNxI /
   raktaphalā ruciraphalā soṣṇaphalā pīluparṇī ca // Rajni_7.189	raktaPalA ruciraPalA sa uzNaPalA pIluparNI ca // Rajni_7.189
   bimbī tu madhurā śītā pittaśvāsakaphāpahā /	bimbI tu maDurA SItA pitta SvAsa kaPa apahAH /
   asṛgjvaraharā ramyā kāsajid gṛhabimbikā // Rajni_7.190	asRk jvara harA ramyA kAsa jit gRha bimbikA // Rajni_7.190
   niṣpāvī grāmajādiḥ syāt phalīnī nakhapūrvikā /	nizpAvI grAmaja AdiH syAt PalInI naKa pUrvikA /
   maṇḍapī phalikā śimbī jñeyā gucchaphalā ca sā /	maNxapI PalikA SimbI jQeyA gucCaPalA ca sA /
   viśālaphalikā caiva niṣpāviś cipiṭā tathā // Rajni_7.191	viSAlaPalikA ca eva nizpAviH cipiwA taTA // Rajni_7.191
   anyāṅgulīphalā caiva nakhaniṣpāvikā smṛtā /	anyA aFgulIPalA ca eva naKa nizpAvikA smRtA /
   vṛttaniṣpāvikā grāmyā nakhapucchaphalā śarāḥ // Rajni_7.192	vRtta nizpAvikA grAmyAH naKapucCa PalA SarAH // Rajni_7.192
   niṣpāvau dvau haricchubhrau kaṣāyau madhurau rasau /	nizpAvO dvO harit SuBrO kazAyO maDurO rasO /
   kaṇṭhaśuddhikarau medhyau dīpanau rucikārakau /	kaNWa SudDi karO meDyO dIpanO ruci kArakO /
   saṃgrāhi samavīryaṃ syād īṣac chreṣṭhaṃ dvitīyakam // Rajni_7.193	saMgrAhi sama vIryam syAt Izat SrezWam dvitIyakam // Rajni_7.193
   vārttākī kaṇṭavṛntākī kaṇṭāluḥ kaṇṭapattrikā /	vArttAkI kaNwavRntAkI kaNwAluH kaNwapattrikA /
   nidrālur māṃsalaphalā vṛntākī ca mahoṭikā // Rajni_7.194	nidrAluH mAMsalaPalA vRntAkI ca mahowikA // Rajni_7.194
   citraphalā kaṇṭakinī mahatī kaṭphalā ca sā /	citraPalA kaNwakinI mahatI kawPalA ca sA /
   miśravarṇaphalā nīlaphalā raktaphalā tathā /	miSravarNaPalA nIlaPalA raktaPalA taTA /
   śākaśreṣṭhā vṛttaphalā nṛpapriyaphalasmṛtiḥ // Rajni_7.195	SAkaSrezWA vRttaPalA nRpapriya Pala smRtiH // Rajni_7.195
   vārttākī kaṭukā rucyā madhurā pittanāśinī /	vArttAkI kawukA rucyA maDurA pitta nASinI /
   balapuṣṭikarī hṛdyā gurur vāteṣu ninditā // Rajni_7.196	bala puzwi karI hRdyA guruH vAtezu ninditA // Rajni_7.196
   ḍaṅgarī ḍāṅgarī caiva dīrghervāruś ca ḍaṅgariḥ /	xaFgarI xAFgarI ca eva dIrGervAruH ca xaFgariH /
   ḍaṅgārī nāgaśuṇḍī ca gajadantaphalā muniḥ // Rajni_7.197	xaFgArI nAgaSuNxI ca gajadantaPalA muniH // Rajni_7.197
   ḍaṅgarī śītalā rucyā vātapittāsradoṣajit /	xaFgarI SItalA rucyA vAta pitta asra doza jit /
   śoṣahṛt tarpaṇī gaulyā jāḍyahā mūtrarodhanut // Rajni_7.198	Soza hRt tarpaNI gOlyA jAxya hA mUtra roDa nud // Rajni_7.198
   bālaṃ ḍāṅgarikaṃ phalaṃ sumadhuraṃ śītaṃ ca pittāpahaṃ tṛṣṇādāhanibarhaṇaṃ	bAlam xAFgarikam Palam su maDuram SItam ca pitta apaham tRzNA dAha nibarhaNam
   ca rucikṛt saṃtarpaṇaṃ puṣṭidam /	ca ruci kRt saMtarpaNam puzwi dam /
   vīryonmeṣakaraṃ balapradam idaṃ bhrāntiśramadhvaṃsanaṃ pakvaṃ cet kurute	vIrya unmeza karam bala pradam idam BrAnti Srama DvaMsanam pakvam ced kurute
   tad eva madhuraṃ tṛḍdāharaktaṃ guru // Rajni_7.199	tat eva maDuram tRz dAha raktam guru // Rajni_7.199
   atha kharbujā madhuphalā ṣaḍrekhā vṛttakarkaṭī tiktā /	aTa KarbujA maDuPalA zaxreKA vRttakarkawI tiktA /
   tiktaphalā madhupākā vṛttervāruś ca ṣaṇmukhā navadhā // Rajni_7.200	tiktaPalA maDupAkAH vRttervAruH ca zaNmuKAH navaDA // Rajni_7.200
   tiktaṃ bālye tad anu madhuraṃ kiṃcid amlaṃ ca pāke niṣpakvaṃ cet tad	tiktam bAlye tat anu maDuram kiMcid amlam ca pAke nizpakvam ced tat 
   amṛtasamaṃ tarpaṇaṃ puṣṭidāyi /	amRta samam tarpaNam puzwi dAyi /
   vṛṣyaṃ dāhaśramaviśamanaṃ mūtraśuddhiṃ vidhatte pittonmādāpaharakaphadaṃ	vRzyam dAha Srama viSamanam mUtra SudDim viDatte pitta unmAda apahara kaPa dam
   kharbujaṃ vīryakāri // Rajni_7.201	Karbujam vIrya kAri // Rajni_7.201
   atha karkaṭī kaṭudalā chardyāyanikā ca pīnasā mūtraphalā /	aTa karkawI kawudalA CardyAyanikA ca pInasAH mUtraPalAH /
   trapusī ca hastiparṇī lomaśakaṇṭā ca mūtralā navābhidhā // Rajni_7.202	trapusI ca hastiparNI lomaSakaNwA ca mUtralA nava aBiDA // Rajni_7.202
   karkaṭī madhurā śītā tvak tiktā kaphapittajit /	karkawI maDurA SItA tvac tiktA kaPa pitta jit /
   raktadoṣakarā pakvā mūtrarodhārtināśanī // Rajni_7.203	rakta doza karA pakvA mUtra roDa Arti nASanI // Rajni_7.203
   mūtrāvarodhaśamanaṃ bahumūtrakāri kṛcchrāśmarīpraśamanaṃ vinihanti pittam	mUtra avaroDa Samanam bahu mUtra kAri kRcCra aSmarI praSamanam vinihanti pittam
   vāntiśramaghnabahudāhanivāri rucyaṃ śleṣmāpahaṃ laghu ca karkaṭikāphalaṃ	vAnti Srama Gna bahu dAha nivAri rucyam Slezma apaham laGu ca karkawikA Palam
   syāt // Rajni_7.204	syAt // Rajni_7.204
   trapusī pītapuṣpī kaṇṭālus trapusakarkaṭī /	trapusI pItapuzpI kaNwAluH trapusa karkawI /
   bahuphalā kośaphalā sā tundilaphalā muniḥ // Rajni_7.205	bahuPalA koSaPalA sA tundilaPalA muniH // Rajni_7.205
   syāt trapusīphalaṃ rucyaṃ madhuraṃ śiśiraṃ guru /	syAt trapusI Palam rucyam maDuram SiSiram guru /
   bhramapittavidāhārtivāntihṛd bahumūtradam // Rajni_7.206	Brama pitta vidAha Arti vAnti hRt bahu mUtra dam // Rajni_7.206
   ervāruḥ karkaṭī proktā vyālapattrā ca lomaśā /	ervAruH karkawI proktA vyAlapattrA ca lomaSAH /
   sthūlā toyaphalā caiva hastidantaphalā muniḥ // Rajni_7.207	sTUlA toyaPalA ca eva hastidantaPalA muniH // Rajni_7.207
   ervārukaṃ pittaharaṃ suśītalaṃ mūtrāmayaghnaṃ madhuraṃ rucipradam /	ervArukam pitta haram su SItalam mUtra Amaya Gnam maDuram ruci pradam /
   saṃtāpamūrchāpaharaṃ sutṛptidaṃ vātaprakopāya ghanaṃ tu sevitam //	saMtApa mUrCA apaharam su tRpti dam vAta prakopAya Ganam tu sevitam //
   Rajni_7.208	Rajni_7.208
   atha vālukī bahuphalā snigdhaphalā kṣetrakarkaṭī kṣetraruhā /	aTa vAlukI bahuPalA snigDaPalA kzetrakarkawI kzetraruhA /
   madhuraphalā śāradikā kṣudrervāruś ca pītapuṣpikā // Rajni_7.209	maDuraPalA SAradikA kzudrervAruH ca pItapuzpikA // Rajni_7.209
   vālukī madhurā śītādhmānahṛc ca śramāpahā /	vAlukI maDurA SIta ADmAna hRt ca Srama apahAH /
   pittāsraśamanī rucyā kurute kāsapīnasau // Rajni_7.210	pitta asra SamanI rucyA kurute kAsa pInasO // Rajni_7.210
   vālukāni ca sarvāṇi durjarāṇi gurūṇi ca /	vAlukAni ca sarvANi durjarANi gurUNi ca /
   mandānalaṃ prakurvanti vātaraktaharāṇi ca // Rajni_7.211	manda analam prakurvanti vAta rakta harANi ca // Rajni_7.211
   syād vālukī śaradi varṣajadoṣakartrī hemantajā tu khalu pittaharā ca rucyā	syAt vAlukI Saradi varza ja doza kartrI hemanta jA tu Kalu pitta harA ca rucyA
   kṣipraṃ karoti khalu pīnasam ardhapakvā pakvā tv atīva madhurā kaphakāriṇī	kzipram karoti Kalu pInasam arDa pakvA pakvA tu atIva maDurA kaPa kAriNI
   ca // Rajni_7.212	ca // Rajni_7.212
   cīnakarkaṭikā jñeyā bījakarkaṭikā tathā /	cInakarkawikA jQeyA bIjakarkawikA taTA /
   sudīrghā rājilaphalā bāṇaiḥ kulakakarkaṭī // Rajni_7.213	sudIrGA rAjilaPalA bANEH kulaka karkawI // Rajni_7.213
   cīnakarkaṭikā rucyā śiśirā pittanāśanī /	cInakarkawikA rucyA SiSirA pitta nASanI /
   madhurā tṛptidā hṛdyā dāhaśoṣāpahāriṇī // Rajni_7.214	maDurA tRpti dA hRdyA dAha Soza apahAriNI // Rajni_7.214
   syāt cirbhiṭā sucitrā citraphalā kṣetracirbhiṭā pāṇḍuphalā /	syAt cirBiwA sucitrA citraPalA kzetracirBiwA pANxuPalA /
   pathyā ca rocanaphalā cirbhiṭikā karkaṭikā grahasaṃkhyā // Rajni_7.215	paTyA ca rocanaPalA cirBiwikA karkawikA graha saMKyA // Rajni_7.215
   bālye tiktā cirbhiṭā kiṃcid amlā gaulyopetā dīpanī sā ca pāke /	bAlye tiktA cirBiwA kiMcid amlA gOlya upetA dIpanI sA ca pAke /
   śuṣkā rūkṣā śleṣmavātārucighnī jāḍyaghnī sā rocanī dīpanī ca //	SuzkA rUkzA Slezma vAta aruci GnI jAxya GnI sA rocanI dIpanI ca //
   Rajni_7.216	Rajni_7.216
