   mahāyānasūtrālaṃkāraḥ	mahAyAna sUtra alaMkAraH
   (MSA_Bagchi 28)	(MSA_BagCi 28)
   svayaṃ ca sarvalokadhātūnāṃ sasattvānāṃ savivartasaṃvartānāṃ	svayam ca sarva loka DAtUnAm sa sattvAnAm sa vivarta saMvartAnAm
   māyopamatvadarśanāt | pareṣāṃ yatheṣṭaṃ tatsaṃdarśanāt | anyaiśca	mAyA upama tva darSanAt | parezAm yaTezwam tad saMdarSanAt | anyEH ca
   vicitraiḥ kampanajvalanādiprakāraiḥ | daśavaśitālābhāt | yathā daśabhūmike	vicitrEH kampana jvalana Adi prakArEH | daSa vaSitA lABAt | yaTA daSa BUmike
   'ṣṭamyāṃ bhūmau nirdiṣṭāḥ |	azwamyAm BUmO nirdizwAH |
   raśmikarmārabhya ślokaḥ |	raSmi karma AraBya SlokaH |
   raśmipramokṣairbhṛśaduḥkhitāṃśca āpāyikānsvargagatānkaroti |	raSmi pramokzEH BRSa duHKitAn= ca ApAyikAn svarga gatAn karoti |
   mārānvayān kṣubdhavimānaśobhān saṃkampayaṃstrāsayate samārān || Msa_7.5 ||	mAra anvayAn kzubDa vimAna SoBAn saMkampayan= trAsayate samArAn || Msa_7.5 ||
   dvividhaṃ raśmikarma saṃdarśayati | apāyopapannānāṃ ca prasādaṃ janayitvā	dviviDam raSmi karma saMdarSayati | apAya upapannAnAm ca prasAdam janayitvA
   svargopapādanam | mārabhavanānāṃ ca samārakāṇāṃ kampanodvejanam |	svarga upapAdanam | mAra BavanAnAm ca sa mArakANAm kampana udvejanam |
   vikrīḍanakarma cārabhya ślokaḥ |	vikrIxana karma ca AraBya SlokaH |
   samādhivikrīḍitamaprameyaṃ saṃdarśayatyagragaṇasyamadhye |	samADi vikrIxitam aprameyam saMdarSayati agra gaNasya maDye |
   sakarmajanmottamanirmitaiśca sattvārthamātiṣṭhati sarvakālam || Msa_7.6 ||	sa karma janma uttama nirmitEH ca sattva arTam AtizWati sarvakAlam || Msa_7.6 ||
   aprameyasamādhivikrīḍitasaṃdarśanāt buddhaparṣanmaṇḍalamadhye trividhena	aprameya samADi vikrIxita saMdarSanAt budDa parzad maNxala maDye triviDena
   nirmāṇena sadā sattvārthakaraṇācca | trividhaṃ nirmāṇaṃ	nirmANena sadA sattva arTa karaNAt ca | triviDam nirmANam
   śilpakarmasthānanirmāṇam | vineyavaśenayatheṣṭopapattinirmāṇam |	Silpa karma sTAna nirmANam | vineya vaSena yaTezwa upapatti nirmANam |
   uttamanirmāṇaṃ ca tuṣitabhavanavāsādikam |	uttama nirmANam ca tuzita Bavana vAsa Adikam |
   kṣetrapariśuddhikarma ārabhya ślokaḥ |	kzetra pariSudDi karmaH AraBya SlokaH |
   jñānavasitvātsamupaiti śuddhiṃ kṣetraṃ yathākāmanidarśanāya |	jQAna vasi tvAt samupEti SudDim kzetram yaTAkAma nidarSanAya |
   abuddhanāmeṣu[?] ca buddhanāma saṃśrāvaṇāttankṣipate 'nyadhātau || Msa_7.7	abudDa nAma izu[?] ca budDa nAma saMSrAvaNAt tan kzipate anya DAtO || Msa_7.7
   dvividhapāpaviśodhanayā | bhājanapariśodhanayā jñānavaśitvādyatheṣṭaṃ	dviviDa pApa viSoDanayA | BAjana pariSoDanayA jQAna vaSi tvAt yaTezwam
   sphaṭikavaidūryādimayabuddhakṣetrasaṃdarśanataḥ | sattvapariśodhanayā ca	sPawika vEdUrya Adi maya budDa kzetra saMdarSanataH | sattva pariSoDanayA ca
   buddhanāmavirahiteṣu lokadhātuṣūpapannānāṃ sattvānāṃ	budDa nAma virahitezu lokaDAtuzu upapannAnAm sattvAnAm
   buddhanāmasaṃśrāvaṇayā prasādaṃ grāhayitvā tadavirahiteṣu	budDa nAma saMSrAvaNayA prasAdam grAhayitvA tad avirahitezu
   lokadhātuṣūpapādanāt |	lokaDAtuzu upapAdanAt |
   (MSA_Bagchi 29)	(MSA_BagCi 29)
   yogārthamārabhya ślokaḥ |	yoga arTam AraBya SlokaH |
   śakto bhavatyeva ca sattvapāke saṃjātapakṣaḥ śakuniryathaiva |	SaktaH Bavati eva ca sattva pAke saMjAta pakzaH SakuniH yaTA eva |
   buddhātpraśaṃsāṃ labhate 'timātrāmādeyavākyo bhavati prajānām || Msa_7.8	budDAt praSaMsAm laBate atimAtrAm Adeya vAkyaH Bavati prajAnAm || Msa_7.8
   trividhaṃ yogaṃ pradarśayati | sattvaparipācanaśaktiyogaṃ	triviDam yogam pradarSayati | sattva paripAcana Sakti yogam
   praśaṃsāyogamādeyavākyatāyogaṃ ca |	praSaMsA yogam Adeya vAkyatA yogam ca |
   vṛttyarthamārabhya ślokaḥ |	vRtti arTam AraBya SlokaH |
   ṣaḍdhāpyabhijñā trividhā ca vidyā aṣṭau vimokṣābhibhuvastathāṣṭau |	zaxDA api aBijQA triviDA ca vidyAH azwO vimokza aBiBuvaH taTA azwO |
   daśāpi kṛtsnāyatanānyameyāḥ samādhayo dhīragataḥ prabhāvaḥ || Msa_7.9 ||	daSA api kRtsnA AyatanAni ameyAH samADayaH DIra gataH praBAvaH || Msa_7.9 ||
   ṣaḍbhiḥ prabhedairbodhisattvasya prabhāvo vartate |	zaxBiH praBedEH boDisattvasya praBAvaH vartate |
   abhijñāvidyāvimokṣābhibhvāyatanakṛtsnāyatanāpramāṇasamādhiprabhedaiḥ |	aBijQA avidyA vimokza aBiBvAyatana kRtsnA Ayatana apramANa samADi praBedEH |
   evaṃ ṣaḍarthena vibhāgalakṣaṇena prabhāvaṃ darśayitvā	evam zaw arTena viBAga lakzaNena praBAvam darSayitvA
   tanmāhātmyodbhāvanārthaṃ ślokaḥ |	tad mAhAtmya udBAvanA arTam SlokaH |
   sa hi paramavaśitvalabdhabuddhirjagadavaśaṃ svavaśe vidhāya nityam |	sa hi parama vaSi tva labDa budDiH jagat avaSam sva vaSe viDAya nityam |
   parahitakaraṇaikatābhirāmaścarati bhaveṣu hi siṃhavatsudhīraḥ || Msa_7.10	para hita karaNa eka tA aBirAmaH carati Bavezu hi siMha vat su DIraH || Msa_7.10
   trividhaṃ māhātmyaṃ darśayati | vaśitāmāhātmyaṃ svayaṃ	triviDam mAhAtmyam darSayati | vaSitA mAhAtmyam svayam
   paramajñānavaśitvaprāptyā kleśāsvavaśasya jagataḥ svavaśe sthāpanāt |	parama jQAna vaSi tva prAptyA kleSa Asu avaSasya jagataH sva vaSe sTApanAt |
   abhiratimāhātmyaṃ sadā parahitakriyaikārāmatvāt | bhavanirbhayatāmāhātmyaṃ	aBirati mAhAtmyam sadA para hita kriyA eka ArAma tvAt | Bava nirBaya tA mAhAtmyam
   ca |	ca |
   || prabhāvādhikāraḥ mahāyānasūtrālaṃkāre saptamaḥ ||	|| praBAva aDikAraH mahAyAna sUtra alaMkAre saptamaH ||
   (MSA_Bagchi 30)	(MSA_BagCi 30)
   aṣṭamo 'dhikāraḥ	azwamaH aDikAraH
   bodhisattvaparipāke saṃgrahaḥ ślokaḥ |	boDisattva paripAke saMgrahaH SlokaH |
   rūciḥ prasādaḥ praśamo 'nukampanā kṣamātha medhā prabalatvameva ca |	rUciH prasAdaH praSamaH anukampanA kzamA aTa meDA prabala tvam eva ca |
   ahāryatāṅgaiḥ samupetatā bhṛśaṃ jinātmaje tatparipākalakṣaṇam || Msa_8.1	ahAryata aFgEH samupeta tA BRSam jina Atmaje tad paripAka lakzaNam || Msa_8.1
   rūcirmahāyānadeśanādharme, prasādastaddeśike, praśamaḥ kleśānām, anukampā	rUciH mahAyAna deSanA Darme, prasAdaH tad deSike, praSamaH kleSAnAm, anukampA
   sattveṣu, kṣamā duṣkaracaryāyāṃ, medhā grahaṇadhāraṇaprativedheṣu,	sattva izu, kzamA duzkara caryAyAn, meDA grahaNa DAraNa prativeDa izu,
   prabalatvamadhigame, ahāryatā māraparapravādibhiḥ, prāhāṇikāṅgaiḥ	prabala tvam aDigame, ahAryatA mAra para pravAdiBiH, prAhANika aFgEH
   samanvāgatatvam | bhṛśamiti rūcyādīnāmadhimātratvaṃ darśayati | eṣa	samanvAgata tvam | BRSam iti rUci AdInAm aDimAtra tvam darSayati | eza
   samāsena bodhisattvānāṃ navaprakāra ātmaparipāko veditavyaḥ |	samAsena boDisattvAnAm nava prakAraH Atma paripAkaH veditavyaH |
   rūciparipākamārabhya ślokaḥ |	rUci paripAkam AraBya SlokaH |
   sumitratāditrayamugravīryatā parārdhaniṣṭhottamadharmasaṃgrahaḥ |	sumitra tA Adi trayam ugra vIrya tA parArDa nizWA uttama Darma saMgrahaH |
   kṛpālusaddharmamahāparigrahe mataṃ hi samyakparipākalakṣaṇam || Msa_8.2 ||	kRpAlu sat Darma mahA parigrahe matam hi samyak paripAka lakzaNam || Msa_8.2 ||
   sumitratāditrayaṃ satpuruṣasaṃsevā saddharmaśravaṇaṃ yoniśomanasikāraśca |	sumitra tA Adi trayam sat puruza saMsevA sadDarma SravaNam yoni SomanasikAraH ca |
   ugravīryatā adhimātro vīryārambhaḥ | parārdhaniṣṭhā	ugra vIrya tA aDimAtraH vIrya AramBaH | parArDa nizWA
   sarvācintyasthānanirvicikitsatā | uttamadharmasaṃgraho	sarva acintya sTAna nirvicikitsatA | uttama Darma saMgrahaH 
   mahāyānadharmarakṣā, tatpratipannānāmupadravebhyo rakṣaṇāt |	mahAyAna Darma rakzA, tad pratipannAnAm upadraveByaH rakzaNAt |
   bodhisattvasya mahāyānadharmaparigrahamadhikṛtyedaṃ rūciparipākalakṣaṇaṃ	boDisattvasya mahAyAna Darma parigraham aDikRtya idam rUci paripAka lakzaNam
   veditavyam | yena kāraṇena paripacyate sumitratāditrayeṇa | yaśca tasyāḥ	veditavyam | yena kAraNena paripacyate sumitra tA Adi trayeNa | yaH ca tasyAH
   paripāka ugravīryaparārdhaniṣṭhāyuktaḥ svabhāvaḥ | yatkarma	paripAkaH ugra vIrya parArDa nizWA yuktaH svaBAvaH | yat karma
   cottamadharmasaṃgrahakaraṇāttadetena paridīṣitam |	ca uttama Darma saMgraha karaNAt tat etena paridIzitam |
   prasādaparipākamārabhya ślokaḥ |	prasAda paripAkam AraBya SlokaH |
   guṇajñatāthāśusamādhilābhitā phalānubhūtirmanaso 'dhyabheda[dya?]tā |	guNa jQa tATa ASu samADi la aBitA Pala anuBUtiH manasaH aDyaBeda [dya ?]tA |
   jīnātmaje śāstari saṃprapattaye mataṃ hi samyakparipākalakṣaṇam || Msa_8.3	jIna Atmaje SAstari saMprapattaye matam hi samyak paripAka lakzaNam || Msa_8.3
   (MSA_Bagchi 31)	(MSA_BagCi 31)
   tatparipāko 'pi kāraṇataḥ svabhāvataḥ karmataśca paridīpitaḥ | guṇajñatā	tad paripAkaH api kAraNataH svaBAvataH karmataH ca paridIpitaH | guNa jQa tA
   ityapi sa bhagavāṃstathāgata iti vistareṇa kāraṇam |	iti api sa BagavAn= taTAgataH iti vistareNa kAraNam |
   avetyaprabhāva[sāda]lābhādabhedyacittatā svabhāvaḥ |	avetya praBA va[ sAt a]lABAt aBedya citta tA svaBAvaH |
   āśusamādhilābhastatphalasya cābhijñādikasya pratyanubhavanaṃ karma |	ASu samADi lABaH tad Palasya ca aBijQA Adikasya pratyanuBavanam karma |
   praśamaparipākamārabhya ślokaḥ |	praSama paripAkam AraBya SlokaH |
   susaṃvṛtiḥ kliṣṭavitarkavarjanā nirantarāyo 'tha śubhābhirāmatā |	su saMvRtiH klizwa vitarka varjanAH nirantarAyaH aTa SuBa aBirAma tA |
   jinātmaje kleśavinodanāyatanmataṃ hi samyakparipākalakṣaṇam || Msa_8.4 ||	jina Atmaje kleSa vinodana Aya tat matam hi samyak paripAka lakzaNam || Msa_8.4 ||
   kleśavinodanā bodhisattvasya praśamaḥ | tatparipāko 'pi kāraṇataḥ	kleSa vinodanAH boDisattvasya praSamaH | tad paripAkaH api kAraNataH
   svabhāvataḥ karmataśca paridīpitaḥ | indriyāṇāṃ smṛtisaṃprajanyābhyāṃ	svaBAvataH karmataH ca paridIpitaH | indriyANAm smRti saMprajanyAByAm
   susaṃvṛtiḥ kāraṇam | kliṣṭavitarkavarjanā svabhāvaḥ | pratipakṣabhāvanāyāṃ	su saMvRtiH kAraNam | klizwa vitarka varjanA svaBAvaH | pratipakza BAvanAyAm
   nirantarāyatvaṃ kuśalābhirāmatā ca karma |	nirantarAya tvam kuSala aBirAma tA ca karma |
   kṛpāparipākalakṣaṇamadhikṛtya ślokaḥ |	kRpA paripAka lakzaNam aDikRtya SlokaH |
   kṛpā prakṛtyā paraduḥkhadarśanaṃ nihīnacittasya ca saṃpravarjanam |	kRpA prakRtyA para duHKa darSanam nihIna cittasya ca saMpravarjanam |
   viśeṣagatvaṃ jagadagrajanmatā parānukampāparipākalakṣaṇam || Msa_8.5 ||	viSeza ga tvam jagat agrajanma tA para anukampA paripAka lakzaNam || Msa_8.5 ||
   svaprakṛtyā ca gotreṇa paraduḥkhadarśanena nihīnayānaparivarjanatayā ca	sva prakRtyA ca gotreNa para duHKa darSanena nihIna yAna parivarjana tayA ca
   paripacyata itikāraṇam | viśeṣagāmitvaṃ paripākavṛddhigamanāt svabhāvaḥ |	paripacyate iti kAraNam | viSeza gAmi tvam paripAka vRdDi gamanAt svaBAvaH |
   sarvalokaśreṣṭhātmabhāvatā karma avinivartanīyabhūmau |	sarva loka SrezWa Atma BAva tA karma avinivartanIya BUmO |
   kṣāntiparipākalakṣaṇamārabhya ślokaḥ |	kzAnti paripAka lakzaNam AraBya SlokaH |
   ghṛtiḥ prakṛtyā pratisaṃkhyabhāvanā suduḥkhaśītādyadhivāsanā sadā |	GRtiH prakRtyA pratisaMKya BAvanA su duHKa SIta Adi aDivAsanA sadA |
   viśeṣagāmitvaśubhābhirāmatā mataṃ kṣamāyāḥ paripākalakṣaṇam || Msa_8.6 ||	viSeza gAmi tu a SuBa aBirAmatA matam kzamAyAH paripAka lakzaNam || Msa_8.6 ||
   dhṛtiḥ sahanaṃ kṣāntiriti paryāyāḥ tatatparipāke gotraṃ pratisaṃkhyānaṃ	DRtiH sahanam kzAntiH iti paryAyAH tatad paripAke gotram pratisaMKyAnam
   bhāvanā ca kāraṇam | tīvrāṇāṃ śītādiduḥkhānāmadhivāsanāsvabhāvaḥ |	BAvanA ca kAraNam | tIvrANAm SIta Adi duHKAnAm aDivAsanA svaBAvaH |
   kṣamasya viśeṣagāmitvaṃ kuśalābhirāmatā ca karma |	kzamasya viSeza gAmi tvam kuSala aBirAma tA ca karma |
   (MSA_Bagchi 32)	(MSA_BagCi 32)
   medhāparipākamārabhya ślokaḥ |	meDA paripAkam AraBya SlokaH |
   vipākaśuddhiḥ śravaṇādyamoṣatā praviṣṭatā sūktadurūktayostathā |	vipAka SudDiH SravaNa Adyam ozatA pravizwa tA su ukta duru uktayoH taTA |
   smṛtermahābuddhyudaye ca yogyatā sumedhatāyāḥ paripākalakṣaṇam || Msa_8.7	smRteH mahAbudDi udaye ca yogyatA sumeDatAyAH paripAka lakzaNam || Msa_8.7
   tatra medhānukūlā vipākaviśuddhiḥ kāraṇam |	tatra meDA anukUlA vipAka viSudDiH kAraNam |
   śrutacintitabhāvitacirakṛtacirabhāṣitānāmasaṃmoṣatā	Sruta cintita BAvita cira kRta cira BAzitAnAm asaMmoza tA
   subhāṣitadurbhāṣitārthasupraviṣṭatā ca smṛtermedhāparipākasvabhāvaḥ |	su BAzita durBAzita arTa su pravizwa tA ca smRteH meDA paripAka svaBAvaH |
   lokottaraprajñotpādanayogyatā karma |	loka uttara prajQA utpAdana yogya tA karma |
   balavatvapratilambhaparipākamārabhya ślokaḥ |	balavatu apratilamBa paripAkam AraBya SlokaH |
   śubhadvayena dvayadhātupuṣṭatā phalodaye cāśrayayogyatā parā |	SuBa dvayena dvaya DAtu puzwa tA Pala udaye ca ASraya yogya tA parA |
   manorathāptirjagadagrabhūtatā balopalambhe paripākalakṣaṇam || Msa_8.8 ||	manoraTa AptiH jagat agra BUta tA bala upalamBe paripAka lakzaNam || Msa_8.8 ||
   tatra puṇyajñānadvayena tasya puṇyajñānadvayasya bījapuṣṭatā tatparipāke	tatra puNya jQAna dvayena tasya puNya jQAna dvayasya bIja puzwa tA tad paripAke
   kāraṇam | adhigamaṃ pratyāśrayayogyatā tatparipākasvabhāvaḥ |	kAraNam | aDigamam pratyASraya yogya tA tad paripAka svaBAvaH |
   manorathasaṃpattirjagadagrabhūtatā ca karma |	manoraTa saMpattiH jagat agra BUta tA ca karma |
   ahāryatāparipākamārabhya ślokaḥ |	ahAryata aparipAkam AraBya SlokaH |
   sudharmatāyuktivicāraṇāśayo viśeṣalābhaḥ parapakṣadūṣaṇam |	suDarma tA yukti vicAraNa ASayaH viSeza lABaH para pakza dUzaNam |
   punaḥ sadā māranirantarāyatā ahāryatāyāḥ paripākalakṣaṇam || Msa_8.9 ||	punar sadA mAra nirantara AyatAH ahAryatAyAH paripAka lakzaNam || Msa_8.9 ||
   tatparipākasya saddharme yuktivicāraṇākṛta āśayaḥ kāraṇam |	tad paripAkasya sadDarme yukti vicAraNa akRtaH ASayaH kAraNam |
   māranirantarāyatā svabhāvo yadā māro na punaḥ śankotyantarāyaṃ kartum |	mAra nirantara AyatA svaBAvaH yadA mAraH na punar Sankoti antarAyam kartum |
   viśeṣādhigamaḥ parapakṣadūṣaṇaṃ ca karma |	viSeza aDigamaH para pakza dUzaNam ca karma |
   prāhāṇikāṅgasamanvāgamaparipākamadhikṛtya ślokaḥ |	prAhANikA aFga samanvAgama paripAkam aDikRtya SlokaH |
   śubhācayo 'thāśrayayatnayogyatā vivekatodagraśubhābhirāmatā |	SuBa AcayaH aTa ASraya yatna yogya tA viveka tA udagra SuBa aBirAma tA |
   jinātmaje hyaṅgasamanvaye punarmataṃ hi samyakparipākalakṣaṇam || Msa_8.10	jina Atmaje hi aFga samanvaye punar matam hi samyak paripAka lakzaNam || Msa_8.10
   (MSA_Bagchi 33)	(MSA_BagCi 33)
   tatparipākasya kāraṇaṃ kuśalamūlopacayaḥ | āśrayasya vīryārambhakṣamatvaṃ	tad paripAkasya kAraNam kuSala mUla upacayaH | ASrayasya vIrya AramBa kzama tvam
   svabhāvaḥ | vivekotkṛṣṭatā kuśalābhirāmatā ca karma |	svaBAvaH | viveka utkRzwa tA kuSala aBirAma tA ca karma |
   navavidhātmaparipākamāhātmyamārabhya ślokaḥ |	navaviDa Atma paripAka mAhAtmyam AraBya SlokaH |
   iti navavidhavastupacitātmā paraparipācanayogyatāmupetaḥ |	iti navaviDa vastu pacita AtmA para paripAcana yogya tAm upetaH |
   śubha[dharma]mayasatatapravardhitātmā bhavati sadā jagato 'grabandhubhūtaḥ	SuBa[Darma ]maya satata pravarDita AtmA Bavati sadA jagataH agra banDu BUtaH
   || Msa_8.11 ||	|| Msa_8.11 ||
   dvividhaṃ tanmāhātmyam | paraparipāke pratiśaraṇatvam | satataṃ	dviviDam tat mAhAtmyam | para paripAke pratiSaraNa tvam | satatam
   dharmakāyavṛddhiśca | tata eva jagato 'grabandhubhūtaḥ |	Darma kAya vRdDiH ca | tatas eva jagataH agra banDu BUtaH |
   sattvaparipākavibhāge ekādaśa ślokāḥ |	sattva paripAka viBAge ekAdaSa SlokAH |
   vraṇe 'pi bhojye paripāka iṣyate yathaiva tatsrāvaṇabhogayogyatā |	vraNe api Bojye paripAkaH izyate yaTA eva tad srAvaNa Boga yogya tA |
   tathāśraye	taTA ASraye
   'smindvayapakṣaśāntatā[tāṃ]tathopabhogatvasuśāntapakṣatā[muśantipavkatām]	asmin dvaya pakza SAnta tA[tAn]taTA upaBoga tvasu SAnta pakzatA[ muSanti pavkatAm]
   || Msa_8.12 ||	|| Msa_8.12 ||
   anena paripākasvabhāvaṃ darśayati | yathā vraṇasya srāvaṇayogyatā	anena paripAka svaBAvam darSayati | yaTA vraNasya srAvaNa yogya tA
   paripākaḥ | bhojanasya ca bhogayogyatā | evaṃ sattvānāmāśraye	paripAkaH | Bojanasya ca Boga yogya tA | evam sattvAnAm ASraye
   vraṇabhojanasthānīye srāvaṇasthānīyaṃ vipakṣaśamanam | bhogasthānīyaśca	vraNa Bojana sTAnIye srAvaNa sTAnIyam vipakza Samanam | Boga sTAnIyaH ca
   pratipakṣopabhogaḥ | tadyogyatā āśrayasya paripāka iti |	pratipakza upaBogaH | tad yogya tA ASrayasya paripAkaH iti |
   vipakṣapratipakṣāvatra pakṣadvayaṃ veditavyam |	vipakza pratipakzO= atra pakza dvayam veditavyam |
   dvitīyaślokaḥ |	dvitIyaSlokaH |
   vipācanoktā paripācanā tathā paripācanā cāpyanupācanāparā |	vipAcana uktA paripAcanA taTA paripAcanA ca api anupAcana aparA |
   supācanā[cā]pyadhipācanā matā nipācanotpācananā ca dehiṣu || Msa_8.13 ||	su pAcanA[ca a]pi aDipAcanA matA nipAcana utpAcananA ca dehizu || Msa_8.13 ||
   anena paripākaprabhedaṃ darśayati | kleśavigamena pācananā [pācanā?]	anena paripAka praBA idam darSayati | kleSa vigamena pAcananA [pAcanA?]
   vipācanā | sarvato yānatrayeṇa pācanā paripācanā |	vipAcanA | sarvatas yAna trayeNa pAcanA paripAcanA |
   bāhyaparipākaviśiṣṭatvāt prakṛṣṭā pācanā prapācanā |	bAhya paripAka viSizwa tvAt prakRzwA pAcanA prapAcanA |
   yathāvineyadharmadeśanāttadanurūpā pācanā anupācanā | satkṛtya pācanā	yaTA vineya Darma deSanAt tad anurUpA pAcanAH anupAcanA | satkRtya pAcanA
   supācanā | adhigamena pācanā adhipācanā aviparītārthena | nityā pācanā	su pAcanA | aDigamena pAcanAH aDipAcanAH aviparIta arTena | nityA pAcanA
   nipācanā aparihāṇīyārthena | krameṇottarottarapācanā utpācanā |	nipAcanAH aparihANIya arTena | krameNa uttarottara pAcanAH utpAcanA |
   ityayamaṣṭaprakāraḥ pariparipākaprabhedaḥ |	iti ayam azwa prakAraH pariparipAka praBedaH |
   (MSA_Bagchi 34)	(MSA_BagCi 34)
   tṛtīyacaturthau ślokau |	tRtIya caturTO SlokO |
   hitāśayeneha yathā jinātmajo vyavasthitaḥ sarvajagadvipācayan |	hita ASayena iha yaTA jina AtmajaH vyavasTitaH sarva jagat vipAcayan |
   tathā na mātā na pitā na bandhavaḥ suteṣu bandhuṣvapi suvyavasthitāḥ ||	taTA na mAtA na pitA na banDavaH sutezu banDuzu api su vyavasTitAH ||
   Msa_8.14 ||	Msa_8.14 ||
   tathājano nātmani vatsalo mataḥ kuto 'pi susnigdhaparāśraye jane |	taTA ajanaH na Atmani vatsalaH mataH kutas api su snigDa para ASraye jane |
   yathā kṛpātmā parasattvavatsalo hite sukhe caiva niyojanānmataḥ ||	yaTA kRpA AtmA para sattva vatsalaH hite suKe ca eva niyojanAt mataH ||
   Msa_8.15 ||	Msa_8.15 ||
   ābhyāṃ kiṃ darśayati | yādṛśenāśayena bodhisattvaḥ sattvānparipācayati	AByAm kim darSayati | yAdRSena ASayena boDisattvaH sattvAn paripAcayati
   tamāśayaṃ darśayati | mātāpitṛbāndhavāśayaviśiṣṭaṃ lokātmavātsalyaviśiṣṭaṃ	tam ASayam darSayati | mAtA pitR bAnDava ASaya viSizwam loka Atma vAtsalya viSizwam
   ca hitasukhasaṃyojanāt | ātmavatsalastu loka ātmānaṃ hite ca sukhe ca	ca hita suKa saMyojanAt | Atma vatsalaH tu lokaH AtmAnam hite ca suKe ca
   saṃniyojayati |	saMniyojayati |
   avaśiṣṭaiḥ ślokairyena prayogeṇa sattvānparipācayati taṃ pāramitā	avaSizwEH SlokEH yena prayogeNa sattvAn paripAcayati tam pAramitA
   pratipattyā saṃdarśayati |	pratipattyA saMdarSayati |
   yādṛśena dānena yathā sattvānparipācayati tadārabhya ślokaḥ |	yAdRSena dAnena yaTA sattvAn paripAcayati tadAraBya SlokaH |
   na bodhisattvasya śarīrabhogayoḥ pareṣvadeyaṃ punarasti sarvathā |	na boDisattvasya SarIra BogayoH parezu adeyam punar asti sarvaTA |
   anugraheṇa dvividhena pācayan paraṃ samairdānaguṇairna tṛpyate || Msa_8.16	anugraheNa dviviDena pAcayan param samEH dAna guNEH na tRpyate || Msa_8.16
   trividhena dānena pācayati | sarvasvaśarīrabhogadānena aviṣamadānena	triviDena dAnena pAcayati | sarva sva SarIra Boga dAnena avizama dAnena
   atṛptidānena ca | kathaṃ paripācayati dṛṣṭadharmasaṃparāyānugraheṇa |	atRpti dAnena ca | kaTam paripAcayati dRzwa Darma saMparAya anugraheNa |
   avighātenecchāparipūrṇāt [pūraṇāt] | anāgatena [tena] ca saṃgṛhya	aviGAtena icCA paripUrNAt [pUraNAt] | anAgatena [tena] ca saMgRhya
   kuśalapratiṣṭhāpanāt |	kuSala pratizWApanAt |
   yādṛśena śīlena yathā satvānparipācayati tadārabhya ślokaḥ |	yAdRSena SIlena yaTA satvAn paripAcayati tadAraBya SlokaH |
   sadāprakṛtyādhyavihiṃsakaḥ svayaṃ rato 'pramatto 'tra paraṃ niveśayan |	sadA prakRti A aDya vihiMsakaH svayam rataH apramattaH atra param niveSayan |
   paraṃparānugrahakṛdūdvidhā pare vipākaniṣyandaguṇena pācakaḥ || Msa_8.17	paraMpara anugraha kRt UdviDA pare vipAka nizyanda guNena pAcakaH || Msa_8.17
   pañcavidhena śīlena | dhruvaśīlena prakṛtiśīlena	paQcaviDena SIlena | Druva SIlena prakRti SIlena
   paripūrṇaśīlenādhyaviṃhiṃsakatvāt | paripūrṇo hyavihiṃsako 'dhyavihiṃsako	paripUrNa SIlena aDyaviMhiMsaka tvAt | paripUrNaH hi avihiMsakaH aDyavihiMsako
   daśakuśalakarmapathaparipūritaḥ | yathoktaṃ dvitīyāyāṃ bhūmau |	daSa kuSala karma paTa paripUritaH | yaTA uktam dvitIyAyAm BUmO |
   adhigamaśīlena svayaṃratatayā nirantarāskhalitaśīlena cāpramattatayā |	aDigama SIlena svayaMrata tayA nirantara asKalita SIlena ca apramatta tayA |
   kathaṃ ca (MSA_Bagchi 35) paripācayati | śīle saṃniveśanāt |	kaTam ca (MSA_BagCi 35) paripAcayati | SIle saMniveSanAt |
   dvidhānugrahakriyayā dṛṣṭadharme saṃparāye ca | saṃparāyānugrahaṃ pareṣu	dviDA anugraha kriyayA dRzwa Darme saMparAye ca | saMparAya anugraham parezu
   vipākaniṣyandaguṇābhyāṃ paraṃparayā karoti |	vipAka nizyanda guNAByAm paraMparayA karoti |
   tadvipākaniṣyandayoranyonyānukūlyenāvyavacchedāt |	tad vipAka nizyandayoH anyonya AnukUlyena avyavacCedAt |
   yādṛśyā kṣāntyā yathā sattvānparipācayati tadārabhya ślokaḥ |	yAdRSyA kzAntyA yaTA sattvAn paripAcayati tadAraBya SlokaH |
   pare 'pakāriṇyupakāribuddhimān pramarṣayannugramapi vyatikramam |	pare apakAriNI upakAri budDimAn pramarzayan= ugram api vyatikramam |
   upāyacittairapakāramarṣaṇaiḥ śubhe samādāpayate 'pakāriṇaḥ || Msa_8.18 ||	upAya cittEH apakAra marzaNEH SuBe samAdApayate apakAriNaH || Msa_8.18 ||
   apakāriṇi pare upakāribuddhyā pragāḍhāpakāramarṣaṇakṣāntyā paripācayati |	apakAriNi pare upakAri budDyA pragAXA apakAra marzaNa kzAntyA paripAcayati |
   upakāribuddhitvaṃ punaḥ kṣāntipāramitāparipūryānukūlyavṛttitā veditavyam |	upakAri budDi tvam punar kzAnti pAramitA paripUrya AnukUlya vRtti tAH veditavyam |
   kathaṃ paripācayati | dṛṣṭadharmānugraheṇa cāpakāramarṣaṇāt |	kaTam paripAcayati | dRzwa Darma anugraheNa ca apakAra marzaNAt |
   saṃparāyānugraheṇa copāyajñastairapakāramarṣaṇairāvarjyāpakāriṇāṃ kuśale	saMparAya anugraheNa ca upAya jQaH tEH apakAra marzaNEH Avarjya apakAriNAm kuSale
