   oṃ namaḥ śivāya	om namaH SivAya
   ekārthateva śabdasya tathā śabdārthayorayam // MKpr-K_86 //	ekArTa-tA-iva Sabdasya taTA Sabda-arTayoH-ayam // MKpr-K_86 //
   sādharmyamupamā bhede pūrṇā luptā ca sāgrimā /	sADarmyam-upamA Bede pUrNA luptA ca sa-agrimA /
   śrautyārthī ca bhavedvākye samāse taddhite tathā // MKpr-K_87 //	SrOtya-arTI ca Bavet-vAkye samAse tad-hite taTA // MKpr-K_87 //
   tadvad dharmasya lope syānna śrautī taddhite punaḥ /	tadvat Darmasya lope syAt-na SrOtI tad-hite punar /
   upamānānupādāne vākyagātha samāsagā // MKpr-K_88 //	upamAna-anupAdAne vAkya-gATa samAsa-gAH // MKpr-K_88 //
   vāderlope samāse sā karmādhārakyaci kyaṅi /	vAdeH-lope samAse sA karma-ADArakya-ci kyaFi /
   karmakartrorṇamulyetaddvilope kvipsamāsagā // MKpr-K_89 //	karma-kartrorNa-mulI-etat-dvi-lope kvipsamAsa-gAH // MKpr-K_89 //
   dharmopamānayorlope vṛttau vākye ca dṛśyate /	Darma-upamAnayoH-lope vRttO vAkye ca dRSyate /
   kyaci vādyupameyāse trilope ca samāsagā // MKpr-K_90 //	kyaci vAdI-upameyAse trilope ca samAsa-gAH // MKpr-K_90 //
   upamānopameyatve ekasyaivaikavākyage /	upamAna-upameya-tve ekasya-eva-eka-vAkya-ge /
   ananvayo viparyāsa upameyopamā tayoḥ // MKpr-K_91 //	ananvayaH viparyAsaH upameya-upamA tayoH // MKpr-K_91 //
   saṃbhāvanamathotprekṣā prakṛtasya samena yat /	saMBAvanam-aTa-utprekzA prakRtasya samena yat /
   sasaṃdehastu bhedoktau tadanuktau ca saṃśayaḥ // MKpr-K_92 //	sa-saMdehaH-tu Beda-uktO tad-anuktO ca saMSayaH // MKpr-K_92 //
   tadrūpakamabhedo ya upamānopameyayoḥ /	tad-rUpakam-aBedaH yaH upamAna-upameyayoH /
   samastavastuciṣyaṃ śrautā āropitā yadā // MKpr-K_93 //	samastavaH-tucizyam SrOtAH AropitA yadA // MKpr-K_93 //
   śrautā ārthaśca te yasminnekadeśaśavivarti tat /	SrOtAH ArTaH-ca te yasmin=-ekadeSa-Savi-varti tat /
   sāṅgametan niraṅgaṃ tu śuddhaṃ mālā tu pūrvavat // MKpr-K_94 //	sAFgam-etat niraFgam tu SudDam mAlA tu pUrvavat // MKpr-K_94 //
   niyatāropaṇopāyaḥ syādāropaḥ parasya yaḥ /	niyata-AropaNa-upAyaH syAt-AropaH parasya yaH /
   tatparaṃparitaṃ śliṣṭe vācake bhedabhāji vā // MKpr-K_95 //	tad-paraMparitam Slizwe vAcake Beda-BAji vA // MKpr-K_95 //
   prakṛtaṃ yanniṣidhyānyat sādhyate sā tvapahnutiḥ /	prakRtam yat-niziDya-anyat sADyate sA tu-apahnutiH /
   śleṣaḥ sa vākya ekasmin yatrānekārthatā bhavet // MKpr-K_96 //	SlezaH sa vAkyaH ekasmin yatra-aneka-arTa-tA Bavet // MKpr-K_96 //
   paroktirbhedakaiḥ śliṣṭaiḥ samāsoktirnidarśanā /	para-uktiH-BedakEH SlizwEH samAsa-uktiH-nidarSanAH /
   abhavanvastusaṃbandha upamāparikalpakaḥ // MKpr-K_97 //	aBavan-vastu-saMbanDaH upamA-parikalpakaH // MKpr-K_97 //
   svasvahetvanvayasyoktiḥ kriyayaiva ca sāparā /	sva-sva-hetu-anvayasya-uktiH kriyayA-eva ca sa-aparA /
   aprastutapraśaṃsā yā sā saiva prastutāśrayā // MKpr-K_98 //	aprastuta-praSaMsA yA sA sA-eva prastuta-ASrayAH // MKpr-K_98 //
   kārye nimitte sāmānye viśeṣe prastute sati /	kArye nimitte sAmAnye viSeze prastute sati /
   tadanyasya vacastulye tulyasyeti ca pañcadhā // MKpr-K_99 //	tad-anyasya vacaH-tulye tulyasya-iti ca paQcaDA // MKpr-K_99 //
   nigīryādhyavasānaṃ tu prakṛtasya pareṇa yat /	nigIrya-aDyavasAnam tu prakRtasya pareNa yat /
   prastutasya yadanyatvaṃ yadyarthoktau ca kalpanam // MKpr-K_100 //	prastutasya yat-anya-tvam yadi-arTa-uktO ca kalpanam // MKpr-K_100 //
   kāryakāraṇayoryaśca paurvāparyaviparyayaḥ /	kArya-kAraNayoH-yaH-ca pOrvAparya-viparyayaH /
   vijñeyātiśayoktiḥ sā prativastūpamā tu sā // MKpr-K_101 //	vijQeyA-atiSaya-uktiH sA prativastu-upamA tu sA // MKpr-K_101 //
   sāmānyasya dvirekasya yatra vākyadvaye sthitiḥ /	sAmAnyasya dvirekasya yatra vAkya-dvaye sTitiH /
   dṛṣṭāntaḥ punareteṣāṃ sarveṣāṃ pratibimbanam // MKpr-K_102 //	dRzwAntaH punar-etezAm sarvezAm pratibimbanam // MKpr-K_102 //
   sakṛdvṛttistu dharmasya prakṛtāprakṛtātmanām /	sakRt-vRttiH-tu Darmasya prakRta-aprakRta-AtmanAm /
   saiva kriyāsu bahvīṣu kārakasyeti dīpakam // MKpr-K_103 //	sA-eva kriyAsu bahvIzu kArakasya-iti dIpakam // MKpr-K_103 //
   mālādīpakamādyaṃ cetyathottaraguṇāvaham /	mAlAdIpakam-Adyam ca-iti-aTa-uttara-guNa-Avaham /
   niyatānāṃ sakṛddharmaḥ sā punastulyayogitā // MKpr-K_104 //	niyatAnAm sakRt-DarmaH sA punar-tulyayogitAH // MKpr-K_104 //
   upamānādyadanyasya vyatirekaḥ sa eva saḥ /	upamAnAt-yat-anyasya vyatirekaH saH eva saH /
   hetvorkutāvanuktīnāṃ traye sāmye nivedite // MKpr-K_105 //	hetvA-UH-kutO=-anuktInAm traye sAmye nivedite // MKpr-K_105 //
   śabdārthābhyāmathākṣipte śliṣṭe tadvattriraṣṭa tat /	Sabda-arTAByAm-aTa-Akzipte Slizwe tadvat-tris-azwa tat /
   niṣedho vaktumiṣṭasya yo viśeṣābhidhitsayā // MKpr-K_106 //	nizeDaH vaktum-izwasya yaH viSeza-aBiDitsayA // MKpr-K_106 //
   vakṣyamāṇoktaviṣayaḥ sa ākṣepo dvidhā mataḥ /	vakzyamANa-ukta-vizayaH saH AkzepaH dviDA mataH /
   kriyāyāḥ pratiṣedhe 'pi phalavyaktirvibhāvanā // MKpr-K_107 //	kriyAyAH pratizeDe api Pala-vyaktiH-viBAvanA // MKpr-K_107 //
   viśeṣoktirakhaṇḍeṣu kāraṇeṣu phalāvacaḥ /	viSeza-uktiH-aKaNxezu kAraNezu Pala-avacaH /
   yathāsaṃkhyaṃ krameṇaiva kramikāṇāṃ samanvayaḥ // MKpr-K_108 //	yaTAsaMKyam krameNa-eva kramikANAm samanvayaH // MKpr-K_108 //
   sāmānyaṃ vā viśeṣo vā tadanyena samarthyate /	sAmAnyam vA viSezaH vA tad-anyena samarTyate /
   yattu so 'rthāntaranyāsaḥ sādharmyeṇetareṇa vā // MKpr-K_109 //	yat-tu saH arTa-antaranyAsaH sADarmyeNa-itareNa vA // MKpr-K_109 //
   virodhaḥ sovirodhe 'pi viruddhatvena yadvacaḥ /	viroDaH saH-viroDe api virudDa-tvena yat-vacaH /
   jātiścaturbhijātyādyairviruddhā syādguṇaistribhiḥ // MKpr-K_110 //	jAtiH-catur-BijAti-AdyEH-virudDA syAt-guNEH-triBiH // MKpr-K_110 //
   kriyā dvābhyāmapi dravyaṃ dravyeṇaiveti te daśa /	kriyA dvAByAm-api dravyam dravyeNa-eva-iti te daSa /
   svabhāvoktistu ḍimbhādeḥ svakriyārūpavarṇanam // MKpr-K_111 //	svaBAvoktiH-tu ximBa-AdeH sva-kriyA-rUpa-varNanam // MKpr-K_111 //
   vyājastutirmukhe nindā stutirvā rūḍhiranyathā /	vyAja-stutiH-muKe nindA stutiH-vA rUXiH-anyaTA /
   sā sahoktiḥ sahārthasya balādekaṃ dvivācakam // MKpr-K_112 //	sA saha-uktiH saha-arTasya balAt-ekam dvi-vAcakam // MKpr-K_112 //
   vinoktiḥ sā binānyena yatrānyaḥ sanna netaraḥ /	vinA-uktiH sA binA-anyena yatra-anyaH sat-na na-itaraH /
   parivṛttirvinimayo yo 'rthānāṃ syātsamāsamaiḥ // MKpr-K_113 //	parivRttiH-vinimayaH yaH arTAnAm syAt-samA-samEH // MKpr-K_113 //
   pratyakṣā iva yadbhāvāḥ kriyante bhūtabhāvinaḥ /	pratyakzAH iva yad-BAvAH kriyante BUta-BAvinaH /
   tadbhāvikaṃ kāvyaliṅgaṃ hetorvākyapadārthatā // MKpr-K_114 //	tad-BAvikam kAvya-liFgam hetoH-vAkya-padArTa-tA // MKpr-K_114 //
   paryāyoktaṃ vinā vācyavācakatvena yadvacaḥ /	paryAya-uktam vinA vAcya-vAcaka-tvena yat-vacaH /
   udāttaṃ vastunaḥ saṃpat mahatāṃ copalakṣaṇam // MKpr-K_115 //	udAttam vastunaH saMpad mahatAm ca-upalakzaNam // MKpr-K_115 //
   tatsiddhihetāvekasmin yatrānyattatkaraṃ bhavet /	tad-sidDi-hetO=-ekasmin yatra-anyat-tat-karam Bavet /
   samuccayo 'sau sa tvanyo yugapad yā guṇakriyāḥ // MKpr-K_116 //	samuccayaH asO sa tu-anyaH yugapad yAH guNa-kriyAH // MKpr-K_116 //
   ekaṃ krameṇānekasmin paryāyo 'nyastato 'nyathā /	ekam krameNa-anekasmin paryAyaH anyaH-tatas anyaTA /
   anumānaṃ taduktaṃ yat sādhyasādhanayorvacaḥ // MKpr-K_117 //	anumAnam tat-uktam yat sADya-sADanayoH-vacaH // MKpr-K_117 //
   viśeṣaṇairyatsākūtairuktiḥ parikarastu saḥ /	viSezaNEH-yat-sA-kUtEH-uktiH parikaraH-tu saH /
   vyājoktiśchadmanodbhinnavasturūpanigūhanam // MKpr-K_118 //	vyAja-uktiH-CadmanA-udBinna-vastu-rUpa-nigUhanam // MKpr-K_118 //
   kiñcit pṛṣṭamapṛṣṭaṃ vā kathitaṃ yat prakalpate /	kiQcid pRzwam-apRzwam vA kaTitam yat prakalpate /
   tādṛganyavyapohāya parisaṃkhyā tu sā smṛtā // MKpr-K_119 //	tAdRS-anya-vyapohAya parisaMKyA tu sA smRtA // MKpr-K_119 //
   yathottaraṃ cet pūrvasya pūrvasyārthasya hetutā /	yaTottaram ced pUrvasya pUrvasya-arTasya hetu-tA /
   tadā kāraṇamālā syāt kriyayā tu parasparam // MKpr-K_120 //	tadA kAraNa-mAlA syAt kriyayA tu parasparam // MKpr-K_120 //
   vastunorjanane 'nyonyamuttaraśrutimātrataḥ /	vastunoH-janane anyonyam-uttara-Sruti-mAtrataH /
   praśnasyonnayanaṃ yatra kriyate tatra vā sati // MKpr-K_121 //	praSnasya-unnayanam yatra kriyate tatra vA sati // MKpr-K_121 //
   asakṛd yadasaṃbhāvyamuttaraṃ syāt taduttaram /	asakRt yat-asaMBAvyam-uttaram syAt tad-uttaram /
   kuto 'pi lakṣitaḥ sūkṣmo 'pyartho 'nyasmai prakāśyate // MKpr-K_122 //	kutas api lakzitaH sUkzmaH api-arTaH anyasmE prakASyate // MKpr-K_122 //
   dharmeṇa kenacid yatra tat sūkṣmaṃ paricakṣate /	DarmeNa kenacid yatra tat sUkzmam paricakzate /
   uttarottaramutkarṣo bhavetsāraḥ parāvadhiḥ // MKpr-K_123 //	uttarottaram-utkarzaH Bavet-sAraH para-avaDiH // MKpr-K_123 //
   bhinnadeśatayātyantaṃ kāryakāraṇabhūtayoḥ /	Binna-deSa-tayA-atyantam kArya-kAraNa-BUtayoH /
   yugapaddharmayoryatra khyātiḥ sā syādasaṃgatiḥ // MKpr-K_124 //	yugapad-DarmayoH-yatra KyAtiH sA syAt-asaMgatiH // MKpr-K_124 //
   samādhiḥ sukaraṃ kāryaṃ kāraṇāntarayogataḥ /	samADiH sukaram kAryam kAraNa-antara-yogataH /
   samaṃ yogyatayā yogo yadi saṃbhāvitaḥ kvacit // MKpr-K_125 //	samam yogyatayA yogaH yadi saMBAvitaH kvacid // MKpr-K_125 //
   kvacidyadativaidharmyānna śleṣo ghaṭanāmiyāt /	kvacid-yat-ati-vEDarmyAt-na SlezaH Gawa-nAm-iyAt /
   kartuḥ kriyāphalāvāptirnaivānarthaśca yadbhavet // MKpr-K_126 //	kartuH kriyA-Pala-avAptiH-na-eva-anarTaH-ca yat-Bavet // MKpr-K_126 //
   guṇakriyābhyāṃ kāryasya kāraṇasya guṇakriye /	guNa-kriyAByAm kAryasya kAraNasya guNa-kriye /
   krameṇa ca viruddhe yat sa eṣa viṣamo mataḥ // MKpr-K_127 //	krameNa ca virudDe yat saH eza vizamaH mataH // MKpr-K_127 //
   mahatoryanmahīyāṃsāvāśritāśrayayoḥ kramāt /	mahatoH-yat-mahIyAMsO=-ASrita-ASrayayoH kramAt /
   āśrayāśrayiṇau syātāṃ tanutve 'pyadhikaṃ tu tat // MKpr-K_128 //	ASraya-ASrayiNO syAtAm tanu-tve api-aDikam tu tat // MKpr-K_128 //
   pratipakṣamaśaktena pratikartuṃ tiraskriyā /	pratipakzam-aSaktena pratikartum tiraskriyA /
   yā tadīyasya tatstutyai pratyanīkaṃ taducyate // MKpr-K_129 //	yA tadIyasya tad-stutyE pratyanIkam tat-ucyate // MKpr-K_129 //
   samena lakṣmaṇā vastu vastunā yannigūhyate /	samena lakzmaNA vastu vastunA yat-nigUhyate /
   nijenāgantunā vāpi tanmīlitamiti smṛtam // MKpr-K_130 //	nijena-AgantunA vA-api tat-mIlitam-iti smRtam // MKpr-K_130 //
   sthāpyatepohyate vāpi yathāpūrvaṃ paraṃ param /	sTApyatepohyate vA-api yaTApUrvam param param /
   viśeṣaṇatayā yatra vastu saikāvalī dvidhā // MKpr-K_131 //	viSezaNa-tayA yatra vastu sA-ekAvalI dviDA // MKpr-K_131 //
   yathānubhavamarthasya dṛṣṭe tatsadṛśe smṛtiḥ /	yaTA-anuBavam-arTasya dRzwe tad-sadRSe smRtiH /
   smaraṇaṃ bhrāntimānanyasaṃvittattulyadarśane // MKpr-K_132 //	smaraNam BrAntim-Ananya-saMvid-tad-tulya-darSane // MKpr-K_132 //
   ākṣepa upamānasya pratīpamupameyatā /	AkzepaH upamAnasya pratIpam-upameya-tA /
   tasyaiva yadi vā kalpyā tiraskāranibandhanam // MKpr-K_133 //	tasya-eva yadi vA kalpyA tiraskAra-nibanDanam // MKpr-K_133 //
   prastutasya yadanyena guṇasāmyavivakṣayā /	prastutasya yat-anyena guNa-sAmya-vivakzayA /
   aikātmyaṃ badhyate yogāttatsāmānyamiti smṛtam // MKpr-K_134 //	EkAtmyam baDyate yogAt-tat-sAmAnyam-iti smRtam // MKpr-K_134 //
   vinā prasiddhamādhāramādheyasya vyavasthitiḥ /	vinA prasidDam-ADAram-ADeyasya vyavasTitiH /
   ekātmā yagapaddṛttirekasyānekagocarā // MKpr-K_135 //	eka-AtmA yaga-pad-dRttiH-ekasya-aneka-gocarA // MKpr-K_135 //
   anyat prakurvataḥ kāryamaśakyasyānyavastunaḥ /	anyat prakurvataH kAryam-aSakyasya-anya-vastunaH /
   tathaiva karaṇaṃ ceti viśeṣastrividhaḥ smṛtaḥ // MKpr-K_136 //	taTA-eva karaNam ca-iti viSezaH-triviDaH smRtaH // MKpr-K_136 //
   svamutsṛjya guṇaṃ yogādatyujjvalaguṇasya yat /	svam-utsRjya guNam yogAt-ati-ujjvala-guNasya yat /
   vastu tadguṇatāmeti bhaṇyate sa tu tadguṇaḥ // MKpr-K_137 //	vastu tad-guNa-tAm-eti BaNyate sa tu tad-guNaH // MKpr-K_137 //
   tadrūpānanuhāraścedasya tat syādatadguṇaḥ /	tad-rUpAn-anuhAraH-ced-asya tat syAt-atad-guNaH /
   yadyathā sādhitaṃ kenāpyapareṇa tadanyathā // MKpr-K_138 //	yat-yaTA sADitam kena-api-apareNa tat-anyaTA // MKpr-K_138 //
   tathaiva yadvidhīyeta sa vyāghāta iti smṛtiḥ /	taTA-eva yat-viDIyeta sa vyAGAtaH iti smRtiH /
   seṣṭā saṃsṛṣṭireteṣāṃ bhedena yadiha sthitiḥ // MKpr-K_139 //	sezwA saMsRzwiH-etezAm Bedena yat-iha sTitiH // MKpr-K_139 //
   aviśrāntijuṣāmātmanyaṅgāṅgitvaṃ tu saṃkaraḥ /	aviSrAnti-juzAm-Atmani-aFga-aFgi-tvam tu saMkaraH /
   ekasya ca grahe nyāyadoṣābhāvādaniścayaḥ // MKpr-K_140 //	ekasya ca grahe nyAya-doza-aBAvAt-aniScayaH // MKpr-K_140 //
   sphuṭamekatra viṣaye śabdārthālaṅkṛtidvayam /	sPuwam-ekatra vizaye Sabda-arTa-alaFkRti-dvayam /
   vyavasthitaṃ ca tenāsau trirūpaḥ parikīrtitaḥ // MKpr-K_141 //	vyavasTitam ca tena-asO trirUpaH parikIrtitaH // MKpr-K_141 //
   eṣāṃ doṣā yathāyogaṃ saṃbhavanto 'pi kecana /	ezAm dozAH yaTAyogam saMBavantaH api kecana /
   ukteṣvantarbhavantīti na pṛthak pratipāditāḥ // MKpr-K_142 //	uktezu-antarBavanti-iti na pRTak pratipAditAH // MKpr-K_142 //
   iti kāvyaprakāśīyakārikāvalī samāptā	iti kAvya-prakASIya-kArika-AvalI samAptA
