   Mahāsāhasrapramardanī	MahAsAhasra-pramardanI
   annapānena rahitā jāyante yakṣamaṇḍale /	anna-pAnena rahitAH jAyante yakza-maNxale /
   mahāsāhasrapramardanaṃ sūtraṃ yo yakṣo nānuvartate //	mahA-sAhasra-pramardanam sUtram yaH yakzaH na-anuvartate //
   tasya vajradharaḥ kruddho mūrdhānaṃ sphoṭayiṣyati /	tasya vajraDaraH krudDaH mUrDAnam sPowayizyati /
   karkaśakṣuradhāreṇa jihvān tasyeha cchetsyati //	karkaSa-kzura-DAreNa jihvAn tasya-iha cCetsyati //
   tīkṣṇeṇa cāsya śastreṇa karṇau nāsāṃ ca cchetsyati /	tIkzNeNa ca-asya SastreNa karNO nAsAm ca cCetsyati /
   prapātayati cakreṇa kṣuradhāreṇa mastakam //	prapAtayati cakreNa kzura-DAreNa mastakam //
   lohamudgarakīlena hṛdayaṃ cāsya pīḍayet /	loha-mudgara-kIlena hRdayam ca-asya pIxayet /
   mukhataḥ sravate cāsya pūyam uṣṇaṃ ca śoṇitam //	muKataH sravate ca-asya pUyam uzNam ca SoNitam //
   vidyāpāśena daṇḍena sadā saṃsāragāminaḥ /	vidyA-pASena daNxena sadA saMsAra-gAminaH /
   tatraiva saṃsariṣyanti saṃsāre cakramaṇḍale //	tatra-eva saMsarizyanti saMsAre cakra-maNxale //
   (Msp 8)	(Msp 8)
   śriyāviṣṭā mahārājāḥ samāgamya caturdiśam /	SriyA-AvizwAH mahA-rAjAH samAgamya caturdiSam /
   dharmasaṃnāhasaṃnaddhā niṣaṇṇā bhadrapīṭhake //	Darma-saMnAha-saMnadDAH nizaNNA BadrapIWake //
   dhṛtarāṣṭraś ca pūrvāyāṃ dakṣiṇena virūḍhakaḥ /	DRtarAzwraH ca pUrvAyAm dakziNena virUXakaH /
   paścimena virūpākṣaḥ kuberaś cottarāṃ diśam //	paScimena virUpAkzaH kuberaH ca-uttarAm diSam //
   rājñāṃ samāgatānāṃ hi jvalatāṃ tejasā śriyā /	rAjQAm samAgatAnAm hi jvalatAm tejasA SriyA /
   antarīkṣaṃ tadā śāśtā sarvajño hi samudgataḥ //	antarIkzam tadA SAStA sarvajQaH hi samudgataH //
   vajrāsane niṣadyeha vimāne brahmanirmite /	vajrAsane nizadya-iha vimAne brahma-nirmite /
   tato brahmā mahābrahmā prāñjalistho namasyati //	tatas brahmA mahA-brahmA prAQjali-sTaH namasyati //
   suvarṇaparvataḥ śrīmāṃś taptakāñcanasaṃnibhaḥ /	suvarNaparvataH SrImAn tapta-kAQcana-saMniBaH /
   padmapuṣpavad utphullaḥ śālarājeva puṣpitaḥ //	padma-puzpa-vat utPullaH SAlarAjA-iva puzpitaH //
   pūrṇacandro ravir vāpi nakṣatraiḥ parivāritaḥ /	pUrNa-candraH raviH vA-api nakzatrEH parivAritaH /
   suvarṇavarṇakāyena lakṣaṇair munir āvṛtaḥ //	suvarNa-varNa-kAyena lakzaNEH muniH AvRtaH //
   saṃstutvā lokapradyotaṃ brahmā lokapitāmahaḥ /	saMstutvA loka-pradyotam brahmA lokapitAmahaH /
   purato lokanāthasya lokapālān athābravīt //	puratas loka-nATasya lokapAlAn aTa-abravIt //
   na prāptaṃ lokapālānāṃ parṣado nānuśāsanam /	na prAptam lokapAlAnAm parzadaH na-anuSAsanam /
   ito buddhā hi jāyante buddhāḥ pratyekajā api //	itas budDAH hi jAyante budDAH pratyeka-jAH api //
   itaś ca śrāvakotpattir devāś cāpi samutsthitāḥ /	itas ca SrAvaka-utpattiH devAH ca-api samutsTitAH /
   jāyante brāhmaṇāś cetaḥ ṣaḍaṅgāvedapāragāḥ //	jAyante brAhmaNAH cetaH zaxaFga-Aveda-pAragAH //
   ṛṣayaś ca mahābhāgā itaḥ śramaṇabrāhmaṇāḥ /	RzayaH ca mahABAgAH itas SramaNa-brAhmaNAH /
   alpotsukānāṃ yuṣmākaṃ badhyate mānuṣīprajā //	alpa-utsukAnAm yuzmAkam baDyate mAnuzI-prajAH //
   brahmaṇo vacanaṃ śrutvā lokapālā vaco 'bruvan /	brahmaNaH vacanam SrutvA lokapAlAH vacaH abruvan /
   evam etan mahābrahmann evam etat mahāmune //	evam etat mahA-brahman evam etat mahA-mune //
   ete viśodhayiṣyāmaḥ samantāt sāgaraṃ vayam /	ete viSoDayizyAmaH samantAt sAgaram vayam /
   sumeruṃ kaṃpayitvā tu dhāraṇīṃ parivartya ca //	sumerum kaMpayitvA tu DAraNIm parivartya ca //
   bandhayiṣyāmaḥ pāśena candrasūryau tathānilam /	banDayizyAmaH pASena candra-sUryO taTA-anilam /
   nakṣatrāṇi ca sarvāṇi gāḍhenābhyāhatena //	nakzatrANi ca sarvANi gAXena-aByAhatena //
   diśaś cādarśanā bhāgās teṣāṃ neṣyāma sarvadā /	diSaH ca-adarSanAH BAgAH tezAm nezyAma sarvadA /
   ye praduṣṭā bhaviṣyanti na ca lokahitodyataḥ //	ye praduzwAH Bavizyanti na ca loka-hita-udyataH //
   lokaḥ sadevako hy eṣa garhate bhūtakāraṇāt /	lokaH sa-devakaH hi eza garhate BUta-kAraNAt /
   parābhavanti bhūtāni hiṃsante mānuṣīṃ prajām //	parABavanti BUtAni hiMsante mAnuzIm prajAm //
   (Msp 9)	(Msp 9)
   atra mantradharāḥ kāmaṃ darśayanti parākramam /	atra mantra-DarAH kAmam darSayanti parAkramam /
   atikrāmanti ye vidyāṃ mantrān auṣadham eva vā //	atikrAmanti ye vidyAm mantrAn OzaDam eva vA //
   vidyātikrāntāḥ pariṣadaḥ samantād daṇḍatarjitāḥ /	vidyA-atikrAntAH parizadaH samantAt daNxa-tarjitAH /
   kṛtvā samānayiṣyāmo lokanāthasya cāgrataḥ //	kRtvA samAnayizyAmaH loka-nATasya ca-agratas //
   teṣāṃ daṇḍaṃ praṇeṣyāmaḥ sūtraṃ brahmaṇā nirmitam /	tezAm daNxam praNezyAmaH sUtram brahmaNA nirmitam /
   yasyedaṃ bhāṣato viśvaṃ tarjate bhūtamaṇḍalam //	yasya-idam BAzataH viSvam tarjate BUta-maNxalam //
   buddhasya pādau vanditvā ālokya ca parasparam /	budDasya pAdO vanditvA Alokya ca parasparam /
   suvarṇarūpyavaiḍūryamuktāyāḥ sphaṭikasya ca //	suvarNa-rUpya-vExUrya-muktAyAH sPawikasya ca //
   samusārāśmagarbhasya saptaratnasamākulān /	samusAra-aSma-garBasya sapta-ratna-samAkulAn /
   sahasrārān suvarṇāṃś caturaḥ saṃskṛtān rathān //	sahasrArAn suvarNAn caturaH saMskRtAn raTAn //
   viśvakarmasu saṃyuktān ṛddhya vaihāyasaṃgamān /	viSvakarmasu saMyuktAn RdDya vEhAya-saMgamAn /
   tatrābhiruhya rājānaḥ prakrāntā bhūtamaṇḍalam //	tatra-aBiruhya rAjAnaH prakrAntA BUta-maNxalam //
   puṣpapūrṇāṃ mahīṃ kṛtvā cūrṇaiś cāpi hiraṇmayaiḥ /	puzpa-pUrNAm mahIm kRtvA cUrNEH ca-api hiraNmayEH /
   yaṣṭīr ābadhya hi gale sūtrapāśāṃs tathāpi ca //	yazwIH AbaDya hi gale sUtra-pASAn taTA-api ca //
   yakṣasenāpatīn sarvān preṣayitvā caturdiśam /	yakza-senApatIn sarvAn prezayitvA caturdiSam /
   ānetha sarvabhūtāni yāvanto 'smadgatā diśi //	AneTa sarva-BUtAni yAvantaH asmad-gatAH diSi //
   sāhasrapramardanaṃ hy etet saṃśrautuṃ sūtram uttamam /	sAhasra-pramardanam hi etet saMSrOtum sUtram uttamam /
   brahmalokān samuditaṃ sarvalokair vicintitam //	brahma-lokAn samuditam sarva-lokEH vicintitam //
   mahāsāhasrakāyena marditā yakṣarākṣasāḥ /	mahA-sAhasra-kAyena marditAH yakza-rAkzasAH /
   śrutvā vākyaṃ kuberasya yakṣasenāpatir gataḥ //	SrutvA vAkyam kuberasya yakza-senApatiH gataH //
   vikramantaś caturdikṣu ghoṣaṃ ghoṣanti guhyakāḥ /	vikramantaH catur-dikzu Gozam Gozanti guhyakAH /
   aṣṭāviṃśac ca bhūtāni grahā gandharvajā mune //	azwAviMSat ca BUtAni grahAH ganDarva-jAH mune //
   pūrve 'smin diśobhāge bhūtasaṃghāḥ śṛṇontu me /	pUrve asmin diSaH-BAge BUta-saMGAH SRNontu me /
   sarve te sūtrapāśena pañcabandhanapīḍitāḥ //	sarve te sUtra-pASena paQca-banDana-pIxitAH //
   aṣṭāviṃśac ca bhūtāni grahāḥ kumbhāṇḍajā mune /	azwAviMSat ca BUtAni grahAH kumBANxa-jAH mune /
   dakṣiṇe 'smin diśobhāge bhūtasaṃghāḥ śṛṇontu me //	dakziNe asmin diSaH-BAge BUta-saMGAH SRNontu me //
   sarve te sūtrapāśena pañcabandhanapīḍitāḥ /	sarve te sUtra-pASena paQca-banDana-pIxitAH /
   aṣṭāviṃśac ca bhūtāni bhonti nāgagrahā mune /	azwAviMSat ca BUtAni Bonti nAga-grahAH mune /
   paścime 'smin diśobhāge bhūtasaṃghāḥ śṛṇontu me //	paScime asmin diSaH-BAge BUta-saMGAH SRNontu me //
   sarve te sūtrapāśena pañcabandhanapīḍitāḥ /	sarve te sUtra-pASena paQca-banDana-pIxitAH /
   (Msp 10)	(Msp 10)
   aṣṭāviṃśac ca bhūtāni bhonti yakṣagrahā mune /	azwAviMSat ca BUtAni Bonti yakza-grahAH mune /
   digbhāge uttare cāpi bhūtasaṃghāḥ śṛṇontu me //	digBAge uttare ca-api BUta-saMGAH SRNontu me //
   sarve te sūtrapāśena pañcabandhanapīḍitāḥ /	sarve te sUtra-pASena paQca-banDana-pIxitAH /
   jyeṣṭhaputraḥ kuberasya sañjayo naravāhanaḥ //	jyezWa-putraH kuberasya saQjayaH naravAhanaH //
   pādamūle tu tasyaiva yakṣāṇāṃ ṣaṣṭhikoṭayaḥ /	pAda-mUle tu tasya-eva yakzANAm zazWi-kowayaH /
   ākṛṣṭāḥ sūtrapāśena pañcabandhanapīḍitāḥ //	AkRzwAH sUtra-pASena paQca-banDana-pIxitAH //
   putro dvitīyas tasyaiva janako nāma viśrutaḥ /	putraH dvitIyaH tasya-eva janakaH nAma viSrutaH /
   pādamūle tu tasyaiva yakṣāṇāṃ ṣaṣṭhikoṭayaḥ //	pAda-mUle tu tasya-eva yakzANAm zazWi-kowayaH //
   ākṛṣṭāḥ sūtrapāśena pañcabandhanapīḍitāḥ /	AkRzwAH sUtra-pASena paQca-banDana-pIxitAH /
   putras tritīyas tasyaiva nāmnā cāsau mahāgrahaḥ //	putraH tritIyaH tasya-eva nAmnA ca-asO mahA-grahaH //
   pādamūle tu tasyaiva yakṣāṇāṃ ṣaṣṭhikoṭayaḥ /	pAda-mUle tu tasya-eva yakzANAm zazWi-kowayaH /
   ākṛṣṭāḥ sūtrapāśena pañcabandhanapīḍitāḥ //	AkRzwAH sUtra-pASena paQca-banDana-pIxitAH //
   putraś caturthas tasyaiva nāmnāsau kalaśodaraḥ /	putraH caturTaH tasya-eva nAmnA-asO kalaSa-udaraH /
   pādamūle tu tasyaiva yakṣāṇāṃ ṣaṣṭhikoṭayaḥ //	pAda-mUle tu tasya-eva yakzANAm zazWi-kowayaH //
   ākṛṣṭāḥ sūtrapāśena pañcabandhanapīḍitāḥ /	AkRzwAH sUtra-pASena paQca-banDana-pIxitAH /
   maheśvaro mahādevaś caturbāhur mahābalaḥ //	maheSvaraH mahAdevaH catur-bAhuH mahA-balaH //
   pādamūle tu tasyaiva yakṣāṇāṃ ṣaṣṭhikoṭayaḥ /	pAda-mUle tu tasya-eva yakzANAm zazWi-kowayaH /
   ākṛṣṭāḥ sūtrapāśena pañcabandhanapīḍitāḥ //	AkRzwAH sUtra-pASena paQca-banDana-pIxitAH //
   āgatya sarvabhūtāni parvate bhūtamardane /	Agatya sarva-BUtAni parvate BUta-mardane /
   eṣā udbhāvitā vidyā sarvavidyā śarmakarā //	ezA udBAvitA vidyA sarva-vidyA Sarma-karAH //
   niṣṭhuraṃ puruṣaṃ daṇḍaṃ sarvabuddhair hi bhāṣitam /	nizWuram puruzam daNxam sarva-budDEH hi BAzitam /
   eṣa gacchāmaḥ śaraṇaṃ sarve gautamam ādarāt //	eza gacCAmaH SaraNam sarve gOtamam AdarAt //
   aśāṭhyenānuvartetha mā ca sarveṇa bheṣyetha /	aSAWyena-anuvarteTa mA ca sarveNa BezyeTa /
   tato muhūrtamātreṇa bhūtasaṃghāḥ samāgatāḥ //	tatas muhUrta-mAtreNa BUta-saMGAH samAgatAH //
   parvateṣu prapāteṣu samudreṣu saraḥsu ca /	parvatezu prapAtezu samudrezu saraHsu ca /
   nadīprasravaṇotseṣu āvarteṣu ca ye sthitāḥ //	nadI-prasravaNa-utsezu Avartezu ca ye sTitAH //
   udyāneṣu vimāneṣu ārāmeṣu vaneṣu ca /	udyAnezu vimAnezu ArAmezu vanezu ca /
   caityasthāneṣu grāmeṣu vṛkṣamūleṣu ye sthitāḥ //	cEtya-sTAnezu grAmezu vRkza-mUlezu ye sTitAH //
   nagarasya praveśeṣu nigamajanapadeṣu ca /	nagarasya praveSezu nigama-janapadezu ca /
   rājakuleṣu dvāreṣu vimāneṣu ca ye sthitāḥ //	rAja-kulezu dvArezu vimAnezu ca ye sTitAH //
   (Msp 11)	(Msp 11)
   maṇḍapeṣu śmaśāneṣu tathā devakuleṣu ca /	maNxapezu SmaSAnezu taTA devakulezu ca /
   sīmāsu śulkaśālāyāṃ śūnyāgāre 'tha jāṅgale //	sImAsu Sulka-SAlAyAm SUnya-AgAre aTa jAFgale //
   ūrdhvaṃ heṣṭhaṃ ca ye yakṣāś caturdikṣu vidikṣu ca /	UrDvam hezWam ca ye yakzAH catur-dikzu vidikzu ca /
   yakṣakoṭīsahasrāṇi vidyāpāśena karṣitāḥ //	yakza-kowI-sahasrANi vidyA-pASena karzitAH //
   mṛdaṅgavāditaṃ kṛtvā kecid gargaravāditam /	mRdaFga-vAditam kRtvA kecid gargara-vAditam /
   vīṇāpaṇavaveṇūś ca vādayanto mahābalāḥ //	vINA-paNava-veNUH ca vAdayantaH mahA-balAH //
   kṛtvā ca vāditaṃ citraṃ gāndharvaṃ nāṭyam eva ca /	kRtvA ca vAditam citram gAnDarvam nAwyam eva ca /
   indraḥ somaś ca varuṇo bharadvājaḥ prajāpatiḥ //	indraH somaH ca varuNaH BaradvAjaH prajApatiH //
   mātalir lohitākṣaś ca himavantaḥ supūrṇakaḥ /	mAtaliH lohitAkzaH ca himavantaH su-pUrNakaH /
   candanaḥ kāmaśreṣṭhī ca maṇikaṇṭho nikaṇṭhakaḥ //	candanaH kAmaSrezWI ca maNikaNWaH nikaNWakaH //
   prajāgurur yatīśaś ca devasūtaś ca mātaliḥ /	prajA-aguruH yati-ISaH ca devasUtaH ca mAtaliH /
   citrasenaś ca gandharvo nararājo jinarṣabhaḥ //	citrasenaH ca ganDarvaH nara-rAjaH jina-RzaBaH //
   tathā pañcaśikho nāma tumburuḥ sūryavarcasaḥ /	taTA paQcaSiKaH nAma tumburuH sUrya-varcasaH /
   śailaś caivāsiputraś ca viśvāmitro yaśodharaḥ //	SElaH ca-eva-asi-putraH ca viSvAmitraH yaSoDaraH //
   āḍavakaḥ sumanaś ca śūcīkarṇo darīmukhaḥ /	AxavakaH sumanaH ca SUcIkarNaH darImuKaH /
   pañcālagaṇḍaḥ sumukhaḥ sasainyabalavāhanaḥ //	paQcAlagaNxaH su-muKaH sa-sEnya-bala-vAhanaH //
   devā nāgāś ca gandharvā asurā yakṣarākṣasāḥ /	devAH nAgAH ca ganDarvAH asurAH yakza-rAkzasAH /
   traitīyakaś ca unmādās tathā cāturthako jvarāḥ //	trEtIyakaH ca unmAdAH taTA cAturTakaH jvarAH //
   ye ca lokaṃ viheṭhanti praduṣṭā yakṣarākṣasāḥ /	ye ca lokam viheWanti praduzwAH yakza-rAkzasAH /
   caturdikṣu samānīya pañcabandhanapīḍitāḥ //	catur-dikzu samAnIya paQca-banDana-pIxitAH //
   prāñjalīkāḥ puraḥ sthitvā lokanātham athābruvan /	prAQjalIkAH puras sTitvA lokanATam aTa-abruvan /
   namas te puruṣavīra namas te puruṣottama //	namaH te puruza-vIra namaH te puruzottamaH //
   prāñjalīkā namasyāmo dharmarāja namo 'stu te /	prAQjalIkA namasyAmaH DarmarAja namaH astu te /
   dhāvanti puratas teṣāṃ bhūtā yakṣā mahābhayāḥ //	DAvanti puratas tezAm BUtAH yakzAH mahA-BayAH //
   caturbhujā mahāghorā bahupādekapādaḥ /	catur-BujA mahA-GorAH bahupAd-eka-pAdaH /
   catuṣpādā dvipādāś ca ūrdhvapādā adhomukhaḥ //	catuzpAdAH dvi-pAdAH ca UrDva-pAdAH aDomuKaH //
   bahukāyaikaśīrṣāś ca ekakāyāś catuḥśirāḥ /	bahu-kAya-ekaSIrzAH ca eka-kAyAH catur-SirAH /
   bahunetrā mahākāyāś ca ekākṣā dvādaśodarāḥ //	bahu-netrAH mahA-kAyAH ca eka-akzAH dvAdaSa-udarAH //
   kharoṣṭhahastiśīrṣāś ca ūrdhvahastā adhaḥśirāḥ /	Kara-uzWa-hasti-SIrzAH ca UrDva-hastAH aDaHSirAH /
   śastradantāḥ śastrabāhū śastrapādāś ca rākṣasāḥ //	Sastra-dantAH Sastra-bAhU Sastra-pAdAH ca rAkzasAH //
   (Msp 12)	(Msp 12)
   tāmrakeśās tāmrahastās tāmrākṣās tāmrapāṇayaḥ /	tAmra-keSAH tAmra-hastAH tAmra-akzAH tAmra-pANayaH /
   tāmramudgarapādāś ca tāmranāsā ayomukhāḥ //	tAmra-mudgara-pAdAH ca tAmra-nAsAH ayaH-muKAH //
   ādīptahastapādāś ca manuṣyatanunā sthitāḥ /	AdIpta-hasta-pAdAH ca manuzya-tanunA sTitAH /
   kāṇāḥ kubjās tu garuḍā vikṛtākṣā vijṛmbhakāḥ //	kANAH kubjAH tu garuxAH vikRta-akzAH vijRmBakAH //
   makaravyāḍarūpāś ca virūpāś sakalonmukhāḥ /	makara-vyAxa-rUpAH ca virUpAH sakala-unmuKAH /
   lamvoṣṭhā vakradantāś ca praduṣṭā bhṛkuṭīmukhāḥ //	lamu-a-uzWAH vakra-dantAH ca praduzwAH BRkuwI-muKAH //
   sthūlodarāḥ kumbhakarṇā laṃvakarṇā akarṇakāḥ /	sTUla-udarAH kumBakarNAH laMva-karNAH akarNakAH /
   dīrghakarṇā dīrghabāhū dīrghakeśāgrapāṇayaḥ //	dIrGakarNAH dIrGa-bAhU dIrGa-keSa-agra-pANayaH //
   śuṣkakāyā dīrghakāyā dīrghakeśāḥ svalaṃkṛtāḥ /	Suzka-kAyAH dIrGa-kAyAH dIrGa-keSAH su-alaMkRtAH /
   pādabhārāḥ kṛṣagrīvā durgandhāḥ karaśodarāḥ //	pAda-BArAH kRza-grIvAH durganDAH karaSodarAH //
   makarasya yathā aṃśo muṣalamudgarodarāḥ /	makarasya yaTA aMSaH muzala-mudgara-udarAH /
   ūrdhvanetrā mahākarṇā ūrdhvakeśāḥ sulohitāḥ //	UrDva-netrAH mahA-karNAH UrDva-keSAH su-lohitAH //
   sthūlaśīrṣā dhanugrīvāḥ kubjakuṃbhodarāḥ kṛṣāḥ /	sTUla-SIrzAH Danu-grIvAH kubja-kuMBa-udarAH kRzAH /
   vavṛṣur vahnivarṣāṇi merumūrdhaṃ vicārya vai //	vavRzuH vahni-varzANi meru-mUrDam vicArya vE //
   vṛkṣaparvatapāṣāṇām agrakūṭaṃ samadyutim /	vRkza-parvata-pAzANAm agrakUwam sama-dyutim /
   śaṃkhabherīmṛdaṅgānāṃ kuṃbhāṇḍā dundubhisvarāḥ //	SaMKa-BerI-mRdaFgAnAm kuMBANxAH dunduBi-svarAH //
   pramuñcanti ravaṃ bhīmaṃ mahākaṇṭhāḥ kharasvarāḥ /	pramuQcanti ravam BImam mahA-kaNWAH Kara-svarAH /
   kālanīlakapītāś ca haritpiṅgalapiṅgalāḥ //	kAlanIlaka-pItAH ca harit-piFgala-piFgalAH //
   guhyakāḥ sarvaduṣṭānām ālaye puraḥ sthitāḥ /	guhyakAH sarva-duzwAnAm Alaye puras sTitAH /
   grasante mānuṣaṃ lokaṃ naranāryas tathetarān //	grasante mAnuzam lokam nara-nAryaH taTA-itarAn //
   hatakṛtyamāṃśarudhiraṃ medamajjān tathāpare /	hata-kRtyama-aMSa-ruDiram meda-majjAn taTA-apare /
   sūcīlomāsikeśāś ca raktalohitamrakṣitāḥ //	sUcIlomAsi-keSAH ca rakta-lohitamrakzitAH //
   bhakṣamāṇā vidhāvanti kuṇapaṃ saṃpragṛhya vai /	BakzamANAH viDAvanti kuNapam saMpragRhya vE /
   tīkṣudantā raktahastā oṣṭhamrakṣitalohitāḥ //	tIkzu-dantAH rakta-hastAH ozWamrakzita-lohitAH //
   ardhakhāditagātraiś ca kṛtvā hastau prapūritau /	arDa-KAdita-gAtrEH ca kRtvA hastO prapUritO /
   vṛkkāhṛdayajatrunijaghaṇaṃ bhakṣamāṇakāḥ //	vRkkA-hRdaya-jatru-nija-GaNam BakzamANakAH //
   karālā hastapādebhyo harante prāṇināṃ balam /	karAlAH hasta-pAdeByaH harante prANinAm balam /
   asthisaṃkarakāyena trāsayanti janān bahūn //	asTi-saMkara-kAyena trAsayanti janAn bahUn //
   gṛhītvā mānuṣaṃ carma lohitena prapūritam /	gRhItvA mAnuzam carma lohitena prapUritam /
   viṣeṇogreṇa saṃsṛṣṭaṃ vikṣipanti diśodaśam //	vizeNa-ugreNa saMsRzwam vikzipanti diSodaSam //
   (Msp 13)	(Msp 13)
   nagarāṇāṃ praveśeṣu vikṣipanti kulākulam /	nagarANAm praveSezu vikzipanti kula-Akulam /
   vātaṃ pittaṃ ca śleṣmāṇaṃ kṣobhayanti caturdiśam //	vAtam pittam ca SlezmANam kzoBayanti caturdiSam //
   iti saṃtiṣṭhante tatra rājapīḍā mahābhayāḥ /	iti saMtizWante tatra rAja-pIxAH mahA-BayAH /
   sarve samāgatās te 'pi vidyāpāśena karṣitāḥ //	sarve samAgatAH te api vidyA-pASena karzitAH //
   namas te puruṣavīra namo 'stu puruṣottama /	namaH te puruza-vIra namaH astu puruzottamaH /
   namasyāmo 'ñjalikarā dharmarāja namo 'stu te //	namasyAmaH aQjali-karAH DarmarAja namaH astu te //
   caranti nagaraṃ grāmaṃ rāṣṭrarājakuleṣu ca /	caranti nagaram grAmam rAzwra-rAja-kulezu ca /
   yakṣā ojoharā ghorā nṛmāṃsarudhirāsinaḥ //	yakzAH ojaH-harA GorAH nR-mAMsa-ruDira-asinaH //
   mahākāyā mahābhīmā mahābalā maheśvarāḥ /	mahA-kAyAH mahA-BImAH mahA-balAH maheSvarAH /
   daśagrīvāḥ sahasrākṣā mahāgrāsā mahāmukhāḥ //	daSagrIvAH sahasrAkzAH mahA-grAsAH mahAmuKAH //
   mahatā parivāreṇa śastrahastāḥ subhairavāḥ /	mahatA parivAreNa Sastra-hastAH su-BEravAH /
   ahicarmagṛhītāś ca ulkāhastāś caturbhujāḥ //	ahi-carma-gRhItAH ca ulkA-hastAH catur-BujAH //
   daṇḍahastāḥ śastrahastāḥ śūlino vajrapāṇinaḥ /	daNxa-hastAH Sastra-hastAH SUlinaH vajrapANinaH /
   uttrāsenti diśaḥ sarvāyudhvaṃ kṛtvā sudāruṇam //	uttrAsenti diSaH sarva-AyuDvam kRtvA su-dAruNam //
   prasannā guhyakāḥ sarve duṣṭānām ālaye sthitāḥ /	prasannAH guhyakAH sarve duzwAnAm Alaye sTitAH /
   grasante mānuṣe loke naranāryas tathetarān //	grasante mAnuze loke nara-nAryaH taTA-itarAn //
   uṣṇair māṃsaiś ca rudhirair bhāntāṅgāḥ kāmarūpiṇaḥ /	uzNEH mAMsEH ca ruDirEH BAnta-aFgAH kAmarUpiNaH /
   siṃhavyāghrāś ca mahiṣīgokharoṣṭrebharūpiṇaḥ //	siMha-vyAGrAH ca mahizI-go-Kara-uzwra-iBa-rUpiNaH //
   ṛkṣadvīpivṛkanyaṅkuśṛgālaiḍaviḍālakaiḥ /	Rkza-dvIpi-vRkanI-aFku-SRgAla-exa-vixAlakEH /
   rūpair ākhukapiprakhyaiḥ khaṅgīśūkaranākulaiḥ //	rUpEH AKu-kapi-praKyEH KaFgI-SUkara-nAkulEH //
   matsakacchaparūpaiś ca aparaiḥ kākakokilaiḥ /	mad-sakacCapa-rUpEH ca aparEH kAka-kokilEH /
   ulūkagṛdhrasenyādi tathā timitimiṅgilaiḥ //	ulUka-gRDrasenya-Adi taTA timi-timiFgilEH //
   māyūrair haṃsakāpotai rūpaiḥ krauñcavihaṅgamaiḥ /	mAyUrEH haMsa-kApotEH rUpEH krOQca-vihaFgamEH /
   kecit kukkuṭarūpeṇa yakṣāḥ paśyanti mānuṣān //	kecid kukkuwa-rUpeNa yakzAH paSyanti mAnuzAn //
   suparṇīpakṣiveṣeṇa saṃtrāsenti janān bahūn /	suparNI-pakzi-vezeNa saMtrAsenti janAn bahUn /
   keṣāṃcid mānuṣaṃ śīrṣaṃ śarīraṃ kharakotkaṭam /	kezAMcid mAnuzam SIrzam SarIram Karaka-utkawam /
   anyāny abhidravanto 'nye dṛśyante vikalāśayāḥ /	anyAni aBidravantaH anye dRSyante vikala-ASayAH /
   vinagnāḥ kāmaparamā antramālāvaguṇṭhitāḥ //	vinagnAH kAma-paramAH antra-mAla-avaguNWitAH //
   praharanti triśūlena pīḍāṃ kurvanti prāṇinām /	praharanti triSUlena pIxAm kurvanti prANinAm /
   muñcanti dāruṇaṃ śvāsaṃ saṃtāpenti imāḥ prajāḥ //	muQcanti dAruNam SvAsam saMtApenti imAH prajAH //
   (Msp 14)	(Msp 14)
   vicitrarūpā dṛśyante yāvatī prāṇasaṃtatiḥ /	vicitra-rUpAH dRSyante yAvatI prANa-saMtatiH /
   gṛhītaparvataś cānye asicakradharāpare //	gRhIta-parvataH ca-anye asi-cakra-Dara-apare //
   saṃkhyāśatasahasrāṇi musaladaṇḍatarjitāḥ /	saMKyA-Sata-sahasrANi musala-daNxa-tarjitAH /
   utpāṭitākṣā vimukhāḥ khaṇḍadantāś ca rākṣasāḥ //	utpAwita-akzAH vimuKAH KaNxa-dantAH ca rAkzasAH //
   chinnanāsāś chinnakarṇāś chinnajihvā valīmukhaḥ /	Cinna-nAsAH Cinna-karNAH Cinna-jihvA valImuKaH /
   saṃchinnahastapādāś ca chinnaśīrṣāś ca rākṣasāḥ //	saMCinna-hasta-pAdAH ca Cinna-SIrzAH ca rAkzasAH //
   prekṣanti cāvatāraṃ hi ojo hiṃsanti kilbiṣāḥ /	prekzanti ca-avatAram hi ojaH hiMsanti kilbizAH /
   mānuṣāṇāṃ śarīreṣu suśūkṣmo dṛśyate grahaḥ //	mAnuzANAm SarIrezu su-SUkzmaH dRSyate grahaH //
   romāntareṣu marmeṣu tathā vraṇamukheṣu ca /	roma-antarezu marmezu taTA vraNa-muKezu ca /
   sarve samāgatās te 'pi vidyāpāśena karṣitāḥ //	sarve samAgatAH te api vidyA-pASena karzitAH //
   namas te puruṣavīra namas te puruṣottama /	namaH te puruza-vIra namaH te puruzottamaH /
   namasyāmo 'ñjalikarā dharmarāja namo 'stu te //	namasyAmaH aQjali-karAH DarmarAja namaH astu te //
   sumerau girirāje ca cakravāḍe tathaiva ca /	sumerO giri-rAje ca cakravAxe taTA-eva ca /
   gṛdhrakūṭe iśādhāre himavadgandhamādane //	gRDrakUwe iSa-ADAre himavat-ganDamAdane //
   pāṇḍave citrakūṭe ca nārade parvatadvaye /	pANxave citrakUwe ca nArade parvata-dvaye /
   śrīparvatasya mūrdhasthāḥ śṛṅgā ye bhṛśam udgatāḥ //	SrIparvatasya mUrDa-sTAH SRFgAH ye BRSam udgatAH //
