   akarod bhayajid rājā NCit_1.39c	akarot Baya-jit rAjA NCit-_1.39c
   komalau haritau smṛtau NCit_3.136f	komalO haritO smRtO NCit-_3.136f
   kramādaṅguṣṭhayormithaḥ NCit_3.80b	kramAt-aFguzWayoH-miTas NCit-_3.80b
   kramike śaṅkhasannibhau NCit_3.131b	kramike SaFKa-sanniBO NCit-_3.131b
   krameṇoccāvacau punaḥ NCit_3.93b	krameNa-uccAvacO punar NCit-_3.93b
   kriyate jayamaṃgalam NCit_1.1d	kriyate jaya-maMgalam NCit-_1.1d
   kruddhasya duḥkhitasyaiva NCit_3.28c	krudDasya duHKitasya-eva NCit-_3.28c
   kruddhena tena vipreṇa NCit_1.20a	krudDena tena vipreNa NCit-_1.20a
   kroṛato 'pahṛtaḥ sutaḥ NCit_1.22d	kroRataH apahRtaH sutaH NCit-_1.22d
   krodhayuk roṣayuk caiva NCit_3.43c	kroDa-yuj roza-yuj ca-eva NCit-_3.43c
   kṣamāvalambanīyā syāt NCit_1.65c	kzamA-avalambanIyA syAt NCit-_1.65c
   kṣaumasūtramanoharam NCit_3.84d	kzOma-sUtra-manoharam NCit-_3.84d
   gaṅgā nadiṣu śreṣṭhaiva NCit_1.94c	gaFgA nadizu SrezWA-eva NCit-_1.94c
   gacched grantho viśālatām NCit_3.155d	gacCet granTaH viSAla-tAm NCit-_3.155d
   gajarājagatiryasya NCit_3.121a	gaja-rAja-gatiH-yasya NCit-_3.121a
   gajavat sabalau pādau NCit_3.122a	gaja-vat sa-balO pAdO NCit-_3.122a
   gajaśuṇḍasamā jaṅghā NCit_3.135a	gajaSuNxa-samAH jaFGA NCit-_3.135a
   gatirasya bhavedrājan NCit_3.123e	gatiH-asya Bavet-rAjan NCit-_3.123e
   gandharvāṇāṃ ca rājendra NCit_1.109c	ganDarvANAm ca rAja-indra NCit-_1.109c
   gabhīrā syād yathāyatham NCit_3.133d	gaBIrA syAt yaTAyaTam NCit-_3.133d
   gambhīraṃ sūkṣmakaṃ tathā NCit_3.83b	gamBIram sUkzmakam taTA NCit-_3.83b
   girīṇāṃ sumeruḥ śreṣṭhaḥ NCit_1.92a	girINAm sumeruH SrezWaH NCit-_1.92a
   guṇine na dviṣennṛpaḥ NCit_1.65f	guNine na dvizet-nRpaH NCit-_1.65f
   guṇottamasya bhūpasya NCit_1.10a	guNa-uttamasya BUpasya NCit-_1.10a
   gulphalagnapradeśasya NCit_3.56c	gulPa-lagna-pradeSasya NCit-_3.56c
   gulphādeśastathā nāṛī NCit_3.59a	gulPa-AdeSaH-taTA nARI NCit-_3.59a
   gulphādeśādadhobhāgaś NCit_3.72a	gulPa-AdeSAt-aDoBAgaH NCit-_3.72a
   gulpho 'dṛśpo bhavet tathā NCit_3.135d	gulPaH adRSpaH Bavet taTA NCit-_3.135d
   gṛhyatāṃ lokahetave NCit_3.103f	gRhyatAm loka-hetave NCit-_3.103f
   gokṣīravarṇavatsnigdhaṃ NCit_3.30a	go-kzIra-varNa-vat-snigDam NCit-_3.30a
   gojī cārdhāṅgulistathā NCit_3.36b	gojI ca-arDa-aFguliH-taTA NCit-_3.36b
   gopucchāgrasamau tāvat NCit_3.93a	go-pucCa-agra-samO tAvat NCit-_3.93a
   graheṣu somabhāskarau NCit_1.94d	grahezu soma-BAskarO NCit-_1.94d
   ṅgulicakrapadāṅkitau NCit_3.136d	Fguli-cakra-pada-aFkitO NCit-_3.136d
   cakrarekhāsvalaṅkṛtau NCit_3.137f	cakra-reKAsu-alaFkRtO NCit-_3.137f
   cakravartimahīpasya NCit_3.63a	cakravarti-mahIpasya NCit-_3.63a
   cakravartimahīpānām NCit_3.10a	cakravarti-mahIpAnAm NCit-_3.10a
   cakravartī sa ucyate NCit_3.142f	cakravartI saH ucyate NCit-_3.142f
   cakravarttinarendrasya NCit_3.156a	cakravartti-narendrasya NCit-_3.156a
   cakravarttī sadā bhavet NCit_3.139b	cakravarttI sadA Bavet NCit-_3.139b
   cakrādilakṣaṇairyuktaṃ NCit_3.62a	cakra-Adi-lakzaNEH-yuktam NCit-_3.62a
   cakṣurunmīlya sānandaṃ NCit_1.55c	cakzuH-unmIlya sa-Anandam NCit-_1.55c
   cakṣuvat tārakocchrāyo NCit_3.23a	cakzu-vat tAraka-ucCrAyaH NCit-_3.23a
   cakṣuṣodvaryaṅgulāroha NCit_3.22a	cakzuzA-udvarI-aFgula-Aroha NCit-_3.22a
   cakṣuḥ syāt sumanoharam NCit_3.129d	cakzuH syAt su-manoharam NCit-_3.129d
   catasraśca prajāstāsāṃ NCit_2.4a	catasraH-ca prajAH-tAsAm NCit-_2.4a
   caturaṅgalisamucchrāyo NCit_3.15c	caturaFgali-samucCrAyaH NCit-_3.15c
   caturaṅgulakaṃ matam NCit_3.41d	catur-aFgulakam matam NCit-_3.41d
   caturaṅgulakaṃ smṛtam NCit_3.38d	catur-aFgulakam smRtam NCit-_3.38d
   caturaṅgulako mataḥ NCit_3.72d	catur-aFgulakaH mataH NCit-_3.72d
   caturaṅgulako mataḥ NCit_3.76b	catur-aFgulakaH mataH NCit-_3.76b
   caturaṅgulamānakam NCit_3.11f	catur-aFgula-mAnakam NCit-_3.11f
   caturaṅgulaṃ sthānaṃ syāt NCit_3.101c	catur-aFgulam sTAnam syAt NCit-_3.101c
   caturaṅguliko 'ṅguṣṭo NCit_3.61a	catur-aFgulikaH aFguzwaH NCit-_3.61a
   caturaṅgulimātrakaḥ NCit_3.33b	catur-aFguli-mAtrakaH NCit-_3.33b
   caturaṅgulimānakaḥ NCit_3.36d	catur-aFguli-mAnakaH NCit-_3.36d
   caturasraṃ ca vijñeyaṃ NCit_3.100c	catur-asram ca vijQeyam NCit-_3.100c
   caturasraṃ mukhaṃ pūrṇaṃ NCit_3.42c	catur-asram muKam pUrNam NCit-_3.42c
   caturṇāṃ ca tathā rājñāṃ NCit_3.152a	caturNAm ca taTA rAjQAm NCit-_3.152a
   caturdaśāṅgulaṃ kaṭyā NCit_3.51a	caturdaSa-aFgulam kawyA NCit-_3.51a
   caturbhāgena mukhyataḥ NCit_3.148d	catur-BAgena muKyatas NCit-_3.148d
   catuḥśatamitāṅgulam NCit_3.158d	catur-Sata-mita-aFgulam NCit-_3.158d
   catvāriśacchubhā dantāḥ NCit_3.106a	catvAri-Sat-SuBAH dantAH NCit-_3.106a
   candrakāntasamujjvalās NCit_3.70a	candrakAnta-samujjvalAH NCit-_3.70a
   campakadāmaśobhitaḥ NCit_3.138a	campaka-dAma-SoBitaH NCit-_3.138a
   caraṇamitisaṃjñitam NCit_3.72b	caraNamiti-saMjQitam NCit-_3.72b
   carācarayutā vṛkṣā NCit_1.91c	carAcara-yutA vRkzAH NCit-_1.91c
   cākāle 'pahṛto yo 'sau NCit_1.28c	ca-akAle apahRtaH yaH asO NCit-_1.28c
   cānupūrvyeṇa saṃgatā NCit_3.132d	ca-AnupUrvyeNa saMgatAH NCit-_3.132d
   cāpākārā bhavet sadā NCit_3.18d	cApa-AkArA Bavet sadA NCit-_3.18d
   cāyamaḥ syād daśāṅguliḥ NCit_3.39b	ca-ayamaH syAt daSa-aFguliH NCit-_3.39b
   cāyuḥ prajāḥ prapedire NCit_1.10d	ca-AyuH prajAH prapedire NCit-_1.10d
   cārukeśaḥ sunāsikaḥ NCit_3.128b	cAru-keSaH su-nAsikaH NCit-_3.128b
   cārudeho mahīpateḥ NCit_3.142e	cAru-dehaH mahIpateH NCit-_3.142e
   cārumaṇḍalayuktaśca NCit_3.102e	cAru-maNxala-yuktaH-ca NCit-_3.102e
   cārvoṣṭaṃ raktimāpūrṇaṃ NCit_3.128c	cArvozwam raktim-ApUrNam NCit-_3.128c
   cāṣṭāṅgulisamanvitaḥ NCit_3.102b	ca-azwa-aFguli-samanvitaH NCit-_3.102b
   citramiti prasiddhaṃ tat NCit_1.79c	citram-iti prasidDam tat NCit-_1.79c
   citramityucyate tataḥ NCit_1.91b	citram-iti-ucyate tatas NCit-_1.91b
   citramīdṛśaṃ saṃlekhyaṃ NCit_1.108a	citram-IdRSam saMleKyam NCit-_1.108a
   citraśāstraviśāradaiḥ NCit_3.159d	citra-SAstra-viSAradEH NCit-_3.159d
   citraśāstreṣu dīkṣitaḥ NCit_3.31f	citra-SAstrezu dIkzitaH NCit-_3.31f
   citraśilpasya śāstraṃ tu NCit_1.101c	citra-Silpasya SAstram tu NCit-_1.101c
   citrasandarśane tāvad NCit_1.108e	citra-sandarSane tAvat NCit-_1.108e
   citrasaṃracanāya vai NCit_1.84b	citra-saMracanAya vE NCit-_1.84b
   citrasaṃlekhanakramam NCit_1.86b	citra-saMleKana-kramam NCit-_1.86b
   citrasya parinirmito NCit_2.1d	citrasya parinirmitaH NCit-_2.1d
   citrasya lakṣaṇaṃ karma NCit_1.99c	citrasya lakzaNam karma NCit-_1.99c
   citrasya lakṣaṇāni me NCit_1.86c	citrasya lakzaNAni me NCit-_1.86c
   citrasya lekhanena ca NCit_1.76b	citrasya leKanena ca NCit-_1.76b
   citraṃ saṃlikhyate yataḥ NCit_1.90b	citram saMliKyate yatas NCit-_1.90b
   citrākāraṃ vinirmame NCit_2.9d	citra-AkAram vinirmame NCit-_2.9d
   citrāviṣkārako bhava NCit_1.76d	citra-AvizkArakaH Bava NCit-_1.76d
   cintayat jagato hitam NCit_2.5d	cintayat jagataH hitam NCit-_2.5d
   civukasya tathā mānaṃ NCit_3.41c	civukasya taTA mAnam NCit-_3.41c
   civunāsālalāṭaṃ vā NCit_3.11e	civu-nAsA-lalAwam vA NCit-_3.11e
   cetyapṛcchad dvijaṃ nṛpaḥ NCit_1.19d	ca-iti-apRcCat dvijam nRpaH NCit-_1.19d
   caityānāṃ karaṇāyaiva NCit_1.90a	cEtyAnAm karaNAya-eva NCit-_1.90a
   jagadetañcarācaram NCit_1.69d	jagat-etaQcarAcaram NCit-_1.69d
   jagadvandyaṃ bhavet sadā NCit_1.77d	jagat-vandyam Bavet sadA NCit-_1.77d
   jagāma svagṛhaṃ mudā NCit_1.81d	jagAma sva-gRham mudA NCit-_1.81d
   jagrāha pratihiṃsayā NCit_1.44d	jagrAha pratihiMsayA NCit-_1.44d
   jaṅkhopajaṅkhasundaram NCit_3.143d	jaFKopajaFKa-sundaram NCit-_3.143d
   jaṅgamāśca yathāsthitāḥ NCit_1.91d	jaFgamAH-ca yaTA-sTitAH NCit-_1.91d
   jaṅghayoḥ sthūlatāmānaṃ NCit_3.57e	jaFGayoH sTUla-tA-mAnam NCit-_3.57e
   jaṅghāgramunnataṃ kuryāt NCit_3.58a	jaFGA-agram-unnatam kuryAt NCit-_3.58a
   jaṅghādvayasya tasyordhaṃ NCit_3.57c	jaFGA-dvayasya tasya-UrDam NCit-_3.57c
   jaṅghāyāḥ paścimo bhāgaḥ NCit_3.59c	jaFGAyAH paScimaH BAgaH NCit-_3.59c
   jaṅghāsu kaṇṭhagaṇḍeṣu NCit_3.114c	jaFGAsu kaNWa-gaNxezu NCit-_3.114c
   jatruto hṛdayaṃ yāvan NCit_3.50a	jatrutaH hRdayam yAvat NCit-_3.50a
   janma prāpya ca mānuṣam NCit_1.51d	janma prApya ca mAnuzam NCit-_1.51d
   jambunadasamāhṛta- NCit_3.119a	jambunada-samAhRta NCit-_3.119a
   jātīkusumasaṃkāśaṃ NCit_3.107c	jAtI-kusuma-saMkASam NCit-_3.107c
   jātyā balena dānena NCit_1.63c	jAtyA balena dAnena NCit-_1.63c
   jānuparyantagāminau NCit_3.93d	jAnu-paryanta-gAminO NCit-_3.93d
   jānuprāpta udīryate NCit_3.94b	jAnu-prAptaH udIryate NCit-_3.94b
   jāyatāṃ kila paṇḍitāḥ NCit_1.2d	jAyatAm kila paNxitAH NCit-_1.2d
   jālarekhāṅkitāḥ koṇāḥ NCit_3.113c	jAla-reKA-aFkitAH koNAH NCit-_3.113c
   jālarekhānibhā keśāḥ NCit_3.111a	jAla-reKA-niBAH keSAH NCit-_3.111a
   jālarekhaiḥ suśobhanaiḥ NCit_3.115b	jAla-reKEH su-SoBanEH NCit-_3.115b
   jihvāsīmā ca lohitam NCit_3.107b	jihvAsi-imA ca lohitam NCit-_3.107b
   jīvayituṃ lilekha taṃ NCit_1.54c	jIvayitum lileKa tam NCit-_1.54c
   jīvitaṃ putramāsādya NCit_1.56a	jIvitam putram-AsAdya NCit-_1.56a
   jñātavyamiti niścitam NCit_3.4d	jQAtavyam-iti niScitam NCit-_3.4d
   jñeya ekāṅguliḥ kṛśaḥ NCit_3.161b	jQeyaH eka-aFguliH kRSaH NCit-_3.161b
   jñeyametanna cānyathā NCit_3.38f	jQeyam-etat-na ca-anyaTA NCit-_3.38f
   jñeyaṃ tad dvyaṅgulaṃ nūnaṃ NCit_3.48c	jQeyam tat dvi-aFgulam nUnam NCit-_3.48c
   jñeyaṃ pañcāṅgulaṃ sadā NCit_3.89d	jQeyam paQca-aFgulam sadA NCit-_3.89d
   jñeyaṃ mattastvathā rājan NCit_1.107a	jQeyam mattaH-tu-aTA rAjan NCit-_1.107a
   jñeyaṃ sadā mahīpate NCit_3.96d	jQeyam sadA mahIpate NCit-_3.96d
   ñyaṅgulaṃ jānubhāgasya NCit_3.57a	QyaFgulam jAnu-BAgasya NCit-_3.57a
   taccaraṇasamucchrāyaḥ NCit_3.72c	tad-caraNa-samucCrAyaH NCit-_3.72c
   taccitramiti kathyate NCit_1.91f	tat-citram-iti kaTyate NCit-_1.91f
   tataḥ prajā mayā sṛṣṭā NCit_1.89c	tatas prajAH mayA sRzwA NCit-_1.89c
   tataḥ pretādhipo devo NCit_1.44a	tatas preta-aDipaH devaH NCit-_1.44a
   tataḥ sthūlastrimānataḥ NCit_3.39d	tatas sTUlaH-tri-mAnataH NCit-_3.39d
   tato 'dharmeṇa rājyaṃ taṃ NCit_1.21a	tatas aDarmeNa rAjyam tam NCit-_1.21a
   tat tathaiva pravakṣyāmi NCit_3.1c	tat taTA-eva pravakzyAmi NCit-_3.1c
   tatparāyaṇamānasaḥ NCit_2.13b	tad-parAyaNa-mAnasaH NCit-_2.13b
   tat praṣṭuṃ sṛṣṭikattariṃ NCit_1.85c	tat prazwum sRzwikattarim NCit-_1.85c
   tatra nindā bhaved dhruvam NCit_1.61b	tatra nindA Bavet Druvam NCit-_1.61b
   tatra svāṅgulinā kāryaṃ NCit_3.144c	tatra sva-aFgulinA kAryam NCit-_3.144c
   tatraiva praviveśa ca NCit_1.83d	tatra-eva praviveSa ca NCit-_1.83d
   tathā caraṇayornṛpa NCit_3.162d	taTA caraNayoH-nRpa NCit-_3.162d
   tathā ca śiśunā kṛtam NCit_1.51b	taTA ca SiSunA kRtam NCit-_1.51b
   tathā cāpānukārakau NCit_3.37b	taTA cApa-anukArakO NCit-_3.37b
   tathā citraṃ kalāsu vai NCit_1.92d	taTA citram kalAsu vE NCit-_1.92d
   tathānirdiṣṭapañcadhā NCit_3.155b	taTA-anirdizwa-paQcaDA NCit-_3.155b
   tathā parva ca dṛśyate NCit_3.140d	taTA parva ca dRSyate NCit-_3.140d
   tathā pralikhanātteṣāṃ NCit_1.91e	taTA praliKanAt-tezAm NCit-_1.91e
   tathābhūt dharaṇītale NCit_1.9f	taTA-aBUt DaraNI-tale NCit-_1.9f
   tathā mānaṃ vicārayet NCit_3.151b	taTA mAnam vicArayet NCit-_3.151b
   tathā mānaṃ vidhīyatām NCit_3.162f	taTA mAnam viDIyatAm NCit-_3.162f
   tathārohasamucchrāyau NCit_3.7c	taTA-Aroha-samucCrAyO NCit-_3.7c
   tathā śreṣṭhaṃ bhaveccitraṃ NCit_1.95c	taTA SrezWam Bavet-citram NCit-_1.95c
   tathā suspaṣṭasaṃyutāḥ NCit_3.70b	taTA su-spazwa-saMyutAH NCit-_3.70b
   tathaiva citrakarmaṇi NCit_1.93e	taTA-eva citrakarmaNi NCit-_1.93e
   tathaiva madhyadeśī hi NCit_3.56e	taTA-eva maDyadeSI hi NCit-_3.56e
   tathauṣṭhasya vivarṇitaḥ NCit_3.42b	taTA-ozWasya vivarNitaH NCit-_3.42b
   tadā liptau babhūvatuḥ NCit_1.37d	tadA liptO baBUvatuH NCit-_1.37d
   taditarañca yad bhavet NCit_3.46a	tat-itaraQca yat Bavet NCit-_3.46a
   tadvadeva bhaved dhruvam NCit_3.75b	tadvat-eva Bavet Druvam NCit-_3.75b
   tad vijñeyaṃ ca devānāṃ NCit_3.46c	tat vijQeyam ca devAnAm NCit-_3.46c
   tapasā śuddhamānasaḥ NCit_1.75b	tapasA SudDa-mAnasaH NCit-_1.75b
   tapasemaṃ guṇaṃ nṛpāḥ NCit_1.71b	tapasA-imam guNam nRpAH NCit-_1.71b
   taptakāñcanavarṇakaḥ NCit_3.119b	tapta-kAQcana-varNakaH NCit-_3.119b
   tamavocad nṛpaṃ yamaḥ NCit_1.38d	tam-avocat nRpam yamaH NCit-_1.38d
   tamo hatvā jalāt kila NCit_2.2d	tamaH hatvA jalAt kila NCit-_2.2d
   tayaiva dīyate śāntis NCit_2.17c	tayA-eva dIyate SAntiH NCit-_2.17c
   tayoritthaṃ babhūva ha NCit_1.37b	tayoH-itTam baBUva ha NCit-_1.37b
   tarjanyā nyūnatā bodhyā NCit_3.74c	tarjanyA nyUna-tA boDyA NCit-_3.74c
   talaṃ saptāṅgulaṃ dīrghaṃ NCit_3.73c	talam sapta-aFgulam dIrGam NCit-_3.73c
   talau padmasamau raktau NCit_3.82c	talO padma-samO raktO NCit-_3.82c
   tava dūtena durdhiyā NCit_1.28d	tava dUtena durDiyA NCit-_1.28d
   tava śāsanakāle 'smin NCit_1.20c	tava SAsana-kAle asmin NCit-_1.20c
   tavādau lekhakakhyātiḥ NCit_1.79a	tava-AdO leKaka-KyAtiH NCit-_1.79a
   tasmāt rājan vijānīyān NCit_1.32c	tasmAt rAjan vijAnIyAn NCit-_1.32c
   tasmādaṇḍāt prādurabhūt NCit_2.3a	tasmAt-aNxAt prAduraBUt NCit-_2.3a
   tasmād jñeyaṃ tathaiva tat NCit_1.90d	tasmAt jQeyam taTA-eva tat NCit-_1.90d
   tasmād rājendra hastena NCit_3.94a	tasmAt rAja-indra hastena NCit-_3.94a
   tasmin deśe raṇākule NCit_1.47d	tasmin deSe raNa-Akule NCit-_1.47d
   tasminnupāyavidyeyaṃ NCit_1.52c	tasmin=-upAya-vidyA-iyam NCit-_1.52c
   tasmai kāmasya siddhaye NCit_2.13e	tasmE kAmasya sidDaye NCit-_2.13e
   tasmai bhaktāya sarvataḥ NCit_2.17d	tasmE BaktAya sarvatas NCit-_2.17d
   tasmai rājñe hyupādiśat NCit_1.101d	tasmE rAjQe hi-upAdiSat NCit-_1.101d
   tasyādho māṃsapiṇḍaśca NCit_3.77a	tasya-aDas mAMsa-piNxaH-ca NCit-_3.77a
   tasyāroho yathākraman NCit_3.132b	tasya-ArohaH yaTAkraman NCit-_3.132b
   tasyāḥ pārśvāṅgulermadhye NCit_3.71c	tasyAH pArSva-aFguleH-maDye NCit-_3.71c
   tādṛśeṇa kṣitāvādi- NCit_1.76c	tAdRSeNa kzitO=-Adi NCit-_1.76c
   tāni tubhyaṃ vadāmyaham NCit_3.95d	tAni tuByam vadAmi-aham NCit-_3.95d
   tārakaṃ śrīsukhapradam NCit_3.31d	tArakam SrI-suKa-pradam NCit-_3.31d
   tiṣṭha tiṣṭheti ta rājā NCit_1.38a	tizWa tizWA-iti te rAjA NCit-_1.38a
   tīkṣṇāgraparimaṇḍalaṃ NCit_3.108c	tIkzNa-agra-parimaNxalam NCit-_3.108c
   tīkṣṇānāṃ parivarṣaṇam NCit_1.39b	tIkzNAnAm parivarzaNam NCit-_1.39b
   tubhyamadya pradīyate NCit_2.20d	tuByam-adya pradIyate NCit-_2.20d
   tubhyaṃ pradarśayāmi ced NCit_3.155c	tuByam pradarSayAmi ced NCit-_3.155c
   tubhyaṃ mayā pradaśryate NCit_1.109f	tuByam mayA pradaSryate NCit-_1.109f
   tubhyaṃ sa upadekṣyati NCit_1.96d	tuByam saH upadekzyati NCit-_1.96d
   tṛṇakhaṇḍāṇiva prāṇān NCit_1.24c	tRNa-KaNxANiva prANAn NCit-_1.24c
   tejasā pūritaṃ vacaḥ NCit_1.30d	tejasA pUritam vacaH NCit-_1.30d
   tejasvī vīryavān rājan NCit_3.139a	tejasvI vIryavAn rAjan NCit-_3.139a
   tena trasyanti cālpajñā NCit_3.153c	tena trasyanti ca-alpa-jQA NCit-_3.153c
   tena durlakṣaṇena vai NCit_1.46d	tena durlakzaNena vE NCit-_1.46d
   tena mānaṃ dhruvaṃ bhavet NCit_3.156f	tena mAnam Druvam Bavet NCit-_3.156f
   tena rājā mahākruddho NCit_1.41a	tena rAjA mahA-krudDaH NCit-_1.41a
   teṣāmatra pradarśitaḥ NCit_3.163d	tezAm-atra pradarSitaH NCit-_3.163d
   tyajanti sarvamānavāḥ NCit_1.62d	tyajanti sarva-mAnavAH NCit-_1.62d
   trastasya rudataścaiva NCit_3.28a	trastasya rudataH-ca-eva NCit-_3.28a
   trikoṇaṃ vā prajānāñca NCit_3.45c	tri-koNam vA prajAnAQca NCit-_3.45c
   trikoṇā kuṭilā vṛttā NCit_3.43a	tri-koNA kuwilA vRttA NCit-_3.43a
   tribhāgastārakā hyasya NCit_3.22c	tri-BAgaH-tArakA hi-asya NCit-_3.22c
   tribhāgena vibhaktaṃ ca NCit_3.11c	tri-BAgena viBaktam ca NCit-_3.11c
   trilokeśaḥ prajāpatiḥ NCit_1.81b	triloka-ISaH prajApatiH NCit-_1.81b
   trilokeṣu ca pūjyānāṃ NCit_2.22a	trilokezu ca pUjyAnAm NCit-_2.22a
   tryaṅgulisammito bhavet NCit_3.77b	tri-aFguli-sammitaH Bavet NCit-_3.77b
   tvatsavidhe tyajāmyaham NCit_1.24d	tvad-saviDe tyajAmi-aham NCit-_1.24d
   tvaṃ sadā pṛthivīpate NCit_1.72d	tvam sadA pRTivIpate NCit-_1.72d
   tvācāryāṃśca punaḥ punaḥ NCit_1.5d	tu-AcAryAn=-ca punar punar NCit-_1.5d
   dakṣiṇāvartino nābhiḥ NCit_3.133c	dakziNAvartinaH nABiH NCit-_3.133c
   dadau pratyuttaraṃ mṛdu NCit_1.30c	dadO pratyuttaram mRdu NCit-_1.30c
   dadhimuktābjavacchuklāḥ NCit_3.105c	daDi-muktA-abja-vat-SuklAH NCit-_3.105c
   dantamūlaṃ tathā tālu NCit_3.107a	danta-mUlam taTA tAlu NCit-_3.107a
   dantaśirasya lobhānāṃ NCit_3.104a	dantaSirasya loBAnAm NCit-_3.104a
   dayāṃ yadi na kuryāstvaṃ NCit_1.24a	dayAm yadi na kuryAH-tvam NCit-_1.24a
   darpaṇasparśakomalaḥ NCit_3.124b	darpaNa-sparSa-komalaH NCit-_3.124b
   darśanīyaṃ manuṣyebhyo NCit_1.108c	darSanIyam manuzyeByaH NCit-_1.108c
   darśane sumanoharau NCit_3.64d	darSane su-manoharO NCit-_3.64d
   daśāṅgulaṃ bhaved dhruvam NCit_3.97b	daSa-aFgulam Bavet Druvam NCit-_3.97b
   dīyatāṃ tanayaḥ priyaḥ NCit_1.29b	dIyatAm tanayaH priyaH NCit-_1.29b
   dīrghaṃ khartaṃ ca vartulam NCit_3.45b	dIrGam Kartam ca vartulam NCit-_3.45b
   dīrghā aṅgulayastathā NCit_3.66b	dIrGAH aFgulayaH-taTA NCit-_3.66b
   dīrghāgrasundaraṃ pakṣma NCit_3.29c	dIrGa-agra-sundaram pakzma NCit-_3.29c
   dīrghāṅguliyutau karau NCit_3.137b	dIrGa-aFguli-yutO karO NCit-_3.137b
   dīrdhottama ca pakṣma hi NCit_3.129a	dIrDA-uttama ca pakzma hi NCit-_3.129a
   dīrdhau sūkṣrmau ca sundarau NCit_3.92b	dIrDO sUkzrmO ca sundarO NCit-_3.92b
   duḥkhitāṃ sakalāṃ pṛthvīṃ NCit_1.47a	duHKitAm sakalAm pRTvIm NCit-_1.47a
   dṛśyavannāṭakasyeva NCit_3.123c	dRSya-vat-nAwakasya-iva NCit-_3.123c
   dṛṣṭo 'sau viśvakarmā ca NCit_1.98a	dRzwaH asO viSvakarmA ca NCit-_1.98a
   dṛṣṭvā taṃ tu parājitam NCit_1.44b	dRzwvA tam tu parAjitam NCit-_1.44b
   dṛsṭvā brahmā tathā suraiḥ NCit_1.47b	dRswvA brahmA taTA surEH NCit-_1.47b
   dediṣyate ca deho 'sya NCit_3.119c	dedizyate ca dehaH asya NCit-_3.119c
   devatānāñca viprāṇāṃ NCit_1.64a	devatA-anAQca viprANAm NCit-_1.64a
   devabhūtamanuṣyāṇāṃ NCit_3.116a	deva-BUta-manuzyANAm NCit-_3.116a
   devamukhe na dīyate NCit_3.104d	deva-muKe na dIyate NCit-_3.104d
   devarākṣasagandharva NCit_3.2a	deva-rAkzasa-ganDarva NCit-_3.2a
   devavipravirodhināṃ NCit_1.67a	deva-vipra-viroDinAm NCit-_1.67a
   devāllokapitāmahāt NCit_1.15d	devAt-loka-pitAmahAt NCit-_1.15d
   devāstrairapi durjayaḥ NCit_1.16b	deva-astrEH-api durjayaH NCit-_1.16b
   devāḥ prasannamānasāḥ NCit_2.18b	devAH prasanna-mAnasAH NCit-_2.18b
   devena padmayoninā NCit_1.103b	devena padmayoninA NCit-_1.103b
   devaiścitraṃ vivarddhitaṃ NCit_1.106c	devEH-citram vivardDitam NCit-_1.106c
   deśasturandhrayormadhye NCit_3.35a	deSaH-tu-ranDrayoH-maDye NCit-_3.35a
   deśe 'kālamṛtiyataḥ NCit_1.20d	deSe akAla-mRti-yataH NCit-_1.20d
   dehi dehi sutaṃ deva NCit_1.36c	dehi dehi sutam deva NCit-_1.36c
   dehi svāmin kṛpānvitaḥ NCit_1.23d	dehi svAmin kRpA-anvitaH NCit-_1.23d
   dehe jaṅghopajaṅghā ca NCit_3.140a	dehe jaFGA-upajaFGA ca NCit-_3.140a
   deho mānānvito bhavet NCit_3.141d	dehaH mAna-anvitaH Bavet NCit-_3.141d
   dehyasmai putramuttamam NCit_1.35d	dehi-asmE putram-uttamam NCit-_1.35d
   daighrye tvaṣṭāṅgulo jñeyo NCit_3.48e	dEGrye tu-azwA-aFgulaH jQeyaH NCit-_3.48e
   daurmanasyaṃ yamo gataḥ NCit_1.58d	dOrmanasyam yamaH gataH NCit-_1.58d
   dvātriṃśat tasya maṇdalam NCit_3.14c	dvAtriMSat tasya maNdalam NCit-_3.14c
   dvādaśāṅgulimānakaḥ NCit_3.12f	dvAdaSa-aFguli-mAnakaH NCit-_3.12f
   dvādaśeṣu sahasreṣu NCit_3.154c	dvAdaSezu sahasrezu NCit-_3.154c
   dvijaputraṃ mahopatiḥ NCit_1.54d	dvija-putram mahopatiH NCit-_1.54d
   dvijaputro balīyasā NCit_1.33d	dvija-putraH balIyasA NCit-_1.33d
   dviyavaparimāṇakaḥ NCit_3.35b	dvi-yava-parimANakaH NCit-_3.35b
   dveṣagrastebhya eva ca NCit_2.14b	dveza-grasteByaH eva ca NCit-_2.14b
   dveṣiṇo 'pi budhāḥ svargād NCit_1.62a	dveziNaH api buDAH svargAt NCit-_1.62a
   dvau yavau caturaṃguliḥ NCit_3.17d	dvO yavO catur-aMguliH NCit-_3.17d
   dvyaṅgulaḥ sādhuniścitaḥ NCit_3.65d	dvi-aFgulaH sADu-niScitaH NCit-_3.65d
   dvyaṅguliparimāṇakaḥ NCit_3.15b	dvi-aFguli-parimANakaH NCit-_3.15b
   dvyaṅguliparimāṇakaḥ NCit_3.33d	dvi-aFguli-parimANakaH NCit-_3.33d
   dvyaṅgulordvyaṅgulaṃ mānam NCit_3.6a	dvi-aFguloH-dvi-aFgulam mAnam NCit-_3.6a
   dvyaṅgulau hyakṣikoṣaḥ syān NCit_3.21c	dvi-aFgulO hi-akzi-kozaH syAt NCit-_3.21c
