   oṃ namo bhāratyai ||	om namaH BAratyE ||
   tribhuvanavijayapariśramakhinnasya makaraketor vijanavāsagṛhābhyām	triBuvana-vijaya-pariSrama-Kinnasya makara-ketoH vijana-vAsa-gRhAByAm
   udbhāsamānāṃ stanabhyāṃ, mukhacandrasaṃtatasaṃnihitasandhyārāgeṇa,	udBAsamAnAm stanaByAM, muKa-candra-saMtata-saMnihita-sanDyA-rAgeNa,
   dantamaṇirakṣāsinduramudrānukāriṇā, niḥsaratā hṛdayānurāgeṇeva rañjitena,	danta-maNi-rakzA-sindura-mudrA-anukAriNA, niHsaratA hRdaya-anurAgeNa-iva raQjitena,
   rāgasāgaravidrumaśakalenevādharapallavenopaśobhamānāṃ,	rAga-sAgara-vidruma-Sakalena-iva-aDara-pallavena-upaSoBamAnAM,
   taruṇaketakadaladrāghīyasā pakṣmalacaṭulālasena hṛdayāvāsagṛhāvasthitasya	taruNa-ketaka-dala-drAGIyasA pakzmala-cawu-lAlasena hRdaya-AvAsa-gRha-avasTitasya
   hṛcchayavilāsino gavākṣaśaṅkām upajanayatā, sarāgeṇāpi nirvāṇaṃ janayatā,	hRd-Caya-vilAsinaH gavAkza-SaFkAm upajanayatA, sa-rAgeNa-api nirvANam janayatA,
   gatiprasararodhakaśravaṇakṛtakopenevopāntalohitena dhavalayateva	gati-prasara-roDaka-SravaNa-kRta-kopena-iva-upAnta-lohitena DavalayatA-iva
   jagadaśeṣaṃ, utphullakamalakānanasanātham iva gaganaṃ kurvatā,	jagat-aSezan, utPulla-kamala-kAnana-sanATam iva gaganam kurvatA,
   dugdhāmbhonidhisahasrāṇīvodvamatā, kundalīlotpalamālatīmālālakṣmīm	dugDa-amBaH-niDi-sahasrANi-iva-udvamatA, kunda-lIla-utpala-mAlatI-mAlA-lakzmIm
   upahasatā nayanayugalena vibhūṣitāṃ, daśanaratnatulādaṇḍena	upahasatA nayana-yugalena viBUzitAn, daSana-ratna-tulA-daNxena
   nayanasetusamuddhatabandhena yauvanamanmathavāraṇavaraṇḍakeneva	nayana-setu-samudData-banDena yOvana-manmaTa-vAraNa-varaNxakena-iva
   nāsāvaṃśena pariṣkṛtā, vilocanakuvalayabhramarapaṅktibhyāṃ	nAsA-=-aMSena parizkRtA, vilocana-kuvalaya-Bramara-paFktiByAm
   mukhamadanamandiratoraṇābhyāṃ, rāgasāgaraveṇikābhyāṃ,	muKa-madana-mandira-toraNAByAn, rAga-sAgara-veNikAByAM,
   yauvananartakalāsikābhyāṃ bhrūlatābhyāṃ virājitāṃ, ghanasamayākāśalakṣmīm	yOvana-nartaka-lAsikAByAm BrU-latAByAm virAjitAn, Gana-samaya-AkASa-lakzmIm
   ivollasaccārupayodharāṃ, jayaghoṣaṇāpannajanatām	iva-ullasat-cAru-payoDarAn, jaya-GozaNa-Apanna-janatAm
   ivollasattulākoṭipratiṣṭhitāṃ, suyodhanadhṛtim iva karṇaviśrāntalocanāṃ,	iva-ullasat-tulA-kowi-pratizWitAM, suyoDana-DRtim iva karNa-viSrAnta-locanAM,
   vāmanalīlām iva darśitavalibhaṅgāṃ, vṛścikaravisthitim	vAmana-lIlAm iva darSita-vali-BaFgAM, vRScikara-visTitim
   ivātikrāntakanyātulāṃ, uṣām ivāniruddhadarśanasukhāṃ, śacīm iva	iva-atikrAnta-kanyA-tulAM, uzAm iva-anirudDa-darSana-suKAM, SacIm iva
   vandanekṣaṇaruciṃ, paśupatitāṇḍavalīlām ivollasaccakṣuḥśravasaṃ, aṭavīm	vandana-IkzaNa-ruciM, paSupati-tANxava-lIlAm iva-ullasat-cakzuH-Srava-saM, awavIm
   ivottuṅgaśyāmalakucāṃ, vānarasenām iva sugrīvāṅgaśobhitāṃ, śanaiś careṇa	iva-uttuFga-SyAma-lakucAM, vAnara-senAm iva sugrIva-aFga-SoBitAn, SanEs careNa
   pādena saumyena darśanena guruṇā nitambena, lohitenādhareṇa vikacena	pAdena sOmyena darSanena guruNA nitambena, lohitena-aDareNa vikacena
   vilocanena bhāsvatālaṅkāreṇa, grahamayīm iva saṃsārabhitticitralekhām iva	vilocanena BAsvata-alaFkAreNa, graha-mayIm iva saMsAra-Bitti-citra-leKAm iva
   trailokyasaundaryasaṅketabhūmim iva rasāñjanasiddhim iva yauvanasya,	trElokya-sOndarya-saFketa-BUmim iva rasAQjana-sidDim iva yOvanasya,
   saṃkalpavṛttim iva śṛṅgārasya, nidhānam iva kautukasya, vijayapatākām iva	saMkalpa-vRttim iva SRFgArasya, niDAnam iva kOtukasya, vijaya-patAkAm iva
   makaradhvajasya, abhibhūtim iva madanakāntābhyāḥ, saṅketabhūmim iva	makaraDvajasya, aBiBUtim iva madana-kAntAByAH, saFketa-BUmim iva
   lāvaṇyasya, staṃbhanacūrṇam ivendriyāṇāṃ, mohanaśaktim iva manmathasya,	lAvaNyasya, staMBana-cUrNam iva-indriyANAn, mohana-Saktim iva manmaTasya,
   vihārasthalīm iva saundaryasya, ekāyatanaśālām iva saubhāgyasya,	vihAra-sTalIm iva sOndaryasya, eka-Ayatana-SAlAm iva sOBAgyasya,
   utpattisthānam iva kānteḥ, [ākarṣaṇamantrasiddhi]m iva manasaḥ,	utpatti-sTAnam iva kAnteH, [a-AkarzaNa-mantra-sidDi]m iva manasaH,
   cakṣurbandhanamahauṣadhim iva manmathendrajālinaḥ,	cakzuH-banDana-mahOzaDim iva manmaTa-indrajAlinaH,
   tribhuvanavilocanamṛṣṭim iva prajāpateḥ kanyakām aṣṭādaśavarṣadeśīyām	triBuvana-vilocanam-Rzwim iva prajApateH kanyakAm azwAdaSa-varza-deSIyAm
   apaśyat svapne |	apaSyat svapne |
   6) atha tāṃ prītivistāritena pibann iva cakṣuṣā, janiterṣyayeva nidrayā	6) aTa tAm prIti-vistAritena piban iva cakzuzA, janita-IrzyayA-iva nidrayA
   cirasevitayā mumuce | vibuddhas tu viṣasarasīva durjanavacasīva nimagnam	cira-sevitayA mumuce | vibudDaH tu viza-sarasi-iva durjana-vacasi-iva nimagnam
   ātmānam avadhārayituṃ na śaśāka | tathā hi kṣaṇam ākāśatalāliṅganārthaṃ	AtmAnam avaDArayitum na SaSAkaH | taTA hi kzaNam AkASa-tala-AliFgana-arTam
   prasāritabāhuyugalaḥ "ehy ehi priyatame, mā gaccha mā gaccheti" dikṣu	prasArita-bAhu-yugalaH "ehi ehi priyatame, mA gacCa mA gacCa-iti" dikzu
   vidikṣu ca vilikhitām ivotkīrṇām iva cakṣuṣi nikhātām iva hṛdaye priyām	vidikzu ca viliKitAm iva-utkIrNAm iva cakzuzi niKAtAm iva hRdaye priyAm
   ājuhāva | tatas tatraiva śayyātale nilīno niṣiddhāśeṣaparijanadarśano	AjuhAva | tatas tatra-eva SayyA-tale nilInaH nizidDa-aSeza-parijana-darSanaH-
   dattakapāṭaḥ parihṛtatāmbūlāhārādisakalopabhogas taṃ divasam anayat |	dattakapAwaH parihRta-tAmbUla-AhAra-Adi-sakala-upaBogaH tam divasam anayat |
   tathāiva niśām api svapnasamāgamecchābhir anaiṣīt |	taTA-aiva niSAm api svapna-samAgama-icCABiH anEzIt |
   7) atha tasya priyasakho Makarando nāma katham api labdhapraveśaḥ	7) aTa tasya priya-saKaH MakarandaH nAma kaTam api labDa-praveSaH
   kandarpasāyakaprahāravivaśaṃ Kandarpaketum uvāca | "sakhe, kim idam	kandarpa-sAyaka-prahAra-vivaSam Kandarpa-ketum uvAca | "saKe, kim idam
   asāmpratam asādhujanocitacaritam āśrito 'si? tavaitad ālokya [caritaṃ]	asAmpratam asADu-jana-ucita-caritam ASritaH asi? tava-etat Alokya [caritaM]
   vitarkadolāsu nivasanti santaḥ | khalā(ḥ) punas tat tad aniṣṭam anucitam	vitarka-dolAsu nivasanti santaH | KalA(H) punar tat tat anizwam anucitam
   evāvadhārayanti | aniṣṭodbhāvanarasāntaraṃ khalahṛdayaṃ bhavati | ko	eva-avaDArayanti | anizwa-udBAvana-rasa-antaram Kala-hRdayam Bavati | kaH-
   nāmāsya tattvanirūpaṇe samarthaḥ | tathā hi bhīmo 'pi na bakadveṣī,	nAma-asya tattva-nirUpaNe samarTaH | taTA hi BImaH api na baka-dvezI,
   āśrayāśo 'pi mātariśvā, atikaṭur api mahārasaḥ, sarṣapasneha iva	ASraya-ASaH api mAtariSvA, ati-kawuH api mahArasaH, sarzapa-snehaH iva
   karayugalālito 'pi śirasā dhṛto 'pi na kāṭavaṃ jahāti | tālaphalarasa	kara-yuga-lAlitaH api SirasA DRtaH api na kAwavam jahAti | tAla-Pala-rasa
   ivāpātamadhuraḥ pariṇāmavirasas tiktaś ca | pādaparāga ivādhūto 'pi	iva-ApAta-maDuraH pariNAma-virasaH tiktaH ca | pAdapa-rAgaH iva-ADUtaH api
   mūrdhānāṃ kaṣāyayati | viṣataruprasava iva yathā yathānubhūyate tathā	mUrDAnAm kazAyayati | vizataru-prasavaH iva yaTA yaTA-anuBUyate taTA
   tathā moham eva draḍhayati | na vāriviraho 'sya jāyate nīcadeśasyeva |	taTA moham eva draXayati | na vAri-virahaH asya jAyate nIca-deSasya-iva |
   nidāghadivasa iva matsaro vahati saṃtāpaṃ sumanasām | andhakāra iva	nidAGa-divasaH iva matsaraH vahati saMtApam sumanasAm | anDakAraH iva
   doṣānubandhacaturaḥ viśvakarmāvalopanodyataḥ | virūpākṣo 'pi cakradharaḥ,	doza-anubanDa-caturaH viSvakarma-avalopana-udyataH | virUpAkzaH api cakraDaraH,
   śakraś ca ivoccaiḥśravāḥ nadeśajapraśaṃsī ca | śarasyeva nirbhinnasyāpi	SakraH ca iva-uccEHSravAH nadeSa-ja-praSaMsI ca | Sarasya-iva nirBinnasya-api
   sataḥ snehaṃ darśayati | takrāṭa iva hṛdayaṃ viloḍayati | yakṣabalir	sataH sneham darSayati | takrAwaH iva hRdayam viloxayati | yakza-baliH-
   ivātmaghoṣamukharo maṇḍalabhramaṇakathakaś ca | mattamātaṅga iva	iva-Atma-Goza-muKaraH maNxala-BramaNa-kaTakaH ca | matta-mAtaFgaH iva
   svavaśālolamukho 'dharīkṛtadānaś ca | vṛṣabha iva surabhiyānavikalaḥ	sva-vaSa-Alola-muKaH aDarIkRta-dAnaH ca | vRzaBaH iva suraBi-yAna-vikalaH
   kāmīva gotraskhalanavidhuro vāmādhvānuraktaś ca | ajīrṇavikāra iva	kAmI-iva gotra-sKalana-viDuraH vAma-aDva-anuraktaH ca | ajIrNa-vikAraH iva
   kalevare 'pi vacasi mandimānam āvahati | vañcaka iva raktaḥ kaṭukaphalena	kalevare api vacasi mandimAnam Avahati | vaQcakaH iva raktaH kawuka-Palena
   vibhāvarīraktaś ca | pareta iva bandhutāpadarśanaḥ | paraśur iva	viBAvarI-raktaH ca | paretaH iva banDu-tApa-darSanaH | paraSuH iva
   bhadraśriyam api khaṇḍayati | kuddāla iva dalitagotraḥ kṣamābhājaḥ prāṇino	BadraSriyam api KaNxayati | kuddAlaH iva dalita-gotraH kzamA-BAjaH prANinaH-
   nikṛntati | ratakīla iva jaghanyakarmalagno 'pi hrepayati sādhūn |	nikRntati | rata-kIlaH iva jaGanya-karma-lagnaH api hrepayati sADUn |
   duṣṭaśūrpaśrutir iva kānanarucir anugatam api yavasaṃ tataṃ nānumodate |	duzwa-SUrpa-SrutiH iva kAnana-ruciH anugatam api yavasam tatam na-anumodate |
   abījād eva jāyante 'kāṇḍāt prasaranti khalavyasanāṅkurāḥ durucchedāś ca	abIjAt eva jAyante akANxAt prasaranti Kala-vyasana-aFkurAH durucCedAH ca
   bhavanti | asatāṃ hṛdi praviṣṭo hi doṣalavaḥ karālāyate, satāṃ na viśaty	Bavanti | asatAm hRdi pravizwaH hi doza-lavaH karAla-Ayate, satAm na viSati-
   eva hṛdayam, bhūyo yadi katham api viśati tadā pārada iva kṣaṇamātraṃ na	eva hRdayam, BUyas yadi kaTam api viSati tadA pAradaH iva kzaNa-mAtram na
   tiṣṭhati | mṛgā iva [vinoda]bindoḥ śramagāḥ bhavanti sādhavaḥ | sukhaṃ	tizWati | mRgAH iva [vinoda]-bindoH SramagAH Bavanti sADavaH | suKam
   janā hi bhavādṛśāḥ śaratsamayā iva haranti na ca mitrasya sacetanā	janAH hi BavAdRSAH Sarad-samayAH iva haranti na ca mitrasya sa-cetanA
   visadṛśam upadiśanti | acetanānām api maitrī samucitapakṣanikṣiptā |	visadRSam upadiSanti | acetanAnAm api mEtrI samucita-pakza-nikziptA |
   [tathā hi] mādhuryaśaityaśucitvatāpaśāntibhiḥ payaḥ paya iti nimittatām	[taTA hi] mADurya-SEtya-Suci-tva-tApa-SAntiBiH payaH payaH iti nimitta-tAm
   upagatasya dugdhasya matsamāgamād vardhitasya kvāthe puro mamaiva kṣayo	upagatasya dugDasya mad-samAgamAt varDitasya kvATe puras mama-eva kzayaH-
   yukta iti vicintyeva vāriṇāpi kṣīyate | tad idam asāṃpratam ācaritam |	yuktaH iti vicintya-iva vAriNA-api kzIyate | tat idam asAMpratam Acaritam |
   sakhe gṛhāṇa sādhujanocitam adhvānam | sādhavo hi mohāt param	saKe gRhANa sADu-jana-ucitam aDvAnam | sADavaH hi mohAt param
   utpathapravṛttā bhavantītyādi" vadati tasmin katham api	utpaTa-pravRttAH Bavanti-ityAdi" vadati tasmin kaTam api
   smaraprahāraparavaśaḥ parimitākṣaram uvāca [Kandarpaketuḥ] | "vayasya,	smara-prahAra-paravaSaH parimita-akzaram uvAca [KandarpaketuH] | "vayasya,
   ditir iva śatamanyusamākulā bhavati sajjanacittavṛttiḥ | nāyam	ditiH iva Sata-manyu-samAkulA Bavati sat-jana-citta-vRttiH | na-ayam
   upadeśakālaḥ | pacyanta ivāṅgāni kvathyanta ivendriyāṇi | bhidyanta iva	upadeSa-kAlaH | pacyante iva-aFgAni kvaTyantaH iva-indriyANi | BidyantaH iva
   marmāṇi | niḥsarantīva prāṇāḥ | unmūlyanta iva vivekāḥ | naṣṭeva smṛtiḥ |	marmANi | niHsaranti-iva prANAH | unmUlyante iva vivekAH | nazwA-iva smRtiH |
   tad adhunā yadi tvaṃ sahapāṃsukṛīḍitasamaduḥkhasukho 'si tadā mām	tat aDunA yadi tvam saha-pAMsu-kRIxita-sama-duHKa-suKaH asi tadA mAm
   anugacchety" uktvā parijanālakṣitas tena sahaiva purān nirjagāma |	anugacCa-ity" uktvA parijana-AlakzitaH tena saha-eva purAt nirjagAma |
   8) anantaraṃ katipayanalvaśatam adhvānaṃ	8) anantaram katipayanalva-Satam aDvAnam
   gatvāgastyavacanasamāhṛtabrahmāṇḍagataśikharasahasraḥ,	gatvA-agastya-vacana-samAhRta-brahmANxa-gata-SiKara-sahasraH,
   kandarāntaralatāgṛhasukhaprasuptavidyādharamithunagītākarṇanasukhitacamarīgaṇamāraṇotsukitaśabaraśatasaṃbādhakakṣataṭaḥ,	kandara-antara-latA-gRha-suKa-prasupta-vidyADara-miTuna-gIta-AkarNana-suKita-camarI-gaNa-mAraNa-utsukita-Sabara-Sata-saMbADa-kakza-tawaH,
   kaṭakakarikarākṛṣṭabhagnasyandamānaharicandanāmodavāhigandhavāhasurabhitaśilātalaḥ,	kawaka-kari-kara-AkRzwa-Bagna-syandamAna-haricandana-Amoda-vAhi-ganDa-vAha-suraBita-SilA-talaH,
   sudūrapatanabhagnatālaphalarasārdrakaratalāsvādasotsukaśākhāmṛgakadambakaḥ,	su-dUra-patana-Bagna-tAla-Pala-rasa-Ardra-kara-tala-AsvAda-sa-utsuka-SAKAmRga-kadambakaH,
   pralambamānanirjharavarasavidhopaviṣṭajīvaṃjīvakamithunalihyamānavividhaphalarasāmodasurabhitaparisaraḥ,	pralambamAna-nirJara-vara-saviDa-upavizwa-jIvaMjIvaka-miTuna-lihyamAna-viviDa-Pala-rasa-Amoda-suraBita-parisaraH,
   sarabhasakesarisahasrakharanakharadhārāvidāritamattamātaṅgakumbhasthalagalitamuktāphalaśabalaśikharatayā	saraBasa-kesari-sahasra-Kara-naKara-DArA-vidArita-matta-mAtaFga-kumBa-sTala-galita-muktAPala-Sabala-SiKara-tayA
   śirolagnaṃ tārāgaṇam ivodvahan, sugrīva iva	SiraH-lagnam tArA-gaNam iva-udvahan, sugrIvaH iva
   ṛkṣagavayaśarabhakesarikumudasevyamānapādacchāyaḥ, paśupatir iva	Rkza-gavaya-SaraBakesari-kumuda-sevyamAna-pAda=-CAyaH, paSupatiH iva
   nāganiḥśvāsasamutkṣiptabhūtiḥ, janārdana iva vicitravanamālaḥ,	nAga-niHSvAsa-samutkzipta-BUtiH, janArdanaH iva vicitra-vanamAlaH,
   sahasrakiraṇa iva saptapatrasyandanopetaḥ, virūpākṣa iva sannihitaguhaḥ	sahasra-kiraNaH iva sapta-patra-syandana-upetaH, virUpAkzaH iva sannihita-guhaH
   śivānugataś ca, kāmīva kāntāroṣarasānugataḥ samadanaś ca, śrīparvataḥ iva	Siva-anugataH ca, kAmI-iva kAntA-roza-rasa-anugataH sa-madanaH ca, SrIparvataH iva
   sannihitamallikārjunaḥ, naravāhanadatta iva priyaṅguśyāmāsanāthaḥ, śiśur	sannihita-mallikA-arjunaH, naravAhanadattaH iva priyaFgu-SyAmAsanATaH, SiSuH-
   iva kṛtadhātrīdhṛtiḥ, vāsarārambha ivāruṇaprabhāpāṭalitapatravanarājiḥ,	iva kRta-DAtrI-DRtiH, vAsara-AramBaH iva-aruNa-praBA-pAwalita-patra-vana-rAjiH,
   kṛṣṇapakṣa iva bahulatāgahanaḥ, karṇa ivānubhūtaśatakoṭidānaḥ, bhīṣma iva	kRzNa-pakzaH iva bahu-latA-gahanaH, karNaH iva-anuBUta-Sata-kowi-dAnaH, BIzmaH iva
   śikhaṇḍimuktair ardhacandrai rācitaḥ, kāmasūtravinyāsa iva	SiKaNxi-muktEH arDacandrEH rAcitaH, kAmasUtra-vinyAsaH iva
   mallanāgaghaṭitakāntārasāmoditaḥ, hiraṇyakaśipur iva śambarakulāśrayaḥ,	malla-nAga-Gawita-kAntAra-sAma-uditaH, hiraNyakaSipuH iva Sambara-kula-ASrayaH,
   gairikarāgavyājād upariravirathamārgamārgaṇārtham ivāruṇenopāsyamānaḥ,	gErika-rAga-vyAjAt upari-ravi-raTa-mArga-mArgaNa-arTam iva-aruNena-upAsyamAnaH,
   śikharagatasūryācandramastayā vistāritavilocano 'gastyamārgam	SiKara-gata-sUryAcandramaH-tayA vistArita-vilocanaH agastya-mArgam
   ivodvīkṣamāṇaḥ, srastāntranāla iva jaradajagarabhogaiḥ, kumbhakarṇa iva	iva-udvIkzamANaH, srasta-antra-nAlaH iva jarada-jagara-BogEH, kumBakarNaH iva
   dantāntarālagatavānaravyūhaḥ,	danta-antarAla-gata-vAnara-vyUhaH,
   piṇḍālaktakāṅkitapadapaṅktisūcitasañcaritaśacīpativāravilāsinīsaṅketaketakīmaṇḍapaḥ,	piNxa-alaktaka-aFkita-pada-paFkti-sUcita-saQcarita-SacIpati-vAra-vilAsinI-saFketaketakI-maNxapaH,
   akulīno 'pi sadvaṃśabhūṣitaḥ, darśitābhayo 'pi mṛtyuphaladāyī, saprastho	akulInaH api sat-vaMSa-BUzitaH, darSita-aBayaH api mRtyu-Pala-dAyI, sa-prasTaH-
   'py aparimāṇaḥ, sanado 'pi niḥśabdaḥ, bhīmo 'pi kīcakasuhṛt, pihitāmbaro	api aparimANaH, sanadaH api niHSabdaH, BImaH api kIcaka-suhRt, pihita-ambaraH-
   'py ullasadaṃśuko Vindhyo nāma mahāgirir adṛśyata |	api ullasa-daMSukaH VinDyaH nAma mahA-giriH adRSyata |
   9) yaś ca pravṛddhagulmatayaiveha dṛśyamānabahudhātuvikāraḥ, sādhur iva	9) yaH ca pravRdDa-gulma-tayA-eva-iha dRSyamAna-bahu-DAtu-vikAraH, sADuH iva
   sānugrahapracāraprakaṭitamahimā, mīmāṃsānyāya iva pihitadigambaradarśanaḥ	sa-anugraha-pracAra-prakawita-mahimA, mImAMsA-nyAyaH iva pihita-digambara-darSanaH
   | yaś ca harivaṃśair iva puṣkaraprādurbhāvaramaṇīyaiḥ, rāśibhir iva	| yaH ca hari-vaMSEH iva puzkara-prAdurBAva-ramaNIyEH, rASiBiH iva
   mīnamithunakulīrasaṅgataiḥ, karaṇair iva śakunināgabhadrabālabakulopetaiḥ	mIna-miTuna-kulIra-saFgatEH, karaNEH iva Sakuni-nAga-Badra-bAla-bakula-upetEH
   khātakair upaśobhitopāntaḥ | yaś ca kusumavicitrābhiḥ,	KAtakEH upaSoBita-upAntaH | yaH ca kusuma-vicitrABiH,
   vaṃśapatrapatitābhiḥ, sukumāralalitābhiḥ puṣpitāgrābhiḥ śikhariṇībhiḥ	vaMSa-patra-patitABiH, sukumAra-lalitABiH puzpita-agrABiH SiKariNIBiH
   praharṣiṇībhir latābhir darśitānekavṛttavilāsaḥ | yaś ca	praharziNIBiH latABiH darSita-aneka-vRtta-vilAsaH | yaH ca
   samadakalahaṃsasārasarasitodbhrāntabhākūṭavikaṭapucchakacchavyādhūtavikacakamalakhaṇḍavigalitamakarandabindusandohasurabhitasalilayā,	samada-kalahaMsa-sArasa-rasita-udBrAnta-BAkUwa-vikawa-pucCa-kacCa-vyADUta-vikaca-kamala-KaNxa-vigalita-makaranda-bindu-sandoha-suraBita-salilayA,
   sāyantanasamayonmajjadrājasundarinābhimaṇḍalanipītasalilayā,	sAyantana-samaya-unmajjat-rAja-sundari-nABi-maNxala-nipIta-salilayA,
   madamukhararājahaṃsakulakolāhalamukharitakūlapulinayā,	mada-muKara-rAjahaMsa-kula-kolAhala-muKarita-kUla-pulinayA,
   taṭanikaṭamattamātaṅgagaṇḍapiṇḍanirgatamadadhārāstabakitasalilayā,	tawa-nikawa-matta-mAtaFga-gaNxa-piNxa-nirgata-mada-DArA-astabakita-salilayA,
   tīraprarūḍhaketakīkānananipatitadhūlīnikurumbajātasaikatasukhopaviṣṭataruṇasuramithunanidhuvanalīlāparimalasākṣikūlopavanayā,	tIra-prarUXa-ketakI-kAnana-nipatita-DUlI-nikurumba-jAta-sEkata-suKa-upavizwa-taruNa-sura-miTuna-niDuvana-lIlA-parimala-sAkzi-kUla-upavanayA,
   taṭāvaṭanikaṭanipatitajambūkhaṇḍamaṇḍapāvasthitajaladevatāvagāhyamānapayasā,	tawa-avawa-nikawa-nipatita-jambU-KaNxa-maNxapa-avasTita-jala-devatA-avagAhyamAna-payasA,
   tīraprarūḍhavetasalatābhyantaranilīnadātyūhavyūhamadakalakuhakuhārāvakautukākṛṣṭasuramithunasaṃskriyamāṇopabhogayā,	tIra-prarUXa-vetasa-latA-aByantara-nilIna-dAtyUha-vyUha-mada-kala-kuha-kuha-ArAva-kOtuka-AkRzwa-sura-miTuna-saMskriyamANa-upaBogayA,
   upakūlasañjātakulālakukkuṭaghaṭāghūtkāratīrayā,	upakUla-saQjAta-kulAla-kukkuwa-GawAGu-utkAra-tIrayA,
   jalamānuṣamṛditasukumārapulinayā, upavanavātāndolitataralataraṅgayā,	jala-mAnuza-mRdita-sukumAra-pulinayA, upavana-vAta-andolita-tarala-taraFgayA,
   nalanikuñjapuñjaniviṣṭabakoṭakakuṭumbinīnirīkṣyamāṇārddhaśapharayā,	nala-nikuQja-puQja-nivizwa-bakowaka-kuwumbinI-nirIkzyamANa-ardDa-SaParayA,
   potādhānalubdhakakoyaṣṭikaskabhanabhīmavetasavanayā,	pota-ADAna-lubDaka-koyazwika-skaBana-BIma-vetasa-vanayA,
   taraṅgamālāsantaraduddaṇḍapāladarśanadhāvadaticapalarājilarājirājitopakūlasalilayā,	taraFga-mAlA-santara-duddaNxapAla-darSana-DAvat-ati-capala-rAjila-rAji-rAjita-upakUla-salilayA,
   khañjarīṭakaṇāṭīnamithunamaithunopajātanidhigrahaṇakautukakirātaśatakhanyamānatīrayā,	KaQjarIwa-kaNA-AwIna-miTuna-mETuna-upajAta-niDi-grahaNa-kOtuka-kirAta-Sata-KanyamAna-tIrayA,
   kruddhayeva darśitamukhbhaṅgayā, mattayeva skhaladgatyā,	krudDayA-iva darSita-muKBaFgayA, mattayA-iva sKalat-gatyA,
   dinārambhalakṣmyeva vardhamānavelayā, bhāratasamarabhūmyeva	dina-AramBa-lakzmyA-iva varDamAna-velayA, BArata-samara-BUmi-eva
   nṛtyatkabandhayā, prāvṛṣeva vijṛmbhamāṇaśatapatrapihitaviṣadharayā,	nRtyat-kabanDayA, prAvRzA-iva vijRmBamANa-Satapatra-pihita-viza-DarayA,
   dhanakāmayeva kṛtabhūbhṛtsevayā revayā priyatamayeva	Dana-kAmayA-iva kRta-BUBRt-sevayA revayA priyatamayA-iva
   prasāritavīcihastopagūḍhaḥ | yaś ca	prasArita-vIci-hasta-upagUXaH | yaH ca
        harikharanakharavidāritakumbhasthalavikalavāraṇadhvānaiḥ /	hari-Kara-naKara-vidArita-kumBa-sTala-vikala-vAraNa-DvAnEH /
        adyāpi kumbhasambhavam āhvayatīvoccatālabhujaḥ // SuVas_14 //	adya-api kumBasamBavam Ahvayati-iva-ucca-tAla-BujaH // SuVaH-_14 //
   tato Makarandas tam uvāca:	tatas MakarandaH tam uvAca:
        paśyodañcadavāñcadañcitavapuḥpaścārdhapūrvārdhabhāk	paSya-udaQcada-vAQca-daQcita-vapuH-paSca-arDa-pUrva-arDa-BAj-
   stabdhottānitapṛṣṭhaniṣṭhitamanāgbhugnāgralāṅgūlabhṛt /	stabDa-uttAnita-pRzWa-nizWita-manAk-Bugna-agra-lAFgUla-BRt /
        daṃṣṭrākoṭivisaṅkaṭāsyakuharaḥ kurvan saṭām utkaṭām utkarṇaḥ kurute	daMzwrA-kowi-visaFkawa-Asya-kuharaH kurvan sawAm utkawAm utkarNaH kurute
   kramaṃ karipatau krūrākṛtiḥ kesarī // SuVas_15 //	kramam karipatO krUra-AkRtiH kesarI // SuVaH-_15 //
   api ca	api ca
        utkarṇo 'yam akāṇḍacaṇḍimakuṭaḥ sphāratsphuratkesaraḥ	utkarNaH ayam akANxa-caNximakuwaH sPArat-sPurat-kesaraH
   krūrākārakarālakāyavikaṭaḥ stabdhordhvalāṅgūlabhṛt /	krUra-AkAra-karAla-kAya-vikawaH stabDa-UrDva-lAFgUla-BRt /
        citreṇāpi na śakyate vilikhituṃ sarvāṅgasaṅkocabhāk	citreNa-api na Sakyate viliKitum sarva-aFga-saFkoca-BAj-
   cītkurvadgirikuñjakuñjaraśiraḥ kumbhasthalastho hariḥ // SuVas_16 //	cItkurvat-giri-kuQja-kuQjara-SiraH kumBasTala-sTaH hariH // SuVaH-_16 //
   10) anantaraṃ ca nīcadeśanadyeva nyagrodhopacitayā,	10) anantaram ca nIca-deSa-nadI-eva nyagroDa-upacitayA,
   uttaragograhaṇasamarabhūmyeva vijṛmbhitabṛhannalayā,	uttara-go-grahaNa-samara-BUmi-eva vijRmBita-bRhat-nalayA,
   marudeśaṭakkayātrayeva ghanasārasārthavāhinyā, vidagdhamadhugoṣṭhyeva	maru-deSa-wakka-yAtrayA-iva Gana-sAra-sa-arTavAhinyA, vidagDa-maDugozWI-eva
   nānāviṭapītāsavayā, nalakūbaracittavṛttyeva satatadhṛtarambhayā,	nAnA-viwa-pItA-savayA, nalakUbara-citta-vRttyA-iva satata-DRta-ramBayA,
   mattamātaṅgagatyeva ghaṇṭāravaviditamārgayā, sadīśvarasevayeva	matta-mAtaFga-gati-eva GaNwA-rava-vidita-mArgayA, sat-ISvara-sevayA-iva
   dūrodgatabahuphalayā, virāṭalakṣmyeva ānanditakīcakaśatayā Vindhyāṭavyā	dUra-udgata-bahu-PalayA, virAwa-lakzmI-eva Anandita-kIcaka-SatayA VinDya-awavyA
   katipayapadaṃ gatvā, kāmina iva madanaśalākāṅkitasya, vikartanasyeva	katipaya-padam gatvA, kAminaH iva madana-SalAkA-aFkitasya, vikartanasya-iva
