   caturthaḥ paricchedaḥ	caturTaH paricCedaH
        tathā hyatra svādharanirdaṃśanaṃ kāraṇabhūtaṃ vairistrīṇām oṣṭānāṃ ca	taTA hi-atra svADara-nirdaMSanam kAraNa-BUtam vEri-strINAm ozwAnAm ca
   kāntadantakṣatamocanaṃ kāryabhūtaṃ samakālatayā nirdiṣṭam /	kAnta-danta-kzata-mocanam kArya-BUtam sama-kAla-tayA nirdizwam /
        kiñcātra nirddaṃśanarūpakarapiśāco mamādharaṃ valirūpaṃ	kiQca-atra nirddaMSana-rUpakara-piSAcaH mama-aDaram vali-rUpam
   prāpyānyānadharān sukhinaḥ karotviti buddhvaiva	prApya-anyAna-DarAn suKinaH karotu-iti budDvA-eva
        nijādharaṃ daṣṭavāniti tasya rājñaḥ vuddhimapekṣya utprekṣā ca /	nija-aDaram dazwavAn-iti tasya rAjQaH vudDim-apekzya utprekzA ca /
        tataścātra samuccayotprekṣayorekāśrayānupraveśaḥ saṅkaraśca /	tatas-ca-atra samuccayotprekzayoH-eka-ASraya-anupraveSaH saFkaraH-ca /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   "sajehi surahimāso ṇa dāva appei juaijaṇalakkhamuhe /	"sajehi surahi-mAsaH Na dAva appei juEjaNa-lakKa-muhe /
   ahiṇavasahaāramuhe ṇavapattale aṇaṅgassa sare" //	ahiNava-sahaAramuhe Nava-pattale aNaFgaH-sa sare" //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Locanā:	LocanA:
        (lo, u) sajjeti---"sajjayati surabhimāso na cārpayati	(lo, u) sajjA-iti---"sajjayati suraBi-mAsaH na ca-arpayati
   yuvatijanalakṣyasahān /	yuvati-jana-lakzya-sahAn /
        abhinavasahakāramukhān navapallavapattalān anaṅgasya śarān" //	aBinava-sahakAra-muKAt nava-pallava-pattalAn anaFgasya SarAn" //
        iti saṃskṛtam /	iti saMskRtam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   atra vasantaḥ śarakāraḥ, kāmo dhanvī, yubatayo lakṣyam, puṣpāṇi śarā iti	atra vasantaH SarakAraH, kAmaH DanvI, yubatayaH lakzyam, puzpANi SarAH iti
   kaviprauḍhoktisiddhaṃ vastu prakāśībhavan madanavijṛmbhaṇarūpaṃ vastu	kavi-prOXA-ukti-sidDam vastu prakASIBavan madana-vijRmBaNa-rUpam vastu
   vyanakti /	vyanakti /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ya) kaviprauḍhoktisiddhavastuvyaṅgyaṃ vastu āha---sajjei iti /	(vi, ya) kavi-prOXA-ukti-sidDa-vastu-vyaFgyam vastu Aha----sajjei iti /
        "sajjayati surabhimāso na cārpayati yuvatijanalakṣyaśate /	"sajjayati suraBi-mAsaH na ca-arpayati yuvati-jana-lakzya-Sate /
        abhinavasakāramukhān navapallavapattalān anaṅgasya śarān //	aBinava-sakAra-muKAt nava-pallava-pattalAn anaFgasya SarAn //
        "iti saṃskṛtam /	"iti saMskRtam /
        prathamapravṛttavasantavarṇanamidam /	praTama-pravRtta-vasanta-varNanam-idam /
        surabhimāso 'bhinavasahakāramukhān abhinavāni sahakārāṇi mukham	suraBi-mAsaH aBinava-sahakAra-muKAn aBinavAni sahakArANi muKam
   ādiryeṣāṃ tādṛśān anaṅgasya śarān sajjayati /	AdiH-yezAm tAdRSAn anaFgasya SarAn sajjayati /
        yuvatijanarūpe lakṣyaśate śaravyaśate na cārpayati /	yuvati-jana-rUpe lakzya-Sate Sara-vya-Sate na ca-arpayati /
        śarasajjanasya varttamānatvāt aniṣpannatvena tanniṣpattyānantarameva	Sara-sat-janasya varttamAna-tvAt anizpanna-tvena tat-nizpattyA-anantaram-eva
   tādṛśalakṣyaśate 'rpayituṃ prerayiṣyati iti bhāvaḥ /	tAdRSa-lakzya-Sate arpayitum prerayizyati iti BAvaH /
        śatapadāt dvitriyuvatyāṃ tvarpāyituṃ prerayatīti labhyate /	SatapadAt dvi-tri-yuvatyAm tu-arpAyitum prerayati-iti laByate /
        na cārpayatīti hetukāritāntam /	na ca-arpayati-iti hetu-kArita-antam /
        anaṅgaśarān kīdṛśān-navapallavapattalān navapallavaiḥ pattalā	anaFga-SarAn kIdRSAn--nava-pallava-pattalAt nava-pallavEH pattalA
   patraracanā yeṣāṃ tādṛśān /	patra-racanA yezAm tAdRSAn /
        "kharāṇāṃ patraracanā pattalā parikīrttyate"iti koṣaḥ /	"KarANAm patra-racanA pattalA parikIrttyate"iti kozaH /
        vastuprakāśībhavaditi-- na ca surabhimāsādau śarakārādirūpakālaṅkāra	vastu-prakASIBavat-iti- na ca suraBi-mAsa-AdO Sara-kAra-Adi-rUpakAlaFkAra
   eva prakāśībhavati ityato 'laṅkārasyaiva vyañjakatvamātreti vācyam /	eva prakASIBavati iti-atas alaFkArasya-eva vyaQjaka-tva-mAtrA-iti vAcyam /
        surabhimāsādau śarakārādyabhedāprakāśāt kintu surabhimāsādau	suraBi-mAsa-AdO Sara-kAra-Adya-Beda-aprakASAt kintu suraBi-mAsa-AdO
   kharasajjanādereva prakāśāt /	Kara-sat-jana-AdeH-eva prakASAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   "rajanīṣu vimalabhānoḥ karajālena prakāśitaṃ vīra ! dhavalayati	"rajanIzu vimala-BAnoH karajAlena prakASitam vIra ! Davalayati
   bhuvanamaṇḍalamakhilaṃ tava kītisaṃtatiḥ satam" //	Buvana-maNxalam-aKilam tava kIti-saMtatiH satam" //
   atra kaviprauḍhoktisiddhena vastunā	atra kavi-prOXA-ukti-sidDena vastunA
   kītisantateścandrakarajālādadhikakālaprakāśakatvena vyatirekālaṅkāro	kIti-santateH-candra-kara-jAlAt-aDika-kAla-prakASaka-tvena vyatireka-alaFkAraH-
   vyaṅkyaḥ /	vyaFkyaH /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ra) kaviprauḍhoktisiddhavastuvyaṅgyamalaṅkāramāha---rajanīṣviti	(vi, ra) kavi-prOXA-ukti-sidDa-vastu-vyaFgyam-alaFkAram-Aha----rajanIzu-iti
        he vīravimalabhānoḥ nirmalakiraṇasya candrasya karajālena	he vIra-vimala-BAnoH nirmala-kiraNasya candrasya karajAlena
   bhuvanamaṇḍalaṃ dhavalayatītyarthaḥ /	Buvana-maNxalam Davalayati-iti-arTaH /
        vyatirekālaṅkāra iti---adhikakālaṃ vyāpya prakāśanāt upamānāt	vyatireka-alaFkAraH iti---aDika-kAlam vyApya prakASanAt upamAnAt-
   candrakarāt ādhikyarūpa ityarthaḥ /	candra-karAt ADikya-rUpaH iti-arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   "daśānanakirīṭebhyastatkṣaṇaṃ rākṣasaśriyaḥ /	"da-SAnana-kirIweByaH-tad-kzaNam rAkzasa-SriyaH /
   maṇivyājena paryastāḥ pṛthivyāmaśrubindavaḥ" //	maNi-vyAjena paryastAH pRTivyAm-aSru-bindavaH" //
   atra kaviprauḍhoktisiddhenāpahnutyalaṅkāreṇa	atra kavi-prOXA-ukti-sidDena-apahnuti-alaFkAreNa
   bhaviṣyadrākṣasaśrīvināśarūpaṃ vastu vyajyate /	Bavizyat-rAkzasa-SrI-vinASa-rUpam vastu vyajyate /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, la) kaviprauḍhoktisiddhālaṅkāravyaṅgyaṃ vastvāha---dhasānaneti /	(vi, la) kavi-prOXA-ukti-sidDa-alaFkAra-vyaFgyam vastu-Aha---DasAnanA-iti /
        daśānanasya kirīṭebhyaḥ maṇivyājena maṇipatanacchalena rākṣasaśriyaḥ	daSAnanasya kirIweByaH maNi-vyAjena maNi-patana=-Calena rAkzasa-SriyaH
   aśrubindavaḥ pṛthivyāṃ paryastāḥ patitāḥ /	aSru-bindavaH pRTivyAm paryastAH patitAH /
        apahnutyalaṅkāreṇeti---maṇipātāpahnutyā vyājapadena aśrubindusādhanāt	apahnuti-alaFkAreNa-iti---maNi-pAta-apahnutyA vyAja-padena aSru-bindu-sADanAt-
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   "dhammille navamallikāsamudayo haste sitāmbhoruhaṃ hāraḥ kaṇṭhataṭe	"Dammille nava-mallikA-samudayaH haste sita-amBoruham hAraH kaNWa-tawe
   payodharayuge śrīkhaṇḍalepo ghanaḥ /	payoDara-yuge SrIKaNxa-lepaH GanaH /
   eko 'pi trikaliṅgabhūmitilaka ! tvatkīrtirāśiryayau /	ekaH api tri-kaliFga-BUmi-tilakaH ! tvad-kIrti-rASiH-yayO /
   nānāmaṇḍanatāṃ purandapurīvāmabhruvāṃ vigrahe" //	nAnA-maNxana-tAm puranda-purI-vAmaBruvAm vigrahe" //
   atra kaviprauḍhoktisiddhena rūpakālaṅkāreṇa bhūmiṣṭho 'pi	atra kavi-prOXA-ukti-sidDena rUpakAlaFkAreNa BUmizWaH api
   svargasthānāmupakāraṃ karoṣīti vibhāvanālaṅkāro vyajyate /	svarga-sTAnAm-upakAram karozi-iti viBAvana-alaFkAraH vyajyate /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, va) kaviprauḍhoktisiddhālaṅkāravyaṅgyamalaṅkāramāha---dhammilla	(vi, va) kavi-prOXA-ukti-sidDa-alaFkAra-vyaFgyam-alaFkAram-Aha----Dammilla
   iti /	iti /
        he trikaliṅgabhūmitilaka ! kaliṅgadeśabhūtrayātilaka ! eko 'pi tava	he tri-kaliFga-BUmi-tilakaH ! kaliFga-deSa-BUtrayAtilakaH ! ekaH api tava
   kīrtirāśiḥ purandarapurīvāmabhruvāṃ surāṅganānāṃ vigrahe śarīre	kIrti-rASiH purandara-purI-vAma-BruvAm sura-aFganAnAm vigrahe SarIre
   nānāmaṇḍanatāṃ yayau /	nAnA-maNxana-tAm yayO /
        tadeva darśayatidhammilla iti /	tat-eva darSayati-DammillaH iti /
        dhamillaḥ saṃyatāḥ kacāḥ /	DamillaH saMyatAH kacAH /
        vibhāvaneti--svargasthitireva svargasthānāmupakārakāraṇam /	viBAvanA-iti--svarga-sTitiH-eva svarga-sTAnAm-upakAra-kAraNam /
        tadabhāve 'pi svargasthopakārakaraṇarūpakaphalavyaktirūpā vibhāvanā,	tad-aBAve api svarga-sTa-upakAra-karaNa-rUpaka-Pala-vyakti-rUpA viBAvanA,
   sā ca svargasthityabhāvavācakaśabdābhāvāt vyaṅgyā /	sA ca svarga-sTiti-aBAva-vAcaka-Sabda-aBAvAt vyaFgyAH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   "śikhariṇi kva nu nāma kiyacciraṃ kimabhidhānamasāvakarottapaḥ /	"SiKariNi kva nu nAma kiyat-ciram kim-aBiDAnam-asO=-akara-uttapaH /
   sumukhai ! yena tavādharapāṭalaṃ daśati bimbaphalaṃ śukaśāvakaḥ" //	su-muKEH ! yena tava-aDara-pAwalam daSati bimba-Palam SukaSAvakaH" //
   atrānena kavinibaddhasya kasyacitkāminaḥ prauḍhoktisiddhena vastunā	atra-anena kavi-nibadDasya kasyacid-kAminaH prOXA-ukti-sidDena vastunA
   tavādharaḥ puṇyātiśayalabhya iti vastu pratīyate /	tava-aDaraH puNya-atiSaya-laByaH iti vastu pratIyate /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, śa) kavinibaddhavaktṛprauḍhoktisiddhavastuvyaṅgyaṃ	(vi, Sa) kavi-nibadDa-vaktR-prOXA-ukti-sidDa-vastu-vyaFgyam
   vastvāha---śikhariṇi iti /	vastu-Aha----SiKariNi iti /
        asau śukaśāvakaḥ kka nu śikhariṇi kasmin parvate kiyacciraṃ	asO SukaSAvakaH kkaH nu SiKariNi kasmin parvate kiyat-ciram
   kimabhidhānaṃ kiṃ nāmakaṃ tapaḥ akarot /	kim-aBiDAnam kim nAmakam tapaH akarot /
        yena hetunā tava adharavat pāṭalaṃ bimbaphalaṃ daśāti /	yena hetunA tava aDara-vat pAwalam bimba-Palam daSAti /
        tava adharatulyavastudaṃśanamapi tapaḥ phalamiti ślokasya bhāvarathaḥ	tava aDara-tulya-vastu-daMSanam-api tapaH Palam-iti Slokasya BAvaraTaH
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   "subhage ! koṭisaṃkhyatvamupetya madanāśugaiḥ /	"suBage ! kowi-saMKya-tvam-upetya madana-ASugEH /
   vasante pañcatā tyaktā pañcatāsīdviyoginām" //	vasante paQcatA tyaktA paQcatA-AsIt-viyogi-nAm" //
   atra kavinibaddhavaktṛprauḍhoktisiddhena kāmaśarāṇāṃ koṭisaṃkhyatvaprāptyo	atra kavi-nibadDa-vaktR-prOXA-ukti-sidDena kAma-SarANAm kowi-saMKya-tva-prAptyaH-
   nikhilaviyogimaraṇona vastunā śarāṇāṃ pañcatā śarān vimucya viyoginaḥ	niKila-viyogi-maraNona vastunA SarANAm paQcatA SarAn vimucya viyoginaH
   śriteve tyutprekṣālaṅkāro vyajyate /	Sriteve tyutprekzA-alaFkAraH vyajyate /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ṣa) kavinibaddhavastuprauḍhoktisiddhavastu	(vi, za) kavi-nibadDa-vastu-prOXa-ukti-sidDa-vastu
   vyaṅgyamalaṅkāramāha---subhaga iti /	vyaFgyam-alaFkAram-Aha----suBagaH iti /
        vasante madanāśagaiḥ koṭisaṃkhyatvam upetya labdhvā, pañcatā	vasante mada-na-aSagEH kowi-saMKya-tvam upetya labDvA, paQcatA
   pañcasaṃkhyatā tyaktā, viyogināṃ pañcatā maraṇakālīnapañcabhūtaviśleṣaḥ /	paQca-saMKyatA tyaktA, viyoginAm paQcatA maraNa-kAlIna-paQcaBUta-viSlezaH /
        āsīt /	AsIt /
        atrati---subhage iti /	atrati----suBage iti /
        sambodhanāt kāmuka evātra vaktā natu kaviḥ /	samboDanAt kAmukaH eva-atra vaktA na-tu kaviH /
        tatprauḍhoktisiddhena viyogināṃ maraṇena ityanvayaḥ /	tad-prOXA-ukti-sidDena viyoginAm maraNena iti-anvayaH /
        utprekṣā vyajyata iti--tadvācakevakārādhabhāvād vyañjanā /	utprekzA vyajyate iti--tad-vAca-kevaka-ArADa-BAvAt vyaQjanAH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   "mallikāmukule caṇiḍa ! bhāti guñjan madhuvrataḥ /	"mallikA-mukule caNixaH ! BAti guQjan maDu-vrataH /
   prayāṇo pañjabāṇasya śaṅvamāpūrayanniva" //	prayANaH paQja-bANasya SaFvam-ApUrayat-=-iva" //
   atra kavinibaddhavaktṛprauḍhoktisiddhenotprekṣālaṅkāreṇa	atra kavi-nibadDa-vaktR-prOXA-ukti-sidDena-utprekzA-alaFkAreNa
   kāmasyāyamunmādakaḥ kālaḥ prāptastatkathaṃ mānini mānaṃ na muñcasīti vastu	kAmasya-ayam-unmAdakaH kAlaH prAptaH-tat-kaTam mAnini mAnam na muQcasi-iti vastu
   vyajyate /	vyajyate /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, sa) savinibaddhavaktṛprauḍhoktisiddhālaṅkāravyaṅgyaṃ	(vi, sa) sa-vinibadDa-vaktR-prOXA-ukti-sidDa-alaFkAra-vyaFgyam
   vastvāha---malliketi /	vastu-Aha---mallikA-iti /
        śaṅkhamāpūrayanniveti /	SaFKam-ApUrayan=-iva-iti /
        mallikāmukulasya śaṅkhākāratvāt bhṛṅgaguñjanasya śaṅkhaśabdatulyatvāt	mallikA-mukulasya SaFKa-AkAra-tvAt BRFga-guQjanasya SaFKa-Sabda-tulya-tvAt-
        māninī pratīyamuktirityabhiprāyeṇa	mAninI pratIya-muktiH-iti-aBiprAyeNa
   kavinibaddhavaktṛprauḍhoktisiddhamudāharaṇamidam /	kavi-nibadDa-vaktR-prOXA-ukti-sidDam-udAharaNam-idam /
        ata eva kathaṃmānaṃ na muñcasi iti vyākhyā /	atas eva kaTaMmAnam na muQcasi iti vyAKyA /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   "mahilāsahassabharie tuha hiae suhaa sā amāantī /	"mahilA-sahassa-Barie tuha hiae suhaa sA amAantI /
   aṇudiṇamaṇaṇṇakammā aṅga taṇuttraṃ pi taṇuei" //	aNudiNa-maNaNNakam-mAH aFga taNuttram pi taNuei" //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Locanā:	LocanA:
        (lo, ū) mahilāsahastrabharite tava hṛdaye subhaga sāmāntī /	(lo, U) mahilAsa-hastra-Barite tava hRdaye suBaga sAmAntI /
        anudinamananyamanā aṅgaṃ tanukamapi tanūkaroti /	anudinam-ananya-manAH aFgam tanukam-api tanUkaroti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   atrāmāantīti kavinibaddhavaktṛprauḍhoktisiddhena kāvyaliṅgālaṅkāreṇa	atra-amAantI-iti kavi-nibadDa-vaktR-prOXA-ukti-sidDena kAvya-liFga-alaFkAreNa
   tanostanūkaraṇo 'pi tava hṛdaye na vartata iti viśeṣoktyalaṅkāro vyajyate	tanoH-tanUkaraNaH api tava hRdaye na vartate iti viSeza-ukti-alaFkAraH vyajyate
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ha)	(vi, ha)
   kavinibaddhavaktṛprauḍhoktisiddhālaṅkāravyaṅgyamalaṅkāramāha---mahilāsahasseti	kavi-nibadDa-vaktR-prOXA-ukti-sidDa-alaFkAra-vyaFgyam-alaFkAram-Aha----mahilA-sahassA-iti
        "mahilāsahastrabharite tava hṛdaye subhaga ! sāmāntī /	"ma-hilAsa-hastra-Barite tava hRdaye suBaga ! sAmAntI /
        anudinamananyakarmā aṅgaṃ tanvapi tanayati //	anudinam-ananya-karmA aFgam tanu-api tanayati //
        "iti saṃskṛtam /	"iti saMskRtam /
        nāyakasya bahunāyikābhāvanāduḥ khena kṛśāyā nāyikāyā avasthāṃ nāyake	nAyakasya bahu-nAyikA-BAva-nAduH Kena kRSAyAH nAyikAyAH avasTAm nAyake
   kathayantyāstatsakhyā uktiriyam /	kaTayantyAH-tad-saKyA uktiH-iyam /
        mahilā strī tāsāṃ sahastreṇa bharite tava hṛdaye amāntī	mahilA strI tAsAm sa-hastreNa Barite tava hRdaye amAntI
   avakāśamalabhamānā sā anudinaṃ divasaṃ vyāpya ananyakarmmā tyaktānyakāryyā	avakASam-alaBamAnA sA anudinam divasam vyApya ananya-karmmA tyakta-anya-kAryyA
   satī tanu svataḥ kṛśaṃ aṅgaṃ tanayati tanūkaroti kṛśataraṃ karoti /	satI tanu svatas kRSam aFgam tanayati tanUkaroti kRSataram karoti /
        nāmakāritāntasya tanuśabdasya rūpamidam /	nAma-kAritAntasya tanu-Sabdasya rUpam-idam /
        kāvyaliṅgeti--kāvyaliṅgaṃ hetvalaṅkāraḥ /	kAvya-liFga-iti--kAvya-liFgam hetu-alaFkAraH /
        hṛdaye sthānālābhasya aṅgatanūkaraṇahetutvāt /	hRdaye sTAna-alABasya aFga-tanUkaraNa-hetu-tvAt /
        hṛdaye na varttate iti---tanayatīti varttamānanirddeśāt adyāpi hṛdaye	hRdaye na varttate iti---tanayati-iti varttamAna-nirddeSAt adya-api hRdaye
   vṛttyalābhaḥ /	vRtti-alABaH /
        viśeṣoktiriti aṅgatanūkaraṇarūpakāraṇasatve 'pi hṛdaye	viSeza-uktiH-iti aFga-tanUkaraNa-rUpa-kAraNa-satve api hRdaye
   sthānalābharūpakāryyasyābhāvarūpā viśeṣoktiḥ /	sTAna-lABa-rUpa-kAryyasya-aBAva-rUpA viSeza-uktiH /
        Locanā:	LocanA:
        (lo, ṛ) atreti---rūpaṇādayaḥ kavervyāpārāḥ kaveśca	(lo, R) atra-iti----rUpaNa-AdayaH kaveH-vyApArAH kaveH-ca
   prādhānyavyaṅgyabodhanārthā rūpaṇādayo vyāpārā yathātra camatkurvanti na	prADAnya-vyaFgya-boDana-arTAH rUpaNa-AdayaH vyApArAH yaTA-atra camatkurvanti na
   tathā vācyeṣu /	taTA vAcyezu /
        rūpakādyalaṅkāreṣu hi vācyānāṃ rūpyāṇāṃ mukhādīnāmeva	rUpaka-Adi-alaFkArezu hi vAcyAnAm rUpyANAm muKa-AdInAm-eva
   rūpaṇādivyāpārād rūpakādibhyaścandrādibhyaśca prādhānyamityarthaḥ /	rUpaNa-Adi-vyApArAt rUpaka-AdiByaH-candra-AdiByaH-ca prADAnyam-iti-arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   na khalu kaveḥ kavinibaddhasyeva rāgādyāviṣṭatā ataḥ	na Kalu kaveH kavi-nibadDasya-iva rAga-Adi-AvizwatA atas-
   kavinibaddhavaktṛprauḍhoktiḥ kaviprauḍhokteradhikaṃ	kavi-nibadDa-vaktR-prOXA-uktiH kavi-prOXA-ukteH-aDikam
   sahṛdayavamatkārakāriṇīti pṛthakpratipāditā /	sahRdaya-vamatkAra-kAriNI-iti pRTak-pratipAditA /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ka) nanu---prauḍhoktisiddhatvenaiva ubhayasaṃgrahasambhave	(vi, ka) nanu----prOXA-ukti-sidDa-tvena-eva uBaya-saMgraha-samBave
   kimarthaṃ kavinibaddhavaktṛkatvena pṛthagupādānamityata āha-na khalviti /	kimarTam kavi-nibadDa-vaktRka-tvena pRTak-upAdAnam-iti-atas Aha-na Kalu-iti /
        kavyapekṣayā kavinibaddhasya rāgātiśayāt pṛthagupādānamityarthaḥ /	kavi-apekzayA kavi-nibadDasya rAga-atiSayAt pRTak-upAdAnam-iti-arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   [evaṃ vācyārthasya vyañcakatve udāhṛtam /]	[evam vAcya-arTasya vyaQcaka-tve udAhRtam /]
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, kha) evaṃ vācyārthasyeti---idamatrāvadheyam /	(vi, Ka) evam vAcya-arTasya-iti---idam-atra-avaDeyam /
        gāḍhakāntadaśanetyādau darśitasya virodhālaṅkārasya vyañjakasya	gAXa-kAnta-daSanA-ityAdO darSitasya viroDa-alaFkArasya vyaQjakasya
   vācakāpikārābhāvād vyaṅgyatvameva, evaṃ sajjayati surabhimāsa ityādau	vAcaka-apikArA-BAvAt vyaFgya-tvam-eva, evam sajjayati suraBi-mAsaH iti-AdO
   vasantādeḥ śarakaraṇadirūpavastuno vyañjakasya vyaṅgyatvameva ityato 'tra	vasanta-AdeH Sara-karaNa-dirUpa-vastunaH vyaQjakasya vyaFgya-tvam-eva iti-atas atra
   prāyaśa iti pūraṇīyam /	prAyaSas iti pUraNIyam /
        kāvyaprakāśakṛnmate tu vyañjakavastvalaṅkārayoḥ vācyatvādyaniyama eva	kAvya-prakASa-kRt-mate tu vyaQjaka-vaH-tu-alaFkArayoH vAcya-tva-Adi-aniyamaH eva
        ata eva lakṣyavyaṅgyayorapi vyañjakatvamudāhāryyamiti tenoktam nanu	atas eva lakzya-vyaFgyayoH-api vyaQjaka-tvam-udAhAryyam-iti tena-uktam nanu
   rūpaṇameva rūpakālaṅkāraḥ /	rUpaNam-eva rUpaka-alaFkAraH /
        utprekṣaṇameva utprekṣālaṅkāraḥ, vyatirecanameva vyatirekālaṅkāraḥ	utprekzaNam-eva utprekzA-alaFkAraH, vyatirecanam-eva vyatireka-alaFkAraH
   tathā ca yatra rūpakālaṅkārasya vyaṅgayatvam tatra kiṃ	taTA ca yatra rUpaka-alaFkArasya vyaFgaya-tvam tatra kim
   rūpyamānavastūdāharaṇaṃ na syāt /	rUpya-mAna-vastu-udAharaNam na syAt /
        kāraḥ /	kAraH /
        evamutprekṣyamāṇavyatiricyamānavastunorityata āha--eṣu ceti--tattad	evam-utprekzyamANa-vyatiricyamAna-vastunoH-iti-atas Aha--ezu ca-iti--tad-tat-
   vastavapekṣayā tadalaṅkāra eva ādhikacamatkārīti tattadudāharaṇameva	vaH-tavapekzayA tad-alaFkAraH eva ADikacamatkArI-iti tat-tad-udAharaNam-eva
   tattat iti bhāvaḥ /	tat-tat iti BAvaH /
        yadyapi subhage koṭisaṃkhyātvam ityatra utprekṣālaṅkāraḥ, diśi	yadi-api suBage kowi-saMKyA-tvam iti-atra utprekzA-alaFkAraH, diSi
   mandāyate ityatra vyatirekālaṅkāraśca vyaṅgya uktaḥ /	mandAyate iti-atra vyatireka-alaFkAraH-ca vyaFgyaH uktaH /
        rūpakālaṅkāra vyaṅgyatvaṃ tu noktaṃ tathāpi--- calāpāṅgāṃ dṛṣṭiṃ	rUpakAlaFkAra vyaFgya-tvam tu na-uktam taTA-api-- cala-apAFgAm dRzwim
   spṛśasi bahuśo vepathumatī rahasyākhyāyīva svanasi mṛdu karṇāntikacaraḥ /	spRSasi bahuSas vepaTumatI rahasyAKyAyI-iva svanasi mRdu karNa-antika-caraH /
        karaṃ vyādhunvatyāḥ pibasi ratisarvasvamadharaṃ vayaṃ	karam vyADunvatyAH pibasi rati-sarva-svam-aDaram vayam
   tattvānveṣānmadhukara ! hatāstvaṃ khalu kṛtī //	tattva-anvezAt-maDukaraH ! hatAH-tvam Kalu kRtI //
        ityatra madhukare kāmukarūpaṇaṃ vyaṅgya bodhyam /	iti-atra maDukare kAmuka-rUpaNam vyaFgya boDyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   eṣu cālaṅkṛtivyañjanasthale rūpaṇotprekṣaṇavyatirecanādimātrasya	ezu ca-alaFkRti-vyaQjana-sTale rUpaNa-utprekzaNa-vyatirecana-Adi-mAtrasya
   prādhānyaṃ sahṛdayasaṃvedyam, na tu rūpyādīnāmityalaṅkṛtereva mukhyatvam /	prADAnyam sahRdaya-saMvedyam, na tu rUpya-AdInAm-iti-alaFkRteH-eva muKya-tvam /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ga) lakṣyārthasya yathetyādi-idamatrāvadheyam--"bhamma	(vi, ga) lakzya-arTasya yaTA-ityAdi-idam-atra-avaDeyam---"Bamma
   dhammia"ityādāvapyabhramaṇaṃ vyaṅgyamuktam /	Dammia"-iti-AdO=-api-aBramaNam vyaFgyam-uktam /
        tattulyayuktike niḥ śeṣetyādau tadantikagamanaṃ lakṣyamityuktamitīdaṃ	tad-tulya-yuktike niH Seza-ityAdO tad-antika-gamanam lakzyam-iti-uktam-iti-idam
   svoktiviruddham /	sva-ukti-virudDam /
        "kvacid bādhyatayā khyāti "rityādyuktayukterubhayatra samānatvāt /	"kvacid bADya-tayA KyAti "riti-Adi-ukta-yukteH-uBayatra samAna-tvAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   ekaḥ śabdārthaśaktyutthe--	ekaH Sabda-arTa-Sakti-utTe--
   abhayaśaktyudbhave vyaṅgye eko dhvanerbhedaḥ /	aBaya-Sakti-udBave vyaFgye ekaH DvaneH-BedaH /
   yathā---	yaTA---
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, gha) ubhayaśaktyutthamudāharaṇamāha---eketi /	(vi, Ga) uBaya-Sakti-utTam-udAharaNam-Aha---ekA-iti /
