   sāṃkhyasaptatiṭīkā jayamaṅgalā //	sAMKya-saptatiwIkA jaya-maFgalAH //
   lohavaduktam (?) / satvanyatkṛtena guṇena vyaktaṃ janayati (?) evaṃ	loha-vat-uktam (?) / satu-anyat-kRtena guNena vyaktam janayati (?) evam
   rajastamaśca yojyam / yadā guṇadvayamudbhūtaśakti tadā	rajaH-tamaH-ca yojyam / yadA guNa-dvayam-udBUta-Sakti tadA
   dvayamapītaradabhibhavati, prabodhayatītyarthaḥ / anyo 'nyamithunā iti /	dvayam-api-itarad-aBiBavati, praboDayati-iti-arTaH / anyaH anya-miTunAH iti /
   anyo 'nyasya sahāyā ityarthaḥ / tathā coktaṃ viṣṇugītāyām-	anyaH anyasya sahAyAH iti-arTaH / taTA ca-uktam vizNu-gItAyAm-
   rajaso mithunaṃ sattvaṃ sattvasya mithunaṃ rajaḥ /	rajasaH miTunam sattvam sattvasya miTunam rajaH /
   ubhayoḥ sattvarajasormithunaṃ tama ucyate //	uBayoH sattva-rajasoH-miTunam tamaH ucyate //
   ekasyāṃ vyaktau trayāṇāmabhibhavaprabodhanānuktau vyaktam, itare tu tau	ekasyAm vyaktO trayANAm-aBiBava-praboDana-anuktO vyaktam, itare tu tO
   eva pravṛttiṃ janayanta iti darśayannāha- anyo 'nyavṛttaya iti / vṛttiḥ	eva pravRttim janayantaH iti darSayan=-Aha anyaH anya-vRttayaH iti / vRttiH
   sukhādirūpeṇa pariṇatiḥ / vṛtihetutvād vṛttaya ucyante /	suKa-Adi-rUpeNa pariNatiH / vRti-hetu-tvAt vRttayaH ucyante /
   anyonyavṛttihetava ityarthaḥ / tadyathā kācidyoṣidrūpaśīladatyantaguṇā (!)	anyonya-vRtti-hetavaH iti-arTaH / tat-yaTA kAcid-yozit-rUpa-SIladati-anta-guNAH (!)
   sitatvātsāttvikī sā bharttuḥ sukhamutpādayati sapatnīnāṃ kāsāṃcidduḥkhaṃ	sita-tvAt-sAttvikI sA BarttuH suKam-utpAdayati sapatnInAm kAsAMcid-duHKam
   kāsāṃcidviṣādamityatra sattvamātmano dvayośca vṛttihetuḥ /	kAsAMcid-vizAdam-iti-atra sattvam-AtmanaH dvayoH-ca vRtti-hetuH /
   kasyacitprabhoratyantaśūratvād bhṛtyā rājasāḥ, pareṣāṃ yudhyamānānāṃ	kasyacid-praBoH-atyanta-SUra-tvAt BRtyAH rAjasAH, parezAm yuDyamAnAnAm
   prahārairduḥkhaṃ janayanti, palāyamānānāṃ viṣādam, svāminaśca	prahArEH-duHKam janayanti, palAyamAnAnAm vizAdam, svAminaH-ca
   tuṣṭimityatra raja ātmano dvayosca vṛttihetuḥ /	tuzwim-iti-atra rajaH AtmanaH dvayoH-ca vRtti-hetuH /
   meghāṃścāmbugu.....vāniṣāndhakārīkṛtyonnatatvāt (?) tāmasāḥ, te varṣantaḥ	meGAn=-ca-ambu-gu.....vAniza-anDakArI-kRtya-unnata-tvAt (?) tAmasAH, te varzantaH
   proṣitabhartṛkāṇāṃ viṣādaṃ janayanti, pathikānāṃ duḥkham kṛṣīvalānāṃ	prozita-BartRkANAm vizAdam janayanti, paTikAnAm duHKam kRzIvalAnAm
   tuṣṭimityatra tama ātmano dvayośca vṛttihetuḥ // 12 //	tuzwim-iti-atra tamaH AtmanaH dvayoH-ca vRtti-hetuH // 12 //
   kārikā 13	kArikA 13
   eṣāṃ durlakṣaṇānāṃ lakṣaṇāntaramāha-	ezAm durlakzaNAnAm lakzaNa-antaram-Aha-
   sattvaṃ laghu prakāśakamupaṣṭambhakaṃ calaṃ ca rajaḥ /	sattvam laGu prakASakam-upazwamBakam calam ca rajaH /
   guru varaṇakameva tamaḥ, pradīpavaccārthato vṛttiḥ // ISk_13 //	guru varaNakam-eva tamaH, pradIpa-vat-ca-arTataH vRttiH // ISc-_13 //
   'sattvam'; ityādi / iṣṭaṃ sāṃkhyācāryāṇāṃ sattvaṃ laghusvabhāvaṃ prakāśaṃ	asattvam-a; ityAdi / izwam sAMKya-AcAryANAm sattvam laGu-svaBAvam prakASam
   ca / yasyodrekāccharīreṃ 'śāni laghūni bhavanti, viṣayaprakāśanasamarthāni	ca / yasya-udrekAt-SarIrem aSAni laGUni Bavanti, vizaya-prakASana-samarTAni
   cendriyāṇi / bāhyāni ca dravyāṇi laghūni prakāśātmakāni nirmalāni bhavanti	ca-indriyANi / bAhyAni ca dravyANi laGUni prakASa-AtmakAni nirmalAni Bavanti
   'upaṣṭambhakaṃ calaṃ ca rajaḥ'; iti / upaṣṭambhayatītyupaṣṭambhakam /	aupazwamBakam calam ca rajaH-a; iti / upazwamBayati-iti-upazwamBakam /
   yasyodrekād devadatto vyavasyati, calacittaśca bhavati / bāhyāni calāni	yasya-udrekAt devadattaH vyavasyati, cala-cittaH-ca Bavati / bAhyAni calAni
   bhavantīti //	Bavanti-iti //
   'guru varaṇakameva tamaḥ'; iti / vṛṇoti pidhatta iti / 'kṛtyalyuṭo	aguru varaNakam-eva tamaH-a; iti / vRNoti piDattaH iti / akRtyalyuwaH-
   bahulam'; iti kartari lyuṭ, karaṇe vā / paścāt svārthe kan / yasyodrekād	bahulam-a; iti kartari lyuw, karaNe vA / paScAt sva-arTe kan / yasya-udrekAt-
   gurūṇyaṅgāni bhavanti, indriyāṇi ca tamasaivāttāni bhavanti / bāhyāni ca	gurUNi-aFgAni Bavanti, indriyANi ca tamasA-eva-AttAni Bavanti / bAhyAni ca
   gurūṇyanirmalāni ca bhavanti //	gurUNi-anirmalAni ca Bavanti //
   udāharaṇadigiyamanyānyapi vijñeyāni bhavanti / tathā cāhuḥ-	udAharaNa-diS-iyam-anyAni-api vijQeyAni Bavanti / taTA ca-AhuH-
   prītiprīti(?)svābhiṣaṅgalāghavāni prasādaharṣau ca,	prIti-prIti-(?)sva-aBizaFga-lAGavAni prasAda-harzO ca,
   stambhauddhatyadveṣacalanaśoṣaṇatāpabhedāśca,	stamBa-Odhatya-dveza-calana-SozaNa-tApa-BedAH-ca,
   varaṇāpadhvaṃsanasādanagauravadainyabhītayaścaitāni sattvarajastamasāṃ	varaNa-apaDvaMsana-sAdana-gOrava-dEnya-BItayaH-ca-etAni sattva-rajaH-tamasAm
   krameṇa jñātavyāni liṅgāni //	krameNa jQAtavyAni liFgAni //
   nanu caite parasparavilakṣaṇā guṇā viruddhatvāt kathaṃ sambhūyaikatra	nanu ca-ete paraspara-vilakzaNA guNAH virudDa-tvAt kaTam samBUya-ekatra
   vartanta ityāha- 'pradīpavaccārthato vṛttiḥ'; iti / pradīpasyeva	vartante iti-Aha apradIpa-vat-ca-arTataH vRttiH-a; iti / pradIpasya-iva
   pradīpavat / tailavarttyagnisamudāyaḥ pradīpaḥ / yadā	pradIpa-vat / tEla-vartti-agni-samudAyaH pradIpaH / yadA
   samudāyātma.....parasparavilakṣaṇānāmapi pradīpabhā...pravṛtiḥ, tamasi	samudAya-Atma-.....-paraspara-vilakzaNAnAm-api pradIpa-BA...-pravRtiH, tamasi
   sthitā ghaṭādayo devadattasya prakāśayitavyā iti, tathā sattvarajastamasāṃ	sTitA Gawa-AdayaH devadattasya prakASayitavyA iti, taTA sattva-rajaH-tamasAm
   puruṣārthahetunā pravṛttiḥ, puruṣārthaśabdopalabdhiśceti // 13 //	puruza-arTa-hetunA pravRttiH, puruza-arTa-Sabda-upalabDiH-ca-iti // 13 //
   kārikā 14	kArikA 14
   nanu ca 'triguṇamaviveki viṣayaḥ sāmānyamacetanaṃ prasavadharmi vyaktam',	nanu ca atri-guNam-aviveki vizayaH sAmAnyam-acetanam prasava-Darmi vyaktam-a,
   tatra sukhaduḥkamohopalabdhestraiguṇyaṃ vyaktaṃ siddham, avivekyādayo	tatra suKa-duHka-moha-upalabDeH-trEguNyam vyaktam sidDam, aviveki-AdayaH-
   dharmāḥ prasavaparyantāḥ kathaṃ siddhyantītyāha-	DarmAH prasava-paryantAH kaTam sidDyanti-iti-Aha-
   avivekyādissiddhastraiguṇyāttadviparyayābhāvāt /	aviveki-Adi-ssidDaH-trEguNyAt-tad-viparyaya-aBAvAt /
   kāraṇaguṇātmakatvātkāryasyāvyaktamapi siddham // ISk_14 //	kAraNa-guNa-Atmaka-tvAt-kAryasya-avyaktam-api sidDam // ISc-_14 //
   'avivekyādiḥ siddhaḥ'; ityādi / guṇidvāreṇa guṇābhidhānam /	aaviveki-AdiH sidDaH-a; ityAdi / guNi-dvAreNa guNa-aBiDAnam /
   avivekyādiguṇassiddhaḥ / vyakta iti vākyaśeṣaḥ //	aviveki-Adi-guNa-ssidDaH / vyaktaH iti vAkya-SezaH //
   kutaḥ? traiguṇyāt / kathaṃ? yasmādguṇā evāvivekino bhogyāssāmānyā acetanā	kutas-? trEguNyAt / kaTaM? yasmAt-guNAH eva-avivekinaH BogyAssAmAnyA acetanA
   prasavadharmiṇaśca, te ca vyakte siddhā iti siddho guṇaḥ //	prasava-DarmiNaH-ca, te ca vyakte sidDAH iti sidDaH guNaH //
   'tadviparyayābhāvāt'; iti / (traiguṇyasyābhāvāditi) / traiguṇyasyābhāve	atad-viparyaya-aBAvAt-a; iti / (trEguNyasya-aBAvAt-iti) / trEguNyasya-aBAve
   'vivekyādayorabhāvāt / na hi nirguṇasya puruṣasyāvivekyādiḥ sambhavati /	avivekyAdayoH-aBAvAt / na hi nirguNasya puruzasya-aviveki-AdiH samBavati /
   tasmāttraiguṇyādevāvivekyādissiddhaḥ //	tasmAt-trEguNyAt-eva-aviveki-Adi-ssidDaH //
   evaṃ ca sati, pradhānamapi traiguṇyāttathāvidhaṃ siddham / yadāha-	evam ca sati, praDAnam-api trEguNyAt-taTAviDam sidDam / yat-A-aha-
   'kāraṇaguṇātmakatvātkāryasyāvyaktamapi siddham'; iti / kāraṇasya yo guṇaḥ	akAraNa-guNa-Atmaka-tvAt-kAryasya-avyaktam-api sidDam-a; iti / kAraNasya yaH guNaH
   sa ātmā svabhāvo yasya tattathoktam / tasya svabhāvastattvam / tasmādiha	saH AtmA svaBAvaH yasya tat-taTA-uktam / tasya svaBAvaH-tattvam / tasmAt-iha
   loke kāraṇaguṇakaṃ kāryaṃ dṛṣṭam / śuklaiḥ kṛṣṇairvā tantubhirārabdhaḥ	loke kAraNa-guNakam kAryam dRzwam / SuklEH kRzNEH-vA tantuBiH-ArabDaH
   paṭaḥ śuklaḥ kṛṣṇo vā bhavati / yadyavyaktaṃ tathāvidhaṃ na syāt, kathaṃ	pawaH SuklaH kRzNaH vA Bavati / yadi-avyaktam taTAviDam na syAt, kaTam
   vyaktaṃ tathāvidhaṃ bhavet // 14 //	vyaktam taTAviDam Bavet // 14 //
   kārikā 15	kArikA 15
   nanu ca sati dharmiṇi dharmāścintyante, pradhānasyaiva dharmiṇo	nanu ca sati DarmiNi DarmAH-cintyante, praDAnasya-eva DarmiNaH-
   'labdhasiddhitvāt kathamavivekyādītyāha-	alabDa-sidDi-tvAt kaTam-avivekya-Adi-iti-Aha-
   bhedānāṃ parimāṇāt samanvayācchaktitaḥ pravṛtteśca /	BedAnAm parimANAt samanvayAt-SaktitaH pravRtteH-ca /
   kāraṇakāryavibhāgādavibhāgādvaiśvarūpyasya // ISk_15 //	kAraNa-kArya-viBAgAt-aviBAgAt-vESvarUpyasya // ISc-_15 //
   'bhedānām'; ityādi / kāryatastadupalabdhermahadādi tacca kāryamityanenaiva	aBedAnAm-a; ityAdi / kAryataH-tad-upalabDeH-mahat-Adi tat-ca kAryam-iti-anena-eva
   sādhite 'smin yathāvadadhigate punardārḍhyārthaṃ samanantaropādānam /	sADite asmin yaTAvat-aDigate punar-dArXya-arTam samanantara-upAdAnam /
   bhidyanta iti bhedāḥ kāryaviśeṣāsteṣāṃ (ekassaṃsargī dṛṣṭaḥ) parimāṇācca /	Bidyante iti BedAH kArya-viSezAH-tezAm (eka-ssaMsargI dRzwaH) parimANAt-ca /
   bhedānāṃ parimitatvādityarthaḥ / yena ca parimitāsteṣāmekaḥ saṃsargī	BedAnAm parimita-tvAt-iti-arTaH / yena ca parimitAH-tezAm-ekaH saMsargI
   dṛṣṭaḥ / yathā mūlāṅkurapatrakāṇḍaprasavapuṣpataṇḍulakaṇānāṃ bhedānāṃ	dRzwaH / yaTA mUla-aFkura-patra-kANxa-prasava-puzpa-taNxula-kaNAnAm BedAnAm
   vrīhiḥ tavibāhyādhyātmikabhedāḥ / parimitabāhyā	vrIhiH tavi-bAhi-ADyAtmika-BedAH / parimita-bAhyA
   brahmādistambaparyantāścaturdaśa / ādhyātmikāśca	brahma-Adi-stamba-paryantAH-caturdaSa / ADyAtmikAH-ca
   mahadahaṅkāratanmātrendriyabhūtākhyāstrayoviṃśatiḥ / tasmādeteṣāmekena	mahat-ahaFkAra-tanmAtra-indriya-BUta-AKyAH-trayoviMSatiH / tasmAt-etezAm-ekena
   saṃsargiṇā bhavitavyam / yatraiṣāṃ saṃsargastadavyaktaṃ kāraṇamastīti	saMsargiNA Bavitavyam / yatra-ezAm saMsargaH-tat-avyaktam kAraNam-asti-iti
   sāmānyatodṛṣṭamanumānam //	sAmAnyatodRzwam-anumAnam //
   'samanvayāt'; bhedānāmiti vartate / samanvayo 'nugamaḥ /	asamanvayAt-a; BedAnAm-iti vartate / samanvayaH anugamaH /
   ekajātyanugamādityarthaḥ / ya ekajātyanugatā bhedāsteṣāmekameva	eka-jAti-anugamAt-iti-arTaH / ye eka-jAti-anugatAH BedAH-tezAm-ekam-eva
   tathābhūtaṃ kāraṇaṃ dṛṣṭam / yathā kaṭakakeyūrādīnāṃ suvarṇapiṇḍaḥ, yathā	taTABUtam kAraNam dRzwam / yaTA kawaka-keyUra-AdInAm suvarNa-piNxaH, yaTA
   vā śarāvādīnāṃ mṛtpiṇḍaḥ / evameṣāmapi bāhyādhyātmikānāṃ	vA SarAva-AdInAm mRd-piNxaH / evam-ezAm-api bAhya-ADyAtmikAnAm
   sukhaduḥkhamohānugatatvādekena tathāvidhena bhavitavyam / ya eṣāṃ	suKa-duHKa-moha-anugata-tvAt-ekena taTAviDena Bavitavyam / yaH ezAm
   samudāyastatpradhānamiti sāmānyatodṛṣṭam /	samudAyaH-tad-praDAnam-iti sAmAnyatodRzwam /
   'śaktitaḥ pravṛtteśca'; iti / iha kulālādiśaktipūrvikā ghaṭādīnāṃ	aSaktitaH pravRtteH-ca-a; iti / iha kulAla-Adi-Sakti-pUrvikA Gawa-AdInAm
   pravṛttirdṛṣṭā nāśaktipūrvikā / eṣāmapi bāhyādhyātmikānāṃ pravṛttirdṛśyate	pravRttiH-dRzwA na-aSakti-pUrvikA / ezAm-api bAhya-ADyAtmikAnAm pravRttiH-dRSyate
   / tataśca prāk ca pravṛtterjanitayā śaktyā bhavitavyam / yāsau śaktiḥ	/ tatas-ca prAk ca pravRtteH-janitayA SaktyA Bavitavyam / yA-asO SaktiH
   saivāvyaktabhāvamāpadyata iti sāmānyatodṛṣṭam //	sA-eva-avyakta-BAvam-Apadyate iti sAmAnyatodRzwam //
   'kāraṇakāryavibhāgāt'; iti / kāraṇasya pūrvabhāvitvāt pūrvanipātaḥ /	akAraNa-kArya-viBAgAt-a; iti / kAraNasya pUrva-BAvi-tvAt pUrva-nipAtaH /
   alpāctarasya pūrvanipātasyānityatvam / yata utpadyate tatkāraṇam,	alpa-Actarasya pUrva-nipAtasya-anitya-tvam / yatas utpadyate tad-kAraNam,
   yaccotpadyate tatkāryam / yathā mṛtpiṇḍaghaṭayorjanyajanakatvena	yat-ca-utpadyate tat-kAryam / yaTA mRd-piNxa-GawayoH-janya-janaka-tvena
   pṛthagarthakriyākaraṇācca vibhāgo dṛṣṭaḥ / anyathā ghaṭāsyodakāharaṇakriyā	pRTak-arTa-kriyA-karaNAt-ca viBAgaH dRzwaH / anyaTA Gawa-Asya-udaka-AharaNa-kriyA
   yā na sā mṛtpiṇḍasya, yā mṛtpiṇḍasya na sā ghaṭasya / evaṃ vyaktasya	yA na sA mRd-piNxasya, yA mRd-piNxasya na sA Gawasya / evam vyaktasya
   mahadādeḥ kāryatvātpṛthagarthakriyākaraṇācca vibhāgaḥ / tasmādasya	mahat-AdeH kArya-tvAt-pRTak-arTa-kriyA-karaNAt-ca viBAgaH / tasmAt-asya
   kāraṇena bhavitavyam / taccāvyaktātkimanyat syāditi //	kAraNena Bavitavyam / tat-ca-avyaktAt-kim-anyat syAt-iti //
   asmin vyākhyāne 'kāryatastadupalabdhermahadādi tacca kāryam'; ityanenaiva	asmin vyAKyAne akAryataH-tad-upalabDeH-mahat-Adi tat-ca kAryam-a; iti-anena-eva
   siddhatvādanyairanyathā vyākhyāyate / yadupakaroti taktāraṇam,	sidDa-tvAt-anyEH-anyaTA vyAKyAyate / yat-upakaroti taktAraNam,
   yadupakriyate tatkāryaṃ tayorvibhāgāt, upakāryopakārakabhāvādityarthaḥ /	yat-upakriyate tat-kAryam tayoH-viBAga-at, upakArya-upakAraka-BAvAt-iti-arTaH /
   tatra kārya...vyādīni śarīrasthāni sthānasādhanā...vabhogaiḥ	tatra kArya...vyAdIni SarIra-sTAni sTAna-sADanA.-..vaBogEH
   kāraṇānyupakurvanti / kāraṇāni ca vṛddhikṣatasaṃrohaṇapālanaiḥ kāryāṇi /	kAraNAni-upakurvanti / kAraNAni ca vRdDi-kzata-saMrohaNa-pAlanEH kAryANi /
   bāhyāni ca kāraṇāni pṛthivyā dhṛtisaṅgrahapattivyūhanāvakāśadānaiḥ	bAhyAni ca kAraNAni pRTivyAH DRti-saFgraha-patti-vyUha-nAvakASa-dAnEH
   parasparamupakurvanti / tathā daivamānuṣatairyagyonāni parasparopakārīṇi /	parasparam-upakurvanti / taTA dEva-mAnuza-tEryagyonAni paraspara-upakArINi /
   tatra daivam, yathākālaṃ śītoṣṇavarṣāgamaḥ, mānuṣatairyagyonānyupakaroti /	tatra dEvam, yaTAkAlam SIta-uzNa-varza-AgamaH, mAnuza-tEryagyonAni-upakaroti /
   mānuṣamijyāyāgastutibhirdaivaṃ rakṣati, poṣaṇabheṣajyaiśaaha	mAnuza-m-ijyA-yAga-stutiBiH-dEvam rakzati, pozaNa-BezajyESaaha
   tairyagyonamupakaroti / yathādhyātmikānāṃ bāhyānāṃ copakāryopakārakabhāvo	tEryagyonam-upakaroti / yaTA-ADyAtmikAnAm bAhyAnAm ca-upakArya-upakAraka-BAvaH-
   buddhikṛta iva dṛśyate tadasya kaścidvyavasthāpitā syāt, kuto 'yaṃ vibhāga	budDi-kRtaH iva dRSyate tat-asya kaScid-vyavasTApitA syAt, kutas ayam viBAga
   ityanyathānupapatteḥ //	iti-anyaTA-anupapatteH //
   'avibhāgādvaiśvarūpyasya'; iti / na vidyate vibhāgo 'syetyavibhāgaḥ /	aaviBAgAt-vESvarUpyasya-a; iti / na vidyate viBAgaH asya-iti-aviBAgaH /
   avibhaktādityarthaḥ / tasmādvaiśvarūpyasyopalabdheriti śeṣaḥ / iha loke	aviBaktAt-iti-arTaH / tasmAt-vESvarUpyasya-upalabDeH-iti SezaH / iha loke
   'vibhaktādekasmādikṣudravyādrasaphāṇitaguḍakhaṇḍaśarkarādivaiśvarūpyaṃ	aviBaktAt-ekasmAt-ikzu-dravyAt-rasa-PANita-guxa-KaNxa-SarkarA-Adi-vESvarUpyam
   nānātvaṃ dṛśyate,	nAnAtvam dRSyate,
   tathaikasmāddugdhāddadhimastunavanītaghṛtādivaiśvarūpyamupalabhyate /	taTA-ekasmAt-dugDAt-daDi-mastu-navanIta-GRta-Adi-vESva-rUpyam-upalaByate /
   evamādhyātmikānāṃ bāhyānāṃ ca vaiśvarūpyam / tasmādeṣāmavibhaktenaiva	evam-ADyAtmikAnAm bAhyAnAm ca vESvarUpyam / tasmAt-ezAm-aviBaktena-eva
   bhavitavyamiti sāmānyatodṛṣṭam //	Bavitavyam-iti sAmAnyatodRzwam //
   anyastvāha- 'avibhāge vaiśvarūpyasya'; iti / avibhāgo layaḥ, vaiśvarūpyaṃ	anyaH-tvAha- aaviBAge vESvarUpyasya-a; iti / aviBAgaH layaH, vESvarUpyam
   jagat nānārūpatvāt / pralayakāle vaiśvarūpyaṃ kva līyate	jagat nAnA-rUpa-tvAt / pralaya-kAle vESvarUpyam kva lIyate
   sthityutpattipralayājjagata iti / na ceśvare layanaṃ sambhavati, tasya	sTiti-utpatti-pralayAt-jagataH iti / na ca-ISvare layanam samBavati, tasya
   nirguṇatvenābhyupagamāt / tasmādanyathānupapattyāsti tadekamiti / tathā	nirguNa-tvena-aByupagamAt / tasmAt-anyaTA-anupapattyA-asti tat-ekam-iti / taTA
   cāhuḥ-	ca-AhuH-
   pradhānādānupūrvyeṇa sṛṣṭirlokasya saṃsaraḥ /	praDAnAt-AnupUrvyeNa sRzwiH-lokasya saMsaraH /
   pra....prātilomyena punastatraiva sañcaraḥ // iti // 15 //	pra....-prAtilomyena punar-tatra-eva saQcaraH // iti // 15 //
   kārikā 16	kArikA 16
   eṣāṃ hetūnāṃ pravartanārthamāha-	ezAm hetUnAm pravartana-arTam-Aha-
   kāraṇamastyavyaktam, pravartate triguṇataḥ samudayācca /	kAraNam-asti-avyaktam, pravartate triguNataH samudayAt-ca /
   pariṇāmataḥ salilavat, pratipratiguṇāśrayaviśeṣāt // ISk_16 //	pariNAmataH salilavat, prati-prati-guNa-ASraya-viSezAt // ISc-_16 //
   'kāraṇamasti'; ityādi //	akAraNam-asti-a; ityAdi //
   yadi kāraṇamastyavyaktaṃ tatkathaṃ pravartata ityāha-	yadi kAraNam-asti-avyaktam tat-kaTam pravartate iti-Aha-
   'triguṇatassamudayācca'; iti / yadā prakṛtisthā guṇāssāmyena pravartante	atri-guNa-tassamudayAt-ca-a; iti / yadA prakRti-sTAH guNAssAmyena pravartante
   tadā (trīnevādhikṛtya pravarante naikaikamityarthaḥ / yadā vaiṣamyeṇa	tadA (trIn-eva-aDikRtya pravarante na-ekEkam-iti-arTaH / yadA vEzamyeNa
   pravartante tadā) kāryaṃ kāraṇārabdhatvāt samudayāt pravartate /	pravartante tadA) kAryam kAraNa-ArabDa-tvAt samudayAt pravartate /
   samantādudayo yasya guṇasya tamadhikṛtyetyarthaḥ, śeṣanyakkṛtaśaktikatvāt	samantAt-udayaH yasya guNasya tam-aDikRtya-iti-arTaH, Seza-nyakkRta-Saktika-tvAt-
   / yadi samudayādavyaktaṃ pravartate tasmādutpannaṃ tadavya...smānna	/ yadi samudayAt-avyaktam pravartate tasmAt-utpannam tat-avya...smAn-na
   bhavati //	Bavati //
   śuklebhyaḥ kṛṣṇebhyo vā tantubhyaḥ śuklaḥ kṛṣṇo vā paṭo bhavatītyāha-	SukleByaH kRzNeByaH vA tantuByaH SuklaH kRzNaH vA pawaH Bavati-iti-Aha-
   'pariṇāmataḥ'; ityādi / pūrvasyāmavasthāyāmavasthāntaraṃ pariṇāmaḥ,	apariNAmataH-a; ityAdi / pUrvasyAm-avasTAyAm-avasTA-antaram pariNAmaH,
   tasmāddhetoḥ pravartate / yathā kaṇikāyāḥ sūkṣmāyā mūlakaḥ	tasmAt-hetoH pravartate / yaTA kaNikAyAH sUkzmAyAH mUlakaH
   śākhāpraśākhādipravṛddho mahānvanaspatirvyakto bhavati,	SAKA-praSAKA-Adi-pravRdDaH mahAn-vanaspatiH-vyaktaH Bavati,
   evamavyaktādvyaktaṃ pariṇamati //	evam-avyaktAt-vyaktam pariNamati //
   yadyevamekarūpādutpannasya trailokyasya kathamanekarūpatvamityāha-	yadi-evam-eka-rUpAt-utpannasya trElokyasya kaTam-aneka-rUpa-tvam-iti-Aha-
   'salilavatpratipratiguṇāśrayaviśeṣāt'; iti / salilena tulyaṃ vartata iti	asalila-vat-prati-pratiguNa-ASraya-viSezAt-a; iti / salilena tulyam vartate iti
   salilavat / ekaikaṃ prati guṇāḥ pratipratiguṇāḥ / ta evāśrayāsteṣāṃ yo	salila-vat / ekEkam prati guNAH prati-pratiguNAH / te eva-ASrayAH-tezAm yaH-
   viśeṣastasmāddhetoḥ pravartante / yathā salilamantarikṣādekarasamapi	viSezaH-tasmAt-hetoH pravartante / yaTA salilam-antarikzAt-eka-rasam-api
   tadekasya kaṭvamlāderguṇasyāśrayabhūtasya viśeṣānnānārasaṃ vartate	tat-ekasya kawu-amla-AdeH-guNasya-ASraya-BUtasya viSezAt-nAnA-rasam vartate
   evamavyaktamapīti guṇātmakatvādekaikaguṇāśrayaviśeṣānnānārūpaṃ pravartate	evam-avyaktam-api-iti guNa-Atmaka-tvAt-ekEka-guNa-ASraya-viSezAt-nAnA-rUpam pravartate
   / tatra sattvasya kṛterāśrayasya viśeṣāddevabhāvena vartanam, rajasa	/ tatra sattvasya kRteH-ASrayasya viSezAt-deva-BAvena vartanam, rajasa
   āśrayasya viśeṣānmānuṣabhāvena, tamasa āśrayasya	ASrayasya viSezAt-mAnuza-BAvena, tamasaH ASrayasya
   viśeṣāttiryagyonibhāveneti // 16 //	viSezAt-tiryagyoni-BAvena-iti // 16 //
   kārikā 17	kArikA 17
   evamavyaktasyāstitvaṃ pravṛttiṃ ca prasādhya puruṣāstitvaṃ	evam-avyaktasya-astitvam pravRttim ca prasADya puruza-astitvam
   prasādhayitumāha-	prasADayitum-Aha-
   saṃghātaparārthatvāt triguṇādiviparyayādadhiṣṭhānāt /	saMGAta-para-arTa-tvAt triguNa-Adi-viparyayAt-aDizWAnAt /
   puruṣo 'sti bhoktṛbhāvātkaivalyārthaṃ pravṛtteśca // ISk_17 //	puruzaH asti BoktR-BAvAt-kEvalya-arTam pravRtteH-ca // ISc-_17 //
   'saṃghātaparārthatvāt'; ityādi / saṃhanyata iti saṃghātaḥ / saṃghātaścāsau	asaMGAta-para-arTa-tvAt-a; ityAdi / saMhanyate iti saMGAtaH / saMGAtaH-ca-asO
   parārthaśceti saṃghātaparārthaḥ / saṃghātatvaṃ hetuḥ parārthatvaṃ sādhyam	para-arTaH-ca-iti saMGAta-para-arTaH / saMGAta-tvam hetuH parArTa-tvam sADyam
   / iha loke saṃghātabāhyāḥ śayanāsanādayo ye te parārthā dṛṣṭāḥ / te hi	/ iha loke saMGAta-bAhyAH Sayana-Asana-AdayaH ye te para-arTAH dRzwAH / te hi
   devadattasya parasyārthaṃ kurvanti na svārtham / ete 'pyādhyātmikā	devadattasya parasya-arTam kurvanti na sva-arTam / ete api-ADyAtmikA
   mahadādayaḥ śarīrasaṃjñakāḥ saṃghātāḥ, taiḥ parārthairbhavitavyam / na ca	mahat-AdayaH SarIra-saMjQakAH saMGAtAH, tEH para-arTEH-Bavitavyam / na ca
   puruṣavyatirikto 'nyaḥ paro 'sti, puruṣa eva para i....nyatodṛṣṭam //	puruza-vyatiriktaH anyaH paraH asti, puruzaH eva paraH i....nyatA-udRzwam //
   nanu mahadādibhūtaparyantaṃ śarīrameva puruṣo nānyaḥ kaścidityatrāha-	nanu mahat-Adi-BUta-paryantam SarIram-eva puruzaH na-anyaH kaScid-iti-atra-Aha-
   'triguṇādiviparyayāt'; iti / ādiśabdenāvivekyādayaḥ pañca dharmā dṛśyante	atri-guNa-Adi-viparyayAt-a; iti / Adi-Sabdena-aviveki-AdayaH paQca DarmAH dRSyante
   / tathā hi tadviparītaḥ pumānityuktam / tataśca tadviparītatvātpuṃsaḥ	/ taTA hi tad-viparItaH pumAn-iti-uktam / tatas-ca tad-viparIta-tvAt-puMsaH
   kathaṃ mahadādimātrameva puruṣaḥ / tasmādvyatiriktaḥ puruṣo yasyārthakā	kaTam mahat-Adi-mAtram-eva puruzaH / tasmAt-vyatiriktaH puruzaH yasya-arTakA
   ime saṃghātāḥ //	ime saMGAtAH //
   'adhiṣṭhānāt'; iti / adhitiṣṭhatyasminnityadhiṣṭhānam /	aaDizWAnAt-a; iti / aDitizWati-asmin=-iti-aDizWAnam /
