   caturtha uddyotaḥ	caturTaH uddyotaH
   anena cumbanābhilāṣasya punarāvirbhāvo gamyate /	anena cumbana-aBilAzasya punar-AvirBAvaH gamyate /
   vilolaṃ kṛtvā cumbanasaṃśayasahitaṃ yathā tathā /	vilolam kRtvA cumbana-saMSaya-sahitam yaTA taTA /
   bhāvārthamāha--na tvityādi /	BAva-arTam-Aha--na tu-ityAdi /
   uttarārdhaṃ vivṛṇoti--evamityādi /	uttara-arDam vivRNoti--evam-ityAdi /
   vilakṣā lajjitā satī /	vilakzA lajjitA satI /
   itīti hetau /	iti-iti hetO /
   apīti vadhvāḥ samuccaye /	api-iti vaDvAH samuccaye /
   ruharuhikākadarthitaṃ autsukyena pīḍitam /	ruha-ruhi-kA-kadarTitam Otsukyena pIxitam /
   gamyamarthamāha---na tvityādi /	gamyam-arTam-Aha---na tu-ityAdi /
   caritārthamityasyānantaraṃ yadyapīti kvacit granthe pāṭhaḥ, tattu	caritArTam-iti-asya-anantaram yadi-api-iti kvacid granTe pAWaH, tat-tu
   nāmaśabdavivaraṇam /	nAma-Sabda-vivaraNam /
   kintviti tuśabdārthakathanam /	kintu-iti tuSabda-arTa-kaTanam /
   anubhaveneti /	anuBavena-iti /
   cumbanāliṅganādyanubhavenetyarthaḥ /	cumbana-AliFgana-Adi-anuBavena-iti-arTaH /
   alabdheti /	alabDa-iti /
   alabdhamavagāhanaṃ yasyāṃ tasyāmityarthaḥ /	alabDam-avagAhanam yasyAm tasyAm-iti-arTaH /
   avagāhanasyālābhe 'pi pāraṃ gatamityāpātato virodhaḥ /	avagAhanasya-alABe api pAram gatam-iti-ApAtataH viroDaH /
   ślokasyāsya navatvaṃ darśayitumāha--dvitīyaśloka ityādi /	Slokasya-asya nava-tvam darSayitum-Aha---dvitIya-SlokaH ityAdi /
   śaṅkate--tenāpītyādi /	SaFkate--tena-api-ityAdi /
   samādhatte--tathāpītyādi /	samADatte---taTA-api-ityAdi /
   paraspareti /	paraspara-iti /
   parasparābhilāṣaprasarasya yā nirodhaparamparā tasyā yatparyavasān	paraspara-aBilAza-prasarasya yA niroDa-paramparA tasyAH yat-paryavasAn
   ityādiślokasya 'nānābhaṅgibhramadbhūḥ' ityādiślokāpekṣayānyatvam /	ityAdiSlokasya anAnA-BaFgi-Bramat-BUH-a ityAdi-Sloka-apekzayA-anya-tvam /
   yuktyānayānusartavyo rasādir bahu-vistaraḥ /	yuktyAnaya-anusartavyaH rasa-AdiH bahu-vistaraH /
   mitho 'py anantatāṃ prāptaḥ kāvya-mārgo yadāśrayāt // DhvK_4.3 //	miTas api ananta-tAm prAptaH kAvya--mArgaH yad-ASrayAt // DhvK_4.3 //
   yuktyānayānusartavyo rasādirbahuvistaraḥ /	yuktyAnaya-anusartavyaH rasa-AdiH-bahu-vistaraH /
   mitho 'pyanantatāṃ prāptaḥ kāvyamārgo yadāśrayāt // 3 //	miTas api-ananta-tAm prAptaH kAvya-mArgaH yad-ASrayAt // 3 //
   bahuvistāro 'yaṃ rasabhāvatadābhāsatatpraśamanalakṣaṇo mārgo yathāsvaṃ	bahu-vistAraH ayam rasa-BAva-tad-ABAsa-tad-praSamana-lakzaNaH mArgaH yaTAsvam
   vibhāvānubhāvaprabhedakalanayā yathoktaṃ prāk /	viBAva-anuBAva-praBeda-kalanayA yaToktam prAk /
   sa sarva evānayā yuktyānusartavyaḥ /	sa sarve eva-anayA yuktyA-anusartavyaH /
   yasya rasāderāśrayādayaṃ kāvyamārgaḥ purātanaiḥ kavibhiḥ sahasra	yasya rasa-AdeH-ASraya-At-ayam kAvya-mArgaH purAtanEH kaviBiH sahasra
   saṃkhyairasaṃkhyairvā bahuprakāraṃ kṣuṇṇatvānmitho 'pyanantatāmeti /	saMKyEH-asaMKyEH-vA bahu-prakAram kzuNNa-tvAt-miTas api-ananta-tAm-eti /
   rasabhāvādīnāṃ hi pratyekaṃ	rasa-BAva-AdInAm hi pratyekam
   vibhāvānubhāvavyabhicārisamāśrayādaparimitatvam /	viBAva-anuBAva-vyaBicAri-samASrayAt-aparimita-tvam /
   teṣāṃ caikaikaprabhedāpekṣayāpi tāvajjagadvṛttamupanibadhyamānaṃ	tezAm ca-ekEka-praBeda-apekzayA-api tAvat-jagat-vRttam-upanibaDyamAnam
   sukavibhistadicchāvaśādanyathā sthitamapyanyathaiva vivartate /	su-kaviBiH-tad-icCA-vaSAt-anyaTA sTitam-api-anyaTA-eva vivartate /
   pratipāditaṃ caitaccitravicārāvasare /	pratipAditam ca-etat-citra-vicAra-avasare /
   locanam ratiruktā, sobhayorapyekasvarūpacittavṛtyanupraveśamācakṣāṇā rati	locanam ratiruktA, sa-uBayoH-api-eka-svarUpa-citta-vRti-anupraveSam-AcakzANA rati
   sutarāṃ poṣayati // 2 // // //	sutarAm pozayati // 2 // // //
   evaṃ maulaṃ bhedacatuṣṭayamudāhṛtyālakṣyakramabhedeṣvatideśamukhena	evam mOlam Beda-catuzwayam-udAhRtya-Alakzya-krama-Bedezu-ati-deSa-muKena
   sarvopabhedaviṣayaṃ nirdeśaṃ karoti--yuktyānayeta /	sarva-upaBeda-vizayam nirdeSam karoti--yukti-Anayeta /
   anusartavya iti /	anusartavyaH iti /
   udāhartavya ityarthaḥ /	udAhartavyaH iti-arTaH /
   yathoktamiti /	yaTA-uktam-iti /
   tasyāṅgānāṃ prabhedā ye prabhedāḥ svagatāśca ye /	tasya-aFgAnAm praBedAH ye praBedAH sva-gatAH-ca ye /
   teṣāmānantyamanyonyasambandhaparikalpanā // //	tezAm-Anantyam-anyonya-sambanDa-parikalpanA // //
   ityatra /	iti-atra /
   pratipāditaṃ caitaditi /	pratipAditam ca-etat-iti /
   caśabdo 'piśabdārthe bhinnakramaḥ /	caSabdaH api-Sabda-arTe BinnakramaH /
   etadapi bālapriyā tadasambhavena tatsambhavaṃ vinetyarthaḥ /	etat-api bAla-priyA tad-asamBavena tad-samBavam vinA-iti-arTaH /
   ratiriti /	ratiH-iti /
   nirvṛtirityarthaḥ /	nirvRtiH-iti-arTaH /
   ukteti /	uktA-iti /
   darśitetyarthaḥ /	darSitA-iti-arTaH /
   sutarāmiti /	sutarAm-iti /
   dvitīyaślokato 'tyadhikamityarthaḥ // 2 // // //	dvitIya-SlokataH atyaDikam-iti-arTaH // 2 // // //
   maulaṃ bhedacatuṣṭayamiti /	mOlam Beda-catuzwayam-iti /
   atyantatiraskṛtavācyārthāntarasaṅkramitavācyāvavivakṣitavācyasya dvau	atyanta-tiraskRta-vAcya-arTa-antara-saFkramita-vAcyO=-avivakzita-vAcyasya dvO
   bhedau, asaṃlakṣyakramavyaṅgyasaṃlakṣyakramavyaṅgyau	BedO, asaMlakzya-krama-vyaFgya-saMlakzya-krama-vyaFgyO
   vivakṣitānyaparavācyasya dvau bhedāvityevamādimaṃ bhedacatuṣṭayamityarthaḥ	vivakzitAni-apara-vAcyasya dvO BedO=-iti-evam-Adimam Beda-catuzwayam-iti-arTaH
   udāhṛtyeti /	udAhRtya-iti /
   anena taraṅgetyādikaṃ saṃlakṣyakramavyaṅgyodāharaṇamiti sphuṭīkṛtaṃ	anena taraFga-iti-Adikam saMlakzya-krama-vyaFgyA-udAharaNam-iti sPuwIkRtam
   vikramorvaśīyasthaṃ, dvitīyodyotodāhṛtaṃ tatpadyaṃ tu yathā tadudāharaṇaṃ	vikrama-urvaSIya-sTan, dvitIya-udyota-udAhRtam tat-padyam tu yaTA tad-udAharaNam
   bhavati, tathā sahṛdayairālocanīyam /	Bavati, taTA sahRdayEH-AlocanIyam /
   nānābhaṅgītyādiślokassamagratayā nopalabdhaḥ /	nAnA-BaFgI-ityAdi-Slokassamagra-tayA na-upalabDaH /
   alakṣyeti /	alakzya-iti /
   alakṣyakramasyāvāntarabhedeṣvityarthaḥ /	alakzya-kramasya-avAntara-Bedezu-iti-arTaH /
   kārikāsthasyāmusartavya ityasya vyākhyānam--udāhartavya iti /	kArikA-sTasya-AmusartavyaH iti-asya vyAKyAnam---udAhartavyaH iti /
   yathoktaṃ prāgityatratyaprākpadārthakathanaṃ tasyāṅgānāmityādi /	yaTA-uktam prAk-iti-atratyaprAc-padArTa-kaTanam tasya-aFgAnAm-ityAdi /
   apiśabdārtha iti /	api-Sabda-arTaH iti /
   samuccaya ityarthaḥ /	samuccayaH iti-arTaH /
   ityatra pratipāditamiti sambandhaḥ /	iti-atra pratipAditam-iti sambanDaH /
   atathāsthitānityatra pūrayati--bahiriti /	ataTA-sTitAn-iti-atra pUrayati---bahis-iti /
   hṛdayādbahirloka ityarthaḥ /	hRdayAt-bahis-loke iti-arTaH /
   gāthā cātra kṛtaiva mahākavinā--	gATA ca-atra kRtA-eva mahA-kavinA--
   atahaṭṭhie vi tahasaṇṭhie vva hiaammi jā ṇivesei /	atahawWie vi taha-saNWie vva hiaammi jAH Nivesei /
   atthavisese sā jaai vikaḍakaigoarā vāṇī // //	atTa-visese sA jaEH vikaxa-kEgoarA vANI // //
   [atathāsthitānapi tathāsaṃsthitāniva hṛdaye yā niveśayati /	[a-taTA-sTitAn-api taTA-asaMsTitAn-iva hRdaye yA niveSayati /
   arthaviśeṣān sā jayati vikaṭakavigocarā vāṇī //	arTa-viSezAn sA jayati vikawa-ka-vi-gocarA vANI //
   iti chāyā] /	iti CAyA] /
   taditthaṃ rasabhāvādyāśrayeṇa kāvyārthānāmānantyaṃ supratipādatam /	tat-itTam rasa-BAva-Adi-ASrayeNa kAvya-arTAnAm-Anantyam su-pratipAdatam /
   etadevopapādayitumucyate-- locanam pratipāditaṃ "bhāvānacetanānapi	etat-eva-upapAdayitum-ucyate- locanam pratipAditam "BAvAn-acetanAn-api
   cetanavaccetanānacetanavadi"tyatra /	cetana-vat-cetanAnacetana-vat-i"ti-atra /
   atathāsthitānapi bahistathāsaṃsthitāniveti /	ataTA-sTitAn-api bahis-taTA-saMsTitAn-iva-iti /
   ivaśabdena ekataratra viśrāntiyogābhāvādeva sutarāṃ vicitrarūpānityarthaḥ	iva-Sabdena ekataratra viSrAnti-yoga-aBAvAt-eva sutarAm vicitra-rUpAn-iti-arTaH
   hṛdaya iti /	hRdayaH iti /
   pradhānatame samastabhāvakanakanikaṣasthāna ityarthaḥ /	praDAnatame samasta-BAva-kanaka-nikaza-sTAnaH iti-arTaH /
   niveśayati yasya yasya hṛdayamasti, tasya tasya acalatayā tatra	niveSayati yasya yasya hRdayam-asti, tasya tasya acala-tayA tatra
   sthāpayatītyarthaḥ /	sTApayati-iti-arTaH /
   ateva te prasiddhārthebhyo 'nya evetyarthaviśeṣāssampadyante /	atA-iva te prasidDArTeByaH anyaH eva-iti-arTa-viSezAssampadyante /
   hṛdayaniviṣṭā eva ca tathā bhavanti nānyathetyarthaḥ /	hRdaya-nivizwAH eva ca taTA Bavanti na-anyaTA-iti-arTaH /
   sā jayati paricchinnaśaktibhyaḥ prajāpatibhyo 'pyutkarṣeṇa vartate /	sA jayati paricCinna-SaktiByaH prajApatiByaH api-utkarzeNa vartate /
   tatprasādādeva kavigocaro varṇanīyo 'rtho vikaṭo nissīmāsampadyate // 3 //	tad-prasAdAt-eva kavi-gocaraH varNanIyaH arTaH vikawaH nissImA-sampadyate // 3 //
   pratibhānāṃ vāṇīnāñcānantyaṃ dhvanikṛtamiti yadanudbhinnamuktaṃ, tadeva	pratiBAnAm vANInAQca-Anantyam Dvani-kRtam-iti yat-anudBinnamuktaM, tat-eva
   kārikayā bhaṅgyā nirūpyata ityāha--upapādayitumiti /	kArikayA BaFgyA nirUpyate iti-Aha---upapAdayitum-iti /
   upapatyā nirūpayitumityarthaḥ /	upapatyA nirUpayitum-iti-arTaH /
   yadyapyarthānantyamātre heturvṛttikāreṇoktaḥ, tathāpi kārikākāreṇa nokta	yadi-api-arTa-Anantya-mAtre hetuH-vRtti-kAreNa-uktaH, taTA-api kArikA-AkAreNa na-ukta
   iti bhāvaḥ /	iti BAvaH /
   yadi vā ucyate saṃgrahaśloko 'yamiti bhāvaḥ /	yadi vA ucyate saMgraha-SlokaH ayam-iti BAvaH /
   ata evāsya ślokasya vṛttigranthe vyākhyānaṃ na kṛtam /	atas eva-asya Slokasya vRtti-granTe vyAKyAnam na kRtam /
   bālapriyā ivaśabdeneti /	bAla-priyAH iva-Sabdena-iti /
   sambhāvanārthakeneti bhāvaḥ /	samBAvana-arTakena-iti BAvaH /
   ityartha iti /	iti-arTaH iti /
   gamyata iti śeṣaḥ /	gamyate iti SezaH /
   samasteti /	samastA-iti /
   samastabhāvāḥ sakalapadārthā eva kanakāni teṣāṃ nikaṣasthāna ityarthaḥ /	samasta-BAvAH sakala-padArTAH eva kanakAni tezAm nikaza-sTAnaH iti-arTaH /
   hṛdaye niveśayatītyasya vivaraṇam--yasyetyādi /	hRdaye niveSayati-iti-asya vivaraNam---yasya-ityAdi /
   ata eva hṛdayasthāpanādeva /	atas eva hRdaya-sTApanAt-eva /
   te hṛdayasthāpitārthāḥ /	te hRdaya-sTApita-arTAH /
   arthaviśeṣānityasya vivaraṇam--prasiddhetyādi /	arTa-viSeza-aniti-asya vivaraNam---prasidDa-ityAdi /
   tatheti /	taTA-iti /
   arthaviśeṣā ityarthaḥ /	arTa-viSezAH iti-arTaH /
   vikaṭaḥ kavigocaro yasyā iti vyutpattimabhipretya vivṛṇoti--kavigocara	vikawaH kavi-gocaraH yasyAH iti vyutpattim-aBipretya vivRNoti---ka-vigocara
   ityādi // 3 // // //	ityAdi // 3 // // //
   'etadeve'tyādigranthamavatārayati--pratibhānāmityādi /	aetat-eve-atyAdi-granTam-avatArayati---pratiBAnAm-ityAdi /
   dhvanikṛtamiti /	Dvani-kRtam-iti /
   dhvanibhedakṛtārthānantyaprayuktamityarthaḥ /	Dvani-Beda-kRtArTa-Anantya-prayuktam-iti-arTaH /
   anudbhinnamiti /	anudBinnam-iti /
   upapatterakathanenāsphuṭamityarthaḥ /	upapatteH-akaTanena-asPuwam-iti-arTaH /
   uktamiti /	uktam-iti /
   dhvanerya ityādinoktamityarthaḥ /	DvaneH-yaH ityAdinA-uktam-iti-arTaH /
   vṛttikāreṇokta iti /	vRtti-kAreNa-uktaH iti /
   'yuktyānaye'tyādikārikāvyākhyāvasara iti śeṣaḥ /	ayukti-Anaye-ati-Adi-kArikA-vyAKyA-avasaraH iti SezaH /
   saṃgrahaśloka iti /	saMgraha-SlokaH iti /
   vṛttikārakṛtaḥ parikaraśloka ityarthaḥ /	vRttikAra-kRtaH parikaraSlokaH iti-arTaH /
   dṛṣṭa-pūrvā api hy arthāḥ kāvye rasa-parigrahāt /	dRzwa--pUrvAH api hi arTAH kAvye rasa--parigrahAt /
   sarve navā ivābhānti madhu-māsa iva drumāḥ // DhvK_4.4 //	sarve navAH iva-ABAnti maDu-mAsaH iva drumAH // DhvK_4.4 //
   dṛṣṭapūrvā api hyarthāḥ kāvye rasaparigrahāt /	dRzwa-pUrvAH api hi-arTAH kAvye rasa-parigrahAt /
   sarve navā ivābhānti madhumāsa iva drumāḥ // 4 //	sarve navAH iva-ABAnti maDu-mAsaH iva drumAH // 4 //
   tathā hi vivakṣitānyaparavācyasyaiva	taTA hi vivakzitAni-apara-vAcyasya-eva
   śabdaśaktyudbhavānuraṇanarūpavyaṅgyaprakārasamāśrayeṇa navatvam /	Sabda-Sakti-udBava-anuraNana-rUpa-vyaFgya-prakAra-samASrayeNa nava-tvam /
   yathā--'dharaṇīdhāraṇāyādhunā tvaṃ śeṣaḥ' ityādeḥ /	yaTA---aDaraNI-DAraNAya-aDunA tvam SezaHa iti-AdeH /
   śeṣo himagiristvaṃ ca mahānto guravaḥ sthirāḥ /	SezaH himagiriH-tvam ca mahAntaH guravaH sTirAH /
   yadalaṅghitamaryādāścalantīṃ bibhrate bhuvam // //	yad-alaFGita-maryAdAH-calantIm biBrate Buvam // //
   ityādiṣu satsvapi /	ityAdizu satsu-api /
   tasyaivārthaśaktyudbhavānuraṇanarūpavyaṅgyasamāśrayeṇa navatvam /	tasya-eva-arTa-Sakti-udBava-anuraNana-rUpa-vyaFgya-samASrayeNa nava-tvam /
   yathā--'evaṃvādini devarṣau' ityādi ślokasya /	yaTA---aevaMvAdini deva-rzO-a ityAdi Slokasya /
   kṛte varakathālāpe kumāryaḥ pulakodgamaiḥ /	kRte vara-kaTA-AlApe kumAryaH pulaka-udgamEH /
   sūcayanti spṛhāmantarlajjayāvanatānanāḥ // //	sUcayanti spRhAm-antar-lajjayA-avanata-AnanAH // //
   ityādiṣu satsvarthaśaktyudbhavānuraṇanarūpavyaṅgyasya	ityAdizu satsu-arTa-Sakti-udBava-anuraNana-rUpa-vyaFgyasya
   kaviprauḍhoktinirmitaśarīratvena navatvam /	kavi-prOXA-ukti-nirmita-SarIra-tvena nava-tvam /
   yathā--'	yaTA---a
   sajjei surahimāso' ityādeḥ /	sajjei surahi-mAsaH-a iti-AdeH /
   surabhisamaye pravṛtte sahasā prādurbhavanti ramaṇīyāḥ /	suraBi-samaye pravRtte sahasA prAdurBavanti ramaNIyAH /
   rāgavatāmutkalikāḥ sahaiva sahakārakalikābhiḥ // //	rAgavatAm-utkalikAH saha-eva sahakAra-kalikABiH // //
   ityādiṣu satsvapyapūrvatvameva /	ityAdizu satsu-api-apUrva-tvam-eva /
   arthaśaktyudbhavānuraṇanarūpavyaṅgyasya	arTa-Sakti-udBava-anuraNana-rUpa-vyaFgyasya
   kavinibaddhavaktṛprauḍhoktimātraniṣpannaśarīratvena navatvam /	kavi-nibadDa-vaktR-prOXa-ukti-mAtra-nizpanna-SarIra-tvena nava-tvam /
   locanam dṛṣṭapūrvā iti /	locanam dRzwa-pUrvAH iti /
   bahiḥ pratyakṣādibhiḥ pramāṇaiḥ prāktanaiśca kavibhirityubhayathā neyam /	bahis pratyakza-AdiBiH pramANEH prAktanEH-ca kaviBiH-iti-uBayaTA na-iyam /
   kāvyaṃ madhumāṃsasthānīyam spṛhāṃ lajjāmiti, rāgavatāmutkamikā iti ca /	kAvyam maDu-mAMsa-sTAnIyam spRhAm lajjA-miti, rAgavatAm-utkamikAH iti ca /
   śabdaspṛṣṭe 'rthe kā hṛdyatā /	Sabda-spRzwe arTe kA hRdyatA /
   etāni codāharaṇāni vitatya pūrvameva vyākhyātānīti kiṃ punarukaktyā	etAni ca-udAharaNAni vitatya pUrvam-eva vyAKyAtAni-iti kim punarukaktyA
   satyapi prāktanakavispṛṣṭatve nūtanatvaṃ	sati-api prAktanaka-vispRzwa-tve nUtana-tvam
   bhavatyevaitatprakārānugrahādityetāvati tātparyaṃ hi	Bavati-eva-etad-prakAra-anugrahAt-iti-etAvati tAtparyam hi
   granthasyādhikannānyat /	granTasya-aDikat-na-anyat /
   bālapriyā drumānvayinamarthamāha---bahirityādi /	bAla-priyA drumAn-vayinam-arTam-Aha----bahis-ityAdi /
   arthānvayinamāha--prāktanairityādi /	arTa-anvayinam-Aha---prAktanEH-ityAdi /
   kā hṛdyateti /	kA hRdyatA-iti /
   ataśca 'kṛta' ityādiślokāt 'evaṃvādinī'tyādeḥ 'surabhī'tyādiślokāt	atas-ca akRta-a ityAdi-SlokAt aevaMvAdinI-ati-AdeH asura-BI-ati-Adi-SlokAt-
   'sajjatī'tyādeśca navatvamastīti bhāvaḥ /	asajjatI-atyAdeH-ca nava-tvam-asti-iti BAvaH /
   satyapītyādi /	sati-api-ityAdi /
   eteṣāmiti śeṣaḥ /	etezAm-iti SezaH /
   etatprakārānugrahānnūtanatvaṃ bhavatyeveti sambandhaḥ /	etad-prakAra-anugrahAn-nUtana-tvam Bavati-eva-iti sambanDaH /
   yathā--	yaTA--
   'vāṇiaa itthidantā' ityādigāthārthasya /	avANiaaH itTi-dantA-a ityAdi-gATa-arTasya /
   kariṇīvehavvaaro maha putto ekkakāṇḍaviṇivāi /	kariNI-veha-vvaaraH maha puttaH ekka-kANxa-viNivAi /
   iasonhāeṃ taha kaho jaha kaṇḍakaraṇḍaaṃ vahai // //	iasA-unhAem taha kaho jaha kaNxa-karaNxaam vahE // //
   [kariṇīvaidhavyakaro mama putra ekakāṇḍavinipātī /	[kariNI-vEDavya-karaH mama putraH eka-kANxa-vinipAtI /
   hatasnuṣayā tathā kṛto yathā kāṇḍakaraṇḍakaṃ vahati //	hata-snuzayA taTA kRtaH yaTA kANxa-karaNxakam vahati //
   iti cchāyā] /	iti cCAyA] /
   evamādiṣvartheṣu satsvapyanālīḍhataiva /	evamAdizu-arTezu satsu-api-anAlIXa-tA-eva /
   yathā vyaṅgyabhedasamākṣayeṇa dhvaneḥ kāvyārthānāṃ navatvamutpadyate,	yaTA vyaFgya-Beda-sama-akzayeNa DvaneH kAvya-arTAnAm nava-tvam-utpadyate,
   tathā vyañjakabhedasamāśrayeṇāpi /	taTA vyaQjaka-Beda-samASrayeNa-api /
   tattu granthavistarabhayānna likhyate svayameva sahṛdayairabhyūhyam /	tat-tu granTa-vistara-BayAt-na liKyate svayam-eva sahRdayEH-aByUhyam /
   atra ca punaḥpunaruktamapi sāratayedamucyate--	atra ca punar-punar-uktam-api sAratayA-idam-ucyate--
   vyaṅgya-vyañjaka-bhāve 'smin vividhe sambhavaty api /	vyaFgya--vyaQjaka-BAve asmin viviDe samBavati api /
   rasādi-maya ekasmin kaviḥ syād avadhānavān // DhvK_4.5 //	rasa-Adi--mayaH ekasmin kaviH syAt avaDAnavAn // DhvK_4.5 //
   vyaṅgyavyañjakabhāve 'sminvividhe sambhavatyapi /	vyaFgya-vyaQjaka-BAve asmin-viviDe samBavati-api /
   rasādimaya aikasmin kaviḥ syādavadhānavān // 5 //	rasa-Adi-mayaH Ekasmin kaviH syAt-avaDAnavAn // 5 //
   asminnarthānantyahetau vyaṅgyavyañjakabhāve vicitraṃ śabdānāṃ	asmin=-arTa-Anantya-hetO vyaFgya-vyaQjaka-BAve vicitram SabdAnAm
   sambhavatyapi kavirapūrvārthalābhārthī rasādimaya ekasmin	samBavati-api kaviH-apUrva-arTa-lABa-arTI rasa-Adi-mayaH ekasmin
   vyaṅgyavyañjakabhāve yatnādavadadhīta /	vyaFgya-vyaQjaka-BAve yatnAt-avadaDIta /
   rasabhāvatadābhāsarūpe hi vyaṅgye tadyvañjakeṣu ca yathānirdiṣṭeṣu	rasa-BAva-tad-ABAsa-rUpe hi vyaFgye tadi-vaQjakezu ca yaTA-nirdizwezu
   varṇapadavākyaracanāprabandheṣvavahitamanasaḥ kaveḥ sarvamapūrve kāvyaṃ	varNa-pada-vAkya-racanA-prabanDezu-avahita-manasaH kaveH sarvam-apUrve kAvyam
   sampadyate /	sampadyate /
   tathā ca rāmāyaṇamahābhāratādiṣu saṅghāmādayaḥ punaḥpunarabhihitā api	taTA ca rAmAyaNa-mahABArata-Adizu saFGAm-a-AdayaH punar-punar-aBihitAH api
   navanavāḥ prakāśante /	nava-navAH prakASante /
   prabandhe cāṅgī rasa eka evopanibadhyamāno 'rthaviśeṣalābhaṃ chāyātiśayaṃ	prabanDe ca-aFgI rasaH ekaH eva-upanibaDyamAnaH arTa-viSeza-lABam CAyA-atiSayam
   ca puṣṇāti /	ca puzNAti /
   kasminniveti cet---yathā rāmāyaṇe yathā vā mahābhārate /	kasmin=-iva-iti cet---yaTA rAmAyaNe yaTA vA mahABArate /
   rāmāyeṇe hi karuṇo rasaḥ svayamādikavināsūtritaḥ 'śokaḥ ślokatvamāgataḥ'	rAmAyeNe hi karuNaH rasaH svayam-AdikavinA-sUtritaH aSokaH Sloka-tvam-AgataH-a
   ityevaṃvādinā /	iti-evaMvAdinA /
   nirvyūḍhaśca sa eva locanam kariṇīvaidhavyakaro mama putraḥ ekena kāṇḍena	nirvyUXaH-ca saH eva locanam kariNI-vEDavya-karaH mama putraH ekena kANxena
   vinipātanasamarthaḥ hatasnuṣayā tathā kṛto yathā kāṇḍakaraṇakaṃ	vinipAtana-samarTaH hata-snuzayA taTA kRtaH yaTA kANxa-karaNakam
   vahatītyuttāna evāyamarthaḥ, gāthārthasyānālīḍhataiveti sambandhaḥ // 4.	vahati-iti-uttAnaH eva-ayam-arTaH, gATA-arTasya-anAlIXa-tA-eva-iti sambanDaH // 4.
   bālapriyā etatprakāretyasya dhvaniprabhedetyarthaḥ /	bAla-priyA etat-prakAra-iti-asya Dvani-praBeda-iti-arTaH /
   vṛttau 'śarīratvena navatva'mityubhayatra bhavatīti śeṣaḥ.	vRttO aSarIra-tvena nava-tva-am-iti-uBayatra Bavati-iti SezaH.
   'ekakāṇḍavinipātī'ti chāyā, tasya vivaraṇam--ekena kāṇḍenetyādi /	aeka-kANxa-vinipAtI-ati CAyA, tasya vivaraNam---ekena kANxena-ityAdi /
   kāṇḍo bāṇaḥ // 4. //	kANxaH bANaH // 4. //
   sītātyantaviyogaparyantameva svaprabandhamuparacayatā /	sItA-atyanta-viyoga-paryantam-eva sva-prabanDam-upara-caya-tA /
   mahābhārate 'pi śāstrarūpaṃ kāvyacchāyānvayini	mahABArate api SAstra-rUpam kAvya=-CAyA-anvayini
   vṛṣṇipāṇḍavavirasāvasānavaimanasyadāyinīṃ samāptimupanibadhnatā mahāmuninā	vRzNi-pANxava-virasa-avasAna-vEmanasya-dAyinIm samAptim-upanibaDna-tA mahA-muninA
   vairāgyajananatātparyaṃ prādhānyena svaprabandhasya darśayatā	vErAgya-janana-tAtparyam prADAnyena sva-prabanDasya darSayatA
   mokṣalakṣaṇaḥ puruṣārthaḥ śānto rasaśca mukhyatayāvivakṣāviṣayatvena	mokza-lakzaNaH puruza-arTaH SAntaH rasaH-ca muKya-tayA-vivakzA-vizaya-tvena
   sūcitaḥ /	sUcitaH /
   etaccaśina vivṛtamevānyairvyākhyāvidhāyibhiḥ /	etat-caSina vivRtam-eva-anyEH-vyAKyA-viDAyiBiH /
   svayamevacaitadudgīrṇa tenodīrṇamahāmohamagnamujjihīrṣatā	svayam-eva-cA-etat-udgIrNa tena-udIrNa-mahA-moha-magnam-ujjihIrzatA
   lokamativimalajñānālokadāyinā lokanāthena--- yathā yathā viparyeti	lokam-ati-vimala-jQAna-Aloka-dAyinA lokanATena-- yaTA yaTA viparyeti
   lokatantramasāravat /	loka-tantram-asAravat /
   tathā tathā virāgo 'tra jāyate nātra saṃśayaḥ //	taTA taTA virAgaH atra jAyate na-atra saMSayaH //
   locanam atyantagrahaṇena nirapekṣabhāvatayā vipralambhāśaṅkāṃ pariharati /	locanam atyanta-grahaNena nirapekza-BAva-tayA vipralamBa-ASaFkAm pariharati /
   vṛṣṇīnāṃ parasparakṣayaḥ, pāṇḍavānāmapi mahāpathakleśenānucitā vipattiḥ,	vRzNInAm paraspara-kzayaH, pANxavAnAm-api mahApaTa-kleSena-anucitA vipattiH,
   kṛṣṇasyāpi vyādhādvidhvaṃsa iti sarvaṃsyāpi virasamevāvasānamiti /	kRzNasya-api vyADAt-viDvaMsaH iti sarvaMsyA-api virasam-eva-avasAnam-iti /
   mukhyatayeti /	muKya-tayA-iti /
   yadyapi "dharme cārthe ca kāme ca mokṣe ce"tyuktaṃ, tathāpi catvāraścakārā	yadi-api "Darme ca-arTe ca kAme ca mokze ce"ti-uktan, taTA-api catvAraH-cakArA
   evamāhuḥ--yadyapi dharmārthakāmānāṃ sarvasvaṃ tādṛṅnāsti yadanyatra na	evam-AhuH--yadi-api Darma-arTa-kAmAnAm sarva-svam tAdRS-na-asti yat-anyatra na
   vidyate, tathāpi paryantavirasatvamatraivāvalokyatām /	vidyate, taTA-api paryanta-virasa-tvam-atra-eva-avalokyatAm /
   mokṣe tu yadrūpaṃ tasya sāratātraiva vicāryatāmiti /	mokze tu yat-rUpam tasya sAra-tA-atra-eva vicAryatAm-iti /
   yathāyatheti /	yaTA-yaTA-iti /
