   prastāvanā /	prastAvanA /
   yā tūpamā sadṛśādibhiḥ padaiḥ śliṣṭā tasyāṃ na śrautena rūpeṇa	yA tu-upamA sadRSa-AdiBiH padEH SlizwA tasyAm na SrOtena rUpeNa
   ubhayānuyāyitayā upamānopameyabhāvo 'vagamyate /	uBaya-anuyAyitayA upamAna-upameya-BAvaH avagamyate /
   api tvarthāt /	api tu-arTAt /
   sadṛśādīnāṃ padānāmupamānopameyayorekatraiva viśrānteḥ /	sadRSa-AdInAm padAnAm-upamAna-upameyayoH-ekatra-eva viSrAnteH /
   anyatra ca tadgatasādṛśyaparyālocanayā tatsaṃbandhitvāvagateḥ /	anyatra ca tad-gata-sAdRSya-paryAlocanayA tad-saMbanDi-tva-avagateH /
   tenāsau ārthī /	tena-asO ArTI /
   taduktaṃ 'sadṛśādipadāśleṣādanyathā'iti /	tat-uktam asadRSa-Adi-pada-ASlezAt-anyaTA-aiti /
   anyatheti /	anyaTA-iti /
   aśrautena rūpeṇetyarthaḥ /	aSrOtena rUpeNa-iti-arTaH /
   tasyā udāharaṇam----	tasyAH udAharaNam-----
   prabodhāddhavalaṃ rātrau kiñjalkālīnaṣaṭpadam /	praboDAt-havalam rAtrO kiQjalka-AlIna-zawpadam /
   pūrṇendubimbapratimamāsītkumudakānanam // UKss_1.*20 //	pUrNa-indu-bimba-pratimam-AsIt-kumuda-kAnanam // UKsH-_1.*20 //
   atra kumudakānanaṃ vikasitaṃ kiñjalkālīnaṣaṭpadatvaviśiṣṭamupameyam,	atra kumudakAnanam vikasitam kiQjalka-AlIna-zawpada-tva-viSizwam-upameyam,
   pūrṇendubimbamupamānam, dhavalatvaṃ sādhāraṇo dharmaḥ /	pUrNa-indu-bimbam-upamAnam, Davala-tvam sADAraNaH DarmaH /
   pratimāśabda upamānopameyabhāvāvagatihetuḥ /	pratimA-SabdaH upamAna-upameya-BAva-a=-agati-hetuH /
   sa ca upamāne viśrāntaḥ /	sa ca upamAne viSrAntaH /
   tathāhi /	taTA-hi /
   pūrṇondubimbaṃ pratimā pratibimbaṃ sadṛśamasyeti bahūvrīhiratra kriyate /	pUrNa-undu-bimbam pratimA pratibimbam sadRSam-asya-iti bahu-uvrIhiH-atra kriyate /
   tena pratimāśabda upamāne viśrāntaḥ /	tena pratimA-SabdaH upamAne viSrAntaH /
   tena copamāne viśrāntenāpi arthādupameyasya sādṛśyamavagamyate /	tena ca-upamAne viSrAntena-api arTAt-upameyasya sAdRSyam-avagamyate /
   sādṛśyasyobhayādhiṣṭhānatvāt /	sAdRSyasya-uBaya-aDizWAna-tvAt /
   yadāpi ca pūrṇendubimbena pratimamiti tṛtīyātatpuruṣastadāpyupameye	yadA-api ca pUrNa-indu-bimbena pratimam-iti tRtIyA-tatpuruzaH-tadA-api-upameye
   khakaṇṭhenābhihitaṃ sādṛśyam /	Ka-kaNWena-aBihitam sAdRSyam /
   upamāne ca tasyārthātpratipattiḥ /	upamAne ca tasya-arTAt-pratipattiH /
   ato bahuvrīhau upamānagatasādṛśyaparyālocanayā upameyatvamavagamyate /	atas bahuvrIhO upamAna-gata-sAdRSya-paryAlocanayA upameya-tvam-avagamyate /
   tatpuruṣe tu upameyavartisādṛśyavicāreṇa	tatpuruze tu upameya-varti-sAdRSya-vicAreNa
   umamānasyopamānatvāvagatirityārtho 'tropamānopameyabhāvaḥ /	umamAnasya-upamAna-tva-a=-agatiH-itya-arTaH atra-upamAna-upameya-BAvaH /
   atra ca upameyavartikiñjalkālīnaṣaṭpadatvābhidhānasāmarthyādaparamapi	atra ca upameya-varti-kiQjalka-AlIna-zawpadatva-aBiDAna-sAmarTyAt-aparam-api
   sādharmyamanabhihitamasitodaratvalakṣaṇamākṣiptam /	sADarmyam-anaBihitam-asita-udara-tva-lakzaNam-Akziptam /
   yathā pūrṇendubimbaṃ śaśalāñchanatvādasitodaramevaṃ kumudakānanamapi	yaTA pUrNa-indu-bimbam SaSalAQCana-tvAt-asita-udaram-evam kumuda-kAnanam-api
   kiñjalkālīnaṣaṭpadatvāditi /	kiQjalka-AlIna-zawpada-tvAt-iti /
   ato 'sitodaratvalakṣaṇaṃ dharmamapekṣya luptaikadeśatvālluptāpīyamupamā /	atas asita-udara-tva-lakzaNam Darmam-apekzya lupta-eka-deSa-tvAt-luptA-apIyam-upamA /
   'netrairivotpalaiḥ'ityādau tu yadyapi netrotpalādīnāṃ samānadharmā	anetrEH-iva-utpalEH-aityAdO tu yadi-api netra-utpala-AdInAm samAna-DarmA
   dīrghatvanīlatvādayaḥ svaśabdena nopāttāstathāpi bhāntityabhidhīyamānārthe	dIrGa-tva-nIla-tva-AdayaH sva-Sabdena na-upAttAH-taTA-api BAntiti-aBiDIyamAna-arTe
   teṣāmanupraveśātsaṃpūrṇatvamevopamāyāḥ, catuṣṭayopalambhāt /	tezAm-anupraveSAt-saMpUrNa-tvam-eva-upamAyAH, catuzwaya-upalamBAt /
   netrādīni hyatropamānāni /	netra-AdIni hi-atra-upamAnAni /
   utpalādīnyupameyāni /	utpala-AdIni-upameyAni /
   bhānaṃ dīrghatvanīlatvādiviśeṣaṇaparyantaṃ sādhāraṇo dharmaḥ /	BAnam dIrGa-tva-nIla-tva-Adi-viSezaNa-paryantam sADAraNaH DarmaH /
   ivaśabdaśca upamānopameyabhāvāvagatahetuḥ /	iva-SabdaH-ca upamAna-upameya-BAva-avagata-hetuH /
   teneyamupamāsaṃpūrṇaiva prabodhāddhavalimitīyaṃ tvasitodaratvāpekṣayā	tena-iyam-upamA-saMpUrNA-eva praboDAt-havalimiti-iyam tu-asita-udara-tva-apekzayA
   luptatvenāpyuktā /	lupta-tvena-api-uktAH /
   samāsopamā caiṣā pūrṇendubimbapratimamiti samāsasya vihitatvāt /	samAsa-upamA ca-ezA pUrNa-indu-bimba-pratimam-iti samAsasya vihita-tvAt /
   yadā tvatra vākyopamā vivakṣitā bhavati tadaitadevodāharaṇaṃ	yadA tu-atra vAkya-upamA vivakzitA Bavati tadA-etat-eva-udAharaNam
   tadudāharaṇārthatvena	tad-udAharaNa-arTa-tvena
   akhaṇḍenendunā tulyamāsītsumudakānanam // UKss_1.*21 //	aKaNxena-indunA tulyam-AsIt-sumudaka-Ananam // UKsH-_1.*21 //
   ityevaṃ pariṇamayitavyam //	iti-evam pariNamayitavyam //
   evameṣā saṃpūrṇā vākyāvagamyā dvividhopamā pratīpāditā śrautī ārthī ca /	evam-ezA saMpUrNA vAkyO=-agamyA dviviDa-upamA pratIpAditA SrOtI ArTI ca /
   samāsāvagamyā tvārthatvena ekaprakāraivoktā //	samAsO=-agamyA tvA-arTa-tvena eka-prakAra-eva-uktA //
   yā tu taddhitāvaseyā saṃpūrṇā tasyā api dvaividhyaṃ	yA tu tad-hita-avaseyA saMpUrNA tasyAH api dvEviDyam
   śrautatvārthatvabhedena /	SrOta-tva-arTa-tva-Bedena /
   tatra tasyevetyanena hi yo vatirvidhīyate tasya ivārthe	tatra tasya-iva-iti-anena hi yaH vatiH-viDIyate tasya iva-arTe
   vidhīyamānatvādivaśabdavacchrautena rūpeṇa ubhayānuyāyitayā	viDIyamAna-tva-At-iva-Sabda-vat-SrOtena rUpeNa uBaya-anuyAyitayA
   upamānopameyabhāvāvagatinibandhanatvam /	upamAna-upameya-BAva-avagati-nibanDana-tvam /
   yaḥ punastena tulyamiti tulyārtho vatirvidhīyate tato brāhmaṇena	yaH punar-tena tulyam-iti tulya-arTaH vatiH-viDIyate tatas brAhmaNena
   tulyamadhīte brāhmaṇavadadhīte kṣatriya ityupameye	tulyam-aDIte brAhmaNa-vat-aDIte kzatriyaH iti-upameye
   yattadadhyayanakriyādvāreṇa viśrāntaṃ tulyatvaṃ tatparyālocanayā	yat-tat-aDyayana-kriyA-dvAreNa viSrAntam tulya-tvam tad-paryAlocanayA
   arthādupamānasyopamānatvamavagamyate /	arTAt-upamAnasya-upamAna-tvam-avagamyate /
   tenārthastatra upamānopameyabhāvaḥ /	tena-arTaH-tatra upamAna-upameya-BAvaH /
   taduktam----	tat-uktam-----
   'vatinā ca karmasāmānyavacanena /	avatinA ca karma-sAmAnya-vacanena /
   ṣaṣṭhīsaptamayantācca yo vatirnāmatastadabhidheye'iti /	zazWI-saptamayantAt-ca yaH vatiH-nAmataH-tad-aBiDeye-aiti /
   karmasāmānyavacano vatiḥ 'tena tulyaṃ kriyā cedvatiḥ'; (pā. a. 5. 1. 115.)	karma-sAmAnya-vacanaH vatiH atena tulyam kriyA ced-vatiH-a; (pA. a. 5. 1. 115.)
   iti kriyātulyatve 'bhidhānāt /	iti kriyA-tulya-tve aBiDAnAt /
   tena cābhidhīyate upamā /	tena ca-aBiDIyate upamA /
   vācyeti pūrvopakrāntamatrānuṣajyate /	vAcya-iti pUrva-upakrAntam-atra-anuzajyate /
   ṣaṣṭhyantātsaptamyantācca nāmato nāmnaḥ prātīpadikāditi saṃbandhaḥ //	zazWI-antAt-saptamI-antAt-ca nAmataH nAmnaH prAtIpadikAt-iti saMbanDaH //
   tatra pūrvasyā udāharaṇam-----	tatra pUrvasyAH udAharaNam------
   api sā sumukhī tiṣṭheddṛṣṭeḥ pathi kathaṃcana /	api sA su-muKI tizWet-dRzweH paTi kaTaMcana /
   aprārthitopasaṃpannā patitānabhravṛṣṭivat // UKss_1.*22 //	aprArTita-upasaMpannA patitAnaBra-vRzwi-vat // UKsH-_1.*22 //
   aprārthitopasaṃpannā dṛṣṭeḥ pathi kathaṃcana patitā tiṣṭhediti saṃbandhaḥ	aprArTita-upasaMpannAH dRzweH paTi kaTaMcana patitA tizWet-iti saMbanDaH
   atrānabhravṛṣṭirūpamānam, sumukhī upameyā /	atra-anaBra-vRzwi-rUpa-mAnam, sumuKI upameyAH /
   aprārthitopasaṃpannatve sati dṛṣṭigocarapatitatvenāvasthānaṃ sādhāraṇo	aprArTita-upasaMpanna-tve sati dRzwi-gocara-patita-tvena-avasTAnam sADAraNaH-
   dharmaḥ /	DarmaH /
   vatiśca kriyātulyatve vidhīyamāna upameye kriyādvāreṇa śabdena vṛttena	vatiH-ca kriyA-tulya-tve viDIyamAnaH upameye kriyA-dvAreNa Sabdena vRttena
   viśrāntaḥ saṃstulyatvaparyālocanayopamānasyopamānatvamavagamayati /	viSrAntaH sanstulya-tva-paryAlocanayA-upamAnasya-upamAna-tvam-avagamayati /
   tato 'trārthādupamānopameyabhāvaḥ pratīyate /	tatas atra-arTAt-upamAna-upameya-BAvaH pratIyate /
   teneyaṃ saṃpūrṇāṃ ārthīca taddhitāvaseyā /	tena-iyam saMpUrNAm ArTIca tat-hita-avaseyAH /
   dvitīyasyā udāharaṇam-----	dvitIyasyAH udAharaNam------
   kiṃ syurutkalikā madvattasyā api nirargalāḥ /	kim syuH-utkalikA madvat-tasyAH api nirargalAH /
   akāṇḍoḍḍāmarānaṅgahatakena samarthitāḥ // UKss_1.*23 //	akANxa-uxxAmara-an-aFga-hatakena samarTitAH // UKsH-_1.*23 //
   akāṇḍoḍḍāmaro 'navasare udbhaṭaḥ /	akANxa-uxxAmaraH anavasare udBawaH /
   pracaṇḍa iti pāṭhāntaram /	pracaNxaH iti pAWA-antaram /
   utkalikāḥ utkaṇṭhāḥ /	utkalikAH utkaNWAH /
   atrāsmadartha upamānam /	atra-asmad-arTaH upamAnam /
   tacchabdārtha upameyaḥ /	tad-Sabda-arTaH upameyaH /
   manmathena samarpitā yāstā nirargalāḥ utkalikāstatkartṛkaṃ bhavanaṃ	manmaTena samarpitAH yAH-tAH nirargalAH utkalikAH-tad-kartRkam Bavanam
   sādhāraṇo dharmaḥ /	sADAraNaH DarmaH /
   vatiścevārthe	vatiH-ca-iva-arTe
   vidhīyamānatvādivaśabdavadupamānopameyayorekataratrāpyaviśrāntaḥ śrautena	viDIyamAna-tva-At-iva-Sabda-vat-upamAna-upameyayoH-ekataratrApi-aviSrAntaH SrOtena
   rūpeṇopamānopameyabhāvameva dyotayati /	rUpeNa-upamAna-upameya-BAvam-eva dyotayati /
   teneyaṃ saṃpūrṇā śrautī ca taddhitāvaseyā /	tena-iyam saMpUrNA SrOtI ca tat-hita-avaseyAH /
   atra tu tasyā apīti pāṭhe ṣaṣṭhyantādvatarvidheyaḥ /	atra tu tasyAH api-iti pAWe zazWI-antAt-vatar-viDeyaH /
   yadā tu tasyāmapīti pāṭhastadā saptamyantāt /	yadA tu tasyAm-api-iti pAWaH-tadA saptamI-antAt /
   yaduktam 'upamāne yaḥ saṃśayaḥ sa upameyādyvāvartata'iti /	yat-uktam aupamAne yaH saMSayaH saH upameya-Adi-vAvartata-aiti /
   evameṣā vākyasamāsataddhitāvaseyā saṃpūrṇā trividhopamā pratipāditā /	evam-ezA vAkya-samAsa-tad-hita-avaseyA saMpUrNA triviDa-upamA pratipAditA /
   tatra ca vākyataddhitāvaseyayorupamayoḥ pratyekaṃ śrautatvārthatvabhedena	tatra ca vAkya-tad-hita-avaseyayoH-upamayoH pratyekam SrOta-tva-arTa-tva-Bedena
   dvaividhyamuktam /	dvEviDyam-uktam /
   samāsāvaseyāyāstvārthatvameva /	samAsa-avaseyAyAH-tvA-arTa-tvam-eva /
   ataḥ pañcaprakāraiṣā saṃpūrṇā /	atas paQca-prakAra-ezA saMpUrNAH /
   yā tu luptaikadeśatvālluptopamā sā saṃkṣepopamā /	yA tu lupta-eka-deSa-tvAt-luptA-upamA sA saMkzepa-upamA /
   tasyāśca pañcavidhatvaṃ vākyāsamāsasubdhātukṛttaddhitāvaseyatvāt /	tasyAH-ca paQcaviDa-tvam vAkya-asamAsa-subDa-atu-kRt-tat-hita-avaseya-tvAt /
   tatra vākye yā saṃkṣepopamā sā pūrvamudāhṛtā 'akhaṇḍenendunā tulyamiti'; /	tatra vAkye yA saMkzepa-upamA sA pUrvam-udAhRtA aaKaNxena-indunA tulya-miti-a; /
   atra hyasitodaratvasya	atra hi-asita-udara-tvasya
   anupāttatvātsādhāraṇadharmānupādānālluptaikadeśatvamapi vidyate /	anupAtta-tvAt-sADAraNa-Darma-anupAdAnAt-lupta-eka-deSa-tvam-api vidyate /
   samāsāvaseyā punaḥ saṃkṣepopamā trividhā /	samAsAvaseyA punar saMkzepa-upamA triviDA /
   ekadvitrilope bhāvāt /	eka-dvi-tri-lope BAvAt /
   ekalope dvividhā, sādhāraṇadharmavācina ivādervānupādānāt /	eka-lope dviviDA, sADAraNa-Darma-vAcinaH iva-AdeH-vA-anupAdAnAt /
   taduktaṃ 'sāmyavācakavicyute'riti /	tat-uktam asAmyavAcaka-vicyute-ariti /
   'tadvāciviraheṇe'ti ca /	atad-vAci-viraheNe-ati ca /
   sāmyavācakaḥ sādhāraṇadharmavācī /	sAmya-vAcakaH sADAraNa-Darma-vAcI /
   (sādhāraṇadharmaḥ) saundaryādiḥ /	(sADAraNa-DarmaH) sOndarya-AdiH /
   tadvācī upamānopameyabhāvavācī ca ivādiḥ /	tad-vAcI upamAna-upameya-BAva-vAcI ca iva-AdiH /
   atra ca sarvatra prakaraṇe 'saṃkṣepābhihitāpyeṣā'iti, 'kvacit, samāsa'iti,	atra ca sarvatra prakaraNe asaMkzepa-aBihitA-api-ezA-aiti, akvacit, samAsa-aiti,
   'nibadhyata'iti ca trayaṃ pratyekaṃ yathopayogamanuṣajyate /	anibaDyata-aiti ca trayam pratyekam yaTA-upayogam-anuzajyate /
   tatra sāmyavāciviyogena samāse yā saṃkṣepopamā tasyāḥ	tatra sAmya-vAci-viyogena samAse yA saMkzepa-upamA tasyAH
   pūrvamevodāharaṇamuktaṃ 'pūrṇendubimbapratimami'ti /	pUrvam-eva-udAharaNam-uktam apUrNa-indu-bimba-pratimami-ati /
   atra hyasitodaratvamarthasāmarthyāvaseyatvācchabedena nopāttam //	atra hi-asita-udara-tvam-arTa-sAmarTya-avaseya-tvAt-Sabedena na-upAttam //
   ivādiviyoge tu tasyā udāharaṇam----	iva-Adi-viyoge tu tasyAH udAharaNam-----
   iti kāle kalollāpikādambakulasaṅkule /	iti kAle kalA-ullApikA-damba-kula-saFkule /
   tridaśādhīśaśārdūlaḥ paścāttāpena dhūrjaṭiḥ // UKss_1.*24 //	tridaSa-aDISa-SArdUlaH paScAttApena DUrjawiH // UKsH-_1.*24 //
   tāṃ śaśicchāyavadanāṃ nīlotpaladalekṣaṇām /	tAm SaSi=-CAya-vadanAm nIlotpala-dala-IkzaNAm /
   sarojakarṇikāgaurīṃ gaurīṃ prati mano dadhau // UKss_1.*25 //	saroja-karNikA-gOrIm gOrIm prati manaH daDO // UKsH-_1.*25 //
   kādambāḥ pakṣibhedāḥ /	kAdambAH pakzi-BedAH /
   sarojakarṇikāgaurīṃ gaurīmityatra sarojakarṇikā upamānaṃ, gaurī upameyā,	saroja-karNikA-gOrIm gOrIm-iti-atra sarojakarNikA upamAnan, gOrI upameyA,
   gauratvaṃ sādhāraṇo dharmaḥ /	gOra-tvam sADAraNaH DarmaH /
   taccatrayaṃ svakaṇṭhenopāttam /	tat-catrayam sva-kaNWena-upAttam /
   ivādyarthastu upamānasya sādhāraṇadharmavācinā saha "upamānāni	iva-Adi-arTaH-tu upamAnasya sADAraNa-Darma-vAcinA saha "upamAnAni
   sāmānyavacanaiḥ" (pā. a. 2 / 1 / 55) iti yaḥ	sAmAnya-vacanEH" (pA. a. 2 / 1 / 55) iti yaH
   samāsastatsāmarthyadavagamyate /	samAsaH-tad-sAmarTya-dava-gamyate /
   teneyamivādiśabdalopālluptaikadeśā /	tena-iyam-iva-Adi-Sabda-la-upAt-lupta-eka-deSA /
   evamekalope sati dvividhā samāsopamoktā /	evam-eka-lope sati dviviDA samAsa-upama-uktA /
   dvitayalope tvekaprakārā bhavati, sādhāraṇadharmavācina ivādeśca	dvitaya-lope tu-eka-prakArA Bavati, sADAraNa-Darma-vAcinaH iva-AdeH-ca
   yugapadaprayogāt /	yugapada-prayogAt /
   taduktaṃ 'upamānopameyoktau sāmyatadvācivicyavāt'; /	tat-uktam aupamAna-upameya-uktO sAmya-tad-vAci-vicyavAt-a; /
   atra	atra
   sāmyaśabdena sāmyavācī śabdo lakṣyate /	sAmya-Sabdena sAmya-vAcI SabdaH lakzyate /
   sāmyavicyavāccopamāyā asaṃbhavāt /	sAmya-vicyavAt-ca-upamAyAH asaMBavAt /
   tasyā udāharaṇaṃ 'tridaśādhīśaśārdūla'iti, nīlotpaladalekṣaṇam'iti ca /	tasyAH udAharaNam atridaSa-aDISa-SArdUla-aiti, nIlotpala-dala-IkzaNam-aiti ca /
   'tridaśādhīśaśārdūlaḥ'ityatra ca tridaśādhiśa upameyaḥ, śārdūla upamānam /	atridaSa-aDISa-SArdUlaH-aiti-atra ca tridaSa-aDiSaH upameyaH, SArdUlaH upamAnam /
   tacca dvayaṃ svakaṇṭhenopāttam /	tat-ca dvayam sva-kaNWena-upAttam /
   ivādyarthaḥ sādhāraṇaśca dharmastejasvitvādiḥ sāmarthyādavasīyate /	iva-Adi-arTaH sADAraNaH-ca DarmaH-tejasvi-tva-AdiH sAmarTyAt-avasIyate /
   'nīlotpaladalekṣaṇām'ityatra tu nīlotpalapalāśānāmupamānatvaṃ,	anIlotpala-dala-IkzaNAm-aiti-atra tu nIlotpala-palASAnAm-upamAna-tvaM,
   īkṣaṇayorupameyatā /	IkzaNayoH-upameya-tA /
   etayośca svakaṇṭheno pādānam /	etayoH-ca sva-kaNWeno pAdAnam /
   nīlatvadīrghatvādisādhāraṇo dharma ivādyarthaśca upamānopameyabhāvātmakaḥ	nIlatva-dIrGa-tva-Adi-sADAraNaH DarmaH iva-Adi-arTaH-ca upamAna-upameya-BAva-AtmakaH
   svaśabdena anupātto 'pi samāsavaśenārthasāmarthyādavasīyate /	sva-Sabdena anupAttaH api samAsa-vaSena-arTa-sAmarTyAt-avasIyate /
   'tridaśādhīśaśārdūla'ityasmāttu 'nīlotpaladalekṣaṇāmi'tyasya	atri-daSa-aDISa-SArdUla-aiti-asmAt-tu anIlotpala-dala-IkzaNAmi-atyasya
   bahuvrīhitvakṛto viśeṣaḥ /	bahuvrIhi-tva-kRtaH viSezaH /
   tatra hi "upamitaṃ vyāghrādibhiḥ"iti tatpuruṣo vihitaḥ /	tatra hi "upamitam vyAGra-AdiBiH"iti tatpuruzaH vihitaH /
   evameṣā sādhāraṇadharmavācina ivādeścāprayogāt dvitayalope samāse	evam-ezA sADAraNa-Darma-vAcinaH iva-AdeH-ca-aprayogAt dvitaya-lope samAse
   saṃkṣepopamoktā /	saMkzepa-upama-uktAH /
   tritayalope tu sādhāraṇadharmavācina upameyābhidhāyina	tritaya-lope tu sADAraNa-Darma-vAcinaH upameya-aBiDAyina
   upamānopameyabhāvavācinaśca ivāderyugapadaprayogātsamāsavarttinī	upamAna-upameya-BAva-vAcinaH-ca iva-AdeH-yugapada-prayogAt-samAsa-varttinI
   saṃkṣepopamā bhavati /	saMkzepa-upamA Bavati /
   taduktaṃ "sāmyopameyatadvāciviyogācca"iti /	tat-uktam "sAmya-upameya-tad-vAci-viyogAt-ca"iti /
   atrāpi pūrvavatsāmyopameyaśabdābhyāṃ tadvācī śabdau lakṣyate /	atra-api pUrvavat-sAmya-upameya-SabdAByAm tad-vAcI SabdO lakzyate /
   tasyā udāharaṇaṃ "śaśicchāyavadanāmi"ti /	tasyAH udAharaNam "SaSi=-CAya-vadanAm-i"ti /
   atra hi śaśicchāyātulyā chāyā yasya tathāvidhaṃ vadanaṃ yasyā iti	atra hi SaSi=-CAyA-tulyA CAyA yasya taTAviDam vadanam yasyAH iti
   bahuvrīhigarme bahuvrīhau śaśikāntirupamānaṃ, vadanakāntirūpameyā /	bahu-vrIhi-garme bahuvrIhO SaSi-kAntiH-upamAnan, vadana-kAnti-rUpa-meyAH /
   tayośca sādhāraṇo dharma āhlādakatvādistulyatvaṃ ceti catuṣṭayamavagamyate	tayoH-ca sADAraNaH DarmaH AhlAdaka-tva-AdiH-tulya-tvam ca-iti catuzwayam-avagamyate
   śabdaspṛṣṭaṃ tūpamānameva śaśicchāyeti /	Sabda-spRzwam tu-upamAnam-eva SaSi=-CAyA-iti /
   taditarasyopameyādestritayasya samāsasāmarthyenārthāvaseyatvāt /	tad-itarasya-upameya-AdeH-tritayasya samAsa-sAmarTyena-arTa-avaseya-tvAt /
   evameṣā tritayalope samāsavartinī saṃkṣepopamā udāhṛtā /	evam-ezA tritaya-lope samAsa-vartinI saMkzepa-upamAH udAhRtA /
   tedavamatra catuḥprakārā luptā samāsopamā pratipāditā /	tedavam-atra catur-prakArA luptA samAsa-upamA pratipAditA /
   ekalope dve, dvitayalope ekā, tritayalope caiketi /	eka-lope dve, dvitaya-lope ekA, tritaya-lope ca-ekA-iti /
   subdhātupratyayāvaseyā punarupamā trividhā kyac kyaṅ kvipū	subDAtu-pratyaya-avaseyA punar-upamA triviDA kyat kyaF kvipU
   pratyayāvaseyatvāt /	pratyaya-avaseya-tvAt /
   kyacpratyayāvaseyāpi trividhā karmopamānakatvādadhikaraṇopamānakatvācca /	kyacpratyaya-avaseyA-api triviDA karma-upamAnaka-tvAt-aDikaraNa-upamAnaka-tvAt-ca /
   taduktaṃ "tathopamānādācāre kyacpratyayabaloktitaḥ"iti /	tat-uktam "taTA-upamAnAt-AcAre kyat-pratyaya-bala-uktitaH"-iti /
   yathā samāse saṃkṣepābhihitā upamā samāsasamarthyādavagamyamānā nibadhyate	yaTA samAse saMkzepa-aBihitA upamA samAsa-samarTyAt-avagamyamAnA nibaDyate
   tathā kasmiṃścidviṣaye upamānātkarmaṇaḥ adhikaraṇādvā ācārārthe	taTA kasmiMScid-vizaye upamAnAt-karmaNaH aDikaraNAt-vA AcAra-arTe
   yathākramaṃ sautra aupasaṃkhyānikaśca yaḥ kyacpratyayastadbalena yāsau	yaTAkramam sOtra OpasaMKyAnikaH-ca yaH kyat-pratyayaH-tad-balena yA-asO
   bhaṇitistatsāmarthyādapyavasīyamānā nibadhyate /	BaNitiH-tad-sAmarTyAt-api-avasIyamAnA nibaDyate /
   tasyā udāharaṇaṃ----	tasyAH udAharaNaM----
   sa duḥsthīyan kṛtārtho 'pi niḥśeṣaiśvaryasaṃpadā /	sa duHsTIyan kRtArTaH api niHSeza-ESvarya-saMpadA /
   nikāmakamanīye 'pi narakīyati kānane // UKss_1.*26 //	nikAma-kamanIye api narakIyati kAnane // UKsH-_1.*26 //
   niḥśeṣaiśvaryasaṃpadā kṛtārtho 'pīti saṃbandhaḥ /	niHSeza-ESvarya-saMpadA kRtArTaH api-iti saMbanDaH /
   atra duḥsthamivātmānamācaranniti duḥsthaḥ kaściddāridṣādyupapluta	atra duHsTam-iva-AtmAnam-Acaran=-iti duHsTaH kaScid-dAridza-Adi-upapluta
   upamānaṃ, bhagavadātmā upameyaḥ, ācārākhyaḥ sādhāraṇo dharmaḥ	upamAnan, Bagavat-AtmA upameyaH, AcAra-AKyaH sADAraNaH DarmaH
   kyacpratyayopāttaḥ /	kyacpratyaya-upAttaH /
   atra copamānasādhāraṇadharmayoḥ śabdaspṛṣṭatvaṃ /	atra ca-upamAna-sADAraNa-DarmayoH Sabda-spRzwa-tvam /
   upameyasya upamānopameyabhāvasya ca sāmarthyādavagatiḥ /	upameyasya upamAna-upameya-BAvasya ca sAmarTyAt-avagatiH /
   teneyaṃ dvitayasya gamyamānārthatvāddvitayalope sati subdhātūpamā /	tena-iyam dvitayasya gamyamAna-arTa-tvAt-dvitaya-lope sati subDAtu-upamA /
   evamiyaṃ karmopamānikā subdhātūpamā udāhṛtā /	evam-iyam karma-upamAnikA subDAtu-upamA udAhRtA /
   adhikaraṇopamānikā tu 'narakīyati kānane'iti /	aDikaraNa-upamAnikA tu anarakIyati kAnane-aiti /
   atra naraka upamānam, kānanamupameyam, kyacpratyayopāttstvācāraḥ sādhāraṇo	atra narakaH upamAnam, kAnanam-upameyam, kyat-pratyaya-upAttH-tu-AcAraH sADAraNaH-
   dharmaḥ /	DarmaH /
   ivādayastu kyacpratyayasāmarthenopamānopameyabhāvasyāvaseyatvādaprayuktāḥ	iva-AdayaH-tu kyat-pratyaya-sAmarTena-upamAna-upameya-BAvasya-avaseya-tvAt-aprayuktAH
   teneyaṃ ekalope sati subdhātupamā /	tena-iyam eka-lope sati subDAtu-pamA /
   evameṣā kyacpratyayāvagamyā dvividhā saṃkṣepopamokta /	evam-ezA kyat-pratyayO=-agamyA dviviDA saMkzepa-upamoktaH /
   kyaṅpratyayasāmarthyāvagamyā tu kartrapamānikā saṃkṣepopamā bhavati /	kyaFpratyaya-sAmarTya-a=-agamyA tu kartR-apa-mAnikA saMkzepa-upamA Bavati /
   tadāha"karturācāre kyaṅā se"ti, "tathe"ti, "upamānādācāra"iti /	tadA-aha"kartuH-AcAre kyaFA se"ti, "taTA-i"ti, "upamAnAt-AcAra"-iti /
   kvaciditi ca pūrvoktasyātrānuṣaṅgaḥ /	kvacid-iti ca pUrva-uktasya-atra-anuzaFgaH /
   karturupamānāduttareṃṇācāraviṣayeṇa kyaṅā sā saṃkṣepopamā kvacinnibadhyata	kartuH-upamAnAt-uttareMNa-AcAra-vizayeNa kyaFA sA saMkzepa-upamA kvacid-nibaDyata
   ityarthaḥ /	iti-arTaH /
   tasyā udāharaṇam----	tasyAH udAharaNam-----
   kṛśānuvajjagattsya paśyatastāṃ priyāṃ vinā /	kRSAnu-vat-jagattsya paSyataH-tAm priyAm vinA /
   khadyotāyitumārabdhaṃ tattvajñānamahāmahaḥ // UKss_1.*27 //	KadyotAyitum-ArabDam tattva-jQAna-mahAmahaH // UKsH-_1.*27 //
   khadyoto jyotirmālikā /	KadyotaH jyotirmAlikA /
   atra khadyotāyitumityādau khadyota upamānam /	atra KadyotAyitum-iti-AdO KadyotaH upamAnam /
