   akrodhādyāś ca niyamāḥ SUp_7.101c	akroDa-AdyAH ca niyamAH SUp_7.101c
   jīvāḥ sthāvarajaṅgamāḥ SUp_4.57d	jIvAH sTAvara-jaFgamAH SUp_4.57d
   jīviṣyanti mayā vinā SUp_7.105b	jIvizyanti mayA vinA SUp_7.105b
   jñātvā śaktaṃ ca bhojayet SUp_7.32d	jQAtvA Saktam ca Bojayet SUp_7.32d
   jñānacakṣur avāpnuyāt SUp_6.234d	jQAnacakzuH avApnuyAt SUp_6.234d
   jñānadhyānasamākulāḥ SUp_4.67d	jQAna-DyAna-samAkulAH SUp_4.67d
   jñānayogavinirmuktaḥ SUp_1.29a	jQAna-yoga-vinirmuktaH SUp_1.29a
   jñānayogaṃ tataḥ prāpya SUp_6.180c	jQAna-yogam tatas prApya SUp_6.180c
   jñānayogaṃ na vindanti SUp_1.3a	jQAna-yogam na vindanti SUp_1.3a
   jñānayogaṃ samāsādya SUp_5.26c	jQAna-yogam samAsAdya SUp_5.26c
   jñānayogena mucyante SUp_1.31a	jQAna-yogena mucyante SUp_1.31a
   jñānasnānaṃ tathāṣṭamam SUp_5.31d	jQAna-snAnam taTA-azwamam SUp_5.31d
   jñānaṃ bhāvātmaśuddhiś ca SUp_5.44c	jQAnam BAva-Atma-SudDiH ca SUp_5.44c
   jñānaṃ vakti na hītaraḥ SUp_7.4d	jQAnam vakti na hi-itaraH SUp_7.4d
   jñānād yogaparikleśaṃ SUp_7.117a	jQAnAt yoga-parikleSam SUp_7.117a
   jñānād viraktaḥ saṃsārāc SUp_4.31c	jQAnAt viraktaH saMsArAt SUp_4.31c
   jñānān muktim avāpnuyāt SUp_7.74d	jQAnAt muktim avApnuyAt SUp_7.74d
   jñānāmalāmbhasā snātaḥ SUp_5.41a	jQAna-amala-amBasA snAtaH SUp_5.41a
   jñāninaḥ pāśapañjarāt SUp_1.13d	jQAninaH pASa-paQjarAt SUp_1.13d
   jñeyaṃ tac chivadānataḥ SUp_6.104d	jQeyam tat Siva-dAnataH SUp_6.104d
   jñeyaṃ sarvārthasādhakam SUp_3.12d	jQeyam sarva-arTa-sADakam SUp_3.12d
   jvalantaṃ na pradīpaṃ ca SUp_7.71c	jvalantam na pradIpam ca SUp_7.71c
   tacchāntim iha dhārayet SUp_6.155d	tad-SAntim iha DArayet SUp_6.155d
   tacchīrṣāṇīva hastārdham SUp_3.6c	tad-SIrzANi-iva hasta-arDam SUp_3.6c
   taccheṣam api vardhayet SUp_6.143d	tad-Sezam api varDayet SUp_6.143d
   tataś ca tāṃ samutkṣipya SUp_6.163a	tatas ca tAm samutkzipya SUp_6.163a
   tataś ca pralaye prāpte SUp_4.54a	tatas ca pralaye prApte SUp_4.54a
   tatas tuṣṇīṃ sthite loke SUp_6.155c	tatas tuzNIm sTite loke SUp_6.155c
   tatas teṣāṃ pradātavyā SUp_6.170c	tatas tezAm pradAtavyA SUp_6.170c
   tataḥ kalpāgninā sārdhaṃ SUp_4.28a	tatas kalpa-agninA sArDam SUp_4.28a
   tataḥ sarvasamāhitaḥ SUp_6.94b	tatas sarva-samAhitaH SUp_6.94b
   tataḥ saṃpṛcchate rudrāṃs SUp_4.29a	tatas saMpRcCate rudrAn SUp_4.29a
   tataḥ svasthānam ānīya SUp_6.143c	tatas sva-sTAnam AnIya SUp_6.143c
   tataḥ svāśramam ānīya SUp_6.154c	tatas sva-ASramam AnIya SUp_6.154c
   tatkartāste śive pure SUp_3.14f	tad-kartAH-te Sive pure SUp_3.14f
   tat kuryād avicārataḥ SUp_7.30b	tat kuryAt avicArataH SUp_7.30b
   tat kharjūraphaleṣu ca SUp_6.12b	tat KarjUra-Palezu ca SUp_6.12b
   tat tac chivāya deyaṃ syād SUp_6.39a	tat tat SivAya deyam syAt SUp_6.39a
   tat tad īśvarabhaktebhyaḥ SUp_6.43a	tat tat ISvara-BakteByaH SUp_6.43a
   tat tīrthaṃ daivam ucyate SUp_5.46b	tat tIrTam dEvam ucyate SUp_5.46b
   tatpaṭe ca likhet somaṃ SUp_6.151c	tat-pawe ca liKet somam SUp_6.151c
   tat puṇyaṃ kṣāntivāriṇā SUp_5.37d	tat puNyam kzAnti-vAriNA SUp_5.37d
   tat puṇyaṃ tindukeṣu ca SUp_6.14d	tat puNyam tindukezu ca SUp_6.14d
   tat puṇyaṃ prāpnuyāt sarvaṃ SUp_6.34a	tat puNyam prApnuyAt sarvam SUp_6.34a
   tat puṇyaṃ sakalaṃ prāpya SUp_6.38a	tat puNyam sakalam prApya SUp_6.38a
   tat puṇyaṃ sakalaṃ bhavet SUp_6.254b	tat puNyam sakalam Bavet SUp_6.254b
   tatpūrve vālamūlakam SUp_6.83b	tad-pUrve vAlamUlakam SUp_6.83b
   tatpradānaphalaṃ labhet SUp_6.255b	tad-pradAna-Palam laBet SUp_6.255b
   tatprasūtikuleṣu ca SUp_6.201b	tad-prasUti-kulezu ca SUp_6.201b
   tatphalaṃ śṛnu yatnataḥ SUp_6.177d	tad-Palam SRnu yatnatas SUp_6.177d
   tatra karma pravartate SUp_1.37d	tatra karma pravartate SUp_1.37d
   tatra kalpaśataṃ bhogān SUp_4.50c	tatra kalpa-Satam BogAn SUp_4.50c
   tatra tiṣṭhet pratīkṣaṃs tad SUp_7.35c	tatra tizWet pratIkzan tat SUp_7.35c
   tatra divyair mahābhogair SUp_6.176a	tatra divyEH mahA-BogEH SUp_6.176a
   tatra bhuktvā mahābhogān SUp_1.30a	tatra BuktvA mahA-BogAn SUp_1.30a
   tatra bhuktvā mahābhogān SUp_2.31e	tatra BuktvA mahA-BogAn SUp_2.31e
   tatra bhuktvā mahābhogān SUp_5.26a	tatra BuktvA mahA-BogAn SUp_5.26a
   tatra bhuktvā mahābhogān SUp_6.93a	tatra BuktvA mahA-BogAn SUp_6.93a
   tatra bhuktvā mahābhogān SUp_7.98a	tatra BuktvA mahA-BogAn SUp_7.98a
   tatrasthān jñānapāragān SUp_4.29b	tatrasTAn jQAna-pAragAn SUp_4.29b
   tatsamāptau ca kalpayet SUp_7.10b	tad-samAptO ca kalpayet SUp_7.10b
   tatsamāptau nivedayet SUp_7.25b	tad-samAptO nivedayet SUp_7.25b
   tatsaṃmukhaṃ ca nirgacchen SUp_7.67c	tad-saMmuKam ca nirgacCet SUp_7.67c
   tatsāyujyam avāpnuyāt SUp_6.209b	tat-sAyujyam avApnuyAt SUp_6.209b
   tathājñāḥ karmayoginaḥ SUp_1.32b	taTA-ajQAH karma-yoginaH SUp_1.32b
   tathā tathā mahat puṇyaṃ SUp_3.14a	taTA taTA mahat puNyam SUp_3.14a
   tathā tathā mahat puṇyaṃ SUp_6.104c	taTA taTA mahat puNyam SUp_6.104c
   tathā tathā mahāpuṇyaṃ SUp_6.279a	taTA taTA mahA-puNyam SUp_6.279a
   tathā saṃkhyā na vidyate SUp_6.110d	taTA saMKyA na vidyate SUp_6.110d
   tathaiva cānukurvīta SUp_7.39c	taTA-eva ca-anukurvIta SUp_7.39c
   tathaiva śirasā vṛtā SUp_6.171d	taTA-eva SirasA vRtA SUp_6.171d
   tad atra parikīrtitam SUp_7.133d	tat atra parikIrtitam SUp_7.133d
   tadante ca gṛhī bhavet SUp_6.211d	tad-ante ca gRhI Bavet SUp_6.211d
   tadante prāpnuyād rājyaṃ SUp_6.218c	tad-ante prApnuyAt rAjyam SUp_6.218c
   tadante muktim āpnuyāt SUp_6.93d	tad-ante muktim ApnuyAt SUp_6.93d
   tadante muktim āpnuyāt SUp_7.98d	tad-ante muktim ApnuyAt SUp_7.98d
   tadante śrīpatir bhavet SUp_6.4d	tad-ante SrIpatiH Bavet SUp_6.4d
   tadante sa mahīpatiḥ SUp_6.65b	tad-ante sa mahIpatiH SUp_6.65b
   tadante syād dvijottamaḥ SUp_6.209d	tad-ante syAt dvijottamaH SUp_6.209d
   tadante syān mahīpatiḥ SUp_6.205d	tad-ante syAt mahIpatiH SUp_6.205d
   tadardhaṃ likuceṣu ca SUp_6.14b	tad-arDam likucezu ca SUp_6.14b
   tadardhārdhasamucchritā SUp_4.14d	tad-arDa-arDa-samucCritA SUp_4.14d
   tadardhena ca vistīrṇaṃ SUp_4.3c	tad-arDena ca vistIrNam SUp_4.3c
   tad alpam api yajñāṅgaṃ SUp_6.283a	tat alpam api yajQa-aFgam SUp_6.283a
   tadā na dīyate kasmāt SUp_6.165c	tadA na dIyate kasmAt SUp_6.165c
   tad ārabhya na saṃtyajet SUp_7.62b	tat AraBya na saMtyajet SUp_7.62b
   tadupary api saṃsthitam SUp_2.8d	tad-upari api saMsTitam SUp_2.8d
   tadūnaś ca na śasyate SUp_2.8b	tad-UnaH ca na Sasyate SUp_2.8b
   tad eva rājavṛkṣeṣu SUp_6.12c	tat eva rAjavRkzezu SUp_6.12c
   tad aindram iti kīrtitam SUp_5.35d	tat Endram iti kIrtitam SUp_5.35d
   tad daṇḍakopaśobhaṃ ca SUp_6.114c	tat daNxaka-upa-SoBam ca SUp_6.114c
   taddātās te śive pure SUp_6.198d	tad-dAtAH te Sive pure SUp_6.198d
   taddānād uttarottaram SUp_6.279b	tad-dAnAt uttarottaram SUp_6.279b
   taddīpānāṃ ca madhyataḥ SUp_6.82b	tad-dIpAnAm ca maDyatas SUp_6.82b
   tad dvārabhittisaṃbaddhaṃ SUp_4.2a	tat dvAra-Bitti-saMbadDam SUp_4.2a
   tad dhomasya daśādhikam SUp_4.38d	tat Domasya daSa-aDikam SUp_4.38d
   tadbhaktānāṃ janasya ca SUp_6.156d	tad-BaktAnAm janasya ca SUp_6.156d
   tad bhuktvā labhate śuddhiṃ SUp_6.221c	tat BuktvA laBate SudDim SUp_6.221c
   tad rakṣed yatnavāṃs tathā SUp_5.9b	tat rakzet yatnavAn taTA SUp_5.9b
   tad rathaṃ bhrāmayed yatnād SUp_6.154a	tat raTam BrAmayet yatnAt SUp_6.154a
   tad vaktram abhivīkṣayan SUp_7.20d	tat vaktram aBivIkzayan SUp_7.20d
   tad vakṣyāmi samāsataḥ SUp_1.37b	tat vakzyAmi samAsatas SUp_1.37b
   tadvaj jñānī sunirmalaḥ SUp_5.42d	tadvat jQAnI su-nirmalaH SUp_5.42d
   tadvad āyur aharniśam SUp_6.164d	tadvat AyuH aharniSam SUp_6.164d
   tadvastudātur yat puṇyaṃ SUp_6.254a	tat-vastu-dAtuH yat puNyam SUp_6.254a
   tadvastrapūtatantūnāṃ SUp_6.274c	tad-vastra-pUta-tantUnAm SUp_6.274c
   tantusaṃkhyā vidhīyate SUp_6.259d	tantu-saMKyA viDIyate SUp_6.259d
   tan namraḥ purataḥ sthitaḥ SUp_7.21b	tat namraH puratas sTitaH SUp_7.21b
   tanmadhye kārayed divyaṃ SUp_6.106a	tad-maDye kArayet divyam SUp_6.106a
   tanmadhye pratimāṃ nyaset SUp_6.147d	tad-maDye pratimAm nyaset SUp_6.147d
   tan mahānasam āgneyyāṃ SUp_2.17c	tat mahAnasam AgneyyAm SUp_2.17c
   tanmātrāṇīndriyāni ca SUp_1.11b	tanmAtrANi-indriyAni ca SUp_1.11b
   tapaḥ śrīkīrtivardhanam SUp_5.1d	tapaH SrI-kIrti-varDanam SUp_5.1d
   tapobhir vā mahādhvaraiḥ SUp_5.38b	tapoBiH vA mahA-aDvarEH SUp_5.38b
   tabhukter yogyam ālayam SUp_4.21b	taBukteH yogyam Alayam SUp_4.21b
   tarpaṇaṃ sarvabhūtānām SUp_5.50c	tarpaNam sarva-BUtAnAm SUp_5.50c
   tarpaṇārthaṃ prakalpayet SUp_7.47d	tarpaNa-arTam prakalpayet SUp_7.47d
   tarpayec cānatān bhaktyā SUp_6.173c	tarpayet ca-AnatAn BaktyA SUp_6.173c
   tarpayed akṛtāmbhasā SUp_5.49b	tarpayet akRta-amBasA SUp_5.49b
   tallakṣyamadhyasaṃbhūtaṃ SUp_4.42a	tad-lakzya-maDya-saMBUtam SUp_4.42a
   tasmāc chivarathena ca SUp_6.188b	tasmAt Siva-raTena ca SUp_6.188b
   tasmāj jñānavido yogāt SUp_1.32a	tasmAt jQAna-vidaH yogAt SUp_1.32a
   tasmāt sa pāśaharitaḥ SUp_1.15c	tasmAt sa pASa-haritaH SUp_1.15c
   tasmād antarbahiścintām SUp_7.127a	tasmAt antar-bahis-cintAm SUp_7.127a
   tasmād ātmany ahaṃkāram SUp_7.116a	tasmAt Atmani ahaMkAram SUp_7.116a
   tasmād īśaḥ śivaḥ smṛtaḥ SUp_1.10d	tasmAt ISaH SivaH smRtaH SUp_1.10d
   tasmād īśvaram uddiśya SUp_6.42c	tasmAt ISvaram uddiSya SUp_6.42c
   tasmād dharmaṃ samuddiśya SUp_6.168a	tasmAt Darmam samuddiSya SUp_6.168a
   tasmād dhi pārthivaṃ liṅgaṃ SUp_3.12c	tasmAt Di pArTivam liFgam SUp_3.12c
   tasminn evodare śukraṃ SUp_7.107c	tasmin eva-udare Sukram SUp_7.107c
   tasya dharmaphalaṃ śṛṇu SUp_6.174d	tasya Darma-Palam SRNu SUp_6.174d
   tasya puṇyaphalaṃ śṛṇu SUp_2.30b	tasya puNya-Palam SRNu SUp_2.30b
   tasya puṇyaphalaṃ śṛṇu SUp_4.24d	tasya puNya-Palam SRNu SUp_4.24d
   tasya puṇyaphalaṃ śṛṇu SUp_6.3d	tasya puNya-Palam SRNu SUp_6.3d
   tasya puṇyaphalaṃ śṛṇu SUp_6.8d	tasya puNya-Palam SRNu SUp_6.8d
   tasya puṇyaphalaṃ śṛṇu SUp_6.10d	tasya puNya-Palam SRNu SUp_6.10d
   tasya puṇyaphalaṃ śṛṇu SUp_6.24b	tasya puNya-Palam SRNu SUp_6.24b
   tasya puṇyaphalaṃ śṛṇu SUp_6.26b	tasya puNya-Palam SRNu SUp_6.26b
   tasya puṇyaphalaṃ śṛṇu SUp_6.35b	tasya puNya-Palam SRNu SUp_6.35b
   tasya puṇyaphalaṃ śṛṇu SUp_6.37b	tasya puNya-Palam SRNu SUp_6.37b
   tasya puṇyaphalaṃ śṛṇu SUp_6.49b	tasya puNya-Palam SRNu SUp_6.49b
   tasya puṇyaphalaṃ śṛṇu SUp_6.63b	tasya puNya-Palam SRNu SUp_6.63b
   tasya puṇyaphalaṃ śṛṇu SUp_6.67b	tasya puNya-Palam SRNu SUp_6.67b
   tasya puṇyaphalaṃ śṛṇu SUp_6.68d	tasya puNya-Palam SRNu SUp_6.68d
   tasya puṇyaphalaṃ śṛṇu SUp_6.91d	tasya puNya-Palam SRNu SUp_6.91d
   tasya puṇyaphalaṃ śṛṇu SUp_6.200d	tasya puNya-Palam SRNu SUp_6.200d
   tasya puṇyaphalaṃ śṛṇu SUp_6.206d	tasya puNya-Palam SRNu SUp_6.206d
   tasya puṇyaphalaṃ śṛṇu SUp_6.217d	tasya puNya-Palam SRNu SUp_6.217d
   tasya puṇyaphalaṃ śṛṇu SUp_6.225d	tasya puNya-Palam SRNu SUp_6.225d
   tasya puṇyaphalaṃ śṛṇu SUp_6.241d	tasya puNya-Palam SRNu SUp_6.241d
   tasya puṇyaphalaṃ śṛṇu SUp_6.243d	tasya puNya-Palam SRNu SUp_6.243d
   tasya puṇyaphalaṃ śṛṇu SUp_6.245d	tasya puNya-Palam SRNu SUp_6.245d
   tasya puṇyaphalaṃ śṛṇu SUp_6.247d	tasya puNya-Palam SRNu SUp_6.247d
   tasya puṇyaphalaṃ śṛṇu SUp_6.250d	tasya puNya-Palam SRNu SUp_6.250d
   tasya puṇyaphalaṃ śṛṇu SUp_6.252b	tasya puNya-Palam SRNu SUp_6.252b
   tasya puṇyaphalaṃ śṛṇu SUp_6.257b	tasya puNya-Palam SRNu SUp_6.257b
   tasya puṇyaphalaṃ śṛṇu SUp_6.259b	tasya puNya-Palam SRNu SUp_6.259b
   tasya puṇyaphalaṃ śṛṇu SUp_6.261b	tasya puNya-Palam SRNu SUp_6.261b
   tasya puṇyaphalaṃ śṛṇu SUp_6.271b	tasya puNya-Palam SRNu SUp_6.271b
   tasya puṇyaphalaṃ śṛṇu SUp_6.274b	tasya puNya-Palam SRNu SUp_6.274b
   tasya puṇyaphalaṃ śṛṇu SUp_6.277b	tasya puNya-Palam SRNu SUp_6.277b
   tasya puṇyaphalaṃ śṛṇu SUp_7.93d	tasya puNya-Palam SRNu SUp_7.93d
   tasya puṇyaphalaṃ śṛṇu SUp_7.96d	tasya puNya-Palam SRNu SUp_7.96d
   tasya puṇyaphalaṃ śṛnu SUp_5.23d	tasya puNya-Palam SRnu SUp_5.23d
   tasya pūṇyaphalaṃ śṛṇu SUp_6.210d	tasya pUNya-Palam SRNu SUp_6.210d
   tasya muktir na dūrataḥ SUp_7.38d	tasya muktiH na dUratas SUp_7.38d
   tasyāgre vinivedayet SUp_6.1d	tasya-agre vinivedayet SUp_6.1d
   tasyānte sa mahīpatiḥ SUp_6.69d	tasya-ante sa mahIpatiH SUp_6.69d
   tasyāś cādhaḥ samantataḥ SUp_4.14b	tasyAH ca-aDas samantataH SUp_4.14b
   tasyāṃśāḥ parikīrtitāḥ SUp_6.246b	tasya-aMSAH parikIrtitAH SUp_6.246b
   tasyeyam uttamā deyā SUp_6.169c	tasya-iyam uttamA deyA SUp_6.169c
   taṃ vijñāya vimucyate SUp_1.16d	tam vijQAya vimucyate SUp_1.16d
   tāni tenaiva vidhinā SUp_6.229c	tAni tena-eva viDinA SUp_6.229c
   tāni lokasya darśayet SUp_6.125d	tAni lokasya darSayet SUp_6.125d
   tāni vai vividhāni ca SUp_7.40b	tAni vE viviDAni ca SUp_7.40b
   tāpatrayaprapīḍāṃ ca SUp_1.6c	tApa-traya-prapIxAm ca SUp_1.6c
   tābhiḥ sārdhaṃ mahābhogair SUp_4.27a	tABiH sArDam mahA-BogEH SUp_4.27a
   tāmbūlayogasiddhyarthaṃ SUp_6.49a	tAmbUla-yoga-sidDi-arTam SUp_6.49a
   tāmrakumbhakaṭāhādyaṃ SUp_6.250a	tAmra-kumBa-kawAha-Adyam SUp_6.250a
   tāmramṛcchailadārujām SUp_6.120d	tAmra-mRd-SEladAru-jAm SUp_6.120d
   tāmraṃ pittalasaṃbhavam SUp_6.123b	tAmram pittala-saMBavam SUp_6.123b
   tāmrāṃ kāṃsīṃ trilohīṃ vā SUp_6.267c	tAmrAm kAMsIm trilohIm vA SUp_6.267c
   tāmropakaraṇe sthitam SUp_6.252d	tAmra-upakaraNe sTitam SUp_6.252d
   tāreṇa vimalena ca SUp_6.120b	tAreNa vimalena ca SUp_6.120b
   tālakharjūrapātrāṇāṃ SUp_6.264c	tAla-KarjUra-pAtrANAm SUp_6.264c
   tālatrayasamanvitam SUp_6.155b	tAla-traya-samanvitam SUp_6.155b
   tāvac caturyugaṃ dehī SUp_6.278a	tAvat caturyugam dehI SUp_6.278a
   tāvatkalpān mahābhogas SUp_3.14e	tAvat-kalpAn mahA-BogaH SUp_3.14e
   tāvatkalpān mahābhogaiḥ SUp_4.41c	tAvat-kalpAn mahA-BogEH SUp_4.41c
   tāvatkoṭyas tu varṣāṇi SUp_4.34c	tAvat-kowyaH tu varzANi SUp_4.34c
   tāvat sa varṣalakṣāṃs tu SUp_4.44c	tAvat sa varza-lakzAn tu SUp_4.44c
   tāvadabdāyutānāṃ sa SUp_6.47a	tAvat-abda-ayutAnAm sa SUp_6.47a
   tāvadaṣṭāyutān pūrvair SUp_6.226c	tAvat-azwa-ayutAn pUrvEH SUp_6.226c
   tāvadaṣṭāyutāny uccaiḥ SUp_6.9c	tAvat-azwa-AyutAni uccEs SUp_6.9c
   tāvad eva ca vistīrṇā SUp_4.13c	tAvat eva ca vistIrNA SUp_4.13c
   tāvadyugasahasrāṇi SUp_4.36c	tAvat-yuga-sahasrANi SUp_4.36c
   tāvadyugasahasrāṇi SUp_6.11c	tAvat-yuga-sahasrANi SUp_6.11c
   tāvadyugasahasrāṇi SUp_6.269a	tAvat-yuga-sahasrANi SUp_6.269a
   tāvadyugāni saṃbhogaiḥ SUp_6.260a	tAvat-yugAni saMBogEH SUp_6.260a
   tāvadvarṣaśatād ūrdhvaṃ SUp_6.77c	tAvat-varza-SatAt UrDvam SUp_6.77c
   tāvadvarṣasahasrāṇi SUp_5.24c	tAvat-varza-sahasrANi SUp_5.24c
   tāvadvarṣasahasrāṇi SUp_6.25a	tAvat-varza-sahasrANi SUp_6.25a
   tāvadvarṣasahasrāṇi SUp_6.45a	tAvat-varza-sahasrANi SUp_6.45a
   tāvadvarṣasahasrāṇi SUp_6.50a	tAvat-varza-sahasrANi SUp_6.50a
   tāvadvarṣasahasrāṇi SUp_6.82c	tAvat-varza-sahasrANi SUp_6.82c
   tāvadvarṣasahasrāṇi SUp_6.86c	tAvat-varza-sahasrANi SUp_6.86c
   tāvadvarṣasahasrāṇi SUp_6.198c	tAvat-varza-sahasrANi SUp_6.198c
   tāvadvarṣasahasrāṇi SUp_6.201c	tAvat-varza-sahasrANi SUp_6.201c
   tāvadvarṣasahasrāṇi SUp_6.258a	tAvat-varza-sahasrANi SUp_6.258a
   tāvadvarṣasahasrāṇi SUp_6.275a	tAvat-varza-sahasrANi SUp_6.275a
   tāvadvarṣasahasrāṇi SUp_7.94c	tAvat-varza-sahasrANi SUp_7.94c
   tāvad vedyāś ca vistaraḥ SUp_2.2b	tAvat vedyAH ca vistaraH SUp_2.2b
   tāvanti varṣalakṣāṇi SUp_6.48a	tAvanti varza-lakzANi SUp_6.48a
   tāvanti varṣalakṣāṇi SUp_6.242c	tAvanti varza-lakzANi SUp_6.242c
   tāvanmātraṃ samuddhṛtya SUp_5.5c	tAvat-mAtram samudDRtya SUp_5.5c
   tāsu nityabaliṃ haret SUp_4.16d	tAsu nitya-balim haret SUp_4.16d
   tāṃ tām evānuvartate SUp_7.123d	tAm tAm eva-anuvartate SUp_7.123d
   tintiḍīkaphalāni ca SUp_6.20d	tintixIka-PalAni ca SUp_6.20d
   tiryaṅmanujadevānāṃ SUp_7.134c	tiryak-manuja-devAnAm SUp_7.134c
   tilatulyaphalaṃ smṛtam SUp_4.45b	tila-tulya-Palam smRtam SUp_4.45b
   tilatailaṃ vinā naraḥ SUp_4.58d	tila-tElam vinA naraH SUp_4.58d
   tiladhenuṃ pradadyād yaḥ SUp_6.70a	tilaDenum pradadyAt yaH SUp_6.70a
   tilasaṃkhyāṃs tilān hutvā hy SUp_4.44a	tila-saMKyAn tilAn hutvA hi SUp_4.44a
   tilārthaṃ taṇḍulaiḥ kuryād SUp_4.61c	tila-arTam taNxulEH kuryAt SUp_4.61c
   tiṣṭhanti na mṛtasyārthe SUp_6.166c	tizWanti na mRtasya-arTe SUp_6.166c
   tiṣṭhann apy avasīdati SUp_7.124d	tizWan api avasIdati SUp_7.124d
   tiṣṭhed āpralayaṃ sukhī SUp_6.97d	tizWet Apralayam suKI SUp_6.97d
   tīrthanirdhūtakalmaṣāḥ SUp_6.198b	tIrTa-nirDUta-kalmazAH SUp_6.198b
   tīrtham āriṣam ucyate SUp_5.47b	tIrTam Arizam ucyate SUp_5.47b
   tīrthayātrāgataṃ śāntaṃ SUp_6.196a	tIrTa-yAtrA-gatam SAntam SUp_6.196a
   tīrthasthāneṣu yaḥ śrāddhaṃ SUp_6.195a	tIrTa-sTAnezu yaH SrAdDam SUp_6.195a
   tīrthaṃ pradeśinīmūle SUp_5.46c	tIrTam pradeSinI-mUle SUp_5.46c
   tulyasthānapadāntaram SUp_4.10d	tulya-sTAna-pada-antaram SUp_4.10d
   tulye sati parikleśe SUp_7.119c	tulye sati parikleSe SUp_7.119c
   tulye saty api kartavye SUp_7.126a	tulye sati api kartavye SUp_7.126a
   tṛṇakāṣṭhādigahane SUp_7.70a	tRNa-kAzWa-Adi-gahane SUp_7.70a
   tṛtīyabhāge pūjā svād SUp_2.3c	tRtIya-BAge pUjA svAt SUp_2.3c
   tṛṣṇayā śṛṅkhalīkṛtaḥ SUp_7.104b	tRzNayA SRFKalIkRtaH SUp_7.104b
   te cāvartya vimucyante SUp_1.34c	te ca-Avartya vimucyante SUp_1.34c
   te dharmāḥ skandanandibhyām SUp_1.7a	te DarmAH skanda-nandiByAm SUp_1.7a
   te namasyāḥ svabhaktitaḥ SUp_7.138d	te namasyAH sva-BaktitaH SUp_7.138d
   tenācamya bhavec chuddhaḥ SUp_5.45c	tena-Acamya Bavet SudDaH SUp_5.45c
   tenaiva nirgatṃ bhūyaḥ SUp_7.108c	tena-eva nirgatm BUyas SUp_7.108c
   te 'pi pāpavinirmuktāḥ SUp_4.56c	te api pApa-vinirmuktAH SUp_4.56c
   te 'pi yānti śivasthānaṃ SUp_4.57c	te api yAnti Siva-sTAnam SUp_4.57c
   te 'pi yānti śivaṃ puram SUp_6.185d	te api yAnti Sivam puram SUp_6.185d
   te bhogān prāpya mucyante SUp_1.33c	te BogAn prApya mucyante SUp_1.33c
   te bhogair vividhair divyaiḥ SUp_6.187a	te BogEH viviDEH divyEH SUp_6.187a
   tebhyaḥ prāpya śivajñānaṃ SUp_4.29c	teByaH prApya Siva-jQAnam SUp_4.29c
   te mucyante kathaṃ ghorād SUp_1.3c	te mucyante kaTam GorAt SUp_1.3c
   te rudrā rudralokeśā SUp_7.139c	te rudrAH rudra-loka-ISA SUp_7.139c
   te rudrās te munīndrāś ca SUp_7.138c	te rudrAH te muni-indrAH ca SUp_7.138c
   te śivā nātra saṃśayaḥ SUp_1.9d	te SivA na-atra saMSayaH SUp_1.9d
   teṣāṃ ca vastratantūnāṃ SUp_6.257c	tezAm ca vastra-tantUnAm SUp_6.257c
   teṣāṃ śiṣyapraśiṣyaiś ca SUp_7.137a	tezAm Sizya-praSizyEH ca SUp_7.137a
   teṣu snātasya yat puṇyaṃ SUp_5.37c	tezu snAtasya yat puNyam SUp_5.37c
   te sarvapāpanirmuktā SUp_5.28c	te sarva-pApa-nirmuktA SUp_5.28c
   tailabindur ivāmbhasi SUp_1.17d	tEla-binduH iva-amBasi SUp_1.17d
   toyaṃ yathā ghaṭīsaṃstham SUp_6.164a	toyam yaTA GawI-saMsTam SUp_6.164a
   toyādhārapidhānāni SUp_6.57c	toya-ADAra-piDAnAni SUp_6.57c
   tyaktānāṃ nirjane vane SUp_7.95b	tyaktAnAm nirjane vane SUp_7.95b
   tyajanīyaṃ śarīrakam SUp_7.121b	tyajanIyam SarIrakam SUp_7.121b
   trayo devāḥ prakīrtitāḥ SUp_7.135b	trayaH devAH prakIrtitAH SUp_7.135b
   trikālaṃ vāruṇasnānād SUp_5.16a	tri-kAlam vAruNa-snAnAt SUp_5.16a
   tridaivatyam idaṃ śāstraṃ SUp_7.134a	tri-dEvatyam idam SAstram SUp_7.134a
   tripādyā bhojaneṣu ca SUp_6.268d	tripAdyAH Bojanezu ca SUp_6.268d
   triśūlasavyahastāṃ ca SUp_6.117a	triSUla-savya-hastAm ca SUp_6.117a
   trisaṃdhyam ācaren nityaṃ SUp_5.29c	trisaMDyam Acaret nityam SUp_5.29c
   trisaṃdhyaṃ pārthivaṃ vāpi SUp_3.10a	trisaMDyam pArTivam vA-api SUp_3.10a
   trihastāyām avistārām SUp_3.6a	tri-hastAyAm avistArAm SUp_3.6a
   trihastā vā sukuṭṭimā SUp_4.13b	tri-hastA vA sukuwwimA SUp_4.13b
   triḥ pṛthvīṃ ratnasaṃpūrṇāṃ SUp_6.228c	tris pRTvIm ratna-saMpUrNAm SUp_6.228c
   truṭimātrapramāṇena SUp_6.52c	truwi-mAtra-pramANena SUp_6.52c
   tryakṣaraṃ na mameti ca SUp_7.115d	tri-akzaram na mama-iti ca SUp_7.115d
   tryakṣaraṃ brahma śāśvatam SUp_7.115b	tri-akzaram brahma SASvatam SUp_7.115b
   tvagelāś ceśadaivate SUp_6.75b	tvac-elAH ca-ISa-dEvate SUp_6.75b
   dakṣiṇaṃ bāhum uddharet SUp_7.66d	dakziNam bAhum udDaret SUp_7.66d
