   śrīgaruḍamahāpurāṇam	SrI garuxa mahApurANam
   iti śrīgāruḍe mahāpurāṇe śrīkṛṣṇagaruḍasaṃvāde uttara  tṛtīyāṃśe	iti SrI gAruxe mahApurANe SrI kRzNa garuxa saMvAde uttara tRtIya aMSe
   brahmakāṇḍe	brahma kANxe
   tattvābhimānitattaddevatākṛtaviṣṇustutitattaddevatātāratamyanirūpaṇaṃ nāma	tattva aBimAnitattaddevatAkRtavizNustutitattaddevatAtAratamyanirUpaNam nAma
   ṣaṣṭho 'dhyāyaḥ	zazWaH aDyAyaH
   śrīgaruḍamahāpurāṇam  7	SrI garuxa mahApurANam 7
   śrīkṛṣṇa uvāca /	SrI kRzNaH uvAca /
   pārvatyānantarotpanna indro vacanamabravīt /	pArvatyA anantara utpannaH indraH vacanam abravIt /
   indra uvāca /	indraH uvAca /
   tava svarūpaṃ hṛdi saṃvijānan samutsukaḥ syātstavane yastu mūḍhaḥ /	tava svarUpam hRdi saMvijAnan samutsukaH syAt stavane yaH tu mUXaH /
   ajānataḥ stavanaṃ devadeva tadevāhurhelanaṃ cakrapāṇe // GarP_3,7.1 //	ajAnataH stavanam devadeva tat eva AhuH helanam cakrapANe // GarP_3,7.1 //
   tathāpi tadvai tava nāma pūrvaṃ bhavettadā puṇyakaraṃ bhavediti /	taTA api tat vE tava nAma pUrvam Bavet tadA puNya karam Bavet iti /
   rudrādi kānāṃ stavane nāsti śaktistadā vaktavyaṃ mama nāstīti kiṃ vā //	rudra Adi kAnAm stavane na asti SaktiH tadA vaktavyam mama na asti iti kim vA //
   GarP_3,7.2 //	GarP_3,7.2 //
   guṇāṃśato daśabhī rudrato vai sadā nyūno matsamaḥ kāmadevaḥ /	guNa aMSataH daSaBiH rudrataH vE sadA nyUnaH mad samaH kAmadevaH /
   jñāne bale samatā sarvadāsti tathāḥ kāmaḥ kiṃ ca dūtaḥ sadaiva //	jQAne bale sama tA sarvadA asti taTAH kAmaH kim ca dUtaH sadA eva //
   GarP_3,7.3 //	GarP_3,7.3 //
   evaṃ stutvā devadevo hariṃ ca tūṣṇīṃ sthitaḥ prāñjalirnamrabhūrdhā /	evam stutvA devadevaH harim ca tUzNIm sTitaH prAQjaliH namra BUrDA /
   tadanantarajo brahmā ahaṅkārika ūcivān // GarP_3,7.4 //	tad anantara jaH brahmA ahaFkArikaH UcivAn // GarP_3,7.4 //
   ahaṅkārika uvāca /	ahaFkArikaH uvAca /
   namaste gaṇapūrṇāya namaste jñānamūrtaye /	namaH te gaNa pUrNAya namaH te jQAna mUrtaye /
   namo 'jñānavidūrāya brahmaṇenaṃ tamūrtaye // GarP_3,7.5 //	namaH ajQAna vidUrAya brahmaNenam tamUrtaye // GarP_3,7.5 //
   indrādahaṃ daśaguṇaiḥ sarvadā nyūna ukto na jani tvāṃ sarvadā hyaprameya /	indrAt aham daSaguNEH sarvadA nyUnaH uktaH na jani tvAm sarvadA hi aprameya /
   tathāpi māṃ pāhi jagadguro tvaṃ dattvā divyaṃ hyāyatanaṃ ca viṣṇo //	taTA api mAm pAhi jagadguro tvam dattvA divyam hi Ayatanam ca vizNo //
   GarP_3,7.6 //	GarP_3,7.6 //
   āhaṅkārika evaṃ tu stutvā tūṣṇīṃbabhūva ha /	AhaFkArikaH evam tu stutvA tUzNIMbaBUva ha /
   tadanantarajā stotuṃ śacī vacanamabravīt // GarP_3,7.7 //	tad anantara jA stotum SacI vacanam abravIt // GarP_3,7.7 //
   śacyuvāca /	SacI uvAca /
   saṃcintayāmi aniśaṃ tava pādapadmaṃ vajrāṅkuśadhvajasaroruhalāñchanāḍhyam	saMcintayAmi aniSam tava pAda padmam vajra aFkuSa Dvaja saroruha lAQCana AXyam
   vāgīśvarairapi sadā manasāpi dhartuṃ no śakyamīśa tava pādarajaḥ smarāmi	vAc ISvarEH api sadA manasA api Dartum no Sakyam ISa tava pAda rajaH smarAmi
   // GarP_3,7.8 //	// GarP_3,7.8 //
   āhaṅkārikaprāṇācca guṇaiśca daśabhiḥ sadā /	AhaFkArika prANAt ca guNEH ca daSaBiH sadA /
   nyūnabhūtāṃ ca māṃ pāhi kṛpālo bhaktavatsala // GarP_3,7.9 //	nyUna BUtAm ca mAm pAhi kRpAlaH Bakta vatsala // GarP_3,7.9 //
   evaṃ stutvā śacī devī tūṣṇīṃ bhagavatī hyabhūt /	evam stutvA SacI devI tUzNIm BagavatI hi aBUt /
   tadanantarajā stotuṃ ratiḥ samupacakrame // GarP_3,7.10 //	tad anantara jA stotum ratiH samupacakrame // GarP_3,7.10 //
   ratiruvāca /	ratiH uvAca /
   saṃcintayāmi nṛharervadanāravindaṃ bhṛtyānukaṃpitadhiyā hi gṛhītamūrtim /	saMcintayAmi nRhareH vadana aravindam BRtya anukaMpita DiyA hi gRhIta mUrtim /
   yacchrīniketamajarudraramādikaiśca saṃlālitaṃ kuṭilaṅkuntalavṛndajuṣṭam //	yat SrI niketam aja rudraram AdikEH ca saMlAlitam kuwilaFkuntala vRnda juzwam //
   GarP_3,7.11 //	GarP_3,7.11 //
   etādṛśaṃ tava mukhaṃ nuvituṃ na śaktiḥ śacyā samāpi bhagavanparipāhi	etAdRSam tava muKam nuvitum na SaktiH SacyA samA api Bagavan paripAhi
   nityam /	nityam /
   kṛtvā stutiṃ ratiriyaṃ paramādareṇa tūṣṇīṃ sthitā bhagavataśca samīpa eva	kRtvA stutim ratiH iyam parama AdareNa tUzNIm sTitAH BagavataH ca samIpaH eva
   // GarP_3,7.12 //	// GarP_3,7.12 //
   ratyanantarajo dakṣaḥ stotuṃ samupacakrame // GarP_3,7.13 //	rati ananta ra jaH dakzaH stotum samupacakrame // GarP_3,7.13 //
   dakṣa uvāca /	dakzaH uvAca /
   saṃcintaye bhagavataścaraṇodatīrthaṃ bhaktyā hyajena	saMcintaye BagavataH caraNa udatIrTam BaktyA hi ajena
   pariṣiktamajādivandyam /	pariziktam aja Adi vandyam /
   yacchaucaniḥ sṛtamajapravarāvatāraṃ gaṅgākhyatīrthamabhavatsaritāṃ	yat SOcaniH sRtam aja pravara avatAram gaFgA AKya tIrTam aBavat saritAm
   variṣṭham // GarP_3,7.14 //	varizWam // GarP_3,7.14 //
   rudropi tenava vidhṛtena jaṭākalāpapūtena pādarajasā hyaśivaḥ śivobhūt /	rudropi tena va viDRtena jawA kalApa pUtena pAda rajasA hi aSivaH SivoBUt /
   etādṛśaṃ te caraṇaṃ karuṇeśa viṣṇo stotuṃ śaktirmama nāsti kṛpāvatāra /	etAdRSam te caraNam karuNa ISa vizNo stotum SaktiH mama na asti kRpA avatAra /
   ratyā samaḥ śrutigato na gatosmi mokṣametādṛśaṃ ca paripāhi nidānamūrte //	ratyA samaH Sruti gataH na gatosmi mokzam etAdRSam ca paripAhi nidAna mUrte //
   GarP_3,7.15 //	GarP_3,7.15 //
   evaṃ stutvā sa dakṣastu tūṣṇī meva babhūva ha /	evam stutvA sa dakzaH tu tUzNI mA iva baBUva ha /
   tadanantarajaḥ stotuṃ bṛhaspatirupākramīt // GarP_3,7.16 //	tad anantara jaH stotum bRhaspatiH upAkramIt // GarP_3,7.16 //
   bṛhaspatiruvāca /	bRhaspatiH uvAca /
   saṃcintayāmi satataṃ tava cānanābjaṃ tvaṃ dehi duṣṭaviṣayeṣu viraktimīśa	saMcintayAmi satatam tava ca Anana abjam tvam dehi duzwa vizayezu viraktim ISa
   // GarP_3,7.17 //	// GarP_3,7.17 //
   eteṣu śaktiryadi vai sa jīvo kartā ca bhoktā ca sadā ca dātā /	etezu SaktiH yadi vE sa jIvaH kartA ca BoktA ca sadA ca dAtA /
   yoṣāṃ ca putrasuhṛdau ca paśūṃśca sarvamevaṃ vinaśyati yato hi tadāśu	yozAm ca putra suhRdO ca paSUn= ca sarvam evam vinaSyati yatas hi tadA ASu
   chindhi // GarP_3,7.18 //	CinDi // GarP_3,7.18 //
   saṃsāracakrabhramaṇenaiva deva saṃsāraduḥ khamanubhūyehāgatosmi /	saMsAra cakra BramaNena eva deva saMsAraduH Kam anuBUya iha Agatosmi /
   śaktirna cāsti navane mama devadeva satyā samaṃ ca satataṃ paripāhi nityam	SaktiH na ca asti navane mama devadeva satyA samam ca satatam paripAhi nityam
   // GarP_3,7.19 //	// GarP_3,7.19 //
   evaṃ śrutvā ca paramaṃ tūṣṇīmeva sthito muniḥ /	evam SrutvA ca paramam tUzNIm eva sTitaH muniH /
   tadanantarajastotuṃ hyaniruddhopacakrame // GarP_3,7.20 //	tad anantarajaH totum hi anirudDa upacakrame // GarP_3,7.20 //
   aniruddha uvāca /	anirudDaH uvAca /
   evaṃ harestava kathāṃ rasikāṃ vihāya strīṇāṃ bhage ca vadane parimuhya	evam hareH tava kaTAm rasikAm vihAya strINAm Bage ca vadane parimuhya
   nityam /	nityam /
   viṣṭhāntrapūritabile rasiko hi nityaṃ sthāyī ca sūkaravadeva	vizWA antra pUrita bile rasikaH hi nityam sTAyI ca sUkara vat eva
   vimūḍhabuddhiḥ // GarP_3,7.21 //	vimUXa budDiH // GarP_3,7.21 //
   majjāsthipittakapharaphalādipūrṇe carmāntraveṣṭitamukhe patitaṃ ha pītam /	majja asTi pitta kaPara Pala Adi pUrNe carma antra vezwita muKe patitam ha pItam /
   āsvādane mama ca pāpagatermurāre māyābalaṃ tava vibho paramaṃ nimittam //	AsvAdane mama ca pApa gateH murAre mAyA balam tava viBo paramam nimittam //
   GarP_3,7.22 //	GarP_3,7.22 //
   saṃsāracakre bhramataśca nityaṃ suduḥ kharūpe sukhaleśavarjite /	saMsAra cakre BramataH ca nityam su duH Ka rUpe suKa leSa varjite /
   malaṃ vamantaṃ navabhiśca dvāraiḥ śarīramāruhya sumūḍhabuddhiḥ //	malam vamantam navaBiH ca dvArEH SarIram Aruhya su mUXa budDiH //
   GarP_3,7.23 //	GarP_3,7.23 //
   namāmi nityaṃ tava tatkathāmṛtaṃ vihāyadeva śrutimūlanāśanam /	namAmi nityam tava tat kaTA amRtam vihAyat eva Sruti mUla nASanam /
   kuṭuṃbapoṣaṃ ca sadā ca kurvandānādyakurvannivasan gṛhe ca // GarP_3,7.24	kuwuMba pozam ca sadA ca kurvan dAna Adi akurvan nivasan gRhe ca // GarP_3,7.24
   dūre ca saṃsāramalaṃ tvidaṃ kuru dehi hyado divyakathāmṛtaṃ sadā /	dUre ca saMsAra malam tu idam kuru dehi hi adaH divya kaTA amRtam sadA /
   etādṛśohaṃ tava sadguṇaughaṃ stotuṃ samartho nāsmi śacīsamaśca //	etAdRSoham tava sat guNa oGam stotum samarTaH na asmi SacI samaH ca //
   GarP_3,7.25 //	GarP_3,7.25 //
   evaṃ stutvāniruddhastu tūṣṇīmāsa khageśvara /	evam stutvA anirudDaH tu tUzNIm Asa KageSvara /
   tadanantarajaḥ stotraṃ manaḥ svāyaṃbhuvobravīt // GarP_3,7.26 //	tad anantara jaH stotram manaH svAyaMBuvA ubravIt // GarP_3,7.26 //
   svāyaṃbhuva uvāca /	svAyaMBuvaH uvAca /
   stotuṃ hyanupraviśatopi na garbhaduḥ khaṃ tasmādahaṃ paramapūjyapadaṃ	stotum hi anupraviSata upi na garBaduH Kam tasmAt aham parama pUjya padam
   gataste // GarP_3,7.27 //	gataH te // GarP_3,7.27 //
   manorbhāryā mānavī ca yamaḥ saṃyaminīpatiḥ /	manoH BAryA mAnavI ca yamaH saMyaminI patiH /
   diśābhimānī candrastu sūryaścakṣurniyāmakaḥ /	diSA aBimAnI candraH tu sUryaH cakzuH niyAmakaH /
   parasparasamā hyete muktvā saṃsārameva ca // GarP_3,7.28 //	paraspara samA hi ete muktvA saMsAram eva ca // GarP_3,7.28 //
   pravāhādviguṇonaścetyevaṃ jānīhi cāṇḍaja /	pravAhA t viguNa UnaH ca iti evam jAnIhi ca aNxaja /
   sūryānantarajaḥ stotuṃ varuṇaḥ saṃpracakrame // GarP_3,7.29 //	sUrya ananta ra jaH stotum varuNaH saMpracakrame // GarP_3,7.29 //
   varuṇa uvāca /	varuNaH uvAca /
   tvadvicchayā racite dehagehe puttre kalatrepi dhane dravyajātau /	tvad vicCayAH racite deha gehe puttre kalatra ipi Dane dravya jAtO /
   mamāhamityalpadhiyā ca mūḍhā saṃsāraduḥ khe vinimajjanti sarve //	mama aham iti alpa DiyA ca mUXA saMsAra duH Ke vinimajjanti sarve //
   GarP_3,7.30 //	GarP_3,7.30 //
   ato hare tādṛśīṃ me kubuddhiṃ vināśya me dehi te pādadāsyam /	atas hare tAdRSIm me kubudDim vinASya me dehi te pAda dAsyam /
   ahaṃ manoḥ pādapādārdhabhūtaguṇena hīnaḥ sarvadā vai murāre // GarP_3,7.31	aham manoH pAda pAda arDa BUta guNena hInaH sarvadA vE murAre // GarP_3,7.31
   evaṃ stutvā tu varuṇaḥ prāñjaliḥ samupasthitaḥ /	evam stutvA tu varuNaH prAQjaliH samupasTitaH /
   varuṇānantarotpanno nārado hyastuvaddharim // GarP_3,7.32 //	varuNa anantara utpannaH nAradaH hi astuvat harim // GarP_3,7.32 //
   nārada uvāca /	nAradaH uvAca /
   yannāmadheyaśravaṇānukīrtanātsvādvanyatattvaṃ mama nāsti viṣṇo /	yad nAmaDeya SravaNa anukIrtanAt svAdu anya tattvam mama na asti vizNo /
   punīhyataścaiva parovarāyānyajjihvāgre vartate nāma tasya // GarP_3,7.33	punIhyataH ca eva paras varAya anyat jihvA agre vartate nAma tasya // GarP_3,7.33
   yajjihvāgre harināmaiva nāsti sa brāhmaṇo naiva sa eva gokharaḥ /	yat jihvA agre harinAmA eva na asti sa brAhmaNaH na eva saH eva goKaraH /
   ahaṃ na jāne ca tava svarūpaṃ nyūno hyahaṃ varuṇātsarvadaiva //	aham na jAne ca tava svarUpam nyUnaH hi aham varuNAt sarvadA eva //
   GarP_3,7.34 //	GarP_3,7.34 //
   evaṃ stutvā nārado vai khagendrastūṣṇīmabhūddevadevasya cāgre /	evam stutvA nAradaH vE Kaga indraH tUzNIm aBUt devadevasya ca agre /
   yo nāradānantaraṃ saṃbabhūva bhṛgurmahātmā stotumupapracakrame //	yaH nArada anantaram saMbaBUva BRguH mahAtmA stotum upapracakrame //
   GarP_3,7.35 //	GarP_3,7.35 //
   bhṛguruvāca /	BRguH uvAca /
   kimāsanaṃ te garuḍāsanāya kiṃ bhūṣaṇaṃ kaustubhabhūṣaṇāya /	kim Asanam te garuxa AsanAya kim BUzaNam kOstuBa BUzaNAya /
   lakṣmīkalatrāya kimasti deyaṃ vāgīśa kiṃ te vacanīyamasti /	lakzmI kalatrAya kim asti deyam vAgISa kim te vacanIyam asti /
   ato na jāne tava sadguṇāṃśca hyahaṃ sadā varuṇā tpādahīnaḥ // GarP_3,7.36	atas na jAne tava sat guNAn= ca hi aham sadA varuNA tpAda hInaH // GarP_3,7.36
   evaṃ stutvā hariṃ devaṃ bhṛgustūṣṇīṃ babhūva ha /	evam stutvA harim devam BRguH tUzNIm baBUva ha /
   tadanantarajo hyagnirastāvītpuruṣottamam // GarP_3,7.37 //	tad anantara jaH hi agniH aH tAvIt puruzottamam // GarP_3,7.37 //
   agniruvāca /	agniH uvAca /
   yattejasāhaṃ susamiddhatejā havyaṃ vahāmyadhvare ājyasiktam // GarP_3,7.38	yat tejasA aham su samidDa tejAH havyam vahAmi aDvare Ajya siktam // GarP_3,7.38
   yattejasāhaṃ jaṭhare saṃpraviśya pacannannaṃ sarvadā pūrṇaśaktiḥ /	yat tejasA aham jaWare saMpraviSya pacan= annam sarvadA pUrNa SaktiH /
   ato na jāne tava sadguṇāṃśca bhṛgorahaṃ sarvadaivaṃ samosmi // GarP_3,7.39	atas na jAne tava sat guNAn= ca BRgoH aham sarva dEvam samosmi // GarP_3,7.39
   tadanantarajā stotuṃ prasūtirupacakrame // GarP_3,7.40 //	tad anantara jA stotum prasUtiH upacakrame // GarP_3,7.40 //
   prasūtiruvāca /	prasUtiH uvAca /
   yannāmārthavicāraṇepimunayo muhyati vai sarvadā tvadbhītā api devatā	yat nAma arTa vicAraNepi munayaH muhyati vE sarvadA tvad BItAH api devatA
   hyavirataṃ strībhiḥ sahaiva sthitāḥ /	hi aviratam strIBiH saha eva sTitAH /
   māndhātṛdhruvanāradāśca bhṛgavo vaivasvatādyākhilāḥ premṇā vai	mAnDAtR Druva nAradAH ca BRgavaH vEvasvata adya aKilAH premNA vE
   praṇamāmyahaṃ hitakṛte tasmai namo viṣṇave // GarP_3,7.41 //	praNamAmi aham hita kRte tasmE namaH vizNave // GarP_3,7.41 //
   ato na jāne tava sadguṇānsadā evaṃ vidhā kā mama śaktirasti /	atas na jAne tava sat guNAn sadA evam viDA kA mama SaktiH asti /
   stutvā hyevaṃ prasūtistu tūṣṇīmāsītkhageśvara // GarP_3,7.42 //	stutvA hi evam prasUtiH tu tUzNIm AsIt KageSvara // GarP_3,7.42 //
   agnirvāgātmako brahmaputro bhṛgu ṛṣistathā /	agniH vAc AtmakaH brahma putraH BRgu RziH taTA /
   tadbhāryā vai prasūtistu traya ete samāḥ smṛtāḥ // GarP_3,7.43 //	tad BAryA vE prasUtiH tu trayaH ete samAH smRtAH // GarP_3,7.43 //
   varuṇātpādahīnāśca pravahādviguṇādhamāḥ /	varuNAt pAda hInAH ca pravahAt viguNa aDamAH /
   dakṣācchatāvarā jñeyā mitrāttu dviguṇādhikāḥ // GarP_3,7.44 //	dakzAt SatAvarAH jQeyAH mitrAt tu dviguNa aDikAH // GarP_3,7.44 //
   prasūtyanantaraṃ jāto vasiṣṭho brahmanandanaḥ /	prasUti anantaram jAtaH vasizWaH brahmanandanaH /
   vinayāvanato bhūtvā stotuṃ samupacakrame // GarP_3,7.45 //	vinaya avanataH BUtvA stotum samupacakrame // GarP_3,7.45 //
   vasiṣṭha uvāca /	vasizWaH uvAca /
   namostu tasmai puruṣāya vedhase namonamo 'sadvṛjinacchide namaḥ /	namoH tu tasmE puruzAya veDase namaH namaH asat vRjina= Cide namaH /
   namonamo svāṅgabhavāya nityaṃ natosmi henātha tavāṅghripaṅkajam //	namaH namaH sva aFga BavAya nityam natosmi hena aTa tava aFGri paFkajam //
   GarP_3,7.46 //	GarP_3,7.46 //
   māṃ pāhi nityaṃ bhagavanvāsudeva hyagnerahaṃ sarvadā nyūna eva /	mAm pAhi nityam Bagavan vAsudeva hi agneH aham sarvadA nyUnaH eva /
   mitrādahaṃ sarvadā kiñcidūnaḥ stutvā deva sobhavattatra tūṣṇīm //	mitrAt aham sarvadA kiQcidUnaH stutvA deva soBavat tatra tUzNIm //
   GarP_3,7.47 //	GarP_3,7.47 //
   yo vasiṣṭhānantarajo marīcirbrahmanandanaḥ /	yaH vasizWa anantara jaH marIciH brahmanandanaH /
   harintuṣṭāva parayā bhaktyā nārāyaṇaṃ gurum // GarP_3,7.48 //	harintuzwAva parayA BaktyA nArAyaNam gurum // GarP_3,7.48 //
   marīciruvāca /	marIciH uvAca /
   devena cāhaṃ hatadhīrbhavanaprasaṅgātsarvāśubhopagamanādvimukhedriyaśca /	devena ca aham hata DIH Bavana prasaFgAt sarva aSuBa upagamanAt vimuKedriyaH ca /
   kurve ca nityaṃ sukhaleśalavādinā tvaddaraṃ manastvaśubhakarma samācarīṣye	kurve ca nityam suKa leSalava AdinA tvad daram manaH tu aSuBa karma samAcarIzye
   // GarP_3,7.49 //	// GarP_3,7.49 //
   etādṛśohaṃ bhagavānanantaḥ sadā vasiṣṭhasya samāna eva // GarP_3,7.50 //	etAdRSoham BagavAn anantaH sadA vasizWasya samAnaH eva // GarP_3,7.50 //
   evaṃ stutvā marīcistu tūṣṇīmāsa tadā khaga /	evam stutvA marIciH tu tUzNIm Asa tadA Kaga /
   tadatantarajohyatrirastāvītprāñjalirharim // GarP_3,7.51 //	tad atantara johyatriH aH tAvIt prAQjaliH harim // GarP_3,7.51 //
   āvirbhavajjagatprabhavāyāvatīrṇaṃ tadrakṣaṇārthamanavadyañca tathāvyayāya	AvirBavat jagat praBavAya avatIrNam tad rakzaNa arTam anavat yaQca taTA avyayAya
   tattvārthamūlamavikāri tava svarūpaṃ hyānandasāramata eva vikāraśūnyam //	tattva arTa mUlam avikAri tava svarUpam hi Ananda sAram atas eva vikAra SUnyam //
   GarP_3,7.52 //	GarP_3,7.52 //
   traiguṇyaśūnyamakhileṣu ca saṃvibhaktaṃ tatra praviśya bhagavanna hi	trEguNya SUnyam aKilezu ca saMviBaktam tatra praviSya Bagavat na hi
   paśyatīva /	paSyati iva /
   ato marārestava sadguṇāṃśca stotuṃ na śakromi marīcetulyaḥ // GarP_3,7.53	atas marAreH tava sat guNAn= ca stotum na Sakromi marIce tulyaH // GarP_3,7.53
   evaṃ stutvā hyatrirapitūṣṇīmāsa tadā khaga /	evam stutvA hi atriH apitu uzNIm Asa tadA Kaga /
   tadanantarajaḥ stotumaṅgirā vākyamabravīt // GarP_3,7.54 //	tad anantara jaH stotum aFgirAH vAkyam abravIt // GarP_3,7.54 //
   aṅgirā uvāca /	aFgirAH uvAca /
   draṣṭuṃ na śakromi tava svarūpaṃ hyanantabāhūdaramastakaṃ ca /	drazwum na Sakromi tava svarUpam hi ananta bAhu udara mastakam ca /
   anantasāhasrakirīṭajuṣṭaṃ mahārhanānābharaṇaiśca śobhitam /	ananta sAhasra kirIwa juzwam mahArha nAna ABaraNEH ca SoBitam /
   etādṛśaṃ rūpamanantapāraṃ stotuṃ hyaśaktastu samosmi cātreḥ // GarP_3,7.55	etAdRSam rUpam ananta pAram stotum hi aSaktaH tu samosmi ca atreH // GarP_3,7.55
   evaṃ stutvā hyaṅgirāśca tūṣṇīmāsa khageśvara /	evam stutvA hi aFgirAH ca tUzNIm Asa KageSvara /
   tadanantarajaḥ stotuṃ pulastyo vākyamavravīt // GarP_3,7.56 //	tad anantara jaH stotum pulastyaH vAkyam avravIt // GarP_3,7.56 //
   pulastya uvāca /	pulastyaH uvAca /
   yo vā haristu bhagavānsa (sva) upāsakānāṃ	yaH vA hariH tu BagavAn sa (sva) upAsakAnAm
   saṃdarśayedbhuvanamaṅgalamaṅgalaṃ ca /	saMdarSayet Buvana maFgala maFgalam ca /
   (laśca) yasmai namo bhagavate purupāya tubhyaṃ yo vāvitā	(laH ca) yasmE namaH Bagavate purupAya tuByam yaH vAvitA
   nirayabhāgagamaprasaṅge // GarP_3,7.57 //	niraya BAga gama prasaFge // GarP_3,7.57 //
   etādṛśāṃstava guṇānnavituṃ na śaktaṃ māṃ pāhi bhagavansadṛśo hyaṅgirasā ca	etAdRSAn= tava guNAn navitum na Saktam mAm pAhi Bagavan sadRSaH hi aFgirasA ca
   // GarP_3,7.58 //	// GarP_3,7.58 //
   evaṃ stutvā pulastyopi stūṣṇīmeva vabhūva ha /	evam stutvA pulastya upi stUzNIm eva vaBUva ha /
   tadanantarajaḥ stotuṃ pulaho vākyamabravīt // GarP_3,7.59 //	tad anantara jaH stotum pulahaH vAkyam abravIt // GarP_3,7.59 //
   pulaha uvāca /	pulahaH uvAca /
   niṣkāmarūparihitasya samarpitaṃ ca snānāvarottamapayaḥ phalapuṣpabhojyam /	nizkAma rUpa rihitasya samarpitam ca snAna avara uttama payaH Pala puzpa Bojyam /
   ārādhanaṃ bhagavatastava satkriyāśca vyarthaṃ bhavediti vadanti	ArADanam BagavataH tava satkriyAH ca vyarTam Bavet iti vadanti
   mahānubhāvāḥ // GarP_3,7.60 //	mahA anuBAvAH // GarP_3,7.60 //
   tasmai sadā bhagavate praṇamāmi nityaṃ niṣkāmayā tava	tasmE sadA Bagavate praNamAmi nityam nizkAmayA tava
   samarpaṇamātravuddhyā /	samarpaNa mAtra vudDyA /
   vaikuṇṭhanātha bhagavanstavane na śaktiḥ sohaṃ pulasatyasadṛśosmi na	vEkuNWanATa Bagavan stavane na SaktiH soham pulasatya sadRSosmi na
   saṃśayotra // GarP_3,7.61 //	saMSayotra // GarP_3,7.61 //
   evaṃ stutvā tu pulahastūṣṇīmāsa tadā khaga /	evam stutvA tu pulahaH tUzNIm Asa tadA Kaga /
   tadanantarajaḥ stotuṃ kratuḥ samupacakrame // GarP_3,7.62 //	tad anantara jaH stotum kratuH samupacakrame // GarP_3,7.62 //
   kraturuvāca /	kratuH uvAca /
   prāṇaprayāṇasamaye bhagavaṃstavaiva nāmāni saṃsṛtijaduḥ khavināśakāni /	prANa prayANa samaye Bagavan= tava eva nAmAni saMsRti jaduH Ka vinASakAni /
   yenaikajanmaśamalaṃ sahasaiva hitvā saṃyāti muktimamalāṃ tamahaṃ prapadye	yena eka janma Samalam sahasA eva hitvA saMyAti muktim amalAm tam aham prapadye
   // GarP_3,7.63 //	// GarP_3,7.63 //
   ye bhaktyā vivaśā viṣṇo nāmamātraikadajalpakāḥ /	ye BaktyA vivaSAH vizNo nAma mAtra ekada jalpakAH /
   tepi muktiṃ prayāntyāśu kimuta dhyāyinaḥ sadā // GarP_3,7.64 //	tepi muktim prayAnti ASu kim uta DyAyinaH sadA // GarP_3,7.64 //
   evaṃ stutvā kraturapi tūṣṇīmāsa khageśvara /	evam stutvA kratuH api tUzNIm Asa KageSvara /
   tadanantarajaḥ stotuṃ manurvaivasvatobravīt // GarP_3,7.65 //	tad anantara jaH stotum manuH vEvasvata ubravIt // GarP_3,7.65 //
   vaivalasvata uvāca /	vEvalasvataH uvAca /
   sohaṃ hi karmakaraṇe nirataḥ sadaiva strīṇāṃ bhoge ca nirataśca gude	soham hi karma karaNe nirataH sadA eva strINAm Boge ca nirataH ca gude
   pramattaḥ /	pramattaH /
   jihvendriye ca niratastava darśane ca samyagvirāgasahitaḥ paramo dareṇa //	jihvA indriye ca nirataH tava darSane ca samyak virAga sahitaH paramaH dareNa //
   GarP_3,7.66 //	GarP_3,7.66 //
   māṃsāsthimajjarudhiraiḥ sahite ca dehe bhaktiṃ sadaiva bhagavannapi	mAMsa asTi majja ruDirEH sahite ca dehe Baktim sadA eva Bagavan= api
   taskare ca /	taskare ca /
   gurvagnibāḍabagavādiṣu satsu duḥ khātsamyagviraktimupayāmi sahasva nityam	guru agni bAxa bagava Adizu satsu duH KAt samyak viraktim upayAmi sahasva nityam
   // GarP_3,7.67 //	// GarP_3,7.67 //
   lokānuvādaśravaṇe paramā ca śaktirnārāyaṇasya namane na ca mesti śaktiḥ /	loka anuvAda SravaNe paramA ca SaktiH nArAyaNasya namane na ca mesti SaktiH /
   lokānuyānakaraṇe paramā ca śaktiḥ kṣetrādimārgagamane paramā hyaśaktiḥ //	loka anuyAna karaNe paramA ca SaktiH kzetra Adi mArga gamane paramA hi aSaktiH //
   GarP_3,7.68 //	GarP_3,7.68 //
   vaiśyādikeṣu dhanikeṣu parā ca śaktiḥ sadbrāhmaṇeṣvapi na śaktiraho murāre	vESya Adikezu Danikezu parA ca SaktiH sat brAhmaNezu api na SaktiH aho murAre
   // GarP_3,7.69 //	// GarP_3,7.69 //
   vaivasvatamanurdevaṃ stutvā tūṣṇīṃ babhūva ha /	vEvasvatam anuH devam stutvA tUzNIm baBUva ha /
   tadanantarajaḥ stotuṃ viśvāmitropacakrame // GarP_3,7.70 //	tad anantara jaH stotum viSvAmitra upacakrame // GarP_3,7.70 //
   viśvāmitra uvāca /	viSvAmitraH uvAca /
   na dhyāte caraṇāṃbuje bhagavato saṃdhyāpi nānuṣṭhitā	na DyAte caraNa aMbuje BagavataH saMDyA api na anuzWitA
   jñānadvārakapāṭapāṭanapaṭurdharmopinopārjitaḥ /	jQAna dvAra kapAwa pAwana pawuH Darma upina upArjitaH /
   antarvyāphamalābhighātakaraṇe paṭvī śrutā te kathā no deva śravaṇena pāhi	antar vyAPa mala aBiGAta karaNe pawvI SrutA te kaTA naH deva SravaNena pAhi
   bhagavanmāmatritulyaṃ sadā // GarP_3,7.71 //	Bagavat mAm atri tulyam sadA // GarP_3,7.71 //
