   sāṅkhyasāraḥ /	sAFKya-sAraH /
   bhavadbhirucyate tathaiva bauddhairapīṣyate sukhaduḥkhādimattvenāpi	BavadBiH-ucyate taTA-eva bOdDEH-apIzyate suKa-duHKa-Adimattvena-api
   buddhiḥ svaprakāśatayā caitanyavyāpyā na bhavatīti / tathā cātmanīva	budDiH sva-prakASa-tayA cEtanya-vyApyAH na Bavati-iti / taTA ca-Atmani-iva
   buddhāvapi dṛśyatvāsiddhyā dṛśyatvena rūpeṇa buddhiviveko 'tyantāpekṣito	budDO=-api dRSya-tva-asidDyA dRSya-tvena rUpeNa budDi-vivekaH atyanta-apekzitaH-
   'pi na sidhyatīti bhāṣyādiṣu cānyānyatra dūṣaṇānyuktānīti dik / nanu	api na siDyati-iti BAzya-Adizu ca-anyA-an-i-atra dUzaNAni-uktAni-iti diS / nanu
   sambhavatyevaṃ sāmānyarūpeṇa vivekagrahaḥ / tathāpi sāmānyānyeva bahūni	samBavati-evam sAmAnya-rUpeNa viveka-grahaH / taTA-api sAmAnyAni-eva bahUni
   santi	santi
   pariṇāmitvasaṃhatyakāritvasukhaduḥkhamohātmakatvacaturviṃśatitattvatvādīnyatastaistai	pariNAmi-tva-saMhatya-kAri-tva-suKa-duHKa-moha-Atmaka-tva-caturviMSati-tattva-tva-Adi-in-yatas-tEH-tE
   rūpairvivekagrahāṇāṃ mokṣahetutve 'nanugamadoṣa iti cenna /	rUpEH-viveka-grahANAm mokza-hetu-tve ananugama-dozaH iti ced-na /
   abhimānapratibandhakajñānatvenaivānugamāditi / athaivaṃ sāmānyarūpeṇa	aBimAna-pratibanDaka-jQAna-tvena-eva-anugamAt-iti / aTa-evam sAmAnya-rUpeNa
   vivekasyaiva sarvābhimānanivartakatayā nāhaṃ deho	vivekasya-eva sarva-aBimAna-nivartaka-tayA na-aham dehaH-
   nendriyāṇityādipratyekarūpairvivekagrahāṇāṃ mokṣahetutvaṃ	na-indriyANiti-Adi-pratyeka-rUpEH-viveka-grahANAm mokza-hetu-tvam
   śrutismṛtyorucyamānaṃ kathaṃ ghaṭeteti cenna / avāntaravivekānāṃ	Sruti-smRtyoH-ucyamAnam kaTam Gaweta-iti ced-na / avAntara-vivekAnAm
   sāmānyavivekaprapañcamātratvāditi //	sAmAnya-viveka-prapaQca-mAtra-tvAt-iti //
        iti śrīvijñānabhikṣuviracite sāṅkhyasāre mokṣahetuvivekajñānasya	iti SrI-vijQAna-Bikzu-viracite sAFKya-sAre mokza-hetu-viveka-jQAnasya
   svarūpasya paricchedaḥ // * //	svarUpasya paricCedaH // * //
   atha tṛtīyaḥ paricchedaḥ /	aTa tRtIyaH paricCedaH /
   atha ke te prakṛtyādayo yebhyaḥ puruṣo vivecanīya ityucyate /	aTa ke te prakRti-AdayaH yeByaH puruzaH vivecanIyaH iti-ucyate /
   prakṛtirbuddhyahaṅkārau tanmātraikādaśendriyam /	prakRtiH-budDi-ahaFkArO tanmAtra-ekAdaSa-indriyam /
   bhūtāni ceti sāmānyāccaturviṃśatireva te //	BUtAni ca-iti sAmAnyAt-caturviMSatiH-eva te //
   eteṣveva dharmadharmyabhedena guṇakarmasāmānyānāmantarbhāvaḥ / tatra	etezu-eva Darma-Darmya-Bedena guNa-karma-sAmAnyAnAm-antarBAvaH / tatra
   prakṛtitvaṃ sākṣāt paramparayā 'khilavikāropādānatvaṃ prakṛṣṭākṛtiḥ	prakRti-tvam sAkzAt paramparayA aKila-vikAra-upAdAna-tvam prakRzwa-AkRtiH
   pariṇāmarūpā 'syā iti vyutpatteḥ / prakṛtiḥ śaktirajā pradhānamavyaktaṃ	pariNAma-rUpA asyAH iti vyutpatteH / prakRtiH SaktiH-ajA praDAnam-avyaktam
   tamo māyā 'vidyetyādayaḥ prakṛteḥ paryāyāḥ /	tamaH mAyA avidyA-ityAdayaH prakRteH paryAyAH /
   brāhmīti vidyā 'vidyeti māyeti ca tathā pare /	brAhmI-iti vidyA avidyA-iti mAyA-iti ca taTA pare /
   prakṛtiśca parā ceti vadanti paramarṣayaḥ //	prakRtiH-ca parA ca-iti vadanti parama-RzayaH //
   iti smṛteḥ / sā ca sāmyāvasthayopalakṣitaṃ sattvādidravyatrayam /	iti smRteH / sA ca sAmya-avasTayA-upalakzitam sattva-Adi-dravya-trayam /
   kāryasattvādivāraṇāyopalakṣitāntam / sāmyāvasthā ca	kArya-sattva-Adi-vAraNAya-upalakzita-antam / sAmya-avasTA ca
   nyūnādhikabhāvenāsaṃhananāvasthā akāryāvastheti yāvat / mahadādikaṃ tu	nyUna-aDika-BAvena-asaMhanana-avasTA akArya-avasTA-iti yAvat / mahat-Adikam tu
   kāryasattvādikaṃ na kadā 'pyakāryāvasthaṃ bhavatīti tadvyāvṛttiḥ /	kArya-sattva-Adikam na kadA api-akArya-avasTam Bavati-iti tad-vyAvRttiH /
   vaiṣamyāvasthāyāmapi prakṛtitvasiddhaya upalakṣitamityuktam / akāryamiti	vEzamya-avasTAyAm-api prakRti-tva-sidDayaH upalakzitam-iti-uktam / akAryam-iti
   tūpalakṣitāntasya niṣkṛṣṭārthaḥ / sattvādiguṇavatī sattvādyatiriktā	tu-upalakzita-antasya nizkRzwa-arTaH / sattva-Adi-guNavatI sattva-Adi-atiriktA
   prakṛtiriti na śaṅkanīyam / sattvādīnāmataddharmatvaṃ tadrūpatvāditi	prakRtiH-iti na SaFkanIyam / sattva-AdInAm-atad-Darma-tvam tad-rUpa-tvAt-iti
   sāṅkhyasūtreṇa sattvādīnāṃ prakṛtisvarūpahetunā	sAFKya-sUtreNa sattva-AdInAm prakRti-svarUpa-hetunA
   prakṛtidharmatvapratiṣedhāt / yogasūtratadbhāṣyābhyāmapi guṇānāmeva	prakRti-Darma-tva-pratizeDAt / yoga-sUtra-tad-BAzyAByAm-api guNAnAm-eva
   prakṛtitvavacanācca / guṇebhya eva kāryotpattau	prakRti-tva-vacanAt-ca / guNeByaH eva kArya-utpattO
   tadanyaprakṛtikalpanāvaiyarthyācca / prakṛterguṇā ityādivākyaṃ tu vanasya	tad-anya-prakRti-kalpanA-vEi-arTyAt-ca / prakRteH-guNAH ityAdi-vAkyam tu vanasya
   vṛkṣā itivad bodhyam /	vRkzAH iti-vat boDyam /
   sattvaṃ rajastama iti prakṛterabhavan guṇāḥ /	sattvam rajaH-tamaH iti prakRteH-aBavan guNAH /
   iti sattvādīnāṃ prakṛtikāryatvavacanaṃ tu guṇanityatāvākyavirodhena	iti sattva-AdInAm prakRti-kAryatva-vacanam tu guNa-nitya-tA-vAkya-viroDena
   mahattattvakāraṇībhūtakāryasattvādiparameva / mahadādisṛṣṭirhi	mahat-tattva-kAraNIBUta-kArya-sattva-Adi-param-eva / mahat-Adi-sRzwiH-hi
   guṇavaiṣamyāt śrūyate / tacca vaiṣamyaṃ sajātīyasavalanena	guNa-vEzamyAt SrUyate / tat-ca vEzamyam sajAtIya-savalanena
   guṇāntaravyāvṛttaprakāśādiphalopahitaḥ sattvādivyavahārayogyaḥ pariṇāma	guNa-antara-vyAvRtta-prakASa-Adi-Pala-upahitaH sattva-Adi-vyavahAra-yogyaH pariNAma
   iti / etenāṣṭāviṃśatitattvapakṣo 'pyupapādito mantavyaḥ / vaiṣamya eva	iti / etena-azwAviMSati-tattva-pakzaH api-upapAditaH mantavyaH / vEzamyaH eva
   sattvādivyavahāraśca śrutau dṛśyate / yathā tama evedamagra āsa	sattva-Adi-vyavahAraH-ca SrutO dRSyate / yaTA tamaH eva-idam-agre Asa
   tatpareṇeritaṃ viṣamatvaṃ prayātyetad vai rajaso rūpaṃ khalvīritaṃ	tad-pareNa-Iritam vizama-tvam prayAti-etat vE rajasaH rUpam Kalu-Iritam
   viṣamatvaṃ prayātyetad vai sattvasya rūpamiti / sattvāditrayaṃ ca	vizama-tvam prayAti-etat vE sattvasya rUpam-iti / sattva-Adi-trayam ca
   sukhaprakāśalāghavaprasādādiguṇavattayā / saṃyogavibhāgādimattayā	suKa-prakASa-lAGava-prasAda-Adi-guNavat-tayA / saMyoga-viBAga-AdimattayA
   'nāśritatvopādānatvādinā ca draṣṭavye 'pi puruṣopakaraṇatvāt	anASrita-tva-upAdAna-tva-AdinA ca drazwavye api puruza-upakaraNa-tvAt
   puruṣabandhakatvācca guṇaśabdenocyate / indriyādivat / guṇānāṃ	puruza-banDaka-tvAt-ca guNa-Sabdena-ucyate / indriya-Adi-vat / guNAnAm
   sukhaduḥkhamohātmakatvapravādastu dharmadharmyabhedāt / manasaḥ	suKa-duHKa-moha-Atmaka-tva-pravAdaH-tu Darma-Darmya-BedAt / manasaH
   saṅkalpātmakatvavat / tatra sattvaṃ sukhaprasādaprakāśādyanekadharmakaṃ	saFkalpa-Atmaka-tva-vat / tatra sattvam suKa-prasAda-prakASa-Adi-aneka-Darmakam
   prādhānyatastu sukhātmakamucyate / evaṃ rajo 'pi	prADAnyataH-tu suKa-Atmakam-ucyate / evam rajaH api
   duḥkhakāluṣyapravṛttyādyanekadharmakaṃ prādhānyatastu duḥkhātmakamucyate /	duHKa-kAluzya-pravRtti-Adi-aneka-Darmakam prADAnyataH-tu duHKa-Atmakam-ucyate /
   tathā tamo 'pi mohāvaraṇastambhanādyanekadharmakaṃ prādhānyatastu	taTA tamaH api moha-AvaraNa-stamBana-Adi-aneka-Darmakam prADAnyataH-tu
   mohātmakamucyate / ta eva dharmāsteṣāṃ lakṣaṇāni bhavanti / sattvādisañjñā	moha-Atmakam-ucyate / te eva DarmAH-tezAm lakzaNAni Bavanti / sattva-Adi-saQjQA
   cānvarthā / sato bhāvaḥ sattvamuttamatvamiti vyutpattyā hi	ca-anvarTAH / sataH BAvaH sattvam-uttama-tvam-iti vyutpattyA hi
   dharmaprādhānyenottamaṃ puruṣopakaraṇaṃ sattvaśabdārthaḥ / madhyamaṃ ca	Darma-prADAnyena-uttamam puruza-upakaraNam sattva-Sabda-arTaH / maDyamam ca
   rajaḥśabdārtho rāgayogāt / adhamaṃ ca tamaḥśabdārthaḥ / adharmāvaraṇayogāt	rajaH-Sabda-arTaH rAga-yogAt / aDamam ca tamaH-Sabda-arTaH / aDarma-AvaraNa-yogAt-
   / tāni ca sattvādīni pratyekamasaṅkhyavyaktayaḥ /	/ tAni ca sattva-AdIni pratyekam-asaFKya-vyaktayaH /
   laghutvādidharmairanyonyasādharmyaṃ vaidharmyaṃ ca guṇānāmiti	laGu-tva-Adi-DarmEH-anyonya-sADarmyam vEDarmyam ca guNAnAm-iti
   sāṅkhyasūtrāt / atra hi sūtre laghutvādinā bahūnāṃ sattvānāṃ sādharmyaṃ	sAFKya-sUtrAt / atra hi sUtre laGu-tva-AdinA bahUnAm sattvAnAm sADarmyam
   tenaiva rajastamobhyāṃ vaidharmyam / evaṃ calatvādinā gurutvādinā ca	tena-eva rajaH-tamoByAm vEDarmyam / evam cala-tva-AdinA gurutva-AdinA ca
   bahūnāṃ rajasāṃ bahūnāṃ ca tamasāṃ tadubhayamuktamiti / kiñca yadi	bahUnAm rajasAm bahUnAm ca tamasAm tad-uBaya-m-uktam-iti / kiQca yadi
   sattvāditrayamekaikavyaktireva syāt tat trayaṃ vibhveva vaktavyam / ekadā	sattva-Adi-trayam-ekEka-vyaktiH-eva syAt tat trayam viBvA-iva vaktavyam / ekadA
   'nekabrahmāṇḍādisṛṣṭiśravaṇāt / tathā ca kāryāṇāmanantavaicitryaṃ na	aneka-brahmANxa-Adi-sRzwi-SravaNAt / taTA ca kAryANAm-ananta-vEcitryam na
   ghaṭate / na ca saṃyogavaicitryādvaicitryaṃ syāditi vācyam / vibhūnāṃ	Gawate / na ca saMyoga-vEcitryAt-vEcitryam syAt-iti vAcyam / viBUnAm
   trayāṇāṃ guṇānāṃ svataḥ saṃyogavaicitryāsambhavāt / dravyāntarasya	trayANAm guNAnAm svatas saMyoga-vEcitryA-samBavAt / dravya-antarasya
   cāvacchedakībhūtasyābhāvāditi / tasmāt sattvādīnyasaṅkhyavyaktikānyeva	ca-avacCedakIBUtasya-aBAvAt-iti / tasmAt sattva-AdIni-asaFKya-vyaktikAni-eva
   dravyāṇi / teṣu tritvavacanaṃ tu sattvatvādivibhājakopādhitrayeṇa	dravyANi / tezu tri-tva-vacanam tu sattva-tva-Adi-viBAjaka-upa-aDi-trayeNa
   vaiśeṣikāṇāṃ navadravyavacanavaditi siddham / tāni ca sattvādīni	vESezikANAm nava-dravya-vacana-vat-iti sidDam / tAni ca sattva-AdIni
   yathāyogyamaṇuvibhuparimāṇakāni / anyathā	yaTAyogyam-aNu-viBu-parimANakAni / anyaTA
   rajasaścalasvabhāvatvavacanavirodhāt / ākāśakāraṇatvasya ca	rajasaH-cala-svaBAva-tva-vacana-viroDAt / AkASa-kAraNa-tvasya ca
   vibhutvaucityāt / sarveṣāṃ kāraṇadravyāṇāṃ vibhutve kāryāṇāṃ	viBu-tva-OcityAt / sarvezAm kAraNa-dravyANAm viBu-tve kAryANAm
   paricchinnatvānupapatteśca / nanvevaṃ vaiśeṣikoktānyeva pārthivāṇvādīni	paricCinna-tva-anupapatteH-ca / nanu-evam vESezika-uktAni-eva pArTiva-aNu-AdIni
   prakṛtirityāyāyamiti cenna / gandhādiguṇaśūnyatvena kāraṇadravyeṣu	prakRtiH-iti-AyAyam-iti ced-na / ganDa-Adi-guNa-SUnya-tvena kAraNa-dravyezu
   pṛthivītvādyabhāvato 'smākaṃ viśeṣāt / taduktaṃ viṣṇupurāṇādiṣu //	pRTivI-tva-Adi-aBAvataH asmAkam viSezAt / tat-uktam vizNupurANa-Adizu //
   avyaktaṃ kāraṇaṃ yat tat pradhānamṛṣisattamaiḥ /	avyaktam kAraNam yat tat praDAnam-Rzi-sattamEH /
   procyate prakṛtiḥ sūkṣmā nityaṃ sadasadātmakam //	procyate prakRtiH sUkzmA nityam sat-asat-Atmakam //
   śabdasparśavihīnaṃ tadrūpādibhirasaṃyutam /	Sabda-sparSa-vihInam tad-rUpa-AdiBiH-asaMyutam /
   triguṇaṃ tajjagadyoniranādiprabhavāpyayam //	triguNam tat-jagat-yoniH-anAdi-praBava-apyayam //
   ityādinā /	ityAdinA /
   vaiśeṣikāṇāṃ kāraṇadravyeṣu gandhādyanumānaṃ tu bhāṣye 'smābhirnirākṛtam /	vESezikANAm kAraNa-dravyezu ganDa-Adi-anumAnam tu BAzye asmABiH-nirAkRtam /
   athaivamapi prakṛteraṇuvibhusādhāraṇasattvādyanekavyaktirupatve	aTa-evam-api prakRteH-aNu-viBu-sA-DAraNa-sattva-Adi-aneka-vyaktiH-upatve
   'paricchinnatvaikatvākriyatvasiddhāntakṣatiriti maivam /	aparicCinna-tva-eka-tva-akriyatva-sidDAnta-kzatiH-iti mA-evam /
   kāraṇadravyatvarūpaprakṛtitvenaivāparicchinnatvavacanāt / gandhatvena	kAraNa-dravya-tva-rUpa-prakRti-tvena-eva-aparicCinna-tva-vacanAt / ganDa-tvena
   gandhānāṃ pṛthivīvyāpakatāvat / ākāśādiprakṛtīnāṃ vibhutvenaiva	ganDAnAm pRTivI-vyApaka-tA-vat / AkASa-Adi-prakRtInAm viBu-tvena-eva
   prakṛtivibhutvasiddhāntopapatteśca / tathā puruṣabhedena sargabhedena ca	prakRti-viBu-tva-sidDAnta-upapatteH-ca / taTA puruza-Bedena sarga-Bedena ca
   bhedābhāvasyaivaikaśabdārthatvāt / ajāmekāmiti śrutitastathā 'vagamāt /	Beda-aBAvasya-eva-eka-Sabda-arTa-tvAt / ajAm-ekAm-iti SrutitaH-taTA avagamAt /
   athādhyavasāyābhimānādikriyārāhityasyaivākriyaśabdārthatvāt / anyathā	aTa-aDyavasAya-aBimAna-Adi-kriyA-ArAhiti-asya-eva-akriya-Sabda-arTa-tvAt / anyaTA
   śrutismṛtiṣūktasya prakṛtikṣobhasyānupapatteriti / prakṛtigatāścāpare	Sruti-smRtizu-uktasya prakRti-kzoBasya-anupapatteH-iti / prakRti-gatAH-ca-apare
   viśeṣā bhāṣye draṣṭavyāḥ / prakṛtyanumānaṃ cedam / sukhaduḥkhamohātmakaṃ	viSezAH BAzye drazwavyAH / prakRti-anumAnam ca-idam / suKa-duHKa-moha-Atmakam
   mahadādikāryaṃ sukhaduḥkhamohātmakadravyakāryaṃ sukhaduḥkhamohātmakatvāt	mahat-Adi-kAryam suKa-duHKa-moha-Atmaka-dravya-kAryam suKa-duHKa-moha-Atmaka-tvAt-
   vastrādikāryaśayyādivaditi / śrutismṛtī cātrānugrāhakastarkaḥ / evaṃ	vastra-Adi-kArya-SayyA-Adi-vat-iti / Sruti-smRtI ca-atra-anugrAhakaH-tarkaH / evam
   sāmānyato 'numitāyāḥ prakṛterviśeṣāḥ śāstrādyogāccāvagantavyāḥ /	sAmAnyatas anumitAyAH prakRteH-viSezAH SAstrAt-yogAt-ca-avagantavyAH /
   anumānasya sāmānyamātraviṣayakatvāt / nanvantareva sukhādikamupalabhyate	anumAnasya sAmAnya-mAtra-vizayaka-tvAt / nanu-antarA-iva suKa-Adikam-upalaByate
   bāhyavastuṣu sukhādau kiṃ pramāṇaṃ yena dṛṣṭāntatā syāditi / ucyate /	bAhya-vastuzu suKa-AdO kim pramANam yena dRzwAnta-tA syAt-iti / ucyate /
   antaḥkaraṇasya sukhādihetutayā viṣayeṣu sukhādikaṃ sidhyati / na ca	antaHkaraNasya suKa-Adi-hetu-tayA vizayezu suKa-Adikam siDyati / na ca
   rūpādigatottamatvādikameva sukhādyutpādane niyāmakam /	rUpa-Adi-gata-uttama-tva-Adikam-eva suKa-Adi-utpAdane niyAmakam /
   uttamatvāderjātirūpatve nīlatvapītatvādinā jātisāṅkaryāpatteḥ /	uttama-tva-AdeH-jAti-rUpa-tve nIlatva-pIta-tva-AdinA jAti-sAFkarya-ApatteH /
   kālādibhedairekasyā eva rūpavyakteḥ sukhaduḥkhotpādakatvācca / ataḥ	kAla-Adi-BedEH-ekasyAH eva rUpa-vyakteH suKa-duHKa-utpAdaka-tvAt-ca / atas-
   sukhādimattvamevottamatvādikam / kiñca ghaṭarūpamiti pratyayavat	suKa-Adimat-tvam-eva-uttama-tva-Adikam / kiQca Gawa-rUpam-iti pratyaya-vat-
   strīsukhaṃ candanasukhamityādipratyayādapi viṣaye sukhādyucitam / adhikaṃ	strI-suKam candana-suKam-ityAdi-pratyayAt-api vizaye suKa-Adi-ucitam / aDikam
   tu bhāṣye draṣṭavyam / tadevaṃ prakṛtirnirūpitā / mahattattvaṃ nirūpyate /	tu BAzye drazwavyam / tat-evam prakRtiH-nirUpitA / mahat-tattvam nirUpyate /
   prakṛteḥ sakāśādbuddhyākhyaṃ mahattattvaṃ jāyate / tasya	prakRteH sakASAt-budDi-AKyam mahat-tattvam jAyate / tasya
   dharmādirūpaprakṛṣṭaguṇayogān mahatsañjñā tadeva ca lakṣaṇam / mahān	Darma-Adi-rUpa-prakRzwa-guNa-yogAt mahat-saQjQA tat-eva ca lakzaNam / mahAn
   buddhiḥ prajñetyādayaśca tasya paryāyāḥ / tathā coktamanugītāyām /	budDiH prajQA-ityAdayaH-ca tasya paryAyAH / taTA ca-uktam-anugItAyAm /
   mahānātmā matirviṣṇurjiṣṇuḥ śambhuśca vīryavān /	mahAn-AtmA matiH-vizNuH-jizNuH SamBuH-ca vIryavAn /
   buddhiḥ prajñopalabdhiśca tathā brahmā dhṛtiḥ smṛtiḥ //	budDiH prajQA-upalabDiH-ca taTA brahmA DRtiH smRtiH //
   paryāyavācakairetairmahānātmā nigadyate /	paryAya-vAcakEH-etEH-mahAn-AtmA nigadyate /
   sarvataḥ pāṇipādaśca sarvato 'kṣiśiromukhaḥ //	sarvatas pANi-pAdaH-ca sarvatas akzi-SiraH-muKaH //
   sarvataḥ śrutimāṃlloke sarvaṃ vyāpya sa tiṣṭhati /	sarvatas SrutimAn=-loke sarvam vyApya sa tizWati /
   aṇimā laghimā prāptirīśāno jyotiravyayaḥ //	aNimA laGimA prAptiH-ISAnaH jyotiH-avyayaH //
   jñānavantaśca ye kecidalubdhā jitamanyavaḥ /	jQAnavantaH-ca ye kecid-alubDAH jita-manyavaH /
   vimuktāḥ sarva evaite mahattvamupayāntyuta /	vimuktAH sarve eva-ete mahat-tvam-upayAnti-uta /
   viṣṇurevādisargeṣu svayambhūrbhavati prabhuḥ //	vizNuH-eva-Adi-sargezu svayamBUH-Bavati praBuH //
   iti / atra sattvādyaṃśatrayeṇa mahato devatātrayopādhitvāt tadavivekena	iti / atra sattva-Adi-aMSa-trayeNa mahataH devatA-traya-upADi-tvAt tad-avivekena
   brahmaviṣṇuśivatvavacanam / taduktaṃ viṣṇau /	brahma-vizNu-Siva-tva-vacanam / tat-uktam vizNO /
   sāttviko rājasaścaiva tāmasaśca tridhā mahān /	sAttvikaH rAjasaH-ca-eva tAmasaH-ca triDA mahAn /
   iti / mātsye ca /	iti / mAtsye ca /
   savikārāt pradhānāt tu mahattattvamajāyata /	sa-vikArAt praDAnAt tu mahat-tattvam-ajAyata /
   mahāniti yataḥ khyātirlokānāṃ jāyate sadā //	mahAn-iti yatas KyAtiH-lokAnAm jAyate sadA //
   guṇebhyaḥ kṣobhyamāṇebhyastrayo devā vijajñire /	guNeByaH kzoByamANeByaH-trayaH devAH vijajQire /
   ekā mūrtistrayo devā brahmaviṣṇumaheśvarāḥ //	ekA mUrtiH-trayaH devAH brahma-vizNu-maheSvarAH //
   iti / aṇimetyādibhāvanirdeśo dharmadharmyabhedāt / brahmaśaṅkarāpekṣayā	iti / aNima-ityAdi-BAva-nirdeSaH Darma-Darmya-BedAt / brahma-SaFkara-apekzayA
   'pyādau viṣṇurūpeṇaiva mahānāvirbhavatīti viṣṇurevetyardhenoktam / ekameva	api-AdO vizNu-rUpeNa-eva mahAn-AvirBavati-iti vizNuH-eva-iti-arDena-uktam / ekam-eva
   mahattattvamaṃśato rajastamaḥsambhedena pariṇataṃ sad	mahat-tattvam-aMSataH rajaH-tamaH-samBedena pariNatam sat-
   vyaṣṭijīvānāmupādhiradharmādiyuktaṃ kṣudramapi bhavati /	vyazwi-jIvAnAm-upADiH-aDarma-Adi-yuktam kzudram-api Bavati /
   mahaduparāgādviparītamiti sāṅkhyasūtrāt / mahattattvasya	mahat-uparAgAt-viparItam-iti sAFKya-sUtrAt / mahat-tattvasya
   prādhānyenāsādhāraṇyena cādhyavasāyo vṛttiḥ /	prADAnyena-asADAraNyena ca-aDyavasAyaH vRttiH /
   mahadahaṅkāramanastritayātmakasyāntaḥkaraṇasya mahattattvaṃ bījāvastheti /	mahat-ahaFkAra-manaH-tritaya-Atmakasya-antaHkaraNasya mahat-tattvam bIja-avasTA-iti /
   atra prakṛtermahān mahato 'haṅkāra ityādisṛṣṭikrame śāstrameva pramāṇam /	atra prakRteH-mahAn mahataH ahaFkAraH ityAdi-sRzwi-krame SAstram-eva pramANam /
   anumānena sāmānyataḥ kāryāṇāṃ sakāraṇakatvamātrasiddheḥ na tu sṛṣṭau	anumAnena sAmAnyatas kAryANAm sa-kAraNaka-tva-mAtra-sidDeH na tu sRzwO
   bhūtādikramo vā 'ntaḥkaraṇādikramo vetyekataravadhārakamanumānaṃ	BUta-Adi-kramaH vA antaHkaraNa-Adi-kramaH vA-iti-ekataravaDArakam-anumAnam
   sambhavati / spaṣṭaliṅgābhāvāt / śrutismṛtyanugṛhītaṃ yathākathañcilliṅgaṃ	samBavati / spazwa-liFga-aBAvAt / Sruti-smRti-anugRhItam yaTAkaTaQcit-liFgam
   tu mahadādikrame 'stīti bhāṣye 'smābhiḥ pradarśitam / mahattattvaṃ	tu mahat-Adi-krame asti-iti BAzye asmABiH pradarSitam / mahat-tattvam
   nirūpitam / ahaṅkāro nirūpyate / mahattattvādahaṅkāra utpadyate / aṅkurāt	nirUpitam / ahaFkAraH nirUpyate / mahat-tattvAt-ahaFkAraH utpadyate / aFkurAt-
   śākhāvat / tasya cābhimānavṛttikatvādahaṅkārasañjñā / kumbhakārasañjñāvat	SAKA-vat / tasya ca-aBimAna-vRttika-tvAt-ahaFkAra-saQjQA / kumBakAra-saQjQAvat
   / tadeva lakṣaṇam / tasya ca paryāyāḥ kaurme proktāḥ /	/ tat-eva lakzaNam / tasya ca paryAyAH kOrme proktAH /
   ahaṅkāro 'bhimānañca kartā mantā ca saṃsmṛtaḥ /	ahaFkAraH aBimAnaQca kartA mantA ca saMsmRtaH /
   ātmā ca prakulo jīvo yataḥ sarvāḥ pravṛttayaḥ //	AtmA ca prakulaH jIvaH yatas sarvAH pravRttayaH //
   iti / sa cāhaṅkārastrividhatayā trividhakāryahetuḥ / taduktaṃ kaurme /	iti / sa ca-ahaFkAraH-triviDa-tayA triviDa-kArya-hetuH / tat-uktam kOrme /
   vaikārikastaijasaśca bhūtādiścaiva tāmasaḥ /	vEkArikaH-tEjasaH-ca BUtAdiH-ca-eva tAmasaH /
   trividho 'yamahaṅkāro mahataḥ sambabhūva ha //	triviDaH ayam-ahaFkAraH mahataH sambaBUva ha //
   taijasādindriyāṇi syurdevā vaikārikāddaśa /	tEjasAt-indriyANi syuH-devAH vEkArikAt-daSa /
   ekādaśaṃ manaścātra svaguṇenobhayātmakam //	ekAdaSam manaH-ca-atra sva-guNena-uBaya-Atmakam //
   bhūtatanmātrasargastu bhūtāderabhavan prajāḥ /	BUta-tanmAtra-sargaH-tu BUtAdeH-aBavan prajAH /
   iti / vaikārikaḥ sāttvikaḥ / taijaso rājasaḥ / svaguṇenindriyavṛttiṣu	iti / vEkArikaH sAttvikaH / tEjasaH rAjasaH / sva-guNenindriya-vRttizu
   sāhāyyarūpeṇotkarṣeṇa / ubhayātmakaṃ jñānakarmobhayendriyātmakam /	sAhAyya-rUpeNa-utkarzeNa / uBaya-Atmakam jQAna-karma-uBaya-indriya-Atmakam /
   anyatramanā abhūvaṃ nā 'śrauṣamityādiśrutyā manaso	anyatramanAH aBUvam nA aSrOzam-iti-Adi-SrutyAH manasaH-
   jñānakarmobhayendriyasahakāritvasiddheriti / ekādaśendriyadevāśca /	jQAna-karma-uBaya-indriya-sahakAri-tva-sidDeH-iti / ekAdaSa-indriya-devAH-ca /
   digvātārkapracetośvivahnīndropendramitrakāḥ /	digvAta-arka-praceta-uSvivahni-indra-upendra-mitrakAH /
   candraśca	candraH-ca
   iti / ahaṅkāro nirūpitaḥ / indriyādīni nirūpyante / ahaṅkārādādau mana	iti / ahaFkAraH nirUpitaH / indriya-AdIni nirUpyante / ahaFkArAt-AdO mana
   utpadyate /	utpadyate /
   śabdarāgācchrotramasya jāyate bhāvitātmanaḥ /	SabdarAgAt-Srotram-asya jAyate BAvitAtmanaH /
   rūparāgāt tathā cakṣurghrāṇaṃ gandhajighṛkṣayā //	rUpa-rAgAt taTA cakzuH-GrANam ganDa-jiGRkzayA //
   ityādinā mokṣadharmādāvindriyādīnāṃ manovṛttirāgādikāryatvaśravaṇāt /	ityAdinA mokza-Darma-AdO=-indriya-AdInAm manaH-vRtti-rAga-Adi-kArya-tva-SravaNAt /
   tataścāhaṅkārāt saṅkalpapūrvakaṃ daśendriyāṇi pañcatanmātrāni cotpadyante	tatas-ca-ahaFkArAt saFkalpa-pUrvakam daSa-indriyANi paQca-tanmAtrAni ca-utpadyante
   / indriyatanmātrayośca kāryakāraṇabhāvasyābhāvāt kramaniyamo nāsti /	/ indriya-tanmAtrayoH-ca kArya-kAraNa-BAvasya-aBAvAt krama-niyamaH na-asti /
   tatrendriyeṣu nāstyavāntarakāryakāraṇabhāvaḥ pramāṇābhāvāt / tanmātreṣu	tatra-indriyezu na-asti-avAntara-kArya-kAraNa-BAvaH pramANa-aBAvAt / tanmAtrezu
   tvasti / sa yathā / śabdatanmātrādvakṣyamāṇakrameṇa sparśatanmātraṃ	tu-asti / sa yaTA / Sabda-tanmAtrAt-vakzyamANa-krameNa sparSa-tanmAtram
