   namaḥ sarvajñāya //	namaH sarvajQAya //
   mā yūyam āyuṣmantaḥ taṃ bhikṣuṃ kalyāṇaṃ vā pāpakaṃ vā kiṃcid vadata tat	mA yUyam AyuzmantaH tam Bikzum kalyANam vA pApakam vA kiMcid vadata tat-
   kasmād dhetor dharmavādī āyuṣmanto bhikṣur vinayavādī ca so 'smākaṃ caiṣaś	kasmAt DetoH Darma-vAdI AyuzmantaH BikzuH vinaya-vAdI ca saH asmAkam ca-ezaH-
   chandaṃ ca ruciñ cādāya tu vyāharati | jānaṃś ca sa bhikṣur bhāṣate	Candam ca rucin ca-AdAya tu vyAharati | jAnan ca sa BikzuH BAzate
   nājānan yac cāsya bhikṣoḥ rocate ca kṣamate ca asmākam api rocate ca	na-ajAnan yat ca-asya BikzoH rocate ca kzamate ca asmAkam api rocate ca
   kṣamate ca iti / te bhikṣavo bhikṣubhir evaṃ syur vacanīyā -- māyuṣmanta	kzamate ca iti / te BikzavaH BikzuBiH evam syuH vacanIyAH - mAyuzmanta
   evaṃ vadantu na ca sa bhikṣur dharmavādī na vinayavādī adharmaṃ caiṣo	evam vadantu na ca sa BikzuH Darma-vAdI na vinaya-vAdI aDarmam ca-ezo
   'vinayaṃ cāsmākaṃ chandaṃ ruciñ cādāya tu vyāharati nājānaṃś ca sa bhikṣur	avinayam ca-asmAkam Candam rucin ca-AdAya tu vyAharati na-ajAnan ca sa BikzuH-
   bhāṣate jānaṃś ca yac cāsya bikṣoḥ rocate ca kṣamate ca tavāyuṣmato 'pi	BAzate jAnan ca yat ca-asya bikzoH rocate ca kzamate ca tava-AyuzmataH api
   saṃghabhedaḥ na rocate māyuṣmatām api saṃghabhedo rocate sametv āyuṣmantaḥ	saMGa-BedaH na rocate mAyuzmatAm api saMGaBedaH rocate sametu AyuzmantaH
   saṃghena samagro hi saṃgho saṃmodamāno avivadamāno ekāgradharmoddeśaḥ	saMGena samagraH hi saMGaH saMmodamAnaH avivadamAnaH ekAgra-Darma-uddeSaH
   ekakṣīrodakībhūtaḥ śāstu darśayamānaḥ sukhaṃ sparśaṃ viharantu / tiṣṭha mā	eka-kzIra-udakIBUtaH SAstu darSayamAnaH suKam sparSam viharantu / tizWa mA
   tvam āyuṣman saṃghabhedāya niḥsṛja imām evaṃrūpāṃ saṃghabhedakarāṃ kathām*	tvam Ayuzman saMGa-BedAya niHsRjaH imAm evaMrUpAm saMGa-Beda-karAm kaTAm*
   / evaṃ te bhikṣavo bhikṣubhiḥ dvir api trir api samanuyoktavyāḥ	/ evam te BikzavaH BikzuBiH dvis api tris api samanuyoktavyAH
   samanuśāsitavyās tasya vastunaḥ pratiniḥsargāya dvir api trir api	samanuSAsitavyAH tasya vastunaH pratiniHsargAya dvis api tris api
   samanuyoktavyāḥ samanuśāsitavyāḥ pratiniḥsṛjeyuḥ ity evaṃ kuśalaṃ no cet	samanuyoktavyAH samanuSAsitavyAH pratiniHsRjeyuH iti evam kuSalam no ced-
   pratiniḥsṛjeyuḥ saṃghāvaśeṣaḥ /	pratiniHsRjeyuH saMGa-avaSezaH /
   SA.12 (PrMoSū_Mū-Banerjee) saṃbahulā bhikṣavaḥ anyatamaṃ grāmaṃ vā nigamaṃ	SA.12 (PrMoSU_MU-BaneH-jee) saMbahulA BikzavaH anyatamam grAmam vA nigamam
   vā upaniḥśritya vihareyus te ca syuḥ kuladūṣakāḥ pāpasamācārāḥ teṣāṃ ca	vA upaniHSritya vihareyuH te ca syuH kula-dUzakAH pApa-samAcArAH tezAm ca
   kulāni duṣṭāni dṛśyeran vā śrūyeran vā prajñāyeran vā / te bhikṣavaḥ	kulAni duzwAni dRSyeran vA SrUyeran vA prajQAyeran vA / te BikzavaH
   bhikṣubhir evaṃ syur vacanīyāḥ -- āyuṣmantaḥ kuladūṣakāḥ pāpasamācārāḥ	BikzuBiH evam syuH vacanIyAH - AyuzmantaH kula-dUzakAH pApa-samAcArAH
   yuṣmākaṃ kulāni duṣṭāni dṛśyante 'pi śrūyante 'pi prajñāyante 'pi yuṣmākaṃ	yuzmAkam kulAni duzwAni dRSyante api SrUyante api prajQAyante api yuzmAkam
   ca te pāpasamācārā dṛśyante 'pi śrūyante 'pi prajñāyante 'pi prakramadhvaṃ	ca te pApa-samAcArAH dRSyante api SrUyante api prajQAyante api prakrama-Dvam
   āyuṣmantaḥ yūyaṃ asmād āvāsād alaṃ yuṣmākaṃ iha vāseneti / evaṃ cet te	AyuzmantaH yUyam asmAt AvAsAt alam yuzmAkam iha vAsena-iti / evam ced te
   bhikṣavas tān bhikṣūn vadeyuḥ -- chandagāmina āyuṣmantaḥ bhikṣava	BikzavaH tAn BikzUn vadeyuH - Canda-gAminaH AyuzmantaH Bikzava
   dveṣagāmino mohagāmino bhayagāminaś ca evaṃrūpāyāḥ āpattyāḥ ekatya bhikṣūn	dveza-gAminaH moha-gAminaH Baya-gAminaH ca evaMrUpAyAH ApattyAH ekatya BikzUn
   pravāsayanty ekatya bhikṣūn na pravāsayantīti / tatra bhikṣavaḥ evaṃ syur	pravAsayanti ekatya BikzUn na pravAsayanti-iti / tatra BikzavaH evam syuH-
   vacanīyāḥ -- mā āyuṣmanta evaṃ vadata | ekatya bhikṣavaś chandagāmino	vacanIyAH - mA AyuzmantaH evam vadate | ekatya BikzavaH Canda-gAminaH-
   dveṣagāmino mohagāmino bhayagāminaś ca evaṃrūpāyāḥ āpattyāḥ ekatya bhikṣūn	dveza-gAminaH moha-gAminaH Baya-gAminaH ca evaMrUpAyAH ApattyAH ekatya BikzUn
   pravāsayanty ekatya bhikṣūn na pravāsayantīti / tat kasmād dhetoḥ / neme	pravAsayanti ekatya BikzUn na pravAsayanti-iti / tat kasmAt DetoH / neme
   bhikṣavaś chandagāmino dveṣagāmino mohagāmino bhayagāminaś ca āyuṣmanta	BikzavaH Canda-gAminaH dveza-gAminaH moha-gAminaH Baya-gAminaH ca Ayuzmanta
   khalu kuladūṣakāḥ pāpasamācārāḥ yuṣmākaṃ kulāni duṣṭāni dṛśyante 'pi	Kalu kula-dUzakAH pApa-samAcArAH yuzmAkam kulAni duzwAni dRSyante api
   śrūyante 'pi pāpakāś ca yuṣmākaṃ samācārā dṛśyante 'pi śrūyante 'pi	SrUyante api pApakAH ca yuzmAkam samAcArAH dRSyante api SrUyante api
   prajñāyante 'pi / bhikṣava āyuṣmantaś chandagāmino dveṣagāmino mohagāmino	prajQAyante api / BikzavaH AyuzmantaH Canda-gAminaH dveza-gAminaH moha-gAminaH-
   bhayagāminaś ca -- niḥsṛjata imām evaṃrūpāṃ kathām* / te bhikṣavaḥ	Baya-gAminaH ca - niHsRjate imAm evaMrUpAm kaTAm* / te BikzavaH
   bhikṣubhir evaṃ bhāsitavyāḥ -- evaṃ cet pratiniḥsṛjeyuḥ ity evaṃ kuśalaṃ	BikzuBiH evam BAsitavyAH - evam ced pratiniHsRjeyuH iti evam kuSalam
   no cet pratiniḥsṛjeyuḥ dvir api trir api samanuyoktavyāḥ samanuśāsitavyās	no ced pratiniHsRjeyuH dvis api tris api samanuyoktavyAH samanuSAsitavyAs
   tasya pratiniḥsargāya dvir api trir api samanuyoktavyāḥ samanuśāsitavyāḥ	tasya pratiniHsargAya dvis api tris api samanuyoktavyAH samanuSAsitavyAH
   pratiniḥsṛjeyuḥ ity evaṃ kuśalaṃ no cet pratiniḥsṛjeyuḥ saṃghāvaśeṣaḥ /	pratiniHsRjeyuH iti evam kuSalam no ced pratiniHsRjeyuH saMGa-avaSezaH /
   SA.13 (PrMoSū_Mū-Banerjee) bhikṣur iha kaścid durvācyasvabhāvo bhavati	SA.13 (PrMoSU_MU-BaneH-jee) BikzuH iha kaScid durvAcya-svaBAvaH Bavati
   uddeśyaparyāpannaiḥ śikṣāpadaiḥ sugatasūtraparyāpannaiḥ bhikṣubhiḥ	uddeSya-paryApannEH SikzA-padEH sugata-sUtra-paryApannEH BikzuBiH
   sahadharmeṇa sahavinayenocyamāna ātmānam avacanīyaṃ karoti -- mā mām	sahaDarmeNa saha-vinayena-ucyamAnaH AtmAnam avacanIyam karoti - mA mAm
   āyuṣmantaḥ yūyaṃ kiṃcid vadata kalyāṇam akalyāṇaṃ vā aham api āyuṣmataḥ na	AyuzmantaH yUyam kiMcid vadata kalyANam akalyANam vE aham api AyuzmataH na
   kiṃcid vakṣyāmi kalyāṇam akalyāṇaṃ vā viramantu āyuṣmantaḥ mama vacanād	kiMcid vakzyAmi kalyANam akalyANam vA viramantu AyuzmantaH mama vacanAt-
   aham api viraṃsyāmi yuṣmākaṃ vacanād iti / sa bhikṣur bhikṣubhir evaṃ syād	aham api viraMsyAmi yuzmAkam vacanAt iti / sa BikzuH BikzuBiH evam syAt-
   vacanīyo -- āyuṣman uddeśyaparyāpannaiḥ śikṣāpadaiḥ	vacanIyaH - Ayuzman uddeSya-paryApannEH SikzA-padEH
   sugatasūtraparyāpannaiḥ bhikṣubhiḥ sahadharmeṇa sahavinayenocyamāna	sugata-sUtra-paryApannEH BikzuBiH sahaDarmeNa saha-vinayena-ucyamAna
   ātmānam tvaṃ avacanīyaṃ karoṣi āyuṣman vacanīyam eva ātmānaṃ karotu	AtmAnam tvam avacanIyam karozi Ayuzman vacanIyam eva AtmAnam karotu
   āyuṣmantam bhikṣavo sahadharmeṇa sahavinayena vadantu āyuṣmān api bhikṣūn	Ayuzmantam BikzavaH sahaDarmeNa saha-vinayena vadantu AyuzmAn api BikzUn
   sahadharmeṇa sahavinayena vadatu evaṃ saṃbaddhā hi tasya bhagavataḥ	sahaDarmeNa saha-vinayena vadatu evam saMbadDAH hi tasya BagavataH
   tathāgatasya arhato samyaksaṃbuddhasya pariṣad yad idaṃ anyonyavacanīyād	taTAgatasya arhataH samyaksaMbudDasya parizad yat idam anyonya-vacanIyAt-
   anyonyāpattivyutthāpanād iti māyuṣman ātmānaṃ avacanīyaṃ karotu / sa	anyonya-apatti-vyutTApanAt iti mAyuzman AtmAnam avacanIyam karotu / sa
   bhikṣur bhikṣubhir evaṃ bhāsitavyaḥ -- evaṃ ced tad vastu pratiniḥsṛjed	BikzuH BikzuBiH evam BAsitavyaH - evam ced tat vastu pratiniHsRjet-
   ity evaṃ kuśalaṃ no cet pratiniḥsṛjed dvir api trir api samanuyoktavyaḥ	iti evam kuSalam no ced pratiniHsRjet dvis api tris api samanuyoktavyaH
   samanuśāsitavyas tasya pratiniḥsargāya dvir api trir api samanuyoktavyaḥ	samanuSAsitavyaH tasya pratiniHsargAya dvis api tris api samanuyoktavyaH
   samanuśāsitavyaḥ pratiniḥsṛjed tad vastu ity evaṃ kuśalaṃ no cet	samanuSAsitavyaH pratiniHsRjet tat vastu iti evam kuSalam no ced-
   pratiniḥsṛjet saṃghāvaśeṣaḥ /	pratiniHsRjet saMGa-avaSezaH /
   uddiṣṭā mayāyuṣmantas trayodaśa saṃghāvaśeṣā dharmāḥ / nava	uddizwAH mayA-AyuzmantaH trayodaSa saMGa-avaSezAH DarmAH / nava
   prathamāpattayaś catvāro yāvattṛtīyakā yeṣāṃ bhikṣur anyatamānyatamaṃ	praTama-ApattayaH catvAraH yAvat-tRtIyakAH yezAm BikzuH anyatama-anyatamam
   dharmam āpanno yāvatkālaṃ jānan pratichādayati tāvatkālaṃ tena akāmataḥ	Darmam ApannaH yAvatkAlam jAnan pratiCAdayati tAvat-kAlam tena akAmatas-
   paryuṣitavyam* / akāmataḥ paryuṣitaparivāsena bhikṣuṇā uttariṣaḍrātraṃ	paryuzitavyam* / akAmatas paryuzita-parivAsena BikzuNA uttari-zaz-rAtram
   saṃghamānatvaṃ cartavyaṃ bhavati / cīrṇamānatto bhikṣur	saMGamAna-tvam ca-rtavyam Bavati / cIrNa-mAnattaH BikzuH-
   āvarhaṇapratibaddhaḥ kṛtānudharmaḥ bhikṣusaṃghasya ārādhitacitto yatra	AvarhaNa-pratibadDaH kRta-anuDarmaH Bikzu-saMGasya ArADita-cittaH yatra
   syād viṃśatigaṇo bhikṣusaṃghasya tatra ca so bhikṣur āvarhitavyaḥ /	syAt viMSati-gaNaH Bikzu-saMGasya tatra ca saH BikzuH AvarhitavyaH /
   ekenāpi ced ūno viṃśatigaṇo bhikṣusaṃghas taṃ bhikṣum āvarhet sa ca	ekena-api ced UnaH viMSati-gaNaH Bikzu-saMGaH tam Bikzum Avarhet sa ca
   bhikṣur anāvrīḍas te ca bhikṣavo gārhyāḥ tatra samayaḥ /	BikzuH anAvrIxaH te ca BikzavaH gArhyAH tatra samayaH /
   yatrāhaṃ āyuṣmataḥ paripṛcchāmi -- kaścit sthātra pariśuddhāḥ	yatra-aham AyuzmataH paripRcCAmi - kaScid sTA-atra pariSudDAH
   dvir api trir api paripṛcchāmi -- kaścit sthātra pariśuddhāḥ	dvis api tris api paripRcCAmi - kaScid sTA-atra pariSudDAH
   pariśuddhā atrāyuṣmanto yasmāt tūṣṇīm evaitad dhārayāmi /	pariSudDAH atra-AyuzmantaH yasmAt tUzNIm eva-etat DArayAmi /
   III. dvāv aniyatau dharmau /	III. dvO aniyatO DarmO /
   imau khalu āyuṣmantau dvau aniyatau dharmau anvardhamāsaṃ	imO Kalu AyuzmantO dvO aniyatO DarmO anvarDamAsam
   prātimokṣasūtroddeśam āgacchataḥ /	prAtimokza-sUtra-uddeSam AgacCataH /
   Aniy.1 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur mātṛgrāmeṇa sārdham eka	Aniy.1 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH mAtR-grAmeNa sArDam eka
   ekikayā rahasi praticchanne āsane niṣadyāṃ kalpayed alaṃ kāmayitum* /	ekikayA rahasi praticCanne Asane nizadyAm kalpayet alam kAmayitum* /
   sacec chrāddheyavacanopāsikā trayāṇāṃ dharmāṇām anyatamānyatamadharmeṇa	saced SrAdDeya-vacana-upAsikA trayANAm DarmANAm anyatama-anyatama-DarmeNa
   vadet pārājikena vā saṃghādiśeṣeṇa vā pāyantikena vā niṣadyāṃ bhikṣuḥ	vadet pArAjikena vA saMGa-Adi-SezeNa vA pAyantikena vA nizadyAm BikzuH
   pratijānamānaḥ trayāṇāṃ dharmāṇām anyatamānyatamena dharmeṇa kārayitavyaḥ	pratijAnamAnaH trayANAm DarmANAm anyatama-anyatamena DarmeNa kArayitavyaH
   pārājikena vā saṃghāvaśeṣeṇa vā pāyantikena vā yena yena vā punaḥ	pArAjikena vA saMGa-avaSezeNa vA pAyantikena vA yena yena vA punar-
   śrāddheyavacanopāsikā taṃ bhikṣuṃ dharmeṇa vadet tena tena dharmeṇa sa	SrAdDeya-vacana-upAsikA tam Bikzum DarmeNa vadet tena tena DarmeNa sa
   bhikṣuḥ kārayitavyo 'yaṃ dharmo 'niyataḥ /	BikzuH kArayitavyaH ayam DarmaH aniyataH /
   Aniy.2 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur mātṛgrāmeṇa sārdham eka	Aniy.2 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH mAtR-grAmeNa sArDam eka
   ekikayā rahasi praticchanne āsane niṣadyāṃ kalpayen nālaṃ kāmayitum* /	ekikayA rahasi praticCanne Asane nizadyAm kalpayet na-alam kAmayitum* /
   sacec chrāddheyavacanopāsikā dvayor dharmayoḥ anyatamānyatamadharmeṇa	saced SrAdDeya-vacana-upAsikAH dvayoH DarmayoH anyatama-anyatama-DarmeNa
   vadet saṃghāvaśeṣeṇa vā pāyantikena vā niṣadyāṃ bhikṣuḥ pratijānato dvayor	vadet saMGa-avaSezeNa vA pAyantikena vA nizadyAm BikzuH pratijAnataH dvayoH-
   dharmayoḥ saṃghāvaśeṣeṇa vā pāyantikena vā yena yena vā punaḥ	DarmayoH saMGa-avaSezeNa vA pAyantikena vA yena yena vA punar-
   śrāddheyavacanopāsikā taṃ bhikṣuṃ dharmeṇa vadet tena tena dharmeṇa sa	SrAdDeya-vacana-upAsikA tam Bikzum DarmeNa vadet tena tena DarmeNa sa
   bhikṣuḥ kārayitavyo 'yam api dharmo 'niyataḥ /	BikzuH kArayitavyaH ayam api DarmaH aniyataH /
   uddiṣṭā me āyuṣmantaḥ dvāv aniyatau dharmau / tatrāham āyuṣmataḥ	uddizwAH me AyuzmantaH dvO aniyatO DarmO / tatra-aham AyuzmataH
   paripṛcchāmi -- kaścit sthātra pariśuddhāḥ	paripRcCAmi - kaScid sTA-atra pariSudDAH
   dvir api trir api paripṛcchāmi -- kaścit sthātra pariśuddhāḥ	dvis api tris api paripRcCAmi - kaScid sTA-atra pariSudDAH
   pariśuddhā atrāyuṣmanto yasmāt tūṣṇīm evam etad dhārayāmi /	pariSudDAH atra-AyuzmantaH yasmAt tUzNIm evam etat DArayAmi /
   triṃśan naisargikapāyantikā dharmāḥ	triMSat nEsargika-pAyantikAH DarmAH
   ime khalu āyuṣmantas triṃśan naisargikāḥ pāyantikā dharmā anvardhamāsaṃ	ime Kalu AyuzmantaH triMSat nEsargikAH pAyantikA DarmAH anvarDamAsam
   prātimokṣasūtroddeśam āgacchanti /	prAtimokza-sUtra-uddeSam AgacCanti /
   NP.1 (PrMoSū_Mū-Banerjee) niṣṭhitacīvareṇa bhikṣuṇā uddhṛte kaṭhine	NP.1 (PrMoSU_MU-BaneH-jee) nizWita-cIvareNa BikzuNA udDRte kaWine
   daśāhaparamaṃ atirekacīvaram avikalpitaṃ dhārayitavyaṃ tataḥ uttari	daSa-aha-paramam atireka-cIvaram avikalpitam DArayitavyam tatas uttari
   dhārayen naisargikā pāyantikā /	DArayet nEsargikA pAyantikA /
   NP.2 (PrMoSū_Mū-Banerjee) niṣṭhitacīvaro bhikṣuḥ uddhṛtakaṭhine ekarātram	NP.2 (PrMoSU_MU-BaneH-jee) nizWita-cIvaraH BikzuH udDRta-kaWine eka-rAtram
   api cet trayāṇāṃ cīvarāṇām anyatamānyatamasya cīvarād bahiḥsīmāṃ	api ced trayANAm cIvarANAm anyatama-anyatamasya cIvarAt bahis-si-imAm
   vipravased anyatra saṃghasaṃmatyā [Hs.: saṃghasaṃvṛttyā]	vipravaset anyatra saMGa-saMmatyAH [Hs.: saMGa-saMvRttyA]
   naisargikapāyantikā /	nEsargika-pAyantikA /
   NP.3 (PrMoSū_Mū-Banerjee) niṣṭhitacīvarasya bhikṣor uddhṛte kaṭhine	NP.3 (PrMoSU_MU-BaneH-jee) nizWita-cIvarasya BikzoH udDRte kaWine
   utpatya akālacīvaram ākāṃkṣinā tena bhikṣuṇā tac cīvaraṃ pratigṛhītavyaṃ	utpatya akAla-cIvaram AkAMkzinA tena BikzuNA tat cIvaram pratigRhItavyam
   pratigṛhya sacet paripūryate kṣipram eva kṛtvā dhārayitavyam* / no cet	pratigRhya saced paripUryate kzipram eva kRtvA DArayitavyam* / no ced-
   paripūryate māsaparamaṃ tena bhikṣuṇā tac cīvaram upanikṣiptavyaṃ satyāṃ	paripUryate mAsa-paramam tena BikzuNA tat cIvaram upanikziptavyam satyAm
   cīvarapratyāśāyām ūnasya vā paripūrayet tataḥ uttari upanikṣipen	cIvara-pratyASAyAm Unasya vA paripUrayet tatas uttari upanikzipet-
   naisargikapāyantikā /	nEsargika-pAyantikA /
   NP.4 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur ajñātikayā bhikṣuṇyā	NP.4 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH ajQAtikayA BikzuNyA
   purāṇacīvaraṃ dhāvayed raṃjayed ākoṭayed vā naisargikapāyantikā /	purANa-cIvaram DAvayet raMjayet Akowayet vA nEsargika-pAyantikA /
   NP.5 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur ajñātikayā bhikṣuṇyā santikāc	NP.5 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH ajQAtikayA BikzuNyA santikA-c
   cīvaraṃ pratigṛhṇīyād anyatra parivartakān naisargikapātayantikā /	cIvaram pratigRhNIyAt anyatra parivartakAt nEsargika-pAtayantikA /
   NP.6 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur ajñātigṛhapatiṃ gṛhapatipatnīṃ	NP.6 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH ajQAti-gRhapatim gRhapati-patnIm
   vopasaṃkramya cīvaraṃ vijñāpayed anyatra samayān naisargikapāyantikā /	vA-upasaMkramya cIvaram vijQApayet anyatra samayAt nEsargika-pAyantikA /
   tatrāyaṃ samaya ācchinnacīvaro bhikṣur bhavati naṣṭacīvaro dagdhacīvaro	tatra-ayam samayaH AcCinna-cIvaraH BikzuH Bavati nazwa-cIvaraH dagDa-cIvaraH-
   ūḍhacīvaro hṛtacīvaro 'yaṃ tatra samayaḥ /	UXa-cIvaraH hRta-cIvaraH ayam tatra samayaH /
   NP.7 (PrMoSū_Mū-Banerjee) ācchinnacīvareṇa bhikṣuṇā naṣṭacīvareṇa	NP.7 (PrMoSU_MU-BaneH-jee) AcCinna-cIvareNa BikzuNA nazwa-cIvareNa
   dagdhacīvareṇa ūḍhacīvareṇa hṛtacīvareṇājñātigṛhapatinā gṛhapatipatnīṃ	dagDa-cIvareNa UXa-cIvareNa hRta-cIvareNa-AjQAti-gRhapatinA gRhapati-patnIm
   cīvaraṃ vijñāpayitavyaḥ taṃ cec chrāddho brāhmaṇo gṛhapatir vātyarthaṃ	cIvaram vijQApayitavyaH tam ced SrAdDaH brAhmaNaH gRhapatiH vA-atyarTam
   saṃbahulaiś cīvaraiḥ pravārayed ākāṃkṣatā tena bhikṣuṇā	saMbahulEH cIvarEH pravArayet Aka-aMkzatA tena BikzuNA
   sāntarottaraparamaṃ tasmāc cīvaraṃ pratigṛhītavyaṃ tata uttari	sa-antara-uttara-paramam tasmAt cIvaram pratigRhItavyam tatas uttari
   pratigṛhṇīyān naisargikā pāyantikā /	pratigRhNIyAt nEsargikA pAyantikA /
   NP.8 (PrMoSū_Mū-Banerjee) bhikṣuṃ khalūddiśyājñātinā gṛhapatinā	NP.8 (PrMoSU_MU-BaneH-jee) Bikzum Kalu-uddiSya-ajQAtinA gRhapatinA
   gṛhapatipatnyā vā cīvaracetanakāni pratyupasthāpitāni syuḥ ebhir ahaṃ	gRhapati-patnyA vA cIvara-cetanakAni pratyupasTApitAni syuH eBiH aham
   cīvaracetanakair evaṃrūpaṃ caivaṃrūpaṃ ca cīvaraṃ cetayitvā evaṃnāmā	cIvara-cetanakEH evaMrUpam ca-evaMrUpam ca cIvaram cetayitvA evaMnAmA
   bhikṣur upasaṃkramiṣyati tam ācchādayiṣyāmi cīvareṇa kāle kalpikeneti /	BikzuH upasaMkramizyati tam AcCAdayizyAmi cIvareNa kAle kalpikena-iti /
   tatra caiko bhikṣuḥ pūrvam apravāritaḥ san kaṃcid eva vikalpaṃ pratipadya	tatra ca-ekaH BikzuH pUrvam apravAritaH san kaMcid eva vikalpam pratipadya
   tam ajñātiṃ gṛhapatiṃ gṛhapatipatnīṃ vopasaṃkramyaivaṃ vaded yāni tāni	tam ajQAtim gRhapatim gRhapati-patnIm vA-upasaMkramya-evam vadet yAni tAni
   āyuṣmatā mām uddiśya cīvaracetanakāni pratyupasthāpitāni sādhyāyuṣmaṃs te	AyuzmatA mAm uddiSya cIvara-cetanakAni pratyupasTApitAni sADya-Ayuzman te
   cīvaracetanakair evaṃrūpaṃ caivaṃrūpaṃ ca cīvaraṃ cetayitvā ācchādaye 'haṃ	cIvara-cetanakEH evaMrUpam ca-evaMrUpam ca cIvaram cetayitvA AcCAdaye aham
   cīvareṇa kālena kalpikeneti / abhiniṣpanne cīvare naisargikā pāyantikā /	cIvareNa kAlena kalpikena-iti / aBinizpanne cIvare nEsargikA pAyantikA /
   NP.9 (PrMoSū_Mū-Banerjee) bhikṣuṃ khalūddiśyājñātinā gṛhapatinā	NP.9 (PrMoSU_MU-BaneH-jee) Bikzum Kalu-uddiSya-ajQAtinA gRhapatinA
   gṛhapatipatnyā ca	gRhapati-patnyA ca
   pratyekapratyekāni cīvaracetanakāni pratyupasthāpitāni syuḥ / ebhir āvāṃ	pratyeka-pratyekAni cIvara-cetanakAni pratyupasTApitAni syuH / eBiH AvAm
   pratyekapratyekaiḥ cīvaracetanakair evaṃrūpaṃ caivaṃrūpaṃ ca	pratyeka-pratyekEH cIvara-cetanakEH evaMrUpam ca-evaMrUpam ca
   pratyekapratyekaṃ cīvaraṃ cetayitvā evaṃnāmā bhikṣur upasaṃkramiṣyati tam	pratyeka-pratyekam cIvaram cetayitvA evaMnAmA BikzuH upasaMkramizyati tam
   ācchādayiṣyāvaḥ / pratyekapratyekābhyāṃ cīvaracetanakābhyāṃ kāle	AcCAdayizyAvaH / pratyeka-pratyekAByAm cIvara-cetanakAByAm kAle
   kalpikābhyām iti / tatra cet sa bhikṣuḥ pūrvam apravāritaḥ san kaṃcid eva	kalpikAByAm iti / tatra ced sa BikzuH pUrvam apravAritaH san kaMcid eva
   vikalpam āpatya tam ajñātigṛhapatiṃ gṛhapatipatnīṃ vopasaṃkramyaivaṃ vaded	vikalpam Apatya tam ajQAti-gRhapatim gRhapati-patnIm vA-upasaMkramya-evam vadet-
   yāni tāny āyuṣmatyātmān uddiśya pratyekapratyekāni cīvaracetanakāni	yAni tAni Ayuzmati-AtmAn uddiSya pratyeka-pratyekAni cIvara-cetanakAni
   pratyupasthāpitāni / sādhyāyuṣmatau tau pratyekapratyekaiś	pratyupasTApitAni / sADya-AyuzmatO tO pratyeka-pratyekEH-
   cīvaracetanakair evaṃrūpaṃ caivaṃrūpaṃ ca cīvaraṃ cetayitvā ācchādayatām	cIvara-cetanakEH evaMrUpam ca-evaMrUpam ca cIvaram cetayitvA AcCAdayatAm
   ubhāv api bhūtvā ekaikena cīvareṇa kāle kalpikena kalyāṇakāmatām	uBO api BUtvA ekEkena cIvareNa kAle kalpikena kalyANa-kAma-tAm
   upādāyābhiniṣpanne cīvare naisargikā pāyantikā /	upAdAya-aBinizpanne cIvare nEsargikA pAyantikA /
   NP.10 (PrMoSū_Mū-Banerjee) bhikṣuṃ khalūddiśya rājñā vā rājamātreṇa vā	NP.10 (PrMoSU_MU-BaneH-jee) Bikzum Kalu-uddiSya rAjQA vA rAjamAtreNa vA
   brāhmaṇena vā gṛhapatinā vā naigamena vā jānapadena vā dhaninā vā	brAhmaNena vA gRhapatinA vA nEgamena vA jAnapadena vA DaninA vA
   śreṣṭhinā vā sārthavāhena vā dūtasya haste cīvaracetanakāni anupreṣitāni	SrezWinA vA sArTavAhena vA dUtasya haste cIvara-cetanakAni anuprezitAni
   syuḥ / atha sa dūtas tāni cetanakāni ādāya yena sa bhikṣus tenopasaṃkrāmed	syuH / aTa sa dUtaH tAni cetanakAni AdAya yena sa BikzuH tena-upasaMkrAmet-
   upasaṃkramya taṃ bhikṣum evaṃ vaded yat khalv ārya jānīyāt tvām uddiśya	upasaMkramya tam Bikzum evam vadet yat Kalu Arya jAnIyAt tvAm uddiSya
   rājñā vā rājamātreṇa vā brāhmaṇena vā gṛhapatinā vā naigamena vā	rAjQA vA rAjamAtreNa vA brAhmaNena vA gRhapatinA vA nEgamena vA
   jānapadena vā dhaninā vā śreṣṭhinā vā sārthavāhena vā cīvaracetanakena	jAnapadena vA DaninA vA SrezWinA vA sArTavAhena vA cIvara-cetanakena
   vānupreṣitāny āryaṃ pratigṛhṇātv anukampām upādāya / tena bhikṣuṇā sa dūta	vA-anuprezitAni Aryam pratigRhNAtu anukampAm upAdAya / tena BikzuNA sa dUta
   idaṃ syād vacanīyaḥ -- gacchāyuṣman dūta bhikṣūṇāṃ cīvaracetanakāni	idam syAt vacanIyaH - gacCa-Ayuzman dUta BikzUNAm cIvara-cetanakAni
   patyante parigṛhītuṃ / cīvaraṃ tu vayaṃ labdhvā pratigṛhṇīmaḥ kāle	patyante parigRhItum / cIvaram tu vayam labDvA pratigRhNImaH kAle
