   akarod dharmato rājyaṃ NsP_52.124e	akarot DarmataH rAjyam NsP_52.124e
   tadviyogajaduḥkhārto NsP_50.103a	tad viyoga ja duHKa ArtaH NsP_50.103a
   tadviśuddhiṃ viśeṣataḥ NsP_35.7b	tad viSudDim viSezataH NsP_35.7b
   tad viṣṇoḥ paramaṃ padam NsP_17.29f	tat vizNoH paramam padam NsP_17.29f
   tanuṃ bhadre dṛḍhavrataḥ NsP_12.27b	tanum Badre dRXa vrataH NsP_12.27b
   tannādaśravaṇair vyomni NsP_52.97a	tad nAda SravaNEH vyomni NsP_52.97a
   tanmaṇḍalam athāharat NsP_24.21d	tat maNxalam aTa aharat NsP_24.21d
   tanmadhye cābhavad brahmā NsP_57.14c	tad maDye ca aBavat brahmA NsP_57.14c
   tanmadhye dṛśyate rūpaṃ NsP_44.13c	tad maDye dRSyate rUpam NsP_44.13c
   tanmadhye ravisomāgni  NsP_7.52a	tad maDye ravi soma agni NsP_7.52a
   tan mamaiva na saṃśayaḥ NsP_48.44b	tat mama eva na saMSayaH NsP_48.44b
   tan mayā kathitaṃ tava NsP_16.34d	tat mayA kaTitam tava NsP_16.34d
   tanmātāpitarau śucā NsP_7.18d	tad mAtA pitarO SucA NsP_7.18d
   tanmātrāṇāṃ dvitīyakaḥ NsP_3.23d	tanmAtrANAm dvitIyakaH NsP_3.23d
   tanmātrāṇy aviśeṣāṇi NsP_1.51c	tanmAtrANi aviSezANi NsP_1.51c
   tan me kathaya viprendra NsP_53.8c	tat me kaTaya vipra indra NsP_53.8c
   tan me tāvad uro nṛsiṃhakarajair vyādīryate sāṃprataṃ NsP_44.30c	tat me tAvat uraH nRsiMha kara jEH vyAdIryate sAMpratam NsP_44.30c
   tan me nigadataḥ śṛṇu NsP_12.5d	tat me nigadataH SRNu NsP_12.5d
   tan me brūhi mahāmate NsP_1.19d	tat me brUhi mahAmate NsP_1.19d
   tan me vada mahābhāga NsP_33.58c	tat me vada mahABAga NsP_33.58c
   tan me vada mahābhāga NsP_45.20aba	tat me vada mahABAga NsP_45.20aba
   tan me vada mahāmate NsP_12.4d	tat me vada mahAmate NsP_12.4d
   tan me vada mahāmate NsP_25.1d	tat me vada mahAmate NsP_25.1d
   tan me vada mahāmate NsP_32.1d	tat me vada mahAmate NsP_32.1d
   tan me vada sureśvara NsP_65.5d	tat me vada sureSvara NsP_65.5d
   tan me hara tvaṃ govinda NsP_11.53c	tat me hara tvam govinda NsP_11.53c
   tanvoṣṭhakeśadaśanāṃ NsP_58.43c	tanu A uzWa keSa daSanAm NsP_58.43c
   tapatas tasya saṃtuṣṭo NsP_40.3a	tapataH tasya saMtuzwaH NsP_40.3a
   'tapat kāle mahātapāḥ NsP_25.27b	atapat kAle mahA tapAH NsP_25.27b
   tapano bhāskaro raviḥ NsP_19.4b	tapanaH BAskaraH raviH NsP_19.4b
   tapanti satataṃ janāḥ NsP_31.113b	tapanti satatam janAH NsP_31.113b
   tapante varṣayanti ca NsP_6.12b	tapante varzayanti ca NsP_6.12b
   tapaś cartum gato vanam NsP_25.22d	tapaH cartum gataH vanam NsP_25.22d
   tapaś caiva mahībhṛtām NsP_25.56d	tapaH ca eva mahIBRtAm NsP_25.56d
   tapasā tava tuṣṭo 'haṃ NsP_40.11a	tapasA tava tuzwaH aham NsP_40.11a
   tapasā dagdhakilbiṣaḥ NsP_60.2b	tapasA dagDa kilbizaH NsP_60.2b
   tapasā na mayā kaścit NsP_13.25a	tapasA na mayA kaScid NsP_13.25a
   tapasā nātra saṃśayaḥ NsP_7.23b	tapasA na atra saMSayaH NsP_7.23b
   tapasā prāptukāmau tau NsP_6.38a	tapasA prAptu kAmO tO NsP_6.38a
   tapasā brahmacaryeṇa NsP_64.102a	tapasA brahmacaryeNa NsP_64.102a
   tapasā mahatāpi te NsP_25.48d	tapasA mahatA api te NsP_25.48d
   tapasā mahatā punaḥ NsP_10.42b	tapasA mahatA punar NsP_10.42b
   tapasā mahatā yuktaḥ NsP_47.3c	tapasA mahatA yuktaH NsP_47.3c
   tapasā mahatā vatsa NsP_7.34c	tapasA mahatA vatsa NsP_7.34c
   tapasā mahatā suta NsP_7.32b	tapasA mahatA sutaH NsP_7.32b
   tapasām ūrjitaṃ phalam NsP_40.13b	tapasAm Urjitam Palam NsP_40.13b
   tapasā śaṃsitavrataḥ NsP_10.1b	tapasA SaMsita vrataH NsP_10.1b
   tapasā śoṣayaṃs tanum NsP_10.6b	tapasA Sozayan tanum NsP_10.6b
   tapasā sukṛteneha NsP_24.34c	tapasA sukRtena iha NsP_24.34c
   tapase dhṛtamānasaḥ NsP_47.154b	tapase DRta mAnasaH NsP_47.154b
   tapase dhṛtamānasaḥ NsP_48.58b	tapase DRta mAnasaH NsP_48.58b
   tapase dhṛtamānasaḥ NsP_48.88d	tapase DRta mAnasaH NsP_48.88d
   tapase yāmy ahaṃ vanam NsP_48.78d	tapase yAmi aham vanam NsP_48.78d
   tapase sa dhruvo yayau NsP_31.38d	tapase sa DruvaH yayO NsP_31.38d
   tapaso vinivartate NsP_41.9d	tapasaH vinivartate NsP_41.9d
   tapascaryāṃ karoti saḥ NsP_41.7b	tapascaryAm karoti saH NsP_41.7b
   tapas tepe nirāhāro NsP_40.2c	tapaH tepe nirAhAraH NsP_40.2c
   tapas tepe suduṣkaram NsP_7.48d	tapaH tepe su duzkaram NsP_7.48d
   tapasyantau suraśreṣṭhau NsP_6.38c	tapasyantO sura SrezWO NsP_6.38c
   tapasy abhirataṃ śāntaṃ NsP_25.32cda	tapasi aBiratam SAntam NsP_25.32cda
   tapasy āsaktacetanaḥ NsP_24.31b	tapasi Asakta cetanaH NsP_24.31b
   tapasy āsaktamānasam NsP_24.33b	tapasi Asakta mAnasam NsP_24.33b
   tapasvī niyatāhāraḥ NsP_48.166c	tapasvI niyata AhAraH NsP_48.166c
   tapasvī vaidyutaprabhaḥ NsP_40.44d	tapasvI vEdyuta praBaH NsP_40.44d
   tapassiddhikare 'raṇye NsP_64.100a	tapassidDi kare araNye NsP_64.100a
   tapassvādhyāyanirataḥ NsP_64.12c	tapassvADyAya nirataH NsP_64.12c
   tapaḥ karoṣi ghoraṃ tvaṃ NsP_25.34c	tapaH karozi Goram tvam NsP_25.34c
   tapaḥ kṛtvā jale ghoram NsP_5.12a	tapaH kRtvA jale Goram NsP_5.12a
   tapaḥ paramaduṣkaram NsP_41.8d	tapaH parama duzkaram NsP_41.8d
   tapaḥ paraṃ kṛtayuge NsP_54.51c	tapaH param kRta yuge NsP_54.51c
   tapaḥ śaucaṃ tathāpare NsP_64.1b	tapaH SOcam taTA apare NsP_64.1b
   tapaḥsatyavivarjitāḥ NsP_54.18b	tapaH satya vivarjitAH NsP_54.18b
   tapaḥsiddhyartham anvicchaṃs NsP_24.39c	tapaH sidDi arTam anvicCan NsP_24.39c
   tapaḥ sutaptaṃ vijane NsP_14.3a	tapaH su taptam vijane NsP_14.3a
   tapojñānasamanvitaḥ NsP_31.119b	tapaH jQAna samanvitaH NsP_31.119b
   tapobalena deveśaṃ NsP_24.32a	tapaH balena deveSam NsP_24.32a
   tapobalena viprendra NsP_5.13a	tapaH balena vipra indra NsP_5.13a
   tapobhir vā kim adhvaraiḥ NsP_68.5d	tapoBiH vA kim aDvarEH NsP_68.5d
   taporthaṃ kānanaṃ mahat NsP_43.17cdb	taporTam kAnanam mahat NsP_43.17cdb
   taporthaṃ gacchato vanam NsP_41.3cdb	taporTam gacCataH vanam NsP_41.3cdb
   taporthe bibhṛyān nṛpaḥ NsP_25.25d	taporTe biBRyAt nRpaH NsP_25.25d
   tapolokoparisthitaḥ NsP_31.116b	tapaH loka upari sTitaH NsP_31.116b
   tapovāso damo vāsaḥ NsP_40.45c	tapaH vAsaH damaH vAsaH NsP_40.45c
   tapo hi yaḥ sevati kānanastho NsP_59.10a	tapaH hi yaH sevati kAnana sTaH NsP_59.10a
   taptacāmīkaraprabham NsP_61.6b	tapta cAmIkara praBam NsP_61.6b
   taptahāṭakakeśānta NsP_1.2a	tapta hAwaka keSAnta NsP_1.2a
   tapyantaṃ ditinandanam NsP_41.12b	tapyantam ditinandanam NsP_41.12b
   tam athābhayahastena NsP_43.69a	tam aTa aBaya hastena NsP_43.69a
   tam athāmbudhir abravīt NsP_43.43d	tam aTa ambuDiH abravIt NsP_43.43d
   tam adyāpi na laṅghaye NsP_50.57b	tam adya api na laFGaye NsP_50.57b
   tam anantam ajaṃ viṣṇum NsP_7.33a	tam anantam ajam vizNum NsP_7.33a
   tam anantam ajaṃ viṣṇuṃ NsP_7.37a	tam anantam ajam vizNum NsP_7.37a
   tam anujñāpya rāghavaḥ NsP_48.96b	tam anujQApya rAGavaH NsP_48.96b
   tam apy asādhakaṃ matvā NsP_3.19c	tam api asADakam matvA NsP_3.19c
   tam abhyarcyābravīd idam NsP_32.5d	tam aByarcya abravIt idam NsP_32.5d
   tamasāpūryate jagat NsP_6.16d	tamasA ApUryate jagat NsP_6.16d
   tamas tarati dustaram NsP_67.16d	tamaH tarati dustaram NsP_67.16d
   tam āgatam athālokya NsP_25.30a	tam Agatam aTa Alokya NsP_25.30a
   tam ānīya nyavedayan NsP_41.49d	tam AnIya nyavedayan NsP_41.49d
   tam āyāntaṃ mahāsenaṃ NsP_48.130c	tam AyAntam mahAsenam NsP_48.130c
   tam ārādhya jagatpatim NsP_31.31d	tam ArADya jagatpatim NsP_31.31d
   tam ārādhya jagannātham NsP_53.10a	tam ArADya jagannATam NsP_53.10a
   tam ārādhya hṛṣīkeśaṃ NsP_31.63c	tam ArADya hRzIkeSam NsP_31.63c
   tam āruhya kṣaṇaṃ sthitāḥ NsP_50.157d	tam Aruhya kzaNam sTitAH NsP_50.157d
   tam āsādya tato dūtaḥ NsP_48.54a	tam AsAdya tatas dUtaH NsP_48.54a
   tam āha harinandanaḥ NsP_28.28b	tam Aha harinandanaH NsP_28.28b
   tam āhuḥ puruṣaṃ kecit NsP_64.73c	tam AhuH puruzam kecid NsP_64.73c
   tam āhūya mudāviṣṭo NsP_41.37a	tam AhUya mudA AvizwaH NsP_41.37a
   tam itthaṃ dhyānaniścalam NsP_42.21d	tam itTam DyAna niScalam NsP_42.21d
   tam utthāpya mahāmatim NsP_52.8b	tam utTApya mahAmatim NsP_52.8b
   tam uvāca purohitaḥ NsP_46.18b	tam uvAca purohitaH NsP_46.18b
   tam uvāca baliṃ vākyaṃ NsP_45.21a	tam uvAca balim vAkyam NsP_45.21a
   tam uvāca vinītātmā NsP_48.135a	tam uvAca vinIta AtmA NsP_48.135a
   tam ūcuḥ śaṅkitā dvijāḥ NsP_28.32b	tam UcuH SaFkitAH dvijAH NsP_28.32b
   tam ṛte puṇḍarīkākṣaṃ NsP_7.36a	tam Rte puNxarIkAkzam NsP_7.36a
   tam ṛte sāgaraṃ gantuṃ NsP_50.97a	tam Rte sAgaram gantum NsP_50.97a
   tam eva prāptavān grāmaṃ NsP_13.18a	tam eva prAptavAn grAmam NsP_13.18a
   tam eva śaraṇaṃ pūrvaṃ NsP_7.34a	tam eva SaraNam pUrvam NsP_7.34a
   tam eva satataṃ dhyāhi NsP_16.35a	tam eva satatam DyAhi NsP_16.35a
   tam evālokayan vīraś NsP_64.111a	tam eva Alokayan vIraH NsP_64.111a
   tam evāhaṃ sadā kuryāṃ NsP_13.37a	tam eva aham sadA kuryAm NsP_13.37a
   tam evoddiśya deveśaṃ NsP_64.91c	tam eva uddiSya deveSam NsP_64.91c
   tamoghnas tejasāṃ nidhiḥ NsP_19.5b	tamaH GnaH tejasAm niDiH NsP_19.5b
   tamo moho mahāmohas NsP_3.16a	tamaH mohaH mahAmohaH NsP_3.16a
   tamoyuktā rajodhikāḥ NsP_3.22b	tamaH yuktAH rajoDikAH NsP_3.22b
   tam aurvāgnim ivāparam NsP_43.34d	tam Orva agnim iva aparam NsP_43.34d
   tayā kṣiptāni tena vai NsP_50.91b	tayA kziptAni tena vE NsP_50.91b
   tayā caivaṃ dṛḍhavrataḥ NsP_12.35b	tayA ca evam dRXa vrataH NsP_12.35b
   tayā cokte ca vacane NsP_63.79a	tayA ca ukte ca vacane NsP_63.79a
   tayā te preṣitaḥ prabho NsP_51.54d	tayA te prezitaH praBo NsP_51.54d
   tayāpi dhairyasūtreṇa NsP_31.39a	tayA api DErya sUtreNa NsP_31.39a
   tayā pṛṣṭaḥ sa daityarāṭ NsP_41.21b	tayA pRzwaH sa dEtya rAj NsP_41.21b
   tayā manuṣyā bahavo muniputrā mṛgās tathā NsP_47.77d	tayA manuzyAH bahavaH muni putrAH mRgAH taTA NsP_47.77d
   tayā yad uktaṃ tat sarvaṃ NsP_31.25a	tayA yat uktam tat sarvam NsP_31.25a
   tayā saha sa dharmātmā NsP_13.8a	tayA saha sa Darma AtmA NsP_13.8a
   tayā saṃpūjito rāmo NsP_49.135a	tayA saMpUjitaH rAmaH NsP_49.135a
   tayā saṃlāpya saṃsthitaḥ NsP_49.134b	tayA saMlApya saMsTitaH NsP_49.134b
   tayā sārdhaṃ ca bhūpate NsP_63.82d	tayA sArDam ca BUpate NsP_63.82d
   tayeti paribhartsitaḥ NsP_31.11cdb	tayA iti pariBartsitaH NsP_31.11cdb
   tayetthaṃ codito rājaṃs NsP_25.51c	tayA itTam coditaH rAjan NsP_25.51c
   tayaivam uktaḥ sāvitryā NsP_13.31a	tayA evam uktaH sAvitryA NsP_13.31a
   tayaivamuktāḥ kapayaḥ NsP_50.149a	tayA evam uktAH kapayaH NsP_50.149a
   tayaivam ukto brahmātha NsP_53.5a	tayA evam uktaH brahmA aTa NsP_53.5a
   tayaivam ukto rāmas tu NsP_49.73a	tayA evam uktaH rAmaH tu NsP_49.73a
   tayor yuddham abhūt tatra NsP_46.34c	tayoH yudDam aBUt tatra NsP_46.34c
   tayor yuddham abhūn mahat NsP_52.83b	tayoH yudDam aBUt mahat NsP_52.83b
   tayos tu medasā rājan NsP_37.33a	tayoH tu medasA rAjan NsP_37.33a
   tayos tu yudhyatos tatra NsP_52.101c	tayoH tu yuDyatoH tatra NsP_52.101c
   tayoḥ karma śṛṇuṣva me NsP_53.36d	tayoH karma SRNuzva me NsP_53.36d
   tayoḥ kuru vadhe śuddhiṃ NsP_13.49a	tayoH kuru vaDe SudDim NsP_13.49a
   tayoḥ prītyā sa rājendra NsP_47.70c	tayoH prItyA sa rAja indra NsP_47.70c
   tayoḥ sakhyam akārayat NsP_50.16d	tayoH saKyam akArayat NsP_50.16d
   tayoḥ sitā ca rohiṇyāṃ NsP_53.35a	tayoH sitA ca rohiNyAm NsP_53.35a
   taraṇiḥ śāśvataḥ śāstā NsP_19.13a	taraNiH SASvataH SAstA NsP_19.13a
   taraṃgabhaṅgāyatakuntalaṃ hariṃ NsP_11.51c	taraMga BaFga Ayata kuntalam harim NsP_11.51c
   tarur āmalako mahān NsP_66.13b	taruH AmalakaH mahAn NsP_66.13b
   tarūn yo vai vadhiṣyati NsP_50.22b	tarUn yaH vE vaDizyati NsP_50.22b
   tarjayantaḥ pragarjitaiḥ NsP_42.20b	tarjayantaH pragarjitEH NsP_42.20b
   tarjayitvā yamabhaṭān NsP_8.42c	tarjayitvA yama BawAn NsP_8.42c
   tartuṃ yadīcchatha dvijā NsP_33.84c	tartum yadi icCaTa dvijAH NsP_33.84c
   tarpayitvā jalāt tasmān NsP_58.71a	tarpayitvA jalAt tasmAt NsP_58.71a
   tarpayitvā pitṛn devān NsP_67.10c	tarpayitvA pitRn devAn NsP_67.10c
   tarhi tvāṃ na vadhiṣyāmi NsP_44.11a	tarhi tvAm na vaDizyAmi NsP_44.11a
   talaṃ bhogam avāptavān NsP_45.43b	talam Bogam avAptavAn NsP_45.43b
   talād bhuvi niniḥsṛtam NsP_66.42f	talAt Buvi niniHsRtam NsP_66.42f
   talpe mahati vānaraḥ NsP_51.14d	talpe mahati vAnaraH NsP_51.14d
   tallagnaiḥ phaladānvitaiḥ NsP_56.7d	tad lagnEH Pala dA anvitEH NsP_56.7d
   tal labdhvāmṛtam uttamam NsP_38.12b	tat labDvA amRtam uttamam NsP_38.12b
   tava kāntā dhanādhipa NsP_63.111b	tava kAntA DanADipa NsP_63.111b
   tava kālena sattama NsP_11.60d	tava kAlena sattama NsP_11.60d
   tava caritam aho vicitram etat NsP_43.2c	tava caritam aho vicitram etat NsP_43.2c
   tava caitad dvijaiḥ kṛtam NsP_41.52d	tava ca etat dvijEH kRtam NsP_41.52d
   tava nānyasya vā śubhe NsP_48.46b	tava na anyasya vA SuBe NsP_48.46b
   tava nāśāya codyataḥ NsP_48.19d	tava nASAya ca udyataH NsP_48.19d
   tava patnī varānanā NsP_51.52d	tava patnI vara AnanAH NsP_51.52d
   tava pādābjam arcayan NsP_11.59b	tava pAda abjam arcayan NsP_11.59b
   tava pādābjasaṃnidhau NsP_11.42b	tava pAda abja saMniDO NsP_11.42b
   tava putro bhaviṣyāmi NsP_45.6a	tava putraH BavizyAmi NsP_45.6a
   tava putrau na saṃśayaḥ NsP_47.59d	tava putrO na saMSayaH NsP_47.59d
   tava prasādād viprendra NsP_54.7a	tava prasAdAt vipra indra NsP_54.7a
   tava yajñe na śaṃśayaḥ NsP_45.22b	tava yajQe na SaMSayaH NsP_45.22b
   tava raktasya kāraṇam NsP_49.6b	tava raktasya kAraNam NsP_49.6b
   tava vakṣyāmi tattvataḥ NsP_65.6d	tava vakzyAmi tattvataH NsP_65.6d
   tava hastavadhād vīra NsP_49.68c	tava hasta vaDAt vIra NsP_49.68c
   tavāgnayo 'pi vai śāntā NsP_45.17a	tava agnayaH api vE SAntA NsP_45.17a
   tavāgre yad bravīmahe NsP_8.2b	tava agre yat bravImahe NsP_8.2b
   tavādeśān mayā kāryaṃ NsP_48.162a	tava AdeSAt mayA kAryam NsP_48.162a
   tavādyāpi na jānīmo NsP_31.51c	tava adya api na jAnImaH NsP_31.51c
   tavāsti na bhayaṃ saumya NsP_41.6a	tava asti na Bayam sOmya NsP_41.6a
   tavāhaṃ pāṇḍuvaṃśaja NsP_33.12d	tava aham pANxu vaMSa ja NsP_33.12d
   tavaiva yogyā rājendra NsP_46.23a	tava eva yogyA rAja indra NsP_46.23a
   tavoditaṃ vedapadārthaniścitam NsP_12.40b	tava uditam veda padArTa niScitam NsP_12.40b
   tasthāv āśliṣya hastābhyāṃ NsP_48.38a	tasTO ASlizya hastAByAm NsP_48.38a
   tasthivān vānarair vṛtaḥ NsP_52.95d	tasTivAn vAnarEH vRtaH NsP_52.95d
   tasthuḥ prāñjalayas tadā NsP_47.13d	tasTuH prAQjalayaH tadA NsP_47.13d
   tasthau tatpurato damī NsP_7.26d	tasTO tat puratas damI NsP_7.26d
   tasthau tatra gṛhe dhīmān NsP_7.17c	tasTO tatra gRhe DImAn NsP_7.17c
   tasthau tadā surapatir viṣayābhilāṣī NsP_63.20d	tasTO tadA surapatiH vizaya aBilAzI NsP_63.20d
   tasmāc ca puruṣād devī NsP_5.21a	tasmAt ca puruzAt devI NsP_5.21a
   tasmāc chaktir abhūd iyam NsP_13.43d	tasmAt SaktiH aBUt iyam NsP_13.43d
   tasmāc chanaiścarād ūrdhvaṃ NsP_31.104c	tasmAt SanEScarAt UrDvam NsP_31.104c
   tasmāc chāstrārthavistarān NsP_64.79d	tasmAt SAstra arTa vistarAn NsP_64.79d
   tasmāc chuṣkam athārdraṃ vā NsP_58.46c	tasmAt Suzkam aTa Ardram vA NsP_58.46c
   tasmāc chṛṇuta viprendrā NsP_33.83a	tasmAt SRNuta vipra indrAH NsP_33.83a
   tasmāj jātā mahī ceyaṃ NsP_1.50a	tasmAt jAtA mahI ca iyam NsP_1.50a
   tasmāj jāto mahāvīro NsP_47.3a	tasmAt jAtaH mahAvIraH NsP_47.3a
   tasmāj jātau mahābalau NsP_37.4b	tasmAt jAtO mahA balO NsP_37.4b
   tasmāt kalir mahāghoraḥ NsP_54.10c	tasmAt kaliH mahA GoraH NsP_54.10c
   tasmāt kiṃ te priyaṃ vada NsP_43.72d	tasmAt kim te priyam vada NsP_43.72d
   tasmāt kuru nṛpaśreṣṭha pratimādiṣu cārcanam NsP_63.9a	tasmAt kuru nRpa SrezWa pratimA Adizu ca arcanam NsP_63.9a
   tasmāt tatra tapaḥ kuru NsP_24.39d	tasmAt tatra tapaH kuru NsP_24.39d
   tasmāt taṃ tapasārcaya NsP_7.32d	tasmAt tam tapasA arcaya NsP_7.32d
   tasmāt taṃ tapasārcaya NsP_24.35d	tasmAt tam tapasA arcaya NsP_24.35d
   tasmāt taṃ rāmanāmānam NsP_52.109a	tasmAt tam rAma nAmAnam NsP_52.109a
   tasmāt tāṃ vadha sattama NsP_47.78b	tasmAt tAm vaDa sattama NsP_47.78b
   tasmāt te duḥkhabahulā NsP_3.22c	tasmAt te duHKa bahulA NsP_3.22c
   tasmāt te sāṃprataṃ dattaṃ NsP_45.41c	tasmAt te sAMpratam dattam NsP_45.41c
   tasmāt tvam api bhūpāla NsP_28.34c	tasmAt tvam api BUpAla NsP_28.34c
   tasmāt tvam api viprendra NsP_64.89c	tasmAt tvam api vipra indra NsP_64.89c
   tasmāt tvam api viprendra NsP_64.120a	tasmAt tvam api vipra indra NsP_64.120a
   tasmāt pradhānam udbhūtaṃ NsP_1.41a	tasmAt praDAnam udBUtam NsP_1.41a
   tasmāt prārthyaḥ sa cāsmābhir NsP_50.164a	tasmAt prArTyaH sa ca asmABiH NsP_50.164a
   tasmāt sa bhagavān devo NsP_64.72a	tasmAt sa BagavAn devaH NsP_64.72a
   tasmāt samāgaccha dhanādhinātha NsP_63.56a	tasmAt samAgacCa DanADinA aTa NsP_63.56a
   tasmāt sarvahitaṃ vada NsP_63.2d	tasmAt sarva hitam vada NsP_63.2d
   tasmāt saṃbhāvitā sṛṣṭiḥ NsP_3.9a	tasmAt saMBAvitA sRzwiH NsP_3.9a
   tasmāt sukhaṃ garbhaśayasya nāsti NsP_43.7a	tasmAt suKam garBaSayasya na asti NsP_43.7a
   tasmāt syandanam uttamam NsP_28.4d	tasmAt syandanam uttamam NsP_28.4d
   tasmāt svadharmaṃ kurvīta NsP_61.19c	tasmAt svaDarmam kurvIta NsP_61.19c
   tasmāt svāhā sutāṃl lebhe NsP_5.32c	tasmAt svAhA sutAn leBe NsP_5.32c
   tasmād agre tathotthitaḥ NsP_15.5b	tasmAt agre taTA utTitaH NsP_15.5b
   tasmād atithaye kāryaṃ NsP_58.97c	tasmAt atiTaye kAryam NsP_58.97c
   tasmād aninditaṃ dharmaṃ NsP_12.23a	tasmAt aninditam Darmam NsP_12.23a
   tasmād anyat tu me vada NsP_12.3d	tasmAt anyat tu me vada NsP_12.3d
   tasmād ekamanā bhūtvā NsP_32.19a	tasmAt ekamanAH BUtvA NsP_32.19a
   tasmād eva dvijottama NsP_64.51d	tasmAt eva dvijottama NsP_64.51d
   tasmād evaṃ vratānīha NsP_58.21a	tasmAt evam vratAni iha NsP_58.21a
   tasmād bhartur aninditā NsP_13.10d	tasmAt BartuH aninditA NsP_13.10d
   tasmād bhavadibhir acirād NsP_42.29a	tasmAt BavadiBiH acirAt NsP_42.29a
   tasmād bhave 'smin kila cārurūpe NsP_43.8c	tasmAt Bave asmin kila cAru rUpe NsP_43.8c
   tasmād bhave 'smin hṛdi śaṅkacakra NsP_43.14a	tasmAt Bave asmin hRdi SaFkacakra NsP_43.14a
   tasmād yogaparo bhūtvā NsP_61.3c	tasmAt yoga paraH BUtvA NsP_61.3c
   tasmād rāmaprasādena NsP_49.100c	tasmAt rAma prasAdena NsP_49.100c
   tasmād vedam adhītya vai NsP_13.39b	tasmAt vedam aDItya vE NsP_13.39b
   tasmān nakṣatramaṇḍalam NsP_31.101d	tasmAt nakzatra maNxalam NsP_31.101d
   tasmān na laṅghayet saṃdhyāṃ NsP_58.56c	tasmAt na laFGayet saMDyAm NsP_58.56c
   tasmān nātiparaṃ mune NsP_64.64b	tasmAt na ati param mune NsP_64.64b
   tasmān nārada sarveśaṃ NsP_16.16a	tasmAt nArada sarva ISam NsP_16.16a
   tasmān nārāyaṇas tāta NsP_64.83c	tasmAt nArAyaNaH tAta NsP_64.83c
   tasmiñ jāte samāgatya NsP_45.8a	tasmin jAte samAgatya NsP_45.8a
   tasmin krodham athākarot NsP_49.8b	tasmin kroDam aTa akarot NsP_49.8b
   tasmin kṣetre mahāpuṇye NsP_64.26c	tasmin kzetre mahA puNye NsP_64.26c
   tasmin kṣetre muniśreṣṭha NsP_66.20a	tasmin kzetre muni SrezWa NsP_66.20a
   tasmin deśe vaser dharmaṃ NsP_57.19c	tasmin deSe vaseH Darmam NsP_57.19c
   tasmin deśe sanātanam NsP_7.52d	tasmin deSe sanAtanam NsP_7.52d
   tasminn aṇḍe 'bhavat sarvaṃ NsP_1.64c	tasmin aNxe aBavat sarvam NsP_1.64c
   tasminn aśaktās tu tadaiva vadhyāḥ NsP_42.33b	tasmin aSaktAH tu tadA eva vaDyAH NsP_42.33b
   tasminn āmalakagrāme NsP_66.10a	tasmin Amalaka grAme NsP_66.10a
   tasmin nivāsaḥ saṃsarge NsP_64.73a	tasmin nivAsaH saMsarge NsP_64.73a
   tasminn ekārṇave jale NsP_39.3d	tasmin ekArNave jale NsP_39.3d
   tasminn eva cacāra saḥ NsP_64.28d	tasmin eva cacAra saH NsP_64.28d
   tasminn eva dine prāyo NsP_54.43a	tasmin eva dine prAyas NsP_54.43a
   tasminn eva punas tac ca NsP_64.62c	tasmin eva punar tat ca NsP_64.62c
   tasmin padme mahābhāga NsP_3.1c	tasmin padme mahABAga NsP_3.1c
   tasmin padme śubhe rājan NsP_25.40c	tasmin padme SuBe rAjan NsP_25.40c
   tasmin prasanne dvijarājapatre NsP_31.100c	tasmin prasanne dvija rAja patre NsP_31.100c
   tasmin brahmābhyajāyata NsP_37.5d	tasmin brahmA aByajAyata NsP_37.5d
   tasmin vayaḥsthasya bahirviraktir NsP_42.2c	tasmin vayaHsTasya bahis viraktiH NsP_42.2c
   tasmin vai jātamātre tu NsP_7.13a	tasmin vE jAta mAtre tu NsP_7.13a
   tasmin sa parvataśreṣṭhe NsP_51.11c	tasmin sa parvata SrezWe NsP_51.11c
   tasmin salilamagne tu NsP_3.7a	tasmin salilam agne tu NsP_3.7a
   tasmin sītām adṛṣṭvā tu NsP_51.16c	tasmin sItAm adRzwvA tu NsP_51.16c
   tasmiṃs tasmiṃs tu tanmātrā NsP_1.51a	tasmin tasmin tu tanmAtrA NsP_1.51a
   tasmiṃs tīrthe samāśritya NsP_6.22c	tasmin tIrTe samASritya NsP_6.22c
   tasya kāmāḥ prasidhyanti NsP_32.15c	tasya kAmAH prasiDyanti NsP_32.15c
   tasya kṣitipater vipra NsP_31.2c	tasya kzitipateH vipra NsP_31.2c
   tasya gandhaguṇo mataḥ NsP_1.50d	tasya ganDa guNaH mataH NsP_1.50d
   tasya jātaṃ tadāmbare NsP_63.84b	tasya jAtam tadA ambare NsP_63.84b
   tasya tatsthānavāsinām NsP_34.55b	tasya tad sTAna vAsinAm NsP_34.55b
   tasya tad vacanaṃ śrutvā NsP_16.10a	tasya tat vacanam SrutvA NsP_16.10a
   tasya tasmin nivasataḥ NsP_64.36a	tasya tasmin nivasataH NsP_64.36a
   tasya tasmin mahātmanaḥ NsP_64.29d	tasya tasmin mahAtmanaH NsP_64.29d
   tasya darśanamātreṇa NsP_52.123a	tasya darSana mAtreNa NsP_52.123a
   tasya devasya devī tvaṃ NsP_12.31e	tasya devasya devI tvam NsP_12.31e
   tasya doṣaḥ praṇaśyati NsP_34.53d	tasya dozaH praNaSyati NsP_34.53d
   tasya doṣo mahān bhavet NsP_49.38b	tasya dozaH mahAn Bavet NsP_49.38b
   tasya dauhitravaṃśena NsP_4.5c	tasya dOhitra vaMSena NsP_4.5c
