   // Saddharmalaṅkāvatārasūtram //	// Sat Darma laFkA avatAra sUtram //
   bhūmyanusaṃdhikramottarottaraviśuddhilakṣaṇaṃ	BUmi anusaMDi krama uttarottara viSudDi lakzaNam
   tathāgatabhūmyanupraveśalakṣaṇamanābhogapūrvapraṇidhānaviśvarūpamaṇisadṛśaviṣayānantalakṣaṇapracāraṃ	taTAgata BUmi anupraveSa lakzaNam anABoga pUrva praNiDAna viSva rUpa maNi sadRSa vizaya ananta lakzaNa pracAram
   svacittadṛśyagocaragativibhāgalakṣaṇaṃ sarvadharmāṇām / yathā ca ahaṃ ca	sva citta dRSya gocara gati viBAga lakzaNam sarva DarmANAm / yaTA ca aham ca
   anye ca bodhisattvā mahāsattvā evamādiṣu parikalpitasvabhāvasvasāmānya	anye ca boDisattvAH mahAsattvAH evamAdizu parikalpita svaBAva sva sAmAnya
   lakṣaṇavinivṛttadṛṣṭayaḥ kṣipramanuttarāṃ samyaksaṃbodhimabhisaṃbudhya	lakzaNa vinivRtta dRzwayaH kzipram anuttarAm samyaksaMboDim aBisaMbuDya
   sarvasattvānāṃ sarvaguṇasaṃpattīḥ paripūrayema //	sarva sattvAnAm sarva guNa saMpattIH paripUrayema //
   bhagavānāha   sādhu sādhu mahāmate, sādhu khalu punastvaṃ mahāmate,	BagavAn Aha  sADu sADu mahAmate, sADu Kalu punar tvam mahAmate,
   yattvametamarthamadhyeṣitavyaṃ manyase / bahujanahitāya tvaṃ mahāmate	yat tvam etam arTam aDyezitavyam manyase / bahu jana hitAya tvam mahAmate
   pratipanno bahujanasukhāya lokānukampāyai mahato janakāyasyārthāya hitāya	pratipannaH bahu jana suKAya loka anukampAyE mahataH jana kAyasya arTAya hitAya
   sukhāya devānāṃ ca manuṣyāṇāṃ ca / tena hi mahāmate śṛṇu, sādhu ca suṣṭhu	suKAya devAnAm ca manuzyANAm ca / tena hi mahAmate SRNu, sADu ca suzWu
   ca manasi kuru / bhāviṣye 'haṃ te / sādhu bhagavanniti	ca manasi kuru / BAvizye aham te / sADu Bagavan= iti
   mahāmatirbodhisattvo mahāsattvo bhagavataḥ (Vaidya 38) pratyaśrauṣīt /	mahAmatiH boDisattvaH mahAsattvaH BagavataH (VEdyaH 38) pratyaSrOzIt /
   bhagavāṃstasyaitadavocat   svacittadṛśyamātrānavabodhānmahāmate	BagavAn= tasya etat avocat  sva citta dRSya mAtra anavaboDAt mahAmate
   bālapṛthagjanā bāhyavicitrabhāvābhiniveśena ca	bAla pRTagjanAH bAhya vicitra BAva aBiniveSena ca
   nāstyastitvaikatvānyatvobhayanaivāstinanāstinityānityasvabhāvavāsanāhetuvikalpābhiniveśena	na asti astitva eka tva anyatva uBaya nA eva asti nanA asti nitya anitya svaBAva vAsanA hetu vikalpa aBiniveSena
   vikalpayanti / tadyathā mahāmate mṛgatṛṣṇodakaṃ mṛgā udakabhāvena vikalpya	vikalpayanti / tat yaTA mahAmate mRgatRzNA udakam mRgAH udaka BAvena vikalpya
   grīṣmābhitaptāḥ pātukāmatayā pradhāvanti,	grIzma aBitaptAH pAtukA matayA praDAvanti,
   svacittadṛṣṭibhrāntyanavabodhānna prajānantinātrodakamiti, evameva	sva citta dRzwi BrAnti anavaboDAt na prajA anantinAtra udaka miti, evam eva
   mahāmate bālapṛthagjanā anādikālavividhaprapañcavikalpavāsitamatayo	mahAmate bAla pRTagjanAH anAdi kAla viviDa prapaQca vikalpa vAsita matayo
   rāgadveṣamohāgnitāpitamanaso vicitrarūpaviṣayābhilāṣiṇaḥ	rAga dveza moha agni tApita manasaH vicitra rUpa vizaya aBilAziNaH
   utpādabhaṅgasthitidṛṣṭyāśayā ādhyātmikabāhyabhāvābhāvākuśalāḥ / te	utpAda BaFga sTiti dRzwi ASayAH ADyAtmika bAhya BAva aBAva akuSalAH / te
   ekatvānyatvanāstyastitvagrāhe prapatanti / tadyathā mahāmate	ekatva anyatva nAstyastitva grAhe prapatanti / tat yaTA mahAmate
   gandharvanagare 'viduṣāmanagare nagarasaṃjñā bhavati / sā ca	ganDarvanagare aviduzA Am anagare nagara saMjQA Bavati / sA ca
   nagarākṛtiranādikālanagarabījavāsanābhiniveśātkhyāti / tacca nagaraṃ	nagara AkRtiH anAdi kAla nagara bIja vAsanA aBiniveSAt KyAti / tat ca nagaram
   nānagaraṃ na nagaram / evameva mahāmate	na anagaram na nagaram / evam eva mahAmate
   anādikālatīrthyapraprañcavādavāsanābhiniviṣṭāḥ	anAdi kAla tIrTya prapraQca vAda vAsanA aBinivizwAH
   ekatvānyatvāstitvanāstitvavādānabhiniviśante	ekatva anyatva astitva nAstitva vAdAn aBiniviSante
   svacittadṛśyamātrānavadhāritamatayaḥ / tadyathā mahāmate kaścideva puruṣaḥ	sva citta dRSya mAtra anavaDArita matayaH / tat yaTA mahAmate kaScid eva puruzaH
   śayitaḥ svapnāntare	SayitaH svapna antare
   strīpuruṣahastyaśvarathapadātigrāmanagaranigamagomahiṣavanodyānavividhagirinadītaḍāgopaśobhitaṃ	strI puruza hasti aSva raTa padAtigrAma nagara nigama go mahiza vana udyAna viviDa giri nadI taxAga upaSoBitam
   janapadamantaḥpuraṃ praviśya prativibudhyeta / sa prativibuddhaḥ	janapadam antaHpuram praviSya prativibuDyeta / sa prativibudDaH
   saṃstadeva janapadamantaḥpuraṃ samanusmaret / tatkiṃ manyase mahāmate  	san= tadeva janapadam antaHpuram samanusmaret / tat kim manyase mahAmate  
   api nu sa puruṣaḥ paṇḍitajātīyo bhavet, yastadabhūtaṃ	api nu sa puruzaH paNxita jAtIyaH Bavet, yaH tat aBUtam
   svapnavaicitryamanusmaret? āha   no hīdaṃ bhagavan / bhagavānāha   evameva	svapna vEcitryam anusmaret? Aha  no hi idam Bagavan / BagavAn Aha  evam eva
   mahāmate bālapṛthagjanāḥ kudṛṣṭidaṣṭāstīrthyamatayaḥ	mahAmate bAla pRTagjanAH kudRzwi dazwAH tIrTya matayaH
   svapnatulyātsvacittadṛśyabhāvānna prativijānante,	svapna tulyAt sva citta dRSya BAvAt na prativijA anante,
   ekatvānyatvanāstyastitvadṛṣṭiṃ samāśrayante / tadyathā mahāmate	ekatva anyatva nAstyastitva dRzwim samASrayante / tat yaTA mahAmate
   citrakarakṛtapradeśā animnonnatāḥ santo nimnonnatā bālaiḥ kalpyante,	citrakara kRta pradeSAH animna unnatAH santaH nimna unnatAH bAlEH kalpyante,
   evameva mahāmate bhaviṣyantyanāgate 'dhvani	evam eva mahAmate Bavizyanti anAgate aDvani
   tīrthyadṛṣṭivāsanāśayaprativikalpapuṣṭāḥ / te	tIrTya dRzwi vAsanA ASaya prativikalpa puzwAH / te
   ekatvānyatvobhayānubhayavādābhiniviṣṭāḥ svayaṃ naṣṭā anyānapi	ekatva anyatva uBayA anuBaya vAda aBinivizwAH svayam nazwAH anyAn api
   sadasatpakṣaviviktānutpādavādino nāstikā iti vakṣyanti / ete	sat asat pakza vivikta anutpAda vAdinaH nAstikAH iti vakzyanti / ete
   hetuphalāpavādino durdarśanonmūlitahetukuśalaśuklapakṣāḥ / ete	hetu Pala apavAdinaH durdarSana unmUlita hetu kuSala Sukla pakzAH / ete
   śreyorthibhirdūrataḥ parivarjyāṃ iti vakṣyante / te ca	SreyorTiBiH dUratas parivarjyAm iti vakzyante / te ca
   svaparobhayadṛṣṭipatitāśayā	sva para uBaya dRzwi patita ASayA
   nāstyastitvavikalpasamāropāpavādakudṛṣṭipatitāśayā narakaparāyaṇā	nAsti astitva vikalpa samAropa apavAda kudRzwi patita ASayA naraka parAyaNA
   bhaviṣyanti / tadyathā mahāmate taimirikāḥ keśoṇḍukaṃ dṛṣṭvā	Bavizyanti / tat yaTA mahAmate tEmirikAH keSoNxukam dRzwvA
   parasparamācakṣate   iadaṃ citramidaṃ citramiti paśyantu bho mārṣāḥ /	parasparam Acakzate  iadam citram idam citram iti paSyantu Bo mArzAH /
   tacca keśoṇḍukamubhayānutpannatayā na bhāvo nābhāvo darśanādarśanataḥ /	tat ca keSoNxukam uBayA an utpanna tayA na BAvaH na aBAvaH darSana adarSanataH /
   evameva mahāmate tīrthyakudṛṣṭivikalpāśayābhiniviṣṭāḥ	evam eva mahAmate tIrTya kudRzwi vikalpa ASaya aBinivizwAH
   sadasatpakṣaikatvānyatvobhayānubhayatvavādābhiniviṣṭāḥ saddharmāpavādakā	sat asat pakza ekatva anyatva uBayA anuBaya tva vAda aBinivizwAH sadDarma apavAdakA
   ātmānaṃ parāṃśca vinipātayiṣyanti / tadyathā mahāmate acakramalātacakraṃ	AtmAnam parAn= ca vinipAtayizyanti / tat yaTA mahAmate acakram ala Ata cakram
   bālaiścakrabhāvena parikalpyate na paṇḍitaiḥ, evameva mahāmate	bAlEH cakra BAvena parikalpyate na paNxitEH, evam eva mahAmate
   kudṛṣṭitīrthyāśayapatitā ekatvānyatvobhayānubhayatvaṃ parikalpayiṣyanti	kudRzwi tIrTya ASaya patitAH ekatva anyatva uBayA anuBaya tvam parikalpayizyanti
   sarvabhāvotpattau / tadyathā mahāmate deve pravarṣati jalabudbudakāḥ	sarva BAva utpattO / tat yaTA mahAmate deve pravarzati jala budbudakAH
   sphaṭikamaṇisadṛśāḥ khyāyante / tatra ca bālāḥ	sPawika maNi sadRSAH KyAyante / tatra ca bAlAH
   sphaṭikamaṇibhāvamabhiniveśya pradhāvanti / te ca mahāmate udakabudbudakā	sPawika maNi BAvam aBiniveSya praDAvanti / te ca mahAmate udaka budbudakA
   na maṇayo nāmaṇayo grahaṇāgrahaṇataḥ / evameva mahāmate	na maNayaH na amaNayaH grahaNa agrahaNataH / evam eva mahAmate
   tīrthyadṛṣṭivikalpāśayavāsanāvāsitā asataścotpādaṃ varṇayiṣyanti	tIrTya dRzwi vikalpa ASaya vAsanA vAsitAH asataH ca utpAdam varNayizyanti
   pratyayaiḥ, sataśca vināśam //	pratyayEH, sataH ca vinASam //
   (Vaidya 39)	(VEdyaH 39)
   punaraparaṃ mahāmate pramāṇatrayāvayavapratyavasthānaṃ kṛtvā	punar aparam mahAmate pramANa traya avayava pratyavasTAnam kRtvA
   āryajñānapratyātmādhigamyaṃ svabhāvadvayavinirmuktaṃ vastu svabhāvato	Arya jQAna pratyAtma aDigamyam svaBAva dvaya vinirmuktam vastu svaBAvataH 
   vidyata iti vikalpayiṣyanti / na ca mahāmate cittamano	vidyate iti vikalpayizyanti / na ca mahAmate citta manaH 
   manovijñānacittaparāvṛttyāśrayāṇāṃ	manaH vijQAna citta parAvRtti ASrayANAm
   svacittadṛśyagrāhyagrāhakavikalpaprahīṇānāṃ	sva citta dRSya grAhya grAhaka vikalpa prahINAnAm
   tathāgatabhūmipratyātmāryajñānagatānāṃ yogināṃ bhāvābhāvasaṃjñā pravartate	taTAgata BUmi pratyAtma Arya jQAna gatAnAm yoginAm BAva aBAva saMjQA pravartate
   / yadi punarmahāmate yogināmevaṃgativiṣayāṇāṃ bhāvābhāvagrāhaḥ pravartate,	/ yadi punar mahAmate yoginAm evaMgati vizayANAm BAva aBAva grAhaH pravartate,
   sa evaiṣāmātmagrāhaḥ poṣagrāhaḥ puruṣagrāhaḥ pudgalagrāhaḥ syāt / yā	saH eva ezAm Atma grAhaH poza grAhaH puruza grAhaH pudgala grAhaH syAt / yA
   punarevaṃ mahāmate bhāvasvabhāvasvasāmānyalakṣaṇadeśanā, eṣā mahāmate	punar evam mahAmate BAva svaBAva sva sAmAnya lakzaNa deSanA, ezA mahAmate
   nairmāṇikabuddhadeśanāḥ na dharmatābuddhadeśanā / deśanā punarmahāmate	nErmANika budDa deSanAH na DarmatA budDa deSanA / deSanA punar mahAmate
   bālaśayagatadṛṣṭipravṛttā, na ca	bAla Saya gata dRzwi pravRttA, na ca
   pratyavasthānagatisvabhāvadharmāryajñānapratyātmādhigamasamādhisukhavihāramudbhāvayati	pratyavasTAna gati svaBAva Darma Arya jQAna pratyAtma aDigama samADi suKa vihAram udBAvayati
   / tadyathā mahāmate jalāntargatā vṛkṣacchāyā khyāyate / sā ca na cchāyā	/ tat yaTA mahAmate jala antargatA vRkza= CAyA KyAyate / sA ca na cCAyA
   nācchāyā vṛkṣasaṃsthānāsaṃsthānataḥ, evameva mahāmate	na acCAyA vRkza saMsTAna asaMsTAnataH, evam eva mahAmate
   tīrthyadṛṣṭivāsanāvāsitavikalpā	tIrTya dRzwi vAsanA vAsita vikalpA
   ekatvānyatvobhayatvānubhayatvanāstyastitvaṃ vikalpayiṣyanti	ekatva anyatva uBaya tva anuBaya tva nAsti astitvam vikalpayizyanti
   svacittadṛśyamātrānavadhāritamatayaḥ / tadyathā mahāmate darpaṇāntargatāni	sva citta dRSya mAtra anavaDArita matayaH / tat yaTA mahAmate darpaNa antargatAni
   sarvarūpapratibimbakāni khyāyante yathāpratyayataḥ svavikalpanācca, na	sarva rUpa pratibimbakAni KyAyante yaTApratyayataH sva vikalpanAt ca, na
   tāni bimbāni nābimbāni bimbābimbadarśanataḥ / atha ca te mahāmate	tAni bimbAni na abimbAni bimba Abimba darSanataH / aTa ca te mahAmate
   svacittadṛśyavikalpāḥ khyāyante bālānāṃ bimbākṛtayaḥ / evameva mahāmate	sva citta dRSya vikalpAH KyAyante bAlAnAm bimba AkRtayaH / evam eva mahAmate
   svacittapratibimbāni khyāyante ekatvānyatvobhayānubhayadṛṣṭyākāreṇa /	sva citta pratibimbAni KyAyante ekatva anyatva uBayA anuBaya dRzwi AkAreNa /
   tadyathā mahāmate pratiśrutkā puruṣanadīpavanasaṃyogātpravartamānā	tat yaTA mahAmate pratiSrutkA puruza nadI pavana saMyogAt pravartamAnA
   anuśrūyate / sā ca na bhāvā nābhāvā ghoṣāghoṣaśravaṇataḥ, evameva mahāmate	anuSrUyate / sA ca na BAvAH na aBAvAH Goza aGoza SravaNataH, evam eva mahAmate
   nāstyastitvaikatvānyatvobhayanobhayadṛṣṭisvacittavāsanāvikalpāḥ khyāyante	na asti astitva eka tva anyatva uBayana uBaya dRzwi sva citta vAsanA vikalpAH KyAyante
   / tadyathā mahāmate nistṛṇagulmalatāvanāyāṃ	/ tat yaTA mahAmate nistRNa gulma latA vanAyAm
   medinyāmādityasaṃyogānmṛgatṛṣṇikāstaraṃgavatsyandante / te ca na bhāvā	medinyAm Aditya saMyogAt mRgatRzNikAH taraMga vat syandante / te ca na BAvA
   nābhāvā lobhyālobhyataḥ / evameva mahāmate	na aBAvAH loBya aloByataH / evam eva mahAmate
   bālānāmanādikālaprapañcadauṣṭhulyavāsanāvāsitaṃ	bAlAnAm anAdi kAla prapaQca dOzWulya vAsanA vAsitam
   vikalpavijñānamutpādasthitibhaṅgaikatvānyatvobhayānubhayanāstyastyāryapratyātmajñānavastumukhena	vikalpa vijQAnam utpAda sTiti BaFga ekatva anyatva uBayA anuBayanAH tyasti Arya pratyAtma jQAna vastu muKena
   mṛgatṛṣṇikāvattaraṃgāyate / tadyathā mahāmate vetālayantrapuruṣau	mRgatRzNikA vattaraMgAyate / tat yaTA mahAmate vetAla yantra puruzO
   niḥsattvau piśācayuktigātspandanakriyāṃ kurvāte / tatra ca asadvikalpe	niHsattvO piSAca yuj ti gAt spandana kriyAm kurvAte / tatra ca asat vikalpe
   bālā abhiniviśante gamanāgamanataḥ / evameva mahāmate bālapṛthagjanāḥ	bAlAH aBiniviSante gamana AgamanataH / evam eva mahAmate bAla pRTagjanAH
   kudṛṣṭitīrthyāśayapatitā ekatvānyatvavādānabhiniviśante / sa ca	kudRzwi tIrTya ASaya patitAH ekatva anyatva vAdAn aBiniviSante / sa ca
   asadbhūtasamāropaḥ / tasmāttarhi mahāmate	asat BUta samAropaH / tasmAt tarhi mahAmate
   utpādasthitibhaṅgaikatvānyatvobhayānubhayanāstyastyāryapratyātmavastvadhigamavikalparahitena	utpAda sTiti BaFga ekatva anyatva uBayA anuBayanAH tyasti Arya pratyAtma vastu aDigama vikalpa rahitena
   bhavitavyam //	Bavitavyam //
   tatredamucyate  	tatra idam ucyate  
   jalavṛkṣacchāyāsadṛśāḥ skandhā vijñānapañcamāḥ /	jala vRkza= CAyA sadRSAH skanDAH vijQAna paQcamAH /
   māyāsvapnopamādṛśā(śyā?) vijñaptyā mā vikalpayate // Lank_2.147 //	mAyA svapna upamAdRSA( SyA?) vijQaptyA mA vikalpayate // Lank _2.147 //
   keśoṇḍukaprakhyamidaṃ marīcyudakavibhramat /	keSoNxuka praKyam idam marIci udaka viBramat /
   tribhavaṃ svapnamāyākhyaṃ vibhāvento vimucyate // Lank_2.148 //	tri Bavam svapna mAyA AKyam viBAventaH vimucyate // Lank _2.148 //
   (Vaidya 40)	(VEdyaH 40)
   mṛgatṛṣṇā yathā grīṣme spandate cittamohanī /	mRgatRzNA yaTA grIzme spandate citta mohanI /
   mṛgā gṛhṇanti pānīyaṃ na cāsyāṃ vastu vidyate // Lank_2.149 //	mRgAH gRhNanti pAnIyam na ca asyAm vastu vidyate // Lank _2.149 //
   tathā vijñānabījaṃ hi spandate dṛṣṭigocare /	taTA vijQAna bIjam hi spandate dRzwi gocare /
   bālā gṛhṇanti jāyantaṃ timiraṃ taimirā yathā // Lank_2.150 //	bAlAH gRhNanti jAyantam timiram tEmirAH yaTA // Lank _2.150 //
   anādigatisaṃsāre bhāvagrāhopagūhitam /	anAdi gati saMsAre BAva grAha upagUhitam /
   bālaḥ kīle yathā kīlaṃ pralobhya vinivartayet // Lank_2.151 //	bAlaH kIle yaTA kIlam praloBya vinivartayet // Lank _2.151 //
   māyāvetālayantrābhaṃ svapnavidyuddhanaṃ sadā /	mAyA vetAla yantra ABam svapna vidyut Danam sadA /
   trisaṃtativyavacchinnaṃ jagatpaśya (n?) vimucyate // Lank_2.152 //	tri saMtati vyavacCinnam jagat paSya (n?) vimucyate // Lank _2.152 //
   na hyatra kācidvijñaptirmarīcīnāṃ yathā nabhe /	na hi atra kAcid vijQaptiH marIcInAm yaTA naBe /
   evaṃ dharmān vijānanto na kiṃcitpratijānate // Lank_2.153 //	evam DarmAn vijAnantaH na kiMcid pratijAnate // Lank _2.153 //
   vijñaptirnāmamātreyaṃ lakṣaṇena na vidyate /	vijQaptiH nAma mAtrA iyam lakzaNena na vidyate /
   skandhāḥ keśoṇḍukākārā yatra cāsau vikalpyate // Lank_2.154 //	skanDAH keSoNxuka AkArA yatra ca asO vikalpyate // Lank _2.154 //
   cittaṃ keśoṇḍukaṃ māyāṃ svapna gandharvameva ca /	cittam keSoNxukam mAyAm svapna ganDarvam eva ca /
   alātaṃ mṛgatṛṣṇā ca asantaḥ khyāti vai nṛṇām // Lank_2.155 //	alAtam mRgatRzNA ca asantaH KyAti vE nRNAm // Lank _2.155 //
   nityānityaṃ tathaikatvamubhayaṃ nobhayaṃ tathā /	nitya anityam taTA ekatvam uBayam na uBayam taTA /
   anādidoṣasaṃbandhād bālāḥ kalpanti mohitāḥ // Lank_2.156 //	anAdi doza saMbanDAt bAlAH kalpanti mohitAH // Lank _2.156 //
   darpaṇe udake netre bhāṇḍeṣu ca maṇīṣu ca /	darpaNe udake netre BANxezu ca maNIzu ca /
   bimbaṃ hi dṛśyate teṣu bimbaṃ nāsti ca kutracid // Lank_2.157 //	bimbam hi dRSyate tezu bimbam na asti ca kutracid // Lank _2.157 //
   bhāvābhāsaṃ tathā cittaṃ mṛgatṛṣṇā yathā nabhe /	BAva ABAsam taTA cittam mRgatRzNA yaTA naBe /
   dṛśyate citrarūpeṇa svapne vandhyauraso yathā // Lank_2.158 //	dRSyate citra rUpeNa svapne vanDyOrasaH yaTA // Lank _2.158 //
   punaraparaṃ mahāmate catuṣṭayavinirmuktā tathāgatānāṃ dharmadeśanā, yaduta	punar aparam mahAmate catuzwaya vinirmuktA taTAgatAnAm Darma deSanA, yat uta
   ekatvānyatvobhayānubhayapakṣavivarjitā nāstyastisamāropāpavādavinirmuktā /	ekatva anyatva uBayA anuBaya pakza vivarjitAH nAstyasti samAropa apavAda vinirmuktA /
   asatyapratītyasamutpādanirodhamārgavimokṣapravṛttipūrvakā mahāmate	asatya pratItyasamutpAda niroDa mArga vimokza pravRtti pUrvakAH mahAmate
   tathāgatānāṃ dharmadeśanā / na	taTAgatAnAm Darma deSanA / na
   prakṛtīśvarahetuyadṛcchāṇukālasvabhāvopanibaddhā mahāmate tathāgatānāṃ	prakRti ISvara hetuyadRt SANu kAla svaBAva upanibadDA mahAmate taTAgatAnAm
   dharmadeśanā //	Darma deSanA //
   punaraparaṃ mahāmate kleśajñeyāvaraṇadvayaviśuddhyarthaṃ	punar aparam mahAmate kleSa jQeya AvaraNa dvaya viSudDi arTam
   sārthavāhavadānupūrvyā aṣṭottare nirābhāsapadaśate pratiṣṭhāpayanti	sArTavAha vat AnupUrvyA azwa uttare nirABAsa pada Sate pratizWApayanti
   yānabhūmyaṅgasuvibhāgalakṣaṇe ca //	yAna BUmi aFga su viBAga lakzaNe ca //
   punaraparaṃ mahāmate caturvidhaṃ dhyānam / katamaccaturvidham? yaduta	punar aparam mahAmate caturviDam DyAnam / katamat caturviDam? yat uta
   bālopacārikaṃ dhyānam, arthapravicayaṃ dhyānam, tathatālambanaṃ dhyānam,	bAla upacArikam DyAnam, arTa pravicayam DyAnam, taTatA Alambanam DyAnam,
   tāthāgataṃ caturthaṃ dhyānam / tatra mahāmate bālopacārikaṃ dhyānaṃ	tATAgatam caturTam DyAnam / tatra mahAmate bAla upacArikam DyAnam
   katamat? yaduta śrāvakapratyekabuddhayogayogināṃ	katamat? yat uta SrAvaka pratyekabudDa yoga yoginAm
   pudgalanairātmyabhāvasvasāmānyabimbasaṃkalānityaduḥkhāśubhalakṣaṇābhiniveśapūrvakam,	pudgala nErAtmya BAva sva sAmAnya bimba saMkalA nitya duHKa aSuBa lakzaNa aBiniveSa pUrvakam,
   evamidaṃ lakṣaṇaṃ nānyatheti (Vaidya 41) paśyataḥ pūrvottarottarata ā	evam idam lakzaNam na anyaTA iti (VEdyaH 41) paSyataH pUrva uttarottaratas A
   saṃjñānirodhādbālopacārikaṃ bhavati / tatra arthapravicayadhyānaṃ	saMjQA niroDAt bAla upacArikam Bavati / tatra arTa pravicaya DyAnam
   punarmahāmate katamat? yaduta	punar mahAmate katamat? yat uta
   pudgalanairātmyasvasāmānyalakṣaṇabāhyatīrthakarasvaparobhayābhāvaṃ kṛtvā	pudgala nErAtmya sva sAmAnya lakzaNa bAhya tIrTakara sva para uBaya aBAvam kRtvA
   dharmanairātmyabhūmilakṣaṇārthaṃ pravicayānupūrvakamarthapravicayadhyānaṃ	Darma nErAtmya BUmi lakzaNa arTam pravicaya anupUrvakam arTa pravicaya DyAnam
   bhavati / tatra tathatālambanaṃ dhyānaṃ mahāmate katamat? yaduta	Bavati / tatra taTatA Alambanam DyAnam mahAmate katamat? yat uta
   parikalpitanairātmyadvayavikalpayathābhūtāvasthānādapravṛttervikalpasya	parikalpita nErAtmya dvaya vikalpa yaTA BUta avasTAnAt apravRtteH vikalpasya
   tathatālambanamiti vadāmi / tāthāgataṃ punarmahāmate dhyānaṃ katamat?	taTatA Alambanam iti vadAmi / tATAgatam punar mahAmate DyAnam katamat?
   yaduta tāthāgatabhūmyākārapraveśaṃ	yat uta tATAgata BUmi AkAra praveSam
   pratyātmāryajñānalakṣaṇatrayasukhavihārācintyasattvakṛtyakaraṇatayā	pratyAtma Arya jQAna lakzaNa traya suKa vihAra acintya sattva kRtya karaNa tayA
   tāthāgataṃ dhyānamiti vadāmi //	tATAgatam DyAnam iti vadAmi //
   tatredamucyate  	tatra idam ucyate  
   arthapravicayaṃ dhyānaṃ dhyānaṃ bālopacārikam /	arTa pravicayam DyAnam DyAnam bAla upacArikam /
   tathatālambanaṃ dhyānaṃ dhyānaṃ tāthāgataṃ śubham // Lank_2.159 //	taTatA Alambanam DyAnam DyAnam tATAgatam SuBam // Lank _2.159 //
   somabhāskarasaṃsthānaṃ padmapātālasādṛśam /	soma BAskara saMsTAnam padma pAtAla sAdRSam /
   gaganāgnicitrasadṛśaṃ yogī yuñjan prapaśyati // Lank_2.160 //	gagana agni citra sadRSam yogI yuQjan prapaSyati // Lank _2.160 //
   nimittāni ca citrāṇi tīrthamārgaṃ nayanti te /	nimittAni ca citrANi tIrTa mArgam nayanti te /
   śrāvakatve nipātanti pratyekajinagocare // Lank_2.161 //	SrAvaka tve nipAtanti pratyeka jina gocare // Lank _2.161 //
   vidhūya sarvāṇyetāni nirābhāsaṃ yadā bhavet /	viDUya sarvANi etAni nirABAsam yadA Bavet /
   tadā buddhākarādityāḥ sarvakṣetrāḥ samāgatāḥ /	tadA budDa Akara AdityAH sarva kzetrAH samAgatAH /
   śiro hi tasya mārjanti nimittaṃ tathatānugam // Lank_2.162 //	SiraH hi tasya mArjanti nimittam taTatA anugam // Lank _2.162 //
   atha khalu mahāmatirbodhisattvo mahāsattvaḥ punarapi bhagavantametadavocat	aTa Kalu mahAmatiH boDisattvaH mahAsattvaH punar api Bagavantam etat avocat 
     nirvāṇaṃ nirvāṇamiti bhagavannucyate / kasyaitadbhagavannadhivacanaṃ	 nirvANam nirvANam iti Bagavan= ucyate / kasya etat Bagavan= aDi vacanam
   yaduta nirvāṇamiti ? bhagavānāha  	yat uta nirvANam iti ? BagavAn Aha  
   sarvavijñānasvabhāvavāsanālayamanomanovijñānadṛṣṭivāsanāparāvṛttirnirvāṇamityucyate	sarva vijQAna svaBAva vAsanA Alaya manaH manaH vijQAna dRzwi vAsanA parAvRttiH nirvANam iti ucyate
   sarvabuddhairmayā ca nirvāṇagatisvabhāvaśūnyatāvastugocaram //	sarva budDEH mayA ca nirvANa gati svaBAva SUnya tAvastu gocaram //
   punaraparaṃ mahāmate nirvāṇamāryajñānapratyātmagatigocaraṃ	punar aparam mahAmate nirvANam Arya jQAna pratyAtma gati gocaram
   śāśvatocchedavikalpabhāvābhāvavivarjitam / kathaṃ na śāśvatam? yaduta	SASvata ucCeda vikalpa BAva aBAva vivarjitam / kaTam na SASvatam? yat uta
   svasāmānyalakṣaṇavikalpaprahīṇam, ato na śāśvatam / tatrānucchedo yaduta	sva sAmAnya lakzaNa vikalpa prahINam, atas na SASvatam / tatra anucCedaH yat uta
   sarvārthā atītānāgatapratyutpannāḥ pratyātmamapi gacchanti, ato nocchedaḥ	sarva arTAH atIta anAgata pratyutpannAH pratyAtmam api gacCanti, atas na ucCedaH
   punarmahāmate mahāparinirvāṇaṃ na nāśo na maraṇam / yadi punarmahāmate	punar mahAmate mahA parinirvANam na nASaH na maraNam / yadi punar mahAmate
   mahāparinirvāṇaṃ maraṇaṃ syāt, punarapi janmaprabandhaḥ syāt / atha	mahA parinirvANam maraNam syAt, punar api janma prabanDaH syAt / aTa
   vināśaḥ syāt, saṃskṛtalakṣaṇapatitaṃ syāt / ata etasmātkāraṇānmahāmate	vinASaH syAt, saMskRta lakzaNa patitam syAt / atas etasmAt kAraNAt mahAmate
   mahāparinirvāṇaṃ na nāśaṃ na maraṇam / cyutivigataṃ maraṇamadhigacchanti	mahA parinirvANam na nASam na maraNam / cyuti vigatam maraNam aDigacCanti
   yoginaḥ / punaraparaṃ mahāmate mahāparinirvāṇamaprahīṇāsaṃprāptito	yoginaH / punar aparam mahAmate mahA parinirvANam aprahINa asaMprAptitaH 
   'nucchedāśāśvatato naikārthato nānārthato nirvāṇamityucyate //	anucCeda aSASvatataH na eka arTataH nAnA arTataH nirvANam iti ucyate //
   (Vaidya 42)	(VEdyaH 42)
   punaraparaṃ mahāmate śrāvakapratyekabuddhānāṃ nirvāṇaṃ	punar aparam mahAmate SrAvaka pratyekabudDAnAm nirvANam
   svasāmānyalakṣaṇāvabodhādasaṃsargataḥ / viṣayāviparyāsadarśanādvikalpo na	sva sAmAnya lakzaNa avaboDAt asaMsargataH / vizaya aviparyAsa darSanAt vikalpaH na
