   ātmasiddhiḥ /	Atma sidDiH /
   atyantānupalabdheḥ / saṃbandhiśabdāśca saṃvidanubhūtijñānaprakāśādiśabdā	atyanta anupalabDeH / saMbanDi SabdAH ca saMvid anuBUti jQAna prakASa Adi SabdA
   iti śabdārthavidaḥ	iti Sabda arTa vidaH
   / na hyakarmakasya jānātyāderakartṛkasya vā prayogo loke vede vā /	/ na hi akarmakasya jAnAti AdeH akartRkasya vA prayogaH loke vede vA /
   yattu svataḥsiddhasya sattve tadvirodhādeva prāgabhāvādeḥ	yat tu svatas sidDasya sattve tad viroDAt eva prAc aBAva AdeH
   tadānīmavasthānāsaṃbhavānna tataḥ siddhiriti, tadatisthavīyaḥ / nahi	tadAnIm avasTAna asaMBavAt na tatas sidDiH iti, tad atisTavIyaH / na hi
   saṃvidāsvakālavartina evārthāḥ siddhyantītyasti niyamaḥ /	saMvidAsva kAla vartinaH eva arTAH sidDyanti iti asti niyamaH /
   atītānāgatayorasaṃvedyatvaprasaṅgāt / atha saṃvitprāgabhāvādeḥ siddhyataḥ	atIta anAgatayoH asaMvedya tva prasaFgAt / aTa saMvid prAgaBAva AdeH sidDi atas 
   tatsamakālatayā bhavitavyamiti; kimevaṃ kvaciddṛṣṭam ? hantaivaṃ	tad sama kAla tayA Bavitavyam iti; kim evam kvacid dRzwam ? hantA evam
   sati tatsiddherna prāgabhāvādyasiddhiḥ / tatprāgabhāvaḥ tatsamakāla	sati tad sidDeH na prAgaBAva Adya sidDiH / tad prAgaBAvaH tad sama kAla
   ityunmattavacaḥ / aindriyikapratyakṣasvabhāvo hyayaṃ	iti unmatta vacaH / Endriyika pratyakza svaBAvaH hi ayam
   svasamakālapadārthaprakāśakatvaṃ nāma / na jñānamātrasya, pramāṇamātrasya	sva sama kAla padArTa prakASaka tvam nAma / na jQAna mAtrasya, pramANa mAtrasya
   vā / etena tadapi parākṛtam  " mānaṃ	vA / etena tat api parAkRtam " mAnam
   svayaṃprakāśatvātsvataḥsaccetsadāstyataḥ / tanmeyaṃ ca sadāstyeva mānaṃ	svayaMprakASa tvAt su ataHsat ced sadA asti atas / tat meyam ca sadA asti eva mAnam
   meyayugeva hi " //iti / nahi mānasya svasattākāler'thāvinābhāvo meyayogaḥ	meya yuga iva hi " // iti / na hi mAnasya sva sattA kAler aTa avinABAvaH meya yogaH
   / kintu yaddeśakālādimattayā meyamavabhāsate	/ kintu yad deSa kAla Adi mattayA meyam avaBAsate
   tādṛśatadrūpamithyātvavirodhitvam / ata eva 'smṛtirnabāhyaviṣayā, naṣṭe	tAdRSa tad rUpa miTyA tva viroDi tvam / atas eva asmRtiH na bAhya vizayA, nazwe
   'pyarthe smṛtidarśanā'dityapi pralāpaḥ /	api arTe smRti darSanA aditi api pralApaH /
   atha saṃvitprāgabhāvāderavartamānatayā na pratyakṣatvam / liṅgādyabhāvācca	aTa saMvid prAgaBAva AdeH avartamAna tayA na pratyakza tvam / liFga Adi aBAvAt ca
   na pramāṇāntarataḥ siddhiriti / yadyevam, akāraṇaṃ tarhi svataḥsiddhatvaṃ	na pramANa antarataH sidDiH iti / yadi evam, akAraNam tarhi svatas sidDa tvam
   prāga	prAga
   bhāvādyasiddheḥ / pramāṇābhāva eva hīdānīṃ vācyaḥ / na ca tadabhāvaḥ śakyo	BAva Adi asidDeH / pramANa aBAvaH eva hi idAnIm vAcyaH / na ca tad aBAvaH SakyaH 
   'bhidhātumityuktameva / yogyānupalabdhyaivābhāvasya samarthitatvāt /	aBiDAtum iti uktam eva / yogyA anupalabDyA eva aBAvasya samarTita tvAt /
   apica pratyakṣasaṃvit svasattākāle svaviṣayasya sadbhāvaṃ sādhayantī	api ca pratyakza saMvid sva sattA kAle sva vizayasya sadBAvam sADayantI
   yattasya na sarvadā sattāṃ sādhayati, tadavasīyate ahamidānīmevāsmi	yat tasya na sarvadA sattAm sADayati, tat avasIyate aham idAnIm eva asmi
   nānyadeti kālaviśeṣāvacchinnaiva sā cakāstīti / itarathā ghaṭāderapi	na anyat A iti kAla viSeza avacCinnA eva sA cakAsti iti / itaraTA Gawa AdeH api
   nityatvaprasaṅgāt / evamanumānādisaṃvido 'pi / naca	nitya tva prasaFgAt / evam anumAna Adi saMvidaH api / na ca
   pratyakṣānumānādibhedaśūnyā nirviṣayā nirāśrayā dhīḥ saṃbhavatītyuktameva	pratyakza anumAna Adi Beda SUnyA nirvizayA nirASrayA DIH saMBavati iti uktam eva
   na cānyāviṣayatvāt saṃvido 'nyataḥ tatprāgabhāvādyasiddhiḥ / ajñāsiṣamiti	na ca anya avizaya tvAt saMvidaH anyatas tad prAgaBAva Adya sidDiH / ajQAsizam iti
   prāktanasaṃvido 'dyatanadhiyā viṣayīkriyamāṇatvāt /	prAktana saMvidaH adyatana DiyA vizayI kriyamANa tvAt /
   pratikūlānuviṣayaniyatahānopādānādiliṅgāvagamyatvācca parasaṃvidaḥ /	pratikUla anuvizaya niyata hAna upAdAna Adi liFgOvagamya tvAt ca para saMvidaH /
   tadanabhyupagame ca śabdārthagrahaṇāsaṃbhavena vaidikalaukika	tad anaByupagame ca Sabda arTa grahaNa asaMBavena vEdikalOkika
   samastavyavahārābhāvaprasaṅgaḥ / gurūpasarpaṇādyanupapattiśca ;	samasta vyavahAra aBAva prasaFgaH / guru upasarpaNa Adi anupapattiH ca ;
   jñānavattvena tasyāpratīteḥ /	jQAnavat tvena tasya apratIteH /
   na cānyaviṣayatve 'nanubhūtitvam / svāśrayasya svasattayaiva	na ca anya vizaya tve ananuBUti tvam / sva ASrayasya sva sat tayA eva
   prakāśamānatvaṃ, svaviṣayasādhanatvaṃ vā hyanubhūtitvam / te ca	prakASamAna tvan, sva vizaya sADana tvam vA hi anuBUti tvam / te ca
   saṃvidantara viṣayabhāve 'pi svānubhavasiddhe na bhraśyata iti	saMvid antara vizaya BAve api sva anuBava sidDe na BraSyate iti
   kathamananubhūtitva prasaṅgaḥ? / ghaṭādestu	kaTam ananuBUti tva prasaFgaH? / Gawa AdeH tu
   tathāsvābhāvyābhāvādevānanubhūtitvaṃ, nānubhāvyatvāt / api cānanubhāvyatve	taTA asvABAvya aBAvAH t eva ananuBUti tvaM, na anuBAvya tvAt / api ca ananuBAvya tve
   'pi samānaḥ tatprasaṅgaḥ, gaganakusumavat / na cātmano 'nubhūtitvam,	api samAnaH tad prasaFgaH, gagana kusuma vat / na ca AtmanaH anuBUti tvam,
   anubhavitṛtvāt / nāpyasāvananubhāvyaḥ,	anuBavitR tvAt / na api asO= ananuBAvyaH,
   anubhavasyeva svataḥsiddhyato 'pyasya svaparasaṃvedyatvābhyupagamāt /	anuBavasya iva svatas sidDi atas api asya sva para saMvedya tva aByupagamAt /
   vedyatve 'nātmatvāpādanamavedyatve 'pi samānaṃ pūrvavat / yadi tu	vedya tve anAtma tva ApAda nam avedya tve api samAnam pUrvavat / yadi tu
   gaganakusumasyāsattvamevānātmatvānanubhūtitvaprayojakamāsthīyeta;	gagana kusumasya asattvam eva anAtma tvAn anuBUti tva prayojakam AsTIyeta;
   āsthīyatāṃ tarhī ghaṭāderapi asaṃvidāśrayatvājñānāvirodhitvayoreva	AsTIyatAm tarhI Gawa AdeH api asaMvid ASraya tva ajQAna aviroDi tvayoH eva
   tatprayojakatvam / atha te api viṣayatve syātāmiti cet, aviṣayatve 'pi	tad prayojaka tvam / aTa te api vizaya tve syAtAm iti cet, avizaya tve api
   tathaivetyalamapratiṣṭhitakṛtarkāpahasanena /	taTA eva iti alam apratizWita kRtarka apahasanena /
   yadapi jananavirahādanubhūtervikārāntaranirasanam, vyabhicarati tadapi	yat api janana virahAt anuBUteH vikAra antara nirasanam, vyaBicarati tat api
   prāgabhāve / janmābhāve 'pi tasya vināśadarśanāt / bhāvaviśeṣaṇopādāne 'pi	prAc aBAve / janma aBAve api tasya vinASa darSanAt / BAva viSezaNa upAdAne api
   bhavadabhimatāvidyayānaikāntyam / sā hyanādirapi vividhavikāravatī	Bavat aBimata avidyayAnEkAntyam / sA hi anAdiH api viviDa vikAravatI
   vināśavatī ca tattvajñānodayāt / aparamārthāstadvikārāḥ santīti cet,	vinASavatI ca tattva jQAna udayAt / aparama arTAH tad vikArAH santi iti ced ,
   paramārthāśca te kiṃ vikārāḥ santi?, janmavanto vā paramārthāḥ; yena	parama arTAH ca te kim vikArAH santi?, janmavantaH vA parama arTAH; yena
   pāramārthyena viśeṣaṇaṃ sādhyasya sādhanasya vār'thavattāmaśnuvīta /	pAramArTyena viSezaNam sADyasya sADanasya vAr aTavat tAm aSnuvIta /
   tathāca sati sādhu samarthitaṃ tarkakuśalenetyamanena /	taTA ca sati sADu samarTitam tarka kuSalena ityam anena /
   yadapi nahyajaṃ vibhāgyastīti; tadapi na; ajasyaivātmano dehendriyādibhyo	yat api na hi ajam viBAgi asti iti; tat api na; ajasya eva AtmanaH deha indriya AdiByaH 
   vibhāgasya samarthitatvāt / anāditvenābhyupagatasyājñānasyā'tmano	viBAgasya samarTita tvAt / anAdi tvena aByupagatasya ajQAnasyA atmanaH 
   vyatiriktatayāvaśyāśrayaṇīyatvāt / aparamārthaḥ sa vibhāga iti cet,	vyatirikta tayA avaSya ASrayaNIya tvAt / aparama arTaH sa viBAgaH iti ced ,
   paramārthabhedaḥ kiṃ janmapratibaddhaḥ kvaciddṛṣṭaḥ?	parama arTa BedaH kim janma pratibadDaH kvacid dRzwaH?
   nirbādhapratītisiddhaśca dṛgdṛśyabhedaḥ paramārtha	nirbADa pratIti sidDaH ca dRS dRSya BedaH parama arTa
   evetyanantaramevopapādayiṣyāmaḥ /	eva iti anantaram eva upapAdayizyAmaH /
   yadapi nāsyā meyo dharmo 'pyasti; cetyānāṃ na ciddharmatvamiti ca; tadapi	yat api na asyAH meyaH DarmaH api asti; cetyAnAm na cit Darma tvam iti ca; tat api
   śāstrānumānādipramāṇasiddhaiḥ svayaṃprakāśatvanityatvādidharmaiḥ	SAstra anumAna Adi pramANa sidDEH svayaMprakASa tva nitya tva Adi DarmEH
   svayamabhyupagatairanaikāntikam / na ca te citimātramiti vācyam;	svayam aByupagatEH anEkAntikam / na ca te citi mAtram iti vAcyam;
   tatsiddhāvapi teṣu	tad sidDO= api tezu
   vimatidarśanāt / abhyupagamyaiva hi saṃvidaṃ tadanumeyatvakṣaṇikatvādi	vimati darSanAt / aByupagamya eva hi saMvidam tad anumeya tva kzaNika tva Adi
   pratijānate vādinaḥ / svarūpabhedācca / svāśrayaṃ prati sattayaiva	pratijAnate vAdinaH / svarUpa BedAt ca / sva ASrayam prati sat tayA eva
   kasyacit prakāśanaṃ hi saṃvedanam / svayaṃprakāśatā tu sattayaivā'tmane	kasyacid prakASanam hi saMvedanam / svayaMprakASa tA tu sat tayA evA atmane
   prakāśamānatā / prakāśaśca cidacidaśeṣapadārthasādhāraṇo dharma iti	prakASamAnatA / prakASaH ca cit acit aSeza padArTa sADAraNaH DarmaH iti
   saṃvitsiddhāveva sādhitam / tadanabhyupagame tu vyavahārānuguṇyavacanaḥ	saMvid sidDO= eva sADitam / tad anaByupagame tu vyavahAra anuguNya vacanaH
   prakāśaśabdaḥ / nityatā tu sarvakālavartamānatā / ekasaṅkhyāvaccheda	prakASa SabdaH / nityatA tu sarva kAla vartamAna tA / eka saFKyA avacCeda
   ekatvamiti / naca jaḍatvakāladeśanānātvādyavaccheda  śūnyatārūpatvātteṣāṃ	eka tvam iti / na ca jaxa tva kAla deSa nAnA tva Adi avacCeda SUnyatA rUpa tvAt tezAm
   na yathoktadoṣa iti yuktam / tathābhūtairapi taiḥ	na yaTA ukta dozaH iti yuktam / taTABUtEH api tEH
   citidharmabhūtairanaikāntyasyāparihāryatvāt / saṃvidi ca	citi Darma BUtEH anEkAntyasya aparihArya tvAt / saMvidi ca
   niṣedhyatvābhimataja	nizeDya tva aBimata ja
   ḍatvānityatvanānātvādivirūddhavividhadharmābhāve niṣedhoktiruktimātrameva	xatvA nitya tva nAnAtva Adi virUdDa viviDa Darma aBAve nizeDa uktirukti mAtram eva
   / cetyaṃ cājñānamātmani dṛṣṭamiṣṭaṃ ca bhavatām / api cāsyā iti	/ ca ityam ca ajQAnam Atmani dRzwam izwam ca BavatAm / api ca asyAH iti
   ṣaṣṭhyānubhūteḥ saṃbandhamabhidhāya nirdharmatvaṃ pratijñāyamānaṃ	zazWyA anuBUteH saMbanDam aBiDAya nirDarma tvam pratijQAyamAnam
   vandhyātvamiva jananyā viruddhārthamāpadyeta /	vanDyA tvam iva jananyA virudDa arTam Apadyeta /
   prāṇātmavāde dehātmavādadūṣaṇajātamatidiśannāha nirasta iti / anirasto	prANa Atma vAde deha Atma vAda dUzaNa jAtam atidiSan= Aha nirastaH iti / anirastaH 
   'dūṣito hi pratipakṣitayāvasthitaḥ prāṇātmavādaḥ	adUzitaH hi pratipakzitayA avasTitaH prANa Atma vAdaH
   nirāsakayuktayantarāpādana  prayojakībhāvamāpadyeta / na tu	nirAsaka yuktayantara ApAdana prayojakIBAvam Apadyeta / na tu
   dehātmavādadūṣaṇaireva dūṣito 'satprāya iti bhāvaḥ //9//	deha Atma vAda dUzaNEH eva dUzitaH asat prAyaH iti BAvaH //9//
   ātmano gatyanupapattiṃ pariharati avibhutvene ti / vibhutve	AtmanaH gati anupapattim pariharati aviButvene ti / viBu tve
   gatirnopapadyeteti yuktam / aṇutve tu manasa iva niḥsparśasyāpi	gatiH na upapadyeta iti yuktam / aNu tve tu manasaH iva niHsparSasya api
   gatirātmana upapadyata eva / na ca sparśasya gatau hetutvaṃ	gatiH AtmanaH upapadyate eva / na ca sparSasya gatO hetu tvam
   prayatnādṛṣṭādipreraṇamantareti bhāvaḥ / parimāṇe ti / etadātmano	prayatna adRzwa Adi preraNam antarA iti BAvaH / parimANe ti / etat AtmanaH 
   gatimattvamātmanaḥ parimāṇanirūpaṇaprakaraṇe 'pi nirūpitaṃ bhaviṣyatīti	gatimat tvam AtmanaH parimANa nirUpaNa prakaraNe api nirUpitam Bavizyati iti
   adhunaitāvatā gatimattvavarṇanenālamityarthaḥ / alamamuneti pāṭhāntaram /	aDunA etAvatA gatimat tva varNanena alam iti arTaH / alam amunA iti pAWA antaram /
   atra saṃvidātmavādī samuttiṣṭhate bhavatu tarhī ti / saṃvidātmā,	atra saMvid Atma vAdI samuttizWate Bavatu tarhI ti / saMvid AtmA,
   ajaḍatvāditi prayogaḥ / vyatirekavyāptimāha jaḍatve ti /	ajaxa tvAt iti prayogaH / vyatireka vyAptim Aha jaxa tve ti /
   pratibaddhaṃ vyāpyam / anātmyam anātmatvam / ātmano bhāva ātmyaṃ	pratibadDaM vyApyam / anAtmyam anAtma tvam / AtmanaH BAvaH Atmyam
   tasyābhāva iti vyutpatteḥ / vyatirekopanayanigamane āha jaḍatvaṃ ce ti /	tasya aBAvaH iti vyutpatteH / vyatireka upanaya nigamane Aha jaxa tvam ce ti /
   tadapi anātmyamapi / vyāpakanivṛttervyāpyanivṛttyākṣepakatvāt vyāpaka	tat api anAtmyam api / vyApaka nivRtteH vyApya nivRtti Akzepaka tvAt vyApaka
   jaḍatvanivṛttyā vyāpyānātmyanivṛttiḥ siddhyatīti bhāvaḥ /	jaxa tva nivRttyA vyApya anAtmya nivRttiH sidDyati iti BAvaH /
   ajaḍatvahetorasiddhiṃ pariharati ajaḍatvaṃ ce ti / svasattāmātrataḥ	ajaxa tva hetoH asidDim pariharati ajaxa tvam ce ti / sva sattA mAtrataH
   prakāśamānatvāt parāyattaprakāśatvalakṣaṇajaḍatvābhāva iti bhāvaḥ / nahī	prakASamAna tvAt parAyatta prakASa tva lakzaNa jaxa tva aBAvaH iti BAvaH / nahI
   ti / parāyattasiddhiḥ parādhīnaprakāśā / jaḍeti yāvat /	ti / parAyatta sidDiH  para aDIna prakASAH / jaxa iti yAvat /
   atra saṃvidanumeyatvavādināṃ bhāṭṭānāṃ matamanuvadati syānmatam iti /	atra saMvid anumeya tva vAdinAm BAwwAnAm matam anuvadati syAt matam iti /
   viṣayamātram iti / na hi nīlo 'yaṃ ghaṭa iti jñāne jñānasya viṣayatvaṃ	vizaya mAtram iti / na hi nIlaH ayam GawaH iti jQAne jQAnasya vizaya tvam
   saṃbhavati paṭāderiveti bhāvaḥ / nanu ghaṭamahaṃ jānāmīti	saMBavati pawa AdeH iva iti BAvaH / nanu Gawam aham jAnAmi iti
   jñānaprakāśastarhi katham ? tatrāha	jQAna prakASaH tarhi kaTam ? tatra Aha
   tataśce ti / tataḥ paścāccetyanvayaḥ / castvarthe / ayaṃ bhāvaḥ 	tatas ce ti / tatas paScAt ca iti anvayaH / caH tu arTe / ayam BAvaH 
   jñānādviṣaye jñātatā nāma dharmo jāyate / sa eva prakāśa ityucyate / sa	jQAnAt vizaye jQAta tA nAma DarmaH jAyate / saH eva prakASaH iti ucyate / sa
   eva jñānakṛtor'thasyātiśayo nāma / sa ca pratyakṣo jñātuḥ / tena	eva jQAna kRtoH aTasya atiSayaH nAma / sa ca pratyakzaH jQAtuH / tena
   cārthaprakāśarūpaliṅgenātmani taddhetuṃ jñānamanuminoti /	ca arTa prakASa rUpa liFgena Atmani tad hetum jQAnam anuminoti /
   ānumānikajñānālambanaśca ghaṭamahaṃ jānāmīti niruktapratyayaḥ /	AnumAnika jQAna AlambanaH ca Gawam aham jAnAmi iti nirukta pratyayaH /
   anumānaprakāraśca iyaṃ ghaṭatvaprakārakajñātatā	anumAna prakAraH ca iyam Gawa tva prakAraka jQAta tA
   ghaṭatvaprakārakajñānajanyā tathā vidhajñātatātvāditi /	Gawa tva prakAraka jQAna janyA taTA viDajQAta tA tvAt iti /
   taddharmaprakārakajñānajñātatayoḥ	tad Darma prakAraka jQAna jQAta tayoH
   kāryakāraṇabhāvācca vyāptisiddhiḥ /	kArya kAraNa BAvAt ca vyApti sidDiH /
   etadbhāṭṭamataṃ pratikṣipati tanne ti / jñāne ti / jñānaviṣayatā hi	etat BAwwa matam pratikzipati tat ne ti / jQAne ti / jQAna vizaya tA hi
   jñātatā / tadviṣayatayār'thasaṃbaddhajñānavyatiriktatayā	jQAta tA / tad vizaya tayAr aTa saMbadDa jQAna vyatirikta tayA
   viṣayadharmasyātiśayaviśeṣasyāsiddhiḥ / mama ghaṭajñānaṃ jātam, jñāto mayā	vizaya Darmasya atiSaya viSezasya asidDiH / mama Gawa jQAnam jAtam, jQAtaH mayA
   ghaṭa iti	GawaH iti
   pratītyordharmidharmabhāvavyatyāsamantarār'thabhedasyānānubhāvikatvāditi	pratItyoH Darmi Darma BAva vyatyAsam antarAr aTa Bedasya ana anuBAvika tvAt iti
   bhāvaḥ / pratyakṣāsiddhimuktvā jñātatārūpātiriktaprakāśe kalpanāsiddhimāha	BAvaH / pratyakza asidDim uktvA jQAta tArUpa atirikta prakASe kalpanA sidDim Aha
   ubhaye ti / jñānaviṣayatayaivārthe	uBaye ti / jQAna vizaya tayA eva arTe
   jñātavyavahāropapattestadanupapattilakṣaṇaṃ jñātatāyāmatiriktāyāṃ	jQAta vyavahAra upapatteH tad anupapatti lakzaNam jQAta tAyAm atiriktAyAm
   kalpakamasiddhamiti bhāvaḥ / arthajñāneṣu jñānasya	kalpakam asidDam iti BAvaH / arTa jQAnezu jQAnasya
   jñāturahamarthasyātmanaśca niyataṃ bhānamiti prābhākaraprakriyayā	jQAtuH aham arTasya AtmanaH ca niyatam BAnam iti prABAkara prakriyayA
   samarthayati vittī ti / jñānajñātranavagāhinyāṃ jñeyapratītāvupagatāyāṃ	samarTayati vittI ti / jQAna jQAtra navagAhinyAm jQeya pratItO= upagatAyAm
   jāte 'pi ghaṭajñāne 'haṃ tajjñānavān na veti saṃśayaḥ,	jAte api Gawa jQAne aham tat jQAnavAn na vA iti saMSayaH,
   tajjñānābhāvavānahamityādiviparītaniścayaśca kadācidbhavet,svasya	tad jQAna aBAvavAn aham ityAdi viparIta niScayaH ca kadAcid Bavet,svasya
   jñānavattvenāpratibhāsāt / tantritayaviṣayakatvaṃ jñānasyaṣitavyamiti	jQAna vat tvena apratiBAsAt / tantritaya vizayaka tvam jQAnasyazitavyam iti
   bhāvaḥ / tathāca svaprakāśatvasiddherjñānasya tata eva viṣayavyavahāravat	BAvaH / taTA ca sva prakASa tva sidDeH jQAnasya tatas eva vizaya vyavahAra vat 
   jñātatāvyavahāro 'pi ghaṭata iti nārthāntarajñātatākalpanāvasara iti	jQAta tA vyavahAraH api GawataH iti na arTa antara jQAta tA kalpana avasaraH iti
   hārdam / athātītānāgateṣvartheṣu jñātatāyā utpattyasaṃbhavāttatra	hArdam / aTa atIta anAgatezu arTezu jQAta tAyAH utpatti asaMBavAt tatra
   jñānenaiva jñātatāpratītirupapādyā, samaiva ceyaṃ rītiḥ pratyakṣe	jQAnena eva jQAta tA pratItiH upapAdyA, samA eva ca iyam rItiH pratyakze
   'pītyāśayenā'ha atīte ti / atra grahaṇamanumānādilakṣaṇam / vyāhāraḥ śabdo	api iti ASayenA aha atIte ti / atra grahaNam anumAna Adi lakzaNam / vyAhAraH  SabdaH 
   vyavahāraḥ/ vyavahāraḥ kāyikohānopādānādiḥ / ubhau	vyavahAraH/ vyavahAraH kAyi kohAna upAdAna AdiH / uBO
   viditatvapratītimūlāvatra grāhyau / viditapratītimūlayostayoḥ sadbhāve	vidita tva pratIti mUlO= atra grAhyO / vidita pratIti mUlayoH tayoH sadBAve
   'sadbhāve vā viditatvavyavahārātpūrvameva viditatvapratītestanmūlabhūtāyā	asadBAve vA vidita tva vyavahArAt pUrvam eva vidita tva pratIteH tad mUla BUtAyA
   udaya iti na tatra vyāhāraliṅgena viditatvamanumāya tato vedanānumā	udayaH iti na tatra vyAhAra liFgena vidita tvam anumAya tatas vedanA anumA
   nam / kintu svayaṃprakāśavedanabalādeva viditatvapratītiḥ atha ca	nam / kintu svayaMprakASa vedana balAt eva vidita tva pratItiH aTa ca
   tanmūlavyavahāra iti bhāvaḥ / ānumānikī tatra	tad mUla vyavahAraH iti BAvaH / AnumAnikI tatra
   viṣayasiddhi riti kvacitpāṭhe 'yamarthaḥ viṣayasya siddhiḥ	vizaya sidDi riti kvacid pAWe ayam arTaH  vizayasya sidDiH
   prakāśarūpānumānapramāṇapratipanneti / viṣayaprakāśasiddhi riti pāṭhe tu	prakASa rUpa anumAna pramANa pratipannA iti / vizaya prakASa sidDi riti pAWe tu
   anumānapramāṇajanitā viṣayaprakāśānumitirityarthaḥ / vyavahārātpūrvameva	anumAna pramANa janitA vizaya prakASa anumitiH iti arTaH / vyavahArAt pUrvam eva
   jñātatvapratītiṃ smṛtisthale udāharati kenaci diti / smaraṇenaivārthasya	jQAta tva pratItim smRti sTale udAharati kenaci diti / smaraNena eva arTasya
   smṛtatvamavabuddhya vyāharati smṛtamadya maye ti / yadi laiṅgikī	smRta tvam avabudDya vyAharati smRtam adya maye ti / yadi lEFgikI
   smṛtatvapratītiḥ, tarhyanenaiva vyāhāreṇa liṅgena svasyārthe	smRta tva pratItiH, tarhi anena eva vyAhAreNa liFgena svasya arTe
   smṛtatvapratītirānumānikīti vācyam / tatra cānyonyāśrayaṇaṃ prasajyate /	smRta tva pratItiH AnumAnikI iti vAcyam / tatra ca anyonya ASrayaNam prasajyate /
   smṛtatvapratītyā tadvyavahāraḥ, tenaiva ca sā svasyeti / tathā ca	smRta tva pratItyA tad vyavahAraH, tena eva ca sA svasya iti / taTA ca
   jñānasvaprakāśatvanibandhanaiva jñātatvapratītireṣṭavyeti bhāvaḥ /	jQAna sva prakASa tva nibanDana eva jQAta tva pratItirezwavyA iti BAvaH /
   svavyāhāreṇaive ti / nirapatrapa iva ka ityanvayaḥ /	sva vyAhAreNa eve ti / nirapatrapaH iva kaH iti anvayaH /
   nirapatrapaḥ nirlajjaḥ / svavyāhāreṇa ahaṃ	nirapatrapaH  nirlajjaH / sva vyAhAreNa  aham
   jānāmīti svaniṣṭhajñānavyavahāreṇa, svajñānānumānam svaniṣṭhajñānapratītiṃ	jAnAmi iti sva nizWa jQAna vyavahAreNa, sva jQAna anumAnam  svanizWa jQAna pratItim
   laiṅgikīm / vyavahāre vyavahartavyajñānasya hetutvāt	lEFgikIm / vyavahAre vyavahartavyajQAnasya hetu tvAt 
   svakīyajñānavyavahāreṇaiva svasya svakīyajñānānumānamiti	svakIya jQAna vyavahAreNa eva svasya svakIya jQAna anumAnam iti
   pratijñānupapannātyantamiti yāvat / parakīyena parātmano jñānavyavahāreṇa	pratijQA an upapannAtyantam iti yAvat / parakIyena para AtmanaH jQAna vyavahAreNa
   tadanyasya parātmaniṣṭhajñānānumānasaṃbhavāt svavyāhāreṇa svajñānānumānam	tad anyasya para Atma nizWa jQAna anumAna saMBavAt sva vyAhAreNa sva jQAna anumAnam
   iti nirdiṣṭam / evaṃ jñātatāyā asiddhiḥ; jñāta iti pratītivyavahārayoḥ	iti nirdizwam / evam jQAta tAyAH asidDiH; jQAtaH iti pratIti vyavahArayoH
   svaprakāśajñānata evopapatteḥ / jñānasya svaprakāśatvaṃ cajāte jñāne	sva prakASa jQAnataH eva upapatteH / jQAnasya sva prakASa tvam ca jAte jQAne
   svātmani jñānasaṃśayajñānābhāvaniścayānudayabalāt niśceyamiti varṇitam /	sva Atmani jQAna saMSaya jQAna aBAva niScayAn udaya balAt niSceyam iti varNitam /
   idānīmabhyupagamyāpi viṣayaniṣṭhaṃ dharmāntaraṃ prakāśaṃ	idAnIm aByupagamya api vizaya nizWam Darma antaram prakASam
   tadavaṣṭambhenaiva jñānasya svayaṃprakāśatvaṃ samarthayati	tad avazwamBena eva jQAnasya svayaMprakASa tvam samarTayati
   prakāśānumeyajñānavādanirāsārtham anyaśce tyādinā / atra	prakASa anumeya jQAna vAda nirAsa arTam anyaH ce tyAdinA / atra
   prayogadvayam anubhūtirananyādhīnataddharmā svasaṃbandhādarthāntare	prayoga dvayam  anuBUtiH ananyA aDIna tad DarmA sva saMbanDAt arTa antare
   taddharmahetutvāt yathā rūpam, taddhi svasaṃbandhāddhāṭādau cākṣuṣatve	tad Darma hetu tvAt yaTA rUpam, tat hi sva saMbanDAt hAwA AdO cAkzuza tve
   hetuḥ svasmin rūpāntarānapekṣataddharmavat; anubhūtiḥ	hetuH svasmin rUpa antara anapekza tad Darmavat; anuBUtiH
   ananyādhīnasvavyavahārā svasaṃbandhādarthāntare vyavahārahetutvāt / yathā	ananya aDIna sva vyavahArA sva saMbanDAt arTa antare vyavahAra hetu tvAt / yaTA
   sattā / sā hi svasaṃbandhāddhaṭādau saditi vyavahārahetuḥ	sattA / sA hi sva saMbanDAt hawa AdO sat iti vyavahAra hetuH
   svīyasadvyavahāre sattāntarā	svIyasat vyavahAre sattA antarA
   napekṣā iti / ādyaḥ prayogo 'tra jñātatārūpaṃ dharmāntaramabhyupetya,	napekzAH iti / AdyaH prayogaH atra jQAta tA rUpam Darma antaram aByupetya,
   dvitīyastu tadanupagamena / hetusādhyaniṣkarṣaḥ śrutaprakāśikādito	dvitIyaH tu tad anupagamena / hetu sADya nizkarzaH Sruta prakASika AditaH 
   'nusandheyaḥ / anena jñānaniṣṭhaprakāśasya jñānāntarānapekṣatvasiddhyā	anusanDeyaH / anena jQAna nizWa prakASasya jQAna antara anapekza tva sidDyA
   jñānasya svayaṃprakāśatvopapattiḥ / tathā ca tasyaivātmatvamityāha	jQAnasya svayaMprakASa tva upapattiH / taTA ca tasya eva Atma tvam iti Aha
   svayaṃprakāśatvā diti / atredamākūtam ātmanaḥ svayaṃprakāśatvaṃ tāvat	svayaMprakASa tvA diti / atra idam AkUtam a AtmanaH svayaMprakASa tvam tAvat 
   atrāyaṃ puruṣaḥ svayañjyotirbhavatī tyādiśrutisiddham / jñānasya	atra ayam puruzaH svayan jyotiH BavatI tyAdi Sruti sidDam / jQAnasya
