   śrīḥ	SrIH
   nāpi sannikarṣārtham; tadabhāvasya sākṣādindriyasannikarṣāditi /	na-api sannikarza-arTam; tad-aBAvasya sAkzAt-indriya-sannikarzAt-iti /
   [ku.2.225] na cedevam; kuta eṣā pratītiḥ, idānīṃ śrutapūrvaḥ śabdo	[ku.2.225] na ced-evam; kutas ezA pratItiH, idAnIm Sruta-pUrvaH SabdaH-
   nāstīti? "anumānā'diti cenna śabdasyaiva pakṣīkaraṇe (80)hetoranāśrayatvāt	na-asti-iti? "anumAnA-aditi ced-na Sabdasya-eva pakzIkaraNe (80)hetoH-anASraya-tvAt
   anityatvamātrasādhane 'bhāvasya niyatakālatvāsiddheḥ /	anitya-tva-mAtra-sADane aBAvasya niyata-kAla-tva-asidDeH /
   ākāśasya pakṣatve tadvattayānupalabhyamānatvasya hetoranaikāntikatvāt /	AkASasya pakza-tve tadvat-tayA-anupalaByamAna-tvasya hetoH-anEkAntika-tvAt /
   śabdasadbhāvakāle 'pi tasya sattvāt /	Sabda-sadBAva-kAle api tasya sattvAt /
   evaṃ kālapakṣe 'pi doṣāt /	evam kAla-pakze api dozAt /
   [ku.2.226] ahamidānīṃ niḥśabdaśrotravān śabdopalabdhirahitatvāt	[ku.2.226] aham-idAnIm niHSabda-SrotravAn Sabda-upalabDi-rahita-tvAt-
   badhiravaditi cet-na-dṛṣṭāntasya sādhyavikalatvāt, vyāhatatvācca;	baDira-vat-iti cet-na-dRzwAntasya sADya-vikala-tvAt, vyAhata-tvAt-ca;
   badhiraśca śrotravāṃśceti vyāhatam /	baDiraH-ca SrotravAn=-ca-iti vyAhatam /
   tasyāpi ca śravaso niḥśabdatve pramāṇaṃ nāsti /	tasya-api ca SravasaH niHSabda-tve pramANam na-asti /
   anupabhogyasyotpādavaiyarthyaṃ pramāṇamiti cet-na-ādyādiśabdavadupapatteḥ	anupaBogyasya-utpAda-vEyarTyam pramANam-iti cet-na-a-Adi-Adi-Sabda-vat-upapatteH
   teṣāṃ śabdāntarārambhaṃ pratyupayogaḥ; antyasya na tatheti	tezAm Sabda-antara-AramBam pratyupayogaH; antyasya na taTA-iti
   cet-na-antyatvāsiddheḥ /	cet-na-antya-tva-asidDeH /
   sarveṣāṃ cotpādavatāṃ prayojanatadabhāvayorasmādṛśairanākalanāt;	sarvezAm ca-utpAdavatAm prayojana-tadaBAvayoH-asmAdRSEH-anAkalanAt;
   suṣuptyavasthāyāṃ śvāsapraśvāsaprayojanavacca tadupapatteḥ /	suzupti-avasTAyAm SvAsa-praSvAsa-prayojana-vat-ca tad-upapatteH /
   ārambhe sati prayojanamavaśyamiti vyāpteḥ /	AramBe sati prayojanam-avaSyam-iti vyApteH /
   na tvāpātataḥ prayojanānupalambhamātreṇārambhanivṛttiḥ; tathā sati	na tu-ApAtataH prayojana-anupalamBa-mAtreNa-AramBa-nivRttiH; taTA sati
   karṇaśaṣkulyavacchedotpāda eva nabhasastaṃ prati nivarteta; badhirasya	karNa-SazkulI-avat-Ceda-utpAdaH eva naBasaH-tam prati nivarteta; baDirasya
   tenānupayogāt /	tena-anupayogAt /
   vivādakāle badhirakarṇaḥ śabdavān	vivAda-kAle baDira-karNaH SabdavAn
   yogyadeśa(81)sthānāvṛtakarṇaśaṣkulīsuṣiratvāt	yogya-deSa-(81)sTAna-AvRta-karNa-SazkulI-suzira-tvAt-
   taditarakarṇaśaṣkulīsuṣiravaditi /	tad-itara-karNa-SazkulI-suzira-vat-iti /
   [ku.2.227] niḥśabdāḥ paṇavavīṇāveṇavaḥ (82)tadekajñānasaṃsargayogyatve	[ku.2.227] niHSabdAH paNava-vINA-=-eNavaH (82)tad-eka-jQAna-saMsarga-yogya-tve
   sati tadanupalambhe 'pyupalabhyamānatvāt /	sati tad-anupalamBe api-upalaByamAna-tvAt /
   yat yadekajñānasaṃsarga(83)yogyaṃ(ya) tasyānupalambhe 'pyupalabhyate tat	yat yat-eka-jQAna-saMsarga-(83)-yogyaM(ya) tasya-anupalamBe api-upalaByate tat-
   tadabhāvavat, yathāghaṭaṃ bhūtalamiti	tad-aBAvavat, yaTAGawam BU-talam-iti
   cet-na-ekajñānasaṃsargayogyatvābhāvāt; śabdasya śrautatvāt, vīṇādīnāṃ	cet-na-eka-jQAna-saMsarga-yogya-tva-aBAva-at; Sabdasya SrOta-tvAt, vINA-AdInAm
   cākṣuṣatvāt /	cAkzuza-tvAt /
   abhimānamātrāditi cenna, tathāpi śabdapradhvaṃsasyātaddeśatvāt,	aBimAna-mAtrAt-iti ced-na, taTA-api Sabda-praDvaMsasya-atad-deSa-tvAt,
   atyantābhāvasya ca kālaniyamāt /	atyanta-aBAvasya ca kAla-niyamAt /
   [ku.2.228] syādetat- śabdavadākāśopādhayo hi bheryādayaḥ /	[ku.2.228] syAt-etat Sabdavat-AkASa-upADayaH hi BerI-AdayaH /
   tena teṣu vidhīyamānaḥ śabdaḥ ākāśa eva vihito bhavati;	tena tezu viDIyamAnaH SabdaH AkASaH eva vihitaH Bavati;
   pratiṣiddhyamānaśca tatraiva pratiṣiddho bhavati, śarīre sukhādivat iti	pratizidDyamAnaH-ca tatra-eva pratizidDaH Bavati, SarIre suKa-Adi-vat iti
   cet na- tatra sopādhāvātmani pratyakṣasiddhe sukhādiniṣedhasyāpi	ced na tatra sa-upADO=-Atmani pratyakza-sidDe suKa-Adi-nizeDasya-api
   pratyakṣāsiddhatvāt /	pratyakza-asidDa-tvAt /
   na caivamihāpi; tadupahitasya nabhaso 'pratyakṣatvāt /	na ca-evam-iha-api; tad-upahitasya naBasaH apratyakza-tvAt /
   upādhayastāvat pratyakṣā iti cenna- tairabhāvānirūpaṇāt /	upADayaH-tAvat pratyakzAH iti ced-na tEH-aBAva-anirUpaNAt /
   nirūpaṇe vā pratyakṣeṇāpi grahaṇaprasaṅgāt /	nirUpaNe vA pratyakzeNa-api grahaNa-prasaFgAt /
   na caivaṃ sati pāramārthikādhikaraṇanirūpaṇīyatvamabhāvasya /	na ca-evam sati pAramArTika-aDikaraNa-nirUpaNIya-tvam-aBAvasya /
   na ca te 'pi pratyakṣasiddhāḥ (84) sarvatra; śabdakāraṇavyavadhāne	na ca te api pratyakza-sidDAH (84) sarvatra; Sabda-kAraNa-vyavaDAne
   'pyupalabdhasya	api-upalabDasya
   śabdasya nāstitāpratīteḥ /	Sabdasya nAstita-apratIteH /
   ānumānikaistaistathā vyavahāra iti cenna-	AnumAnikEH-tEH-taTA vyavahAraH iti ced-na-
   hetostadvattayānupalabhyamānatvasyānaikāntikatvāt; abhāvapratītikāle	hetoH-tadvat-tayA-anupalaByamAna-tvasya-anEkAntika-tvAt; aBAva-pratIti-kAle
   sandigdhāśrayatvācca /	sandigDa-ASraya-tvAt-ca /
   upalabhyamānaviśeṣyatvapakṣe cāsiddheḥ; indriyavyavadhānāt, śabdaliṅgasya	upalaByamAna-viSezya-tva-pakze ca-asidDeH; indriya-vyavaDAnAt, Sabda-liFgasya
   cānupalambhāt /	ca-anupalamBAt /
   [ku.2.229] api ca naṣṭāśrayāṇāṃ dravyaguṇakarmaṇāṃ nāśopalambhaḥ katham?	[ku.2.229] api ca nazwa-ASrayANAm dravya-guNa-karmaNAm nASa-upalamBaH kaTam?
   na kathañciditi cet- āśrayanāśātkāryanāśa iti kuta etat?	na kaTaQcid-iti cet ASraya-nASAt-kArya-nASaH iti kutas etat-?
   anumānatastathopalambhāditi cet- na- tulyanyāyenoktottaratvāt /	anumAnataH-taTA-upalamBAt-iti cet na tulya-nyAyena-ukta-uttara-tvAt /
   tantuṣu naṣṭeṣvapi yadi paṭo, na naśyet, tadvadevopalabhyeteti cet- etasya	tantuzu nazwezu-api yadi pawo, na naSyet, tadvat-eva-upalaByeta-iti cet etasya
   tarkasyānugrāhyamabhidhīyatām /	tarkasya-anugrAhyam-aBiDIyatAm /
   [ku.2.230] yadatropalabhyate na tat kāryaparamparāvat, yogyasya	[ku.2.230] yat-atra-upalaByate na tat kArya-paramparAvat, yogyasya
   tathānupalabhyamānatve sati upalabhyamānatvāditi cet-na-tantvavayavānāṃ	taTA-anupalaByamAna-tve sati upalaByamAna-tvAt-iti cet-na-tantu-avayavAnAm
   paṭānādhāratve sādhye siddhasādhanāt /	pawAn-ADAra-tve sADye sidDa-sADanAt /
   paṭapradhvaṃsavattve sādhye bādhitatvāt tasya	pawa-praDvaMsavat-tve sADye bADita-tvAt tasya
   svapratiyogikāraṇamātradeśatvāt /	sva-pratiyogi-kAraNa-mAtra-deSa-tvAt /
   [ku.2.231] ye paṭadhvaṃsavantastantavaḥ, tadabhāvavanta ete aṃśavaḥ iti	[ku.2.231] ye pawa-DvaMsavantaH-tantavaH, tat-aBAvavantaH ete aMSavaH iti
   sādhyamiti cenna- tantunāśottarakāle paṭanāśāttadvattānupapatteḥ /	sADyam-iti ced-na tantu-nASa-uttara-kAle pawa-nASAt-tadvat-tA-anupapatteH /
   yogyatāmātrasādhane ca paṭapradhvaṃsāsiddheḥ; tasya nāśānāśayoḥ samānatvāt	yogya-tA-mAtra-sADane ca pawa-praDvaMsA-sidDeH; tasya nASAnASayoH samAna-tvAt-
   [ku.2.232] ananyagatikatayā viśiṣṭaniṣedhe kṛte viśeṣaṇānāmapyabhāvaḥ	[ku.2.232] ananya-gatika-tayA viSizwa-nizeDe kRte viSezaNAnAm-api-aBAvaH
   pratīto bhavati; guṇakriyāvatpaṭādhārāstantavo na santi svāvayaveṣviti hi	pratItaH Bavati; guNa-kriyA-vat-pawa-ADArAH-tantavaH na santi sva-avayavezu-iti hi
   pratyaya iti cet- tathāpi guṇakarmaṇāṃ paṭasya ca pradhvaṃsaḥ	pratyayaH iti cet taTA-api guNa-karmaNAm pawasya ca praDvaMsaH
   kimadhikaraṇaḥ pratīyata iti vaktavyam /	kim-aDikaraNaH pratIyate iti vaktavyam /
   aśvādhikaraṇa eveti cet- bhrāntistarhīyam; tasyātaddeśatvāt /	aSva-aDikaraNaH eva-iti cet BrAntiH-tarhIyam; tasya-atad-deSa-tvAt /
   āśrayāvacchedakatayā teṣāmapyadūraviprakarṣeṇa taddeśatvam evaṃbhūtenāpi	ASraya-avacCedaka-tayA tezAm-api-adUra-viprakarzeNa tad-deSa-tvam evaMBUtena-api
   deśena tannirūpaṇam; yogyatāyā avyabhicārāditi cet- na tarhi	deSena tad-nirUpaNam; yogyatAyAH avyaBicArAt-iti cet na tarhi
   pratiyogisamavāyideśenaiva pradhvaṃsanirūpaṇamiti niyamaḥ;	pratiyogi-samavAyi-deSena-eva praDvaMsa-nirUpaNam-iti niyamaH;
   prakārāntareṇāpi nirūpaṇāt /	prakAra-antareNa-api nirUpaNAt /
   [ku.2.233] tasmāt yasya yāvatī grahaṇasāmagrī, taṃ vihāya tasyāṃ satyāṃ	[ku.2.233] tasmAt yasya yAvatI grahaNa-sAmagrI, tam vihAya tasyAm satyAm
   tadabhāvo yatra kvacinnirūpyo deśe kāle vā /	tad-aBAvaH yatra kvacid-nirUpyaH deSe kAle vA /
   iyāṃstu viśeṣaḥ- sā satī cet, pratyakṣeṇa /	iyAn=-tu viSezaH sA satI cet, pratyakzeNa /
   asatyeva jñātā cet, (85)anumānādineti sthitiḥ /	asatI-eva jQAtA cet, (85)anumAna-AdinA-iti sTitiH /
   [ku.2.234] etena "sadbhyāmabhāvo nirūpyate" ityādiśāstra(86)virodhaḥ	[ku.2.234] etena "sadByAm-aBAvaH nirUpyate" iti-Adi-SAstra-(86)-viroDaH
   parihṛto veditavyaḥ; ubhayanirūpaṇīyapratiyogiviṣayatvāt	parihRtaH veditavyaH; uBaya-nirUpaNIya-pratiyogi-vizaya-tvAt
   anumānaviṣayatvācca /	anumAna-vizaya-tvAt-ca /
   anyathā āśrayāsiddhiprasaṅgāt /	anyaTA ASraya-asidDi-prasaFgAt /
   tatrāpi na graṅaṇe niyamaḥ, jñānamātraṃ tu vivakṣitam; tāvanmātrasyaiva	tatra-api na graFaNe niyamaH, jQAna-mAtram tu vivakzitam; tAvat-mAtrasya-eva
   tadupayogāt /	tad-upayogAt /
   kvacit grahaṇasya sāmagrīsampātāyātatvāt /	kvacid grahaNasya sAmagrI-sampAta-AyAta-tvAt /
   [ku.2.235] yadicādhikaraṇagrahe śāstrasya nirbharaḥ syāt, "vahnerdāhyaṃ	[ku.2.235] yadica-aDikaraNa-grahe SAstrasya nirBaraH syAt, "vahneH-dAhyam
   vināśyānuvināśavattadvināśaḥ" iti nodāharet; asiddhatvāt /	vinASya-anuvinASa-vat-tat-vinASaH" iti na-udAharet; asidDa-tvAt /
   na hi vahnivināśastadavayavaparamparāsvakṣa(87)nirūpyaḥ tāsāmanirūpaṇāt /	na hi vahni-vinASaH-tad-avayava-paramparAsu-akza(87)-nirUpyaH tAsAm-anirUpaNAt /
   nāpyanyatra gamanābhāvādinā pāriśeṣyādanumeyaḥ; hetoreva	na-api-anyatra gamana-aBAva-AdinA pAriSezyAt-anumeyaH; hetoH-eva
   nirūpayitumaśakyatvāt; āśrayānupalabdheḥ /	nirUpayitum-aSakyatva-at; ASraya-anupalabDeH /
   nāpi nimittavināśāt sarvamidamekavāreṇa setsyatīti yuktama;	na-api nimitta-vinASAt sarvam-idam-eka-vAreNa setsyati-iti yuktam-a;
   tasyānaikāntikatvāt /	tasya-anEkAntika-tvAt /
   tejasā viśeṣitatvādayamadoṣa iti cenna- vyāptyasiddheḥ /	tejasA viSezita-tvAt-ayam-adozaH iti ca-id-na vyApti-asidDeH /
   na hīndhanavināśāt tejodravyamavaśyaṃ vinaśyatīti kvacitsiddham;	na hi-inDana-vinASAt tejaH-dravyam-avaSyam vinaSyati-iti kvacid-sidDam;
   (88)pratyakṣavṛtteranabhyupagamāt /	(88)-pratyakza-vRtteH-anaByupagamAt /
   [ku.2.236] tasmāt yattyāgenānyatra gamanaṃ na sambhāvyate, tena	[ku.2.236] tasmAt yat-tyAgena-anyatra gamanam na samBAvyate, tena
   nimittādināpi deśena pradhvaṃso nirūpyate ityakāmenāpi svīkaraṇīyam;	nimitta-AdinA-api deSena praDvaMsaH nirUpyate iti-akAmena-api svIkaraNIyam;
   gatyantarābhāvāt /	gati-antara-aBAvAt /
   ata eva tamasaḥ pratyakṣatve 'pyabhāvatvamāmanantyācāryāḥ /	atas eva tamasaH pratyakza-tve api-aBAva-tvam-Amananti-AcAryAH /
   etena śabdaprāgabhāvo vyākhyātaḥ /	etena Sabda-prAgaBAvaH vyAKyAtaH /
   [ku.2.237] evaṃ (89)vyavasthite anumānamapyucyate- śabdo 'nityaḥ	[ku.2.237] evam (89)-vyavasTite anumAnam-api-ucyate SabdaH anityaH
   (90)utpattidharmakatvāt ghaṭavat /	(90)utpatti-Darmaka-tvAt Gawa-vat /
   na cedaṃ pratyabhijñānabādhitam; tasya jvālādipratyabhijñānenāviśeṣāt /	na ca-idam pratyaBijQAna-bADitam; tasya jvAlA-Adi-pratyaBijQAnena-aviSezAt /
   [ku.2.238] naivam; abādhitasya tasya svataḥ pramāṇatvāditi cet- tulyam /	[ku.2.238] na-evam; abADitasya tasya svatas pramANa-tvAt-iti cet tulyam /
   "jvālāyāṃ tannāsti; viruddhadharmādhyāsena (91)bādhitatvāt /	"jvAlAyAm tat-na-asti; virudDa-Darma-aDyAsena (91)bADita-tvAt /
   anyathā bhedavyavahāravilopaprasaṅgaḥ /	anyaTA Beda-vyavahAra-vilopa-prasaFgaH /
   nimittābhāvāt /	nimitta-aBAvAt /
   ākasmikatve vātiprasaṅga" iti cet- tulyam,(92)śabde 'pi	Akasmika-tve vA-atiprasaFga" iti cet tulyam-,(92)-Sabde api
   tīvratīvrataratvamandamandataratvāderbhāvāt /	tIvra-tIvratara-tva-manda-mandatara-tva-AdeH-BAvAt /
   [ku.2.239] tadiha na svābhāvikamiti cenna- svābhāvikatvāvadhāraṇanyāyasya	[ku.2.239] tat-iha na svABAvikam-iti ced-na svABAvika-tva-avaDAraNa-nyAyasya
   tatra tatra siddhasyātrāpi tulyatvāt /	tatra tatra sidDasya-atra-api tulya-tvAt /
   na hyapāṃ śaityadravatve svābhāvike, tejaso vā auṣṇyabhāsvaratve	na hi-apAm SEtya-drava-tve svABAvike, tejasaH vA OzNya-BAsvara-tve
   ityatrānyatpramāṇamasti pratyakṣādvinā /	iti-atra-anyat-pramANam-asti pratyakzAt-vinA /
   "tattathaiva yujyate; anyasyopādheranupalambhāt, niyamena tadgatatvena	"tat-taTA-eva yujyate; anyasya-upADeH-anupalamBAt, niyamena tad-gata-tvena
   copalambhā'diti cet- tulyametat /	ca-upalamBA-aditi cet tulyam-etat /
   [ku.2.240] tathāpyatīndriyānyadharmatvaśaṅkā syāditi cet- etadapi tādṛgeva	[ku.2.240] taTA-api-atIndriyAni-aDarma-tva-SaFkA syAt-iti cet etat-api tAdRS-eva
   tat kiṃ yadgatatvena yadupalabhyate, tasyaiva sa dharmaḥ? nanvevaṃ pītaḥ	tat kim yat-gata-tvena yat-upalaByate, tasya-eva sa DarmaH? nanu-evam pItaH
   śaṅkhaḥ, raktaḥ sphaṭikaḥ, nīlaḥ paṭa ityapi tathā syāt; aviśeṣāt /	SaFKaH, raktaH sPawikaH, nIlaH pawaH iti-api taTA syAt; aviSezAt /
   na; pītatvādīnāmanyadharmatvasthitau śaṅkhādīnāṃ ca tadviruddhadharmatve	na; pIta-tva-AdInAm-anya-Darma-tva-sTitO SaFKa-AdInAm ca tad-virudDa-Darma-tve
   sthite, japākusumādyanvayavyatirekānuvidhānācca bādhena	sTite, japA-kusuma-Adi-anvaya-vyatireka-anuviDAnAt-ca bADena
   bhrāntatvāvadhāraṇāt /	BrAnta-tva-avaDAraNAt /
   na ceha tāra- tārataratvāderanyadharmatvasthitiḥ; nāpi	na ca-iha tAra tAratara-tva-AdeH-anya-Darma-tva-sTitiH; na-api
   śukaśārikādigakārāṇāṃ tadviruddhadharmatvam; nāpyanyasya taddharmiṇo	Suka-SArikA-Adi-gakArANAm tad-virudDa-Darma-tvam; na-api-anyasya tad-DarmiNaH-
   'nvayavyatirekāvanuvidhatte /	anvaya-vyatirekO=-anuviDatte /
   tathāpi śaṅkāsyāditi cet- evamiyaṃ sarvatra /	taTA-api SaFkA-AsyAt-iti cet evam-iyam sarvatra /
   tathā ca na kvacit (93)kasyacit kiñcitkutaścit	taTA ca na kvacid (93)kasyacid kiQcid-kutaScit
   siddhyet /	sidDyet /
   nacaitacchaṅkitumapi śakyate; apratīte saṃskārābhāvāt; saṃskārānupanītasya	naca-etat-SaFkitum-api Sakyate; apratIte saMskAra-aBAva-at; saMskArAn-upanItasya
   cāropayitumaśakyatvāt /	cAra-upayitum-aSakya-tvAt /
   [ku.2.241] na ca dhvanidharmā eva gṛhyante; sparśādyanantarbhāveṇa bhāveṣu	[ku.2.241] na ca Dvani-DarmAH eva gRhyante; sparSa-Adi-anantarBAveNa BAvezu
   tvagādīnāmavyāpārāt na ca śravaṇenaiva tadgrahaṇam; avāyavīyatvena tasya	tvac-AdInAm-avyApArAt na ca SravaNena-eva tad-grahaNam; avAyavIya-tvena tasya
   vāyudharmāgrāhakatvāt cakṣurvat /	vAyu-Darma-AgrAhaka-tvAt cakzuH-vat /
   tāra-tārataratvādayo vā na vāyudharmāḥ śrāvaṇatvāt kādivat /	tAra-tAratara-tva-AdayaH vA na vAyu-DarmAH SrAvaNa-tvAt ka-Adi-vat /
   vāyurvā na śravaṇagrāhyadharmā mūrtatvāt pṛthivīvat /	vAyuH-vA na SravaNa-grAhya-DarmA mUrta-tvAt pRTivI-vat /
   yadi ca naivam; kādīnāmapi vāyavīyatvaprasaṅgaḥ /	yadi ca na-evam; ka-AdInAm-api vAyavIya-tva-prasaFgaH /
   tataḥ kim? avayaviguṇatve 'nityatvam; paramāṇuguṇatve 'grahaṇam /	tatas kim? avayavi-guNa-tve anitya-tvam; paramANu-guNa-tve agrahaNam /
   dvayamapyetadaniṣṭaṃ bhavataḥ /	dvayam-api-etat-anizwam BavataH /
   avaśyaṃ ca śravasā grāhyajātīyaguṇavatā bhavitavyam, bahirindriyatvāt	avaSyam ca SravasA grAhya-jAtIya-guNavatA Bavitavyam, bahis-indriya-tvAt-
   ghrāṇādivat /	GrANa-Adi-vat /
   [ku.2.242] santu dhvanayo 'pi nābhāsāḥ /	[ku.2.242] santu DvanayaH api na-ABAsAH /
   tathā ca taddharmagrahaṇaṃ śravasopapatsyata iti cenna- tārastārataro	taTA ca tad-Darma-grahaNam Srava-sA-upapatsyate iti ced-na tAraH-tArataraH-
   vāyaṃ gakāra ityatra dhvanīnāmasphuraṇāt /	vA-ayam gakAraH iti-atra DvanInAma-sPuraNAt /
   na ca vyaktyā vinā sāmānyasphuraṇaṃ kāraṇābhāvāt /	na ca vyaktyA vinA sAmAnya-sPuraNam kAraNa-aBAvAt /
   vyaktisphuraṇasāmagrīniviṣṭā hi jātisphuraṇasāmagrī /	vyakti-sPuraNa-sAmagrI-nivizwA hi jAti-sPuraNa-sAmagrI /
   kuta etat /	kutas etat /
   anvayavyatirekābhyāṃ tathāvagamāt; aindrikeṣveva ghaṭādiṣu	anvaya-vyatirekAByAm taTA-avagamAt; Endrikezu-eva Gawa-Adizu
   sāmānyagrahaṇāt; atīndriyeṣu ca manaḥprabhṛtiṣvagrahaṇāt /	sAmAnya-grahaNa-at; atIndriyezu ca manaH-praBRtizu-agrahaNAt /
   svarūpayogyataiva tatra nimittam; akāraṇaṃ vyaktiyogyateti cet- evaṃ tarhi	sva-rUpa-yogya-tA-eva tatra nimittam; akAraNam vyakti-yogyatA-iti cet evam tarhi
   sattādravyatvapārthivatvādīnāṃ svarūpayogyatve paramāṇvādiṣvapi	sattA-dravya-tva-pArTiva-tva-AdInAm sva-rUpa-yogya-tve paramANu-Adizu-api
   grahaṇaprasaṅgaḥ; ayogyatve ghaṭādiṣvapi tadanupalambhāpattiriti	grahaNa-prasaFgaH; ayogya-tve Gawa-Adizu-api tad-anupalamBa-ApattiH-iti
   duruttaraṃ vyasanam /	duruttaram vyasanam /
   tasmādvyaktigrahaṇayogyatāntargataiva jātigrahaṇayogyateti tadanupalambhe	tasmAt-vyakti-grahaNa-yogya-tA-antargatA-eva jAti-grahaNa-yogya-tA-iti tad-anupalamBe
   jāteranupalambha eva /	jAteH-anupalamBe eva /
   [ku.2.243] tathā ca na tāratvādīnāmāropasambhava iti svābhāvikatvasthitau	[ku.2.243] taTA ca na tAra-tva-AdInAm-Ara-upasamBavaH iti svABAvika-tva-sTitO
   viruddhadharmādhyāsena bhedasya	virudDa-Darma-aDyAsena Bedasya
   pāramārthikatvātpratyabhijñānamapramāṇamiti na tena bādhaḥ /	pAramArTika-tvAt-pratyaBijQAnam-apramANam-iti na tena bADaH /
   [ku.2.244] nāpi satpratipakṣatvam; mitho	[ku.2.244] na-api sat-pratipakza-tvam; miTas-
   viruddhayorvāstavatulyabalatvābhāvāt /	virudDayoH-vAstava-tulya-bala-tva-aBAvAt /
   ekasyānyatamāṅgavaikalyacintāyāmasya vaikalye tasyaiva (94)vācyatvāt /	ekasya-anyatamAFga-vEkalya-cintAyAm-asya vEkalye tasya-eva (94)vAcya-tvAt /
   avaikalye, tvādīyenaiva vikalena bhavitavyamiti hīnasya na	avEkalye, tvAdIyena-eva vikalena Bavitavyam-iti hInasya na
   satpratipakṣatvam /	sat-pratipakza-tvam /
   tathāpi nityaḥ śabdaḥ (95)adravyadravyatvādatyitrāpi sādhanadaśāyāṃ	taTA-api nityaH SabdaH (95)a-dravya-dravya-tvAt-atyitrA-api sADana-daSAyAm
   kiñcidvācya'miti cet- asiddhiḥ /	kiQcid-vAcyaH-am-iti cet asidDiH /
   [ku.2.245] dravyaṃ śabdaḥ sākṣātsambandhena gṛhyamāṇatvādghaṭavaditi	[ku.2.245] dravyam SabdaH sAkzAt-sambanDena gRhyamANa-tvAt-Gawa-vat-iti
   siddhyatīti cenna- etasyāpyasiddheḥ /	sidDyati-iti ced-na etasya-api-asidDeH /
   na hi śrotraguṇatve dravyatve vāsiddhe sākṣātsambandhe śabdasya	na hi Srotra-guNa-tve dravya-tve vA-asidDe sAkzAt-sambanDe Sabdasya
   pramāṇamasti /	pramANam-asti /
   "pariśeṣo 'sti /	"pariSezaH asti /
   tathā hi- sadādyabhedena sāmānyāditrayavyāvṛttau	taTA hi sadAdi-aBedena sAmAnya-Adi-traya-vyAvRttO
   mūrtadravyasamavāyaniṣedhena karmatvaniṣedhāt dravyaguṇatvapariśeṣe	mUrta-dravya-samavAya-nizeDena karma-tva-nizeDAt dravya-guNa-tva-pariSeze
   saṃyogasamavāyayoranyataraḥ sambandhaḥ" iti cenna- bādhakabalena pariśeṣe	saMyoga-samavAyayoH-anyataraH sambanDaH" iti ced-na bADaka-balena pariSeze
   dravyatvasyāpi niṣedhālliṅgagrāhakapramāṇabādhāpatteḥ /	dravya-tvasya-api nizeDAt-liFga-grAhaka-pramANa-bADA-patteH /
   bādhake satyapi vā dravyatvāpratiṣedhe	bADake sati-api vA dravya-tva-apratizeDe
   karmatvādīnāmapyapratiṣedhaprasaktau paraśeṣāsiddheḥ /	karma-tva-AdInAm-api-apratizeDa-prasaktO para-Seza-asidDeH /
   tasmādekadeśapariśeṣo na pramāṇam /	tasmAt-eka-deSa-pariSezaH na pramANam /
   sandehasaṅkocamātrahetutvāt /	sandeha-saFkoca-mAtra-hetu-tvAt /
   atha dravyatve kiṃ bādhakam? ucyate- śabdo na dravyaṃ	aTa dravya-tve kim bADakam? ucyate SabdaH na dravyam
   bahirindriyavyavasthāhetutvādrūpādivat /	bahis-indriya-vyavasTA-hetu-tvAt-rUpa-Adi-vat /
   iti pariśeṣādguṇatvena (96)samavāyi(ya)siddhau	iti pariSezAt-guNa-tvena (96)sama-vAyi(ya)-sidDO
   liṅgagrāhakapramāṇabādhitatvānnāvyavahitasambandhagrāhyatvena	liFga-grAhaka-pramANa-bADita-tvAt-na-avyavahita-sambanDa-grAhya-tvena
   dravyatvasiddhaḥ /	dravya-tva-sidDaH /
   ni cāsiddhena satpratipakṣatvam; asiddhasya hīnabalatvāt /	ni ca-asidDena sat-pratipakza-tvam; asidDasya hIna-bala-tvAt /
   [ku.2.246] nanu śabdastāvada(97)śrotraguṇo naiveti tvayaiva sādhitaṃ	[ku.2.246] nanu SabdaH-tAvat-a(97)Srotra-guNaH na-eva-iti tvayA-eva sADitam
   prabandhena /	prabanDena /
   na ca śrotraguṇaḥ; tena gṛhyamāṇatvāt /	na ca Srotra-guNaH; tena gRhyamANa-tvAt /
   yad yenendriyeṇa gṛhyate, nāsau tasya guṇaḥ; yathā gṛhyamāṇo gandhādiḥ /	yat yena-indriyeNa gRhyate, na-asO tasya guNaH; yaTA gRhyamANaH ganDa-AdiH /
   śrotraṃ vā na svavaguṇagrāhakam indriyatvāt ghrāṇavat iti na	Srotram vA na su-avaguNa-grAhakam indriya-tvAt GrANa-vat iti na
   guṇatvasiddhiriticet- tataḥ kim? na caitadapi;	guNa-tva-sidDiH-iti-cet tatas kim? na ca-etat-api;
   ghrāṇādisamavetagandhādyagrahe svaguṇatvasyāprayojakatvāt /	GrANa-Adi-samaveta-ganDa-Adi-agrahe sva-guNa-tvasya-aprayojaka-tvAt /
   (98)ayogyatvaṃ hi tatropādhiḥ /	(98)a-yogya-tvam hi tatra-upADiH /
   [ku.2.247] anyathā- sukhādirnātmaguṇaḥ tena gṛhyamāṇatvāt rūpādivat /	[ku.2.247] anyaTA suKa-AdiH-na-Atma-guNaH tena gRhyamANa-tvAt rUpa-Adi-vat /
   na vā tena gṛhyate tatsamavetatvādadṛṣṭavat /	na vA tena gRhyate tad-samaveta-tvAt-adRzwa-vat /
