   acidaṃśavyapohena Svs_133a	acit-aMSa-vyapohena Svs_133a
   deśakāladaśābhedād Svs_92a	deSa-kAla-daSA-BedAt Svs_92a
   deśakāladaśābhedād Svs_116a	deSa-kAla-daSA-BedAt Svs_116a
   deśakālādibhedataḥ Svs_85b	deSa-kAla-Adi-BedataH Svs_85b
   dehino 'śakyanihnavāḥ Svs_318b	dehinaH aSakya-nihnavAH Svs_318b
   doṣo 'nyonyasamāśrayaḥ Svs_250b	dozaH anyonya-samASrayaH Svs_250b
   dravyatvād anumīyate Svs_428b	dravya-tvAt anumIyate Svs_428b
   dvitīyagaṇanāyogyo Svs_34a	dvitIya-gaNanA-yogyaH Svs_34a
   dvitīyagrahaṇaṃ yasmāt Svs_14a	dvitIya-grahaNam yasmAt Svs_14a
   dvitīyavastunāstitvaṃ Svs_29a	dvitIya-vastu-nA-astitvam Svs_29a
   dvitīyavāgāspadatāṃ Svs_37a	dvitIya-vAc-Aspada-tAm Svs_37a
   dvitīyaśūnyatā tatra Svs_21a	dvitIya-SUnyatA tatra Svs_21a
   dvitīyasyāvagamyate Svs_15b	dvitIyasya-avagamyate Svs_15b
   dvitīyaṃ yasya naivāsti Svs_17a	dvitIyam yasya na-eva-asti Svs_17a
   dvitīyaṃ siddhyati dhruvam Svs_8b	dvitIyam sidDyati Druvam Svs_8b
   dvitīyena tathā spṛṣṭvā Svs_12a	dvitIyena taTA spRzwvA Svs_12a
   dvitīyena virudhyate Svs_10b	dvitIyena viruDyate Svs_10b
   dvitīye saṃvido 'dvaitaṃ Svs_204a	dvitIye saMvidaH advEtam Svs_204a
   dvitīye saiva tair eva Svs_348a	dvitIye sA-eva tEH eva Svs_348a
   dvaitānarthabhramābhāvāc Svs_121a	dvEta-anarTa-Brama-aBAvAt Svs_121a
   dharmo mithyātvalakṣaṇaḥ Svs_388b	DarmaH miTyAtva-lakzaNaH Svs_388b
   dhībhedāvagrahodayaḥ Svs_173b	DI-Beda-avagraha-udayaH Svs_173b
   na kiṃcid avabhāsate Svs_203b	na kiMcid avaBAsate Svs_203b
   na khalv ekaikasaṃvidā Svs_431b	na Kalu ekEka-saMvidA Svs_431b
   na ca jīvas tayā vinā Svs_229b	na ca jIvaH tayA vinA Svs_229b
   na ca te bhrāntisiddhās te Svs_339a	na ca te BrAnti-sidDAH te Svs_339a
   na ca nānāvidhākāra- Svs_410a	na ca nAnAviDa-AkAra Svs_410a
   na ca prātisvikāvidyā- Svs_331a	na ca prAtisvika-avidyA Svs_331a
   na ca svarūpanānātvāt Svs_195a	na ca svarUpa-nAnA-tvAt Svs_195a
   na cātmārthāvabhāsanam Svs_421b	na ca-Atma-arTa-avaBAsanam Svs_421b
   na cāvidyāvilāsatvād Svs_207a	na ca-avidyA-vilAsa-tvAt Svs_207a
   na ciddharmatvasambhavaḥ Svs_180b	na cit-Darma-tva-samBavaH Svs_180b
   na cec ceṣṭāviśeṣeṇa Svs_321a	na ced cezwA-viSezeNa Svs_321a
   na cet te viphalaḥ śramaḥ Svs_413b	na ced te viPalaH SramaH Svs_413b
   na ced asti sasāmānyaṃ Svs_432a	na ced asti sa-sAmAnyam Svs_432a
   (na caiṣa vyoma)puṣpādi- Svs_253a	(na ca-eza vyoma)-puzpa-Adi Svs_253a
   na caupādhikabhedena Svs_323a	na ca-OpADika-Bedena Svs_323a
   nañā vastv iti cet (na tat) Svs_255b	naQAH vastu iti ced (na tat) Svs_255b
   na tasyām asti bhedadhīḥ Svs_162b	na tasyAm asti Beda-DIH Svs_162b
   na tasyāḥ kvāpi sambhavaḥ Svs_223b	na tasyAH kvApi samBavaH Svs_223b
   na tāvad ghaṭadhīs tasyām Svs_158a	na tAvat Gawa-DIH tasyAm Svs_158a
   na tu tadbhṛtyatatputra- Svs_40a	na tu tad-BRtya-tad-putra Svs_40a
   na tu sā citprakāśanāt Svs_163b	na tu sA cit-prakASanAt Svs_163b
   na deśakālasambandhād Svs_96a	na deSa-kAla-sambanDAt Svs_96a
   na dvitīyo nabhaḥsthale Svs_47b	na dvitIyaH naBaH-sTale Svs_47b
   na nivarteta kenacit Svs_239b	na nivarteta kenacid Svs_239b
   nanu tat pratiṣedhati Svs_2b	nanu tat pratizeDati Svs_2b
   nanu te brahmavidyā sā Svs_298a	nanu te brahma-vidyA sA Svs_298a
   nanu deśādisambandhaḥ Svs_95a	nanu deSa-Adi-sambanDaH Svs_95a
   nanu nañ brahmaṇo 'nyasya Svs_13a	nanu nan brahmaNaH anyasya Svs_13a
   nanu naḥ saṃvido bhinnaṃ Svs_198a	nanu naH saMvidaH Binnam Svs_198a
   nanu nedaṃ aniṣṭaṃ me Svs_283a	nanu na-idam anizwam me Svs_283a
   nanu bhāvād asambhavaḥ Svs_222b	nanu BAvAt asamBavaH Svs_222b
   nanu sattve prapañcasya Svs_74a	nanu sattve prapaQcasya Svs_74a
   nanu saṃvid abhinnaikā Svs_162a	nanu saMvid aBinnA-ekA Svs_162a
   nanu sāpi tadāyattety Svs_247a	nanu sA-api tat-AyattA-iti Svs_247a
   nanv astīti yad uktaṃ kiṃ Svs_396a	nanu asti-iti yat uktam kim Svs_396a
   nanv īdṛśānumānena Svs_271a	nanu IdRSa-anumAnena Svs_271a
   nanv evam asamādhānam Svs_228a	nanu evam asamADAnam Svs_228a
   na padārthāntarānvayaḥ Svs_27b	na padArTa-antara-anvayaH Svs_27b
   na punaḥ pratibaddhatvād Svs_309a	na punar pratibadDa-tvAt Svs_309a
   na pratyakṣo na laiṅgikaḥ Svs_171b	na pratyakzaH na lEFgikaH Svs_171b
   na bādhyate vibhūtitvād Svs_73a	na bADyate viBUti-tvAt Svs_73a
   na bījāṅkuratulyatvaṃ Svs_230a	na bIja-aFkura-tulya-tvam Svs_230a
   na brahma na viśeṣaṇam Svs_29b	na brahma na viSezaNam Svs_29b
   na brahmāsmīti dhīr api Svs_305b	na brahma-asmi-iti DIH api SvH-_305b
   na brūmas tasya bhāsanam Svs_168b	na brUmaH tasya BAsanam Svs_168b
   na muktir nityasiddhatvān Svs_305a	na muktiH nitya-sidDa-tvAn Svs_305a
   narte jīvād avidyā syān Svs_229a	na-Rte jIvAt avidyA syAt Svs_229a
   na vastutvād avastutvād Svs_251a	na vastu-tvAt avastu-tvAt Svs_251a
   na vastu vastudharmo vā Svs_171a	na vastu vastu-DarmaH vA Svs_171a
   na vā kiṃcit kadācana Svs_191b	na vA kiMcid kadAcana Svs_191b
   na vāyuś calituṃ śaktas Svs_63a	na vAyuH calitum SaktaH Svs_63a
   na vedyaṃ vittidharmaḥ syād Svs_411a	na vedyam vitti-DarmaH syAt Svs_411a
   na vyavasthāpakaṃ kiṃcid Svs_119a	na vyavasTApakam kiMcid Svs_119a
   naṣṭāyāṃ vākhilaṃ jagat Svs_159b	nazwAyAm vA-aKilam jagat Svs_159b
   na sataḥ sadvitīyatā Svs_354b	na sataH sa-dvitIya-tA Svs_354b
   na sad ity api yan na tat Svs_385b	na sat iti api yat na tat Svs_385b
   na syāc chabdāntarādivat Svs_235b	na syAt Sabda-antara-Adi-vat Svs_235b
   na syād brahmapadānvayaḥ Svs_20b	na syAt brahma-pada-anvayaH Svs_20b
   na hi jñānād ṛte 'jñānam Svs_221a	na hi jQAnAt Rte ajQAnam Svs_221a
   na hi tasyām ajātāyāṃ Svs_159a	na hi tasyAm ajAtAyAm Svs_159a
   na hi daṇḍiśiraschedād Svs_132a	na hi daNxi-SirasCedAt Svs_132a
   na hi brahmāham asmīti Svs_306a	na hi brahmA-aham asmi-iti Svs_306a
   na hi bhedaḥ svato nāsti Svs_189a	na hi BedaH svatas na-asti Svs_189a
   na hi vahner anuṣṇatvaṃ Svs_428a	na hi vahneH anuzNa-tvam Svs_428a
   nādyaḥ kalpo 'yam añjasā Svs_389b	na-AdyaH kalpaH ayam aQjasA Svs_389b
   nādyāvidyeti codyate Svs_266b	na-adya-avidyA-iti codyate Svs_266b
   nādvaitaśrutibādhitaḥ Svs_31b	na-advEta-Sruti-bADitaH Svs_31b
   nānātvāvagrahabhramaḥ Svs_170b	nAnA-tva-avagraha-BramaH Svs_170b
   nānādṛṣṭāntavistaraiḥ Svs_61b	nAnA-dRzwAnta-vistarEH Svs_61b
   nānumānaṃ pravartate Svs_427b	na-anumAnam pravartate Svs_427b
   nānumānānuvartinaḥ Svs_424b	na-anumAna-anuvartinaH Svs_424b
   nānyo 'rthaḥ saṃvido bhavet Svs_416b	na-anyaH arTaH saMvidaH Bavet Svs_416b
   nāpi kāraṇabhedena Svs_194a	na-api kAraNa-Bedena Svs_194a
   nāpy anyasaṃvit tannāśe Svs_161a	na-api anya-saMvid tad-nASe Svs_161a
   nāpy avastv iti co(ktis te Svs_254a	na-api avastu iti ca-u(ktiH te Svs_254a
   nāpratyakṣaś ca saṃmataḥ Svs_189b	na-apratyakzaH ca saMmataH Svs_189b
   nāśakad dagdhum analas Svs_62a	na-aSakat dagDum analaH Svs_62a
   nāsat pratīter bādhāc ca Svs_385a	na-asat pratIteH bADAt ca Svs_385a
   nāsāv arthāntaras tasmān Svs_420a	na-asO arTa-antaraH tasmAt Svs_420a
   nāsīd asti bhaviṣyati Svs_34b	na-AsIt asti Bavizyati Svs_34b
   nāstitāmātragocare Svs_19b	na-astitA-mAtra-gocare Svs_19b
   nāsti madhye 'pi tat tathā Svs_100b	na-asti maDye api tat taTA Svs_100b
   nāstivyāhārasādhanī Svs_379b	nAstivyAhAra-sADanI Svs_379b
   nāstīti pratyayaḥ katham Svs_74b	na-asti-iti pratyayaH kaTam Svs_74b
   nāstīti pratyayodayāt Svs_80b	na-asti-iti pratyaya-udayAt Svs_80b
   nāstīti śakyate vaktum Svs_160a	na-asti-iti Sakyate vaktum Svs_160a
   nāstīty evaṃvidhā yataḥ Svs_91b	na-asti-iti evaMviDA yatas Svs_91b
   nāsyās tābhyāṃ nivartanam Svs_220b	na-asyAH tAByAm nivartanam Svs_220b
   nityatvamahimādy atha Svs_341b	nitya-tva-mahimA-Adi aTa Svs_341b
   nityasiddhaiva sā yataḥ Svs_284b	nitya-sidDA-eva sA yatas Svs_284b
   nityāyās tadabhāvataḥ Svs_194b	nityAyAH tad-aBAvataH Svs_194b
   nityaiveti na tatphalam Svs_296b	nityA-eva-iti na tad-Palam Svs_296b
   niyāmakaṃ na paśyāmo Svs_242a	niyAmakam na paSyAmaH Svs_242a
   nirupākhyasvabhāvatvāt Svs_210a	nirupAKya-svaBAva-tvAt Svs_210a
   nirṇayaḥ kriyate tatra Svs_88a	nirNayaH kriyate tatra Svs_88a
   nirdeśair eva vaidikaiḥ Svs_401b	nirdeSEH eva vEdikEH Svs_401b
   nirdoṣāpauruṣeyī ca Svs_152a	nirdozA-pOruzeyI ca Svs_152a
   nirdhūtanikhiladvandva- Svs_120a	nirDUta-niKila-dvandva Svs_120a
   nirnimittaḥ prasajyate Svs_197b	nirnimittaH prasajyate Svs_197b
   nirbandhāt tāvakād ṛte Svs_242b	nirbanDAt tAvakAt Rte Svs_242b
   nirvāho lokavedayoḥ Svs_202b	nirvAhaH loka-vedayoH Svs_202b
   nivāraṇaparaṃ vacaḥ Svs_39b	nivAraNa-param vacaH Svs_39b
   niścayābhāvahetutaḥ Svs_78b	niScaya-aBAva-hetutaH Svs_78b
   (niṣidhyate) samastena Svs_255a	(niziDyate) samastena Svs_255a
   niṣidhyante 'tra raśmayaḥ Svs_48b	niziDyante atra raSmayaH Svs_48b
   niḥsīmasukhasāgaraḥ Svs_107b	niHsIma-suKa-sAgaraH Svs_107b
   nīrūpāyā na hi svataḥ Svs_169b	nIrUpAyAH na hi svatas Svs_169b
   nīlam utpalam evedam Svs_147a	nIlam utpalam eva-idam Svs_147a
   nīlādir na prakāśate Svs_200b	nIla-AdiH na prakASate Svs_200b
   nīlādyupaplavāpeta- Svs_433a	nIla-Adi-upaplava-apeta Svs_433a
   nīlimānyakathā na dhīḥ Svs_367b	nIlimAnya-kaTA na DIH Svs_367b
   nīle nīlamatir yādṛg Svs_146a	nIle nIla-matiH yAdRS Svs_146a
   naikā vā tad idaṃ vada Svs_261b	na-ekA vA tat idam vada Svs_261b
   naikyaṃ yāti ghaṭādibhiḥ Svs_415b	na-Ekyam yAti Gawa-AdiBiH Svs_415b
   (naitat taddūṣaṇaṃ yadi) Svs_248b	(na-etat tad-dUzaNam yadi) Svs_248b
   naiva tat tad apohyeta Svs_360a	na-eva tat tat apohyeta Svs_360a
   naiva nimbakaṣāyadhīḥ Svs_369b	na-eva nimba-kazAya-DIH Svs_369b
   naivaṃ ghaṭo hi nābhāti Svs_165a	na-evam GawaH hi na-ABAti Svs_165a
   naivaṃ niṣedho na hy asmād Svs_15a	na-evam nizeDaH na hi asmAt Svs_15a
   paṭatvaṃ vānumanyate Svs_395b	pawa-tvam vA-anumanyate Svs_395b
   paṭād iva ghaṭaḥ svayam Svs_439b	pawAt iva GawaH svayam Svs_439b
   padayor ity apeśalam Svs_115b	padayoH iti apeSalam Svs_115b
   padārthatvān nan bodhakaḥ Svs_384b	padArTa-tvAt nan boDakaH Svs_384b
   padārthas tatra tad brahma Svs_6a	padArTaH tatra tat brahma Svs_6a
   padārthānāṃ tu yā sthitiḥ Svs_408b	padArTAnAm tu yA sTitiH Svs_408b
   parajīvāvibhāgataḥ Svs_127b	para-jIva-aviBAgataH Svs_127b
   paratādātmyagocaram Svs_136b	para-tAdAtmya-gocaram Svs_136b
   paramārthatvasambhavaḥ Svs_174b	paramArTa-tva-samBavaH Svs_174b
   paravārtānabhijñās te Svs_333a	para-vArtA-anaBijQAH te Svs_333a
   parastād ātmavidyayā Svs_280b	parastAt Atma-vidyayA Svs_280b
   parasparavirodhinī Svs_243b	paraspara-viroDinI Svs_243b
   parasparavilakṣaṇāḥ Svs_186b	paraspara-vilakzaNAH Svs_186b
   paro boddhānumīyate Svs_321b	paraH bodDA-anumIyate Svs_321b
   pādādau vedanodaye Svs_325b	pAda-AdO vedanA-udaye Svs_325b
   pādo 'sya viśvā bhūtāni Svs_51a	pAdaH asya viSvA BUtAni Svs_51a
   pāramārthyāvabodhinī Svs_406b	pAramArTya-avaboDinI Svs_406b
   pāramārthye 'pi tenaiva Svs_391a	pAramArTye api tena-eva Svs_391a
   pāvakād visphuliṅgavat Svs_60b	pAvakAt visPuliFga-vat Svs_60b
   punas tad iti vastutā Svs_257b	punar tat iti vastu-tA Svs_257b
   purastād ātmavidyayā Svs_279b	purastAt Atma-vidyayA Svs_279b
   pūrvam eva nirasteti Svs_264a	pUrvam eva nirastA-iti Svs_264a
   pūrvam eva parākṛtā Svs_357b	pUrvam eva parAkRtA Svs_357b
   pūrvasminn uttaras tāvat Svs_5a	pUrvasmin uttaraH tAvat Svs_5a
   pūrvasmin sarvasaṅkaryaṃ Svs_127a	pUrvasmin sarva-saFkaryam Svs_127a
   pūrvoktanītyā bhedaś ca Svs_346a	pUrva-ukta-nItyA BedaH ca Svs_346a
   'py anyeṣām upalambhanāt Svs_161b	api anyezAm upalamBanAt Svs_161b
   prakarṣaś caprakāśaśca Svs_351a	prakarzaH caprakASaH-ca Svs_351a
   prakārākāravattayā Svs_381b	prakAra-AkAravat-tayA Svs_381b
   prakāśamāno nīlādiḥ Svs_201a	prakASamAnaH nIla-AdiH Svs_201a
   pratijñāṃ dūratas tyaja Svs_226b	pratijQAm dUratas tyaja Svs_226b
   pratipadyeta tat katham Svs_37b	pratipadyeta tat kaTam Svs_37b
   pratipramātṛviṣayaṃ Svs_186a	pratipramAtR-vizayam Svs_186a
   pratiprasūtaṃ vyastena Svs_257a	pratiprasUtam vyastena Svs_257a
   pratibhāsaparāhatam Svs_312b	pratiBAsa-parAhatam Svs_312b
   pratiyogini dṛśye tu Svs_361a	pratiyogini dRSye tu Svs_361a
   pratiyogivyapekṣayā Svs_378b	pratiyogi-vyapekzayA Svs_378b
   pratītiḥ śakyanihnavā Svs_410b	pratItiH Sakya-nihnavA Svs_410b
   pratīter eva sat kiṃ na Svs_386a	pratIteH eva sat kim na Svs_386a
   pratyakcit pariśiṣyate Svs_135b	pratyakcit pariSizyate Svs_135b
   pratyaktvenāśrayo brahma- Svs_245a	pratyaktvena-ASrayaH brahma Svs_245a
   pratyakṣa iti yo bhramaḥ Svs_375b	pratyakzaH iti yaH BramaH Svs_375b
   pratyakṣapratipakṣaṃ ca Svs_427a	pratyakza-pratipakzam ca Svs_427a
   pratyakṣasya prapañcasya Svs_382a	pratyakzasya prapaQcasya Svs_382a
   pratyakṣaṃ (?) te tathānyebhyo Svs_320a	pratyakzam (?) te taTA-anyeByaH Svs_320a
   pratyakṣādīni mānāni Svs_365a	pratyakza-AdIni mAnAni Svs_365a
   pratyakṣāder iti mataṃ Svs_71a	pratyakza-AdeH iti matam Svs_71a
   pratyakṣāder utāgamāt Svs_364b	pratyakza-AdeH uta-AgamAt Svs_364b
   pratyakṣānubhavāpāstaṃ Svs_145a	pratyakza-anuBava-apAstam Svs_145a
   pratyakṣeṇa parisphurat Svs_377b	pratyakzeNa parisPurat Svs_377b
   pratyakṣeṇa balīyasā Svs_423b	pratyakzeNa balIyasA Svs_423b
   pratyayādhīnatā na te Svs_232b	pratyaya-aDIna-tA na te Svs_232b
   prathamaṃ yan niṣidhyate Svs_256b	praTamam yat niziDyate Svs_256b
   prapañcaś cidacinmayaḥ Svs_66b	prapaQcaH cit-acit-mayaH Svs_66b
   prapañcasya ca hīyate Svs_403b	prapaQcasya ca hIyate Svs_403b
   prapañcaṃ kecid ūcire Svs_84b	prapaQcam kecid Ucire Svs_84b
   prapañcaṃ sādhayaty anyaḥ Svs_272a	prapaQcam sADayati anyaH Svs_272a
   prapañcaḥ saṃvidātmakaḥ Svs_205b	prapaQcaH saMvid-AtmakaH Svs_205b
   prapañcaḥ sphuṭam añcati Svs_422b	prapaQcaH sPuwam aQcati Svs_422b
   pralapann iva lakṣyase Svs_276b	pralapan iva lakzyase Svs_276b
   pravṛttibhedānumitā Svs_317a	pravRtti-Beda-anumitA Svs_317a
   prasaktaṃ pūrvavat sarvaṃ Svs_23a	prasaktam pUrvavat sarvam Svs_23a
   prasūtivyasanād api Svs_327b	prasUti-vyasanAt api Svs_327b
   prāgatyantāsator iha Svs_103b	prAk-atyanta-asatoH iha Svs_103b
   prāgabhāvādisiddhiḥ syāt Svs_176a	prAc-aBAva-Adi-sidDiH syAt Svs_176a
   prāg eva samadūduṣam Svs_71b	prAk eva sama-dUduzam Svs_71b
   prātibhāsikam ekatvaṃ Svs_312a	prAtiBAsikam eka-tvam Svs_312a
   prādhānyena vivakṣyate Svs_5b	prADAnyena vivakzyate Svs_5b
   prāmāṇyaṃ vyāvahārikam Svs_240b	prAmANyam vyAvahArikam Svs_240b
   prāmāṇye 'py anvayāyogya- Svs_384a	prAmANye api anvayA-yogya Svs_384a
   prāyaṇān narakakleśāt Svs_327a	prAyaNAt naraka-kleSAt Svs_327a
   phale ca phalino 'bhāvān Svs_155a	Pale ca PalinaH aBAvAn Svs_155a
   phenabudbudavipruṣaḥ Svs_46b	Pena-budbuda-vipruzaH Svs_46b
   bandhe sati nirarthakaḥ Svs_139b	banDe sati nirarTakaH Svs_139b
   bahuvrīhir athocyatām Svs_4b	bahuvrIhiH aTa-ucyatAm Svs_4b
   bahuvrīhau samasyati Svs_23b	bahuvrIhO samasyati Svs_23b
   (bādhanam) tena vāgbādhād Svs_143a	(bADanam) tena vAc-bADAt Svs_143a
   bādhān nāsat kuto jagat Svs_386b	bADAn na-asat kutas jagat Svs_386b
   brahmaṇaś cety avasthitam Svs_73b	brahmaNaH ca-iti avasTitam Svs_73b
   brahmaṇaś cen na sarvajñaṃ Svs_231a	brahmaNaH ced na sarvajQam Svs_231a
   brahmaṇaḥ prathamā ye ca Svs_24a	brahmaNaH praTamAH ye ca Svs_24a
   brahmaṇaḥ sadvitīyatā Svs_348b	brahmaNaH sa-dvitIya-tA Svs_348b
   brahmaṇo na viśeṣaṇam Svs_21b	brahmaNaH na viSezaNam Svs_21b
   brahmaṇo 'nyasya sadbhāvaṃ Svs_2a	brahmaNaH anyasya sadBAvam Svs_2a
   brahmaṇo 'py atathābhāvas Svs_402a	brahmaNaH api ataTA-BAvaH Svs_402a
   brahma praty advitīyatvāt Svs_25a	brahma prati advitIya-tvAt Svs_25a
   brahma prāpnoti yasmāt tad Svs_10a	brahma prApnoti yasmAt tat Svs_10a
   brahmabrahmāṇḍakoṭayaḥ Svs_41b	brahma-brahmANxa-kowayaH Svs_41b
   brahmavidyārjanaśramaḥ Svs_286b	brahma-vidyA-arjana-SramaH Svs_286b
   brahmasarvajñabhāvasya Svs_233a	brahma-sarvajQa-BAvasya Svs_233a
   brahmasvarūpam eveṣṭaṃ Svs_342a	brahma-svarUpam eva-izwam Svs_342a
   brahmāṇḍam akhilaṃ jagat Svs_56b	brahmANxam aKilam jagat Svs_56b
   brahmātmanātmalābho 'yaṃ Svs_66a	brahma-AtmanA-Atma-lABaH ayam Svs_66a
   brahmādvaitadhiyā jagat Svs_72b	brahmA-dvEta-DiyA jagat Svs_72b
   brahmānandahradāntastho Svs_154a	brahma-Ananda-hrada-antasTaH Svs_154a
   brahmāpi na viśiṣyate Svs_358b	brahmA-api na viSizyate Svs_358b
   brahmāsmītiti kidṛśī Svs_295b	brahma-asmi-it-iti kidRSI Svs_295b
   brahmeti yāvan nirdiṣṭaṃ Svs_343a	brahma-iti yAvat nirdizwam Svs_343a
   brahmety upaniṣadvacaḥ Svs_1b	brahma-iti upanizad-vacaH Svs_1b
   brahmaupaniṣadaṃ matam Svs_399b	brahma-Opanizadam matam Svs_399b
   bhavet sarvajñasiddhivat Svs_274b	Bavet sarvajQa-sidDi-vat Svs_274b
   bhaven nāpi viśeṣaṇam Svs_30b	Bavet na-api viSezaNam Svs_30b
   bhāti tasmād ṛte 'pi tat Svs_438b	BAti tasmAt Rte api tat Svs_438b
   bhāvānām evam etayoḥ Svs_141b	BAvAnAm evam etayoH Svs_141b
   bhāvinīty apadiśyatām Svs_281b	BAvinI-iti apadiSyatAm Svs_281b
   bhinnābhinnatvasambandha- Svs_144a	Binna-aBinna-tva-sambanDa Svs_144a
   bhinnāv evārkavartinau Svs_351b	BinnO eva-arka-vartinO Svs_351b
   bhūtabhautikabhedānāṃ Svs_363a	BUta-BOtika-BedAnAm Svs_363a
   bhedavyāhārahetuḥ syāt Svs_378a	Beda-vyAhAra-hetuH syAt Svs_378a
   bhedaḥ parasparānātmyaṃ Svs_141a	BedaH paraspara-anAtmyam Svs_141a
   bhedaḥ syāt tvaṃtadarthayoḥ Svs_113b	BedaH syAt tvaMtad-arTayoH Svs_113b
   bhedābhedavikalpayoḥ Svs_142b	Beda-aBeda-vikalpayoH Svs_142b
   bhedābhedavikalpas tu Svs_138a	Beda-aBeda-vikalpaH tu Svs_138a
   bhedābhedādidustarka- Svs_149a	Beda-aBeda-Adi-duH-tarka Svs_149a
   bhedābhedānirūpaṇā Svs_207b	Beda-aBedAnirUpaNA Svs_207b
   bhedāvabhāsagarbhatvād Svs_234a	Beda-avaBAsa-garBa-tvAt Svs_234a
   bhedāvabhāsagarbhāś ca Svs_237a	Beda-avaBAsa-garBAH ca Svs_237a
   bhedetaretarābhāva- Svs_376a	Beda-itara-itara-aBAva Svs_376a
   (bhedo) na kaś cakāstiti Svs_259a	(BedaH-) na kaH cakAstiti Svs_259a
   bhogā na smṛtigocarāḥ Svs_328b	BogAH na smRti-gocarAH Svs_328b
   mataṃ prāg eva dūṣitam Svs_125b	matam prAk eva dUzitam Svs_125b
   (manda) maivaṃ paribhava Svs_423a	(manda) mA-evam pariBava Svs_423a
   māyāvidyādyupādhayaḥ Svs_126b	mAyA-vidyA-Adi-upADayaH Svs_126b
   māyāvidyādyupādhibhiḥ Svs_129b	mAyA-vidyA-Adi-upADiBiH Svs_129b
   mā(yopādhau) pare 'dhyastāḥ Svs_123a	mA(ya-upADO) pare aDyastAH Svs_123a
   mithyātvāl lokavedayoḥ Svs_68b	miTyAtvAt loka-vedayoH Svs_68b
   mithyā vā paramārtho vā Svs_389a	miTyA vA parama-arTaH vA Svs_389a
   mithyendur iva candrataḥ Svs_420b	miTyA-induH iva candrataH Svs_420b
   mīmāṃsakamatena tu Svs_88b	mImAMsaka-matena tu Svs_88b
   muktasyāpi bhayaṃ bhavet Svs_300b	muktasya-api Bayam Bavet Svs_300b
   muktātmā sukham edhate Svs_154b	mukta-AtmA suKam eDate Svs_154b
   muktāmuktādibhedo hi Svs_267a	muktA-muktA-Adi-BedaH hi Svs_267a
   muktir bhūtocyate tadvat Svs_280a	muktiH BUtA-ucyate tadvat Svs_280a
   mukham astīti yatkiṃcit Svs_276a	muKam asti-iti yat-kiMcid Svs_276a
   mūlakāraṇam eva sat Svs_59b	mUla-kAraNam eva sat Svs_59b
   mūlaṃ nāstīti cen na tat Svs_371b	mUlam na-asti-iti ced na tat Svs_371b
   mṛttikālohabījādi- Svs_61a	mRttikA-loha-bIja-Adi Svs_61a
   mṛṣatve 'py aviruddhatā Svs_70b	mRza-tve api avirudDa-tA Svs_70b
   meyamātṛvibhāgadhīḥ Svs_323b	meya-mAtR-viBAga-DIH Svs_323b
   meror ivāṇur yasyedaṃ Svs_56a	meroH iva-aNuH yasya-idam Svs_56a
   mokṣasyāpuruṣārthatā Svs_155b	mokzasya-apuruzArTa-tA Svs_155b
   yataḥ padapadārthādi Svs_203a	yatas pada-padArTa-Adi Svs_203a
   yataḥ sā kāraṇābhāvād Svs_308a	yatas sA kAraNa-aBAvAt Svs_308a
   yato 'khilaṃ jagad vyāptaṃ Svs_224a	yatas aKilam jagat vyAptam Svs_224a
   yato naḥ pratibhāsante Svs_313a	yatas naH pratiBAsante Svs_313a
   yato nānā prasajyate Svs_206b	yatas nAnA prasajyate Svs_206b
   yato 'sya vibhavavyūha- Svs_36a	yatas asya viBava-vyUha Svs_36a
   yat punar brahmavidyātas Svs_269a	yat punar brahma-vidyAtaH Svs_269a
   yatrānyan na vijānāti Svs_54a	yatra-anyat na vijAnAti Svs_54a
   yathāgrataḥ sthite nīle Svs_367a	yaTA-agratas sTite nIle Svs_367a
   yathā ca svāpnamuktyukti- Svs_277a	yaTA ca svApna-m-ukti-ukti Svs_277a
   yathā colanṛpaḥ samrāḍ Svs_38a	yaTA cola-nRpaH samrAj Svs_38a
   yathā tatra śiraḥpāṇi- Svs_325a	yaTA tatra SiraH-pANi Svs_325a
   yathā tad eva hastastham Svs_290a	yaTA tat eva hasta-sTam Svs_290a
   yathā tanmātradhīr nānā Svs_379a	yaTA tanmAtra-DIH nAnA Svs_379a
   yathā teṣām abhūtaiva Svs_279a	yaTA tezAm aBUta-eva Svs_279a
   yathānumeyād vahnyāder Svs_319a	yaTA-anumeyAt vahni-AdeH Svs_319a
   yathā pradhānasaṅkhyeya- Svs_49a	yaTA praDAna-saFKyeya Svs_49a
   yathārthās tādṛśī na kim Svs_237b	yaTArTAH tAdRSI na kim Svs_237b
   yathāvat sthāyibhir bāhyair Svs_415a	yaTAvat sTAyiBiH bAhyEH Svs_415a
   yathā viditasaṃyoga- Svs_148a	yaTA vidita-saMyoga Svs_148a
   yathā śabdāntarābhyāsa- Svs_236a	yaTA Sabda-antara-aByAsa Svs_236a
   yathaika eva savitā Svs_47a	yaTA-ekaH eva savitA Svs_47a
   yathaikatra ṣaḍaṅgule Svs_380b	yaTA-ekatra zaz-aFgule Svs_380b
   yadabhāvādirūpiṇī Svs_218b	yad-aBAva-Adi-rUpiNI Svs_218b
   yadā tadā tadāyatto Svs_173a	yadA tadA tad-AyattaH Svs_173a
   yadi sarvagatā nityā Svs_190a	yadi sarva-gatAH nityA Svs_190a
   yadi svarūpasaṃvit sā Svs_296a	yadi svarUpa-saMvid sA Svs_296a
   yad etad aparādhīna- Svs_417a	yat etat apara-aDIna Svs_417a
