   // namaḥ sarvajñāya //	// namaH sarvajQAya //
   kṛtaṃ vā kurvaṃti vā sarve te 'vinivartanīyā bhaviṣyaṃty anuttarāyāṃ	kRtam vA kurvaMti vA sarve te avinivartanIyA BavizyaMti anuttarAyAm
   samyaksaṃbodhau(6) tatra ca buddhakṣetra upapatsyaṃty upapannā	samyaksaMboDO(6) tatra ca budDa-kzetre upapatsyaMti upapannA
   vopapadyaṃti vā	vA-upapadyaMti vA
   tasmāt tarhi śāriputra śrāddhaiḥ kulaputraiḥ kuladuhitṛbhiś ca tatra	tasmAt tarhi SAriputra SrAdDEH kula-putrEH kula-duhitRBiH ca tatra
   buddhakṣetre	budDa-kzetre
   cittapraṇidhir utpādayitavyaḥ //17//	citta-praNiDiH utpAdayitavyaH //17//
   tadyathāpi nāma śāriputrāham etarhi teṣāṃ buddhānāṃ bhagavatām	tat-yaTA-api nAma SAriputra-aham etarhi tezAm budDAnAm BagavatAm
   evamaciṃtyaguṇān	evam-aciMti-aguNAn
   parikīrtayāmi evam eva śāriputra mamāpi te buddhā	parikIrtayAmi evam eva SAriputra mama-api te budDA
   bhagavaṃta evamaciṃtyaguṇān parikīrtayaṃti / suduṣkaraṃ bhagavatā	BagavaMtaH evam-aciMti-aguNAn parikIrtayaMti / su-duzkaram BagavatA
   śākyamuninā	SAkya-muninA
   śākyādhirājena kṛtaṃ / sahāyāṃ lokadhātāv anuttarāṃ	SAkya-aDirAjena kRtam / sahAyAm loka-DAtO anuttarAm
   samyaksaṃbodhim abhisaṃbudhya sarvalokavipratyayanīyo dharmo deśitaḥ	samyaksaMboDim aBisaMbuDya sarva-loka-vipratyayanIyaH DarmaH deSitaH
   kalpakaṣāye sattvakaṣāye dṛṣṭikaṣāya āyuṣkaṣāye kleśakaṣāye //18//	kalpa-kazAye sattva-kazAye dRzwi-kazAyaH AyuzkazAye kleSa-kazAye //18//
   tan mamāpi śāriputra paramaduṣkaraṃ yan mayā sahāyāṃ lokadhātāv	tat mama-api SAriputra parama-duzkaram yat mayA sahAyAm lokaDAtO=-
   anuttarāṃ samyaksaṃbodhim abhisaṃbudhya sarvalokavipratyayanīyo dharmo	anuttarAm samyaksaMboDim aBisaMbuDya sarva-loka-vipratyayanIyaH DarmaH-
   deśitaḥ sattvakaṣāye dṛṣṭikaṣāye kleśakaṣāya āyuṣkaṣāye kalpakaṣāye	deSitaH sattva-kazAye dRzwi-kazAye kleSa-kazAyaH AyuzkazAye kalpa-kazAye
   P--O.100:J.210	P--O.100:J.210
   idam avocad bhagavān āttamanāḥ /(7) āyuṣmāñ śāriputras te ca bhikṣavas	idam avocat BagavAn Atta-manAH /(7) AyuzmAn SAriputraH te ca Bikzavas
   te ca bodhisattvāḥ sadevamānuṣāsuragaṃdharvaś ca loko bhagavato	te ca boDisattvAH sa-deva-mAnuza-asura-gaMDarvaH ca lokaH BagavataH-
   bhāsitam abhyanaṃdan //20//	BAsitam aByanaMdan //20//
   // sukhāvatīvyūho nāma mahāyānasūtraṃ //	// suKAvatI-vyUhaH nAma mahAyAna-sUtram //
