   Pañcaviṃśatisāhasrikā Prajñāpāramitā	PaQcaviMSati-sAhasrikA PrajQApAramitA
   lokadhātavas tena prākṣipat taiś ca padmais te lokadhātavaḥ sphuṭā	lokaDAtavaH tena prAkzipat tEH ca padmEH te lokaDAtavaH sPuwA
   abhūvan* teṣu ca padmeṣu buddhavigrahā niṣaṇṇakās teṣu buddhakṣetreṣu	aBUvan* tezu ca padmezu budDa-vigrahAH nizaNNakAH tezu budDa-kzetrezu
   dharman deśayanti sma yad utemam eva prajñāpāramitāpratisaṃyuktaṃ yaiś ca	Darman deSayanti sma yat uta-imam eva prajQApAramitA-pratisaMyuktam yEH ca
   satvais sa dharmaś śrutas te sarve niyatā abhūvann anuttarāyāṃ	satvEH sa DarmaH SrutaH te sarve niyatAH aBUvan anuttarAyAm
   samyaksambodhau // atha khalu ye te bodhisatvā mahāsatvā gṛhasthāḥ	samyaksamboDO // aTa Kalu ye te boDisatvAH mahAsatvAH gRhasTAH
   pravrajitāś ca dārakā dārikāś ca tato ratnāvatyā lokadhātos samantaraśminā	pravrajitAH ca dArakAH dArikAH ca tatas ratnAvatyAH lokaDAtoH samantaraSminA
   bodhisatvena mahāsatvena sārdham āyātās te svakasvakaiḥ kuśalamūlair	boDisatvena mahAsatvena sArDam AyAtAH te sva-ka-svakEH kuSala-mUlEH-
   bhagavantaṃ śākyamuniṃ satkṛtya gurukṛtya saṃmānya saṃpūjya pādau	Bagavantam SAkya-munim satkRtya gurukRtya saMmAnya saMpUjya pAdO
   śirasābhivandyaikānte nyasīdan* ekāntaniṣannāś ca te gṛhasthās te ca	SirasA-aBivandya-ekAnte nyasIdan* ekAnta-nizannAH ca te gRhasTAH te ca
   pravrajitās te ca dārakās tāś ca dārikā bhagavantaṃ śākyamunin tathāgatam	pravrajitAH te ca dArakAH tAH ca dArikA Bagavantam SAkyamunin taTAgatam
   etad avocan* ratnākaro bhagavāṃs tathāgataḥ bhagavato 'lpabādhātāṃ	etat avocan* ratna-AkaraH BagavAn taTAgataH BagavataH alpa-bADAtAm
   paripṛcchaty alpātaṃkatāṃ laghusamutthānatāṃ yātrāṃ balaṃ	paripRcCati alpAtaMka-tAm laGu-samutTAna-tAm yAtrAm balam
   sukhasparśavihāratāñ ca paripṛcchati imāni ca tena bhagavatā ratnākareṇa	suKa-sparSa-vihAra-tAn ca paripRcCati imAni ca tena BagavatA ratna-AkareNa
   tathāgatena padmāni preṣitāni bhagavataḥ atha khalu bhagavāñ cchākyamunis	taTAgatena padmAni prezitAni BagavataH aTa Kalu BagavAn cSAkya-muni-s
   tathāgatas tāni padmā (PvSPL kham_a) manasikārād evaṃ hi śāriputra	taTAgataH tAni padmA (PvSPL Kam_a) manasikArAt evam hi SAriputra
   bodhisatvo mahāsatvaḥ prajñāpāramitāyāñ caran	boDisatvaH mahAsatvaH prajQApAramitAyAn caran
   pūrvanivāsānusmṛtyabhijñājñānasākṣātkriyā dānam abhinirharati sa divyena	pUrva-nivAsa-anusmRti-aBijQA-jQAna-sAkzAtkriyA dAnam aBinirharati sa divyena
   cakṣuṣā viśuddhenātikrāntamānuṣyakeṇa satvān paśyati cyavamānān	cakzuzA viSudDena-atikrAnta-mAnuzyakeNa satvAn paSyati cyavamAnAn
   upapadyamānān suvarṇān durvarṇān hīnān praṇītān sugatān durgatān	upapadyamAnAn suvarNAn durvarNAn hInAn praNItAn sugatAn durgatAn
   yathākarmopagān satvān yathābhūtaṃ prajānāty amī bhavantas satvāḥ	yaTA-karma-upagAn satvAn yaTABUtam prajAnAti amI BavantaH satvAH
   kāyaduścaritena samanvāgatā vāgduścaritena samanvāgatā manoduścaritena	kAya-duScaritena samanvAgatAH vAc-duScaritena samanvAgatAH manaH-duScaritena
   samanvāgatā āryāṇām apavādakā mithyādṛṣṭayas te	samanvAgatAH AryANAm apavAdakAH miTyA-dRzwayaH te
   mithyādṛṣṭikarmasamādānahetoḥ kāyasya bhedāt paraṃ maraṇād	miTyA-dRzwi-karma-sama-AdAna-hetoH kAyasya BedAt param maraNAt-
   apāyadurgativinipātan narakeṣūpapadyante amī punar bhavantas satvāḥ	apAya-durgati-vinipAtan narakezu-upapadyante amI punar BavantaH satvAH
   kāyasucaritena samanvāgatā vāksucaritena manaḥsucaritena samanvāgatā	kAya-su-caritena samanvAgatA vAc-su-caritena manaH-su-caritena samanvAgatA
   āryāṇām anapavādakās samyagdṛṣṭikās te samyagdṛṣṭikarmasamādānahetoḥ	AryANAm anapavAdakAH samyak-dRzwikAH te samyak-dRzwi-karma-samAdAna-hetoH
   kāyasya bhedāt paraṃ maraṇāt sugatau svargaloka upapadyanta iti divyena	kAyasya BedAt param maraNAt sugatO svarga-loke upapadyante iti divyena
   cakṣuṣā viśuddhenātikrāntamānuṣyakeṇa daśa diśi loke ākāśadhātuparyavasāne	cakzuzA viSudDena-atikrAnta-mAnuzyakeNa daSa diSi loke AkASa-DAtu-paryavasAne
   sarvalokadhātuṣu ṣaḍgatikānāṃ satvānāñ cyutopapādaṃ yathābhūtaṃ prajānāti	sarva-loka-DAtuzu zaxgatikAnAm satvAnAn cyuta-upapAdam yaTABUtam prajAnAti
   tena ca divyena cakṣuṣā na manyate tathā hi tac cakṣur acakṣur acintyatām	tena ca divyena cakzuzA na manyate taTA hi tat cakzuH acakzuH acintyatAm
   upādāya yo 'haṃ paśyāmīti na manyate sa tad eva cakṣur nopalabhate	upAdAya yaH aham paSyAmi-iti na manyate sa tat eva cakzuH na-upalaBate
   svabhāvaśūnyatām upādāya svabhāvaviviktatām upādāya svabhāvānutpattikām	svaBAva-SUnyatAm upAdAya svaBAva-vivikta-tAm upAdAya svaBAva-anutpattikAm
   upādāya sa divyacakṣuścetanām api notpādayati na	upAdAya sa divya-cakzuH-cetanAm api na-utpAdayati na
   divyacakṣurabhinirhāracetanām anyatra sarvākārajñatāmanasikārād evaṃ hi	divya-cakzuH-aBinirhAra-cetanAm anyatra sarva-AkAra-jQa-tA-manasikArAt evam hi
   śāriputra bodhisatvo mahāsatvaḥ prajñāpāramitāyāñ caran	SAriputra boDisatvaH mahAsatvaH prajQApAramitAyAn caran
   divyacakṣurabhijñāsākṣātkriyājñānam abhinirharati sa	divya-cakzuH-aBijQA-sAkzAt-kriyA-jQAnam aBinirharati sa
   āsravakṣayābhijñāsākṣātkriyājñānam abhinirharati na śrāvakabhūmiṃ vā	Asrava-kzaya-aBijQA-sAkzAt-kriyA-jQAnam aBinirharati na SrAvaka-BUmim vA
   pratyekabuddhabhūmiṃ vā patati nāpy anyaṅ kañcid dharmam āśaṃsamāno	pratyekabudDa-BUmim vA patati na-api anyaF kaQcid Darmam ASaMsamAnaH-
   'nyatrānuttarāṃ samyaksambodhim abhisambhotsyata iti sa tayā	anyatra-anuttarAm samyaksamboDim aBisamBotsyate iti sa tayA
   āsravakṣayasākṣātkriyābhijñājñānābhinirhārakuśalatayā na manyate tathā hi	Asrava-kzaya-sAkzAt-kriyA-aBijQA-jQAna-aBinirhAra-kuSala-tayA na manyate taTA hi
   taj jñānam ajñānam acintyatām upādāya so 'haṃ prajānāmīti na manyate sa	tat jQAnam ajQAnam acintyatAm upAdAya saH aham prajAnAmi-iti na manyate sa
   tad eva jñānan nopalabhate svabhāvaśūnyatām upādāya svabhāvaviviktatām	tat eva jQAnan na-upalaBate svaBAva-SUnyatAm upAdAya svaBAva-vivikta-tAm
   upādāya svabhāvopalabdhitām upādāya āsravakṣayajñānacetanām api notādayati	upAdAya svaBAva-upalabDi-tAm upAdAya Asrava-kzaya-jQAna-cetanAm api na-utAdayati
   nāsravakṣayasākṣātkriyābhijñājñānabhinirhāracetanām anyatra	na-Asrava-kzaya-sAkzAt-kriyA-aBijQA-jQA-anaBinirhAra-cetanAm anyatra
   sarvākārajñatāmanasikārād evaṃ hi śāriputra bodhisatvo mahāsatvaḥ	sarva-AkAra-jQa-tA-manasikArAt evam hi SAriputra boDisatvaH mahAsatvaH
   prajñāpāramitāyāñ caran nāśravakṣayasākṣātkriyābhijñājñānam abhinirharaty	prajQApAramitAyAn caran na-ASrava-kzaya-sAkzAt-kriyA-aBijQA-jQAnam aBinirharati-
   evaṃ punaś śāriputra bodhisatvasya mahāsatvasya prajñāpāramitāyāñ carataṣ	evam punar SAriputra boDisatvasya mahAsatvasya prajQApAramitAyAn carataz
   ṣaḍabhijnāḥ paripūrayante pariśuddhyanti cābhijñāḥ pariśuddhās	zaxaBijnAH paripUrayante pariSudDyanti ca-aBijQAH pariSudDA-as
   sarvākārajñatām asaṃyanti // santi śāriputra bodhisatvā mahāsatvā ye	sarva-AkAra-jQa-tAm asaMyanti // santi SAriputra boDisatvAH mahAsatvAH ye
   prajñāpāramitāyāñ caranto dānapāramitāyāṃ sthitvā sarvākārajñatāpanthānañ	prajQApAramitAyAn carantaH dAna-pAramitAyAm sTitvA sarva-AkAra-jQa-tA-panTAnaQ
   śodhanyanti atyantaśūnyatayā (PvSPL kham_b) anavagṛhītatām upādāya //	SoDanyanti atyanta-SUnya-tayA (PvSPL Kam_b) anavagRhIta-tAm upAdAya //
   santi śāriputra bodhisatvā mahāsatvā ye prajñāpāramitāyāñ carantaś	santi SAriputra boDisatvAH mahAsatvAH ye prajQApAramitAyAn carantaS
   śīlapāramitāyāṃ sthitvā sarvākārajñatāpanthānañ śodhayanti	SIla-pAramitAyAm sTitvA sarva-AkAra-jQa-tA-panTAnan SoDayanti
   atyantaśūnyatayā anaddhyāpattitām upādāya // santi śāriputra bodhisatvā	atyanta-SUnya-tayA anadDi-Apatti-tAm upAdAya // santi SAriputra boDisatvA
   mahāsatvā ye prajñāpāramitāyāñ carantaḥ kṣāntipāramitāyāṃ sthitvā	mahAsatvAH ye prajQApAramitAyAn carantaH kzAnti-pAramitAyAm sTitvA
   sarvākārajñatāpanthānañ śodhayanti atyantaśūnyatayā akṣobhaṇatām upādāya	sarva-AkAra-jQa-tA-panTAnan SoDayanti atyanta-SUnya-tayA akzoBaNa-tAm upAdAya
   // santi śāriputra bodhisatvā mahāsatvā ye prajñāpāramitāyāñ caranto	// santi SAriputra boDisatvAH mahAsatvAH ye prajQApAramitAyAn carantaH-
   vīryapāramitāyāṃ sthitvā sarvākārajñatāpanthānañ śodhayanti	vIrya-pAramitAyAm sTitvA sarva-AkAra-jQa-tA-panTAnan SoDayanti
   atyantaśūnyatayā kāyikacaitasikavīryāsraṃsanatām upādāya // santi	atyanta-SUnya-tayA kAyika-cEtasika-vIrya-AsraMsana-tAm upAdAya // santi
   śāriputra bodhisatvā mahāsatvā ye prajñāpāramitāyāñ caranto	SAriputra boDisatvAH mahAsatvAH ye prajQApAramitAyAn carantaH-
   dhyānapāramitāyāṃ sthitvā sarvākārajñatāpanthānañ śodhayanti	DyAna-pAramitAyAm sTitvA sarva-AkAra-jQa-tA-panTAnan SoDayanti
   atyantaśūnyatayā avikṣiptacittām upādāya // santi śāriputrā bodhisatvā	atyanta-SUnya-tayA avikzipta-cittAm upAdAya // santi SAriputrA boDisatvA
   mahāsatvā ye prajñāpāramitāyāñ carantas sarvākārajñatāpanthānañ śodhayanti	mahAsatvAH ye prajQApAramitAyAn carantaH sarva-AkAra-jQa-tA-panTAnan SoDayanti
   dauṣprajñyacittaparivarjanatām upādāya evaṅ khalu śāriputra bodhisatvā	dOzprajQya-citta-parivarjana-tAm upAdAya evaF Kalu SAriputra boDisatvA
   mahāsatvāṣ ṣaṭsu pāramitāsu sthitvā sarvākārajñatāpanthānañ śodhayanti	mahAsatvAH zawsu pAramitAsu sTitvA sarva-AkAra-jQa-tA-panTAnan SoDayanti
   atyantaśūnyatayā agamanānāgamanatām upādāyāparigrahatām upādāya tat kasya	atyanta-SUnya-tayA agamana-anAgamana-tAm upAdAya-aparigraha-tAm upAdAya tat kasya
   hetor dānam āgraham upādāya prajñapyate śīlan dauḥśīlyatām upādāya kṣāntir	hetoH dAnam Agraham upAdAya prajQapyate SIlan dOHSIlya-tAm upAdAya kzAntiH-
   akṣāntim upādāya vīryaṅ kausīdyam upādāya samādhir asamāhitatām upādāya	akzAntim upAdAya vIryaF kOsIdyam upAdAya samADiH asamAhita-tAm upAdAya
   prajñā dauṣprajñyam upādāya prajñapyate sa tīrṇa iti na manyate atīrṇa iti	prajQA dOzprajQyam upAdAya prajQapyate sa tIrNaH iti na manyate atIrNaH iti
   na manyate dānaṃ mātsaryam iti na manyate śīlan dauḥśīlyam iti kṣāntiḥ	na manyate dAnam mAtsaryam iti na manyate SIlan dOHSIlyam iti kzAntiH
   kṣobha iti vīryaṃ kausīdyam iti samādhir asamāhitateti prajñā	kzoBaH iti vIryam kOsIdyam iti samADiH asamAhita-tA-iti prajQA
   duṣprajñateti na manyate vindako 'ham iti na manyate satkṛta iti na	duzprajQa-tA-iti na manyate vindakaH aham iti na manyate satkRtaH iti na
   manyate asatkṛta iti na manyate tat kasya hetor na hi śāriputrānutpāda	manyate asatkRtaH iti na manyate tat kasya hetoH na hi SAriputrAn-utpAda
   ākṛṣṭo 'ham iti manyate na vandito 'ham iti na satkṛto 'ham iti nāsatkṛto	AkRzwaH aham iti manyate na vanditaH aham iti na satkRtaH aham iti na-asatkRtaH-
   'ham iti manyate tat kasya hetos tathā hi prajñāpāramitā sarvamanyanās	aham iti manyate tat kasya hetoH taTA hi prajQApAramitA sarvam-anyanAH-
   samucchinattīha śāriputra prajñāpāramitāyāñ carato bodhisatvasya	samucCinatti-iha SAriputra prajQApAramitAyAn carataH boDisatvasya
   mahāsatvasya ye guṇā bhavanti na te śrāvakapratyekabuddhānāṃ saṃvidyante	mahAsatvasya ye guNAH Bavanti na te SrAvaka-pratyekabudDAnAm saMvidyante
   // imān guṇān paripūrayan satvānś ca paribhāvayati buddhakṣetrāñ ca	// imAn guNAn paripUrayan satvAnH ca pariBAvayati budDa-kzetrAn ca
   pariśodhayati sarvākārajñatāñ cānuprāpnoti // punar aparañ śāriputra	pariSoDayati sarva-AkAra-jQa-tAn ca-anuprApnoti // punar aparan SAriputra
   bodhisatvo mahāsatvaḥ prajñāpāramitāyāñ caran sarvasatvānām antike	boDisatvaH mahAsatvaH prajQApAramitAyAn caran sarva-satvAnAm antike
   samacittatām utpādayati sarvasatvānām antike samacittatām utpādya	sama-citta-tAm utpAdayati sarva-satvAnAm antike sama-citta-tAm utpAdya
   sarvadharmasamatāṃ pratilabhate sarvadharmasamatāṃ pratilabhya tasyāṃ	sarva-Darma-sama-tAm pratilaBate sarva-Darma-sama-tAm pratilaBya tasyAm
   sarvadharmasamatāyāṃ sarvasatvān pratiṣṭhāpayati sa dṛṣṭa eva dharme	sarva-Darma-samatAyAm sarva-satvAn pratizWApayati sa dRzwaH eva Darme
   buddhānāṃ bhagavatāṃ priyo bhavati manaāpaś ca sarvabodhisatvānāṃ	budDAnAm BagavatAm priyaH Bavati manaApaH ca sarva-boDisatvAnAm
   sarvaśrāvakāṇāṃ sarvapratyekabuddhānāñ ca priyo bhavati manaāpaś ca sa	sarva-SrAvakANAm sarva-pratyekabudDAnAn ca priyaH Bavati manaApaH ca sa
   yatra (PvSPL khaḥ_a) yatropapadyate tatra tatra na jātu cakṣuṣāmanaāpāni	yatra (PvSPL KaH_a) yatra-upapadyate tatra tatra na jAtu cakzuzAm-anaApAni
   rūpāṇi paśyati na śrotreṇāmanaāpāñ cchabdāñ cchṛṇoti na ghrāṇenāmanaāpān	rUpANi paSyati na SrotreNa-Am-anaApAn cSabdAn cSRNoti na GrANena-Am-anaApAn
   gandhāñ jighrati na jihvayāmanaāpān rasān āsvādayati na kāyenāmanaāpān	ganDAn jiGrati na jihvayAm-anaApAn rasAn AsvAdayati na kAyena-Am-anaApAn
   sparśān spṛśati na manasāmanaāpān dharmān vijānāti na ca parihīyate	sparSAn spRSati na manasAm-anaApAn DarmAn vijAnAti na ca parihIyate
   sarvakārajñatāyāḥ // asmin khalu punaḥ prajñāpāramitānirdeśe nirdiśyamāne	sarva-kAra-jQa-tAyAH // asmin Kalu punar prajQApAramitA-nirdeSe nirdiSyamAne
   tataḥ parṣadas trīṇi bhikṣuśatāni bhagavantaṃ yathāprāvṛtaiś cīvarair	tatas parzadaH trINi Bikzu-SatAni Bagavantam yaTA-prAvRtEH cIvarEH-
   abhicchādayāmāsur anuttarāyāñ ca samyaksambodhau cittāny utpādayāmāsuḥ //	aBicCAdayAmAsuH anuttarAyAn ca samyaksamboDO cittAni utpAdayAmAsuH //
   atha khalu bhagavān smitam akarot* // atha khalv āyuṣmān ānanda	aTa Kalu BagavAn smitam akarot* // aTa Kalu AyuzmAn Ananda
   utthāyāsanād ekāṃsam uttarāsaṅgaṃ kṛtvā dakṣiṇañ jānumaṇḍalaṃ pṛthivyāṃ	utTAya-AsanAt eka-aMsam uttarAsaFgam kRtvA dakziNan jAnu-maNxalam pRTivyAm
   pratisthāpya yena bhagavāṃs tenāñjaliṃ praṇamya bhagavantam etad avocat ko	pratisTApya yena BagavAn tena-aQjalim praNamya Bagavantam etat avocat kaH-
   bhagavan hetuḥ kaḥ pratyayaḥ smitasya prāviṣkaraṇāya nāhetukān nāpratyayaṃ	Bagavan hetuH kaH pratyayaH smitasya prAvizkaraNAya na-ahetukAn na-apratyayam
   buddhā bhagavanta smitaṃ prāviṣkurvanti // bhagavān āha etāny ānanda trīṇi	budDAH Bagavanta smitam prAvizkurvanti // BagavAn Aha etAni Ananda trINi
   bhikṣuśatāny ekaṣaṣṭitame kalpe mahāketunāmānas tathāgatā arhantas	Bikzu-SatAni eka-zazwitame kalpe mahA-ketu-nAmAnaH taTAgatAH arhantas
   samyaksambuddhā loka utpatsyante tārakopame kalpe itaś cyutās santaḥ	samyaksambudDAH loke utpatsyante tAraka-upame kalpe itas cyutAH santaH
   akṣobḥyasya tathāgatasyārhatas samyaksambuddhasya buddhakṣetra	akzobHyasya taTAgatasya-arhataH samyaksambudDasya budDa-kzetra
   upapatsyante abhiratyāṃ lokadhātau ṣaṣṭiś ca devaputrasahasrāś cāsyāṃ	upapatsyante aBiratyAm lokaDAtO zazwiH ca deva-putra-sahasrAH ca-asyAm
   parṣady anayā dharmadeśanayā paripācitāni maitreyasya tathāgatasyārhatas	parzadI anayA Darma-deSanayA paripAcitAni mEtreyasya taTAgatasya-arhatas
   samyaksambuddhasyāntike parinirvāsyanti // atha khalu tasyāṃ velāyāṃ	samyaksambudDasya-antike parinirvAsyanti // aTa Kalu tasyAm velAyAm
   bhagavataś śākyamuneḥ parṣanmaṇḍalāc catasraḥ parṣado bhagavato 'nubhāvena	BagavataH SAkyamuneH parzad-maNxalAt catasraH parzadaH BagavataH anuBAvena
   pūrvasyān diśi buddhasahasraṃ paśyanti sma mahatā buddhakṣetraguṇavyūhān	pUrvasyAn diSi budDa-sahasram paSyanti sma mahatA budDa-kzetra-guNa-vyUhAn
   evan dakṣiṇasyān diśi paścimāyām uttarasyām uttarapūrvāyāṃ pūrvadakṣiṇāyān	evan dakziNasyAn diSi paScimAyAm uttarasyAm uttara-pUrvAyAm pUrva-dakziNAyAn
   dakṣiṇapaścimāyāṃ paścimottarāyām adha-ūrdhvam ekaikasyān diśi	dakziNa-paScimAyAm paScima-uttarAyAm aDa-u-UrDvam ekEkasyAn diSi
   buddhasahasraṃ buddhasahasraṃ paśyanti sma mahatā buddhakṣetraguṇavyūhena	budDa-sahasram budDa-sahasram paSyanti sma mahatA budDa-kzetra-guNa-vyUhena
   na ceha sahāyāṃ lokadhātau tān buddhakṣetraguṇavyūhān paśyanti yān daśasu	na ca-iha sahAyAm lokaDAtO tAn budDa-kzetra-guNa-vyUhAn paSyanti yAn daSasu
   dikṣu teṣāṃ buddhānāṃ bhagavatām // atha khalu bhagavataś śākyamuneḥ	dikzu tezAm budDAnAm BagavatAm // aTa Kalu BagavataH SAkyamuneH
   parṣanmaṇḍalād daśabhiḥ prāṇisahasraiḥ praṇidhānāni kṛtāni vayaṃ bhagavaṃs	parzad-maNxalAt daSaBiH prANi-sahasrEH praNiDAnAni kRtAni vayam Bagavan=-
   tāni puṇyāni kariṣyāmo yaiḥ puṇyair eteṣu buddhakṣetreṣūpapatsyāmahaṃ iti	tAni puNyAni karizyAmaH yEH puNyEH etezu budDa-kzetrezu-upapatsyAm-aham iti
   // atha khalu bhagavāṃs teṣāṃ kulaputrāṇām āśayaṃ viditvā tasyāṃ velāyāṃ	// aTa Kalu BagavAn tezAm kula-putrANAm ASayam viditvA tasyAm velAyAm
   smitam akarot* ānanda āha ko bhagavan hetuḥ kaḥ pratyayas smitasya	smitam akarot* AnandaH Aha kaH Bagavan hetuH kaH pratyayaH smitasya
   prāviṣkaraṇāya nāhetukan nāpratyayaṃ buddhā bhagavantaḥ smitam	prAvizkaraNAya na-ahetukan na-apratyayam budDAH BagavantaH smitam
   āviṣkurvanti // bhagavān āha paśyasi tvam ānandemāni daśa prāṇisahasrāṇi	Avizkurvanti // BagavAn Aha paSyasi tvam Ananda-imAni daSa prANi-sahasrANi
   ānanda āha paśyāmi bhagavan bhagavān āha etāny ānanda daśa	AnandaH Aha paSyAmi Bagavan BagavAn Aha etAni Ananda daSa
   prāṇisahasrāṇītaś cyutāni daśasu dikṣv eteṣu buddhakṣetreṣūpapatsyante na	prANi-sahasrANi-itas cyutAni daSasu dikzu etezu budDa-kzetrezu-upapatsyante na
   ca kadācit tathāgatavirahitā bhaviṣyanti tataḥ paścād vyūharājanāmānas	ca kadAcid taTAgata-virahitAH Bavizyanti tatas paScAt vyUha-rAja-nAmAnas
   tathāgatā arhantas samyaksaṃbuddhā loka utpatsyante // atha khalu āyuṣmāñ	taTAgatAH arhantaH samyaksaMbudDAH loke utpatsyante // aTa Kalu AyuzmAn-
   cchāriputra (PvSPL khaḥ_b) āyuṣmāñ ca mahāmaudgalyāyana āyuṣmāñ ca	cCAriputra (PvSPL KaH_b) AyuzmAn ca mahAmOdgalyAyanaH AyuzmAn ca
   subhūtir āyuṣmāñ ca pūrṇo maitrāyaṇīputra āyuṣmāñ ca mahākāśyapa ete cānye	suBUtiH AyuzmAn ca pUrNaH mEtrAyaNI-putraH AyuzmAn ca mahAkASyape ete ca-anye
   ca sambahulā abhijñātābhijñātā bhikṣavo bodhisatvāś ca mahāsatvā	ca sambahulAH aBijQAta-aBijQAtAH BikzavaH boDisatvAH ca mahAsatvA
   bhikṣubhikṣuṇyupāsakopāsikāś ca bhagavantam etad avocan mahāpāramiteyaṃ	Bikzu-Bi-kzuNI-upAsa-kopAsikAH ca Bagavantam etat avocat mahA-pAramitA-iyam
   bhagavann udārapāramiteyaṃ bodhisatvānāṃ mahāsatvānān yad uta	Bagavan udAra-pAramitA-iyam boDisatvAnAm mahA-satvAnAn yat uta
   prajñāpāramitā agrapāramiteyaṃ viśiṣṭapāramiteyaṃ parapāramiteyaṃ	prajQApAramitA agra-pAramitA-iyam viSizwa-pAramitA-iyam para-pAramitA-iyam
   pravarapāramiteyaṃ praṇītapāramiteyam anuttarapāramiteyan	pravara-pAramitA-iyam praNIta-pAramitA-iyam anuttara-pAramitA-iyan
   niruttarapāramiteyam asamapāramiteyam asamasamapāramiteyam	niruttara-pAramitA-iyam asama-pAramitA-iyam asama-sama-pAramitA-iyam
   ākāśapāramiteyaṃ svalakṣanaśūnyatāpāramiteyaṃ	AkASa-pAramitA-iyam sva-lakzana-SUnyatA-pAramitA-iyam
   sarvaguṇasamanvāgatapāramiteyaṃ sarvaśūnyatāsamanvāgatapāramiteyam	sarva-guNa-samanvAgata-pAramitA-iyam sarva-SUnyatA-samanvAgata-pAramitA-iyam
   anamṛdyapāramiteyaṃ bhagavan bodhisatvānāṃ mahāsatvānāṃ yad uta	anamRdya-pAramitA-iyam Bagavan boDisatvAnAm mahAsatvAnAm yat uta
   prajñāpāramitā atra hi bhagavan prajñāpāramitāyāñ caradbhir bodhisatvair	prajQApAramitA atra hi Bagavan prajQApAramitAyAn caradBiH boDisatvEH-
   mahāsatvair asamasaman dānan dattan tair asamasamā dānapāramitā paripūritā	mahAsatvEH asamasaman dAnan dattan tEH asamasamA dAna-pAramitA paripUritA
   tair asamasama ātmabhāvapratilabdhaye samasamasya dharmasya lābhino	tEH asamasamaH Atma-BAva-pratilabDaye sama-samasya Darmasya lABinaH-
   bhaviṣyanti yad utānuttarāyās samyaksambodheḥ // evam asamasamaṃ śīlaṃ	Bavizyanti yat uta-anuttarAyAH samyaksamboDeH // evam asama-samam SIlam
   kṣāntir vīryan dhyānam asamasamā prajñā bhāvitā tair asamasamā	kzAntiH vIryan DyAnam asamasamA prajQA BAvitA tEH asamasamA
   prajñāpāramitā paripūritā tair asamasama ātmabhāvaḥ pratilabdhas te	prajQApAramitA paripUritA tEH asamasamaH Atma-BAvaH pratilabDaH te
   samasamasya dharmasya lābhino bhaviṣyanti yadutānuttarāyās samyaksambodher	sama-samasya Darmasya lABinaH Bavizyanti yat-uta-anuttarAyAH samyaksamboDeH-
   atraive ca tvaṃ bhagavan prajñāpāramitāyāñ carann asamasamasya rūpasya	atra-eve ca tvam Bagavan prajQApAramitAyAn caran asamasamasya rUpasya
   lābhī jātaḥ asamasamāyā vedanāyās saṃjñāyās saṃskārāṇām asamasamasya	lABI jAtaH asamasamAyAH vedanAyAH saMjQAyAH saMskArANAm asamasamasya
   vijñānasya lābhī jātaḥ asamasamāṃ bodhim abhisambuddho samasaman	vijQAnasya lABI jAtaH asamasamAm boDim aBisambudDaH sama-saman
   dharmacakraṃ pravartitavān evam atītānāgatapratyutpannā buddhā bhagavanto	Darma-cakram pravartitavAn evam atIta-anAgata-pratyutpannAH budDAH BagavantaH-
   'traiva prajñāpāramitāyāñ caranto 'nuttarāṃ samyaksambodhim abhisambuddhā	atra-eva prajQApAramitAyAn carantaH anuttarAm samyaksamboDim aBisambudDA
   abhisambuddhyante abhisaṃbhotsyante ca tasmāt tarhi bhagavan	aBisambudDi-ante aBisaMBotsyante ca tasmAt tarhi Bagavan
   sarvadharmāṇāṃ pāraṅgantukāmena bodhisatvena mahāsatvena prajñāpāramitāyāṃ	sarva-DarmANAm pAraFgantu-kAmena boDisatvena mahAsatvena prajQApAramitAyAm
   yogaṅkaraṇīyo namaskaraṇīyās te bhagavaṃ bodhisatvā mahāsatvās	yogaFkaraNIyaH namaskaraNIyAH te Bagavam boDisatvA mahAsatva-as
   sadevamānuṣāsureṇa lokena ye 'syāṃ prajñāpāramitāyāñ caranti // evam ukte	sa-deva-mAnuza-asureNa lokena ye asyAm prajQApAramitAyAn caranti // evam ukte
   bhagavāṃs tān sambahulān mahāśrāvakāṃs tāṃś ca bodhisatvān mahāsatvān etad	BagavAn tAn sambahulAn mahA-SrAvakAn tAn ca boDisatvAt mahAsatvAn etat-
   avocad evam etat kulaputrā evam etan namaskaranīyās te bodhisatvā	avocat evam etat kula-putrAH evam etat namaskaranIyAH te boDisatvA
   mahāsatvās sadevamānuṣāsureṇa lokena ye 'syāṃ prajñāpāramitāyāñ caranti //	mahAsatvAH sa-deva-mAnuza-asureNa lokena ye asyAm prajQApAramitAyAn caranti //
   tat kasya hetor bodhisatvam* kulaputrā mahāsatvam āgamya manuṣyalokasya	tat kasya hetoH boDisatvam* kula-putrAH mahAsatvam Agamya manuzya-lokasya
   loke prādurbhāvo bhavaty evan devalokasya kṣatriyamahāsālakulānāṃ	loke prAdurBAvaH Bavati evan deva-lokasya kzatriya-mahA-sAla-kulAnAm
   brāhmaṇamahāsālakulānān gṛhapatimahāsālakulānāṃ rājñāñ cakravartināñ	brAhmaNa-mahA-sAla-kulAnAn gRhapati-mahA-sAla-kulAnAm rAjQAn cakravartinAQ
   cāturmahārājikānān devānān trāyastriṅśānāṃ yāmānān tuṣitānān	cAturmahArAjikAnAn devAnAn trAyaH-triFSAnAm yAmAnAn tuzitAnAn
