   akatra prativāsinaḥ (?) K_892b	akatra prativAsinaH (?) K_892b
   kṣatriyāyāṃ viśaḥ striyām Yj_1.91b	kzatriyAyAm viSaH striyAm Yt _1.91b
   kṣatriyā śūdrajā tathā YS78v_59b	kzatriyA SUdra jA taTA YS78u _59b
   kṣatriyā ṣaṭ samās tiṣṭhed Nar_12.99a	kzatriyA zaw samAH tizWet Nar_12.99a
   kṣatriyeṇa kadā cana Mn_11.18[17M]b	kzatriyeNa kadA canaH M= _11.18[17M]b
   kṣatriyeṇa yathāvidhi Mn_7.2b	kzatriyeNa yaTAviDi M= _7.2b
   kṣatriyeṇāpi vaiśyena Par_6.20a	kzatriyeNa api vESyena Par_6.20a
   kṣatriye tv eva madhyamaḥ Mn_8.276d	kzatriye tu eva maDyamaH M= _8.276d
   kṣatriyo gṛham āvrajet Mn_3.111[101M]b	kzatriyaH gRham Avrajet M= _3.111[101M]b
   kṣatriyo ghnan raṇe ripūn Mn_7.98[99M]d	kzatriyaH Gnan raNe ripUn M= _7.98[99M]d
   kṣatriyo daṇḍam arhati Mn_8.267b	kzatriyaH daNxam arhati M= _8.267b
   kṣatriyo daṇḍam arhati Nar_1516.16b	kzatriyaH daNxam arhati Nar_1516.16b
   kṣatriyo daṇḍam eva vā Mn_8.384d	kzatriyaH daNxam eva vA M= _8.384d
   kṣatriyo dvādaśāhena Par_3.2a	kzatriyaH dvAdaSa ahena Par_3.2a
   kṣatriyo 'pi kṛṣiṃ kṛtvā Par_2.13c	kzatriyaH api kRzim kRtvA Par_2.13c
   kṣatriyo 'pi suvarṇasya Par_6.50a	kzatriyaH api suvarNasya Par_6.50a
   kṣatriyo bāhuvīryeṇa Mn_11.34[33M]a	kzatriyaH bAhu vIryeNa M= _11.34[33M]a
   kṣatriyo bhāgam āpadi Mn_10.118b	kzatriyaH BAgam Apadi M= _10.118b
   kṣatriyo vāṭakhādirau Mn_2.45b	kzatriyaH vAwa KAdirO M= _2.45b
   kṣatriyo vātha vaiśyo vā Par_10.7a	kzatriyaH vA aTa vESyaH vA Par_10.7a
   kṣatriyo vātha vaiśyo vā Ang_2,2.7c	kzatriyaH vA aTa vESyaH vE Ank _2,2.7c
   kṣatriyo vāhanāyudham Mn_5.99[98M]b	kzatriyaH vAhana AyuDam M= _5.99[98M]b
   kṣatriyo vijayī bhavet Yj_3.332b	kzatriyaH vijayI Bavet Yt _3.332b
   kṣatriyo hi prajā rakṣañ Par_1.61a	kzatriyaH hi prajAH rakzan Par_1.61a
   kṣantavyaṃ prabhuṇā nityaṃ Mn_8.312a	kzantavyam praBuNA nityam M= _8.312a
   kṣapayet tat kule 'nyathā K_907d	kzapayet tat kule anyaTA K_907d
   kṣapeyus tryaham eva tu Mn_5.69[68M]d	kzapeyuH tri aham eva tu M= _5.69[68M]d
   kṣamāyāto vicakṣaṇaḥ K_065b	kzamA AyAtaH vicakzaNaH K_065b
   kṣamāliṅgāni cānyāni K_126c	kzamA liFgAni ca anyAni K_126c
   kṣayavṛddhī udāhṛte Nar_9.13b	kzaya vRdDI udAhRte Nar_9.13b
   kṣayavyayau tathā vṛddhis Nar_3.03c	kzaya vyayO taTA vRdDiH Nar_3.03c
   kṣayaśvitrādirogiṇaḥ K_550d	kzaya Svitra Adi rogiNaH K_550d
   kṣayas syāt trapusīsayoḥ Nar_9.11d	kzayaH syAt trapu sIsayoH Nar_9.11d
   kṣayaṃ yāti na saṃśayaḥ YS182v_4.20b	kzayam yAti na saMSayaH YS182u _4.20b
   kṣayaṃ vṛddhiṃ ca vaṇijā Yj_2.258a	kzayam vRdDim ca vaNijA Yt _2.258a
   kṣayaḥ karmakṛtasya tu Nar_9.15b	kzayaH karma kRtasya tu Nar_9.15b
   kṣayaḥ saṃskriyamāṇānāṃ Nar_9.10c	kzayaH saMskriyamANAnAm Nar_9.10c
   kṣayātisāravisphoṭās K_458a	kzaya atisAra visPowAH K_458a
   kṣayāmayāvyapasmāri  Mn_3.7c	kzaya Amaya avi apasmAri M= _3.7c
   kṣayī cāpyāyitaḥ somaḥ Mn_9.314c	kzayI ca ApyAyitaH somaH M= _9.314c
   kṣaranti sarvā vaidikyo Mn_2.84a	kzaranti sarvAH vEdikyaH M= _2.84a
   kṣātraṃ dharmam anusmaran Mn_7.87[88M]d	kzAtram Darmam anusmaran M= _7.87[88M]d
   kṣātreṇa karmaṇā jīved Yj_3.35a	kzAtreNa karmaNA jIvet Yt _3.35a
   kṣāntyā śudhyanti vidvāṃso Mn_5.107[106M]a	kzAntyA SuDyanti vidvAMsaH M= _5.107[106M]a
   kṣārāmlodakavāribhiḥ Mn_5.114[113M]d	kzAra amla udaka vAriBiH M= _5.114[113M]d
   kṣārāmlodakavāribhiḥ Yj_1.190b	kzAra amla udaka vAriBiH Yt _1.190b
   kṣālayenmaṇḍalopari Ang_1.779d	kzAlayet maNxala upari Ank _1.779d
   kṣitim āropya mūrdhani Nar_11.10d	kzitim Aropya mUrDani Nar_11.10d
   kṣitiṃ dharmeṇa pālayet Par_1.61d	kzitim DarmeNa pAlayet Par_1.61d
   kṣipatāṃ kāryiṇāṃ nṛṇām Mn_8.312b	kzipatAm kAryiNAm nRNAm M= _8.312b
   kṣipan prāṇaharaṃ tathā Yj_2.224b	kzipan prANa haram taTA Yt _2.224b
   kṣiped apsv adbhya ity api Mn_3.88[78M]b	kzipet apsu adByaH iti api M= _3.88[78M]b
   kṣipenmātrādiṣu triṣu Ang_1.978b	kzipet mAtra Adizu trizu Ank _1.978b
   kṣipenmātrādiṣu triṣu Ang_1.996d	kzipet mAtra Adizu trizu Ank _1.996d
   kṣiptaṃ loṣṭaṃ vinaśyati Mn_11.263[262M]b	kziptam lozwam vinaSyati M= _11.263[262M]b
   kṣipte tu majjanaṃ kāryaṃ K_443a	kzipte tu majjanam kAryam K_443a
   kṣipram eva pravāsayet Mn_9.289d	kzipram eva pravAsayet M= _9.289d
   kṣipram eva pravāsayet Mn_10.96d	kzipram eva pravAsayet M= _10.96d
   kṣipram eva vinaśyati Mn_10.61d	kzipram eva vinaSyati M= _10.61d
   kṣipraṃ caurān praśāsayet Nar_19.13d	kzipram cOrAn praSAsayet Nar_19.13d
   kṣipraṃ naśyati sānvayaḥ Mn_3.205[195M]d	kzipram naSyati sa anvayaH M= _3.205[195M]d
   kṣipraṃ nirvāsayet purāt Mn_9.225d	kzipram nirvAsayet purAt M= _9.225d
   kṣipraṃ rājñe nivedayet Nar_7.7b	kzipram rAjQe nivedayet Nar_7.7b
   kṣipraṃ hīyeta pārthivaḥ K_012d	kzipram hIyeta pArTivaH K_012d
   kṣīṇasya caiva kramaśo Mn_7.166[167M]a	kzINasya ca eva kramaSas M= _7.166[167M]a
   kṣīṇe 'lpe ca viparyayaḥ Mn_3.49d	kzINe alpe ca viparyayaH M= _3.49d
   kṣīyante prāṇināṃ yathā Mn_7.112[113M]b	kzIyante prANinAm yaTA M= _7.112[113M]b
   kṣīyante rāṣṭrakarṣaṇāt Mn_7.112[113M]d	kzIyante rAzwra karzaNAt M= _7.112[113M]d
   kṣīragomūtrayāvakam Par_6.36b	kzIra go mUtra yAvakam Par_6.36b
   kṣīraṃ kṣīravikārañ ca YSS_2.44a	kzIram kzIra vikAran ca YSH _2.44a
   kṣīraṃ kṣaudraṃ dadhi ghṛtaṃ Mn_10.88c	kzIram kzOdram daDi GRtam M= _10.88c
   kṣīraṃ vā yadi vā dadhi Ang_2,8.14d	kzIram vA yadi vA daDi Ank _2,8.14d
   kṣīraṃ saptapalaṃ dadyād Par_11.31a	kzIram sapta palam dadyAt Par_11.31a
   kṣīrāśī go'nugo dinam Yj_3.276d	kzIra ASI go anugaH dinam Yt _3.276d
   kṣīriṇaś caiva pādapān Mn_8.246d	kzIriNaH ca eva pAdapAn M= _8.246d
   kṣīriṇī gauḥ sadakṣiṇā Yj_1.204d	kzIriNI gOH sa dakziNA Yt _1.204d
   kṣīraiḥ prakṣālayed dvijaḥ Par_5.12d	kzIrEH prakzAlayet dvijaH Par_5.12d
   kṣute niṣṭhīvane caiva Par_12.19a	kzute nizWIvane ca eva Par_12.19a
   kṣuttṛṣṇāpīḍitastarām Ang_1.463b	kzut tRzNA pIxitaH tarAm Ank _1.463b
   kṣutpipāsāturā ca yā Nar_12.51b	kzuD pipAsA AturA ca yA Nar_12.51b
   kṣutpipāsābhayārditaḥ Par_12.58(57)b	kzuD pipAsA Baya arditaH Par_12.58(57)b
   kṣutpratīkāram ācaran Mn_10.105d	kzuD pratIkAram Acaran M= _10.105d
   kṣudrakāṇāṃ paśūnāṃ tu Mn_8.297a	kzudrakANAm paSUnAm tu M= _8.297a
   kṣudrajīvaṃ kāryajīvaṃ Ang_1.758c	kzudrajIvam kArya jIvam Ank _1.758c
   kṣudradravyam udāhṛtam Nar_14.13d	kzudra dravyam udAhRtam Nar_14.13d
   kṣudramadhyamahādravya  Yj_2.275a	kzudra maDya mahA dravya Yt _2.275a
   kṣudramadhyottamānāṃ tu Nar_14.12c	kzudra maDya uttamAnAm tu Nar_14.12c
   kṣudrā dīrghā jalairyutāḥ Ang_1.935d	kzudrAH dIrGAH jalEH yutAH Ank _1.935d
   kṣudrāntraṃ vṛkkakau bastiḥ Yj_3.94c	kzudrAntram vRkkakO bastiH Yt _3.94c
   kṣudhārtaś cāttum abhyāgād Mn_10.108a	kzuDA ArtaH ca attum aByAgAt M= _10.108a
   kṣudhā śaktaḥ kathaṃ cana Mn_4.34b	kzuDA SaktaH kaTam cana M= _4.34b
   kṣudhitaṃ tṛṣitaṃ śrāntaṃ Par_2.3a	kzuDitam tRzitam SrAntam Par_2.3a
   kṣunmūlo kṣunnivāraṇaḥ Ang_1.517d	kzuD mUlaH kzut nivAraNaH Ank _1.517d
   kṣurasnānātparaṃ yastu Ang_1.256a	kzura snAnAt param yaH tu Ank _1.256a
   kṣurikā kāśikā śyāmā Ang_1.924c	kzurikA kASikA SyAmAH Ank _1.924c
   kṣuvatīṃ jṛmbhamāṇāṃ vā Mn_4.43c	kzuvatIm jRmBamANAm vA M= _4.43c
   kṣetrakūpataḍāgānām Mn_8.262a	kzetra kUpa taxAgAnAm M= _8.262a
   kṣetrakūpataḍāgānāṃ K_749a	kzetra kUpa taxAgAnAm K_749a
   kṣetrajaḥ kṣetrajātas tu Yj_2.128c	kzetrajaH kzetra jAtaH tu Yt _2.128c
   kṣetrajādīn sutān etān Mn_9.180a	kzetraja AdIn sutAn etAn M= _9.180a
   kṣetrajeṣv api putreṣu Nar_13.14a	kzetrajezu api putrezu Nar_13.14a
   kṣetrajo 'sya bhavet sutaḥ Yj_1.69d	kzetrajaH asya Bavet sutaH Yt _1.69d
   kṣetrajñasyeśvarajñānād Yj_3.34c	kzetrajQasya ISvara jQAnAt Yt _3.34c
   kṣetrajño nābhiśaṅkate Mn_8.96b	kzetrajQaH na aBiSaFkate M= _8.96b
   kṣetradoṣaguṇasya ca Mn_9.330b	kzetra doza guNasya ca M= _9.330b
   kṣetrabījasamāyogāt Mn_9.33c	kzetra bIja samAyogAt M= _9.33c
   kṣetrabhūtā smṛtā nārī Mn_9.33a	kzetra BUtA smRtA nArI M= _9.33a
   kṣetram anyena kārayet Yj_2.158d	kzetram anyena kArayet Yt _2.158d
   kṣetram anye manīṣiṇaḥ Mn_10.70b	kzetram anye manIziNaH M= _10.70b
   kṣetravāstutaḍāgeṣu K_734a	kzetra vAstu taxAgezu K_734a
   kṣetraveśmavanagrāma  Yj_2.282a	kzetra veSma vana grAma Yt _2.282a
   kṣetrasīmāvirodheṣu Nar_11.2a	kzetra sImA viroDezu Nar_11.2a
   kṣetrasya haraṇe daṇḍā Yj_2.155c	kzetrasya haraNe daNxAH Yt _2.155c
   kṣetrasyāsya nigadyate Yj_3.178b	kzetrasya asya nigadyate Yt _3.178b
   kṣetrasvāmiṣu nirdiśet K_760d	kzetra svAmizu nirdiSet K_760d
   kṣetraṃ kṣetrasya kīrtitam K_736b	kzetram kzetrasya kIrtitam K_736b
   kṣetraṃ cāpi tathā jñeyaṃ Ang_1.939c	kzetram ca api taTA jQeyam Ang_1.939c
   kṣetraṃ ced vikṛṣet kaścid K_765c	kzetram ced vikRzet kaScid K_765c
   kṣetraṃ ced vikṛṣet kaścid Nar_11.20c	kzetram ced vikRzet kaScid Nar_11.20c
   kṣetraṃ tathā dhānyadhanaṃ śarīram YSS_1.41c	kzetram taTA DAnya Danam SarIram YSH _1.41c
   kṣetraṃ tripuruṣaṃ yat syād Nar_11.24a	kzetram tri puruzam yat syAt Nar_11.24a
   kṣetraṃ bījavate deyaṃ Nar_12.19c	kzetram bIjavate deyam Nar_12.19c
   kṣetraṃ vā bhīṣayā haran Mn_8.264b	kzetram vA BIzayA haran M= _8.264b
   kṣetraṃ sādhāraṇaṃ tyaktvā K_889a	kzetram sADAraNam tyaktvA K_889a
   kṣetraṃ hiraṇyaṃ gām aśvaṃ Mn_2.246a	kzetram hiraNyam gAm aSvam M= _2.246a
   kṣetrādīṇāṃ tathaiva syur K_469a	kzetra AdINAm taTA eva syuH K_469a
   kṣetrādhikārā yatra syur Nar_11.1c	kzetra aDikArAH yatra syuH Nar_11.1c
   kṣetrārāmagṛhādīnāṃ K_705c	kzetra ArAma gRha AdInAm K_705c
   kṣetrārāmavivīteṣu K_664a	kzetra ArAma vivItezu K_664a
   kṣetrikasya tu tad bījaṃ Mn_9.145c	kzetrikasya tu tat bIjam M= _9.145c
   kṣetrikasya matenāpi K_859a	kzetrikasya matena api K_859a
   kṣetrikasya yad ajñātaṃ Nar_12.55a	kzetrikasya yat ajQAtam Nar_12.55a
   kṣetrikasyeti dhāraṇā Mn_8.241d	kzetrikasya iti DAraNA M= _8.241d
   kṣetrikasyaiva tat phalam Nar_12.54d	kzetrikasya eva tat Palam Nar_12.54d
   kṣetrikasyaiva tad bījaṃ Mn_9.54c	kzetrikasya eva tat bIjam M= _9.54c
   kṣetrikasyaiva tad bhavet Nar_12.55d	kzetrikasya eva tat Bavet Nar_12.55d
   kṣetrikaḥ punar āvrajet K_766b	kzetrikaH punar Avrajet K_766b
   kṣetrikaḥ punar āvrajet Nar_11.21b	kzetrikaH punar Avrajet Nar_11.21b
   kṣetrikānumataṃ bījaṃ Nar_12.58a	kzetrikA anumatam bIjam Nar_12.58a
   kṣetrikeṣv anivāritaḥ K_765b	kzetrikezu anivAritaH K_765b
   kṣetrikeṣv anivāritaḥ Nar_11.20b	kzetrikezu anivAritaH Nar_11.20b
   kṣetriṇāṃ bījināṃ tathā Mn_9.52b	kzetriNAm bIjinAm taTA M= _9.52b
   kṣetriyasyātyaye daṇḍo Mn_8.243a	kzetriyasya atyaye daNxaH M= _8.243a
   kṣetre kālopapādite Mn_9.36b	kzetre kAla upapAdite M= _9.36b
   kṣetre doṣo na vidyate Yj_2.162b	kzetre dozaH na vidyate Yt _2.162b
   kṣetre bījaṃ pradīyate Nar_12.55b	kzetre bIjam pradIyate Nar_12.55b
   kṣetre yasya prarohati Nar_12.56b	kzetre yasya prarohati Nar_12.56b
   kṣetreṣv anyeṣu tu paśuḥ Mn_8.241a	kzetrezu anyezu tu paSuH M= _8.241a
   kṣetre setuṃ pravartayet Yj_2.157b	kzetre setum pravartayet Yt _2.157b
   kṣetro 'gnestu susaṃbhūto Ang_2,12.12c	kzetraH agneH tu su saMBUtaH Ank _2,12.12c
   kṣetropakaraṇasya ca Nar_14.3b	kzetra upakaraNasya ca Nar_14.3b
   kṣepa uttamasāhasaḥ Yj_2.211b	kzepaH uttama sAhasaH Yt _2.211b
   kṣepaṃ karoti ced daṇḍyaḥ Yj_2.204c	kzepam karoti ced daNxyaH Yt _2.204c
   kṣeptā ca sudṛḍhaṃ kṣipet K_442d	kzeptA ca su dRXam kzipet K_442d
   kṣepsyanty agnihradeṣu ca Nar_1.199d	kzepsyanti agni hradezu ca Nar_1.199d
   kṣobhayetām idaṃ jagat Mn_8.418d	kzoBayetAm idam jagat M= _8.418d
   kṣaumakārpāsavāsasām Par_7.28b	kzOma kArpAsa vAsasAm Par_7.28b
   kṣaumavac chaṅkhaśṛṅgāṇām Mn_5.121[120M]a	kzOma vat SaFKa SRFgANAm M= _5.121[120M]a
   kṣaumaṃ hṛtvā tu darduraḥ Mn_12.64b	kzOmam hRtvA tu darduraH M= _12.64b
   kṣaumāṇāṃ gaurasarṣapaiḥ Mn_5.120[119M]d	kzOmANAm gOrasarzapEH M= _5.120[119M]d
   ksemyāṃ sasyapradāṃ nityaṃ Mn_7.212[216M]a	ksemyAm sasya pradAm nityam M= _7.212[216M]a
   khaṅgalohāmiṣaṃ madhu Mn_3.272[262M]b	KaFga loha Amizam maDu M= _3.272[262M]b
   khañjo vā yadi vā kāṇo Mn_3.242[232M]a	KaQjaH vA yadi vA kANaH M= _3.242[232M]a
   khaṭvāṅgī cīravāsā vā Mn_11.105[104M]a	KawvAFgI cIra vAsAH vA M= _11.105[104M]a
   khaḍgakūrmaśaśāṃs tathā Mn_5.18b	Kaxga kUrma SaSAn taTA M= _5.18b
   khaḍgapātraṃ hi kutapo Ang_1.944a	Kaxga pAtram hi kutapaH Ank _1.944a
   khaḍgaṃ daśavidhaṃ māṃsaṃ Ang_1.536c	Kaxgam daSaviDam mAMsam Ank _1.536c
   khaḍge śyāmamṛge vṛke Ang_2,10.15b	Kaxge SyAma mRge vRke Ank _2,10.15b
   khaḍdāmiṣaṃ mahāśalkaṃ Yj_1.260a	KaxdAmizam mahA Salkam Yt _1.260a
   khadyoto havyavāḍ iva Nar_M1.64b	KadyotaH havyavAw iva Nar_M1.64b
   khananāccādhikajalā Ang_1.940c	KananAt ca aDika jalAH Ank _1.940c
   khananotpannasalilā Ang_1.940a	Kanana utpanna salilAH Ank _1.940a
   khanitvā yāmamātraṃ vā Ang_1.220c	KanitvA yAma mAtram vA Ank _1.220c
   khanitvaiva vinikṣipya Ang_1.875a	KanitvA eva vinikzipya Ank _1.875a
   khanyante ca tadā tadā Ang_1.934d	Kanyante ca tadA tadA Ank _1.934d
   khamaṇḍalād asau sūryaḥ Yj_3.123a	Ka maNxalAt asO sUryaH Yt _3.123a
   kharagomahiṣoṣṭrādīn K_789c	Kara go mahiza uzwra AdIn K_789c
   kharapulkasavenānāṃ Yj_3.207c	Kara pulkasa venAnAm Yt _3.207c
   kharayānaṃ tu kāmataḥ Mn_11.201[200M]b	Kara yAnam tu kAmataH M= _11.201[200M]b
   kharayānoṣṭrayānagaḥ Yj_3.290b	Kara yAna uzwra yAna gaH Yt _3.290b
   kharaṃ hatvaikahāyanam Mn_11.136[135M]d	Karam hatvA eka hAyanam M= _11.136[135M]d
   kharājameṣeṣu vṛṣo Yj_3.271c	Kara aja mezezu vRzaH Yt _3.271c
   kharāṇi sumahāntyapi Ang_1.570b	KarANi su mahAnti api Ank _1.570b
   kharāśvasūkarādīnaṃ YSS_2.53c	Kara aSva sUkara AdInam YSH _2.53c
   kharāśvoṣṭramṛgebhānām Mn_11.68[67M]a	Kara aSva uzwra mRga iBAnAm M= _11.68[67M]a
   kharīṃ ca sūkarīṃ gatvā Par_10.14c	KarIm ca sUkarIm gatvA Par_10.14c
   khareṇodvahanaṃ tathā Mn_8.370d	KareNa udvahanam taTA M= _8.370d
   kharoṣṭrayānahastyaśva  Yj_1.151a	Kara uzwra yAna hasti aSva Yt _1.151a
   kharoṣṭraṃ mahiṣīsamam Yj_2.160d	Kara uzwram mahizI samam Yt _2.160d
   kharjūrabadarādīnāṃ K_822:2c	KarjUra badara AdInAm K_822:2c
   kharvātmakāstā vijñeyās Ang_1.37a	Karva AtmakAH tAH vijQeyAH Ank _1.37a
   khalayajñe vivāhe ca Par_12.25(24)a	Kala yajQe vivAhe ca Par_12.25(24)a
   khalāt kṣetrād agārād vā Mn_11.17[16M]a	KalAt kzetrAt agArAt vA M= _11.17[16M]a
   khalu miśritya vā punaḥ YSS_2.39b	Kalu miSritya vA punar YSH _2.39b
   khale vā kaṇa eva vā Ang_2,8.12b	Kale vA kaNaH eva vA Ank _2,8.12b
   khaso draviḍa eva ca Mn_10.22d	KasaH dravixaH eva ca M= _10.22d
   khaṃ saṃniveśayet kheṣu Mn_12.120a	Kam saMniveSayet Kezu M= _12.120a
   khātaṃ vāpī tathā kūpa  YS182v_4.1a	KAtam vApI taTA kUpa YS182u _4.1a
   khāte ca patitā yā gauḥ YS182v_4.3a	KAte ca patitA yAH gOH YS182u _4.3a
   khādakaś ceti ghātakāḥ Mn_5.51d	KAdakaH ca iti GAtakAH M= _5.51d
   khādan māṃsaṃ na duṣyati Mn_5.32d	KAdan mAMsam na duzyati M= _5.32d
   khādan māṃsaṃ na doṣabhāk Yj_1.179d	KAdan mAMsam na doza BAj Yt _1.179d
   khāni caiva spṛśed adbhir Mn_2.60c	KAni ca eva spRSet adBiH M= _2.60c
   khāny adbhiḥ samupaspṛśet Yj_1.20b	KAni adBiH samupaspRSet Yt _1.20b
   khāny ācānta upaspṛśet Mn_5.138[136M]b	KAni AcAntaH upaspRSet M= _5.138[136M]b
   khinnaḥ kāryekṣaṇe nṛṇām Mn_7.141[142M]d	KinnaH kArya IkzaNe nRNAm M= _7.141[142M]d
   khilaṃ tad vatsarais tribhiḥ Nar_11.23b	Kilam tat vatsarEH triBiH Nar_11.23b
   khilārtho yat kṛto vyayaḥ K_764b	Kila arTaH yat kRtaH vyayaH K_764b
   khilopacāraṃ tat sarvaṃ Nar_11.21c	Kila upacAram tat sarvam Nar_11.21c
   kheyo bandhyas tathaiva ca Nar_11.15b	KeyaH banDyaH taTA eva ca Nar_11.15b
   khe viddham anuvidhyataḥ Mn_9.43b	Ke vidDam anuviDyataH M= _9.43b
   khyātaṃ tacśṛṅgiṇāṃ viṣam K_446d	KyAtam tat SRFgiNAm vizam K_446d
   khyātim icchati puṣkalām Mn_12.36b	KyAtim icCati puzkalAm M= _12.36b
   khyāto mahālayaḥ sadbhiḥ Ang_1.700a	KyAtaH mahAlayaH sadBiH Ank _1.700a
   khyāpanenānutāpena Mn_11.227[226M]a	KyApanena anutApena M= _11.227[226M]a
   khyāpayed abhayāni ca Mn_7.201[202M]d	KyApayet aBayAni ca M= _7.201[202M]d
   khyāpitaṃ ced dvitīye 'hni K_272a	KyApitam ced dvitIye ahni K_272a
   gaṅgātoyeṣu tiṣṭhati YS99v_91b	gaFgA toyezu tizWati YS99u _91b
   gaṅgā toyeṣu yasyāsthi YS99v_90a	gaFgA toyezu yasya asTi YS99u _90a
   gaṅgādyāḥ saritas tathā Par_12.20b	gaFgA AdyAH saritaH taTA Par_12.20b
   gaṅgā patitapāvanī Ang_1.908d	gaFgA patita pAvanI Ang_1.908d
   gacchatastāvubhau mūḍhau Ang_2,6.12c	gacCataH tO= uBO mUXO Ank _2,6.12c
   gacchataḥ pṛṣṭhato 'nviyāt Mn_4.154d	gacCataH pRzWatas anviyAt M= _4.154d
   gacchatāprasthitena tu YSS_2.35d	gacCatA prasTitena tu YSH _2.35d
   gacchaty amaralokatām Mn_2.5b	gacCati amara lokatAm M= _2.5b
   gacchaty ā saptamād yugāt Mn_10.64d	gacCati A saptamAt yugAt M= _10.64d
   gacchantaṃ cānuyānena Par_1.44c	gacCantam ca anuyAnena Par_1.44c
   gacchan pūrvāt sa hīyate Nar_M1.49d	gacCan pUrvAt sa hIyate Nar_M1.49d
   gacchan hīnāṃs tu varjayan Mn_4.245[246M]b	gacCan hInAn tu varjayan M= _4.245[246M]b
   gacchaṃś cāndrāyaṇaṃ caret Yj_3.287b	gacCan cAndrAyaNam caret Yt _3.287b
   gacchaṃs tathājayonau tu YSS_2.59a	gacCan taTA ajayonO tu YSH _2.59a
   gacchaṃs tu gurutalpagaḥ Yj_3.233b	gacCan tu guru talpa gaH Yt _3.233b
   gacchetāṃ vaiśyapārthivau Mn_8.376b	gacCetAm vESya pArTivO M= _8.376b
   gacchet samyagavijñāya K_010a	gacCet samyak avijQAya K_010a
   gacched bandhujanaṃ tataḥ K_910d	gacCet banDu janam tatas K_910d
   gacched vāpi digantaram Nar_1.148b	gacCet vA api digantaram Nar_1.148b
   gacched vāvarṣmasaṃkṣayāt Yj_3.55d	gacCet vA avarzma saMkzayAt Yt _3.55d
   gacchen musalam ādāya Par_12.78(77)a	gacCet musalam AdAya Par_12.78(77)a
   gajacchāyā tathā caikā Ang_1.612a	gajacCAyA taTA ca ekAH Ank _1.612a
   gajacchāyā 'tra no bhavet Ang_1.691b	gajacCAyA atra naH Bavet Ank _1.691b
   gajacchāyā prakīrtitā Ang_1.660b	gajacCAyA prakIrtitA Ank _1.660b
   gajavāsī manasvinī Ang_1.931d	gaja vAsI manasvinI Ank _1.931d
   gajasya ca turaṅgasya Par_6.12a	gajasya ca turaFgasya Par_6.12a
   gajādīnām aśaknuvan Yj_3.274b	gaja AdInAm aSaknuvan Yt _3.274b
   gaje nīlavṛṣāḥ pañca Yj_3.271a	gaje nIla vRzAH paQca Yt _3.271a
   gaje vājini vā vyāghre Ang_2,10.15a	gaje vAjini vA vyAGre Ank _2,10.15a
   gaṇadravyavināśakaḥ K_672b	gaNa dravya vinASakaH K_672b
   gaṇadravyaṃ hared yas tu Yj_2.187a	gaNa dravyam haret yaH tu Yt _2.187a
   gaṇadharmaviparyayāḥ Nar_18.2d	gaNa Darma viparyayAH Nar_18.2d
   gaṇapāṣaṇḍapūgāś ca K_682a	gaNa pAzaNxa pUgAH ca K_682a
   gaṇapaurādikasthitiḥ K_254b	gaNa pOra Adika sTitiH K_254b
   gaṇam uddiśya yat kiṃcit K_674a	gaNam uddiSya yat kiMcid K_674a
   gaṇavṛddhādayas tv anye Nar_11.8a	gaNa vRdDa AdayaH tu anye Nar_11.8a
   gaṇas tv adhikṛto nṛpaḥ K_082b	gaNaH tu aDikRtaH nRpaH K_082b
   gaṇaḥ saṃparikīrtitaḥ K_680b	gaNaH saMparikIrtitaH K_680b
   gaṇānām apy ayaṃ vidhiḥ Yj_2.192b	gaNAnAm api ayam viDiH Yt _2.192b
   gaṇānām ādhipatye ca Yj_1.271c	gaNAnAm ADipatye ca Yt _1.271c
   gaṇānāṃ caiva yājakaḥ Mn_3.164[154M]d	gaNAnAm ca eva yAjakaH M= _3.164[154M]d
   gaṇānāṃ śreṇivargāṇāṃ K_675a	gaNAnAm SreNi vargANAm K_675a
   gaṇān jānapadān api Yj_1.361b	gaNAn jAnapadAn api Yt _1.361b
   gaṇānnaṃ gaṇikānnaṃ ca Mn_4.209[210M]c	gaNa annam gaNikA annam ca M= _4.209[210M]c
   gaṇānnaṃ gaṇikānnaṃ ca Mn_4.219[220M]c	gaNa annam gaNikA annam ca M= _4.219[220M]c
   gaṇābhyantara eva ca Mn_3.154[144M]d	gaNa aByantaraH eva ca M= _3.154[144M]d
   gaṇārthe vā ṛṇaṃ kṛtam K_677b	gaNa arTe vE RNam kRtam K_677b
   gaṇāś cādhikṛto nṛpaḥ Nar_M1.7b	gaNAH ca aDikRtaH nRpaH Nar_M1.7b
   gaṇikāgaṇadīkṣiṇām Yj_1.161d	gaNikA gaNa dIkziNAm Yt _1.161d
   gaṇimaṃ tulimaṃ meyaṃ Nar_8.3c	gaNimam tulimam meyam Nar_8.3c
   gaṇimānāṃ ca sarvaśaḥ Nar_19.32b	gaNimAnAm ca sarvaSas Nar_19.32b
   gaṇḍūṣaṃ pādaśaucaṃ ca Par_7.24c	gaNxUzam pAda SOcam ca Par_7.24c
   gaṇḍe nāsā ghanāsthikā Yj_3.89b	gaNxe nAsA Gana asTikA Yt _3.89b
   gatapratyāgatāpi vā Mn_9.176b	gata pratyAgatA api vA M= _9.176b
   gatapratyāgate caiva Mn_7.186[187M]c	gata pratyAgate ca eva M= _7.186[187M]c
   gatameva bhaviṣyati Ang_1.35b	gatam eva Bavizyati Ank _1.35b
