   Tattvasamāsasūtravṛttiḥ /	Tattva-samAsa-sUtra-vRttiH /
   yasmānnāṇīyo na jyāyo 'sti kaścid vṛkṣa iva stabdho divi	yasmAt-na-aNIyaH na jyAyaH asti kaScid vRkzaH iva stabDaH divi
   tiṣṭhatyekastenedaṃ pūrṇaṃ puruṣeṇa sarvam |	tizWati-ekaH-tena-idam pUrNam puruzeNa sarvam |
        sarvataḥ pāṇipādāntaṃ sarvatokṣiśiromukham /	sarvatas pANi-pAda-antam sarva-tokzi-SiraH-muKam /
        sarvataḥ śrutimalloke sarvamāvṛttya tiṣṭhati //	sarvatas Srutimat-loke sarvam-AvRttya tizWati //
        sarvendriyaguṇābhāsaṃ sarvendriyavivarjitam /	sarva-indriya-guNa-ABAsam sarva-indriya-vivarjitam /
        sarveṣāṃ prabhumīśānaṃ sarvasya śaraṇaṃ mahat //	sarvezAm praBum-ISAnam sarvasya SaraNam mahat //
        sarvataḥ sarvatattvāni sarvātmā sarvasambhavaḥ /	sarvatas sarva-tattvAni sarva-AtmA sarva-samBavaH /
        sarvaṃ vilīyate yasmin tadbrahma munayo viduḥ //	sarvam vilIyate yasmin tat-brahma munayaH viduH //
        eka eva hi bhūtātmā dehe dehe vyavasthitaḥ /	ekaH eva hi BUtAtmA dehe dehe vyavasTitaH /
        ekadhā bahudhā caiva dṛśyate jalacandravat //	ekaDA bahuDA ca-eva dRSyate jala-candra-vat //
        sa hi sarveṣu bhūteṣu sthāvareṣu careṣu ca /	sa hi sarvezu BUtezu sTAvarezu carezu ca /
        vasatyeko mahānātmā yena sarvamidaṃ tatam //	vasati-ekaH mahAn-AtmA yena sarvam-idam tatam //
        ekoyamātmā jagatāmekena bahudhā kṛtaḥ /	ekoyam-AtmA jagatAm-ekena bahuDA kRtaH /
        pṛthag vadanti cātmānaṃ jñānādikapravartane //	pRTak vadanti ca-AtmAnam jQAna-Adika-pravartane //
        brāhmaṇe kṛmikīṭeṣu śvapāke śuni hastini /	brAhmaNe kRmi-kIwezu SvapAke Suni hastini /
        paśugodaṃśamaśake samaṃ paśyanti paṇḍitāḥ //	paSu-go-daMSa-maSake samam paSyanti paNxitAH //
        eka eva yathā sūtraṃ suvarṇe vartate punaḥ /	ekaH eva yaTA sUtram suvarNe vartate punar /
        muktāmaṇipravāleṣu mṛṇmaye rajate tathā //	muktA-maNi-pravAlezu mRNmaye rajate taTA //
        tadvad goṣu manuṣyeṣu tadvaddhastimṛgādiṣu /	tadvat gozu manuzyezu tadvat-hasti-mRga-Adizu /
        ekoyamātmā vijñeyaḥ sarvatraiva vyavasthitaḥ //	ekoyam-AtmA vijQeyaH sarvatra-eva vyavasTitaH //
   [traiguṇyam || Tats_4 ||]	[trEguNyam || Tats_4 ||]
   atrāha kiṃ traiguṇyaṃ nāmocyate |	atra-Aha kim trEguNyam nAma-ucyate |
   sattvarajastamāṃsīti triguṇā eva traiguṇyam |	sattva-rajaH-tamAMsi-iti triguNAH eva trEguNyam |
   sattvaṃ nāma	sattvam nAma
   prasādalāghavaprasannatābhiṣaṅgaprītituṣṭititikṣāsantoṣādilakṣaṇamanantabhedaṃ	prasAda-lAGava-prasanna-tA-aBizaFga-prIti-tuzwi-titikzA-santoza-Adi-lakzaNam-ananta-Bedam
   samāsataḥ sukhātmakam |	samAsatas suKa-Atmakam |
   rajo nāma śokatāpasvedastambhodvegaroṣamānādilakṣaṇamanantabhedaṃ samāsato	rajaH nAma Soka-tApa-sveda-stamBa-udvega-roza-mAna-Adi-lakzaNam-ananta-Bedam samAsatas-
   duḥkhātmakam |	duHKa-Atmakam |
   tamo nāmā ';	tamaH nAmA a;
   'cchādanāvaraṇabībhatsadainyagauravālasyanidrāpramādādilakṣaṇamanantabhedaṃ	acCAdana-AvaraNa-bIBatsa-dEnya-gOrava-Alasya-nidrA-pramAda-Adi-lakzaNam-ananta-Bedam
   samāsato mohātmakam |	samAsatas moha-Atmakam |
   etat traiguṇyaṃ vyākhyātam |	etat trEguNyam vyAKyAtam |
        sattvaṃ prakāśakaṃ vidyādrajo vidyāt pravartakam /	sattvam prakASakam vidyAt-rajaH vidyAt pravartakam /
        tamo 'prakāśakaṃ vidyāttraiguṇyannāma saṃjñitam //	tamaH aprakASakam vidyAt-trEguNyat-nAma saMjQitam //
   [sañcaraḥ || Tats_5 ||]	[saQcaraH || Tats_5 ||]
   [pratisañcaraḥ || Tats_6 ||]	[pratisaQcaraH || Tats_6 ||]
   atrāha kaḥ sañcaraḥ pratisañcaraśca |	atra-Aha kaH saQcaraH pratisaQcaraH-ca |
   atrocyate |	atra-ucyate |
   utpattiḥ sañcaraḥ pralayaḥ pratisañcaraḥ |	utpattiH saQcaraH pralayaH pratisaQcaraH |
   tatrotpattirnāmāvyaktāt prāgupadiṣṭāt sarvataḥ puruṣeṇa pareṇādhiṣṭhitā	tatra-utpattiH-nAma-avyaktAt prAk-upadizwAt sarvatas puruzeNa pareNa-aDizWitA
   buddhirutpadyate |	budDiH-utpadyate |
   aṣṭaguṇā buddhiḥ |	azwaguNA budDiH |
   buddhitattvādahaṅkāra utpadyate |	budDi-tattvAt-ahaFkAraH utpadyate |
   sa cāhaṃkārastrividho vaikārikastaijaso bhūtādiriti |	sa ca-ahaMkAraH-triviDaH vEkArikaH-tEjasaH BUtAdiH-iti |
   tatra vaikārikādahaṃkārādeva indriyāṇi cotpadyante |	tatra vEkArikAt-ahaMkArAt-eva indriyANi ca-utpadyante |
   bhūtādestanmātrāṇi |	BUtAdeH-tanmAtrANi |
   taijasādubhayam |	tEjasAt-uBayam |
   tanmātrebhyo bhūtānīti sañcaraḥ |	tanmAtreByaH BUtAni-iti saQcaraH |
   pratisañcaro nāma bhūtāni tanmātreṣu līyante |	pratisaQcaraH nAma BUtAni tanmAtrezu lIyante |
   tanmātrāṇīndriyāṇi cāhaṃkāre |	tanmAtrANi-indriyANi ca-ahaMkAre |
   ahaṃkāro buddhau |	ahaMkAraH budDO |
   buddhiravyakte |	budDiH-avyakte |
   tadavyaktaṃ kvacinna līyate |	tat-avyaktam kvacid-na lIyate |
   kasmādanutpadyamānatvāt prakṛtiṃ puruṣañcaiva viddhyanādi ityevaṃ	kasmAt-anutpadyamAna-tvAt prakRtim puruzaQca-eva vidDi-anAdi iti-evam
   pratisañcaro vyākhyātaḥ |	pratisaQcaraH vyAKyAtaH |
   [adhyātmam adhibhūtam adhidaivataṃ ca || Tats_7 ||]	[aDyAtmam aDiBUtam aDidEvatam ca || Tats_7 ||]
   tatrāha kiṃ tadadhyātmamadhibhūtamadhidaivataṃ ceti |	tatra-Aha kim tad-aDyAtmam-aDiBUtam-aDidEvatam ca-iti |
   tatrocyate |	tatra-ucyate |
   buddhiradhyātmam boddhavyamadhibhūtaṃ brahmā tatrādhidaivatam |	budDiH-aDyAtmam bodDavyam-aDiBUtam brahmA tatra-aDidEvatam |
   ahaṃkāro 'dhyātmaṃ mantavyamadhibhūtaṃ rudrastatrādhidaivatam |	ahaMkAraH aDyAtmam mantavyam-aDiBUtam rudraH-tatra-aDidEvatam |
   mano 'dhyātmaṃ saṃkalpitavyamadhibhūtaṃ candrastatrādhidaivatam |	manaH aDyAtmam saMkalpitavyam-aDiBUtam candraH-tatra-aDidEvatam |
   śrotramadhyātmaṃ śrotavyamadhibhūtamākāśastatrādhidaivatam |	Srotram-aDyAtmam Srotavyam-aDiBUtam-AkASaH-tatra-aDidEvatam |
   tvagadhyātmaṃ sparśayitavyamadhibhūtaṃ vāyustatrādhidaivatam |	tvac-aDyAtmam sparSayitavyam-aDi-BUtam vAyuH-tatra-aDidEvatam |
   cakṣuradhyātmaṃ draṣṭavyamadhibhūtamādityastatrādhidaivatam |	cakzuH-aDyAtmam drazwavyam-aDiBUtam-AdityaH-tatra-aDidEvatam |
   jihvādhyātmaṃ rasayitavyamadhibhūtaṃ varuṇastatrādhidaivatam |	jihvA-aDyAtmam rasayitavyam-aDiBUtam varuNaH-tatra-aDidEvatam |
   ghrāṇamadhyātmaṃ ghrātavyamadhibhūtaṃ pṛthvī tatrādhidaivatam |	GrANam-aDyAtmam GrAtavyam-aDiBUtam pRTvI tatra-aDidEvatam |
   vāgadhyātmaṃ vaktavyamadhibhūtaṃ agnistatrādhidaivatam |	vAc-aDyAtmam vaktavyam-aDiBUtam agniH-tatra-aDidEvatam |
   pāṇī adhyātmaṃ grahītavyamadhibhūtamindrastatrādhidaivatam |	pANI aDyAtmam grahItavyam-aDiBUtam-indraH-tatra-aDidEvatam |
   pādāvādhyātmaṃ gantavyamadhibhūtaṃ viṣṇustatrādhidaivatam |	pAdO=-ADyAtmam gantavyam-aDiBUtam vizNuH-tatra-aDidEvatam |
   pāyuradhyātmamutsraṣṭavyamadhibhūtaṃ mitrastatrādhidaivatam |	pAyuH-aDyAtmam-utsrazwavyam-aDiBUtam mitraH-tatra-aDidEvatam |
   upasthamadhyātmamānandayitavyamadhibhūtaṃ prajāpatistatrādhidaivatam |	upasTam-aDyAtmam-Anandayitavyam-aDiBUtam prajApatiH-tatra-aDidEvatam |
   evametat trayodaśavidhasya karaṇasyādhyātmamadhibhūtamadhidaivataṃ	evam-etat trayodaSaviDasya karaNasya-aDyAtmam-aDiBUtam-aDidEvatam
   vyākhyātam |	vyAKyAtam |
        tattvāni yo vedayate yathāvad guṇasvarūpāṇyadhidaivataṃ ca /	tattvAni yaH vedayate yaTAvat guNa-svarUpANi-aDidEvatam ca /
        vimuktapāpmā gatadoṣasaṅgho guṇāṃstu bhuṅkte na guṇaiḥ sa bhajyate //	vimukta-pApmA gata-doza-saFGaH guNAn=-tu BuFkte na guNEH sa Bajyate //
   [pañcābhibuddhayaḥ || Tats_8 ||]	[paQca-aBibudDayaH || Tats_8 ||]
   atha kāstāḥ pañcābhibuddhaya ucyate |	aTa kAH-tAH paQca-aBibudDayaH ucyate |
   vyavasāyo 'bhimānecchā kartavyatā kriyeti |	vyavasAyaH aBimAna-icCA kartavyatA kriyA-iti |
   abhimukhī buddhiridaṃ karaṇīyaṃ mayeti vyavasāyo buddhikriyā |	aBimuKI budDiH-idam karaNIyam mayA-iti vyavasAyaH budDi-kriyA |
   ātmaparātmasvarūpapratyayābhimukho 'bhimāno 'haṃkāro buddheḥ kriyā |	Atma-parAtma-svarUpa-pratyaya-aBimuKaH aBimAnaH ahaMkAraH budDeH kriyA |
   icchā vāñchā saṅkalpo manaso buddhikriyā |	icCA vAQCA saFkalpaH manasaH budDi-kriyA |
   śabdādiviṣayālocanaśravaṇādilakṣaṇakartavyatā buddhīndriyāṇāṃ buddhikriyā	Sabda-Adi-vizaya-Alocana-SravaNa-Adi-lakzaNa-kartavyatA budDIndriyANAm budDi-kriyA
   vacanādilakṣaṇabuddhikriyā karmendriyāṇāṃ sā kriyeti |	vacana-Adi-lakzaNa-budDi-kriyA karmendriyANAm sA kriyA-iti |
   evametāḥ pañcābhibuddhayo vyākhyātāḥ |	evam-etAH paQca-aBibudDayaH vyAKyAtAH |
   [pañcakarmayonayaḥ || Tats_9 ||]	[paQcakarma-yonayaH || Tats_9 ||]
   atha kāstāḥ pañcakarmayonaya ucyante |	aTa kAH-tAH paQcakarma-yonayaH ucyante |
   dhṛtiḥ śraddhā sukhā 'vividiṣā vividiṣā ca pañcakarmayonayaḥ |	DRtiH SradDA suKA avividizA vividizA ca paQcakarma-yonayaH |
        bāhyakarmāṇi saṃkalpya pratītaṃ yo 'bhirakṣati /	bAhya-karmANi saMkalpya pratItam yaH aBirakzati /
        tanniṣṭhastatpratiṣṭhaśca dhṛteretaddhi lakṣaṇam //	tad-nizWaH-tad-pratizWaH-ca DRteH-etat-hi lakzaNam //
        svādhyāyo brahmacaryaṃ ca yajanaṃ yājanaṃ tapaḥ /	svADyAyaH brahmacaryam ca yajanam yAjanam tapaH /
        dānaṃ pratigraho homaḥ śraddhāyā lakṣaṇaṃ smṛtam //	dAnam pratigrahaH homaH SradDAyAH lakzaNam smRtam //
        sukhārthaṃ yastu seveta brahmakarmatapāṃsi ca /	suKa-arTam yaH-tu seveta brahma-karma-tapAMsi ca /
        prāyaścittaparo nityaṃ sukheyaṃ parikīrtitā //	prAyaScitta-paraH nityam suKeyam parikIrtitAH //
        viṣayamadhumiśritāntaḥkāraṇatvamavividiṣā /	vizaya-maDu-miSrita-antaHkAraNa-tvam-avividizA /
   vividiṣā ca dhyānināṃ prajñānayoniḥ |	vividizA ca DyAninAm prajQAna-yoniH |
        ekatvaṃ ca pṛthaktvaṃ ca nityaṃ caivamacetanam /	eka-tvam ca pRTaktvam ca nityam ca-evam-acetanam /
        sūkṣmaṃ satkāryamakṣobhyaṃ jñeyā vividiṣā ca sā //	sUkzmam satkAryam-akzoByam jQeyA vividizA ca sA //
        kāryakāraṇakṣayakarī vividiṣā prākṛtikī vṛttiḥ /	kArya-kAraNa-kzaya-karI vividizA prAkRtikI vRttiH /
   dhṛtiḥ śraddhā sukhā 'vividiṣā catasro bandhāya vidiṣaikā mokṣāya |	DRtiH SradDA suKA avividizA catasraH banDAya vidizA-ekA mokzAya |
   evametā pañca karmayonayo vyākhyātāḥ |	evam-etAH paQca karma-yonayaH vyAKyAtAH |
   [pañcavāyavaḥ || Tats_10 ||]	[paQca-vAyavaH || Tats_10 ||]
   atrāha ke pañcavāyava ucyante |	atra-Aha ke paQca-vAyavaH ucyante |
   prāṇopānaḥ samānaśca udāno vyāna eva ca |	prANa-upAnaH samAnaH-ca udAnaH vyAnaH eva ca |
   ityete vāyavaḥ pañca śarīreṣu śarīriṇām |	iti-ete vAyavaH paQca SarIrezu SarIriNAm |
   tatra prāṇo nāma vāyurmukhanāsikādhiṣṭhātā praṇayanātprakramaṇācca prāṇa	tatra prANaH nAma vAyuH-muKa-nAsikA-aDizWAtA praNayanAt-prakramaNAt-ca prANa
   ityabhidhīyate |	iti-aBiDIyate |
   apāno nāma vāyurnābhyadhiṣṭhitāpanayanādadhogamanāccāpāna ityabhidhīyate |	apAnaH nAma vAyuH-na-aByaDizWita-apanayanAt-aDas-gamanAt-cApAnaH iti-aBiDIyate |
   samāno nāma vāyurhṛdadhiṣṭhātā samanayanāt saṅgamanācca samāna	samAnaH nAma vAyuH-hRd-aDizWAtA sama-nayanAt saFga-manAt-ca samAna-
   ityabhidhīyate |	iti-aBiDIyate |
   udāno nāma vāyuḥ kaṇṭhādhiṣṭhātā ūrdhvagamanādutkramaṇāccodāna	udAnaH nAma vAyuH kaNWa-aDizWAtAH UrDva-gamanAt-utkramaNAt-ca-udAna
   ityabhidhīyate |	iti-aBiDIyate |
   vyāno nāma vāyuḥ sandhyadhiṣṭhātā vikṣepaṇādvijṛmbhaṇācca vyāna	vyAnaH nAma vAyuH sanDi-aDizWAtA vikzepaNA-t-vijRmBaNAt-ca vyAna
   ityabhidhīyate |	iti-aBiDIyate |
   iti pañcavāyavo vyākhyātāḥ |	iti paQca-vAyavaH vyAKyAtAH |
   [pañcakarmātmānaḥ || Tats_11 ||]	[paQcakarma-AtmAnaH || Tats_11 ||]
   atrāha ke te pañcakarmātmāna ityucyate |	atra-Aha ke te paQcakarma-AtmAnaH iti-ucyate |
   vaikārikastaijaso bhūtādiḥ sānumāno niranumānaśca |	vEkArikaH-tEjasaH BUtAdiH sa-anumAnaH niranumAnaH-ca |
   tatra vaikārikaḥ śubhakarmakartā |	tatra vEkArikaH SuBa-karma-kartA |
   taijaso 'śubhakarmakartā |	tEjasaH aSuBa-karma-kartA |
   bhūtādirmūḍhakarmakartā |	BUtAdiH-mUXa-karma-kartA |
   sānumānaḥ śubhamūḍhakarmakartā |	sAnumAnaH SuBa-mUXa-karma-kartA |
   niranumāno 'śubhamūḍhakarmakartā caivaṃ pañcakarmātmāno vyākhyātāḥ |	niranumAnaH aSuBa-mUXa-karma-kartA ca-evam paQcakarma-AtmAnaH vyAKyAtAH |
   [pañcaparvāvidyā || Tats_12 ||]	[paQca-parva-avidyA || Tats_12 ||]
   atrāha kā sā pañcaparvāvidyetyucyate |	atra-Aha kA sA paQca-parvA-avidyA-iti-ucyate |
   tamo moho mahāmohastāmiśro 'ndhatamisraśceti |	tamaH mohaH mahAmohaH-tAmiSraH anDatamisraH-ca-iti |
   tatra tamomohāvubhāvaṣṭātmakau |	tatra tamaH-mohO=-uBO=-azwa-AtmakO |
   mahāmoho daśātmakaḥ |	mahAmohaH daSa-AtmakaH |
   tāmisrondhatāmisraścāṣṭādaśātmakau |	tAmi-sronDatAmisraH-ca-azwAdaSa-AtmakO |
   tamo nāmāṣṭasu	tamaH nAma-azwasu
   prakṛtiṣvavyaktabuddhyahaṃkārapañcatanmātrasaṃjñitāsvanātmasvātmābhimānastama	prakRtizu-avyakta-budDi-ahaMkAra-paQca-tanmAtra-saMjQitAsu-anAtma-sva-Atma-aBimAnaH-tama
   ityabhidhīyate |	iti-aBiDIyate |
   moho nāmāṇimādyaṣṭaiśvaryaprāptaye yo 'bhimāna utpadyate sa moha	mohaH nAma-aNima-Adi-azwa-ESvarya-prAptaye yaH aBimAnaH utpadyate sa moha
   ityabhidhīyate |	iti-aBiDIyate |
   mahāmoho nāma dṛṣṭānuśravikeṣu śabdādiviṣayeṣu daśasu vṛttiṣu muktohamiti	mahAmohaH nAma dRzwa-AnuSravikezu Sabda-Adi-vizayezu daSasu vRttizu muktoham-iti
   manyate sa mahāmoha ityabhidhīyate |	manyate sa mahAmohaH iti-aBiDIyate |
   tāmisro nāmāṣṭaguṇaiśvarye 'ṇimādye daśavidhe ca viṣaye yo dveṣo	tAmisraH nAma-azwaguNa-ESvarye aNima-Adye daSaviDe ca vizaye yaH dvezaH-
   'pratihatastatra yad duḥkhamutpadyate 'sau tāmisra ityabhidhīyate |	apratihataH-tatra yat duHKam-utpadyate asO tAmisraH iti-aBiDIyate |
   andhatāmisro nāmāṣṭaguṇaiśvarye 'ṇimādye daśavidhe ca viṣaye siddhe	anDatAmisraH nAma-azwaguNa-ESvarye aNima-Adye daSaviDe ca vizaye sidDe
   maraṇakāle yo viṣāda utpadyate so 'ndhatāmisra ityabhidhīyate |	maraNa-kAle yaH vizAdaH utpadyate saH anDatAmisraH iti-aBiDIyate |
   evameṣā pañcaparvā 'vidyā dviṣaṣṭibhedā vyākhyātāḥ |	evam-ezA paQca-parvAH avidyAH dvi-zazwi-BedAH vyAKyAtAH |
   [aṣṭāviṃśatidhāśaktiḥ || Tats_13 ||]	[azwAviMSatiDA-SaktiH || Tats_13 ||]
   atrāha kā sāṣṭāviṃśatidhāśaktiratrocyate |	atra-Aha kA sA-azwAviMSatiDASaktiH-atra-ucyate |
   ekādaśendriyavadhāḥ saptadaśa tuṣṭisiddhi(buddhi)vadhāḥ |	ekAdaSa-indriya-vaDAH saptadaSa tuzwi-sidDi(-budDi)-vaDAH |
   eṣāṣṭāviṃśatidhāśaktiriti |	ezA-azwAviMSatiDA-SaktiH-iti |
   tatrendriyavadhāstāvaducyante |	tatra-indriya-vaDAH-tAvat-ucyante |
   śrotre bādhiryaṃ jihvāyāṃ jaḍatvaṃ tvaci kuṣṭhitvaṃ cakṣuṣyarūpatvaṃ	Srotre bADiryam jihvAyAm jaxa-tvam tvaci kuzWi-tvam cakzuzya-rUpa-tvam
   nāsikāyāmaghrāṇatvaṃ vāci mūkatvaṃ hastayoḥ kuṇitvaṃ pādayoḥ paṅgutvaṃ	nAsikAyAm-aGrANa-tvam vAci mUka-tvam hastayoH kuNi-tvam pAdayoH paFgu-tvam
   vāgindriya udāvarta upasthendriye klaibyaṃ manasyunmāda	vAc-indriyaH udAvarte upasTa-indriye klEbyam manasi-unmAda
   ityekādaśendriyavadhāḥ |	iti-ekAdaSa-indriya-vaDAH |
   [navadhā tuṣṭiḥ || Tats_14 ||]	[navaDA tuzwiH || Tats_14 ||]
   [aṣṭadhā siddhiḥ || Tats_15 ||]	[azwaDA sidDiH || Tats_15 ||]
   saptadaśatuṣṭisiddhivadhā nāma viparyayāstuṣṭisiddhīnām |	saptadaSa-tuzwi-sidDi-vaDAH nAma viparyayAH-tuzwi-sidDInAm |
   tuṣṭiviparyayāstāvaducyante |	tuzwi-viparyayAH-tAvat-ucyante |
   tatra nāsti pradhānamiti yā pratipattiranantā |	tatra na-asti praDAnam-iti yA pratipattiH-anantA |
   evamahamityātmajñāne tāmasalīnā tathāhaṃkārasyādarśanamavidyā |	evam-aham-iti-Atma-jQAne tAmasa-lInA taTA-ahaMkArasya-adarSanam-avidyA |
   naiva santi tanmātrāṇi bhūtakāraṇānītyavṛṣṭiḥ |	na-eva santi tanmAtrANi BUtakAraNAni-iti-avRzwiH |
   viṣayāṇāmarjane pravṛttirasutārā |	vizayANAm-arjane pravRttiH-asutArAH |
   rakṣaṇe tu pravṛttirasupārā ca |	rakzaNe tu pravRttiH-asu-pArA ca |
   kṣayadoṣamadṛṣṭvā 'rthe pravṛttirasunetrā |	kzaya-dozam-adRzwvA arTe pravRttiH-asunetrAH |
   bhogā śaktirasumarīcikā |	BogA SaktiH-asu-marIcikA |
   hiṃsādoṣamapaśyato bhogārambho 'nuttamāmbhasikā |	hiMsA-dozam-apaSyataH Boga-AramBaH anuttamA-amBasikA |
   iti tuṣṭiviparyayā navadhā 'tuṣṭayo vyākhyātāḥ |	iti tuzwi-viparyayAH navaDA atuzwayaH vyAKyAtAH |
   atha siddhiviparyayā asiddhayo 'ṣṭau cābhidhīyante |	aTa sidDi-viparyayAH asidDayaH azwO ca-aBiDIyante |
   nānātvaṃ bhūtamātrasyaikātvamāvirbhūtamatāramucyate |	nAnAtvam BUtamAtrasya-ekAtvam-AvirBUtam-atAram-ucyate |
   śabdamātraśravaṇādviparītagrahaṇamāsutāraṃ yathā nānātvajño mukta iti	Sabda-mAtra-SravaNAt-viparIta-grahaNa-mAsu-tAram yaTA nAnA-tva-jQaH muktaH iti
   śrutvā viparītaṃ pratipanno nānātvajño hyamukta iti |	SrutvA viparItam pratipannaH nAnA-tva-jQaH hi-amuktaH iti |
   adhyayanaśravaṇābhiniviṣṭasyāpi jaḍatvādasacchāstropahatabuddhitvādvā	aDyayana-SravaNa-aBinivizwasya-api jaxa-tvAt-asat-SAstra-upahata-budDi-tvAt-vA
   pañcaviṃśatitattvajñānasiddhirna bhavati tadā 'tāratāraṃ tadajñānam |	paQcaviMSati-tattva-jQAna-sidDiH-na Bavati tadA atAra-tAram tat-ajQAnam |
   kasyacidādhyātmikena duḥkhenābhibhūtasyāpi saṃsāre 'nudvegādajijñāsorna	kasyacid-ADyAtmikena duHKena-aBiBUtasya-api saMsAre anudvegAt-ajijQAsoH-na
   jñānaṃ tatpramādam |	jQAnam tat-pramAdam |
   evamapramuditāpramodamānayoścānyonyayordvayamaparaṃ draṣṭavyam |	evam-apramudita-apramoda-mAnayoH-ca-anyonyayoH-dvayam-aparam drazwavyam |
   suhṛdupadiṣṭe 'pyaniścayabuddherajñānam parasparamasampā |	suhRd-upadizwe api-aniScaya-budDeH-ajQAnam parasparam-asampAH |
   asampāvacanādathavā parāṅmukhe gurau durbhāgyasya	asampAvacanAt-aTavA parAFmuKe gurO durBAgyasya
   jñānāsiddhistadajñānamasatpramuditamiti |	jQAna-asidDiH-tad-ajQAnam-asat-pramuditam-iti |
   evamete siddhiviparyayā asiddhayo 'ṣṭau vyākhyātāḥ |	evam-ete sidDi-viparyayAH asidDayaH azwO vyAKyAtAH |
   evameṣā 'ṣṭaviṃśatidhā 'śaktirvyākhyātā |	evam-ezA azwaviMSatiDA aSaktiH-vyAKyAtA |
   atrāha kā sā navadhā tuṣṭiratrocyate |	atra-Aha kA sA navaDA tuzwiH-atra-ucyate |
   prakṛtiṃ paramārthatvena parikalpya parituṣṭe mādhyasthaṃ labhate tasya	prakRtim paramArTa-tvena parikalpya parituzwe mADyasTam laBate tasya
   tuṣṭyā sā tāntrikī saṃjñā 'mbha iti |	tuzwyA sA tAntrikI saMjQA amBaH iti |
   aparo buddhiṃ paramārthavena pratipadya parituṣṭastasyāstuṣṭeḥ śalilā iti	aparaH budDim parama-arTavena pratipadya parituzwaH-tasyAH-tuzweH SalilAH iti
   saṃjñā |	saMjQA |
   anyo 'haṃkāraṃ paramārthatvenābhyupagamya parituṣṭastasyātuṣṭeḥ rodha iti	anyaH ahaMkAram paramArTa-tvena-aByupagamya parituzwaH-tasya-atuzweH roDaH iti
   saṃjñā |	saMjQA |
   itarastanmātrāṇi bhogyāni paramārthatvena viniścitya parituṣṭastasya	itaraH-tanmAtrANi BogyAni paramArTa-tvena viniScitya parituzwaH-tasya
   tuṣṭervṛṣṭiriti saṃjñā |	tuzweH-vRzwiH-iti saMjQA |
   evamādhyātmikyaścatasrastuṣṭayo bhavanti |	evam-ADyAtmikyaH-catasraH-tuzwayaH Bavanti |
   catasṛṣvapi tuṣṭiṣu nāsti mokṣastattvajñānasyāsambhavāt |	catasRzu-api tuzwizu na-asti mokzaH-tattva-jQAnasya-asamBavAt |
   vāhyārthārjanarakṣaṇakṣayasaṅgahiṃsādidoṣadarśanādviṣayoparame	vAhya-arTa-arjana-rakzaNa-kzaya-saFga-hiMsA-Adi-doza-darSanAt-vizaya-uparame
   pañcatuṣṭayo bhavanti |	paQcatuzwayaH Bavanti |
   arthānāmarjane doṣadarśanāt tuṣṭaḥ pravrajitasyāpi nāsti	arTAnAm-arjane doza-darSanAt tuzwaH pravrajitasya-api na-asti
   mokṣastattvajñānābhāvāt |	mokzaH-tattva-jQAna-aBAvAt |
   sā pañcamī tuṣṭiḥ sutāretyabhidhīyate |	sA paQcamI tuzwiH sutAra-iti-aBiDIyate |
   anyorthānāṃ rakṣaṇe doṣadarśanāt tuṣṭaḥ pravrajitasyāpi nāsti	anyorTAnAm rakzaNe doza-darSanAt tuzwaH pravrajitasya-api na-asti
   mokṣastattvajñānābhāvāt sā ṣaṣṭhī tuṣṭiḥ supāretyuṣyate |	mokzaH-tattva-jQAna-aBAvAt sA zazWI tuzwiH supAra-iti-uzyate |
   anyorthānāṃ kṣayadoṣadarśanāt tuṣṭaḥ pravrajitasyāpi nāsti	anya-UrTAnAm kzaya-doza-darSanAt tuzwaH pravrajitasya-api na-asti
   mokṣastattvajñānābhāvāt sā saptamī tuṣṭiḥ sunetretyabhidhīyate |	mokzaH-tattva-jQAna-aBAvAt sA saptamI tuzwiH sunetra-iti-aBiDIyate |
   anyorthānāṃ saṅgadoṣadarśanāt tuṣṭaḥ pravrajitasyāpi nāsti	anyorTAnAm saFga-doza-darSanAt tuzwaH pravrajitasya-api na-asti
   mokṣastattvajñānābhāvāt sāṣṭamī tuṣṭiḥ sumarīciketyabhidhīyate |	mokzaH-tattva-jQAna-aBAvAt sA-azwamI tuzwiH sumarIcikA-iti-aBiDIyate |
   anyo bhūtānāmarthanimittaṃ hiṃsādidoṣadarśanānnivṛttastuṣṭaḥ	anyaH BUtAnAm-arTa-nimittam hiMsA-Adi-doza-darSanAt-nivRttaH-tuzwaH
   pravrajitasyāpi nāsti mokṣastattvajñānābhāvāt sā navamī	pravrajitasya-api na-asti mokzaH-tattva-jQAna-aBAvAt sA navamI
   tuṣṭiruttamāmbhasiketyabhidhīyate |	tuzwiH-uttamA-amBasikA-iti-aBiDIyate |
   ityetā navatuṣṭayo vyākhyātāḥ |	iti-etAH nava-tuzwayaH vyAKyAtAH |
   atrāha kāṣṭau siddhaya ityatrocyate |	atra-Aha kAzwO sidDayaH iti-atra-ucyate |
   yadūhane jñānamutpadyate tattvabhāvabhūteṣu sā prathamā	yat-Uhane jQAnam-utpadyate tattva-BAva-BUtezu sA praTamA
   siddhistāreyabhidhīyate |	sidDiH-tAreyaBiDIyate |
   yacchabdamātreṇa jñānamutpadyate tattvabhāvabhūteṣu sā siddhiḥ	yat-Sabda-mAtreNa jQAnam-utpadyate tattva-BAva-BUtezu sA sidDiH
   sutāretyabhidhīyate |	sutAra-iti-aBiDIyate |
