   ||śrīḥ||	||SrIH||
   kalpa vṛkṣa puṣpa dāma tena dāmnā pariṣkṛtaḥ svalaṅkṛto aṃso yasya sa	kalpa vRkza  puzpa dAma tena dAmnA parizkRtaH su alaFkRtaH aMsaH yasya sa
   tathā tam | punaḥ kīdṛśam ? hārāvaly eva bhagaṇo nakṣatra samūhaḥ | tena	taTA tam | punar kIdRSam ? hAra AvalI eva BagaNaH nakzatra samUhaH | tena
   rājitaṃ śobhitaṃ pīvaraṃ māṃsalaṃ yad uro hṛdayaṃ tad eva vyoma sthala	rAjitam SoBitam pIvaram mAMsalam yat  uraH hRdayam tat eva vyoma sTala
   ākāśa bhūmiḥ tayā lasitaḥ śobhitaḥ kaustubha eva bhānuḥ sūryas tena yuktam	AkASa  BUmiH tayA lasitaH SoBitaH kOstuBaH eva BAnuH sUryaH tena yuktam
   | atra rūpakālaṅkāra eva nopamālaṅkāraḥ nakṣatra gaṇa sūryayor	| atra rUpaka alaFkAraH eva na upama alaFkAraH nakzatra  gaNa  sUryayoH 
   asambandhatvāt | evaṃ ca saty eka kāle dvayoḥ śobhā labhyata iti bhāvaḥ ||	asambanDa tvAt | evam ca sati eka kAle dvayoH SoBA laByate iti BAvaH ||
   KrdC_3.11 ||	Krdu _3.11 ||
   punaḥ kīdṛśam ?	punar kIdRSam ?
   śrīvatsa lakṣaṇa sulakṣitam unnatāṃsam	SrIvatsa  lakzaNa  su lakzitam unnata aMsam
   ājānu pīna parivṛtta sujāta bāhum |	AjAnu  pIna  parivRtta  sujAta  bAhum |
   ābandhurodaram udāra gambhīra nābhiṃ	AbanDura udaram udAra  gamBIra nABim
   bhṛṅgāṅganā nikara mañjula roma rājim // Krd_3.12 //	BRFga aFganA  nikara  maQjula  roma rAjim // KrD _3.12 //
   śrīvatsa lakṣaṇa sulakṣitam unnatāṃsam ājānu pīna parivṛtta sujāta bāhum	SrIvatsa  lakzaNa  su lakzitam unnata aMsam AjAnu  pIna  parivRtta  sujAta  bAhum
   ābandhurodaram udāra gambhīra nābhiṃ bhṛṅgāṅganā nikara mañjula roma rājim	AbanDura udaram udAra  gamBIra  nABim BRFga aFganA  nikara  maQjula  roma rAjim
   || KrdC_3.12 ||	|| Krdu _3.12 ||
   punaḥ kīdṛśam ?	punar kIdRSam ?
   nānā maṇi praghaṭitāṅgada kaṅkaṇormi 	nAnA a maNi  praGawita aFgada  kaFkaNa Urmi 
   graiveya sāra sana nūpura tunda bandham |	grEveya  sAra sana nUpura tunda banDam |
   dvyāṅga rāga paripañjaritāṅga yaṣṭim	dvyAFga  rAga  paripaQjarita aFga yazwim
   āpīta vastra parivīta nitamba bimbam // Krd_3.13 //	ApIta vastra  parivIta  nitamba  bimbam // KrD _3.13 //
   nānā maṇibhir indranīlādibhir ghaṭitāḥ sambaddhāḥ | aṅgadā bāhu valayās	nAnA a maNiBiH indranIla AdiBiH GawitAH sambadDAH | aFgadA bAhu valayAs
   tathā kaṅkaṇā ūrmir mudrikā graiveyaṃ grīvālaṅkāraḥ rasanayā	taTA kaFkaNAH UrmiH mudrikA grEveyam grIvA alaFkAraH rasanayA
   kṣudra ghaṇṭikayā saha āsamantāt vartate yau nūpurau tunda bandhaḥ	kzudra  GaNwikayA saha AsamantAt vartate yO nUpurO tunda banDaH
   udara bandhanārthaṃ suvarṇa ḍorakam ete alaṅkārā yasya sa tathā tam |	udara banDana arTam suvarNa  xorakam ete alaFkArAH yasya sa taTA tam |
   punaḥ kīdṛśam ? divyaḥ paramotkṛṣṭo yo 'nurāgaḥ sugandhi cūrṇaṃ tena	punar kIdRSam ? divyaH parama utkRzwaH yaH anurAgaH suganDi  cUrNam tena
   piñjaritā nānā varṇā aṅga yaṣṭi raṅga latā yasya sa tathā tam | punaḥ	piQjaritA nAnA  varNAH aFga I azwi raFga  latA yasya sa taTA tam | punar 
   kīdṛśam ? āpītam atiśayena pītaṃ yad vastraṃ tena parito vīto veṣṭito	kIdRSam ? ApItam atiSayena pItam yat vastram tena paritas vItaH vezwitaH 
   nitamba bimbo yena sa tathā tam | yadyapi strī kaṭyāṃ	nitamba  bimbaH yena sa taTA tam | yadi api strI  kawyAm
   nitamba pada prayogaḥ kośe dṛśyate tathāpi tadvan manoharatayā puṃskaṭyām	nitamba  pada  prayogaH koSe dRSyate taTA api tadvat manohara tayA puMskawyAm
   api prayogo na viruddhaḥ || KrdC_3.13 ||	api prayogaH na virudDaH || KrdC_3.13 ||
   punaḥ kīdṛśam ?	punar kIdRSam ?
   cārūru jānum anuvṛtta manojña jaṅgha 	cAru Uru  jAnum anuvRtta  manojQa  jaFGa 
   kāntonnata prapada nindita kūrma kāntim |	kAnta unnata  prapada  nindita kUrma  kAntim |
   māṇikya darpaṇa lasan nakharāji rājad 	mANikya darpaNa  lasan  naKa rAji rAja d 
   raktāṅguli cchadan sundara pāda padmam // Krd_3.14 //	rakta aFguli = Cadan  sundara  pAda  padmam // KrD _3.14 //
   kāntau kamanīyau unnatau uccau yau prapadau pādāgrau tābhyāṃ ninditā	kAntO kamanIyO unnatO uccO yO prapadO pAda agrO tAByAm ninditA
   tiraskṛtā kūrmasya kacchapasya kāntiḥ dīptir yena sa tathā tam | punaḥ	tiraskRtA kUrmasya kacCapasya kAntiH dIptiH yena sa taTA tam | punar 
   kīdṛśam ? māṇikya ghaṭito yo darpaṇas tadval lasantī śobhamānā	kIdRSam ? mANikya  GawitaH yaH darpaNaH tadvat lasantI SoBamAnA
   nakha paṅktiḥ tathā rājantyaḥ śobhamānā yā raktāṅgulayas tā eva cchadanāni	naKa  paFktiH taTA rAjantyaH SoBamAnAH yAH rakta aFgulayaH tAH eva cCadanAni
   patrāṇi taiḥ sundaraṃ pāda padmaṃ yasya sa tathā tam || KrdC_3.14 ||	patrANi tEH sundaram pAda  padmam yasya sa taTA tam || Krdu _3.14 ||
   punaḥ kīdṛśam ?	punar kIdRSam ?
   matsyāṅkuśāra dara ketu yavābja vajra 	matsya aFku SAra dara  ketu yava abja  vajra 
   saṃlakṣitāruṇa karāṅghri talābhirāmam |	saMlakzita aruNa  kara aFGri tala aBirAmam |
   lāvaṇya sāra samudāya vinirmitāṅga 	lAvaNya  sAra  samudAya  vinirmita aFga 
   saundarya nirjita manobhava deha kāntim // Krd_3.15 //	sOndarya  nirjita   manoBava  deha  kAntim // KrD _3.15 //
   matsyo mīnaḥ aṅkuśo astra viśeṣaḥ ariś cakro daraḥ śaṅkhaḥ ketur dhvajaḥ	matsyaH mInaH aFkuSaH astra viSezaH ariH cakraH daraH SaFKaH ketuH DvajaH
   yavaḥ prasiddhaḥ abjaṃ padmaṃ vajraḥ kuliśākāras trikoṇaḥ etaiḥ sulakṣitaṃ	yavaH prasidDaH ap jam padmam vajraH kuliSa AkAraH tri koNaH etEH su lakzitam
   samyak vihitaṃ yad aruṇatarāṅghri talaṃ lohitatara caraṇa talaṃ	samyak vihitam yat aruNatara aFGri talam lohitatara  caraNa  talam
   tenābhirāmaḥ sarva jana priyas tam | punaḥ kīdṛśam ? lāvaṇyasya	tena aBirAmaH sarva  jana priyaH tam | punar kIdRSam ? lAvaNyasya
   saundaryasya yaḥ sāra samudāya utkṛṣṭa bhāga samudāyaḥ tena vinirmitaṃ	sOndaryasya yaH sAra  samudAyaH utkRzwa  BAga  samudAyaH tena vinirmitam
   ghaṭitaṃ yad aṅga saundaryaṃ tena ninditā tiraskṛtā manobhavasya	Gawitam yat aFga  sOndaryam tena ninditA tiraskRtAH manoBavasya
   kāmadevasya kāntiḥ śarīra śobhā yena sa tathoktam || KrdC_3.15 ||	kAmadevasya kAntiH SarIra  SoBA yena sa taTA uktam || Krdu _3.15 ||
   punaḥ kīdṛśam ?	punar kIdRSam ?
   āsyāravinda paripūrita veṇu randhra 	Asya aravinda  paripUrita  veNu ranDra 
   lolat karāṅguli samīrita divya rāgaiḥ |	lolat kara aFguli  samIrita divya  rAgEH |
   śaśvad dravī kṛta vikṛṣṭa samasta jantu 	SaSvat  dravI  kRta vikRzwa  samasta jantu 
   santāna santatim ananta sukhāmbu rāśim // Krd_3.16 //	santAna  santatim ananta  suKa ambu  rASim // KrD _3.16 //
   śaśvan nityaṃ dravī kṛtānayatī kṛtā vikṛṣṭā ākṛṣṭā samasta jantoḥ prāṇinaḥ	SaSvat nityam dravI kRta AnayatI  kRtA vikRzwAH AkRzwA samasta jantoH prANinaH
   santāna santatiḥ santāna paramparā yena sa tathā tam | kaiḥ ? āsyam	santAna  santatiH santAna paramparA yena sa taTA tam | kEH ? Asyam
   evāravindaṃ padmaṃ tena paripūritaṃ yad veṇu randhraṃ vaṃśī randhram atra	eva aravindam padmam tena paripUritam yat veNu ranDram vaMSI ranDram atra
   lolantī cañcalā yā karāṅgulis tayā samīritāḥ samutpāditā ye divyā utkṛṣṭā	lolantI caQcalA yA kara aFguliH tayA samIritAH samutpAditA ye divyA utkRzwA
   rāgā dhvanayaḥ svarās tair ity arthaḥ | punaḥ kīdṛśam ? ananteti |	rAgAH DvanayaH svarAH tEH iti arTaH | punar kIdRSam ? ananta iti |
   aparimitānanda samudram || KrdC_3.16 ||	aparimita Ananda  samudram || Krdu _3.16 ||
   punaḥ kīdṛśam ?	punar kIdRSam ?
   gobhir mukhāmbuja vilīna vilocanābhi 	goBiH muKa ambuja  vilIna  vilocanABi 
   rūdhobhara skhalita manthara mandagābhiḥ |	rUDaH Bara  sKalita manTara  manda gABiH |
   dantāgra daṣṭa pariśiṣṭa tṛṇāṅkurābhir	danta agra dazwa  pariSizwa  tRNa aFkurABiH 
   ālambi vāladhi latābhir athābhivītam // Krd_3.17 //	Alambi  vAlaDi latABiH aTa aBivItam // KrD _3.17 //
   athānantaraṃ gobhir abhivītaṃ sarvato veṣṭitam | kimbhūtābhiḥ ? mukhāmbuje	aTa anantaram goBiH aBivItam sarvatas  vezwitam | kimBUtABiH ? muKa ambuje
   parameśvara mukha padme vilīne sambadde locane yāsāṃ tās tathā tābhiḥ |	parameSvara  muKa  padme vilIne sambadde locane yAsAm tAH taTA tABiH |
   punaḥ kīdṛśābhiḥ ? ūdhobhareti	punar kIdRSABiH ? UDoBara iti
   stana gaurava skhalana sālasālpa gamana śīlābhiḥ | punaḥ kīdṛśābhiḥ ?	stana  gOrava  sKala na  sAlasa alpa gamana  SIlABiH | punar kIdRSABiH ?
   dantāgreṇa daṣṭaḥ pariśiṣṭa tṛṇāṅkuro bhakṣaṇāvaśiṣṭa tṛṇāṅkuro yābhis tās	danta agreNa dazwaH pariSizwa tRNa aFkuraH BakzaNa avaSizwa  tRNa aFkuraH yABiH tAH 
   tathā tābhiḥ | punaḥ kīdṛśābhiḥ ? ālambīti ālambinī lambamānā vāladhi latā	taTA tABiH | punar kIdRSABiH ? AlambI iti AlambinI lambamAnA vAlaDi latA
   yāsāṃ tās tathā tābhiḥ || KrdC_3.17 ||	yAsAm tAH taTA tABiH || Krdu _3.17 ||
   punaḥ kīdṛśam ?	punar kIdRSam ?
   sa prasrava stana vicūṣaṇa pūrṇa niśca 	sa prasrava  stana  vicUzaNa  pUrNa  niSca 
   lāsyāvaṭa kṣarita phenila dugdha mugdhaiḥ |	lAsya avawa  kzarita  Penila  dugDa  mugDEH |
   veṇu pravartita manohara mandra gīta 	veNu  pravartita  manohara mandra  gIta 
   dattocca karṇa yugalair api tarṇakaiś ca // Krd_3.18 //	datta ucca karNa  yugalEH api tarNakEH ca // KrD _3.18 //
   tarṇakaiś caika vārṣikaiś cābhivītam iti pūrveṇānvayaḥ | kīdṛśaiḥ ?	tarNakEH ca eka vArzikEH ca aBivItam iti pUrveNa anvayaH | kIdRSEH ?
   prasraveṇa kṣarad dugdhena saha vartate yat stana vicūṣaṇaṃ dantoṣṭhena	prasraveNa kzarat  dugDena saha vartate yat stana  vicUzaNam dantozWena
   stanākarṣaṇaṃ tena paripūrṇo niścalaḥ sthiraś ca ya āsyāvaṭaḥ	stana AkarzaNam tena paripUrNaH niScalaH sTiraH ca yaH Asya avawaH
   mukha vivaraṃ tataḥ kṣaritaṃ galitaṃ yat phenilaṃ sa phenaṃ dugdhaṃ tena	muKa  vivaram tatas kzaritam galitam yat Penilam sa Penam dugDam tena
   mugdhair manoharaiḥ | punaḥ kīdṛśaiḥ ? veṇv iti | veṇur vaṃśī tena	mugDEH manoharEH | punar kIdRSEH ? veNu iti | veNuH vaMSI tena
   pravartitā cālitā manoharā āhlāda kāriṇī mandrānalpā yā gītir gānaṃ tatra	pravartitA cAlitA manoharA AhlAda  kAriNI mandrAn alpA yA gItiH gAnam tatra
   dattam uccaṃ karṇa yugalaṃ yais tathā taiḥ || KrdC_3.18 ||	dattam uccam karNa  yugalam yEH taTA tEH || KrdC_3.18 ||
   punaḥ kīdṛśam ?	punar kIdRSam ?
   pratyagra śṛṅga mṛdu mastaka samprahāra 	pratyagra  SRFga  mRdu mastaka  samprahAra 
   saṃrambha valgana vilola khurāgra pātaiḥ |	saMramBa valgana  vilola  Kura agra  pAtEH |
   āmedurair bahula sāsna galair udagra 	AmedurEH bahula  sAsna  galEH udagra 
   pucchaiś ca vatsatara vatsatarī nikāyaiḥ // Krd_3.19 //	pucCEH ca vatsatara  vatsatarI  nikAyEH // KrD _3.19 //
   vatsataraḥ traivārṣiko balīvardaḥ | vatsatarī traivarṣikī gauḥ | etayor	vatsataraH trEvArzikaH balIvardaH | vatsatarI trEvarzikI gOH | etayoH 
   nikāyaiḥ samūhaiḥ pratyagraṃ navīnaṃ śṛṅgaṃ yasminn evambhūtaṃ yat mṛdu	nikAyEH samUhEH pratyagram navInam SRFgam yasmin evamBUtam yat mRdu
   mastakaṃ tatra yaḥ samprahāraḥ abhighātaḥ anya vatsatarasya yudhyataḥ tena	mastakam tatra yaH samprahAraH aBiGAtaH anya vatsatarasya yuDyataH tena
   yaḥ saṃrambhaḥ krodhātiśayas tena yad valganam itas tato vicalanaṃ tena	yaH saMramBaH kroDa atiSayaH tena yat valganam itas tatas vicalanam tena
   vilolaḥ anavasthitaḥ khurāgra pāto yeṣāṃ te tathā taiḥ | punaḥ kīdṛśaiḥ ?	vilolaH anavasTitaH Kura agra pAtaH yezAm te taTA tEH | punar kIdRSEH ?
   āmeduraiḥ susnigdhaiḥ puṣṭair iti vā | punaḥ kīdṛśaiḥ ? bahulātiśayitā	AmedurEH su snigDEH puzwEH iti vA | punar kIdRSEH ? bahula atiSayitA
   sāsnā yatra sa evambhūto galo yeṣāṃ te tathā taiḥ | sāsnā ca gala kambalaḥ	sAsnA yatra saH evamBUtaH galaH yezAm te taTA tEH | sAsnA ca gala kambalaH
   | punaḥ kīdṛśaiḥ ? udagra pucchaiḥ || KrdC_3.19 ||	| punar kIdRSEH ? udagra  pucCEH || KrdC_3.19 ||
   punaḥ kīdṛśam ?	punar kIdRSam ?
   hambā rava kṣubhita dig valayair mahadbhi 	hambA  rava  kzuBita diS  valayEH mahadBi 
   rapy ukṣabhiḥ pṛthu kakudbhara bhāra khinnaiḥ |	rapI ukzaBiH pRTu  kakud Bara  BAra  KinnEH |
   uttambhita śruti puṭī paripīta vaṃśa 	uttamBita  Sruti  puwI  paripIta vaMSa 
   dhvānāmṛtoddhṛta vikāśi viśāla ghoṇaiḥ // Krd_3.20 //	DvAna amRta udDRta vikASi  viSAla  GoNEH // KrD _3.20 //
   mahadbhir ukṣabhir balīvardair apy abhivītam | kīdṛśaiḥ ? hambā raveṇa	mahadBiH ukzaBiH balIvardEH api aBivItam | kIdRSEH ? hambA raveNa
   svara viśeṣeṇa kṣubhitaḥ kṣobhaṃ prāpito dig valayo dik samūho yais te	svara  viSezeNa kzuBitaH kzoBam prApitaH diS  valayaH dik  samUhaH yEH te
   tathā taiḥ | punaḥ kīdṛśaiḥ ? pṛthur atiśayito yaḥ kakudbharaḥ	taTA tEH | punar kIdRSEH ? pRTuH atiSayitaH yaH kakudBaraH
   apara gala bharaḥ sa eva bhāras tena khinnaiḥ alasaiḥ | punaḥ kīdṛśaiḥ ?	apara gala  BaraH saH eva BAraH tena KinnEH alasEH | punar kIdRSEH ?
   uttambhiteti ūrdhvaṃ stambhitā utthāpitā yā śruti puṭī tayā paripītam	uttamBitA iti UrDvam stamBitA utTApitA yA Sruti puwI tayA paripItam
   atiśayena śrutaṃ yad vaṃśasya dhvānāmṛtaṃ śabda rūpāmṛtaṃ tenodvṛttā	atiSayena Srutam yat vaMSasya DvAna amRtam Sabda  rUpa amRtam tena udvRttA
   ūrdhvaṃ prāpitā vikāśinī prasphuṭā viśālā dīrghā ghoṇā nāsā yeṣāṃ te tathā	UrDvam prApitA vikASinI prasPuwAH viSAlA dIrGA GoNA nAsA yezAm te taTA
   taiḥ || KrdC_3.20 ||	tEH || KrdC_3.20 ||
   punaḥ kīdṛśam ?	punar kIdRSam ?
   gopaiḥ samāna guṇa śīla vayo vilāsa 	gopEH samAna  guNa  SIla  vayaH   vilAsa 
   veśaiś ca mūrcchita kala svana veṇu vīṇaiḥ |	veSEH ca mUrcCita kala  svana veNu  vINEH |
   mandroccatāra paṭa gāna parair vilola 	mandra ucca tAra  pawa gAna parEH vilola 
   dor vallarī lalita lāsya vidhāna dakṣaiḥ // Krd_3.21 //	dor vallarI  lalita  lAsya  viDAna  dakzEH // KrD _3.21 //
   gopaiś cābhivītam | kīdṛśaiḥ ? samāneti guṇa udayādiḥ śīlaṃ dhairyādi vayo	gopEH ca aBivItam | kIdRSEH ? samAnA iti guNaH udaya AdiH SIlam DErya Adi vayaH 
   bālyādi vilāsaḥ krīḍanaṃ veśaḥ saṃsthāna viśeṣaḥ samānāḥ tulyāḥ	bAlya Adi vilAsaH krIxanam veSaH saMsTAna  viSezaH samAnAH tulyAH
   guṇa śīlādayo yeṣāṃ te tathā taiḥ | punaḥ kīdṛśaiḥ ? mūrcchāṃ prāpitaḥ	guNa  SIla AdayaH yezAm te taTA tEH | punar kIdRSEH ? mUrcCAm prApitaH
   kalo 'vyakta madhuraḥ svaro rāgo yatra veṇuś ca vīnā ca | veṇu vīṇair	kalaH avyakta maDuraH svaraH rAgaH yatra veNuH ca vInA ca | veNu vINEH 
   mūrcchita kala svare veṇu vīṇe yeṣāṃ taiḥ tathā | tad uktam 	mUrcCita kala svare veNu vINe yezAm tEH taTA | tat uktam 
   svaraḥ sammūrchito yatra rāgatāṃ pratipadyate |	svaraH sammUrCitaH yatra rAga tAm pratipadyate |
   mūrchanām iti tāṃ prāhuḥ kavayo grāma sambhavām |	mUrCanAm iti tAm prAhuH kavayaH grAma  samBavAm |
   sapta svarās trayo grāmā mūrchanās tv eka viṃśatiḥ ||	sapta svarAH trayaH grAmAH mUrCanAH tu eka viMSatiH ||
   punaḥ kīdṛśaiḥ ? mandrocceti mandraṃ nīcaiḥ uccam atiśāyitaṃ tāro	punar kIdRSEH ? mandra ucca iti mandram nIcEs uccam atiSAyitam tAraH 
   yati viśeṣas tena paṭu spaṣṭaṃ yad gānaṃ tat parais tad āsaktaiḥ | punaḥ	yati viSezaH tena pawu spazwam yat gAnam tat  parEH tad  AsaktEH | punar 
   kīdṛśaiḥ ? viloleti vilolā yā dor vallarī bāhu latā tayā yal lalitaṃ	kIdRSEH ? vilolA iti vilolA yA dor vallarI bAhu latA tayA yat lalitam
   manoharaṃ lāsyaṃ nṛtyaṃ tasya vidhānaṃ karaṇaṃ tatra dakṣaiḥ kuśalaiḥ ||	manoharam lAsyam nRtyam tasya viDAnam karaNam tatra dakzEH kuSalEH ||
   KrdC_3.21 ||	Krdu _3.21 ||
   punaḥ kīdṛśam ?	punar kIdRSam ?
   jaṅghānta pīvara kaṭīra taṭī nibaddha 	jaFGA anta  pIvara  kawIra  tawI  nibadDa 
   vyālola kiṅkiṇi ghaṭāraṭitair aṭadbhiḥ |	vyAlola  kiFkiNi  Gawa ArawitEH awadBiH |
   mugdhais tarakṣu nakha kalpita kaṇṭha bhūṣair	mugDEH tarakzu  naKa  kalpita kaNWa  BUzEH 
   avyakta mañju vacanaiḥ pṛthukaiḥ parītam // Krd_3.22 //	avyakta  maQju  vacanEH pRTukEH parItam // KrD _3.22 //
   pṛthukair bālakaiḥ parītaṃ veṣṭitam | kīdṛśaiḥ ? jaṅghā samīpe pīvarā	pRTukEH bAlakEH parItam vezwitam | kIdRSEH ? jaFGA  samIpe pIvarA
   māṃsalā yā kaṭīra taṭī kaṭī sthalī tasyāṃ nibaddhā vyālolā cañcalā yā	mAMsalA yA kawIra tawI kawI sTalI tasyAm nibadDA vyAlolA caQcalA yA
   kiṅkiṇi ghaṭā kāñcī samūhaḥ, tasya raṭitaiḥ śabdair aṭadbhiḥ | punaḥ	kiFkiNi GawA kAQcI  samUhaH, tasya rawitEH SabdEH awadBiH | punar 
   kīdṛśaiḥ ? mugdhair manoharaiḥ | punaḥ kimbhūtaiḥ ? tarakṣu nakhena	kIdRSEH ? mugDEH manoharEH | punar kimBUtEH ? tarakzu  naKena
   vyāghra nakhena kalpitā sampāditā kaṇṭha bhūṣā kaṇṭhālaṅkāro yais te tathā	vyAGra naKena kalpitA sampAditA kaNWa BUzA kaNWa alaFkAraH yEH te taTA
   taiḥ | bālakānāṃ rakṣārthaṃ kaṇṭhe vyāghra nakha bandhanaṃ kriyate yataḥ |	tEH | bAlakAnAm rakzA arTam kaNWe vyAGra naKa   banDanam kriyate yatas |
   punaḥ kīdṛśaiḥ ?	punar kIdRSEH ?
   avyaktam aspaṣṭam atha ca mañjulaṃ manoharam evambhūtaṃ vacanaṃ yeṣāṃ te	avyaktam aspazwam aTa ca maQjulam manoharam evamBUtam vacanam yezAm te
   tathā taiḥ || KrdC_3.22 ||	taTA tEH || KrdC_3.22 ||
   punaḥ kīdṛśam ?	punar kIdRSam ?
   atha sulalita gopa sundarīṇāṃ	aTa su lalita  gopa  sundarINAm
   pṛthu nivirīṣa nitamba mantharāṇām |	pRTu  nivirIza  nitamba  manTarANAm |
   guru kuca bhara bhaṅgurāvalagna 	guru kuca  Bara BaFgura avalagna 
   trivali vijṛmbhita roma rāji bhājām // Krd_3.23 //	tri vali  vijRmBita roma rAji  BAjAm // KrD _3.23 //
   athānantaraṃ manohara gopa strīṇām ālībhiḥ paṅktibhiḥ samantāt sarvataḥ	aTa anantaram manohara  gopa  strINAm AlIBiH paFktiBiH samantAt sarvatas 
   satataṃ nitya sevitam ity aṣṭama ślokenānvayaḥ | kimbhūtānām ? pṛthu bṛhan	satatam nitya  sevitam iti azwama  Slokena anvayaH | kimBUtAnAm ? pRTu bRhan
   nivirīṣo niviḍo yo nitambaḥ kaṭi paścād bhāgaḥ, tena mantharāṇāṃ	nivirIzaH nivixaH yaH nitambaH kawi paH ca Ad BAgaH, tena manTarANAm
   gamanāśaktānām | punaḥ kimbhūtānām ? gurur atiśayito yaḥ kuca bharaḥ	gamana aSaktAnAm | punar kimBUtAnAm ? guruH atiSayitaH yaH kuca BaraH
   stana gauravaṃ tena bhaṅguram īṣan nāṃ yad avalagnaṃ madhya pradeśaḥ tatra	stana  gOravam tena BaFguram Izat nAm yat avalagnam maDya  pradeSaH tatra
   yad bali trayaṃ tatra vijṛmbhitā vitatā roma paṅktir yāsāṃ tāsām ||	yat  bali  trayam tatra vijRmBitA vitatA roma  paFktiH yAsAm tAsAm ||
   KrdC_3.23 ||	Krdu _3.23 ||
   punaḥ kīdṛśīnām ?	punar kIdRSInAm ?
   tad atimadhura cāru veṇu vādyā 	tad  ati maDura  cAru  veNu vAdyA 
   mṛta rasa pallavitāṅgajāṅghri pānām |	mRta rasa  pallavita aFga ja aFGri pAnAm |
   mukula visara ramya rūḍha romod 	mukula  visara  ramya  rUXa  roma ud 
   gama samalaṅkṛta gātra vallarīṇām // Krd_3.24 //	gama  samalaFkRta gAtra vallarINAm // KrD _3.24 //
   tasya śrī kasyātimadhuraṃ atiprīti dāyakaṃ cāru manoharaṃ yad veṇu vādyāṃ	tasya SrI kasya ati maDuram ati prIti dAyakam cAru manoharam yat veNu vAdyAm
   vaṃśī ravaḥ sa evāmṛta rasaḥ amṛta rūpa jalaṃ tena pallavito	vaMSI ravaH saH eva amRta rasaH amRta  rUpa  jalam tena pallavitaH 
   vṛddhy unmukhaḥ aṅgajāṅghripaḥ kāma vṛkṣo yāsāṃ tās tathā tāsām |	vRdDi  unmuKaH aFga ja aFGripaH kAma vRkzaH yAsAm tAH taTA tAsAm |
   aṅgajāṅghripasyeti pāṭhaḥ | punaḥ kimbhūtānām ? mukula visaraḥ	aFgaja aFGripasya iti pAWaH | punar kimBUtAnAm ? mukula visaraH
   kalikā samūhaḥ tadvad ramyo manoharo yo rūḍha upacito romodgamo	kalikA  samUhaH tadvat ramyaH manoharaH yaH rUXaH upacitaH roma udgamaH 
   romotthānaṃ tena samalaṅkṛtā gātra vallarī deha latā yāsāṃ tās tathā tāsām	roma utTAnam tena samalaFkRtAH gAtra vallarI deha  latAH yAsAm tAH taTA tAsAm
   || KrdC_3.24 ||	|| Krdu _3.24 ||
   punaḥ kimbhūtānām ?	punar kimBUtAnAm ?
   tad atirucira manda hāsa candrā 	tad  ati rucira manda hAsa candrA 
   tapa parijṛmbhita rāga vāriṇāśeḥ |	tapa  parijRmBita  rAga vAriNASeH |
   taralatara taraṅga bhaṅga vipruṭ 	taralatara  taraFga  BaFga vipruw 
   prakara sama śrama bindu santatānām // Krd_3.25 //	prakara  sama Srama  bindu  santatAnAm // KrD _3.25 //
   tasya kṛṣṇasyātimanoharo ya īṣad dhāsaḥ sa eva candra raśmis tena	tasya kRzNasya ati manoharaH yaH Izat  DAsaH saH eva candra raSmiH tena
   parijṛmbhita ucchalito yo rāga samudras tasyāticañcalo yas taraṅgaḥ	parijRmBitaH ucCalitaH yaH rAga  samudraH tasya ati caQcalaH yaH taraFgaH
   kallolaḥ tadīyā ye jala kaṇāḥ teṣāṃ yaḥ samūhas tena samas tulyo yaḥ	kallolaH tadIyAH ye jala  kaNAH tezAm yaH samUhaH tena samaH tulyaH yaH
   śrama bindur gharma jala binduḥ tena santatānāṃ vyāptānām || KrdC_3.25 ||	Srama binduH Garma jala binduH tena santatAnAm vyAptAnAm || KrdC_3.25 ||
   punaḥ kimbhūtānām ?	punar kimBUtAnAm ?
   tad atilalita manda cilli cāpa	tad  ati lalita manda cilli  ca apa
   cyuta niśitekṣaṇa māra vāṇa vṛṣṭyā |	cyuta  niSita IkzaNa  mAra vANa  vRzwyA |
   dalita sakala marma vihvalāṅga 	dalita  sakala  marma  vihvala aFga 
   pravisṛta duḥsaha vepathu vyathānām // Krd_3.26 //	pravisRta  duHsaha  vepaTu  vyaTAnAm // KrD _3.26 //
   tasya śrī kṛṣṇasyātimanoharo mandaḥ anatidīrgho yaś cilli cāpo bhrū latā	tasya SrI  kRzNasya ati manoharaH mandaH anatidIrGaH yaH cilli cApaH BrU latA
   saiva dhanus tasmād udgataṃ tīkṣṇaṃ kaṭākṣaḥ sa eva kāma bāṇas tasya	sA eva DanuH tasmAt udgatam tIkzNam kawAkzaH saH eva kAma bANaH tasya
   vṛṣṭyātyanta pātena dalitaṃ cūrṇitaṃ yat sakalaṃ marma tenānāyattaṃ yad	vRzwyA atyanta  pAtena dalitam cUrNitam yat sakalam marma tena anAyattam yat 
   aṅgaṃ tatra prasṛtā vyāptā duḥsahā kampa vedanā yāsāṃ tās tathā tāsām ||	aFgam tatra prasRtAH vyAptAH duHsahA kampa  vedanAH yAsAm tAH taTA tAsAm ||
   KrdC_3.26 ||	Krdu _3.26 ||
   punaḥ kimbhūtānām ?	punar kimBUtAnAm ?
   tad atirucira karma rūpa śobhā 	tad  ati rucira karma   rUpa SoBA 
   mṛta rasa pāna vidhāna lālasābhyām |	mRta rasa  pAna  viDAna  lAlasAByAm |
   praṇaya salila pūra vāhinīnām	praNaya  salila  pUra  vAhinInAm
